context: Yay! Yay! response:	You seem to be enjoying yourself, Sakura-chan.
context: He's'\Big brother?\Your brother seems very popular.\Are you cleaning well?\It is dirty over here,\useless girl.\Useless!\Hey, the miso soup this morning response:	was terrible.
context: Big brother?\Your brother seems very popular.\Are you cleaning well?\It is dirty over here,\useless girl.\Useless!\Hey, the miso soup this morning\was terrible. response:	Ah!
context: Your brother seems very popular.\Are you cleaning well?\It is dirty over here,\useless girl.\Useless!\Hey, the miso soup this morning\was terrible.\Ah! response:	Were you trying to kill us?
context: Are you cleaning well?\It is dirty over here,\useless girl.\Useless!\Hey, the miso soup this morning\was terrible.\Ah!\Were you trying to kill us? response:	Oh my God!'
context: It is dirty over here,\useless girl.\Useless!\Hey, the miso soup this morning\was terrible.\Ah!\Were you trying to kill us?\Oh my God!' response:	There is a ball at the castle today.
context: useless girl.\Useless!\Hey, the miso soup this morning\was terrible.\Ah!\Were you trying to kill us?\Oh my God!'\There is a ball at the castle today. response:	Oh yes.
context: Useless!\Hey, the miso soup this morning\was terrible.\Ah!\Were you trying to kill us?\Oh my God!'\There is a ball at the castle today.\Oh yes. response:	Yes, there is a ball.
context: Hey, the miso soup this morning\was terrible.\Ah!\Were you trying to kill us?\Oh my God!'\There is a ball at the castle today.\Oh yes.\Yes, there is a ball. response:	The prince is going to choose his bride.
context: was terrible.\Ah!\Were you trying to kill us?\Oh my God!'\There is a ball at the castle today.\Oh yes.\Yes, there is a ball.\The prince is going to choose his bride. response:	From the girls that come to the ball.
context: Ah!\Were you trying to kill us?\Oh my God!'\There is a ball at the castle today.\Oh yes.\Yes, there is a ball.\The prince is going to choose his bride.\From the girls that come to the ball. response:	I will be joined with the prince.
context: Were you trying to kill us?\Oh my God!'\There is a ball at the castle today.\Oh yes.\Yes, there is a ball.\The prince is going to choose his bride.\From the girls that come to the ball.\I will be joined with the prince. response:	No, me.
context: Oh my God!'\There is a ball at the castle today.\Oh yes.\Yes, there is a ball.\The prince is going to choose his bride.\From the girls that come to the ball.\I will be joined with the prince.\No, me. response:	It will be me.
context: There is a ball at the castle today.\Oh yes.\Yes, there is a ball.\The prince is going to choose his bride.\From the girls that come to the ball.\I will be joined with the prince.\No, me.\It will be me. response:	La'
context: Oh yes.\Yes, there is a ball.\The prince is going to choose his bride.\From the girls that come to the ball.\I will be joined with the prince.\No, me.\It will be me.\La' response:	This seems fun.
context: Yes, there is a ball.\The prince is going to choose his bride.\From the girls that come to the ball.\I will be joined with the prince.\No, me.\It will be me.\La'\This seems fun. response:	Hey, be a little jealous.
context: The prince is going to choose his bride.\From the girls that come to the ball.\I will be joined with the prince.\No, me.\It will be me.\La'\This seems fun.\Hey, be a little jealous. response:	Ah, I want to go to.
context: From the girls that come to the ball.\I will be joined with the prince.\No, me.\It will be me.\La'\This seems fun.\Hey, be a little jealous.\Ah, I want to go to. response:	The three of us are going,
context: I will be joined with the prince.\No, me.\It will be me.\La'\This seems fun.\Hey, be a little jealous.\Ah, I want to go to.\The three of us are going, response:	you stay home.
context: No, me.\It will be me.\La'\This seems fun.\Hey, be a little jealous.\Ah, I want to go to.\The three of us are going,\you stay home. response:	Have dinner ready too.
context: It will be me.\La'\This seems fun.\Hey, be a little jealous.\Ah, I want to go to.\The three of us are going,\you stay home.\Have dinner ready too. response:	Ramen, we'll have ramen.
context: La'\This seems fun.\Hey, be a little jealous.\Ah, I want to go to.\The three of us are going,\you stay home.\Have dinner ready too.\Ramen, we'll have ramen. response:	Shall we go?
context: This seems fun.\Hey, be a little jealous.\Ah, I want to go to.\The three of us are going,\you stay home.\Have dinner ready too.\Ramen, we'll have ramen.\Shall we go? response:	Yes, let's go.
context: Hey, be a little jealous.\Ah, I want to go to.\The three of us are going,\you stay home.\Have dinner ready too.\Ramen, we'll have ramen.\Shall we go?\Yes, let's go. response:	Let's dance.
context: Ah, I want to go to.\The three of us are going,\you stay home.\Have dinner ready too.\Ramen, we'll have ramen.\Shall we go?\Yes, let's go.\Let's dance. response:	Woo'
context: The three of us are going,\you stay home.\Have dinner ready too.\Ramen, we'll have ramen.\Shall we go?\Yes, let's go.\Let's dance.\Woo' response:	I want to go to the ball too.
context: you stay home.\Have dinner ready too.\Ramen, we'll have ramen.\Shall we go?\Yes, let's go.\Let's dance.\Woo'\I want to go to the ball too. response:	He doesn't seem to want to go at all.
context: Have dinner ready too.\Ramen, we'll have ramen.\Shall we go?\Yes, let's go.\Let's dance.\Woo'\I want to go to the ball too.\He doesn't seem to want to go at all. response:	Hello.
context: Ramen, we'll have ramen.\Shall we go?\Yes, let's go.\Let's dance.\Woo'\I want to go to the ball too.\He doesn't seem to want to go at all.\Hello. response:	Wow
context: Shall we go?\Yes, let's go.\Let's dance.\Woo'\I want to go to the ball too.\He doesn't seem to want to go at all.\Hello.\Wow response:	It's Yukito-san.
context: Yes, let's go.\Let's dance.\Woo'\I want to go to the ball too.\He doesn't seem to want to go at all.\Hello.\Wow\It's Yukito-san. response:	Tsukishiro-san is popular too.
context: Let's dance.\Woo'\I want to go to the ball too.\He doesn't seem to want to go at all.\Hello.\Wow\It's Yukito-san.\Tsukishiro-san is popular too. response:	Yukito-san is wonderful.
context: Woo'\I want to go to the ball too.\He doesn't seem to want to go at all.\Hello.\Wow\It's Yukito-san.\Tsukishiro-san is popular too.\Yukito-san is wonderful. response:	You seem troubled,
context: I want to go to the ball too.\He doesn't seem to want to go at all.\Hello.\Wow\It's Yukito-san.\Tsukishiro-san is popular too.\Yukito-san is wonderful.\You seem troubled, response:	Cinderella.
context: He doesn't seem to want to go at all.\Hello.\Wow\It's Yukito-san.\Tsukishiro-san is popular too.\Yukito-san is wonderful.\You seem troubled,\Cinderella. response:	This is an invitation to the ball,
context: Hello.\Wow\It's Yukito-san.\Tsukishiro-san is popular too.\Yukito-san is wonderful.\You seem troubled,\Cinderella.\This is an invitation to the ball, response:	but why do you do this?
context: Wow\It's Yukito-san.\Tsukishiro-san is popular too.\Yukito-san is wonderful.\You seem troubled,\Cinderella.\This is an invitation to the ball,\but why do you do this? response:	Because I am a wizard.
context: It's Yukito-san.\Tsukishiro-san is popular too.\Yukito-san is wonderful.\You seem troubled,\Cinderella.\This is an invitation to the ball,\but why do you do this?\Because I am a wizard. response:	What is that on your head?
context: Tsukishiro-san is popular too.\Yukito-san is wonderful.\You seem troubled,\Cinderella.\This is an invitation to the ball,\but why do you do this?\Because I am a wizard.\What is that on your head? response:	Canned mackerel.
context: Yukito-san is wonderful.\You seem troubled,\Cinderella.\This is an invitation to the ball,\but why do you do this?\Because I am a wizard.\What is that on your head?\Canned mackerel. response:	A discarded canned mackerel
context: You seem troubled,\Cinderella.\This is an invitation to the ball,\but why do you do this?\Because I am a wizard.\What is that on your head?\Canned mackerel.\A discarded canned mackerel response:	that gained magical power
context: Cinderella.\This is an invitation to the ball,\but why do you do this?\Because I am a wizard.\What is that on your head?\Canned mackerel.\A discarded canned mackerel\that gained magical power response:	over many years.
context: This is an invitation to the ball,\but why do you do this?\Because I am a wizard.\What is that on your head?\Canned mackerel.\A discarded canned mackerel\that gained magical power\over many years. response:	Why a canned mackerel?
context: but why do you do this?\Because I am a wizard.\What is that on your head?\Canned mackerel.\A discarded canned mackerel\that gained magical power\over many years.\Why a canned mackerel? response:	There is a moral to the story,
context: Because I am a wizard.\What is that on your head?\Canned mackerel.\A discarded canned mackerel\that gained magical power\over many years.\Why a canned mackerel?\There is a moral to the story, response:	treat things with respect.
context: What is that on your head?\Canned mackerel.\A discarded canned mackerel\that gained magical power\over many years.\Why a canned mackerel?\There is a moral to the story,\treat things with respect. response:	The prince has arrived.
context: Canned mackerel.\A discarded canned mackerel\that gained magical power\over many years.\Why a canned mackerel?\There is a moral to the story,\treat things with respect.\The prince has arrived. response:	Eh!
context: A discarded canned mackerel\that gained magical power\over many years.\Why a canned mackerel?\There is a moral to the story,\treat things with respect.\The prince has arrived.\Eh! response:	I think you all know,
context: that gained magical power\over many years.\Why a canned mackerel?\There is a moral to the story,\treat things with respect.\The prince has arrived.\Eh!\I think you all know, response:	but today is a ball
context: over many years.\Why a canned mackerel?\There is a moral to the story,\treat things with respect.\The prince has arrived.\Eh!\I think you all know,\but today is a ball response:	to determine my bride.
context: Why a canned mackerel?\There is a moral to the story,\treat things with respect.\The prince has arrived.\Eh!\I think you all know,\but today is a ball\to determine my bride. response:	Eh!
context: There is a moral to the story,\treat things with respect.\The prince has arrived.\Eh!\I think you all know,\but today is a ball\to determine my bride.\Eh! response:	Big brother.
context: treat things with respect.\The prince has arrived.\Eh!\I think you all know,\but today is a ball\to determine my bride.\Eh!\Big brother. response:	Eh!
context: The prince has arrived.\Eh!\I think you all know,\but today is a ball\to determine my bride.\Eh!\Big brother.\Eh! response:	Youko,
context: Eh!\I think you all know,\but today is a ball\to determine my bride.\Eh!\Big brother.\Eh!\Youko, response:	your line.
context: I think you all know,\but today is a ball\to determine my bride.\Eh!\Big brother.\Eh!\Youko,\your line. response:	Oh, what a wonderful young maiden.
context: but today is a ball\to determine my bride.\Eh!\Big brother.\Eh!\Youko,\your line.\Oh, what a wonderful young maiden. response:	Well then, shall we dance?
context: to determine my bride.\Eh!\Big brother.\Eh!\Youko,\your line.\Oh, what a wonderful young maiden.\Well then, shall we dance? response:	Weird play.
context: Eh!\Big brother.\Eh!\Youko,\your line.\Oh, what a wonderful young maiden.\Well then, shall we dance?\Weird play. response:	Huh!
context: Big brother.\Eh!\Youko,\your line.\Oh, what a wonderful young maiden.\Well then, shall we dance?\Weird play.\Huh! response:	Is something wrong?
context: Eh!\Youko,\your line.\Oh, what a wonderful young maiden.\Well then, shall we dance?\Weird play.\Huh!\Is something wrong? response:	Perhaps my imagination?
context: Youko,\your line.\Oh, what a wonderful young maiden.\Well then, shall we dance?\Weird play.\Huh!\Is something wrong?\Perhaps my imagination? response:	Cinderella,
context: your line.\Oh, what a wonderful young maiden.\Well then, shall we dance?\Weird play.\Huh!\Is something wrong?\Perhaps my imagination?\Cinderella, response:	I don't want to let you leave like this.
context: Oh, what a wonderful young maiden.\Well then, shall we dance?\Weird play.\Huh!\Is something wrong?\Perhaps my imagination?\Cinderella,\I don't want to let you leave like this. response:	But if I don't go make the ramen'
context: Well then, shall we dance?\Weird play.\Huh!\Is something wrong?\Perhaps my imagination?\Cinderella,\I don't want to let you leave like this.\But if I don't go make the ramen' response:	Please be my bride.
context: Weird play.\Huh!\Is something wrong?\Perhaps my imagination?\Cinderella,\I don't want to let you leave like this.\But if I don't go make the ramen'\Please be my bride. response:	But the canned mackerel told me
context: Huh!\Is something wrong?\Perhaps my imagination?\Cinderella,\I don't want to let you leave like this.\But if I don't go make the ramen'\Please be my bride.\But the canned mackerel told me response:	to be home by midnight.
context: Is something wrong?\Perhaps my imagination?\Cinderella,\I don't want to let you leave like this.\But if I don't go make the ramen'\Please be my bride.\But the canned mackerel told me\to be home by midnight. response:	Something'
context: Perhaps my imagination?\Cinderella,\I don't want to let you leave like this.\But if I don't go make the ramen'\Please be my bride.\But the canned mackerel told me\to be home by midnight.\Something' response:	Feels strange.
context: Cinderella,\I don't want to let you leave like this.\But if I don't go make the ramen'\Please be my bride.\But the canned mackerel told me\to be home by midnight.\Something'\Feels strange. response:	Cinderella, I'
context: I don't want to let you leave like this.\But if I don't go make the ramen'\Please be my bride.\But the canned mackerel told me\to be home by midnight.\Something'\Feels strange.\Cinderella, I' response:	Prince.
context: But if I don't go make the ramen'\Please be my bride.\But the canned mackerel told me\to be home by midnight.\Something'\Feels strange.\Cinderella, I'\Prince. response:	Ah!
context: Please be my bride.\But the canned mackerel told me\to be home by midnight.\Something'\Feels strange.\Cinderella, I'\Prince.\Ah! response:	Eh!
context: But the canned mackerel told me\to be home by midnight.\Something'\Feels strange.\Cinderella, I'\Prince.\Ah!\Eh! response:	Big brother!
context: to be home by midnight.\Something'\Feels strange.\Cinderella, I'\Prince.\Ah!\Eh!\Big brother! response:	Touya!
context: Something'\Feels strange.\Cinderella, I'\Prince.\Ah!\Eh!\Big brother!\Touya! response:	Ummm'
context: Feels strange.\Cinderella, I'\Prince.\Ah!\Eh!\Big brother!\Touya!\Ummm' response:	What's going on!
context: Cinderella, I'\Prince.\Ah!\Eh!\Big brother!\Touya!\Ummm'\What's going on! response:	It was a Clow Card after all.
context: Prince.\Ah!\Eh!\Big brother!\Touya!\Ummm'\What's going on!\It was a Clow Card after all. response:	We have to go somewhere people don't go.
context: Ah!\Eh!\Big brother!\Touya!\Ummm'\What's going on!\It was a Clow Card after all.\We have to go somewhere people don't go. response:	Sakura-chan.
context: Eh!\Big brother!\Touya!\Ummm'\What's going on!\It was a Clow Card after all.\We have to go somewhere people don't go.\Sakura-chan. response:	Li-kun!
context: Big brother!\Touya!\Ummm'\What's going on!\It was a Clow Card after all.\We have to go somewhere people don't go.\Sakura-chan.\Li-kun! response:	What a great story, it made me cry.
context: Touya!\Ummm'\What's going on!\It was a Clow Card after all.\We have to go somewhere people don't go.\Sakura-chan.\Li-kun!\What a great story, it made me cry. response:	Parent-child relationships sure are great.
context: Ummm'\What's going on!\It was a Clow Card after all.\We have to go somewhere people don't go.\Sakura-chan.\Li-kun!\What a great story, it made me cry.\Parent-child relationships sure are great. response:	Kero-chan, it's terrible,
context: What's going on!\It was a Clow Card after all.\We have to go somewhere people don't go.\Sakura-chan.\Li-kun!\What a great story, it made me cry.\Parent-child relationships sure are great.\Kero-chan, it's terrible, response:	the play my brother is in'
context: It was a Clow Card after all.\We have to go somewhere people don't go.\Sakura-chan.\Li-kun!\What a great story, it made me cry.\Parent-child relationships sure are great.\Kero-chan, it's terrible,\the play my brother is in' response:	What?
context: We have to go somewhere people don't go.\Sakura-chan.\Li-kun!\What a great story, it made me cry.\Parent-child relationships sure are great.\Kero-chan, it's terrible,\the play my brother is in'\What? response:	Yeah. Yeah.
context: Sakura-chan.\Li-kun!\What a great story, it made me cry.\Parent-child relationships sure are great.\Kero-chan, it's terrible,\the play my brother is in'\What?\Yeah. Yeah. response:	That is the Mist card,
context: Li-kun!\What a great story, it made me cry.\Parent-child relationships sure are great.\Kero-chan, it's terrible,\the play my brother is in'\What?\Yeah. Yeah.\That is the Mist card, response:	it corrodes everything
context: What a great story, it made me cry.\Parent-child relationships sure are great.\Kero-chan, it's terrible,\the play my brother is in'\What?\Yeah. Yeah.\That is the Mist card,\it corrodes everything response:	that gets in the fog.
context: Parent-child relationships sure are great.\Kero-chan, it's terrible,\the play my brother is in'\What?\Yeah. Yeah.\That is the Mist card,\it corrodes everything\that gets in the fog. response:	If you don't hurry
context: Kero-chan, it's terrible,\the play my brother is in'\What?\Yeah. Yeah.\That is the Mist card,\it corrodes everything\that gets in the fog.\If you don't hurry response:	your brother's footing will crumble too.
context: the play my brother is in'\What?\Yeah. Yeah.\That is the Mist card,\it corrodes everything\that gets in the fog.\If you don't hurry\your brother's footing will crumble too. response:	This can't be.
context: What?\Yeah. Yeah.\That is the Mist card,\it corrodes everything\that gets in the fog.\If you don't hurry\your brother's footing will crumble too.\This can't be. response:	It would be good
context: Yeah. Yeah.\That is the Mist card,\it corrodes everything\that gets in the fog.\If you don't hurry\your brother's footing will crumble too.\This can't be.\It would be good response:	if you could gather Mist all into one place to take care of it.
context: That is the Mist card,\it corrodes everything\that gets in the fog.\If you don't hurry\your brother's footing will crumble too.\This can't be.\It would be good\if you could gather Mist all into one place to take care of it. response:	Gather it?
context: it corrodes everything\that gets in the fog.\If you don't hurry\your brother's footing will crumble too.\This can't be.\It would be good\if you could gather Mist all into one place to take care of it.\Gather it? response:	Ah!
context: that gets in the fog.\If you don't hurry\your brother's footing will crumble too.\This can't be.\It would be good\if you could gather Mist all into one place to take care of it.\Gather it?\Ah! response:	Eh!
context: If you don't hurry\your brother's footing will crumble too.\This can't be.\It would be good\if you could gather Mist all into one place to take care of it.\Gather it?\Ah!\Eh! response:	Youko!
context: your brother's footing will crumble too.\This can't be.\It would be good\if you could gather Mist all into one place to take care of it.\Gather it?\Ah!\Eh!\Youko! response:	Kinomoto-kun.
context: This can't be.\It would be good\if you could gather Mist all into one place to take care of it.\Gather it?\Ah!\Eh!\Youko!\Kinomoto-kun. response:	Touya.
context: It would be good\if you could gather Mist all into one place to take care of it.\Gather it?\Ah!\Eh!\Youko!\Kinomoto-kun.\Touya. response:	Touya, let go!
context: if you could gather Mist all into one place to take care of it.\Gather it?\Ah!\Eh!\Youko!\Kinomoto-kun.\Touya.\Touya, let go! response:	You'll fall too.
context: Gather it?\Ah!\Eh!\Youko!\Kinomoto-kun.\Touya.\Touya, let go!\You'll fall too. response:	At this height
context: Ah!\Eh!\Youko!\Kinomoto-kun.\Touya.\Touya, let go!\You'll fall too.\At this height response:	I will just be hurt a little,
context: Eh!\Youko!\Kinomoto-kun.\Touya.\Touya, let go!\You'll fall too.\At this height\I will just be hurt a little, response:	so'
context: Youko!\Kinomoto-kun.\Touya.\Touya, let go!\You'll fall too.\At this height\I will just be hurt a little,\so' response:	Touya
context: Kinomoto-kun.\Touya.\Touya, let go!\You'll fall too.\At this height\I will just be hurt a little,\so'\Touya response:	Gather? How can I gather it?
context: Touya.\Touya, let go!\You'll fall too.\At this height\I will just be hurt a little,\so'\Touya\Gather? How can I gather it? response:	Oh yeah.
context: Touya, let go!\You'll fall too.\At this height\I will just be hurt a little,\so'\Touya\Gather? How can I gather it?\Oh yeah. response:	Shadows, gather all the fog within you.
context: You'll fall too.\At this height\I will just be hurt a little,\so'\Touya\Gather? How can I gather it?\Oh yeah.\Shadows, gather all the fog within you. response:	Shadow!
context: At this height\I will just be hurt a little,\so'\Touya\Gather? How can I gather it?\Oh yeah.\Shadows, gather all the fog within you.\Shadow! response:	Return to your rightful form,
context: I will just be hurt a little,\so'\Touya\Gather? How can I gather it?\Oh yeah.\Shadows, gather all the fog within you.\Shadow!\Return to your rightful form, response:	Clow Card!
context: so'\Touya\Gather? How can I gather it?\Oh yeah.\Shadows, gather all the fog within you.\Shadow!\Return to your rightful form,\Clow Card! response:	Woo'
context: Touya\Gather? How can I gather it?\Oh yeah.\Shadows, gather all the fog within you.\Shadow!\Return to your rightful form,\Clow Card!\Woo' response:	Wah'
context: Gather? How can I gather it?\Oh yeah.\Shadows, gather all the fog within you.\Shadow!\Return to your rightful form,\Clow Card!\Woo'\Wah' response:	Wind come forth!
context: Oh yeah.\Shadows, gather all the fog within you.\Shadow!\Return to your rightful form,\Clow Card!\Woo'\Wah'\Wind come forth! response:	Thank you.
context: Shadows, gather all the fog within you.\Shadow!\Return to your rightful form,\Clow Card!\Woo'\Wah'\Wind come forth!\Thank you. response:	Touya!
context: Shadow!\Return to your rightful form,\Clow Card!\Woo'\Wah'\Wind come forth!\Thank you.\Touya! response:	Youko!
context: Return to your rightful form,\Clow Card!\Woo'\Wah'\Wind come forth!\Thank you.\Touya!\Youko! response:	Thank god.
context: Clow Card!\Woo'\Wah'\Wind come forth!\Thank you.\Touya!\Youko!\Thank god. response:	Touya, are you OK? Not hurt?
context: Woo'\Wah'\Wind come forth!\Thank you.\Touya!\Youko!\Thank god.\Touya, are you OK? Not hurt? response:	Somehow.
context: Wah'\Wind come forth!\Thank you.\Touya!\Youko!\Thank god.\Touya, are you OK? Not hurt?\Somehow. response:	Mic test. Mic test.
context: Wind come forth!\Thank you.\Touya!\Youko!\Thank god.\Touya, are you OK? Not hurt?\Somehow.\Mic test. Mic test. response:	Even so it is unfortunate,
context: Thank you.\Touya!\Youko!\Thank god.\Touya, are you OK? Not hurt?\Somehow.\Mic test. Mic test.\Even so it is unfortunate, response:	even though I brought my video camera
context: Touya!\Youko!\Thank god.\Touya, are you OK? Not hurt?\Somehow.\Mic test. Mic test.\Even so it is unfortunate,\even though I brought my video camera response:	I missed your action.
context: Youko!\Thank god.\Touya, are you OK? Not hurt?\Somehow.\Mic test. Mic test.\Even so it is unfortunate,\even though I brought my video camera\I missed your action. response:	Ha'
context: Thank god.\Touya, are you OK? Not hurt?\Somehow.\Mic test. Mic test.\Even so it is unfortunate,\even though I brought my video camera\I missed your action.\Ha' response:	But it is good it didn't become a big accident.
context: Touya, are you OK? Not hurt?\Somehow.\Mic test. Mic test.\Even so it is unfortunate,\even though I brought my video camera\I missed your action.\Ha'\But it is good it didn't become a big accident. response:	Really.
context: Somehow.\Mic test. Mic test.\Even so it is unfortunate,\even though I brought my video camera\I missed your action.\Ha'\But it is good it didn't become a big accident.\Really. response:	Thank you.
context: Mic test. Mic test.\Even so it is unfortunate,\even though I brought my video camera\I missed your action.\Ha'\But it is good it didn't become a big accident.\Really.\Thank you. response:	For helping me.
context: Even so it is unfortunate,\even though I brought my video camera\I missed your action.\Ha'\But it is good it didn't become a big accident.\Really.\Thank you.\For helping me. response:	I don't remember helping you.
context: even though I brought my video camera\I missed your action.\Ha'\But it is good it didn't become a big accident.\Really.\Thank you.\For helping me.\I don't remember helping you. response:	Yukito-san.
context: I missed your action.\Ha'\But it is good it didn't become a big accident.\Really.\Thank you.\For helping me.\I don't remember helping you.\Yukito-san. response:	That was pretty exciting.
context: Ha'\But it is good it didn't become a big accident.\Really.\Thank you.\For helping me.\I don't remember helping you.\Yukito-san.\That was pretty exciting. response:	Your canned mackerel was wonderful.
context: But it is good it didn't become a big accident.\Really.\Thank you.\For helping me.\I don't remember helping you.\Yukito-san.\That was pretty exciting.\Your canned mackerel was wonderful. response:	Thank you.
context: Really.\Thank you.\For helping me.\I don't remember helping you.\Yukito-san.\That was pretty exciting.\Your canned mackerel was wonderful.\Thank you. response:	Where is my brother?
context: Thank you.\For helping me.\I don't remember helping you.\Yukito-san.\That was pretty exciting.\Your canned mackerel was wonderful.\Thank you.\Where is my brother? response:	He's fine.
context: For helping me.\I don't remember helping you.\Yukito-san.\That was pretty exciting.\Your canned mackerel was wonderful.\Thank you.\Where is my brother?\He's fine. response:	But he was called out to talk to somebody.
context: I don't remember helping you.\Yukito-san.\That was pretty exciting.\Your canned mackerel was wonderful.\Thank you.\Where is my brother?\He's fine.\But he was called out to talk to somebody. response:	Umm' I'
context: Yukito-san.\That was pretty exciting.\Your canned mackerel was wonderful.\Thank you.\Where is my brother?\He's fine.\But he was called out to talk to somebody.\Umm' I' response:	I love you.
context: That was pretty exciting.\Your canned mackerel was wonderful.\Thank you.\Where is my brother?\He's fine.\But he was called out to talk to somebody.\Umm' I'\I love you. response:	Thank you, but I'
context: Your canned mackerel was wonderful.\Thank you.\Where is my brother?\He's fine.\But he was called out to talk to somebody.\Umm' I'\I love you.\Thank you, but I' response:	You have somebody you like?
context: Thank you.\Where is my brother?\He's fine.\But he was called out to talk to somebody.\Umm' I'\I love you.\Thank you, but I'\You have somebody you like? response:	Yes.
context: Where is my brother?\He's fine.\But he was called out to talk to somebody.\Umm' I'\I love you.\Thank you, but I'\You have somebody you like?\Yes. response:	I had that feeling.
context: He's fine.\But he was called out to talk to somebody.\Umm' I'\I love you.\Thank you, but I'\You have somebody you like?\Yes.\I had that feeling. response:	Sorry for crying.
context: But he was called out to talk to somebody.\Umm' I'\I love you.\Thank you, but I'\You have somebody you like?\Yes.\I had that feeling.\Sorry for crying. response:	Don't worry about me. Ah, they are doing a bonfire.
context: Umm' I'\I love you.\Thank you, but I'\You have somebody you like?\Yes.\I had that feeling.\Sorry for crying.\Don't worry about me. Ah, they are doing a bonfire. response:	May I ask one request?
context: I love you.\Thank you, but I'\You have somebody you like?\Yes.\I had that feeling.\Sorry for crying.\Don't worry about me. Ah, they are doing a bonfire.\May I ask one request? response:	Dance with me.
context: Thank you, but I'\You have somebody you like?\Yes.\I had that feeling.\Sorry for crying.\Don't worry about me. Ah, they are doing a bonfire.\May I ask one request?\Dance with me. response:	It's my brother.
context: You have somebody you like?\Yes.\I had that feeling.\Sorry for crying.\Don't worry about me. Ah, they are doing a bonfire.\May I ask one request?\Dance with me.\It's my brother. response:	Thank you.
context: Yes.\I had that feeling.\Sorry for crying.\Don't worry about me. Ah, they are doing a bonfire.\May I ask one request?\Dance with me.\It's my brother.\Thank you. response:	Hey, Kinomoto-kun.
context: I had that feeling.\Sorry for crying.\Don't worry about me. Ah, they are doing a bonfire.\May I ask one request?\Dance with me.\It's my brother.\Thank you.\Hey, Kinomoto-kun. response:	I only promised Youko.
context: Sorry for crying.\Don't worry about me. Ah, they are doing a bonfire.\May I ask one request?\Dance with me.\It's my brother.\Thank you.\Hey, Kinomoto-kun.\I only promised Youko. response:	A little too cool.
context: Don't worry about me. Ah, they are doing a bonfire.\May I ask one request?\Dance with me.\It's my brother.\Thank you.\Hey, Kinomoto-kun.\I only promised Youko.\A little too cool. response:	You should have told me
context: May I ask one request?\Dance with me.\It's my brother.\Thank you.\Hey, Kinomoto-kun.\I only promised Youko.\A little too cool.\You should have told me response:	you were in the play.
context: Dance with me.\It's my brother.\Thank you.\Hey, Kinomoto-kun.\I only promised Youko.\A little too cool.\You should have told me\you were in the play. response:	You told her?
context: It's my brother.\Thank you.\Hey, Kinomoto-kun.\I only promised Youko.\A little too cool.\You should have told me\you were in the play.\You told her? response:	Yeah.
context: Thank you.\Hey, Kinomoto-kun.\I only promised Youko.\A little too cool.\You should have told me\you were in the play.\You told her?\Yeah. response:	Shall we dance?
context: Hey, Kinomoto-kun.\I only promised Youko.\A little too cool.\You should have told me\you were in the play.\You told her?\Yeah.\Shall we dance? response:	Eh?
context: I only promised Youko.\A little too cool.\You should have told me\you were in the play.\You told her?\Yeah.\Shall we dance?\Eh? response:	Let's go.
context: A little too cool.\You should have told me\you were in the play.\You told her?\Yeah.\Shall we dance?\Eh?\Let's go. response:	This will make a good video.
