context: It's the same as that day... response:	Yano's heart is about to open up to me...
context: After all, Takeuchi's busy getting to his hook-up party.\Sign: Hook-up party\You knew...?\Information travels fast.\As promised, neither of us are watching out for each other, right?\Sign: Hook-up party\Good luck with that hook-up party.\Thanks... response:	Yano, you weirdo... getting entangled with him like that.
context: Sign: Hook-up party\You knew...?\Information travels fast.\As promised, neither of us are watching out for each other, right?\Sign: Hook-up party\Good luck with that hook-up party.\Thanks...\Yano, you weirdo... getting entangled with him like that. response:	What? He's the one who started it.
context: You knew...?\Information travels fast.\As promised, neither of us are watching out for each other, right?\Sign: Hook-up party\Good luck with that hook-up party.\Thanks...\Yano, you weirdo... getting entangled with him like that.\What? He's the one who started it. response:	You really like Takeuchi-kun a whole lot, don't you?
context: Information travels fast.\As promised, neither of us are watching out for each other, right?\Sign: Hook-up party\Good luck with that hook-up party.\Thanks...\Yano, you weirdo... getting entangled with him like that.\What? He's the one who started it.\You really like Takeuchi-kun a whole lot, don't you? response:	What?! Don't say sick stuff like that, you moron!
context: As promised, neither of us are watching out for each other, right?\Sign: Hook-up party\Good luck with that hook-up party.\Thanks...\Yano, you weirdo... getting entangled with him like that.\What? He's the one who started it.\You really like Takeuchi-kun a whole lot, don't you?\What?! Don't say sick stuff like that, you moron! response:	I'm only speaking the truth.
context: Sign: Hook-up party\Good luck with that hook-up party.\Thanks...\Yano, you weirdo... getting entangled with him like that.\What? He's the one who started it.\You really like Takeuchi-kun a whole lot, don't you?\What?! Don't say sick stuff like that, you moron!\I'm only speaking the truth. response:	Let's compare answer 3 and 4.
context: Good luck with that hook-up party.\Thanks...\Yano, you weirdo... getting entangled with him like that.\What? He's the one who started it.\You really like Takeuchi-kun a whole lot, don't you?\What?! Don't say sick stuff like that, you moron!\I'm only speaking the truth.\Let's compare answer 3 and 4. response:	Okay.
context: Thanks...\Yano, you weirdo... getting entangled with him like that.\What? He's the one who started it.\You really like Takeuchi-kun a whole lot, don't you?\What?! Don't say sick stuff like that, you moron!\I'm only speaking the truth.\Let's compare answer 3 and 4.\Okay. response:	Should I go get us something to drink?
context: Yano, you weirdo... getting entangled with him like that.\What? He's the one who started it.\You really like Takeuchi-kun a whole lot, don't you?\What?! Don't say sick stuff like that, you moron!\I'm only speaking the truth.\Let's compare answer 3 and 4.\Okay.\Should I go get us something to drink? response:	Nah, I'm good.
context: What? He's the one who started it.\You really like Takeuchi-kun a whole lot, don't you?\What?! Don't say sick stuff like that, you moron!\I'm only speaking the truth.\Let's compare answer 3 and 4.\Okay.\Should I go get us something to drink?\Nah, I'm good. response:	Yano, you're pretty serious today.
context: You really like Takeuchi-kun a whole lot, don't you?\What?! Don't say sick stuff like that, you moron!\I'm only speaking the truth.\Let's compare answer 3 and 4.\Okay.\Should I go get us something to drink?\Nah, I'm good.\Yano, you're pretty serious today. response:	You always screw around, and we never get any studying done.
context: What?! Don't say sick stuff like that, you moron!\I'm only speaking the truth.\Let's compare answer 3 and 4.\Okay.\Should I go get us something to drink?\Nah, I'm good.\Yano, you're pretty serious today.\You always screw around, and we never get any studying done. response:	Really?
context: I'm only speaking the truth.\Let's compare answer 3 and 4.\Okay.\Should I go get us something to drink?\Nah, I'm good.\Yano, you're pretty serious today.\You always screw around, and we never get any studying done.\Really? response:	Yeah... you're acting weird. What's gotten into you?
context: Let's compare answer 3 and 4.\Okay.\Should I go get us something to drink?\Nah, I'm good.\Yano, you're pretty serious today.\You always screw around, and we never get any studying done.\Really?\Yeah... you're acting weird. What's gotten into you? response:	Should we talk about something?
context: Okay.\Should I go get us something to drink?\Nah, I'm good.\Yano, you're pretty serious today.\You always screw around, and we never get any studying done.\Really?\Yeah... you're acting weird. What's gotten into you?\Should we talk about something? response:	You don't have to push yourself...
context: Should I go get us something to drink?\Nah, I'm good.\Yano, you're pretty serious today.\You always screw around, and we never get any studying done.\Really?\Yeah... you're acting weird. What's gotten into you?\Should we talk about something?\You don't have to push yourself... response:	It might be because I'm actually nervous.
context: Nah, I'm good.\Yano, you're pretty serious today.\You always screw around, and we never get any studying done.\Really?\Yeah... you're acting weird. What's gotten into you?\Should we talk about something?\You don't have to push yourself...\It might be because I'm actually nervous. response:	W-Why now, of all times?
context: Yano, you're pretty serious today.\You always screw around, and we never get any studying done.\Really?\Yeah... you're acting weird. What's gotten into you?\Should we talk about something?\You don't have to push yourself...\It might be because I'm actually nervous.\W-Why now, of all times? response:	I just feel like I might screw up by accident and make you angry again...
context: You always screw around, and we never get any studying done.\Really?\Yeah... you're acting weird. What's gotten into you?\Should we talk about something?\You don't have to push yourself...\It might be because I'm actually nervous.\W-Why now, of all times?\I just feel like I might screw up by accident and make you angry again... response:	You might yell get out! or something...
context: Really?\Yeah... you're acting weird. What's gotten into you?\Should we talk about something?\You don't have to push yourself...\It might be because I'm actually nervous.\W-Why now, of all times?\I just feel like I might screw up by accident and make you angry again...\You might yell get out! or something... response:	I wouldn't say something like that...
context: Yeah... you're acting weird. What's gotten into you?\Should we talk about something?\You don't have to push yourself...\It might be because I'm actually nervous.\W-Why now, of all times?\I just feel like I might screw up by accident and make you angry again...\You might yell get out! or something...\I wouldn't say something like that... response:	I've decided that I want to start over.
context: Should we talk about something?\You don't have to push yourself...\It might be because I'm actually nervous.\W-Why now, of all times?\I just feel like I might screw up by accident and make you angry again...\You might yell get out! or something...\I wouldn't say something like that...\I've decided that I want to start over. response:	That's why it's okay to act stupid like usual...
context: You don't have to push yourself...\It might be because I'm actually nervous.\W-Why now, of all times?\I just feel like I might screw up by accident and make you angry again...\You might yell get out! or something...\I wouldn't say something like that...\I've decided that I want to start over.\That's why it's okay to act stupid like usual... response:	When you're so obedient and quiet like this, it makes me queasy.
context: It might be because I'm actually nervous.\W-Why now, of all times?\I just feel like I might screw up by accident and make you angry again...\You might yell get out! or something...\I wouldn't say something like that...\I've decided that I want to start over.\That's why it's okay to act stupid like usual...\When you're so obedient and quiet like this, it makes me queasy. response:	It's true that it might've just been impulsive...
context: W-Why now, of all times?\I just feel like I might screw up by accident and make you angry again...\You might yell get out! or something...\I wouldn't say something like that...\I've decided that I want to start over.\That's why it's okay to act stupid like usual...\When you're so obedient and quiet like this, it makes me queasy.\It's true that it might've just been impulsive... response:	But...
context: I just feel like I might screw up by accident and make you angry again...\You might yell get out! or something...\I wouldn't say something like that...\I've decided that I want to start over.\That's why it's okay to act stupid like usual...\When you're so obedient and quiet like this, it makes me queasy.\It's true that it might've just been impulsive...\But... response:	I realized that I've been waiting for that impulse all along.
context: You might yell get out! or something...\I wouldn't say something like that...\I've decided that I want to start over.\That's why it's okay to act stupid like usual...\When you're so obedient and quiet like this, it makes me queasy.\It's true that it might've just been impulsive...\But...\I realized that I've been waiting for that impulse all along. response:	I did it!
context: I wouldn't say something like that...\I've decided that I want to start over.\That's why it's okay to act stupid like usual...\When you're so obedient and quiet like this, it makes me queasy.\It's true that it might've just been impulsive...\But...\I realized that I've been waiting for that impulse all along.\I did it! response:	You're too fast!
context: I've decided that I want to start over.\That's why it's okay to act stupid like usual...\When you're so obedient and quiet like this, it makes me queasy.\It's true that it might've just been impulsive...\But...\I realized that I've been waiting for that impulse all along.\I did it!\You're too fast! response:	Let's start with introductions!
context: That's why it's okay to act stupid like usual...\When you're so obedient and quiet like this, it makes me queasy.\It's true that it might've just been impulsive...\But...\I realized that I've been waiting for that impulse all along.\I did it!\You're too fast!\Let's start with introductions! response:	Introductions!
context: When you're so obedient and quiet like this, it makes me queasy.\It's true that it might've just been impulsive...\But...\I realized that I've been waiting for that impulse all along.\I did it!\You're too fast!\Let's start with introductions!\Introductions! response:	Well then, I'm Emiko! I like going to those stone-slab baths!
context: It's true that it might've just been impulsive...\But...\I realized that I've been waiting for that impulse all along.\I did it!\You're too fast!\Let's start with introductions!\Introductions!\Well then, I'm Emiko! I like going to those stone-slab baths! response:	Ah... I'm running to the bathroom for a sec.
context: But...\I realized that I've been waiting for that impulse all along.\I did it!\You're too fast!\Let's start with introductions!\Introductions!\Well then, I'm Emiko! I like going to those stone-slab baths!\Ah... I'm running to the bathroom for a sec. response:	It's on your left down there.
context: I realized that I've been waiting for that impulse all along.\I did it!\You're too fast!\Let's start with introductions!\Introductions!\Well then, I'm Emiko! I like going to those stone-slab baths!\Ah... I'm running to the bathroom for a sec.\It's on your left down there. response:	So what's all this about? Stone-slab baths?
context: I did it!\You're too fast!\Let's start with introductions!\Introductions!\Well then, I'm Emiko! I like going to those stone-slab baths!\Ah... I'm running to the bathroom for a sec.\It's on your left down there.\So what's all this about? Stone-slab baths? response:	Stone-slab baths are in fashion now?
context: You're too fast!\Let's start with introductions!\Introductions!\Well then, I'm Emiko! I like going to those stone-slab baths!\Ah... I'm running to the bathroom for a sec.\It's on your left down there.\So what's all this about? Stone-slab baths?\Stone-slab baths are in fashion now? response:	The bear flipped...!
context: Let's start with introductions!\Introductions!\Well then, I'm Emiko! I like going to those stone-slab baths!\Ah... I'm running to the bathroom for a sec.\It's on your left down there.\So what's all this about? Stone-slab baths?\Stone-slab baths are in fashion now?\The bear flipped...! response:	Seriously?
context: Introductions!\Well then, I'm Emiko! I like going to those stone-slab baths!\Ah... I'm running to the bathroom for a sec.\It's on your left down there.\So what's all this about? Stone-slab baths?\Stone-slab baths are in fashion now?\The bear flipped...!\Seriously? response:	He's so scary...
context: Well then, I'm Emiko! I like going to those stone-slab baths!\Ah... I'm running to the bathroom for a sec.\It's on your left down there.\So what's all this about? Stone-slab baths?\Stone-slab baths are in fashion now?\The bear flipped...!\Seriously?\He's so scary... response:	Anyone else who thinks they can flip, feel free to do so!
context: Ah... I'm running to the bathroom for a sec.\It's on your left down there.\So what's all this about? Stone-slab baths?\Stone-slab baths are in fashion now?\The bear flipped...!\Seriously?\He's so scary...\Anyone else who thinks they can flip, feel free to do so! response:	The bear's gym classes are always a little crazy...
context: It's on your left down there.\So what's all this about? Stone-slab baths?\Stone-slab baths are in fashion now?\The bear flipped...!\Seriously?\He's so scary...\Anyone else who thinks they can flip, feel free to do so!\The bear's gym classes are always a little crazy... response:	You gonna do it?
context: So what's all this about? Stone-slab baths?\Stone-slab baths are in fashion now?\The bear flipped...!\Seriously?\He's so scary...\Anyone else who thinks they can flip, feel free to do so!\The bear's gym classes are always a little crazy...\You gonna do it? response:	I'm drained... and besides, aren't you guys hungry?
context: Stone-slab baths are in fashion now?\The bear flipped...!\Seriously?\He's so scary...\Anyone else who thinks they can flip, feel free to do so!\The bear's gym classes are always a little crazy...\You gonna do it?\I'm drained... and besides, aren't you guys hungry? response:	Do you have any energy left?
context: The bear flipped...!\Seriously?\He's so scary...\Anyone else who thinks they can flip, feel free to do so!\The bear's gym classes are always a little crazy...\You gonna do it?\I'm drained... and besides, aren't you guys hungry?\Do you have any energy left? response:	Oh man, all the girls are watching.
context: Seriously?\He's so scary...\Anyone else who thinks they can flip, feel free to do so!\The bear's gym classes are always a little crazy...\You gonna do it?\I'm drained... and besides, aren't you guys hungry?\Do you have any energy left?\Oh man, all the girls are watching. response:	Here's the first challenger!
context: He's so scary...\Anyone else who thinks they can flip, feel free to do so!\The bear's gym classes are always a little crazy...\You gonna do it?\I'm drained... and besides, aren't you guys hungry?\Do you have any energy left?\Oh man, all the girls are watching.\Here's the first challenger! response:	Yano, huh?
context: Anyone else who thinks they can flip, feel free to do so!\The bear's gym classes are always a little crazy...\You gonna do it?\I'm drained... and besides, aren't you guys hungry?\Do you have any energy left?\Oh man, all the girls are watching.\Here's the first challenger!\Yano, huh? response:	He's never gotten better than a grade of 5 in gym before!
context: The bear's gym classes are always a little crazy...\You gonna do it?\I'm drained... and besides, aren't you guys hungry?\Do you have any energy left?\Oh man, all the girls are watching.\Here's the first challenger!\Yano, huh?\He's never gotten better than a grade of 5 in gym before! response:	He always gets so hyped when there's an audience...
context: You gonna do it?\I'm drained... and besides, aren't you guys hungry?\Do you have any energy left?\Oh man, all the girls are watching.\Here's the first challenger!\Yano, huh?\He's never gotten better than a grade of 5 in gym before!\He always gets so hyped when there's an audience... response:	Nice finish!
context: I'm drained... and besides, aren't you guys hungry?\Do you have any energy left?\Oh man, all the girls are watching.\Here's the first challenger!\Yano, huh?\He's never gotten better than a grade of 5 in gym before!\He always gets so hyped when there's an audience...\Nice finish! response:	Piece of cake.
context: Do you have any energy left?\Oh man, all the girls are watching.\Here's the first challenger!\Yano, huh?\He's never gotten better than a grade of 5 in gym before!\He always gets so hyped when there's an audience...\Nice finish!\Piece of cake. response:	Any other challengers out there?
context: Oh man, all the girls are watching.\Here's the first challenger!\Yano, huh?\He's never gotten better than a grade of 5 in gym before!\He always gets so hyped when there's an audience...\Nice finish!\Piece of cake.\Any other challengers out there? response:	Damn... he's sure standing out.
context: Here's the first challenger!\Yano, huh?\He's never gotten better than a grade of 5 in gym before!\He always gets so hyped when there's an audience...\Nice finish!\Piece of cake.\Any other challengers out there?\Damn... he's sure standing out. response:	All the girls are excited.
context: Yano, huh?\He's never gotten better than a grade of 5 in gym before!\He always gets so hyped when there's an audience...\Nice finish!\Piece of cake.\Any other challengers out there?\Damn... he's sure standing out.\All the girls are excited. response:	He really is amazing.
context: He's never gotten better than a grade of 5 in gym before!\He always gets so hyped when there's an audience...\Nice finish!\Piece of cake.\Any other challengers out there?\Damn... he's sure standing out.\All the girls are excited.\He really is amazing. response:	It's got nothing to do with me.
context: He always gets so hyped when there's an audience...\Nice finish!\Piece of cake.\Any other challengers out there?\Damn... he's sure standing out.\All the girls are excited.\He really is amazing.\It's got nothing to do with me. response:	Take, you're not gonna give it a shot?
context: Nice finish!\Piece of cake.\Any other challengers out there?\Damn... he's sure standing out.\All the girls are excited.\He really is amazing.\It's got nothing to do with me.\Take, you're not gonna give it a shot? response:	Nope, it's such a pain.
context: Piece of cake.\Any other challengers out there?\Damn... he's sure standing out.\All the girls are excited.\He really is amazing.\It's got nothing to do with me.\Take, you're not gonna give it a shot?\Nope, it's such a pain. response:	I guess. After all, you'd look so lame when you screw up.
context: Any other challengers out there?\Damn... he's sure standing out.\All the girls are excited.\He really is amazing.\It's got nothing to do with me.\Take, you're not gonna give it a shot?\Nope, it's such a pain.\I guess. After all, you'd look so lame when you screw up. response:	Well, don't push yourself or anything.
context: Damn... he's sure standing out.\All the girls are excited.\He really is amazing.\It's got nothing to do with me.\Take, you're not gonna give it a shot?\Nope, it's such a pain.\I guess. After all, you'd look so lame when you screw up.\Well, don't push yourself or anything. response:	And the second challenger!
context: All the girls are excited.\He really is amazing.\It's got nothing to do with me.\Take, you're not gonna give it a shot?\Nope, it's such a pain.\I guess. After all, you'd look so lame when you screw up.\Well, don't push yourself or anything.\And the second challenger! response:	Talk about rare! It's Takeuchi!
context: He really is amazing.\It's got nothing to do with me.\Take, you're not gonna give it a shot?\Nope, it's such a pain.\I guess. After all, you'd look so lame when you screw up.\Well, don't push yourself or anything.\And the second challenger!\Talk about rare! It's Takeuchi! response:	Huh? It's Takeuchi-kun.
context: It's got nothing to do with me.\Take, you're not gonna give it a shot?\Nope, it's such a pain.\I guess. After all, you'd look so lame when you screw up.\Well, don't push yourself or anything.\And the second challenger!\Talk about rare! It's Takeuchi!\Huh? It's Takeuchi-kun. response:	Isn't this kinda unusual?
context: Take, you're not gonna give it a shot?\Nope, it's such a pain.\I guess. After all, you'd look so lame when you screw up.\Well, don't push yourself or anything.\And the second challenger!\Talk about rare! It's Takeuchi!\Huh? It's Takeuchi-kun.\Isn't this kinda unusual? response:	Success! I guess I can handle this much, at least.
context: Nope, it's such a pain.\I guess. After all, you'd look so lame when you screw up.\Well, don't push yourself or anything.\And the second challenger!\Talk about rare! It's Takeuchi!\Huh? It's Takeuchi-kun.\Isn't this kinda unusual?\Success! I guess I can handle this much, at least. response:	He's pretty good, too! Takeuchi-kun sure is cool!
context: I guess. After all, you'd look so lame when you screw up.\Well, don't push yourself or anything.\And the second challenger!\Talk about rare! It's Takeuchi!\Huh? It's Takeuchi-kun.\Isn't this kinda unusual?\Success! I guess I can handle this much, at least.\He's pretty good, too! Takeuchi-kun sure is cool! response:	You can really feel his intensity.
context: Well, don't push yourself or anything.\And the second challenger!\Talk about rare! It's Takeuchi!\Huh? It's Takeuchi-kun.\Isn't this kinda unusual?\Success! I guess I can handle this much, at least.\He's pretty good, too! Takeuchi-kun sure is cool!\You can really feel his intensity. response:	Oh! Yano's going up again!
context: And the second challenger!\Talk about rare! It's Takeuchi!\Huh? It's Takeuchi-kun.\Isn't this kinda unusual?\Success! I guess I can handle this much, at least.\He's pretty good, too! Takeuchi-kun sure is cool!\You can really feel his intensity.\Oh! Yano's going up again! response:	Are you gonna spin this time?
context: Talk about rare! It's Takeuchi!\Huh? It's Takeuchi-kun.\Isn't this kinda unusual?\Success! I guess I can handle this much, at least.\He's pretty good, too! Takeuchi-kun sure is cool!\You can really feel his intensity.\Oh! Yano's going up again!\Are you gonna spin this time? response:	It looks like he's gonna try to spin!
context: Huh? It's Takeuchi-kun.\Isn't this kinda unusual?\Success! I guess I can handle this much, at least.\He's pretty good, too! Takeuchi-kun sure is cool!\You can really feel his intensity.\Oh! Yano's going up again!\Are you gonna spin this time?\It looks like he's gonna try to spin! response:	The word impossible is not in this man's dictionary!
context: Isn't this kinda unusual?\Success! I guess I can handle this much, at least.\He's pretty good, too! Takeuchi-kun sure is cool!\You can really feel his intensity.\Oh! Yano's going up again!\Are you gonna spin this time?\It looks like he's gonna try to spin!\The word impossible is not in this man's dictionary! response:	He really spun! He did a 1 80!
context: Success! I guess I can handle this much, at least.\He's pretty good, too! Takeuchi-kun sure is cool!\You can really feel his intensity.\Oh! Yano's going up again!\Are you gonna spin this time?\It looks like he's gonna try to spin!\The word impossible is not in this man's dictionary!\He really spun! He did a 1 80! response:	Takeuchi's going at it, too! Look at those two crazy guys!
context: He's pretty good, too! Takeuchi-kun sure is cool!\You can really feel his intensity.\Oh! Yano's going up again!\Are you gonna spin this time?\It looks like he's gonna try to spin!\The word impossible is not in this man's dictionary!\He really spun! He did a 1 80!\Takeuchi's going at it, too! Look at those two crazy guys! response:	Whoa! He's doing a full 360! Is it gonna be a 540 next?!
context: You can really feel his intensity.\Oh! Yano's going up again!\Are you gonna spin this time?\It looks like he's gonna try to spin!\The word impossible is not in this man's dictionary!\He really spun! He did a 1 80!\Takeuchi's going at it, too! Look at those two crazy guys!\Whoa! He's doing a full 360! Is it gonna be a 540 next?! response:	As to be expected, the teacher eventually stopped them.
context: Oh! Yano's going up again!\Are you gonna spin this time?\It looks like he's gonna try to spin!\The word impossible is not in this man's dictionary!\He really spun! He did a 1 80!\Takeuchi's going at it, too! Look at those two crazy guys!\Whoa! He's doing a full 360! Is it gonna be a 540 next?!\As to be expected, the teacher eventually stopped them. response:	Ow, geez... my hip hurts like hell.
context: Are you gonna spin this time?\It looks like he's gonna try to spin!\The word impossible is not in this man's dictionary!\He really spun! He did a 1 80!\Takeuchi's going at it, too! Look at those two crazy guys!\Whoa! He's doing a full 360! Is it gonna be a 540 next?!\As to be expected, the teacher eventually stopped them.\Ow, geez... my hip hurts like hell. response:	You moron.
context: It looks like he's gonna try to spin!\The word impossible is not in this man's dictionary!\He really spun! He did a 1 80!\Takeuchi's going at it, too! Look at those two crazy guys!\Whoa! He's doing a full 360! Is it gonna be a 540 next?!\As to be expected, the teacher eventually stopped them.\Ow, geez... my hip hurts like hell.\You moron. response:	You guys...
context: The word impossible is not in this man's dictionary!\He really spun! He did a 1 80!\Takeuchi's going at it, too! Look at those two crazy guys!\Whoa! He's doing a full 360! Is it gonna be a 540 next?!\As to be expected, the teacher eventually stopped them.\Ow, geez... my hip hurts like hell.\You moron.\You guys... response:	I thought you settled things, so why are you still at each other's throats?
context: He really spun! He did a 1 80!\Takeuchi's going at it, too! Look at those two crazy guys!\Whoa! He's doing a full 360! Is it gonna be a 540 next?!\As to be expected, the teacher eventually stopped them.\Ow, geez... my hip hurts like hell.\You moron.\You guys...\I thought you settled things, so why are you still at each other's throats? response:	Huh? He's the one at my throat.
context: Takeuchi's going at it, too! Look at those two crazy guys!\Whoa! He's doing a full 360! Is it gonna be a 540 next?!\As to be expected, the teacher eventually stopped them.\Ow, geez... my hip hurts like hell.\You moron.\You guys...\I thought you settled things, so why are you still at each other's throats?\Huh? He's the one at my throat. response:	It's weird that he's still at it, huh?
context: Whoa! He's doing a full 360! Is it gonna be a 540 next?!\As to be expected, the teacher eventually stopped them.\Ow, geez... my hip hurts like hell.\You moron.\You guys...\I thought you settled things, so why are you still at each other's throats?\Huh? He's the one at my throat.\It's weird that he's still at it, huh? response:	Same goes for you.
context: As to be expected, the teacher eventually stopped them.\Ow, geez... my hip hurts like hell.\You moron.\You guys...\I thought you settled things, so why are you still at each other's throats?\Huh? He's the one at my throat.\It's weird that he's still at it, huh?\Same goes for you. response:	Today's gym class was so much fun!
context: Ow, geez... my hip hurts like hell.\You moron.\You guys...\I thought you settled things, so why are you still at each other's throats?\Huh? He's the one at my throat.\It's weird that he's still at it, huh?\Same goes for you.\Today's gym class was so much fun! response:	Those two were so cool!
context: You moron.\You guys...\I thought you settled things, so why are you still at each other's throats?\Huh? He's the one at my throat.\It's weird that he's still at it, huh?\Same goes for you.\Today's gym class was so much fun!\Those two were so cool! response:	Especially Yano!
context: You guys...\I thought you settled things, so why are you still at each other's throats?\Huh? He's the one at my throat.\It's weird that he's still at it, huh?\Same goes for you.\Today's gym class was so much fun!\Those two were so cool!\Especially Yano! response:	Nana, I'm jealous.
context: I thought you settled things, so why are you still at each other's throats?\Huh? He's the one at my throat.\It's weird that he's still at it, huh?\Same goes for you.\Today's gym class was so much fun!\Those two were so cool!\Especially Yano!\Nana, I'm jealous. response:	Y-Yeah.
context: Huh? He's the one at my throat.\It's weird that he's still at it, huh?\Same goes for you.\Today's gym class was so much fun!\Those two were so cool!\Especially Yano!\Nana, I'm jealous.\Y-Yeah. response:	Oh, geez. Why am I grinning so much about this?
context: It's weird that he's still at it, huh?\Same goes for you.\Today's gym class was so much fun!\Those two were so cool!\Especially Yano!\Nana, I'm jealous.\Y-Yeah.\Oh, geez. Why am I grinning so much about this? response:	Makes you wonder if there's anything Yano's not good at.
context: Same goes for you.\Today's gym class was so much fun!\Those two were so cool!\Especially Yano!\Nana, I'm jealous.\Y-Yeah.\Oh, geez. Why am I grinning so much about this?\Makes you wonder if there's anything Yano's not good at. response:	Yeah.
context: Today's gym class was so much fun!\Those two were so cool!\Especially Yano!\Nana, I'm jealous.\Y-Yeah.\Oh, geez. Why am I grinning so much about this?\Makes you wonder if there's anything Yano's not good at.\Yeah. response:	Something he's not good at... Is there anything he's not good at?
context: Those two were so cool!\Especially Yano!\Nana, I'm jealous.\Y-Yeah.\Oh, geez. Why am I grinning so much about this?\Makes you wonder if there's anything Yano's not good at.\Yeah.\Something he's not good at... Is there anything he's not good at? response:	When I first entered high school, that's the question I asked him...
context: Especially Yano!\Nana, I'm jealous.\Y-Yeah.\Oh, geez. Why am I grinning so much about this?\Makes you wonder if there's anything Yano's not good at.\Yeah.\Something he's not good at... Is there anything he's not good at?\When I first entered high school, that's the question I asked him... response:	Back then, Yano was so scary to me...
context: Nana, I'm jealous.\Y-Yeah.\Oh, geez. Why am I grinning so much about this?\Makes you wonder if there's anything Yano's not good at.\Yeah.\Something he's not good at... Is there anything he's not good at?\When I first entered high school, that's the question I asked him...\Back then, Yano was so scary to me... response:	Now that I think back on it, it's kind of mysterious.
context: Y-Yeah.\Oh, geez. Why am I grinning so much about this?\Makes you wonder if there's anything Yano's not good at.\Yeah.\Something he's not good at... Is there anything he's not good at?\When I first entered high school, that's the question I asked him...\Back then, Yano was so scary to me...\Now that I think back on it, it's kind of mysterious. response:	But... he really did look like someone who could do anything back then.
context: Oh, geez. Why am I grinning so much about this?\Makes you wonder if there's anything Yano's not good at.\Yeah.\Something he's not good at... Is there anything he's not good at?\When I first entered high school, that's the question I asked him...\Back then, Yano was so scary to me...\Now that I think back on it, it's kind of mysterious.\But... he really did look like someone who could do anything back then. response:	Though now I know...
context: Makes you wonder if there's anything Yano's not good at.\Yeah.\Something he's not good at... Is there anything he's not good at?\When I first entered high school, that's the question I asked him...\Back then, Yano was so scary to me...\Now that I think back on it, it's kind of mysterious.\But... he really did look like someone who could do anything back then.\Though now I know... response:	Love.
context: Yeah.\Something he's not good at... Is there anything he's not good at?\When I first entered high school, that's the question I asked him...\Back then, Yano was so scary to me...\Now that I think back on it, it's kind of mysterious.\But... he really did look like someone who could do anything back then.\Though now I know...\Love. response:	Whenever you're uneasy about something, you tend to get even more uneasy about it the more it's brought up.
context: Something he's not good at... Is there anything he's not good at?\When I first entered high school, that's the question I asked him...\Back then, Yano was so scary to me...\Now that I think back on it, it's kind of mysterious.\But... he really did look like someone who could do anything back then.\Though now I know...\Love.\Whenever you're uneasy about something, you tend to get even more uneasy about it the more it's brought up. response:	Even Yano, who jumps over the vaulting horse so easily, is no different.
context: When I first entered high school, that's the question I asked him...\Back then, Yano was so scary to me...\Now that I think back on it, it's kind of mysterious.\But... he really did look like someone who could do anything back then.\Though now I know...\Love.\Whenever you're uneasy about something, you tend to get even more uneasy about it the more it's brought up.\Even Yano, who jumps over the vaulting horse so easily, is no different. response:	And when I think of that...
context: Back then, Yano was so scary to me...\Now that I think back on it, it's kind of mysterious.\But... he really did look like someone who could do anything back then.\Though now I know...\Love.\Whenever you're uneasy about something, you tend to get even more uneasy about it the more it's brought up.\Even Yano, who jumps over the vaulting horse so easily, is no different.\And when I think of that... response:	Hey, I noticed this before... your lunches are always packed with whole lot of stuff, huh?
context: Now that I think back on it, it's kind of mysterious.\But... he really did look like someone who could do anything back then.\Though now I know...\Love.\Whenever you're uneasy about something, you tend to get even more uneasy about it the more it's brought up.\Even Yano, who jumps over the vaulting horse so easily, is no different.\And when I think of that...\Hey, I noticed this before... your lunches are always packed with whole lot of stuff, huh? response:	Really?
context: But... he really did look like someone who could do anything back then.\Though now I know...\Love.\Whenever you're uneasy about something, you tend to get even more uneasy about it the more it's brought up.\Even Yano, who jumps over the vaulting horse so easily, is no different.\And when I think of that...\Hey, I noticed this before... your lunches are always packed with whole lot of stuff, huh?\Really? response:	Yeah, it's completely different from the lunches my mom makes.
context: Though now I know...\Love.\Whenever you're uneasy about something, you tend to get even more uneasy about it the more it's brought up.\Even Yano, who jumps over the vaulting horse so easily, is no different.\And when I think of that...\Hey, I noticed this before... your lunches are always packed with whole lot of stuff, huh?\Really?\Yeah, it's completely different from the lunches my mom makes. response:	She always just uses last night's leftovers or something.
context: Love.\Whenever you're uneasy about something, you tend to get even more uneasy about it the more it's brought up.\Even Yano, who jumps over the vaulting horse so easily, is no different.\And when I think of that...\Hey, I noticed this before... your lunches are always packed with whole lot of stuff, huh?\Really?\Yeah, it's completely different from the lunches my mom makes.\She always just uses last night's leftovers or something. response:	Let me have a bite.
context: Whenever you're uneasy about something, you tend to get even more uneasy about it the more it's brought up.\Even Yano, who jumps over the vaulting horse so easily, is no different.\And when I think of that...\Hey, I noticed this before... your lunches are always packed with whole lot of stuff, huh?\Really?\Yeah, it's completely different from the lunches my mom makes.\She always just uses last night's leftovers or something.\Let me have a bite. response:	No.
context: Even Yano, who jumps over the vaulting horse so easily, is no different.\And when I think of that...\Hey, I noticed this before... your lunches are always packed with whole lot of stuff, huh?\Really?\Yeah, it's completely different from the lunches my mom makes.\She always just uses last night's leftovers or something.\Let me have a bite.\No. response:	Why not?
context: And when I think of that...\Hey, I noticed this before... your lunches are always packed with whole lot of stuff, huh?\Really?\Yeah, it's completely different from the lunches my mom makes.\She always just uses last night's leftovers or something.\Let me have a bite.\No.\Why not? response:	It's not as tasty as it looks.
