context: Let's go to the beach sometime. response:	The sound of
context: Your record at the track meetI'm impressed.\It was so bad.\No, it wasn't.\Call me if you want to talk about anything.\Oh, I have summer camp for a week starting the day after tomorrow.\I'd prefer if you could call me before or after that.\Working hard first thing in the morning, huh, Onee-san?\You're keeping up well with your club work, too. response:	Hey.
context: It was so bad.\No, it wasn't.\Call me if you want to talk about anything.\Oh, I have summer camp for a week starting the day after tomorrow.\I'd prefer if you could call me before or after that.\Working hard first thing in the morning, huh, Onee-san?\You're keeping up well with your club work, too.\Hey. response:	I saw Yukinari-san yesterday.
context: No, it wasn't.\Call me if you want to talk about anything.\Oh, I have summer camp for a week starting the day after tomorrow.\I'd prefer if you could call me before or after that.\Working hard first thing in the morning, huh, Onee-san?\You're keeping up well with your club work, too.\Hey.\I saw Yukinari-san yesterday. response:	From our pool we can see him on his routine run.
context: Call me if you want to talk about anything.\Oh, I have summer camp for a week starting the day after tomorrow.\I'd prefer if you could call me before or after that.\Working hard first thing in the morning, huh, Onee-san?\You're keeping up well with your club work, too.\Hey.\I saw Yukinari-san yesterday.\From our pool we can see him on his routine run. response:	I don't really get it,
context: Oh, I have summer camp for a week starting the day after tomorrow.\I'd prefer if you could call me before or after that.\Working hard first thing in the morning, huh, Onee-san?\You're keeping up well with your club work, too.\Hey.\I saw Yukinari-san yesterday.\From our pool we can see him on his routine run.\I don't really get it, response:	but he's kind of our club's idol.
context: I'd prefer if you could call me before or after that.\Working hard first thing in the morning, huh, Onee-san?\You're keeping up well with your club work, too.\Hey.\I saw Yukinari-san yesterday.\From our pool we can see him on his routine run.\I don't really get it,\but he's kind of our club's idol. response:	They're talking about making a fan club and stuff.
context: Working hard first thing in the morning, huh, Onee-san?\You're keeping up well with your club work, too.\Hey.\I saw Yukinari-san yesterday.\From our pool we can see him on his routine run.\I don't really get it,\but he's kind of our club's idol.\They're talking about making a fan club and stuff. response:	Wow! That's Yuki-kun.
context: You're keeping up well with your club work, too.\Hey.\I saw Yukinari-san yesterday.\From our pool we can see him on his routine run.\I don't really get it,\but he's kind of our club's idol.\They're talking about making a fan club and stuff.\Wow! That's Yuki-kun. response:	Small world, huh?
context: Hey.\I saw Yukinari-san yesterday.\From our pool we can see him on his routine run.\I don't really get it,\but he's kind of our club's idol.\They're talking about making a fan club and stuff.\Wow! That's Yuki-kun.\Small world, huh? response:	Yuki-kun's hot.
context: I saw Yukinari-san yesterday.\From our pool we can see him on his routine run.\I don't really get it,\but he's kind of our club's idol.\They're talking about making a fan club and stuff.\Wow! That's Yuki-kun.\Small world, huh?\Yuki-kun's hot. response:	I'm not surprised.
context: From our pool we can see him on his routine run.\I don't really get it,\but he's kind of our club's idol.\They're talking about making a fan club and stuff.\Wow! That's Yuki-kun.\Small world, huh?\Yuki-kun's hot.\I'm not surprised. response:	True, he looked good running.
context: I don't really get it,\but he's kind of our club's idol.\They're talking about making a fan club and stuff.\Wow! That's Yuki-kun.\Small world, huh?\Yuki-kun's hot.\I'm not surprised.\True, he looked good running. response:	Yeah, Yuki-kun is good-looking.
context: but he's kind of our club's idol.\They're talking about making a fan club and stuff.\Wow! That's Yuki-kun.\Small world, huh?\Yuki-kun's hot.\I'm not surprised.\True, he looked good running.\Yeah, Yuki-kun is good-looking. response:	Onee-chan, did something happen?
context: They're talking about making a fan club and stuff.\Wow! That's Yuki-kun.\Small world, huh?\Yuki-kun's hot.\I'm not surprised.\True, he looked good running.\Yeah, Yuki-kun is good-looking.\Onee-chan, did something happen? response:	Why? Nothing.
context: Wow! That's Yuki-kun.\Small world, huh?\Yuki-kun's hot.\I'm not surprised.\True, he looked good running.\Yeah, Yuki-kun is good-looking.\Onee-chan, did something happen?\Why? Nothing. response:	You're such a bad liar.
context: Small world, huh?\Yuki-kun's hot.\I'm not surprised.\True, he looked good running.\Yeah, Yuki-kun is good-looking.\Onee-chan, did something happen?\Why? Nothing.\You're such a bad liar. response:	Um... I'm going to go visit Sacchan.
context: Yuki-kun's hot.\I'm not surprised.\True, he looked good running.\Yeah, Yuki-kun is good-looking.\Onee-chan, did something happen?\Why? Nothing.\You're such a bad liar.\Um... I'm going to go visit Sacchan. response:	I have to go, too.
context: I'm not surprised.\True, he looked good running.\Yeah, Yuki-kun is good-looking.\Onee-chan, did something happen?\Why? Nothing.\You're such a bad liar.\Um... I'm going to go visit Sacchan.\I have to go, too. response:	My tests are starting soon.
context: True, he looked good running.\Yeah, Yuki-kun is good-looking.\Onee-chan, did something happen?\Why? Nothing.\You're such a bad liar.\Um... I'm going to go visit Sacchan.\I have to go, too.\My tests are starting soon. response:	Oh, really?
context: Yeah, Yuki-kun is good-looking.\Onee-chan, did something happen?\Why? Nothing.\You're such a bad liar.\Um... I'm going to go visit Sacchan.\I have to go, too.\My tests are starting soon.\Oh, really? response:	I'll get going, then.
context: Onee-chan, did something happen?\Why? Nothing.\You're such a bad liar.\Um... I'm going to go visit Sacchan.\I have to go, too.\My tests are starting soon.\Oh, really?\I'll get going, then. response:	Thanks for coming every day.
context: Why? Nothing.\You're such a bad liar.\Um... I'm going to go visit Sacchan.\I have to go, too.\My tests are starting soon.\Oh, really?\I'll get going, then.\Thanks for coming every day. response:	Sure.
context: You're such a bad liar.\Um... I'm going to go visit Sacchan.\I have to go, too.\My tests are starting soon.\Oh, really?\I'll get going, then.\Thanks for coming every day.\Sure. response:	Bye.
context: Um... I'm going to go visit Sacchan.\I have to go, too.\My tests are starting soon.\Oh, really?\I'll get going, then.\Thanks for coming every day.\Sure.\Bye. response:	Nee-chan.
context: I have to go, too.\My tests are starting soon.\Oh, really?\I'll get going, then.\Thanks for coming every day.\Sure.\Bye.\Nee-chan. response:	Yes?
context: My tests are starting soon.\Oh, really?\I'll get going, then.\Thanks for coming every day.\Sure.\Bye.\Nee-chan.\Yes? response:	I'm coming in.
context: Oh, really?\I'll get going, then.\Thanks for coming every day.\Sure.\Bye.\Nee-chan.\Yes?\I'm coming in. response:	How are you? Doing okay?
context: I'll get going, then.\Thanks for coming every day.\Sure.\Bye.\Nee-chan.\Yes?\I'm coming in.\How are you? Doing okay? response:	Yeah, I'm fine.
context: Thanks for coming every day.\Sure.\Bye.\Nee-chan.\Yes?\I'm coming in.\How are you? Doing okay?\Yeah, I'm fine. response:	Oh, that's
context: Sure.\Bye.\Nee-chan.\Yes?\I'm coming in.\How are you? Doing okay?\Yeah, I'm fine.\Oh, that's response:	Wait, let me guess.
context: Bye.\Nee-chan.\Yes?\I'm coming in.\How are you? Doing okay?\Yeah, I'm fine.\Oh, that's\Wait, let me guess. response:	A gift from Hiro-kun.
context: Nee-chan.\Yes?\I'm coming in.\How are you? Doing okay?\Yeah, I'm fine.\Oh, that's\Wait, let me guess.\A gift from Hiro-kun. response:	Right?
context: Yes?\I'm coming in.\How are you? Doing okay?\Yeah, I'm fine.\Oh, that's\Wait, let me guess.\A gift from Hiro-kun.\Right? response:	Right.
context: I'm coming in.\How are you? Doing okay?\Yeah, I'm fine.\Oh, that's\Wait, let me guess.\A gift from Hiro-kun.\Right?\Right. response:	Kakeru-kun?
context: How are you? Doing okay?\Yeah, I'm fine.\Oh, that's\Wait, let me guess.\A gift from Hiro-kun.\Right?\Right.\Kakeru-kun? response:	Oh, um, Okikura-kun.
context: Yeah, I'm fine.\Oh, that's\Wait, let me guess.\A gift from Hiro-kun.\Right?\Right.\Kakeru-kun?\Oh, um, Okikura-kun. response:	Yeah.
context: Oh, that's\Wait, let me guess.\A gift from Hiro-kun.\Right?\Right.\Kakeru-kun?\Oh, um, Okikura-kun.\Yeah. response:	So Kakeru-kun
context: Wait, let me guess.\A gift from Hiro-kun.\Right?\Right.\Kakeru-kun?\Oh, um, Okikura-kun.\Yeah.\So Kakeru-kun response:	said something a bit nasty.
context: A gift from Hiro-kun.\Right?\Right.\Kakeru-kun?\Oh, um, Okikura-kun.\Yeah.\So Kakeru-kun\said something a bit nasty. response:	Yana-chan heard him, and...
context: Right?\Right.\Kakeru-kun?\Oh, um, Okikura-kun.\Yeah.\So Kakeru-kun\said something a bit nasty.\Yana-chan heard him, and... response:	When?
context: Right.\Kakeru-kun?\Oh, um, Okikura-kun.\Yeah.\So Kakeru-kun\said something a bit nasty.\Yana-chan heard him, and...\When? response:	Tomorrow afternoon.
context: Kakeru-kun?\Oh, um, Okikura-kun.\Yeah.\So Kakeru-kun\said something a bit nasty.\Yana-chan heard him, and...\When?\Tomorrow afternoon. response:	Ah. I heard the weather will be nice tomorrow, too.
context: Oh, um, Okikura-kun.\Yeah.\So Kakeru-kun\said something a bit nasty.\Yana-chan heard him, and...\When?\Tomorrow afternoon.\Ah. I heard the weather will be nice tomorrow, too. response:	I thought maybe if we went to the beach together tomorrow...
context: Yeah.\So Kakeru-kun\said something a bit nasty.\Yana-chan heard him, and...\When?\Tomorrow afternoon.\Ah. I heard the weather will be nice tomorrow, too.\I thought maybe if we went to the beach together tomorrow... response:	What?
context: So Kakeru-kun\said something a bit nasty.\Yana-chan heard him, and...\When?\Tomorrow afternoon.\Ah. I heard the weather will be nice tomorrow, too.\I thought maybe if we went to the beach together tomorrow...\What? response:	Yeah,
context: said something a bit nasty.\Yana-chan heard him, and...\When?\Tomorrow afternoon.\Ah. I heard the weather will be nice tomorrow, too.\I thought maybe if we went to the beach together tomorrow...\What?\Yeah, response:	I thought maybe I might see something new.
context: Yana-chan heard him, and...\When?\Tomorrow afternoon.\Ah. I heard the weather will be nice tomorrow, too.\I thought maybe if we went to the beach together tomorrow...\What?\Yeah,\I thought maybe I might see something new. response:	Something? Those sparkly things?
context: When?\Tomorrow afternoon.\Ah. I heard the weather will be nice tomorrow, too.\I thought maybe if we went to the beach together tomorrow...\What?\Yeah,\I thought maybe I might see something new.\Something? Those sparkly things? response:	I think being with Kakeru-kun,
context: Tomorrow afternoon.\Ah. I heard the weather will be nice tomorrow, too.\I thought maybe if we went to the beach together tomorrow...\What?\Yeah,\I thought maybe I might see something new.\Something? Those sparkly things?\I think being with Kakeru-kun, response:	I'm starting to understand what those are.
context: Ah. I heard the weather will be nice tomorrow, too.\I thought maybe if we went to the beach together tomorrow...\What?\Yeah,\I thought maybe I might see something new.\Something? Those sparkly things?\I think being with Kakeru-kun,\I'm starting to understand what those are. response:	I'll let you know when I have a better idea.
context: I thought maybe if we went to the beach together tomorrow...\What?\Yeah,\I thought maybe I might see something new.\Something? Those sparkly things?\I think being with Kakeru-kun,\I'm starting to understand what those are.\I'll let you know when I have a better idea. response:	Okay.
context: What?\Yeah,\I thought maybe I might see something new.\Something? Those sparkly things?\I think being with Kakeru-kun,\I'm starting to understand what those are.\I'll let you know when I have a better idea.\Okay. response:	What?
context: Yeah,\I thought maybe I might see something new.\Something? Those sparkly things?\I think being with Kakeru-kun,\I'm starting to understand what those are.\I'll let you know when I have a better idea.\Okay.\What? response:	Where're you going?
context: I thought maybe I might see something new.\Something? Those sparkly things?\I think being with Kakeru-kun,\I'm starting to understand what those are.\I'll let you know when I have a better idea.\Okay.\What?\Where're you going? response:	The coach is coming.
context: Something? Those sparkly things?\I think being with Kakeru-kun,\I'm starting to understand what those are.\I'll let you know when I have a better idea.\Okay.\What?\Where're you going?\The coach is coming. response:	Hina.
context: I think being with Kakeru-kun,\I'm starting to understand what those are.\I'll let you know when I have a better idea.\Okay.\What?\Where're you going?\The coach is coming.\Hina. response:	Hi again.
context: I'm starting to understand what those are.\I'll let you know when I have a better idea.\Okay.\What?\Where're you going?\The coach is coming.\Hina.\Hi again. response:	I'm Touko Fukami's sister, Hina Fukami.
context: I'll let you know when I have a better idea.\Okay.\What?\Where're you going?\The coach is coming.\Hina.\Hi again.\I'm Touko Fukami's sister, Hina Fukami. response:	Hey, um...
context: Okay.\What?\Where're you going?\The coach is coming.\Hina.\Hi again.\I'm Touko Fukami's sister, Hina Fukami.\Hey, um... response:	please stay attractive.
context: What?\Where're you going?\The coach is coming.\Hina.\Hi again.\I'm Touko Fukami's sister, Hina Fukami.\Hey, um...\please stay attractive. response:	Please stay attractive.
context: Where're you going?\The coach is coming.\Hina.\Hi again.\I'm Touko Fukami's sister, Hina Fukami.\Hey, um...\please stay attractive.\Please stay attractive. response:	Is it not the future?
context: The coach is coming.\Hina.\Hi again.\I'm Touko Fukami's sister, Hina Fukami.\Hey, um...\please stay attractive.\Please stay attractive.\Is it not the future? response:	What's wrong, Sacchan? It's so late.
context: Hina.\Hi again.\I'm Touko Fukami's sister, Hina Fukami.\Hey, um...\please stay attractive.\Please stay attractive.\Is it not the future?\What's wrong, Sacchan? It's so late. response:	I want to go to the beach.
context: Hi again.\I'm Touko Fukami's sister, Hina Fukami.\Hey, um...\please stay attractive.\Please stay attractive.\Is it not the future?\What's wrong, Sacchan? It's so late.\I want to go to the beach. response:	I'm being discharged tomorrow.
context: I'm Touko Fukami's sister, Hina Fukami.\Hey, um...\please stay attractive.\Please stay attractive.\Is it not the future?\What's wrong, Sacchan? It's so late.\I want to go to the beach.\I'm being discharged tomorrow. response:	Let's all go in the afternoon.
context: Hey, um...\please stay attractive.\Please stay attractive.\Is it not the future?\What's wrong, Sacchan? It's so late.\I want to go to the beach.\I'm being discharged tomorrow.\Let's all go in the afternoon. response:	I want to see Yukinari-kun and Yanagi-chan, too.
context: please stay attractive.\Please stay attractive.\Is it not the future?\What's wrong, Sacchan? It's so late.\I want to go to the beach.\I'm being discharged tomorrow.\Let's all go in the afternoon.\I want to see Yukinari-kun and Yanagi-chan, too. response:	And I want to light fireworks at night.
context: Please stay attractive.\Is it not the future?\What's wrong, Sacchan? It's so late.\I want to go to the beach.\I'm being discharged tomorrow.\Let's all go in the afternoon.\I want to see Yukinari-kun and Yanagi-chan, too.\And I want to light fireworks at night. response:	Okay. Sounds good.
context: Is it not the future?\What's wrong, Sacchan? It's so late.\I want to go to the beach.\I'm being discharged tomorrow.\Let's all go in the afternoon.\I want to see Yukinari-kun and Yanagi-chan, too.\And I want to light fireworks at night.\Okay. Sounds good. response:	I know it's short notice, but I'll let Touko-chan know.
context: What's wrong, Sacchan? It's so late.\I want to go to the beach.\I'm being discharged tomorrow.\Let's all go in the afternoon.\I want to see Yukinari-kun and Yanagi-chan, too.\And I want to light fireworks at night.\Okay. Sounds good.\I know it's short notice, but I'll let Touko-chan know. response:	Got it.
context: I want to go to the beach.\I'm being discharged tomorrow.\Let's all go in the afternoon.\I want to see Yukinari-kun and Yanagi-chan, too.\And I want to light fireworks at night.\Okay. Sounds good.\I know it's short notice, but I'll let Touko-chan know.\Got it. response:	I'll tell Yanagi-san and Yukinari.
context: I'm being discharged tomorrow.\Let's all go in the afternoon.\I want to see Yukinari-kun and Yanagi-chan, too.\And I want to light fireworks at night.\Okay. Sounds good.\I know it's short notice, but I'll let Touko-chan know.\Got it.\I'll tell Yanagi-san and Yukinari. response:	What'll you have?
context: Let's all go in the afternoon.\I want to see Yukinari-kun and Yanagi-chan, too.\And I want to light fireworks at night.\Okay. Sounds good.\I know it's short notice, but I'll let Touko-chan know.\Got it.\I'll tell Yanagi-san and Yukinari.\What'll you have? response:	You never replied to my message about going to the beach.
context: I want to see Yukinari-kun and Yanagi-chan, too.\And I want to light fireworks at night.\Okay. Sounds good.\I know it's short notice, but I'll let Touko-chan know.\Got it.\I'll tell Yanagi-san and Yukinari.\What'll you have?\You never replied to my message about going to the beach. response:	You can make it, right?
context: And I want to light fireworks at night.\Okay. Sounds good.\I know it's short notice, but I'll let Touko-chan know.\Got it.\I'll tell Yanagi-san and Yukinari.\What'll you have?\You never replied to my message about going to the beach.\You can make it, right? response:	Yanagi-san said she can come.
context: Okay. Sounds good.\I know it's short notice, but I'll let Touko-chan know.\Got it.\I'll tell Yanagi-san and Yukinari.\What'll you have?\You never replied to my message about going to the beach.\You can make it, right?\Yanagi-san said she can come. response:	Ah.
context: I know it's short notice, but I'll let Touko-chan know.\Got it.\I'll tell Yanagi-san and Yukinari.\What'll you have?\You never replied to my message about going to the beach.\You can make it, right?\Yanagi-san said she can come.\Ah. response:	Don't ah me!
context: Got it.\I'll tell Yanagi-san and Yukinari.\What'll you have?\You never replied to my message about going to the beach.\You can make it, right?\Yanagi-san said she can come.\Ah.\Don't ah me! response:	Are you okay?
context: I'll tell Yanagi-san and Yukinari.\What'll you have?\You never replied to my message about going to the beach.\You can make it, right?\Yanagi-san said she can come.\Ah.\Don't ah me!\Are you okay? response:	What the heck, man?
context: What'll you have?\You never replied to my message about going to the beach.\You can make it, right?\Yanagi-san said she can come.\Ah.\Don't ah me!\Are you okay?\What the heck, man? response:	He's going to the beach with his girlfriend today, right? How nice...
context: You never replied to my message about going to the beach.\You can make it, right?\Yanagi-san said she can come.\Ah.\Don't ah me!\Are you okay?\What the heck, man?\He's going to the beach with his girlfriend today, right? How nice... response:	He's grown up to be a weird kid.
context: You can make it, right?\Yanagi-san said she can come.\Ah.\Don't ah me!\Are you okay?\What the heck, man?\He's going to the beach with his girlfriend today, right? How nice...\He's grown up to be a weird kid. response:	Oh? I think he's a charming young man.
context: Yanagi-san said she can come.\Ah.\Don't ah me!\Are you okay?\What the heck, man?\He's going to the beach with his girlfriend today, right? How nice...\He's grown up to be a weird kid.\Oh? I think he's a charming young man. response:	That doesn't sound like something a mother would say.
context: Ah.\Don't ah me!\Are you okay?\What the heck, man?\He's going to the beach with his girlfriend today, right? How nice...\He's grown up to be a weird kid.\Oh? I think he's a charming young man.\That doesn't sound like something a mother would say. response:	So, about that thing
context: Don't ah me!\Are you okay?\What the heck, man?\He's going to the beach with his girlfriend today, right? How nice...\He's grown up to be a weird kid.\Oh? I think he's a charming young man.\That doesn't sound like something a mother would say.\So, about that thing response:	The tests got delayed.
context: Are you okay?\What the heck, man?\He's going to the beach with his girlfriend today, right? How nice...\He's grown up to be a weird kid.\Oh? I think he's a charming young man.\That doesn't sound like something a mother would say.\So, about that thing\The tests got delayed. response:	She's staying until tomorrow.
context: What the heck, man?\He's going to the beach with his girlfriend today, right? How nice...\He's grown up to be a weird kid.\Oh? I think he's a charming young man.\That doesn't sound like something a mother would say.\So, about that thing\The tests got delayed.\She's staying until tomorrow. response:	Is that so?
context: He's going to the beach with his girlfriend today, right? How nice...\He's grown up to be a weird kid.\Oh? I think he's a charming young man.\That doesn't sound like something a mother would say.\So, about that thing\The tests got delayed.\She's staying until tomorrow.\Is that so? response:	Sachi, I'm positive I told you yesterday.
context: He's grown up to be a weird kid.\Oh? I think he's a charming young man.\That doesn't sound like something a mother would say.\So, about that thing\The tests got delayed.\She's staying until tomorrow.\Is that so?\Sachi, I'm positive I told you yesterday. response:	Is that right?
context: Oh? I think he's a charming young man.\That doesn't sound like something a mother would say.\So, about that thing\The tests got delayed.\She's staying until tomorrow.\Is that so?\Sachi, I'm positive I told you yesterday.\Is that right? response:	Goodness.
context: That doesn't sound like something a mother would say.\So, about that thing\The tests got delayed.\She's staying until tomorrow.\Is that so?\Sachi, I'm positive I told you yesterday.\Is that right?\Goodness. response:	You're causing trouble for Mr. Boyfriend, too.
context: So, about that thing\The tests got delayed.\She's staying until tomorrow.\Is that so?\Sachi, I'm positive I told you yesterday.\Is that right?\Goodness.\You're causing trouble for Mr. Boyfriend, too. response:	No, what trouble?
context: The tests got delayed.\She's staying until tomorrow.\Is that so?\Sachi, I'm positive I told you yesterday.\Is that right?\Goodness.\You're causing trouble for Mr. Boyfriend, too.\No, what trouble? response:	You said Mr. Boyfriend?
context: She's staying until tomorrow.\Is that so?\Sachi, I'm positive I told you yesterday.\Is that right?\Goodness.\You're causing trouble for Mr. Boyfriend, too.\No, what trouble?\You said Mr. Boyfriend? response:	Okay, I understand.
context: Is that so?\Sachi, I'm positive I told you yesterday.\Is that right?\Goodness.\You're causing trouble for Mr. Boyfriend, too.\No, what trouble?\You said Mr. Boyfriend?\Okay, I understand. response:	Bye.
context: Sachi, I'm positive I told you yesterday.\Is that right?\Goodness.\You're causing trouble for Mr. Boyfriend, too.\No, what trouble?\You said Mr. Boyfriend?\Okay, I understand.\Bye. response:	Well, I'm going home now.
context: Is that right?\Goodness.\You're causing trouble for Mr. Boyfriend, too.\No, what trouble?\You said Mr. Boyfriend?\Okay, I understand.\Bye.\Well, I'm going home now. response:	Okay.
context: Goodness.\You're causing trouble for Mr. Boyfriend, too.\No, what trouble?\You said Mr. Boyfriend?\Okay, I understand.\Bye.\Well, I'm going home now.\Okay. response:	Sorry.
context: You're causing trouble for Mr. Boyfriend, too.\No, what trouble?\You said Mr. Boyfriend?\Okay, I understand.\Bye.\Well, I'm going home now.\Okay.\Sorry. response:	Take care of Sachi, please.
context: No, what trouble?\You said Mr. Boyfriend?\Okay, I understand.\Bye.\Well, I'm going home now.\Okay.\Sorry.\Take care of Sachi, please. response:	Right!
context: You said Mr. Boyfriend?\Okay, I understand.\Bye.\Well, I'm going home now.\Okay.\Sorry.\Take care of Sachi, please.\Right! response:	I should text everyone to let them know we're canceling.
context: Okay, I understand.\Bye.\Well, I'm going home now.\Okay.\Sorry.\Take care of Sachi, please.\Right!\I should text everyone to let them know we're canceling. response:	I hate David.
context: Bye.\Well, I'm going home now.\Okay.\Sorry.\Take care of Sachi, please.\Right!\I should text everyone to let them know we're canceling.\I hate David. response:	You do? Why?
context: Well, I'm going home now.\Okay.\Sorry.\Take care of Sachi, please.\Right!\I should text everyone to let them know we're canceling.\I hate David.\You do? Why? response:	Everyone gets split up when he's here.
context: Okay.\Sorry.\Take care of Sachi, please.\Right!\I should text everyone to let them know we're canceling.\I hate David.\You do? Why?\Everyone gets split up when he's here. response:	True, everyone's kind of scattered lately.
context: Sorry.\Take care of Sachi, please.\Right!\I should text everyone to let them know we're canceling.\I hate David.\You do? Why?\Everyone gets split up when he's here.\True, everyone's kind of scattered lately. response:	Oh, so should we move the beach to tomorrow?
context: Take care of Sachi, please.\Right!\I should text everyone to let them know we're canceling.\I hate David.\You do? Why?\Everyone gets split up when he's here.\True, everyone's kind of scattered lately.\Oh, so should we move the beach to tomorrow? response:	Touko-chan has a date at Hinode Beach with David.
context: Right!\I should text everyone to let them know we're canceling.\I hate David.\You do? Why?\Everyone gets split up when he's here.\True, everyone's kind of scattered lately.\Oh, so should we move the beach to tomorrow?\Touko-chan has a date at Hinode Beach with David. response:	So I never contacted Touko-chan.
context: I should text everyone to let them know we're canceling.\I hate David.\You do? Why?\Everyone gets split up when he's here.\True, everyone's kind of scattered lately.\Oh, so should we move the beach to tomorrow?\Touko-chan has a date at Hinode Beach with David.\So I never contacted Touko-chan. response:	Oh.
context: I hate David.\You do? Why?\Everyone gets split up when he's here.\True, everyone's kind of scattered lately.\Oh, so should we move the beach to tomorrow?\Touko-chan has a date at Hinode Beach with David.\So I never contacted Touko-chan.\Oh. response:	But wouldn't that mean
context: You do? Why?\Everyone gets split up when he's here.\True, everyone's kind of scattered lately.\Oh, so should we move the beach to tomorrow?\Touko-chan has a date at Hinode Beach with David.\So I never contacted Touko-chan.\Oh.\But wouldn't that mean response:	you tried to get everyone to ruin
context: Everyone gets split up when he's here.\True, everyone's kind of scattered lately.\Oh, so should we move the beach to tomorrow?\Touko-chan has a date at Hinode Beach with David.\So I never contacted Touko-chan.\Oh.\But wouldn't that mean\you tried to get everyone to ruin response:	David's date with Touko, just because you hate him?
context: True, everyone's kind of scattered lately.\Oh, so should we move the beach to tomorrow?\Touko-chan has a date at Hinode Beach with David.\So I never contacted Touko-chan.\Oh.\But wouldn't that mean\you tried to get everyone to ruin\David's date with Touko, just because you hate him? response:	Yeah.
context: Oh, so should we move the beach to tomorrow?\Touko-chan has a date at Hinode Beach with David.\So I never contacted Touko-chan.\Oh.\But wouldn't that mean\you tried to get everyone to ruin\David's date with Touko, just because you hate him?\Yeah. response:	It would.
context: Touko-chan has a date at Hinode Beach with David.\So I never contacted Touko-chan.\Oh.\But wouldn't that mean\you tried to get everyone to ruin\David's date with Touko, just because you hate him?\Yeah.\It would. response:	So you called me to get me to do that?
context: So I never contacted Touko-chan.\Oh.\But wouldn't that mean\you tried to get everyone to ruin\David's date with Touko, just because you hate him?\Yeah.\It would.\So you called me to get me to do that? response:	Sacchan, that's so...
context: Oh.\But wouldn't that mean\you tried to get everyone to ruin\David's date with Touko, just because you hate him?\Yeah.\It would.\So you called me to get me to do that?\Sacchan, that's so... response:	I'm going home for today.
context: But wouldn't that mean\you tried to get everyone to ruin\David's date with Touko, just because you hate him?\Yeah.\It would.\So you called me to get me to do that?\Sacchan, that's so...\I'm going home for today. response:	Over here!
context: you tried to get everyone to ruin\David's date with Touko, just because you hate him?\Yeah.\It would.\So you called me to get me to do that?\Sacchan, that's so...\I'm going home for today.\Over here! response:	Hiro.
context: David's date with Touko, just because you hate him?\Yeah.\It would.\So you called me to get me to do that?\Sacchan, that's so...\I'm going home for today.\Over here!\Hiro. response:	I'll give you a ride.
context: Yeah.\It would.\So you called me to get me to do that?\Sacchan, that's so...\I'm going home for today.\Over here!\Hiro.\I'll give you a ride. response:	Sure.
context: It would.\So you called me to get me to do that?\Sacchan, that's so...\I'm going home for today.\Over here!\Hiro.\I'll give you a ride.\Sure. response:	Sorry, can't make it today.
context: So you called me to get me to do that?\Sacchan, that's so...\I'm going home for today.\Over here!\Hiro.\I'll give you a ride.\Sure.\Sorry, can't make it today. response:	Oh.
context: Sacchan, that's so...\I'm going home for today.\Over here!\Hiro.\I'll give you a ride.\Sure.\Sorry, can't make it today.\Oh. response:	Okay, I'll pass it on.
context: I'm going home for today.\Over here!\Hiro.\I'll give you a ride.\Sure.\Sorry, can't make it today.\Oh.\Okay, I'll pass it on. response:	We're not doing the beach trip today.
context: Over here!\Hiro.\I'll give you a ride.\Sure.\Sorry, can't make it today.\Oh.\Okay, I'll pass it on.\We're not doing the beach trip today. response:	Did you hear me?
context: Hiro.\I'll give you a ride.\Sure.\Sorry, can't make it today.\Oh.\Okay, I'll pass it on.\We're not doing the beach trip today.\Did you hear me? response:	We're not doing the beach trip today.
context: I'll give you a ride.\Sure.\Sorry, can't make it today.\Oh.\Okay, I'll pass it on.\We're not doing the beach trip today.\Did you hear me?\We're not doing the beach trip today. response:	Did you wait long?
context: Sure.\Sorry, can't make it today.\Oh.\Okay, I'll pass it on.\We're not doing the beach trip today.\Did you hear me?\We're not doing the beach trip today.\Did you wait long? response:	I don't mind waiting.
context: Sorry, can't make it today.\Oh.\Okay, I'll pass it on.\We're not doing the beach trip today.\Did you hear me?\We're not doing the beach trip today.\Did you wait long?\I don't mind waiting. response:	So you did wait.
context: Oh.\Okay, I'll pass it on.\We're not doing the beach trip today.\Did you hear me?\We're not doing the beach trip today.\Did you wait long?\I don't mind waiting.\So you did wait. response:	Is it tingly?
context: Okay, I'll pass it on.\We're not doing the beach trip today.\Did you hear me?\We're not doing the beach trip today.\Did you wait long?\I don't mind waiting.\So you did wait.\Is it tingly? response:	What?
context: We're not doing the beach trip today.\Did you hear me?\We're not doing the beach trip today.\Did you wait long?\I don't mind waiting.\So you did wait.\Is it tingly?\What? response:	The sound of the waves.
context: Did you hear me?\We're not doing the beach trip today.\Did you wait long?\I don't mind waiting.\So you did wait.\Is it tingly?\What?\The sound of the waves. response:	It feels a bit different from before.
context: We're not doing the beach trip today.\Did you wait long?\I don't mind waiting.\So you did wait.\Is it tingly?\What?\The sound of the waves.\It feels a bit different from before. response:	I don't know that I've ever come at this time of day.
context: Did you wait long?\I don't mind waiting.\So you did wait.\Is it tingly?\What?\The sound of the waves.\It feels a bit different from before.\I don't know that I've ever come at this time of day. response:	This is for you.
context: I don't mind waiting.\So you did wait.\Is it tingly?\What?\The sound of the waves.\It feels a bit different from before.\I don't know that I've ever come at this time of day.\This is for you. response:	Glass beads.
context: So you did wait.\Is it tingly?\What?\The sound of the waves.\It feels a bit different from before.\I don't know that I've ever come at this time of day.\This is for you.\Glass beads. response:	They match.
