context: Haru, stop! response:	Final Episode
context: So tight...\Okay, Haru.\We won't let this line break.\As long as it doesn't, you'll be able to come back.\Yeah, okay.\We'll be sending you deep, so you'll need a lip.\And a hook.\What? response:	The boat's at its limit.
context: Okay, Haru.\We won't let this line break.\As long as it doesn't, you'll be able to come back.\Yeah, okay.\We'll be sending you deep, so you'll need a lip.\And a hook.\What?\The boat's at its limit. response:	I might be at my limit, too.
context: We won't let this line break.\As long as it doesn't, you'll be able to come back.\Yeah, okay.\We'll be sending you deep, so you'll need a lip.\And a hook.\What?\The boat's at its limit.\I might be at my limit, too. response:	Haru, just a little more!
context: As long as it doesn't, you'll be able to come back.\Yeah, okay.\We'll be sending you deep, so you'll need a lip.\And a hook.\What?\The boat's at its limit.\I might be at my limit, too.\Haru, just a little more! response:	You can do it!
context: Yeah, okay.\We'll be sending you deep, so you'll need a lip.\And a hook.\What?\The boat's at its limit.\I might be at my limit, too.\Haru, just a little more!\You can do it! response:	Sorry, but the missiles will be coming soon.
context: We'll be sending you deep, so you'll need a lip.\And a hook.\What?\The boat's at its limit.\I might be at my limit, too.\Haru, just a little more!\You can do it!\Sorry, but the missiles will be coming soon. response:	If we're going back, we have to leave now!
context: And a hook.\What?\The boat's at its limit.\I might be at my limit, too.\Haru, just a little more!\You can do it!\Sorry, but the missiles will be coming soon.\If we're going back, we have to leave now! response:	What should we do?
context: What?\The boat's at its limit.\I might be at my limit, too.\Haru, just a little more!\You can do it!\Sorry, but the missiles will be coming soon.\If we're going back, we have to leave now!\What should we do? response:	What?
context: The boat's at its limit.\I might be at my limit, too.\Haru, just a little more!\You can do it!\Sorry, but the missiles will be coming soon.\If we're going back, we have to leave now!\What should we do?\What? response:	I won't go.
context: I might be at my limit, too.\Haru, just a little more!\You can do it!\Sorry, but the missiles will be coming soon.\If we're going back, we have to leave now!\What should we do?\What?\I won't go. response:	Even if the world ends today,
context: Haru, just a little more!\You can do it!\Sorry, but the missiles will be coming soon.\If we're going back, we have to leave now!\What should we do?\What?\I won't go.\Even if the world ends today, response:	I just want to fish.
context: You can do it!\Sorry, but the missiles will be coming soon.\If we're going back, we have to leave now!\What should we do?\What?\I won't go.\Even if the world ends today,\I just want to fish. response:	Yuki.
context: Sorry, but the missiles will be coming soon.\If we're going back, we have to leave now!\What should we do?\What?\I won't go.\Even if the world ends today,\I just want to fish.\Yuki. response:	Natsuki, what about you?
context: If we're going back, we have to leave now!\What should we do?\What?\I won't go.\Even if the world ends today,\I just want to fish.\Yuki.\Natsuki, what about you? response:	You'll be okay,
context: What should we do?\What?\I won't go.\Even if the world ends today,\I just want to fish.\Yuki.\Natsuki, what about you?\You'll be okay, response:	Dad.
context: What?\I won't go.\Even if the world ends today,\I just want to fish.\Yuki.\Natsuki, what about you?\You'll be okay,\Dad. response:	I'm not going back either.
context: I won't go.\Even if the world ends today,\I just want to fish.\Yuki.\Natsuki, what about you?\You'll be okay,\Dad.\I'm not going back either. response:	I hate going home without catching anything.
context: Even if the world ends today,\I just want to fish.\Yuki.\Natsuki, what about you?\You'll be okay,\Dad.\I'm not going back either.\I hate going home without catching anything. response:	Everyone...
context: I just want to fish.\Yuki.\Natsuki, what about you?\You'll be okay,\Dad.\I'm not going back either.\I hate going home without catching anything.\Everyone... response:	I'm sorry.
context: Yuki.\Natsuki, what about you?\You'll be okay,\Dad.\I'm not going back either.\I hate going home without catching anything.\Everyone...\I'm sorry. response:	Thanks, everyone.
context: Natsuki, what about you?\You'll be okay,\Dad.\I'm not going back either.\I hate going home without catching anything.\Everyone...\I'm sorry.\Thanks, everyone. response:	I won't be able to protect you anymore.
context: You'll be okay,\Dad.\I'm not going back either.\I hate going home without catching anything.\Everyone...\I'm sorry.\Thanks, everyone.\I won't be able to protect you anymore. response:	With this, he won't be able to control you for a little while.
context: Dad.\I'm not going back either.\I hate going home without catching anything.\Everyone...\I'm sorry.\Thanks, everyone.\I won't be able to protect you anymore.\With this, he won't be able to control you for a little while. response:	Yuki, ready?
context: I'm not going back either.\I hate going home without catching anything.\Everyone...\I'm sorry.\Thanks, everyone.\I won't be able to protect you anymore.\With this, he won't be able to control you for a little while.\Yuki, ready? response:	Ready.
context: I hate going home without catching anything.\Everyone...\I'm sorry.\Thanks, everyone.\I won't be able to protect you anymore.\With this, he won't be able to control you for a little while.\Yuki, ready?\Ready. response:	Fire.
context: Everyone...\I'm sorry.\Thanks, everyone.\I won't be able to protect you anymore.\With this, he won't be able to control you for a little while.\Yuki, ready?\Ready.\Fire. response:	Oh my god!
context: I'm sorry.\Thanks, everyone.\I won't be able to protect you anymore.\With this, he won't be able to control you for a little while.\Yuki, ready?\Ready.\Fire.\Oh my god! response:	Whoosh!
context: Thanks, everyone.\I won't be able to protect you anymore.\With this, he won't be able to control you for a little while.\Yuki, ready?\Ready.\Fire.\Oh my god!\Whoosh! response:	Okay, let's go!
context: I won't be able to protect you anymore.\With this, he won't be able to control you for a little while.\Yuki, ready?\Ready.\Fire.\Oh my god!\Whoosh!\Okay, let's go! response:	It's no good!
context: With this, he won't be able to control you for a little while.\Yuki, ready?\Ready.\Fire.\Oh my god!\Whoosh!\Okay, let's go!\It's no good! response:	Akira, rotate and reverse!
context: Yuki, ready?\Ready.\Fire.\Oh my god!\Whoosh!\Okay, let's go!\It's no good!\Akira, rotate and reverse! response:	Okay!
context: Ready.\Fire.\Oh my god!\Whoosh!\Okay, let's go!\It's no good!\Akira, rotate and reverse!\Okay! response:	Haru, this'll be your lip and hook.
context: Fire.\Oh my god!\Whoosh!\Okay, let's go!\It's no good!\Akira, rotate and reverse!\Okay!\Haru, this'll be your lip and hook. response:	Nom.
context: Oh my god!\Whoosh!\Okay, let's go!\It's no good!\Akira, rotate and reverse!\Okay!\Haru, this'll be your lip and hook.\Nom. response:	It's made from fishing line.
context: Whoosh!\Okay, let's go!\It's no good!\Akira, rotate and reverse!\Okay!\Haru, this'll be your lip and hook.\Nom.\It's made from fishing line. response:	It's tough stuff.
context: Okay, let's go!\It's no good!\Akira, rotate and reverse!\Okay!\Haru, this'll be your lip and hook.\Nom.\It's made from fishing line.\It's tough stuff. response:	Okay.
context: It's no good!\Akira, rotate and reverse!\Okay!\Haru, this'll be your lip and hook.\Nom.\It's made from fishing line.\It's tough stuff.\Okay. response:	Take the boat towards him!
context: Akira, rotate and reverse!\Okay!\Haru, this'll be your lip and hook.\Nom.\It's made from fishing line.\It's tough stuff.\Okay.\Take the boat towards him! response:	Yuki!
context: Okay!\Haru, this'll be your lip and hook.\Nom.\It's made from fishing line.\It's tough stuff.\Okay.\Take the boat towards him!\Yuki! response:	This is our last chance!
context: Haru, this'll be your lip and hook.\Nom.\It's made from fishing line.\It's tough stuff.\Okay.\Take the boat towards him!\Yuki!\This is our last chance! response:	I know!
context: Nom.\It's made from fishing line.\It's tough stuff.\Okay.\Take the boat towards him!\Yuki!\This is our last chance!\I know! response:	I'll get it in one shot!
context: It's made from fishing line.\It's tough stuff.\Okay.\Take the boat towards him!\Yuki!\This is our last chance!\I know!\I'll get it in one shot! response:	All right!
context: It's tough stuff.\Okay.\Take the boat towards him!\Yuki!\This is our last chance!\I know!\I'll get it in one shot!\All right! response:	Let's go!
context: Okay.\Take the boat towards him!\Yuki!\This is our last chance!\I know!\I'll get it in one shot!\All right!\Let's go! response:	Yeah!
context: Take the boat towards him!\Yuki!\This is our last chance!\I know!\I'll get it in one shot!\All right!\Let's go!\Yeah! response:	Ready, and...
context: Yuki!\This is our last chance!\I know!\I'll get it in one shot!\All right!\Let's go!\Yeah!\Ready, and... response:	Eno!
context: This is our last chance!\I know!\I'll get it in one shot!\All right!\Let's go!\Yeah!\Ready, and...\Eno! response:	Run, run, run, run, run...
context: I know!\I'll get it in one shot!\All right!\Let's go!\Yeah!\Ready, and...\Eno!\Run, run, run, run, run... response:	Shima!
context: I'll get it in one shot!\All right!\Let's go!\Yeah!\Ready, and...\Eno!\Run, run, run, run, run...\Shima! response:	Run, run, run, run, run...
context: All right!\Let's go!\Yeah!\Ready, and...\Eno!\Run, run, run, run, run...\Shima!\Run, run, run, run, run... response:	Jump!
context: Let's go!\Yeah!\Ready, and...\Eno!\Run, run, run, run, run...\Shima!\Run, run, run, run, run...\Jump! response:	Bowl!
context: Yeah!\Ready, and...\Eno!\Run, run, run, run, run...\Shima!\Run, run, run, run, run...\Jump!\Bowl! response:	That's not good!
context: Ready, and...\Eno!\Run, run, run, run, run...\Shima!\Run, run, run, run, run...\Jump!\Bowl!\That's not good! response:	Amazing...
context: Eno!\Run, run, run, run, run...\Shima!\Run, run, run, run, run...\Jump!\Bowl!\That's not good!\Amazing... response:	Let's go! The countdown!
context: Run, run, run, run, run...\Shima!\Run, run, run, run, run...\Jump!\Bowl!\That's not good!\Amazing...\Let's go! The countdown! response:	One!
context: Shima!\Run, run, run, run, run...\Jump!\Bowl!\That's not good!\Amazing...\Let's go! The countdown!\One! response:	Two!
context: Run, run, run, run, run...\Jump!\Bowl!\That's not good!\Amazing...\Let's go! The countdown!\One!\Two! response:	Three!
context: Jump!\Bowl!\That's not good!\Amazing...\Let's go! The countdown!\One!\Two!\Three! response:	It's a bite!
context: Bowl!\That's not good!\Amazing...\Let's go! The countdown!\One!\Two!\Three!\It's a bite! response:	Yuki!
context: That's not good!\Amazing...\Let's go! The countdown!\One!\Two!\Three!\It's a bite!\Yuki! response:	Yuki, put the rod in your belt!
context: Amazing...\Let's go! The countdown!\One!\Two!\Three!\It's a bite!\Yuki!\Yuki, put the rod in your belt! response:	Reduce the drag!
context: Let's go! The countdown!\One!\Two!\Three!\It's a bite!\Yuki!\Yuki, put the rod in your belt!\Reduce the drag! response:	Got it!
context: One!\Two!\Three!\It's a bite!\Yuki!\Yuki, put the rod in your belt!\Reduce the drag!\Got it! response:	Yuki, I can feel it, too!
context: Two!\Three!\It's a bite!\Yuki!\Yuki, put the rod in your belt!\Reduce the drag!\Got it!\Yuki, I can feel it, too! response:	It's okay!
context: Three!\It's a bite!\Yuki!\Yuki, put the rod in your belt!\Reduce the drag!\Got it!\Yuki, I can feel it, too!\It's okay! response:	I feel it!
context: It's a bite!\Yuki!\Yuki, put the rod in your belt!\Reduce the drag!\Got it!\Yuki, I can feel it, too!\It's okay!\I feel it! response:	He's fighting, too!
context: Yuki!\Yuki, put the rod in your belt!\Reduce the drag!\Got it!\Yuki, I can feel it, too!\It's okay!\I feel it!\He's fighting, too! response:	Akira, don't let the line break!
context: Yuki, put the rod in your belt!\Reduce the drag!\Got it!\Yuki, I can feel it, too!\It's okay!\I feel it!\He's fighting, too!\Akira, don't let the line break! response:	Don't worry, I'm watching!
context: Reduce the drag!\Got it!\Yuki, I can feel it, too!\It's okay!\I feel it!\He's fighting, too!\Akira, don't let the line break!\Don't worry, I'm watching! response:	Tapioca!
context: Got it!\Yuki, I can feel it, too!\It's okay!\I feel it!\He's fighting, too!\Akira, don't let the line break!\Don't worry, I'm watching!\Tapioca! response:	This isn't good.
context: Yuki, I can feel it, too!\It's okay!\I feel it!\He's fighting, too!\Akira, don't let the line break!\Don't worry, I'm watching!\Tapioca!\This isn't good. response:	The water gun's effect is wearing off.
context: It's okay!\I feel it!\He's fighting, too!\Akira, don't let the line break!\Don't worry, I'm watching!\Tapioca!\This isn't good.\The water gun's effect is wearing off. response:	It suddenly got lighter.
context: I feel it!\He's fighting, too!\Akira, don't let the line break!\Don't worry, I'm watching!\Tapioca!\This isn't good.\The water gun's effect is wearing off.\It suddenly got lighter. response:	What's going on?
context: He's fighting, too!\Akira, don't let the line break!\Don't worry, I'm watching!\Tapioca!\This isn't good.\The water gun's effect is wearing off.\It suddenly got lighter.\What's going on? response:	That song...
context: Akira, don't let the line break!\Don't worry, I'm watching!\Tapioca!\This isn't good.\The water gun's effect is wearing off.\It suddenly got lighter.\What's going on?\That song... response:	Haino, haino, haino.
context: Don't worry, I'm watching!\Tapioca!\This isn't good.\The water gun's effect is wearing off.\It suddenly got lighter.\What's going on?\That song...\Haino, haino, haino. response:	Yoisho, yoishona.
context: Tapioca!\This isn't good.\The water gun's effect is wearing off.\It suddenly got lighter.\What's going on?\That song...\Haino, haino, haino.\Yoisho, yoishona. response:	It's Haru!
context: This isn't good.\The water gun's effect is wearing off.\It suddenly got lighter.\What's going on?\That song...\Haino, haino, haino.\Yoisho, yoishona.\It's Haru! response:	Haru's singing!
context: The water gun's effect is wearing off.\It suddenly got lighter.\What's going on?\That song...\Haino, haino, haino.\Yoisho, yoishona.\It's Haru!\Haru's singing! response:	Yuki, now! Get him!
context: It suddenly got lighter.\What's going on?\That song...\Haino, haino, haino.\Yoisho, yoishona.\It's Haru!\Haru's singing!\Yuki, now! Get him! response:	Haru.
context: What's going on?\That song...\Haino, haino, haino.\Yoisho, yoishona.\It's Haru!\Haru's singing!\Yuki, now! Get him!\Haru. response:	Haino, haino, haino.
context: That song...\Haino, haino, haino.\Yoisho, yoishona.\It's Haru!\Haru's singing!\Yuki, now! Get him!\Haru.\Haino, haino, haino. response:	Yoisho, yoishona.
context: Haino, haino, haino.\Yoisho, yoishona.\It's Haru!\Haru's singing!\Yuki, now! Get him!\Haru.\Haino, haino, haino.\Yoisho, yoishona. response:	Haino, haino, haino!
context: Yoisho, yoishona.\It's Haru!\Haru's singing!\Yuki, now! Get him!\Haru.\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino! response:	Yoisho, yoishona!
context: It's Haru!\Haru's singing!\Yuki, now! Get him!\Haru.\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino!\Yoisho, yoishona! response:	This is Seishunmaru. This is Seishunmaru.
context: Haru's singing!\Yuki, now! Get him!\Haru.\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino!\Yoisho, yoishona!\This is Seishunmaru. This is Seishunmaru. response:	We have successfully fished up JFX.
context: Yuki, now! Get him!\Haru.\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino!\Yoisho, yoishona!\This is Seishunmaru. This is Seishunmaru.\We have successfully fished up JFX. response:	Please do not fire any missiles.
context: Haru.\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino!\Yoisho, yoishona!\This is Seishunmaru. This is Seishunmaru.\We have successfully fished up JFX.\Please do not fire any missiles. response:	Yamada, don't worry.
context: Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino!\Yoisho, yoishona!\This is Seishunmaru. This is Seishunmaru.\We have successfully fished up JFX.\Please do not fire any missiles.\Yamada, don't worry. response:	I stopped the missiles before they launched.
context: Yoisho, yoishona.\Haino, haino, haino!\Yoisho, yoishona!\This is Seishunmaru. This is Seishunmaru.\We have successfully fished up JFX.\Please do not fire any missiles.\Yamada, don't worry.\I stopped the missiles before they launched. response:	I adjusted the attack time...
context: Haino, haino, haino!\Yoisho, yoishona!\This is Seishunmaru. This is Seishunmaru.\We have successfully fished up JFX.\Please do not fire any missiles.\Yamada, don't worry.\I stopped the missiles before they launched.\I adjusted the attack time... response:	because I believed you.
context: Yoisho, yoishona!\This is Seishunmaru. This is Seishunmaru.\We have successfully fished up JFX.\Please do not fire any missiles.\Yamada, don't worry.\I stopped the missiles before they launched.\I adjusted the attack time...\because I believed you. response:	Thank you...
context: This is Seishunmaru. This is Seishunmaru.\We have successfully fished up JFX.\Please do not fire any missiles.\Yamada, don't worry.\I stopped the missiles before they launched.\I adjusted the attack time...\because I believed you.\Thank you... response:	Thank you!
context: We have successfully fished up JFX.\Please do not fire any missiles.\Yamada, don't worry.\I stopped the missiles before they launched.\I adjusted the attack time...\because I believed you.\Thank you...\Thank you! response:	Yamada,
context: Please do not fire any missiles.\Yamada, don't worry.\I stopped the missiles before they launched.\I adjusted the attack time...\because I believed you.\Thank you...\Thank you!\Yamada, response:	you are the pride of Duck.
context: Yamada, don't worry.\I stopped the missiles before they launched.\I adjusted the attack time...\because I believed you.\Thank you...\Thank you!\Yamada,\you are the pride of Duck. response:	It's okay.
context: I stopped the missiles before they launched.\I adjusted the attack time...\because I believed you.\Thank you...\Thank you!\Yamada,\you are the pride of Duck.\It's okay. response:	He's not scary.
context: I adjusted the attack time...\because I believed you.\Thank you...\Thank you!\Yamada,\you are the pride of Duck.\It's okay.\He's not scary. response:	That's right. He's one of us.
context: because I believed you.\Thank you...\Thank you!\Yamada,\you are the pride of Duck.\It's okay.\He's not scary.\That's right. He's one of us. response:	I didn't think he'd be so small!
context: Thank you...\Thank you!\Yamada,\you are the pride of Duck.\It's okay.\He's not scary.\That's right. He's one of us.\I didn't think he'd be so small! response:	Wasn't that fun?
context: Thank you!\Yamada,\you are the pride of Duck.\It's okay.\He's not scary.\That's right. He's one of us.\I didn't think he'd be so small!\Wasn't that fun? response:	Do you want to be my friend?
context: Yamada,\you are the pride of Duck.\It's okay.\He's not scary.\That's right. He's one of us.\I didn't think he'd be so small!\Wasn't that fun?\Do you want to be my friend? response:	Dry!
context: you are the pride of Duck.\It's okay.\He's not scary.\That's right. He's one of us.\I didn't think he'd be so small!\Wasn't that fun?\Do you want to be my friend?\Dry! response:	Ow! Ow, ow, ow!
context: It's okay.\He's not scary.\That's right. He's one of us.\I didn't think he'd be so small!\Wasn't that fun?\Do you want to be my friend?\Dry!\Ow! Ow, ow, ow! response:	Quiet!
context: He's not scary.\That's right. He's one of us.\I didn't think he'd be so small!\Wasn't that fun?\Do you want to be my friend?\Dry!\Ow! Ow, ow, ow!\Quiet! response:	What?
context: That's right. He's one of us.\I didn't think he'd be so small!\Wasn't that fun?\Do you want to be my friend?\Dry!\Ow! Ow, ow, ow!\Quiet!\What? response:	Slither, slither.
context: I didn't think he'd be so small!\Wasn't that fun?\Do you want to be my friend?\Dry!\Ow! Ow, ow, ow!\Quiet!\What?\Slither, slither. response:	Down, down, down.
context: Wasn't that fun?\Do you want to be my friend?\Dry!\Ow! Ow, ow, ow!\Quiet!\What?\Slither, slither.\Down, down, down. response:	My name is Urara.
context: Do you want to be my friend?\Dry!\Ow! Ow, ow, ow!\Quiet!\What?\Slither, slither.\Down, down, down.\My name is Urara. response:	What are you going to do now?
context: Dry!\Ow! Ow, ow, ow!\Quiet!\What?\Slither, slither.\Down, down, down.\My name is Urara.\What are you going to do now? response:	I'm going to become the fishing prince of the world!
context: Ow! Ow, ow, ow!\Quiet!\What?\Slither, slither.\Down, down, down.\My name is Urara.\What are you going to do now?\I'm going to become the fishing prince of the world! response:	What about you, Akira?
context: Quiet!\What?\Slither, slither.\Down, down, down.\My name is Urara.\What are you going to do now?\I'm going to become the fishing prince of the world!\What about you, Akira? response:	I'll be deployed somewhere new.
context: What?\Slither, slither.\Down, down, down.\My name is Urara.\What are you going to do now?\I'm going to become the fishing prince of the world!\What about you, Akira?\I'll be deployed somewhere new. response:	I hope it's near the ocean.
context: Slither, slither.\Down, down, down.\My name is Urara.\What are you going to do now?\I'm going to become the fishing prince of the world!\What about you, Akira?\I'll be deployed somewhere new.\I hope it's near the ocean. response:	Our goodbye fishing trip was lots of fun!
context: Down, down, down.\My name is Urara.\What are you going to do now?\I'm going to become the fishing prince of the world!\What about you, Akira?\I'll be deployed somewhere new.\I hope it's near the ocean.\Our goodbye fishing trip was lots of fun! response:	Ready, and...
context: My name is Urara.\What are you going to do now?\I'm going to become the fishing prince of the world!\What about you, Akira?\I'll be deployed somewhere new.\I hope it's near the ocean.\Our goodbye fishing trip was lots of fun!\Ready, and... response:	Goodbye!
context: What are you going to do now?\I'm going to become the fishing prince of the world!\What about you, Akira?\I'll be deployed somewhere new.\I hope it's near the ocean.\Our goodbye fishing trip was lots of fun!\Ready, and...\Goodbye! response:	We won't lose!
context: I'm going to become the fishing prince of the world!\What about you, Akira?\I'll be deployed somewhere new.\I hope it's near the ocean.\Our goodbye fishing trip was lots of fun!\Ready, and...\Goodbye!\We won't lose! response:	That's right!
context: What about you, Akira?\I'll be deployed somewhere new.\I hope it's near the ocean.\Our goodbye fishing trip was lots of fun!\Ready, and...\Goodbye!\We won't lose!\That's right! response:	Let's go!
context: I'll be deployed somewhere new.\I hope it's near the ocean.\Our goodbye fishing trip was lots of fun!\Ready, and...\Goodbye!\We won't lose!\That's right!\Let's go! response:	Ready, and...
context: I hope it's near the ocean.\Our goodbye fishing trip was lots of fun!\Ready, and...\Goodbye!\We won't lose!\That's right!\Let's go!\Ready, and... response:	Goodbye!
context: Our goodbye fishing trip was lots of fun!\Ready, and...\Goodbye!\We won't lose!\That's right!\Let's go!\Ready, and...\Goodbye! response:	Take care, everyone!
context: Ready, and...\Goodbye!\We won't lose!\That's right!\Let's go!\Ready, and...\Goodbye!\Take care, everyone! response:	We had fun!
context: Goodbye!\We won't lose!\That's right!\Let's go!\Ready, and...\Goodbye!\Take care, everyone!\We had fun! response:	Was that a UFO?
context: We won't lose!\That's right!\Let's go!\Ready, and...\Goodbye!\Take care, everyone!\We had fun!\Was that a UFO? response:	Oh, my.
context: That's right!\Let's go!\Ready, and...\Goodbye!\Take care, everyone!\We had fun!\Was that a UFO?\Oh, my. response:	Yes.
context: Let's go!\Ready, and...\Goodbye!\Take care, everyone!\We had fun!\Was that a UFO?\Oh, my.\Yes. response:	Goodbye.
context: Ready, and...\Goodbye!\Take care, everyone!\We had fun!\Was that a UFO?\Oh, my.\Yes.\Goodbye. response:	It's been six months since then.
context: Goodbye!\Take care, everyone!\We had fun!\Was that a UFO?\Oh, my.\Yes.\Goodbye.\It's been six months since then. response:	The companion caught the fish and brought peace to Enoshima.
context: Take care, everyone!\We had fun!\Was that a UFO?\Oh, my.\Yes.\Goodbye.\It's been six months since then.\The companion caught the fish and brought peace to Enoshima. response:	What a beautiful painting.
context: We had fun!\Was that a UFO?\Oh, my.\Yes.\Goodbye.\It's been six months since then.\The companion caught the fish and brought peace to Enoshima.\What a beautiful painting. response:	Now that's a true product of Enoshima.
context: Was that a UFO?\Oh, my.\Yes.\Goodbye.\It's been six months since then.\The companion caught the fish and brought peace to Enoshima.\What a beautiful painting.\Now that's a true product of Enoshima. response:	Art-o'-shima!
context: Oh, my.\Yes.\Goodbye.\It's been six months since then.\The companion caught the fish and brought peace to Enoshima.\What a beautiful painting.\Now that's a true product of Enoshima.\Art-o'-shima! response:	Take any open seat.
context: Yes.\Goodbye.\It's been six months since then.\The companion caught the fish and brought peace to Enoshima.\What a beautiful painting.\Now that's a true product of Enoshima.\Art-o'-shima!\Take any open seat. response:	Not making this a cafe was the right decision.
context: Goodbye.\It's been six months since then.\The companion caught the fish and brought peace to Enoshima.\What a beautiful painting.\Now that's a true product of Enoshima.\Art-o'-shima!\Take any open seat.\Not making this a cafe was the right decision. response:	You can rest, Mari-chan. Sakura's got it.
context: It's been six months since then.\The companion caught the fish and brought peace to Enoshima.\What a beautiful painting.\Now that's a true product of Enoshima.\Art-o'-shima!\Take any open seat.\Not making this a cafe was the right decision.\You can rest, Mari-chan. Sakura's got it. response:	Thank you.
context: The companion caught the fish and brought peace to Enoshima.\What a beautiful painting.\Now that's a true product of Enoshima.\Art-o'-shima!\Take any open seat.\Not making this a cafe was the right decision.\You can rest, Mari-chan. Sakura's got it.\Thank you. response:	Hey, Satsuki.
context: What a beautiful painting.\Now that's a true product of Enoshima.\Art-o'-shima!\Take any open seat.\Not making this a cafe was the right decision.\You can rest, Mari-chan. Sakura's got it.\Thank you.\Hey, Satsuki. response:	Do you think my brother's fishing again today?
context: Now that's a true product of Enoshima.\Art-o'-shima!\Take any open seat.\Not making this a cafe was the right decision.\You can rest, Mari-chan. Sakura's got it.\Thank you.\Hey, Satsuki.\Do you think my brother's fishing again today? response:	Natsuki went to America to become a bass fishing pro.
context: Art-o'-shima!\Take any open seat.\Not making this a cafe was the right decision.\You can rest, Mari-chan. Sakura's got it.\Thank you.\Hey, Satsuki.\Do you think my brother's fishing again today?\Natsuki went to America to become a bass fishing pro. response:	And Akira...
context: Take any open seat.\Not making this a cafe was the right decision.\You can rest, Mari-chan. Sakura's got it.\Thank you.\Hey, Satsuki.\Do you think my brother's fishing again today?\Natsuki went to America to become a bass fishing pro.\And Akira... response:	Fish!
context: Not making this a cafe was the right decision.\You can rest, Mari-chan. Sakura's got it.\Thank you.\Hey, Satsuki.\Do you think my brother's fishing again today?\Natsuki went to America to become a bass fishing pro.\And Akira...\Fish! response:	Fish!
context: You can rest, Mari-chan. Sakura's got it.\Thank you.\Hey, Satsuki.\Do you think my brother's fishing again today?\Natsuki went to America to become a bass fishing pro.\And Akira...\Fish!\Fish! response:	Fish!
context: Thank you.\Hey, Satsuki.\Do you think my brother's fishing again today?\Natsuki went to America to become a bass fishing pro.\And Akira...\Fish!\Fish!\Fish! response:	Tapioca, look! It's a big one!
context: Hey, Satsuki.\Do you think my brother's fishing again today?\Natsuki went to America to become a bass fishing pro.\And Akira...\Fish!\Fish!\Fish!\Tapioca, look! It's a big one! response:	Tapioca found a lover.
context: Do you think my brother's fishing again today?\Natsuki went to America to become a bass fishing pro.\And Akira...\Fish!\Fish!\Fish!\Tapioca, look! It's a big one!\Tapioca found a lover. response:	And I...
context: Natsuki went to America to become a bass fishing pro.\And Akira...\Fish!\Fish!\Fish!\Tapioca, look! It's a big one!\Tapioca found a lover.\And I... response:	Honey, I'm busy with work! Help me!
context: And Akira...\Fish!\Fish!\Fish!\Tapioca, look! It's a big one!\Tapioca found a lover.\And I...\Honey, I'm busy with work! Help me! response:	I'll be right there!
context: Fish!\Fish!\Fish!\Tapioca, look! It's a big one!\Tapioca found a lover.\And I...\Honey, I'm busy with work! Help me!\I'll be right there! response:	Boss, never get married.
context: Fish!\Fish!\Tapioca, look! It's a big one!\Tapioca found a lover.\And I...\Honey, I'm busy with work! Help me!\I'll be right there!\Boss, never get married. response:	It changes women.
context: Fish!\Tapioca, look! It's a big one!\Tapioca found a lover.\And I...\Honey, I'm busy with work! Help me!\I'll be right there!\Boss, never get married.\It changes women. response:	Did you say something?
context: Tapioca, look! It's a big one!\Tapioca found a lover.\And I...\Honey, I'm busy with work! Help me!\I'll be right there!\Boss, never get married.\It changes women.\Did you say something? response:	Uh, no. Nothing at all.
context: Tapioca found a lover.\And I...\Honey, I'm busy with work! Help me!\I'll be right there!\Boss, never get married.\It changes women.\Did you say something?\Uh, no. Nothing at all. response:	Well, Haru, maybe I changed a little.
context: And I...\Honey, I'm busy with work! Help me!\I'll be right there!\Boss, never get married.\It changes women.\Did you say something?\Uh, no. Nothing at all.\Well, Haru, maybe I changed a little. response:	Good morning.
context: Honey, I'm busy with work! Help me!\I'll be right there!\Boss, never get married.\It changes women.\Did you say something?\Uh, no. Nothing at all.\Well, Haru, maybe I changed a little.\Good morning. response:	G-Good morning.
context: I'll be right there!\Boss, never get married.\It changes women.\Did you say something?\Uh, no. Nothing at all.\Well, Haru, maybe I changed a little.\Good morning.\G-Good morning. response:	I look forward to being in class with you again.
context: Boss, never get married.\It changes women.\Did you say something?\Uh, no. Nothing at all.\Well, Haru, maybe I changed a little.\Good morning.\G-Good morning.\I look forward to being in class with you again. response:	Yeah.
context: It changes women.\Did you say something?\Uh, no. Nothing at all.\Well, Haru, maybe I changed a little.\Good morning.\G-Good morning.\I look forward to being in class with you again.\Yeah. response:	Me, too.
context: Did you say something?\Uh, no. Nothing at all.\Well, Haru, maybe I changed a little.\Good morning.\G-Good morning.\I look forward to being in class with you again.\Yeah.\Me, too. response:	Haru, maybe I haven't changed much after all.
context: Uh, no. Nothing at all.\Well, Haru, maybe I changed a little.\Good morning.\G-Good morning.\I look forward to being in class with you again.\Yeah.\Me, too.\Haru, maybe I haven't changed much after all. response:	I have two transfer students to
context: Well, Haru, maybe I changed a little.\Good morning.\G-Good morning.\I look forward to being in class with you again.\Yeah.\Me, too.\Haru, maybe I haven't changed much after all.\I have two transfer students to response:	introduce to you today, but one of them must be late.
