context: Wh-What... What have you done? response:	King! Foolish king!
context: I was serious...\It's my fault?\I wasn't underestimating anyone...\Even though you don't have a girlfriend. Even though you're a virgin.\I'll never accept this!\I'll expose your secret!\Now, this man, Sora, has won all his games in the tournament.\Is there no one left to challenge him? response:	Then, in accordance with the last wish of the former king,
context: It's my fault?\I wasn't underestimating anyone...\Even though you don't have a girlfriend. Even though you're a virgin.\I'll never accept this!\I'll expose your secret!\Now, this man, Sora, has won all his games in the tournament.\Is there no one left to challenge him?\Then, in accordance with the last wish of the former king, response:	I crown Sora the new king of El
context: I wasn't underestimating anyone...\Even though you don't have a girlfriend. Even though you're a virgin.\I'll never accept this!\I'll expose your secret!\Now, this man, Sora, has won all his games in the tournament.\Is there no one left to challenge him?\Then, in accordance with the last wish of the former king,\I crown Sora the new king of El response:	HOLD IT!
context: Even though you don't have a girlfriend. Even though you're a virgin.\I'll never accept this!\I'll expose your secret!\Now, this man, Sora, has won all his games in the tournament.\Is there no one left to challenge him?\Then, in accordance with the last wish of the former king,\I crown Sora the new king of El\HOLD IT! response:	Again?
context: I'll never accept this!\I'll expose your secret!\Now, this man, Sora, has won all his games in the tournament.\Is there no one left to challenge him?\Then, in accordance with the last wish of the former king,\I crown Sora the new king of El\HOLD IT!\Again? response:	It's not Sora. It's Blank.
context: I'll expose your secret!\Now, this man, Sora, has won all his games in the tournament.\Is there no one left to challenge him?\Then, in accordance with the last wish of the former king,\I crown Sora the new king of El\HOLD IT!\Again?\It's not Sora. It's Blank. response:	The two of us are Blank together.
context: Now, this man, Sora, has won all his games in the tournament.\Is there no one left to challenge him?\Then, in accordance with the last wish of the former king,\I crown Sora the new king of El\HOLD IT!\Again?\It's not Sora. It's Blank.\The two of us are Blank together. response:	You've got two kings.
context: Is there no one left to challenge him?\Then, in accordance with the last wish of the former king,\I crown Sora the new king of El\HOLD IT!\Again?\It's not Sora. It's Blank.\The two of us are Blank together.\You've got two kings. response:	Unfortunately, we can't do that.
context: Then, in accordance with the last wish of the former king,\I crown Sora the new king of El\HOLD IT!\Again?\It's not Sora. It's Blank.\The two of us are Blank together.\You've got two kings.\Unfortunately, we can't do that. response:	The ten pledges require us to specify a designated representative.
context: I crown Sora the new king of El\HOLD IT!\Again?\It's not Sora. It's Blank.\The two of us are Blank together.\You've got two kings.\Unfortunately, we can't do that.\The ten pledges require us to specify a designated representative. response:	There can't be two of them.
context: HOLD IT!\Again?\It's not Sora. It's Blank.\The two of us are Blank together.\You've got two kings.\Unfortunately, we can't do that.\The ten pledges require us to specify a designated representative.\There can't be two of them. response:	Then we'll split it up.
context: Again?\It's not Sora. It's Blank.\The two of us are Blank together.\You've got two kings.\Unfortunately, we can't do that.\The ten pledges require us to specify a designated representative.\There can't be two of them.\Then we'll split it up. response:	I'll be the king in name only
context: It's not Sora. It's Blank.\The two of us are Blank together.\You've got two kings.\Unfortunately, we can't do that.\The ten pledges require us to specify a designated representative.\There can't be two of them.\Then we'll split it up.\I'll be the king in name only response:	OBJECTION!
context: The two of us are Blank together.\You've got two kings.\Unfortunately, we can't do that.\The ten pledges require us to specify a designated representative.\There can't be two of them.\Then we'll split it up.\I'll be the king in name only\OBJECTION! response:	If you become king, you can make a harem.
context: You've got two kings.\Unfortunately, we can't do that.\The ten pledges require us to specify a designated representative.\There can't be two of them.\Then we'll split it up.\I'll be the king in name only\OBJECTION!\If you become king, you can make a harem. response:	You won't need me anymore.
context: Unfortunately, we can't do that.\The ten pledges require us to specify a designated representative.\There can't be two of them.\Then we'll split it up.\I'll be the king in name only\OBJECTION!\If you become king, you can make a harem.\You won't need me anymore. response:	A harem?
context: The ten pledges require us to specify a designated representative.\There can't be two of them.\Then we'll split it up.\I'll be the king in name only\OBJECTION!\If you become king, you can make a harem.\You won't need me anymore.\A harem? response:	Wh-What are they doing?
context: There can't be two of them.\Then we'll split it up.\I'll be the king in name only\OBJECTION!\If you become king, you can make a harem.\You won't need me anymore.\A harem?\Wh-What are they doing? response:	If it's going to be in name only, I'll be king.
context: Then we'll split it up.\I'll be the king in name only\OBJECTION!\If you become king, you can make a harem.\You won't need me anymore.\A harem?\Wh-What are they doing?\If it's going to be in name only, I'll be king. response:	Then I'll have no objections.
context: I'll be the king in name only\OBJECTION!\If you become king, you can make a harem.\You won't need me anymore.\A harem?\Wh-What are they doing?\If it's going to be in name only, I'll be king.\Then I'll have no objections. response:	All right. Then, starting over
context: OBJECTION!\If you become king, you can make a harem.\You won't need me anymore.\A harem?\Wh-What are they doing?\If it's going to be in name only, I'll be king.\Then I'll have no objections.\All right. Then, starting over response:	OBJECTION!
context: If you become king, you can make a harem.\You won't need me anymore.\A harem?\Wh-What are they doing?\If it's going to be in name only, I'll be king.\Then I'll have no objections.\All right. Then, starting over\OBJECTION! response:	Wait a second, my sister.
context: You won't need me anymore.\A harem?\Wh-What are they doing?\If it's going to be in name only, I'll be king.\Then I'll have no objections.\All right. Then, starting over\OBJECTION!\Wait a second, my sister. response:	It's rare for you to make a joke like that.
context: A harem?\Wh-What are they doing?\If it's going to be in name only, I'll be king.\Then I'll have no objections.\All right. Then, starting over\OBJECTION!\Wait a second, my sister.\It's rare for you to make a joke like that. response:	Will it start raining spears next?
context: Wh-What are they doing?\If it's going to be in name only, I'll be king.\Then I'll have no objections.\All right. Then, starting over\OBJECTION!\Wait a second, my sister.\It's rare for you to make a joke like that.\Will it start raining spears next? response:	I'm super serious.
context: If it's going to be in name only, I'll be king.\Then I'll have no objections.\All right. Then, starting over\OBJECTION!\Wait a second, my sister.\It's rare for you to make a joke like that.\Will it start raining spears next?\I'm super serious. response:	Fine.
context: Then I'll have no objections.\All right. Then, starting over\OBJECTION!\Wait a second, my sister.\It's rare for you to make a joke like that.\Will it start raining spears next?\I'm super serious.\Fine. response:	I won't hold back, little sister.
context: All right. Then, starting over\OBJECTION!\Wait a second, my sister.\It's rare for you to make a joke like that.\Will it start raining spears next?\I'm super serious.\Fine.\I won't hold back, little sister. response:	Today's the day...
context: OBJECTION!\Wait a second, my sister.\It's rare for you to make a joke like that.\Will it start raining spears next?\I'm super serious.\Fine.\I won't hold back, little sister.\Today's the day... response:	I will win!
context: Wait a second, my sister.\It's rare for you to make a joke like that.\Will it start raining spears next?\I'm super serious.\Fine.\I won't hold back, little sister.\Today's the day...\I will win! response:	I will win!
context: It's rare for you to make a joke like that.\Will it start raining spears next?\I'm super serious.\Fine.\I won't hold back, little sister.\Today's the day...\I will win!\I will win! response:	Three Days Later
context: Will it start raining spears next?\I'm super serious.\Fine.\I won't hold back, little sister.\Today's the day...\I will win!\I will win!\Three Days Later response:	One... more round...
context: I'm super serious.\Fine.\I won't hold back, little sister.\Today's the day...\I will win!\I will win!\Three Days Later\One... more round... response:	Presently 500 Rounds 158 Losses 158 Wins 184 Ties
context: Fine.\I won't hold back, little sister.\Today's the day...\I will win!\I will win!\Three Days Later\One... more round...\Presently 500 Rounds 158 Losses 158 Wins 184 Ties response:	Look! A butterfly!
context: I won't hold back, little sister.\Today's the day...\I will win!\I will win!\Three Days Later\One... more round...\Presently 500 Rounds 158 Losses 158 Wins 184 Ties\Look! A butterfly! response:	Sora vs. Shiro Total Lifetime Score 3526744 Rounds 117080 Wins 117080 Losses 1186584 Ties
context: Today's the day...\I will win!\I will win!\Three Days Later\One... more round...\Presently 500 Rounds 158 Losses 158 Wins 184 Ties\Look! A butterfly!\Sora vs. Shiro Total Lifetime Score 3526744 Rounds 117080 Wins 117080 Losses 1186584 Ties response:	Just admit... defeat already!
context: I will win!\I will win!\Three Days Later\One... more round...\Presently 500 Rounds 158 Losses 158 Wins 184 Ties\Look! A butterfly!\Sora vs. Shiro Total Lifetime Score 3526744 Rounds 117080 Wins 117080 Losses 1186584 Ties\Just admit... defeat already! response:	You've got such pretty wings!
context: I will win!\Three Days Later\One... more round...\Presently 500 Rounds 158 Losses 158 Wins 184 Ties\Look! A butterfly!\Sora vs. Shiro Total Lifetime Score 3526744 Rounds 117080 Wins 117080 Losses 1186584 Ties\Just admit... defeat already!\You've got such pretty wings! response:	You're the one who said... two wins in a row.
context: Three Days Later\One... more round...\Presently 500 Rounds 158 Losses 158 Wins 184 Ties\Look! A butterfly!\Sora vs. Shiro Total Lifetime Score 3526744 Rounds 117080 Wins 117080 Losses 1186584 Ties\Just admit... defeat already!\You've got such pretty wings!\You're the one who said... two wins in a row. response:	I want wings, too!
context: One... more round...\Presently 500 Rounds 158 Losses 158 Wins 184 Ties\Look! A butterfly!\Sora vs. Shiro Total Lifetime Score 3526744 Rounds 117080 Wins 117080 Losses 1186584 Ties\Just admit... defeat already!\You've got such pretty wings!\You're the one who said... two wins in a row.\I want wings, too! response:	I can fly! I can fly!
context: Presently 500 Rounds 158 Losses 158 Wins 184 Ties\Look! A butterfly!\Sora vs. Shiro Total Lifetime Score 3526744 Rounds 117080 Wins 117080 Losses 1186584 Ties\Just admit... defeat already!\You've got such pretty wings!\You're the one who said... two wins in a row.\I want wings, too!\I can fly! I can fly! response:	Why... can there only be one king?
context: Look! A butterfly!\Sora vs. Shiro Total Lifetime Score 3526744 Rounds 117080 Wins 117080 Losses 1186584 Ties\Just admit... defeat already!\You've got such pretty wings!\You're the one who said... two wins in a row.\I want wings, too!\I can fly! I can fly!\Why... can there only be one king? response:	Brother...
context: Sora vs. Shiro Total Lifetime Score 3526744 Rounds 117080 Wins 117080 Losses 1186584 Ties\Just admit... defeat already!\You've got such pretty wings!\You're the one who said... two wins in a row.\I want wings, too!\I can fly! I can fly!\Why... can there only be one king?\Brother... response:	A light! I see a light! A shiny golden light!
context: Just admit... defeat already!\You've got such pretty wings!\You're the one who said... two wins in a row.\I want wings, too!\I can fly! I can fly!\Why... can there only be one king?\Brother...\A light! I see a light! A shiny golden light! response:	Pledge Seven: Conflicts between groups will be conducted by designated representatives with absolute authority.
context: You've got such pretty wings!\You're the one who said... two wins in a row.\I want wings, too!\I can fly! I can fly!\Why... can there only be one king?\Brother...\A light! I see a light! A shiny golden light!\Pledge Seven: Conflicts between groups will be conducted by designated representatives with absolute authority. response:	Conflicts between groups will be conducted by
context: You're the one who said... two wins in a row.\I want wings, too!\I can fly! I can fly!\Why... can there only be one king?\Brother...\A light! I see a light! A shiny golden light!\Pledge Seven: Conflicts between groups will be conducted by designated representatives with absolute authority.\Conflicts between groups will be conducted by response:	designated representatives with absolute authority.
context: I want wings, too!\I can fly! I can fly!\Why... can there only be one king?\Brother...\A light! I see a light! A shiny golden light!\Pledge Seven: Conflicts between groups will be conducted by designated representatives with absolute authority.\Conflicts between groups will be conducted by\designated representatives with absolute authority. response:	It doesn't say there has to be just one, does it?
context: I can fly! I can fly!\Why... can there only be one king?\Brother...\A light! I see a light! A shiny golden light!\Pledge Seven: Conflicts between groups will be conducted by designated representatives with absolute authority.\Conflicts between groups will be conducted by\designated representatives with absolute authority.\It doesn't say there has to be just one, does it? response:	That felt like it took a long time.
context: Why... can there only be one king?\Brother...\A light! I see a light! A shiny golden light!\Pledge Seven: Conflicts between groups will be conducted by designated representatives with absolute authority.\Conflicts between groups will be conducted by\designated representatives with absolute authority.\It doesn't say there has to be just one, does it?\That felt like it took a long time. response:	Yup.
context: Brother...\A light! I see a light! A shiny golden light!\Pledge Seven: Conflicts between groups will be conducted by designated representatives with absolute authority.\Conflicts between groups will be conducted by\designated representatives with absolute authority.\It doesn't say there has to be just one, does it?\That felt like it took a long time.\Yup. response:	It's all your fault for not paying attention.
context: A light! I see a light! A shiny golden light!\Pledge Seven: Conflicts between groups will be conducted by designated representatives with absolute authority.\Conflicts between groups will be conducted by\designated representatives with absolute authority.\It doesn't say there has to be just one, does it?\That felt like it took a long time.\Yup.\It's all your fault for not paying attention. response:	Your face is red.
context: Pledge Seven: Conflicts between groups will be conducted by designated representatives with absolute authority.\Conflicts between groups will be conducted by\designated representatives with absolute authority.\It doesn't say there has to be just one, does it?\That felt like it took a long time.\Yup.\It's all your fault for not paying attention.\Your face is red. response:	She's exposing so much skin, her face is red?
context: Conflicts between groups will be conducted by\designated representatives with absolute authority.\It doesn't say there has to be just one, does it?\That felt like it took a long time.\Yup.\It's all your fault for not paying attention.\Your face is red.\She's exposing so much skin, her face is red? response:	I didn't let her wear anything under it.
context: designated representatives with absolute authority.\It doesn't say there has to be just one, does it?\That felt like it took a long time.\Yup.\It's all your fault for not paying attention.\Your face is red.\She's exposing so much skin, her face is red?\I didn't let her wear anything under it. response:	Did you have to tell him that?
context: It doesn't say there has to be just one, does it?\That felt like it took a long time.\Yup.\It's all your fault for not paying attention.\Your face is red.\She's exposing so much skin, her face is red?\I didn't let her wear anything under it.\Did you have to tell him that? response:	Why are you making me wear this?
context: That felt like it took a long time.\Yup.\It's all your fault for not paying attention.\Your face is red.\She's exposing so much skin, her face is red?\I didn't let her wear anything under it.\Did you have to tell him that?\Why are you making me wear this? response:	Old King's Clothes Steph's Old Clothes
context: Yup.\It's all your fault for not paying attention.\Your face is red.\She's exposing so much skin, her face is red?\I didn't let her wear anything under it.\Did you have to tell him that?\Why are you making me wear this?\Old King's Clothes Steph's Old Clothes response:	We have to wear formal stuff. It's not fair if you don't.
context: It's all your fault for not paying attention.\Your face is red.\She's exposing so much skin, her face is red?\I didn't let her wear anything under it.\Did you have to tell him that?\Why are you making me wear this?\Old King's Clothes Steph's Old Clothes\We have to wear formal stuff. It's not fair if you don't. response:	Well, I don't mind the 2D effects that show she's clearly not wearing panties.
context: Your face is red.\She's exposing so much skin, her face is red?\I didn't let her wear anything under it.\Did you have to tell him that?\Why are you making me wear this?\Old King's Clothes Steph's Old Clothes\We have to wear formal stuff. It's not fair if you don't.\Well, I don't mind the 2D effects that show she's clearly not wearing panties. response:	What are you talking about?
context: She's exposing so much skin, her face is red?\I didn't let her wear anything under it.\Did you have to tell him that?\Why are you making me wear this?\Old King's Clothes Steph's Old Clothes\We have to wear formal stuff. It's not fair if you don't.\Well, I don't mind the 2D effects that show she's clearly not wearing panties.\What are you talking about? response:	More importantly, you need to do your jobs!
context: I didn't let her wear anything under it.\Did you have to tell him that?\Why are you making me wear this?\Old King's Clothes Steph's Old Clothes\We have to wear formal stuff. It's not fair if you don't.\Well, I don't mind the 2D effects that show she's clearly not wearing panties.\What are you talking about?\More importantly, you need to do your jobs! response:	Since we haven't had a king for so long,
context: Did you have to tell him that?\Why are you making me wear this?\Old King's Clothes Steph's Old Clothes\We have to wear formal stuff. It's not fair if you don't.\Well, I don't mind the 2D effects that show she's clearly not wearing panties.\What are you talking about?\More importantly, you need to do your jobs!\Since we haven't had a king for so long, response:	our domestic affairs are in complete turmoil.
context: Why are you making me wear this?\Old King's Clothes Steph's Old Clothes\We have to wear formal stuff. It's not fair if you don't.\Well, I don't mind the 2D effects that show she's clearly not wearing panties.\What are you talking about?\More importantly, you need to do your jobs!\Since we haven't had a king for so long,\our domestic affairs are in complete turmoil. response:	You handle the internal stuff.
context: Old King's Clothes Steph's Old Clothes\We have to wear formal stuff. It's not fair if you don't.\Well, I don't mind the 2D effects that show she's clearly not wearing panties.\What are you talking about?\More importantly, you need to do your jobs!\Since we haven't had a king for so long,\our domestic affairs are in complete turmoil.\You handle the internal stuff. response:	Hey, I'm trying to do this with no equipment. Don't use traps.
context: We have to wear formal stuff. It's not fair if you don't.\Well, I don't mind the 2D effects that show she's clearly not wearing panties.\What are you talking about?\More importantly, you need to do your jobs!\Since we haven't had a king for so long,\our domestic affairs are in complete turmoil.\You handle the internal stuff.\Hey, I'm trying to do this with no equipment. Don't use traps. response:	It's more efficient this way.
context: Well, I don't mind the 2D effects that show she's clearly not wearing panties.\What are you talking about?\More importantly, you need to do your jobs!\Since we haven't had a king for so long,\our domestic affairs are in complete turmoil.\You handle the internal stuff.\Hey, I'm trying to do this with no equipment. Don't use traps.\It's more efficient this way. response:	That won't work!
context: What are you talking about?\More importantly, you need to do your jobs!\Since we haven't had a king for so long,\our domestic affairs are in complete turmoil.\You handle the internal stuff.\Hey, I'm trying to do this with no equipment. Don't use traps.\It's more efficient this way.\That won't work! response:	Unfortunately, due to the decline of Elkia,
context: More importantly, you need to do your jobs!\Since we haven't had a king for so long,\our domestic affairs are in complete turmoil.\You handle the internal stuff.\Hey, I'm trying to do this with no equipment. Don't use traps.\It's more efficient this way.\That won't work!\Unfortunately, due to the decline of Elkia, response:	there are rumors that some of the ministers are collaborating
context: Since we haven't had a king for so long,\our domestic affairs are in complete turmoil.\You handle the internal stuff.\Hey, I'm trying to do this with no equipment. Don't use traps.\It's more efficient this way.\That won't work!\Unfortunately, due to the decline of Elkia,\there are rumors that some of the ministers are collaborating response:	with other countries.
context: our domestic affairs are in complete turmoil.\You handle the internal stuff.\Hey, I'm trying to do this with no equipment. Don't use traps.\It's more efficient this way.\That won't work!\Unfortunately, due to the decline of Elkia,\there are rumors that some of the ministers are collaborating\with other countries. response:	As the new king, you need to make sure
context: You handle the internal stuff.\Hey, I'm trying to do this with no equipment. Don't use traps.\It's more efficient this way.\That won't work!\Unfortunately, due to the decline of Elkia,\there are rumors that some of the ministers are collaborating\with other countries.\As the new king, you need to make sure response:	That's it?
context: Hey, I'm trying to do this with no equipment. Don't use traps.\It's more efficient this way.\That won't work!\Unfortunately, due to the decline of Elkia,\there are rumors that some of the ministers are collaborating\with other countries.\As the new king, you need to make sure\That's it? response:	If that's the problem...
context: It's more efficient this way.\That won't work!\Unfortunately, due to the decline of Elkia,\there are rumors that some of the ministers are collaborating\with other countries.\As the new king, you need to make sure\That's it?\If that's the problem... response:	In accordance with the pledges,
context: That won't work!\Unfortunately, due to the decline of Elkia,\there are rumors that some of the ministers are collaborating\with other countries.\As the new king, you need to make sure\That's it?\If that's the problem...\In accordance with the pledges, response:	we will now play rock-paper-scissors, and you will all deliberately lose.
context: Unfortunately, due to the decline of Elkia,\there are rumors that some of the ministers are collaborating\with other countries.\As the new king, you need to make sure\That's it?\If that's the problem...\In accordance with the pledges,\we will now play rock-paper-scissors, and you will all deliberately lose. response:	I will play scissors, and you'll all play paper.
context: there are rumors that some of the ministers are collaborating\with other countries.\As the new king, you need to make sure\That's it?\If that's the problem...\In accordance with the pledges,\we will now play rock-paper-scissors, and you will all deliberately lose.\I will play scissors, and you'll all play paper. response:	Whoever loses will be forbidden from presenting false reports or arbitrary messages.
context: with other countries.\As the new king, you need to make sure\That's it?\If that's the problem...\In accordance with the pledges,\we will now play rock-paper-scissors, and you will all deliberately lose.\I will play scissors, and you'll all play paper.\Whoever loses will be forbidden from presenting false reports or arbitrary messages. response:	We're taking advantage of the rules of the pledges.
context: As the new king, you need to make sure\That's it?\If that's the problem...\In accordance with the pledges,\we will now play rock-paper-scissors, and you will all deliberately lose.\I will play scissors, and you'll all play paper.\Whoever loses will be forbidden from presenting false reports or arbitrary messages.\We're taking advantage of the rules of the pledges. response:	Now there won't be any spies.
context: That's it?\If that's the problem...\In accordance with the pledges,\we will now play rock-paper-scissors, and you will all deliberately lose.\I will play scissors, and you'll all play paper.\Whoever loses will be forbidden from presenting false reports or arbitrary messages.\We're taking advantage of the rules of the pledges.\Now there won't be any spies. response:	Here we go.
context: If that's the problem...\In accordance with the pledges,\we will now play rock-paper-scissors, and you will all deliberately lose.\I will play scissors, and you'll all play paper.\Whoever loses will be forbidden from presenting false reports or arbitrary messages.\We're taking advantage of the rules of the pledges.\Now there won't be any spies.\Here we go. response:	Aschente!
context: In accordance with the pledges,\we will now play rock-paper-scissors, and you will all deliberately lose.\I will play scissors, and you'll all play paper.\Whoever loses will be forbidden from presenting false reports or arbitrary messages.\We're taking advantage of the rules of the pledges.\Now there won't be any spies.\Here we go.\Aschente! response:	As you can see, our country's provisions are in dire straits.
context: we will now play rock-paper-scissors, and you will all deliberately lose.\I will play scissors, and you'll all play paper.\Whoever loses will be forbidden from presenting false reports or arbitrary messages.\We're taking advantage of the rules of the pledges.\Now there won't be any spies.\Here we go.\Aschente!\As you can see, our country's provisions are in dire straits. response:	Got it.
context: I will play scissors, and you'll all play paper.\Whoever loses will be forbidden from presenting false reports or arbitrary messages.\We're taking advantage of the rules of the pledges.\Now there won't be any spies.\Here we go.\Aschente!\As you can see, our country's provisions are in dire straits.\Got it. response:	You're going to do the following.
context: Whoever loses will be forbidden from presenting false reports or arbitrary messages.\We're taking advantage of the rules of the pledges.\Now there won't be any spies.\Here we go.\Aschente!\As you can see, our country's provisions are in dire straits.\Got it.\You're going to do the following. response:	Yes, sir.
context: We're taking advantage of the rules of the pledges.\Now there won't be any spies.\Here we go.\Aschente!\As you can see, our country's provisions are in dire straits.\Got it.\You're going to do the following.\Yes, sir. response:	Um...
context: Now there won't be any spies.\Here we go.\Aschente!\As you can see, our country's provisions are in dire straits.\Got it.\You're going to do the following.\Yes, sir.\Um... response:	We'll introduce crop-rotation-based agriculture.
context: Here we go.\Aschente!\As you can see, our country's provisions are in dire straits.\Got it.\You're going to do the following.\Yes, sir.\Um...\We'll introduce crop-rotation-based agriculture. response:	You'll have one field, with...
context: Aschente!\As you can see, our country's provisions are in dire straits.\Got it.\You're going to do the following.\Yes, sir.\Um...\We'll introduce crop-rotation-based agriculture.\You'll have one field, with... response:	Wheat, root crops, barley, and pasturage.
context: As you can see, our country's provisions are in dire straits.\Got it.\You're going to do the following.\Yes, sir.\Um...\We'll introduce crop-rotation-based agriculture.\You'll have one field, with...\Wheat, root crops, barley, and pasturage. response:	You'll rotate the crops in that order.
context: Got it.\You're going to do the following.\Yes, sir.\Um...\We'll introduce crop-rotation-based agriculture.\You'll have one field, with...\Wheat, root crops, barley, and pasturage.\You'll rotate the crops in that order. response:	Yes, sir.
context: You're going to do the following.\Yes, sir.\Um...\We'll introduce crop-rotation-based agriculture.\You'll have one field, with...\Wheat, root crops, barley, and pasturage.\You'll rotate the crops in that order.\Yes, sir. response:	What exactly are treasury bonds?
context: Yes, sir.\Um...\We'll introduce crop-rotation-based agriculture.\You'll have one field, with...\Wheat, root crops, barley, and pasturage.\You'll rotate the crops in that order.\Yes, sir.\What exactly are treasury bonds? response:	I'll give you the details later.
context: Um...\We'll introduce crop-rotation-based agriculture.\You'll have one field, with...\Wheat, root crops, barley, and pasturage.\You'll rotate the crops in that order.\Yes, sir.\What exactly are treasury bonds?\I'll give you the details later. response:	You'll issue these bonds and make the banks buy them.
context: We'll introduce crop-rotation-based agriculture.\You'll have one field, with...\Wheat, root crops, barley, and pasturage.\You'll rotate the crops in that order.\Yes, sir.\What exactly are treasury bonds?\I'll give you the details later.\You'll issue these bonds and make the banks buy them. response:	That'll give us a budget.
context: You'll have one field, with...\Wheat, root crops, barley, and pasturage.\You'll rotate the crops in that order.\Yes, sir.\What exactly are treasury bonds?\I'll give you the details later.\You'll issue these bonds and make the banks buy them.\That'll give us a budget. response:	Y-Yes, sir.
context: Wheat, root crops, barley, and pasturage.\You'll rotate the crops in that order.\Yes, sir.\What exactly are treasury bonds?\I'll give you the details later.\You'll issue these bonds and make the banks buy them.\That'll give us a budget.\Y-Yes, sir. response:	Now we just sit back for a few turns and see how things go.
context: You'll rotate the crops in that order.\Yes, sir.\What exactly are treasury bonds?\I'll give you the details later.\You'll issue these bonds and make the banks buy them.\That'll give us a budget.\Y-Yes, sir.\Now we just sit back for a few turns and see how things go. response:	J-Just who are you?
context: Yes, sir.\What exactly are treasury bonds?\I'll give you the details later.\You'll issue these bonds and make the banks buy them.\That'll give us a budget.\Y-Yes, sir.\Now we just sit back for a few turns and see how things go.\J-Just who are you? response:	You handled all our domestic problems so easily...
context: What exactly are treasury bonds?\I'll give you the details later.\You'll issue these bonds and make the banks buy them.\That'll give us a budget.\Y-Yes, sir.\Now we just sit back for a few turns and see how things go.\J-Just who are you?\You handled all our domestic problems so easily... response:	Yeah, I'm the type who does all the domestic stuff at once when I play Civ.
context: I'll give you the details later.\You'll issue these bonds and make the banks buy them.\That'll give us a budget.\Y-Yes, sir.\Now we just sit back for a few turns and see how things go.\J-Just who are you?\You handled all our domestic problems so easily...\Yeah, I'm the type who does all the domestic stuff at once when I play Civ. response:	Good thing I downloaded a ton of guides to study for quiz games.
context: You'll issue these bonds and make the banks buy them.\That'll give us a budget.\Y-Yes, sir.\Now we just sit back for a few turns and see how things go.\J-Just who are you?\You handled all our domestic problems so easily...\Yeah, I'm the type who does all the domestic stuff at once when I play Civ.\Good thing I downloaded a ton of guides to study for quiz games. response:	That's not fair, Brother.
context: That'll give us a budget.\Y-Yes, sir.\Now we just sit back for a few turns and see how things go.\J-Just who are you?\You handled all our domestic problems so easily...\Yeah, I'm the type who does all the domestic stuff at once when I play Civ.\Good thing I downloaded a ton of guides to study for quiz games.\That's not fair, Brother. response:	It's cheating.
context: Y-Yes, sir.\Now we just sit back for a few turns and see how things go.\J-Just who are you?\You handled all our domestic problems so easily...\Yeah, I'm the type who does all the domestic stuff at once when I play Civ.\Good thing I downloaded a ton of guides to study for quiz games.\That's not fair, Brother.\It's cheating. response:	Don't call me a cheater in a world that officially
context: Now we just sit back for a few turns and see how things go.\J-Just who are you?\You handled all our domestic problems so easily...\Yeah, I'm the type who does all the domestic stuff at once when I play Civ.\Good thing I downloaded a ton of guides to study for quiz games.\That's not fair, Brother.\It's cheating.\Don't call me a cheater in a world that officially response:	allows cheating with magic.
context: J-Just who are you?\You handled all our domestic problems so easily...\Yeah, I'm the type who does all the domestic stuff at once when I play Civ.\Good thing I downloaded a ton of guides to study for quiz games.\That's not fair, Brother.\It's cheating.\Don't call me a cheater in a world that officially\allows cheating with magic. response:	It's time.
context: You handled all our domestic problems so easily...\Yeah, I'm the type who does all the domestic stuff at once when I play Civ.\Good thing I downloaded a ton of guides to study for quiz games.\That's not fair, Brother.\It's cheating.\Don't call me a cheater in a world that officially\allows cheating with magic.\It's time. response:	So, I guess it's finally time.
context: Yeah, I'm the type who does all the domestic stuff at once when I play Civ.\Good thing I downloaded a ton of guides to study for quiz games.\That's not fair, Brother.\It's cheating.\Don't call me a cheater in a world that officially\allows cheating with magic.\It's time.\So, I guess it's finally time. response:	It's beginning.
context: Good thing I downloaded a ton of guides to study for quiz games.\That's not fair, Brother.\It's cheating.\Don't call me a cheater in a world that officially\allows cheating with magic.\It's time.\So, I guess it's finally time.\It's beginning. response:	Are you really wearing that?
context: That's not fair, Brother.\It's cheating.\Don't call me a cheater in a world that officially\allows cheating with magic.\It's time.\So, I guess it's finally time.\It's beginning.\Are you really wearing that? response:	Yeah, this is what I feel most relaxed in.
context: It's cheating.\Don't call me a cheater in a world that officially\allows cheating with magic.\It's time.\So, I guess it's finally time.\It's beginning.\Are you really wearing that?\Yeah, this is what I feel most relaxed in. response:	Brother.
context: Don't call me a cheater in a world that officially\allows cheating with magic.\It's time.\So, I guess it's finally time.\It's beginning.\Are you really wearing that?\Yeah, this is what I feel most relaxed in.\Brother. response:	Yup.
context: allows cheating with magic.\It's time.\So, I guess it's finally time.\It's beginning.\Are you really wearing that?\Yeah, this is what I feel most relaxed in.\Brother.\Yup. response:	Now, then...
context: It's time.\So, I guess it's finally time.\It's beginning.\Are you really wearing that?\Yeah, this is what I feel most relaxed in.\Brother.\Yup.\Now, then... response:	Let's do this.
context: So, I guess it's finally time.\It's beginning.\Are you really wearing that?\Yeah, this is what I feel most relaxed in.\Brother.\Yup.\Now, then...\Let's do this. response:	I Humanity
context: It's beginning.\Are you really wearing that?\Yeah, this is what I feel most relaxed in.\Brother.\Yup.\Now, then...\Let's do this.\I Humanity response:	Hello, everyone!
context: Are you really wearing that?\Yeah, this is what I feel most relaxed in.\Brother.\Yup.\Now, then...\Let's do this.\I Humanity\Hello, everyone! response:	You're nervous, Brother.
context: Yeah, this is what I feel most relaxed in.\Brother.\Yup.\Now, then...\Let's do this.\I Humanity\Hello, everyone!\You're nervous, Brother. response:	Shut up. We're both scared to death of crowds.
