context: It's another peaceful day, Fi. response:	The Little Prince and the Legendary Hero
context: Oh, I'm sorry.\Even if I didn't know, that was very rude of me.\Please don't worry.\I'm being shown around the country.\I'm not here on official business.\I see.\You're so stiff, old man.\I hope you can be friends. response:	You guys are too relaxed!
context: Even if I didn't know, that was very rude of me.\Please don't worry.\I'm being shown around the country.\I'm not here on official business.\I see.\You're so stiff, old man.\I hope you can be friends.\You guys are too relaxed! response:	General, can Prince Leaf and I
context: Please don't worry.\I'm being shown around the country.\I'm not here on official business.\I see.\You're so stiff, old man.\I hope you can be friends.\You guys are too relaxed!\General, can Prince Leaf and I response:	borrow the training grounds for a bit?
context: I'm being shown around the country.\I'm not here on official business.\I see.\You're so stiff, old man.\I hope you can be friends.\You guys are too relaxed!\General, can Prince Leaf and I\borrow the training grounds for a bit? response:	That's perfectly fine.
context: I'm not here on official business.\I see.\You're so stiff, old man.\I hope you can be friends.\You guys are too relaxed!\General, can Prince Leaf and I\borrow the training grounds for a bit?\That's perfectly fine. response:	It's afternoon break just now.
context: I see.\You're so stiff, old man.\I hope you can be friends.\You guys are too relaxed!\General, can Prince Leaf and I\borrow the training grounds for a bit?\That's perfectly fine.\It's afternoon break just now. response:	Please show our soldiers the skills of
context: You're so stiff, old man.\I hope you can be friends.\You guys are too relaxed!\General, can Prince Leaf and I\borrow the training grounds for a bit?\That's perfectly fine.\It's afternoon break just now.\Please show our soldiers the skills of response:	their Hero and Prince Leaf.
context: I hope you can be friends.\You guys are too relaxed!\General, can Prince Leaf and I\borrow the training grounds for a bit?\That's perfectly fine.\It's afternoon break just now.\Please show our soldiers the skills of\their Hero and Prince Leaf. response:	I'll tell Prince Gaul and the Hero Shinku.
context: You guys are too relaxed!\General, can Prince Leaf and I\borrow the training grounds for a bit?\That's perfectly fine.\It's afternoon break just now.\Please show our soldiers the skills of\their Hero and Prince Leaf.\I'll tell Prince Gaul and the Hero Shinku. response:	Hey!
context: General, can Prince Leaf and I\borrow the training grounds for a bit?\That's perfectly fine.\It's afternoon break just now.\Please show our soldiers the skills of\their Hero and Prince Leaf.\I'll tell Prince Gaul and the Hero Shinku.\Hey! response:	Right!
context: borrow the training grounds for a bit?\That's perfectly fine.\It's afternoon break just now.\Please show our soldiers the skills of\their Hero and Prince Leaf.\I'll tell Prince Gaul and the Hero Shinku.\Hey!\Right! response:	Prince, let's show the people of Galette how cool you are!
context: That's perfectly fine.\It's afternoon break just now.\Please show our soldiers the skills of\their Hero and Prince Leaf.\I'll tell Prince Gaul and the Hero Shinku.\Hey!\Right!\Prince, let's show the people of Galette how cool you are! response:	I'll do my best!
context: It's afternoon break just now.\Please show our soldiers the skills of\their Hero and Prince Leaf.\I'll tell Prince Gaul and the Hero Shinku.\Hey!\Right!\Prince, let's show the people of Galette how cool you are!\I'll do my best! response:	Listen, everyone!
context: Please show our soldiers the skills of\their Hero and Prince Leaf.\I'll tell Prince Gaul and the Hero Shinku.\Hey!\Right!\Prince, let's show the people of Galette how cool you are!\I'll do my best!\Listen, everyone! response:	Did you see the games held yesterday by our leader,
context: their Hero and Prince Leaf.\I'll tell Prince Gaul and the Hero Shinku.\Hey!\Right!\Prince, let's show the people of Galette how cool you are!\I'll do my best!\Listen, everyone!\Did you see the games held yesterday by our leader, response:	Lady Leonmitchelli?
context: I'll tell Prince Gaul and the Hero Shinku.\Hey!\Right!\Prince, let's show the people of Galette how cool you are!\I'll do my best!\Listen, everyone!\Did you see the games held yesterday by our leader,\Lady Leonmitchelli? response:	Yeah!
context: Hey!\Right!\Prince, let's show the people of Galette how cool you are!\I'll do my best!\Listen, everyone!\Did you see the games held yesterday by our leader,\Lady Leonmitchelli?\Yeah! response:	Prince Leaf, who performed splendidly in the games,
context: Right!\Prince, let's show the people of Galette how cool you are!\I'll do my best!\Listen, everyone!\Did you see the games held yesterday by our leader,\Lady Leonmitchelli?\Yeah!\Prince Leaf, who performed splendidly in the games, response:	is here with us now.
context: Prince, let's show the people of Galette how cool you are!\I'll do my best!\Listen, everyone!\Did you see the games held yesterday by our leader,\Lady Leonmitchelli?\Yeah!\Prince Leaf, who performed splendidly in the games,\is here with us now. response:	And he and our Hero are
context: I'll do my best!\Listen, everyone!\Did you see the games held yesterday by our leader,\Lady Leonmitchelli?\Yeah!\Prince Leaf, who performed splendidly in the games,\is here with us now.\And he and our Hero are response:	going to have a practice match.
context: Listen, everyone!\Did you see the games held yesterday by our leader,\Lady Leonmitchelli?\Yeah!\Prince Leaf, who performed splendidly in the games,\is here with us now.\And he and our Hero are\going to have a practice match. response:	Yes!
context: Did you see the games held yesterday by our leader,\Lady Leonmitchelli?\Yeah!\Prince Leaf, who performed splendidly in the games,\is here with us now.\And he and our Hero are\going to have a practice match.\Yes! response:	Watch carefully and use this
context: Lady Leonmitchelli?\Yeah!\Prince Leaf, who performed splendidly in the games,\is here with us now.\And he and our Hero are\going to have a practice match.\Yes!\Watch carefully and use this response:	as inspiration for your own training.
context: Yeah!\Prince Leaf, who performed splendidly in the games,\is here with us now.\And he and our Hero are\going to have a practice match.\Yes!\Watch carefully and use this\as inspiration for your own training. response:	This is a pretty great way to
context: Prince Leaf, who performed splendidly in the games,\is here with us now.\And he and our Hero are\going to have a practice match.\Yes!\Watch carefully and use this\as inspiration for your own training.\This is a pretty great way to response:	entertain us on our lunch break, isn't it?
context: is here with us now.\And he and our Hero are\going to have a practice match.\Yes!\Watch carefully and use this\as inspiration for your own training.\This is a pretty great way to\entertain us on our lunch break, isn't it? response:	Yup!
context: And he and our Hero are\going to have a practice match.\Yes!\Watch carefully and use this\as inspiration for your own training.\This is a pretty great way to\entertain us on our lunch break, isn't it?\Yup! response:	Okay! I'm ready!
context: going to have a practice match.\Yes!\Watch carefully and use this\as inspiration for your own training.\This is a pretty great way to\entertain us on our lunch break, isn't it?\Yup!\Okay! I'm ready! response:	Give us a second.
context: Yes!\Watch carefully and use this\as inspiration for your own training.\This is a pretty great way to\entertain us on our lunch break, isn't it?\Yup!\Okay! I'm ready!\Give us a second. response:	Vert, I'm okay now.
context: Watch carefully and use this\as inspiration for your own training.\This is a pretty great way to\entertain us on our lunch break, isn't it?\Yup!\Okay! I'm ready!\Give us a second.\Vert, I'm okay now. response:	Wanna bet? I'm betting on our Hero.
context: as inspiration for your own training.\This is a pretty great way to\entertain us on our lunch break, isn't it?\Yup!\Okay! I'm ready!\Give us a second.\Vert, I'm okay now.\Wanna bet? I'm betting on our Hero. response:	Then I'll bet on Prince Leaf.
context: This is a pretty great way to\entertain us on our lunch break, isn't it?\Yup!\Okay! I'm ready!\Give us a second.\Vert, I'm okay now.\Wanna bet? I'm betting on our Hero.\Then I'll bet on Prince Leaf. response:	What about you?
context: entertain us on our lunch break, isn't it?\Yup!\Okay! I'm ready!\Give us a second.\Vert, I'm okay now.\Wanna bet? I'm betting on our Hero.\Then I'll bet on Prince Leaf.\What about you? response:	I don't bet.
context: Yup!\Okay! I'm ready!\Give us a second.\Vert, I'm okay now.\Wanna bet? I'm betting on our Hero.\Then I'll bet on Prince Leaf.\What about you?\I don't bet. response:	You're so stiff, Eclair.
context: Okay! I'm ready!\Give us a second.\Vert, I'm okay now.\Wanna bet? I'm betting on our Hero.\Then I'll bet on Prince Leaf.\What about you?\I don't bet.\You're so stiff, Eclair. response:	But well...
context: Give us a second.\Vert, I'm okay now.\Wanna bet? I'm betting on our Hero.\Then I'll bet on Prince Leaf.\What about you?\I don't bet.\You're so stiff, Eclair.\But well... response:	I'm interested to see who'll win.
context: Vert, I'm okay now.\Wanna bet? I'm betting on our Hero.\Then I'll bet on Prince Leaf.\What about you?\I don't bet.\You're so stiff, Eclair.\But well...\I'm interested to see who'll win. response:	Okay!
context: Wanna bet? I'm betting on our Hero.\Then I'll bet on Prince Leaf.\What about you?\I don't bet.\You're so stiff, Eclair.\But well...\I'm interested to see who'll win.\Okay! response:	Here I come!
context: Then I'll bet on Prince Leaf.\What about you?\I don't bet.\You're so stiff, Eclair.\But well...\I'm interested to see who'll win.\Okay!\Here I come! response:	Begin the game!
context: What about you?\I don't bet.\You're so stiff, Eclair.\But well...\I'm interested to see who'll win.\Okay!\Here I come!\Begin the game! response:	Ready...
context: I don't bet.\You're so stiff, Eclair.\But well...\I'm interested to see who'll win.\Okay!\Here I come!\Begin the game!\Ready... response:	Water God's Fist!
context: You're so stiff, Eclair.\But well...\I'm interested to see who'll win.\Okay!\Here I come!\Begin the game!\Ready...\Water God's Fist! response:	Nice!
context: But well...\I'm interested to see who'll win.\Okay!\Here I come!\Begin the game!\Ready...\Water God's Fist!\Nice! response:	Nanami's amazing.
context: I'm interested to see who'll win.\Okay!\Here I come!\Begin the game!\Ready...\Water God's Fist!\Nice!\Nanami's amazing. response:	I can't believe she survived that.
context: Okay!\Here I come!\Begin the game!\Ready...\Water God's Fist!\Nice!\Nanami's amazing.\I can't believe she survived that. response:	She knows how to dodge.
context: Here I come!\Begin the game!\Ready...\Water God's Fist!\Nice!\Nanami's amazing.\I can't believe she survived that.\She knows how to dodge. response:	Yeah.
context: Begin the game!\Ready...\Water God's Fist!\Nice!\Nanami's amazing.\I can't believe she survived that.\She knows how to dodge.\Yeah. response:	I'm just a Hero who comes here once in a while,
context: Ready...\Water God's Fist!\Nice!\Nanami's amazing.\I can't believe she survived that.\She knows how to dodge.\Yeah.\I'm just a Hero who comes here once in a while, response:	but I hope I can be friends with you.
context: Water God's Fist!\Nice!\Nanami's amazing.\I can't believe she survived that.\She knows how to dodge.\Yeah.\I'm just a Hero who comes here once in a while,\but I hope I can be friends with you. response:	Me, too, Hero Nanami!
context: Nice!\Nanami's amazing.\I can't believe she survived that.\She knows how to dodge.\Yeah.\I'm just a Hero who comes here once in a while,\but I hope I can be friends with you.\Me, too, Hero Nanami! response:	Just call me Nanami!
context: Nanami's amazing.\I can't believe she survived that.\She knows how to dodge.\Yeah.\I'm just a Hero who comes here once in a while,\but I hope I can be friends with you.\Me, too, Hero Nanami!\Just call me Nanami! response:	Okay, Nanami-san.
context: I can't believe she survived that.\She knows how to dodge.\Yeah.\I'm just a Hero who comes here once in a while,\but I hope I can be friends with you.\Me, too, Hero Nanami!\Just call me Nanami!\Okay, Nanami-san. response:	Call me by my name, too.
context: She knows how to dodge.\Yeah.\I'm just a Hero who comes here once in a while,\but I hope I can be friends with you.\Me, too, Hero Nanami!\Just call me Nanami!\Okay, Nanami-san.\Call me by my name, too. response:	Okay, Leaf!
context: Yeah.\I'm just a Hero who comes here once in a while,\but I hope I can be friends with you.\Me, too, Hero Nanami!\Just call me Nanami!\Okay, Nanami-san.\Call me by my name, too.\Okay, Leaf! response:	I'll support you in
context: I'm just a Hero who comes here once in a while,\but I hope I can be friends with you.\Me, too, Hero Nanami!\Just call me Nanami!\Okay, Nanami-san.\Call me by my name, too.\Okay, Leaf!\I'll support you in response:	your love of Leo-sama.
context: but I hope I can be friends with you.\Me, too, Hero Nanami!\Just call me Nanami!\Okay, Nanami-san.\Call me by my name, too.\Okay, Leaf!\I'll support you in\your love of Leo-sama. response:	I don't know if I love her, it's more like...
context: Me, too, Hero Nanami!\Just call me Nanami!\Okay, Nanami-san.\Call me by my name, too.\Okay, Leaf!\I'll support you in\your love of Leo-sama.\I don't know if I love her, it's more like... response:	I'm Leo-sama's Hero,
context: Just call me Nanami!\Okay, Nanami-san.\Call me by my name, too.\Okay, Leaf!\I'll support you in\your love of Leo-sama.\I don't know if I love her, it's more like...\I'm Leo-sama's Hero, response:	so I want to be with her always.
context: Okay, Nanami-san.\Call me by my name, too.\Okay, Leaf!\I'll support you in\your love of Leo-sama.\I don't know if I love her, it's more like...\I'm Leo-sama's Hero,\so I want to be with her always. response:	Is that okay? Does that bother you?
context: Call me by my name, too.\Okay, Leaf!\I'll support you in\your love of Leo-sama.\I don't know if I love her, it's more like...\I'm Leo-sama's Hero,\so I want to be with her always.\Is that okay? Does that bother you? response:	Not at all!
context: Okay, Leaf!\I'll support you in\your love of Leo-sama.\I don't know if I love her, it's more like...\I'm Leo-sama's Hero,\so I want to be with her always.\Is that okay? Does that bother you?\Not at all! response:	I don't really know
context: I'll support you in\your love of Leo-sama.\I don't know if I love her, it's more like...\I'm Leo-sama's Hero,\so I want to be with her always.\Is that okay? Does that bother you?\Not at all!\I don't really know response:	all that much about Leo-sama yet,
context: your love of Leo-sama.\I don't know if I love her, it's more like...\I'm Leo-sama's Hero,\so I want to be with her always.\Is that okay? Does that bother you?\Not at all!\I don't really know\all that much about Leo-sama yet, response:	but since you came,
context: I don't know if I love her, it's more like...\I'm Leo-sama's Hero,\so I want to be with her always.\Is that okay? Does that bother you?\Not at all!\I don't really know\all that much about Leo-sama yet,\but since you came, response:	her smile's been even more wonderful.
context: I'm Leo-sama's Hero,\so I want to be with her always.\Is that okay? Does that bother you?\Not at all!\I don't really know\all that much about Leo-sama yet,\but since you came,\her smile's been even more wonderful. response:	That's what I think!
context: so I want to be with her always.\Is that okay? Does that bother you?\Not at all!\I don't really know\all that much about Leo-sama yet,\but since you came,\her smile's been even more wonderful.\That's what I think! response:	That's my answer right now.
context: Is that okay? Does that bother you?\Not at all!\I don't really know\all that much about Leo-sama yet,\but since you came,\her smile's been even more wonderful.\That's what I think!\That's my answer right now. response:	Thanks, Leaf.
context: Not at all!\I don't really know\all that much about Leo-sama yet,\but since you came,\her smile's been even more wonderful.\That's what I think!\That's my answer right now.\Thanks, Leaf. response:	But this fight is something different!
context: I don't really know\all that much about Leo-sama yet,\but since you came,\her smile's been even more wonderful.\That's what I think!\That's my answer right now.\Thanks, Leaf.\But this fight is something different! response:	Yes!
context: all that much about Leo-sama yet,\but since you came,\her smile's been even more wonderful.\That's what I think!\That's my answer right now.\Thanks, Leaf.\But this fight is something different!\Yes! response:	Here I go, Leaf!
context: but since you came,\her smile's been even more wonderful.\That's what I think!\That's my answer right now.\Thanks, Leaf.\But this fight is something different!\Yes!\Here I go, Leaf! response:	Special move!
context: her smile's been even more wonderful.\That's what I think!\That's my answer right now.\Thanks, Leaf.\But this fight is something different!\Yes!\Here I go, Leaf!\Special move! response:	Their special moves exploded!
context: That's what I think!\That's my answer right now.\Thanks, Leaf.\But this fight is something different!\Yes!\Here I go, Leaf!\Special move!\Their special moves exploded! response:	Who will be the victor?
context: That's my answer right now.\Thanks, Leaf.\But this fight is something different!\Yes!\Here I go, Leaf!\Special move!\Their special moves exploded!\Who will be the victor? response:	This might be no good...
context: Thanks, Leaf.\But this fight is something different!\Yes!\Here I go, Leaf!\Special move!\Their special moves exploded!\Who will be the victor?\This might be no good... response:	It's a tie!
context: But this fight is something different!\Yes!\Here I go, Leaf!\Special move!\Their special moves exploded!\Who will be the victor?\This might be no good...\It's a tie! response:	Nice fanservice from Prince Leaf to the Galette Knights.
context: Yes!\Here I go, Leaf!\Special move!\Their special moves exploded!\Who will be the victor?\This might be no good...\It's a tie!\Nice fanservice from Prince Leaf to the Galette Knights. response:	It kind of bugs me that I lost, but this was fun!
context: Here I go, Leaf!\Special move!\Their special moves exploded!\Who will be the victor?\This might be no good...\It's a tie!\Nice fanservice from Prince Leaf to the Galette Knights.\It kind of bugs me that I lost, but this was fun! response:	I won't lose next time!
context: Special move!\Their special moves exploded!\Who will be the victor?\This might be no good...\It's a tie!\Nice fanservice from Prince Leaf to the Galette Knights.\It kind of bugs me that I lost, but this was fun!\I won't lose next time! response:	Nice job, Leaf.
context: Their special moves exploded!\Who will be the victor?\This might be no good...\It's a tie!\Nice fanservice from Prince Leaf to the Galette Knights.\It kind of bugs me that I lost, but this was fun!\I won't lose next time!\Nice job, Leaf. response:	This is exciting!
context: Who will be the victor?\This might be no good...\It's a tie!\Nice fanservice from Prince Leaf to the Galette Knights.\It kind of bugs me that I lost, but this was fun!\I won't lose next time!\Nice job, Leaf.\This is exciting! response:	Gaul, want to join in?
context: This might be no good...\It's a tie!\Nice fanservice from Prince Leaf to the Galette Knights.\It kind of bugs me that I lost, but this was fun!\I won't lose next time!\Nice job, Leaf.\This is exciting!\Gaul, want to join in? response:	Sounds good!
context: It's a tie!\Nice fanservice from Prince Leaf to the Galette Knights.\It kind of bugs me that I lost, but this was fun!\I won't lose next time!\Nice job, Leaf.\This is exciting!\Gaul, want to join in?\Sounds good! response:	Prince Leaf, want to have another match with me?
context: Nice fanservice from Prince Leaf to the Galette Knights.\It kind of bugs me that I lost, but this was fun!\I won't lose next time!\Nice job, Leaf.\This is exciting!\Gaul, want to join in?\Sounds good!\Prince Leaf, want to have another match with me? response:	Want to make the second round a team fight?
context: It kind of bugs me that I lost, but this was fun!\I won't lose next time!\Nice job, Leaf.\This is exciting!\Gaul, want to join in?\Sounds good!\Prince Leaf, want to have another match with me?\Want to make the second round a team fight? response:	Then we'll play, too.
context: I won't lose next time!\Nice job, Leaf.\This is exciting!\Gaul, want to join in?\Sounds good!\Prince Leaf, want to have another match with me?\Want to make the second round a team fight?\Then we'll play, too. response:	That sounds great.
context: Nice job, Leaf.\This is exciting!\Gaul, want to join in?\Sounds good!\Prince Leaf, want to have another match with me?\Want to make the second round a team fight?\Then we'll play, too.\That sounds great. response:	You, too, old man.
context: This is exciting!\Gaul, want to join in?\Sounds good!\Prince Leaf, want to have another match with me?\Want to make the second round a team fight?\Then we'll play, too.\That sounds great.\You, too, old man. response:	Me, too?
context: Gaul, want to join in?\Sounds good!\Prince Leaf, want to have another match with me?\Want to make the second round a team fight?\Then we'll play, too.\That sounds great.\You, too, old man.\Me, too? response:	I'm sorry.
context: Sounds good!\Prince Leaf, want to have another match with me?\Want to make the second round a team fight?\Then we'll play, too.\That sounds great.\You, too, old man.\Me, too?\I'm sorry. response:	This has turned into a pretty big deal.
context: Prince Leaf, want to have another match with me?\Want to make the second round a team fight?\Then we'll play, too.\That sounds great.\You, too, old man.\Me, too?\I'm sorry.\This has turned into a pretty big deal. response:	No. It's fun!
context: Want to make the second round a team fight?\Then we'll play, too.\That sounds great.\You, too, old man.\Me, too?\I'm sorry.\This has turned into a pretty big deal.\No. It's fun! response:	Once we've played a little more here, we're going to Biscotti.
context: Then we'll play, too.\That sounds great.\You, too, old man.\Me, too?\I'm sorry.\This has turned into a pretty big deal.\No. It's fun!\Once we've played a little more here, we're going to Biscotti. response:	Is there any place you want to go
context: That sounds great.\You, too, old man.\Me, too?\I'm sorry.\This has turned into a pretty big deal.\No. It's fun!\Once we've played a little more here, we're going to Biscotti.\Is there any place you want to go response:	or anyone you want to see?
context: You, too, old man.\Me, too?\I'm sorry.\This has turned into a pretty big deal.\No. It's fun!\Once we've played a little more here, we're going to Biscotti.\Is there any place you want to go\or anyone you want to see? response:	Yes, actually...
context: Me, too?\I'm sorry.\This has turned into a pretty big deal.\No. It's fun!\Once we've played a little more here, we're going to Biscotti.\Is there any place you want to go\or anyone you want to see?\Yes, actually... response:	A visitor.
context: I'm sorry.\This has turned into a pretty big deal.\No. It's fun!\Once we've played a little more here, we're going to Biscotti.\Is there any place you want to go\or anyone you want to see?\Yes, actually...\A visitor. response:	Hina-sama! It's been so long!
context: This has turned into a pretty big deal.\No. It's fun!\Once we've played a little more here, we're going to Biscotti.\Is there any place you want to go\or anyone you want to see?\Yes, actually...\A visitor.\Hina-sama! It's been so long! response:	Miss Nanami.
context: No. It's fun!\Once we've played a little more here, we're going to Biscotti.\Is there any place you want to go\or anyone you want to see?\Yes, actually...\A visitor.\Hina-sama! It's been so long!\Miss Nanami. response:	And the Genoise.
context: Once we've played a little more here, we're going to Biscotti.\Is there any place you want to go\or anyone you want to see?\Yes, actually...\A visitor.\Hina-sama! It's been so long!\Miss Nanami.\And the Genoise. response:	And who's this?
context: Is there any place you want to go\or anyone you want to see?\Yes, actually...\A visitor.\Hina-sama! It's been so long!\Miss Nanami.\And the Genoise.\And who's this? response:	Hello there.
context: or anyone you want to see?\Yes, actually...\A visitor.\Hina-sama! It's been so long!\Miss Nanami.\And the Genoise.\And who's this?\Hello there. response:	This is Prince Leaf from the Kingdom of Halver.
context: Yes, actually...\A visitor.\Hina-sama! It's been so long!\Miss Nanami.\And the Genoise.\And who's this?\Hello there.\This is Prince Leaf from the Kingdom of Halver. response:	When we told him about you,
context: A visitor.\Hina-sama! It's been so long!\Miss Nanami.\And the Genoise.\And who's this?\Hello there.\This is Prince Leaf from the Kingdom of Halver.\When we told him about you, response:	he said he'd love to meet you.
context: Hina-sama! It's been so long!\Miss Nanami.\And the Genoise.\And who's this?\Hello there.\This is Prince Leaf from the Kingdom of Halver.\When we told him about you,\he said he'd love to meet you. response:	I see.
context: Miss Nanami.\And the Genoise.\And who's this?\Hello there.\This is Prince Leaf from the Kingdom of Halver.\When we told him about you,\he said he'd love to meet you.\I see. response:	It's not a big place, but enjoy yourselves.
context: And the Genoise.\And who's this?\Hello there.\This is Prince Leaf from the Kingdom of Halver.\When we told him about you,\he said he'd love to meet you.\I see.\It's not a big place, but enjoy yourselves. response:	Thank you.
context: And who's this?\Hello there.\This is Prince Leaf from the Kingdom of Halver.\When we told him about you,\he said he'd love to meet you.\I see.\It's not a big place, but enjoy yourselves.\Thank you. response:	Halver is far to the north,
context: Hello there.\This is Prince Leaf from the Kingdom of Halver.\When we told him about you,\he said he'd love to meet you.\I see.\It's not a big place, but enjoy yourselves.\Thank you.\Halver is far to the north, response:	so we don't know a lot about the central continent.
context: This is Prince Leaf from the Kingdom of Halver.\When we told him about you,\he said he'd love to meet you.\I see.\It's not a big place, but enjoy yourselves.\Thank you.\Halver is far to the north,\so we don't know a lot about the central continent. response:	I've been granted permission by Lady Leonmitchelli, Princess Millihiore,
context: When we told him about you,\he said he'd love to meet you.\I see.\It's not a big place, but enjoy yourselves.\Thank you.\Halver is far to the north,\so we don't know a lot about the central continent.\I've been granted permission by Lady Leonmitchelli, Princess Millihiore, response:	and Duchess Couver to visit
context: he said he'd love to meet you.\I see.\It's not a big place, but enjoy yourselves.\Thank you.\Halver is far to the north,\so we don't know a lot about the central continent.\I've been granted permission by Lady Leonmitchelli, Princess Millihiore,\and Duchess Couver to visit response:	the capitals of their nations.
context: I see.\It's not a big place, but enjoy yourselves.\Thank you.\Halver is far to the north,\so we don't know a lot about the central continent.\I've been granted permission by Lady Leonmitchelli, Princess Millihiore,\and Duchess Couver to visit\the capitals of their nations. response:	I was told that you, Lady d'Arquien,
context: It's not a big place, but enjoy yourselves.\Thank you.\Halver is far to the north,\so we don't know a lot about the central continent.\I've been granted permission by Lady Leonmitchelli, Princess Millihiore,\and Duchess Couver to visit\the capitals of their nations.\I was told that you, Lady d'Arquien, response:	are a free knight of the Biscotti Knights,
context: Thank you.\Halver is far to the north,\so we don't know a lot about the central continent.\I've been granted permission by Lady Leonmitchelli, Princess Millihiore,\and Duchess Couver to visit\the capitals of their nations.\I was told that you, Lady d'Arquien,\are a free knight of the Biscotti Knights, response:	the continent's strongest swordmaster,
context: Halver is far to the north,\so we don't know a lot about the central continent.\I've been granted permission by Lady Leonmitchelli, Princess Millihiore,\and Duchess Couver to visit\the capitals of their nations.\I was told that you, Lady d'Arquien,\are a free knight of the Biscotti Knights,\the continent's strongest swordmaster, response:	and more than anything,
context: so we don't know a lot about the central continent.\I've been granted permission by Lady Leonmitchelli, Princess Millihiore,\and Duchess Couver to visit\the capitals of their nations.\I was told that you, Lady d'Arquien,\are a free knight of the Biscotti Knights,\the continent's strongest swordmaster,\and more than anything, response:	a member of the Hero King's party.
context: I've been granted permission by Lady Leonmitchelli, Princess Millihiore,\and Duchess Couver to visit\the capitals of their nations.\I was told that you, Lady d'Arquien,\are a free knight of the Biscotti Knights,\the continent's strongest swordmaster,\and more than anything,\a member of the Hero King's party. response:	I'm honored to meet you.
context: and Duchess Couver to visit\the capitals of their nations.\I was told that you, Lady d'Arquien,\are a free knight of the Biscotti Knights,\the continent's strongest swordmaster,\and more than anything,\a member of the Hero King's party.\I'm honored to meet you. response:	They're not that serious when
context: the capitals of their nations.\I was told that you, Lady d'Arquien,\are a free knight of the Biscotti Knights,\the continent's strongest swordmaster,\and more than anything,\a member of the Hero King's party.\I'm honored to meet you.\They're not that serious when response:	they say I'm the strongest.
context: I was told that you, Lady d'Arquien,\are a free knight of the Biscotti Knights,\the continent's strongest swordmaster,\and more than anything,\a member of the Hero King's party.\I'm honored to meet you.\They're not that serious when\they say I'm the strongest. response:	There are lots of strong swordsmen everywhere.
context: are a free knight of the Biscotti Knights,\the continent's strongest swordmaster,\and more than anything,\a member of the Hero King's party.\I'm honored to meet you.\They're not that serious when\they say I'm the strongest.\There are lots of strong swordsmen everywhere. response:	N-No, I mean...
context: the continent's strongest swordmaster,\and more than anything,\a member of the Hero King's party.\I'm honored to meet you.\They're not that serious when\they say I'm the strongest.\There are lots of strong swordsmen everywhere.\N-No, I mean... response:	More importantly, it must be tiring to be so formal.
context: and more than anything,\a member of the Hero King's party.\I'm honored to meet you.\They're not that serious when\they say I'm the strongest.\There are lots of strong swordsmen everywhere.\N-No, I mean...\More importantly, it must be tiring to be so formal. response:	Relax. Relax.
context: a member of the Hero King's party.\I'm honored to meet you.\They're not that serious when\they say I'm the strongest.\There are lots of strong swordsmen everywhere.\N-No, I mean...\More importantly, it must be tiring to be so formal.\Relax. Relax. response:	Okay.
context: I'm honored to meet you.\They're not that serious when\they say I'm the strongest.\There are lots of strong swordsmen everywhere.\N-No, I mean...\More importantly, it must be tiring to be so formal.\Relax. Relax.\Okay. response:	Okay!
context: They're not that serious when\they say I'm the strongest.\There are lots of strong swordsmen everywhere.\N-No, I mean...\More importantly, it must be tiring to be so formal.\Relax. Relax.\Okay.\Okay! response:	Tea's ready!
context: they say I'm the strongest.\There are lots of strong swordsmen everywhere.\N-No, I mean...\More importantly, it must be tiring to be so formal.\Relax. Relax.\Okay.\Okay!\Tea's ready! response:	Thanks!
context: There are lots of strong swordsmen everywhere.\N-No, I mean...\More importantly, it must be tiring to be so formal.\Relax. Relax.\Okay.\Okay!\Tea's ready!\Thanks! response:	That's great!
context: N-No, I mean...\More importantly, it must be tiring to be so formal.\Relax. Relax.\Okay.\Okay!\Tea's ready!\Thanks!\That's great! response:	Thank you!
context: More importantly, it must be tiring to be so formal.\Relax. Relax.\Okay.\Okay!\Tea's ready!\Thanks!\That's great!\Thank you! response:	Jaune-chan, Noir-chan, you join in, too.
context: Relax. Relax.\Okay.\Okay!\Tea's ready!\Thanks!\That's great!\Thank you!\Jaune-chan, Noir-chan, you join in, too. response:	Okay!
context: Okay.\Okay!\Tea's ready!\Thanks!\That's great!\Thank you!\Jaune-chan, Noir-chan, you join in, too.\Okay! response:	Snacktime!
context: Okay!\Tea's ready!\Thanks!\That's great!\Thank you!\Jaune-chan, Noir-chan, you join in, too.\Okay!\Snacktime! response:	Now then, would you like to hear some
context: Tea's ready!\Thanks!\That's great!\Thank you!\Jaune-chan, Noir-chan, you join in, too.\Okay!\Snacktime!\Now then, would you like to hear some response:	old stories about the Hero King's era?
context: Thanks!\That's great!\Thank you!\Jaune-chan, Noir-chan, you join in, too.\Okay!\Snacktime!\Now then, would you like to hear some\old stories about the Hero King's era? response:	I'd love to hear them!
context: That's great!\Thank you!\Jaune-chan, Noir-chan, you join in, too.\Okay!\Snacktime!\Now then, would you like to hear some\old stories about the Hero King's era?\I'd love to hear them! response:	It'd end up being a pretty long story.
context: Thank you!\Jaune-chan, Noir-chan, you join in, too.\Okay!\Snacktime!\Now then, would you like to hear some\old stories about the Hero King's era?\I'd love to hear them!\It'd end up being a pretty long story. response:	You're all going to Pastillage this evening, right?
context: Jaune-chan, Noir-chan, you join in, too.\Okay!\Snacktime!\Now then, would you like to hear some\old stories about the Hero King's era?\I'd love to hear them!\It'd end up being a pretty long story.\You're all going to Pastillage this evening, right? response:	Yes!
