context: Ah, I'm sorry. Ow... response:	A-are you all right?
context: Why did you let her into your aparment?\You saw her?\I did.\I tried to make her leave by telling her we were going out,\but she chased me out instead.\What were you thinking of doing after this?\Why didn't you push her away?\What are you going to do now that you've got her hopes up? response:	I don't understand what you want to do at all, Koshiro.
context: You saw her?\I did.\I tried to make her leave by telling her we were going out,\but she chased me out instead.\What were you thinking of doing after this?\Why didn't you push her away?\What are you going to do now that you've got her hopes up?\I don't understand what you want to do at all, Koshiro. response:	I see that Nanoka-chan is also serious.
context: I did.\I tried to make her leave by telling her we were going out,\but she chased me out instead.\What were you thinking of doing after this?\Why didn't you push her away?\What are you going to do now that you've got her hopes up?\I don't understand what you want to do at all, Koshiro.\I see that Nanoka-chan is also serious. response:	I'm sorry I said that you were the only one doing wrong.
context: I tried to make her leave by telling her we were going out,\but she chased me out instead.\What were you thinking of doing after this?\Why didn't you push her away?\What are you going to do now that you've got her hopes up?\I don't understand what you want to do at all, Koshiro.\I see that Nanoka-chan is also serious.\I'm sorry I said that you were the only one doing wrong. response:	But if that's the case, then it's more important for you to be firm!
context: but she chased me out instead.\What were you thinking of doing after this?\Why didn't you push her away?\What are you going to do now that you've got her hopes up?\I don't understand what you want to do at all, Koshiro.\I see that Nanoka-chan is also serious.\I'm sorry I said that you were the only one doing wrong.\But if that's the case, then it's more important for you to be firm! response:	I know...
context: What were you thinking of doing after this?\Why didn't you push her away?\What are you going to do now that you've got her hopes up?\I don't understand what you want to do at all, Koshiro.\I see that Nanoka-chan is also serious.\I'm sorry I said that you were the only one doing wrong.\But if that's the case, then it's more important for you to be firm!\I know... response:	You obviously don't!
context: Why didn't you push her away?\What are you going to do now that you've got her hopes up?\I don't understand what you want to do at all, Koshiro.\I see that Nanoka-chan is also serious.\I'm sorry I said that you were the only one doing wrong.\But if that's the case, then it's more important for you to be firm!\I know...\You obviously don't! response:	It's fine already.
context: What are you going to do now that you've got her hopes up?\I don't understand what you want to do at all, Koshiro.\I see that Nanoka-chan is also serious.\I'm sorry I said that you were the only one doing wrong.\But if that's the case, then it's more important for you to be firm!\I know...\You obviously don't!\It's fine already. response:	Wait! What's fine?
context: I don't understand what you want to do at all, Koshiro.\I see that Nanoka-chan is also serious.\I'm sorry I said that you were the only one doing wrong.\But if that's the case, then it's more important for you to be firm!\I know...\You obviously don't!\It's fine already.\Wait! What's fine? response:	It's fine.
context: I see that Nanoka-chan is also serious.\I'm sorry I said that you were the only one doing wrong.\But if that's the case, then it's more important for you to be firm!\I know...\You obviously don't!\It's fine already.\Wait! What's fine?\It's fine. response:	Have you thought about the future?
context: I'm sorry I said that you were the only one doing wrong.\But if that's the case, then it's more important for you to be firm!\I know...\You obviously don't!\It's fine already.\Wait! What's fine?\It's fine.\Have you thought about the future? response:	It doesn't matter to you!
context: But if that's the case, then it's more important for you to be firm!\I know...\You obviously don't!\It's fine already.\Wait! What's fine?\It's fine.\Have you thought about the future?\It doesn't matter to you! response:	Whether it matters is not the point!
context: I know...\You obviously don't!\It's fine already.\Wait! What's fine?\It's fine.\Have you thought about the future?\It doesn't matter to you!\Whether it matters is not the point! response:	How can I leave someone alone who is about to become knee-deep in misery?!
context: You obviously don't!\It's fine already.\Wait! What's fine?\It's fine.\Have you thought about the future?\It doesn't matter to you!\Whether it matters is not the point!\How can I leave someone alone who is about to become knee-deep in misery?! response:	Don't judge who is miserable and who is not.
context: It's fine already.\Wait! What's fine?\It's fine.\Have you thought about the future?\It doesn't matter to you!\Whether it matters is not the point!\How can I leave someone alone who is about to become knee-deep in misery?!\Don't judge who is miserable and who is not. response:	I won't ever involve myself in your affairs again.
context: Wait! What's fine?\It's fine.\Have you thought about the future?\It doesn't matter to you!\Whether it matters is not the point!\How can I leave someone alone who is about to become knee-deep in misery?!\Don't judge who is miserable and who is not.\I won't ever involve myself in your affairs again. response:	I'm sorry I was so nosy from the beginning.
context: It's fine.\Have you thought about the future?\It doesn't matter to you!\Whether it matters is not the point!\How can I leave someone alone who is about to become knee-deep in misery?!\Don't judge who is miserable and who is not.\I won't ever involve myself in your affairs again.\I'm sorry I was so nosy from the beginning. response:	This is how it is.
context: Have you thought about the future?\It doesn't matter to you!\Whether it matters is not the point!\How can I leave someone alone who is about to become knee-deep in misery?!\Don't judge who is miserable and who is not.\I won't ever involve myself in your affairs again.\I'm sorry I was so nosy from the beginning.\This is how it is. response:	Even though she seriously faced me like that,
context: It doesn't matter to you!\Whether it matters is not the point!\How can I leave someone alone who is about to become knee-deep in misery?!\Don't judge who is miserable and who is not.\I won't ever involve myself in your affairs again.\I'm sorry I was so nosy from the beginning.\This is how it is.\Even though she seriously faced me like that, response:	I've finally lost her.
context: Whether it matters is not the point!\How can I leave someone alone who is about to become knee-deep in misery?!\Don't judge who is miserable and who is not.\I won't ever involve myself in your affairs again.\I'm sorry I was so nosy from the beginning.\This is how it is.\Even though she seriously faced me like that,\I've finally lost her. response:	I can still go back.
context: How can I leave someone alone who is about to become knee-deep in misery?!\Don't judge who is miserable and who is not.\I won't ever involve myself in your affairs again.\I'm sorry I was so nosy from the beginning.\This is how it is.\Even though she seriously faced me like that,\I've finally lost her.\I can still go back. response:	I'm home.
context: Don't judge who is miserable and who is not.\I won't ever involve myself in your affairs again.\I'm sorry I was so nosy from the beginning.\This is how it is.\Even though she seriously faced me like that,\I've finally lost her.\I can still go back.\I'm home. response:	If she really is precious to me,
context: I won't ever involve myself in your affairs again.\I'm sorry I was so nosy from the beginning.\This is how it is.\Even though she seriously faced me like that,\I've finally lost her.\I can still go back.\I'm home.\If she really is precious to me, response:	You're still soaking wet!
context: I'm sorry I was so nosy from the beginning.\This is how it is.\Even though she seriously faced me like that,\I've finally lost her.\I can still go back.\I'm home.\If she really is precious to me,\You're still soaking wet! response:	there is only one thing I can do...
context: This is how it is.\Even though she seriously faced me like that,\I've finally lost her.\I can still go back.\I'm home.\If she really is precious to me,\You're still soaking wet!\there is only one thing I can do... response:	Just say it to her...
context: Even though she seriously faced me like that,\I've finally lost her.\I can still go back.\I'm home.\If she really is precious to me,\You're still soaking wet!\there is only one thing I can do...\Just say it to her... response:	That even if she does things like this for me it's only a nuisance.
context: I've finally lost her.\I can still go back.\I'm home.\If she really is precious to me,\You're still soaking wet!\there is only one thing I can do...\Just say it to her...\That even if she does things like this for me it's only a nuisance. response:	Hurry up and understand.
context: I can still go back.\I'm home.\If she really is precious to me,\You're still soaking wet!\there is only one thing I can do...\Just say it to her...\That even if she does things like this for me it's only a nuisance.\Hurry up and understand. response:	It's no use telling her you don't need anything else.
context: I'm home.\If she really is precious to me,\You're still soaking wet!\there is only one thing I can do...\Just say it to her...\That even if she does things like this for me it's only a nuisance.\Hurry up and understand.\It's no use telling her you don't need anything else. response:	Should we live together somewhere far away?
context: If she really is precious to me,\You're still soaking wet!\there is only one thing I can do...\Just say it to her...\That even if she does things like this for me it's only a nuisance.\Hurry up and understand.\It's no use telling her you don't need anything else.\Should we live together somewhere far away? response:	Eh?
context: You're still soaking wet!\there is only one thing I can do...\Just say it to her...\That even if she does things like this for me it's only a nuisance.\Hurry up and understand.\It's no use telling her you don't need anything else.\Should we live together somewhere far away?\Eh? response:	Someplace where nobody knows us, so we can live as more than siblings?
context: there is only one thing I can do...\Just say it to her...\That even if she does things like this for me it's only a nuisance.\Hurry up and understand.\It's no use telling her you don't need anything else.\Should we live together somewhere far away?\Eh?\Someplace where nobody knows us, so we can live as more than siblings? response:	Discarding everything else.
context: Just say it to her...\That even if she does things like this for me it's only a nuisance.\Hurry up and understand.\It's no use telling her you don't need anything else.\Should we live together somewhere far away?\Eh?\Someplace where nobody knows us, so we can live as more than siblings?\Discarding everything else. response:	That's impossible for you, isn't it?
context: That even if she does things like this for me it's only a nuisance.\Hurry up and understand.\It's no use telling her you don't need anything else.\Should we live together somewhere far away?\Eh?\Someplace where nobody knows us, so we can live as more than siblings?\Discarding everything else.\That's impossible for you, isn't it? response:	I love you more! More than Chidori-san.
context: Hurry up and understand.\It's no use telling her you don't need anything else.\Should we live together somewhere far away?\Eh?\Someplace where nobody knows us, so we can live as more than siblings?\Discarding everything else.\That's impossible for you, isn't it?\I love you more! More than Chidori-san. response:	I love you way more, brother!
context: It's no use telling her you don't need anything else.\Should we live together somewhere far away?\Eh?\Someplace where nobody knows us, so we can live as more than siblings?\Discarding everything else.\That's impossible for you, isn't it?\I love you more! More than Chidori-san.\I love you way more, brother! response:	Sorry...But... if you're going out with Chidori-san and you hate me,
context: Should we live together somewhere far away?\Eh?\Someplace where nobody knows us, so we can live as more than siblings?\Discarding everything else.\That's impossible for you, isn't it?\I love you more! More than Chidori-san.\I love you way more, brother!\Sorry...But... if you're going out with Chidori-san and you hate me, response:	I want you to tell me clearly.
context: Eh?\Someplace where nobody knows us, so we can live as more than siblings?\Discarding everything else.\That's impossible for you, isn't it?\I love you more! More than Chidori-san.\I love you way more, brother!\Sorry...But... if you're going out with Chidori-san and you hate me,\I want you to tell me clearly. response:	Chidori and I are...
context: Someplace where nobody knows us, so we can live as more than siblings?\Discarding everything else.\That's impossible for you, isn't it?\I love you more! More than Chidori-san.\I love you way more, brother!\Sorry...But... if you're going out with Chidori-san and you hate me,\I want you to tell me clearly.\Chidori and I are... response:	Tell her that's exactly right.
context: Discarding everything else.\That's impossible for you, isn't it?\I love you more! More than Chidori-san.\I love you way more, brother!\Sorry...But... if you're going out with Chidori-san and you hate me,\I want you to tell me clearly.\Chidori and I are...\Tell her that's exactly right. response:	if I do that, everything will end.
context: That's impossible for you, isn't it?\I love you more! More than Chidori-san.\I love you way more, brother!\Sorry...But... if you're going out with Chidori-san and you hate me,\I want you to tell me clearly.\Chidori and I are...\Tell her that's exactly right.\if I do that, everything will end. response:	That's exactly right.
context: I love you more! More than Chidori-san.\I love you way more, brother!\Sorry...But... if you're going out with Chidori-san and you hate me,\I want you to tell me clearly.\Chidori and I are...\Tell her that's exactly right.\if I do that, everything will end.\That's exactly right. response:	Chidori and I are...
context: I love you way more, brother!\Sorry...But... if you're going out with Chidori-san and you hate me,\I want you to tell me clearly.\Chidori and I are...\Tell her that's exactly right.\if I do that, everything will end.\That's exactly right.\Chidori and I are... response:	not going out.
context: Sorry...But... if you're going out with Chidori-san and you hate me,\I want you to tell me clearly.\Chidori and I are...\Tell her that's exactly right.\if I do that, everything will end.\That's exactly right.\Chidori and I are...\not going out. response:	She was just worried
context: I want you to tell me clearly.\Chidori and I are...\Tell her that's exactly right.\if I do that, everything will end.\That's exactly right.\Chidori and I are...\not going out.\She was just worried response:	about us siblings.
context: Chidori and I are...\Tell her that's exactly right.\if I do that, everything will end.\That's exactly right.\Chidori and I are...\not going out.\She was just worried\about us siblings. response:	W-why can't siblings fall in love with each other?
context: Tell her that's exactly right.\if I do that, everything will end.\That's exactly right.\Chidori and I are...\not going out.\She was just worried\about us siblings.\W-why can't siblings fall in love with each other? response:	I don't want to give up!
context: if I do that, everything will end.\That's exactly right.\Chidori and I are...\not going out.\She was just worried\about us siblings.\W-why can't siblings fall in love with each other?\I don't want to give up! response:	Stop it.
context: That's exactly right.\Chidori and I are...\not going out.\She was just worried\about us siblings.\W-why can't siblings fall in love with each other?\I don't want to give up!\Stop it. response:	Don't say it.
context: Chidori and I are...\not going out.\She was just worried\about us siblings.\W-why can't siblings fall in love with each other?\I don't want to give up!\Stop it.\Don't say it. response:	That's just glossing over the problem.
context: not going out.\She was just worried\about us siblings.\W-why can't siblings fall in love with each other?\I don't want to give up!\Stop it.\Don't say it.\That's just glossing over the problem. response:	don't need anything else.
context: She was just worried\about us siblings.\W-why can't siblings fall in love with each other?\I don't want to give up!\Stop it.\Don't say it.\That's just glossing over the problem.\don't need anything else. response:	As long as I have you, I don't need anything else.
context: about us siblings.\W-why can't siblings fall in love with each other?\I don't want to give up!\Stop it.\Don't say it.\That's just glossing over the problem.\don't need anything else.\As long as I have you, I don't need anything else. response:	You understand, right?
context: W-why can't siblings fall in love with each other?\I don't want to give up!\Stop it.\Don't say it.\That's just glossing over the problem.\don't need anything else.\As long as I have you, I don't need anything else.\You understand, right? response:	It won't be the same anymore.
context: I don't want to give up!\Stop it.\Don't say it.\That's just glossing over the problem.\don't need anything else.\As long as I have you, I don't need anything else.\You understand, right?\It won't be the same anymore. response:	Yeah.
context: Stop it.\Don't say it.\That's just glossing over the problem.\don't need anything else.\As long as I have you, I don't need anything else.\You understand, right?\It won't be the same anymore.\Yeah. response:	Are you really okay with that?
context: Don't say it.\That's just glossing over the problem.\don't need anything else.\As long as I have you, I don't need anything else.\You understand, right?\It won't be the same anymore.\Yeah.\Are you really okay with that? response:	Yeah.
context: That's just glossing over the problem.\don't need anything else.\As long as I have you, I don't need anything else.\You understand, right?\It won't be the same anymore.\Yeah.\Are you really okay with that?\Yeah. response:	If you're fine with it, then I'm fine with it too.
context: don't need anything else.\As long as I have you, I don't need anything else.\You understand, right?\It won't be the same anymore.\Yeah.\Are you really okay with that?\Yeah.\If you're fine with it, then I'm fine with it too. response:	I'm sorry... I'm sorry I fell in love with you.
context: As long as I have you, I don't need anything else.\You understand, right?\It won't be the same anymore.\Yeah.\Are you really okay with that?\Yeah.\If you're fine with it, then I'm fine with it too.\I'm sorry... I'm sorry I fell in love with you. response:	That goes for the both of us.
context: You understand, right?\It won't be the same anymore.\Yeah.\Are you really okay with that?\Yeah.\If you're fine with it, then I'm fine with it too.\I'm sorry... I'm sorry I fell in love with you.\That goes for the both of us. response:	Though there are other people we should apologize to.
context: It won't be the same anymore.\Yeah.\Are you really okay with that?\Yeah.\If you're fine with it, then I'm fine with it too.\I'm sorry... I'm sorry I fell in love with you.\That goes for the both of us.\Though there are other people we should apologize to. response:	We can't apologize, can we?
context: Yeah.\Are you really okay with that?\Yeah.\If you're fine with it, then I'm fine with it too.\I'm sorry... I'm sorry I fell in love with you.\That goes for the both of us.\Though there are other people we should apologize to.\We can't apologize, can we? response:	Yeah.
context: Are you really okay with that?\Yeah.\If you're fine with it, then I'm fine with it too.\I'm sorry... I'm sorry I fell in love with you.\That goes for the both of us.\Though there are other people we should apologize to.\We can't apologize, can we?\Yeah. response:	Hello? Is this Nanoka?
context: Yeah.\If you're fine with it, then I'm fine with it too.\I'm sorry... I'm sorry I fell in love with you.\That goes for the both of us.\Though there are other people we should apologize to.\We can't apologize, can we?\Yeah.\Hello? Is this Nanoka? response:	No, it's me.
context: If you're fine with it, then I'm fine with it too.\I'm sorry... I'm sorry I fell in love with you.\That goes for the both of us.\Though there are other people we should apologize to.\We can't apologize, can we?\Yeah.\Hello? Is this Nanoka?\No, it's me. response:	It's already late. I'll let her stay at my place.
context: I'm sorry... I'm sorry I fell in love with you.\That goes for the both of us.\Though there are other people we should apologize to.\We can't apologize, can we?\Yeah.\Hello? Is this Nanoka?\No, it's me.\It's already late. I'll let her stay at my place. response:	Yeah, it's fine.
context: That goes for the both of us.\Though there are other people we should apologize to.\We can't apologize, can we?\Yeah.\Hello? Is this Nanoka?\No, it's me.\It's already late. I'll let her stay at my place.\Yeah, it's fine. response:	She doesn't have school tomorrow.
context: Though there are other people we should apologize to.\We can't apologize, can we?\Yeah.\Hello? Is this Nanoka?\No, it's me.\It's already late. I'll let her stay at my place.\Yeah, it's fine.\She doesn't have school tomorrow. response:	Yeah.
context: We can't apologize, can we?\Yeah.\Hello? Is this Nanoka?\No, it's me.\It's already late. I'll let her stay at my place.\Yeah, it's fine.\She doesn't have school tomorrow.\Yeah. response:	Okay, don't worry about it.
context: Yeah.\Hello? Is this Nanoka?\No, it's me.\It's already late. I'll let her stay at my place.\Yeah, it's fine.\She doesn't have school tomorrow.\Yeah.\Okay, don't worry about it. response:	Bye.
context: Hello? Is this Nanoka?\No, it's me.\It's already late. I'll let her stay at my place.\Yeah, it's fine.\She doesn't have school tomorrow.\Yeah.\Okay, don't worry about it.\Bye. response:	yasashii yume ga a gentle dream
context: No, it's me.\It's already late. I'll let her stay at my place.\Yeah, it's fine.\She doesn't have school tomorrow.\Yeah.\Okay, don't worry about it.\Bye.\yasashii yume ga a gentle dream response:	sotto mune no haru wo yobi calls the spring in my heart
context: It's already late. I'll let her stay at my place.\Yeah, it's fine.\She doesn't have school tomorrow.\Yeah.\Okay, don't worry about it.\Bye.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart response:	yasashii kaze ni nari and becomes a gentle breeze
context: Yeah, it's fine.\She doesn't have school tomorrow.\Yeah.\Okay, don't worry about it.\Bye.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze response:	kimi ni furete satteyuku that touches you then leaves
context: She doesn't have school tomorrow.\Yeah.\Okay, don't worry about it.\Bye.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves response:	chiisana potto ni wa in the small pot
context: Yeah.\Okay, don't worry about it.\Bye.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot response:	daisukina kimochi are feelings of love
context: Okay, don't worry about it.\Bye.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love response:	yurayura to swaying softly
context: Bye.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly response:	ii kaori nosete that carry a sweet scent
context: yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent response:	itsumo matteita always waiting...
context: sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting... response:	kono toki wo atatamete warming up this moment...
context: yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment... response:	futari dakara wakaru koto things we understand because it's the two of us
context: kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us response:	kotoba janakute are not just words
context: chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words response:	hohoemu dake negaudake we just smile, we just hope
context: daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope response:	shizukana sora e to the quiet sky
context: yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky response:	ashita mo mata aeru yo ne we'll see each other again tomorrow...
context: ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky\ashita mo mata aeru yo ne we'll see each other again tomorrow... response:	shizukana sora de at the quiet sky
context: itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky\ashita mo mata aeru yo ne we'll see each other again tomorrow...\shizukana sora de at the quiet sky response:	With Koshiro-san gone, having Chidori-san harass me feels nice.
context: kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky\ashita mo mata aeru yo ne we'll see each other again tomorrow...\shizukana sora de at the quiet sky\With Koshiro-san gone, having Chidori-san harass me feels nice. response:	But I want to stick to teenagers! This is my goal!
context: futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky\ashita mo mata aeru yo ne we'll see each other again tomorrow...\shizukana sora de at the quiet sky\With Koshiro-san gone, having Chidori-san harass me feels nice.\But I want to stick to teenagers! This is my goal! response:	Oh, please at least one scene.
