context: Yeah... response:	I think it was a bright, clear day, just like today.
context: It's only a matter of time until he finds us.\Then let's change our plan.\Instead, Bell-kun, you'll defeat that monster!\I'll update your status right here.\Hit that monster with everything you've got!\It's impossible.\Even if I'm a little stronger,\my attacks aren't enough to kill that monster. response:	And...
context: Then let's change our plan.\Instead, Bell-kun, you'll defeat that monster!\I'll update your status right here.\Hit that monster with everything you've got!\It's impossible.\Even if I'm a little stronger,\my attacks aren't enough to kill that monster.\And... response:	I can't...
context: Instead, Bell-kun, you'll defeat that monster!\I'll update your status right here.\Hit that monster with everything you've got!\It's impossible.\Even if I'm a little stronger,\my attacks aren't enough to kill that monster.\And...\I can't... response:	Bell-kun...
context: I'll update your status right here.\Hit that monster with everything you've got!\It's impossible.\Even if I'm a little stronger,\my attacks aren't enough to kill that monster.\And...\I can't...\Bell-kun... response:	When did you start being so pessimistic?
context: Hit that monster with everything you've got!\It's impossible.\Even if I'm a little stronger,\my attacks aren't enough to kill that monster.\And...\I can't...\Bell-kun...\When did you start being so pessimistic? response:	I believe in you.
context: It's impossible.\Even if I'm a little stronger,\my attacks aren't enough to kill that monster.\And...\I can't...\Bell-kun...\When did you start being so pessimistic?\I believe in you. response:	'Cause I mean, you know?
context: Even if I'm a little stronger,\my attacks aren't enough to kill that monster.\And...\I can't...\Bell-kun...\When did you start being so pessimistic?\I believe in you.\'Cause I mean, you know? response:	The Bell Cranel I know, who's in love with that
context: my attacks aren't enough to kill that monster.\And...\I can't...\Bell-kun...\When did you start being so pessimistic?\I believe in you.\'Cause I mean, you know?\The Bell Cranel I know, who's in love with that response:	monstrous Wallenwhatsit woman,
context: And...\I can't...\Bell-kun...\When did you start being so pessimistic?\I believe in you.\'Cause I mean, you know?\The Bell Cranel I know, who's in love with that\monstrous Wallenwhatsit woman, response:	could defeat that monster easily.
context: I can't...\Bell-kun...\When did you start being so pessimistic?\I believe in you.\'Cause I mean, you know?\The Bell Cranel I know, who's in love with that\monstrous Wallenwhatsit woman,\could defeat that monster easily. response:	Goddess?
context: Bell-kun...\When did you start being so pessimistic?\I believe in you.\'Cause I mean, you know?\The Bell Cranel I know, who's in love with that\monstrous Wallenwhatsit woman,\could defeat that monster easily.\Goddess? response:	I can finally give you this.
context: When did you start being so pessimistic?\I believe in you.\'Cause I mean, you know?\The Bell Cranel I know, who's in love with that\monstrous Wallenwhatsit woman,\could defeat that monster easily.\Goddess?\I can finally give you this. response:	What's this?
context: I believe in you.\'Cause I mean, you know?\The Bell Cranel I know, who's in love with that\monstrous Wallenwhatsit woman,\could defeat that monster easily.\Goddess?\I can finally give you this.\What's this? response:	Your, no...
context: 'Cause I mean, you know?\The Bell Cranel I know, who's in love with that\monstrous Wallenwhatsit woman,\could defeat that monster easily.\Goddess?\I can finally give you this.\What's this?\Your, no... response:	Our weapon!
context: The Bell Cranel I know, who's in love with that\monstrous Wallenwhatsit woman,\could defeat that monster easily.\Goddess?\I can finally give you this.\What's this?\Your, no...\Our weapon! response:	I call it...
context: monstrous Wallenwhatsit woman,\could defeat that monster easily.\Goddess?\I can finally give you this.\What's this?\Your, no...\Our weapon!\I call it... response:	The Hestia Knife!
context: could defeat that monster easily.\Goddess?\I can finally give you this.\What's this?\Your, no...\Our weapon!\I call it...\The Hestia Knife! response:	I will bring you victory.
context: Goddess?\I can finally give you this.\What's this?\Your, no...\Our weapon!\I call it...\The Hestia Knife!\I will bring you victory. response:	I promise!
context: I can finally give you this.\What's this?\Your, no...\Our weapon!\I call it...\The Hestia Knife!\I will bring you victory.\I promise! response:	Please, will you believe me?
context: What's this?\Your, no...\Our weapon!\I call it...\The Hestia Knife!\I will bring you victory.\I promise!\Please, will you believe me? response:	Yes!
context: Your, no...\Our weapon!\I call it...\The Hestia Knife!\I will bring you victory.\I promise!\Please, will you believe me?\Yes! response:	This is probably the last of them, don't you think?
context: Our weapon!\I call it...\The Hestia Knife!\I will bring you victory.\I promise!\Please, will you believe me?\Yes!\This is probably the last of them, don't you think? response:	And now Ganesha owes me, too.
context: I call it...\The Hestia Knife!\I will bring you victory.\I promise!\Please, will you believe me?\Yes!\This is probably the last of them, don't you think?\And now Ganesha owes me, too. response:	The silverback is still out there.
context: The Hestia Knife!\I will bring you victory.\I promise!\Please, will you believe me?\Yes!\This is probably the last of them, don't you think?\And now Ganesha owes me, too.\The silverback is still out there. response:	A witness saw it chasing a young adventurer down Daedalus Street.
context: I will bring you victory.\I promise!\Please, will you believe me?\Yes!\This is probably the last of them, don't you think?\And now Ganesha owes me, too.\The silverback is still out there.\A witness saw it chasing a young adventurer down Daedalus Street. response:	Daedalus Street? Of all the places...
context: I promise!\Please, will you believe me?\Yes!\This is probably the last of them, don't you think?\And now Ganesha owes me, too.\The silverback is still out there.\A witness saw it chasing a young adventurer down Daedalus Street.\Daedalus Street? Of all the places... response:	Yes.
context: Please, will you believe me?\Yes!\This is probably the last of them, don't you think?\And now Ganesha owes me, too.\The silverback is still out there.\A witness saw it chasing a young adventurer down Daedalus Street.\Daedalus Street? Of all the places...\Yes. response:	The Ganesha Familia's strike force went after it,
context: Yes!\This is probably the last of them, don't you think?\And now Ganesha owes me, too.\The silverback is still out there.\A witness saw it chasing a young adventurer down Daedalus Street.\Daedalus Street? Of all the places...\Yes.\The Ganesha Familia's strike force went after it, response:	but given what that place is like, they can't even find it.
context: This is probably the last of them, don't you think?\And now Ganesha owes me, too.\The silverback is still out there.\A witness saw it chasing a young adventurer down Daedalus Street.\Daedalus Street? Of all the places...\Yes.\The Ganesha Familia's strike force went after it,\but given what that place is like, they can't even find it. response:	Let's take a break!
context: And now Ganesha owes me, too.\The silverback is still out there.\A witness saw it chasing a young adventurer down Daedalus Street.\Daedalus Street? Of all the places...\Yes.\The Ganesha Familia's strike force went after it,\but given what that place is like, they can't even find it.\Let's take a break! response:	Aiz-tan!
context: The silverback is still out there.\A witness saw it chasing a young adventurer down Daedalus Street.\Daedalus Street? Of all the places...\Yes.\The Ganesha Familia's strike force went after it,\but given what that place is like, they can't even find it.\Let's take a break!\Aiz-tan! response:	This knife has that power?
context: A witness saw it chasing a young adventurer down Daedalus Street.\Daedalus Street? Of all the places...\Yes.\The Ganesha Familia's strike force went after it,\but given what that place is like, they can't even find it.\Let's take a break!\Aiz-tan!\This knife has that power? response:	Yup.
context: Daedalus Street? Of all the places...\Yes.\The Ganesha Familia's strike force went after it,\but given what that place is like, they can't even find it.\Let's take a break!\Aiz-tan!\This knife has that power?\Yup. response:	In other words, it's the perfect weapon for a new adventurer.
context: Yes.\The Ganesha Familia's strike force went after it,\but given what that place is like, they can't even find it.\Let's take a break!\Aiz-tan!\This knife has that power?\Yup.\In other words, it's the perfect weapon for a new adventurer. response:	Wow!
context: The Ganesha Familia's strike force went after it,\but given what that place is like, they can't even find it.\Let's take a break!\Aiz-tan!\This knife has that power?\Yup.\In other words, it's the perfect weapon for a new adventurer.\Wow! response:	That's the Divine Smith of Heaven, Hephaestus, for you!
context: but given what that place is like, they can't even find it.\Let's take a break!\Aiz-tan!\This knife has that power?\Yup.\In other words, it's the perfect weapon for a new adventurer.\Wow!\That's the Divine Smith of Heaven, Hephaestus, for you! response:	Your flattery won't take a single valis off your bill.
context: Let's take a break!\Aiz-tan!\This knife has that power?\Yup.\In other words, it's the perfect weapon for a new adventurer.\Wow!\That's the Divine Smith of Heaven, Hephaestus, for you!\Your flattery won't take a single valis off your bill. response:	But from a blacksmith's perspective, a weapon like this is totally wrong.
context: Aiz-tan!\This knife has that power?\Yup.\In other words, it's the perfect weapon for a new adventurer.\Wow!\That's the Divine Smith of Heaven, Hephaestus, for you!\Your flattery won't take a single valis off your bill.\But from a blacksmith's perspective, a weapon like this is totally wrong. response:	Don't make me make another one, okay?
context: This knife has that power?\Yup.\In other words, it's the perfect weapon for a new adventurer.\Wow!\That's the Divine Smith of Heaven, Hephaestus, for you!\Your flattery won't take a single valis off your bill.\But from a blacksmith's perspective, a weapon like this is totally wrong.\Don't make me make another one, okay? response:	Thank you!
context: Yup.\In other words, it's the perfect weapon for a new adventurer.\Wow!\That's the Divine Smith of Heaven, Hephaestus, for you!\Your flattery won't take a single valis off your bill.\But from a blacksmith's perspective, a weapon like this is totally wrong.\Don't make me make another one, okay?\Thank you! response:	Thank you, Hephaestus!
context: In other words, it's the perfect weapon for a new adventurer.\Wow!\That's the Divine Smith of Heaven, Hephaestus, for you!\Your flattery won't take a single valis off your bill.\But from a blacksmith's perspective, a weapon like this is totally wrong.\Don't make me make another one, okay?\Thank you!\Thank you, Hephaestus! response:	The question is how much Bell-kun's status has gone up...
context: Wow!\That's the Divine Smith of Heaven, Hephaestus, for you!\Your flattery won't take a single valis off your bill.\But from a blacksmith's perspective, a weapon like this is totally wrong.\Don't make me make another one, okay?\Thank you!\Thank you, Hephaestus!\The question is how much Bell-kun's status has gone up... response:	Wow!
context: That's the Divine Smith of Heaven, Hephaestus, for you!\Your flattery won't take a single valis off your bill.\But from a blacksmith's perspective, a weapon like this is totally wrong.\Don't make me make another one, okay?\Thank you!\Thank you, Hephaestus!\The question is how much Bell-kun's status has gone up...\Wow! response:	His ability score total is over 600 points?
context: Your flattery won't take a single valis off your bill.\But from a blacksmith's perspective, a weapon like this is totally wrong.\Don't make me make another one, okay?\Thank you!\Thank you, Hephaestus!\The question is how much Bell-kun's status has gone up...\Wow!\His ability score total is over 600 points? response:	This will do it!
context: But from a blacksmith's perspective, a weapon like this is totally wrong.\Don't make me make another one, okay?\Thank you!\Thank you, Hephaestus!\The question is how much Bell-kun's status has gone up...\Wow!\His ability score total is over 600 points?\This will do it! response:	Goddess, it's coming!
context: Don't make me make another one, okay?\Thank you!\Thank you, Hephaestus!\The question is how much Bell-kun's status has gone up...\Wow!\His ability score total is over 600 points?\This will do it!\Goddess, it's coming! response:	It's okay, Bell-kun.
context: Thank you!\Thank you, Hephaestus!\The question is how much Bell-kun's status has gone up...\Wow!\His ability score total is over 600 points?\This will do it!\Goddess, it's coming!\It's okay, Bell-kun. response:	I'll say it again.
context: Thank you, Hephaestus!\The question is how much Bell-kun's status has gone up...\Wow!\His ability score total is over 600 points?\This will do it!\Goddess, it's coming!\It's okay, Bell-kun.\I'll say it again. response:	I'll bring you victory.
context: The question is how much Bell-kun's status has gone up...\Wow!\His ability score total is over 600 points?\This will do it!\Goddess, it's coming!\It's okay, Bell-kun.\I'll say it again.\I'll bring you victory. response:	Yeah.
context: Wow!\His ability score total is over 600 points?\This will do it!\Goddess, it's coming!\It's okay, Bell-kun.\I'll say it again.\I'll bring you victory.\Yeah. response:	You'll believe in me, right?
context: His ability score total is over 600 points?\This will do it!\Goddess, it's coming!\It's okay, Bell-kun.\I'll say it again.\I'll bring you victory.\Yeah.\You'll believe in me, right? response:	Yeah!
context: This will do it!\Goddess, it's coming!\It's okay, Bell-kun.\I'll say it again.\I'll bring you victory.\Yeah.\You'll believe in me, right?\Yeah! response:	Okay, go!
context: Goddess, it's coming!\It's okay, Bell-kun.\I'll say it again.\I'll bring you victory.\Yeah.\You'll believe in me, right?\Yeah!\Okay, go! response:	This is...
context: It's okay, Bell-kun.\I'll say it again.\I'll bring you victory.\Yeah.\You'll believe in me, right?\Yeah!\Okay, go!\This is... response:	That is your power right now, Bell-kun!
context: I'll say it again.\I'll bring you victory.\Yeah.\You'll believe in me, right?\Yeah!\Okay, go!\This is...\That is your power right now, Bell-kun! response:	That knife is alive!
context: I'll bring you victory.\Yeah.\You'll believe in me, right?\Yeah!\Okay, go!\This is...\That is your power right now, Bell-kun!\That knife is alive! response:	The more its wielder...
context: Yeah.\You'll believe in me, right?\Yeah!\Okay, go!\This is...\That is your power right now, Bell-kun!\That knife is alive!\The more its wielder... response:	The more you grow, the stronger it will become!
context: You'll believe in me, right?\Yeah!\Okay, go!\This is...\That is your power right now, Bell-kun!\That knife is alive!\The more its wielder...\The more you grow, the stronger it will become! response:	The more I grow...
context: Yeah!\Okay, go!\This is...\That is your power right now, Bell-kun!\That knife is alive!\The more its wielder...\The more you grow, the stronger it will become!\The more I grow... response:	Believe in...
context: Okay, go!\This is...\That is your power right now, Bell-kun!\That knife is alive!\The more its wielder...\The more you grow, the stronger it will become!\The more I grow...\Believe in... response:	Believe in me!
context: This is...\That is your power right now, Bell-kun!\That knife is alive!\The more its wielder...\The more you grow, the stronger it will become!\The more I grow...\Believe in...\Believe in me! response:	And believe in yourself!
context: That is your power right now, Bell-kun!\That knife is alive!\The more its wielder...\The more you grow, the stronger it will become!\The more I grow...\Believe in...\Believe in me!\And believe in yourself! response:	I'll believe.
context: That knife is alive!\The more its wielder...\The more you grow, the stronger it will become!\The more I grow...\Believe in...\Believe in me!\And believe in yourself!\I'll believe. response:	I'll believe!
context: The more its wielder...\The more you grow, the stronger it will become!\The more I grow...\Believe in...\Believe in me!\And believe in yourself!\I'll believe.\I'll believe! response:	I'll believe!
context: The more you grow, the stronger it will become!\The more I grow...\Believe in...\Believe in me!\And believe in yourself!\I'll believe.\I'll believe!\I'll believe! response:	I'll believe!
context: The more I grow...\Believe in...\Believe in me!\And believe in yourself!\I'll believe.\I'll believe!\I'll believe!\I'll believe! response:	For my goddess!
context: Believe in...\Believe in me!\And believe in yourself!\I'll believe.\I'll believe!\I'll believe!\I'll believe!\For my goddess! response:	I di
context: Believe in me!\And believe in yourself!\I'll believe.\I'll believe!\I'll believe!\I'll believe!\For my goddess!\I di response:	You did it!
context: And believe in yourself!\I'll believe.\I'll believe!\I'll believe!\I'll believe!\For my goddess!\I di\You did it! response:	You did it!
context: I'll believe.\I'll believe!\I'll believe!\I'll believe!\For my goddess!\I di\You did it!\You did it! response:	You did it, Bell-kun!
context: I'll believe!\I'll believe!\I'll believe!\For my goddess!\I di\You did it!\You did it!\You did it, Bell-kun! response:	Yeah!
context: I'll believe!\I'll believe!\For my goddess!\I di\You did it!\You did it!\You did it, Bell-kun!\Yeah! response:	I did it, Goddess!
context: I'll believe!\For my goddess!\I di\You did it!\You did it!\You did it, Bell-kun!\Yeah!\I did it, Goddess! response:	Thank you, Goddess!
context: For my goddess!\I di\You did it!\You did it!\You did it, Bell-kun!\Yeah!\I did it, Goddess!\Thank you, Goddess! response:	That's my line, Bell-kun!
context: I di\You did it!\You did it!\You did it, Bell-kun!\Yeah!\I did it, Goddess!\Thank you, Goddess!\That's my line, Bell-kun! response:	You did it!
context: You did it!\You did it!\You did it, Bell-kun!\Yeah!\I did it, Goddess!\Thank you, Goddess!\That's my line, Bell-kun!\You did it! response:	What? It's over already?
context: You did it!\You did it, Bell-kun!\Yeah!\I did it, Goddess!\Thank you, Goddess!\That's my line, Bell-kun!\You did it!\What? It's over already? response:	I chased after your butt... As fast as I could.
context: You did it, Bell-kun!\Yeah!\I did it, Goddess!\Thank you, Goddess!\That's my line, Bell-kun!\You did it!\What? It's over already?\I chased after your butt... As fast as I could. response:	We're leaving already?
context: Yeah!\I did it, Goddess!\Thank you, Goddess!\That's my line, Bell-kun!\You did it!\What? It's over already?\I chased after your butt... As fast as I could.\We're leaving already? response:	I told you, we should take a break!
context: I did it, Goddess!\Thank you, Goddess!\That's my line, Bell-kun!\You did it!\What? It's over already?\I chased after your butt... As fast as I could.\We're leaving already?\I told you, we should take a break! response:	This got really big, didn't it?
context: Thank you, Goddess!\That's my line, Bell-kun!\You did it!\What? It's over already?\I chased after your butt... As fast as I could.\We're leaving already?\I told you, we should take a break!\This got really big, didn't it? response:	Yeah... you're right.
context: That's my line, Bell-kun!\You did it!\What? It's over already?\I chased after your butt... As fast as I could.\We're leaving already?\I told you, we should take a break!\This got really big, didn't it?\Yeah... you're right. response:	Goddess?
context: You did it!\What? It's over already?\I chased after your butt... As fast as I could.\We're leaving already?\I told you, we should take a break!\This got really big, didn't it?\Yeah... you're right.\Goddess? response:	Bell-kun...
context: What? It's over already?\I chased after your butt... As fast as I could.\We're leaving already?\I told you, we should take a break!\This got really big, didn't it?\Yeah... you're right.\Goddess?\Bell-kun... response:	You really did good.
context: I chased after your butt... As fast as I could.\We're leaving already?\I told you, we should take a break!\This got really big, didn't it?\Yeah... you're right.\Goddess?\Bell-kun...\You really did good. response:	Goddess!
context: We're leaving already?\I told you, we should take a break!\This got really big, didn't it?\Yeah... you're right.\Goddess?\Bell-kun...\You really did good.\Goddess! response:	Maybe that wasn't a very nice thing to do to Hestia.
context: I told you, we should take a break!\This got really big, didn't it?\Yeah... you're right.\Goddess?\Bell-kun...\You really did good.\Goddess!\Maybe that wasn't a very nice thing to do to Hestia. response:	Let's play again sometime...
context: This got really big, didn't it?\Yeah... you're right.\Goddess?\Bell-kun...\You really did good.\Goddess!\Maybe that wasn't a very nice thing to do to Hestia.\Let's play again sometime... response:	Bell.
context: Yeah... you're right.\Goddess?\Bell-kun...\You really did good.\Goddess!\Maybe that wasn't a very nice thing to do to Hestia.\Let's play again sometime...\Bell. response:	A lot happened,
context: Goddess?\Bell-kun...\You really did good.\Goddess!\Maybe that wasn't a very nice thing to do to Hestia.\Let's play again sometime...\Bell.\A lot happened, response:	but you all did great!
context: Bell-kun...\You really did good.\Goddess!\Maybe that wasn't a very nice thing to do to Hestia.\Let's play again sometime...\Bell.\A lot happened,\but you all did great! response:	Ganesha is extremely satisfied!
context: You really did good.\Goddess!\Maybe that wasn't a very nice thing to do to Hestia.\Let's play again sometime...\Bell.\A lot happened,\but you all did great!\Ganesha is extremely satisfied! response:	And by the way, I'm Ganesha!
context: Goddess!\Maybe that wasn't a very nice thing to do to Hestia.\Let's play again sometime...\Bell.\A lot happened,\but you all did great!\Ganesha is extremely satisfied!\And by the way, I'm Ganesha! response:	We know that.
context: Maybe that wasn't a very nice thing to do to Hestia.\Let's play again sometime...\Bell.\A lot happened,\but you all did great!\Ganesha is extremely satisfied!\And by the way, I'm Ganesha!\We know that. response:	No fatalities or serious injuries.
context: Let's play again sometime...\Bell.\A lot happened,\but you all did great!\Ganesha is extremely satisfied!\And by the way, I'm Ganesha!\We know that.\No fatalities or serious injuries. response:	But...
context: Bell.\A lot happened,\but you all did great!\Ganesha is extremely satisfied!\And by the way, I'm Ganesha!\We know that.\No fatalities or serious injuries.\But... response:	We don't know who did this or why.
context: A lot happened,\but you all did great!\Ganesha is extremely satisfied!\And by the way, I'm Ganesha!\We know that.\No fatalities or serious injuries.\But...\We don't know who did this or why. response:	What was that?
context: but you all did great!\Ganesha is extremely satisfied!\And by the way, I'm Ganesha!\We know that.\No fatalities or serious injuries.\But...\We don't know who did this or why.\What was that? response:	How is your goddess doing?
context: Ganesha is extremely satisfied!\And by the way, I'm Ganesha!\We know that.\No fatalities or serious injuries.\But...\We don't know who did this or why.\What was that?\How is your goddess doing? response:	It looks like she's just tired and resting.
context: And by the way, I'm Ganesha!\We know that.\No fatalities or serious injuries.\But...\We don't know who did this or why.\What was that?\How is your goddess doing?\It looks like she's just tired and resting. response:	Sorry to bother you with this.
context: We know that.\No fatalities or serious injuries.\But...\We don't know who did this or why.\What was that?\How is your goddess doing?\It looks like she's just tired and resting.\Sorry to bother you with this. response:	You even lent us a bed...
context: No fatalities or serious injuries.\But...\We don't know who did this or why.\What was that?\How is your goddess doing?\It looks like she's just tired and resting.\Sorry to bother you with this.\You even lent us a bed... response:	We have to help each other with trouble.
context: But...\We don't know who did this or why.\What was that?\How is your goddess doing?\It looks like she's just tired and resting.\Sorry to bother you with this.\You even lent us a bed...\We have to help each other with trouble. response:	Mama Mia said it was okay.
context: We don't know who did this or why.\What was that?\How is your goddess doing?\It looks like she's just tired and resting.\Sorry to bother you with this.\You even lent us a bed...\We have to help each other with trouble.\Mama Mia said it was okay. response:	So take your time.
context: What was that?\How is your goddess doing?\It looks like she's just tired and resting.\Sorry to bother you with this.\You even lent us a bed...\We have to help each other with trouble.\Mama Mia said it was okay.\So take your time. response:	This only happened because I forgot my wallet...
context: How is your goddess doing?\It looks like she's just tired and resting.\Sorry to bother you with this.\You even lent us a bed...\We have to help each other with trouble.\Mama Mia said it was okay.\So take your time.\This only happened because I forgot my wallet... response:	That's how you got caught up in all this.
context: It looks like she's just tired and resting.\Sorry to bother you with this.\You even lent us a bed...\We have to help each other with trouble.\Mama Mia said it was okay.\So take your time.\This only happened because I forgot my wallet...\That's how you got caught up in all this. response:	I'm sorry.
context: Sorry to bother you with this.\You even lent us a bed...\We have to help each other with trouble.\Mama Mia said it was okay.\So take your time.\This only happened because I forgot my wallet...\That's how you got caught up in all this.\I'm sorry. response:	No, it's not your fault, Syr-san.
context: You even lent us a bed...\We have to help each other with trouble.\Mama Mia said it was okay.\So take your time.\This only happened because I forgot my wallet...\That's how you got caught up in all this.\I'm sorry.\No, it's not your fault, Syr-san. response:	Oh, right.
context: We have to help each other with trouble.\Mama Mia said it was okay.\So take your time.\This only happened because I forgot my wallet...\That's how you got caught up in all this.\I'm sorry.\No, it's not your fault, Syr-san.\Oh, right. response:	All the townspeople said
context: Mama Mia said it was okay.\So take your time.\This only happened because I forgot my wallet...\That's how you got caught up in all this.\I'm sorry.\No, it's not your fault, Syr-san.\Oh, right.\All the townspeople said response:	you were very heroic when you fought the monster.
context: So take your time.\This only happened because I forgot my wallet...\That's how you got caught up in all this.\I'm sorry.\No, it's not your fault, Syr-san.\Oh, right.\All the townspeople said\you were very heroic when you fought the monster. response:	Oh, no... All I did was run around.
context: This only happened because I forgot my wallet...\That's how you got caught up in all this.\I'm sorry.\No, it's not your fault, Syr-san.\Oh, right.\All the townspeople said\you were very heroic when you fought the monster.\Oh, no... All I did was run around. response:	That's not true.
context: That's how you got caught up in all this.\I'm sorry.\No, it's not your fault, Syr-san.\Oh, right.\All the townspeople said\you were very heroic when you fought the monster.\Oh, no... All I did was run around.\That's not true. response:	Actually, I saw a little of it, too.
context: I'm sorry.\No, it's not your fault, Syr-san.\Oh, right.\All the townspeople said\you were very heroic when you fought the monster.\Oh, no... All I did was run around.\That's not true.\Actually, I saw a little of it, too. response:	And I fell in love.
context: No, it's not your fault, Syr-san.\Oh, right.\All the townspeople said\you were very heroic when you fought the monster.\Oh, no... All I did was run around.\That's not true.\Actually, I saw a little of it, too.\And I fell in love. response:	I'll go help in the pub.
context: Oh, right.\All the townspeople said\you were very heroic when you fought the monster.\Oh, no... All I did was run around.\That's not true.\Actually, I saw a little of it, too.\And I fell in love.\I'll go help in the pub. response:	See you later, Bell-san.
context: All the townspeople said\you were very heroic when you fought the monster.\Oh, no... All I did was run around.\That's not true.\Actually, I saw a little of it, too.\And I fell in love.\I'll go help in the pub.\See you later, Bell-san. response:	W-Was she making fun of me, maybe?
context: you were very heroic when you fought the monster.\Oh, no... All I did was run around.\That's not true.\Actually, I saw a little of it, too.\And I fell in love.\I'll go help in the pub.\See you later, Bell-san.\W-Was she making fun of me, maybe? response:	Bell-kun!
context: Oh, no... All I did was run around.\That's not true.\Actually, I saw a little of it, too.\And I fell in love.\I'll go help in the pub.\See you later, Bell-san.\W-Was she making fun of me, maybe?\Bell-kun! response:	Bell-kun...
context: That's not true.\Actually, I saw a little of it, too.\And I fell in love.\I'll go help in the pub.\See you later, Bell-san.\W-Was she making fun of me, maybe?\Bell-kun!\Bell-kun... response:	Goddess!
context: Actually, I saw a little of it, too.\And I fell in love.\I'll go help in the pub.\See you later, Bell-san.\W-Was she making fun of me, maybe?\Bell-kun!\Bell-kun...\Goddess! response:	You scared me when you just collapsed like that!
context: And I fell in love.\I'll go help in the pub.\See you later, Bell-san.\W-Was she making fun of me, maybe?\Bell-kun!\Bell-kun...\Goddess!\You scared me when you just collapsed like that! response:	I guess the exhaustion caught up with me.
context: I'll go help in the pub.\See you later, Bell-san.\W-Was she making fun of me, maybe?\Bell-kun!\Bell-kun...\Goddess!\You scared me when you just collapsed like that!\I guess the exhaustion caught up with me. response:	Sorry to worry you.
context: See you later, Bell-san.\W-Was she making fun of me, maybe?\Bell-kun!\Bell-kun...\Goddess!\You scared me when you just collapsed like that!\I guess the exhaustion caught up with me.\Sorry to worry you. response:	I heard from Syr-san and the other waitresses
context: W-Was she making fun of me, maybe?\Bell-kun!\Bell-kun...\Goddess!\You scared me when you just collapsed like that!\I guess the exhaustion caught up with me.\Sorry to worry you.\I heard from Syr-san and the other waitresses response:	that all the monsters besides that silverback were also defeated.
context: Bell-kun!\Bell-kun...\Goddess!\You scared me when you just collapsed like that!\I guess the exhaustion caught up with me.\Sorry to worry you.\I heard from Syr-san and the other waitresses\that all the monsters besides that silverback were also defeated. response:	Aiz Wallenstein-san was a big part of it, they say.
context: Bell-kun...\Goddess!\You scared me when you just collapsed like that!\I guess the exhaustion caught up with me.\Sorry to worry you.\I heard from Syr-san and the other waitresses\that all the monsters besides that silverback were also defeated.\Aiz Wallenstein-san was a big part of it, they say. response:	Oh. I see.
context: Goddess!\You scared me when you just collapsed like that!\I guess the exhaustion caught up with me.\Sorry to worry you.\I heard from Syr-san and the other waitresses\that all the monsters besides that silverback were also defeated.\Aiz Wallenstein-san was a big part of it, they say.\Oh. I see. response:	By the way, Goddess...
context: You scared me when you just collapsed like that!\I guess the exhaustion caught up with me.\Sorry to worry you.\I heard from Syr-san and the other waitresses\that all the monsters besides that silverback were also defeated.\Aiz Wallenstein-san was a big part of it, they say.\Oh. I see.\By the way, Goddess... response:	Where did you get this knife?
context: I guess the exhaustion caught up with me.\Sorry to worry you.\I heard from Syr-san and the other waitresses\that all the monsters besides that silverback were also defeated.\Aiz Wallenstein-san was a big part of it, they say.\Oh. I see.\By the way, Goddess...\Where did you get this knife? response:	On the scabbard it says Hephaestus...
context: Sorry to worry you.\I heard from Syr-san and the other waitresses\that all the monsters besides that silverback were also defeated.\Aiz Wallenstein-san was a big part of it, they say.\Oh. I see.\By the way, Goddess...\Where did you get this knife?\On the scabbard it says Hephaestus... response:	Is that
context: I heard from Syr-san and the other waitresses\that all the monsters besides that silverback were also defeated.\Aiz Wallenstein-san was a big part of it, they say.\Oh. I see.\By the way, Goddess...\Where did you get this knife?\On the scabbard it says Hephaestus...\Is that response:	It was that Hephaestus, yeah!
context: that all the monsters besides that silverback were also defeated.\Aiz Wallenstein-san was a big part of it, they say.\Oh. I see.\By the way, Goddess...\Where did you get this knife?\On the scabbard it says Hephaestus...\Is that\It was that Hephaestus, yeah! response:	The one and only.
context: Aiz Wallenstein-san was a big part of it, they say.\Oh. I see.\By the way, Goddess...\Where did you get this knife?\On the scabbard it says Hephaestus...\Is that\It was that Hephaestus, yeah!\The one and only. response:	I knew how you always used to have your face pressed up
context: Oh. I see.\By the way, Goddess...\Where did you get this knife?\On the scabbard it says Hephaestus...\Is that\It was that Hephaestus, yeah!\The one and only.\I knew how you always used to have your face pressed up response:	against the glass of her shop.
context: By the way, Goddess...\Where did you get this knife?\On the scabbard it says Hephaestus...\Is that\It was that Hephaestus, yeah!\The one and only.\I knew how you always used to have your face pressed up\against the glass of her shop. response:	It may not have been what you wanted, but...
context: Where did you get this knife?\On the scabbard it says Hephaestus...\Is that\It was that Hephaestus, yeah!\The one and only.\I knew how you always used to have your face pressed up\against the glass of her shop.\It may not have been what you wanted, but... response:	This is the only one of its kind in the world.
context: On the scabbard it says Hephaestus...\Is that\It was that Hephaestus, yeah!\The one and only.\I knew how you always used to have your face pressed up\against the glass of her shop.\It may not have been what you wanted, but...\This is the only one of its kind in the world. response:	Amazing, huh?
context: Is that\It was that Hephaestus, yeah!\The one and only.\I knew how you always used to have your face pressed up\against the glass of her shop.\It may not have been what you wanted, but...\This is the only one of its kind in the world.\Amazing, huh? response:	I didn't want to just watch.
context: It was that Hephaestus, yeah!\The one and only.\I knew how you always used to have your face pressed up\against the glass of her shop.\It may not have been what you wanted, but...\This is the only one of its kind in the world.\Amazing, huh?\I didn't want to just watch. response:	Or you to just take care of me.
