context: I don't want you to hate me. response:	There you go, saying things like that.
context: It's a little crooked.\Looks like you're hard at work, Kanou.\It's finally tomorrow.\Misaki-san.\Would you take a look at this?\We'd like to use this as the costume.\Surprised?\We went through a lot getting them. response:	The teachers said it looks interesting, too.
context: Looks like you're hard at work, Kanou.\It's finally tomorrow.\Misaki-san.\Would you take a look at this?\We'd like to use this as the costume.\Surprised?\We went through a lot getting them.\The teachers said it looks interesting, too. response:	You don't think it's a good idea?
context: It's finally tomorrow.\Misaki-san.\Would you take a look at this?\We'd like to use this as the costume.\Surprised?\We went through a lot getting them.\The teachers said it looks interesting, too.\You don't think it's a good idea? response:	I can't be like this.
context: Misaki-san.\Would you take a look at this?\We'd like to use this as the costume.\Surprised?\We went through a lot getting them.\The teachers said it looks interesting, too.\You don't think it's a good idea?\I can't be like this. response:	This is the right thing!
context: Would you take a look at this?\We'd like to use this as the costume.\Surprised?\We went through a lot getting them.\The teachers said it looks interesting, too.\You don't think it's a good idea?\I can't be like this.\This is the right thing! response:	Don't worry.
context: We'd like to use this as the costume.\Surprised?\We went through a lot getting them.\The teachers said it looks interesting, too.\You don't think it's a good idea?\I can't be like this.\This is the right thing!\Don't worry. response:	Do as you like!
context: Surprised?\We went through a lot getting them.\The teachers said it looks interesting, too.\You don't think it's a good idea?\I can't be like this.\This is the right thing!\Don't worry.\Do as you like! response:	Yay!
context: We went through a lot getting them.\The teachers said it looks interesting, too.\You don't think it's a good idea?\I can't be like this.\This is the right thing!\Don't worry.\Do as you like!\Yay! response:	Next is the campus tour.
context: The teachers said it looks interesting, too.\You don't think it's a good idea?\I can't be like this.\This is the right thing!\Don't worry.\Do as you like!\Yay!\Next is the campus tour. response:	What is this? There are several different courses.
context: You don't think it's a good idea?\I can't be like this.\This is the right thing!\Don't worry.\Do as you like!\Yay!\Next is the campus tour.\What is this? There are several different courses. response:	The students will take you on the tour.
context: I can't be like this.\This is the right thing!\Don't worry.\Do as you like!\Yay!\Next is the campus tour.\What is this? There are several different courses.\The students will take you on the tour. response:	People who want to actively participate in clubs, come over here!
context: This is the right thing!\Don't worry.\Do as you like!\Yay!\Next is the campus tour.\What is this? There are several different courses.\The students will take you on the tour.\People who want to actively participate in clubs, come over here! response:	For the liberal arts club, come here!
context: Don't worry.\Do as you like!\Yay!\Next is the campus tour.\What is this? There are several different courses.\The students will take you on the tour.\People who want to actively participate in clubs, come over here!\For the liberal arts club, come here! response:	If you're into art, come here.
context: Do as you like!\Yay!\Next is the campus tour.\What is this? There are several different courses.\The students will take you on the tour.\People who want to actively participate in clubs, come over here!\For the liberal arts club, come here!\If you're into art, come here. response:	I'm sure different people want to see different sides of Seika High, so please pick the course you're interested in.
context: Yay!\Next is the campus tour.\What is this? There are several different courses.\The students will take you on the tour.\People who want to actively participate in clubs, come over here!\For the liberal arts club, come here!\If you're into art, come here.\I'm sure different people want to see different sides of Seika High, so please pick the course you're interested in. response:	Look, Healing Spot Course.
context: Next is the campus tour.\What is this? There are several different courses.\The students will take you on the tour.\People who want to actively participate in clubs, come over here!\For the liberal arts club, come here!\If you're into art, come here.\I'm sure different people want to see different sides of Seika High, so please pick the course you're interested in.\Look, Healing Spot Course. response:	What's The Seven Mysteries Course?
context: What is this? There are several different courses.\The students will take you on the tour.\People who want to actively participate in clubs, come over here!\For the liberal arts club, come here!\If you're into art, come here.\I'm sure different people want to see different sides of Seika High, so please pick the course you're interested in.\Look, Healing Spot Course.\What's The Seven Mysteries Course? response:	It sounds interesting.
context: The students will take you on the tour.\People who want to actively participate in clubs, come over here!\For the liberal arts club, come here!\If you're into art, come here.\I'm sure different people want to see different sides of Seika High, so please pick the course you're interested in.\Look, Healing Spot Course.\What's The Seven Mysteries Course?\It sounds interesting. response:	Which one should I go on?
context: People who want to actively participate in clubs, come over here!\For the liberal arts club, come here!\If you're into art, come here.\I'm sure different people want to see different sides of Seika High, so please pick the course you're interested in.\Look, Healing Spot Course.\What's The Seven Mysteries Course?\It sounds interesting.\Which one should I go on? response:	If you can't choose a course or would like to get a broad image of the school, come here.
context: For the liberal arts club, come here!\If you're into art, come here.\I'm sure different people want to see different sides of Seika High, so please pick the course you're interested in.\Look, Healing Spot Course.\What's The Seven Mysteries Course?\It sounds interesting.\Which one should I go on?\If you can't choose a course or would like to get a broad image of the school, come here. response:	You can ask questions, too.
context: If you're into art, come here.\I'm sure different people want to see different sides of Seika High, so please pick the course you're interested in.\Look, Healing Spot Course.\What's The Seven Mysteries Course?\It sounds interesting.\Which one should I go on?\If you can't choose a course or would like to get a broad image of the school, come here.\You can ask questions, too. response:	Group 1, heading out.
context: I'm sure different people want to see different sides of Seika High, so please pick the course you're interested in.\Look, Healing Spot Course.\What's The Seven Mysteries Course?\It sounds interesting.\Which one should I go on?\If you can't choose a course or would like to get a broad image of the school, come here.\You can ask questions, too.\Group 1, heading out. response:	Can I get an extra hand here?!
context: Look, Healing Spot Course.\What's The Seven Mysteries Course?\It sounds interesting.\Which one should I go on?\If you can't choose a course or would like to get a broad image of the school, come here.\You can ask questions, too.\Group 1, heading out.\Can I get an extra hand here?! response:	Should we head out, too?
context: What's The Seven Mysteries Course?\It sounds interesting.\Which one should I go on?\If you can't choose a course or would like to get a broad image of the school, come here.\You can ask questions, too.\Group 1, heading out.\Can I get an extra hand here?!\Should we head out, too? response:	Then you set the course plan.
context: It sounds interesting.\Which one should I go on?\If you can't choose a course or would like to get a broad image of the school, come here.\You can ask questions, too.\Group 1, heading out.\Can I get an extra hand here?!\Should we head out, too?\Then you set the course plan. response:	Okay!
context: Which one should I go on?\If you can't choose a course or would like to get a broad image of the school, come here.\You can ask questions, too.\Group 1, heading out.\Can I get an extra hand here?!\Should we head out, too?\Then you set the course plan.\Okay! response:	Obviously, Misa-chan's not here today, either.
context: If you can't choose a course or would like to get a broad image of the school, come here.\You can ask questions, too.\Group 1, heading out.\Can I get an extra hand here?!\Should we head out, too?\Then you set the course plan.\Okay!\Obviously, Misa-chan's not here today, either. response:	I don't think we had to come today, too...
context: You can ask questions, too.\Group 1, heading out.\Can I get an extra hand here?!\Should we head out, too?\Then you set the course plan.\Okay!\Obviously, Misa-chan's not here today, either.\I don't think we had to come today, too... response:	You idiots! How many times do I have to say it?!
context: Group 1, heading out.\Can I get an extra hand here?!\Should we head out, too?\Then you set the course plan.\Okay!\Obviously, Misa-chan's not here today, either.\I don't think we had to come today, too...\You idiots! How many times do I have to say it?! response:	True love is coming to the shop whether Misa-chan is here or not!
context: Can I get an extra hand here?!\Should we head out, too?\Then you set the course plan.\Okay!\Obviously, Misa-chan's not here today, either.\I don't think we had to come today, too...\You idiots! How many times do I have to say it?!\True love is coming to the shop whether Misa-chan is here or not! response:	Look! Even Usui's-
context: Should we head out, too?\Then you set the course plan.\Okay!\Obviously, Misa-chan's not here today, either.\I don't think we had to come today, too...\You idiots! How many times do I have to say it?!\True love is coming to the shop whether Misa-chan is here or not!\Look! Even Usui's- response:	He's not here!
context: Then you set the course plan.\Okay!\Obviously, Misa-chan's not here today, either.\I don't think we had to come today, too...\You idiots! How many times do I have to say it?!\True love is coming to the shop whether Misa-chan is here or not!\Look! Even Usui's-\He's not here! response:	Oh, what's the matter, Masters?
context: Okay!\Obviously, Misa-chan's not here today, either.\I don't think we had to come today, too...\You idiots! How many times do I have to say it?!\True love is coming to the shop whether Misa-chan is here or not!\Look! Even Usui's-\He's not here!\Oh, what's the matter, Masters? response:	We feel as if we're getting treated like extras recently.
context: Obviously, Misa-chan's not here today, either.\I don't think we had to come today, too...\You idiots! How many times do I have to say it?!\True love is coming to the shop whether Misa-chan is here or not!\Look! Even Usui's-\He's not here!\Oh, what's the matter, Masters?\We feel as if we're getting treated like extras recently. response:	Well, not like it bothers us...
context: I don't think we had to come today, too...\You idiots! How many times do I have to say it?!\True love is coming to the shop whether Misa-chan is here or not!\Look! Even Usui's-\He's not here!\Oh, what's the matter, Masters?\We feel as if we're getting treated like extras recently.\Well, not like it bothers us... response:	Misa-chan is not here today,
context: You idiots! How many times do I have to say it?!\True love is coming to the shop whether Misa-chan is here or not!\Look! Even Usui's-\He's not here!\Oh, what's the matter, Masters?\We feel as if we're getting treated like extras recently.\Well, not like it bothers us...\Misa-chan is not here today, response:	But we'll wait on you with Maid Latte's full staff.
context: True love is coming to the shop whether Misa-chan is here or not!\Look! Even Usui's-\He's not here!\Oh, what's the matter, Masters?\We feel as if we're getting treated like extras recently.\Well, not like it bothers us...\Misa-chan is not here today,\But we'll wait on you with Maid Latte's full staff. response:	Please enjoy your stay.
context: Look! Even Usui's-\He's not here!\Oh, what's the matter, Masters?\We feel as if we're getting treated like extras recently.\Well, not like it bothers us...\Misa-chan is not here today,\But we'll wait on you with Maid Latte's full staff.\Please enjoy your stay. response:	I can feel myself healing.
context: He's not here!\Oh, what's the matter, Masters?\We feel as if we're getting treated like extras recently.\Well, not like it bothers us...\Misa-chan is not here today,\But we'll wait on you with Maid Latte's full staff.\Please enjoy your stay.\I can feel myself healing. response:	I'm rising up to the heavens.
context: Oh, what's the matter, Masters?\We feel as if we're getting treated like extras recently.\Well, not like it bothers us...\Misa-chan is not here today,\But we'll wait on you with Maid Latte's full staff.\Please enjoy your stay.\I can feel myself healing.\I'm rising up to the heavens. response:	I can feel it. I can feel myself rising up.
context: We feel as if we're getting treated like extras recently.\Well, not like it bothers us...\Misa-chan is not here today,\But we'll wait on you with Maid Latte's full staff.\Please enjoy your stay.\I can feel myself healing.\I'm rising up to the heavens.\I can feel it. I can feel myself rising up. response:	And as a special service, allow me to introduce the kitchen staff.
context: Well, not like it bothers us...\Misa-chan is not here today,\But we'll wait on you with Maid Latte's full staff.\Please enjoy your stay.\I can feel myself healing.\I'm rising up to the heavens.\I can feel it. I can feel myself rising up.\And as a special service, allow me to introduce the kitchen staff. response:	They're Set-chan and Mocchi.
context: Misa-chan is not here today,\But we'll wait on you with Maid Latte's full staff.\Please enjoy your stay.\I can feel myself healing.\I'm rising up to the heavens.\I can feel it. I can feel myself rising up.\And as a special service, allow me to introduce the kitchen staff.\They're Set-chan and Mocchi. response:	Thank you for always coming.
context: But we'll wait on you with Maid Latte's full staff.\Please enjoy your stay.\I can feel myself healing.\I'm rising up to the heavens.\I can feel it. I can feel myself rising up.\And as a special service, allow me to introduce the kitchen staff.\They're Set-chan and Mocchi.\Thank you for always coming. response:	I'm sorry. It's our first time actually coming out, so we're not sure what to say.
context: Please enjoy your stay.\I can feel myself healing.\I'm rising up to the heavens.\I can feel it. I can feel myself rising up.\And as a special service, allow me to introduce the kitchen staff.\They're Set-chan and Mocchi.\Thank you for always coming.\I'm sorry. It's our first time actually coming out, so we're not sure what to say. response:	It's fine. Please don't worry about it.
context: I can feel myself healing.\I'm rising up to the heavens.\I can feel it. I can feel myself rising up.\And as a special service, allow me to introduce the kitchen staff.\They're Set-chan and Mocchi.\Thank you for always coming.\I'm sorry. It's our first time actually coming out, so we're not sure what to say.\It's fine. Please don't worry about it. response:	Great. I'm glad it wasn't a mysterious creature that was cooking in the back.
context: I'm rising up to the heavens.\I can feel it. I can feel myself rising up.\And as a special service, allow me to introduce the kitchen staff.\They're Set-chan and Mocchi.\Thank you for always coming.\I'm sorry. It's our first time actually coming out, so we're not sure what to say.\It's fine. Please don't worry about it.\Great. I'm glad it wasn't a mysterious creature that was cooking in the back. response:	Come on! Let's order!
context: I can feel it. I can feel myself rising up.\And as a special service, allow me to introduce the kitchen staff.\They're Set-chan and Mocchi.\Thank you for always coming.\I'm sorry. It's our first time actually coming out, so we're not sure what to say.\It's fine. Please don't worry about it.\Great. I'm glad it wasn't a mysterious creature that was cooking in the back.\Come on! Let's order! response:	I'll pay!
context: And as a special service, allow me to introduce the kitchen staff.\They're Set-chan and Mocchi.\Thank you for always coming.\I'm sorry. It's our first time actually coming out, so we're not sure what to say.\It's fine. Please don't worry about it.\Great. I'm glad it wasn't a mysterious creature that was cooking in the back.\Come on! Let's order!\I'll pay! response:	Then I'll fill the customer's feedback with this excitement that I'm feeling.
context: They're Set-chan and Mocchi.\Thank you for always coming.\I'm sorry. It's our first time actually coming out, so we're not sure what to say.\It's fine. Please don't worry about it.\Great. I'm glad it wasn't a mysterious creature that was cooking in the back.\Come on! Let's order!\I'll pay!\Then I'll fill the customer's feedback with this excitement that I'm feeling. response:	Nice going! Do it, Ikkun.
context: Thank you for always coming.\I'm sorry. It's our first time actually coming out, so we're not sure what to say.\It's fine. Please don't worry about it.\Great. I'm glad it wasn't a mysterious creature that was cooking in the back.\Come on! Let's order!\I'll pay!\Then I'll fill the customer's feedback with this excitement that I'm feeling.\Nice going! Do it, Ikkun. response:	Okay, then I'll harness my excitement to write one poem after another!
context: I'm sorry. It's our first time actually coming out, so we're not sure what to say.\It's fine. Please don't worry about it.\Great. I'm glad it wasn't a mysterious creature that was cooking in the back.\Come on! Let's order!\I'll pay!\Then I'll fill the customer's feedback with this excitement that I'm feeling.\Nice going! Do it, Ikkun.\Okay, then I'll harness my excitement to write one poem after another! response:	Then I'll recall the times I've shared with Misa-chan!
context: It's fine. Please don't worry about it.\Great. I'm glad it wasn't a mysterious creature that was cooking in the back.\Come on! Let's order!\I'll pay!\Then I'll fill the customer's feedback with this excitement that I'm feeling.\Nice going! Do it, Ikkun.\Okay, then I'll harness my excitement to write one poem after another!\Then I'll recall the times I've shared with Misa-chan! response:	I wrote Annoying on it, sir.
context: Great. I'm glad it wasn't a mysterious creature that was cooking in the back.\Come on! Let's order!\I'll pay!\Then I'll fill the customer's feedback with this excitement that I'm feeling.\Nice going! Do it, Ikkun.\Okay, then I'll harness my excitement to write one poem after another!\Then I'll recall the times I've shared with Misa-chan!\I wrote Annoying on it, sir. response:	You're bothering the other Masters, so could you keep it down?
context: Come on! Let's order!\I'll pay!\Then I'll fill the customer's feedback with this excitement that I'm feeling.\Nice going! Do it, Ikkun.\Okay, then I'll harness my excitement to write one poem after another!\Then I'll recall the times I've shared with Misa-chan!\I wrote Annoying on it, sir.\You're bothering the other Masters, so could you keep it down? response:	You don't have to ever come back, Masters.
context: I'll pay!\Then I'll fill the customer's feedback with this excitement that I'm feeling.\Nice going! Do it, Ikkun.\Okay, then I'll harness my excitement to write one poem after another!\Then I'll recall the times I've shared with Misa-chan!\I wrote Annoying on it, sir.\You're bothering the other Masters, so could you keep it down?\You don't have to ever come back, Masters. response:	Misa-chan's so nice.
context: Then I'll fill the customer's feedback with this excitement that I'm feeling.\Nice going! Do it, Ikkun.\Okay, then I'll harness my excitement to write one poem after another!\Then I'll recall the times I've shared with Misa-chan!\I wrote Annoying on it, sir.\You're bothering the other Masters, so could you keep it down?\You don't have to ever come back, Masters.\Misa-chan's so nice. response:	Yeah.
context: Nice going! Do it, Ikkun.\Okay, then I'll harness my excitement to write one poem after another!\Then I'll recall the times I've shared with Misa-chan!\I wrote Annoying on it, sir.\You're bothering the other Masters, so could you keep it down?\You don't have to ever come back, Masters.\Misa-chan's so nice.\Yeah. response:	It'll be great if we can hear kind words from her one day.
context: Okay, then I'll harness my excitement to write one poem after another!\Then I'll recall the times I've shared with Misa-chan!\I wrote Annoying on it, sir.\You're bothering the other Masters, so could you keep it down?\You don't have to ever come back, Masters.\Misa-chan's so nice.\Yeah.\It'll be great if we can hear kind words from her one day. response:	The second of Seika High School's seven mysteries is sound coming out of the PA, despite the empty broadcasting room.
context: Then I'll recall the times I've shared with Misa-chan!\I wrote Annoying on it, sir.\You're bothering the other Masters, so could you keep it down?\You don't have to ever come back, Masters.\Misa-chan's so nice.\Yeah.\It'll be great if we can hear kind words from her one day.\The second of Seika High School's seven mysteries is sound coming out of the PA, despite the empty broadcasting room. response:	Looks like everything is progressing well right now.
context: I wrote Annoying on it, sir.\You're bothering the other Masters, so could you keep it down?\You don't have to ever come back, Masters.\Misa-chan's so nice.\Yeah.\It'll be great if we can hear kind words from her one day.\The second of Seika High School's seven mysteries is sound coming out of the PA, despite the empty broadcasting room.\Looks like everything is progressing well right now. response:	But the sports teams are...
context: You're bothering the other Masters, so could you keep it down?\You don't have to ever come back, Masters.\Misa-chan's so nice.\Yeah.\It'll be great if we can hear kind words from her one day.\The second of Seika High School's seven mysteries is sound coming out of the PA, despite the empty broadcasting room.\Looks like everything is progressing well right now.\But the sports teams are... response:	You can be the sand bag!
context: You don't have to ever come back, Masters.\Misa-chan's so nice.\Yeah.\It'll be great if we can hear kind words from her one day.\The second of Seika High School's seven mysteries is sound coming out of the PA, despite the empty broadcasting room.\Looks like everything is progressing well right now.\But the sports teams are...\You can be the sand bag! response:	It's really fun. Let's tackle each other in order to get to know everyone.
context: Misa-chan's so nice.\Yeah.\It'll be great if we can hear kind words from her one day.\The second of Seika High School's seven mysteries is sound coming out of the PA, despite the empty broadcasting room.\Looks like everything is progressing well right now.\But the sports teams are...\You can be the sand bag!\It's really fun. Let's tackle each other in order to get to know everyone. response:	See? The ball is our friend.
context: Yeah.\It'll be great if we can hear kind words from her one day.\The second of Seika High School's seven mysteries is sound coming out of the PA, despite the empty broadcasting room.\Looks like everything is progressing well right now.\But the sports teams are...\You can be the sand bag!\It's really fun. Let's tackle each other in order to get to know everyone.\See? The ball is our friend. response:	They're making fools out of themselves.
context: It'll be great if we can hear kind words from her one day.\The second of Seika High School's seven mysteries is sound coming out of the PA, despite the empty broadcasting room.\Looks like everything is progressing well right now.\But the sports teams are...\You can be the sand bag!\It's really fun. Let's tackle each other in order to get to know everyone.\See? The ball is our friend.\They're making fools out of themselves. response:	Hey, you there.
context: The second of Seika High School's seven mysteries is sound coming out of the PA, despite the empty broadcasting room.\Looks like everything is progressing well right now.\But the sports teams are...\You can be the sand bag!\It's really fun. Let's tackle each other in order to get to know everyone.\See? The ball is our friend.\They're making fools out of themselves.\Hey, you there. response:	Don't be such a stranger.
context: Looks like everything is progressing well right now.\But the sports teams are...\You can be the sand bag!\It's really fun. Let's tackle each other in order to get to know everyone.\See? The ball is our friend.\They're making fools out of themselves.\Hey, you there.\Don't be such a stranger. response:	If you're going to act bored, you should remember that you didn't have to come to school on a weekend.
context: But the sports teams are...\You can be the sand bag!\It's really fun. Let's tackle each other in order to get to know everyone.\See? The ball is our friend.\They're making fools out of themselves.\Hey, you there.\Don't be such a stranger.\If you're going to act bored, you should remember that you didn't have to come to school on a weekend. response:	Come on, I'm helping out as your support.
context: You can be the sand bag!\It's really fun. Let's tackle each other in order to get to know everyone.\See? The ball is our friend.\They're making fools out of themselves.\Hey, you there.\Don't be such a stranger.\If you're going to act bored, you should remember that you didn't have to come to school on a weekend.\Come on, I'm helping out as your support. response:	Isn't it reassuring to have me around?
context: It's really fun. Let's tackle each other in order to get to know everyone.\See? The ball is our friend.\They're making fools out of themselves.\Hey, you there.\Don't be such a stranger.\If you're going to act bored, you should remember that you didn't have to come to school on a weekend.\Come on, I'm helping out as your support.\Isn't it reassuring to have me around? response:	Shut up!
context: See? The ball is our friend.\They're making fools out of themselves.\Hey, you there.\Don't be such a stranger.\If you're going to act bored, you should remember that you didn't have to come to school on a weekend.\Come on, I'm helping out as your support.\Isn't it reassuring to have me around?\Shut up! response:	Everyone gets distracted when you're around.
context: They're making fools out of themselves.\Hey, you there.\Don't be such a stranger.\If you're going to act bored, you should remember that you didn't have to come to school on a weekend.\Come on, I'm helping out as your support.\Isn't it reassuring to have me around?\Shut up!\Everyone gets distracted when you're around. response:	You stand out too much.
context: Hey, you there.\Don't be such a stranger.\If you're going to act bored, you should remember that you didn't have to come to school on a weekend.\Come on, I'm helping out as your support.\Isn't it reassuring to have me around?\Shut up!\Everyone gets distracted when you're around.\You stand out too much. response:	Even if you say that...
context: Don't be such a stranger.\If you're going to act bored, you should remember that you didn't have to come to school on a weekend.\Come on, I'm helping out as your support.\Isn't it reassuring to have me around?\Shut up!\Everyone gets distracted when you're around.\You stand out too much.\Even if you say that... response:	Then what am I supposed to do?
context: If you're going to act bored, you should remember that you didn't have to come to school on a weekend.\Come on, I'm helping out as your support.\Isn't it reassuring to have me around?\Shut up!\Everyone gets distracted when you're around.\You stand out too much.\Even if you say that...\Then what am I supposed to do? response:	I have a task that I would love for you to do.
context: Come on, I'm helping out as your support.\Isn't it reassuring to have me around?\Shut up!\Everyone gets distracted when you're around.\You stand out too much.\Even if you say that...\Then what am I supposed to do?\I have a task that I would love for you to do. response:	They're not trying to be friends with the ball.
context: Isn't it reassuring to have me around?\Shut up!\Everyone gets distracted when you're around.\You stand out too much.\Even if you say that...\Then what am I supposed to do?\I have a task that I would love for you to do.\They're not trying to be friends with the ball. response:	Hey! You failure of a soccer team!
context: Shut up!\Everyone gets distracted when you're around.\You stand out too much.\Even if you say that...\Then what am I supposed to do?\I have a task that I would love for you to do.\They're not trying to be friends with the ball.\Hey! You failure of a soccer team! response:	Usui said he wants to become friends with the ball!
context: Everyone gets distracted when you're around.\You stand out too much.\Even if you say that...\Then what am I supposed to do?\I have a task that I would love for you to do.\They're not trying to be friends with the ball.\Hey! You failure of a soccer team!\Usui said he wants to become friends with the ball! response:	That's news to me.
context: You stand out too much.\Even if you say that...\Then what am I supposed to do?\I have a task that I would love for you to do.\They're not trying to be friends with the ball.\Hey! You failure of a soccer team!\Usui said he wants to become friends with the ball!\That's news to me. response:	Usui-san does?
context: Even if you say that...\Then what am I supposed to do?\I have a task that I would love for you to do.\They're not trying to be friends with the ball.\Hey! You failure of a soccer team!\Usui said he wants to become friends with the ball!\That's news to me.\Usui-san does? response:	Please, come here!
context: Then what am I supposed to do?\I have a task that I would love for you to do.\They're not trying to be friends with the ball.\Hey! You failure of a soccer team!\Usui said he wants to become friends with the ball!\That's news to me.\Usui-san does?\Please, come here! response:	Here's the ball!
context: I have a task that I would love for you to do.\They're not trying to be friends with the ball.\Hey! You failure of a soccer team!\Usui said he wants to become friends with the ball!\That's news to me.\Usui-san does?\Please, come here!\Here's the ball! response:	Show us how you shoot!
context: They're not trying to be friends with the ball.\Hey! You failure of a soccer team!\Usui said he wants to become friends with the ball!\That's news to me.\Usui-san does?\Please, come here!\Here's the ball!\Show us how you shoot! response:	Let's put a uniform on, too!
context: Hey! You failure of a soccer team!\Usui said he wants to become friends with the ball!\That's news to me.\Usui-san does?\Please, come here!\Here's the ball!\Show us how you shoot!\Let's put a uniform on, too! response:	Junior high students! You'll get a chance to see something amazing!
context: Usui said he wants to become friends with the ball!\That's news to me.\Usui-san does?\Please, come here!\Here's the ball!\Show us how you shoot!\Let's put a uniform on, too!\Junior high students! You'll get a chance to see something amazing! response:	The soccer team!
context: That's news to me.\Usui-san does?\Please, come here!\Here's the ball!\Show us how you shoot!\Let's put a uniform on, too!\Junior high students! You'll get a chance to see something amazing!\The soccer team! response:	What? Usui-san's helping out with gathering a crowd?
context: Usui-san does?\Please, come here!\Here's the ball!\Show us how you shoot!\Let's put a uniform on, too!\Junior high students! You'll get a chance to see something amazing!\The soccer team!\What? Usui-san's helping out with gathering a crowd? response:	Then we have to get him, too!
context: Please, come here!\Here's the ball!\Show us how you shoot!\Let's put a uniform on, too!\Junior high students! You'll get a chance to see something amazing!\The soccer team!\What? Usui-san's helping out with gathering a crowd?\Then we have to get him, too! response:	Therefore, please help out the sports teams for Seika's sake.
context: Here's the ball!\Show us how you shoot!\Let's put a uniform on, too!\Junior high students! You'll get a chance to see something amazing!\The soccer team!\What? Usui-san's helping out with gathering a crowd?\Then we have to get him, too!\Therefore, please help out the sports teams for Seika's sake. response:	No! Hold on! I don't need to!
context: Show us how you shoot!\Let's put a uniform on, too!\Junior high students! You'll get a chance to see something amazing!\The soccer team!\What? Usui-san's helping out with gathering a crowd?\Then we have to get him, too!\Therefore, please help out the sports teams for Seika's sake.\No! Hold on! I don't need to! response:	I can't serve people!
context: Let's put a uniform on, too!\Junior high students! You'll get a chance to see something amazing!\The soccer team!\What? Usui-san's helping out with gathering a crowd?\Then we have to get him, too!\Therefore, please help out the sports teams for Seika's sake.\No! Hold on! I don't need to!\I can't serve people! response:	Don't say that.
context: Junior high students! You'll get a chance to see something amazing!\The soccer team!\What? Usui-san's helping out with gathering a crowd?\Then we have to get him, too!\Therefore, please help out the sports teams for Seika's sake.\No! Hold on! I don't need to!\I can't serve people!\Don't say that. response:	We actually have a uniform prepared for you.
context: The soccer team!\What? Usui-san's helping out with gathering a crowd?\Then we have to get him, too!\Therefore, please help out the sports teams for Seika's sake.\No! Hold on! I don't need to!\I can't serve people!\Don't say that.\We actually have a uniform prepared for you. response:	You can have fun by yourselves!
context: What? Usui-san's helping out with gathering a crowd?\Then we have to get him, too!\Therefore, please help out the sports teams for Seika's sake.\No! Hold on! I don't need to!\I can't serve people!\Don't say that.\We actually have a uniform prepared for you.\You can have fun by yourselves! response:	Don't say things like that.
context: Then we have to get him, too!\Therefore, please help out the sports teams for Seika's sake.\No! Hold on! I don't need to!\I can't serve people!\Don't say that.\We actually have a uniform prepared for you.\You can have fun by yourselves!\Don't say things like that. response:	We worked hard together.
context: Therefore, please help out the sports teams for Seika's sake.\No! Hold on! I don't need to!\I can't serve people!\Don't say that.\We actually have a uniform prepared for you.\You can have fun by yourselves!\Don't say things like that.\We worked hard together. response:	So come on!
context: No! Hold on! I don't need to!\I can't serve people!\Don't say that.\We actually have a uniform prepared for you.\You can have fun by yourselves!\Don't say things like that.\We worked hard together.\So come on! response:	Let's enjoy it to the end.
context: I can't serve people!\Don't say that.\We actually have a uniform prepared for you.\You can have fun by yourselves!\Don't say things like that.\We worked hard together.\So come on!\Let's enjoy it to the end. response:	You worked hard, you know.
context: Don't say that.\We actually have a uniform prepared for you.\You can have fun by yourselves!\Don't say things like that.\We worked hard together.\So come on!\Let's enjoy it to the end.\You worked hard, you know. response:	Although you often ran away in the beginning.
context: We actually have a uniform prepared for you.\You can have fun by yourselves!\Don't say things like that.\We worked hard together.\So come on!\Let's enjoy it to the end.\You worked hard, you know.\Although you often ran away in the beginning. response:	We'll work with the customers, so you can just carry the dishes.
context: You can have fun by yourselves!\Don't say things like that.\We worked hard together.\So come on!\Let's enjoy it to the end.\You worked hard, you know.\Although you often ran away in the beginning.\We'll work with the customers, so you can just carry the dishes. response:	We'll support you when something happens.
context: Don't say things like that.\We worked hard together.\So come on!\Let's enjoy it to the end.\You worked hard, you know.\Although you often ran away in the beginning.\We'll work with the customers, so you can just carry the dishes.\We'll support you when something happens. response:	See? Yukimura-kun's having fun, too.
context: We worked hard together.\So come on!\Let's enjoy it to the end.\You worked hard, you know.\Although you often ran away in the beginning.\We'll work with the customers, so you can just carry the dishes.\We'll support you when something happens.\See? Yukimura-kun's having fun, too. response:	Kanou-kun...
context: So come on!\Let's enjoy it to the end.\You worked hard, you know.\Although you often ran away in the beginning.\We'll work with the customers, so you can just carry the dishes.\We'll support you when something happens.\See? Yukimura-kun's having fun, too.\Kanou-kun... response:	Don't worry. We have one that's perfect for you.
context: Let's enjoy it to the end.\You worked hard, you know.\Although you often ran away in the beginning.\We'll work with the customers, so you can just carry the dishes.\We'll support you when something happens.\See? Yukimura-kun's having fun, too.\Kanou-kun...\Don't worry. We have one that's perfect for you. response:	All, now you guys, too!
context: You worked hard, you know.\Although you often ran away in the beginning.\We'll work with the customers, so you can just carry the dishes.\We'll support you when something happens.\See? Yukimura-kun's having fun, too.\Kanou-kun...\Don't worry. We have one that's perfect for you.\All, now you guys, too! response:	Let's play soccer!
context: Although you often ran away in the beginning.\We'll work with the customers, so you can just carry the dishes.\We'll support you when something happens.\See? Yukimura-kun's having fun, too.\Kanou-kun...\Don't worry. We have one that's perfect for you.\All, now you guys, too!\Let's play soccer! response:	Let's be friends with the ball!
context: We'll work with the customers, so you can just carry the dishes.\We'll support you when something happens.\See? Yukimura-kun's having fun, too.\Kanou-kun...\Don't worry. We have one that's perfect for you.\All, now you guys, too!\Let's play soccer!\Let's be friends with the ball! response:	Usui-san!
