context: He's inside... that. response:	He's inside... that.
context: How can this be?\I'm not sewn anywhere.\Look closely.\The threads are stitched inside your body.\I've sealed your whole nervous system with the threads.\So what about it?\How about slaying me quickly with that scythe in your right hand?\You're short on time, right? response:	Right now, we need to manage an enormous wavelength accurately.
context: I'm not sewn anywhere.\Look closely.\The threads are stitched inside your body.\I've sealed your whole nervous system with the threads.\So what about it?\How about slaying me quickly with that scythe in your right hand?\You're short on time, right?\Right now, we need to manage an enormous wavelength accurately. response:	The concentration to do that takes all we've got.
context: Look closely.\The threads are stitched inside your body.\I've sealed your whole nervous system with the threads.\So what about it?\How about slaying me quickly with that scythe in your right hand?\You're short on time, right?\Right now, we need to manage an enormous wavelength accurately.\The concentration to do that takes all we've got. response:	We can't move a single finger.
context: The threads are stitched inside your body.\I've sealed your whole nervous system with the threads.\So what about it?\How about slaying me quickly with that scythe in your right hand?\You're short on time, right?\Right now, we need to manage an enormous wavelength accurately.\The concentration to do that takes all we've got.\We can't move a single finger. response:	Isn't a desperate measure a bit too harsh?
context: I've sealed your whole nervous system with the threads.\So what about it?\How about slaying me quickly with that scythe in your right hand?\You're short on time, right?\Right now, we need to manage an enormous wavelength accurately.\The concentration to do that takes all we've got.\We can't move a single finger.\Isn't a desperate measure a bit too harsh? response:	Did you make this up and think that it's a method of winning?
context: So what about it?\How about slaying me quickly with that scythe in your right hand?\You're short on time, right?\Right now, we need to manage an enormous wavelength accurately.\The concentration to do that takes all we've got.\We can't move a single finger.\Isn't a desperate measure a bit too harsh?\Did you make this up and think that it's a method of winning? response:	The moment you release the strings, do you intend on having a showdown?
context: How about slaying me quickly with that scythe in your right hand?\You're short on time, right?\Right now, we need to manage an enormous wavelength accurately.\The concentration to do that takes all we've got.\We can't move a single finger.\Isn't a desperate measure a bit too harsh?\Did you make this up and think that it's a method of winning?\The moment you release the strings, do you intend on having a showdown? response:	It's useless... my snake is already on your neck.
context: You're short on time, right?\Right now, we need to manage an enormous wavelength accurately.\The concentration to do that takes all we've got.\We can't move a single finger.\Isn't a desperate measure a bit too harsh?\Did you make this up and think that it's a method of winning?\The moment you release the strings, do you intend on having a showdown?\It's useless... my snake is already on your neck. response:	It's useless... my snake is already on your neck.
context: Right now, we need to manage an enormous wavelength accurately.\The concentration to do that takes all we've got.\We can't move a single finger.\Isn't a desperate measure a bit too harsh?\Did you make this up and think that it's a method of winning?\The moment you release the strings, do you intend on having a showdown?\It's useless... my snake is already on your neck.\It's useless... my snake is already on your neck. response:	My snake will chop your head off before your scythe even moves.
context: The concentration to do that takes all we've got.\We can't move a single finger.\Isn't a desperate measure a bit too harsh?\Did you make this up and think that it's a method of winning?\The moment you release the strings, do you intend on having a showdown?\It's useless... my snake is already on your neck.\It's useless... my snake is already on your neck.\My snake will chop your head off before your scythe even moves. response:	This kind of soul manipulation won't last that long, right?
context: We can't move a single finger.\Isn't a desperate measure a bit too harsh?\Did you make this up and think that it's a method of winning?\The moment you release the strings, do you intend on having a showdown?\It's useless... my snake is already on your neck.\It's useless... my snake is already on your neck.\My snake will chop your head off before your scythe even moves.\This kind of soul manipulation won't last that long, right? response:	The moment I become untied...
context: Isn't a desperate measure a bit too harsh?\Did you make this up and think that it's a method of winning?\The moment you release the strings, do you intend on having a showdown?\It's useless... my snake is already on your neck.\It's useless... my snake is already on your neck.\My snake will chop your head off before your scythe even moves.\This kind of soul manipulation won't last that long, right?\The moment I become untied... response:	You will die.
context: Did you make this up and think that it's a method of winning?\The moment you release the strings, do you intend on having a showdown?\It's useless... my snake is already on your neck.\It's useless... my snake is already on your neck.\My snake will chop your head off before your scythe even moves.\This kind of soul manipulation won't last that long, right?\The moment I become untied...\You will die. response:	I will revive Kishin.
context: The moment you release the strings, do you intend on having a showdown?\It's useless... my snake is already on your neck.\It's useless... my snake is already on your neck.\My snake will chop your head off before your scythe even moves.\This kind of soul manipulation won't last that long, right?\The moment I become untied...\You will die.\I will revive Kishin. response:	There's no opening for you to take advantage of.
context: It's useless... my snake is already on your neck.\It's useless... my snake is already on your neck.\My snake will chop your head off before your scythe even moves.\This kind of soul manipulation won't last that long, right?\The moment I become untied...\You will die.\I will revive Kishin.\There's no opening for you to take advantage of. response:	That's it over there.
context: It's useless... my snake is already on your neck.\My snake will chop your head off before your scythe even moves.\This kind of soul manipulation won't last that long, right?\The moment I become untied...\You will die.\I will revive Kishin.\There's no opening for you to take advantage of.\That's it over there. response:	Over there?
context: My snake will chop your head off before your scythe even moves.\This kind of soul manipulation won't last that long, right?\The moment I become untied...\You will die.\I will revive Kishin.\There's no opening for you to take advantage of.\That's it over there.\Over there? response:	Yeah, inside the sack.
context: This kind of soul manipulation won't last that long, right?\The moment I become untied...\You will die.\I will revive Kishin.\There's no opening for you to take advantage of.\That's it over there.\Over there?\Yeah, inside the sack. response:	He probably used to be a Goshintai,
context: The moment I become untied...\You will die.\I will revive Kishin.\There's no opening for you to take advantage of.\That's it over there.\Over there?\Yeah, inside the sack.\He probably used to be a Goshintai, response:	Kaerog Froeru Gekoeru Frog!
context: You will die.\I will revive Kishin.\There's no opening for you to take advantage of.\That's it over there.\Over there?\Yeah, inside the sack.\He probably used to be a Goshintai,\Kaerog Froeru Gekoeru Frog! response:	Ribbit, ribbit.
context: I will revive Kishin.\There's no opening for you to take advantage of.\That's it over there.\Over there?\Yeah, inside the sack.\He probably used to be a Goshintai,\Kaerog Froeru Gekoeru Frog!\Ribbit, ribbit. response:	It's done.
context: There's no opening for you to take advantage of.\That's it over there.\Over there?\Yeah, inside the sack.\He probably used to be a Goshintai,\Kaerog Froeru Gekoeru Frog!\Ribbit, ribbit.\It's done. response:	Finally...
context: That's it over there.\Over there?\Yeah, inside the sack.\He probably used to be a Goshintai,\Kaerog Froeru Gekoeru Frog!\Ribbit, ribbit.\It's done.\Finally... response:	That syringe is... the Black Blood!
context: Over there?\Yeah, inside the sack.\He probably used to be a Goshintai,\Kaerog Froeru Gekoeru Frog!\Ribbit, ribbit.\It's done.\Finally...\That syringe is... the Black Blood! response:	Eat this!
context: Yeah, inside the sack.\He probably used to be a Goshintai,\Kaerog Froeru Gekoeru Frog!\Ribbit, ribbit.\It's done.\Finally...\That syringe is... the Black Blood!\Eat this! response:	Eruka!
context: He probably used to be a Goshintai,\Kaerog Froeru Gekoeru Frog!\Ribbit, ribbit.\It's done.\Finally...\That syringe is... the Black Blood!\Eat this!\Eruka! response:	What's that?!
context: Kaerog Froeru Gekoeru Frog!\Ribbit, ribbit.\It's done.\Finally...\That syringe is... the Black Blood!\Eat this!\Eruka!\What's that?! response:	Damn it!
context: Ribbit, ribbit.\It's done.\Finally...\That syringe is... the Black Blood!\Eat this!\Eruka!\What's that?!\Damn it! response:	What is this guy?
context: It's done.\Finally...\That syringe is... the Black Blood!\Eat this!\Eruka!\What's that?!\Damn it!\What is this guy? response:	He's seeing an illusion.
context: Finally...\That syringe is... the Black Blood!\Eat this!\Eruka!\What's that?!\Damn it!\What is this guy?\He's seeing an illusion. response:	Now's your chance.
context: That syringe is... the Black Blood!\Eat this!\Eruka!\What's that?!\Damn it!\What is this guy?\He's seeing an illusion.\Now's your chance. response:	Damn... again?
context: Eat this!\Eruka!\What's that?!\Damn it!\What is this guy?\He's seeing an illusion.\Now's your chance.\Damn... again? response:	This is starting to feel weird...
context: Eruka!\What's that?!\Damn it!\What is this guy?\He's seeing an illusion.\Now's your chance.\Damn... again?\This is starting to feel weird... response:	I'm fed up!
context: What's that?!\Damn it!\What is this guy?\He's seeing an illusion.\Now's your chance.\Damn... again?\This is starting to feel weird...\I'm fed up! response:	Calm down...
context: Damn it!\What is this guy?\He's seeing an illusion.\Now's your chance.\Damn... again?\This is starting to feel weird...\I'm fed up!\Calm down... response:	This feeling... I felt it intensely before even arriving here...
context: What is this guy?\He's seeing an illusion.\Now's your chance.\Damn... again?\This is starting to feel weird...\I'm fed up!\Calm down...\This feeling... I felt it intensely before even arriving here... response:	This feeling... I felt it intensely before even arriving here...
context: He's seeing an illusion.\Now's your chance.\Damn... again?\This is starting to feel weird...\I'm fed up!\Calm down...\This feeling... I felt it intensely before even arriving here...\This feeling... I felt it intensely before even arriving here... response:	This is an illusion!
context: Now's your chance.\Damn... again?\This is starting to feel weird...\I'm fed up!\Calm down...\This feeling... I felt it intensely before even arriving here...\This feeling... I felt it intensely before even arriving here...\This is an illusion! response:	This is an illusion!
context: Damn... again?\This is starting to feel weird...\I'm fed up!\Calm down...\This feeling... I felt it intensely before even arriving here...\This feeling... I felt it intensely before even arriving here...\This is an illusion!\This is an illusion! response:	The Black Blood -
context: This is starting to feel weird...\I'm fed up!\Calm down...\This feeling... I felt it intensely before even arriving here...\This feeling... I felt it intensely before even arriving here...\This is an illusion!\This is an illusion!\The Black Blood - response:	Move it!
context: I'm fed up!\Calm down...\This feeling... I felt it intensely before even arriving here...\This feeling... I felt it intensely before even arriving here...\This is an illusion!\This is an illusion!\The Black Blood -\Move it! response:	As expected, the real thing has some effect!
context: Calm down...\This feeling... I felt it intensely before even arriving here...\This feeling... I felt it intensely before even arriving here...\This is an illusion!\This is an illusion!\The Black Blood -\Move it!\As expected, the real thing has some effect! response:	As long as I target the Black Blood, the Werewolf won't move!
context: This feeling... I felt it intensely before even arriving here...\This feeling... I felt it intensely before even arriving here...\This is an illusion!\This is an illusion!\The Black Blood -\Move it!\As expected, the real thing has some effect!\As long as I target the Black Blood, the Werewolf won't move! response:	Now, Black Star! Go!
context: This feeling... I felt it intensely before even arriving here...\This is an illusion!\This is an illusion!\The Black Blood -\Move it!\As expected, the real thing has some effect!\As long as I target the Black Blood, the Werewolf won't move!\Now, Black Star! Go! response:	You got it!
context: This is an illusion!\This is an illusion!\The Black Blood -\Move it!\As expected, the real thing has some effect!\As long as I target the Black Blood, the Werewolf won't move!\Now, Black Star! Go!\You got it! response:	Be careful. The Kishin's madness will make you hallucinate.
context: This is an illusion!\The Black Blood -\Move it!\As expected, the real thing has some effect!\As long as I target the Black Blood, the Werewolf won't move!\Now, Black Star! Go!\You got it!\Be careful. The Kishin's madness will make you hallucinate. response:	Don't worry!
context: The Black Blood -\Move it!\As expected, the real thing has some effect!\As long as I target the Black Blood, the Werewolf won't move!\Now, Black Star! Go!\You got it!\Be careful. The Kishin's madness will make you hallucinate.\Don't worry! response:	My sixth sense is being thick-headed!
context: Move it!\As expected, the real thing has some effect!\As long as I target the Black Blood, the Werewolf won't move!\Now, Black Star! Go!\You got it!\Be careful. The Kishin's madness will make you hallucinate.\Don't worry!\My sixth sense is being thick-headed! response:	I can't feel the madness at all!
context: As expected, the real thing has some effect!\As long as I target the Black Blood, the Werewolf won't move!\Now, Black Star! Go!\You got it!\Be careful. The Kishin's madness will make you hallucinate.\Don't worry!\My sixth sense is being thick-headed!\I can't feel the madness at all! response:	It figures...
context: As long as I target the Black Blood, the Werewolf won't move!\Now, Black Star! Go!\You got it!\Be careful. The Kishin's madness will make you hallucinate.\Don't worry!\My sixth sense is being thick-headed!\I can't feel the madness at all!\It figures... response:	He's coming, Eruka!
context: Now, Black Star! Go!\You got it!\Be careful. The Kishin's madness will make you hallucinate.\Don't worry!\My sixth sense is being thick-headed!\I can't feel the madness at all!\It figures...\He's coming, Eruka! response:	Demon Blade Mode!
context: You got it!\Be careful. The Kishin's madness will make you hallucinate.\Don't worry!\My sixth sense is being thick-headed!\I can't feel the madness at all!\It figures...\He's coming, Eruka!\Demon Blade Mode! response:	Kaerog Froeru Gekoeru Frog!
context: Be careful. The Kishin's madness will make you hallucinate.\Don't worry!\My sixth sense is being thick-headed!\I can't feel the madness at all!\It figures...\He's coming, Eruka!\Demon Blade Mode!\Kaerog Froeru Gekoeru Frog! response:	Freshly-Made Tadpole Bomb!
context: Don't worry!\My sixth sense is being thick-headed!\I can't feel the madness at all!\It figures...\He's coming, Eruka!\Demon Blade Mode!\Kaerog Froeru Gekoeru Frog!\Freshly-Made Tadpole Bomb! response:	Alright!
context: My sixth sense is being thick-headed!\I can't feel the madness at all!\It figures...\He's coming, Eruka!\Demon Blade Mode!\Kaerog Froeru Gekoeru Frog!\Freshly-Made Tadpole Bomb!\Alright! response:	I won't let you!
context: I can't feel the madness at all!\It figures...\He's coming, Eruka!\Demon Blade Mode!\Kaerog Froeru Gekoeru Frog!\Freshly-Made Tadpole Bomb!\Alright!\I won't let you! response:	This is an illusion! Illusion! Illusion!
context: It figures...\He's coming, Eruka!\Demon Blade Mode!\Kaerog Froeru Gekoeru Frog!\Freshly-Made Tadpole Bomb!\Alright!\I won't let you!\This is an illusion! Illusion! Illusion! response:	'Kay!
context: He's coming, Eruka!\Demon Blade Mode!\Kaerog Froeru Gekoeru Frog!\Freshly-Made Tadpole Bomb!\Alright!\I won't let you!\This is an illusion! Illusion! Illusion!\'Kay! response:	Not fair! Wait, time out!
context: Demon Blade Mode!\Kaerog Froeru Gekoeru Frog!\Freshly-Made Tadpole Bomb!\Alright!\I won't let you!\This is an illusion! Illusion! Illusion!\'Kay!\Not fair! Wait, time out! response:	I got it!
context: Kaerog Froeru Gekoeru Frog!\Freshly-Made Tadpole Bomb!\Alright!\I won't let you!\This is an illusion! Illusion! Illusion!\'Kay!\Not fair! Wait, time out!\I got it! response:	What?
context: Freshly-Made Tadpole Bomb!\Alright!\I won't let you!\This is an illusion! Illusion! Illusion!\'Kay!\Not fair! Wait, time out!\I got it!\What? response:	I'm so clever!
context: Alright!\I won't let you!\This is an illusion! Illusion! Illusion!\'Kay!\Not fair! Wait, time out!\I got it!\What?\I'm so clever! response:	Amphibious bastard... getting in my way!
context: I won't let you!\This is an illusion! Illusion! Illusion!\'Kay!\Not fair! Wait, time out!\I got it!\What?\I'm so clever!\Amphibious bastard... getting in my way! response:	Take this!
context: This is an illusion! Illusion! Illusion!\'Kay!\Not fair! Wait, time out!\I got it!\What?\I'm so clever!\Amphibious bastard... getting in my way!\Take this! response:	Tadpole Jackson!
context: 'Kay!\Not fair! Wait, time out!\I got it!\What?\I'm so clever!\Amphibious bastard... getting in my way!\Take this!\Tadpole Jackson! response:	I won't let your determination go to waste.
context: Not fair! Wait, time out!\I got it!\What?\I'm so clever!\Amphibious bastard... getting in my way!\Take this!\Tadpole Jackson!\I won't let your determination go to waste. response:	Damn it!
context: I got it!\What?\I'm so clever!\Amphibious bastard... getting in my way!\Take this!\Tadpole Jackson!\I won't let your determination go to waste.\Damn it! response:	I won't let you, Frog Girl!
context: What?\I'm so clever!\Amphibious bastard... getting in my way!\Take this!\Tadpole Jackson!\I won't let your determination go to waste.\Damn it!\I won't let you, Frog Girl! response:	Hurry, Eruka!
context: I'm so clever!\Amphibious bastard... getting in my way!\Take this!\Tadpole Jackson!\I won't let your determination go to waste.\Damn it!\I won't let you, Frog Girl!\Hurry, Eruka! response:	Stop her, Black Star!
context: Amphibious bastard... getting in my way!\Take this!\Tadpole Jackson!\I won't let your determination go to waste.\Damn it!\I won't let you, Frog Girl!\Hurry, Eruka!\Stop her, Black Star! response:	Demon Blade Mode is at its limit!
context: Take this!\Tadpole Jackson!\I won't let your determination go to waste.\Damn it!\I won't let you, Frog Girl!\Hurry, Eruka!\Stop her, Black Star!\Demon Blade Mode is at its limit! response:	No, I don't care if this destroys my body!
context: Tadpole Jackson!\I won't let your determination go to waste.\Damn it!\I won't let you, Frog Girl!\Hurry, Eruka!\Stop her, Black Star!\Demon Blade Mode is at its limit!\No, I don't care if this destroys my body! response:	Please, stick in!
context: I won't let your determination go to waste.\Damn it!\I won't let you, Frog Girl!\Hurry, Eruka!\Stop her, Black Star!\Demon Blade Mode is at its limit!\No, I don't care if this destroys my body!\Please, stick in! response:	Too slow, girl!
context: Damn it!\I won't let you, Frog Girl!\Hurry, Eruka!\Stop her, Black Star!\Demon Blade Mode is at its limit!\No, I don't care if this destroys my body!\Please, stick in!\Too slow, girl! response:	Gotcha!
context: I won't let you, Frog Girl!\Hurry, Eruka!\Stop her, Black Star!\Demon Blade Mode is at its limit!\No, I don't care if this destroys my body!\Please, stick in!\Too slow, girl!\Gotcha! response:	I did it!
context: Hurry, Eruka!\Stop her, Black Star!\Demon Blade Mode is at its limit!\No, I don't care if this destroys my body!\Please, stick in!\Too slow, girl!\Gotcha!\I did it! response:	I won!
context: Stop her, Black Star!\Demon Blade Mode is at its limit!\No, I don't care if this destroys my body!\Please, stick in!\Too slow, girl!\Gotcha!\I did it!\I won! response:	The Kishin resurrection is no more.
context: Demon Blade Mode is at its limit!\No, I don't care if this destroys my body!\Please, stick in!\Too slow, girl!\Gotcha!\I did it!\I won!\The Kishin resurrection is no more. response:	In this world, there are still many well-known stores that lack promotion.
context: No, I don't care if this destroys my body!\Please, stick in!\Too slow, girl!\Gotcha!\I did it!\I won!\The Kishin resurrection is no more.\In this world, there are still many well-known stores that lack promotion. response:	There's that famous pub in the alley and that outdoors French store.
context: Please, stick in!\Too slow, girl!\Gotcha!\I did it!\I won!\The Kishin resurrection is no more.\In this world, there are still many well-known stores that lack promotion.\There's that famous pub in the alley and that outdoors French store. response:	The set meal shop in Downtown and old man Ganko's hand-made soba!
context: Too slow, girl!\Gotcha!\I did it!\I won!\The Kishin resurrection is no more.\In this world, there are still many well-known stores that lack promotion.\There's that famous pub in the alley and that outdoors French store.\The set meal shop in Downtown and old man Ganko's hand-made soba! response:	And the creative cuisine restaurant with a family-oriented atmosphere.
context: Gotcha!\I did it!\I won!\The Kishin resurrection is no more.\In this world, there are still many well-known stores that lack promotion.\There's that famous pub in the alley and that outdoors French store.\The set meal shop in Downtown and old man Ganko's hand-made soba!\And the creative cuisine restaurant with a family-oriented atmosphere. response:	If we keep on listing, there's no end to them!
context: I did it!\I won!\The Kishin resurrection is no more.\In this world, there are still many well-known stores that lack promotion.\There's that famous pub in the alley and that outdoors French store.\The set meal shop in Downtown and old man Ganko's hand-made soba!\And the creative cuisine restaurant with a family-oriented atmosphere.\If we keep on listing, there's no end to them! response:	However, out of all of them, I know one that stands out the most...
context: I won!\The Kishin resurrection is no more.\In this world, there are still many well-known stores that lack promotion.\There's that famous pub in the alley and that outdoors French store.\The set meal shop in Downtown and old man Ganko's hand-made soba!\And the creative cuisine restaurant with a family-oriented atmosphere.\If we keep on listing, there's no end to them!\However, out of all of them, I know one that stands out the most... response:	Please tell me which one it is!
context: The Kishin resurrection is no more.\In this world, there are still many well-known stores that lack promotion.\There's that famous pub in the alley and that outdoors French store.\The set meal shop in Downtown and old man Ganko's hand-made soba!\And the creative cuisine restaurant with a family-oriented atmosphere.\If we keep on listing, there's no end to them!\However, out of all of them, I know one that stands out the most...\Please tell me which one it is! response:	That's a secret.
context: In this world, there are still many well-known stores that lack promotion.\There's that famous pub in the alley and that outdoors French store.\The set meal shop in Downtown and old man Ganko's hand-made soba!\And the creative cuisine restaurant with a family-oriented atmosphere.\If we keep on listing, there's no end to them!\However, out of all of them, I know one that stands out the most...\Please tell me which one it is!\That's a secret. response:	Vector Arrow!
context: There's that famous pub in the alley and that outdoors French store.\The set meal shop in Downtown and old man Ganko's hand-made soba!\And the creative cuisine restaurant with a family-oriented atmosphere.\If we keep on listing, there's no end to them!\However, out of all of them, I know one that stands out the most...\Please tell me which one it is!\That's a secret.\Vector Arrow! response:	This is a gamble...
context: The set meal shop in Downtown and old man Ganko's hand-made soba!\And the creative cuisine restaurant with a family-oriented atmosphere.\If we keep on listing, there's no end to them!\However, out of all of them, I know one that stands out the most...\Please tell me which one it is!\That's a secret.\Vector Arrow!\This is a gamble... response:	To cut through Medusa's strong defenses, we will have to forcibly attack her.
context: And the creative cuisine restaurant with a family-oriented atmosphere.\If we keep on listing, there's no end to them!\However, out of all of them, I know one that stands out the most...\Please tell me which one it is!\That's a secret.\Vector Arrow!\This is a gamble...\To cut through Medusa's strong defenses, we will have to forcibly attack her. response:	Somehow, I could hold on to this situation...
context: If we keep on listing, there's no end to them!\However, out of all of them, I know one that stands out the most...\Please tell me which one it is!\That's a secret.\Vector Arrow!\This is a gamble...\To cut through Medusa's strong defenses, we will have to forcibly attack her.\Somehow, I could hold on to this situation... response:	But the moment we try to kill each other when I release the Soul Threads...
context: However, out of all of them, I know one that stands out the most...\Please tell me which one it is!\That's a secret.\Vector Arrow!\This is a gamble...\To cut through Medusa's strong defenses, we will have to forcibly attack her.\Somehow, I could hold on to this situation...\But the moment we try to kill each other when I release the Soul Threads... response:	But right now, instead of thinking how my dead body will look like, I can only see the image of Medusa being torn apart.
context: Please tell me which one it is!\That's a secret.\Vector Arrow!\This is a gamble...\To cut through Medusa's strong defenses, we will have to forcibly attack her.\Somehow, I could hold on to this situation...\But the moment we try to kill each other when I release the Soul Threads...\But right now, instead of thinking how my dead body will look like, I can only see the image of Medusa being torn apart. response:	I have to bet on my small chance of winning!
context: That's a secret.\Vector Arrow!\This is a gamble...\To cut through Medusa's strong defenses, we will have to forcibly attack her.\Somehow, I could hold on to this situation...\But the moment we try to kill each other when I release the Soul Threads...\But right now, instead of thinking how my dead body will look like, I can only see the image of Medusa being torn apart.\I have to bet on my small chance of winning! response:	W-What the -
context: Vector Arrow!\This is a gamble...\To cut through Medusa's strong defenses, we will have to forcibly attack her.\Somehow, I could hold on to this situation...\But the moment we try to kill each other when I release the Soul Threads...\But right now, instead of thinking how my dead body will look like, I can only see the image of Medusa being torn apart.\I have to bet on my small chance of winning!\W-What the - response:	What's going on?
context: This is a gamble...\To cut through Medusa's strong defenses, we will have to forcibly attack her.\Somehow, I could hold on to this situation...\But the moment we try to kill each other when I release the Soul Threads...\But right now, instead of thinking how my dead body will look like, I can only see the image of Medusa being torn apart.\I have to bet on my small chance of winning!\W-What the -\What's going on? response:	Madness is dominating the space around us.
context: To cut through Medusa's strong defenses, we will have to forcibly attack her.\Somehow, I could hold on to this situation...\But the moment we try to kill each other when I release the Soul Threads...\But right now, instead of thinking how my dead body will look like, I can only see the image of Medusa being torn apart.\I have to bet on my small chance of winning!\W-What the -\What's going on?\Madness is dominating the space around us. response:	Could it be...
context: Somehow, I could hold on to this situation...\But the moment we try to kill each other when I release the Soul Threads...\But right now, instead of thinking how my dead body will look like, I can only see the image of Medusa being torn apart.\I have to bet on my small chance of winning!\W-What the -\What's going on?\Madness is dominating the space around us.\Could it be... response:	Kid and the others failed?
context: But the moment we try to kill each other when I release the Soul Threads...\But right now, instead of thinking how my dead body will look like, I can only see the image of Medusa being torn apart.\I have to bet on my small chance of winning!\W-What the -\What's going on?\Madness is dominating the space around us.\Could it be...\Kid and the others failed? response:	The Kishin has revived?
context: But right now, instead of thinking how my dead body will look like, I can only see the image of Medusa being torn apart.\I have to bet on my small chance of winning!\W-What the -\What's going on?\Madness is dominating the space around us.\Could it be...\Kid and the others failed?\The Kishin has revived? response:	I did it...
context: I have to bet on my small chance of winning!\W-What the -\What's going on?\Madness is dominating the space around us.\Could it be...\Kid and the others failed?\The Kishin has revived?\I did it... response:	What have you done...
context: W-What the -\What's going on?\Madness is dominating the space around us.\Could it be...\Kid and the others failed?\The Kishin has revived?\I did it...\What have you done... response:	Oi, hold it... it's our victory, right?
context: What's going on?\Madness is dominating the space around us.\Could it be...\Kid and the others failed?\The Kishin has revived?\I did it...\What have you done...\Oi, hold it... it's our victory, right? response:	Oi, hold it... it's our victory, right?
context: Madness is dominating the space around us.\Could it be...\Kid and the others failed?\The Kishin has revived?\I did it...\What have you done...\Oi, hold it... it's our victory, right?\Oi, hold it... it's our victory, right? response:	It actually became harmful when you went over your limit.
context: Could it be...\Kid and the others failed?\The Kishin has revived?\I did it...\What have you done...\Oi, hold it... it's our victory, right?\Oi, hold it... it's our victory, right?\It actually became harmful when you went over your limit. response:	Look carefully.
context: Kid and the others failed?\The Kishin has revived?\I did it...\What have you done...\Oi, hold it... it's our victory, right?\Oi, hold it... it's our victory, right?\It actually became harmful when you went over your limit.\Look carefully. response:	What you cut was the Goshintai.
context: The Kishin has revived?\I did it...\What have you done...\Oi, hold it... it's our victory, right?\Oi, hold it... it's our victory, right?\It actually became harmful when you went over your limit.\Look carefully.\What you cut was the Goshintai. response:	What?
context: I did it...\What have you done...\Oi, hold it... it's our victory, right?\Oi, hold it... it's our victory, right?\It actually became harmful when you went over your limit.\Look carefully.\What you cut was the Goshintai.\What? response:	Such irony...
context: What have you done...\Oi, hold it... it's our victory, right?\Oi, hold it... it's our victory, right?\It actually became harmful when you went over your limit.\Look carefully.\What you cut was the Goshintai.\What?\Such irony... response:	By concentrating on destroying the Black Blood, you created an opening in your otherwise useless sixth sense.
context: Oi, hold it... it's our victory, right?\Oi, hold it... it's our victory, right?\It actually became harmful when you went over your limit.\Look carefully.\What you cut was the Goshintai.\What?\Such irony...\By concentrating on destroying the Black Blood, you created an opening in your otherwise useless sixth sense. response:	In the very end, you hallucinated...
context: Oi, hold it... it's our victory, right?\It actually became harmful when you went over your limit.\Look carefully.\What you cut was the Goshintai.\What?\Such irony...\By concentrating on destroying the Black Blood, you created an opening in your otherwise useless sixth sense.\In the very end, you hallucinated... response:	No way...
context: It actually became harmful when you went over your limit.\Look carefully.\What you cut was the Goshintai.\What?\Such irony...\By concentrating on destroying the Black Blood, you created an opening in your otherwise useless sixth sense.\In the very end, you hallucinated...\No way... response:	You're kidding, right?
context: Look carefully.\What you cut was the Goshintai.\What?\Such irony...\By concentrating on destroying the Black Blood, you created an opening in your otherwise useless sixth sense.\In the very end, you hallucinated...\No way...\You're kidding, right? response:	I failed?
context: What you cut was the Goshintai.\What?\Such irony...\By concentrating on destroying the Black Blood, you created an opening in your otherwise useless sixth sense.\In the very end, you hallucinated...\No way...\You're kidding, right?\I failed? response:	We couldn't stop it.
context: What?\Such irony...\By concentrating on destroying the Black Blood, you created an opening in your otherwise useless sixth sense.\In the very end, you hallucinated...\No way...\You're kidding, right?\I failed?\We couldn't stop it. response:	It's a shame, isn't it?
context: Such irony...\By concentrating on destroying the Black Blood, you created an opening in your otherwise useless sixth sense.\In the very end, you hallucinated...\No way...\You're kidding, right?\I failed?\We couldn't stop it.\It's a shame, isn't it? response:	It's our victory.
context: By concentrating on destroying the Black Blood, you created an opening in your otherwise useless sixth sense.\In the very end, you hallucinated...\No way...\You're kidding, right?\I failed?\We couldn't stop it.\It's a shame, isn't it?\It's our victory. response:	He did it...
context: In the very end, you hallucinated...\No way...\You're kidding, right?\I failed?\We couldn't stop it.\It's a shame, isn't it?\It's our victory.\He did it... response:	I didn't even see it...
context: No way...\You're kidding, right?\I failed?\We couldn't stop it.\It's a shame, isn't it?\It's our victory.\He did it...\I didn't even see it... response:	You're quite speechless, aren't you?
context: You're kidding, right?\I failed?\We couldn't stop it.\It's a shame, isn't it?\It's our victory.\He did it...\I didn't even see it...\You're quite speechless, aren't you? response:	When you confirmed that the Kishin had been revived,
context: I failed?\We couldn't stop it.\It's a shame, isn't it?\It's our victory.\He did it...\I didn't even see it...\You're quite speechless, aren't you?\When you confirmed that the Kishin had been revived, response:	It's ironic, isn't it?
context: We couldn't stop it.\It's a shame, isn't it?\It's our victory.\He did it...\I didn't even see it...\You're quite speechless, aren't you?\When you confirmed that the Kishin had been revived,\It's ironic, isn't it? response:	Thanks to the Kishin, I won.
context: It's a shame, isn't it?\It's our victory.\He did it...\I didn't even see it...\You're quite speechless, aren't you?\When you confirmed that the Kishin had been revived,\It's ironic, isn't it?\Thanks to the Kishin, I won. response:	But the Kishin has been revived...
context: It's our victory.\He did it...\I didn't even see it...\You're quite speechless, aren't you?\When you confirmed that the Kishin had been revived,\It's ironic, isn't it?\Thanks to the Kishin, I won.\But the Kishin has been revived... response:	In the end, I lost anyway, huh?
context: He did it...\I didn't even see it...\You're quite speechless, aren't you?\When you confirmed that the Kishin had been revived,\It's ironic, isn't it?\Thanks to the Kishin, I won.\But the Kishin has been revived...\In the end, I lost anyway, huh? response:	However...
