context: There's no way he would like someone like me. response:	Why are you assuming you've lost?
context: Tell me what's going on.\No, we're, well...\Man, that was refreshing.\I-It's not a big deal, right?\Yeah, this is just another day for us.\O-Obviously, right?\All right, then.\Anyway, thirty minutes. response:	Apparently, we're deciding on our elective itinerary for tomorrow, too.
context: No, we're, well...\Man, that was refreshing.\I-It's not a big deal, right?\Yeah, this is just another day for us.\O-Obviously, right?\All right, then.\Anyway, thirty minutes.\Apparently, we're deciding on our elective itinerary for tomorrow, too. response:	Give it some thought.
context: Man, that was refreshing.\I-It's not a big deal, right?\Yeah, this is just another day for us.\O-Obviously, right?\All right, then.\Anyway, thirty minutes.\Apparently, we're deciding on our elective itinerary for tomorrow, too.\Give it some thought. response:	Sorry for talking out of turn.
context: I-It's not a big deal, right?\Yeah, this is just another day for us.\O-Obviously, right?\All right, then.\Anyway, thirty minutes.\Apparently, we're deciding on our elective itinerary for tomorrow, too.\Give it some thought.\Sorry for talking out of turn. response:	It's fine.
context: Yeah, this is just another day for us.\O-Obviously, right?\All right, then.\Anyway, thirty minutes.\Apparently, we're deciding on our elective itinerary for tomorrow, too.\Give it some thought.\Sorry for talking out of turn.\It's fine. response:	Making Fu-kun worry is the last thing I want.
context: O-Obviously, right?\All right, then.\Anyway, thirty minutes.\Apparently, we're deciding on our elective itinerary for tomorrow, too.\Give it some thought.\Sorry for talking out of turn.\It's fine.\Making Fu-kun worry is the last thing I want. response:	And you need to stop running away like that.
context: All right, then.\Anyway, thirty minutes.\Apparently, we're deciding on our elective itinerary for tomorrow, too.\Give it some thought.\Sorry for talking out of turn.\It's fine.\Making Fu-kun worry is the last thing I want.\And you need to stop running away like that. response:	But...
context: Anyway, thirty minutes.\Apparently, we're deciding on our elective itinerary for tomorrow, too.\Give it some thought.\Sorry for talking out of turn.\It's fine.\Making Fu-kun worry is the last thing I want.\And you need to stop running away like that.\But... response:	Miku, you can't keep this up forever.
context: Apparently, we're deciding on our elective itinerary for tomorrow, too.\Give it some thought.\Sorry for talking out of turn.\It's fine.\Making Fu-kun worry is the last thing I want.\And you need to stop running away like that.\But...\Miku, you can't keep this up forever. response:	Guys, let's make things clear.
context: Give it some thought.\Sorry for talking out of turn.\It's fine.\Making Fu-kun worry is the last thing I want.\And you need to stop running away like that.\But...\Miku, you can't keep this up forever.\Guys, let's make things clear. response:	All of us are looking for a chance to be alone with Futaro-kun.
context: Sorry for talking out of turn.\It's fine.\Making Fu-kun worry is the last thing I want.\And you need to stop running away like that.\But...\Miku, you can't keep this up forever.\Guys, let's make things clear.\All of us are looking for a chance to be alone with Futaro-kun. response:	That's what I've been saying this whole time.
context: It's fine.\Making Fu-kun worry is the last thing I want.\And you need to stop running away like that.\But...\Miku, you can't keep this up forever.\Guys, let's make things clear.\All of us are looking for a chance to be alone with Futaro-kun.\That's what I've been saying this whole time. response:	You too, Itsuki?
context: Making Fu-kun worry is the last thing I want.\And you need to stop running away like that.\But...\Miku, you can't keep this up forever.\Guys, let's make things clear.\All of us are looking for a chance to be alone with Futaro-kun.\That's what I've been saying this whole time.\You too, Itsuki? response:	I can't deny it.
context: And you need to stop running away like that.\But...\Miku, you can't keep this up forever.\Guys, let's make things clear.\All of us are looking for a chance to be alone with Futaro-kun.\That's what I've been saying this whole time.\You too, Itsuki?\I can't deny it. response:	None of us are going to get what we want if we keep this up.
context: But...\Miku, you can't keep this up forever.\Guys, let's make things clear.\All of us are looking for a chance to be alone with Futaro-kun.\That's what I've been saying this whole time.\You too, Itsuki?\I can't deny it.\None of us are going to get what we want if we keep this up. response:	I'm sure that's not anyone's wish.
context: Miku, you can't keep this up forever.\Guys, let's make things clear.\All of us are looking for a chance to be alone with Futaro-kun.\That's what I've been saying this whole time.\You too, Itsuki?\I can't deny it.\None of us are going to get what we want if we keep this up.\I'm sure that's not anyone's wish. response:	Look who's talking.
context: Guys, let's make things clear.\All of us are looking for a chance to be alone with Futaro-kun.\That's what I've been saying this whole time.\You too, Itsuki?\I can't deny it.\None of us are going to get what we want if we keep this up.\I'm sure that's not anyone's wish.\Look who's talking. response:	You hear me out too, Yotsuba.
context: All of us are looking for a chance to be alone with Futaro-kun.\That's what I've been saying this whole time.\You too, Itsuki?\I can't deny it.\None of us are going to get what we want if we keep this up.\I'm sure that's not anyone's wish.\Look who's talking.\You hear me out too, Yotsuba. response:	He's not here anymore, is he?
context: That's what I've been saying this whole time.\You too, Itsuki?\I can't deny it.\None of us are going to get what we want if we keep this up.\I'm sure that's not anyone's wish.\Look who's talking.\You hear me out too, Yotsuba.\He's not here anymore, is he? response:	Day 3 Elective Courses
context: You too, Itsuki?\I can't deny it.\None of us are going to get what we want if we keep this up.\I'm sure that's not anyone's wish.\Look who's talking.\You hear me out too, Yotsuba.\He's not here anymore, is he?\Day 3 Elective Courses response:	Course A Explore Uji area 8:00 Assemble at hotel lobby 820 Bus to Uji Station
context: I can't deny it.\None of us are going to get what we want if we keep this up.\I'm sure that's not anyone's wish.\Look who's talking.\You hear me out too, Yotsuba.\He's not here anymore, is he?\Day 3 Elective Courses\Course A Explore Uji area 8:00 Assemble at hotel lobby 820 Bus to Uji Station response:	Course B Visiting famous gardens 8:00 Assemble at hotel lobby 830 Bus to Kenninji Temple
context: None of us are going to get what we want if we keep this up.\I'm sure that's not anyone's wish.\Look who's talking.\You hear me out too, Yotsuba.\He's not here anymore, is he?\Day 3 Elective Courses\Course A Explore Uji area 8:00 Assemble at hotel lobby 820 Bus to Uji Station\Course B Visiting famous gardens 8:00 Assemble at hotel lobby 830 Bus to Kenninji Temple response:	Course C Tea ceremony experience 8:00 Assemble at hotel lobby 800 Bus to Tokuyou Tea Class
context: I'm sure that's not anyone's wish.\Look who's talking.\You hear me out too, Yotsuba.\He's not here anymore, is he?\Day 3 Elective Courses\Course A Explore Uji area 8:00 Assemble at hotel lobby 820 Bus to Uji Station\Course B Visiting famous gardens 8:00 Assemble at hotel lobby 830 Bus to Kenninji Temple\Course C Tea ceremony experience 8:00 Assemble at hotel lobby 800 Bus to Tokuyou Tea Class response:	Course D Explore places of significance to Oda Nobunaga 8:00 Assemble at hotel lobby 850 Bus to Honnouji Temple
context: Look who's talking.\You hear me out too, Yotsuba.\He's not here anymore, is he?\Day 3 Elective Courses\Course A Explore Uji area 8:00 Assemble at hotel lobby 820 Bus to Uji Station\Course B Visiting famous gardens 8:00 Assemble at hotel lobby 830 Bus to Kenninji Temple\Course C Tea ceremony experience 8:00 Assemble at hotel lobby 800 Bus to Tokuyou Tea Class\Course D Explore places of significance to Oda Nobunaga 8:00 Assemble at hotel lobby 850 Bus to Honnouji Temple response:	Course E Uzumasa Studio Park 8:00 Assemble at hotel lobby 89:30
context: You hear me out too, Yotsuba.\He's not here anymore, is he?\Day 3 Elective Courses\Course A Explore Uji area 8:00 Assemble at hotel lobby 820 Bus to Uji Station\Course B Visiting famous gardens 8:00 Assemble at hotel lobby 830 Bus to Kenninji Temple\Course C Tea ceremony experience 8:00 Assemble at hotel lobby 800 Bus to Tokuyou Tea Class\Course D Explore places of significance to Oda Nobunaga 8:00 Assemble at hotel lobby 850 Bus to Honnouji Temple\Course E Uzumasa Studio Park 8:00 Assemble at hotel lobby 89:30 response:	We have elective field trips on our last day.
context: He's not here anymore, is he?\Day 3 Elective Courses\Course A Explore Uji area 8:00 Assemble at hotel lobby 820 Bus to Uji Station\Course B Visiting famous gardens 8:00 Assemble at hotel lobby 830 Bus to Kenninji Temple\Course C Tea ceremony experience 8:00 Assemble at hotel lobby 800 Bus to Tokuyou Tea Class\Course D Explore places of significance to Oda Nobunaga 8:00 Assemble at hotel lobby 850 Bus to Honnouji Temple\Course E Uzumasa Studio Park 8:00 Assemble at hotel lobby 89:30\We have elective field trips on our last day. response:	We're choosing from one of five courses.
context: Day 3 Elective Courses\Course A Explore Uji area 8:00 Assemble at hotel lobby 820 Bus to Uji Station\Course B Visiting famous gardens 8:00 Assemble at hotel lobby 830 Bus to Kenninji Temple\Course C Tea ceremony experience 8:00 Assemble at hotel lobby 800 Bus to Tokuyou Tea Class\Course D Explore places of significance to Oda Nobunaga 8:00 Assemble at hotel lobby 850 Bus to Honnouji Temple\Course E Uzumasa Studio Park 8:00 Assemble at hotel lobby 89:30\We have elective field trips on our last day.\We're choosing from one of five courses. response:	Why don't we each choose one of the five?
context: Course A Explore Uji area 8:00 Assemble at hotel lobby 820 Bus to Uji Station\Course B Visiting famous gardens 8:00 Assemble at hotel lobby 830 Bus to Kenninji Temple\Course C Tea ceremony experience 8:00 Assemble at hotel lobby 800 Bus to Tokuyou Tea Class\Course D Explore places of significance to Oda Nobunaga 8:00 Assemble at hotel lobby 850 Bus to Honnouji Temple\Course E Uzumasa Studio Park 8:00 Assemble at hotel lobby 89:30\We have elective field trips on our last day.\We're choosing from one of five courses.\Why don't we each choose one of the five? response:	The only person who gets a chance
context: Course B Visiting famous gardens 8:00 Assemble at hotel lobby 830 Bus to Kenninji Temple\Course C Tea ceremony experience 8:00 Assemble at hotel lobby 800 Bus to Tokuyou Tea Class\Course D Explore places of significance to Oda Nobunaga 8:00 Assemble at hotel lobby 850 Bus to Honnouji Temple\Course E Uzumasa Studio Park 8:00 Assemble at hotel lobby 89:30\We have elective field trips on our last day.\We're choosing from one of five courses.\Why don't we each choose one of the five?\The only person who gets a chance response:	is the one who happens to be on the same course as Futaro-kun.
context: Course C Tea ceremony experience 8:00 Assemble at hotel lobby 800 Bus to Tokuyou Tea Class\Course D Explore places of significance to Oda Nobunaga 8:00 Assemble at hotel lobby 850 Bus to Honnouji Temple\Course E Uzumasa Studio Park 8:00 Assemble at hotel lobby 89:30\We have elective field trips on our last day.\We're choosing from one of five courses.\Why don't we each choose one of the five?\The only person who gets a chance\is the one who happens to be on the same course as Futaro-kun. response:	Let's leave it all to luck.
context: Course D Explore places of significance to Oda Nobunaga 8:00 Assemble at hotel lobby 850 Bus to Honnouji Temple\Course E Uzumasa Studio Park 8:00 Assemble at hotel lobby 89:30\We have elective field trips on our last day.\We're choosing from one of five courses.\Why don't we each choose one of the five?\The only person who gets a chance\is the one who happens to be on the same course as Futaro-kun.\Let's leave it all to luck. response:	Agreed!
context: Course E Uzumasa Studio Park 8:00 Assemble at hotel lobby 89:30\We have elective field trips on our last day.\We're choosing from one of five courses.\Why don't we each choose one of the five?\The only person who gets a chance\is the one who happens to be on the same course as Futaro-kun.\Let's leave it all to luck.\Agreed! response:	There won't be any hard feelings that way.
context: We have elective field trips on our last day.\We're choosing from one of five courses.\Why don't we each choose one of the five?\The only person who gets a chance\is the one who happens to be on the same course as Futaro-kun.\Let's leave it all to luck.\Agreed!\There won't be any hard feelings that way. response:	I don't like it.
context: We're choosing from one of five courses.\Why don't we each choose one of the five?\The only person who gets a chance\is the one who happens to be on the same course as Futaro-kun.\Let's leave it all to luck.\Agreed!\There won't be any hard feelings that way.\I don't like it. response:	Are really we really gonna do this after all that scheming?
context: Why don't we each choose one of the five?\The only person who gets a chance\is the one who happens to be on the same course as Futaro-kun.\Let's leave it all to luck.\Agreed!\There won't be any hard feelings that way.\I don't like it.\Are really we really gonna do this after all that scheming? response:	Are you happy with this?
context: The only person who gets a chance\is the one who happens to be on the same course as Futaro-kun.\Let's leave it all to luck.\Agreed!\There won't be any hard feelings that way.\I don't like it.\Are really we really gonna do this after all that scheming?\Are you happy with this? response:	It's only a one in five chance.
context: is the one who happens to be on the same course as Futaro-kun.\Let's leave it all to luck.\Agreed!\There won't be any hard feelings that way.\I don't like it.\Are really we really gonna do this after all that scheming?\Are you happy with this?\It's only a one in five chance. response:	I don't know how to face Futaro-kun right now.
context: Let's leave it all to luck.\Agreed!\There won't be any hard feelings that way.\I don't like it.\Are really we really gonna do this after all that scheming?\Are you happy with this?\It's only a one in five chance.\I don't know how to face Futaro-kun right now. response:	So I want my odds to be lower.
context: Agreed!\There won't be any hard feelings that way.\I don't like it.\Are really we really gonna do this after all that scheming?\Are you happy with this?\It's only a one in five chance.\I don't know how to face Futaro-kun right now.\So I want my odds to be lower. response:	I think this is the best option.
context: There won't be any hard feelings that way.\I don't like it.\Are really we really gonna do this after all that scheming?\Are you happy with this?\It's only a one in five chance.\I don't know how to face Futaro-kun right now.\So I want my odds to be lower.\I think this is the best option. response:	We should have done this from the beginning.
context: I don't like it.\Are really we really gonna do this after all that scheming?\Are you happy with this?\It's only a one in five chance.\I don't know how to face Futaro-kun right now.\So I want my odds to be lower.\I think this is the best option.\We should have done this from the beginning. response:	Can we just point like usual?
context: Are really we really gonna do this after all that scheming?\Are you happy with this?\It's only a one in five chance.\I don't know how to face Futaro-kun right now.\So I want my odds to be lower.\I think this is the best option.\We should have done this from the beginning.\Can we just point like usual? response:	I bet we'll all choose something different anyway.
context: Are you happy with this?\It's only a one in five chance.\I don't know how to face Futaro-kun right now.\So I want my odds to be lower.\I think this is the best option.\We should have done this from the beginning.\Can we just point like usual?\I bet we'll all choose something different anyway. response:	One, two...
context: It's only a one in five chance.\I don't know how to face Futaro-kun right now.\So I want my odds to be lower.\I think this is the best option.\We should have done this from the beginning.\Can we just point like usual?\I bet we'll all choose something different anyway.\One, two... response:	Ichika
context: I don't know how to face Futaro-kun right now.\So I want my odds to be lower.\I think this is the best option.\We should have done this from the beginning.\Can we just point like usual?\I bet we'll all choose something different anyway.\One, two...\Ichika response:	Yo, Uesugi, which course are we choosing tomorrow?
context: So I want my odds to be lower.\I think this is the best option.\We should have done this from the beginning.\Can we just point like usual?\I bet we'll all choose something different anyway.\One, two...\Ichika\Yo, Uesugi, which course are we choosing tomorrow? response:	Let's go for E.
context: I think this is the best option.\We should have done this from the beginning.\Can we just point like usual?\I bet we'll all choose something different anyway.\One, two...\Ichika\Yo, Uesugi, which course are we choosing tomorrow?\Let's go for E. response:	Course D people, over here.
context: We should have done this from the beginning.\Can we just point like usual?\I bet we'll all choose something different anyway.\One, two...\Ichika\Yo, Uesugi, which course are we choosing tomorrow?\Let's go for E.\Course D people, over here. response:	What was Course D again?
context: Can we just point like usual?\I bet we'll all choose something different anyway.\One, two...\Ichika\Yo, Uesugi, which course are we choosing tomorrow?\Let's go for E.\Course D people, over here.\What was Course D again? response:	You know, like, Honnouji Temple and samurai graves and stuff.
context: I bet we'll all choose something different anyway.\One, two...\Ichika\Yo, Uesugi, which course are we choosing tomorrow?\Let's go for E.\Course D people, over here.\What was Course D again?\You know, like, Honnouji Temple and samurai graves and stuff. response:	The historical sites.
context: One, two...\Ichika\Yo, Uesugi, which course are we choosing tomorrow?\Let's go for E.\Course D people, over here.\What was Course D again?\You know, like, Honnouji Temple and samurai graves and stuff.\The historical sites. response:	I don't care about that!
context: Ichika\Yo, Uesugi, which course are we choosing tomorrow?\Let's go for E.\Course D people, over here.\What was Course D again?\You know, like, Honnouji Temple and samurai graves and stuff.\The historical sites.\I don't care about that! response:	You should have checked.
context: Yo, Uesugi, which course are we choosing tomorrow?\Let's go for E.\Course D people, over here.\What was Course D again?\You know, like, Honnouji Temple and samurai graves and stuff.\The historical sites.\I don't care about that!\You should have checked. response:	You like Japanese history too, huh, Ichika-san?
context: Let's go for E.\Course D people, over here.\What was Course D again?\You know, like, Honnouji Temple and samurai graves and stuff.\The historical sites.\I don't care about that!\You should have checked.\You like Japanese history too, huh, Ichika-san? response:	I have a tummy ache.
context: Course D people, over here.\What was Course D again?\You know, like, Honnouji Temple and samurai graves and stuff.\The historical sites.\I don't care about that!\You should have checked.\You like Japanese history too, huh, Ichika-san?\I have a tummy ache. response:	Course E, over here.
context: What was Course D again?\You know, like, Honnouji Temple and samurai graves and stuff.\The historical sites.\I don't care about that!\You should have checked.\You like Japanese history too, huh, Ichika-san?\I have a tummy ache.\Course E, over here. response:	We're leaving now.
context: You know, like, Honnouji Temple and samurai graves and stuff.\The historical sites.\I don't care about that!\You should have checked.\You like Japanese history too, huh, Ichika-san?\I have a tummy ache.\Course E, over here.\We're leaving now. response:	Students on Course E, we've arrived at our destination, the Studio Park.
context: The historical sites.\I don't care about that!\You should have checked.\You like Japanese history too, huh, Ichika-san?\I have a tummy ache.\Course E, over here.\We're leaving now.\Students on Course E, we've arrived at our destination, the Studio Park. response:	Actually, I want Course D.
context: I don't care about that!\You should have checked.\You like Japanese history too, huh, Ichika-san?\I have a tummy ache.\Course E, over here.\We're leaving now.\Students on Course E, we've arrived at our destination, the Studio Park.\Actually, I want Course D. response:	Miku, can we trade?
context: You should have checked.\You like Japanese history too, huh, Ichika-san?\I have a tummy ache.\Course E, over here.\We're leaving now.\Students on Course E, we've arrived at our destination, the Studio Park.\Actually, I want Course D.\Miku, can we trade? response:	Why did she decide she wanted to switch courses with me?
context: You like Japanese history too, huh, Ichika-san?\I have a tummy ache.\Course E, over here.\We're leaving now.\Students on Course E, we've arrived at our destination, the Studio Park.\Actually, I want Course D.\Miku, can we trade?\Why did she decide she wanted to switch courses with me? response:	Ichika was supposed to be the one here.
context: I have a tummy ache.\Course E, over here.\We're leaving now.\Students on Course E, we've arrived at our destination, the Studio Park.\Actually, I want Course D.\Miku, can we trade?\Why did she decide she wanted to switch courses with me?\Ichika was supposed to be the one here. response:	Where are we headed?
context: Course E, over here.\We're leaving now.\Students on Course E, we've arrived at our destination, the Studio Park.\Actually, I want Course D.\Miku, can we trade?\Why did she decide she wanted to switch courses with me?\Ichika was supposed to be the one here.\Where are we headed? response:	Hey, Nakano-san. We meet again.
context: We're leaving now.\Students on Course E, we've arrived at our destination, the Studio Park.\Actually, I want Course D.\Miku, can we trade?\Why did she decide she wanted to switch courses with me?\Ichika was supposed to be the one here.\Where are we headed?\Hey, Nakano-san. We meet again. response:	She ran away again.
context: Students on Course E, we've arrived at our destination, the Studio Park.\Actually, I want Course D.\Miku, can we trade?\Why did she decide she wanted to switch courses with me?\Ichika was supposed to be the one here.\Where are we headed?\Hey, Nakano-san. We meet again.\She ran away again. response:	She probably hates you.
context: Actually, I want Course D.\Miku, can we trade?\Why did she decide she wanted to switch courses with me?\Ichika was supposed to be the one here.\Where are we headed?\Hey, Nakano-san. We meet again.\She ran away again.\She probably hates you. response:	Miku, stop!
context: Miku, can we trade?\Why did she decide she wanted to switch courses with me?\Ichika was supposed to be the one here.\Where are we headed?\Hey, Nakano-san. We meet again.\She ran away again.\She probably hates you.\Miku, stop! response:	Are you all right?
context: Why did she decide she wanted to switch courses with me?\Ichika was supposed to be the one here.\Where are we headed?\Hey, Nakano-san. We meet again.\She ran away again.\She probably hates you.\Miku, stop!\Are you all right? response:	Sorry.
context: Ichika was supposed to be the one here.\Where are we headed?\Hey, Nakano-san. We meet again.\She ran away again.\She probably hates you.\Miku, stop!\Are you all right?\Sorry. response:	Lantern Shop Parasols
context: Where are we headed?\Hey, Nakano-san. We meet again.\She ran away again.\She probably hates you.\Miku, stop!\Are you all right?\Sorry.\Lantern Shop Parasols response:	Don't run away, Miku.
context: Hey, Nakano-san. We meet again.\She ran away again.\She probably hates you.\Miku, stop!\Are you all right?\Sorry.\Lantern Shop Parasols\Don't run away, Miku. response:	Not that I think this is enough to make up for what I did...
context: She ran away again.\She probably hates you.\Miku, stop!\Are you all right?\Sorry.\Lantern Shop Parasols\Don't run away, Miku.\Not that I think this is enough to make up for what I did... response:	You gotta watch where you're going.
context: She probably hates you.\Miku, stop!\Are you all right?\Sorry.\Lantern Shop Parasols\Don't run away, Miku.\Not that I think this is enough to make up for what I did...\You gotta watch where you're going. response:	I'm sorry, Nino, I just can't.
context: Miku, stop!\Are you all right?\Sorry.\Lantern Shop Parasols\Don't run away, Miku.\Not that I think this is enough to make up for what I did...\You gotta watch where you're going.\I'm sorry, Nino, I just can't. response:	She's trying to run away again.
context: Are you all right?\Sorry.\Lantern Shop Parasols\Don't run away, Miku.\Not that I think this is enough to make up for what I did...\You gotta watch where you're going.\I'm sorry, Nino, I just can't.\She's trying to run away again. response:	What do I do?
context: Sorry.\Lantern Shop Parasols\Don't run away, Miku.\Not that I think this is enough to make up for what I did...\You gotta watch where you're going.\I'm sorry, Nino, I just can't.\She's trying to run away again.\What do I do? response:	Would you like to try on samurai clothes?
context: Lantern Shop Parasols\Don't run away, Miku.\Not that I think this is enough to make up for what I did...\You gotta watch where you're going.\I'm sorry, Nino, I just can't.\She's trying to run away again.\What do I do?\Would you like to try on samurai clothes? response:	Would you like to try on samurai clothes?
context: Don't run away, Miku.\Not that I think this is enough to make up for what I did...\You gotta watch where you're going.\I'm sorry, Nino, I just can't.\She's trying to run away again.\What do I do?\Would you like to try on samurai clothes?\Would you like to try on samurai clothes? response:	Ichika! Why are you...
context: Not that I think this is enough to make up for what I did...\You gotta watch where you're going.\I'm sorry, Nino, I just can't.\She's trying to run away again.\What do I do?\Would you like to try on samurai clothes?\Would you like to try on samurai clothes?\Ichika! Why are you... response:	What about you, Nino?
context: You gotta watch where you're going.\I'm sorry, Nino, I just can't.\She's trying to run away again.\What do I do?\Would you like to try on samurai clothes?\Would you like to try on samurai clothes?\Ichika! Why are you...\What about you, Nino? response:	I just called in sick so I could keep an eye on those two.
context: I'm sorry, Nino, I just can't.\She's trying to run away again.\What do I do?\Would you like to try on samurai clothes?\Would you like to try on samurai clothes?\Ichika! Why are you...\What about you, Nino?\I just called in sick so I could keep an eye on those two. response:	You aren't here to mess with her again, are you?
context: She's trying to run away again.\What do I do?\Would you like to try on samurai clothes?\Would you like to try on samurai clothes?\Ichika! Why are you...\What about you, Nino?\I just called in sick so I could keep an eye on those two.\You aren't here to mess with her again, are you? response:	N-No!
context: What do I do?\Would you like to try on samurai clothes?\Would you like to try on samurai clothes?\Ichika! Why are you...\What about you, Nino?\I just called in sick so I could keep an eye on those two.\You aren't here to mess with her again, are you?\N-No! response:	I bailed with a stomachache, too.
context: Would you like to try on samurai clothes?\Would you like to try on samurai clothes?\Ichika! Why are you...\What about you, Nino?\I just called in sick so I could keep an eye on those two.\You aren't here to mess with her again, are you?\N-No!\I bailed with a stomachache, too. response:	I don't expect you to believe me.
context: Would you like to try on samurai clothes?\Ichika! Why are you...\What about you, Nino?\I just called in sick so I could keep an eye on those two.\You aren't here to mess with her again, are you?\N-No!\I bailed with a stomachache, too.\I don't expect you to believe me. response:	Even if I can't be forgiven for what I did,
context: Ichika! Why are you...\What about you, Nino?\I just called in sick so I could keep an eye on those two.\You aren't here to mess with her again, are you?\N-No!\I bailed with a stomachache, too.\I don't expect you to believe me.\Even if I can't be forgiven for what I did, response:	I want to make things right as much as I can before the end of the last day.
context: What about you, Nino?\I just called in sick so I could keep an eye on those two.\You aren't here to mess with her again, are you?\N-No!\I bailed with a stomachache, too.\I don't expect you to believe me.\Even if I can't be forgiven for what I did,\I want to make things right as much as I can before the end of the last day. response:	I can't believe you're also here to support Miku, Itsuki.
context: I just called in sick so I could keep an eye on those two.\You aren't here to mess with her again, are you?\N-No!\I bailed with a stomachache, too.\I don't expect you to believe me.\Even if I can't be forgiven for what I did,\I want to make things right as much as I can before the end of the last day.\I can't believe you're also here to support Miku, Itsuki. response:	Yotsuba...
context: You aren't here to mess with her again, are you?\N-No!\I bailed with a stomachache, too.\I don't expect you to believe me.\Even if I can't be forgiven for what I did,\I want to make things right as much as I can before the end of the last day.\I can't believe you're also here to support Miku, Itsuki.\Yotsuba... response:	Are you sure you don't want to tell him that you were the girl he met six years ago?
context: N-No!\I bailed with a stomachache, too.\I don't expect you to believe me.\Even if I can't be forgiven for what I did,\I want to make things right as much as I can before the end of the last day.\I can't believe you're also here to support Miku, Itsuki.\Yotsuba...\Are you sure you don't want to tell him that you were the girl he met six years ago? response:	There's no reason to.
context: I bailed with a stomachache, too.\I don't expect you to believe me.\Even if I can't be forgiven for what I did,\I want to make things right as much as I can before the end of the last day.\I can't believe you're also here to support Miku, Itsuki.\Yotsuba...\Are you sure you don't want to tell him that you were the girl he met six years ago?\There's no reason to. response:	As long as I know.
context: I don't expect you to believe me.\Even if I can't be forgiven for what I did,\I want to make things right as much as I can before the end of the last day.\I can't believe you're also here to support Miku, Itsuki.\Yotsuba...\Are you sure you don't want to tell him that you were the girl he met six years ago?\There's no reason to.\As long as I know. response:	Huh?
context: Even if I can't be forgiven for what I did,\I want to make things right as much as I can before the end of the last day.\I can't believe you're also here to support Miku, Itsuki.\Yotsuba...\Are you sure you don't want to tell him that you were the girl he met six years ago?\There's no reason to.\As long as I know.\Huh? response:	Ichika and Nino are here, too.
context: I want to make things right as much as I can before the end of the last day.\I can't believe you're also here to support Miku, Itsuki.\Yotsuba...\Are you sure you don't want to tell him that you were the girl he met six years ago?\There's no reason to.\As long as I know.\Huh?\Ichika and Nino are here, too. response:	You two came, too?
context: I can't believe you're also here to support Miku, Itsuki.\Yotsuba...\Are you sure you don't want to tell him that you were the girl he met six years ago?\There's no reason to.\As long as I know.\Huh?\Ichika and Nino are here, too.\You two came, too? response:	I guess we're all here on Course E.
context: Yotsuba...\Are you sure you don't want to tell him that you were the girl he met six years ago?\There's no reason to.\As long as I know.\Huh?\Ichika and Nino are here, too.\You two came, too?\I guess we're all here on Course E. response:	Sheesh.
context: Are you sure you don't want to tell him that you were the girl he met six years ago?\There's no reason to.\As long as I know.\Huh?\Ichika and Nino are here, too.\You two came, too?\I guess we're all here on Course E.\Sheesh. response:	Nobody's playing by the rules.
context: There's no reason to.\As long as I know.\Huh?\Ichika and Nino are here, too.\You two came, too?\I guess we're all here on Course E.\Sheesh.\Nobody's playing by the rules. response:	Those two guys are in the way.
context: As long as I know.\Huh?\Ichika and Nino are here, too.\You two came, too?\I guess we're all here on Course E.\Sheesh.\Nobody's playing by the rules.\Those two guys are in the way. response:	I'll go deal with them.
context: Huh?\Ichika and Nino are here, too.\You two came, too?\I guess we're all here on Course E.\Sheesh.\Nobody's playing by the rules.\Those two guys are in the way.\I'll go deal with them. response:	Ichika, try to get Miku to wear the samurai clothes while she's here.
context: Ichika and Nino are here, too.\You two came, too?\I guess we're all here on Course E.\Sheesh.\Nobody's playing by the rules.\Those two guys are in the way.\I'll go deal with them.\Ichika, try to get Miku to wear the samurai clothes while she's here. response:	G-Get her? How?
context: You two came, too?\I guess we're all here on Course E.\Sheesh.\Nobody's playing by the rules.\Those two guys are in the way.\I'll go deal with them.\Ichika, try to get Miku to wear the samurai clothes while she's here.\G-Get her? How? response:	Hey, you're great at impersonating Miku, aren't you?
context: I guess we're all here on Course E.\Sheesh.\Nobody's playing by the rules.\Those two guys are in the way.\I'll go deal with them.\Ichika, try to get Miku to wear the samurai clothes while she's here.\G-Get her? How?\Hey, you're great at impersonating Miku, aren't you? response:	You're so mean.
context: Sheesh.\Nobody's playing by the rules.\Those two guys are in the way.\I'll go deal with them.\Ichika, try to get Miku to wear the samurai clothes while she's here.\G-Get her? How?\Hey, you're great at impersonating Miku, aren't you?\You're so mean. response:	Excuse me.
context: Nobody's playing by the rules.\Those two guys are in the way.\I'll go deal with them.\Ichika, try to get Miku to wear the samurai clothes while she's here.\G-Get her? How?\Hey, you're great at impersonating Miku, aren't you?\You're so mean.\Excuse me. response:	May I try on the samurai clothes, too?
context: Those two guys are in the way.\I'll go deal with them.\Ichika, try to get Miku to wear the samurai clothes while she's here.\G-Get her? How?\Hey, you're great at impersonating Miku, aren't you?\You're so mean.\Excuse me.\May I try on the samurai clothes, too? response:	Maeda and Takeda are late as hell.
context: I'll go deal with them.\Ichika, try to get Miku to wear the samurai clothes while she's here.\G-Get her? How?\Hey, you're great at impersonating Miku, aren't you?\You're so mean.\Excuse me.\May I try on the samurai clothes, too?\Maeda and Takeda are late as hell. response:	And Miku said she'd wait, but she's gone.
context: Ichika, try to get Miku to wear the samurai clothes while she's here.\G-Get her? How?\Hey, you're great at impersonating Miku, aren't you?\You're so mean.\Excuse me.\May I try on the samurai clothes, too?\Maeda and Takeda are late as hell.\And Miku said she'd wait, but she's gone. response:	I guess she left.
