context: Burst into bloom - Red Crown! response:	Surely you don't think that's sufficient to deal with me?
context: You told me that you were fighting of your own free will - for yourself, right?\That you're protecting the kids in that orphanage\just because that's what you want to do.\Yes. Exactly.\Well, then, who's going to protect you, Julis?\Who's... going to...?\You see, Julis...\I've been searching for it all this time. response:	What it is that I'm capable of, what it is that I'm supposed to do...
context: That you're protecting the kids in that orphanage\just because that's what you want to do.\Yes. Exactly.\Well, then, who's going to protect you, Julis?\Who's... going to...?\You see, Julis...\I've been searching for it all this time.\What it is that I'm capable of, what it is that I'm supposed to do... response:	But now that I've met you here, I finally get it.
context: just because that's what you want to do.\Yes. Exactly.\Well, then, who's going to protect you, Julis?\Who's... going to...?\You see, Julis...\I've been searching for it all this time.\What it is that I'm capable of, what it is that I'm supposed to do...\But now that I've met you here, I finally get it. response:	Right now, if there's something I want to do, and if I have what it takes to do it...
context: Yes. Exactly.\Well, then, who's going to protect you, Julis?\Who's... going to...?\You see, Julis...\I've been searching for it all this time.\What it is that I'm capable of, what it is that I'm supposed to do...\But now that I've met you here, I finally get it.\Right now, if there's something I want to do, and if I have what it takes to do it... response:	Well, that's what I'm supposed to do.
context: Well, then, who's going to protect you, Julis?\Who's... going to...?\You see, Julis...\I've been searching for it all this time.\What it is that I'm capable of, what it is that I'm supposed to do...\But now that I've met you here, I finally get it.\Right now, if there's something I want to do, and if I have what it takes to do it...\Well, that's what I'm supposed to do. response:	What you're supposed to do...
context: Who's... going to...?\You see, Julis...\I've been searching for it all this time.\What it is that I'm capable of, what it is that I'm supposed to do...\But now that I've met you here, I finally get it.\Right now, if there's something I want to do, and if I have what it takes to do it...\Well, that's what I'm supposed to do.\What you're supposed to do... response:	I want to be there for you, Julis.
context: You see, Julis...\I've been searching for it all this time.\What it is that I'm capable of, what it is that I'm supposed to do...\But now that I've met you here, I finally get it.\Right now, if there's something I want to do, and if I have what it takes to do it...\Well, that's what I'm supposed to do.\What you're supposed to do...\I want to be there for you, Julis. response:	Y-You moron! Where do you get off saying such things?!
context: I've been searching for it all this time.\What it is that I'm capable of, what it is that I'm supposed to do...\But now that I've met you here, I finally get it.\Right now, if there's something I want to do, and if I have what it takes to do it...\Well, that's what I'm supposed to do.\What you're supposed to do...\I want to be there for you, Julis.\Y-You moron! Where do you get off saying such things?! response:	Are you done chatting?
context: What it is that I'm capable of, what it is that I'm supposed to do...\But now that I've met you here, I finally get it.\Right now, if there's something I want to do, and if I have what it takes to do it...\Well, that's what I'm supposed to do.\What you're supposed to do...\I want to be there for you, Julis.\Y-You moron! Where do you get off saying such things?!\Are you done chatting? response:	Mr. Ayato Amagiri?
context: But now that I've met you here, I finally get it.\Right now, if there's something I want to do, and if I have what it takes to do it...\Well, that's what I'm supposed to do.\What you're supposed to do...\I want to be there for you, Julis.\Y-You moron! Where do you get off saying such things?!\Are you done chatting?\Mr. Ayato Amagiri? response:	So was that the power of the Ser Veresta?
context: Right now, if there's something I want to do, and if I have what it takes to do it...\Well, that's what I'm supposed to do.\What you're supposed to do...\I want to be there for you, Julis.\Y-You moron! Where do you get off saying such things?!\Are you done chatting?\Mr. Ayato Amagiri?\So was that the power of the Ser Veresta? response:	Right. I see it's a bit of a nuisance.
context: Well, that's what I'm supposed to do.\What you're supposed to do...\I want to be there for you, Julis.\Y-You moron! Where do you get off saying such things?!\Are you done chatting?\Mr. Ayato Amagiri?\So was that the power of the Ser Veresta?\Right. I see it's a bit of a nuisance. response:	That said, although your surprise attack just now seems to have worked out,
context: What you're supposed to do...\I want to be there for you, Julis.\Y-You moron! Where do you get off saying such things?!\Are you done chatting?\Mr. Ayato Amagiri?\So was that the power of the Ser Veresta?\Right. I see it's a bit of a nuisance.\That said, although your surprise attack just now seems to have worked out, response:	just what do you hope to accomplish against over 100 of my dolls?
context: I want to be there for you, Julis.\Y-You moron! Where do you get off saying such things?!\Are you done chatting?\Mr. Ayato Amagiri?\So was that the power of the Ser Veresta?\Right. I see it's a bit of a nuisance.\That said, although your surprise attack just now seems to have worked out,\just what do you hope to accomplish against over 100 of my dolls? response:	Shut up. You're the one who's only capable of surprise attacks.
context: Y-You moron! Where do you get off saying such things?!\Are you done chatting?\Mr. Ayato Amagiri?\So was that the power of the Ser Veresta?\Right. I see it's a bit of a nuisance.\That said, although your surprise attack just now seems to have worked out,\just what do you hope to accomplish against over 100 of my dolls?\Shut up. You're the one who's only capable of surprise attacks. response:	Silas Norman.
context: Are you done chatting?\Mr. Ayato Amagiri?\So was that the power of the Ser Veresta?\Right. I see it's a bit of a nuisance.\That said, although your surprise attack just now seems to have worked out,\just what do you hope to accomplish against over 100 of my dolls?\Shut up. You're the one who's only capable of surprise attacks.\Silas Norman. response:	How rude of you.
context: Mr. Ayato Amagiri?\So was that the power of the Ser Veresta?\Right. I see it's a bit of a nuisance.\That said, although your surprise attack just now seems to have worked out,\just what do you hope to accomplish against over 100 of my dolls?\Shut up. You're the one who's only capable of surprise attacks.\Silas Norman.\How rude of you. response:	In that case, would you care to test me?
context: So was that the power of the Ser Veresta?\Right. I see it's a bit of a nuisance.\That said, although your surprise attack just now seems to have worked out,\just what do you hope to accomplish against over 100 of my dolls?\Shut up. You're the one who's only capable of surprise attacks.\Silas Norman.\How rude of you.\In that case, would you care to test me? response:	With the sword inside me, I shall break out of this starry prison,
context: Right. I see it's a bit of a nuisance.\That said, although your surprise attack just now seems to have worked out,\just what do you hope to accomplish against over 100 of my dolls?\Shut up. You're the one who's only capable of surprise attacks.\Silas Norman.\How rude of you.\In that case, would you care to test me?\With the sword inside me, I shall break out of this starry prison, response:	and release my savage force!
context: That said, although your surprise attack just now seems to have worked out,\just what do you hope to accomplish against over 100 of my dolls?\Shut up. You're the one who's only capable of surprise attacks.\Silas Norman.\How rude of you.\In that case, would you care to test me?\With the sword inside me, I shall break out of this starry prison,\and release my savage force! response:	Ayato...
context: just what do you hope to accomplish against over 100 of my dolls?\Shut up. You're the one who's only capable of surprise attacks.\Silas Norman.\How rude of you.\In that case, would you care to test me?\With the sword inside me, I shall break out of this starry prison,\and release my savage force!\Ayato... response:	What the...?
context: Shut up. You're the one who's only capable of surprise attacks.\Silas Norman.\How rude of you.\In that case, would you care to test me?\With the sword inside me, I shall break out of this starry prison,\and release my savage force!\Ayato...\What the...? response:	I-Impossible!
context: Silas Norman.\How rude of you.\In that case, would you care to test me?\With the sword inside me, I shall break out of this starry prison,\and release my savage force!\Ayato...\What the...?\I-Impossible! response:	I'm right here.
context: How rude of you.\In that case, would you care to test me?\With the sword inside me, I shall break out of this starry prison,\and release my savage force!\Ayato...\What the...?\I-Impossible!\I'm right here. response:	Wh-Wh-What...?
context: In that case, would you care to test me?\With the sword inside me, I shall break out of this starry prison,\and release my savage force!\Ayato...\What the...?\I-Impossible!\I'm right here.\Wh-Wh-What...? response:	W-Who in the world...
context: With the sword inside me, I shall break out of this starry prison,\and release my savage force!\Ayato...\What the...?\I-Impossible!\I'm right here.\Wh-Wh-What...?\W-Who in the world... response:	P-Put me down this instant! I have no intention of hindering you!
context: and release my savage force!\Ayato...\What the...?\I-Impossible!\I'm right here.\Wh-Wh-What...?\W-Who in the world...\P-Put me down this instant! I have no intention of hindering you! response:	Sorry, but could you put up with this just a little longer?
context: Ayato...\What the...?\I-Impossible!\I'm right here.\Wh-Wh-What...?\W-Who in the world...\P-Put me down this instant! I have no intention of hindering you!\Sorry, but could you put up with this just a little longer? response:	This time I'm going to go all-out!
context: What the...?\I-Impossible!\I'm right here.\Wh-Wh-What...?\W-Who in the world...\P-Put me down this instant! I have no intention of hindering you!\Sorry, but could you put up with this just a little longer?\This time I'm going to go all-out! response:	This is the essence of my Merciless Army!
context: I-Impossible!\I'm right here.\Wh-Wh-What...?\W-Who in the world...\P-Put me down this instant! I have no intention of hindering you!\Sorry, but could you put up with this just a little longer?\This time I'm going to go all-out!\This is the essence of my Merciless Army! response:	Try fending them off if you can!
context: I'm right here.\Wh-Wh-What...?\W-Who in the world...\P-Put me down this instant! I have no intention of hindering you!\Sorry, but could you put up with this just a little longer?\This time I'm going to go all-out!\This is the essence of my Merciless Army!\Try fending them off if you can! response:	I see.
context: Wh-Wh-What...?\W-Who in the world...\P-Put me down this instant! I have no intention of hindering you!\Sorry, but could you put up with this just a little longer?\This time I'm going to go all-out!\This is the essence of my Merciless Army!\Try fending them off if you can!\I see. response:	The most puppets you can move individually is up to six types, huh?
context: W-Who in the world...\P-Put me down this instant! I have no intention of hindering you!\Sorry, but could you put up with this just a little longer?\This time I'm going to go all-out!\This is the essence of my Merciless Army!\Try fending them off if you can!\I see.\The most puppets you can move individually is up to six types, huh? response:	And there are sixteen puppets who execute a certain pattern of moves.
context: P-Put me down this instant! I have no intention of hindering you!\Sorry, but could you put up with this just a little longer?\This time I'm going to go all-out!\This is the essence of my Merciless Army!\Try fending them off if you can!\I see.\The most puppets you can move individually is up to six types, huh?\And there are sixteen puppets who execute a certain pattern of moves. response:	The rest only take the simplest of actions.
context: Sorry, but could you put up with this just a little longer?\This time I'm going to go all-out!\This is the essence of my Merciless Army!\Try fending them off if you can!\I see.\The most puppets you can move individually is up to six types, huh?\And there are sixteen puppets who execute a certain pattern of moves.\The rest only take the simplest of actions. response:	Six types, sixteen pieces...
context: This time I'm going to go all-out!\This is the essence of my Merciless Army!\Try fending them off if you can!\I see.\The most puppets you can move individually is up to six types, huh?\And there are sixteen puppets who execute a certain pattern of moves.\The rest only take the simplest of actions.\Six types, sixteen pieces... response:	I guess you're evoking chess?
context: This is the essence of my Merciless Army!\Try fending them off if you can!\I see.\The most puppets you can move individually is up to six types, huh?\And there are sixteen puppets who execute a certain pattern of moves.\The rest only take the simplest of actions.\Six types, sixteen pieces...\I guess you're evoking chess? response:	You bastard!
context: Try fending them off if you can!\I see.\The most puppets you can move individually is up to six types, huh?\And there are sixteen puppets who execute a certain pattern of moves.\The rest only take the simplest of actions.\Six types, sixteen pieces...\I guess you're evoking chess?\You bastard! response:	I'll demolish you!
context: I see.\The most puppets you can move individually is up to six types, huh?\And there are sixteen puppets who execute a certain pattern of moves.\The rest only take the simplest of actions.\Six types, sixteen pieces...\I guess you're evoking chess?\You bastard!\I'll demolish you! response:	I swear I'll demolish you!
context: The most puppets you can move individually is up to six types, huh?\And there are sixteen puppets who execute a certain pattern of moves.\The rest only take the simplest of actions.\Six types, sixteen pieces...\I guess you're evoking chess?\You bastard!\I'll demolish you!\I swear I'll demolish you! response:	N-No way...
context: And there are sixteen puppets who execute a certain pattern of moves.\The rest only take the simplest of actions.\Six types, sixteen pieces...\I guess you're evoking chess?\You bastard!\I'll demolish you!\I swear I'll demolish you!\N-No way... response:	A sword that can't be blocked, no matter what?
context: The rest only take the simplest of actions.\Six types, sixteen pieces...\I guess you're evoking chess?\You bastard!\I'll demolish you!\I swear I'll demolish you!\N-No way...\A sword that can't be blocked, no matter what? response:	Impossible...
context: Six types, sixteen pieces...\I guess you're evoking chess?\You bastard!\I'll demolish you!\I swear I'll demolish you!\N-No way...\A sword that can't be blocked, no matter what?\Impossible... response:	How is that possible?
context: I guess you're evoking chess?\You bastard!\I'll demolish you!\I swear I'll demolish you!\N-No way...\A sword that can't be blocked, no matter what?\Impossible...\How is that possible? response:	Game over, Silas.
context: You bastard!\I'll demolish you!\I swear I'll demolish you!\N-No way...\A sword that can't be blocked, no matter what?\Impossible...\How is that possible?\Game over, Silas. response:	Not yet! I've still got my secret technique!
context: I'll demolish you!\I swear I'll demolish you!\N-No way...\A sword that can't be blocked, no matter what?\Impossible...\How is that possible?\Game over, Silas.\Not yet! I've still got my secret technique! response:	All right, my queen!
context: I swear I'll demolish you!\N-No way...\A sword that can't be blocked, no matter what?\Impossible...\How is that possible?\Game over, Silas.\Not yet! I've still got my secret technique!\All right, my queen! response:	Get rid of him!
context: N-No way...\A sword that can't be blocked, no matter what?\Impossible...\How is that possible?\Game over, Silas.\Not yet! I've still got my secret technique!\All right, my queen!\Get rid of him! response:	Ripping apart the five viscera and severing the four limbs...
context: A sword that can't be blocked, no matter what?\Impossible...\How is that possible?\Game over, Silas.\Not yet! I've still got my secret technique!\All right, my queen!\Get rid of him!\Ripping apart the five viscera and severing the four limbs... response:	Amagiri Shinmei-style, Second Sword...
context: Impossible...\How is that possible?\Game over, Silas.\Not yet! I've still got my secret technique!\All right, my queen!\Get rid of him!\Ripping apart the five viscera and severing the four limbs...\Amagiri Shinmei-style, Second Sword... response:	Nine-fanged Sword!
context: How is that possible?\Game over, Silas.\Not yet! I've still got my secret technique!\All right, my queen!\Get rid of him!\Ripping apart the five viscera and severing the four limbs...\Amagiri Shinmei-style, Second Sword...\Nine-fanged Sword! response:	You sure don't know when to quit.
context: Game over, Silas.\Not yet! I've still got my secret technique!\All right, my queen!\Get rid of him!\Ripping apart the five viscera and severing the four limbs...\Amagiri Shinmei-style, Second Sword...\Nine-fanged Sword!\You sure don't know when to quit. response:	Sorry, Julis. I'm gonna go after him, so would you mind waiting here a second?
context: Not yet! I've still got my secret technique!\All right, my queen!\Get rid of him!\Ripping apart the five viscera and severing the four limbs...\Amagiri Shinmei-style, Second Sword...\Nine-fanged Sword!\You sure don't know when to quit.\Sorry, Julis. I'm gonna go after him, so would you mind waiting here a second? response:	I don't mind, but will you make it?
context: All right, my queen!\Get rid of him!\Ripping apart the five viscera and severing the four limbs...\Amagiri Shinmei-style, Second Sword...\Nine-fanged Sword!\You sure don't know when to quit.\Sorry, Julis. I'm gonna go after him, so would you mind waiting here a second?\I don't mind, but will you make it? response:	To be honest, I'm not sure.
context: Get rid of him!\Ripping apart the five viscera and severing the four limbs...\Amagiri Shinmei-style, Second Sword...\Nine-fanged Sword!\You sure don't know when to quit.\Sorry, Julis. I'm gonna go after him, so would you mind waiting here a second?\I don't mind, but will you make it?\To be honest, I'm not sure. response:	In that case... it's my turn, then. Right?
context: Ripping apart the five viscera and severing the four limbs...\Amagiri Shinmei-style, Second Sword...\Nine-fanged Sword!\You sure don't know when to quit.\Sorry, Julis. I'm gonna go after him, so would you mind waiting here a second?\I don't mind, but will you make it?\To be honest, I'm not sure.\In that case... it's my turn, then. Right? response:	I told you before... I'm not going to drag you down!
context: Amagiri Shinmei-style, Second Sword...\Nine-fanged Sword!\You sure don't know when to quit.\Sorry, Julis. I'm gonna go after him, so would you mind waiting here a second?\I don't mind, but will you make it?\To be honest, I'm not sure.\In that case... it's my turn, then. Right?\I told you before... I'm not going to drag you down! response:	Burst into bloom - Strelitzia!
context: Nine-fanged Sword!\You sure don't know when to quit.\Sorry, Julis. I'm gonna go after him, so would you mind waiting here a second?\I don't mind, but will you make it?\To be honest, I'm not sure.\In that case... it's my turn, then. Right?\I told you before... I'm not going to drag you down!\Burst into bloom - Strelitzia! response:	Let's go! I'll pilot you!
context: You sure don't know when to quit.\Sorry, Julis. I'm gonna go after him, so would you mind waiting here a second?\I don't mind, but will you make it?\To be honest, I'm not sure.\In that case... it's my turn, then. Right?\I told you before... I'm not going to drag you down!\Burst into bloom - Strelitzia!\Let's go! I'll pilot you! response:	This time, make sure you bash that coward's face in!
context: Sorry, Julis. I'm gonna go after him, so would you mind waiting here a second?\I don't mind, but will you make it?\To be honest, I'm not sure.\In that case... it's my turn, then. Right?\I told you before... I'm not going to drag you down!\Burst into bloom - Strelitzia!\Let's go! I'll pilot you!\This time, make sure you bash that coward's face in! response:	Hey, that's...
context: I don't mind, but will you make it?\To be honest, I'm not sure.\In that case... it's my turn, then. Right?\I told you before... I'm not going to drag you down!\Burst into bloom - Strelitzia!\Let's go! I'll pilot you!\This time, make sure you bash that coward's face in!\Hey, that's... response:	not exactly what a princess would say, is it?
context: To be honest, I'm not sure.\In that case... it's my turn, then. Right?\I told you before... I'm not going to drag you down!\Burst into bloom - Strelitzia!\Let's go! I'll pilot you!\This time, make sure you bash that coward's face in!\Hey, that's...\not exactly what a princess would say, is it? response:	Checkmate...
context: In that case... it's my turn, then. Right?\I told you before... I'm not going to drag you down!\Burst into bloom - Strelitzia!\Let's go! I'll pilot you!\This time, make sure you bash that coward's face in!\Hey, that's...\not exactly what a princess would say, is it?\Checkmate... response:	Silas Norman!
context: I told you before... I'm not going to drag you down!\Burst into bloom - Strelitzia!\Let's go! I'll pilot you!\This time, make sure you bash that coward's face in!\Hey, that's...\not exactly what a princess would say, is it?\Checkmate...\Silas Norman! response:	S-Stop it...
context: Burst into bloom - Strelitzia!\Let's go! I'll pilot you!\This time, make sure you bash that coward's face in!\Hey, that's...\not exactly what a princess would say, is it?\Checkmate...\Silas Norman!\S-Stop it... response:	Stop it!
context: Let's go! I'll pilot you!\This time, make sure you bash that coward's face in!\Hey, that's...\not exactly what a princess would say, is it?\Checkmate...\Silas Norman!\S-Stop it...\Stop it! response:	Well, since Silas is a Genestella himself, I'm sure this won't kill him.
context: This time, make sure you bash that coward's face in!\Hey, that's...\not exactly what a princess would say, is it?\Checkmate...\Silas Norman!\S-Stop it...\Stop it!\Well, since Silas is a Genestella himself, I'm sure this won't kill him. response:	And Claudia and the others should be waiting down there.
context: Hey, that's...\not exactly what a princess would say, is it?\Checkmate...\Silas Norman!\S-Stop it...\Stop it!\Well, since Silas is a Genestella himself, I'm sure this won't kill him.\And Claudia and the others should be waiting down there. response:	So how about we leave the rest to them?
context: not exactly what a princess would say, is it?\Checkmate...\Silas Norman!\S-Stop it...\Stop it!\Well, since Silas is a Genestella himself, I'm sure this won't kill him.\And Claudia and the others should be waiting down there.\So how about we leave the rest to them? response:	Good idea.
context: Checkmate...\Silas Norman!\S-Stop it...\Stop it!\Well, since Silas is a Genestella himself, I'm sure this won't kill him.\And Claudia and the others should be waiting down there.\So how about we leave the rest to them?\Good idea. response:	It's an awesome view, huh?
context: Silas Norman!\S-Stop it...\Stop it!\Well, since Silas is a Genestella himself, I'm sure this won't kill him.\And Claudia and the others should be waiting down there.\So how about we leave the rest to them?\Good idea.\It's an awesome view, huh? response:	I see.
context: S-Stop it...\Stop it!\Well, since Silas is a Genestella himself, I'm sure this won't kill him.\And Claudia and the others should be waiting down there.\So how about we leave the rest to them?\Good idea.\It's an awesome view, huh?\I see. response:	It certainly is a glorious sight!
context: Stop it!\Well, since Silas is a Genestella himself, I'm sure this won't kill him.\And Claudia and the others should be waiting down there.\So how about we leave the rest to them?\Good idea.\It's an awesome view, huh?\I see.\It certainly is a glorious sight! response:	Wh-What's wrong?
context: Well, since Silas is a Genestella himself, I'm sure this won't kill him.\And Claudia and the others should be waiting down there.\So how about we leave the rest to them?\Good idea.\It's an awesome view, huh?\I see.\It certainly is a glorious sight!\Wh-What's wrong? response:	Wh-What's going on here?!
context: And Claudia and the others should be waiting down there.\So how about we leave the rest to them?\Good idea.\It's an awesome view, huh?\I see.\It certainly is a glorious sight!\Wh-What's wrong?\Wh-What's going on here?! response:	Ayato!
context: So how about we leave the rest to them?\Good idea.\It's an awesome view, huh?\I see.\It certainly is a glorious sight!\Wh-What's wrong?\Wh-What's going on here?!\Ayato! response:	H-Hey! Stay with me, Ayato!
context: Good idea.\It's an awesome view, huh?\I see.\It certainly is a glorious sight!\Wh-What's wrong?\Wh-What's going on here?!\Ayato!\H-Hey! Stay with me, Ayato! response:	Ayato!
context: It's an awesome view, huh?\I see.\It certainly is a glorious sight!\Wh-What's wrong?\Wh-What's going on here?!\Ayato!\H-Hey! Stay with me, Ayato!\Ayato! response:	I'm sorry, Ayato.
context: I see.\It certainly is a glorious sight!\Wh-What's wrong?\Wh-What's going on here?!\Ayato!\H-Hey! Stay with me, Ayato!\Ayato!\I'm sorry, Ayato. response:	Big Sister?
context: It certainly is a glorious sight!\Wh-What's wrong?\Wh-What's going on here?!\Ayato!\H-Hey! Stay with me, Ayato!\Ayato!\I'm sorry, Ayato.\Big Sister? response:	With these circular shackles, I imprison your savage force.
context: Wh-What's wrong?\Wh-What's going on here?!\Ayato!\H-Hey! Stay with me, Ayato!\Ayato!\I'm sorry, Ayato.\Big Sister?\With these circular shackles, I imprison your savage force. response:	B-Big Sister...
context: Wh-What's going on here?!\Ayato!\H-Hey! Stay with me, Ayato!\Ayato!\I'm sorry, Ayato.\Big Sister?\With these circular shackles, I imprison your savage force.\B-Big Sister... response:	Remember what I told you before?
context: Ayato!\H-Hey! Stay with me, Ayato!\Ayato!\I'm sorry, Ayato.\Big Sister?\With these circular shackles, I imprison your savage force.\B-Big Sister...\Remember what I told you before? response:	That I'd be the one to protect you.
context: H-Hey! Stay with me, Ayato!\Ayato!\I'm sorry, Ayato.\Big Sister?\With these circular shackles, I imprison your savage force.\B-Big Sister...\Remember what I told you before?\That I'd be the one to protect you. response:	So...
context: Ayato!\I'm sorry, Ayato.\Big Sister?\With these circular shackles, I imprison your savage force.\B-Big Sister...\Remember what I told you before?\That I'd be the one to protect you.\So... response:	No...
context: I'm sorry, Ayato.\Big Sister?\With these circular shackles, I imprison your savage force.\B-Big Sister...\Remember what I told you before?\That I'd be the one to protect you.\So...\No... response:	I told you that I'd protect you, too.
context: Big Sister?\With these circular shackles, I imprison your savage force.\B-Big Sister...\Remember what I told you before?\That I'd be the one to protect you.\So...\No...\I told you that I'd protect you, too. response:	Goodbye, Ayato.
context: With these circular shackles, I imprison your savage force.\B-Big Sister...\Remember what I told you before?\That I'd be the one to protect you.\So...\No...\I told you that I'd protect you, too.\Goodbye, Ayato. response:	I love you.
context: B-Big Sister...\Remember what I told you before?\That I'd be the one to protect you.\So...\No...\I told you that I'd protect you, too.\Goodbye, Ayato.\I love you. response:	Oh, so you've finally come to!
context: Remember what I told you before?\That I'd be the one to protect you.\So...\No...\I told you that I'd protect you, too.\Goodbye, Ayato.\I love you.\Oh, so you've finally come to! response:	Really, for a while there I didn't know what to think.
context: That I'd be the one to protect you.\So...\No...\I told you that I'd protect you, too.\Goodbye, Ayato.\I love you.\Oh, so you've finally come to!\Really, for a while there I didn't know what to think. response:	I see.
context: So...\No...\I told you that I'd protect you, too.\Goodbye, Ayato.\I love you.\Oh, so you've finally come to!\Really, for a while there I didn't know what to think.\I see. response:	So I did pass out, after all.
context: No...\I told you that I'd protect you, too.\Goodbye, Ayato.\I love you.\Oh, so you've finally come to!\Really, for a while there I didn't know what to think.\I see.\So I did pass out, after all. response:	Don't overdo it.
context: I told you that I'd protect you, too.\Goodbye, Ayato.\I love you.\Oh, so you've finally come to!\Really, for a while there I didn't know what to think.\I see.\So I did pass out, after all.\Don't overdo it. response:	I've already contacted Claudia, and they'll be coming to get us soon.
context: Goodbye, Ayato.\I love you.\Oh, so you've finally come to!\Really, for a while there I didn't know what to think.\I see.\So I did pass out, after all.\Don't overdo it.\I've already contacted Claudia, and they'll be coming to get us soon. response:	Right, thanks.
context: I love you.\Oh, so you've finally come to!\Really, for a while there I didn't know what to think.\I see.\So I did pass out, after all.\Don't overdo it.\I've already contacted Claudia, and they'll be coming to get us soon.\Right, thanks. response:	N-No need to thank me!
context: Oh, so you've finally come to!\Really, for a while there I didn't know what to think.\I see.\So I did pass out, after all.\Don't overdo it.\I've already contacted Claudia, and they'll be coming to get us soon.\Right, thanks.\N-No need to thank me! response:	Since you're the one who saved me.
context: Really, for a while there I didn't know what to think.\I see.\So I did pass out, after all.\Don't overdo it.\I've already contacted Claudia, and they'll be coming to get us soon.\Right, thanks.\N-No need to thank me!\Since you're the one who saved me. response:	Hey, you! Don't move around like that!
context: I see.\So I did pass out, after all.\Don't overdo it.\I've already contacted Claudia, and they'll be coming to get us soon.\Right, thanks.\N-No need to thank me!\Since you're the one who saved me.\Hey, you! Don't move around like that! response:	M-My bad!
context: So I did pass out, after all.\Don't overdo it.\I've already contacted Claudia, and they'll be coming to get us soon.\Right, thanks.\N-No need to thank me!\Since you're the one who saved me.\Hey, you! Don't move around like that!\M-My bad! response:	N-Never mind that, just lie still, you idiot!
context: Don't overdo it.\I've already contacted Claudia, and they'll be coming to get us soon.\Right, thanks.\N-No need to thank me!\Since you're the one who saved me.\Hey, you! Don't move around like that!\M-My bad!\N-Never mind that, just lie still, you idiot! response:	Y-Yeah, but...
context: I've already contacted Claudia, and they'll be coming to get us soon.\Right, thanks.\N-No need to thank me!\Since you're the one who saved me.\Hey, you! Don't move around like that!\M-My bad!\N-Never mind that, just lie still, you idiot!\Y-Yeah, but... response:	I-I'm telling you it's all right, so it's all right!
context: Right, thanks.\N-No need to thank me!\Since you're the one who saved me.\Hey, you! Don't move around like that!\M-My bad!\N-Never mind that, just lie still, you idiot!\Y-Yeah, but...\I-I'm telling you it's all right, so it's all right! response:	Get that through your head!
context: N-No need to thank me!\Since you're the one who saved me.\Hey, you! Don't move around like that!\M-My bad!\N-Never mind that, just lie still, you idiot!\Y-Yeah, but...\I-I'm telling you it's all right, so it's all right!\Get that through your head! response:	Uh... okay.
context: Since you're the one who saved me.\Hey, you! Don't move around like that!\M-My bad!\N-Never mind that, just lie still, you idiot!\Y-Yeah, but...\I-I'm telling you it's all right, so it's all right!\Get that through your head!\Uh... okay. response:	Anyway...
context: Hey, you! Don't move around like that!\M-My bad!\N-Never mind that, just lie still, you idiot!\Y-Yeah, but...\I-I'm telling you it's all right, so it's all right!\Get that through your head!\Uh... okay.\Anyway... response:	That power that's restraining you...
context: M-My bad!\N-Never mind that, just lie still, you idiot!\Y-Yeah, but...\I-I'm telling you it's all right, so it's all right!\Get that through your head!\Uh... okay.\Anyway...\That power that's restraining you... response:	Who was it cast by?
context: N-Never mind that, just lie still, you idiot!\Y-Yeah, but...\I-I'm telling you it's all right, so it's all right!\Get that through your head!\Uh... okay.\Anyway...\That power that's restraining you...\Who was it cast by? response:	It was... um...
context: Y-Yeah, but...\I-I'm telling you it's all right, so it's all right!\Get that through your head!\Uh... okay.\Anyway...\That power that's restraining you...\Who was it cast by?\It was... um... response:	It was my sister.
context: I-I'm telling you it's all right, so it's all right!\Get that through your head!\Uh... okay.\Anyway...\That power that's restraining you...\Who was it cast by?\It was... um...\It was my sister. response:	She had Imprisonment Power. The power to forcibly bind all things.
context: Get that through your head!\Uh... okay.\Anyway...\That power that's restraining you...\Who was it cast by?\It was... um...\It was my sister.\She had Imprisonment Power. The power to forcibly bind all things. response:	I see.
context: Uh... okay.\Anyway...\That power that's restraining you...\Who was it cast by?\It was... um...\It was my sister.\She had Imprisonment Power. The power to forcibly bind all things.\I see. response:	Meaning that those were your true powers, then?
context: Anyway...\That power that's restraining you...\Who was it cast by?\It was... um...\It was my sister.\She had Imprisonment Power. The power to forcibly bind all things.\I see.\Meaning that those were your true powers, then? response:	Yeah... I guess you could say that.
context: That power that's restraining you...\Who was it cast by?\It was... um...\It was my sister.\She had Imprisonment Power. The power to forcibly bind all things.\I see.\Meaning that those were your true powers, then?\Yeah... I guess you could say that. response:	What's up with that? Such a vague answer.
context: Who was it cast by?\It was... um...\It was my sister.\She had Imprisonment Power. The power to forcibly bind all things.\I see.\Meaning that those were your true powers, then?\Yeah... I guess you could say that.\What's up with that? Such a vague answer. response:	Well, I can only use them for so long.
context: It was... um...\It was my sister.\She had Imprisonment Power. The power to forcibly bind all things.\I see.\Meaning that those were your true powers, then?\Yeah... I guess you could say that.\What's up with that? Such a vague answer.\Well, I can only use them for so long. response:	This is the first time they've lasted for more than five minutes.
context: It was my sister.\She had Imprisonment Power. The power to forcibly bind all things.\I see.\Meaning that those were your true powers, then?\Yeah... I guess you could say that.\What's up with that? Such a vague answer.\Well, I can only use them for so long.\This is the first time they've lasted for more than five minutes. response:	And to top it all off, look at the state I'm left in.
context: She had Imprisonment Power. The power to forcibly bind all things.\I see.\Meaning that those were your true powers, then?\Yeah... I guess you could say that.\What's up with that? Such a vague answer.\Well, I can only use them for so long.\This is the first time they've lasted for more than five minutes.\And to top it all off, look at the state I'm left in. response:	Why did your sister do such a thing?
