context: Milika-san is living in my yard. response:	She declared that she's going to become my third girlfriend.
context: You can't get any more pathetic.\But I'm glad you told me before you fell for her!\Saki-chan...\Damn it! Let's drive her out.\If she gets angry at you, she can get angry at me, too.\You two...\Thanks. I'll do it.\Okay! response:	Do it!
context: But I'm glad you told me before you fell for her!\Saki-chan...\Damn it! Let's drive her out.\If she gets angry at you, she can get angry at me, too.\You two...\Thanks. I'll do it.\Okay!\Do it! response:	Dad
context: Saki-chan...\Damn it! Let's drive her out.\If she gets angry at you, she can get angry at me, too.\You two...\Thanks. I'll do it.\Okay!\Do it!\Dad response:	Girlfriend, Girlfriend
context: Damn it! Let's drive her out.\If she gets angry at you, she can get angry at me, too.\You two...\Thanks. I'll do it.\Okay!\Do it!\Dad\Girlfriend, Girlfriend response:	Rika, where are you?
context: If she gets angry at you, she can get angry at me, too.\You two...\Thanks. I'll do it.\Okay!\Do it!\Dad\Girlfriend, Girlfriend\Rika, where are you? response:	You never told me you were sleeping somewhere else!
context: You two...\Thanks. I'll do it.\Okay!\Do it!\Dad\Girlfriend, Girlfriend\Rika, where are you?\You never told me you were sleeping somewhere else! response:	I'm at my friend's place.
context: Thanks. I'll do it.\Okay!\Do it!\Dad\Girlfriend, Girlfriend\Rika, where are you?\You never told me you were sleeping somewhere else!\I'm at my friend's place. response:	You have a friend?
context: Okay!\Do it!\Dad\Girlfriend, Girlfriend\Rika, where are you?\You never told me you were sleeping somewhere else!\I'm at my friend's place.\You have a friend? response:	Her name's Saki!
context: Do it!\Dad\Girlfriend, Girlfriend\Rika, where are you?\You never told me you were sleeping somewhere else!\I'm at my friend's place.\You have a friend?\Her name's Saki! response:	I'm busy! Bye!
context: Dad\Girlfriend, Girlfriend\Rika, where are you?\You never told me you were sleeping somewhere else!\I'm at my friend's place.\You have a friend?\Her name's Saki!\I'm busy! Bye! response:	Hey, wait!
context: Girlfriend, Girlfriend\Rika, where are you?\You never told me you were sleeping somewhere else!\I'm at my friend's place.\You have a friend?\Her name's Saki!\I'm busy! Bye!\Hey, wait! response:	You're in deep trouble when you get back!
context: Rika, where are you?\You never told me you were sleeping somewhere else!\I'm at my friend's place.\You have a friend?\Her name's Saki!\I'm busy! Bye!\Hey, wait!\You're in deep trouble when you get back! response:	The pawn shop pickup says they'll be right here.
context: You never told me you were sleeping somewhere else!\I'm at my friend's place.\You have a friend?\Her name's Saki!\I'm busy! Bye!\Hey, wait!\You're in deep trouble when you get back!\The pawn shop pickup says they'll be right here. response:	Okay.
context: I'm at my friend's place.\You have a friend?\Her name's Saki!\I'm busy! Bye!\Hey, wait!\You're in deep trouble when you get back!\The pawn shop pickup says they'll be right here.\Okay. response:	We'll take care of the tent and stuff.
context: You have a friend?\Her name's Saki!\I'm busy! Bye!\Hey, wait!\You're in deep trouble when you get back!\The pawn shop pickup says they'll be right here.\Okay.\We'll take care of the tent and stuff. response:	I'll hold Milika-san back.
context: Her name's Saki!\I'm busy! Bye!\Hey, wait!\You're in deep trouble when you get back!\The pawn shop pickup says they'll be right here.\Okay.\We'll take care of the tent and stuff.\I'll hold Milika-san back. response:	We'll dismantle her tent and get her to go home.
context: I'm busy! Bye!\Hey, wait!\You're in deep trouble when you get back!\The pawn shop pickup says they'll be right here.\Okay.\We'll take care of the tent and stuff.\I'll hold Milika-san back.\We'll dismantle her tent and get her to go home. response:	I need to make sure Saki-chan and Minase-san
context: Hey, wait!\You're in deep trouble when you get back!\The pawn shop pickup says they'll be right here.\Okay.\We'll take care of the tent and stuff.\I'll hold Milika-san back.\We'll dismantle her tent and get her to go home.\I need to make sure Saki-chan and Minase-san response:	don't have to worry about me three-timing.
context: You're in deep trouble when you get back!\The pawn shop pickup says they'll be right here.\Okay.\We'll take care of the tent and stuff.\I'll hold Milika-san back.\We'll dismantle her tent and get her to go home.\I need to make sure Saki-chan and Minase-san\don't have to worry about me three-timing. response:	Before I start wanting to!
context: The pawn shop pickup says they'll be right here.\Okay.\We'll take care of the tent and stuff.\I'll hold Milika-san back.\We'll dismantle her tent and get her to go home.\I need to make sure Saki-chan and Minase-san\don't have to worry about me three-timing.\Before I start wanting to! response:	Seriously, please...
context: Okay.\We'll take care of the tent and stuff.\I'll hold Milika-san back.\We'll dismantle her tent and get her to go home.\I need to make sure Saki-chan and Minase-san\don't have to worry about me three-timing.\Before I start wanting to!\Seriously, please... response:	That's better.
context: We'll take care of the tent and stuff.\I'll hold Milika-san back.\We'll dismantle her tent and get her to go home.\I need to make sure Saki-chan and Minase-san\don't have to worry about me three-timing.\Before I start wanting to!\Seriously, please...\That's better. response:	Milika-san!
context: I'll hold Milika-san back.\We'll dismantle her tent and get her to go home.\I need to make sure Saki-chan and Minase-san\don't have to worry about me three-timing.\Before I start wanting to!\Seriously, please...\That's better.\Milika-san! response:	Naoya...
context: We'll dismantle her tent and get her to go home.\I need to make sure Saki-chan and Minase-san\don't have to worry about me three-timing.\Before I start wanting to!\Seriously, please...\That's better.\Milika-san!\Naoya... response:	What's up?
context: I need to make sure Saki-chan and Minase-san\don't have to worry about me three-timing.\Before I start wanting to!\Seriously, please...\That's better.\Milika-san!\Naoya...\What's up? response:	Can we talk for a bit?
context: don't have to worry about me three-timing.\Before I start wanting to!\Seriously, please...\That's better.\Milika-san!\Naoya...\What's up?\Can we talk for a bit? response:	No way.
context: Before I start wanting to!\Seriously, please...\That's better.\Milika-san!\Naoya...\What's up?\Can we talk for a bit?\No way. response:	You're just going to tell me to go home or something.
context: Seriously, please...\That's better.\Milika-san!\Naoya...\What's up?\Can we talk for a bit?\No way.\You're just going to tell me to go home or something. response:	I'm busy coming up with a plan to make you fall for me.
context: That's better.\Milika-san!\Naoya...\What's up?\Can we talk for a bit?\No way.\You're just going to tell me to go home or something.\I'm busy coming up with a plan to make you fall for me. response:	Wait...
context: Milika-san!\Naoya...\What's up?\Can we talk for a bit?\No way.\You're just going to tell me to go home or something.\I'm busy coming up with a plan to make you fall for me.\Wait... response:	Let's think together, then.
context: Naoya...\What's up?\Can we talk for a bit?\No way.\You're just going to tell me to go home or something.\I'm busy coming up with a plan to make you fall for me.\Wait...\Let's think together, then. response:	Are you stupid?
context: What's up?\Can we talk for a bit?\No way.\You're just going to tell me to go home or something.\I'm busy coming up with a plan to make you fall for me.\Wait...\Let's think together, then.\Are you stupid? response:	Damn it! It'd be the embarrassment of a lifetime
context: Can we talk for a bit?\No way.\You're just going to tell me to go home or something.\I'm busy coming up with a plan to make you fall for me.\Wait...\Let's think together, then.\Are you stupid?\Damn it! It'd be the embarrassment of a lifetime response:	if a two-timing loser like you ends up rejecting me.
context: No way.\You're just going to tell me to go home or something.\I'm busy coming up with a plan to make you fall for me.\Wait...\Let's think together, then.\Are you stupid?\Damn it! It'd be the embarrassment of a lifetime\if a two-timing loser like you ends up rejecting me. response:	Can we talk?
context: You're just going to tell me to go home or something.\I'm busy coming up with a plan to make you fall for me.\Wait...\Let's think together, then.\Are you stupid?\Damn it! It'd be the embarrassment of a lifetime\if a two-timing loser like you ends up rejecting me.\Can we talk? response:	O-Oh, yeah!
context: I'm busy coming up with a plan to make you fall for me.\Wait...\Let's think together, then.\Are you stupid?\Damn it! It'd be the embarrassment of a lifetime\if a two-timing loser like you ends up rejecting me.\Can we talk?\O-Oh, yeah! response:	What did you tell your parents?
context: Wait...\Let's think together, then.\Are you stupid?\Damn it! It'd be the embarrassment of a lifetime\if a two-timing loser like you ends up rejecting me.\Can we talk?\O-Oh, yeah!\What did you tell your parents? response:	What does it matter?
context: Let's think together, then.\Are you stupid?\Damn it! It'd be the embarrassment of a lifetime\if a two-timing loser like you ends up rejecting me.\Can we talk?\O-Oh, yeah!\What did you tell your parents?\What does it matter? response:	Right!
context: Are you stupid?\Damn it! It'd be the embarrassment of a lifetime\if a two-timing loser like you ends up rejecting me.\Can we talk?\O-Oh, yeah!\What did you tell your parents?\What does it matter?\Right! response:	Who cares about my parents?
context: Damn it! It'd be the embarrassment of a lifetime\if a two-timing loser like you ends up rejecting me.\Can we talk?\O-Oh, yeah!\What did you tell your parents?\What does it matter?\Right!\Who cares about my parents? response:	I'm not afraid of them.
context: if a two-timing loser like you ends up rejecting me.\Can we talk?\O-Oh, yeah!\What did you tell your parents?\What does it matter?\Right!\Who cares about my parents?\I'm not afraid of them. response:	Left!
context: Can we talk?\O-Oh, yeah!\What did you tell your parents?\What does it matter?\Right!\Who cares about my parents?\I'm not afraid of them.\Left! response:	Are you hiding something?
context: O-Oh, yeah!\What did you tell your parents?\What does it matter?\Right!\Who cares about my parents?\I'm not afraid of them.\Left!\Are you hiding something? response:	Huh?
context: What did you tell your parents?\What does it matter?\Right!\Who cares about my parents?\I'm not afraid of them.\Left!\Are you hiding something?\Huh? response:	No, not at all. I'm not trying to buy time or anything.
context: What does it matter?\Right!\Who cares about my parents?\I'm not afraid of them.\Left!\Are you hiding something?\Huh?\No, not at all. I'm not trying to buy time or anything. response:	You...
context: Right!\Who cares about my parents?\I'm not afraid of them.\Left!\Are you hiding something?\Huh?\No, not at all. I'm not trying to buy time or anything.\You... response:	Look, Saki and Nagisa are being harassed by delinquents!
context: Who cares about my parents?\I'm not afraid of them.\Left!\Are you hiding something?\Huh?\No, not at all. I'm not trying to buy time or anything.\You...\Look, Saki and Nagisa are being harassed by delinquents! response:	Huh?!
context: I'm not afraid of them.\Left!\Are you hiding something?\Huh?\No, not at all. I'm not trying to buy time or anything.\You...\Look, Saki and Nagisa are being harassed by delinquents!\Huh?! response:	My shin...
context: Left!\Are you hiding something?\Huh?\No, not at all. I'm not trying to buy time or anything.\You...\Look, Saki and Nagisa are being harassed by delinquents!\Huh?!\My shin... response:	M-Milika-san!
context: Are you hiding something?\Huh?\No, not at all. I'm not trying to buy time or anything.\You...\Look, Saki and Nagisa are being harassed by delinquents!\Huh?!\My shin...\M-Milika-san! response:	That's my sleeping bag!
context: Huh?\No, not at all. I'm not trying to buy time or anything.\You...\Look, Saki and Nagisa are being harassed by delinquents!\Huh?!\My shin...\M-Milika-san!\That's my sleeping bag! response:	Shit, she's already here.
context: No, not at all. I'm not trying to buy time or anything.\You...\Look, Saki and Nagisa are being harassed by delinquents!\Huh?!\My shin...\M-Milika-san!\That's my sleeping bag!\Shit, she's already here. response:	What have you...
context: You...\Look, Saki and Nagisa are being harassed by delinquents!\Huh?!\My shin...\M-Milika-san!\That's my sleeping bag!\Shit, she's already here.\What have you... response:	My tent and barbecue set, too!
context: Look, Saki and Nagisa are being harassed by delinquents!\Huh?!\My shin...\M-Milika-san!\That's my sleeping bag!\Shit, she's already here.\What have you...\My tent and barbecue set, too! response:	All my stuff!
context: Huh?!\My shin...\M-Milika-san!\That's my sleeping bag!\Shit, she's already here.\What have you...\My tent and barbecue set, too!\All my stuff! response:	Naoya, what are you doing?
context: My shin...\M-Milika-san!\That's my sleeping bag!\Shit, she's already here.\What have you...\My tent and barbecue set, too!\All my stuff!\Naoya, what are you doing? response:	Hey...
context: M-Milika-san!\That's my sleeping bag!\Shit, she's already here.\What have you...\My tent and barbecue set, too!\All my stuff!\Naoya, what are you doing?\Hey... response:	H-How dare you?!
context: That's my sleeping bag!\Shit, she's already here.\What have you...\My tent and barbecue set, too!\All my stuff!\Naoya, what are you doing?\Hey...\H-How dare you?! response:	T-Take this down!
context: Shit, she's already here.\What have you...\My tent and barbecue set, too!\All my stuff!\Naoya, what are you doing?\Hey...\H-How dare you?!\T-Take this down! response:	Sorry!
context: What have you...\My tent and barbecue set, too!\All my stuff!\Naoya, what are you doing?\Hey...\H-How dare you?!\T-Take this down!\Sorry! response:	Hey, let me go!
context: My tent and barbecue set, too!\All my stuff!\Naoya, what are you doing?\Hey...\H-How dare you?!\T-Take this down!\Sorry!\Hey, let me go! response:	Let me go!
context: All my stuff!\Naoya, what are you doing?\Hey...\H-How dare you?!\T-Take this down!\Sorry!\Hey, let me go!\Let me go! response:	Saki-chan, Minase-san, hurry! Now!
context: Naoya, what are you doing?\Hey...\H-How dare you?!\T-Take this down!\Sorry!\Hey, let me go!\Let me go!\Saki-chan, Minase-san, hurry! Now! response:	Okay.
context: Hey...\H-How dare you?!\T-Take this down!\Sorry!\Hey, let me go!\Let me go!\Saki-chan, Minase-san, hurry! Now!\Okay. response:	Got it.
context: H-How dare you?!\T-Take this down!\Sorry!\Hey, let me go!\Let me go!\Saki-chan, Minase-san, hurry! Now!\Okay.\Got it. response:	How dare you do this to me?
context: T-Take this down!\Sorry!\Hey, let me go!\Let me go!\Saki-chan, Minase-san, hurry! Now!\Okay.\Got it.\How dare you do this to me? response:	I'll mess you up so bad, you'll shit yourself!
context: Sorry!\Hey, let me go!\Let me go!\Saki-chan, Minase-san, hurry! Now!\Okay.\Got it.\How dare you do this to me?\I'll mess you up so bad, you'll shit yourself! response:	I'll shit myself now, then!
context: Hey, let me go!\Let me go!\Saki-chan, Minase-san, hurry! Now!\Okay.\Got it.\How dare you do this to me?\I'll mess you up so bad, you'll shit yourself!\I'll shit myself now, then! response:	No!
context: Let me go!\Saki-chan, Minase-san, hurry! Now!\Okay.\Got it.\How dare you do this to me?\I'll mess you up so bad, you'll shit yourself!\I'll shit myself now, then!\No! response:	Damn it...
context: Saki-chan, Minase-san, hurry! Now!\Okay.\Got it.\How dare you do this to me?\I'll mess you up so bad, you'll shit yourself!\I'll shit myself now, then!\No!\Damn it... response:	No!
context: Okay.\Got it.\How dare you do this to me?\I'll mess you up so bad, you'll shit yourself!\I'll shit myself now, then!\No!\Damn it...\No! response:	Pervert!
context: Got it.\How dare you do this to me?\I'll mess you up so bad, you'll shit yourself!\I'll shit myself now, then!\No!\Damn it...\No!\Pervert! response:	I'm being raped!
context: How dare you do this to me?\I'll mess you up so bad, you'll shit yourself!\I'll shit myself now, then!\No!\Damn it...\No!\Pervert!\I'm being raped! response:	W-Wait...
context: I'll mess you up so bad, you'll shit yourself!\I'll shit myself now, then!\No!\Damn it...\No!\Pervert!\I'm being raped!\W-Wait... response:	Somebody!
context: I'll shit myself now, then!\No!\Damn it...\No!\Pervert!\I'm being raped!\W-Wait...\Somebody! response:	I'm being molested!
context: No!\Damn it...\No!\Pervert!\I'm being raped!\W-Wait...\Somebody!\I'm being molested! response:	Someone, help me!
context: Damn it...\No!\Pervert!\I'm being raped!\W-Wait...\Somebody!\I'm being molested!\Someone, help me! response:	He's after my G cups!
context: No!\Pervert!\I'm being raped!\W-Wait...\Somebody!\I'm being molested!\Someone, help me!\He's after my G cups! response:	What's going on?
context: Pervert!\I'm being raped!\W-Wait...\Somebody!\I'm being molested!\Someone, help me!\He's after my G cups!\What's going on? response:	A groper?
context: I'm being raped!\W-Wait...\Somebody!\I'm being molested!\Someone, help me!\He's after my G cups!\What's going on?\A groper? response:	Huh?
context: W-Wait...\Somebody!\I'm being molested!\Someone, help me!\He's after my G cups!\What's going on?\A groper?\Huh? response:	Is that Mukai-san's son?
context: Somebody!\I'm being molested!\Someone, help me!\He's after my G cups!\What's going on?\A groper?\Huh?\Is that Mukai-san's son? response:	Is she all right?
context: I'm being molested!\Someone, help me!\He's after my G cups!\What's going on?\A groper?\Huh?\Is that Mukai-san's son?\Is she all right? response:	See?
context: Someone, help me!\He's after my G cups!\What's going on?\A groper?\Huh?\Is that Mukai-san's son?\Is she all right?\See? response:	The whole neighborhood will think you're a pervert if you don't let go.
context: He's after my G cups!\What's going on?\A groper?\Huh?\Is that Mukai-san's son?\Is she all right?\See?\The whole neighborhood will think you're a pervert if you don't let go. response:	I don't care!
context: What's going on?\A groper?\Huh?\Is that Mukai-san's son?\Is she all right?\See?\The whole neighborhood will think you're a pervert if you don't let go.\I don't care! response:	Wh-What?!
context: A groper?\Huh?\Is that Mukai-san's son?\Is she all right?\See?\The whole neighborhood will think you're a pervert if you don't let go.\I don't care!\Wh-What?! response:	S-Seriously?
context: Huh?\Is that Mukai-san's son?\Is she all right?\See?\The whole neighborhood will think you're a pervert if you don't let go.\I don't care!\Wh-What?!\S-Seriously? response:	You're going to be an outcast your whole life!
context: Is that Mukai-san's son?\Is she all right?\See?\The whole neighborhood will think you're a pervert if you don't let go.\I don't care!\Wh-What?!\S-Seriously?\You're going to be an outcast your whole life! response:	If that worried me...
context: Is she all right?\See?\The whole neighborhood will think you're a pervert if you don't let go.\I don't care!\Wh-What?!\S-Seriously?\You're going to be an outcast your whole life!\If that worried me... response:	I wouldn't be two-timing!
context: See?\The whole neighborhood will think you're a pervert if you don't let go.\I don't care!\Wh-What?!\S-Seriously?\You're going to be an outcast your whole life!\If that worried me...\I wouldn't be two-timing! response:	Huh?
context: The whole neighborhood will think you're a pervert if you don't let go.\I don't care!\Wh-What?!\S-Seriously?\You're going to be an outcast your whole life!\If that worried me...\I wouldn't be two-timing!\Huh? response:	Two-timing?
context: I don't care!\Wh-What?!\S-Seriously?\You're going to be an outcast your whole life!\If that worried me...\I wouldn't be two-timing!\Huh?\Two-timing? response:	What's going on?
context: Wh-What?!\S-Seriously?\You're going to be an outcast your whole life!\If that worried me...\I wouldn't be two-timing!\Huh?\Two-timing?\What's going on? response:	Are they in an abusive relationship?
context: S-Seriously?\You're going to be an outcast your whole life!\If that worried me...\I wouldn't be two-timing!\Huh?\Two-timing?\What's going on?\Are they in an abusive relationship? response:	Don't go screaming that out loud!
context: You're going to be an outcast your whole life!\If that worried me...\I wouldn't be two-timing!\Huh?\Two-timing?\What's going on?\Are they in an abusive relationship?\Don't go screaming that out loud! response:	Saki-chan, is it true?
context: If that worried me...\I wouldn't be two-timing!\Huh?\Two-timing?\What's going on?\Are they in an abusive relationship?\Don't go screaming that out loud!\Saki-chan, is it true? response:	He doesn't mean anything by it!
context: I wouldn't be two-timing!\Huh?\Two-timing?\What's going on?\Are they in an abusive relationship?\Don't go screaming that out loud!\Saki-chan, is it true?\He doesn't mean anything by it! response:	Just hurry up and load the truck.
context: Huh?\Two-timing?\What's going on?\Are they in an abusive relationship?\Don't go screaming that out loud!\Saki-chan, is it true?\He doesn't mean anything by it!\Just hurry up and load the truck. response:	Okay.
context: Two-timing?\What's going on?\Are they in an abusive relationship?\Don't go screaming that out loud!\Saki-chan, is it true?\He doesn't mean anything by it!\Just hurry up and load the truck.\Okay. response:	Do you have any idea...
context: What's going on?\Are they in an abusive relationship?\Don't go screaming that out loud!\Saki-chan, is it true?\He doesn't mean anything by it!\Just hurry up and load the truck.\Okay.\Do you have any idea... response:	how much that camping gear cost?!
context: Are they in an abusive relationship?\Don't go screaming that out loud!\Saki-chan, is it true?\He doesn't mean anything by it!\Just hurry up and load the truck.\Okay.\Do you have any idea...\how much that camping gear cost?! response:	Serves you right for messing with me!
context: Don't go screaming that out loud!\Saki-chan, is it true?\He doesn't mean anything by it!\Just hurry up and load the truck.\Okay.\Do you have any idea...\how much that camping gear cost?!\Serves you right for messing with me! response:	I'll pay for it, of course.
context: Saki-chan, is it true?\He doesn't mean anything by it!\Just hurry up and load the truck.\Okay.\Do you have any idea...\how much that camping gear cost?!\Serves you right for messing with me!\I'll pay for it, of course. response:	How much do I owe you?
context: He doesn't mean anything by it!\Just hurry up and load the truck.\Okay.\Do you have any idea...\how much that camping gear cost?!\Serves you right for messing with me!\I'll pay for it, of course.\How much do I owe you? response:	Don't look up my skirt!
context: Just hurry up and load the truck.\Okay.\Do you have any idea...\how much that camping gear cost?!\Serves you right for messing with me!\I'll pay for it, of course.\How much do I owe you?\Don't look up my skirt! response:	A million yen.
context: Okay.\Do you have any idea...\how much that camping gear cost?!\Serves you right for messing with me!\I'll pay for it, of course.\How much do I owe you?\Don't look up my skirt!\A million yen. response:	Pay me one million yen!
context: Do you have any idea...\how much that camping gear cost?!\Serves you right for messing with me!\I'll pay for it, of course.\How much do I owe you?\Don't look up my skirt!\A million yen.\Pay me one million yen! response:	Th-That much?!
context: how much that camping gear cost?!\Serves you right for messing with me!\I'll pay for it, of course.\How much do I owe you?\Don't look up my skirt!\A million yen.\Pay me one million yen!\Th-That much?! response:	Well? You can't pay that much, can you?
context: Serves you right for messing with me!\I'll pay for it, of course.\How much do I owe you?\Don't look up my skirt!\A million yen.\Pay me one million yen!\Th-That much?!\Well? You can't pay that much, can you? response:	Sh-She has to be lying!
context: I'll pay for it, of course.\How much do I owe you?\Don't look up my skirt!\A million yen.\Pay me one million yen!\Th-That much?!\Well? You can't pay that much, can you?\Sh-She has to be lying! response:	It's actually about 200,000 yen.
context: How much do I owe you?\Don't look up my skirt!\A million yen.\Pay me one million yen!\Th-That much?!\Well? You can't pay that much, can you?\Sh-She has to be lying!\It's actually about 200,000 yen. response:	All right.
context: Don't look up my skirt!\A million yen.\Pay me one million yen!\Th-That much?!\Well? You can't pay that much, can you?\Sh-She has to be lying!\It's actually about 200,000 yen.\All right. response:	I'll work to make the money.
context: A million yen.\Pay me one million yen!\Th-That much?!\Well? You can't pay that much, can you?\Sh-She has to be lying!\It's actually about 200,000 yen.\All right.\I'll work to make the money. response:	What?! It's a million yen!
context: Pay me one million yen!\Th-That much?!\Well? You can't pay that much, can you?\Sh-She has to be lying!\It's actually about 200,000 yen.\All right.\I'll work to make the money.\What?! It's a million yen! response:	But in return, you have to promise you'll stay away from me.
context: Th-That much?!\Well? You can't pay that much, can you?\Sh-She has to be lying!\It's actually about 200,000 yen.\All right.\I'll work to make the money.\What?! It's a million yen!\But in return, you have to promise you'll stay away from me. response:	Naoya...
context: Well? You can't pay that much, can you?\Sh-She has to be lying!\It's actually about 200,000 yen.\All right.\I'll work to make the money.\What?! It's a million yen!\But in return, you have to promise you'll stay away from me.\Naoya... response:	Naoya-kun...
context: Sh-She has to be lying!\It's actually about 200,000 yen.\All right.\I'll work to make the money.\What?! It's a million yen!\But in return, you have to promise you'll stay away from me.\Naoya...\Naoya-kun... response:	Um...
context: It's actually about 200,000 yen.\All right.\I'll work to make the money.\What?! It's a million yen!\But in return, you have to promise you'll stay away from me.\Naoya...\Naoya-kun...\Um... response:	We're done loading up.
context: All right.\I'll work to make the money.\What?! It's a million yen!\But in return, you have to promise you'll stay away from me.\Naoya...\Naoya-kun...\Um...\We're done loading up. response:	Here's the payment.
context: I'll work to make the money.\What?! It's a million yen!\But in return, you have to promise you'll stay away from me.\Naoya...\Naoya-kun...\Um...\We're done loading up.\Here's the payment. response:	Take it!
context: What?! It's a million yen!\But in return, you have to promise you'll stay away from me.\Naoya...\Naoya-kun...\Um...\We're done loading up.\Here's the payment.\Take it! response:	Hey!
context: But in return, you have to promise you'll stay away from me.\Naoya...\Naoya-kun...\Um...\We're done loading up.\Here's the payment.\Take it!\Hey! response:	You... You did it.
context: Naoya...\Naoya-kun...\Um...\We're done loading up.\Here's the payment.\Take it!\Hey!\You... You did it. response:	Wh-What's your problem?
context: Naoya-kun...\Um...\We're done loading up.\Here's the payment.\Take it!\Hey!\You... You did it.\Wh-What's your problem? response:	Why would you go so far?
context: Um...\We're done loading up.\Here's the payment.\Take it!\Hey!\You... You did it.\Wh-What's your problem?\Why would you go so far? response:	You're just a two-timing loser!
context: We're done loading up.\Here's the payment.\Take it!\Hey!\You... You did it.\Wh-What's your problem?\Why would you go so far?\You're just a two-timing loser! response:	It's true.
context: Here's the payment.\Take it!\Hey!\You... You did it.\Wh-What's your problem?\Why would you go so far?\You're just a two-timing loser!\It's true. response:	I couldn't choose between the two of them.
context: Take it!\Hey!\You... You did it.\Wh-What's your problem?\Why would you go so far?\You're just a two-timing loser!\It's true.\I couldn't choose between the two of them. response:	That's why I vowed to make them both happy.
context: Hey!\You... You did it.\Wh-What's your problem?\Why would you go so far?\You're just a two-timing loser!\It's true.\I couldn't choose between the two of them.\That's why I vowed to make them both happy. response:	Y-You're...
context: You... You did it.\Wh-What's your problem?\Why would you go so far?\You're just a two-timing loser!\It's true.\I couldn't choose between the two of them.\That's why I vowed to make them both happy.\Y-You're... response:	I'll do anything for them!
context: Wh-What's your problem?\Why would you go so far?\You're just a two-timing loser!\It's true.\I couldn't choose between the two of them.\That's why I vowed to make them both happy.\Y-You're...\I'll do anything for them! response:	Fine. I'll work, too.
context: Why would you go so far?\You're just a two-timing loser!\It's true.\I couldn't choose between the two of them.\That's why I vowed to make them both happy.\Y-You're...\I'll do anything for them!\Fine. I'll work, too. response:	I'll help, too.
context: You're just a two-timing loser!\It's true.\I couldn't choose between the two of them.\That's why I vowed to make them both happy.\Y-You're...\I'll do anything for them!\Fine. I'll work, too.\I'll help, too. response:	Thanks, both of you.
context: It's true.\I couldn't choose between the two of them.\That's why I vowed to make them both happy.\Y-You're...\I'll do anything for them!\Fine. I'll work, too.\I'll help, too.\Thanks, both of you. response:	Wh-What's wrong with you?
context: I couldn't choose between the two of them.\That's why I vowed to make them both happy.\Y-You're...\I'll do anything for them!\Fine. I'll work, too.\I'll help, too.\Thanks, both of you.\Wh-What's wrong with you? response:	You're a two-timer.
context: That's why I vowed to make them both happy.\Y-You're...\I'll do anything for them!\Fine. I'll work, too.\I'll help, too.\Thanks, both of you.\Wh-What's wrong with you?\You're a two-timer. response:	You aren't just a loser?
context: Y-You're...\I'll do anything for them!\Fine. I'll work, too.\I'll help, too.\Thanks, both of you.\Wh-What's wrong with you?\You're a two-timer.\You aren't just a loser? response:	Here. I wrote an IOU.
context: I'll do anything for them!\Fine. I'll work, too.\I'll help, too.\Thanks, both of you.\Wh-What's wrong with you?\You're a two-timer.\You aren't just a loser?\Here. I wrote an IOU. response:	Now that we're going to pay you, you'd better stop following Naoya around.
context: Fine. I'll work, too.\I'll help, too.\Thanks, both of you.\Wh-What's wrong with you?\You're a two-timer.\You aren't just a loser?\Here. I wrote an IOU.\Now that we're going to pay you, you'd better stop following Naoya around. response:	Well..
context: I'll help, too.\Thanks, both of you.\Wh-What's wrong with you?\You're a two-timer.\You aren't just a loser?\Here. I wrote an IOU.\Now that we're going to pay you, you'd better stop following Naoya around.\Well.. response:	Well? What's wrong?
context: Thanks, both of you.\Wh-What's wrong with you?\You're a two-timer.\You aren't just a loser?\Here. I wrote an IOU.\Now that we're going to pay you, you'd better stop following Naoya around.\Well..\Well? What's wrong? response:	Milika-san?
context: Wh-What's wrong with you?\You're a two-timer.\You aren't just a loser?\Here. I wrote an IOU.\Now that we're going to pay you, you'd better stop following Naoya around.\Well..\Well? What's wrong?\Milika-san? response:	I-I...
context: You're a two-timer.\You aren't just a loser?\Here. I wrote an IOU.\Now that we're going to pay you, you'd better stop following Naoya around.\Well..\Well? What's wrong?\Milika-san?\I-I... response:	I don't need this!
context: You aren't just a loser?\Here. I wrote an IOU.\Now that we're going to pay you, you'd better stop following Naoya around.\Well..\Well? What's wrong?\Milika-san?\I-I...\I don't need this! response:	I'm not going home! Ever!
context: Here. I wrote an IOU.\Now that we're going to pay you, you'd better stop following Naoya around.\Well..\Well? What's wrong?\Milika-san?\I-I...\I don't need this!\I'm not going home! Ever! response:	What?!
context: Now that we're going to pay you, you'd better stop following Naoya around.\Well..\Well? What's wrong?\Milika-san?\I-I...\I don't need this!\I'm not going home! Ever!\What?! response:	H-Hey!
context: Well..\Well? What's wrong?\Milika-san?\I-I...\I don't need this!\I'm not going home! Ever!\What?!\H-Hey! response:	What do you mean, you're not going home?
context: Well? What's wrong?\Milika-san?\I-I...\I don't need this!\I'm not going home! Ever!\What?!\H-Hey!\What do you mean, you're not going home? response:	It's not your problem!
context: Milika-san?\I-I...\I don't need this!\I'm not going home! Ever!\What?!\H-Hey!\What do you mean, you're not going home?\It's not your problem! response:	It's a problem for me if you stay at my place.
context: I-I...\I don't need this!\I'm not going home! Ever!\What?!\H-Hey!\What do you mean, you're not going home?\It's not your problem!\It's a problem for me if you stay at my place. response:	Shut up!
context: I don't need this!\I'm not going home! Ever!\What?!\H-Hey!\What do you mean, you're not going home?\It's not your problem!\It's a problem for me if you stay at my place.\Shut up! response:	Y-You're paying me to go home and to stay away from you.
