context: Episode 6 Punch response:	Kakeru-kun.
context: What's the problem?\You can't just do the things that you want to do. That's not how the world works.\I see.\So, what?\We're going to the fireworks, the usual group.\I'm inviting you.\I see,\so you didn't want to invite me, response:	but you didn't have a choice.
context: You can't just do the things that you want to do. That's not how the world works.\I see.\So, what?\We're going to the fireworks, the usual group.\I'm inviting you.\I see,\so you didn't want to invite me,\but you didn't have a choice. response:	Yeah.
context: I see.\So, what?\We're going to the fireworks, the usual group.\I'm inviting you.\I see,\so you didn't want to invite me,\but you didn't have a choice.\Yeah. response:	Then I'll decline.
context: So, what?\We're going to the fireworks, the usual group.\I'm inviting you.\I see,\so you didn't want to invite me,\but you didn't have a choice.\Yeah.\Then I'll decline. response:	No reason to cause a stir.
context: We're going to the fireworks, the usual group.\I'm inviting you.\I see,\so you didn't want to invite me,\but you didn't have a choice.\Yeah.\Then I'll decline.\No reason to cause a stir. response:	You caused a huge stir the moment you arrived.
context: I'm inviting you.\I see,\so you didn't want to invite me,\but you didn't have a choice.\Yeah.\Then I'll decline.\No reason to cause a stir.\You caused a huge stir the moment you arrived. response:	I figured.
context: I see,\so you didn't want to invite me,\but you didn't have a choice.\Yeah.\Then I'll decline.\No reason to cause a stir.\You caused a huge stir the moment you arrived.\I figured. response:	Are you doing it on purpose?
context: so you didn't want to invite me,\but you didn't have a choice.\Yeah.\Then I'll decline.\No reason to cause a stir.\You caused a huge stir the moment you arrived.\I figured.\Are you doing it on purpose? response:	Somewhat.
context: but you didn't have a choice.\Yeah.\Then I'll decline.\No reason to cause a stir.\You caused a huge stir the moment you arrived.\I figured.\Are you doing it on purpose?\Somewhat. response:	Are you enjoying it?
context: Yeah.\Then I'll decline.\No reason to cause a stir.\You caused a huge stir the moment you arrived.\I figured.\Are you doing it on purpose?\Somewhat.\Are you enjoying it? response:	Of course not. It's circumstantial.
context: Then I'll decline.\No reason to cause a stir.\You caused a huge stir the moment you arrived.\I figured.\Are you doing it on purpose?\Somewhat.\Are you enjoying it?\Of course not. It's circumstantial. response:	Just like you, I'm not doing it because I want to.
context: No reason to cause a stir.\You caused a huge stir the moment you arrived.\I figured.\Are you doing it on purpose?\Somewhat.\Are you enjoying it?\Of course not. It's circumstantial.\Just like you, I'm not doing it because I want to. response:	What are you talking about?
context: You caused a huge stir the moment you arrived.\I figured.\Are you doing it on purpose?\Somewhat.\Are you enjoying it?\Of course not. It's circumstantial.\Just like you, I'm not doing it because I want to.\What are you talking about? response:	What's your relationship with Touko?
context: I figured.\Are you doing it on purpose?\Somewhat.\Are you enjoying it?\Of course not. It's circumstantial.\Just like you, I'm not doing it because I want to.\What are you talking about?\What's your relationship with Touko? response:	Haven't you realized how Touko feels?
context: Are you doing it on purpose?\Somewhat.\Are you enjoying it?\Of course not. It's circumstantial.\Just like you, I'm not doing it because I want to.\What are you talking about?\What's your relationship with Touko?\Haven't you realized how Touko feels? response:	I haven't heard anything from Touko.
context: Somewhat.\Are you enjoying it?\Of course not. It's circumstantial.\Just like you, I'm not doing it because I want to.\What are you talking about?\What's your relationship with Touko?\Haven't you realized how Touko feels?\I haven't heard anything from Touko. response:	And I have no reason to tell you.
context: Are you enjoying it?\Of course not. It's circumstantial.\Just like you, I'm not doing it because I want to.\What are you talking about?\What's your relationship with Touko?\Haven't you realized how Touko feels?\I haven't heard anything from Touko.\And I have no reason to tell you. response:	You...
context: Of course not. It's circumstantial.\Just like you, I'm not doing it because I want to.\What are you talking about?\What's your relationship with Touko?\Haven't you realized how Touko feels?\I haven't heard anything from Touko.\And I have no reason to tell you.\You... response:	Hey, wait!
context: Just like you, I'm not doing it because I want to.\What are you talking about?\What's your relationship with Touko?\Haven't you realized how Touko feels?\I haven't heard anything from Touko.\And I have no reason to tell you.\You...\Hey, wait! response:	Did Takayama confess to you?
context: What are you talking about?\What's your relationship with Touko?\Haven't you realized how Touko feels?\I haven't heard anything from Touko.\And I have no reason to tell you.\You...\Hey, wait!\Did Takayama confess to you? response:	You mean to tell me you haven't answered her yet?
context: What's your relationship with Touko?\Haven't you realized how Touko feels?\I haven't heard anything from Touko.\And I have no reason to tell you.\You...\Hey, wait!\Did Takayama confess to you?\You mean to tell me you haven't answered her yet? response:	I think we should skip inviting Kakeru-kun this time!
context: Haven't you realized how Touko feels?\I haven't heard anything from Touko.\And I have no reason to tell you.\You...\Hey, wait!\Did Takayama confess to you?\You mean to tell me you haven't answered her yet?\I think we should skip inviting Kakeru-kun this time! response:	What happened?
context: I haven't heard anything from Touko.\And I have no reason to tell you.\You...\Hey, wait!\Did Takayama confess to you?\You mean to tell me you haven't answered her yet?\I think we should skip inviting Kakeru-kun this time!\What happened? response:	Let's just say it hurt.
context: And I have no reason to tell you.\You...\Hey, wait!\Did Takayama confess to you?\You mean to tell me you haven't answered her yet?\I think we should skip inviting Kakeru-kun this time!\What happened?\Let's just say it hurt. response:	Why did you
context: You...\Hey, wait!\Did Takayama confess to you?\You mean to tell me you haven't answered her yet?\I think we should skip inviting Kakeru-kun this time!\What happened?\Let's just say it hurt.\Why did you response:	No...
context: Hey, wait!\Did Takayama confess to you?\You mean to tell me you haven't answered her yet?\I think we should skip inviting Kakeru-kun this time!\What happened?\Let's just say it hurt.\Why did you\No... response:	No! No way. Was it Yuki-kun?
context: Did Takayama confess to you?\You mean to tell me you haven't answered her yet?\I think we should skip inviting Kakeru-kun this time!\What happened?\Let's just say it hurt.\Why did you\No...\No! No way. Was it Yuki-kun? response:	Yeah.
context: You mean to tell me you haven't answered her yet?\I think we should skip inviting Kakeru-kun this time!\What happened?\Let's just say it hurt.\Why did you\No...\No! No way. Was it Yuki-kun?\Yeah. response:	Oh, no.
context: I think we should skip inviting Kakeru-kun this time!\What happened?\Let's just say it hurt.\Why did you\No...\No! No way. Was it Yuki-kun?\Yeah.\Oh, no. response:	No, I said too much.
context: What happened?\Let's just say it hurt.\Why did you\No...\No! No way. Was it Yuki-kun?\Yeah.\Oh, no.\No, I said too much. response:	It seems Takayama told him how she felt.
context: Let's just say it hurt.\Why did you\No...\No! No way. Was it Yuki-kun?\Yeah.\Oh, no.\No, I said too much.\It seems Takayama told him how she felt. response:	I wonder if I'm being awful to Yuki-kun.
context: Why did you\No...\No! No way. Was it Yuki-kun?\Yeah.\Oh, no.\No, I said too much.\It seems Takayama told him how she felt.\I wonder if I'm being awful to Yuki-kun. response:	I don't know.
context: No...\No! No way. Was it Yuki-kun?\Yeah.\Oh, no.\No, I said too much.\It seems Takayama told him how she felt.\I wonder if I'm being awful to Yuki-kun.\I don't know. response:	Honestly, there are a lot of things I don't understand lately.
context: No! No way. Was it Yuki-kun?\Yeah.\Oh, no.\No, I said too much.\It seems Takayama told him how she felt.\I wonder if I'm being awful to Yuki-kun.\I don't know.\Honestly, there are a lot of things I don't understand lately. response:	We all chipped in.
context: Yeah.\Oh, no.\No, I said too much.\It seems Takayama told him how she felt.\I wonder if I'm being awful to Yuki-kun.\I don't know.\Honestly, there are a lot of things I don't understand lately.\We all chipped in. response:	Fireworks.
context: Oh, no.\No, I said too much.\It seems Takayama told him how she felt.\I wonder if I'm being awful to Yuki-kun.\I don't know.\Honestly, there are a lot of things I don't understand lately.\We all chipped in.\Fireworks. response:	I like those.
context: No, I said too much.\It seems Takayama told him how she felt.\I wonder if I'm being awful to Yuki-kun.\I don't know.\Honestly, there are a lot of things I don't understand lately.\We all chipped in.\Fireworks.\I like those. response:	Good thing I bought a lot.
context: It seems Takayama told him how she felt.\I wonder if I'm being awful to Yuki-kun.\I don't know.\Honestly, there are a lot of things I don't understand lately.\We all chipped in.\Fireworks.\I like those.\Good thing I bought a lot. response:	We set up the festival for you, after all.
context: I wonder if I'm being awful to Yuki-kun.\I don't know.\Honestly, there are a lot of things I don't understand lately.\We all chipped in.\Fireworks.\I like those.\Good thing I bought a lot.\We set up the festival for you, after all. response:	But this...
context: I don't know.\Honestly, there are a lot of things I don't understand lately.\We all chipped in.\Fireworks.\I like those.\Good thing I bought a lot.\We set up the festival for you, after all.\But this... response:	was supposed to be a surprise.
context: Honestly, there are a lot of things I don't understand lately.\We all chipped in.\Fireworks.\I like those.\Good thing I bought a lot.\We set up the festival for you, after all.\But this...\was supposed to be a surprise. response:	I can tell you're being thoughtful.
context: We all chipped in.\Fireworks.\I like those.\Good thing I bought a lot.\We set up the festival for you, after all.\But this...\was supposed to be a surprise.\I can tell you're being thoughtful. response:	What's wrong?
context: Fireworks.\I like those.\Good thing I bought a lot.\We set up the festival for you, after all.\But this...\was supposed to be a surprise.\I can tell you're being thoughtful.\What's wrong? response:	He's not coming to the fireworks.
context: I like those.\Good thing I bought a lot.\We set up the festival for you, after all.\But this...\was supposed to be a surprise.\I can tell you're being thoughtful.\What's wrong?\He's not coming to the fireworks. response:	What happened? Tell me.
context: Good thing I bought a lot.\We set up the festival for you, after all.\But this...\was supposed to be a surprise.\I can tell you're being thoughtful.\What's wrong?\He's not coming to the fireworks.\What happened? Tell me. response:	Nothing.
context: We set up the festival for you, after all.\But this...\was supposed to be a surprise.\I can tell you're being thoughtful.\What's wrong?\He's not coming to the fireworks.\What happened? Tell me.\Nothing. response:	Two guys going after Touko...
context: But this...\was supposed to be a surprise.\I can tell you're being thoughtful.\What's wrong?\He's not coming to the fireworks.\What happened? Tell me.\Nothing.\Two guys going after Touko... response:	What am I?
context: was supposed to be a surprise.\I can tell you're being thoughtful.\What's wrong?\He's not coming to the fireworks.\What happened? Tell me.\Nothing.\Two guys going after Touko...\What am I? response:	Sorry.
context: I can tell you're being thoughtful.\What's wrong?\He's not coming to the fireworks.\What happened? Tell me.\Nothing.\Two guys going after Touko...\What am I?\Sorry. response:	I don't want you to apologize.
context: What's wrong?\He's not coming to the fireworks.\What happened? Tell me.\Nothing.\Two guys going after Touko...\What am I?\Sorry.\I don't want you to apologize. response:	I know we can't just leave things like this.
context: He's not coming to the fireworks.\What happened? Tell me.\Nothing.\Two guys going after Touko...\What am I?\Sorry.\I don't want you to apologize.\I know we can't just leave things like this. response:	I'll figure it out.
context: What happened? Tell me.\Nothing.\Two guys going after Touko...\What am I?\Sorry.\I don't want you to apologize.\I know we can't just leave things like this.\I'll figure it out. response:	Want to come over?
context: Nothing.\Two guys going after Touko...\What am I?\Sorry.\I don't want you to apologize.\I know we can't just leave things like this.\I'll figure it out.\Want to come over? response:	My father's home.
context: Two guys going after Touko...\What am I?\Sorry.\I don't want you to apologize.\I know we can't just leave things like this.\I'll figure it out.\Want to come over?\My father's home. response:	Sure.
context: What am I?\Sorry.\I don't want you to apologize.\I know we can't just leave things like this.\I'll figure it out.\Want to come over?\My father's home.\Sure. response:	These are all my CDs.
context: Sorry.\I don't want you to apologize.\I know we can't just leave things like this.\I'll figure it out.\Want to come over?\My father's home.\Sure.\These are all my CDs. response:	I guess. I'm a fan.
context: I don't want you to apologize.\I know we can't just leave things like this.\I'll figure it out.\Want to come over?\My father's home.\Sure.\These are all my CDs.\I guess. I'm a fan. response:	What's wrong?
context: I know we can't just leave things like this.\I'll figure it out.\Want to come over?\My father's home.\Sure.\These are all my CDs.\I guess. I'm a fan.\What's wrong? response:	It's my mother.
context: I'll figure it out.\Want to come over?\My father's home.\Sure.\These are all my CDs.\I guess. I'm a fan.\What's wrong?\It's my mother. response:	I'll head home for today.
context: Want to come over?\My father's home.\Sure.\These are all my CDs.\I guess. I'm a fan.\What's wrong?\It's my mother.\I'll head home for today. response:	Touko.
context: My father's home.\Sure.\These are all my CDs.\I guess. I'm a fan.\What's wrong?\It's my mother.\I'll head home for today.\Touko. response:	Have I found it?
context: Sure.\These are all my CDs.\I guess. I'm a fan.\What's wrong?\It's my mother.\I'll head home for today.\Touko.\Have I found it? response:	Your mom is that pianist
context: These are all my CDs.\I guess. I'm a fan.\What's wrong?\It's my mother.\I'll head home for today.\Touko.\Have I found it?\Your mom is that pianist response:	Where are we going?
context: I guess. I'm a fan.\What's wrong?\It's my mother.\I'll head home for today.\Touko.\Have I found it?\Your mom is that pianist\Where are we going? response:	I feel calmer when I'm here.
context: What's wrong?\It's my mother.\I'll head home for today.\Touko.\Have I found it?\Your mom is that pianist\Where are we going?\I feel calmer when I'm here. response:	I know what you mean.
context: It's my mother.\I'll head home for today.\Touko.\Have I found it?\Your mom is that pianist\Where are we going?\I feel calmer when I'm here.\I know what you mean. response:	What's your mother like?
context: I'll head home for today.\Touko.\Have I found it?\Your mom is that pianist\Where are we going?\I feel calmer when I'm here.\I know what you mean.\What's your mother like? response:	Well...
context: Touko.\Have I found it?\Your mom is that pianist\Where are we going?\I feel calmer when I'm here.\I know what you mean.\What's your mother like?\Well... response:	I guess she's someone who doesn't stay in one place.
context: Have I found it?\Your mom is that pianist\Where are we going?\I feel calmer when I'm here.\I know what you mean.\What's your mother like?\Well...\I guess she's someone who doesn't stay in one place. response:	I don't know if it's because of her work or because of her personality.
context: Your mom is that pianist\Where are we going?\I feel calmer when I'm here.\I know what you mean.\What's your mother like?\Well...\I guess she's someone who doesn't stay in one place.\I don't know if it's because of her work or because of her personality. response:	She must be an active person.
context: Where are we going?\I feel calmer when I'm here.\I know what you mean.\What's your mother like?\Well...\I guess she's someone who doesn't stay in one place.\I don't know if it's because of her work or because of her personality.\She must be an active person. response:	When I was young,
context: I feel calmer when I'm here.\I know what you mean.\What's your mother like?\Well...\I guess she's someone who doesn't stay in one place.\I don't know if it's because of her work or because of her personality.\She must be an active person.\When I was young, response:	it always looked like she was doing the right thing no matter what.
context: I know what you mean.\What's your mother like?\Well...\I guess she's someone who doesn't stay in one place.\I don't know if it's because of her work or because of her personality.\She must be an active person.\When I was young,\it always looked like she was doing the right thing no matter what. response:	I suppose that makes me a mama's boy.
context: What's your mother like?\Well...\I guess she's someone who doesn't stay in one place.\I don't know if it's because of her work or because of her personality.\She must be an active person.\When I was young,\it always looked like she was doing the right thing no matter what.\I suppose that makes me a mama's boy. response:	No way.
context: Well...\I guess she's someone who doesn't stay in one place.\I don't know if it's because of her work or because of her personality.\She must be an active person.\When I was young,\it always looked like she was doing the right thing no matter what.\I suppose that makes me a mama's boy.\No way. response:	Sometimes I feel that way, too.
context: I guess she's someone who doesn't stay in one place.\I don't know if it's because of her work or because of her personality.\She must be an active person.\When I was young,\it always looked like she was doing the right thing no matter what.\I suppose that makes me a mama's boy.\No way.\Sometimes I feel that way, too. response:	I called you twice already.
context: I don't know if it's because of her work or because of her personality.\She must be an active person.\When I was young,\it always looked like she was doing the right thing no matter what.\I suppose that makes me a mama's boy.\No way.\Sometimes I feel that way, too.\I called you twice already. response:	Will you tell me what you were calling me about now?
context: She must be an active person.\When I was young,\it always looked like she was doing the right thing no matter what.\I suppose that makes me a mama's boy.\No way.\Sometimes I feel that way, too.\I called you twice already.\Will you tell me what you were calling me about now? response:	Sorry we couldn't talk either time.
context: When I was young,\it always looked like she was doing the right thing no matter what.\I suppose that makes me a mama's boy.\No way.\Sometimes I feel that way, too.\I called you twice already.\Will you tell me what you were calling me about now?\Sorry we couldn't talk either time. response:	Sacchan's being hospitalized.
context: it always looked like she was doing the right thing no matter what.\I suppose that makes me a mama's boy.\No way.\Sometimes I feel that way, too.\I called you twice already.\Will you tell me what you were calling me about now?\Sorry we couldn't talk either time.\Sacchan's being hospitalized. response:	She says it'll be fine, because it's just for tests.
context: I suppose that makes me a mama's boy.\No way.\Sometimes I feel that way, too.\I called you twice already.\Will you tell me what you were calling me about now?\Sorry we couldn't talk either time.\Sacchan's being hospitalized.\She says it'll be fine, because it's just for tests. response:	But I've seen her future, in the hospital.
context: No way.\Sometimes I feel that way, too.\I called you twice already.\Will you tell me what you were calling me about now?\Sorry we couldn't talk either time.\Sacchan's being hospitalized.\She says it'll be fine, because it's just for tests.\But I've seen her future, in the hospital. response:	You're worried.
context: Sometimes I feel that way, too.\I called you twice already.\Will you tell me what you were calling me about now?\Sorry we couldn't talk either time.\Sacchan's being hospitalized.\She says it'll be fine, because it's just for tests.\But I've seen her future, in the hospital.\You're worried. response:	Yeah.
context: I called you twice already.\Will you tell me what you were calling me about now?\Sorry we couldn't talk either time.\Sacchan's being hospitalized.\She says it'll be fine, because it's just for tests.\But I've seen her future, in the hospital.\You're worried.\Yeah. response:	Sorry.
context: Will you tell me what you were calling me about now?\Sorry we couldn't talk either time.\Sacchan's being hospitalized.\She says it'll be fine, because it's just for tests.\But I've seen her future, in the hospital.\You're worried.\Yeah.\Sorry. response:	Hello, Yuki-kun?
context: Sorry we couldn't talk either time.\Sacchan's being hospitalized.\She says it'll be fine, because it's just for tests.\But I've seen her future, in the hospital.\You're worried.\Yeah.\Sorry.\Hello, Yuki-kun? response:	Touko,
context: Sacchan's being hospitalized.\She says it'll be fine, because it's just for tests.\But I've seen her future, in the hospital.\You're worried.\Yeah.\Sorry.\Hello, Yuki-kun?\Touko, response:	sorry, there's something I need to talk to you about.
context: She says it'll be fine, because it's just for tests.\But I've seen her future, in the hospital.\You're worried.\Yeah.\Sorry.\Hello, Yuki-kun?\Touko,\sorry, there's something I need to talk to you about. response:	About you punching Okikura-kun, right?
context: But I've seen her future, in the hospital.\You're worried.\Yeah.\Sorry.\Hello, Yuki-kun?\Touko,\sorry, there's something I need to talk to you about.\About you punching Okikura-kun, right? response:	You met up with him?
context: You're worried.\Yeah.\Sorry.\Hello, Yuki-kun?\Touko,\sorry, there's something I need to talk to you about.\About you punching Okikura-kun, right?\You met up with him? response:	I'm with him now.
context: Yeah.\Sorry.\Hello, Yuki-kun?\Touko,\sorry, there's something I need to talk to you about.\About you punching Okikura-kun, right?\You met up with him?\I'm with him now. response:	Come to the school yard. Let's settle this.
context: Sorry.\Hello, Yuki-kun?\Touko,\sorry, there's something I need to talk to you about.\About you punching Okikura-kun, right?\You met up with him?\I'm with him now.\Come to the school yard. Let's settle this. response:	You're on my side, right, Touko?
context: Hello, Yuki-kun?\Touko,\sorry, there's something I need to talk to you about.\About you punching Okikura-kun, right?\You met up with him?\I'm with him now.\Come to the school yard. Let's settle this.\You're on my side, right, Touko? response:	Yana-chan, stop them!
context: Touko,\sorry, there's something I need to talk to you about.\About you punching Okikura-kun, right?\You met up with him?\I'm with him now.\Come to the school yard. Let's settle this.\You're on my side, right, Touko?\Yana-chan, stop them! response:	It'll get really bad if they meet!
context: sorry, there's something I need to talk to you about.\About you punching Okikura-kun, right?\You met up with him?\I'm with him now.\Come to the school yard. Let's settle this.\You're on my side, right, Touko?\Yana-chan, stop them!\It'll get really bad if they meet! response:	I apologize for punching you.
context: About you punching Okikura-kun, right?\You met up with him?\I'm with him now.\Come to the school yard. Let's settle this.\You're on my side, right, Touko?\Yana-chan, stop them!\It'll get really bad if they meet!\I apologize for punching you. response:	My bad.
context: You met up with him?\I'm with him now.\Come to the school yard. Let's settle this.\You're on my side, right, Touko?\Yana-chan, stop them!\It'll get really bad if they meet!\I apologize for punching you.\My bad. response:	Yana-chan.
context: I'm with him now.\Come to the school yard. Let's settle this.\You're on my side, right, Touko?\Yana-chan, stop them!\It'll get really bad if they meet!\I apologize for punching you.\My bad.\Yana-chan. response:	If you really think so,
context: Come to the school yard. Let's settle this.\You're on my side, right, Touko?\Yana-chan, stop them!\It'll get really bad if they meet!\I apologize for punching you.\My bad.\Yana-chan.\If you really think so, response:	let's have a race.
context: You're on my side, right, Touko?\Yana-chan, stop them!\It'll get really bad if they meet!\I apologize for punching you.\My bad.\Yana-chan.\If you really think so,\let's have a race. response:	We have a perfect field here.
context: Yana-chan, stop them!\It'll get really bad if they meet!\I apologize for punching you.\My bad.\Yana-chan.\If you really think so,\let's have a race.\We have a perfect field here. response:	Run?
context: It'll get really bad if they meet!\I apologize for punching you.\My bad.\Yana-chan.\If you really think so,\let's have a race.\We have a perfect field here.\Run? response:	You? Against me?
context: I apologize for punching you.\My bad.\Yana-chan.\If you really think so,\let's have a race.\We have a perfect field here.\Run?\You? Against me? response:	Running is about the only thing you can take seriously, is it not?
context: My bad.\Yana-chan.\If you really think so,\let's have a race.\We have a perfect field here.\Run?\You? Against me?\Running is about the only thing you can take seriously, is it not? response:	If you win, I'll never see Touko again.
context: Yana-chan.\If you really think so,\let's have a race.\We have a perfect field here.\Run?\You? Against me?\Running is about the only thing you can take seriously, is it not?\If you win, I'll never see Touko again. response:	If I win, Touko is mine.
context: If you really think so,\let's have a race.\We have a perfect field here.\Run?\You? Against me?\Running is about the only thing you can take seriously, is it not?\If you win, I'll never see Touko again.\If I win, Touko is mine. response:	You have Takayama.
context: let's have a race.\We have a perfect field here.\Run?\You? Against me?\Running is about the only thing you can take seriously, is it not?\If you win, I'll never see Touko again.\If I win, Touko is mine.\You have Takayama. response:	I don't mind if you lose on purpose.
context: We have a perfect field here.\Run?\You? Against me?\Running is about the only thing you can take seriously, is it not?\If you win, I'll never see Touko again.\If I win, Touko is mine.\You have Takayama.\I don't mind if you lose on purpose. response:	You don't even intend to run, do you?
context: Run?\You? Against me?\Running is about the only thing you can take seriously, is it not?\If you win, I'll never see Touko again.\If I win, Touko is mine.\You have Takayama.\I don't mind if you lose on purpose.\You don't even intend to run, do you? response:	I don't know what you're after,
context: You? Against me?\Running is about the only thing you can take seriously, is it not?\If you win, I'll never see Touko again.\If I win, Touko is mine.\You have Takayama.\I don't mind if you lose on purpose.\You don't even intend to run, do you?\I don't know what you're after, response:	but you're the worst for what you chose to do!
context: Running is about the only thing you can take seriously, is it not?\If you win, I'll never see Touko again.\If I win, Touko is mine.\You have Takayama.\I don't mind if you lose on purpose.\You don't even intend to run, do you?\I don't know what you're after,\but you're the worst for what you chose to do! response:	Let's go.
context: If you win, I'll never see Touko again.\If I win, Touko is mine.\You have Takayama.\I don't mind if you lose on purpose.\You don't even intend to run, do you?\I don't know what you're after,\but you're the worst for what you chose to do!\Let's go. response:	Let them go!
context: If I win, Touko is mine.\You have Takayama.\I don't mind if you lose on purpose.\You don't even intend to run, do you?\I don't know what you're after,\but you're the worst for what you chose to do!\Let's go.\Let them go! response:	Fireworks festival postponed?
context: You have Takayama.\I don't mind if you lose on purpose.\You don't even intend to run, do you?\I don't know what you're after,\but you're the worst for what you chose to do!\Let's go.\Let them go!\Fireworks festival postponed? response:	Maybe David-kun couldn't make it.
context: I don't mind if you lose on purpose.\You don't even intend to run, do you?\I don't know what you're after,\but you're the worst for what you chose to do!\Let's go.\Let them go!\Fireworks festival postponed?\Maybe David-kun couldn't make it. response:	How about just a mini-fireworks festival?
context: You don't even intend to run, do you?\I don't know what you're after,\but you're the worst for what you chose to do!\Let's go.\Let them go!\Fireworks festival postponed?\Maybe David-kun couldn't make it.\How about just a mini-fireworks festival? response:	Is it true what Yana-chan said?
context: I don't know what you're after,\but you're the worst for what you chose to do!\Let's go.\Let them go!\Fireworks festival postponed?\Maybe David-kun couldn't make it.\How about just a mini-fireworks festival?\Is it true what Yana-chan said? response:	Yeah, I never intended to run.
context: but you're the worst for what you chose to do!\Let's go.\Let them go!\Fireworks festival postponed?\Maybe David-kun couldn't make it.\How about just a mini-fireworks festival?\Is it true what Yana-chan said?\Yeah, I never intended to run. response:	There's no way I could have won.
context: Let's go.\Let them go!\Fireworks festival postponed?\Maybe David-kun couldn't make it.\How about just a mini-fireworks festival?\Is it true what Yana-chan said?\Yeah, I never intended to run.\There's no way I could have won. response:	Then why?
context: Let them go!\Fireworks festival postponed?\Maybe David-kun couldn't make it.\How about just a mini-fireworks festival?\Is it true what Yana-chan said?\Yeah, I never intended to run.\There's no way I could have won.\Then why? response:	What was I thinking, starting a fist fight?
context: Fireworks festival postponed?\Maybe David-kun couldn't make it.\How about just a mini-fireworks festival?\Is it true what Yana-chan said?\Yeah, I never intended to run.\There's no way I could have won.\Then why?\What was I thinking, starting a fist fight? response:	I don't know.
context: Maybe David-kun couldn't make it.\How about just a mini-fireworks festival?\Is it true what Yana-chan said?\Yeah, I never intended to run.\There's no way I could have won.\Then why?\What was I thinking, starting a fist fight?\I don't know. response:	That's awful.
context: How about just a mini-fireworks festival?\Is it true what Yana-chan said?\Yeah, I never intended to run.\There's no way I could have won.\Then why?\What was I thinking, starting a fist fight?\I don't know.\That's awful. response:	That doesn't explain anything.
context: Is it true what Yana-chan said?\Yeah, I never intended to run.\There's no way I could have won.\Then why?\What was I thinking, starting a fist fight?\I don't know.\That's awful.\That doesn't explain anything. response:	It doesn't.
context: Yeah, I never intended to run.\There's no way I could have won.\Then why?\What was I thinking, starting a fist fight?\I don't know.\That's awful.\That doesn't explain anything.\It doesn't. response:	Maybe I just wanted you to say
context: There's no way I could have won.\Then why?\What was I thinking, starting a fist fight?\I don't know.\That's awful.\That doesn't explain anything.\It doesn't.\Maybe I just wanted you to say response:	that you're on my side.
context: Then why?\What was I thinking, starting a fist fight?\I don't know.\That's awful.\That doesn't explain anything.\It doesn't.\Maybe I just wanted you to say\that you're on my side. response:	What are the future fragments to you, Touko?
context: What was I thinking, starting a fist fight?\I don't know.\That's awful.\That doesn't explain anything.\It doesn't.\Maybe I just wanted you to say\that you're on my side.\What are the future fragments to you, Touko? response:	Preparation so I can enjoy things twice?
context: I don't know.\That's awful.\That doesn't explain anything.\It doesn't.\Maybe I just wanted you to say\that you're on my side.\What are the future fragments to you, Touko?\Preparation so I can enjoy things twice? response:	You sure are interesting.
context: That's awful.\That doesn't explain anything.\It doesn't.\Maybe I just wanted you to say\that you're on my side.\What are the future fragments to you, Touko?\Preparation so I can enjoy things twice?\You sure are interesting. response:	I called them fragments of the future because
context: That doesn't explain anything.\It doesn't.\Maybe I just wanted you to say\that you're on my side.\What are the future fragments to you, Touko?\Preparation so I can enjoy things twice?\You sure are interesting.\I called them fragments of the future because response:	they seemed like pieces of me that were missing.
context: It doesn't.\Maybe I just wanted you to say\that you're on my side.\What are the future fragments to you, Touko?\Preparation so I can enjoy things twice?\You sure are interesting.\I called them fragments of the future because\they seemed like pieces of me that were missing. response:	Pieces that I need
context: Maybe I just wanted you to say\that you're on my side.\What are the future fragments to you, Touko?\Preparation so I can enjoy things twice?\You sure are interesting.\I called them fragments of the future because\they seemed like pieces of me that were missing.\Pieces that I need response:	to make my fractured self solid and whole.
context: that you're on my side.\What are the future fragments to you, Touko?\Preparation so I can enjoy things twice?\You sure are interesting.\I called them fragments of the future because\they seemed like pieces of me that were missing.\Pieces that I need\to make my fractured self solid and whole. response:	But those pieces were
context: What are the future fragments to you, Touko?\Preparation so I can enjoy things twice?\You sure are interesting.\I called them fragments of the future because\they seemed like pieces of me that were missing.\Pieces that I need\to make my fractured self solid and whole.\But those pieces were response:	just weak sounds or voices.
context: Preparation so I can enjoy things twice?\You sure are interesting.\I called them fragments of the future because\they seemed like pieces of me that were missing.\Pieces that I need\to make my fractured self solid and whole.\But those pieces were\just weak sounds or voices. response:	Nothing more.
context: You sure are interesting.\I called them fragments of the future because\they seemed like pieces of me that were missing.\Pieces that I need\to make my fractured self solid and whole.\But those pieces were\just weak sounds or voices.\Nothing more. response:	Until I met you.
context: I called them fragments of the future because\they seemed like pieces of me that were missing.\Pieces that I need\to make my fractured self solid and whole.\But those pieces were\just weak sounds or voices.\Nothing more.\Until I met you. response:	I'm slowly starting to understand.
context: they seemed like pieces of me that were missing.\Pieces that I need\to make my fractured self solid and whole.\But those pieces were\just weak sounds or voices.\Nothing more.\Until I met you.\I'm slowly starting to understand. response:	What I want
context: Pieces that I need\to make my fractured self solid and whole.\But those pieces were\just weak sounds or voices.\Nothing more.\Until I met you.\I'm slowly starting to understand.\What I want response:	isn't those mysterious pieces.
context: to make my fractured self solid and whole.\But those pieces were\just weak sounds or voices.\Nothing more.\Until I met you.\I'm slowly starting to understand.\What I want\isn't those mysterious pieces. response:	It must be something clearer,
context: But those pieces were\just weak sounds or voices.\Nothing more.\Until I met you.\I'm slowly starting to understand.\What I want\isn't those mysterious pieces.\It must be something clearer, response:	more tangible.
