context: Board: Home Run response:	Pre! Preparation!
context: Kanou-san...\Sensei, you're wasting your time on that idiot.\Wait...\Kanou-senpai, aren't you getting colder and colder?\I bet that you're the reason why Yuusaku has gone bad.\Hey, Kawashima...\Perhaps you're correct.\Huh? response:	But if that's the case, I'll be even more disappointed in him.
context: Sensei, you're wasting your time on that idiot.\Wait...\Kanou-senpai, aren't you getting colder and colder?\I bet that you're the reason why Yuusaku has gone bad.\Hey, Kawashima...\Perhaps you're correct.\Huh?\But if that's the case, I'll be even more disappointed in him. response:	Ami-chan, have you found out why Maruo is like that?
context: Wait...\Kanou-senpai, aren't you getting colder and colder?\I bet that you're the reason why Yuusaku has gone bad.\Hey, Kawashima...\Perhaps you're correct.\Huh?\But if that's the case, I'll be even more disappointed in him.\Ami-chan, have you found out why Maruo is like that? response:	Nope, but I think the student council president knows.
context: Kanou-senpai, aren't you getting colder and colder?\I bet that you're the reason why Yuusaku has gone bad.\Hey, Kawashima...\Perhaps you're correct.\Huh?\But if that's the case, I'll be even more disappointed in him.\Ami-chan, have you found out why Maruo is like that?\Nope, but I think the student council president knows. response:	You mean Kanou-senpai?
context: I bet that you're the reason why Yuusaku has gone bad.\Hey, Kawashima...\Perhaps you're correct.\Huh?\But if that's the case, I'll be even more disappointed in him.\Ami-chan, have you found out why Maruo is like that?\Nope, but I think the student council president knows.\You mean Kanou-senpai? response:	Taiga?
context: Hey, Kawashima...\Perhaps you're correct.\Huh?\But if that's the case, I'll be even more disappointed in him.\Ami-chan, have you found out why Maruo is like that?\Nope, but I think the student council president knows.\You mean Kanou-senpai?\Taiga? response:	Get in!
context: Perhaps you're correct.\Huh?\But if that's the case, I'll be even more disappointed in him.\Ami-chan, have you found out why Maruo is like that?\Nope, but I think the student council president knows.\You mean Kanou-senpai?\Taiga?\Get in! response:	I've brought the mastermind here!
context: Huh?\But if that's the case, I'll be even more disappointed in him.\Ami-chan, have you found out why Maruo is like that?\Nope, but I think the student council president knows.\You mean Kanou-senpai?\Taiga?\Get in!\I've brought the mastermind here! response:	T-Taka-chan, save me!
context: But if that's the case, I'll be even more disappointed in him.\Ami-chan, have you found out why Maruo is like that?\Nope, but I think the student council president knows.\You mean Kanou-senpai?\Taiga?\Get in!\I've brought the mastermind here!\T-Taka-chan, save me! response:	Kushieda is horrible!
context: Ami-chan, have you found out why Maruo is like that?\Nope, but I think the student council president knows.\You mean Kanou-senpai?\Taiga?\Get in!\I've brought the mastermind here!\T-Taka-chan, save me!\Kushieda is horrible! response:	What did you do?
context: Nope, but I think the student council president knows.\You mean Kanou-senpai?\Taiga?\Get in!\I've brought the mastermind here!\T-Taka-chan, save me!\Kushieda is horrible!\What did you do? response:	I didn't do anything...
context: You mean Kanou-senpai?\Taiga?\Get in!\I've brought the mastermind here!\T-Taka-chan, save me!\Kushieda is horrible!\What did you do?\I didn't do anything... response:	Last night, Kitamura called me and asked me how to dye his hair blonde,
context: Taiga?\Get in!\I've brought the mastermind here!\T-Taka-chan, save me!\Kushieda is horrible!\What did you do?\I didn't do anything...\Last night, Kitamura called me and asked me how to dye his hair blonde, response:	so I told him how...
context: Get in!\I've brought the mastermind here!\T-Taka-chan, save me!\Kushieda is horrible!\What did you do?\I didn't do anything...\Last night, Kitamura called me and asked me how to dye his hair blonde,\so I told him how... response:	You saw what Kitamura-kun was like yesterday, right?!
context: I've brought the mastermind here!\T-Taka-chan, save me!\Kushieda is horrible!\What did you do?\I didn't do anything...\Last night, Kitamura called me and asked me how to dye his hair blonde,\so I told him how...\You saw what Kitamura-kun was like yesterday, right?! response:	Didn't you question why he was asking you that?
context: T-Taka-chan, save me!\Kushieda is horrible!\What did you do?\I didn't do anything...\Last night, Kitamura called me and asked me how to dye his hair blonde,\so I told him how...\You saw what Kitamura-kun was like yesterday, right?!\Didn't you question why he was asking you that? response:	But I never thought he'd really do it...
context: Kushieda is horrible!\What did you do?\I didn't do anything...\Last night, Kitamura called me and asked me how to dye his hair blonde,\so I told him how...\You saw what Kitamura-kun was like yesterday, right?!\Didn't you question why he was asking you that?\But I never thought he'd really do it... response:	Is Maruo really quitting the student council?
context: What did you do?\I didn't do anything...\Last night, Kitamura called me and asked me how to dye his hair blonde,\so I told him how...\You saw what Kitamura-kun was like yesterday, right?!\Didn't you question why he was asking you that?\But I never thought he'd really do it...\Is Maruo really quitting the student council? response:	Hey, Ami-chan...
context: I didn't do anything...\Last night, Kitamura called me and asked me how to dye his hair blonde,\so I told him how...\You saw what Kitamura-kun was like yesterday, right?!\Didn't you question why he was asking you that?\But I never thought he'd really do it...\Is Maruo really quitting the student council?\Hey, Ami-chan... response:	Let's try and do something for Maruo's sake.
context: Last night, Kitamura called me and asked me how to dye his hair blonde,\so I told him how...\You saw what Kitamura-kun was like yesterday, right?!\Didn't you question why he was asking you that?\But I never thought he'd really do it...\Is Maruo really quitting the student council?\Hey, Ami-chan...\Let's try and do something for Maruo's sake. response:	That self-proclaimed honour student is doing this to get people's attention.
context: so I told him how...\You saw what Kitamura-kun was like yesterday, right?!\Didn't you question why he was asking you that?\But I never thought he'd really do it...\Is Maruo really quitting the student council?\Hey, Ami-chan...\Let's try and do something for Maruo's sake.\That self-proclaimed honour student is doing this to get people's attention. response:	He's probably trying to say, Has anyone noticed that I'm deeply troubled?
context: You saw what Kitamura-kun was like yesterday, right?!\Didn't you question why he was asking you that?\But I never thought he'd really do it...\Is Maruo really quitting the student council?\Hey, Ami-chan...\Let's try and do something for Maruo's sake.\That self-proclaimed honour student is doing this to get people's attention.\He's probably trying to say, Has anyone noticed that I'm deeply troubled? response:	He's a junior,
context: Didn't you question why he was asking you that?\But I never thought he'd really do it...\Is Maruo really quitting the student council?\Hey, Ami-chan...\Let's try and do something for Maruo's sake.\That self-proclaimed honour student is doing this to get people's attention.\He's probably trying to say, Has anyone noticed that I'm deeply troubled?\He's a junior, response:	and yet he dyes his hair blonde to show people that he's gone bad. How lame -
context: But I never thought he'd really do it...\Is Maruo really quitting the student council?\Hey, Ami-chan...\Let's try and do something for Maruo's sake.\That self-proclaimed honour student is doing this to get people's attention.\He's probably trying to say, Has anyone noticed that I'm deeply troubled?\He's a junior,\and yet he dyes his hair blonde to show people that he's gone bad. How lame - response:	Stupid Chi'!
context: Is Maruo really quitting the student council?\Hey, Ami-chan...\Let's try and do something for Maruo's sake.\That self-proclaimed honour student is doing this to get people's attention.\He's probably trying to say, Has anyone noticed that I'm deeply troubled?\He's a junior,\and yet he dyes his hair blonde to show people that he's gone bad. How lame -\Stupid Chi'! response:	Don't tell me you're not worried about Kitamura-kun.
context: Hey, Ami-chan...\Let's try and do something for Maruo's sake.\That self-proclaimed honour student is doing this to get people's attention.\He's probably trying to say, Has anyone noticed that I'm deeply troubled?\He's a junior,\and yet he dyes his hair blonde to show people that he's gone bad. How lame -\Stupid Chi'!\Don't tell me you're not worried about Kitamura-kun. response:	What use is there to worry about him?
context: Let's try and do something for Maruo's sake.\That self-proclaimed honour student is doing this to get people's attention.\He's probably trying to say, Has anyone noticed that I'm deeply troubled?\He's a junior,\and yet he dyes his hair blonde to show people that he's gone bad. How lame -\Stupid Chi'!\Don't tell me you're not worried about Kitamura-kun.\What use is there to worry about him? response:	It'll just make us look like idiots.
context: That self-proclaimed honour student is doing this to get people's attention.\He's probably trying to say, Has anyone noticed that I'm deeply troubled?\He's a junior,\and yet he dyes his hair blonde to show people that he's gone bad. How lame -\Stupid Chi'!\Don't tell me you're not worried about Kitamura-kun.\What use is there to worry about him?\It'll just make us look like idiots. response:	What?!
context: He's probably trying to say, Has anyone noticed that I'm deeply troubled?\He's a junior,\and yet he dyes his hair blonde to show people that he's gone bad. How lame -\Stupid Chi'!\Don't tell me you're not worried about Kitamura-kun.\What use is there to worry about him?\It'll just make us look like idiots.\What?! response:	Both of you, cut it out.
context: He's a junior,\and yet he dyes his hair blonde to show people that he's gone bad. How lame -\Stupid Chi'!\Don't tell me you're not worried about Kitamura-kun.\What use is there to worry about him?\It'll just make us look like idiots.\What?!\Both of you, cut it out. response:	Hey, isn't that Kitamura?
context: and yet he dyes his hair blonde to show people that he's gone bad. How lame -\Stupid Chi'!\Don't tell me you're not worried about Kitamura-kun.\What use is there to worry about him?\It'll just make us look like idiots.\What?!\Both of you, cut it out.\Hey, isn't that Kitamura? response:	Where? Where?
context: Stupid Chi'!\Don't tell me you're not worried about Kitamura-kun.\What use is there to worry about him?\It'll just make us look like idiots.\What?!\Both of you, cut it out.\Hey, isn't that Kitamura?\Where? Where? response:	Calm down, Kitamura-kun!
context: Don't tell me you're not worried about Kitamura-kun.\What use is there to worry about him?\It'll just make us look like idiots.\What?!\Both of you, cut it out.\Hey, isn't that Kitamura?\Where? Where?\Calm down, Kitamura-kun! response:	I said I'm going home.
context: What use is there to worry about him?\It'll just make us look like idiots.\What?!\Both of you, cut it out.\Hey, isn't that Kitamura?\Where? Where?\Calm down, Kitamura-kun!\I said I'm going home. response:	Kitamura-kun!
context: It'll just make us look like idiots.\What?!\Both of you, cut it out.\Hey, isn't that Kitamura?\Where? Where?\Calm down, Kitamura-kun!\I said I'm going home.\Kitamura-kun! response:	Wait!
context: What?!\Both of you, cut it out.\Hey, isn't that Kitamura?\Where? Where?\Calm down, Kitamura-kun!\I said I'm going home.\Kitamura-kun!\Wait! response:	Kitamura-kun...
context: Both of you, cut it out.\Hey, isn't that Kitamura?\Where? Where?\Calm down, Kitamura-kun!\I said I'm going home.\Kitamura-kun!\Wait!\Kitamura-kun... response:	People who think someone is bound to help them if they shout loudly are very lucky.
context: Hey, isn't that Kitamura?\Where? Where?\Calm down, Kitamura-kun!\I said I'm going home.\Kitamura-kun!\Wait!\Kitamura-kun...\People who think someone is bound to help them if they shout loudly are very lucky. response:	All right, everyone.
context: Where? Where?\Calm down, Kitamura-kun!\I said I'm going home.\Kitamura-kun!\Wait!\Kitamura-kun...\People who think someone is bound to help them if they shout loudly are very lucky.\All right, everyone. response:	Class is about to begin.
context: Calm down, Kitamura-kun!\I said I'm going home.\Kitamura-kun!\Wait!\Kitamura-kun...\People who think someone is bound to help them if they shout loudly are very lucky.\All right, everyone.\Class is about to begin. response:	I was thinking that we should visit Kitamura's house.
context: I said I'm going home.\Kitamura-kun!\Wait!\Kitamura-kun...\People who think someone is bound to help them if they shout loudly are very lucky.\All right, everyone.\Class is about to begin.\I was thinking that we should visit Kitamura's house. response:	Huh?
context: Kitamura-kun!\Wait!\Kitamura-kun...\People who think someone is bound to help them if they shout loudly are very lucky.\All right, everyone.\Class is about to begin.\I was thinking that we should visit Kitamura's house.\Huh? response:	I don't have club activities or work today, and I'm worried about him.
context: Wait!\Kitamura-kun...\People who think someone is bound to help them if they shout loudly are very lucky.\All right, everyone.\Class is about to begin.\I was thinking that we should visit Kitamura's house.\Huh?\I don't have club activities or work today, and I'm worried about him. response:	What do you think, Taiga?
context: Kitamura-kun...\People who think someone is bound to help them if they shout loudly are very lucky.\All right, everyone.\Class is about to begin.\I was thinking that we should visit Kitamura's house.\Huh?\I don't have club activities or work today, and I'm worried about him.\What do you think, Taiga? response:	Never mind, I think it'll be easier to talk to him with less people.
context: People who think someone is bound to help them if they shout loudly are very lucky.\All right, everyone.\Class is about to begin.\I was thinking that we should visit Kitamura's house.\Huh?\I don't have club activities or work today, and I'm worried about him.\What do you think, Taiga?\Never mind, I think it'll be easier to talk to him with less people. response:	I see.
context: All right, everyone.\Class is about to begin.\I was thinking that we should visit Kitamura's house.\Huh?\I don't have club activities or work today, and I'm worried about him.\What do you think, Taiga?\Never mind, I think it'll be easier to talk to him with less people.\I see. response:	Then, Takasu-kun, wait for me at the gates.
context: Class is about to begin.\I was thinking that we should visit Kitamura's house.\Huh?\I don't have club activities or work today, and I'm worried about him.\What do you think, Taiga?\Never mind, I think it'll be easier to talk to him with less people.\I see.\Then, Takasu-kun, wait for me at the gates. response:	I'll be back after going to the club activity room.
context: I was thinking that we should visit Kitamura's house.\Huh?\I don't have club activities or work today, and I'm worried about him.\What do you think, Taiga?\Never mind, I think it'll be easier to talk to him with less people.\I see.\Then, Takasu-kun, wait for me at the gates.\I'll be back after going to the club activity room. response:	S-Sure...
context: Huh?\I don't have club activities or work today, and I'm worried about him.\What do you think, Taiga?\Never mind, I think it'll be easier to talk to him with less people.\I see.\Then, Takasu-kun, wait for me at the gates.\I'll be back after going to the club activity room.\S-Sure... response:	Are you fine with it?
context: I don't have club activities or work today, and I'm worried about him.\What do you think, Taiga?\Never mind, I think it'll be easier to talk to him with less people.\I see.\Then, Takasu-kun, wait for me at the gates.\I'll be back after going to the club activity room.\S-Sure...\Are you fine with it? response:	Although I'm really worried about him, I'm no help at all.
context: What do you think, Taiga?\Never mind, I think it'll be easier to talk to him with less people.\I see.\Then, Takasu-kun, wait for me at the gates.\I'll be back after going to the club activity room.\S-Sure...\Are you fine with it?\Although I'm really worried about him, I'm no help at all. response:	Huh?
context: Never mind, I think it'll be easier to talk to him with less people.\I see.\Then, Takasu-kun, wait for me at the gates.\I'll be back after going to the club activity room.\S-Sure...\Are you fine with it?\Although I'm really worried about him, I'm no help at all.\Huh? response:	Besides, I really want Kitamura to quit the student council...
context: I see.\Then, Takasu-kun, wait for me at the gates.\I'll be back after going to the club activity room.\S-Sure...\Are you fine with it?\Although I'm really worried about him, I'm no help at all.\Huh?\Besides, I really want Kitamura to quit the student council... response:	He has to be separated from that stinking president.
context: Then, Takasu-kun, wait for me at the gates.\I'll be back after going to the club activity room.\S-Sure...\Are you fine with it?\Although I'm really worried about him, I'm no help at all.\Huh?\Besides, I really want Kitamura to quit the student council...\He has to be separated from that stinking president. response:	Taiga?
context: I'll be back after going to the club activity room.\S-Sure...\Are you fine with it?\Although I'm really worried about him, I'm no help at all.\Huh?\Besides, I really want Kitamura to quit the student council...\He has to be separated from that stinking president.\Taiga? response:	That's how it is. Go help him, you mongrel.
context: S-Sure...\Are you fine with it?\Although I'm really worried about him, I'm no help at all.\Huh?\Besides, I really want Kitamura to quit the student council...\He has to be separated from that stinking president.\Taiga?\That's how it is. Go help him, you mongrel. response:	Even if she says that...
context: Are you fine with it?\Although I'm really worried about him, I'm no help at all.\Huh?\Besides, I really want Kitamura to quit the student council...\He has to be separated from that stinking president.\Taiga?\That's how it is. Go help him, you mongrel.\Even if she says that... response:	Sorry for the wait.
context: Although I'm really worried about him, I'm no help at all.\Huh?\Besides, I really want Kitamura to quit the student council...\He has to be separated from that stinking president.\Taiga?\That's how it is. Go help him, you mongrel.\Even if she says that...\Sorry for the wait. response:	It'd be great if Kitamura-kun is at home.
context: Huh?\Besides, I really want Kitamura to quit the student council...\He has to be separated from that stinking president.\Taiga?\That's how it is. Go help him, you mongrel.\Even if she says that...\Sorry for the wait.\It'd be great if Kitamura-kun is at home. response:	I have no idea what's going on with him...
context: Besides, I really want Kitamura to quit the student council...\He has to be separated from that stinking president.\Taiga?\That's how it is. Go help him, you mongrel.\Even if she says that...\Sorry for the wait.\It'd be great if Kitamura-kun is at home.\I have no idea what's going on with him... response:	Yeah...
context: He has to be separated from that stinking president.\Taiga?\That's how it is. Go help him, you mongrel.\Even if she says that...\Sorry for the wait.\It'd be great if Kitamura-kun is at home.\I have no idea what's going on with him...\Yeah... response:	What's wrong, Takasu-kun?
context: Taiga?\That's how it is. Go help him, you mongrel.\Even if she says that...\Sorry for the wait.\It'd be great if Kitamura-kun is at home.\I have no idea what's going on with him...\Yeah...\What's wrong, Takasu-kun? response:	You're very quiet today.
context: That's how it is. Go help him, you mongrel.\Even if she says that...\Sorry for the wait.\It'd be great if Kitamura-kun is at home.\I have no idea what's going on with him...\Yeah...\What's wrong, Takasu-kun?\You're very quiet today. response:	Well, no, um...
context: Even if she says that...\Sorry for the wait.\It'd be great if Kitamura-kun is at home.\I have no idea what's going on with him...\Yeah...\What's wrong, Takasu-kun?\You're very quiet today.\Well, no, um... response:	I'm just wondering what's going on with Kawashima and Taiga, so...
context: Sorry for the wait.\It'd be great if Kitamura-kun is at home.\I have no idea what's going on with him...\Yeah...\What's wrong, Takasu-kun?\You're very quiet today.\Well, no, um...\I'm just wondering what's going on with Kawashima and Taiga, so... response:	Kawashima hasn't said anything like that to her childhood friend before, has she?
context: It'd be great if Kitamura-kun is at home.\I have no idea what's going on with him...\Yeah...\What's wrong, Takasu-kun?\You're very quiet today.\Well, no, um...\I'm just wondering what's going on with Kawashima and Taiga, so...\Kawashima hasn't said anything like that to her childhood friend before, has she? response:	I think Amin is definitely worried about Kitamura-kun.
context: I have no idea what's going on with him...\Yeah...\What's wrong, Takasu-kun?\You're very quiet today.\Well, no, um...\I'm just wondering what's going on with Kawashima and Taiga, so...\Kawashima hasn't said anything like that to her childhood friend before, has she?\I think Amin is definitely worried about Kitamura-kun. response:	Look, Amin works in the world of adults,
context: Yeah...\What's wrong, Takasu-kun?\You're very quiet today.\Well, no, um...\I'm just wondering what's going on with Kawashima and Taiga, so...\Kawashima hasn't said anything like that to her childhood friend before, has she?\I think Amin is definitely worried about Kitamura-kun.\Look, Amin works in the world of adults, response:	so I think she knows a lot more than we do.
context: What's wrong, Takasu-kun?\You're very quiet today.\Well, no, um...\I'm just wondering what's going on with Kawashima and Taiga, so...\Kawashima hasn't said anything like that to her childhood friend before, has she?\I think Amin is definitely worried about Kitamura-kun.\Look, Amin works in the world of adults,\so I think she knows a lot more than we do. response:	She surely knows about Kitamura-kun, too.
context: You're very quiet today.\Well, no, um...\I'm just wondering what's going on with Kawashima and Taiga, so...\Kawashima hasn't said anything like that to her childhood friend before, has she?\I think Amin is definitely worried about Kitamura-kun.\Look, Amin works in the world of adults,\so I think she knows a lot more than we do.\She surely knows about Kitamura-kun, too. response:	But having things only she knows,
context: Well, no, um...\I'm just wondering what's going on with Kawashima and Taiga, so...\Kawashima hasn't said anything like that to her childhood friend before, has she?\I think Amin is definitely worried about Kitamura-kun.\Look, Amin works in the world of adults,\so I think she knows a lot more than we do.\She surely knows about Kitamura-kun, too.\But having things only she knows, response:	she must be really patient to deal with kids like us.
context: I'm just wondering what's going on with Kawashima and Taiga, so...\Kawashima hasn't said anything like that to her childhood friend before, has she?\I think Amin is definitely worried about Kitamura-kun.\Look, Amin works in the world of adults,\so I think she knows a lot more than we do.\She surely knows about Kitamura-kun, too.\But having things only she knows,\she must be really patient to deal with kids like us. response:	I wonder...
context: Kawashima hasn't said anything like that to her childhood friend before, has she?\I think Amin is definitely worried about Kitamura-kun.\Look, Amin works in the world of adults,\so I think she knows a lot more than we do.\She surely knows about Kitamura-kun, too.\But having things only she knows,\she must be really patient to deal with kids like us.\I wonder... response:	But I don't think Amin is wrong.
context: I think Amin is definitely worried about Kitamura-kun.\Look, Amin works in the world of adults,\so I think she knows a lot more than we do.\She surely knows about Kitamura-kun, too.\But having things only she knows,\she must be really patient to deal with kids like us.\I wonder...\But I don't think Amin is wrong. response:	There aren't a lot of people in the world who can talk about their friends like that.
context: Look, Amin works in the world of adults,\so I think she knows a lot more than we do.\She surely knows about Kitamura-kun, too.\But having things only she knows,\she must be really patient to deal with kids like us.\I wonder...\But I don't think Amin is wrong.\There aren't a lot of people in the world who can talk about their friends like that. response:	That's why I think Amin has her own reasons for being so direct today.
context: so I think she knows a lot more than we do.\She surely knows about Kitamura-kun, too.\But having things only she knows,\she must be really patient to deal with kids like us.\I wonder...\But I don't think Amin is wrong.\There aren't a lot of people in the world who can talk about their friends like that.\That's why I think Amin has her own reasons for being so direct today. response:	Or should I say, I wished for her to do it.
context: She surely knows about Kitamura-kun, too.\But having things only she knows,\she must be really patient to deal with kids like us.\I wonder...\But I don't think Amin is wrong.\There aren't a lot of people in the world who can talk about their friends like that.\That's why I think Amin has her own reasons for being so direct today.\Or should I say, I wished for her to do it. response:	I shouldn't say this, but there are a lot of things you don't know.
context: But having things only she knows,\she must be really patient to deal with kids like us.\I wonder...\But I don't think Amin is wrong.\There aren't a lot of people in the world who can talk about their friends like that.\That's why I think Amin has her own reasons for being so direct today.\Or should I say, I wished for her to do it.\I shouldn't say this, but there are a lot of things you don't know. response:	For example, not being able to understand someone you want to understand.
context: she must be really patient to deal with kids like us.\I wonder...\But I don't think Amin is wrong.\There aren't a lot of people in the world who can talk about their friends like that.\That's why I think Amin has her own reasons for being so direct today.\Or should I say, I wished for her to do it.\I shouldn't say this, but there are a lot of things you don't know.\For example, not being able to understand someone you want to understand. response:	True.
context: I wonder...\But I don't think Amin is wrong.\There aren't a lot of people in the world who can talk about their friends like that.\That's why I think Amin has her own reasons for being so direct today.\Or should I say, I wished for her to do it.\I shouldn't say this, but there are a lot of things you don't know.\For example, not being able to understand someone you want to understand.\True. response:	But I think Amin has considered all of it already.
context: But I don't think Amin is wrong.\There aren't a lot of people in the world who can talk about their friends like that.\That's why I think Amin has her own reasons for being so direct today.\Or should I say, I wished for her to do it.\I shouldn't say this, but there are a lot of things you don't know.\For example, not being able to understand someone you want to understand.\True.\But I think Amin has considered all of it already. response:	Because we're still immature,
context: There aren't a lot of people in the world who can talk about their friends like that.\That's why I think Amin has her own reasons for being so direct today.\Or should I say, I wished for her to do it.\I shouldn't say this, but there are a lot of things you don't know.\For example, not being able to understand someone you want to understand.\True.\But I think Amin has considered all of it already.\Because we're still immature, response:	we can't understand him.
context: That's why I think Amin has her own reasons for being so direct today.\Or should I say, I wished for her to do it.\I shouldn't say this, but there are a lot of things you don't know.\For example, not being able to understand someone you want to understand.\True.\But I think Amin has considered all of it already.\Because we're still immature,\we can't understand him. response:	But I think... that's why we're his final salvation.
context: Or should I say, I wished for her to do it.\I shouldn't say this, but there are a lot of things you don't know.\For example, not being able to understand someone you want to understand.\True.\But I think Amin has considered all of it already.\Because we're still immature,\we can't understand him.\But I think... that's why we're his final salvation. response:	Oh, what am I saying?
context: I shouldn't say this, but there are a lot of things you don't know.\For example, not being able to understand someone you want to understand.\True.\But I think Amin has considered all of it already.\Because we're still immature,\we can't understand him.\But I think... that's why we're his final salvation.\Oh, what am I saying? response:	I think Kitamura-kun's house is over there.
context: For example, not being able to understand someone you want to understand.\True.\But I think Amin has considered all of it already.\Because we're still immature,\we can't understand him.\But I think... that's why we're his final salvation.\Oh, what am I saying?\I think Kitamura-kun's house is over there. response:	Kushieda... How should I put it?
context: True.\But I think Amin has considered all of it already.\Because we're still immature,\we can't understand him.\But I think... that's why we're his final salvation.\Oh, what am I saying?\I think Kitamura-kun's house is over there.\Kushieda... How should I put it? response:	You're a very kind person.
context: But I think Amin has considered all of it already.\Because we're still immature,\we can't understand him.\But I think... that's why we're his final salvation.\Oh, what am I saying?\I think Kitamura-kun's house is over there.\Kushieda... How should I put it?\You're a very kind person. response:	Kind?
context: Because we're still immature,\we can't understand him.\But I think... that's why we're his final salvation.\Oh, what am I saying?\I think Kitamura-kun's house is over there.\Kushieda... How should I put it?\You're a very kind person.\Kind? response:	No, I'm not!
context: we can't understand him.\But I think... that's why we're his final salvation.\Oh, what am I saying?\I think Kitamura-kun's house is over there.\Kushieda... How should I put it?\You're a very kind person.\Kind?\No, I'm not! response:	I'm actually very arrogant...
context: But I think... that's why we're his final salvation.\Oh, what am I saying?\I think Kitamura-kun's house is over there.\Kushieda... How should I put it?\You're a very kind person.\Kind?\No, I'm not!\I'm actually very arrogant... response:	Kushieda?
context: Oh, what am I saying?\I think Kitamura-kun's house is over there.\Kushieda... How should I put it?\You're a very kind person.\Kind?\No, I'm not!\I'm actually very arrogant...\Kushieda? response:	In the end, Kitamura wasn't at home,
context: I think Kitamura-kun's house is over there.\Kushieda... How should I put it?\You're a very kind person.\Kind?\No, I'm not!\I'm actually very arrogant...\Kushieda?\In the end, Kitamura wasn't at home, response:	so we didn't get to see him.
context: Kushieda... How should I put it?\You're a very kind person.\Kind?\No, I'm not!\I'm actually very arrogant...\Kushieda?\In the end, Kitamura wasn't at home,\so we didn't get to see him. response:	I'm back!
context: You're a very kind person.\Kind?\No, I'm not!\I'm actually very arrogant...\Kushieda?\In the end, Kitamura wasn't at home,\so we didn't get to see him.\I'm back! response:	Oh, you came over.
context: Kind?\No, I'm not!\I'm actually very arrogant...\Kushieda?\In the end, Kitamura wasn't at home,\so we didn't get to see him.\I'm back!\Oh, you came over. response:	What's wrong?
context: No, I'm not!\I'm actually very arrogant...\Kushieda?\In the end, Kitamura wasn't at home,\so we didn't get to see him.\I'm back!\Oh, you came over.\What's wrong? response:	Did you eat something weird?
context: I'm actually very arrogant...\Kushieda?\In the end, Kitamura wasn't at home,\so we didn't get to see him.\I'm back!\Oh, you came over.\What's wrong?\Did you eat something weird? response:	Yo.
context: Kushieda?\In the end, Kitamura wasn't at home,\so we didn't get to see him.\I'm back!\Oh, you came over.\What's wrong?\Did you eat something weird?\Yo. response:	Sorry for intruding.
context: In the end, Kitamura wasn't at home,\so we didn't get to see him.\I'm back!\Oh, you came over.\What's wrong?\Did you eat something weird?\Yo.\Sorry for intruding. response:	K-Kitamura?
context: so we didn't get to see him.\I'm back!\Oh, you came over.\What's wrong?\Did you eat something weird?\Yo.\Sorry for intruding.\K-Kitamura? response:	Yasuko-san let me in, so I did -
context: I'm back!\Oh, you came over.\What's wrong?\Did you eat something weird?\Yo.\Sorry for intruding.\K-Kitamura?\Yasuko-san let me in, so I did - response:	Not that!
context: Oh, you came over.\What's wrong?\Did you eat something weird?\Yo.\Sorry for intruding.\K-Kitamura?\Yasuko-san let me in, so I did -\Not that! response:	Actually, I ran away from home...
context: What's wrong?\Did you eat something weird?\Yo.\Sorry for intruding.\K-Kitamura?\Yasuko-san let me in, so I did -\Not that!\Actually, I ran away from home... response:	Huh?
context: Did you eat something weird?\Yo.\Sorry for intruding.\K-Kitamura?\Yasuko-san let me in, so I did -\Not that!\Actually, I ran away from home...\Huh? response:	Aisaka, do you usually come here?
context: Yo.\Sorry for intruding.\K-Kitamura?\Yasuko-san let me in, so I did -\Not that!\Actually, I ran away from home...\Huh?\Aisaka, do you usually come here? response:	Ya-chan said I'm allowed to eat here whenever I want,
context: Sorry for intruding.\K-Kitamura?\Yasuko-san let me in, so I did -\Not that!\Actually, I ran away from home...\Huh?\Aisaka, do you usually come here?\Ya-chan said I'm allowed to eat here whenever I want, response:	s-so I'm just going along with her good will.
context: K-Kitamura?\Yasuko-san let me in, so I did -\Not that!\Actually, I ran away from home...\Huh?\Aisaka, do you usually come here?\Ya-chan said I'm allowed to eat here whenever I want,\s-so I'm just going along with her good will. response:	I see.
context: Yasuko-san let me in, so I did -\Not that!\Actually, I ran away from home...\Huh?\Aisaka, do you usually come here?\Ya-chan said I'm allowed to eat here whenever I want,\s-so I'm just going along with her good will.\I see. response:	It must be great to live near Takasu.
context: Not that!\Actually, I ran away from home...\Huh?\Aisaka, do you usually come here?\Ya-chan said I'm allowed to eat here whenever I want,\s-so I'm just going along with her good will.\I see.\It must be great to live near Takasu. response:	Yeah.
context: Actually, I ran away from home...\Huh?\Aisaka, do you usually come here?\Ya-chan said I'm allowed to eat here whenever I want,\s-so I'm just going along with her good will.\I see.\It must be great to live near Takasu.\Yeah. response:	Ah, tatami mats sure are great.
context: Huh?\Aisaka, do you usually come here?\Ya-chan said I'm allowed to eat here whenever I want,\s-so I'm just going along with her good will.\I see.\It must be great to live near Takasu.\Yeah.\Ah, tatami mats sure are great. response:	I don't have tatami rooms in my house.
context: Aisaka, do you usually come here?\Ya-chan said I'm allowed to eat here whenever I want,\s-so I'm just going along with her good will.\I see.\It must be great to live near Takasu.\Yeah.\Ah, tatami mats sure are great.\I don't have tatami rooms in my house. response:	M-My house is fully western too!
context: Ya-chan said I'm allowed to eat here whenever I want,\s-so I'm just going along with her good will.\I see.\It must be great to live near Takasu.\Yeah.\Ah, tatami mats sure are great.\I don't have tatami rooms in my house.\M-My house is fully western too! response:	Well, Japanese style is the best.
