context: I might be moving to Chiba response:	Kotarou-kun?
context: I told everyone I was leaving early.\Is something wrong?\Were you with Hira just now?\Yeah.\Just the two of you?\Yeah, we lost a game and had to throw away the trash.\Why?\I saw your dance, Kotarou-kun. response:	It was really good.
context: Is something wrong?\Were you with Hira just now?\Yeah.\Just the two of you?\Yeah, we lost a game and had to throw away the trash.\Why?\I saw your dance, Kotarou-kun.\It was really good. response:	How long is your break?
context: Were you with Hira just now?\Yeah.\Just the two of you?\Yeah, we lost a game and had to throw away the trash.\Why?\I saw your dance, Kotarou-kun.\It was really good.\How long is your break? response:	About an hour.
context: Yeah.\Just the two of you?\Yeah, we lost a game and had to throw away the trash.\Why?\I saw your dance, Kotarou-kun.\It was really good.\How long is your break?\About an hour. response:	I have to go right back.
context: Just the two of you?\Yeah, we lost a game and had to throw away the trash.\Why?\I saw your dance, Kotarou-kun.\It was really good.\How long is your break?\About an hour.\I have to go right back. response:	Oh...
context: Yeah, we lost a game and had to throw away the trash.\Why?\I saw your dance, Kotarou-kun.\It was really good.\How long is your break?\About an hour.\I have to go right back.\Oh... response:	I think I'll have imokoi.
context: Why?\I saw your dance, Kotarou-kun.\It was really good.\How long is your break?\About an hour.\I have to go right back.\Oh...\I think I'll have imokoi. response:	How about you?
context: I saw your dance, Kotarou-kun.\It was really good.\How long is your break?\About an hour.\I have to go right back.\Oh...\I think I'll have imokoi.\How about you? response:	I'm all full.
context: It was really good.\How long is your break?\About an hour.\I have to go right back.\Oh...\I think I'll have imokoi.\How about you?\I'm all full. response:	Oh, Kotarou!
context: How long is your break?\About an hour.\I have to go right back.\Oh...\I think I'll have imokoi.\How about you?\I'm all full.\Oh, Kotarou! response:	Hey, Kotarou.
context: About an hour.\I have to go right back.\Oh...\I think I'll have imokoi.\How about you?\I'm all full.\Oh, Kotarou!\Hey, Kotarou. response:	It's Kotarou.
context: I have to go right back.\Oh...\I think I'll have imokoi.\How about you?\I'm all full.\Oh, Kotarou!\Hey, Kotarou.\It's Kotarou. response:	Looking good.
context: Oh...\I think I'll have imokoi.\How about you?\I'm all full.\Oh, Kotarou!\Hey, Kotarou.\It's Kotarou.\Looking good. response:	Hey, you have a girlfriend, huh?
context: I think I'll have imokoi.\How about you?\I'm all full.\Oh, Kotarou!\Hey, Kotarou.\It's Kotarou.\Looking good.\Hey, you have a girlfriend, huh? response:	What difference does it make?
context: How about you?\I'm all full.\Oh, Kotarou!\Hey, Kotarou.\It's Kotarou.\Looking good.\Hey, you have a girlfriend, huh?\What difference does it make? response:	Come on, introduce us.
context: I'm all full.\Oh, Kotarou!\Hey, Kotarou.\It's Kotarou.\Looking good.\Hey, you have a girlfriend, huh?\What difference does it make?\Come on, introduce us. response:	It's not like that.
context: Oh, Kotarou!\Hey, Kotarou.\It's Kotarou.\Looking good.\Hey, you have a girlfriend, huh?\What difference does it make?\Come on, introduce us.\It's not like that. response:	Man, to be young...
context: Hey, Kotarou.\It's Kotarou.\Looking good.\Hey, you have a girlfriend, huh?\What difference does it make?\Come on, introduce us.\It's not like that.\Man, to be young... response:	I won't tell your old man.
context: It's Kotarou.\Looking good.\Hey, you have a girlfriend, huh?\What difference does it make?\Come on, introduce us.\It's not like that.\Man, to be young...\I won't tell your old man. response:	What'd you say that for?
context: Looking good.\Hey, you have a girlfriend, huh?\What difference does it make?\Come on, introduce us.\It's not like that.\Man, to be young...\I won't tell your old man.\What'd you say that for? response:	Go on, move it!
context: Hey, you have a girlfriend, huh?\What difference does it make?\Come on, introduce us.\It's not like that.\Man, to be young...\I won't tell your old man.\What'd you say that for?\Go on, move it! response:	Azumi-kun...
context: What difference does it make?\Come on, introduce us.\It's not like that.\Man, to be young...\I won't tell your old man.\What'd you say that for?\Go on, move it!\Azumi-kun... response:	You're acting different.
context: Come on, introduce us.\It's not like that.\Man, to be young...\I won't tell your old man.\What'd you say that for?\Go on, move it!\Azumi-kun...\You're acting different. response:	Not really.
context: It's not like that.\Man, to be young...\I won't tell your old man.\What'd you say that for?\Go on, move it!\Azumi-kun...\You're acting different.\Not really. response:	Are you angry?
context: Man, to be young...\I won't tell your old man.\What'd you say that for?\Go on, move it!\Azumi-kun...\You're acting different.\Not really.\Are you angry? response:	Not really.
context: I won't tell your old man.\What'd you say that for?\Go on, move it!\Azumi-kun...\You're acting different.\Not really.\Are you angry?\Not really. response:	See?
context: What'd you say that for?\Go on, move it!\Azumi-kun...\You're acting different.\Not really.\Are you angry?\Not really.\See? response:	I'm not angry.
context: Go on, move it!\Azumi-kun...\You're acting different.\Not really.\Are you angry?\Not really.\See?\I'm not angry. response:	You are.
context: Azumi-kun...\You're acting different.\Not really.\Are you angry?\Not really.\See?\I'm not angry.\You are. response:	Is it about me moving?
context: You're acting different.\Not really.\Are you angry?\Not really.\See?\I'm not angry.\You are.\Is it about me moving? response:	No.
context: Not really.\Are you angry?\Not really.\See?\I'm not angry.\You are.\Is it about me moving?\No. response:	But what else...
context: Are you angry?\Not really.\See?\I'm not angry.\You are.\Is it about me moving?\No.\But what else... response:	Nothing.
context: Not really.\See?\I'm not angry.\You are.\Is it about me moving?\No.\But what else...\Nothing. response:	Forget it.
context: See?\I'm not angry.\You are.\Is it about me moving?\No.\But what else...\Nothing.\Forget it. response:	I'm not angry.
context: I'm not angry.\You are.\Is it about me moving?\No.\But what else...\Nothing.\Forget it.\I'm not angry. response:	Please tell me.
context: You are.\Is it about me moving?\No.\But what else...\Nothing.\Forget it.\I'm not angry.\Please tell me. response:	Why?
context: Is it about me moving?\No.\But what else...\Nothing.\Forget it.\I'm not angry.\Please tell me.\Why? response:	Tell me.
context: No.\But what else...\Nothing.\Forget it.\I'm not angry.\Please tell me.\Why?\Tell me. response:	We're at the festival.
context: But what else...\Nothing.\Forget it.\I'm not angry.\Please tell me.\Why?\Tell me.\We're at the festival. response:	I'm annoyed.
context: Nothing.\Forget it.\I'm not angry.\Please tell me.\Why?\Tell me.\We're at the festival.\I'm annoyed. response:	Another guy...
context: Forget it.\I'm not angry.\Please tell me.\Why?\Tell me.\We're at the festival.\I'm annoyed.\Another guy... response:	Not that I care.
context: I'm not angry.\Please tell me.\Why?\Tell me.\We're at the festival.\I'm annoyed.\Another guy...\Not that I care. response:	Hey...
context: Please tell me.\Why?\Tell me.\We're at the festival.\I'm annoyed.\Another guy...\Not that I care.\Hey... response:	He confessed to me earlier.
context: Why?\Tell me.\We're at the festival.\I'm annoyed.\Another guy...\Not that I care.\Hey...\He confessed to me earlier. response:	I turned him down.
context: Tell me.\We're at the festival.\I'm annoyed.\Another guy...\Not that I care.\Hey...\He confessed to me earlier.\I turned him down. response:	Should I get you some tea?
context: We're at the festival.\I'm annoyed.\Another guy...\Not that I care.\Hey...\He confessed to me earlier.\I turned him down.\Should I get you some tea? response:	It's fine.
context: I'm annoyed.\Another guy...\Not that I care.\Hey...\He confessed to me earlier.\I turned him down.\Should I get you some tea?\It's fine. response:	I don't have time.
context: Another guy...\Not that I care.\Hey...\He confessed to me earlier.\I turned him down.\Should I get you some tea?\It's fine.\I don't have time. response:	I'm gonna go.
context: Not that I care.\Hey...\He confessed to me earlier.\I turned him down.\Should I get you some tea?\It's fine.\I don't have time.\I'm gonna go. response:	See you.
context: Hey...\He confessed to me earlier.\I turned him down.\Should I get you some tea?\It's fine.\I don't have time.\I'm gonna go.\See you. response:	Come to Toki no Kane
context: He confessed to me earlier.\I turned him down.\Should I get you some tea?\It's fine.\I don't have time.\I'm gonna go.\See you.\Come to Toki no Kane response:	Okay
context: I turned him down.\Should I get you some tea?\It's fine.\I don't have time.\I'm gonna go.\See you.\Come to Toki no Kane\Okay response:	I'll be right there
context: Should I get you some tea?\It's fine.\I don't have time.\I'm gonna go.\See you.\Come to Toki no Kane\Okay\I'll be right there response:	Come to Toki no Kane
context: It's fine.\I don't have time.\I'm gonna go.\See you.\Come to Toki no Kane\Okay\I'll be right there\Come to Toki no Kane response:	Okay
context: I don't have time.\I'm gonna go.\See you.\Come to Toki no Kane\Okay\I'll be right there\Come to Toki no Kane\Okay response:	I'll be right there
context: I'm gonna go.\See you.\Come to Toki no Kane\Okay\I'll be right there\Come to Toki no Kane\Okay\I'll be right there response:	Actually
context: See you.\Come to Toki no Kane\Okay\I'll be right there\Come to Toki no Kane\Okay\I'll be right there\Actually response:	There's something I need to tell you, too
context: Come to Toki no Kane\Okay\I'll be right there\Come to Toki no Kane\Okay\I'll be right there\Actually\There's something I need to tell you, too response:	Huh? What?
context: Okay\I'll be right there\Come to Toki no Kane\Okay\I'll be right there\Actually\There's something I need to tell you, too\Huh? What? response:	I might be moving to Chiba
context: I'll be right there\Come to Toki no Kane\Okay\I'll be right there\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba response:	Actually
context: Come to Toki no Kane\Okay\I'll be right there\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\Actually response:	There's something I need to tell you, too
context: Okay\I'll be right there\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\Actually\There's something I need to tell you, too response:	Huh? What?
context: I'll be right there\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\Actually\There's something I need to tell you, too\Huh? What? response:	I might be moving to Chiba
context: Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba response:	I fell asleep again yesterday.
context: There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\I fell asleep again yesterday. response:	Me, too.
context: Huh? What?\I might be moving to Chiba\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\I fell asleep again yesterday.\Me, too. response:	I get sleepy whenever I try to study.
context: I might be moving to Chiba\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\I fell asleep again yesterday.\Me, too.\I get sleepy whenever I try to study. response:	Seriously.
context: Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\I fell asleep again yesterday.\Me, too.\I get sleepy whenever I try to study.\Seriously. response:	So I'm like, I'll just finish talking on LINE before I start studying...
context: There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\I fell asleep again yesterday.\Me, too.\I get sleepy whenever I try to study.\Seriously.\So I'm like, I'll just finish talking on LINE before I start studying... response:	And then your parents go, Start studying!
context: Huh? What?\I might be moving to Chiba\I fell asleep again yesterday.\Me, too.\I get sleepy whenever I try to study.\Seriously.\So I'm like, I'll just finish talking on LINE before I start studying...\And then your parents go, Start studying! response:	Exactly!
context: I might be moving to Chiba\I fell asleep again yesterday.\Me, too.\I get sleepy whenever I try to study.\Seriously.\So I'm like, I'll just finish talking on LINE before I start studying...\And then your parents go, Start studying!\Exactly! response:	It just makes you want to give up.
context: I fell asleep again yesterday.\Me, too.\I get sleepy whenever I try to study.\Seriously.\So I'm like, I'll just finish talking on LINE before I start studying...\And then your parents go, Start studying!\Exactly!\It just makes you want to give up. response:	I know.
context: Me, too.\I get sleepy whenever I try to study.\Seriously.\So I'm like, I'll just finish talking on LINE before I start studying...\And then your parents go, Start studying!\Exactly!\It just makes you want to give up.\I know. response:	Honestly...
context: I get sleepy whenever I try to study.\Seriously.\So I'm like, I'll just finish talking on LINE before I start studying...\And then your parents go, Start studying!\Exactly!\It just makes you want to give up.\I know.\Honestly... response:	Koumei Private High School
context: Seriously.\So I'm like, I'll just finish talking on LINE before I start studying...\And then your parents go, Start studying!\Exactly!\It just makes you want to give up.\I know.\Honestly...\Koumei Private High School response:	Okay.
context: So I'm like, I'll just finish talking on LINE before I start studying...\And then your parents go, Start studying!\Exactly!\It just makes you want to give up.\I know.\Honestly...\Koumei Private High School\Okay. response:	That changes the meaning, so you need to be careful.
context: And then your parents go, Start studying!\Exactly!\It just makes you want to give up.\I know.\Honestly...\Koumei Private High School\Okay.\That changes the meaning, so you need to be careful. response:	Koumei High School
context: Exactly!\It just makes you want to give up.\I know.\Honestly...\Koumei Private High School\Okay.\That changes the meaning, so you need to be careful.\Koumei High School response:	Excuse me...
context: It just makes you want to give up.\I know.\Honestly...\Koumei Private High School\Okay.\That changes the meaning, so you need to be careful.\Koumei High School\Excuse me... response:	Why is this...
context: I know.\Honestly...\Koumei Private High School\Okay.\That changes the meaning, so you need to be careful.\Koumei High School\Excuse me...\Why is this... response:	Oh, we had a request for it.
context: Honestly...\Koumei Private High School\Okay.\That changes the meaning, so you need to be careful.\Koumei High School\Excuse me...\Why is this...\Oh, we had a request for it. response:	They said they had a request for this.
context: Koumei Private High School\Okay.\That changes the meaning, so you need to be careful.\Koumei High School\Excuse me...\Why is this...\Oh, we had a request for it.\They said they had a request for this. response:	Yeah.
context: Okay.\That changes the meaning, so you need to be careful.\Koumei High School\Excuse me...\Why is this...\Oh, we had a request for it.\They said they had a request for this.\Yeah. response:	Was it you?
context: That changes the meaning, so you need to be careful.\Koumei High School\Excuse me...\Why is this...\Oh, we had a request for it.\They said they had a request for this.\Yeah.\Was it you? response:	I'm applying.
context: Koumei High School\Excuse me...\Why is this...\Oh, we had a request for it.\They said they had a request for this.\Yeah.\Was it you?\I'm applying. response:	I haven't even told my parents yet.
context: Excuse me...\Why is this...\Oh, we had a request for it.\They said they had a request for this.\Yeah.\Was it you?\I'm applying.\I haven't even told my parents yet. response:	They probably won't approve.
context: Why is this...\Oh, we had a request for it.\They said they had a request for this.\Yeah.\Was it you?\I'm applying.\I haven't even told my parents yet.\They probably won't approve. response:	But I'll convince them.
context: Oh, we had a request for it.\They said they had a request for this.\Yeah.\Was it you?\I'm applying.\I haven't even told my parents yet.\They probably won't approve.\But I'll convince them. response:	I was going to tell you after I talked to my parents.
context: They said they had a request for this.\Yeah.\Was it you?\I'm applying.\I haven't even told my parents yet.\They probably won't approve.\But I'll convince them.\I was going to tell you after I talked to my parents. response:	I've thought about my future.
context: Yeah.\Was it you?\I'm applying.\I haven't even told my parents yet.\They probably won't approve.\But I'll convince them.\I was going to tell you after I talked to my parents.\I've thought about my future. response:	And writing and stuff.
context: Was it you?\I'm applying.\I haven't even told my parents yet.\They probably won't approve.\But I'll convince them.\I was going to tell you after I talked to my parents.\I've thought about my future.\And writing and stuff. response:	And I made up my mind.
context: I'm applying.\I haven't even told my parents yet.\They probably won't approve.\But I'll convince them.\I was going to tell you after I talked to my parents.\I've thought about my future.\And writing and stuff.\And I made up my mind. response:	I want to be with you.
context: I haven't even told my parents yet.\They probably won't approve.\But I'll convince them.\I was going to tell you after I talked to my parents.\I've thought about my future.\And writing and stuff.\And I made up my mind.\I want to be with you. response:	I'm serious about this.
context: They probably won't approve.\But I'll convince them.\I was going to tell you after I talked to my parents.\I've thought about my future.\And writing and stuff.\And I made up my mind.\I want to be with you.\I'm serious about this. response:	Thank you.
context: But I'll convince them.\I was going to tell you after I talked to my parents.\I've thought about my future.\And writing and stuff.\And I made up my mind.\I want to be with you.\I'm serious about this.\Thank you. response:	I'm so happy.
context: I was going to tell you after I talked to my parents.\I've thought about my future.\And writing and stuff.\And I made up my mind.\I want to be with you.\I'm serious about this.\Thank you.\I'm so happy. response:	Sorry about before.
context: I've thought about my future.\And writing and stuff.\And I made up my mind.\I want to be with you.\I'm serious about this.\Thank you.\I'm so happy.\Sorry about before. response:	I'm sorry, too.
context: And writing and stuff.\And I made up my mind.\I want to be with you.\I'm serious about this.\Thank you.\I'm so happy.\Sorry about before.\I'm sorry, too. response:	I couldn't talk to you.
context: And I made up my mind.\I want to be with you.\I'm serious about this.\Thank you.\I'm so happy.\Sorry about before.\I'm sorry, too.\I couldn't talk to you. response:	I thought you hated me now.
context: I want to be with you.\I'm serious about this.\Thank you.\I'm so happy.\Sorry about before.\I'm sorry, too.\I couldn't talk to you.\I thought you hated me now. response:	Of course not.
context: I'm serious about this.\Thank you.\I'm so happy.\Sorry about before.\I'm sorry, too.\I couldn't talk to you.\I thought you hated me now.\Of course not. response:	The Setting Sun
context: Thank you.\I'm so happy.\Sorry about before.\I'm sorry, too.\I couldn't talk to you.\I thought you hated me now.\Of course not.\The Setting Sun response:	Sakura and the Graduation Album
context: I'm so happy.\Sorry about before.\I'm sorry, too.\I couldn't talk to you.\I thought you hated me now.\Of course not.\The Setting Sun\Sakura and the Graduation Album response:	Literature club, gather here!
context: Sorry about before.\I'm sorry, too.\I couldn't talk to you.\I thought you hated me now.\Of course not.\The Setting Sun\Sakura and the Graduation Album\Literature club, gather here! response:	We're taking pictures for the graduation album.
context: I'm sorry, too.\I couldn't talk to you.\I thought you hated me now.\Of course not.\The Setting Sun\Sakura and the Graduation Album\Literature club, gather here!\We're taking pictures for the graduation album. response:	I never knew we had so many members who don't show up.
context: I couldn't talk to you.\I thought you hated me now.\Of course not.\The Setting Sun\Sakura and the Graduation Album\Literature club, gather here!\We're taking pictures for the graduation album.\I never knew we had so many members who don't show up. response:	You're in the literature club?
context: I thought you hated me now.\Of course not.\The Setting Sun\Sakura and the Graduation Album\Literature club, gather here!\We're taking pictures for the graduation album.\I never knew we had so many members who don't show up.\You're in the literature club? response:	Got a problem?
context: Of course not.\The Setting Sun\Sakura and the Graduation Album\Literature club, gather here!\We're taking pictures for the graduation album.\I never knew we had so many members who don't show up.\You're in the literature club?\Got a problem? response:	Uh, no...
context: The Setting Sun\Sakura and the Graduation Album\Literature club, gather here!\We're taking pictures for the graduation album.\I never knew we had so many members who don't show up.\You're in the literature club?\Got a problem?\Uh, no... response:	Literature Club
context: Sakura and the Graduation Album\Literature club, gather here!\We're taking pictures for the graduation album.\I never knew we had so many members who don't show up.\You're in the literature club?\Got a problem?\Uh, no...\Literature Club response:	I had no idea.
context: Literature club, gather here!\We're taking pictures for the graduation album.\I never knew we had so many members who don't show up.\You're in the literature club?\Got a problem?\Uh, no...\Literature Club\I had no idea. response:	Okay, here we go.
context: We're taking pictures for the graduation album.\I never knew we had so many members who don't show up.\You're in the literature club?\Got a problem?\Uh, no...\Literature Club\I had no idea.\Okay, here we go. response:	Literature Club
