context: Signs response:	Unread: Thank you for taking care of me
context: Um...\You both lied!\Y-Yasuko...\Taiga!\What are you doing here?\Don't touch me!\Don't act so spoiled!\What can you do by yourself? response:	Hey, Taiga...
context: You both lied!\Y-Yasuko...\Taiga!\What are you doing here?\Don't touch me!\Don't act so spoiled!\What can you do by yourself?\Hey, Taiga... response:	You're Takasu-kun, right?
context: Y-Yasuko...\Taiga!\What are you doing here?\Don't touch me!\Don't act so spoiled!\What can you do by yourself?\Hey, Taiga...\You're Takasu-kun, right? response:	Y-Yes.
context: Taiga!\What are you doing here?\Don't touch me!\Don't act so spoiled!\What can you do by yourself?\Hey, Taiga...\You're Takasu-kun, right?\Y-Yes. response:	Thank you for always taking care of her.
context: What are you doing here?\Don't touch me!\Don't act so spoiled!\What can you do by yourself?\Hey, Taiga...\You're Takasu-kun, right?\Y-Yes.\Thank you for always taking care of her. response:	From now on, she'll be staying with -
context: Don't touch me!\Don't act so spoiled!\What can you do by yourself?\Hey, Taiga...\You're Takasu-kun, right?\Y-Yes.\Thank you for always taking care of her.\From now on, she'll be staying with - response:	Like hell I'd stay with you, that man, and that brat!
context: Don't act so spoiled!\What can you do by yourself?\Hey, Taiga...\You're Takasu-kun, right?\Y-Yes.\Thank you for always taking care of her.\From now on, she'll be staying with -\Like hell I'd stay with you, that man, and that brat! response:	W-Why?
context: What can you do by yourself?\Hey, Taiga...\You're Takasu-kun, right?\Y-Yes.\Thank you for always taking care of her.\From now on, she'll be staying with -\Like hell I'd stay with you, that man, and that brat!\W-Why? response:	What's happening?
context: Hey, Taiga...\You're Takasu-kun, right?\Y-Yes.\Thank you for always taking care of her.\From now on, she'll be staying with -\Like hell I'd stay with you, that man, and that brat!\W-Why?\What's happening? response:	I don't get this at all.
context: You're Takasu-kun, right?\Y-Yes.\Thank you for always taking care of her.\From now on, she'll be staying with -\Like hell I'd stay with you, that man, and that brat!\W-Why?\What's happening?\I don't get this at all. response:	I'm the one who doesn't get this!
context: Y-Yes.\Thank you for always taking care of her.\From now on, she'll be staying with -\Like hell I'd stay with you, that man, and that brat!\W-Why?\What's happening?\I don't get this at all.\I'm the one who doesn't get this! response:	You promised you wouldn't work,
context: Thank you for always taking care of her.\From now on, she'll be staying with -\Like hell I'd stay with you, that man, and that brat!\W-Why?\What's happening?\I don't get this at all.\I'm the one who doesn't get this!\You promised you wouldn't work, response:	but you lied and broke that promise!
context: From now on, she'll be staying with -\Like hell I'd stay with you, that man, and that brat!\W-Why?\What's happening?\I don't get this at all.\I'm the one who doesn't get this!\You promised you wouldn't work,\but you lied and broke that promise! response:	I won't forgive you!
context: Like hell I'd stay with you, that man, and that brat!\W-Why?\What's happening?\I don't get this at all.\I'm the one who doesn't get this!\You promised you wouldn't work,\but you lied and broke that promise!\I won't forgive you! response:	You won't forgive me?
context: W-Why?\What's happening?\I don't get this at all.\I'm the one who doesn't get this!\You promised you wouldn't work,\but you lied and broke that promise!\I won't forgive you!\You won't forgive me? response:	You fainted because you pushed yourself too much for my sake.
context: What's happening?\I don't get this at all.\I'm the one who doesn't get this!\You promised you wouldn't work,\but you lied and broke that promise!\I won't forgive you!\You won't forgive me?\You fainted because you pushed yourself too much for my sake. response:	That's why I'm working in your place!
context: I don't get this at all.\I'm the one who doesn't get this!\You promised you wouldn't work,\but you lied and broke that promise!\I won't forgive you!\You won't forgive me?\You fainted because you pushed yourself too much for my sake.\That's why I'm working in your place! response:	What's wrong with that?!
context: I'm the one who doesn't get this!\You promised you wouldn't work,\but you lied and broke that promise!\I won't forgive you!\You won't forgive me?\You fainted because you pushed yourself too much for my sake.\That's why I'm working in your place!\What's wrong with that?! response:	We're a family!
context: You promised you wouldn't work,\but you lied and broke that promise!\I won't forgive you!\You won't forgive me?\You fainted because you pushed yourself too much for my sake.\That's why I'm working in your place!\What's wrong with that?!\We're a family! response:	Because we're a family, we should help each other out -
context: but you lied and broke that promise!\I won't forgive you!\You won't forgive me?\You fainted because you pushed yourself too much for my sake.\That's why I'm working in your place!\What's wrong with that?!\We're a family!\Because we're a family, we should help each other out - response:	I don't care!
context: I won't forgive you!\You won't forgive me?\You fainted because you pushed yourself too much for my sake.\That's why I'm working in your place!\What's wrong with that?!\We're a family!\Because we're a family, we should help each other out -\I don't care! response:	I just want you to concentrate on your studies!
context: You won't forgive me?\You fainted because you pushed yourself too much for my sake.\That's why I'm working in your place!\What's wrong with that?!\We're a family!\Because we're a family, we should help each other out -\I don't care!\I just want you to concentrate on your studies! response:	I want you to find something you want to do and live a good life -
context: You fainted because you pushed yourself too much for my sake.\That's why I'm working in your place!\What's wrong with that?!\We're a family!\Because we're a family, we should help each other out -\I don't care!\I just want you to concentrate on your studies!\I want you to find something you want to do and live a good life - response:	Who's the one who didn't concentrate on their studies?!
context: That's why I'm working in your place!\What's wrong with that?!\We're a family!\Because we're a family, we should help each other out -\I don't care!\I just want you to concentrate on your studies!\I want you to find something you want to do and live a good life -\Who's the one who didn't concentrate on their studies?! response:	The one who couldn't do what they want and failed in life...
context: What's wrong with that?!\We're a family!\Because we're a family, we should help each other out -\I don't care!\I just want you to concentrate on your studies!\I want you to find something you want to do and live a good life -\Who's the one who didn't concentrate on their studies?!\The one who couldn't do what they want and failed in life... response:	Ryuu-chan...
context: We're a family!\Because we're a family, we should help each other out -\I don't care!\I just want you to concentrate on your studies!\I want you to find something you want to do and live a good life -\Who's the one who didn't concentrate on their studies?!\The one who couldn't do what they want and failed in life...\Ryuu-chan... response:	Quit forcing your failures on me!
context: Because we're a family, we should help each other out -\I don't care!\I just want you to concentrate on your studies!\I want you to find something you want to do and live a good life -\Who's the one who didn't concentrate on their studies?!\The one who couldn't do what they want and failed in life...\Ryuu-chan...\Quit forcing your failures on me! response:	Taiga...
context: I don't care!\I just want you to concentrate on your studies!\I want you to find something you want to do and live a good life -\Who's the one who didn't concentrate on their studies?!\The one who couldn't do what they want and failed in life...\Ryuu-chan...\Quit forcing your failures on me!\Taiga... response:	Taiga?
context: I just want you to concentrate on your studies!\I want you to find something you want to do and live a good life -\Who's the one who didn't concentrate on their studies?!\The one who couldn't do what they want and failed in life...\Ryuu-chan...\Quit forcing your failures on me!\Taiga...\Taiga? response:	Taiga!
context: I want you to find something you want to do and live a good life -\Who's the one who didn't concentrate on their studies?!\The one who couldn't do what they want and failed in life...\Ryuu-chan...\Quit forcing your failures on me!\Taiga...\Taiga?\Taiga! response:	Come back, Taiga!
context: Who's the one who didn't concentrate on their studies?!\The one who couldn't do what they want and failed in life...\Ryuu-chan...\Quit forcing your failures on me!\Taiga...\Taiga?\Taiga!\Come back, Taiga! response:	That shitty old man's business failed, and he ran away.
context: The one who couldn't do what they want and failed in life...\Ryuu-chan...\Quit forcing your failures on me!\Taiga...\Taiga?\Taiga!\Come back, Taiga!\That shitty old man's business failed, and he ran away. response:	Seriously?
context: Ryuu-chan...\Quit forcing your failures on me!\Taiga...\Taiga?\Taiga!\Come back, Taiga!\That shitty old man's business failed, and he ran away.\Seriously? response:	Yeah...
context: Quit forcing your failures on me!\Taiga...\Taiga?\Taiga!\Come back, Taiga!\That shitty old man's business failed, and he ran away.\Seriously?\Yeah... response:	Then he told my real mum to take care of me.
context: Taiga...\Taiga?\Taiga!\Come back, Taiga!\That shitty old man's business failed, and he ran away.\Seriously?\Yeah...\Then he told my real mum to take care of me. response:	But she already has a new family,
context: Taiga?\Taiga!\Come back, Taiga!\That shitty old man's business failed, and he ran away.\Seriously?\Yeah...\Then he told my real mum to take care of me.\But she already has a new family, response:	and she's even pregnant.
context: Taiga!\Come back, Taiga!\That shitty old man's business failed, and he ran away.\Seriously?\Yeah...\Then he told my real mum to take care of me.\But she already has a new family,\and she's even pregnant. response:	Her new husband is tall,
context: Come back, Taiga!\That shitty old man's business failed, and he ran away.\Seriously?\Yeah...\Then he told my real mum to take care of me.\But she already has a new family,\and she's even pregnant.\Her new husband is tall, response:	so their child will definitely have long legs.
context: That shitty old man's business failed, and he ran away.\Seriously?\Yeah...\Then he told my real mum to take care of me.\But she already has a new family,\and she's even pregnant.\Her new husband is tall,\so their child will definitely have long legs. response:	I'll pale in comparison.
context: Seriously?\Yeah...\Then he told my real mum to take care of me.\But she already has a new family,\and she's even pregnant.\Her new husband is tall,\so their child will definitely have long legs.\I'll pale in comparison. response:	How... How can I fit in with a family like that?
context: Yeah...\Then he told my real mum to take care of me.\But she already has a new family,\and she's even pregnant.\Her new husband is tall,\so their child will definitely have long legs.\I'll pale in comparison.\How... How can I fit in with a family like that? response:	If I were there, I'd only make everything awkward.
context: Then he told my real mum to take care of me.\But she already has a new family,\and she's even pregnant.\Her new husband is tall,\so their child will definitely have long legs.\I'll pale in comparison.\How... How can I fit in with a family like that?\If I were there, I'd only make everything awkward. response:	It's the same at the shitty old man's place.
context: But she already has a new family,\and she's even pregnant.\Her new husband is tall,\so their child will definitely have long legs.\I'll pale in comparison.\How... How can I fit in with a family like that?\If I were there, I'd only make everything awkward.\It's the same at the shitty old man's place. response:	Because of my presence, everyone...
context: and she's even pregnant.\Her new husband is tall,\so their child will definitely have long legs.\I'll pale in comparison.\How... How can I fit in with a family like that?\If I were there, I'd only make everything awkward.\It's the same at the shitty old man's place.\Because of my presence, everyone... response:	I've always thought of this...
context: Her new husband is tall,\so their child will definitely have long legs.\I'll pale in comparison.\How... How can I fit in with a family like that?\If I were there, I'd only make everything awkward.\It's the same at the shitty old man's place.\Because of my presence, everyone...\I've always thought of this... response:	If I had never been born, Yasuko would definitely have a better life.
context: so their child will definitely have long legs.\I'll pale in comparison.\How... How can I fit in with a family like that?\If I were there, I'd only make everything awkward.\It's the same at the shitty old man's place.\Because of my presence, everyone...\I've always thought of this...\If I had never been born, Yasuko would definitely have a better life. response:	She's still young, so she could probably redo high school...
context: I'll pale in comparison.\How... How can I fit in with a family like that?\If I were there, I'd only make everything awkward.\It's the same at the shitty old man's place.\Because of my presence, everyone...\I've always thought of this...\If I had never been born, Yasuko would definitely have a better life.\She's still young, so she could probably redo high school... response:	Ryuuji?
context: How... How can I fit in with a family like that?\If I were there, I'd only make everything awkward.\It's the same at the shitty old man's place.\Because of my presence, everyone...\I've always thought of this...\If I had never been born, Yasuko would definitely have a better life.\She's still young, so she could probably redo high school...\Ryuuji? response:	Adults are really selfish.
context: If I were there, I'd only make everything awkward.\It's the same at the shitty old man's place.\Because of my presence, everyone...\I've always thought of this...\If I had never been born, Yasuko would definitely have a better life.\She's still young, so she could probably redo high school...\Ryuuji?\Adults are really selfish. response:	They bring others trouble because of their own problems.
context: It's the same at the shitty old man's place.\Because of my presence, everyone...\I've always thought of this...\If I had never been born, Yasuko would definitely have a better life.\She's still young, so she could probably redo high school...\Ryuuji?\Adults are really selfish.\They bring others trouble because of their own problems. response:	But...
context: Because of my presence, everyone...\I've always thought of this...\If I had never been born, Yasuko would definitely have a better life.\She's still young, so she could probably redo high school...\Ryuuji?\Adults are really selfish.\They bring others trouble because of their own problems.\But... response:	I'm still a child, after all.
context: I've always thought of this...\If I had never been born, Yasuko would definitely have a better life.\She's still young, so she could probably redo high school...\Ryuuji?\Adults are really selfish.\They bring others trouble because of their own problems.\But...\I'm still a child, after all. response:	That's right, if I had never been born -
context: If I had never been born, Yasuko would definitely have a better life.\She's still young, so she could probably redo high school...\Ryuuji?\Adults are really selfish.\They bring others trouble because of their own problems.\But...\I'm still a child, after all.\That's right, if I had never been born - response:	Ryuuji!
context: She's still young, so she could probably redo high school...\Ryuuji?\Adults are really selfish.\They bring others trouble because of their own problems.\But...\I'm still a child, after all.\That's right, if I had never been born -\Ryuuji! response:	No, you pig-head!
context: Ryuuji?\Adults are really selfish.\They bring others trouble because of their own problems.\But...\I'm still a child, after all.\That's right, if I had never been born -\Ryuuji!\No, you pig-head! response:	Don't look down on life!
context: Adults are really selfish.\They bring others trouble because of their own problems.\But...\I'm still a child, after all.\That's right, if I had never been born -\Ryuuji!\No, you pig-head!\Don't look down on life! response:	W-What?
context: They bring others trouble because of their own problems.\But...\I'm still a child, after all.\That's right, if I had never been born -\Ryuuji!\No, you pig-head!\Don't look down on life!\W-What? response:	I think you're misunderstanding something.
context: But...\I'm still a child, after all.\That's right, if I had never been born -\Ryuuji!\No, you pig-head!\Don't look down on life!\W-What?\I think you're misunderstanding something. response:	Idiot! Idiot! Idiot! Idiot!
context: I'm still a child, after all.\That's right, if I had never been born -\Ryuuji!\No, you pig-head!\Don't look down on life!\W-What?\I think you're misunderstanding something.\Idiot! Idiot! Idiot! Idiot! response:	Baldy! Baldy!
context: That's right, if I had never been born -\Ryuuji!\No, you pig-head!\Don't look down on life!\W-What?\I think you're misunderstanding something.\Idiot! Idiot! Idiot! Idiot!\Baldy! Baldy! response:	What can you solve by doing that?
context: Ryuuji!\No, you pig-head!\Don't look down on life!\W-What?\I think you're misunderstanding something.\Idiot! Idiot! Idiot! Idiot!\Baldy! Baldy!\What can you solve by doing that? response:	How could you say something as naIve as that?!
context: No, you pig-head!\Don't look down on life!\W-What?\I think you're misunderstanding something.\Idiot! Idiot! Idiot! Idiot!\Baldy! Baldy!\What can you solve by doing that?\How could you say something as naIve as that?! response:	It's exactly what you were saying!
context: Don't look down on life!\W-What?\I think you're misunderstanding something.\Idiot! Idiot! Idiot! Idiot!\Baldy! Baldy!\What can you solve by doing that?\How could you say something as naIve as that?!\It's exactly what you were saying! response:	But I'm still alive!
context: W-What?\I think you're misunderstanding something.\Idiot! Idiot! Idiot! Idiot!\Baldy! Baldy!\What can you solve by doing that?\How could you say something as naIve as that?!\It's exactly what you were saying!\But I'm still alive! response:	It's all because you're here!
context: I think you're misunderstanding something.\Idiot! Idiot! Idiot! Idiot!\Baldy! Baldy!\What can you solve by doing that?\How could you say something as naIve as that?!\It's exactly what you were saying!\But I'm still alive!\It's all because you're here! response:	No matter who you like,
context: Idiot! Idiot! Idiot! Idiot!\Baldy! Baldy!\What can you solve by doing that?\How could you say something as naIve as that?!\It's exactly what you were saying!\But I'm still alive!\It's all because you're here!\No matter who you like, response:	no matter who you spend your life with,
context: Baldy! Baldy!\What can you solve by doing that?\How could you say something as naIve as that?!\It's exactly what you were saying!\But I'm still alive!\It's all because you're here!\No matter who you like,\no matter who you spend your life with, response:	I don't care!
context: What can you solve by doing that?\How could you say something as naIve as that?!\It's exactly what you were saying!\But I'm still alive!\It's all because you're here!\No matter who you like,\no matter who you spend your life with,\I don't care! response:	I just want to be able to see you, Takasu Ryuuji!
context: How could you say something as naIve as that?!\It's exactly what you were saying!\But I'm still alive!\It's all because you're here!\No matter who you like,\no matter who you spend your life with,\I don't care!\I just want to be able to see you, Takasu Ryuuji! response:	That's why...
context: It's exactly what you were saying!\But I'm still alive!\It's all because you're here!\No matter who you like,\no matter who you spend your life with,\I don't care!\I just want to be able to see you, Takasu Ryuuji!\That's why... response:	That's why you can't say things like, If only I had never been born!
context: But I'm still alive!\It's all because you're here!\No matter who you like,\no matter who you spend your life with,\I don't care!\I just want to be able to see you, Takasu Ryuuji!\That's why...\That's why you can't say things like, If only I had never been born! response:	What happened?!
context: It's all because you're here!\No matter who you like,\no matter who you spend your life with,\I don't care!\I just want to be able to see you, Takasu Ryuuji!\That's why...\That's why you can't say things like, If only I had never been born!\What happened?! response:	What are you doing?!
context: No matter who you like,\no matter who you spend your life with,\I don't care!\I just want to be able to see you, Takasu Ryuuji!\That's why...\That's why you can't say things like, If only I had never been born!\What happened?!\What are you doing?! response:	W-What the hell do you mean?!
context: no matter who you spend your life with,\I don't care!\I just want to be able to see you, Takasu Ryuuji!\That's why...\That's why you can't say things like, If only I had never been born!\What happened?!\What are you doing?!\W-What the hell do you mean?! response:	Are you trying to kill me?!
context: I don't care!\I just want to be able to see you, Takasu Ryuuji!\That's why...\That's why you can't say things like, If only I had never been born!\What happened?!\What are you doing?!\W-What the hell do you mean?!\Are you trying to kill me?! response:	Gosh, that sucks.
context: I just want to be able to see you, Takasu Ryuuji!\That's why...\That's why you can't say things like, If only I had never been born!\What happened?!\What are you doing?!\W-What the hell do you mean?!\Are you trying to kill me?!\Gosh, that sucks. response:	It's cold...
context: That's why...\That's why you can't say things like, If only I had never been born!\What happened?!\What are you doing?!\W-What the hell do you mean?!\Are you trying to kill me?!\Gosh, that sucks.\It's cold... response:	I said I'm sorry!
context: That's why you can't say things like, If only I had never been born!\What happened?!\What are you doing?!\W-What the hell do you mean?!\Are you trying to kill me?!\Gosh, that sucks.\It's cold...\I said I'm sorry! response:	No! You never said that!
context: What happened?!\What are you doing?!\W-What the hell do you mean?!\Are you trying to kill me?!\Gosh, that sucks.\It's cold...\I said I'm sorry!\No! You never said that! response:	You really dwell on trivial things, huh?
context: What are you doing?!\W-What the hell do you mean?!\Are you trying to kill me?!\Gosh, that sucks.\It's cold...\I said I'm sorry!\No! You never said that!\You really dwell on trivial things, huh? response:	What blood type are you?
context: W-What the hell do you mean?!\Are you trying to kill me?!\Gosh, that sucks.\It's cold...\I said I'm sorry!\No! You never said that!\You really dwell on trivial things, huh?\What blood type are you? response:	I'm a Taurus!
context: Are you trying to kill me?!\Gosh, that sucks.\It's cold...\I said I'm sorry!\No! You never said that!\You really dwell on trivial things, huh?\What blood type are you?\I'm a Taurus! response:	I'm not good with horoscopes, but roast lamb is good.
context: Gosh, that sucks.\It's cold...\I said I'm sorry!\No! You never said that!\You really dwell on trivial things, huh?\What blood type are you?\I'm a Taurus!\I'm not good with horoscopes, but roast lamb is good. response:	I'm not talking about that!
context: It's cold...\I said I'm sorry!\No! You never said that!\You really dwell on trivial things, huh?\What blood type are you?\I'm a Taurus!\I'm not good with horoscopes, but roast lamb is good.\I'm not talking about that! response:	I'll be eighteen in two months!
context: I said I'm sorry!\No! You never said that!\You really dwell on trivial things, huh?\What blood type are you?\I'm a Taurus!\I'm not good with horoscopes, but roast lamb is good.\I'm not talking about that!\I'll be eighteen in two months! response:	I'll run away from Yasuko and the others.
context: No! You never said that!\You really dwell on trivial things, huh?\What blood type are you?\I'm a Taurus!\I'm not good with horoscopes, but roast lamb is good.\I'm not talking about that!\I'll be eighteen in two months!\I'll run away from Yasuko and the others. response:	I'll run and run,
context: You really dwell on trivial things, huh?\What blood type are you?\I'm a Taurus!\I'm not good with horoscopes, but roast lamb is good.\I'm not talking about that!\I'll be eighteen in two months!\I'll run away from Yasuko and the others.\I'll run and run, response:	and then I'll sleep and wake up, and then I'll run until it's my birthday.
context: What blood type are you?\I'm a Taurus!\I'm not good with horoscopes, but roast lamb is good.\I'm not talking about that!\I'll be eighteen in two months!\I'll run away from Yasuko and the others.\I'll run and run,\and then I'll sleep and wake up, and then I'll run until it's my birthday. response:	At that time,
context: I'm a Taurus!\I'm not good with horoscopes, but roast lamb is good.\I'm not talking about that!\I'll be eighteen in two months!\I'll run away from Yasuko and the others.\I'll run and run,\and then I'll sleep and wake up, and then I'll run until it's my birthday.\At that time, response:	marry me!
context: I'm not good with horoscopes, but roast lamb is good.\I'm not talking about that!\I'll be eighteen in two months!\I'll run away from Yasuko and the others.\I'll run and run,\and then I'll sleep and wake up, and then I'll run until it's my birthday.\At that time,\marry me! response:	That way, we'll both be adults.
context: I'm not talking about that!\I'll be eighteen in two months!\I'll run away from Yasuko and the others.\I'll run and run,\and then I'll sleep and wake up, and then I'll run until it's my birthday.\At that time,\marry me!\That way, we'll both be adults. response:	No one will get in our way.
context: I'll be eighteen in two months!\I'll run away from Yasuko and the others.\I'll run and run,\and then I'll sleep and wake up, and then I'll run until it's my birthday.\At that time,\marry me!\That way, we'll both be adults.\No one will get in our way. response:	My life will be yours until I die!
context: I'll run away from Yasuko and the others.\I'll run and run,\and then I'll sleep and wake up, and then I'll run until it's my birthday.\At that time,\marry me!\That way, we'll both be adults.\No one will get in our way.\My life will be yours until I die! response:	Hold it right there!
context: I'll run and run,\and then I'll sleep and wake up, and then I'll run until it's my birthday.\At that time,\marry me!\That way, we'll both be adults.\No one will get in our way.\My life will be yours until I die!\Hold it right there! response:	You're so unfair!
context: and then I'll sleep and wake up, and then I'll run until it's my birthday.\At that time,\marry me!\That way, we'll both be adults.\No one will get in our way.\My life will be yours until I die!\Hold it right there!\You're so unfair! response:	Didn't I tell you to listen to what I have to say first?
context: At that time,\marry me!\That way, we'll both be adults.\No one will get in our way.\My life will be yours until I die!\Hold it right there!\You're so unfair!\Didn't I tell you to listen to what I have to say first? response:	You sneaky dog!
context: marry me!\That way, we'll both be adults.\No one will get in our way.\My life will be yours until I die!\Hold it right there!\You're so unfair!\Didn't I tell you to listen to what I have to say first?\You sneaky dog! response:	What?
context: That way, we'll both be adults.\No one will get in our way.\My life will be yours until I die!\Hold it right there!\You're so unfair!\Didn't I tell you to listen to what I have to say first?\You sneaky dog!\What? response:	Proposing should be left to guys!
context: No one will get in our way.\My life will be yours until I die!\Hold it right there!\You're so unfair!\Didn't I tell you to listen to what I have to say first?\You sneaky dog!\What?\Proposing should be left to guys! response:	Listen to me, I made a promise with Minorin.
context: My life will be yours until I die!\Hold it right there!\You're so unfair!\Didn't I tell you to listen to what I have to say first?\You sneaky dog!\What?\Proposing should be left to guys!\Listen to me, I made a promise with Minorin. response:	I promised to show her what I'll do.
context: Hold it right there!\You're so unfair!\Didn't I tell you to listen to what I have to say first?\You sneaky dog!\What?\Proposing should be left to guys!\Listen to me, I made a promise with Minorin.\I promised to show her what I'll do. response:	T-Then, let's say it together...
context: You're so unfair!\Didn't I tell you to listen to what I have to say first?\You sneaky dog!\What?\Proposing should be left to guys!\Listen to me, I made a promise with Minorin.\I promised to show her what I'll do.\T-Then, let's say it together... response:	Who the hell is calling at such an important time?
context: Didn't I tell you to listen to what I have to say first?\You sneaky dog!\What?\Proposing should be left to guys!\Listen to me, I made a promise with Minorin.\I promised to show her what I'll do.\T-Then, let's say it together...\Who the hell is calling at such an important time? response:	I'll ignore it.
context: You sneaky dog!\What?\Proposing should be left to guys!\Listen to me, I made a promise with Minorin.\I promised to show her what I'll do.\T-Then, let's say it together...\Who the hell is calling at such an important time?\I'll ignore it. response:	Let's keep going, it's getting cold here...
context: What?\Proposing should be left to guys!\Listen to me, I made a promise with Minorin.\I promised to show her what I'll do.\T-Then, let's say it together...\Who the hell is calling at such an important time?\I'll ignore it.\Let's keep going, it's getting cold here... response:	What do you mean?! It'll be a pity!
context: Proposing should be left to guys!\Listen to me, I made a promise with Minorin.\I promised to show her what I'll do.\T-Then, let's say it together...\Who the hell is calling at such an important time?\I'll ignore it.\Let's keep going, it's getting cold here...\What do you mean?! It'll be a pity! response:	Just pick it up already!
context: Listen to me, I made a promise with Minorin.\I promised to show her what I'll do.\T-Then, let's say it together...\Who the hell is calling at such an important time?\I'll ignore it.\Let's keep going, it's getting cold here...\What do you mean?! It'll be a pity!\Just pick it up already! response:	F-Fine.
context: I promised to show her what I'll do.\T-Then, let's say it together...\Who the hell is calling at such an important time?\I'll ignore it.\Let's keep going, it's getting cold here...\What do you mean?! It'll be a pity!\Just pick it up already!\F-Fine. response:	Hey Takasu, what the heck are you doing?
context: T-Then, let's say it together...\Who the hell is calling at such an important time?\I'll ignore it.\Let's keep going, it's getting cold here...\What do you mean?! It'll be a pity!\Just pick it up already!\F-Fine.\Hey Takasu, what the heck are you doing? response:	Kitamura?
context: Who the hell is calling at such an important time?\I'll ignore it.\Let's keep going, it's getting cold here...\What do you mean?! It'll be a pity!\Just pick it up already!\F-Fine.\Hey Takasu, what the heck are you doing?\Kitamura? response:	Your mum and Aisaka's mum are searching everywhere for you guys!
context: I'll ignore it.\Let's keep going, it's getting cold here...\What do you mean?! It'll be a pity!\Just pick it up already!\F-Fine.\Hey Takasu, what the heck are you doing?\Kitamura?\Your mum and Aisaka's mum are searching everywhere for you guys! response:	Whatever, just come to where I tell you to.
context: Let's keep going, it's getting cold here...\What do you mean?! It'll be a pity!\Just pick it up already!\F-Fine.\Hey Takasu, what the heck are you doing?\Kitamura?\Your mum and Aisaka's mum are searching everywhere for you guys!\Whatever, just come to where I tell you to. response:	W-Wait, Kitamura!
context: What do you mean?! It'll be a pity!\Just pick it up already!\F-Fine.\Hey Takasu, what the heck are you doing?\Kitamura?\Your mum and Aisaka's mum are searching everywhere for you guys!\Whatever, just come to where I tell you to.\W-Wait, Kitamura! response:	You sneezed on my hair!
context: Just pick it up already!\F-Fine.\Hey Takasu, what the heck are you doing?\Kitamura?\Your mum and Aisaka's mum are searching everywhere for you guys!\Whatever, just come to where I tell you to.\W-Wait, Kitamura!\You sneezed on my hair! response:	Why are you two all wet?
context: F-Fine.\Hey Takasu, what the heck are you doing?\Kitamura?\Your mum and Aisaka's mum are searching everywhere for you guys!\Whatever, just come to where I tell you to.\W-Wait, Kitamura!\You sneezed on my hair!\Why are you two all wet? response:	Why are we meeting at your house?
context: Hey Takasu, what the heck are you doing?\Kitamura?\Your mum and Aisaka's mum are searching everywhere for you guys!\Whatever, just come to where I tell you to.\W-Wait, Kitamura!\You sneezed on my hair!\Why are you two all wet?\Why are we meeting at your house? response:	Your mothers haven't come here yet.
context: Kitamura?\Your mum and Aisaka's mum are searching everywhere for you guys!\Whatever, just come to where I tell you to.\W-Wait, Kitamura!\You sneezed on my hair!\Why are you two all wet?\Why are we meeting at your house?\Your mothers haven't come here yet. response:	My aunt isn't here today, so come in.
context: Your mum and Aisaka's mum are searching everywhere for you guys!\Whatever, just come to where I tell you to.\W-Wait, Kitamura!\You sneezed on my hair!\Why are you two all wet?\Why are we meeting at your house?\Your mothers haven't come here yet.\My aunt isn't here today, so come in. response:	You'll catch a cold if you stay in those clothes.
context: Whatever, just come to where I tell you to.\W-Wait, Kitamura!\You sneezed on my hair!\Why are you two all wet?\Why are we meeting at your house?\Your mothers haven't come here yet.\My aunt isn't here today, so come in.\You'll catch a cold if you stay in those clothes. response:	Take a shower first.
context: W-Wait, Kitamura!\You sneezed on my hair!\Why are you two all wet?\Why are we meeting at your house?\Your mothers haven't come here yet.\My aunt isn't here today, so come in.\You'll catch a cold if you stay in those clothes.\Take a shower first. response:	Turn right at the end.
context: You sneezed on my hair!\Why are you two all wet?\Why are we meeting at your house?\Your mothers haven't come here yet.\My aunt isn't here today, so come in.\You'll catch a cold if you stay in those clothes.\Take a shower first.\Turn right at the end. response:	Here, this, and this too.
context: Why are you two all wet?\Why are we meeting at your house?\Your mothers haven't come here yet.\My aunt isn't here today, so come in.\You'll catch a cold if you stay in those clothes.\Take a shower first.\Turn right at the end.\Here, this, and this too. response:	I can't believe I'm troubling you.
context: Why are we meeting at your house?\Your mothers haven't come here yet.\My aunt isn't here today, so come in.\You'll catch a cold if you stay in those clothes.\Take a shower first.\Turn right at the end.\Here, this, and this too.\I can't believe I'm troubling you. response:	You...
context: Your mothers haven't come here yet.\My aunt isn't here today, so come in.\You'll catch a cold if you stay in those clothes.\Take a shower first.\Turn right at the end.\Here, this, and this too.\I can't believe I'm troubling you.\You... response:	Thanks.
context: My aunt isn't here today, so come in.\You'll catch a cold if you stay in those clothes.\Take a shower first.\Turn right at the end.\Here, this, and this too.\I can't believe I'm troubling you.\You...\Thanks. response:	Hey Taiga, your shoes!
context: You'll catch a cold if you stay in those clothes.\Take a shower first.\Turn right at the end.\Here, this, and this too.\I can't believe I'm troubling you.\You...\Thanks.\Hey Taiga, your shoes! response:	Sheesh...
context: Take a shower first.\Turn right at the end.\Here, this, and this too.\I can't believe I'm troubling you.\You...\Thanks.\Hey Taiga, your shoes!\Sheesh... response:	Kawashima?
context: Turn right at the end.\Here, this, and this too.\I can't believe I'm troubling you.\You...\Thanks.\Hey Taiga, your shoes!\Sheesh...\Kawashima? response:	Oh yeah, Yuusaku said he'll bring you a change of clothes.
context: Here, this, and this too.\I can't believe I'm troubling you.\You...\Thanks.\Hey Taiga, your shoes!\Sheesh...\Kawashima?\Oh yeah, Yuusaku said he'll bring you a change of clothes. response:	Anyway, I'm sorry for bothering you.
