context: hajimete no kimochi my first feelings response:	shonbori no mune ni upon my downhearted chest
context: Yeah!\Hey, Futaba-chan!\What's up?\You're eating it again?\You sure love the ice cream from this place.\She went to the same junior high as me.\I'm Tamaki Youko from class 4. Nice to meet you.\I'm Kohinata Nanoka, nice to meet you too. response:	Hey, I was going to go karaoke with my friends, so...
context: Hey, Futaba-chan!\What's up?\You're eating it again?\You sure love the ice cream from this place.\She went to the same junior high as me.\I'm Tamaki Youko from class 4. Nice to meet you.\I'm Kohinata Nanoka, nice to meet you too.\Hey, I was going to go karaoke with my friends, so... response:	do you guys want to come along too?
context: What's up?\You're eating it again?\You sure love the ice cream from this place.\She went to the same junior high as me.\I'm Tamaki Youko from class 4. Nice to meet you.\I'm Kohinata Nanoka, nice to meet you too.\Hey, I was going to go karaoke with my friends, so...\do you guys want to come along too? response:	I'm home.
context: You're eating it again?\You sure love the ice cream from this place.\She went to the same junior high as me.\I'm Tamaki Youko from class 4. Nice to meet you.\I'm Kohinata Nanoka, nice to meet you too.\Hey, I was going to go karaoke with my friends, so...\do you guys want to come along too?\I'm home. response:	What are you doing?
context: You sure love the ice cream from this place.\She went to the same junior high as me.\I'm Tamaki Youko from class 4. Nice to meet you.\I'm Kohinata Nanoka, nice to meet you too.\Hey, I was going to go karaoke with my friends, so...\do you guys want to come along too?\I'm home.\What are you doing? response:	Nanoka said...
context: She went to the same junior high as me.\I'm Tamaki Youko from class 4. Nice to meet you.\I'm Kohinata Nanoka, nice to meet you too.\Hey, I was going to go karaoke with my friends, so...\do you guys want to come along too?\I'm home.\What are you doing?\Nanoka said... response:	on the phone that she's going to be late.
context: I'm Tamaki Youko from class 4. Nice to meet you.\I'm Kohinata Nanoka, nice to meet you too.\Hey, I was going to go karaoke with my friends, so...\do you guys want to come along too?\I'm home.\What are you doing?\Nanoka said...\on the phone that she's going to be late. response:	What?
context: I'm Kohinata Nanoka, nice to meet you too.\Hey, I was going to go karaoke with my friends, so...\do you guys want to come along too?\I'm home.\What are you doing?\Nanoka said...\on the phone that she's going to be late.\What? response:	She contacted you, so it's fine.
context: Hey, I was going to go karaoke with my friends, so...\do you guys want to come along too?\I'm home.\What are you doing?\Nanoka said...\on the phone that she's going to be late.\What?\She contacted you, so it's fine. response:	You idiot!
context: do you guys want to come along too?\I'm home.\What are you doing?\Nanoka said...\on the phone that she's going to be late.\What?\She contacted you, so it's fine.\You idiot! response:	Right now, Nanoka could be surrounded by strange men and might get kidnapped!
context: I'm home.\What are you doing?\Nanoka said...\on the phone that she's going to be late.\What?\She contacted you, so it's fine.\You idiot!\Right now, Nanoka could be surrounded by strange men and might get kidnapped! response:	If something like that happens...
context: What are you doing?\Nanoka said...\on the phone that she's going to be late.\What?\She contacted you, so it's fine.\You idiot!\Right now, Nanoka could be surrounded by strange men and might get kidnapped!\If something like that happens... response:	You're overreacting.
context: Nanoka said...\on the phone that she's going to be late.\What?\She contacted you, so it's fine.\You idiot!\Right now, Nanoka could be surrounded by strange men and might get kidnapped!\If something like that happens...\You're overreacting. response:	Ah! I sang a lot!
context: on the phone that she's going to be late.\What?\She contacted you, so it's fine.\You idiot!\Right now, Nanoka could be surrounded by strange men and might get kidnapped!\If something like that happens...\You're overreacting.\Ah! I sang a lot! response:	It was so much fun!
context: What?\She contacted you, so it's fine.\You idiot!\Right now, Nanoka could be surrounded by strange men and might get kidnapped!\If something like that happens...\You're overreacting.\Ah! I sang a lot!\It was so much fun! response:	I feel so refreshed.
context: She contacted you, so it's fine.\You idiot!\Right now, Nanoka could be surrounded by strange men and might get kidnapped!\If something like that happens...\You're overreacting.\Ah! I sang a lot!\It was so much fun!\I feel so refreshed. response:	It's gotten kind of late, huh?
context: You idiot!\Right now, Nanoka could be surrounded by strange men and might get kidnapped!\If something like that happens...\You're overreacting.\Ah! I sang a lot!\It was so much fun!\I feel so refreshed.\It's gotten kind of late, huh? response:	Are you okay, Nanoka?
context: Right now, Nanoka could be surrounded by strange men and might get kidnapped!\If something like that happens...\You're overreacting.\Ah! I sang a lot!\It was so much fun!\I feel so refreshed.\It's gotten kind of late, huh?\Are you okay, Nanoka? response:	I called them just in case.
context: If something like that happens...\You're overreacting.\Ah! I sang a lot!\It was so much fun!\I feel so refreshed.\It's gotten kind of late, huh?\Are you okay, Nanoka?\I called them just in case. response:	Let's go again next time!
context: You're overreacting.\Ah! I sang a lot!\It was so much fun!\I feel so refreshed.\It's gotten kind of late, huh?\Are you okay, Nanoka?\I called them just in case.\Let's go again next time! response:	Yeah!
context: Ah! I sang a lot!\It was so much fun!\I feel so refreshed.\It's gotten kind of late, huh?\Are you okay, Nanoka?\I called them just in case.\Let's go again next time!\Yeah! response:	I'll see you tomorrow, then.
context: It was so much fun!\I feel so refreshed.\It's gotten kind of late, huh?\Are you okay, Nanoka?\I called them just in case.\Let's go again next time!\Yeah!\I'll see you tomorrow, then. response:	See you! Bye!
context: I feel so refreshed.\It's gotten kind of late, huh?\Are you okay, Nanoka?\I called them just in case.\Let's go again next time!\Yeah!\I'll see you tomorrow, then.\See you! Bye! response:	Try to make up with your brother.
context: It's gotten kind of late, huh?\Are you okay, Nanoka?\I called them just in case.\Let's go again next time!\Yeah!\I'll see you tomorrow, then.\See you! Bye!\Try to make up with your brother. response:	This is the Saeki residence.
context: Are you okay, Nanoka?\I called them just in case.\Let's go again next time!\Yeah!\I'll see you tomorrow, then.\See you! Bye!\Try to make up with your brother.\This is the Saeki residence. response:	This is Nanoka.
context: I called them just in case.\Let's go again next time!\Yeah!\I'll see you tomorrow, then.\See you! Bye!\Try to make up with your brother.\This is the Saeki residence.\This is Nanoka. response:	Are you stupid?!
context: Let's go again next time!\Yeah!\I'll see you tomorrow, then.\See you! Bye!\Try to make up with your brother.\This is the Saeki residence.\This is Nanoka.\Are you stupid?! response:	What have you been doing until this hour?
context: Yeah!\I'll see you tomorrow, then.\See you! Bye!\Try to make up with your brother.\This is the Saeki residence.\This is Nanoka.\Are you stupid?!\What have you been doing until this hour? response:	Um... no...
context: I'll see you tomorrow, then.\See you! Bye!\Try to make up with your brother.\This is the Saeki residence.\This is Nanoka.\Are you stupid?!\What have you been doing until this hour?\Um... no... response:	Where are you right now?
context: See you! Bye!\Try to make up with your brother.\This is the Saeki residence.\This is Nanoka.\Are you stupid?!\What have you been doing until this hour?\Um... no...\Where are you right now? response:	At the public phone outside the park.
context: Try to make up with your brother.\This is the Saeki residence.\This is Nanoka.\Are you stupid?!\What have you been doing until this hour?\Um... no...\Where are you right now?\At the public phone outside the park. response:	Why did you pass through such a place?
context: This is the Saeki residence.\This is Nanoka.\Are you stupid?!\What have you been doing until this hour?\Um... no...\Where are you right now?\At the public phone outside the park.\Why did you pass through such a place? response:	Don't you know there are many perverts around there?
context: This is Nanoka.\Are you stupid?!\What have you been doing until this hour?\Um... no...\Where are you right now?\At the public phone outside the park.\Why did you pass through such a place?\Don't you know there are many perverts around there? response:	I got it!
context: Are you stupid?!\What have you been doing until this hour?\Um... no...\Where are you right now?\At the public phone outside the park.\Why did you pass through such a place?\Don't you know there are many perverts around there?\I got it! response:	I was just going to tell you I'm heading home right now!
context: What have you been doing until this hour?\Um... no...\Where are you right now?\At the public phone outside the park.\Why did you pass through such a place?\Don't you know there are many perverts around there?\I got it!\I was just going to tell you I'm heading home right now! response:	Bye!
context: Um... no...\Where are you right now?\At the public phone outside the park.\Why did you pass through such a place?\Don't you know there are many perverts around there?\I got it!\I was just going to tell you I'm heading home right now!\Bye! response:	Hey! Hello?
context: Where are you right now?\At the public phone outside the park.\Why did you pass through such a place?\Don't you know there are many perverts around there?\I got it!\I was just going to tell you I'm heading home right now!\Bye!\Hey! Hello? response:	What's with him?!
context: At the public phone outside the park.\Why did you pass through such a place?\Don't you know there are many perverts around there?\I got it!\I was just going to tell you I'm heading home right now!\Bye!\Hey! Hello?\What's with him?! response:	He's so arrogant!
context: Why did you pass through such a place?\Don't you know there are many perverts around there?\I got it!\I was just going to tell you I'm heading home right now!\Bye!\Hey! Hello?\What's with him?!\He's so arrogant! response:	I was feeling down...
context: Don't you know there are many perverts around there?\I got it!\I was just going to tell you I'm heading home right now!\Bye!\Hey! Hello?\What's with him?!\He's so arrogant!\I was feeling down... response:	I know now...
context: I got it!\I was just going to tell you I'm heading home right now!\Bye!\Hey! Hello?\What's with him?!\He's so arrogant!\I was feeling down...\I know now... response:	That time...
context: I was just going to tell you I'm heading home right now!\Bye!\Hey! Hello?\What's with him?!\He's so arrogant!\I was feeling down...\I know now...\That time... response:	I didn't know why you cried that time, but...
context: Bye!\Hey! Hello?\What's with him?!\He's so arrogant!\I was feeling down...\I know now...\That time...\I didn't know why you cried that time, but... response:	thanks to that, I didn't have to cry.
context: Hey! Hello?\What's with him?!\He's so arrogant!\I was feeling down...\I know now...\That time...\I didn't know why you cried that time, but...\thanks to that, I didn't have to cry. response:	Even if I remember about the guy I used to like,
context: What's with him?!\He's so arrogant!\I was feeling down...\I know now...\That time...\I didn't know why you cried that time, but...\thanks to that, I didn't have to cry.\Even if I remember about the guy I used to like, response:	I'm all right now.
context: He's so arrogant!\I was feeling down...\I know now...\That time...\I didn't know why you cried that time, but...\thanks to that, I didn't have to cry.\Even if I remember about the guy I used to like,\I'm all right now. response:	But...
context: I was feeling down...\I know now...\That time...\I didn't know why you cried that time, but...\thanks to that, I didn't have to cry.\Even if I remember about the guy I used to like,\I'm all right now.\But... response:	Why does it have to be like this?
context: I know now...\That time...\I didn't know why you cried that time, but...\thanks to that, I didn't have to cry.\Even if I remember about the guy I used to like,\I'm all right now.\But...\Why does it have to be like this? response:	Get on.
context: That time...\I didn't know why you cried that time, but...\thanks to that, I didn't have to cry.\Even if I remember about the guy I used to like,\I'm all right now.\But...\Why does it have to be like this?\Get on. response:	No thanks.
context: I didn't know why you cried that time, but...\thanks to that, I didn't have to cry.\Even if I remember about the guy I used to like,\I'm all right now.\But...\Why does it have to be like this?\Get on.\No thanks. response:	Who do you think I came out here for?
context: thanks to that, I didn't have to cry.\Even if I remember about the guy I used to like,\I'm all right now.\But...\Why does it have to be like this?\Get on.\No thanks.\Who do you think I came out here for? response:	Hurry up and get on.
context: Even if I remember about the guy I used to like,\I'm all right now.\But...\Why does it have to be like this?\Get on.\No thanks.\Who do you think I came out here for?\Hurry up and get on. response:	Brother, you just did that on your own!
context: I'm all right now.\But...\Why does it have to be like this?\Get on.\No thanks.\Who do you think I came out here for?\Hurry up and get on.\Brother, you just did that on your own! response:	Fine...
context: But...\Why does it have to be like this?\Get on.\No thanks.\Who do you think I came out here for?\Hurry up and get on.\Brother, you just did that on your own!\Fine... response:	Call me whatever you wish.
context: Why does it have to be like this?\Get on.\No thanks.\Who do you think I came out here for?\Hurry up and get on.\Brother, you just did that on your own!\Fine...\Call me whatever you wish. response:	Dad is worried about you,
context: Get on.\No thanks.\Who do you think I came out here for?\Hurry up and get on.\Brother, you just did that on your own!\Fine...\Call me whatever you wish.\Dad is worried about you, response:	let's hurry up and go home.
context: No thanks.\Who do you think I came out here for?\Hurry up and get on.\Brother, you just did that on your own!\Fine...\Call me whatever you wish.\Dad is worried about you,\let's hurry up and go home. response:	I'm leaving.
context: Who do you think I came out here for?\Hurry up and get on.\Brother, you just did that on your own!\Fine...\Call me whatever you wish.\Dad is worried about you,\let's hurry up and go home.\I'm leaving. response:	Okay.
context: Hurry up and get on.\Brother, you just did that on your own!\Fine...\Call me whatever you wish.\Dad is worried about you,\let's hurry up and go home.\I'm leaving.\Okay. response:	Brother?
context: Brother, you just did that on your own!\Fine...\Call me whatever you wish.\Dad is worried about you,\let's hurry up and go home.\I'm leaving.\Okay.\Brother? response:	What?
context: Fine...\Call me whatever you wish.\Dad is worried about you,\let's hurry up and go home.\I'm leaving.\Okay.\Brother?\What? response:	Nothing...
context: Call me whatever you wish.\Dad is worried about you,\let's hurry up and go home.\I'm leaving.\Okay.\Brother?\What?\Nothing... response:	As for me,
context: Dad is worried about you,\let's hurry up and go home.\I'm leaving.\Okay.\Brother?\What?\Nothing...\As for me, response:	I was getting irritated from still feeling uncomfortable.
context: let's hurry up and go home.\I'm leaving.\Okay.\Brother?\What?\Nothing...\As for me,\I was getting irritated from still feeling uncomfortable. response:	She's my younger sister.
context: I'm leaving.\Okay.\Brother?\What?\Nothing...\As for me,\I was getting irritated from still feeling uncomfortable.\She's my younger sister. response:	So this is fine.
context: Okay.\Brother?\What?\Nothing...\As for me,\I was getting irritated from still feeling uncomfortable.\She's my younger sister.\So this is fine. response:	This is normal, and ordinary.
context: Brother?\What?\Nothing...\As for me,\I was getting irritated from still feeling uncomfortable.\She's my younger sister.\So this is fine.\This is normal, and ordinary. response:	I continued pedaling as if to tell myself that.
context: What?\Nothing...\As for me,\I was getting irritated from still feeling uncomfortable.\She's my younger sister.\So this is fine.\This is normal, and ordinary.\I continued pedaling as if to tell myself that. response:	yasashii yume ga a gentle dream
context: Nothing...\As for me,\I was getting irritated from still feeling uncomfortable.\She's my younger sister.\So this is fine.\This is normal, and ordinary.\I continued pedaling as if to tell myself that.\yasashii yume ga a gentle dream response:	sotto mune no haru wo yobi calls the spring in my heart
context: As for me,\I was getting irritated from still feeling uncomfortable.\She's my younger sister.\So this is fine.\This is normal, and ordinary.\I continued pedaling as if to tell myself that.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart response:	yasashii kaze ni nari and becomes a gentle breeze
context: I was getting irritated from still feeling uncomfortable.\She's my younger sister.\So this is fine.\This is normal, and ordinary.\I continued pedaling as if to tell myself that.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze response:	kimi ni furete satteyuku that touches you then leaves
context: She's my younger sister.\So this is fine.\This is normal, and ordinary.\I continued pedaling as if to tell myself that.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves response:	chiisana potto ni wa in the small pot
context: So this is fine.\This is normal, and ordinary.\I continued pedaling as if to tell myself that.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot response:	daisukina kimochi are feelings of love
context: This is normal, and ordinary.\I continued pedaling as if to tell myself that.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love response:	yurayura to swaying softly
context: I continued pedaling as if to tell myself that.\yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly response:	ii kaori nosete that carry a sweet scent
context: yasashii yume ga a gentle dream\sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent response:	itsumo matteita always waiting...
context: sotto mune no haru wo yobi calls the spring in my heart\yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting... response:	kono toki wo atatamete warming up this moment...
context: yasashii kaze ni nari and becomes a gentle breeze\kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment... response:	futari dakara wakaru koto things we understand because it's the two of us
context: kimi ni furete satteyuku that touches you then leaves\chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us response:	kotoba janakute are not just words
context: chiisana potto ni wa in the small pot\daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words response:	hohoemu dake negaudake we just smile, we just hope
context: daisukina kimochi are feelings of love\yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope response:	shizukana sora e to the quiet sky
context: yurayura to swaying softly\ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky response:	ashita mo mata aeru yo ne we'll see each other again tomorrow...
context: ii kaori nosete that carry a sweet scent\itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky\ashita mo mata aeru yo ne we'll see each other again tomorrow... response:	shizukana sora de at the quiet sky
context: itsumo matteita always waiting...\kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky\ashita mo mata aeru yo ne we'll see each other again tomorrow...\shizukana sora de at the quiet sky response:	Chidori goes
context: kono toki wo atatamete warming up this moment...\futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky\ashita mo mata aeru yo ne we'll see each other again tomorrow...\shizukana sora de at the quiet sky\Chidori goes response:	I do not intend to misuse the Marriage Consultation office.
context: futari dakara wakaru koto things we understand because it's the two of us\kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky\ashita mo mata aeru yo ne we'll see each other again tomorrow...\shizukana sora de at the quiet sky\Chidori goes\I do not intend to misuse the Marriage Consultation office. response:	I just want to innocently and lawfully become friends with female high school students!
context: kotoba janakute are not just words\hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky\ashita mo mata aeru yo ne we'll see each other again tomorrow...\shizukana sora de at the quiet sky\Chidori goes\I do not intend to misuse the Marriage Consultation office.\I just want to innocently and lawfully become friends with female high school students! response:	Punishment - Hiding Glasses.
context: hohoemu dake negaudake we just smile, we just hope\shizukana sora e to the quiet sky\ashita mo mata aeru yo ne we'll see each other again tomorrow...\shizukana sora de at the quiet sky\Chidori goes\I do not intend to misuse the Marriage Consultation office.\I just want to innocently and lawfully become friends with female high school students!\Punishment - Hiding Glasses. response:	Glasses...
