context: Auntie, are you really going to marry the Crown Prince? response:	I have to marry him sooner or later.
context: We haven't had such a grand joyous occasion for a long time.\Don't worry, Your Highness.\I'll surely do my best to make all the arrangements for Your Highness.\High God Bai Qian will marry into the palace glamorously.\I wonder when the wedding will be held?\We have yet to set a date.\The date isn't set?\Didn't Ye Hua sink Yingzhou of the Eastern Sea? response:	He slayed the four mythical beasts left behind by Heavenly Father.
context: Don't worry, Your Highness.\I'll surely do my best to make all the arrangements for Your Highness.\High God Bai Qian will marry into the palace glamorously.\I wonder when the wedding will be held?\We have yet to set a date.\The date isn't set?\Didn't Ye Hua sink Yingzhou of the Eastern Sea?\He slayed the four mythical beasts left behind by Heavenly Father. response:	He's now punished to withstand heavenly trial in the Mortal Realm.
context: I'll surely do my best to make all the arrangements for Your Highness.\High God Bai Qian will marry into the palace glamorously.\I wonder when the wedding will be held?\We have yet to set a date.\The date isn't set?\Didn't Ye Hua sink Yingzhou of the Eastern Sea?\He slayed the four mythical beasts left behind by Heavenly Father.\He's now punished to withstand heavenly trial in the Mortal Realm. response:	The soonest he could return is two months.
context: High God Bai Qian will marry into the palace glamorously.\I wonder when the wedding will be held?\We have yet to set a date.\The date isn't set?\Didn't Ye Hua sink Yingzhou of the Eastern Sea?\He slayed the four mythical beasts left behind by Heavenly Father.\He's now punished to withstand heavenly trial in the Mortal Realm.\The soonest he could return is two months. response:	We'll set the date when he returns.
context: I wonder when the wedding will be held?\We have yet to set a date.\The date isn't set?\Didn't Ye Hua sink Yingzhou of the Eastern Sea?\He slayed the four mythical beasts left behind by Heavenly Father.\He's now punished to withstand heavenly trial in the Mortal Realm.\The soonest he could return is two months.\We'll set the date when he returns. response:	I understand.
context: We have yet to set a date.\The date isn't set?\Didn't Ye Hua sink Yingzhou of the Eastern Sea?\He slayed the four mythical beasts left behind by Heavenly Father.\He's now punished to withstand heavenly trial in the Mortal Realm.\The soonest he could return is two months.\We'll set the date when he returns.\I understand. response:	High God.
context: The date isn't set?\Didn't Ye Hua sink Yingzhou of the Eastern Sea?\He slayed the four mythical beasts left behind by Heavenly Father.\He's now punished to withstand heavenly trial in the Mortal Realm.\The soonest he could return is two months.\We'll set the date when he returns.\I understand.\High God. response:	Is His Highness in there?
context: Didn't Ye Hua sink Yingzhou of the Eastern Sea?\He slayed the four mythical beasts left behind by Heavenly Father.\He's now punished to withstand heavenly trial in the Mortal Realm.\The soonest he could return is two months.\We'll set the date when he returns.\I understand.\High God.\Is His Highness in there? response:	His Highness didn't know when High God would return
context: He slayed the four mythical beasts left behind by Heavenly Father.\He's now punished to withstand heavenly trial in the Mortal Realm.\The soonest he could return is two months.\We'll set the date when he returns.\I understand.\High God.\Is His Highness in there?\His Highness didn't know when High God would return response:	so he's instructed me to wait here for your return to take you to him.
context: He's now punished to withstand heavenly trial in the Mortal Realm.\The soonest he could return is two months.\We'll set the date when he returns.\I understand.\High God.\Is His Highness in there?\His Highness didn't know when High God would return\so he's instructed me to wait here for your return to take you to him. response:	He's made it so mysterious?
context: The soonest he could return is two months.\We'll set the date when he returns.\I understand.\High God.\Is His Highness in there?\His Highness didn't know when High God would return\so he's instructed me to wait here for your return to take you to him.\He's made it so mysterious? response:	High God, this way, please.
context: We'll set the date when he returns.\I understand.\High God.\Is His Highness in there?\His Highness didn't know when High God would return\so he's instructed me to wait here for your return to take you to him.\He's made it so mysterious?\High God, this way, please. response:	High God, is there a problem?
context: I understand.\High God.\Is His Highness in there?\His Highness didn't know when High God would return\so he's instructed me to wait here for your return to take you to him.\He's made it so mysterious?\High God, this way, please.\High God, is there a problem? response:	I'm fine.
context: High God.\Is His Highness in there?\His Highness didn't know when High God would return\so he's instructed me to wait here for your return to take you to him.\He's made it so mysterious?\High God, this way, please.\High God, is there a problem?\I'm fine. response:	I've been to this lotus pond before.
context: Is His Highness in there?\His Highness didn't know when High God would return\so he's instructed me to wait here for your return to take you to him.\He's made it so mysterious?\High God, this way, please.\High God, is there a problem?\I'm fine.\I've been to this lotus pond before. response:	Why is it so foggy here tonight?
context: His Highness didn't know when High God would return\so he's instructed me to wait here for your return to take you to him.\He's made it so mysterious?\High God, this way, please.\High God, is there a problem?\I'm fine.\I've been to this lotus pond before.\Why is it so foggy here tonight? response:	His Highness has especially arranged it to be so.
context: so he's instructed me to wait here for your return to take you to him.\He's made it so mysterious?\High God, this way, please.\High God, is there a problem?\I'm fine.\I've been to this lotus pond before.\Why is it so foggy here tonight?\His Highness has especially arranged it to be so. response:	High God, this way, please.
context: He's made it so mysterious?\High God, this way, please.\High God, is there a problem?\I'm fine.\I've been to this lotus pond before.\Why is it so foggy here tonight?\His Highness has especially arranged it to be so.\High God, this way, please. response:	Greetings to Auntie!
context: High God, this way, please.\High God, is there a problem?\I'm fine.\I've been to this lotus pond before.\Why is it so foggy here tonight?\His Highness has especially arranged it to be so.\High God, this way, please.\Greetings to Auntie! response:	Qian Qian, come here.
context: High God, is there a problem?\I'm fine.\I've been to this lotus pond before.\Why is it so foggy here tonight?\His Highness has especially arranged it to be so.\High God, this way, please.\Greetings to Auntie!\Qian Qian, come here. response:	Come here.
context: I'm fine.\I've been to this lotus pond before.\Why is it so foggy here tonight?\His Highness has especially arranged it to be so.\High God, this way, please.\Greetings to Auntie!\Qian Qian, come here.\Come here. response:	Qian Qian.
context: I've been to this lotus pond before.\Why is it so foggy here tonight?\His Highness has especially arranged it to be so.\High God, this way, please.\Greetings to Auntie!\Qian Qian, come here.\Come here.\Qian Qian. response:	These are all the deities of the Celestial Tribe.
context: Why is it so foggy here tonight?\His Highness has especially arranged it to be so.\High God, this way, please.\Greetings to Auntie!\Qian Qian, come here.\Come here.\Qian Qian.\These are all the deities of the Celestial Tribe. response:	Bai Qian greets everyone.
context: His Highness has especially arranged it to be so.\High God, this way, please.\Greetings to Auntie!\Qian Qian, come here.\Come here.\Qian Qian.\These are all the deities of the Celestial Tribe.\Bai Qian greets everyone. response:	What a perfect match.
context: High God, this way, please.\Greetings to Auntie!\Qian Qian, come here.\Come here.\Qian Qian.\These are all the deities of the Celestial Tribe.\Bai Qian greets everyone.\What a perfect match. response:	How lovely.
context: Greetings to Auntie!\Qian Qian, come here.\Come here.\Qian Qian.\These are all the deities of the Celestial Tribe.\Bai Qian greets everyone.\What a perfect match.\How lovely. response:	A match made in heaven.
context: Qian Qian, come here.\Come here.\Qian Qian.\These are all the deities of the Celestial Tribe.\Bai Qian greets everyone.\What a perfect match.\How lovely.\A match made in heaven. response:	What a beautiful couple!
context: Come here.\Qian Qian.\These are all the deities of the Celestial Tribe.\Bai Qian greets everyone.\What a perfect match.\How lovely.\A match made in heaven.\What a beautiful couple! response:	You're the Crown Princess Consort of the Nine Heavens.
context: Qian Qian.\These are all the deities of the Celestial Tribe.\Bai Qian greets everyone.\What a perfect match.\How lovely.\A match made in heaven.\What a beautiful couple!\You're the Crown Princess Consort of the Nine Heavens. response:	It should be done so.
context: These are all the deities of the Celestial Tribe.\Bai Qian greets everyone.\What a perfect match.\How lovely.\A match made in heaven.\What a beautiful couple!\You're the Crown Princess Consort of the Nine Heavens.\It should be done so. response:	Who knew that you could sometimes be so...
context: Bai Qian greets everyone.\What a perfect match.\How lovely.\A match made in heaven.\What a beautiful couple!\You're the Crown Princess Consort of the Nine Heavens.\It should be done so.\Who knew that you could sometimes be so... response:	What?
context: What a perfect match.\How lovely.\A match made in heaven.\What a beautiful couple!\You're the Crown Princess Consort of the Nine Heavens.\It should be done so.\Who knew that you could sometimes be so...\What? response:	So likable.
context: How lovely.\A match made in heaven.\What a beautiful couple!\You're the Crown Princess Consort of the Nine Heavens.\It should be done so.\Who knew that you could sometimes be so...\What?\So likable. response:	Just likable?
context: A match made in heaven.\What a beautiful couple!\You're the Crown Princess Consort of the Nine Heavens.\It should be done so.\Who knew that you could sometimes be so...\What?\So likable.\Just likable? response:	A-Li greets Father and Mother.
context: What a beautiful couple!\You're the Crown Princess Consort of the Nine Heavens.\It should be done so.\Who knew that you could sometimes be so...\What?\So likable.\Just likable?\A-Li greets Father and Mother. response:	- Come here. - That's so adorable!
context: You're the Crown Princess Consort of the Nine Heavens.\It should be done so.\Who knew that you could sometimes be so...\What?\So likable.\Just likable?\A-Li greets Father and Mother.\- Come here. - That's so adorable! response:	Why has Mother sneaked in here again?
context: It should be done so.\Who knew that you could sometimes be so...\What?\So likable.\Just likable?\A-Li greets Father and Mother.\- Come here. - That's so adorable!\Why has Mother sneaked in here again? response:	I thought that I wouldn't be able to see you for some time.
context: Who knew that you could sometimes be so...\What?\So likable.\Just likable?\A-Li greets Father and Mother.\- Come here. - That's so adorable!\Why has Mother sneaked in here again?\I thought that I wouldn't be able to see you for some time. response:	I've gone to visit a few of your uncles in Qing Qiu.
context: What?\So likable.\Just likable?\A-Li greets Father and Mother.\- Come here. - That's so adorable!\Why has Mother sneaked in here again?\I thought that I wouldn't be able to see you for some time.\I've gone to visit a few of your uncles in Qing Qiu. response:	I've asked them to make arrangements so that I can marry your father soon.
context: So likable.\Just likable?\A-Li greets Father and Mother.\- Come here. - That's so adorable!\Why has Mother sneaked in here again?\I thought that I wouldn't be able to see you for some time.\I've gone to visit a few of your uncles in Qing Qiu.\I've asked them to make arrangements so that I can marry your father soon. response:	Really? That's wonderful!
context: Just likable?\A-Li greets Father and Mother.\- Come here. - That's so adorable!\Why has Mother sneaked in here again?\I thought that I wouldn't be able to see you for some time.\I've gone to visit a few of your uncles in Qing Qiu.\I've asked them to make arrangements so that I can marry your father soon.\Really? That's wonderful! response:	Look!
context: A-Li greets Father and Mother.\- Come here. - That's so adorable!\Why has Mother sneaked in here again?\I thought that I wouldn't be able to see you for some time.\I've gone to visit a few of your uncles in Qing Qiu.\I've asked them to make arrangements so that I can marry your father soon.\Really? That's wonderful!\Look! response:	He's such a good boy.
context: - Come here. - That's so adorable!\Why has Mother sneaked in here again?\I thought that I wouldn't be able to see you for some time.\I've gone to visit a few of your uncles in Qing Qiu.\I've asked them to make arrangements so that I can marry your father soon.\Really? That's wonderful!\Look!\He's such a good boy. response:	How lovely!
context: Why has Mother sneaked in here again?\I thought that I wouldn't be able to see you for some time.\I've gone to visit a few of your uncles in Qing Qiu.\I've asked them to make arrangements so that I can marry your father soon.\Really? That's wonderful!\Look!\He's such a good boy.\How lovely! response:	He's so adorable.
context: I thought that I wouldn't be able to see you for some time.\I've gone to visit a few of your uncles in Qing Qiu.\I've asked them to make arrangements so that I can marry your father soon.\Really? That's wonderful!\Look!\He's such a good boy.\How lovely!\He's so adorable. response:	Ye Hua.
context: I've gone to visit a few of your uncles in Qing Qiu.\I've asked them to make arrangements so that I can marry your father soon.\Really? That's wonderful!\Look!\He's such a good boy.\How lovely!\He's so adorable.\Ye Hua. response:	I visited my brothers back in Qing Qiu.
context: I've asked them to make arrangements so that I can marry your father soon.\Really? That's wonderful!\Look!\He's such a good boy.\How lovely!\He's so adorable.\Ye Hua.\I visited my brothers back in Qing Qiu. response:	My second brother has already agreed to speak to my parents.
context: Really? That's wonderful!\Look!\He's such a good boy.\How lovely!\He's so adorable.\Ye Hua.\I visited my brothers back in Qing Qiu.\My second brother has already agreed to speak to my parents. response:	If it all goes well, we can get married on the second of September.
context: Look!\He's such a good boy.\How lovely!\He's so adorable.\Ye Hua.\I visited my brothers back in Qing Qiu.\My second brother has already agreed to speak to my parents.\If it all goes well, we can get married on the second of September. response:	Qian Qian, I'm afraid that we won't be able to make it then.
context: He's such a good boy.\How lovely!\He's so adorable.\Ye Hua.\I visited my brothers back in Qing Qiu.\My second brother has already agreed to speak to my parents.\If it all goes well, we can get married on the second of September.\Qian Qian, I'm afraid that we won't be able to make it then. response:	Why?
context: How lovely!\He's so adorable.\Ye Hua.\I visited my brothers back in Qing Qiu.\My second brother has already agreed to speak to my parents.\If it all goes well, we can get married on the second of September.\Qian Qian, I'm afraid that we won't be able to make it then.\Why? response:	I have to withstand a heavenly trial in the Mortal Realm.
context: He's so adorable.\Ye Hua.\I visited my brothers back in Qing Qiu.\My second brother has already agreed to speak to my parents.\If it all goes well, we can get married on the second of September.\Qian Qian, I'm afraid that we won't be able to make it then.\Why?\I have to withstand a heavenly trial in the Mortal Realm. response:	Why would you have to do so for no reason?
context: Ye Hua.\I visited my brothers back in Qing Qiu.\My second brother has already agreed to speak to my parents.\If it all goes well, we can get married on the second of September.\Qian Qian, I'm afraid that we won't be able to make it then.\Why?\I have to withstand a heavenly trial in the Mortal Realm.\Why would you have to do so for no reason? response:	It has to do with those four mythical beasts of Yingzhou.
context: I visited my brothers back in Qing Qiu.\My second brother has already agreed to speak to my parents.\If it all goes well, we can get married on the second of September.\Qian Qian, I'm afraid that we won't be able to make it then.\Why?\I have to withstand a heavenly trial in the Mortal Realm.\Why would you have to do so for no reason?\It has to do with those four mythical beasts of Yingzhou. response:	Although I've rendered a great merit in destroying the divine fungal grass
context: My second brother has already agreed to speak to my parents.\If it all goes well, we can get married on the second of September.\Qian Qian, I'm afraid that we won't be able to make it then.\Why?\I have to withstand a heavenly trial in the Mortal Realm.\Why would you have to do so for no reason?\It has to do with those four mythical beasts of Yingzhou.\Although I've rendered a great merit in destroying the divine fungal grass response:	it's a great sin to have killed those four beasts.
context: If it all goes well, we can get married on the second of September.\Qian Qian, I'm afraid that we won't be able to make it then.\Why?\I have to withstand a heavenly trial in the Mortal Realm.\Why would you have to do so for no reason?\It has to do with those four mythical beasts of Yingzhou.\Although I've rendered a great merit in destroying the divine fungal grass\it's a great sin to have killed those four beasts. response:	After all, they did possess half of Heavenly Father's powers.
context: Qian Qian, I'm afraid that we won't be able to make it then.\Why?\I have to withstand a heavenly trial in the Mortal Realm.\Why would you have to do so for no reason?\It has to do with those four mythical beasts of Yingzhou.\Although I've rendered a great merit in destroying the divine fungal grass\it's a great sin to have killed those four beasts.\After all, they did possess half of Heavenly Father's powers. response:	There's still much to make up for it after rendering the merit.
context: Why?\I have to withstand a heavenly trial in the Mortal Realm.\Why would you have to do so for no reason?\It has to do with those four mythical beasts of Yingzhou.\Although I've rendered a great merit in destroying the divine fungal grass\it's a great sin to have killed those four beasts.\After all, they did possess half of Heavenly Father's powers.\There's still much to make up for it after rendering the merit. response:	I have to be punished.
context: I have to withstand a heavenly trial in the Mortal Realm.\Why would you have to do so for no reason?\It has to do with those four mythical beasts of Yingzhou.\Although I've rendered a great merit in destroying the divine fungal grass\it's a great sin to have killed those four beasts.\After all, they did possess half of Heavenly Father's powers.\There's still much to make up for it after rendering the merit.\I have to be punished. response:	Hence, the heavenly trial in the Mortal Realm.
context: Why would you have to do so for no reason?\It has to do with those four mythical beasts of Yingzhou.\Although I've rendered a great merit in destroying the divine fungal grass\it's a great sin to have killed those four beasts.\After all, they did possess half of Heavenly Father's powers.\There's still much to make up for it after rendering the merit.\I have to be punished.\Hence, the heavenly trial in the Mortal Realm. response:	It's actually because of those four mythical beasts?
context: It has to do with those four mythical beasts of Yingzhou.\Although I've rendered a great merit in destroying the divine fungal grass\it's a great sin to have killed those four beasts.\After all, they did possess half of Heavenly Father's powers.\There's still much to make up for it after rendering the merit.\I have to be punished.\Hence, the heavenly trial in the Mortal Realm.\It's actually because of those four mythical beasts? response:	I already didn't like them when they wounded my father.
context: Although I've rendered a great merit in destroying the divine fungal grass\it's a great sin to have killed those four beasts.\After all, they did possess half of Heavenly Father's powers.\There's still much to make up for it after rendering the merit.\I have to be punished.\Hence, the heavenly trial in the Mortal Realm.\It's actually because of those four mythical beasts?\I already didn't like them when they wounded my father. response:	It seems that they are really my nemesis in life.
context: it's a great sin to have killed those four beasts.\After all, they did possess half of Heavenly Father's powers.\There's still much to make up for it after rendering the merit.\I have to be punished.\Hence, the heavenly trial in the Mortal Realm.\It's actually because of those four mythical beasts?\I already didn't like them when they wounded my father.\It seems that they are really my nemesis in life. response:	How long will you be gone?
context: After all, they did possess half of Heavenly Father's powers.\There's still much to make up for it after rendering the merit.\I have to be punished.\Hence, the heavenly trial in the Mortal Realm.\It's actually because of those four mythical beasts?\I already didn't like them when they wounded my father.\It seems that they are really my nemesis in life.\How long will you be gone? response:	It's 60 years in the Mortal Realm until my mortal self dies.
context: There's still much to make up for it after rendering the merit.\I have to be punished.\Hence, the heavenly trial in the Mortal Realm.\It's actually because of those four mythical beasts?\I already didn't like them when they wounded my father.\It seems that they are really my nemesis in life.\How long will you be gone?\It's 60 years in the Mortal Realm until my mortal self dies. response:	That's just two months apart from you in the heavens.
context: I have to be punished.\Hence, the heavenly trial in the Mortal Realm.\It's actually because of those four mythical beasts?\I already didn't like them when they wounded my father.\It seems that they are really my nemesis in life.\How long will you be gone?\It's 60 years in the Mortal Realm until my mortal self dies.\That's just two months apart from you in the heavens. response:	Two months?
context: Hence, the heavenly trial in the Mortal Realm.\It's actually because of those four mythical beasts?\I already didn't like them when they wounded my father.\It seems that they are really my nemesis in life.\How long will you be gone?\It's 60 years in the Mortal Realm until my mortal self dies.\That's just two months apart from you in the heavens.\Two months? response:	You'll head down into the Mortal Realm at the beginning of August
context: It's actually because of those four mythical beasts?\I already didn't like them when they wounded my father.\It seems that they are really my nemesis in life.\How long will you be gone?\It's 60 years in the Mortal Realm until my mortal self dies.\That's just two months apart from you in the heavens.\Two months?\You'll head down into the Mortal Realm at the beginning of August response:	so if the trial takes two months
context: I already didn't like them when they wounded my father.\It seems that they are really my nemesis in life.\How long will you be gone?\It's 60 years in the Mortal Realm until my mortal self dies.\That's just two months apart from you in the heavens.\Two months?\You'll head down into the Mortal Realm at the beginning of August\so if the trial takes two months response:	we'll postpone the wedding to October?
context: It seems that they are really my nemesis in life.\How long will you be gone?\It's 60 years in the Mortal Realm until my mortal self dies.\That's just two months apart from you in the heavens.\Two months?\You'll head down into the Mortal Realm at the beginning of August\so if the trial takes two months\we'll postpone the wedding to October? response:	In October, there's the Indian Summer.
context: How long will you be gone?\It's 60 years in the Mortal Realm until my mortal self dies.\That's just two months apart from you in the heavens.\Two months?\You'll head down into the Mortal Realm at the beginning of August\so if the trial takes two months\we'll postpone the wedding to October?\In October, there's the Indian Summer. response:	It's also a good date.
context: It's 60 years in the Mortal Realm until my mortal self dies.\That's just two months apart from you in the heavens.\Two months?\You'll head down into the Mortal Realm at the beginning of August\so if the trial takes two months\we'll postpone the wedding to October?\In October, there's the Indian Summer.\It's also a good date. response:	Although it's only two months for me
context: That's just two months apart from you in the heavens.\Two months?\You'll head down into the Mortal Realm at the beginning of August\so if the trial takes two months\we'll postpone the wedding to October?\In October, there's the Indian Summer.\It's also a good date.\Although it's only two months for me response:	it will be a lifetime for you in the Mortal Realm.
context: Two months?\You'll head down into the Mortal Realm at the beginning of August\so if the trial takes two months\we'll postpone the wedding to October?\In October, there's the Indian Summer.\It's also a good date.\Although it's only two months for me\it will be a lifetime for you in the Mortal Realm. response:	Have you read the destiny that Star Lord wrote you?
context: You'll head down into the Mortal Realm at the beginning of August\so if the trial takes two months\we'll postpone the wedding to October?\In October, there's the Indian Summer.\It's also a good date.\Although it's only two months for me\it will be a lifetime for you in the Mortal Realm.\Have you read the destiny that Star Lord wrote you? response:	He wouldn't write you a two-timing or three-timing relationship?
context: so if the trial takes two months\we'll postpone the wedding to October?\In October, there's the Indian Summer.\It's also a good date.\Although it's only two months for me\it will be a lifetime for you in the Mortal Realm.\Have you read the destiny that Star Lord wrote you?\He wouldn't write you a two-timing or three-timing relationship? response:	Star Lord won't get to write my story this time.
context: we'll postpone the wedding to October?\In October, there's the Indian Summer.\It's also a good date.\Although it's only two months for me\it will be a lifetime for you in the Mortal Realm.\Have you read the destiny that Star Lord wrote you?\He wouldn't write you a two-timing or three-timing relationship?\Star Lord won't get to write my story this time. response:	Heavenly Lord gave orders to leave my destiny blank.
context: In October, there's the Indian Summer.\It's also a good date.\Although it's only two months for me\it will be a lifetime for you in the Mortal Realm.\Have you read the destiny that Star Lord wrote you?\He wouldn't write you a two-timing or three-timing relationship?\Star Lord won't get to write my story this time.\Heavenly Lord gave orders to leave my destiny blank. response:	Whatever relationships I might have are entirely up to me.
context: It's also a good date.\Although it's only two months for me\it will be a lifetime for you in the Mortal Realm.\Have you read the destiny that Star Lord wrote you?\He wouldn't write you a two-timing or three-timing relationship?\Star Lord won't get to write my story this time.\Heavenly Lord gave orders to leave my destiny blank.\Whatever relationships I might have are entirely up to me. response:	It's left blank?
context: Although it's only two months for me\it will be a lifetime for you in the Mortal Realm.\Have you read the destiny that Star Lord wrote you?\He wouldn't write you a two-timing or three-timing relationship?\Star Lord won't get to write my story this time.\Heavenly Lord gave orders to leave my destiny blank.\Whatever relationships I might have are entirely up to me.\It's left blank? response:	It means that no one will know what you will experience?
context: it will be a lifetime for you in the Mortal Realm.\Have you read the destiny that Star Lord wrote you?\He wouldn't write you a two-timing or three-timing relationship?\Star Lord won't get to write my story this time.\Heavenly Lord gave orders to leave my destiny blank.\Whatever relationships I might have are entirely up to me.\It's left blank?\It means that no one will know what you will experience? response:	Exactly.
context: Have you read the destiny that Star Lord wrote you?\He wouldn't write you a two-timing or three-timing relationship?\Star Lord won't get to write my story this time.\Heavenly Lord gave orders to leave my destiny blank.\Whatever relationships I might have are entirely up to me.\It's left blank?\It means that no one will know what you will experience?\Exactly. response:	I have a few reminders for you.
context: He wouldn't write you a two-timing or three-timing relationship?\Star Lord won't get to write my story this time.\Heavenly Lord gave orders to leave my destiny blank.\Whatever relationships I might have are entirely up to me.\It's left blank?\It means that no one will know what you will experience?\Exactly.\I have a few reminders for you. response:	Do tell.
context: Star Lord won't get to write my story this time.\Heavenly Lord gave orders to leave my destiny blank.\Whatever relationships I might have are entirely up to me.\It's left blank?\It means that no one will know what you will experience?\Exactly.\I have a few reminders for you.\Do tell. response:	Even if you will forget your identity as the Crown Prince of the Nine Heavens
context: Heavenly Lord gave orders to leave my destiny blank.\Whatever relationships I might have are entirely up to me.\It's left blank?\It means that no one will know what you will experience?\Exactly.\I have a few reminders for you.\Do tell.\Even if you will forget your identity as the Crown Prince of the Nine Heavens response:	when you descend into the Mortal Realm
context: Whatever relationships I might have are entirely up to me.\It's left blank?\It means that no one will know what you will experience?\Exactly.\I have a few reminders for you.\Do tell.\Even if you will forget your identity as the Crown Prince of the Nine Heavens\when you descend into the Mortal Realm response:	and that you still have a legal consort in Xiwu Palace to marry
context: It's left blank?\It means that no one will know what you will experience?\Exactly.\I have a few reminders for you.\Do tell.\Even if you will forget your identity as the Crown Prince of the Nine Heavens\when you descend into the Mortal Realm\and that you still have a legal consort in Xiwu Palace to marry response:	you're not allowed to marry anyone else as a mortal.
context: It means that no one will know what you will experience?\Exactly.\I have a few reminders for you.\Do tell.\Even if you will forget your identity as the Crown Prince of the Nine Heavens\when you descend into the Mortal Realm\and that you still have a legal consort in Xiwu Palace to marry\you're not allowed to marry anyone else as a mortal. response:	I'm not worried about anything else.
context: Exactly.\I have a few reminders for you.\Do tell.\Even if you will forget your identity as the Crown Prince of the Nine Heavens\when you descend into the Mortal Realm\and that you still have a legal consort in Xiwu Palace to marry\you're not allowed to marry anyone else as a mortal.\I'm not worried about anything else. response:	I'm just concerned that you might get involved
context: I have a few reminders for you.\Do tell.\Even if you will forget your identity as the Crown Prince of the Nine Heavens\when you descend into the Mortal Realm\and that you still have a legal consort in Xiwu Palace to marry\you're not allowed to marry anyone else as a mortal.\I'm not worried about anything else.\I'm just concerned that you might get involved response:	with some women in the mortal realm.
context: Do tell.\Even if you will forget your identity as the Crown Prince of the Nine Heavens\when you descend into the Mortal Realm\and that you still have a legal consort in Xiwu Palace to marry\you're not allowed to marry anyone else as a mortal.\I'm not worried about anything else.\I'm just concerned that you might get involved\with some women in the mortal realm. response:	You should know that I draw a clear line between love and hate.
context: Even if you will forget your identity as the Crown Prince of the Nine Heavens\when you descend into the Mortal Realm\and that you still have a legal consort in Xiwu Palace to marry\you're not allowed to marry anyone else as a mortal.\I'm not worried about anything else.\I'm just concerned that you might get involved\with some women in the mortal realm.\You should know that I draw a clear line between love and hate. response:	I can't stand any betrayal.
context: when you descend into the Mortal Realm\and that you still have a legal consort in Xiwu Palace to marry\you're not allowed to marry anyone else as a mortal.\I'm not worried about anything else.\I'm just concerned that you might get involved\with some women in the mortal realm.\You should know that I draw a clear line between love and hate.\I can't stand any betrayal. response:	If I really got involved in such a mortal relationship
context: and that you still have a legal consort in Xiwu Palace to marry\you're not allowed to marry anyone else as a mortal.\I'm not worried about anything else.\I'm just concerned that you might get involved\with some women in the mortal realm.\You should know that I draw a clear line between love and hate.\I can't stand any betrayal.\If I really got involved in such a mortal relationship response:	what would you do?
context: you're not allowed to marry anyone else as a mortal.\I'm not worried about anything else.\I'm just concerned that you might get involved\with some women in the mortal realm.\You should know that I draw a clear line between love and hate.\I can't stand any betrayal.\If I really got involved in such a mortal relationship\what would you do? response:	Should that really happen
context: I'm not worried about anything else.\I'm just concerned that you might get involved\with some women in the mortal realm.\You should know that I draw a clear line between love and hate.\I can't stand any betrayal.\If I really got involved in such a mortal relationship\what would you do?\Should that really happen response:	I'd snatch you back to Qing Qiu and lock you up in my Fox Den.
context: I'm just concerned that you might get involved\with some women in the mortal realm.\You should know that I draw a clear line between love and hate.\I can't stand any betrayal.\If I really got involved in such a mortal relationship\what would you do?\Should that really happen\I'd snatch you back to Qing Qiu and lock you up in my Fox Den. response:	You would only look at me every day.
context: with some women in the mortal realm.\You should know that I draw a clear line between love and hate.\I can't stand any betrayal.\If I really got involved in such a mortal relationship\what would you do?\Should that really happen\I'd snatch you back to Qing Qiu and lock you up in my Fox Den.\You would only look at me every day. response:	You'd have to look at me when you eat.
context: You should know that I draw a clear line between love and hate.\I can't stand any betrayal.\If I really got involved in such a mortal relationship\what would you do?\Should that really happen\I'd snatch you back to Qing Qiu and lock you up in my Fox Den.\You would only look at me every day.\You'd have to look at me when you eat. response:	You'd have to look at me when you read.
context: I can't stand any betrayal.\If I really got involved in such a mortal relationship\what would you do?\Should that really happen\I'd snatch you back to Qing Qiu and lock you up in my Fox Den.\You would only look at me every day.\You'd have to look at me when you eat.\You'd have to look at me when you read. response:	You'd have to look at me when you draw.
context: If I really got involved in such a mortal relationship\what would you do?\Should that really happen\I'd snatch you back to Qing Qiu and lock you up in my Fox Den.\You would only look at me every day.\You'd have to look at me when you eat.\You'd have to look at me when you read.\You'd have to look at me when you draw. response:	If that is so, I'd rather that you snatch me away right now.
context: what would you do?\Should that really happen\I'd snatch you back to Qing Qiu and lock you up in my Fox Den.\You would only look at me every day.\You'd have to look at me when you eat.\You'd have to look at me when you read.\You'd have to look at me when you draw.\If that is so, I'd rather that you snatch me away right now. response:	Then... it's a deal?
context: Should that really happen\I'd snatch you back to Qing Qiu and lock you up in my Fox Den.\You would only look at me every day.\You'd have to look at me when you eat.\You'd have to look at me when you read.\You'd have to look at me when you draw.\If that is so, I'd rather that you snatch me away right now.\Then... it's a deal? response:	When you get back from your heavenly trial
context: I'd snatch you back to Qing Qiu and lock you up in my Fox Den.\You would only look at me every day.\You'd have to look at me when you eat.\You'd have to look at me when you read.\You'd have to look at me when you draw.\If that is so, I'd rather that you snatch me away right now.\Then... it's a deal?\When you get back from your heavenly trial response:	come and look for me in Qing Qiu.
context: You would only look at me every day.\You'd have to look at me when you eat.\You'd have to look at me when you read.\You'd have to look at me when you draw.\If that is so, I'd rather that you snatch me away right now.\Then... it's a deal?\When you get back from your heavenly trial\come and look for me in Qing Qiu. response:	By then, we don't have to worry about those wedding rituals.
context: You'd have to look at me when you eat.\You'd have to look at me when you read.\You'd have to look at me when you draw.\If that is so, I'd rather that you snatch me away right now.\Then... it's a deal?\When you get back from your heavenly trial\come and look for me in Qing Qiu.\By then, we don't have to worry about those wedding rituals. response:	We'll just go with Qing Qiu's customs.
