context: It's common knowledge that contractors act rationally response:	regardless of what kind of situation they're in.
context: By the way, why are you cooperating with us?\Orders from above, or is it...\I just want to know the reason.\Reason?\Why did he say that to me?\From here on out, the line that separates enemies from allies doesn't exist.\You must act on your own intuition.\Dr. Schroeder already obtained the solution to the formula referenced in the plan. response:	The Third Sector's research team has reached the same conclusion as well.
context: Orders from above, or is it...\I just want to know the reason.\Reason?\Why did he say that to me?\From here on out, the line that separates enemies from allies doesn't exist.\You must act on your own intuition.\Dr. Schroeder already obtained the solution to the formula referenced in the plan.\The Third Sector's research team has reached the same conclusion as well. response:	In other words, we no longer need Dr. Schroeder.
context: I just want to know the reason.\Reason?\Why did he say that to me?\From here on out, the line that separates enemies from allies doesn't exist.\You must act on your own intuition.\Dr. Schroeder already obtained the solution to the formula referenced in the plan.\The Third Sector's research team has reached the same conclusion as well.\In other words, we no longer need Dr. Schroeder. response:	We now have a replacement for the meteor fragment.
context: Reason?\Why did he say that to me?\From here on out, the line that separates enemies from allies doesn't exist.\You must act on your own intuition.\Dr. Schroeder already obtained the solution to the formula referenced in the plan.\The Third Sector's research team has reached the same conclusion as well.\In other words, we no longer need Dr. Schroeder.\We now have a replacement for the meteor fragment. response:	What a ridiculous plan!
context: Why did he say that to me?\From here on out, the line that separates enemies from allies doesn't exist.\You must act on your own intuition.\Dr. Schroeder already obtained the solution to the formula referenced in the plan.\The Third Sector's research team has reached the same conclusion as well.\In other words, we no longer need Dr. Schroeder.\We now have a replacement for the meteor fragment.\What a ridiculous plan! response:	Unfortunately, it isn't very ridiculous at all,
context: From here on out, the line that separates enemies from allies doesn't exist.\You must act on your own intuition.\Dr. Schroeder already obtained the solution to the formula referenced in the plan.\The Third Sector's research team has reached the same conclusion as well.\In other words, we no longer need Dr. Schroeder.\We now have a replacement for the meteor fragment.\What a ridiculous plan!\Unfortunately, it isn't very ridiculous at all, response:	although it failed in South America.
context: You must act on your own intuition.\Dr. Schroeder already obtained the solution to the formula referenced in the plan.\The Third Sector's research team has reached the same conclusion as well.\In other words, we no longer need Dr. Schroeder.\We now have a replacement for the meteor fragment.\What a ridiculous plan!\Unfortunately, it isn't very ridiculous at all,\although it failed in South America. response:	Were you responsible for the disappearance of Heaven's Gate?
context: Dr. Schroeder already obtained the solution to the formula referenced in the plan.\The Third Sector's research team has reached the same conclusion as well.\In other words, we no longer need Dr. Schroeder.\We now have a replacement for the meteor fragment.\What a ridiculous plan!\Unfortunately, it isn't very ridiculous at all,\although it failed in South America.\Were you responsible for the disappearance of Heaven's Gate? response:	Well, we weren't the ones who made it disappear.
context: The Third Sector's research team has reached the same conclusion as well.\In other words, we no longer need Dr. Schroeder.\We now have a replacement for the meteor fragment.\What a ridiculous plan!\Unfortunately, it isn't very ridiculous at all,\although it failed in South America.\Were you responsible for the disappearance of Heaven's Gate?\Well, we weren't the ones who made it disappear. response:	Technically speaking, it didn't really disappear, either.
context: In other words, we no longer need Dr. Schroeder.\We now have a replacement for the meteor fragment.\What a ridiculous plan!\Unfortunately, it isn't very ridiculous at all,\although it failed in South America.\Were you responsible for the disappearance of Heaven's Gate?\Well, we weren't the ones who made it disappear.\Technically speaking, it didn't really disappear, either. response:	There was a strange emission of light moments before we proceeded with the plan,
context: We now have a replacement for the meteor fragment.\What a ridiculous plan!\Unfortunately, it isn't very ridiculous at all,\although it failed in South America.\Were you responsible for the disappearance of Heaven's Gate?\Well, we weren't the ones who made it disappear.\Technically speaking, it didn't really disappear, either.\There was a strange emission of light moments before we proceeded with the plan, response:	and immediately after that happened, a 1,500 kilometer radius of Heaven's Gate in South America
context: What a ridiculous plan!\Unfortunately, it isn't very ridiculous at all,\although it failed in South America.\Were you responsible for the disappearance of Heaven's Gate?\Well, we weren't the ones who made it disappear.\Technically speaking, it didn't really disappear, either.\There was a strange emission of light moments before we proceeded with the plan,\and immediately after that happened, a 1,500 kilometer radius of Heaven's Gate in South America response:	became a physically unapproachable, neutral territory.
context: Unfortunately, it isn't very ridiculous at all,\although it failed in South America.\Were you responsible for the disappearance of Heaven's Gate?\Well, we weren't the ones who made it disappear.\Technically speaking, it didn't really disappear, either.\There was a strange emission of light moments before we proceeded with the plan,\and immediately after that happened, a 1,500 kilometer radius of Heaven's Gate in South America\became a physically unapproachable, neutral territory. response:	Lancernoptic reactions, beta-Garching waves from the area,
context: although it failed in South America.\Were you responsible for the disappearance of Heaven's Gate?\Well, we weren't the ones who made it disappear.\Technically speaking, it didn't really disappear, either.\There was a strange emission of light moments before we proceeded with the plan,\and immediately after that happened, a 1,500 kilometer radius of Heaven's Gate in South America\became a physically unapproachable, neutral territory.\Lancernoptic reactions, beta-Garching waves from the area, response:	and the presence of a similar existence known as Hell's Gate
context: Were you responsible for the disappearance of Heaven's Gate?\Well, we weren't the ones who made it disappear.\Technically speaking, it didn't really disappear, either.\There was a strange emission of light moments before we proceeded with the plan,\and immediately after that happened, a 1,500 kilometer radius of Heaven's Gate in South America\became a physically unapproachable, neutral territory.\Lancernoptic reactions, beta-Garching waves from the area,\and the presence of a similar existence known as Hell's Gate response:	are grounds for the hypothesis that Heaven's Gate still exists to this day.
context: Well, we weren't the ones who made it disappear.\Technically speaking, it didn't really disappear, either.\There was a strange emission of light moments before we proceeded with the plan,\and immediately after that happened, a 1,500 kilometer radius of Heaven's Gate in South America\became a physically unapproachable, neutral territory.\Lancernoptic reactions, beta-Garching waves from the area,\and the presence of a similar existence known as Hell's Gate\are grounds for the hypothesis that Heaven's Gate still exists to this day. response:	However, it's out of our hands.
context: Technically speaking, it didn't really disappear, either.\There was a strange emission of light moments before we proceeded with the plan,\and immediately after that happened, a 1,500 kilometer radius of Heaven's Gate in South America\became a physically unapproachable, neutral territory.\Lancernoptic reactions, beta-Garching waves from the area,\and the presence of a similar existence known as Hell's Gate\are grounds for the hypothesis that Heaven's Gate still exists to this day.\However, it's out of our hands. response:	Then again, the fact that the plan went awry during that time, despite the accuracy of my calculations,
context: There was a strange emission of light moments before we proceeded with the plan,\and immediately after that happened, a 1,500 kilometer radius of Heaven's Gate in South America\became a physically unapproachable, neutral territory.\Lancernoptic reactions, beta-Garching waves from the area,\and the presence of a similar existence known as Hell's Gate\are grounds for the hypothesis that Heaven's Gate still exists to this day.\However, it's out of our hands.\Then again, the fact that the plan went awry during that time, despite the accuracy of my calculations, response:	means that something significant probably occurred.
context: and immediately after that happened, a 1,500 kilometer radius of Heaven's Gate in South America\became a physically unapproachable, neutral territory.\Lancernoptic reactions, beta-Garching waves from the area,\and the presence of a similar existence known as Hell's Gate\are grounds for the hypothesis that Heaven's Gate still exists to this day.\However, it's out of our hands.\Then again, the fact that the plan went awry during that time, despite the accuracy of my calculations,\means that something significant probably occurred. response:	Wouldn't you agree?
context: became a physically unapproachable, neutral territory.\Lancernoptic reactions, beta-Garching waves from the area,\and the presence of a similar existence known as Hell's Gate\are grounds for the hypothesis that Heaven's Gate still exists to this day.\However, it's out of our hands.\Then again, the fact that the plan went awry during that time, despite the accuracy of my calculations,\means that something significant probably occurred.\Wouldn't you agree? response:	Are you trying to recreate that occurrence in Tokyo as well?
context: Lancernoptic reactions, beta-Garching waves from the area,\and the presence of a similar existence known as Hell's Gate\are grounds for the hypothesis that Heaven's Gate still exists to this day.\However, it's out of our hands.\Then again, the fact that the plan went awry during that time, despite the accuracy of my calculations,\means that something significant probably occurred.\Wouldn't you agree?\Are you trying to recreate that occurrence in Tokyo as well? response:	If we don't, we'll definitely disappear.
context: and the presence of a similar existence known as Hell's Gate\are grounds for the hypothesis that Heaven's Gate still exists to this day.\However, it's out of our hands.\Then again, the fact that the plan went awry during that time, despite the accuracy of my calculations,\means that something significant probably occurred.\Wouldn't you agree?\Are you trying to recreate that occurrence in Tokyo as well?\If we don't, we'll definitely disappear. response:	You make it sound as if you've seen the future.
context: are grounds for the hypothesis that Heaven's Gate still exists to this day.\However, it's out of our hands.\Then again, the fact that the plan went awry during that time, despite the accuracy of my calculations,\means that something significant probably occurred.\Wouldn't you agree?\Are you trying to recreate that occurrence in Tokyo as well?\If we don't, we'll definitely disappear.\You make it sound as if you've seen the future. response:	Yes, I have.
context: However, it's out of our hands.\Then again, the fact that the plan went awry during that time, despite the accuracy of my calculations,\means that something significant probably occurred.\Wouldn't you agree?\Are you trying to recreate that occurrence in Tokyo as well?\If we don't, we'll definitely disappear.\You make it sound as if you've seen the future.\Yes, I have. response:	I find that hard to believe.
context: Then again, the fact that the plan went awry during that time, despite the accuracy of my calculations,\means that something significant probably occurred.\Wouldn't you agree?\Are you trying to recreate that occurrence in Tokyo as well?\If we don't, we'll definitely disappear.\You make it sound as if you've seen the future.\Yes, I have.\I find that hard to believe. response:	I'll prove it to you.
context: means that something significant probably occurred.\Wouldn't you agree?\Are you trying to recreate that occurrence in Tokyo as well?\If we don't, we'll definitely disappear.\You make it sound as if you've seen the future.\Yes, I have.\I find that hard to believe.\I'll prove it to you. response:	How would you do that?
context: Wouldn't you agree?\Are you trying to recreate that occurrence in Tokyo as well?\If we don't, we'll definitely disappear.\You make it sound as if you've seen the future.\Yes, I have.\I find that hard to believe.\I'll prove it to you.\How would you do that? response:	You'll die shortly after you leave this building.
context: Are you trying to recreate that occurrence in Tokyo as well?\If we don't, we'll definitely disappear.\You make it sound as if you've seen the future.\Yes, I have.\I find that hard to believe.\I'll prove it to you.\How would you do that?\You'll die shortly after you leave this building. response:	Hey, what do you think? How's he going to die?
context: If we don't, we'll definitely disappear.\You make it sound as if you've seen the future.\Yes, I have.\I find that hard to believe.\I'll prove it to you.\How would you do that?\You'll die shortly after you leave this building.\Hey, what do you think? How's he going to die? response:	We've literally received a death sentence, too.
context: You make it sound as if you've seen the future.\Yes, I have.\I find that hard to believe.\I'll prove it to you.\How would you do that?\You'll die shortly after you leave this building.\Hey, what do you think? How's he going to die?\We've literally received a death sentence, too. response:	That man's no different from us.
context: Yes, I have.\I find that hard to believe.\I'll prove it to you.\How would you do that?\You'll die shortly after you leave this building.\Hey, what do you think? How's he going to die?\We've literally received a death sentence, too.\That man's no different from us. response:	That would be a problem. I'm in the middle of an experiment.
context: I find that hard to believe.\I'll prove it to you.\How would you do that?\You'll die shortly after you leave this building.\Hey, what do you think? How's he going to die?\We've literally received a death sentence, too.\That man's no different from us.\That would be a problem. I'm in the middle of an experiment. response:	If Amber's plan works, it'll be a huge blessing for contractors.
context: I'll prove it to you.\How would you do that?\You'll die shortly after you leave this building.\Hey, what do you think? How's he going to die?\We've literally received a death sentence, too.\That man's no different from us.\That would be a problem. I'm in the middle of an experiment.\If Amber's plan works, it'll be a huge blessing for contractors. response:	Hey, don't you have any friends who'll come to your rescue?
context: How would you do that?\You'll die shortly after you leave this building.\Hey, what do you think? How's he going to die?\We've literally received a death sentence, too.\That man's no different from us.\That would be a problem. I'm in the middle of an experiment.\If Amber's plan works, it'll be a huge blessing for contractors.\Hey, don't you have any friends who'll come to your rescue? response:	Contractors are rational beings.
context: You'll die shortly after you leave this building.\Hey, what do you think? How's he going to die?\We've literally received a death sentence, too.\That man's no different from us.\That would be a problem. I'm in the middle of an experiment.\If Amber's plan works, it'll be a huge blessing for contractors.\Hey, don't you have any friends who'll come to your rescue?\Contractors are rational beings. response:	They aren't stupid enough to engage in a fight at the cost of their life.
context: Hey, what do you think? How's he going to die?\We've literally received a death sentence, too.\That man's no different from us.\That would be a problem. I'm in the middle of an experiment.\If Amber's plan works, it'll be a huge blessing for contractors.\Hey, don't you have any friends who'll come to your rescue?\Contractors are rational beings.\They aren't stupid enough to engage in a fight at the cost of their life. response:	I wouldn't, anyway.
context: We've literally received a death sentence, too.\That man's no different from us.\That would be a problem. I'm in the middle of an experiment.\If Amber's plan works, it'll be a huge blessing for contractors.\Hey, don't you have any friends who'll come to your rescue?\Contractors are rational beings.\They aren't stupid enough to engage in a fight at the cost of their life.\I wouldn't, anyway. response:	The Black Grim Reaper has made his way inside.
context: That man's no different from us.\That would be a problem. I'm in the middle of an experiment.\If Amber's plan works, it'll be a huge blessing for contractors.\Hey, don't you have any friends who'll come to your rescue?\Contractors are rational beings.\They aren't stupid enough to engage in a fight at the cost of their life.\I wouldn't, anyway.\The Black Grim Reaper has made his way inside. response:	What should we do?
context: That would be a problem. I'm in the middle of an experiment.\If Amber's plan works, it'll be a huge blessing for contractors.\Hey, don't you have any friends who'll come to your rescue?\Contractors are rational beings.\They aren't stupid enough to engage in a fight at the cost of their life.\I wouldn't, anyway.\The Black Grim Reaper has made his way inside.\What should we do? response:	Nobody has to die here.
context: If Amber's plan works, it'll be a huge blessing for contractors.\Hey, don't you have any friends who'll come to your rescue?\Contractors are rational beings.\They aren't stupid enough to engage in a fight at the cost of their life.\I wouldn't, anyway.\The Black Grim Reaper has made his way inside.\What should we do?\Nobody has to die here. response:	What about the professor?
context: Hey, don't you have any friends who'll come to your rescue?\Contractors are rational beings.\They aren't stupid enough to engage in a fight at the cost of their life.\I wouldn't, anyway.\The Black Grim Reaper has made his way inside.\What should we do?\Nobody has to die here.\What about the professor? response:	The syndicate doesn't need him anymore.
context: Contractors are rational beings.\They aren't stupid enough to engage in a fight at the cost of their life.\I wouldn't, anyway.\The Black Grim Reaper has made his way inside.\What should we do?\Nobody has to die here.\What about the professor?\The syndicate doesn't need him anymore. response:	Got it?
context: They aren't stupid enough to engage in a fight at the cost of their life.\I wouldn't, anyway.\The Black Grim Reaper has made his way inside.\What should we do?\Nobody has to die here.\What about the professor?\The syndicate doesn't need him anymore.\Got it? response:	Episode Twenty-Two City Under Crackdown, Moist with Tears... (Part Two)
context: I wouldn't, anyway.\The Black Grim Reaper has made his way inside.\What should we do?\Nobody has to die here.\What about the professor?\The syndicate doesn't need him anymore.\Got it?\Episode Twenty-Two City Under Crackdown, Moist with Tears... (Part Two) response:	Sorry for making you go out of your way for our sake.
context: The Black Grim Reaper has made his way inside.\What should we do?\Nobody has to die here.\What about the professor?\The syndicate doesn't need him anymore.\Got it?\Episode Twenty-Two City Under Crackdown, Moist with Tears... (Part Two)\Sorry for making you go out of your way for our sake. response:	It's not a problem.
context: What should we do?\Nobody has to die here.\What about the professor?\The syndicate doesn't need him anymore.\Got it?\Episode Twenty-Two City Under Crackdown, Moist with Tears... (Part Two)\Sorry for making you go out of your way for our sake.\It's not a problem. response:	November... I found him.
context: Nobody has to die here.\What about the professor?\The syndicate doesn't need him anymore.\Got it?\Episode Twenty-Two City Under Crackdown, Moist with Tears... (Part Two)\Sorry for making you go out of your way for our sake.\It's not a problem.\November... I found him. response:	Where is he?
context: What about the professor?\The syndicate doesn't need him anymore.\Got it?\Episode Twenty-Two City Under Crackdown, Moist with Tears... (Part Two)\Sorry for making you go out of your way for our sake.\It's not a problem.\November... I found him.\Where is he? response:	What? What?
context: The syndicate doesn't need him anymore.\Got it?\Episode Twenty-Two City Under Crackdown, Moist with Tears... (Part Two)\Sorry for making you go out of your way for our sake.\It's not a problem.\November... I found him.\Where is he?\What? What? response:	Yin?
context: Got it?\Episode Twenty-Two City Under Crackdown, Moist with Tears... (Part Two)\Sorry for making you go out of your way for our sake.\It's not a problem.\November... I found him.\Where is he?\What? What?\Yin? response:	It couldn't be.
context: Episode Twenty-Two City Under Crackdown, Moist with Tears... (Part Two)\Sorry for making you go out of your way for our sake.\It's not a problem.\November... I found him.\Where is he?\What? What?\Yin?\It couldn't be. response:	Hei!
context: Sorry for making you go out of your way for our sake.\It's not a problem.\November... I found him.\Where is he?\What? What?\Yin?\It couldn't be.\Hei! response:	Amber!
context: It's not a problem.\November... I found him.\Where is he?\What? What?\Yin?\It couldn't be.\Hei!\Amber! response:	Let us settle our differences while we have an opportunity to do so.
context: November... I found him.\Where is he?\What? What?\Yin?\It couldn't be.\Hei!\Amber!\Let us settle our differences while we have an opportunity to do so. response:	You can't do that.
context: Where is he?\What? What?\Yin?\It couldn't be.\Hei!\Amber!\Let us settle our differences while we have an opportunity to do so.\You can't do that. response:	Your job is to keep him busy.
context: What? What?\Yin?\It couldn't be.\Hei!\Amber!\Let us settle our differences while we have an opportunity to do so.\You can't do that.\Your job is to keep him busy. response:	Hei, behind you!
context: Yin?\It couldn't be.\Hei!\Amber!\Let us settle our differences while we have an opportunity to do so.\You can't do that.\Your job is to keep him busy.\Hei, behind you! response:	What are you trying to do?
context: It couldn't be.\Hei!\Amber!\Let us settle our differences while we have an opportunity to do so.\You can't do that.\Your job is to keep him busy.\Hei, behind you!\What are you trying to do? response:	What else are you going to take away from me?
context: Hei!\Amber!\Let us settle our differences while we have an opportunity to do so.\You can't do that.\Your job is to keep him busy.\Hei, behind you!\What are you trying to do?\What else are you going to take away from me? response:	Ask your feline friend about the details.
context: Amber!\Let us settle our differences while we have an opportunity to do so.\You can't do that.\Your job is to keep him busy.\Hei, behind you!\What are you trying to do?\What else are you going to take away from me?\Ask your feline friend about the details. response:	I told him everything.
context: Let us settle our differences while we have an opportunity to do so.\You can't do that.\Your job is to keep him busy.\Hei, behind you!\What are you trying to do?\What else are you going to take away from me?\Ask your feline friend about the details.\I told him everything. response:	T-This is...
context: You can't do that.\Your job is to keep him busy.\Hei, behind you!\What are you trying to do?\What else are you going to take away from me?\Ask your feline friend about the details.\I told him everything.\T-This is... response:	Hei!
context: Your job is to keep him busy.\Hei, behind you!\What are you trying to do?\What else are you going to take away from me?\Ask your feline friend about the details.\I told him everything.\T-This is...\Hei! response:	Onii-chan.
context: Hei, behind you!\What are you trying to do?\What else are you going to take away from me?\Ask your feline friend about the details.\I told him everything.\T-This is...\Hei!\Onii-chan. response:	It looks like we aren't meant to be the protagonists of this story, no matter how it unfolds.
context: What are you trying to do?\What else are you going to take away from me?\Ask your feline friend about the details.\I told him everything.\T-This is...\Hei!\Onii-chan.\It looks like we aren't meant to be the protagonists of this story, no matter how it unfolds. response:	I'll leave the rest to you, kitty cat.
context: What else are you going to take away from me?\Ask your feline friend about the details.\I told him everything.\T-This is...\Hei!\Onii-chan.\It looks like we aren't meant to be the protagonists of this story, no matter how it unfolds.\I'll leave the rest to you, kitty cat. response:	Freeze!
context: Ask your feline friend about the details.\I told him everything.\T-This is...\Hei!\Onii-chan.\It looks like we aren't meant to be the protagonists of this story, no matter how it unfolds.\I'll leave the rest to you, kitty cat.\Freeze! response:	Lie on your stomach, and slowly place your hands on the floor.
context: I told him everything.\T-This is...\Hei!\Onii-chan.\It looks like we aren't meant to be the protagonists of this story, no matter how it unfolds.\I'll leave the rest to you, kitty cat.\Freeze!\Lie on your stomach, and slowly place your hands on the floor. response:	Now!
context: T-This is...\Hei!\Onii-chan.\It looks like we aren't meant to be the protagonists of this story, no matter how it unfolds.\I'll leave the rest to you, kitty cat.\Freeze!\Lie on your stomach, and slowly place your hands on the floor.\Now! response:	Dr. Schroeder!
context: Hei!\Onii-chan.\It looks like we aren't meant to be the protagonists of this story, no matter how it unfolds.\I'll leave the rest to you, kitty cat.\Freeze!\Lie on your stomach, and slowly place your hands on the floor.\Now!\Dr. Schroeder! response:	Dr. Schroeder, are you all right?
context: Onii-chan.\It looks like we aren't meant to be the protagonists of this story, no matter how it unfolds.\I'll leave the rest to you, kitty cat.\Freeze!\Lie on your stomach, and slowly place your hands on the floor.\Now!\Dr. Schroeder!\Dr. Schroeder, are you all right? response:	Dr. Schroeder!
context: It looks like we aren't meant to be the protagonists of this story, no matter how it unfolds.\I'll leave the rest to you, kitty cat.\Freeze!\Lie on your stomach, and slowly place your hands on the floor.\Now!\Dr. Schroeder!\Dr. Schroeder, are you all right?\Dr. Schroeder! response:	I had a quick check done, and there aren't any traces of the professor's memory being altered.
context: I'll leave the rest to you, kitty cat.\Freeze!\Lie on your stomach, and slowly place your hands on the floor.\Now!\Dr. Schroeder!\Dr. Schroeder, are you all right?\Dr. Schroeder!\I had a quick check done, and there aren't any traces of the professor's memory being altered. response:	His vitals are normal.
context: Freeze!\Lie on your stomach, and slowly place your hands on the floor.\Now!\Dr. Schroeder!\Dr. Schroeder, are you all right?\Dr. Schroeder!\I had a quick check done, and there aren't any traces of the professor's memory being altered.\His vitals are normal. response:	I see.
context: Lie on your stomach, and slowly place your hands on the floor.\Now!\Dr. Schroeder!\Dr. Schroeder, are you all right?\Dr. Schroeder!\I had a quick check done, and there aren't any traces of the professor's memory being altered.\His vitals are normal.\I see. response:	What the hell happened?
context: Now!\Dr. Schroeder!\Dr. Schroeder, are you all right?\Dr. Schroeder!\I had a quick check done, and there aren't any traces of the professor's memory being altered.\His vitals are normal.\I see.\What the hell happened? response:	I don't know.
context: Dr. Schroeder!\Dr. Schroeder, are you all right?\Dr. Schroeder!\I had a quick check done, and there aren't any traces of the professor's memory being altered.\His vitals are normal.\I see.\What the hell happened?\I don't know. response:	Manager...
context: Dr. Schroeder, are you all right?\Dr. Schroeder!\I had a quick check done, and there aren't any traces of the professor's memory being altered.\His vitals are normal.\I see.\What the hell happened?\I don't know.\Manager... response:	Good work.
context: Dr. Schroeder!\I had a quick check done, and there aren't any traces of the professor's memory being altered.\His vitals are normal.\I see.\What the hell happened?\I don't know.\Manager...\Good work. response:	Professor.
context: I had a quick check done, and there aren't any traces of the professor's memory being altered.\His vitals are normal.\I see.\What the hell happened?\I don't know.\Manager...\Good work.\Professor. response:	Now I know why South America became like that!
context: His vitals are normal.\I see.\What the hell happened?\I don't know.\Manager...\Good work.\Professor.\Now I know why South America became like that! response:	It was because of the masked contractor's powers!
context: I see.\What the hell happened?\I don't know.\Manager...\Good work.\Professor.\Now I know why South America became like that!\It was because of the masked contractor's powers! response:	Let's resume the testing right away! If they beat us to it...
context: What the hell happened?\I don't know.\Manager...\Good work.\Professor.\Now I know why South America became like that!\It was because of the masked contractor's powers!\Let's resume the testing right away! If they beat us to it... response:	Professor,
context: I don't know.\Manager...\Good work.\Professor.\Now I know why South America became like that!\It was because of the masked contractor's powers!\Let's resume the testing right away! If they beat us to it...\Professor, response:	the tests are already being conducted.
context: Manager...\Good work.\Professor.\Now I know why South America became like that!\It was because of the masked contractor's powers!\Let's resume the testing right away! If they beat us to it...\Professor,\the tests are already being conducted. response:	What are you doing?
context: Good work.\Professor.\Now I know why South America became like that!\It was because of the masked contractor's powers!\Let's resume the testing right away! If they beat us to it...\Professor,\the tests are already being conducted.\What are you doing? response:	Please escort the professor back to PANDORA.
context: Professor.\Now I know why South America became like that!\It was because of the masked contractor's powers!\Let's resume the testing right away! If they beat us to it...\Professor,\the tests are already being conducted.\What are you doing?\Please escort the professor back to PANDORA. response:	We still have questions we need to ask the professor.
context: Now I know why South America became like that!\It was because of the masked contractor's powers!\Let's resume the testing right away! If they beat us to it...\Professor,\the tests are already being conducted.\What are you doing?\Please escort the professor back to PANDORA.\We still have questions we need to ask the professor. response:	So do we.
context: It was because of the masked contractor's powers!\Let's resume the testing right away! If they beat us to it...\Professor,\the tests are already being conducted.\What are you doing?\Please escort the professor back to PANDORA.\We still have questions we need to ask the professor.\So do we. response:	Good day.
context: Let's resume the testing right away! If they beat us to it...\Professor,\the tests are already being conducted.\What are you doing?\Please escort the professor back to PANDORA.\We still have questions we need to ask the professor.\So do we.\Good day. response:	Manager!
context: Professor,\the tests are already being conducted.\What are you doing?\Please escort the professor back to PANDORA.\We still have questions we need to ask the professor.\So do we.\Good day.\Manager! response:	I'm afraid there's nothing we can do about it.
context: the tests are already being conducted.\What are you doing?\Please escort the professor back to PANDORA.\We still have questions we need to ask the professor.\So do we.\Good day.\Manager!\I'm afraid there's nothing we can do about it. response:	I see. The professor told them everything.
context: What are you doing?\Please escort the professor back to PANDORA.\We still have questions we need to ask the professor.\So do we.\Good day.\Manager!\I'm afraid there's nothing we can do about it.\I see. The professor told them everything. response:	As you said, it would be dangerous to defer the plan until the next solar maximum.
context: Please escort the professor back to PANDORA.\We still have questions we need to ask the professor.\So do we.\Good day.\Manager!\I'm afraid there's nothing we can do about it.\I see. The professor told them everything.\As you said, it would be dangerous to defer the plan until the next solar maximum. response:	I know.
context: We still have questions we need to ask the professor.\So do we.\Good day.\Manager!\I'm afraid there's nothing we can do about it.\I see. The professor told them everything.\As you said, it would be dangerous to defer the plan until the next solar maximum.\I know. response:	That man has been taken care of.
context: So do we.\Good day.\Manager!\I'm afraid there's nothing we can do about it.\I see. The professor told them everything.\As you said, it would be dangerous to defer the plan until the next solar maximum.\I know.\That man has been taken care of. response:	So long.
context: Good day.\Manager!\I'm afraid there's nothing we can do about it.\I see. The professor told them everything.\As you said, it would be dangerous to defer the plan until the next solar maximum.\I know.\That man has been taken care of.\So long. response:	Where have you been all this time?
context: Manager!\I'm afraid there's nothing we can do about it.\I see. The professor told them everything.\As you said, it would be dangerous to defer the plan until the next solar maximum.\I know.\That man has been taken care of.\So long.\Where have you been all this time? response:	I was finishing my mission.
context: I'm afraid there's nothing we can do about it.\I see. The professor told them everything.\As you said, it would be dangerous to defer the plan until the next solar maximum.\I know.\That man has been taken care of.\So long.\Where have you been all this time?\I was finishing my mission. response:	What is that?
context: I see. The professor told them everything.\As you said, it would be dangerous to defer the plan until the next solar maximum.\I know.\That man has been taken care of.\So long.\Where have you been all this time?\I was finishing my mission.\What is that? response:	A report on the so-called syndicate.
context: As you said, it would be dangerous to defer the plan until the next solar maximum.\I know.\That man has been taken care of.\So long.\Where have you been all this time?\I was finishing my mission.\What is that?\A report on the so-called syndicate. response:	You were afraid that I'd uncover your secrets, weren't you?
context: I know.\That man has been taken care of.\So long.\Where have you been all this time?\I was finishing my mission.\What is that?\A report on the so-called syndicate.\You were afraid that I'd uncover your secrets, weren't you? response:	I was more afraid of losing my best agent.
context: That man has been taken care of.\So long.\Where have you been all this time?\I was finishing my mission.\What is that?\A report on the so-called syndicate.\You were afraid that I'd uncover your secrets, weren't you?\I was more afraid of losing my best agent. response:	Of all people, I didn't want you to find out.
context: So long.\Where have you been all this time?\I was finishing my mission.\What is that?\A report on the so-called syndicate.\You were afraid that I'd uncover your secrets, weren't you?\I was more afraid of losing my best agent.\Of all people, I didn't want you to find out. response:	Not until the very last moment of your kind's existence.
context: Where have you been all this time?\I was finishing my mission.\What is that?\A report on the so-called syndicate.\You were afraid that I'd uncover your secrets, weren't you?\I was more afraid of losing my best agent.\Of all people, I didn't want you to find out.\Not until the very last moment of your kind's existence. response:	I'm sorry it had to be this way.
context: I was finishing my mission.\What is that?\A report on the so-called syndicate.\You were afraid that I'd uncover your secrets, weren't you?\I was more afraid of losing my best agent.\Of all people, I didn't want you to find out.\Not until the very last moment of your kind's existence.\I'm sorry it had to be this way. response:	Me, too.
context: What is that?\A report on the so-called syndicate.\You were afraid that I'd uncover your secrets, weren't you?\I was more afraid of losing my best agent.\Of all people, I didn't want you to find out.\Not until the very last moment of your kind's existence.\I'm sorry it had to be this way.\Me, too. response:	Please record your message within fifteen seconds after the beep.
context: A report on the so-called syndicate.\You were afraid that I'd uncover your secrets, weren't you?\I was more afraid of losing my best agent.\Of all people, I didn't want you to find out.\Not until the very last moment of your kind's existence.\I'm sorry it had to be this way.\Me, too.\Please record your message within fifteen seconds after the beep. response:	It's me. I thought I wouldn't bother you with a farewell message, but...
context: You were afraid that I'd uncover your secrets, weren't you?\I was more afraid of losing my best agent.\Of all people, I didn't want you to find out.\Not until the very last moment of your kind's existence.\I'm sorry it had to be this way.\Me, too.\Please record your message within fifteen seconds after the beep.\It's me. I thought I wouldn't bother you with a farewell message, but... response:	It looks like I've put you two in a life-threatening situation.
context: I was more afraid of losing my best agent.\Of all people, I didn't want you to find out.\Not until the very last moment of your kind's existence.\I'm sorry it had to be this way.\Me, too.\Please record your message within fifteen seconds after the beep.\It's me. I thought I wouldn't bother you with a farewell message, but...\It looks like I've put you two in a life-threatening situation. response:	Let me emphasize that this isn't a jo...
