context: Presented by Soul Eater Fan Subs response:	www.souleaterfan.com
context: What's going on? If this keeps up, it'll be late.\The train always arriving precisely on time was a false rumor, huh?\What a let-down...\Oh, it fell down.\Awesome!\You're too late, Shinigami's errand boy.\I, the Fisher King, have already made the big catch.\The Demon Tool belongs to Arachne-sama! response:	Fisher!
context: The train always arriving precisely on time was a false rumor, huh?\What a let-down...\Oh, it fell down.\Awesome!\You're too late, Shinigami's errand boy.\I, the Fisher King, have already made the big catch.\The Demon Tool belongs to Arachne-sama!\Fisher! response:	Is that Arachnophobia's assassin?
context: What a let-down...\Oh, it fell down.\Awesome!\You're too late, Shinigami's errand boy.\I, the Fisher King, have already made the big catch.\The Demon Tool belongs to Arachne-sama!\Fisher!\Is that Arachnophobia's assassin? response:	Soul protect release.
context: Oh, it fell down.\Awesome!\You're too late, Shinigami's errand boy.\I, the Fisher King, have already made the big catch.\The Demon Tool belongs to Arachne-sama!\Fisher!\Is that Arachnophobia's assassin?\Soul protect release. response:	What?
context: Awesome!\You're too late, Shinigami's errand boy.\I, the Fisher King, have already made the big catch.\The Demon Tool belongs to Arachne-sama!\Fisher!\Is that Arachnophobia's assassin?\Soul protect release.\What? response:	A witch response?
context: You're too late, Shinigami's errand boy.\I, the Fisher King, have already made the big catch.\The Demon Tool belongs to Arachne-sama!\Fisher!\Is that Arachnophobia's assassin?\Soul protect release.\What?\A witch response? response:	Then she wasn't a tourist?
context: I, the Fisher King, have already made the big catch.\The Demon Tool belongs to Arachne-sama!\Fisher!\Is that Arachnophobia's assassin?\Soul protect release.\What?\A witch response?\Then she wasn't a tourist? response:	No, she might have been a tourist who was also a witch...
context: The Demon Tool belongs to Arachne-sama!\Fisher!\Is that Arachnophobia's assassin?\Soul protect release.\What?\A witch response?\Then she wasn't a tourist?\No, she might have been a tourist who was also a witch... response:	Look!
context: Fisher!\Is that Arachnophobia's assassin?\Soul protect release.\What?\A witch response?\Then she wasn't a tourist?\No, she might have been a tourist who was also a witch...\Look! response:	That witch had planted a bomb!
context: Is that Arachnophobia's assassin?\Soul protect release.\What?\A witch response?\Then she wasn't a tourist?\No, she might have been a tourist who was also a witch...\Look!\That witch had planted a bomb! response:	It left in the blink of an eye...
context: Soul protect release.\What?\A witch response?\Then she wasn't a tourist?\No, she might have been a tourist who was also a witch...\Look!\That witch had planted a bomb!\It left in the blink of an eye... response:	It looks like a huge worm!
context: What?\A witch response?\Then she wasn't a tourist?\No, she might have been a tourist who was also a witch...\Look!\That witch had planted a bomb!\It left in the blink of an eye...\It looks like a huge worm! response:	Save your thoughts for later!
context: A witch response?\Then she wasn't a tourist?\No, she might have been a tourist who was also a witch...\Look!\That witch had planted a bomb!\It left in the blink of an eye...\It looks like a huge worm!\Save your thoughts for later! response:	Hurry and transform into guns!
context: Then she wasn't a tourist?\No, she might have been a tourist who was also a witch...\Look!\That witch had planted a bomb!\It left in the blink of an eye...\It looks like a huge worm!\Save your thoughts for later!\Hurry and transform into guns! response:	Okay.
context: No, she might have been a tourist who was also a witch...\Look!\That witch had planted a bomb!\It left in the blink of an eye...\It looks like a huge worm!\Save your thoughts for later!\Hurry and transform into guns!\Okay. response:	We're chasing them!
context: Look!\That witch had planted a bomb!\It left in the blink of an eye...\It looks like a huge worm!\Save your thoughts for later!\Hurry and transform into guns!\Okay.\We're chasing them! response:	Go, go, go!
context: That witch had planted a bomb!\It left in the blink of an eye...\It looks like a huge worm!\Save your thoughts for later!\Hurry and transform into guns!\Okay.\We're chasing them!\Go, go, go! response:	Go, go, go!
context: It left in the blink of an eye...\It looks like a huge worm!\Save your thoughts for later!\Hurry and transform into guns!\Okay.\We're chasing them!\Go, go, go!\Go, go, go! response:	Go, go, go!
context: It looks like a huge worm!\Save your thoughts for later!\Hurry and transform into guns!\Okay.\We're chasing them!\Go, go, go!\Go, go, go!\Go, go, go! response:	There it is.
context: Save your thoughts for later!\Hurry and transform into guns!\Okay.\We're chasing them!\Go, go, go!\Go, go, go!\Go, go, go!\There it is. response:	I'm the first one on the train! I'll be taking the Demon Tool.
context: Hurry and transform into guns!\Okay.\We're chasing them!\Go, go, go!\Go, go, go!\Go, go, go!\There it is.\I'm the first one on the train! I'll be taking the Demon Tool. response:	What? They've already caught up?
context: Okay.\We're chasing them!\Go, go, go!\Go, go, go!\Go, go, go!\There it is.\I'm the first one on the train! I'll be taking the Demon Tool.\What? They've already caught up? response:	Rod Launcher!
context: We're chasing them!\Go, go, go!\Go, go, go!\Go, go, go!\There it is.\I'm the first one on the train! I'll be taking the Demon Tool.\What? They've already caught up?\Rod Launcher! response:	Kid-kun, incoming attack from three o'clock!
context: Go, go, go!\Go, go, go!\Go, go, go!\There it is.\I'm the first one on the train! I'll be taking the Demon Tool.\What? They've already caught up?\Rod Launcher!\Kid-kun, incoming attack from three o'clock! response:	How about that? How about that?
context: Go, go, go!\Go, go, go!\There it is.\I'm the first one on the train! I'll be taking the Demon Tool.\What? They've already caught up?\Rod Launcher!\Kid-kun, incoming attack from three o'clock!\How about that? How about that? response:	How do you like my Rod Bombs?
context: Go, go, go!\There it is.\I'm the first one on the train! I'll be taking the Demon Tool.\What? They've already caught up?\Rod Launcher!\Kid-kun, incoming attack from three o'clock!\How about that? How about that?\How do you like my Rod Bombs? response:	What was that?
context: There it is.\I'm the first one on the train! I'll be taking the Demon Tool.\What? They've already caught up?\Rod Launcher!\Kid-kun, incoming attack from three o'clock!\How about that? How about that?\How do you like my Rod Bombs?\What was that? response:	Good, I'll hide in the smoke and get close to the train.
context: I'm the first one on the train! I'll be taking the Demon Tool.\What? They've already caught up?\Rod Launcher!\Kid-kun, incoming attack from three o'clock!\How about that? How about that?\How do you like my Rod Bombs?\What was that?\Good, I'll hide in the smoke and get close to the train. response:	Kid-kun, the train is turning right!
context: What? They've already caught up?\Rod Launcher!\Kid-kun, incoming attack from three o'clock!\How about that? How about that?\How do you like my Rod Bombs?\What was that?\Good, I'll hide in the smoke and get close to the train.\Kid-kun, the train is turning right! response:	This is bad!
context: Rod Launcher!\Kid-kun, incoming attack from three o'clock!\How about that? How about that?\How do you like my Rod Bombs?\What was that?\Good, I'll hide in the smoke and get close to the train.\Kid-kun, the train is turning right!\This is bad! response:	Damn, it sure is violent.
context: Kid-kun, incoming attack from three o'clock!\How about that? How about that?\How do you like my Rod Bombs?\What was that?\Good, I'll hide in the smoke and get close to the train.\Kid-kun, the train is turning right!\This is bad!\Damn, it sure is violent. response:	If I have to watch out for attacks from both sides and above, then boarding the Runaway Express will be tough.
context: How about that? How about that?\How do you like my Rod Bombs?\What was that?\Good, I'll hide in the smoke and get close to the train.\Kid-kun, the train is turning right!\This is bad!\Damn, it sure is violent.\If I have to watch out for attacks from both sides and above, then boarding the Runaway Express will be tough. response:	Patty, can I count on you?
context: How do you like my Rod Bombs?\What was that?\Good, I'll hide in the smoke and get close to the train.\Kid-kun, the train is turning right!\This is bad!\Damn, it sure is violent.\If I have to watch out for attacks from both sides and above, then boarding the Runaway Express will be tough.\Patty, can I count on you? response:	Sure!
context: What was that?\Good, I'll hide in the smoke and get close to the train.\Kid-kun, the train is turning right!\This is bad!\Damn, it sure is violent.\If I have to watch out for attacks from both sides and above, then boarding the Runaway Express will be tough.\Patty, can I count on you?\Sure! response:	It's okay if I finish that enemy scum, right?
context: Good, I'll hide in the smoke and get close to the train.\Kid-kun, the train is turning right!\This is bad!\Damn, it sure is violent.\If I have to watch out for attacks from both sides and above, then boarding the Runaway Express will be tough.\Patty, can I count on you?\Sure!\It's okay if I finish that enemy scum, right? response:	I'll leave it to you!
context: Kid-kun, the train is turning right!\This is bad!\Damn, it sure is violent.\If I have to watch out for attacks from both sides and above, then boarding the Runaway Express will be tough.\Patty, can I count on you?\Sure!\It's okay if I finish that enemy scum, right?\I'll leave it to you! response:	Hey! Hey! Show your face!
context: This is bad!\Damn, it sure is violent.\If I have to watch out for attacks from both sides and above, then boarding the Runaway Express will be tough.\Patty, can I count on you?\Sure!\It's okay if I finish that enemy scum, right?\I'll leave it to you!\Hey! Hey! Show your face! response:	There you are!
context: Damn, it sure is violent.\If I have to watch out for attacks from both sides and above, then boarding the Runaway Express will be tough.\Patty, can I count on you?\Sure!\It's okay if I finish that enemy scum, right?\I'll leave it to you!\Hey! Hey! Show your face!\There you are! response:	Die, Rod-man!
context: If I have to watch out for attacks from both sides and above, then boarding the Runaway Express will be tough.\Patty, can I count on you?\Sure!\It's okay if I finish that enemy scum, right?\I'll leave it to you!\Hey! Hey! Show your face!\There you are!\Die, Rod-man! response:	360 Kickflip!
context: Patty, can I count on you?\Sure!\It's okay if I finish that enemy scum, right?\I'll leave it to you!\Hey! Hey! Show your face!\There you are!\Die, Rod-man!\360 Kickflip! response:	Perfect.
context: Sure!\It's okay if I finish that enemy scum, right?\I'll leave it to you!\Hey! Hey! Show your face!\There you are!\Die, Rod-man!\360 Kickflip!\Perfect. response:	What are you doing, Kid?
context: It's okay if I finish that enemy scum, right?\I'll leave it to you!\Hey! Hey! Show your face!\There you are!\Die, Rod-man!\360 Kickflip!\Perfect.\What are you doing, Kid? response:	Why are you doing skateboard tricks at a time like this?
context: I'll leave it to you!\Hey! Hey! Show your face!\There you are!\Die, Rod-man!\360 Kickflip!\Perfect.\What are you doing, Kid?\Why are you doing skateboard tricks at a time like this? response:	You fool! This is the only place where you can find such massive sand banks!
context: Hey! Hey! Show your face!\There you are!\Die, Rod-man!\360 Kickflip!\Perfect.\What are you doing, Kid?\Why are you doing skateboard tricks at a time like this?\You fool! This is the only place where you can find such massive sand banks! response:	If I don't do at least one or two tricks, it'll be an offense to the desert, right?!
context: There you are!\Die, Rod-man!\360 Kickflip!\Perfect.\What are you doing, Kid?\Why are you doing skateboard tricks at a time like this?\You fool! This is the only place where you can find such massive sand banks!\If I don't do at least one or two tricks, it'll be an offense to the desert, right?! response:	What?!
context: Die, Rod-man!\360 Kickflip!\Perfect.\What are you doing, Kid?\Why are you doing skateboard tricks at a time like this?\You fool! This is the only place where you can find such massive sand banks!\If I don't do at least one or two tricks, it'll be an offense to the desert, right?!\What?! response:	Look! We're at the next bank already!
context: 360 Kickflip!\Perfect.\What are you doing, Kid?\Why are you doing skateboard tricks at a time like this?\You fool! This is the only place where you can find such massive sand banks!\If I don't do at least one or two tricks, it'll be an offense to the desert, right?!\What?!\Look! We're at the next bank already! response:	Patty! No-Hander!
context: Perfect.\What are you doing, Kid?\Why are you doing skateboard tricks at a time like this?\You fool! This is the only place where you can find such massive sand banks!\If I don't do at least one or two tricks, it'll be an offense to the desert, right?!\What?!\Look! We're at the next bank already!\Patty! No-Hander! response:	3600...
context: What are you doing, Kid?\Why are you doing skateboard tricks at a time like this?\You fool! This is the only place where you can find such massive sand banks!\If I don't do at least one or two tricks, it'll be an offense to the desert, right?!\What?!\Look! We're at the next bank already!\Patty! No-Hander!\3600... response:	No-Hander!
context: Why are you doing skateboard tricks at a time like this?\You fool! This is the only place where you can find such massive sand banks!\If I don't do at least one or two tricks, it'll be an offense to the desert, right?!\What?!\Look! We're at the next bank already!\Patty! No-Hander!\3600...\No-Hander! response:	What the hell are they doing?
context: You fool! This is the only place where you can find such massive sand banks!\If I don't do at least one or two tricks, it'll be an offense to the desert, right?!\What?!\Look! We're at the next bank already!\Patty! No-Hander!\3600...\No-Hander!\What the hell are they doing? response:	Alright. Patty, return to weapon form.
context: If I don't do at least one or two tricks, it'll be an offense to the desert, right?!\What?!\Look! We're at the next bank already!\Patty! No-Hander!\3600...\No-Hander!\What the hell are they doing?\Alright. Patty, return to weapon form. response:	Okay...
context: What?!\Look! We're at the next bank already!\Patty! No-Hander!\3600...\No-Hander!\What the hell are they doing?\Alright. Patty, return to weapon form.\Okay... response:	If I stay on the roof, I'll just be a target.
context: Look! We're at the next bank already!\Patty! No-Hander!\3600...\No-Hander!\What the hell are they doing?\Alright. Patty, return to weapon form.\Okay...\If I stay on the roof, I'll just be a target. response:	It look likes the guy inside is further ahead already.
context: Patty! No-Hander!\3600...\No-Hander!\What the hell are they doing?\Alright. Patty, return to weapon form.\Okay...\If I stay on the roof, I'll just be a target.\It look likes the guy inside is further ahead already. response:	I'll detach this linkage and send those punks flying along with the rear carriages!
context: 3600...\No-Hander!\What the hell are they doing?\Alright. Patty, return to weapon form.\Okay...\If I stay on the roof, I'll just be a target.\It look likes the guy inside is further ahead already.\I'll detach this linkage and send those punks flying along with the rear carriages! response:	Where did that pervert go?
context: No-Hander!\What the hell are they doing?\Alright. Patty, return to weapon form.\Okay...\If I stay on the roof, I'll just be a target.\It look likes the guy inside is further ahead already.\I'll detach this linkage and send those punks flying along with the rear carriages!\Where did that pervert go? response:	There he is.
context: What the hell are they doing?\Alright. Patty, return to weapon form.\Okay...\If I stay on the roof, I'll just be a target.\It look likes the guy inside is further ahead already.\I'll detach this linkage and send those punks flying along with the rear carriages!\Where did that pervert go?\There he is. response:	You're pretty fast, skateboard kid.
context: Alright. Patty, return to weapon form.\Okay...\If I stay on the roof, I'll just be a target.\It look likes the guy inside is further ahead already.\I'll detach this linkage and send those punks flying along with the rear carriages!\Where did that pervert go?\There he is.\You're pretty fast, skateboard kid. response:	But this is goodbye. Disappear along with that carriage!
context: Okay...\If I stay on the roof, I'll just be a target.\It look likes the guy inside is further ahead already.\I'll detach this linkage and send those punks flying along with the rear carriages!\Where did that pervert go?\There he is.\You're pretty fast, skateboard kid.\But this is goodbye. Disappear along with that carriage! response:	Damn it!
context: If I stay on the roof, I'll just be a target.\It look likes the guy inside is further ahead already.\I'll detach this linkage and send those punks flying along with the rear carriages!\Where did that pervert go?\There he is.\You're pretty fast, skateboard kid.\But this is goodbye. Disappear along with that carriage!\Damn it! response:	He released the linkage, huh?
context: It look likes the guy inside is further ahead already.\I'll detach this linkage and send those punks flying along with the rear carriages!\Where did that pervert go?\There he is.\You're pretty fast, skateboard kid.\But this is goodbye. Disappear along with that carriage!\Damn it!\He released the linkage, huh? response:	That was close! So there was another one in the sky...
context: I'll detach this linkage and send those punks flying along with the rear carriages!\Where did that pervert go?\There he is.\You're pretty fast, skateboard kid.\But this is goodbye. Disappear along with that carriage!\Damn it!\He released the linkage, huh?\That was close! So there was another one in the sky... response:	However, you can't stop me!
context: Where did that pervert go?\There he is.\You're pretty fast, skateboard kid.\But this is goodbye. Disappear along with that carriage!\Damn it!\He released the linkage, huh?\That was close! So there was another one in the sky...\However, you can't stop me! response:	Crap! In a moment of confusion, I jumped to the back!
context: There he is.\You're pretty fast, skateboard kid.\But this is goodbye. Disappear along with that carriage!\Damn it!\He released the linkage, huh?\That was close! So there was another one in the sky...\However, you can't stop me!\Crap! In a moment of confusion, I jumped to the back! response:	Fisher!
context: You're pretty fast, skateboard kid.\But this is goodbye. Disappear along with that carriage!\Damn it!\He released the linkage, huh?\That was close! So there was another one in the sky...\However, you can't stop me!\Crap! In a moment of confusion, I jumped to the back!\Fisher! response:	This guy's a total idiot...
context: But this is goodbye. Disappear along with that carriage!\Damn it!\He released the linkage, huh?\That was close! So there was another one in the sky...\However, you can't stop me!\Crap! In a moment of confusion, I jumped to the back!\Fisher!\This guy's a total idiot... response:	An idiot! An idiot!
context: Damn it!\He released the linkage, huh?\That was close! So there was another one in the sky...\However, you can't stop me!\Crap! In a moment of confusion, I jumped to the back!\Fisher!\This guy's a total idiot...\An idiot! An idiot! response:	What an idiot...
context: He released the linkage, huh?\That was close! So there was another one in the sky...\However, you can't stop me!\Crap! In a moment of confusion, I jumped to the back!\Fisher!\This guy's a total idiot...\An idiot! An idiot!\What an idiot... response:	Damn it!
context: That was close! So there was another one in the sky...\However, you can't stop me!\Crap! In a moment of confusion, I jumped to the back!\Fisher!\This guy's a total idiot...\An idiot! An idiot!\What an idiot...\Damn it! response:	Fisher!
context: However, you can't stop me!\Crap! In a moment of confusion, I jumped to the back!\Fisher!\This guy's a total idiot...\An idiot! An idiot!\What an idiot...\Damn it!\Fisher! response:	This is goodbye, once again!
context: Crap! In a moment of confusion, I jumped to the back!\Fisher!\This guy's a total idiot...\An idiot! An idiot!\What an idiot...\Damn it!\Fisher!\This is goodbye, once again! response:	Liz, Patty!
context: Fisher!\This guy's a total idiot...\An idiot! An idiot!\What an idiot...\Damn it!\Fisher!\This is goodbye, once again!\Liz, Patty! response:	Linkage!
context: This guy's a total idiot...\An idiot! An idiot!\What an idiot...\Damn it!\Fisher!\This is goodbye, once again!\Liz, Patty!\Linkage! response:	Linkage!
context: An idiot! An idiot!\What an idiot...\Damn it!\Fisher!\This is goodbye, once again!\Liz, Patty!\Linkage!\Linkage! response:	What?
context: What an idiot...\Damn it!\Fisher!\This is goodbye, once again!\Liz, Patty!\Linkage!\Linkage!\What? response:	This feels great!
context: Damn it!\Fisher!\This is goodbye, once again!\Liz, Patty!\Linkage!\Linkage!\What?\This feels great! response:	So refreshing!
context: Fisher!\This is goodbye, once again!\Liz, Patty!\Linkage!\Linkage!\What?\This feels great!\So refreshing! response:	Damn it!
context: This is goodbye, once again!\Liz, Patty!\Linkage!\Linkage!\What?\This feels great!\So refreshing!\Damn it! response:	I will take the Demon Tool!
context: Liz, Patty!\Linkage!\Linkage!\What?\This feels great!\So refreshing!\Damn it!\I will take the Demon Tool! response:	I won't let anyone near the engine room!
context: Linkage!\Linkage!\What?\This feels great!\So refreshing!\Damn it!\I will take the Demon Tool!\I won't let anyone near the engine room! response:	He ran away!
context: Linkage!\What?\This feels great!\So refreshing!\Damn it!\I will take the Demon Tool!\I won't let anyone near the engine room!\He ran away! response:	Liz, Patty.
context: What?\This feels great!\So refreshing!\Damn it!\I will take the Demon Tool!\I won't let anyone near the engine room!\He ran away!\Liz, Patty. response:	Rod Launcher!
context: This feels great!\So refreshing!\Damn it!\I will take the Demon Tool!\I won't let anyone near the engine room!\He ran away!\Liz, Patty.\Rod Launcher! response:	That bastard... His firepower is too reckless!
context: So refreshing!\Damn it!\I will take the Demon Tool!\I won't let anyone near the engine room!\He ran away!\Liz, Patty.\Rod Launcher!\That bastard... His firepower is too reckless! response:	What?
context: Damn it!\I will take the Demon Tool!\I won't let anyone near the engine room!\He ran away!\Liz, Patty.\Rod Launcher!\That bastard... His firepower is too reckless!\What? response:	Damn it...
context: I will take the Demon Tool!\I won't let anyone near the engine room!\He ran away!\Liz, Patty.\Rod Launcher!\That bastard... His firepower is too reckless!\What?\Damn it... response:	This is...
context: I won't let anyone near the engine room!\He ran away!\Liz, Patty.\Rod Launcher!\That bastard... His firepower is too reckless!\What?\Damn it...\This is... response:	This train's power source...
context: He ran away!\Liz, Patty.\Rod Launcher!\That bastard... His firepower is too reckless!\What?\Damn it...\This is...\This train's power source... response:	The Demon Tool, Eternal Spring.
context: Liz, Patty.\Rod Launcher!\That bastard... His firepower is too reckless!\What?\Damn it...\This is...\This train's power source...\The Demon Tool, Eternal Spring. response:	The Demon Tool, Eternal Spring.
context: Rod Launcher!\That bastard... His firepower is too reckless!\What?\Damn it...\This is...\This train's power source...\The Demon Tool, Eternal Spring.\The Demon Tool, Eternal Spring. response:	I won't let you have the Demon Tool!
context: That bastard... His firepower is too reckless!\What?\Damn it...\This is...\This train's power source...\The Demon Tool, Eternal Spring.\The Demon Tool, Eternal Spring.\I won't let you have the Demon Tool! response:	This Demon Tool belongs to Arachne-sama...
context: What?\Damn it...\This is...\This train's power source...\The Demon Tool, Eternal Spring.\The Demon Tool, Eternal Spring.\I won't let you have the Demon Tool!\This Demon Tool belongs to Arachne-sama... response:	This is our goal, the Demon Tool.
context: Damn it...\This is...\This train's power source...\The Demon Tool, Eternal Spring.\The Demon Tool, Eternal Spring.\I won't let you have the Demon Tool!\This Demon Tool belongs to Arachne-sama...\This is our goal, the Demon Tool. response:	With this, we can bring this runaway train to rest.
context: This is...\This train's power source...\The Demon Tool, Eternal Spring.\The Demon Tool, Eternal Spring.\I won't let you have the Demon Tool!\This Demon Tool belongs to Arachne-sama...\This is our goal, the Demon Tool.\With this, we can bring this runaway train to rest. response:	What a wicked Demon Tool...
context: This train's power source...\The Demon Tool, Eternal Spring.\The Demon Tool, Eternal Spring.\I won't let you have the Demon Tool!\This Demon Tool belongs to Arachne-sama...\This is our goal, the Demon Tool.\With this, we can bring this runaway train to rest.\What a wicked Demon Tool... response:	It really disgusts me.
context: The Demon Tool, Eternal Spring.\The Demon Tool, Eternal Spring.\I won't let you have the Demon Tool!\This Demon Tool belongs to Arachne-sama...\This is our goal, the Demon Tool.\With this, we can bring this runaway train to rest.\What a wicked Demon Tool...\It really disgusts me. response:	You ignorant Shibusen brat...
context: The Demon Tool, Eternal Spring.\I won't let you have the Demon Tool!\This Demon Tool belongs to Arachne-sama...\This is our goal, the Demon Tool.\With this, we can bring this runaway train to rest.\What a wicked Demon Tool...\It really disgusts me.\You ignorant Shibusen brat... response:	That Demon Tool is the work of the Great Warlock Eibon.
context: I won't let you have the Demon Tool!\This Demon Tool belongs to Arachne-sama...\This is our goal, the Demon Tool.\With this, we can bring this runaway train to rest.\What a wicked Demon Tool...\It really disgusts me.\You ignorant Shibusen brat...\That Demon Tool is the work of the Great Warlock Eibon. response:	Eibon? That's probably just a useless villain anyway.
context: This Demon Tool belongs to Arachne-sama...\This is our goal, the Demon Tool.\With this, we can bring this runaway train to rest.\What a wicked Demon Tool...\It really disgusts me.\You ignorant Shibusen brat...\That Demon Tool is the work of the Great Warlock Eibon.\Eibon? That's probably just a useless villain anyway. response:	Eibon and Shinigami are the same person.
context: This is our goal, the Demon Tool.\With this, we can bring this runaway train to rest.\What a wicked Demon Tool...\It really disgusts me.\You ignorant Shibusen brat...\That Demon Tool is the work of the Great Warlock Eibon.\Eibon? That's probably just a useless villain anyway.\Eibon and Shinigami are the same person. response:	Are you mocking my father?
context: With this, we can bring this runaway train to rest.\What a wicked Demon Tool...\It really disgusts me.\You ignorant Shibusen brat...\That Demon Tool is the work of the Great Warlock Eibon.\Eibon? That's probably just a useless villain anyway.\Eibon and Shinigami are the same person.\Are you mocking my father? response:	What? You're Shinigami's son?
context: What a wicked Demon Tool...\It really disgusts me.\You ignorant Shibusen brat...\That Demon Tool is the work of the Great Warlock Eibon.\Eibon? That's probably just a useless villain anyway.\Eibon and Shinigami are the same person.\Are you mocking my father?\What? You're Shinigami's son? response:	I'll show you something good.
context: It really disgusts me.\You ignorant Shibusen brat...\That Demon Tool is the work of the Great Warlock Eibon.\Eibon? That's probably just a useless villain anyway.\Eibon and Shinigami are the same person.\Are you mocking my father?\What? You're Shinigami's son?\I'll show you something good. response:	Open the box where the Eternal Spring was stuck.
context: You ignorant Shibusen brat...\That Demon Tool is the work of the Great Warlock Eibon.\Eibon? That's probably just a useless villain anyway.\Eibon and Shinigami are the same person.\Are you mocking my father?\What? You're Shinigami's son?\I'll show you something good.\Open the box where the Eternal Spring was stuck. response:	The box?
context: That Demon Tool is the work of the Great Warlock Eibon.\Eibon? That's probably just a useless villain anyway.\Eibon and Shinigami are the same person.\Are you mocking my father?\What? You're Shinigami's son?\I'll show you something good.\Open the box where the Eternal Spring was stuck.\The box? response:	Are you saying there's something inside this?
context: Eibon? That's probably just a useless villain anyway.\Eibon and Shinigami are the same person.\Are you mocking my father?\What? You're Shinigami's son?\I'll show you something good.\Open the box where the Eternal Spring was stuck.\The box?\Are you saying there's something inside this? response:	The Spring alone is not the whole Demon Tool.
context: Eibon and Shinigami are the same person.\Are you mocking my father?\What? You're Shinigami's son?\I'll show you something good.\Open the box where the Eternal Spring was stuck.\The box?\Are you saying there's something inside this?\The Spring alone is not the whole Demon Tool. response:	It's a set that includes both the key and the box it fits into.
context: Are you mocking my father?\What? You're Shinigami's son?\I'll show you something good.\Open the box where the Eternal Spring was stuck.\The box?\Are you saying there's something inside this?\The Spring alone is not the whole Demon Tool.\It's a set that includes both the key and the box it fits into. response:	Now... Now... Now...!
context: What? You're Shinigami's son?\I'll show you something good.\Open the box where the Eternal Spring was stuck.\The box?\Are you saying there's something inside this?\The Spring alone is not the whole Demon Tool.\It's a set that includes both the key and the box it fits into.\Now... Now... Now...! response:	Now... Now... Now...!
context: I'll show you something good.\Open the box where the Eternal Spring was stuck.\The box?\Are you saying there's something inside this?\The Spring alone is not the whole Demon Tool.\It's a set that includes both the key and the box it fits into.\Now... Now... Now...!\Now... Now... Now...! response:	Now... Now... Now...!
context: Open the box where the Eternal Spring was stuck.\The box?\Are you saying there's something inside this?\The Spring alone is not the whole Demon Tool.\It's a set that includes both the key and the box it fits into.\Now... Now... Now...!\Now... Now... Now...!\Now... Now... Now...! response:	Look at the plaque behind the box's cover.
context: The box?\Are you saying there's something inside this?\The Spring alone is not the whole Demon Tool.\It's a set that includes both the key and the box it fits into.\Now... Now... Now...!\Now... Now... Now...!\Now... Now... Now...!\Look at the plaque behind the box's cover. response:	This is...!
context: Are you saying there's something inside this?\The Spring alone is not the whole Demon Tool.\It's a set that includes both the key and the box it fits into.\Now... Now... Now...!\Now... Now... Now...!\Now... Now... Now...!\Look at the plaque behind the box's cover.\This is...! response:	Eibon... and...
context: The Spring alone is not the whole Demon Tool.\It's a set that includes both the key and the box it fits into.\Now... Now... Now...!\Now... Now... Now...!\Now... Now... Now...!\Look at the plaque behind the box's cover.\This is...!\Eibon... and... response:	Eibon... and...
context: It's a set that includes both the key and the box it fits into.\Now... Now... Now...!\Now... Now... Now...!\Now... Now... Now...!\Look at the plaque behind the box's cover.\This is...!\Eibon... and...\Eibon... and... response:	Death.
context: Now... Now... Now...!\Now... Now... Now...!\Now... Now... Now...!\Look at the plaque behind the box's cover.\This is...!\Eibon... and...\Eibon... and...\Death. response:	Shi... Shinigami.
context: Now... Now... Now...!\Now... Now... Now...!\Look at the plaque behind the box's cover.\This is...!\Eibon... and...\Eibon... and...\Death.\Shi... Shinigami. response:	Shi... Shinigami.
context: Now... Now... Now...!\Look at the plaque behind the box's cover.\This is...!\Eibon... and...\Eibon... and...\Death.\Shi... Shinigami.\Shi... Shinigami. response:	There's no mistake. This is my father's handwriting.
context: Look at the plaque behind the box's cover.\This is...!\Eibon... and...\Eibon... and...\Death.\Shi... Shinigami.\Shi... Shinigami.\There's no mistake. This is my father's handwriting. response:	Why is my honorable father's signature on this thing?
context: This is...!\Eibon... and...\Eibon... and...\Death.\Shi... Shinigami.\Shi... Shinigami.\There's no mistake. This is my father's handwriting.\Why is my honorable father's signature on this thing? response:	What's wrong, Kid?
context: Eibon... and...\Eibon... and...\Death.\Shi... Shinigami.\Shi... Shinigami.\There's no mistake. This is my father's handwriting.\Why is my honorable father's signature on this thing?\What's wrong, Kid? response:	What's written next to Eibon, the one you called the Wicked Warlock?
context: Eibon... and...\Death.\Shi... Shinigami.\Shi... Shinigami.\There's no mistake. This is my father's handwriting.\Why is my honorable father's signature on this thing?\What's wrong, Kid?\What's written next to Eibon, the one you called the Wicked Warlock? response:	Whose signature is that?
context: Death.\Shi... Shinigami.\Shi... Shinigami.\There's no mistake. This is my father's handwriting.\Why is my honorable father's signature on this thing?\What's wrong, Kid?\What's written next to Eibon, the one you called the Wicked Warlock?\Whose signature is that? response:	What is this?
context: Shi... Shinigami.\Shi... Shinigami.\There's no mistake. This is my father's handwriting.\Why is my honorable father's signature on this thing?\What's wrong, Kid?\What's written next to Eibon, the one you called the Wicked Warlock?\Whose signature is that?\What is this? response:	What is the meaning of this?
context: Shi... Shinigami.\There's no mistake. This is my father's handwriting.\Why is my honorable father's signature on this thing?\What's wrong, Kid?\What's written next to Eibon, the one you called the Wicked Warlock?\Whose signature is that?\What is this?\What is the meaning of this? response:	That's...
context: There's no mistake. This is my father's handwriting.\Why is my honorable father's signature on this thing?\What's wrong, Kid?\What's written next to Eibon, the one you called the Wicked Warlock?\Whose signature is that?\What is this?\What is the meaning of this?\That's... response:	What?
