context: Miuna. You're going to catch a cold, so let's... response:	I've got sand in my mouth, damn it.
context: What are you doing?\You really can't smell the ocean here.\Yeah...\If we get lost here, our Ena might be in trouble.\It's not salt water, so there's no point jumping in.\T-Tsumugu-kun, are you psychic?!\You're just too easy to figure out.\Could that be... response:	Places with that mark have salt water for Ena.
context: You really can't smell the ocean here.\Yeah...\If we get lost here, our Ena might be in trouble.\It's not salt water, so there's no point jumping in.\T-Tsumugu-kun, are you psychic?!\You're just too easy to figure out.\Could that be...\Places with that mark have salt water for Ena. response:	They have places like that?
context: Yeah...\If we get lost here, our Ena might be in trouble.\It's not salt water, so there's no point jumping in.\T-Tsumugu-kun, are you psychic?!\You're just too easy to figure out.\Could that be...\Places with that mark have salt water for Ena.\They have places like that? response:	We Have Salt Water.
context: If we get lost here, our Ena might be in trouble.\It's not salt water, so there's no point jumping in.\T-Tsumugu-kun, are you psychic?!\You're just too easy to figure out.\Could that be...\Places with that mark have salt water for Ena.\They have places like that?\We Have Salt Water. response:	There aren't very many,
context: It's not salt water, so there's no point jumping in.\T-Tsumugu-kun, are you psychic?!\You're just too easy to figure out.\Could that be...\Places with that mark have salt water for Ena.\They have places like that?\We Have Salt Water.\There aren't very many, response:	but some places even have a space where you can use the water...
context: T-Tsumugu-kun, are you psychic?!\You're just too easy to figure out.\Could that be...\Places with that mark have salt water for Ena.\They have places like that?\We Have Salt Water.\There aren't very many,\but some places even have a space where you can use the water... response:	And some places just have the salt water out free to use.
context: You're just too easy to figure out.\Could that be...\Places with that mark have salt water for Ena.\They have places like that?\We Have Salt Water.\There aren't very many,\but some places even have a space where you can use the water...\And some places just have the salt water out free to use. response:	Huh.
context: Could that be...\Places with that mark have salt water for Ena.\They have places like that?\We Have Salt Water.\There aren't very many,\but some places even have a space where you can use the water...\And some places just have the salt water out free to use.\Huh. response:	That's pretty different from Oshiooshi.
context: Places with that mark have salt water for Ena.\They have places like that?\We Have Salt Water.\There aren't very many,\but some places even have a space where you can use the water...\And some places just have the salt water out free to use.\Huh.\That's pretty different from Oshiooshi. response:	I had no idea.
context: They have places like that?\We Have Salt Water.\There aren't very many,\but some places even have a space where you can use the water...\And some places just have the salt water out free to use.\Huh.\That's pretty different from Oshiooshi.\I had no idea. response:	Hey, Miuna.
context: We Have Salt Water.\There aren't very many,\but some places even have a space where you can use the water...\And some places just have the salt water out free to use.\Huh.\That's pretty different from Oshiooshi.\I had no idea.\Hey, Miuna. response:	We're gonna leave you behind.
context: There aren't very many,\but some places even have a space where you can use the water...\And some places just have the salt water out free to use.\Huh.\That's pretty different from Oshiooshi.\I had no idea.\Hey, Miuna.\We're gonna leave you behind. response:	Everything's so shiny!
context: but some places even have a space where you can use the water...\And some places just have the salt water out free to use.\Huh.\That's pretty different from Oshiooshi.\I had no idea.\Hey, Miuna.\We're gonna leave you behind.\Everything's so shiny! response:	They're so pretty.
context: And some places just have the salt water out free to use.\Huh.\That's pretty different from Oshiooshi.\I had no idea.\Hey, Miuna.\We're gonna leave you behind.\Everything's so shiny!\They're so pretty. response:	Do you see one you like?
context: Huh.\That's pretty different from Oshiooshi.\I had no idea.\Hey, Miuna.\We're gonna leave you behind.\Everything's so shiny!\They're so pretty.\Do you see one you like? response:	U-Um...
context: That's pretty different from Oshiooshi.\I had no idea.\Hey, Miuna.\We're gonna leave you behind.\Everything's so shiny!\They're so pretty.\Do you see one you like?\U-Um... response:	It's so expensive!
context: I had no idea.\Hey, Miuna.\We're gonna leave you behind.\Everything's so shiny!\They're so pretty.\Do you see one you like?\U-Um...\It's so expensive! response:	H-Hii-kun!
context: Hey, Miuna.\We're gonna leave you behind.\Everything's so shiny!\They're so pretty.\Do you see one you like?\U-Um...\It's so expensive!\H-Hii-kun! response:	Er, I mean...
context: We're gonna leave you behind.\Everything's so shiny!\They're so pretty.\Do you see one you like?\U-Um...\It's so expensive!\H-Hii-kun!\Er, I mean... response:	there are tons of these just lying around in the sea.
context: Everything's so shiny!\They're so pretty.\Do you see one you like?\U-Um...\It's so expensive!\H-Hii-kun!\Er, I mean...\there are tons of these just lying around in the sea. response:	It might be hard finding something here.
context: They're so pretty.\Do you see one you like?\U-Um...\It's so expensive!\H-Hii-kun!\Er, I mean...\there are tons of these just lying around in the sea.\It might be hard finding something here. response:	But there are other shops, too, okay?
context: Do you see one you like?\U-Um...\It's so expensive!\H-Hii-kun!\Er, I mean...\there are tons of these just lying around in the sea.\It might be hard finding something here.\But there are other shops, too, okay? response:	Yeah.
context: U-Um...\It's so expensive!\H-Hii-kun!\Er, I mean...\there are tons of these just lying around in the sea.\It might be hard finding something here.\But there are other shops, too, okay?\Yeah. response:	Did I... do something?
context: It's so expensive!\H-Hii-kun!\Er, I mean...\there are tons of these just lying around in the sea.\It might be hard finding something here.\But there are other shops, too, okay?\Yeah.\Did I... do something? response:	Hey, Chisaki. Over here.
context: H-Hii-kun!\Er, I mean...\there are tons of these just lying around in the sea.\It might be hard finding something here.\But there are other shops, too, okay?\Yeah.\Did I... do something?\Hey, Chisaki. Over here. response:	R-Right.
context: Er, I mean...\there are tons of these just lying around in the sea.\It might be hard finding something here.\But there are other shops, too, okay?\Yeah.\Did I... do something?\Hey, Chisaki. Over here.\R-Right. response:	Oh, no...
context: there are tons of these just lying around in the sea.\It might be hard finding something here.\But there are other shops, too, okay?\Yeah.\Did I... do something?\Hey, Chisaki. Over here.\R-Right.\Oh, no... response:	I-I lost weight, too...
context: It might be hard finding something here.\But there are other shops, too, okay?\Yeah.\Did I... do something?\Hey, Chisaki. Over here.\R-Right.\Oh, no...\I-I lost weight, too... response:	We'll meet back up at the top.
context: But there are other shops, too, okay?\Yeah.\Did I... do something?\Hey, Chisaki. Over here.\R-Right.\Oh, no...\I-I lost weight, too...\We'll meet back up at the top. response:	Got it.
context: Yeah.\Did I... do something?\Hey, Chisaki. Over here.\R-Right.\Oh, no...\I-I lost weight, too...\We'll meet back up at the top.\Got it. response:	Sorry... Making you come with me.
context: Did I... do something?\Hey, Chisaki. Over here.\R-Right.\Oh, no...\I-I lost weight, too...\We'll meet back up at the top.\Got it.\Sorry... Making you come with me. response:	It was the seventh floor, right?
context: Hey, Chisaki. Over here.\R-Right.\Oh, no...\I-I lost weight, too...\We'll meet back up at the top.\Got it.\Sorry... Making you come with me.\It was the seventh floor, right? response:	Yeah...
context: R-Right.\Oh, no...\I-I lost weight, too...\We'll meet back up at the top.\Got it.\Sorry... Making you come with me.\It was the seventh floor, right?\Yeah... response:	What the heck? Everything's up top.
context: Oh, no...\I-I lost weight, too...\We'll meet back up at the top.\Got it.\Sorry... Making you come with me.\It was the seventh floor, right?\Yeah...\What the heck? Everything's up top. response:	Let's use the stairs.
context: I-I lost weight, too...\We'll meet back up at the top.\Got it.\Sorry... Making you come with me.\It was the seventh floor, right?\Yeah...\What the heck? Everything's up top.\Let's use the stairs. response:	What? Wouldn't you use the escalators usually?
context: We'll meet back up at the top.\Got it.\Sorry... Making you come with me.\It was the seventh floor, right?\Yeah...\What the heck? Everything's up top.\Let's use the stairs.\What? Wouldn't you use the escalators usually? response:	Um, i-is your sister... Akari-san okay?
context: Got it.\Sorry... Making you come with me.\It was the seventh floor, right?\Yeah...\What the heck? Everything's up top.\Let's use the stairs.\What? Wouldn't you use the escalators usually?\Um, i-is your sister... Akari-san okay? response:	Yeah, despite everything.
context: Sorry... Making you come with me.\It was the seventh floor, right?\Yeah...\What the heck? Everything's up top.\Let's use the stairs.\What? Wouldn't you use the escalators usually?\Um, i-is your sister... Akari-san okay?\Yeah, despite everything. response:	Girls are pretty strong after all.
context: It was the seventh floor, right?\Yeah...\What the heck? Everything's up top.\Let's use the stairs.\What? Wouldn't you use the escalators usually?\Um, i-is your sister... Akari-san okay?\Yeah, despite everything.\Girls are pretty strong after all. response:	I see.
context: Yeah...\What the heck? Everything's up top.\Let's use the stairs.\What? Wouldn't you use the escalators usually?\Um, i-is your sister... Akari-san okay?\Yeah, despite everything.\Girls are pretty strong after all.\I see. response:	Akari-san decided on her own, right?
context: What the heck? Everything's up top.\Let's use the stairs.\What? Wouldn't you use the escalators usually?\Um, i-is your sister... Akari-san okay?\Yeah, despite everything.\Girls are pretty strong after all.\I see.\Akari-san decided on her own, right? response:	To leave the sea for the surface...
context: Let's use the stairs.\What? Wouldn't you use the escalators usually?\Um, i-is your sister... Akari-san okay?\Yeah, despite everything.\Girls are pretty strong after all.\I see.\Akari-san decided on her own, right?\To leave the sea for the surface... response:	I wonder if she was able to decide because Itaru-san was there for her...
context: What? Wouldn't you use the escalators usually?\Um, i-is your sister... Akari-san okay?\Yeah, despite everything.\Girls are pretty strong after all.\I see.\Akari-san decided on her own, right?\To leave the sea for the surface...\I wonder if she was able to decide because Itaru-san was there for her... response:	One day...
context: Um, i-is your sister... Akari-san okay?\Yeah, despite everything.\Girls are pretty strong after all.\I see.\Akari-san decided on her own, right?\To leave the sea for the surface...\I wonder if she was able to decide because Itaru-san was there for her...\One day... response:	One day, Manaka might...
context: Yeah, despite everything.\Girls are pretty strong after all.\I see.\Akari-san decided on her own, right?\To leave the sea for the surface...\I wonder if she was able to decide because Itaru-san was there for her...\One day...\One day, Manaka might... response:	She might leave for the surface, too.
context: Girls are pretty strong after all.\I see.\Akari-san decided on her own, right?\To leave the sea for the surface...\I wonder if she was able to decide because Itaru-san was there for her...\One day...\One day, Manaka might...\She might leave for the surface, too. response:	What am I saying...
context: I see.\Akari-san decided on her own, right?\To leave the sea for the surface...\I wonder if she was able to decide because Itaru-san was there for her...\One day...\One day, Manaka might...\She might leave for the surface, too.\What am I saying... response:	I don't know for sure yet,
context: Akari-san decided on her own, right?\To leave the sea for the surface...\I wonder if she was able to decide because Itaru-san was there for her...\One day...\One day, Manaka might...\She might leave for the surface, too.\What am I saying...\I don't know for sure yet, response:	but if that happens, I'm going to support her.
context: To leave the sea for the surface...\I wonder if she was able to decide because Itaru-san was there for her...\One day...\One day, Manaka might...\She might leave for the surface, too.\What am I saying...\I don't know for sure yet,\but if that happens, I'm going to support her. response:	Huh?
context: I wonder if she was able to decide because Itaru-san was there for her...\One day...\One day, Manaka might...\She might leave for the surface, too.\What am I saying...\I don't know for sure yet,\but if that happens, I'm going to support her.\Huh? response:	But why...
context: One day...\One day, Manaka might...\She might leave for the surface, too.\What am I saying...\I don't know for sure yet,\but if that happens, I'm going to support her.\Huh?\But why... response:	You always try so hard to protect Manaka...
context: One day, Manaka might...\She might leave for the surface, too.\What am I saying...\I don't know for sure yet,\but if that happens, I'm going to support her.\Huh?\But why...\You always try so hard to protect Manaka... response:	What are you talking about?
context: She might leave for the surface, too.\What am I saying...\I don't know for sure yet,\but if that happens, I'm going to support her.\Huh?\But why...\You always try so hard to protect Manaka...\What are you talking about? response:	Hikari!
context: What am I saying...\I don't know for sure yet,\but if that happens, I'm going to support her.\Huh?\But why...\You always try so hard to protect Manaka...\What are you talking about?\Hikari! response:	You've always liked her, right?
context: I don't know for sure yet,\but if that happens, I'm going to support her.\Huh?\But why...\You always try so hard to protect Manaka...\What are you talking about?\Hikari!\You've always liked her, right? response:	Manaka...
context: but if that happens, I'm going to support her.\Huh?\But why...\You always try so hard to protect Manaka...\What are you talking about?\Hikari!\You've always liked her, right?\Manaka... response:	Wha?!
context: Huh?\But why...\You always try so hard to protect Manaka...\What are you talking about?\Hikari!\You've always liked her, right?\Manaka...\Wha?! response:	This would probably look good on Akari-san.
context: But why...\You always try so hard to protect Manaka...\What are you talking about?\Hikari!\You've always liked her, right?\Manaka...\Wha?!\This would probably look good on Akari-san. response:	Oh, this one, too.
context: You always try so hard to protect Manaka...\What are you talking about?\Hikari!\You've always liked her, right?\Manaka...\Wha?!\This would probably look good on Akari-san.\Oh, this one, too. response:	But it looked so good with the pendant...
context: What are you talking about?\Hikari!\You've always liked her, right?\Manaka...\Wha?!\This would probably look good on Akari-san.\Oh, this one, too.\But it looked so good with the pendant... response:	It's cute because of this one piece.
context: Hikari!\You've always liked her, right?\Manaka...\Wha?!\This would probably look good on Akari-san.\Oh, this one, too.\But it looked so good with the pendant...\It's cute because of this one piece. response:	It can't be helped, with this temperature.
context: You've always liked her, right?\Manaka...\Wha?!\This would probably look good on Akari-san.\Oh, this one, too.\But it looked so good with the pendant...\It's cute because of this one piece.\It can't be helped, with this temperature. response:	U-Um...
context: Manaka...\Wha?!\This would probably look good on Akari-san.\Oh, this one, too.\But it looked so good with the pendant...\It's cute because of this one piece.\It can't be helped, with this temperature.\U-Um... response:	Pardon me,
context: Wha?!\This would probably look good on Akari-san.\Oh, this one, too.\But it looked so good with the pendant...\It's cute because of this one piece.\It can't be helped, with this temperature.\U-Um...\Pardon me, response:	could we see the pendant on that mannequin?
context: This would probably look good on Akari-san.\Oh, this one, too.\But it looked so good with the pendant...\It's cute because of this one piece.\It can't be helped, with this temperature.\U-Um...\Pardon me,\could we see the pendant on that mannequin? response:	Oh, sure... Here.
context: Oh, this one, too.\But it looked so good with the pendant...\It's cute because of this one piece.\It can't be helped, with this temperature.\U-Um...\Pardon me,\could we see the pendant on that mannequin?\Oh, sure... Here. response:	Oh...
context: But it looked so good with the pendant...\It's cute because of this one piece.\It can't be helped, with this temperature.\U-Um...\Pardon me,\could we see the pendant on that mannequin?\Oh, sure... Here.\Oh... response:	Thank you very much.
context: It's cute because of this one piece.\It can't be helped, with this temperature.\U-Um...\Pardon me,\could we see the pendant on that mannequin?\Oh, sure... Here.\Oh...\Thank you very much. response:	What should I do...
context: It can't be helped, with this temperature.\U-Um...\Pardon me,\could we see the pendant on that mannequin?\Oh, sure... Here.\Oh...\Thank you very much.\What should I do... response:	Does it have to be an expensive one?
context: U-Um...\Pardon me,\could we see the pendant on that mannequin?\Oh, sure... Here.\Oh...\Thank you very much.\What should I do...\Does it have to be an expensive one? response:	He's nice to everyone, isn't he?
context: Pardon me,\could we see the pendant on that mannequin?\Oh, sure... Here.\Oh...\Thank you very much.\What should I do...\Does it have to be an expensive one?\He's nice to everyone, isn't he? response:	T-Tsumugu-kun?
context: could we see the pendant on that mannequin?\Oh, sure... Here.\Oh...\Thank you very much.\What should I do...\Does it have to be an expensive one?\He's nice to everyone, isn't he?\T-Tsumugu-kun? response:	Yeah, Tsumugu.
context: Oh, sure... Here.\Oh...\Thank you very much.\What should I do...\Does it have to be an expensive one?\He's nice to everyone, isn't he?\T-Tsumugu-kun?\Yeah, Tsumugu. response:	What do you think about him, Manaka?
context: Oh...\Thank you very much.\What should I do...\Does it have to be an expensive one?\He's nice to everyone, isn't he?\T-Tsumugu-kun?\Yeah, Tsumugu.\What do you think about him, Manaka? response:	Huh? A-About him?
context: Thank you very much.\What should I do...\Does it have to be an expensive one?\He's nice to everyone, isn't he?\T-Tsumugu-kun?\Yeah, Tsumugu.\What do you think about him, Manaka?\Huh? A-About him? response:	Why?
context: What should I do...\Does it have to be an expensive one?\He's nice to everyone, isn't he?\T-Tsumugu-kun?\Yeah, Tsumugu.\What do you think about him, Manaka?\Huh? A-About him?\Why? response:	Just because.
context: Does it have to be an expensive one?\He's nice to everyone, isn't he?\T-Tsumugu-kun?\Yeah, Tsumugu.\What do you think about him, Manaka?\Huh? A-About him?\Why?\Just because. response:	U-Um...
context: He's nice to everyone, isn't he?\T-Tsumugu-kun?\Yeah, Tsumugu.\What do you think about him, Manaka?\Huh? A-About him?\Why?\Just because.\U-Um... response:	Tsumugu-kun... can see things that I can't realize.
context: T-Tsumugu-kun?\Yeah, Tsumugu.\What do you think about him, Manaka?\Huh? A-About him?\Why?\Just because.\U-Um...\Tsumugu-kun... can see things that I can't realize. response:	I see.
context: Yeah, Tsumugu.\What do you think about him, Manaka?\Huh? A-About him?\Why?\Just because.\U-Um...\Tsumugu-kun... can see things that I can't realize.\I see. response:	So that's the real you.
context: What do you think about him, Manaka?\Huh? A-About him?\Why?\Just because.\U-Um...\Tsumugu-kun... can see things that I can't realize.\I see.\So that's the real you. response:	I think... that's really amazing...
context: Huh? A-About him?\Why?\Just because.\U-Um...\Tsumugu-kun... can see things that I can't realize.\I see.\So that's the real you.\I think... that's really amazing... response:	Yeah, really amazing...
context: Why?\Just because.\U-Um...\Tsumugu-kun... can see things that I can't realize.\I see.\So that's the real you.\I think... that's really amazing...\Yeah, really amazing... response:	I see.
context: Just because.\U-Um...\Tsumugu-kun... can see things that I can't realize.\I see.\So that's the real you.\I think... that's really amazing...\Yeah, really amazing...\I see. response:	Manaka, you're able to say what you think now.
context: U-Um...\Tsumugu-kun... can see things that I can't realize.\I see.\So that's the real you.\I think... that's really amazing...\Yeah, really amazing...\I see.\Manaka, you're able to say what you think now. response:	You... think so?
context: Tsumugu-kun... can see things that I can't realize.\I see.\So that's the real you.\I think... that's really amazing...\Yeah, really amazing...\I see.\Manaka, you're able to say what you think now.\You... think so? response:	So lame.
context: I see.\So that's the real you.\I think... that's really amazing...\Yeah, really amazing...\I see.\Manaka, you're able to say what you think now.\You... think so?\So lame. response:	But I've decided that I'll support her...
context: So that's the real you.\I think... that's really amazing...\Yeah, really amazing...\I see.\Manaka, you're able to say what you think now.\You... think so?\So lame.\But I've decided that I'll support her... response:	That I'll give up...
context: I think... that's really amazing...\Yeah, really amazing...\I see.\Manaka, you're able to say what you think now.\You... think so?\So lame.\But I've decided that I'll support her...\That I'll give up... response:	At first, with Tsumugu...
context: Yeah, really amazing...\I see.\Manaka, you're able to say what you think now.\You... think so?\So lame.\But I've decided that I'll support her...\That I'll give up...\At first, with Tsumugu... response:	I thought there'd be no chance with a guy from the surface...
context: I see.\Manaka, you're able to say what you think now.\You... think so?\So lame.\But I've decided that I'll support her...\That I'll give up...\At first, with Tsumugu...\I thought there'd be no chance with a guy from the surface... response:	But I was only thinking about myself,
context: Manaka, you're able to say what you think now.\You... think so?\So lame.\But I've decided that I'll support her...\That I'll give up...\At first, with Tsumugu...\I thought there'd be no chance with a guy from the surface...\But I was only thinking about myself, response:	and I didn't think about her feelings at all.
context: You... think so?\So lame.\But I've decided that I'll support her...\That I'll give up...\At first, with Tsumugu...\I thought there'd be no chance with a guy from the surface...\But I was only thinking about myself,\and I didn't think about her feelings at all. response:	But then I saw different sides of Manaka
context: So lame.\But I've decided that I'll support her...\That I'll give up...\At first, with Tsumugu...\I thought there'd be no chance with a guy from the surface...\But I was only thinking about myself,\and I didn't think about her feelings at all.\But then I saw different sides of Manaka response:	and there was the whole thing with Akari.
context: But I've decided that I'll support her...\That I'll give up...\At first, with Tsumugu...\I thought there'd be no chance with a guy from the surface...\But I was only thinking about myself,\and I didn't think about her feelings at all.\But then I saw different sides of Manaka\and there was the whole thing with Akari. response:	So I decided that I want to make Manaka smile.
context: That I'll give up...\At first, with Tsumugu...\I thought there'd be no chance with a guy from the surface...\But I was only thinking about myself,\and I didn't think about her feelings at all.\But then I saw different sides of Manaka\and there was the whole thing with Akari.\So I decided that I want to make Manaka smile. response:	But...
context: At first, with Tsumugu...\I thought there'd be no chance with a guy from the surface...\But I was only thinking about myself,\and I didn't think about her feelings at all.\But then I saw different sides of Manaka\and there was the whole thing with Akari.\So I decided that I want to make Manaka smile.\But... response:	I don't think that means you need to disregard your feelings.
context: I thought there'd be no chance with a guy from the surface...\But I was only thinking about myself,\and I didn't think about her feelings at all.\But then I saw different sides of Manaka\and there was the whole thing with Akari.\So I decided that I want to make Manaka smile.\But...\I don't think that means you need to disregard your feelings. response:	You don't have to change, Hikari.
context: But I was only thinking about myself,\and I didn't think about her feelings at all.\But then I saw different sides of Manaka\and there was the whole thing with Akari.\So I decided that I want to make Manaka smile.\But...\I don't think that means you need to disregard your feelings.\You don't have to change, Hikari. response:	If it's something that you've decided,
context: and I didn't think about her feelings at all.\But then I saw different sides of Manaka\and there was the whole thing with Akari.\So I decided that I want to make Manaka smile.\But...\I don't think that means you need to disregard your feelings.\You don't have to change, Hikari.\If it's something that you've decided, response:	I want to support you.
context: But then I saw different sides of Manaka\and there was the whole thing with Akari.\So I decided that I want to make Manaka smile.\But...\I don't think that means you need to disregard your feelings.\You don't have to change, Hikari.\If it's something that you've decided,\I want to support you. response:	But...
context: and there was the whole thing with Akari.\So I decided that I want to make Manaka smile.\But...\I don't think that means you need to disregard your feelings.\You don't have to change, Hikari.\If it's something that you've decided,\I want to support you.\But... response:	I think you're fine as you are...
context: So I decided that I want to make Manaka smile.\But...\I don't think that means you need to disregard your feelings.\You don't have to change, Hikari.\If it's something that you've decided,\I want to support you.\But...\I think you're fine as you are... response:	Chisaki...
context: But...\I don't think that means you need to disregard your feelings.\You don't have to change, Hikari.\If it's something that you've decided,\I want to support you.\But...\I think you're fine as you are...\Chisaki... response:	Sorry!
context: I don't think that means you need to disregard your feelings.\You don't have to change, Hikari.\If it's something that you've decided,\I want to support you.\But...\I think you're fine as you are...\Chisaki...\Sorry! response:	I can't put it into words well.
context: You don't have to change, Hikari.\If it's something that you've decided,\I want to support you.\But...\I think you're fine as you are...\Chisaki...\Sorry!\I can't put it into words well. response:	You really are a good person.
context: If it's something that you've decided,\I want to support you.\But...\I think you're fine as you are...\Chisaki...\Sorry!\I can't put it into words well.\You really are a good person. response:	Thanks.
context: I want to support you.\But...\I think you're fine as you are...\Chisaki...\Sorry!\I can't put it into words well.\You really are a good person.\Thanks. response:	That's not true.
context: But...\I think you're fine as you are...\Chisaki...\Sorry!\I can't put it into words well.\You really are a good person.\Thanks.\That's not true. response:	Never mind...
context: I think you're fine as you are...\Chisaki...\Sorry!\I can't put it into words well.\You really are a good person.\Thanks.\That's not true.\Never mind... response:	The fee for support is ten Gori Gori-kun Rich Bars.
context: Chisaki...\Sorry!\I can't put it into words well.\You really are a good person.\Thanks.\That's not true.\Never mind...\The fee for support is ten Gori Gori-kun Rich Bars. response:	What? Seriously?
context: Sorry!\I can't put it into words well.\You really are a good person.\Thanks.\That's not true.\Never mind...\The fee for support is ten Gori Gori-kun Rich Bars.\What? Seriously? response:	Sorry to keep you guys waiting.
context: I can't put it into words well.\You really are a good person.\Thanks.\That's not true.\Never mind...\The fee for support is ten Gori Gori-kun Rich Bars.\What? Seriously?\Sorry to keep you guys waiting. response:	Hii-kun! Chii-chan!
context: You really are a good person.\Thanks.\That's not true.\Never mind...\The fee for support is ten Gori Gori-kun Rich Bars.\What? Seriously?\Sorry to keep you guys waiting.\Hii-kun! Chii-chan! response:	Did something happen?
context: Thanks.\That's not true.\Never mind...\The fee for support is ten Gori Gori-kun Rich Bars.\What? Seriously?\Sorry to keep you guys waiting.\Hii-kun! Chii-chan!\Did something happen? response:	Miuna-chan made up her mind.
context: That's not true.\Never mind...\The fee for support is ten Gori Gori-kun Rich Bars.\What? Seriously?\Sorry to keep you guys waiting.\Hii-kun! Chii-chan!\Did something happen?\Miuna-chan made up her mind. response:	But...
context: Never mind...\The fee for support is ten Gori Gori-kun Rich Bars.\What? Seriously?\Sorry to keep you guys waiting.\Hii-kun! Chii-chan!\Did something happen?\Miuna-chan made up her mind.\But... response:	You want an advance?!
context: The fee for support is ten Gori Gori-kun Rich Bars.\What? Seriously?\Sorry to keep you guys waiting.\Hii-kun! Chii-chan!\Did something happen?\Miuna-chan made up her mind.\But...\You want an advance?! response:	On twelve allowances?
context: What? Seriously?\Sorry to keep you guys waiting.\Hii-kun! Chii-chan!\Did something happen?\Miuna-chan made up her mind.\But...\You want an advance?!\On twelve allowances? response:	What brought this on?
context: Sorry to keep you guys waiting.\Hii-kun! Chii-chan!\Did something happen?\Miuna-chan made up her mind.\But...\You want an advance?!\On twelve allowances?\What brought this on? response:	If that's not okay, I'll work!
context: Hii-kun! Chii-chan!\Did something happen?\Miuna-chan made up her mind.\But...\You want an advance?!\On twelve allowances?\What brought this on?\If that's not okay, I'll work! response:	Maybe at Saya Mart or at a cafeteria, or at Triangle...
context: Did something happen?\Miuna-chan made up her mind.\But...\You want an advance?!\On twelve allowances?\What brought this on?\If that's not okay, I'll work!\Maybe at Saya Mart or at a cafeteria, or at Triangle... response:	Work?
context: Miuna-chan made up her mind.\But...\You want an advance?!\On twelve allowances?\What brought this on?\If that's not okay, I'll work!\Maybe at Saya Mart or at a cafeteria, or at Triangle...\Work? response:	Couldn't this wait until Christmas or your birthday?
context: But...\You want an advance?!\On twelve allowances?\What brought this on?\If that's not okay, I'll work!\Maybe at Saya Mart or at a cafeteria, or at Triangle...\Work?\Couldn't this wait until Christmas or your birthday? response:	Oh, all right.
context: You want an advance?!\On twelve allowances?\What brought this on?\If that's not okay, I'll work!\Maybe at Saya Mart or at a cafeteria, or at Triangle...\Work?\Couldn't this wait until Christmas or your birthday?\Oh, all right. response:	I got it.
context: On twelve allowances?\What brought this on?\If that's not okay, I'll work!\Maybe at Saya Mart or at a cafeteria, or at Triangle...\Work?\Couldn't this wait until Christmas or your birthday?\Oh, all right.\I got it. response:	Just make sure you come home before it gets dark.
context: What brought this on?\If that's not okay, I'll work!\Maybe at Saya Mart or at a cafeteria, or at Triangle...\Work?\Couldn't this wait until Christmas or your birthday?\Oh, all right.\I got it.\Just make sure you come home before it gets dark. response:	I guess it's hard to be the male parent when girls get to be about Miuna's age...
context: If that's not okay, I'll work!\Maybe at Saya Mart or at a cafeteria, or at Triangle...\Work?\Couldn't this wait until Christmas or your birthday?\Oh, all right.\I got it.\Just make sure you come home before it gets dark.\I guess it's hard to be the male parent when girls get to be about Miuna's age... response:	I'm terribly sorry,
context: Maybe at Saya Mart or at a cafeteria, or at Triangle...\Work?\Couldn't this wait until Christmas or your birthday?\Oh, all right.\I got it.\Just make sure you come home before it gets dark.\I guess it's hard to be the male parent when girls get to be about Miuna's age...\I'm terribly sorry, response:	but the pendant in that poster is currently sold out...
context: Work?\Couldn't this wait until Christmas or your birthday?\Oh, all right.\I got it.\Just make sure you come home before it gets dark.\I guess it's hard to be the male parent when girls get to be about Miuna's age...\I'm terribly sorry,\but the pendant in that poster is currently sold out... response:	I see...
context: Couldn't this wait until Christmas or your birthday?\Oh, all right.\I got it.\Just make sure you come home before it gets dark.\I guess it's hard to be the male parent when girls get to be about Miuna's age...\I'm terribly sorry,\but the pendant in that poster is currently sold out...\I see... response:	Apparently they don't have that pendant anymore.
context: Oh, all right.\I got it.\Just make sure you come home before it gets dark.\I guess it's hard to be the male parent when girls get to be about Miuna's age...\I'm terribly sorry,\but the pendant in that poster is currently sold out...\I see...\Apparently they don't have that pendant anymore. response:	Do you want that pendant that badly?
context: I got it.\Just make sure you come home before it gets dark.\I guess it's hard to be the male parent when girls get to be about Miuna's age...\I'm terribly sorry,\but the pendant in that poster is currently sold out...\I see...\Apparently they don't have that pendant anymore.\Do you want that pendant that badly? response:	I want one...
context: Just make sure you come home before it gets dark.\I guess it's hard to be the male parent when girls get to be about Miuna's age...\I'm terribly sorry,\but the pendant in that poster is currently sold out...\I see...\Apparently they don't have that pendant anymore.\Do you want that pendant that badly?\I want one... response:	with a shell from the sea I love so much.
context: I guess it's hard to be the male parent when girls get to be about Miuna's age...\I'm terribly sorry,\but the pendant in that poster is currently sold out...\I see...\Apparently they don't have that pendant anymore.\Do you want that pendant that badly?\I want one...\with a shell from the sea I love so much. response:	So it just has to be like that one?
context: I'm terribly sorry,\but the pendant in that poster is currently sold out...\I see...\Apparently they don't have that pendant anymore.\Do you want that pendant that badly?\I want one...\with a shell from the sea I love so much.\So it just has to be like that one? response:	What should we do?
context: but the pendant in that poster is currently sold out...\I see...\Apparently they don't have that pendant anymore.\Do you want that pendant that badly?\I want one...\with a shell from the sea I love so much.\So it just has to be like that one?\What should we do? response:	They might have it at another store.
context: I see...\Apparently they don't have that pendant anymore.\Do you want that pendant that badly?\I want one...\with a shell from the sea I love so much.\So it just has to be like that one?\What should we do?\They might have it at another store. response:	Really?
