context: OP response:	ED
context: In here.\Hey,\lets go out.\But\This is a huge scoop.\We cant let afford to let anyone know about this.\Not even one of our co-workers.\Heres the mayor with Touto Railways Board of Directors. response:	Here he is with Nohinbashi Construction.
context: Hey,\lets go out.\But\This is a huge scoop.\We cant let afford to let anyone know about this.\Not even one of our co-workers.\Heres the mayor with Touto Railways Board of Directors.\Here he is with Nohinbashi Construction. response:	They met at Kisshou Hotel in Kajima.
context: lets go out.\But\This is a huge scoop.\We cant let afford to let anyone know about this.\Not even one of our co-workers.\Heres the mayor with Touto Railways Board of Directors.\Here he is with Nohinbashi Construction.\They met at Kisshou Hotel in Kajima. response:	The mayor recently passed a city ordinance at the rail companys request.
context: But\This is a huge scoop.\We cant let afford to let anyone know about this.\Not even one of our co-workers.\Heres the mayor with Touto Railways Board of Directors.\Here he is with Nohinbashi Construction.\They met at Kisshou Hotel in Kajima.\The mayor recently passed a city ordinance at the rail companys request. response:	I believe he received a considerable bribe in return.
context: This is a huge scoop.\We cant let afford to let anyone know about this.\Not even one of our co-workers.\Heres the mayor with Touto Railways Board of Directors.\Here he is with Nohinbashi Construction.\They met at Kisshou Hotel in Kajima.\The mayor recently passed a city ordinance at the rail companys request.\I believe he received a considerable bribe in return. response:	Where does he bank?
context: We cant let afford to let anyone know about this.\Not even one of our co-workers.\Heres the mayor with Touto Railways Board of Directors.\Here he is with Nohinbashi Construction.\They met at Kisshou Hotel in Kajima.\The mayor recently passed a city ordinance at the rail companys request.\I believe he received a considerable bribe in return.\Where does he bank? response:	The Ichii Bank.
context: Not even one of our co-workers.\Heres the mayor with Touto Railways Board of Directors.\Here he is with Nohinbashi Construction.\They met at Kisshou Hotel in Kajima.\The mayor recently passed a city ordinance at the rail companys request.\I believe he received a considerable bribe in return.\Where does he bank?\The Ichii Bank. response:	The mayors uncle is its president.
context: Heres the mayor with Touto Railways Board of Directors.\Here he is with Nohinbashi Construction.\They met at Kisshou Hotel in Kajima.\The mayor recently passed a city ordinance at the rail companys request.\I believe he received a considerable bribe in return.\Where does he bank?\The Ichii Bank.\The mayors uncle is its president. response:	I see.
context: Here he is with Nohinbashi Construction.\They met at Kisshou Hotel in Kajima.\The mayor recently passed a city ordinance at the rail companys request.\I believe he received a considerable bribe in return.\Where does he bank?\The Ichii Bank.\The mayors uncle is its president.\I see. response:	This is more than enough information to move on.
context: They met at Kisshou Hotel in Kajima.\The mayor recently passed a city ordinance at the rail companys request.\I believe he received a considerable bribe in return.\Where does he bank?\The Ichii Bank.\The mayors uncle is its president.\I see.\This is more than enough information to move on. response:	This is front page material.
context: The mayor recently passed a city ordinance at the rail companys request.\I believe he received a considerable bribe in return.\Where does he bank?\The Ichii Bank.\The mayors uncle is its president.\I see.\This is more than enough information to move on.\This is front page material. response:	Have it on my desk tomorrow night. Well run it the next morning.
context: I believe he received a considerable bribe in return.\Where does he bank?\The Ichii Bank.\The mayors uncle is its president.\I see.\This is more than enough information to move on.\This is front page material.\Have it on my desk tomorrow night. Well run it the next morning. response:	Its not much time, but can you make it?
context: Where does he bank?\The Ichii Bank.\The mayors uncle is its president.\I see.\This is more than enough information to move on.\This is front page material.\Have it on my desk tomorrow night. Well run it the next morning.\Its not much time, but can you make it? response:	You want me to write the whole article?
context: The Ichii Bank.\The mayors uncle is its president.\I see.\This is more than enough information to move on.\This is front page material.\Have it on my desk tomorrow night. Well run it the next morning.\Its not much time, but can you make it?\You want me to write the whole article? response:	Of course!
context: The mayors uncle is its president.\I see.\This is more than enough information to move on.\This is front page material.\Have it on my desk tomorrow night. Well run it the next morning.\Its not much time, but can you make it?\You want me to write the whole article?\Of course! response:	You did all the work, so you should reap the benefits.
context: I see.\This is more than enough information to move on.\This is front page material.\Have it on my desk tomorrow night. Well run it the next morning.\Its not much time, but can you make it?\You want me to write the whole article?\Of course!\You did all the work, so you should reap the benefits. response:	Thank you so much!
context: This is more than enough information to move on.\This is front page material.\Have it on my desk tomorrow night. Well run it the next morning.\Its not much time, but can you make it?\You want me to write the whole article?\Of course!\You did all the work, so you should reap the benefits.\Thank you so much! response:	I misjudged you, Moria-san.
context: This is front page material.\Have it on my desk tomorrow night. Well run it the next morning.\Its not much time, but can you make it?\You want me to write the whole article?\Of course!\You did all the work, so you should reap the benefits.\Thank you so much!\I misjudged you, Moria-san. response:	I was sure you thought of me as a weak, worthless woman,
context: Have it on my desk tomorrow night. Well run it the next morning.\Its not much time, but can you make it?\You want me to write the whole article?\Of course!\You did all the work, so you should reap the benefits.\Thank you so much!\I misjudged you, Moria-san.\I was sure you thought of me as a weak, worthless woman, response:	and that only a man could become a real reporter.
context: Its not much time, but can you make it?\You want me to write the whole article?\Of course!\You did all the work, so you should reap the benefits.\Thank you so much!\I misjudged you, Moria-san.\I was sure you thought of me as a weak, worthless woman,\and that only a man could become a real reporter. response:	I just thought that
context: You want me to write the whole article?\Of course!\You did all the work, so you should reap the benefits.\Thank you so much!\I misjudged you, Moria-san.\I was sure you thought of me as a weak, worthless woman,\and that only a man could become a real reporter.\I just thought that response:	You couldnt be more wrong!
context: Of course!\You did all the work, so you should reap the benefits.\Thank you so much!\I misjudged you, Moria-san.\I was sure you thought of me as a weak, worthless woman,\and that only a man could become a real reporter.\I just thought that\You couldnt be more wrong! response:	Thank goodness!
context: You did all the work, so you should reap the benefits.\Thank you so much!\I misjudged you, Moria-san.\I was sure you thought of me as a weak, worthless woman,\and that only a man could become a real reporter.\I just thought that\You couldnt be more wrong!\Thank goodness! response:	Im finally a real newswoman.
context: Thank you so much!\I misjudged you, Moria-san.\I was sure you thought of me as a weak, worthless woman,\and that only a man could become a real reporter.\I just thought that\You couldnt be more wrong!\Thank goodness!\Im finally a real newswoman. response:	Do you know where Hichiriki Zakas Konata Inn is?
context: I misjudged you, Moria-san.\I was sure you thought of me as a weak, worthless woman,\and that only a man could become a real reporter.\I just thought that\You couldnt be more wrong!\Thank goodness!\Im finally a real newswoman.\Do you know where Hichiriki Zakas Konata Inn is? response:	Write it there.
context: I was sure you thought of me as a weak, worthless woman,\and that only a man could become a real reporter.\I just thought that\You couldnt be more wrong!\Thank goodness!\Im finally a real newswoman.\Do you know where Hichiriki Zakas Konata Inn is?\Write it there. response:	To prevent any leaks?
context: and that only a man could become a real reporter.\I just thought that\You couldnt be more wrong!\Thank goodness!\Im finally a real newswoman.\Do you know where Hichiriki Zakas Konata Inn is?\Write it there.\To prevent any leaks? response:	Thats right.
context: I just thought that\You couldnt be more wrong!\Thank goodness!\Im finally a real newswoman.\Do you know where Hichiriki Zakas Konata Inn is?\Write it there.\To prevent any leaks?\Thats right. response:	We cant let anyone know about this article.
context: You couldnt be more wrong!\Thank goodness!\Im finally a real newswoman.\Do you know where Hichiriki Zakas Konata Inn is?\Write it there.\To prevent any leaks?\Thats right.\We cant let anyone know about this article. response:	Ill put it on the page myself.
context: Thank goodness!\Im finally a real newswoman.\Do you know where Hichiriki Zakas Konata Inn is?\Write it there.\To prevent any leaks?\Thats right.\We cant let anyone know about this article.\Ill put it on the page myself. response:	Understand?
context: Im finally a real newswoman.\Do you know where Hichiriki Zakas Konata Inn is?\Write it there.\To prevent any leaks?\Thats right.\We cant let anyone know about this article.\Ill put it on the page myself.\Understand? response:	Yes!
context: Do you know where Hichiriki Zakas Konata Inn is?\Write it there.\To prevent any leaks?\Thats right.\We cant let anyone know about this article.\Ill put it on the page myself.\Understand?\Yes! response:	Yes, the very same.
context: Write it there.\To prevent any leaks?\Thats right.\We cant let anyone know about this article.\Ill put it on the page myself.\Understand?\Yes!\Yes, the very same. response:	Yes. Actually, I have a proposition for you.
context: To prevent any leaks?\Thats right.\We cant let anyone know about this article.\Ill put it on the page myself.\Understand?\Yes!\Yes, the very same.\Yes. Actually, I have a proposition for you. response:	No, its not very pleasant at all.
context: Thats right.\We cant let anyone know about this article.\Ill put it on the page myself.\Understand?\Yes!\Yes, the very same.\Yes. Actually, I have a proposition for you.\No, its not very pleasant at all. response:	No reason to meet anywhere else, is there?
context: We cant let anyone know about this article.\Ill put it on the page myself.\Understand?\Yes!\Yes, the very same.\Yes. Actually, I have a proposition for you.\No, its not very pleasant at all.\No reason to meet anywhere else, is there? response:	Ill come to you.
context: Ill put it on the page myself.\Understand?\Yes!\Yes, the very same.\Yes. Actually, I have a proposition for you.\No, its not very pleasant at all.\No reason to meet anywhere else, is there?\Ill come to you. response:	Her Regret is close.
context: Understand?\Yes!\Yes, the very same.\Yes. Actually, I have a proposition for you.\No, its not very pleasant at all.\No reason to meet anywhere else, is there?\Ill come to you.\Her Regret is close. response:	Her Regret is close.
context: Yes!\Yes, the very same.\Yes. Actually, I have a proposition for you.\No, its not very pleasant at all.\No reason to meet anywhere else, is there?\Ill come to you.\Her Regret is close.\Her Regret is close. response:	You promise to help me?
context: Yes, the very same.\Yes. Actually, I have a proposition for you.\No, its not very pleasant at all.\No reason to meet anywhere else, is there?\Ill come to you.\Her Regret is close.\Her Regret is close.\You promise to help me? response:	Please, Im begging you. I want to be famous!
context: Yes. Actually, I have a proposition for you.\No, its not very pleasant at all.\No reason to meet anywhere else, is there?\Ill come to you.\Her Regret is close.\Her Regret is close.\You promise to help me?\Please, Im begging you. I want to be famous! response:	I couldnt stand to rot away here the rest of my life!
context: No, its not very pleasant at all.\No reason to meet anywhere else, is there?\Ill come to you.\Her Regret is close.\Her Regret is close.\You promise to help me?\Please, Im begging you. I want to be famous!\I couldnt stand to rot away here the rest of my life! response:	Are you the man I spoke to?
context: No reason to meet anywhere else, is there?\Ill come to you.\Her Regret is close.\Her Regret is close.\You promise to help me?\Please, Im begging you. I want to be famous!\I couldnt stand to rot away here the rest of my life!\Are you the man I spoke to? response:	I actually had fun last night, for once.
context: Ill come to you.\Her Regret is close.\Her Regret is close.\You promise to help me?\Please, Im begging you. I want to be famous!\I couldnt stand to rot away here the rest of my life!\Are you the man I spoke to?\I actually had fun last night, for once. response:	Hello, Konata Inn.
context: Her Regret is close.\Her Regret is close.\You promise to help me?\Please, Im begging you. I want to be famous!\I couldnt stand to rot away here the rest of my life!\Are you the man I spoke to?\I actually had fun last night, for once.\Hello, Konata Inn. response:	Youve got to be kidding me.
context: Her Regret is close.\You promise to help me?\Please, Im begging you. I want to be famous!\I couldnt stand to rot away here the rest of my life!\Are you the man I spoke to?\I actually had fun last night, for once.\Hello, Konata Inn.\Youve got to be kidding me. response:	You have a telephone call.
context: You promise to help me?\Please, Im begging you. I want to be famous!\I couldnt stand to rot away here the rest of my life!\Are you the man I spoke to?\I actually had fun last night, for once.\Hello, Konata Inn.\Youve got to be kidding me.\You have a telephone call. response:	All right.
context: Please, Im begging you. I want to be famous!\I couldnt stand to rot away here the rest of my life!\Are you the man I spoke to?\I actually had fun last night, for once.\Hello, Konata Inn.\Youve got to be kidding me.\You have a telephone call.\All right. response:	Ah.
context: I couldnt stand to rot away here the rest of my life!\Are you the man I spoke to?\I actually had fun last night, for once.\Hello, Konata Inn.\Youve got to be kidding me.\You have a telephone call.\All right.\Ah. response:	Working here,
context: Are you the man I spoke to?\I actually had fun last night, for once.\Hello, Konata Inn.\Youve got to be kidding me.\You have a telephone call.\All right.\Ah.\Working here, response:	Pitiful, isnt it?
context: I actually had fun last night, for once.\Hello, Konata Inn.\Youve got to be kidding me.\You have a telephone call.\All right.\Ah.\Working here,\Pitiful, isnt it? response:	I was so glad.
context: Hello, Konata Inn.\Youve got to be kidding me.\You have a telephone call.\All right.\Ah.\Working here,\Pitiful, isnt it?\I was so glad. response:	Im different from that loser.
context: Youve got to be kidding me.\You have a telephone call.\All right.\Ah.\Working here,\Pitiful, isnt it?\I was so glad.\Im different from that loser. response:	Im a newswoman.
context: You have a telephone call.\All right.\Ah.\Working here,\Pitiful, isnt it?\I was so glad.\Im different from that loser.\Im a newswoman. response:	This is Ichikawa.
context: All right.\Ah.\Working here,\Pitiful, isnt it?\I was so glad.\Im different from that loser.\Im a newswoman.\This is Ichikawa. response:	Huh?
context: Ah.\Working here,\Pitiful, isnt it?\I was so glad.\Im different from that loser.\Im a newswoman.\This is Ichikawa.\Huh? response:	Why is that?
context: Working here,\Pitiful, isnt it?\I was so glad.\Im different from that loser.\Im a newswoman.\This is Ichikawa.\Huh?\Why is that? response:	Yes, I understand.
context: Pitiful, isnt it?\I was so glad.\Im different from that loser.\Im a newswoman.\This is Ichikawa.\Huh?\Why is that?\Yes, I understand. response:	Its true!
context: I was so glad.\Im different from that loser.\Im a newswoman.\This is Ichikawa.\Huh?\Why is that?\Yes, I understand.\Its true! response:	People have asked me if I wanted to be a singer.
context: Im different from that loser.\Im a newswoman.\This is Ichikawa.\Huh?\Why is that?\Yes, I understand.\Its true!\People have asked me if I wanted to be a singer. response:	Aw, I remember that.
context: Im a newswoman.\This is Ichikawa.\Huh?\Why is that?\Yes, I understand.\Its true!\People have asked me if I wanted to be a singer.\Aw, I remember that. response:	I wonder what happened.
context: This is Ichikawa.\Huh?\Why is that?\Yes, I understand.\Its true!\People have asked me if I wanted to be a singer.\Aw, I remember that.\I wonder what happened. response:	Moria-san!
context: Huh?\Why is that?\Yes, I understand.\Its true!\People have asked me if I wanted to be a singer.\Aw, I remember that.\I wonder what happened.\Moria-san! response:	Youre sure you werent followed?
context: Why is that?\Yes, I understand.\Its true!\People have asked me if I wanted to be a singer.\Aw, I remember that.\I wonder what happened.\Moria-san!\Youre sure you werent followed? response:	Yes.
context: Yes, I understand.\Its true!\People have asked me if I wanted to be a singer.\Aw, I remember that.\I wonder what happened.\Moria-san!\Youre sure you werent followed?\Yes. response:	Whats wrong, Moria-san?
context: Its true!\People have asked me if I wanted to be a singer.\Aw, I remember that.\I wonder what happened.\Moria-san!\Youre sure you werent followed?\Yes.\Whats wrong, Moria-san? response:	Why do you look so afraid?
context: People have asked me if I wanted to be a singer.\Aw, I remember that.\I wonder what happened.\Moria-san!\Youre sure you werent followed?\Yes.\Whats wrong, Moria-san?\Why do you look so afraid? response:	Were in danger.
context: Aw, I remember that.\I wonder what happened.\Moria-san!\Youre sure you werent followed?\Yes.\Whats wrong, Moria-san?\Why do you look so afraid?\Were in danger. response:	Oh, poppycock.
context: I wonder what happened.\Moria-san!\Youre sure you werent followed?\Yes.\Whats wrong, Moria-san?\Why do you look so afraid?\Were in danger.\Oh, poppycock. response:	Its not as though well be killed or anything.
context: Moria-san!\Youre sure you werent followed?\Yes.\Whats wrong, Moria-san?\Why do you look so afraid?\Were in danger.\Oh, poppycock.\Its not as though well be killed or anything. response:	I just went to see if she was all right!
context: Youre sure you werent followed?\Yes.\Whats wrong, Moria-san?\Why do you look so afraid?\Were in danger.\Oh, poppycock.\Its not as though well be killed or anything.\I just went to see if she was all right! response:	Theres no hurry.
context: Yes.\Whats wrong, Moria-san?\Why do you look so afraid?\Were in danger.\Oh, poppycock.\Its not as though well be killed or anything.\I just went to see if she was all right!\Theres no hurry. response:	Wheres the article?
context: Whats wrong, Moria-san?\Why do you look so afraid?\Were in danger.\Oh, poppycock.\Its not as though well be killed or anything.\I just went to see if she was all right!\Theres no hurry.\Wheres the article? response:	I have it with me.
context: Why do you look so afraid?\Were in danger.\Oh, poppycock.\Its not as though well be killed or anything.\I just went to see if she was all right!\Theres no hurry.\Wheres the article?\I have it with me. response:	Are you going to read it here?
context: Were in danger.\Oh, poppycock.\Its not as though well be killed or anything.\I just went to see if she was all right!\Theres no hurry.\Wheres the article?\I have it with me.\Are you going to read it here? response:	Yes.
context: Oh, poppycock.\Its not as though well be killed or anything.\I just went to see if she was all right!\Theres no hurry.\Wheres the article?\I have it with me.\Are you going to read it here?\Yes. response:	Whats wrong?
context: Its not as though well be killed or anything.\I just went to see if she was all right!\Theres no hurry.\Wheres the article?\I have it with me.\Are you going to read it here?\Yes.\Whats wrong? response:	Nothing.
context: I just went to see if she was all right!\Theres no hurry.\Wheres the article?\I have it with me.\Are you going to read it here?\Yes.\Whats wrong?\Nothing. response:	What are you doing?
context: Theres no hurry.\Wheres the article?\I have it with me.\Are you going to read it here?\Yes.\Whats wrong?\Nothing.\What are you doing? response:	I cant let this out.
context: Wheres the article?\I have it with me.\Are you going to read it here?\Yes.\Whats wrong?\Nothing.\What are you doing?\I cant let this out. response:	Why not?
context: I have it with me.\Are you going to read it here?\Yes.\Whats wrong?\Nothing.\What are you doing?\I cant let this out.\Why not? response:	Just following orders.
context: Are you going to read it here?\Yes.\Whats wrong?\Nothing.\What are you doing?\I cant let this out.\Why not?\Just following orders. response:	Whose orders?
context: Yes.\Whats wrong?\Nothing.\What are you doing?\I cant let this out.\Why not?\Just following orders.\Whose orders? response:	Masao!
context: Whats wrong?\Nothing.\What are you doing?\I cant let this out.\Why not?\Just following orders.\Whose orders?\Masao! response:	Masao, are you up?
context: Nothing.\What are you doing?\I cant let this out.\Why not?\Just following orders.\Whose orders?\Masao!\Masao, are you up? response:	Moria-san, you cant do this!
context: What are you doing?\I cant let this out.\Why not?\Just following orders.\Whose orders?\Masao!\Masao, are you up?\Moria-san, you cant do this! response:	You have no right to do this!
context: I cant let this out.\Why not?\Just following orders.\Whose orders?\Masao!\Masao, are you up?\Moria-san, you cant do this!\You have no right to do this! response:	Ill tell our superiors!
context: Why not?\Just following orders.\Whose orders?\Masao!\Masao, are you up?\Moria-san, you cant do this!\You have no right to do this!\Ill tell our superiors! response:	No use. Ive already spoken to them.
context: Just following orders.\Whose orders?\Masao!\Masao, are you up?\Moria-san, you cant do this!\You have no right to do this!\Ill tell our superiors!\No use. Ive already spoken to them. response:	Youre lying!
context: Whose orders?\Masao!\Masao, are you up?\Moria-san, you cant do this!\You have no right to do this!\Ill tell our superiors!\No use. Ive already spoken to them.\Youre lying! response:	No, Im not.
context: Masao!\Masao, are you up?\Moria-san, you cant do this!\You have no right to do this!\Ill tell our superiors!\No use. Ive already spoken to them.\Youre lying!\No, Im not. response:	You planned this from the beginning!
context: Masao, are you up?\Moria-san, you cant do this!\You have no right to do this!\Ill tell our superiors!\No use. Ive already spoken to them.\Youre lying!\No, Im not.\You planned this from the beginning! response:	You were always going to steal my
context: Moria-san, you cant do this!\You have no right to do this!\Ill tell our superiors!\No use. Ive already spoken to them.\Youre lying!\No, Im not.\You planned this from the beginning!\You were always going to steal my response:	Im sorry. I had to do it.
context: You have no right to do this!\Ill tell our superiors!\No use. Ive already spoken to them.\Youre lying!\No, Im not.\You planned this from the beginning!\You were always going to steal my\Im sorry. I had to do it. response:	You coward! You snake!
context: Ill tell our superiors!\No use. Ive already spoken to them.\Youre lying!\No, Im not.\You planned this from the beginning!\You were always going to steal my\Im sorry. I had to do it.\You coward! You snake! response:	You planned it from the beginning?
context: No use. Ive already spoken to them.\Youre lying!\No, Im not.\You planned this from the beginning!\You were always going to steal my\Im sorry. I had to do it.\You coward! You snake!\You planned it from the beginning? response:	Ill talk her out of it.
context: Youre lying!\No, Im not.\You planned this from the beginning!\You were always going to steal my\Im sorry. I had to do it.\You coward! You snake!\You planned it from the beginning?\Ill talk her out of it. response:	How?
context: No, Im not.\You planned this from the beginning!\You were always going to steal my\Im sorry. I had to do it.\You coward! You snake!\You planned it from the beginning?\Ill talk her out of it.\How? response:	Ill tell the Chief Editor! Ill get you fired!
context: You planned this from the beginning!\You were always going to steal my\Im sorry. I had to do it.\You coward! You snake!\You planned it from the beginning?\Ill talk her out of it.\How?\Ill tell the Chief Editor! Ill get you fired! response:	This could be quite a problem.
context: You were always going to steal my\Im sorry. I had to do it.\You coward! You snake!\You planned it from the beginning?\Ill talk her out of it.\How?\Ill tell the Chief Editor! Ill get you fired!\This could be quite a problem. response:	Well, its not really my concern.
context: Im sorry. I had to do it.\You coward! You snake!\You planned it from the beginning?\Ill talk her out of it.\How?\Ill tell the Chief Editor! Ill get you fired!\This could be quite a problem.\Well, its not really my concern. response:	At any rate, Ill leave it to you.
context: You coward! You snake!\You planned it from the beginning?\Ill talk her out of it.\How?\Ill tell the Chief Editor! Ill get you fired!\This could be quite a problem.\Well, its not really my concern.\At any rate, Ill leave it to you. response:	Damn you!
context: You planned it from the beginning?\Ill talk her out of it.\How?\Ill tell the Chief Editor! Ill get you fired!\This could be quite a problem.\Well, its not really my concern.\At any rate, Ill leave it to you.\Damn you! response:	Damn you! Damn you! Damn you!
context: Ill talk her out of it.\How?\Ill tell the Chief Editor! Ill get you fired!\This could be quite a problem.\Well, its not really my concern.\At any rate, Ill leave it to you.\Damn you!\Damn you! Damn you! Damn you! response:	You think Im jealous of you?
context: How?\Ill tell the Chief Editor! Ill get you fired!\This could be quite a problem.\Well, its not really my concern.\At any rate, Ill leave it to you.\Damn you!\Damn you! Damn you! Damn you!\You think Im jealous of you? response:	Dont make me laugh.
context: Ill tell the Chief Editor! Ill get you fired!\This could be quite a problem.\Well, its not really my concern.\At any rate, Ill leave it to you.\Damn you!\Damn you! Damn you! Damn you!\You think Im jealous of you?\Dont make me laugh. response:	I wouldnt do this over such petty concerns.
context: This could be quite a problem.\Well, its not really my concern.\At any rate, Ill leave it to you.\Damn you!\Damn you! Damn you! Damn you!\You think Im jealous of you?\Dont make me laugh.\I wouldnt do this over such petty concerns. response:	Damn you! Damn you! Damn you!
context: Well, its not really my concern.\At any rate, Ill leave it to you.\Damn you!\Damn you! Damn you! Damn you!\You think Im jealous of you?\Dont make me laugh.\I wouldnt do this over such petty concerns.\Damn you! Damn you! Damn you! response:	Youre a woman to the end, never able to catch on when it really counts.
context: At any rate, Ill leave it to you.\Damn you!\Damn you! Damn you! Damn you!\You think Im jealous of you?\Dont make me laugh.\I wouldnt do this over such petty concerns.\Damn you! Damn you! Damn you!\Youre a woman to the end, never able to catch on when it really counts. response:	I was watching her from a much higher position.
context: Damn you!\Damn you! Damn you! Damn you!\You think Im jealous of you?\Dont make me laugh.\I wouldnt do this over such petty concerns.\Damn you! Damn you! Damn you!\Youre a woman to the end, never able to catch on when it really counts.\I was watching her from a much higher position. response:	What do you mean?
context: Damn you! Damn you! Damn you!\You think Im jealous of you?\Dont make me laugh.\I wouldnt do this over such petty concerns.\Damn you! Damn you! Damn you!\Youre a woman to the end, never able to catch on when it really counts.\I was watching her from a much higher position.\What do you mean? response:	You must not hesitate in executing this order.
context: You think Im jealous of you?\Dont make me laugh.\I wouldnt do this over such petty concerns.\Damn you! Damn you! Damn you!\Youre a woman to the end, never able to catch on when it really counts.\I was watching her from a much higher position.\What do you mean?\You must not hesitate in executing this order. response:	You understand?
context: Dont make me laugh.\I wouldnt do this over such petty concerns.\Damn you! Damn you! Damn you!\Youre a woman to the end, never able to catch on when it really counts.\I was watching her from a much higher position.\What do you mean?\You must not hesitate in executing this order.\You understand? response:	We cant have this turning into a scandal.
context: I wouldnt do this over such petty concerns.\Damn you! Damn you! Damn you!\Youre a woman to the end, never able to catch on when it really counts.\I was watching her from a much higher position.\What do you mean?\You must not hesitate in executing this order.\You understand?\We cant have this turning into a scandal. response:	Youre working for Mayor Fukuda?
context: Damn you! Damn you! Damn you!\Youre a woman to the end, never able to catch on when it really counts.\I was watching her from a much higher position.\What do you mean?\You must not hesitate in executing this order.\You understand?\We cant have this turning into a scandal.\Youre working for Mayor Fukuda? response:	How dare you? How dare you?
context: Youre a woman to the end, never able to catch on when it really counts.\I was watching her from a much higher position.\What do you mean?\You must not hesitate in executing this order.\You understand?\We cant have this turning into a scandal.\Youre working for Mayor Fukuda?\How dare you? How dare you? response:	Yes, you women are so blind.
context: I was watching her from a much higher position.\What do you mean?\You must not hesitate in executing this order.\You understand?\We cant have this turning into a scandal.\Youre working for Mayor Fukuda?\How dare you? How dare you?\Yes, you women are so blind. response:	How dare you?
context: What do you mean?\You must not hesitate in executing this order.\You understand?\We cant have this turning into a scandal.\Youre working for Mayor Fukuda?\How dare you? How dare you?\Yes, you women are so blind.\How dare you? response:	You have no ability to read a situation.
context: You must not hesitate in executing this order.\You understand?\We cant have this turning into a scandal.\Youre working for Mayor Fukuda?\How dare you? How dare you?\Yes, you women are so blind.\How dare you?\You have no ability to read a situation. response:	Ill kill you!
context: You understand?\We cant have this turning into a scandal.\Youre working for Mayor Fukuda?\How dare you? How dare you?\Yes, you women are so blind.\How dare you?\You have no ability to read a situation.\Ill kill you! response:	You never wanted to print the article.
context: We cant have this turning into a scandal.\Youre working for Mayor Fukuda?\How dare you? How dare you?\Yes, you women are so blind.\How dare you?\You have no ability to read a situation.\Ill kill you!\You never wanted to print the article. response:	You never wanted to print the article.
context: Youre working for Mayor Fukuda?\How dare you? How dare you?\Yes, you women are so blind.\How dare you?\You have no ability to read a situation.\Ill kill you!\You never wanted to print the article.\You never wanted to print the article. response:	Youll take orders from me now.
context: How dare you? How dare you?\Yes, you women are so blind.\How dare you?\You have no ability to read a situation.\Ill kill you!\You never wanted to print the article.\You never wanted to print the article.\Youll take orders from me now. response:	Ill have it printed somewhere else!
context: Yes, you women are so blind.\How dare you?\You have no ability to read a situation.\Ill kill you!\You never wanted to print the article.\You never wanted to print the article.\Youll take orders from me now.\Ill have it printed somewhere else! response:	I still have the proof!
context: How dare you?\You have no ability to read a situation.\Ill kill you!\You never wanted to print the article.\You never wanted to print the article.\Youll take orders from me now.\Ill have it printed somewhere else!\I still have the proof! response:	Ive fooled you!
context: You have no ability to read a situation.\Ill kill you!\You never wanted to print the article.\You never wanted to print the article.\Youll take orders from me now.\Ill have it printed somewhere else!\I still have the proof!\Ive fooled you! response:	Where is it?
context: Ill kill you!\You never wanted to print the article.\You never wanted to print the article.\Youll take orders from me now.\Ill have it printed somewhere else!\I still have the proof!\Ive fooled you!\Where is it? response:	Give it to me!
context: You never wanted to print the article.\You never wanted to print the article.\Youll take orders from me now.\Ill have it printed somewhere else!\I still have the proof!\Ive fooled you!\Where is it?\Give it to me! response:	Ill never give it up!
context: You never wanted to print the article.\Youll take orders from me now.\Ill have it printed somewhere else!\I still have the proof!\Ive fooled you!\Where is it?\Give it to me!\Ill never give it up! response:	This is the only time I really feel alive.
context: Youll take orders from me now.\Ill have it printed somewhere else!\I still have the proof!\Ive fooled you!\Where is it?\Give it to me!\Ill never give it up!\This is the only time I really feel alive. response:	The people wont allow this!
context: Ill have it printed somewhere else!\I still have the proof!\Ive fooled you!\Where is it?\Give it to me!\Ill never give it up!\This is the only time I really feel alive.\The people wont allow this! response:	Stop it! Stop it!
context: I still have the proof!\Ive fooled you!\Where is it?\Give it to me!\Ill never give it up!\This is the only time I really feel alive.\The people wont allow this!\Stop it! Stop it! response:	That old hag
context: Ive fooled you!\Where is it?\Give it to me!\Ill never give it up!\This is the only time I really feel alive.\The people wont allow this!\Stop it! Stop it!\That old hag response:	I wish she would just die!
context: Where is it?\Give it to me!\Ill never give it up!\This is the only time I really feel alive.\The people wont allow this!\Stop it! Stop it!\That old hag\I wish she would just die! response:	You really are a stupid woman.
context: Give it to me!\Ill never give it up!\This is the only time I really feel alive.\The people wont allow this!\Stop it! Stop it!\That old hag\I wish she would just die!\You really are a stupid woman. response:	I gave you fair warning.
context: Ill never give it up!\This is the only time I really feel alive.\The people wont allow this!\Stop it! Stop it!\That old hag\I wish she would just die!\You really are a stupid woman.\I gave you fair warning. response:	You made me
context: This is the only time I really feel alive.\The people wont allow this!\Stop it! Stop it!\That old hag\I wish she would just die!\You really are a stupid woman.\I gave you fair warning.\You made me response:	Made me kill you?
context: The people wont allow this!\Stop it! Stop it!\That old hag\I wish she would just die!\You really are a stupid woman.\I gave you fair warning.\You made me\Made me kill you? response:	Made me kill you?
context: Stop it! Stop it!\That old hag\I wish she would just die!\You really are a stupid woman.\I gave you fair warning.\You made me\Made me kill you?\Made me kill you? response:	So sorry.
context: That old hag\I wish she would just die!\You really are a stupid woman.\I gave you fair warning.\You made me\Made me kill you?\Made me kill you?\So sorry. response:	Its nothing.
