context: Want to do this one by one? response:	Want to do this one by one?
context: Blessings for the children.\It's over! Give it up!\Are you that desperate to hide the crime in the shadows?\A good man told me.\There's a group trying to cover up the hit-and-run!\Hit-and-run?\The hit-and-run from six months ago.\What are you talking about? response:	Never mind that. I'm going to have you stop your ability.
context: It's over! Give it up!\Are you that desperate to hide the crime in the shadows?\A good man told me.\There's a group trying to cover up the hit-and-run!\Hit-and-run?\The hit-and-run from six months ago.\What are you talking about?\Never mind that. I'm going to have you stop your ability. response:	Ability?
context: Are you that desperate to hide the crime in the shadows?\A good man told me.\There's a group trying to cover up the hit-and-run!\Hit-and-run?\The hit-and-run from six months ago.\What are you talking about?\Never mind that. I'm going to have you stop your ability.\Ability? response:	What are you talking about?
context: A good man told me.\There's a group trying to cover up the hit-and-run!\Hit-and-run?\The hit-and-run from six months ago.\What are you talking about?\Never mind that. I'm going to have you stop your ability.\Ability?\What are you talking about? response:	A lanky Russian?
context: There's a group trying to cover up the hit-and-run!\Hit-and-run?\The hit-and-run from six months ago.\What are you talking about?\Never mind that. I'm going to have you stop your ability.\Ability?\What are you talking about?\A lanky Russian? response:	That's right.
context: Hit-and-run?\The hit-and-run from six months ago.\What are you talking about?\Never mind that. I'm going to have you stop your ability.\Ability?\What are you talking about?\A lanky Russian?\That's right. response:	That kind Russian man told me my life will be spared
context: The hit-and-run from six months ago.\What are you talking about?\Never mind that. I'm going to have you stop your ability.\Ability?\What are you talking about?\A lanky Russian?\That's right.\That kind Russian man told me my life will be spared response:	if I show this to my pursuers.
context: What are you talking about?\Never mind that. I'm going to have you stop your ability.\Ability?\What are you talking about?\A lanky Russian?\That's right.\That kind Russian man told me my life will be spared\if I show this to my pursuers. response:	It's the military police's documentation on the gifted who controls the virus.
context: Never mind that. I'm going to have you stop your ability.\Ability?\What are you talking about?\A lanky Russian?\That's right.\That kind Russian man told me my life will be spared\if I show this to my pursuers.\It's the military police's documentation on the gifted who controls the virus. response:	Gifted Research Report
context: Ability?\What are you talking about?\A lanky Russian?\That's right.\That kind Russian man told me my life will be spared\if I show this to my pursuers.\It's the military police's documentation on the gifted who controls the virus.\Gifted Research Report response:	Name: Pushkin A.
context: What are you talking about?\A lanky Russian?\That's right.\That kind Russian man told me my life will be spared\if I show this to my pursuers.\It's the military police's documentation on the gifted who controls the virus.\Gifted Research Report\Name: Pushkin A. response:	Nationality: Russian
context: A lanky Russian?\That's right.\That kind Russian man told me my life will be spared\if I show this to my pursuers.\It's the military police's documentation on the gifted who controls the virus.\Gifted Research Report\Name: Pushkin A.\Nationality: Russian response:	Native name: YKNH
context: That's right.\That kind Russian man told me my life will be spared\if I show this to my pursuers.\It's the military police's documentation on the gifted who controls the virus.\Gifted Research Report\Name: Pushkin A.\Nationality: Russian\Native name: YKNH response:	English Name: Pushkin
context: That kind Russian man told me my life will be spared\if I show this to my pursuers.\It's the military police's documentation on the gifted who controls the virus.\Gifted Research Report\Name: Pushkin A.\Nationality: Russian\Native name: YKNH\English Name: Pushkin response:	Sex: Male
context: if I show this to my pursuers.\It's the military police's documentation on the gifted who controls the virus.\Gifted Research Report\Name: Pushkin A.\Nationality: Russian\Native name: YKNH\English Name: Pushkin\Sex: Male response:	DOB: May 26
context: It's the military police's documentation on the gifted who controls the virus.\Gifted Research Report\Name: Pushkin A.\Nationality: Russian\Native name: YKNH\English Name: Pushkin\Sex: Male\DOB: May 26 response:	Ability: Manipulation of a lethal virus
context: Gifted Research Report\Name: Pushkin A.\Nationality: Russian\Native name: YKNH\English Name: Pushkin\Sex: Male\DOB: May 26\Ability: Manipulation of a lethal virus response:	It's not him.
context: Name: Pushkin A.\Nationality: Russian\Native name: YKNH\English Name: Pushkin\Sex: Male\DOB: May 26\Ability: Manipulation of a lethal virus\It's not him. response:	It definitely looks real, but...
context: Nationality: Russian\Native name: YKNH\English Name: Pushkin\Sex: Male\DOB: May 26\Ability: Manipulation of a lethal virus\It's not him.\It definitely looks real, but... response:	Rampo-san.
context: Native name: YKNH\English Name: Pushkin\Sex: Male\DOB: May 26\Ability: Manipulation of a lethal virus\It's not him.\It definitely looks real, but...\Rampo-san. response:	It does look real, but this document is likely a fake, as well.
context: English Name: Pushkin\Sex: Male\DOB: May 26\Ability: Manipulation of a lethal virus\It's not him.\It definitely looks real, but...\Rampo-san.\It does look real, but this document is likely a fake, as well. response:	Then the enemy is taking advantage of your deductive skills, too?
context: Sex: Male\DOB: May 26\Ability: Manipulation of a lethal virus\It's not him.\It definitely looks real, but...\Rampo-san.\It does look real, but this document is likely a fake, as well.\Then the enemy is taking advantage of your deductive skills, too? response:	I don't like him.
context: DOB: May 26\Ability: Manipulation of a lethal virus\It's not him.\It definitely looks real, but...\Rampo-san.\It does look real, but this document is likely a fake, as well.\Then the enemy is taking advantage of your deductive skills, too?\I don't like him. response:	It's like going up against Dazai.
context: Ability: Manipulation of a lethal virus\It's not him.\It definitely looks real, but...\Rampo-san.\It does look real, but this document is likely a fake, as well.\Then the enemy is taking advantage of your deductive skills, too?\I don't like him.\It's like going up against Dazai. response:	By the way, I have a message from the kind Russian.
context: It's not him.\It definitely looks real, but...\Rampo-san.\It does look real, but this document is likely a fake, as well.\Then the enemy is taking advantage of your deductive skills, too?\I don't like him.\It's like going up against Dazai.\By the way, I have a message from the kind Russian. response:	The rules can't be changed.
context: It definitely looks real, but...\Rampo-san.\It does look real, but this document is likely a fake, as well.\Then the enemy is taking advantage of your deductive skills, too?\I don't like him.\It's like going up against Dazai.\By the way, I have a message from the kind Russian.\The rules can't be changed. response:	We're out of chips to bargain with the Port Mafia.
context: Rampo-san.\It does look real, but this document is likely a fake, as well.\Then the enemy is taking advantage of your deductive skills, too?\I don't like him.\It's like going up against Dazai.\By the way, I have a message from the kind Russian.\The rules can't be changed.\We're out of chips to bargain with the Port Mafia. response:	Tanizaki is in danger.
context: It does look real, but this document is likely a fake, as well.\Then the enemy is taking advantage of your deductive skills, too?\I don't like him.\It's like going up against Dazai.\By the way, I have a message from the kind Russian.\The rules can't be changed.\We're out of chips to bargain with the Port Mafia.\Tanizaki is in danger. response:	It's been years since the Port Mafia's been so vicious.
context: Then the enemy is taking advantage of your deductive skills, too?\I don't like him.\It's like going up against Dazai.\By the way, I have a message from the kind Russian.\The rules can't be changed.\We're out of chips to bargain with the Port Mafia.\Tanizaki is in danger.\It's been years since the Port Mafia's been so vicious. response:	The promised time has come.
context: I don't like him.\It's like going up against Dazai.\By the way, I have a message from the kind Russian.\The rules can't be changed.\We're out of chips to bargain with the Port Mafia.\Tanizaki is in danger.\It's been years since the Port Mafia's been so vicious.\The promised time has come. response:	It appears the Agency has failed to capture the virus user.
context: It's like going up against Dazai.\By the way, I have a message from the kind Russian.\The rules can't be changed.\We're out of chips to bargain with the Port Mafia.\Tanizaki is in danger.\It's been years since the Port Mafia's been so vicious.\The promised time has come.\It appears the Agency has failed to capture the virus user. response:	They've kept from contacting us because
context: By the way, I have a message from the kind Russian.\The rules can't be changed.\We're out of chips to bargain with the Port Mafia.\Tanizaki is in danger.\It's been years since the Port Mafia's been so vicious.\The promised time has come.\It appears the Agency has failed to capture the virus user.\They've kept from contacting us because response:	Rampo-san determined that's the best course of action.
context: The rules can't be changed.\We're out of chips to bargain with the Port Mafia.\Tanizaki is in danger.\It's been years since the Port Mafia's been so vicious.\The promised time has come.\It appears the Agency has failed to capture the virus user.\They've kept from contacting us because\Rampo-san determined that's the best course of action. response:	It's not a problem.
context: We're out of chips to bargain with the Port Mafia.\Tanizaki is in danger.\It's been years since the Port Mafia's been so vicious.\The promised time has come.\It appears the Agency has failed to capture the virus user.\They've kept from contacting us because\Rampo-san determined that's the best course of action.\It's not a problem. response:	But there's no longer a chance of a cease fire.
context: Tanizaki is in danger.\It's been years since the Port Mafia's been so vicious.\The promised time has come.\It appears the Agency has failed to capture the virus user.\They've kept from contacting us because\Rampo-san determined that's the best course of action.\It's not a problem.\But there's no longer a chance of a cease fire. response:	Prepare yourself, mister.
context: It's been years since the Port Mafia's been so vicious.\The promised time has come.\It appears the Agency has failed to capture the virus user.\They've kept from contacting us because\Rampo-san determined that's the best course of action.\It's not a problem.\But there's no longer a chance of a cease fire.\Prepare yourself, mister. response:	We once fought over a billion in bounty.
context: The promised time has come.\It appears the Agency has failed to capture the virus user.\They've kept from contacting us because\Rampo-san determined that's the best course of action.\It's not a problem.\But there's no longer a chance of a cease fire.\Prepare yourself, mister.\We once fought over a billion in bounty. response:	We also clashed in the three-way war with the Guild.
context: It appears the Agency has failed to capture the virus user.\They've kept from contacting us because\Rampo-san determined that's the best course of action.\It's not a problem.\But there's no longer a chance of a cease fire.\Prepare yourself, mister.\We once fought over a billion in bounty.\We also clashed in the three-way war with the Guild. response:	But the Port Mafia now fights not for profit or reward,
context: They've kept from contacting us because\Rampo-san determined that's the best course of action.\It's not a problem.\But there's no longer a chance of a cease fire.\Prepare yourself, mister.\We once fought over a billion in bounty.\We also clashed in the three-way war with the Guild.\But the Port Mafia now fights not for profit or reward, response:	but to protect the boss and to have purpose for existing as who we are.
context: Rampo-san determined that's the best course of action.\It's not a problem.\But there's no longer a chance of a cease fire.\Prepare yourself, mister.\We once fought over a billion in bounty.\We also clashed in the three-way war with the Guild.\But the Port Mafia now fights not for profit or reward,\but to protect the boss and to have purpose for existing as who we are. response:	Many would sacrifice their lives for that.
context: It's not a problem.\But there's no longer a chance of a cease fire.\Prepare yourself, mister.\We once fought over a billion in bounty.\We also clashed in the three-way war with the Guild.\But the Port Mafia now fights not for profit or reward,\but to protect the boss and to have purpose for existing as who we are.\Many would sacrifice their lives for that. response:	Including myself.
context: But there's no longer a chance of a cease fire.\Prepare yourself, mister.\We once fought over a billion in bounty.\We also clashed in the three-way war with the Guild.\But the Port Mafia now fights not for profit or reward,\but to protect the boss and to have purpose for existing as who we are.\Many would sacrifice their lives for that.\Including myself. response:	All that remains is a blood-soaked path littered with human entrails.
context: Prepare yourself, mister.\We once fought over a billion in bounty.\We also clashed in the three-way war with the Guild.\But the Port Mafia now fights not for profit or reward,\but to protect the boss and to have purpose for existing as who we are.\Many would sacrifice their lives for that.\Including myself.\All that remains is a blood-soaked path littered with human entrails. response:	It's a path the Mafia is accustomed to traveling.
context: We once fought over a billion in bounty.\We also clashed in the three-way war with the Guild.\But the Port Mafia now fights not for profit or reward,\but to protect the boss and to have purpose for existing as who we are.\Many would sacrifice their lives for that.\Including myself.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling. response:	Are you going to kill me?
context: We also clashed in the three-way war with the Guild.\But the Port Mafia now fights not for profit or reward,\but to protect the boss and to have purpose for existing as who we are.\Many would sacrifice their lives for that.\Including myself.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\Are you going to kill me? response:	I'll have you become a double agent.
context: But the Port Mafia now fights not for profit or reward,\but to protect the boss and to have purpose for existing as who we are.\Many would sacrifice their lives for that.\Including myself.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\Are you going to kill me?\I'll have you become a double agent. response:	You're telling me to become a spy?
context: but to protect the boss and to have purpose for existing as who we are.\Many would sacrifice their lives for that.\Including myself.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\Are you going to kill me?\I'll have you become a double agent.\You're telling me to become a spy? response:	You can threaten me however you want
context: Many would sacrifice their lives for that.\Including myself.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\Are you going to kill me?\I'll have you become a double agent.\You're telling me to become a spy?\You can threaten me however you want response:	You have a younger sister, don't you?
context: Including myself.\All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\Are you going to kill me?\I'll have you become a double agent.\You're telling me to become a spy?\You can threaten me however you want\You have a younger sister, don't you? response:	Gin here is an assassin.
context: All that remains is a blood-soaked path littered with human entrails.\It's a path the Mafia is accustomed to traveling.\Are you going to kill me?\I'll have you become a double agent.\You're telling me to become a spy?\You can threaten me however you want\You have a younger sister, don't you?\Gin here is an assassin. response:	If you fail to comply, your precious sister...
context: It's a path the Mafia is accustomed to traveling.\Are you going to kill me?\I'll have you become a double agent.\You're telling me to become a spy?\You can threaten me however you want\You have a younger sister, don't you?\Gin here is an assassin.\If you fail to comply, your precious sister... response:	Do anything to Naomi,
context: Are you going to kill me?\I'll have you become a double agent.\You're telling me to become a spy?\You can threaten me however you want\You have a younger sister, don't you?\Gin here is an assassin.\If you fail to comply, your precious sister...\Do anything to Naomi, response:	and I'll kill all of you.
context: I'll have you become a double agent.\You're telling me to become a spy?\You can threaten me however you want\You have a younger sister, don't you?\Gin here is an assassin.\If you fail to comply, your precious sister...\Do anything to Naomi,\and I'll kill all of you. response:	I like your ferociousness.
context: You're telling me to become a spy?\You can threaten me however you want\You have a younger sister, don't you?\Gin here is an assassin.\If you fail to comply, your precious sister...\Do anything to Naomi,\and I'll kill all of you.\I like your ferociousness. response:	You henchmen won't hit me with even a million bullets.
context: You can threaten me however you want\You have a younger sister, don't you?\Gin here is an assassin.\If you fail to comply, your precious sister...\Do anything to Naomi,\and I'll kill all of you.\I like your ferociousness.\You henchmen won't hit me with even a million bullets. response:	Do you think I'm bluffing?
context: You have a younger sister, don't you?\Gin here is an assassin.\If you fail to comply, your precious sister...\Do anything to Naomi,\and I'll kill all of you.\I like your ferociousness.\You henchmen won't hit me with even a million bullets.\Do you think I'm bluffing? response:	Try it.
context: Gin here is an assassin.\If you fail to comply, your precious sister...\Do anything to Naomi,\and I'll kill all of you.\I like your ferociousness.\You henchmen won't hit me with even a million bullets.\Do you think I'm bluffing?\Try it. response:	Tatami Gatana
context: If you fail to comply, your precious sister...\Do anything to Naomi,\and I'll kill all of you.\I like your ferociousness.\You henchmen won't hit me with even a million bullets.\Do you think I'm bluffing?\Try it.\Tatami Gatana response:	Doppo Poet!
context: Do anything to Naomi,\and I'll kill all of you.\I like your ferociousness.\You henchmen won't hit me with even a million bullets.\Do you think I'm bluffing?\Try it.\Tatami Gatana\Doppo Poet! response:	Tatami Gatana!
context: and I'll kill all of you.\I like your ferociousness.\You henchmen won't hit me with even a million bullets.\Do you think I'm bluffing?\Try it.\Tatami Gatana\Doppo Poet!\Tatami Gatana! response:	So this is the illusion ability, Light Snow.
context: I like your ferociousness.\You henchmen won't hit me with even a million bullets.\Do you think I'm bluffing?\Try it.\Tatami Gatana\Doppo Poet!\Tatami Gatana!\So this is the illusion ability, Light Snow. response:	Stop shooting, Tachihara!
context: You henchmen won't hit me with even a million bullets.\Do you think I'm bluffing?\Try it.\Tatami Gatana\Doppo Poet!\Tatami Gatana!\So this is the illusion ability, Light Snow.\Stop shooting, Tachihara! response:	You won't hit him.
context: Do you think I'm bluffing?\Try it.\Tatami Gatana\Doppo Poet!\Tatami Gatana!\So this is the illusion ability, Light Snow.\Stop shooting, Tachihara!\You won't hit him. response:	Where the hell did that knife come from?
context: Try it.\Tatami Gatana\Doppo Poet!\Tatami Gatana!\So this is the illusion ability, Light Snow.\Stop shooting, Tachihara!\You won't hit him.\Where the hell did that knife come from? response:	Didn't we search him?
context: Tatami Gatana\Doppo Poet!\Tatami Gatana!\So this is the illusion ability, Light Snow.\Stop shooting, Tachihara!\You won't hit him.\Where the hell did that knife come from?\Didn't we search him? response:	We mustn't underestimate the Armed Detective Agency's gifted.
context: Doppo Poet!\Tatami Gatana!\So this is the illusion ability, Light Snow.\Stop shooting, Tachihara!\You won't hit him.\Where the hell did that knife come from?\Didn't we search him?\We mustn't underestimate the Armed Detective Agency's gifted. response:	Gin!
context: Tatami Gatana!\So this is the illusion ability, Light Snow.\Stop shooting, Tachihara!\You won't hit him.\Where the hell did that knife come from?\Didn't we search him?\We mustn't underestimate the Armed Detective Agency's gifted.\Gin! response:	Did you get him?
context: So this is the illusion ability, Light Snow.\Stop shooting, Tachihara!\You won't hit him.\Where the hell did that knife come from?\Didn't we search him?\We mustn't underestimate the Armed Detective Agency's gifted.\Gin!\Did you get him? response:	No.
context: Stop shooting, Tachihara!\You won't hit him.\Where the hell did that knife come from?\Didn't we search him?\We mustn't underestimate the Armed Detective Agency's gifted.\Gin!\Did you get him?\No. response:	That was an illusion, too.
context: You won't hit him.\Where the hell did that knife come from?\Didn't we search him?\We mustn't underestimate the Armed Detective Agency's gifted.\Gin!\Did you get him?\No.\That was an illusion, too. response:	Dammit.
context: Where the hell did that knife come from?\Didn't we search him?\We mustn't underestimate the Armed Detective Agency's gifted.\Gin!\Did you get him?\No.\That was an illusion, too.\Dammit. response:	We're locked in.
context: Didn't we search him?\We mustn't underestimate the Armed Detective Agency's gifted.\Gin!\Did you get him?\No.\That was an illusion, too.\Dammit.\We're locked in. response:	I would have never expected so much from an illusion-using gifted.
context: We mustn't underestimate the Armed Detective Agency's gifted.\Gin!\Did you get him?\No.\That was an illusion, too.\Dammit.\We're locked in.\I would have never expected so much from an illusion-using gifted. response:	He's far too dangerous.
context: Gin!\Did you get him?\No.\That was an illusion, too.\Dammit.\We're locked in.\I would have never expected so much from an illusion-using gifted.\He's far too dangerous. response:	His ability is terrifyingly suited for assassination.
context: Did you get him?\No.\That was an illusion, too.\Dammit.\We're locked in.\I would have never expected so much from an illusion-using gifted.\He's far too dangerous.\His ability is terrifyingly suited for assassination. response:	Now what, old man?
context: No.\That was an illusion, too.\Dammit.\We're locked in.\I would have never expected so much from an illusion-using gifted.\He's far too dangerous.\His ability is terrifyingly suited for assassination.\Now what, old man? response:	It seems his goal wasn't to negotiate with the Port Mafia.
context: That was an illusion, too.\Dammit.\We're locked in.\I would have never expected so much from an illusion-using gifted.\He's far too dangerous.\His ability is terrifyingly suited for assassination.\Now what, old man?\It seems his goal wasn't to negotiate with the Port Mafia. response:	His goal...
context: Dammit.\We're locked in.\I would have never expected so much from an illusion-using gifted.\He's far too dangerous.\His ability is terrifyingly suited for assassination.\Now what, old man?\It seems his goal wasn't to negotiate with the Port Mafia.\His goal... response:	is to assassinate the boss.
context: We're locked in.\I would have never expected so much from an illusion-using gifted.\He's far too dangerous.\His ability is terrifyingly suited for assassination.\Now what, old man?\It seems his goal wasn't to negotiate with the Port Mafia.\His goal...\is to assassinate the boss. response:	There's been an enemy intrusion.
context: I would have never expected so much from an illusion-using gifted.\He's far too dangerous.\His ability is terrifyingly suited for assassination.\Now what, old man?\It seems his goal wasn't to negotiate with the Port Mafia.\His goal...\is to assassinate the boss.\There's been an enemy intrusion. response:	Secure the elevator hall.
context: He's far too dangerous.\His ability is terrifyingly suited for assassination.\Now what, old man?\It seems his goal wasn't to negotiate with the Port Mafia.\His goal...\is to assassinate the boss.\There's been an enemy intrusion.\Secure the elevator hall. response:	Don't let anyone onto this floor!
context: His ability is terrifyingly suited for assassination.\Now what, old man?\It seems his goal wasn't to negotiate with the Port Mafia.\His goal...\is to assassinate the boss.\There's been an enemy intrusion.\Secure the elevator hall.\Don't let anyone onto this floor! response:	The only way to end the war...
context: Now what, old man?\It seems his goal wasn't to negotiate with the Port Mafia.\His goal...\is to assassinate the boss.\There's been an enemy intrusion.\Secure the elevator hall.\Don't let anyone onto this floor!\The only way to end the war... response:	Is to do this!
context: It seems his goal wasn't to negotiate with the Port Mafia.\His goal...\is to assassinate the boss.\There's been an enemy intrusion.\Secure the elevator hall.\Don't let anyone onto this floor!\The only way to end the war...\Is to do this! response:	Oh? You're awake.
context: His goal...\is to assassinate the boss.\There's been an enemy intrusion.\Secure the elevator hall.\Don't let anyone onto this floor!\The only way to end the war...\Is to do this!\Oh? You're awake. response:	You have a horrible fever.
context: is to assassinate the boss.\There's been an enemy intrusion.\Secure the elevator hall.\Don't let anyone onto this floor!\The only way to end the war...\Is to do this!\Oh? You're awake.\You have a horrible fever. response:	Don't move.
context: There's been an enemy intrusion.\Secure the elevator hall.\Don't let anyone onto this floor!\The only way to end the war...\Is to do this!\Oh? You're awake.\You have a horrible fever.\Don't move. response:	Where am I?
context: Secure the elevator hall.\Don't let anyone onto this floor!\The only way to end the war...\Is to do this!\Oh? You're awake.\You have a horrible fever.\Don't move.\Where am I? response:	Anne's Room.
context: Don't let anyone onto this floor!\The only way to end the war...\Is to do this!\Oh? You're awake.\You have a horrible fever.\Don't move.\Where am I?\Anne's Room. response:	It's the safest place in the world.
context: The only way to end the war...\Is to do this!\Oh? You're awake.\You have a horrible fever.\Don't move.\Where am I?\Anne's Room.\It's the safest place in the world. response:	Your tiger kitty came crying to me, so I couldn't refuse.
context: Is to do this!\Oh? You're awake.\You have a horrible fever.\Don't move.\Where am I?\Anne's Room.\It's the safest place in the world.\Your tiger kitty came crying to me, so I couldn't refuse. response:	Hey, stay still.
context: Oh? You're awake.\You have a horrible fever.\Don't move.\Where am I?\Anne's Room.\It's the safest place in the world.\Your tiger kitty came crying to me, so I couldn't refuse.\Hey, stay still. response:	We must not fight the Port Mafia.
context: You have a horrible fever.\Don't move.\Where am I?\Anne's Room.\It's the safest place in the world.\Your tiger kitty came crying to me, so I couldn't refuse.\Hey, stay still.\We must not fight the Port Mafia. response:	My life isn't as important.
context: Don't move.\Where am I?\Anne's Room.\It's the safest place in the world.\Your tiger kitty came crying to me, so I couldn't refuse.\Hey, stay still.\We must not fight the Port Mafia.\My life isn't as important. response:	Protect the city's stability and peace.
context: Where am I?\Anne's Room.\It's the safest place in the world.\Your tiger kitty came crying to me, so I couldn't refuse.\Hey, stay still.\We must not fight the Port Mafia.\My life isn't as important.\Protect the city's stability and peace. response:	Forgive me, boy.
context: Anne's Room.\It's the safest place in the world.\Your tiger kitty came crying to me, so I couldn't refuse.\Hey, stay still.\We must not fight the Port Mafia.\My life isn't as important.\Protect the city's stability and peace.\Forgive me, boy. response:	If that man were to die,
context: It's the safest place in the world.\Your tiger kitty came crying to me, so I couldn't refuse.\Hey, stay still.\We must not fight the Port Mafia.\My life isn't as important.\Protect the city's stability and peace.\Forgive me, boy.\If that man were to die, response:	the Port Mafia would regress to the one I so despise.
context: Your tiger kitty came crying to me, so I couldn't refuse.\Hey, stay still.\We must not fight the Port Mafia.\My life isn't as important.\Protect the city's stability and peace.\Forgive me, boy.\If that man were to die,\the Port Mafia would regress to the one I so despise. response:	You've made yourself vanish, I see.
context: Hey, stay still.\We must not fight the Port Mafia.\My life isn't as important.\Protect the city's stability and peace.\Forgive me, boy.\If that man were to die,\the Port Mafia would regress to the one I so despise.\You've made yourself vanish, I see. response:	But even if I can't see you,
context: We must not fight the Port Mafia.\My life isn't as important.\Protect the city's stability and peace.\Forgive me, boy.\If that man were to die,\the Port Mafia would regress to the one I so despise.\You've made yourself vanish, I see.\But even if I can't see you, response:	you have intense bloodlust.
context: My life isn't as important.\Protect the city's stability and peace.\Forgive me, boy.\If that man were to die,\the Port Mafia would regress to the one I so despise.\You've made yourself vanish, I see.\But even if I can't see you,\you have intense bloodlust. response:	Golden Demon.
context: Protect the city's stability and peace.\Forgive me, boy.\If that man were to die,\the Port Mafia would regress to the one I so despise.\You've made yourself vanish, I see.\But even if I can't see you,\you have intense bloodlust.\Golden Demon. response:	Knives fill the entire space.
context: Forgive me, boy.\If that man were to die,\the Port Mafia would regress to the one I so despise.\You've made yourself vanish, I see.\But even if I can't see you,\you have intense bloodlust.\Golden Demon.\Knives fill the entire space. response:	I can't even escape, let alone get close.
context: If that man were to die,\the Port Mafia would regress to the one I so despise.\You've made yourself vanish, I see.\But even if I can't see you,\you have intense bloodlust.\Golden Demon.\Knives fill the entire space.\I can't even escape, let alone get close. response:	Naomi, I'm sorry.
context: the Port Mafia would regress to the one I so despise.\You've made yourself vanish, I see.\But even if I can't see you,\you have intense bloodlust.\Golden Demon.\Knives fill the entire space.\I can't even escape, let alone get close.\Naomi, I'm sorry. response:	Demon Snow!
context: You've made yourself vanish, I see.\But even if I can't see you,\you have intense bloodlust.\Golden Demon.\Knives fill the entire space.\I can't even escape, let alone get close.\Naomi, I'm sorry.\Demon Snow! response:	Kyouka-chan!
context: But even if I can't see you,\you have intense bloodlust.\Golden Demon.\Knives fill the entire space.\I can't even escape, let alone get close.\Naomi, I'm sorry.\Demon Snow!\Kyouka-chan! response:	Kyouka.
context: you have intense bloodlust.\Golden Demon.\Knives fill the entire space.\I can't even escape, let alone get close.\Naomi, I'm sorry.\Demon Snow!\Kyouka-chan!\Kyouka. response:	This was my old turf.
context: Golden Demon.\Knives fill the entire space.\I can't even escape, let alone get close.\Naomi, I'm sorry.\Demon Snow!\Kyouka-chan!\Kyouka.\This was my old turf. response:	The back doors, the entry routes...
context: Knives fill the entire space.\I can't even escape, let alone get close.\Naomi, I'm sorry.\Demon Snow!\Kyouka-chan!\Kyouka.\This was my old turf.\The back doors, the entry routes... response:	I know all of them.
context: I can't even escape, let alone get close.\Naomi, I'm sorry.\Demon Snow!\Kyouka-chan!\Kyouka.\This was my old turf.\The back doors, the entry routes...\I know all of them. response:	I see.
context: Naomi, I'm sorry.\Demon Snow!\Kyouka-chan!\Kyouka.\This was my old turf.\The back doors, the entry routes...\I know all of them.\I see. response:	Kouyou-sama!
context: Demon Snow!\Kyouka-chan!\Kyouka.\This was my old turf.\The back doors, the entry routes...\I know all of them.\I see.\Kouyou-sama! response:	Wait, Kyouka!
context: Kyouka-chan!\Kyouka.\This was my old turf.\The back doors, the entry routes...\I know all of them.\I see.\Kouyou-sama!\Wait, Kyouka! response:	Stop!
context: Kyouka.\This was my old turf.\The back doors, the entry routes...\I know all of them.\I see.\Kouyou-sama!\Wait, Kyouka!\Stop! response:	You'll hit Kyouka.
context: This was my old turf.\The back doors, the entry routes...\I know all of them.\I see.\Kouyou-sama!\Wait, Kyouka!\Stop!\You'll hit Kyouka. response:	Just as planned.
context: The back doors, the entry routes...\I know all of them.\I see.\Kouyou-sama!\Wait, Kyouka!\Stop!\You'll hit Kyouka.\Just as planned. response:	Kyouka-chan has extracted Tanizaki-san.
context: I know all of them.\I see.\Kouyou-sama!\Wait, Kyouka!\Stop!\You'll hit Kyouka.\Just as planned.\Kyouka-chan has extracted Tanizaki-san. response:	Good.
context: I see.\Kouyou-sama!\Wait, Kyouka!\Stop!\You'll hit Kyouka.\Just as planned.\Kyouka-chan has extracted Tanizaki-san.\Good. response:	Take the truck there.
context: Kouyou-sama!\Wait, Kyouka!\Stop!\You'll hit Kyouka.\Just as planned.\Kyouka-chan has extracted Tanizaki-san.\Good.\Take the truck there. response:	Get in!
context: Wait, Kyouka!\Stop!\You'll hit Kyouka.\Just as planned.\Kyouka-chan has extracted Tanizaki-san.\Good.\Take the truck there.\Get in! response:	I'm sorry, Rampo-san.
context: Stop!\You'll hit Kyouka.\Just as planned.\Kyouka-chan has extracted Tanizaki-san.\Good.\Take the truck there.\Get in!\I'm sorry, Rampo-san. response:	I messed up.
context: You'll hit Kyouka.\Just as planned.\Kyouka-chan has extracted Tanizaki-san.\Good.\Take the truck there.\Get in!\I'm sorry, Rampo-san.\I messed up. response:	It's all right.
context: Just as planned.\Kyouka-chan has extracted Tanizaki-san.\Good.\Take the truck there.\Get in!\I'm sorry, Rampo-san.\I messed up.\It's all right. response:	How does the Port Mafia look?
context: Kyouka-chan has extracted Tanizaki-san.\Good.\Take the truck there.\Get in!\I'm sorry, Rampo-san.\I messed up.\It's all right.\How does the Port Mafia look? response:	It looks like they've transported the boss to an underground shelter.
context: Good.\Take the truck there.\Get in!\I'm sorry, Rampo-san.\I messed up.\It's all right.\How does the Port Mafia look?\It looks like they've transported the boss to an underground shelter. response:	We won't be able to sneak in there.
context: Take the truck there.\Get in!\I'm sorry, Rampo-san.\I messed up.\It's all right.\How does the Port Mafia look?\It looks like they've transported the boss to an underground shelter.\We won't be able to sneak in there. response:	We'll have to fight our way through, head-on.
