context: So how has living here been? response:	Oh, this is a wonderful House.
context: You did?\Even if you broke the rules,\both of you would usually apologize immediately, and everything would be back to normal.\But you haven't done that.\Emma, you've become so serious now.\So I couldn't ask about it.\I'm sorry. I'm sorry, Gilda.\I made you worry. response:	Did you see it, Emma?
context: Even if you broke the rules,\both of you would usually apologize immediately, and everything would be back to normal.\But you haven't done that.\Emma, you've become so serious now.\So I couldn't ask about it.\I'm sorry. I'm sorry, Gilda.\I made you worry.\Did you see it, Emma? response:	Conny being sold off...
context: both of you would usually apologize immediately, and everything would be back to normal.\But you haven't done that.\Emma, you've become so serious now.\So I couldn't ask about it.\I'm sorry. I'm sorry, Gilda.\I made you worry.\Did you see it, Emma?\Conny being sold off... response:	to those bad people.
context: But you haven't done that.\Emma, you've become so serious now.\So I couldn't ask about it.\I'm sorry. I'm sorry, Gilda.\I made you worry.\Did you see it, Emma?\Conny being sold off...\to those bad people. response:	Yeah.
context: Emma, you've become so serious now.\So I couldn't ask about it.\I'm sorry. I'm sorry, Gilda.\I made you worry.\Did you see it, Emma?\Conny being sold off...\to those bad people.\Yeah. response:	But we didn't make it in time.
context: So I couldn't ask about it.\I'm sorry. I'm sorry, Gilda.\I made you worry.\Did you see it, Emma?\Conny being sold off...\to those bad people.\Yeah.\But we didn't make it in time. response:	Conny is safe, right?
context: I'm sorry. I'm sorry, Gilda.\I made you worry.\Did you see it, Emma?\Conny being sold off...\to those bad people.\Yeah.\But we didn't make it in time.\Conny is safe, right? response:	I don't know.
context: I made you worry.\Did you see it, Emma?\Conny being sold off...\to those bad people.\Yeah.\But we didn't make it in time.\Conny is safe, right?\I don't know. response:	But how...
context: Did you see it, Emma?\Conny being sold off...\to those bad people.\Yeah.\But we didn't make it in time.\Conny is safe, right?\I don't know.\But how... response:	How could this even happen?
context: Conny being sold off...\to those bad people.\Yeah.\But we didn't make it in time.\Conny is safe, right?\I don't know.\But how...\How could this even happen? response:	I don't know if this proves anything,
context: to those bad people.\Yeah.\But we didn't make it in time.\Conny is safe, right?\I don't know.\But how...\How could this even happen?\I don't know if this proves anything, response:	but these are our siblings' scores that I had Ray and Emma look into for the past few days.
context: Yeah.\But we didn't make it in time.\Conny is safe, right?\I don't know.\But how...\How could this even happen?\I don't know if this proves anything,\but these are our siblings' scores that I had Ray and Emma look into for the past few days. response:	Scores?
context: But we didn't make it in time.\Conny is safe, right?\I don't know.\But how...\How could this even happen?\I don't know if this proves anything,\but these are our siblings' scores that I had Ray and Emma look into for the past few days.\Scores? response:	The ones who left are over six years old and adopted in the order of lowest scores first.
context: Conny is safe, right?\I don't know.\But how...\How could this even happen?\I don't know if this proves anything,\but these are our siblings' scores that I had Ray and Emma look into for the past few days.\Scores?\The ones who left are over six years old and adopted in the order of lowest scores first. response:	Isn't that weird?
context: I don't know.\But how...\How could this even happen?\I don't know if this proves anything,\but these are our siblings' scores that I had Ray and Emma look into for the past few days.\Scores?\The ones who left are over six years old and adopted in the order of lowest scores first.\Isn't that weird? response:	True, Conny's scores are...
context: But how...\How could this even happen?\I don't know if this proves anything,\but these are our siblings' scores that I had Ray and Emma look into for the past few days.\Scores?\The ones who left are over six years old and adopted in the order of lowest scores first.\Isn't that weird?\True, Conny's scores are... response:	And Hao and Sadie...
context: How could this even happen?\I don't know if this proves anything,\but these are our siblings' scores that I had Ray and Emma look into for the past few days.\Scores?\The ones who left are over six years old and adopted in the order of lowest scores first.\Isn't that weird?\True, Conny's scores are...\And Hao and Sadie... response:	You're right, Norman.
context: I don't know if this proves anything,\but these are our siblings' scores that I had Ray and Emma look into for the past few days.\Scores?\The ones who left are over six years old and adopted in the order of lowest scores first.\Isn't that weird?\True, Conny's scores are...\And Hao and Sadie...\You're right, Norman. response:	Don. Gilda.
context: but these are our siblings' scores that I had Ray and Emma look into for the past few days.\Scores?\The ones who left are over six years old and adopted in the order of lowest scores first.\Isn't that weird?\True, Conny's scores are...\And Hao and Sadie...\You're right, Norman.\Don. Gilda. response:	Let's escape from here and go help Conny and the others.
context: Scores?\The ones who left are over six years old and adopted in the order of lowest scores first.\Isn't that weird?\True, Conny's scores are...\And Hao and Sadie...\You're right, Norman.\Don. Gilda.\Let's escape from here and go help Conny and the others. response:	Let's all run away from here, together!
context: The ones who left are over six years old and adopted in the order of lowest scores first.\Isn't that weird?\True, Conny's scores are...\And Hao and Sadie...\You're right, Norman.\Don. Gilda.\Let's escape from here and go help Conny and the others.\Let's all run away from here, together! response:	Please help us.
context: Isn't that weird?\True, Conny's scores are...\And Hao and Sadie...\You're right, Norman.\Don. Gilda.\Let's escape from here and go help Conny and the others.\Let's all run away from here, together!\Please help us. response:	Hey, Norman.
context: True, Conny's scores are...\And Hao and Sadie...\You're right, Norman.\Don. Gilda.\Let's escape from here and go help Conny and the others.\Let's all run away from here, together!\Please help us.\Hey, Norman. response:	Is this about the shipment?
context: And Hao and Sadie...\You're right, Norman.\Don. Gilda.\Let's escape from here and go help Conny and the others.\Let's all run away from here, together!\Please help us.\Hey, Norman.\Is this about the shipment? response:	What do you mean you don't know?
context: You're right, Norman.\Don. Gilda.\Let's escape from here and go help Conny and the others.\Let's all run away from here, together!\Please help us.\Hey, Norman.\Is this about the shipment?\What do you mean you don't know? response:	You should have said they died!
context: Don. Gilda.\Let's escape from here and go help Conny and the others.\Let's all run away from here, together!\Please help us.\Hey, Norman.\Is this about the shipment?\What do you mean you don't know?\You should have said they died! response:	That was the best way to smoothly get them to help us.
context: Let's escape from here and go help Conny and the others.\Let's all run away from here, together!\Please help us.\Hey, Norman.\Is this about the shipment?\What do you mean you don't know?\You should have said they died!\That was the best way to smoothly get them to help us. response:	If they weren't the spies after all...
context: Let's all run away from here, together!\Please help us.\Hey, Norman.\Is this about the shipment?\What do you mean you don't know?\You should have said they died!\That was the best way to smoothly get them to help us.\If they weren't the spies after all... response:	then this kind of lie is too cruel.
context: Please help us.\Hey, Norman.\Is this about the shipment?\What do you mean you don't know?\You should have said they died!\That was the best way to smoothly get them to help us.\If they weren't the spies after all...\then this kind of lie is too cruel. response:	They're alive? Don't give them hope that doesn't exist.
context: Hey, Norman.\Is this about the shipment?\What do you mean you don't know?\You should have said they died!\That was the best way to smoothly get them to help us.\If they weren't the spies after all...\then this kind of lie is too cruel.\They're alive? Don't give them hope that doesn't exist. response:	How and when are you going to tell them the truth?
context: Is this about the shipment?\What do you mean you don't know?\You should have said they died!\That was the best way to smoothly get them to help us.\If they weren't the spies after all...\then this kind of lie is too cruel.\They're alive? Don't give them hope that doesn't exist.\How and when are you going to tell them the truth? response:	Can you tell them?
context: What do you mean you don't know?\You should have said they died!\That was the best way to smoothly get them to help us.\If they weren't the spies after all...\then this kind of lie is too cruel.\They're alive? Don't give them hope that doesn't exist.\How and when are you going to tell them the truth?\Can you tell them? response:	I'll cross that bridge when I get there.
context: You should have said they died!\That was the best way to smoothly get them to help us.\If they weren't the spies after all...\then this kind of lie is too cruel.\They're alive? Don't give them hope that doesn't exist.\How and when are you going to tell them the truth?\Can you tell them?\I'll cross that bridge when I get there. response:	We're still assuming they might be the spies, too. So I'm going to lay a trap.
context: That was the best way to smoothly get them to help us.\If they weren't the spies after all...\then this kind of lie is too cruel.\They're alive? Don't give them hope that doesn't exist.\How and when are you going to tell them the truth?\Can you tell them?\I'll cross that bridge when I get there.\We're still assuming they might be the spies, too. So I'm going to lay a trap. response:	A trap?
context: If they weren't the spies after all...\then this kind of lie is too cruel.\They're alive? Don't give them hope that doesn't exist.\How and when are you going to tell them the truth?\Can you tell them?\I'll cross that bridge when I get there.\We're still assuming they might be the spies, too. So I'm going to lay a trap.\A trap? response:	I'll tell both of them where the rope is hidden.
context: then this kind of lie is too cruel.\They're alive? Don't give them hope that doesn't exist.\How and when are you going to tell them the truth?\Can you tell them?\I'll cross that bridge when I get there.\We're still assuming they might be the spies, too. So I'm going to lay a trap.\A trap?\I'll tell both of them where the rope is hidden. response:	I'll tell Don it's under my bed.
context: They're alive? Don't give them hope that doesn't exist.\How and when are you going to tell them the truth?\Can you tell them?\I'll cross that bridge when I get there.\We're still assuming they might be the spies, too. So I'm going to lay a trap.\A trap?\I'll tell both of them where the rope is hidden.\I'll tell Don it's under my bed. response:	To Gilda, I'll tell her it's in the ceiling of the second floor bathroom.
context: How and when are you going to tell them the truth?\Can you tell them?\I'll cross that bridge when I get there.\We're still assuming they might be the spies, too. So I'm going to lay a trap.\A trap?\I'll tell both of them where the rope is hidden.\I'll tell Don it's under my bed.\To Gilda, I'll tell her it's in the ceiling of the second floor bathroom. response:	Who will make a move? How will Mom find out? We can trace it from there.
context: Can you tell them?\I'll cross that bridge when I get there.\We're still assuming they might be the spies, too. So I'm going to lay a trap.\A trap?\I'll tell both of them where the rope is hidden.\I'll tell Don it's under my bed.\To Gilda, I'll tell her it's in the ceiling of the second floor bathroom.\Who will make a move? How will Mom find out? We can trace it from there. response:	And the ropes? If they weren't the spies, and there's nothing there, it'll get complicated.
context: I'll cross that bridge when I get there.\We're still assuming they might be the spies, too. So I'm going to lay a trap.\A trap?\I'll tell both of them where the rope is hidden.\I'll tell Don it's under my bed.\To Gilda, I'll tell her it's in the ceiling of the second floor bathroom.\Who will make a move? How will Mom find out? We can trace it from there.\And the ropes? If they weren't the spies, and there's nothing there, it'll get complicated. response:	I have something else for that, too.
context: We're still assuming they might be the spies, too. So I'm going to lay a trap.\A trap?\I'll tell both of them where the rope is hidden.\I'll tell Don it's under my bed.\To Gilda, I'll tell her it's in the ceiling of the second floor bathroom.\Who will make a move? How will Mom find out? We can trace it from there.\And the ropes? If they weren't the spies, and there's nothing there, it'll get complicated.\I have something else for that, too. response:	So you're completely prepared, huh?
context: A trap?\I'll tell both of them where the rope is hidden.\I'll tell Don it's under my bed.\To Gilda, I'll tell her it's in the ceiling of the second floor bathroom.\Who will make a move? How will Mom find out? We can trace it from there.\And the ropes? If they weren't the spies, and there's nothing there, it'll get complicated.\I have something else for that, too.\So you're completely prepared, huh? response:	I told you.
context: I'll tell both of them where the rope is hidden.\I'll tell Don it's under my bed.\To Gilda, I'll tell her it's in the ceiling of the second floor bathroom.\Who will make a move? How will Mom find out? We can trace it from there.\And the ropes? If they weren't the spies, and there's nothing there, it'll get complicated.\I have something else for that, too.\So you're completely prepared, huh?\I told you. response:	We have to outwit her.
context: I'll tell Don it's under my bed.\To Gilda, I'll tell her it's in the ceiling of the second floor bathroom.\Who will make a move? How will Mom find out? We can trace it from there.\And the ropes? If they weren't the spies, and there's nothing there, it'll get complicated.\I have something else for that, too.\So you're completely prepared, huh?\I told you.\We have to outwit her. response:	Come back here!
context: To Gilda, I'll tell her it's in the ceiling of the second floor bathroom.\Who will make a move? How will Mom find out? We can trace it from there.\And the ropes? If they weren't the spies, and there's nothing there, it'll get complicated.\I have something else for that, too.\So you're completely prepared, huh?\I told you.\We have to outwit her.\Come back here! response:	It's been a while since we talked like this.
context: Who will make a move? How will Mom find out? We can trace it from there.\And the ropes? If they weren't the spies, and there's nothing there, it'll get complicated.\I have something else for that, too.\So you're completely prepared, huh?\I told you.\We have to outwit her.\Come back here!\It's been a while since we talked like this. response:	It's weird, right? Even though we're together every day.
context: And the ropes? If they weren't the spies, and there's nothing there, it'll get complicated.\I have something else for that, too.\So you're completely prepared, huh?\I told you.\We have to outwit her.\Come back here!\It's been a while since we talked like this.\It's weird, right? Even though we're together every day. response:	And we'll be together from now on, too, right?
context: I have something else for that, too.\So you're completely prepared, huh?\I told you.\We have to outwit her.\Come back here!\It's been a while since we talked like this.\It's weird, right? Even though we're together every day.\And we'll be together from now on, too, right? response:	Yeah.
context: So you're completely prepared, huh?\I told you.\We have to outwit her.\Come back here!\It's been a while since we talked like this.\It's weird, right? Even though we're together every day.\And we'll be together from now on, too, right?\Yeah. response:	I see.
context: I told you.\We have to outwit her.\Come back here!\It's been a while since we talked like this.\It's weird, right? Even though we're together every day.\And we'll be together from now on, too, right?\Yeah.\I see. response:	The rope is hidden in Norman's bed.
context: We have to outwit her.\Come back here!\It's been a while since we talked like this.\It's weird, right? Even though we're together every day.\And we'll be together from now on, too, right?\Yeah.\I see.\The rope is hidden in Norman's bed. response:	I've been waiting for you, Gilda.
context: Come back here!\It's been a while since we talked like this.\It's weird, right? Even though we're together every day.\And we'll be together from now on, too, right?\Yeah.\I see.\The rope is hidden in Norman's bed.\I've been waiting for you, Gilda. response:	Now, please talk to me, Gilda.
context: It's been a while since we talked like this.\It's weird, right? Even though we're together every day.\And we'll be together from now on, too, right?\Yeah.\I see.\The rope is hidden in Norman's bed.\I've been waiting for you, Gilda.\Now, please talk to me, Gilda. response:	About that issue, right?
context: It's weird, right? Even though we're together every day.\And we'll be together from now on, too, right?\Yeah.\I see.\The rope is hidden in Norman's bed.\I've been waiting for you, Gilda.\Now, please talk to me, Gilda.\About that issue, right? response:	There isn't anything I'm worried about.
context: And we'll be together from now on, too, right?\Yeah.\I see.\The rope is hidden in Norman's bed.\I've been waiting for you, Gilda.\Now, please talk to me, Gilda.\About that issue, right?\There isn't anything I'm worried about. response:	I appreciate that you frequently checked on me out of concern.
context: Yeah.\I see.\The rope is hidden in Norman's bed.\I've been waiting for you, Gilda.\Now, please talk to me, Gilda.\About that issue, right?\There isn't anything I'm worried about.\I appreciate that you frequently checked on me out of concern. response:	That's right, I'm worried.
context: I see.\The rope is hidden in Norman's bed.\I've been waiting for you, Gilda.\Now, please talk to me, Gilda.\About that issue, right?\There isn't anything I'm worried about.\I appreciate that you frequently checked on me out of concern.\That's right, I'm worried. response:	But I'm okay now.
context: The rope is hidden in Norman's bed.\I've been waiting for you, Gilda.\Now, please talk to me, Gilda.\About that issue, right?\There isn't anything I'm worried about.\I appreciate that you frequently checked on me out of concern.\That's right, I'm worried.\But I'm okay now. response:	So you can leave me alone.
context: I've been waiting for you, Gilda.\Now, please talk to me, Gilda.\About that issue, right?\There isn't anything I'm worried about.\I appreciate that you frequently checked on me out of concern.\That's right, I'm worried.\But I'm okay now.\So you can leave me alone. response:	Please excuse me.
context: Now, please talk to me, Gilda.\About that issue, right?\There isn't anything I'm worried about.\I appreciate that you frequently checked on me out of concern.\That's right, I'm worried.\But I'm okay now.\So you can leave me alone.\Please excuse me. response:	I see. Emma told you everything, then?
context: About that issue, right?\There isn't anything I'm worried about.\I appreciate that you frequently checked on me out of concern.\That's right, I'm worried.\But I'm okay now.\So you can leave me alone.\Please excuse me.\I see. Emma told you everything, then? response:	Gilda, so you know about everything now, don't you?
context: There isn't anything I'm worried about.\I appreciate that you frequently checked on me out of concern.\That's right, I'm worried.\But I'm okay now.\So you can leave me alone.\Please excuse me.\I see. Emma told you everything, then?\Gilda, so you know about everything now, don't you? response:	Darn, it's too bad, Gilda.
context: I appreciate that you frequently checked on me out of concern.\That's right, I'm worried.\But I'm okay now.\So you can leave me alone.\Please excuse me.\I see. Emma told you everything, then?\Gilda, so you know about everything now, don't you?\Darn, it's too bad, Gilda. response:	I thought we could become friends.
context: That's right, I'm worried.\But I'm okay now.\So you can leave me alone.\Please excuse me.\I see. Emma told you everything, then?\Gilda, so you know about everything now, don't you?\Darn, it's too bad, Gilda.\I thought we could become friends. response:	So who else knows?
context: But I'm okay now.\So you can leave me alone.\Please excuse me.\I see. Emma told you everything, then?\Gilda, so you know about everything now, don't you?\Darn, it's too bad, Gilda.\I thought we could become friends.\So who else knows? response:	Norman. Ray. And?
context: So you can leave me alone.\Please excuse me.\I see. Emma told you everything, then?\Gilda, so you know about everything now, don't you?\Darn, it's too bad, Gilda.\I thought we could become friends.\So who else knows?\Norman. Ray. And? response:	I'll let only you go, so why don't we join hands?
context: Please excuse me.\I see. Emma told you everything, then?\Gilda, so you know about everything now, don't you?\Darn, it's too bad, Gilda.\I thought we could become friends.\So who else knows?\Norman. Ray. And?\I'll let only you go, so why don't we join hands? response:	Please stop!
context: I see. Emma told you everything, then?\Gilda, so you know about everything now, don't you?\Darn, it's too bad, Gilda.\I thought we could become friends.\So who else knows?\Norman. Ray. And?\I'll let only you go, so why don't we join hands?\Please stop! response:	I don't know what you're talking about!
context: Gilda, so you know about everything now, don't you?\Darn, it's too bad, Gilda.\I thought we could become friends.\So who else knows?\Norman. Ray. And?\I'll let only you go, so why don't we join hands?\Please stop!\I don't know what you're talking about! response:	I just had a fight with Emma. But we made up, so everything's okay now!
context: Darn, it's too bad, Gilda.\I thought we could become friends.\So who else knows?\Norman. Ray. And?\I'll let only you go, so why don't we join hands?\Please stop!\I don't know what you're talking about!\I just had a fight with Emma. But we made up, so everything's okay now! response:	I see. So it was my misunderstanding. I apologize.
context: I thought we could become friends.\So who else knows?\Norman. Ray. And?\I'll let only you go, so why don't we join hands?\Please stop!\I don't know what you're talking about!\I just had a fight with Emma. But we made up, so everything's okay now!\I see. So it was my misunderstanding. I apologize. response:	If you think Emma has lied to you, come back to me.
context: So who else knows?\Norman. Ray. And?\I'll let only you go, so why don't we join hands?\Please stop!\I don't know what you're talking about!\I just had a fight with Emma. But we made up, so everything's okay now!\I see. So it was my misunderstanding. I apologize.\If you think Emma has lied to you, come back to me. response:	I'll see you later, Gilda.
context: Norman. Ray. And?\I'll let only you go, so why don't we join hands?\Please stop!\I don't know what you're talking about!\I just had a fight with Emma. But we made up, so everything's okay now!\I see. So it was my misunderstanding. I apologize.\If you think Emma has lied to you, come back to me.\I'll see you later, Gilda. response:	Emma.
context: I'll let only you go, so why don't we join hands?\Please stop!\I don't know what you're talking about!\I just had a fight with Emma. But we made up, so everything's okay now!\I see. So it was my misunderstanding. I apologize.\If you think Emma has lied to you, come back to me.\I'll see you later, Gilda.\Emma. response:	Gilda.
context: Please stop!\I don't know what you're talking about!\I just had a fight with Emma. But we made up, so everything's okay now!\I see. So it was my misunderstanding. I apologize.\If you think Emma has lied to you, come back to me.\I'll see you later, Gilda.\Emma.\Gilda. response:	I'm not giving up.
context: I don't know what you're talking about!\I just had a fight with Emma. But we made up, so everything's okay now!\I see. So it was my misunderstanding. I apologize.\If you think Emma has lied to you, come back to me.\I'll see you later, Gilda.\Emma.\Gilda.\I'm not giving up. response:	If I can't get Gilda...
context: I just had a fight with Emma. But we made up, so everything's okay now!\I see. So it was my misunderstanding. I apologize.\If you think Emma has lied to you, come back to me.\I'll see you later, Gilda.\Emma.\Gilda.\I'm not giving up.\If I can't get Gilda... response:	The great Thoma has arrived!
context: I see. So it was my misunderstanding. I apologize.\If you think Emma has lied to you, come back to me.\I'll see you later, Gilda.\Emma.\Gilda.\I'm not giving up.\If I can't get Gilda...\The great Thoma has arrived! response:	I wonder if it's okay?
context: If you think Emma has lied to you, come back to me.\I'll see you later, Gilda.\Emma.\Gilda.\I'm not giving up.\If I can't get Gilda...\The great Thoma has arrived!\I wonder if it's okay? response:	Let's go. Mom's watching.
context: I'll see you later, Gilda.\Emma.\Gilda.\I'm not giving up.\If I can't get Gilda...\The great Thoma has arrived!\I wonder if it's okay?\Let's go. Mom's watching. response:	According to what Emma told me, Gilda is innocent.
context: Emma.\Gilda.\I'm not giving up.\If I can't get Gilda...\The great Thoma has arrived!\I wonder if it's okay?\Let's go. Mom's watching.\According to what Emma told me, Gilda is innocent. response:	Hey, Ray. I wonder why traitors betray others.
context: Gilda.\I'm not giving up.\If I can't get Gilda...\The great Thoma has arrived!\I wonder if it's okay?\Let's go. Mom's watching.\According to what Emma told me, Gilda is innocent.\Hey, Ray. I wonder why traitors betray others. response:	Maybe it's because there must be some merit in doing so.
context: I'm not giving up.\If I can't get Gilda...\The great Thoma has arrived!\I wonder if it's okay?\Let's go. Mom's watching.\According to what Emma told me, Gilda is innocent.\Hey, Ray. I wonder why traitors betray others.\Maybe it's because there must be some merit in doing so. response:	For example, they can be spared from being shipped out and can become an adult.
context: If I can't get Gilda...\The great Thoma has arrived!\I wonder if it's okay?\Let's go. Mom's watching.\According to what Emma told me, Gilda is innocent.\Hey, Ray. I wonder why traitors betray others.\Maybe it's because there must be some merit in doing so.\For example, they can be spared from being shipped out and can become an adult. response:	A guarantee to live, huh?
context: The great Thoma has arrived!\I wonder if it's okay?\Let's go. Mom's watching.\According to what Emma told me, Gilda is innocent.\Hey, Ray. I wonder why traitors betray others.\Maybe it's because there must be some merit in doing so.\For example, they can be spared from being shipped out and can become an adult.\A guarantee to live, huh? response:	I see, so this was training for running away.
context: I wonder if it's okay?\Let's go. Mom's watching.\According to what Emma told me, Gilda is innocent.\Hey, Ray. I wonder why traitors betray others.\Maybe it's because there must be some merit in doing so.\For example, they can be spared from being shipped out and can become an adult.\A guarantee to live, huh?\I see, so this was training for running away. response:	One, two...
context: Let's go. Mom's watching.\According to what Emma told me, Gilda is innocent.\Hey, Ray. I wonder why traitors betray others.\Maybe it's because there must be some merit in doing so.\For example, they can be spared from being shipped out and can become an adult.\A guarantee to live, huh?\I see, so this was training for running away.\One, two... response:	Three...
context: According to what Emma told me, Gilda is innocent.\Hey, Ray. I wonder why traitors betray others.\Maybe it's because there must be some merit in doing so.\For example, they can be spared from being shipped out and can become an adult.\A guarantee to live, huh?\I see, so this was training for running away.\One, two...\Three... response:	Emma.
context: Hey, Ray. I wonder why traitors betray others.\Maybe it's because there must be some merit in doing so.\For example, they can be spared from being shipped out and can become an adult.\A guarantee to live, huh?\I see, so this was training for running away.\One, two...\Three...\Emma. response:	Can I talk to you?
context: Maybe it's because there must be some merit in doing so.\For example, they can be spared from being shipped out and can become an adult.\A guarantee to live, huh?\I see, so this was training for running away.\One, two...\Three...\Emma.\Can I talk to you? response:	I'd like to hear your opinion.
context: For example, they can be spared from being shipped out and can become an adult.\A guarantee to live, huh?\I see, so this was training for running away.\One, two...\Three...\Emma.\Can I talk to you?\I'd like to hear your opinion. response:	What if there's someone who is willingly being an agent of the demons,
context: A guarantee to live, huh?\I see, so this was training for running away.\One, two...\Three...\Emma.\Can I talk to you?\I'd like to hear your opinion.\What if there's someone who is willingly being an agent of the demons, response:	and that by spying on us, they are guaranteed to continue living...
context: I see, so this was training for running away.\One, two...\Three...\Emma.\Can I talk to you?\I'd like to hear your opinion.\What if there's someone who is willingly being an agent of the demons,\and that by spying on us, they are guaranteed to continue living... response:	You mean, in exchange for spying on us, they won't get shipped out and can live?
context: One, two...\Three...\Emma.\Can I talk to you?\I'd like to hear your opinion.\What if there's someone who is willingly being an agent of the demons,\and that by spying on us, they are guaranteed to continue living...\You mean, in exchange for spying on us, they won't get shipped out and can live? response:	Would you leave that person behind? Or take them with us?
context: Three...\Emma.\Can I talk to you?\I'd like to hear your opinion.\What if there's someone who is willingly being an agent of the demons,\and that by spying on us, they are guaranteed to continue living...\You mean, in exchange for spying on us, they won't get shipped out and can live?\Would you leave that person behind? Or take them with us? response:	I'd take them with us.
context: Emma.\Can I talk to you?\I'd like to hear your opinion.\What if there's someone who is willingly being an agent of the demons,\and that by spying on us, they are guaranteed to continue living...\You mean, in exchange for spying on us, they won't get shipped out and can live?\Would you leave that person behind? Or take them with us?\I'd take them with us. response:	Even if that person didn't want that?
context: Can I talk to you?\I'd like to hear your opinion.\What if there's someone who is willingly being an agent of the demons,\and that by spying on us, they are guaranteed to continue living...\You mean, in exchange for spying on us, they won't get shipped out and can live?\Would you leave that person behind? Or take them with us?\I'd take them with us.\Even if that person didn't want that? response:	Yeah. I'd force them to come with us.
context: I'd like to hear your opinion.\What if there's someone who is willingly being an agent of the demons,\and that by spying on us, they are guaranteed to continue living...\You mean, in exchange for spying on us, they won't get shipped out and can live?\Would you leave that person behind? Or take them with us?\I'd take them with us.\Even if that person didn't want that?\Yeah. I'd force them to come with us. response:	Because if we escape, that person's life might not be guaranteed anymore.
context: What if there's someone who is willingly being an agent of the demons,\and that by spying on us, they are guaranteed to continue living...\You mean, in exchange for spying on us, they won't get shipped out and can live?\Would you leave that person behind? Or take them with us?\I'd take them with us.\Even if that person didn't want that?\Yeah. I'd force them to come with us.\Because if we escape, that person's life might not be guaranteed anymore. response:	Also, I want to believe, after all.
context: and that by spying on us, they are guaranteed to continue living...\You mean, in exchange for spying on us, they won't get shipped out and can live?\Would you leave that person behind? Or take them with us?\I'd take them with us.\Even if that person didn't want that?\Yeah. I'd force them to come with us.\Because if we escape, that person's life might not be guaranteed anymore.\Also, I want to believe, after all. response:	The incident with Gilda made me realize that.
context: You mean, in exchange for spying on us, they won't get shipped out and can live?\Would you leave that person behind? Or take them with us?\I'd take them with us.\Even if that person didn't want that?\Yeah. I'd force them to come with us.\Because if we escape, that person's life might not be guaranteed anymore.\Also, I want to believe, after all.\The incident with Gilda made me realize that. response:	Ray told me to suspect everyone, but even if there's a traitor who is a demon's agent,
context: Would you leave that person behind? Or take them with us?\I'd take them with us.\Even if that person didn't want that?\Yeah. I'd force them to come with us.\Because if we escape, that person's life might not be guaranteed anymore.\Also, I want to believe, after all.\The incident with Gilda made me realize that.\Ray told me to suspect everyone, but even if there's a traitor who is a demon's agent, response:	no one within our siblings is a bad person.
context: I'd take them with us.\Even if that person didn't want that?\Yeah. I'd force them to come with us.\Because if we escape, that person's life might not be guaranteed anymore.\Also, I want to believe, after all.\The incident with Gilda made me realize that.\Ray told me to suspect everyone, but even if there's a traitor who is a demon's agent,\no one within our siblings is a bad person. response:	We're family that grew up together.
context: Even if that person didn't want that?\Yeah. I'd force them to come with us.\Because if we escape, that person's life might not be guaranteed anymore.\Also, I want to believe, after all.\The incident with Gilda made me realize that.\Ray told me to suspect everyone, but even if there's a traitor who is a demon's agent,\no one within our siblings is a bad person.\We're family that grew up together. response:	Even if that person gets in the way, betrays us, or says I'm naIve,
context: Yeah. I'd force them to come with us.\Because if we escape, that person's life might not be guaranteed anymore.\Also, I want to believe, after all.\The incident with Gilda made me realize that.\Ray told me to suspect everyone, but even if there's a traitor who is a demon's agent,\no one within our siblings is a bad person.\We're family that grew up together.\Even if that person gets in the way, betrays us, or says I'm naIve, response:	I want to believe in that person!
context: Because if we escape, that person's life might not be guaranteed anymore.\Also, I want to believe, after all.\The incident with Gilda made me realize that.\Ray told me to suspect everyone, but even if there's a traitor who is a demon's agent,\no one within our siblings is a bad person.\We're family that grew up together.\Even if that person gets in the way, betrays us, or says I'm naIve,\I want to believe in that person! response:	Of course you would say that, Emma.
context: Also, I want to believe, after all.\The incident with Gilda made me realize that.\Ray told me to suspect everyone, but even if there's a traitor who is a demon's agent,\no one within our siblings is a bad person.\We're family that grew up together.\Even if that person gets in the way, betrays us, or says I'm naIve,\I want to believe in that person!\Of course you would say that, Emma. response:	So?
context: The incident with Gilda made me realize that.\Ray told me to suspect everyone, but even if there's a traitor who is a demon's agent,\no one within our siblings is a bad person.\We're family that grew up together.\Even if that person gets in the way, betrays us, or says I'm naIve,\I want to believe in that person!\Of course you would say that, Emma.\So? response:	Nothing.
context: Ray told me to suspect everyone, but even if there's a traitor who is a demon's agent,\no one within our siblings is a bad person.\We're family that grew up together.\Even if that person gets in the way, betrays us, or says I'm naIve,\I want to believe in that person!\Of course you would say that, Emma.\So?\Nothing. response:	Seriously?
context: no one within our siblings is a bad person.\We're family that grew up together.\Even if that person gets in the way, betrays us, or says I'm naIve,\I want to believe in that person!\Of course you would say that, Emma.\So?\Nothing.\Seriously? response:	Then it's confirmed that it's Don.
context: We're family that grew up together.\Even if that person gets in the way, betrays us, or says I'm naIve,\I want to believe in that person!\Of course you would say that, Emma.\So?\Nothing.\Seriously?\Then it's confirmed that it's Don. response:	Yeah.
context: Even if that person gets in the way, betrays us, or says I'm naIve,\I want to believe in that person!\Of course you would say that, Emma.\So?\Nothing.\Seriously?\Then it's confirmed that it's Don.\Yeah. response:	So you're the traitor, Ray.
