context: Huh? response:	Doesn't it seem more crowded than usual?
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	The
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\The response:	The
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\The\The response:	Hero
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\The\The\Hero response:	Hero
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\The\The\Hero\Hero response:	Experiences
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\The\The\Hero\Hero\Experiences response:	Experiences
context: Overlord at Work!\Overlord at Work!\The\The\Hero\Hero\Experiences\Experiences response:	a Fight
context: Overlord at Work!\The\The\Hero\Hero\Experiences\Experiences\a Fight response:	a Fight
context: The\The\Hero\Hero\Experiences\Experiences\a Fight\a Fight response:	First, tell me everything there is to know about this Maou guy.
context: The\Hero\Hero\Experiences\Experiences\a Fight\a Fight\First, tell me everything there is to know about this Maou guy. response:	Maybe we can use that information to resolve this fight.
context: Hero\Hero\Experiences\Experiences\a Fight\a Fight\First, tell me everything there is to know about this Maou guy.\Maybe we can use that information to resolve this fight. response:	As long as I'm the Hero and he's the Overlord,
context: Hero\Experiences\Experiences\a Fight\a Fight\First, tell me everything there is to know about this Maou guy.\Maybe we can use that information to resolve this fight.\As long as I'm the Hero and he's the Overlord, response:	the only thing we can do is fight.
context: Experiences\Experiences\a Fight\a Fight\First, tell me everything there is to know about this Maou guy.\Maybe we can use that information to resolve this fight.\As long as I'm the Hero and he's the Overlord,\the only thing we can do is fight. response:	Still,
context: Experiences\a Fight\a Fight\First, tell me everything there is to know about this Maou guy.\Maybe we can use that information to resolve this fight.\As long as I'm the Hero and he's the Overlord,\the only thing we can do is fight.\Still, response:	I wonder how she plans on clearing up the misunderstanding Rika has.
context: a Fight\a Fight\First, tell me everything there is to know about this Maou guy.\Maybe we can use that information to resolve this fight.\As long as I'm the Hero and he's the Overlord,\the only thing we can do is fight.\Still,\I wonder how she plans on clearing up the misunderstanding Rika has. response:	I'll have an iced coffee.
context: a Fight\First, tell me everything there is to know about this Maou guy.\Maybe we can use that information to resolve this fight.\As long as I'm the Hero and he's the Overlord,\the only thing we can do is fight.\Still,\I wonder how she plans on clearing up the misunderstanding Rika has.\I'll have an iced coffee. response:	What about you two?
context: First, tell me everything there is to know about this Maou guy.\Maybe we can use that information to resolve this fight.\As long as I'm the Hero and he's the Overlord,\the only thing we can do is fight.\Still,\I wonder how she plans on clearing up the misunderstanding Rika has.\I'll have an iced coffee.\What about you two? response:	I'll have the maple biscuit and iced tea combo, then.
context: Maybe we can use that information to resolve this fight.\As long as I'm the Hero and he's the Overlord,\the only thing we can do is fight.\Still,\I wonder how she plans on clearing up the misunderstanding Rika has.\I'll have an iced coffee.\What about you two?\I'll have the maple biscuit and iced tea combo, then. response:	With milk, please.
context: As long as I'm the Hero and he's the Overlord,\the only thing we can do is fight.\Still,\I wonder how she plans on clearing up the misunderstanding Rika has.\I'll have an iced coffee.\What about you two?\I'll have the maple biscuit and iced tea combo, then.\With milk, please. response:	Iced coffee for me too.
context: the only thing we can do is fight.\Still,\I wonder how she plans on clearing up the misunderstanding Rika has.\I'll have an iced coffee.\What about you two?\I'll have the maple biscuit and iced tea combo, then.\With milk, please.\Iced coffee for me too. response:	This one's on me, girls.
context: Still,\I wonder how she plans on clearing up the misunderstanding Rika has.\I'll have an iced coffee.\What about you two?\I'll have the maple biscuit and iced tea combo, then.\With milk, please.\Iced coffee for me too.\This one's on me, girls. response:	Oh, that'll be all.
context: I wonder how she plans on clearing up the misunderstanding Rika has.\I'll have an iced coffee.\What about you two?\I'll have the maple biscuit and iced tea combo, then.\With milk, please.\Iced coffee for me too.\This one's on me, girls.\Oh, that'll be all. response:	Certainly.
context: I'll have an iced coffee.\What about you two?\I'll have the maple biscuit and iced tea combo, then.\With milk, please.\Iced coffee for me too.\This one's on me, girls.\Oh, that'll be all.\Certainly. response:	If you like, please take this coupon we're giving away as part of our grand opening promotion.
context: What about you two?\I'll have the maple biscuit and iced tea combo, then.\With milk, please.\Iced coffee for me too.\This one's on me, girls.\Oh, that'll be all.\Certainly.\If you like, please take this coupon we're giving away as part of our grand opening promotion. response:	Thanks.
context: I'll have the maple biscuit and iced tea combo, then.\With milk, please.\Iced coffee for me too.\This one's on me, girls.\Oh, that'll be all.\Certainly.\If you like, please take this coupon we're giving away as part of our grand opening promotion.\Thanks. response:	We shall put all our heart into preparing your order.
context: With milk, please.\Iced coffee for me too.\This one's on me, girls.\Oh, that'll be all.\Certainly.\If you like, please take this coupon we're giving away as part of our grand opening promotion.\Thanks.\We shall put all our heart into preparing your order. response:	I'm sure our items are simply thrilled to serve and be served to you lovely ladies.
context: Iced coffee for me too.\This one's on me, girls.\Oh, that'll be all.\Certainly.\If you like, please take this coupon we're giving away as part of our grand opening promotion.\Thanks.\We shall put all our heart into preparing your order.\I'm sure our items are simply thrilled to serve and be served to you lovely ladies. response:	Here's your change.
context: This one's on me, girls.\Oh, that'll be all.\Certainly.\If you like, please take this coupon we're giving away as part of our grand opening promotion.\Thanks.\We shall put all our heart into preparing your order.\I'm sure our items are simply thrilled to serve and be served to you lovely ladies.\Here's your change. response:	R-Right...
context: Oh, that'll be all.\Certainly.\If you like, please take this coupon we're giving away as part of our grand opening promotion.\Thanks.\We shall put all our heart into preparing your order.\I'm sure our items are simply thrilled to serve and be served to you lovely ladies.\Here's your change.\R-Right... response:	Here you go.
context: Certainly.\If you like, please take this coupon we're giving away as part of our grand opening promotion.\Thanks.\We shall put all our heart into preparing your order.\I'm sure our items are simply thrilled to serve and be served to you lovely ladies.\Here's your change.\R-Right...\Here you go. response:	I have committed a grave sin in making a lady like you wait!
context: If you like, please take this coupon we're giving away as part of our grand opening promotion.\Thanks.\We shall put all our heart into preparing your order.\I'm sure our items are simply thrilled to serve and be served to you lovely ladies.\Here's your change.\R-Right...\Here you go.\I have committed a grave sin in making a lady like you wait! response:	Here's your order.
context: Thanks.\We shall put all our heart into preparing your order.\I'm sure our items are simply thrilled to serve and be served to you lovely ladies.\Here's your change.\R-Right...\Here you go.\I have committed a grave sin in making a lady like you wait!\Here's your order. response:	Guys like that surprisingly suck at playing around
context: We shall put all our heart into preparing your order.\I'm sure our items are simply thrilled to serve and be served to you lovely ladies.\Here's your change.\R-Right...\Here you go.\I have committed a grave sin in making a lady like you wait!\Here's your order.\Guys like that surprisingly suck at playing around response:	and cause all kinds of problems for themselves, right?
context: I'm sure our items are simply thrilled to serve and be served to you lovely ladies.\Here's your change.\R-Right...\Here you go.\I have committed a grave sin in making a lady like you wait!\Here's your order.\Guys like that surprisingly suck at playing around\and cause all kinds of problems for themselves, right? response:	His perfume and shades are in bad taste too.
context: Here's your change.\R-Right...\Here you go.\I have committed a grave sin in making a lady like you wait!\Here's your order.\Guys like that surprisingly suck at playing around\and cause all kinds of problems for themselves, right?\His perfume and shades are in bad taste too. response:	What're you talking about?
context: R-Right...\Here you go.\I have committed a grave sin in making a lady like you wait!\Here's your order.\Guys like that surprisingly suck at playing around\and cause all kinds of problems for themselves, right?\His perfume and shades are in bad taste too.\What're you talking about? response:	Oh.
context: Here you go.\I have committed a grave sin in making a lady like you wait!\Here's your order.\Guys like that surprisingly suck at playing around\and cause all kinds of problems for themselves, right?\His perfume and shades are in bad taste too.\What're you talking about?\Oh. response:	It's nothing.
context: I have committed a grave sin in making a lady like you wait!\Here's your order.\Guys like that surprisingly suck at playing around\and cause all kinds of problems for themselves, right?\His perfume and shades are in bad taste too.\What're you talking about?\Oh.\It's nothing. response:	Let's go.
context: Here's your order.\Guys like that surprisingly suck at playing around\and cause all kinds of problems for themselves, right?\His perfume and shades are in bad taste too.\What're you talking about?\Oh.\It's nothing.\Let's go. response:	Now...
context: Guys like that surprisingly suck at playing around\and cause all kinds of problems for themselves, right?\His perfume and shades are in bad taste too.\What're you talking about?\Oh.\It's nothing.\Let's go.\Now... response:	Let's hear how things ended up this way.
context: and cause all kinds of problems for themselves, right?\His perfume and shades are in bad taste too.\What're you talking about?\Oh.\It's nothing.\Let's go.\Now...\Let's hear how things ended up this way. response:	Maou Sadao, was it?
context: His perfume and shades are in bad taste too.\What're you talking about?\Oh.\It's nothing.\Let's go.\Now...\Let's hear how things ended up this way.\Maou Sadao, was it? response:	Let me hear it straight from the horses' mouths.
context: What're you talking about?\Oh.\It's nothing.\Let's go.\Now...\Let's hear how things ended up this way.\Maou Sadao, was it?\Let me hear it straight from the horses' mouths. response:	Hmm...
context: Oh.\It's nothing.\Let's go.\Now...\Let's hear how things ended up this way.\Maou Sadao, was it?\Let me hear it straight from the horses' mouths.\Hmm... response:	He's my new neighbor.
context: It's nothing.\Let's go.\Now...\Let's hear how things ended up this way.\Maou Sadao, was it?\Let me hear it straight from the horses' mouths.\Hmm...\He's my new neighbor. response:	Well, he is a good neighbor...
context: Let's go.\Now...\Let's hear how things ended up this way.\Maou Sadao, was it?\Let me hear it straight from the horses' mouths.\Hmm...\He's my new neighbor.\Well, he is a good neighbor... response:	This girl...
context: Now...\Let's hear how things ended up this way.\Maou Sadao, was it?\Let me hear it straight from the horses' mouths.\Hmm...\He's my new neighbor.\Well, he is a good neighbor...\This girl... response:	I want you to kill Overlord Satan with me
context: Let's hear how things ended up this way.\Maou Sadao, was it?\Let me hear it straight from the horses' mouths.\Hmm...\He's my new neighbor.\Well, he is a good neighbor...\This girl...\I want you to kill Overlord Satan with me response:	and return to Ente Isla.
context: Maou Sadao, was it?\Let me hear it straight from the horses' mouths.\Hmm...\He's my new neighbor.\Well, he is a good neighbor...\This girl...\I want you to kill Overlord Satan with me\and return to Ente Isla. response:	That's what she said before,
context: Let me hear it straight from the horses' mouths.\Hmm...\He's my new neighbor.\Well, he is a good neighbor...\This girl...\I want you to kill Overlord Satan with me\and return to Ente Isla.\That's what she said before, response:	but now he's a good neighbor? Wow.
context: Hmm...\He's my new neighbor.\Well, he is a good neighbor...\This girl...\I want you to kill Overlord Satan with me\and return to Ente Isla.\That's what she said before,\but now he's a good neighbor? Wow. response:	And you, Emi?
context: He's my new neighbor.\Well, he is a good neighbor...\This girl...\I want you to kill Overlord Satan with me\and return to Ente Isla.\That's what she said before,\but now he's a good neighbor? Wow.\And you, Emi? response:	He's someone I want to kill as soon as possible.
context: Well, he is a good neighbor...\This girl...\I want you to kill Overlord Satan with me\and return to Ente Isla.\That's what she said before,\but now he's a good neighbor? Wow.\And you, Emi?\He's someone I want to kill as soon as possible. response:	Divided opinions, I see.
context: This girl...\I want you to kill Overlord Satan with me\and return to Ente Isla.\That's what she said before,\but now he's a good neighbor? Wow.\And you, Emi?\He's someone I want to kill as soon as possible.\Divided opinions, I see. response:	But I know you're not being honest with yourself, Emi.
context: I want you to kill Overlord Satan with me\and return to Ente Isla.\That's what she said before,\but now he's a good neighbor? Wow.\And you, Emi?\He's someone I want to kill as soon as possible.\Divided opinions, I see.\But I know you're not being honest with yourself, Emi. response:	Hey, Rika.
context: and return to Ente Isla.\That's what she said before,\but now he's a good neighbor? Wow.\And you, Emi?\He's someone I want to kill as soon as possible.\Divided opinions, I see.\But I know you're not being honest with yourself, Emi.\Hey, Rika. response:	Let me make this clear.
context: That's what she said before,\but now he's a good neighbor? Wow.\And you, Emi?\He's someone I want to kill as soon as possible.\Divided opinions, I see.\But I know you're not being honest with yourself, Emi.\Hey, Rika.\Let me make this clear. response:	There's nothing going on between Maou and me.
context: but now he's a good neighbor? Wow.\And you, Emi?\He's someone I want to kill as soon as possible.\Divided opinions, I see.\But I know you're not being honest with yourself, Emi.\Hey, Rika.\Let me make this clear.\There's nothing going on between Maou and me. response:	I wanted to keep Suzuno away from him for a completely different reason.
context: And you, Emi?\He's someone I want to kill as soon as possible.\Divided opinions, I see.\But I know you're not being honest with yourself, Emi.\Hey, Rika.\Let me make this clear.\There's nothing going on between Maou and me.\I wanted to keep Suzuno away from him for a completely different reason. response:	It's not like we're fighting over him or anything!
context: He's someone I want to kill as soon as possible.\Divided opinions, I see.\But I know you're not being honest with yourself, Emi.\Hey, Rika.\Let me make this clear.\There's nothing going on between Maou and me.\I wanted to keep Suzuno away from him for a completely different reason.\It's not like we're fighting over him or anything! response:	See?
context: Divided opinions, I see.\But I know you're not being honest with yourself, Emi.\Hey, Rika.\Let me make this clear.\There's nothing going on between Maou and me.\I wanted to keep Suzuno away from him for a completely different reason.\It's not like we're fighting over him or anything!\See? response:	That's why I said you're not being honest with yourself.
context: But I know you're not being honest with yourself, Emi.\Hey, Rika.\Let me make this clear.\There's nothing going on between Maou and me.\I wanted to keep Suzuno away from him for a completely different reason.\It's not like we're fighting over him or anything!\See?\That's why I said you're not being honest with yourself. response:	Why do you even want to pair me and Maou up so badly?
context: Hey, Rika.\Let me make this clear.\There's nothing going on between Maou and me.\I wanted to keep Suzuno away from him for a completely different reason.\It's not like we're fighting over him or anything!\See?\That's why I said you're not being honest with yourself.\Why do you even want to pair me and Maou up so badly? response:	Just thinking about it makes me mad.
context: Let me make this clear.\There's nothing going on between Maou and me.\I wanted to keep Suzuno away from him for a completely different reason.\It's not like we're fighting over him or anything!\See?\That's why I said you're not being honest with yourself.\Why do you even want to pair me and Maou up so badly?\Just thinking about it makes me mad. response:	That cruel, sneaky lump of avarice!
context: There's nothing going on between Maou and me.\I wanted to keep Suzuno away from him for a completely different reason.\It's not like we're fighting over him or anything!\See?\That's why I said you're not being honest with yourself.\Why do you even want to pair me and Maou up so badly?\Just thinking about it makes me mad.\That cruel, sneaky lump of avarice! response:	He's thick-skinned, broke as hell,
context: I wanted to keep Suzuno away from him for a completely different reason.\It's not like we're fighting over him or anything!\See?\That's why I said you're not being honest with yourself.\Why do you even want to pair me and Maou up so badly?\Just thinking about it makes me mad.\That cruel, sneaky lump of avarice!\He's thick-skinned, broke as hell, response:	and the kind of absurd man who'd try to make someone feel indebted to him
context: It's not like we're fighting over him or anything!\See?\That's why I said you're not being honest with yourself.\Why do you even want to pair me and Maou up so badly?\Just thinking about it makes me mad.\That cruel, sneaky lump of avarice!\He's thick-skinned, broke as hell,\and the kind of absurd man who'd try to make someone feel indebted to him response:	by lending them an umbrella he just picked up somewhere!
context: See?\That's why I said you're not being honest with yourself.\Why do you even want to pair me and Maou up so badly?\Just thinking about it makes me mad.\That cruel, sneaky lump of avarice!\He's thick-skinned, broke as hell,\and the kind of absurd man who'd try to make someone feel indebted to him\by lending them an umbrella he just picked up somewhere! response:	I cannot let that slide, Yusa!
context: That's why I said you're not being honest with yourself.\Why do you even want to pair me and Maou up so badly?\Just thinking about it makes me mad.\That cruel, sneaky lump of avarice!\He's thick-skinned, broke as hell,\and the kind of absurd man who'd try to make someone feel indebted to him\by lending them an umbrella he just picked up somewhere!\I cannot let that slide, Yusa! response:	Ashiya?!
context: Why do you even want to pair me and Maou up so badly?\Just thinking about it makes me mad.\That cruel, sneaky lump of avarice!\He's thick-skinned, broke as hell,\and the kind of absurd man who'd try to make someone feel indebted to him\by lending them an umbrella he just picked up somewhere!\I cannot let that slide, Yusa!\Ashiya?! response:	Why're you here?
context: Just thinking about it makes me mad.\That cruel, sneaky lump of avarice!\He's thick-skinned, broke as hell,\and the kind of absurd man who'd try to make someone feel indebted to him\by lending them an umbrella he just picked up somewhere!\I cannot let that slide, Yusa!\Ashiya?!\Why're you here? response:	Ashiya sure is taking his sweet time.
context: That cruel, sneaky lump of avarice!\He's thick-skinned, broke as hell,\and the kind of absurd man who'd try to make someone feel indebted to him\by lending them an umbrella he just picked up somewhere!\I cannot let that slide, Yusa!\Ashiya?!\Why're you here?\Ashiya sure is taking his sweet time. response:	You want me to go and stuff myself with Sentucky's fried chicken?
