context: Listen, Miach! response:	Bell-kun... Bell-kun...
context: Thank you!\W-Well... I, uh...\I'm glad to do it for you.\Isn't magic amazing?\Here.\I got this as a present, but...\Thank you.\Um, Bell-sama... response:	May I have tomorrow off?
context: W-Well... I, uh...\I'm glad to do it for you.\Isn't magic amazing?\Here.\I got this as a present, but...\Thank you.\Um, Bell-sama...\May I have tomorrow off? response:	Sure, but... do you have plans or something?
context: I'm glad to do it for you.\Isn't magic amazing?\Here.\I got this as a present, but...\Thank you.\Um, Bell-sama...\May I have tomorrow off?\Sure, but... do you have plans or something? response:	My familia is having a meeting, and I have to be there, no matter what.
context: Isn't magic amazing?\Here.\I got this as a present, but...\Thank you.\Um, Bell-sama...\May I have tomorrow off?\Sure, but... do you have plans or something?\My familia is having a meeting, and I have to be there, no matter what. response:	I know this violates my contract,
context: Here.\I got this as a present, but...\Thank you.\Um, Bell-sama...\May I have tomorrow off?\Sure, but... do you have plans or something?\My familia is having a meeting, and I have to be there, no matter what.\I know this violates my contract, response:	and I'll accept the penalty.
context: I got this as a present, but...\Thank you.\Um, Bell-sama...\May I have tomorrow off?\Sure, but... do you have plans or something?\My familia is having a meeting, and I have to be there, no matter what.\I know this violates my contract,\and I'll accept the penalty. response:	Oh, don't worry about that!
context: Thank you.\Um, Bell-sama...\May I have tomorrow off?\Sure, but... do you have plans or something?\My familia is having a meeting, and I have to be there, no matter what.\I know this violates my contract,\and I'll accept the penalty.\Oh, don't worry about that! response:	Anyway, I'm sorry, Lili...
context: Um, Bell-sama...\May I have tomorrow off?\Sure, but... do you have plans or something?\My familia is having a meeting, and I have to be there, no matter what.\I know this violates my contract,\and I'll accept the penalty.\Oh, don't worry about that!\Anyway, I'm sorry, Lili... response:	I didn't think of that.
context: May I have tomorrow off?\Sure, but... do you have plans or something?\My familia is having a meeting, and I have to be there, no matter what.\I know this violates my contract,\and I'll accept the penalty.\Oh, don't worry about that!\Anyway, I'm sorry, Lili...\I didn't think of that. response:	When you want a day off, just tell me.
context: Sure, but... do you have plans or something?\My familia is having a meeting, and I have to be there, no matter what.\I know this violates my contract,\and I'll accept the penalty.\Oh, don't worry about that!\Anyway, I'm sorry, Lili...\I didn't think of that.\When you want a day off, just tell me. response:	Thank you very much.
context: My familia is having a meeting, and I have to be there, no matter what.\I know this violates my contract,\and I'll accept the penalty.\Oh, don't worry about that!\Anyway, I'm sorry, Lili...\I didn't think of that.\When you want a day off, just tell me.\Thank you very much. response:	You aren't going to the dungeon today?
context: I know this violates my contract,\and I'll accept the penalty.\Oh, don't worry about that!\Anyway, I'm sorry, Lili...\I didn't think of that.\When you want a day off, just tell me.\Thank you very much.\You aren't going to the dungeon today? response:	Yeah, I've suddenly got some free time.
context: and I'll accept the penalty.\Oh, don't worry about that!\Anyway, I'm sorry, Lili...\I didn't think of that.\When you want a day off, just tell me.\Thank you very much.\You aren't going to the dungeon today?\Yeah, I've suddenly got some free time. response:	What do you do on your days off, Syr-san?
context: Oh, don't worry about that!\Anyway, I'm sorry, Lili...\I didn't think of that.\When you want a day off, just tell me.\Thank you very much.\You aren't going to the dungeon today?\Yeah, I've suddenly got some free time.\What do you do on your days off, Syr-san? response:	Let me see...
context: Anyway, I'm sorry, Lili...\I didn't think of that.\When you want a day off, just tell me.\Thank you very much.\You aren't going to the dungeon today?\Yeah, I've suddenly got some free time.\What do you do on your days off, Syr-san?\Let me see... response:	Reading, maybe?
context: I didn't think of that.\When you want a day off, just tell me.\Thank you very much.\You aren't going to the dungeon today?\Yeah, I've suddenly got some free time.\What do you do on your days off, Syr-san?\Let me see...\Reading, maybe? response:	Reading, huh?
context: When you want a day off, just tell me.\Thank you very much.\You aren't going to the dungeon today?\Yeah, I've suddenly got some free time.\What do you do on your days off, Syr-san?\Let me see...\Reading, maybe?\Reading, huh? response:	But all the books my Goddess has look really hard.
context: Thank you very much.\You aren't going to the dungeon today?\Yeah, I've suddenly got some free time.\What do you do on your days off, Syr-san?\Let me see...\Reading, maybe?\Reading, huh?\But all the books my Goddess has look really hard. response:	Modern Magic That Even a Goblin Could Understand...
context: You aren't going to the dungeon today?\Yeah, I've suddenly got some free time.\What do you do on your days off, Syr-san?\Let me see...\Reading, maybe?\Reading, huh?\But all the books my Goddess has look really hard.\Modern Magic That Even a Goblin Could Understand... response:	Interested?
context: Yeah, I've suddenly got some free time.\What do you do on your days off, Syr-san?\Let me see...\Reading, maybe?\Reading, huh?\But all the books my Goddess has look really hard.\Modern Magic That Even a Goblin Could Understand...\Interested? response:	One of the customers left it here.
context: What do you do on your days off, Syr-san?\Let me see...\Reading, maybe?\Reading, huh?\But all the books my Goddess has look really hard.\Modern Magic That Even a Goblin Could Understand...\Interested?\One of the customers left it here. response:	And it doesn't seem like they'll come back for it.
context: Let me see...\Reading, maybe?\Reading, huh?\But all the books my Goddess has look really hard.\Modern Magic That Even a Goblin Could Understand...\Interested?\One of the customers left it here.\And it doesn't seem like they'll come back for it. response:	I'll lend it to you, if you want.
context: Reading, maybe?\Reading, huh?\But all the books my Goddess has look really hard.\Modern Magic That Even a Goblin Could Understand...\Interested?\One of the customers left it here.\And it doesn't seem like they'll come back for it.\I'll lend it to you, if you want. response:	Really?
context: Reading, huh?\But all the books my Goddess has look really hard.\Modern Magic That Even a Goblin Could Understand...\Interested?\One of the customers left it here.\And it doesn't seem like they'll come back for it.\I'll lend it to you, if you want.\Really? response:	It's not like I'll be missing it.
context: But all the books my Goddess has look really hard.\Modern Magic That Even a Goblin Could Understand...\Interested?\One of the customers left it here.\And it doesn't seem like they'll come back for it.\I'll lend it to you, if you want.\Really?\It's not like I'll be missing it. response:	Just give it back when you're finished reading.
context: Modern Magic That Even a Goblin Could Understand...\Interested?\One of the customers left it here.\And it doesn't seem like they'll come back for it.\I'll lend it to you, if you want.\Really?\It's not like I'll be missing it.\Just give it back when you're finished reading. response:	Okay.
context: Interested?\One of the customers left it here.\And it doesn't seem like they'll come back for it.\I'll lend it to you, if you want.\Really?\It's not like I'll be missing it.\Just give it back when you're finished reading.\Okay. response:	Magic, huh?
context: One of the customers left it here.\And it doesn't seem like they'll come back for it.\I'll lend it to you, if you want.\Really?\It's not like I'll be missing it.\Just give it back when you're finished reading.\Okay.\Magic, huh? response:	Okay...
context: And it doesn't seem like they'll come back for it.\I'll lend it to you, if you want.\Really?\It's not like I'll be missing it.\Just give it back when you're finished reading.\Okay.\Magic, huh?\Okay... response:	Um...
context: I'll lend it to you, if you want.\Really?\It's not like I'll be missing it.\Just give it back when you're finished reading.\Okay.\Magic, huh?\Okay...\Um... response:	There are two types of magic. The first is what certain races are born with.
context: Really?\It's not like I'll be missing it.\Just give it back when you're finished reading.\Okay.\Magic, huh?\Okay...\Um...\There are two types of magic. The first is what certain races are born with. response:	The second, called Farna, is granted by a deity's blessing.
context: It's not like I'll be missing it.\Just give it back when you're finished reading.\Okay.\Magic, huh?\Okay...\Um...\There are two types of magic. The first is what certain races are born with.\The second, called Farna, is granted by a deity's blessing. response:	The latter is, in a sense, a form of self-expression.
context: Just give it back when you're finished reading.\Okay.\Magic, huh?\Okay...\Um...\There are two types of magic. The first is what certain races are born with.\The second, called Farna, is granted by a deity's blessing.\The latter is, in a sense, a form of self-expression. response:	What are you interested in?
context: Okay.\Magic, huh?\Okay...\Um...\There are two types of magic. The first is what certain races are born with.\The second, called Farna, is granted by a deity's blessing.\The latter is, in a sense, a form of self-expression.\What are you interested in? response:	What do you accept? What do you hate?
context: Magic, huh?\Okay...\Um...\There are two types of magic. The first is what certain races are born with.\The second, called Farna, is granted by a deity's blessing.\The latter is, in a sense, a form of self-expression.\What are you interested in?\What do you accept? What do you hate? response:	Desire? Sorrow over?
context: Okay...\Um...\There are two types of magic. The first is what certain races are born with.\The second, called Farna, is granted by a deity's blessing.\The latter is, in a sense, a form of self-expression.\What are you interested in?\What do you accept? What do you hate?\Desire? Sorrow over? response:	Worship? Or vow?
context: Um...\There are two types of magic. The first is what certain races are born with.\The second, called Farna, is granted by a deity's blessing.\The latter is, in a sense, a form of self-expression.\What are you interested in?\What do you accept? What do you hate?\Desire? Sorrow over?\Worship? Or vow? response:	What do you truly long for?
context: There are two types of magic. The first is what certain races are born with.\The second, called Farna, is granted by a deity's blessing.\The latter is, in a sense, a form of self-expression.\What are you interested in?\What do you accept? What do you hate?\Desire? Sorrow over?\Worship? Or vow?\What do you truly long for? response:	The trigger is always within you.
context: The second, called Farna, is granted by a deity's blessing.\The latter is, in a sense, a form of self-expression.\What are you interested in?\What do you accept? What do you hate?\Desire? Sorrow over?\Worship? Or vow?\What do you truly long for?\The trigger is always within you. response:	Okay, let's start.
context: The latter is, in a sense, a form of self-expression.\What are you interested in?\What do you accept? What do you hate?\Desire? Sorrow over?\Worship? Or vow?\What do you truly long for?\The trigger is always within you.\Okay, let's start. response:	What is magic to me?
context: What are you interested in?\What do you accept? What do you hate?\Desire? Sorrow over?\Worship? Or vow?\What do you truly long for?\The trigger is always within you.\Okay, let's start.\What is magic to me? response:	A strong power.
context: What do you accept? What do you hate?\Desire? Sorrow over?\Worship? Or vow?\What do you truly long for?\The trigger is always within you.\Okay, let's start.\What is magic to me?\A strong power. response:	A weapon to defeat my inner weakness, and make me stronger.
context: Desire? Sorrow over?\Worship? Or vow?\What do you truly long for?\The trigger is always within you.\Okay, let's start.\What is magic to me?\A strong power.\A weapon to defeat my inner weakness, and make me stronger. response:	What sort of thing is magic to me?
context: Worship? Or vow?\What do you truly long for?\The trigger is always within you.\Okay, let's start.\What is magic to me?\A strong power.\A weapon to defeat my inner weakness, and make me stronger.\What sort of thing is magic to me? response:	A flame.
context: What do you truly long for?\The trigger is always within you.\Okay, let's start.\What is magic to me?\A strong power.\A weapon to defeat my inner weakness, and make me stronger.\What sort of thing is magic to me?\A flame. response:	One that burns strong and hot.
context: The trigger is always within you.\Okay, let's start.\What is magic to me?\A strong power.\A weapon to defeat my inner weakness, and make me stronger.\What sort of thing is magic to me?\A flame.\One that burns strong and hot. response:	A red flame that doesn't suit a weak person like me at all.
context: Okay, let's start.\What is magic to me?\A strong power.\A weapon to defeat my inner weakness, and make me stronger.\What sort of thing is magic to me?\A flame.\One that burns strong and hot.\A red flame that doesn't suit a weak person like me at all. response:	What do I seek from magic?
context: What is magic to me?\A strong power.\A weapon to defeat my inner weakness, and make me stronger.\What sort of thing is magic to me?\A flame.\One that burns strong and hot.\A red flame that doesn't suit a weak person like me at all.\What do I seek from magic? response:	The woman who's faster than anyone, like a lightning bolt...
context: A strong power.\A weapon to defeat my inner weakness, and make me stronger.\What sort of thing is magic to me?\A flame.\One that burns strong and hot.\A red flame that doesn't suit a weak person like me at all.\What do I seek from magic?\The woman who's faster than anyone, like a lightning bolt... response:	I want to catch up to her.
context: A weapon to defeat my inner weakness, and make me stronger.\What sort of thing is magic to me?\A flame.\One that burns strong and hot.\A red flame that doesn't suit a weak person like me at all.\What do I seek from magic?\The woman who's faster than anyone, like a lightning bolt...\I want to catch up to her. response:	Is that all?
context: What sort of thing is magic to me?\A flame.\One that burns strong and hot.\A red flame that doesn't suit a weak person like me at all.\What do I seek from magic?\The woman who's faster than anyone, like a lightning bolt...\I want to catch up to her.\Is that all? response:	If it were possible...
context: A flame.\One that burns strong and hot.\A red flame that doesn't suit a weak person like me at all.\What do I seek from magic?\The woman who's faster than anyone, like a lightning bolt...\I want to catch up to her.\Is that all?\If it were possible... response:	I'd like to be a hero.
context: One that burns strong and hot.\A red flame that doesn't suit a weak person like me at all.\What do I seek from magic?\The woman who's faster than anyone, like a lightning bolt...\I want to catch up to her.\Is that all?\If it were possible...\I'd like to be a hero. response:	Like in the fairy tales I read when I was a kid.
context: A red flame that doesn't suit a weak person like me at all.\What do I seek from magic?\The woman who's faster than anyone, like a lightning bolt...\I want to catch up to her.\Is that all?\If it were possible...\I'd like to be a hero.\Like in the fairy tales I read when I was a kid. response:	A hero they'd be satisfied with.
context: What do I seek from magic?\The woman who's faster than anyone, like a lightning bolt...\I want to catch up to her.\Is that all?\If it were possible...\I'd like to be a hero.\Like in the fairy tales I read when I was a kid.\A hero they'd be satisfied with. response:	You're such a child.
context: The woman who's faster than anyone, like a lightning bolt...\I want to catch up to her.\Is that all?\If it were possible...\I'd like to be a hero.\Like in the fairy tales I read when I was a kid.\A hero they'd be satisfied with.\You're such a child. response:	I'm sorry.
context: I want to catch up to her.\Is that all?\If it were possible...\I'd like to be a hero.\Like in the fairy tales I read when I was a kid.\A hero they'd be satisfied with.\You're such a child.\I'm sorry. response:	But that's who I am!
context: Is that all?\If it were possible...\I'd like to be a hero.\Like in the fairy tales I read when I was a kid.\A hero they'd be satisfied with.\You're such a child.\I'm sorry.\But that's who I am! response:	That's who I am!
context: If it were possible...\I'd like to be a hero.\Like in the fairy tales I read when I was a kid.\A hero they'd be satisfied with.\You're such a child.\I'm sorry.\But that's who I am!\That's who I am! response:	Bell-kun!
context: I'd like to be a hero.\Like in the fairy tales I read when I was a kid.\A hero they'd be satisfied with.\You're such a child.\I'm sorry.\But that's who I am!\That's who I am!\Bell-kun! response:	Bell-kun!
context: Like in the fairy tales I read when I was a kid.\A hero they'd be satisfied with.\You're such a child.\I'm sorry.\But that's who I am!\That's who I am!\Bell-kun!\Bell-kun! response:	What are you doing?
context: A hero they'd be satisfied with.\You're such a child.\I'm sorry.\But that's who I am!\That's who I am!\Bell-kun!\Bell-kun!\What are you doing? response:	G-Goddess?
context: You're such a child.\I'm sorry.\But that's who I am!\That's who I am!\Bell-kun!\Bell-kun!\What are you doing?\G-Goddess? response:	Huh?
context: I'm sorry.\But that's who I am!\That's who I am!\Bell-kun!\Bell-kun!\What are you doing?\G-Goddess?\Huh? response:	So you actually read a book for once,
context: But that's who I am!\That's who I am!\Bell-kun!\Bell-kun!\What are you doing?\G-Goddess?\Huh?\So you actually read a book for once, response:	and it put you to sleep, huh?
context: That's who I am!\Bell-kun!\Bell-kun!\What are you doing?\G-Goddess?\Huh?\So you actually read a book for once,\and it put you to sleep, huh? response:	I guess so.
context: Bell-kun!\Bell-kun!\What are you doing?\G-Goddess?\Huh?\So you actually read a book for once,\and it put you to sleep, huh?\I guess so. response:	That's cute.
context: Bell-kun!\What are you doing?\G-Goddess?\Huh?\So you actually read a book for once,\and it put you to sleep, huh?\I guess so.\That's cute. response:	Goddess?
context: What are you doing?\G-Goddess?\Huh?\So you actually read a book for once,\and it put you to sleep, huh?\I guess so.\That's cute.\Goddess? response:	Magic...
context: G-Goddess?\Huh?\So you actually read a book for once,\and it put you to sleep, huh?\I guess so.\That's cute.\Goddess?\Magic... response:	You developed magic!
context: Huh?\So you actually read a book for once,\and it put you to sleep, huh?\I guess so.\That's cute.\Goddess?\Magic...\You developed magic! response:	Wha
context: So you actually read a book for once,\and it put you to sleep, huh?\I guess so.\That's cute.\Goddess?\Magic...\You developed magic!\Wha response:	Goddess?
context: and it put you to sleep, huh?\I guess so.\That's cute.\Goddess?\Magic...\You developed magic!\Wha\Goddess? response:	Firebolt.
context: I guess so.\That's cute.\Goddess?\Magic...\You developed magic!\Wha\Goddess?\Firebolt. response:	I never thought you'd develop magic!
context: That's cute.\Goddess?\Magic...\You developed magic!\Wha\Goddess?\Firebolt.\I never thought you'd develop magic! response:	This is because of that skill, too.
context: Goddess?\Magic...\You developed magic!\Wha\Goddess?\Firebolt.\I never thought you'd develop magic!\This is because of that skill, too. response:	G-Goddess?
context: Magic...\You developed magic!\Wha\Goddess?\Firebolt.\I never thought you'd develop magic!\This is because of that skill, too.\G-Goddess? response:	Magic!
context: You developed magic!\Wha\Goddess?\Firebolt.\I never thought you'd develop magic!\This is because of that skill, too.\G-Goddess?\Magic! response:	Magic!
context: Wha\Goddess?\Firebolt.\I never thought you'd develop magic!\This is because of that skill, too.\G-Goddess?\Magic!\Magic! response:	I can use magic now!
context: Goddess?\Firebolt.\I never thought you'd develop magic!\This is because of that skill, too.\G-Goddess?\Magic!\Magic!\I can use magic now! response:	Bell-kun.
context: Firebolt.\I never thought you'd develop magic!\This is because of that skill, too.\G-Goddess?\Magic!\Magic!\I can use magic now!\Bell-kun. response:	You know you need to chant a spell to use magic, right?
context: I never thought you'd develop magic!\This is because of that skill, too.\G-Goddess?\Magic!\Magic!\I can use magic now!\Bell-kun.\You know you need to chant a spell to use magic, right? response:	Normally, when you first become able to use magic,
context: This is because of that skill, too.\G-Goddess?\Magic!\Magic!\I can use magic now!\Bell-kun.\You know you need to chant a spell to use magic, right?\Normally, when you first become able to use magic, response:	the spell is displayed along with your status.
context: G-Goddess?\Magic!\Magic!\I can use magic now!\Bell-kun.\You know you need to chant a spell to use magic, right?\Normally, when you first become able to use magic,\the spell is displayed along with your status. response:	But in your case,
context: Magic!\Magic!\I can use magic now!\Bell-kun.\You know you need to chant a spell to use magic, right?\Normally, when you first become able to use magic,\the spell is displayed along with your status.\But in your case, response:	there's nothing there except the note Swift-Strike Magic.
context: Magic!\I can use magic now!\Bell-kun.\You know you need to chant a spell to use magic, right?\Normally, when you first become able to use magic,\the spell is displayed along with your status.\But in your case,\there's nothing there except the note Swift-Strike Magic. response:	Yes...
context: I can use magic now!\Bell-kun.\You know you need to chant a spell to use magic, right?\Normally, when you first become able to use magic,\the spell is displayed along with your status.\But in your case,\there's nothing there except the note Swift-Strike Magic.\Yes... response:	My guess is that maybe your magic doesn't need a chant.
context: Bell-kun.\You know you need to chant a spell to use magic, right?\Normally, when you first become able to use magic,\the spell is displayed along with your status.\But in your case,\there's nothing there except the note Swift-Strike Magic.\Yes...\My guess is that maybe your magic doesn't need a chant. response:	Anyway, when you go to the dungeon tomorrow,
context: You know you need to chant a spell to use magic, right?\Normally, when you first become able to use magic,\the spell is displayed along with your status.\But in your case,\there's nothing there except the note Swift-Strike Magic.\Yes...\My guess is that maybe your magic doesn't need a chant.\Anyway, when you go to the dungeon tomorrow, response:	give it a try on something.
context: Normally, when you first become able to use magic,\the spell is displayed along with your status.\But in your case,\there's nothing there except the note Swift-Strike Magic.\Yes...\My guess is that maybe your magic doesn't need a chant.\Anyway, when you go to the dungeon tomorrow,\give it a try on something. response:	Huh? Tomorrow?
context: the spell is displayed along with your status.\But in your case,\there's nothing there except the note Swift-Strike Magic.\Yes...\My guess is that maybe your magic doesn't need a chant.\Anyway, when you go to the dungeon tomorrow,\give it a try on something.\Huh? Tomorrow? response:	Don't worry!
context: But in your case,\there's nothing there except the note Swift-Strike Magic.\Yes...\My guess is that maybe your magic doesn't need a chant.\Anyway, when you go to the dungeon tomorrow,\give it a try on something.\Huh? Tomorrow?\Don't worry! response:	There's no need to rush. Your magic isn't going anywhere!
context: there's nothing there except the note Swift-Strike Magic.\Yes...\My guess is that maybe your magic doesn't need a chant.\Anyway, when you go to the dungeon tomorrow,\give it a try on something.\Huh? Tomorrow?\Don't worry!\There's no need to rush. Your magic isn't going anywhere! response:	I'm sorry, Goddess.
context: Yes...\My guess is that maybe your magic doesn't need a chant.\Anyway, when you go to the dungeon tomorrow,\give it a try on something.\Huh? Tomorrow?\Don't worry!\There's no need to rush. Your magic isn't going anywhere!\I'm sorry, Goddess. response:	I want to use it right now.
context: My guess is that maybe your magic doesn't need a chant.\Anyway, when you go to the dungeon tomorrow,\give it a try on something.\Huh? Tomorrow?\Don't worry!\There's no need to rush. Your magic isn't going anywhere!\I'm sorry, Goddess.\I want to use it right now. response:	Forgive me, fried potatoes!
context: Anyway, when you go to the dungeon tomorrow,\give it a try on something.\Huh? Tomorrow?\Don't worry!\There's no need to rush. Your magic isn't going anywhere!\I'm sorry, Goddess.\I want to use it right now.\Forgive me, fried potatoes! response:	Hephaestus is freshly-cooked!
context: give it a try on something.\Huh? Tomorrow?\Don't worry!\There's no need to rush. Your magic isn't going anywhere!\I'm sorry, Goddess.\I want to use it right now.\Forgive me, fried potatoes!\Hephaestus is freshly-cooked! response:	Firebolt!
context: Huh? Tomorrow?\Don't worry!\There's no need to rush. Your magic isn't going anywhere!\I'm sorry, Goddess.\I want to use it right now.\Forgive me, fried potatoes!\Hephaestus is freshly-cooked!\Firebolt! response:	It worked...
context: Don't worry!\There's no need to rush. Your magic isn't going anywhere!\I'm sorry, Goddess.\I want to use it right now.\Forgive me, fried potatoes!\Hephaestus is freshly-cooked!\Firebolt!\It worked... response:	All right!
context: There's no need to rush. Your magic isn't going anywhere!\I'm sorry, Goddess.\I want to use it right now.\Forgive me, fried potatoes!\Hephaestus is freshly-cooked!\Firebolt!\It worked...\All right! response:	Firebolt!
context: I'm sorry, Goddess.\I want to use it right now.\Forgive me, fried potatoes!\Hephaestus is freshly-cooked!\Firebolt!\It worked...\All right!\Firebolt! response:	Firebolt!
context: I want to use it right now.\Forgive me, fried potatoes!\Hephaestus is freshly-cooked!\Firebolt!\It worked...\All right!\Firebolt!\Firebolt! response:	Firebolt!
context: Forgive me, fried potatoes!\Hephaestus is freshly-cooked!\Firebolt!\It worked...\All right!\Firebolt!\Firebolt!\Firebolt! response:	Firebolt! Firebolt!
context: Hephaestus is freshly-cooked!\Firebolt!\It worked...\All right!\Firebolt!\Firebolt!\Firebolt!\Firebolt! Firebolt! response:	Firebolt! Firebolt! Firebolt! Firebolt!
context: Firebolt!\It worked...\All right!\Firebolt!\Firebolt!\Firebolt!\Firebolt! Firebolt!\Firebolt! Firebolt! Firebolt! Firebolt! response:	Oh, no. I didn't mean to go this far.
context: It worked...\All right!\Firebolt!\Firebolt!\Firebolt!\Firebolt! Firebolt!\Firebolt! Firebolt! Firebolt! Firebolt!\Oh, no. I didn't mean to go this far. response:	I need to get back.
context: All right!\Firebolt!\Firebolt!\Firebolt!\Firebolt! Firebolt!\Firebolt! Firebolt! Firebolt! Firebolt!\Oh, no. I didn't mean to go this far.\I need to get back. response:	When we get back everybody's going to be
context: Firebolt!\Firebolt!\Firebolt!\Firebolt! Firebolt!\Firebolt! Firebolt! Firebolt! Firebolt!\Oh, no. I didn't mean to go this far.\I need to get back.\When we get back everybody's going to be response:	surprised that you defeated a floor boss all by yourself.
context: Firebolt!\Firebolt!\Firebolt! Firebolt!\Firebolt! Firebolt! Firebolt! Firebolt!\Oh, no. I didn't mean to go this far.\I need to get back.\When we get back everybody's going to be\surprised that you defeated a floor boss all by yourself. response:	Mind down, it looks like.
context: Firebolt!\Firebolt! Firebolt!\Firebolt! Firebolt! Firebolt! Firebolt!\Oh, no. I didn't mean to go this far.\I need to get back.\When we get back everybody's going to be\surprised that you defeated a floor boss all by yourself.\Mind down, it looks like. response:	He used too much magic without thinking about it.
context: Firebolt! Firebolt!\Firebolt! Firebolt! Firebolt! Firebolt!\Oh, no. I didn't mean to go this far.\I need to get back.\When we get back everybody's going to be\surprised that you defeated a floor boss all by yourself.\Mind down, it looks like.\He used too much magic without thinking about it. response:	That kid...
context: Firebolt! Firebolt! Firebolt! Firebolt!\Oh, no. I didn't mean to go this far.\I need to get back.\When we get back everybody's going to be\surprised that you defeated a floor boss all by yourself.\Mind down, it looks like.\He used too much magic without thinking about it.\That kid... response:	What, you know him, Aiz?
context: Oh, no. I didn't mean to go this far.\I need to get back.\When we get back everybody's going to be\surprised that you defeated a floor boss all by yourself.\Mind down, it looks like.\He used too much magic without thinking about it.\That kid...\What, you know him, Aiz? response:	I've never spoken to him myself.
context: I need to get back.\When we get back everybody's going to be\surprised that you defeated a floor boss all by yourself.\Mind down, it looks like.\He used too much magic without thinking about it.\That kid...\What, you know him, Aiz?\I've never spoken to him myself. response:	Um, but when that thing happened with the minotaur...
context: When we get back everybody's going to be\surprised that you defeated a floor boss all by yourself.\Mind down, it looks like.\He used too much magic without thinking about it.\That kid...\What, you know him, Aiz?\I've never spoken to him myself.\Um, but when that thing happened with the minotaur... response:	I see.
context: surprised that you defeated a floor boss all by yourself.\Mind down, it looks like.\He used too much magic without thinking about it.\That kid...\What, you know him, Aiz?\I've never spoken to him myself.\Um, but when that thing happened with the minotaur...\I see. response:	He was the kid who got caught up in our mistake, huh?
context: Mind down, it looks like.\He used too much magic without thinking about it.\That kid...\What, you know him, Aiz?\I've never spoken to him myself.\Um, but when that thing happened with the minotaur...\I see.\He was the kid who got caught up in our mistake, huh? response:	Riveria, I want to make it up to him.
context: He used too much magic without thinking about it.\That kid...\What, you know him, Aiz?\I've never spoken to him myself.\Um, but when that thing happened with the minotaur...\I see.\He was the kid who got caught up in our mistake, huh?\Riveria, I want to make it up to him. response:	Do what I just said.
context: That kid...\What, you know him, Aiz?\I've never spoken to him myself.\Um, but when that thing happened with the minotaur...\I see.\He was the kid who got caught up in our mistake, huh?\Riveria, I want to make it up to him.\Do what I just said. response:	That's more than enough to atone.
context: What, you know him, Aiz?\I've never spoken to him myself.\Um, but when that thing happened with the minotaur...\I see.\He was the kid who got caught up in our mistake, huh?\Riveria, I want to make it up to him.\Do what I just said.\That's more than enough to atone. response:	Is that enough?
context: I've never spoken to him myself.\Um, but when that thing happened with the minotaur...\I see.\He was the kid who got caught up in our mistake, huh?\Riveria, I want to make it up to him.\Do what I just said.\That's more than enough to atone.\Is that enough? response:	Yeah.
context: Um, but when that thing happened with the minotaur...\I see.\He was the kid who got caught up in our mistake, huh?\Riveria, I want to make it up to him.\Do what I just said.\That's more than enough to atone.\Is that enough?\Yeah. response:	I'll be going back ahead of you.
context: I see.\He was the kid who got caught up in our mistake, huh?\Riveria, I want to make it up to him.\Do what I just said.\That's more than enough to atone.\Is that enough?\Yeah.\I'll be going back ahead of you. response:	Mom...
context: He was the kid who got caught up in our mistake, huh?\Riveria, I want to make it up to him.\Do what I just said.\That's more than enough to atone.\Is that enough?\Yeah.\I'll be going back ahead of you.\Mom... response:	Sorry.
context: Riveria, I want to make it up to him.\Do what I just said.\That's more than enough to atone.\Is that enough?\Yeah.\I'll be going back ahead of you.\Mom...\Sorry. response:	I'm not your mother.
context: Do what I just said.\That's more than enough to atone.\Is that enough?\Yeah.\I'll be going back ahead of you.\Mom...\Sorry.\I'm not your mother. response:	Am I hallucinating?
context: That's more than enough to atone.\Is that enough?\Yeah.\I'll be going back ahead of you.\Mom...\Sorry.\I'm not your mother.\Am I hallucinating? response:	You're not.
context: Is that enough?\Yeah.\I'll be going back ahead of you.\Mom...\Sorry.\I'm not your mother.\Am I hallucinating?\You're not. response:	Why does he always run away?
context: Yeah.\I'll be going back ahead of you.\Mom...\Sorry.\I'm not your mother.\Am I hallucinating?\You're not.\Why does he always run away? response:	I-I ran away again...
context: I'll be going back ahead of you.\Mom...\Sorry.\I'm not your mother.\Am I hallucinating?\You're not.\Why does he always run away?\I-I ran away again... response:	I'm so dumb!
context: Mom...\Sorry.\I'm not your mother.\Am I hallucinating?\You're not.\Why does he always run away?\I-I ran away again...\I'm so dumb! response:	What's wrong, Bell-kun?
context: Sorry.\I'm not your mother.\Am I hallucinating?\You're not.\Why does he always run away?\I-I ran away again...\I'm so dumb!\What's wrong, Bell-kun? response:	Did you have a bad dream?
context: I'm not your mother.\Am I hallucinating?\You're not.\Why does he always run away?\I-I ran away again...\I'm so dumb!\What's wrong, Bell-kun?\Did you have a bad dream? response:	Think it's because of this book you read yesterday?
context: Am I hallucinating?\You're not.\Why does he always run away?\I-I ran away again...\I'm so dumb!\What's wrong, Bell-kun?\Did you have a bad dream?\Think it's because of this book you read yesterday? response:	A grimoire?
context: You're not.\Why does he always run away?\I-I ran away again...\I'm so dumb!\What's wrong, Bell-kun?\Did you have a bad dream?\Think it's because of this book you read yesterday?\A grimoire? response:	Yes.
context: Why does he always run away?\I-I ran away again...\I'm so dumb!\What's wrong, Bell-kun?\Did you have a bad dream?\Think it's because of this book you read yesterday?\A grimoire?\Yes. response:	A book that lets you use magic as appropriate
context: I-I ran away again...\I'm so dumb!\What's wrong, Bell-kun?\Did you have a bad dream?\Think it's because of this book you read yesterday?\A grimoire?\Yes.\A book that lets you use magic as appropriate response:	to your latent ability when read.
