context: You left the Wulgaru to deliver that information to Earth? response:	We meet again!
context: We had just barely completed them in time.\Currently, these two assist\the MJP by serving as something akin to technology consultants.\Naturally, only a select few individuals are privy to such information.\However, there is a reason why\we have decided to make an exception and divulge this information to you.\We have already showed you the\footage from when Red 5 fought a Wulgaru fighter. response:	This duel was amusing.
context: Currently, these two assist\the MJP by serving as something akin to technology consultants.\Naturally, only a select few individuals are privy to such information.\However, there is a reason why\we have decided to make an exception and divulge this information to you.\We have already showed you the\footage from when Red 5 fought a Wulgaru fighter.\This duel was amusing. response:	Let us fight again, primitive creature!
context: the MJP by serving as something akin to technology consultants.\Naturally, only a select few individuals are privy to such information.\However, there is a reason why\we have decided to make an exception and divulge this information to you.\We have already showed you the\footage from when Red 5 fought a Wulgaru fighter.\This duel was amusing.\Let us fight again, primitive creature! response:	Primitive creature?!
context: Naturally, only a select few individuals are privy to such information.\However, there is a reason why\we have decided to make an exception and divulge this information to you.\We have already showed you the\footage from when Red 5 fought a Wulgaru fighter.\This duel was amusing.\Let us fight again, primitive creature!\Primitive creature?! response:	Is that how you guys refer to us?!
context: However, there is a reason why\we have decided to make an exception and divulge this information to you.\We have already showed you the\footage from when Red 5 fought a Wulgaru fighter.\This duel was amusing.\Let us fight again, primitive creature!\Primitive creature?!\Is that how you guys refer to us?! response:	It would seem that he has identified Red 5's pilot as his target.
context: we have decided to make an exception and divulge this information to you.\We have already showed you the\footage from when Red 5 fought a Wulgaru fighter.\This duel was amusing.\Let us fight again, primitive creature!\Primitive creature?!\Is that how you guys refer to us?!\It would seem that he has identified Red 5's pilot as his target. response:	Me?!
context: We have already showed you the\footage from when Red 5 fought a Wulgaru fighter.\This duel was amusing.\Let us fight again, primitive creature!\Primitive creature?!\Is that how you guys refer to us?!\It would seem that he has identified Red 5's pilot as his target.\Me?! response:	That isn't all.
context: footage from when Red 5 fought a Wulgaru fighter.\This duel was amusing.\Let us fight again, primitive creature!\Primitive creature?!\Is that how you guys refer to us?!\It would seem that he has identified Red 5's pilot as his target.\Me?!\That isn't all. response:	The only ones who fought on par with
context: This duel was amusing.\Let us fight again, primitive creature!\Primitive creature?!\Is that how you guys refer to us?!\It would seem that he has identified Red 5's pilot as his target.\Me?!\That isn't all.\The only ones who fought on par with response:	the Wulgaru during the Battle of Ceres
context: Let us fight again, primitive creature!\Primitive creature?!\Is that how you guys refer to us?!\It would seem that he has identified Red 5's pilot as his target.\Me?!\That isn't all.\The only ones who fought on par with\the Wulgaru during the Battle of Ceres response:	were those of you piloting AHSMB units.
context: Primitive creature?!\Is that how you guys refer to us?!\It would seem that he has identified Red 5's pilot as his target.\Me?!\That isn't all.\The only ones who fought on par with\the Wulgaru during the Battle of Ceres\were those of you piloting AHSMB units. response:	There is a possibility that the Wulgaru have already
context: Is that how you guys refer to us?!\It would seem that he has identified Red 5's pilot as his target.\Me?!\That isn't all.\The only ones who fought on par with\the Wulgaru during the Battle of Ceres\were those of you piloting AHSMB units.\There is a possibility that the Wulgaru have already response:	marked each of you as superior prey.
context: It would seem that he has identified Red 5's pilot as his target.\Me?!\That isn't all.\The only ones who fought on par with\the Wulgaru during the Battle of Ceres\were those of you piloting AHSMB units.\There is a possibility that the Wulgaru have already\marked each of you as superior prey. response:	We had expected that something like this may happen.
context: Me?!\That isn't all.\The only ones who fought on par with\the Wulgaru during the Battle of Ceres\were those of you piloting AHSMB units.\There is a possibility that the Wulgaru have already\marked each of you as superior prey.\We had expected that something like this may happen. response:	After all, the Wulgaru's primary goal is to harvest excellent genes.
context: That isn't all.\The only ones who fought on par with\the Wulgaru during the Battle of Ceres\were those of you piloting AHSMB units.\There is a possibility that the Wulgaru have already\marked each of you as superior prey.\We had expected that something like this may happen.\After all, the Wulgaru's primary goal is to harvest excellent genes. response:	As you already know, Earth suffered heavy
context: The only ones who fought on par with\the Wulgaru during the Battle of Ceres\were those of you piloting AHSMB units.\There is a possibility that the Wulgaru have already\marked each of you as superior prey.\We had expected that something like this may happen.\After all, the Wulgaru's primary goal is to harvest excellent genes.\As you already know, Earth suffered heavy response:	losses during the Battle of Ceres.
context: the Wulgaru during the Battle of Ceres\were those of you piloting AHSMB units.\There is a possibility that the Wulgaru have already\marked each of you as superior prey.\We had expected that something like this may happen.\After all, the Wulgaru's primary goal is to harvest excellent genes.\As you already know, Earth suffered heavy\losses during the Battle of Ceres. response:	Henceforth, Team Rabbits will inevitably play a pivotal
context: were those of you piloting AHSMB units.\There is a possibility that the Wulgaru have already\marked each of you as superior prey.\We had expected that something like this may happen.\After all, the Wulgaru's primary goal is to harvest excellent genes.\As you already know, Earth suffered heavy\losses during the Battle of Ceres.\Henceforth, Team Rabbits will inevitably play a pivotal response:	role in an increasing number of battles.
context: There is a possibility that the Wulgaru have already\marked each of you as superior prey.\We had expected that something like this may happen.\After all, the Wulgaru's primary goal is to harvest excellent genes.\As you already know, Earth suffered heavy\losses during the Battle of Ceres.\Henceforth, Team Rabbits will inevitably play a pivotal\role in an increasing number of battles. response:	In such events, we will incorporate how the Wulgaru
context: marked each of you as superior prey.\We had expected that something like this may happen.\After all, the Wulgaru's primary goal is to harvest excellent genes.\As you already know, Earth suffered heavy\losses during the Battle of Ceres.\Henceforth, Team Rabbits will inevitably play a pivotal\role in an increasing number of battles.\In such events, we will incorporate how the Wulgaru response:	will target the five of you into the plan.
context: We had expected that something like this may happen.\After all, the Wulgaru's primary goal is to harvest excellent genes.\As you already know, Earth suffered heavy\losses during the Battle of Ceres.\Henceforth, Team Rabbits will inevitably play a pivotal\role in an increasing number of battles.\In such events, we will incorporate how the Wulgaru\will target the five of you into the plan. response:	In other words, we'll serve as your decoys.
context: After all, the Wulgaru's primary goal is to harvest excellent genes.\As you already know, Earth suffered heavy\losses during the Battle of Ceres.\Henceforth, Team Rabbits will inevitably play a pivotal\role in an increasing number of battles.\In such events, we will incorporate how the Wulgaru\will target the five of you into the plan.\In other words, we'll serve as your decoys. response:	That is a distinct possibility.
context: As you already know, Earth suffered heavy\losses during the Battle of Ceres.\Henceforth, Team Rabbits will inevitably play a pivotal\role in an increasing number of battles.\In such events, we will incorporate how the Wulgaru\will target the five of you into the plan.\In other words, we'll serve as your decoys.\That is a distinct possibility. response:	You must be psychologically prepared for whatever comes!
context: losses during the Battle of Ceres.\Henceforth, Team Rabbits will inevitably play a pivotal\role in an increasing number of battles.\In such events, we will incorporate how the Wulgaru\will target the five of you into the plan.\In other words, we'll serve as your decoys.\That is a distinct possibility.\You must be psychologically prepared for whatever comes! response:	That is why we decided to explain the situation.
context: Henceforth, Team Rabbits will inevitably play a pivotal\role in an increasing number of battles.\In such events, we will incorporate how the Wulgaru\will target the five of you into the plan.\In other words, we'll serve as your decoys.\That is a distinct possibility.\You must be psychologically prepared for whatever comes!\That is why we decided to explain the situation. response:	Earth views you as our trump cards!
context: role in an increasing number of battles.\In such events, we will incorporate how the Wulgaru\will target the five of you into the plan.\In other words, we'll serve as your decoys.\That is a distinct possibility.\You must be psychologically prepared for whatever comes!\That is why we decided to explain the situation.\Earth views you as our trump cards! response:	We won't send you on reckless missions if we don't have to.
context: In such events, we will incorporate how the Wulgaru\will target the five of you into the plan.\In other words, we'll serve as your decoys.\That is a distinct possibility.\You must be psychologically prepared for whatever comes!\That is why we decided to explain the situation.\Earth views you as our trump cards!\We won't send you on reckless missions if we don't have to. response:	There is an emergency! I will leave the rest to you.
context: will target the five of you into the plan.\In other words, we'll serve as your decoys.\That is a distinct possibility.\You must be psychologically prepared for whatever comes!\That is why we decided to explain the situation.\Earth views you as our trump cards!\We won't send you on reckless missions if we don't have to.\There is an emergency! I will leave the rest to you. response:	Sir!
context: In other words, we'll serve as your decoys.\That is a distinct possibility.\You must be psychologically prepared for whatever comes!\That is why we decided to explain the situation.\Earth views you as our trump cards!\We won't send you on reckless missions if we don't have to.\There is an emergency! I will leave the rest to you.\Sir! response:	Do you have any questions?
context: That is a distinct possibility.\You must be psychologically prepared for whatever comes!\That is why we decided to explain the situation.\Earth views you as our trump cards!\We won't send you on reckless missions if we don't have to.\There is an emergency! I will leave the rest to you.\Sir!\Do you have any questions? response:	Ma'am, I heard that you're going to expand the AHSMB team.
context: You must be psychologically prepared for whatever comes!\That is why we decided to explain the situation.\Earth views you as our trump cards!\We won't send you on reckless missions if we don't have to.\There is an emergency! I will leave the rest to you.\Sir!\Do you have any questions?\Ma'am, I heard that you're going to expand the AHSMB team. response:	How far is that plan in the works?
context: That is why we decided to explain the situation.\Earth views you as our trump cards!\We won't send you on reckless missions if we don't have to.\There is an emergency! I will leave the rest to you.\Sir!\Do you have any questions?\Ma'am, I heard that you're going to expand the AHSMB team.\How far is that plan in the works? response:	I can't answer that. Anything else?
context: Earth views you as our trump cards!\We won't send you on reckless missions if we don't have to.\There is an emergency! I will leave the rest to you.\Sir!\Do you have any questions?\Ma'am, I heard that you're going to expand the AHSMB team.\How far is that plan in the works?\I can't answer that. Anything else? response:	When should we expect to get sent on another mission?
context: We won't send you on reckless missions if we don't have to.\There is an emergency! I will leave the rest to you.\Sir!\Do you have any questions?\Ma'am, I heard that you're going to expand the AHSMB team.\How far is that plan in the works?\I can't answer that. Anything else?\When should we expect to get sent on another mission? response:	That's undetermined. Anything else?
context: There is an emergency! I will leave the rest to you.\Sir!\Do you have any questions?\Ma'am, I heard that you're going to expand the AHSMB team.\How far is that plan in the works?\I can't answer that. Anything else?\When should we expect to get sent on another mission?\That's undetermined. Anything else? response:	Me, me, me!
context: Sir!\Do you have any questions?\Ma'am, I heard that you're going to expand the AHSMB team.\How far is that plan in the works?\I can't answer that. Anything else?\When should we expect to get sent on another mission?\That's undetermined. Anything else?\Me, me, me! response:	Master Daneel, what do you think of human girls?
context: Do you have any questions?\Ma'am, I heard that you're going to expand the AHSMB team.\How far is that plan in the works?\I can't answer that. Anything else?\When should we expect to get sent on another mission?\That's undetermined. Anything else?\Me, me, me!\Master Daneel, what do you think of human girls? response:	Tamaki!
context: Ma'am, I heard that you're going to expand the AHSMB team.\How far is that plan in the works?\I can't answer that. Anything else?\When should we expect to get sent on another mission?\That's undetermined. Anything else?\Me, me, me!\Master Daneel, what do you think of human girls?\Tamaki! response:	I am incapable of answering that question.
context: How far is that plan in the works?\I can't answer that. Anything else?\When should we expect to get sent on another mission?\That's undetermined. Anything else?\Me, me, me!\Master Daneel, what do you think of human girls?\Tamaki!\I am incapable of answering that question. response:	What?!
context: I can't answer that. Anything else?\When should we expect to get sent on another mission?\That's undetermined. Anything else?\Me, me, me!\Master Daneel, what do you think of human girls?\Tamaki!\I am incapable of answering that question.\What?! response:	For you see, I have hardly interacted with the people of Earth.
context: When should we expect to get sent on another mission?\That's undetermined. Anything else?\Me, me, me!\Master Daneel, what do you think of human girls?\Tamaki!\I am incapable of answering that question.\What?!\For you see, I have hardly interacted with the people of Earth. response:	That means it's up to me to win you over, right?
context: That's undetermined. Anything else?\Me, me, me!\Master Daneel, what do you think of human girls?\Tamaki!\I am incapable of answering that question.\What?!\For you see, I have hardly interacted with the people of Earth.\That means it's up to me to win you over, right? response:	Um, do the Wulgaru know that you and Daneel are here on Earth?
context: Me, me, me!\Master Daneel, what do you think of human girls?\Tamaki!\I am incapable of answering that question.\What?!\For you see, I have hardly interacted with the people of Earth.\That means it's up to me to win you over, right?\Um, do the Wulgaru know that you and Daneel are here on Earth? response:	Most likely.
context: Master Daneel, what do you think of human girls?\Tamaki!\I am incapable of answering that question.\What?!\For you see, I have hardly interacted with the people of Earth.\That means it's up to me to win you over, right?\Um, do the Wulgaru know that you and Daneel are here on Earth?\Most likely. response:	Then what happened to your mother, Teoria?
context: Tamaki!\I am incapable of answering that question.\What?!\For you see, I have hardly interacted with the people of Earth.\That means it's up to me to win you over, right?\Um, do the Wulgaru know that you and Daneel are here on Earth?\Most likely.\Then what happened to your mother, Teoria? response:	I don't know.
context: I am incapable of answering that question.\What?!\For you see, I have hardly interacted with the people of Earth.\That means it's up to me to win you over, right?\Um, do the Wulgaru know that you and Daneel are here on Earth?\Most likely.\Then what happened to your mother, Teoria?\I don't know. response:	I hope that she has escaped harm's way...
context: What?!\For you see, I have hardly interacted with the people of Earth.\That means it's up to me to win you over, right?\Um, do the Wulgaru know that you and Daneel are here on Earth?\Most likely.\Then what happened to your mother, Teoria?\I don't know.\I hope that she has escaped harm's way... response:	May I ask something?
context: For you see, I have hardly interacted with the people of Earth.\That means it's up to me to win you over, right?\Um, do the Wulgaru know that you and Daneel are here on Earth?\Most likely.\Then what happened to your mother, Teoria?\I don't know.\I hope that she has escaped harm's way...\May I ask something? response:	Certainly.
context: That means it's up to me to win you over, right?\Um, do the Wulgaru know that you and Daneel are here on Earth?\Most likely.\Then what happened to your mother, Teoria?\I don't know.\I hope that she has escaped harm's way...\May I ask something?\Certainly. response:	Who was the pilot in the video that fought against Izuru?
context: Um, do the Wulgaru know that you and Daneel are here on Earth?\Most likely.\Then what happened to your mother, Teoria?\I don't know.\I hope that she has escaped harm's way...\May I ask something?\Certainly.\Who was the pilot in the video that fought against Izuru? response:	Lady Teoria!
context: Most likely.\Then what happened to your mother, Teoria?\I don't know.\I hope that she has escaped harm's way...\May I ask something?\Certainly.\Who was the pilot in the video that fought against Izuru?\Lady Teoria! response:	Jiart.
context: Then what happened to your mother, Teoria?\I don't know.\I hope that she has escaped harm's way...\May I ask something?\Certainly.\Who was the pilot in the video that fought against Izuru?\Lady Teoria!\Jiart. response:	Jiart?
context: I don't know.\I hope that she has escaped harm's way...\May I ask something?\Certainly.\Who was the pilot in the video that fought against Izuru?\Lady Teoria!\Jiart.\Jiart? response:	Yes, his name is Jiart.
context: I hope that she has escaped harm's way...\May I ask something?\Certainly.\Who was the pilot in the video that fought against Izuru?\Lady Teoria!\Jiart.\Jiart?\Yes, his name is Jiart. response:	He resembles you a great deal, Teoria.
context: May I ask something?\Certainly.\Who was the pilot in the video that fought against Izuru?\Lady Teoria!\Jiart.\Jiart?\Yes, his name is Jiart.\He resembles you a great deal, Teoria. response:	Is that right?
context: Certainly.\Who was the pilot in the video that fought against Izuru?\Lady Teoria!\Jiart.\Jiart?\Yes, his name is Jiart.\He resembles you a great deal, Teoria.\Is that right? response:	E-excuse me!
context: Who was the pilot in the video that fought against Izuru?\Lady Teoria!\Jiart.\Jiart?\Yes, his name is Jiart.\He resembles you a great deal, Teoria.\Is that right?\E-excuse me! response:	Um, we don't remember our pasts.
context: Lady Teoria!\Jiart.\Jiart?\Yes, his name is Jiart.\He resembles you a great deal, Teoria.\Is that right?\E-excuse me!\Um, we don't remember our pasts. response:	So why do I remember you, Teoria?
context: Jiart.\Jiart?\Yes, his name is Jiart.\He resembles you a great deal, Teoria.\Is that right?\E-excuse me!\Um, we don't remember our pasts.\So why do I remember you, Teoria? response:	You and I were once very close.
context: Jiart?\Yes, his name is Jiart.\He resembles you a great deal, Teoria.\Is that right?\E-excuse me!\Um, we don't remember our pasts.\So why do I remember you, Teoria?\You and I were once very close. response:	In fact, you could say that we were friends.
context: Yes, his name is Jiart.\He resembles you a great deal, Teoria.\Is that right?\E-excuse me!\Um, we don't remember our pasts.\So why do I remember you, Teoria?\You and I were once very close.\In fact, you could say that we were friends. response:	S-so-
context: He resembles you a great deal, Teoria.\Is that right?\E-excuse me!\Um, we don't remember our pasts.\So why do I remember you, Teoria?\You and I were once very close.\In fact, you could say that we were friends.\S-so- response:	We have offered you our technology,
context: Is that right?\E-excuse me!\Um, we don't remember our pasts.\So why do I remember you, Teoria?\You and I were once very close.\In fact, you could say that we were friends.\S-so-\We have offered you our technology, response:	but we cannot answer questions that stray from that topic.
context: E-excuse me!\Um, we don't remember our pasts.\So why do I remember you, Teoria?\You and I were once very close.\In fact, you could say that we were friends.\S-so-\We have offered you our technology,\but we cannot answer questions that stray from that topic. response:	The amount of information Lady Teoria offers depends
context: Um, we don't remember our pasts.\So why do I remember you, Teoria?\You and I were once very close.\In fact, you could say that we were friends.\S-so-\We have offered you our technology,\but we cannot answer questions that stray from that topic.\The amount of information Lady Teoria offers depends response:	on the scope of her freedom and rights.
context: So why do I remember you, Teoria?\You and I were once very close.\In fact, you could say that we were friends.\S-so-\We have offered you our technology,\but we cannot answer questions that stray from that topic.\The amount of information Lady Teoria offers depends\on the scope of her freedom and rights. response:	I'm sorry.
context: You and I were once very close.\In fact, you could say that we were friends.\S-so-\We have offered you our technology,\but we cannot answer questions that stray from that topic.\The amount of information Lady Teoria offers depends\on the scope of her freedom and rights.\I'm sorry. response:	When I am allowed to say more, let's have a nice long talk.
context: In fact, you could say that we were friends.\S-so-\We have offered you our technology,\but we cannot answer questions that stray from that topic.\The amount of information Lady Teoria offers depends\on the scope of her freedom and rights.\I'm sorry.\When I am allowed to say more, let's have a nice long talk. response:	I'll be looking forward to when that time comes, Izuru.
context: S-so-\We have offered you our technology,\but we cannot answer questions that stray from that topic.\The amount of information Lady Teoria offers depends\on the scope of her freedom and rights.\I'm sorry.\When I am allowed to say more, let's have a nice long talk.\I'll be looking forward to when that time comes, Izuru. response:	So?!
context: We have offered you our technology,\but we cannot answer questions that stray from that topic.\The amount of information Lady Teoria offers depends\on the scope of her freedom and rights.\I'm sorry.\When I am allowed to say more, let's have a nice long talk.\I'll be looking forward to when that time comes, Izuru.\So?! response:	Why, pray tell, is everyone in my room?!
context: but we cannot answer questions that stray from that topic.\The amount of information Lady Teoria offers depends\on the scope of her freedom and rights.\I'm sorry.\When I am allowed to say more, let's have a nice long talk.\I'll be looking forward to when that time comes, Izuru.\So?!\Why, pray tell, is everyone in my room?! response:	It's not fair if everyone always gathers in my room.
context: The amount of information Lady Teoria offers depends\on the scope of her freedom and rights.\I'm sorry.\When I am allowed to say more, let's have a nice long talk.\I'll be looking forward to when that time comes, Izuru.\So?!\Why, pray tell, is everyone in my room?!\It's not fair if everyone always gathers in my room. response:	I don't like letting people in my room.
context: on the scope of her freedom and rights.\I'm sorry.\When I am allowed to say more, let's have a nice long talk.\I'll be looking forward to when that time comes, Izuru.\So?!\Why, pray tell, is everyone in my room?!\It's not fair if everyone always gathers in my room.\I don't like letting people in my room. response:	Isn't your room one huge mess?
context: I'm sorry.\When I am allowed to say more, let's have a nice long talk.\I'll be looking forward to when that time comes, Izuru.\So?!\Why, pray tell, is everyone in my room?!\It's not fair if everyone always gathers in my room.\I don't like letting people in my room.\Isn't your room one huge mess? response:	How did you know?!
context: When I am allowed to say more, let's have a nice long talk.\I'll be looking forward to when that time comes, Izuru.\So?!\Why, pray tell, is everyone in my room?!\It's not fair if everyone always gathers in my room.\I don't like letting people in my room.\Isn't your room one huge mess?\How did you know?! response:	Did you sneak inside?
context: I'll be looking forward to when that time comes, Izuru.\So?!\Why, pray tell, is everyone in my room?!\It's not fair if everyone always gathers in my room.\I don't like letting people in my room.\Isn't your room one huge mess?\How did you know?!\Did you sneak inside? response:	I knew without having to go inside!
context: So?!\Why, pray tell, is everyone in my room?!\It's not fair if everyone always gathers in my room.\I don't like letting people in my room.\Isn't your room one huge mess?\How did you know?!\Did you sneak inside?\I knew without having to go inside! response:	Suruga, you perv! You're totally a peeping Tom!
context: Why, pray tell, is everyone in my room?!\It's not fair if everyone always gathers in my room.\I don't like letting people in my room.\Isn't your room one huge mess?\How did you know?!\Did you sneak inside?\I knew without having to go inside!\Suruga, you perv! You're totally a peeping Tom! response:	Pipe down!
context: It's not fair if everyone always gathers in my room.\I don't like letting people in my room.\Isn't your room one huge mess?\How did you know?!\Did you sneak inside?\I knew without having to go inside!\Suruga, you perv! You're totally a peeping Tom!\Pipe down! response:	I'm still trying to sort out everything they told us.
context: I don't like letting people in my room.\Isn't your room one huge mess?\How did you know?!\Did you sneak inside?\I knew without having to go inside!\Suruga, you perv! You're totally a peeping Tom!\Pipe down!\I'm still trying to sort out everything they told us. response:	No wonder Earthlings and the Wulgaru look alike, huh?
context: Isn't your room one huge mess?\How did you know?!\Did you sneak inside?\I knew without having to go inside!\Suruga, you perv! You're totally a peeping Tom!\Pipe down!\I'm still trying to sort out everything they told us.\No wonder Earthlings and the Wulgaru look alike, huh? response:	We both originated from the same gene pool.
context: How did you know?!\Did you sneak inside?\I knew without having to go inside!\Suruga, you perv! You're totally a peeping Tom!\Pipe down!\I'm still trying to sort out everything they told us.\No wonder Earthlings and the Wulgaru look alike, huh?\We both originated from the same gene pool. response:	He called us primitive creatures!
context: Did you sneak inside?\I knew without having to go inside!\Suruga, you perv! You're totally a peeping Tom!\Pipe down!\I'm still trying to sort out everything they told us.\No wonder Earthlings and the Wulgaru look alike, huh?\We both originated from the same gene pool.\He called us primitive creatures! response:	That's not even funny!
context: I knew without having to go inside!\Suruga, you perv! You're totally a peeping Tom!\Pipe down!\I'm still trying to sort out everything they told us.\No wonder Earthlings and the Wulgaru look alike, huh?\We both originated from the same gene pool.\He called us primitive creatures!\That's not even funny! response:	The battles will be going uphill from here.
context: Suruga, you perv! You're totally a peeping Tom!\Pipe down!\I'm still trying to sort out everything they told us.\No wonder Earthlings and the Wulgaru look alike, huh?\We both originated from the same gene pool.\He called us primitive creatures!\That's not even funny!\The battles will be going uphill from here. response:	I hope the supplemental AHSMB teams are ready in time...
context: Pipe down!\I'm still trying to sort out everything they told us.\No wonder Earthlings and the Wulgaru look alike, huh?\We both originated from the same gene pool.\He called us primitive creatures!\That's not even funny!\The battles will be going uphill from here.\I hope the supplemental AHSMB teams are ready in time... response:	Team Rabbits.
context: I'm still trying to sort out everything they told us.\No wonder Earthlings and the Wulgaru look alike, huh?\We both originated from the same gene pool.\He called us primitive creatures!\That's not even funny!\The battles will be going uphill from here.\I hope the supplemental AHSMB teams are ready in time...\Team Rabbits. response:	I think I finally get why they named us that of all things.
context: No wonder Earthlings and the Wulgaru look alike, huh?\We both originated from the same gene pool.\He called us primitive creatures!\That's not even funny!\The battles will be going uphill from here.\I hope the supplemental AHSMB teams are ready in time...\Team Rabbits.\I think I finally get why they named us that of all things. response:	Rabbits...
context: We both originated from the same gene pool.\He called us primitive creatures!\That's not even funny!\The battles will be going uphill from here.\I hope the supplemental AHSMB teams are ready in time...\Team Rabbits.\I think I finally get why they named us that of all things.\Rabbits... response:	We were literally rabbits being used in some experiment!
context: He called us primitive creatures!\That's not even funny!\The battles will be going uphill from here.\I hope the supplemental AHSMB teams are ready in time...\Team Rabbits.\I think I finally get why they named us that of all things.\Rabbits...\We were literally rabbits being used in some experiment! response:	It's okay if we're rabbits.
context: That's not even funny!\The battles will be going uphill from here.\I hope the supplemental AHSMB teams are ready in time...\Team Rabbits.\I think I finally get why they named us that of all things.\Rabbits...\We were literally rabbits being used in some experiment!\It's okay if we're rabbits. response:	But we won't go down without a fight.
context: The battles will be going uphill from here.\I hope the supplemental AHSMB teams are ready in time...\Team Rabbits.\I think I finally get why they named us that of all things.\Rabbits...\We were literally rabbits being used in some experiment!\It's okay if we're rabbits.\But we won't go down without a fight. response:	What the Wulgaru are doing is wrong!
context: I hope the supplemental AHSMB teams are ready in time...\Team Rabbits.\I think I finally get why they named us that of all things.\Rabbits...\We were literally rabbits being used in some experiment!\It's okay if we're rabbits.\But we won't go down without a fight.\What the Wulgaru are doing is wrong! response:	I can't believe they're hunting humans for their own survival!
context: Team Rabbits.\I think I finally get why they named us that of all things.\Rabbits...\We were literally rabbits being used in some experiment!\It's okay if we're rabbits.\But we won't go down without a fight.\What the Wulgaru are doing is wrong!\I can't believe they're hunting humans for their own survival! response:	We can't lose to people like that!
context: I think I finally get why they named us that of all things.\Rabbits...\We were literally rabbits being used in some experiment!\It's okay if we're rabbits.\But we won't go down without a fight.\What the Wulgaru are doing is wrong!\I can't believe they're hunting humans for their own survival!\We can't lose to people like that! response:	But that enemy fighter named Jiart is after you, Izuru.
context: Rabbits...\We were literally rabbits being used in some experiment!\It's okay if we're rabbits.\But we won't go down without a fight.\What the Wulgaru are doing is wrong!\I can't believe they're hunting humans for their own survival!\We can't lose to people like that!\But that enemy fighter named Jiart is after you, Izuru. response:	I'll be fine! I can win!
context: We were literally rabbits being used in some experiment!\It's okay if we're rabbits.\But we won't go down without a fight.\What the Wulgaru are doing is wrong!\I can't believe they're hunting humans for their own survival!\We can't lose to people like that!\But that enemy fighter named Jiart is after you, Izuru.\I'll be fine! I can win! response:	I've gotta live up to the expectations of the lady who
context: It's okay if we're rabbits.\But we won't go down without a fight.\What the Wulgaru are doing is wrong!\I can't believe they're hunting humans for their own survival!\We can't lose to people like that!\But that enemy fighter named Jiart is after you, Izuru.\I'll be fine! I can win!\I've gotta live up to the expectations of the lady who response:	has braved such danger just to save us!
context: But we won't go down without a fight.\What the Wulgaru are doing is wrong!\I can't believe they're hunting humans for their own survival!\We can't lose to people like that!\But that enemy fighter named Jiart is after you, Izuru.\I'll be fine! I can win!\I've gotta live up to the expectations of the lady who\has braved such danger just to save us! response:	That's what it means to be a hero!
context: What the Wulgaru are doing is wrong!\I can't believe they're hunting humans for their own survival!\We can't lose to people like that!\But that enemy fighter named Jiart is after you, Izuru.\I'll be fine! I can win!\I've gotta live up to the expectations of the lady who\has braved such danger just to save us!\That's what it means to be a hero! response:	Hear, hear!
context: I can't believe they're hunting humans for their own survival!\We can't lose to people like that!\But that enemy fighter named Jiart is after you, Izuru.\I'll be fine! I can win!\I've gotta live up to the expectations of the lady who\has braved such danger just to save us!\That's what it means to be a hero!\Hear, hear! response:	If I work hard enough,
context: We can't lose to people like that!\But that enemy fighter named Jiart is after you, Izuru.\I'll be fine! I can win!\I've gotta live up to the expectations of the lady who\has braved such danger just to save us!\That's what it means to be a hero!\Hear, hear!\If I work hard enough, response:	I'm sure I can become Master Daneel's girlfriend!
context: But that enemy fighter named Jiart is after you, Izuru.\I'll be fine! I can win!\I've gotta live up to the expectations of the lady who\has braved such danger just to save us!\That's what it means to be a hero!\Hear, hear!\If I work hard enough,\I'm sure I can become Master Daneel's girlfriend! response:	Let's do our best!
context: I'll be fine! I can win!\I've gotta live up to the expectations of the lady who\has braved such danger just to save us!\That's what it means to be a hero!\Hear, hear!\If I work hard enough,\I'm sure I can become Master Daneel's girlfriend!\Let's do our best! response:	Yeah, let's!
context: I've gotta live up to the expectations of the lady who\has braved such danger just to save us!\That's what it means to be a hero!\Hear, hear!\If I work hard enough,\I'm sure I can become Master Daneel's girlfriend!\Let's do our best!\Yeah, let's! response:	Hey, so, Izuru,
context: has braved such danger just to save us!\That's what it means to be a hero!\Hear, hear!\If I work hard enough,\I'm sure I can become Master Daneel's girlfriend!\Let's do our best!\Yeah, let's!\Hey, so, Izuru, response:	what type of girl do you think Master Daneel would like?
context: That's what it means to be a hero!\Hear, hear!\If I work hard enough,\I'm sure I can become Master Daneel's girlfriend!\Let's do our best!\Yeah, let's!\Hey, so, Izuru,\what type of girl do you think Master Daneel would like? response:	What's gotten into him?
context: Hear, hear!\If I work hard enough,\I'm sure I can become Master Daneel's girlfriend!\Let's do our best!\Yeah, let's!\Hey, so, Izuru,\what type of girl do you think Master Daneel would like?\What's gotten into him? response:	I have a good idea.
context: If I work hard enough,\I'm sure I can become Master Daneel's girlfriend!\Let's do our best!\Yeah, let's!\Hey, so, Izuru,\what type of girl do you think Master Daneel would like?\What's gotten into him?\I have a good idea. response:	He looked like he was good friends with Teoria...
context: I'm sure I can become Master Daneel's girlfriend!\Let's do our best!\Yeah, let's!\Hey, so, Izuru,\what type of girl do you think Master Daneel would like?\What's gotten into him?\I have a good idea.\He looked like he was good friends with Teoria... response:	Hey, are you listening?
context: Let's do our best!\Yeah, let's!\Hey, so, Izuru,\what type of girl do you think Master Daneel would like?\What's gotten into him?\I have a good idea.\He looked like he was good friends with Teoria...\Hey, are you listening? response:	Where're ya looking?!
