context: Loss response:	You're reassigning me as an instructor?
context: Gold 4, fire at the bottom left portion of Formation B.\Keep them in check and carve open a path for Rose 3.\Ally units have taken 32.6 damage. Ammo down to 10.\They can only fight for another 12 minutes.\Probability of return: -15.\They can't possibly continue to fight!\Vice Chief of Staff, please issue the order for them to retreat.\Sir! response:	Retreat is not an option! Don't run! Fight the beasts!
context: Keep them in check and carve open a path for Rose 3.\Ally units have taken 32.6 damage. Ammo down to 10.\They can only fight for another 12 minutes.\Probability of return: -15.\They can't possibly continue to fight!\Vice Chief of Staff, please issue the order for them to retreat.\Sir!\Retreat is not an option! Don't run! Fight the beasts! response:	They can't! At this rate, we're going to lose all of the units.
context: Ally units have taken 32.6 damage. Ammo down to 10.\They can only fight for another 12 minutes.\Probability of return: -15.\They can't possibly continue to fight!\Vice Chief of Staff, please issue the order for them to retreat.\Sir!\Retreat is not an option! Don't run! Fight the beasts!\They can't! At this rate, we're going to lose all of the units. response:	Why can't they?!
context: They can only fight for another 12 minutes.\Probability of return: -15.\They can't possibly continue to fight!\Vice Chief of Staff, please issue the order for them to retreat.\Sir!\Retreat is not an option! Don't run! Fight the beasts!\They can't! At this rate, we're going to lose all of the units.\Why can't they?! response:	Do you realize how much money we've put into them?
context: Probability of return: -15.\They can't possibly continue to fight!\Vice Chief of Staff, please issue the order for them to retreat.\Sir!\Retreat is not an option! Don't run! Fight the beasts!\They can't! At this rate, we're going to lose all of the units.\Why can't they?!\Do you realize how much money we've put into them? response:	Blue 1, Gold 4, Red 5, attack!
context: They can't possibly continue to fight!\Vice Chief of Staff, please issue the order for them to retreat.\Sir!\Retreat is not an option! Don't run! Fight the beasts!\They can't! At this rate, we're going to lose all of the units.\Why can't they?!\Do you realize how much money we've put into them?\Blue 1, Gold 4, Red 5, attack! response:	Uh, right!
context: Vice Chief of Staff, please issue the order for them to retreat.\Sir!\Retreat is not an option! Don't run! Fight the beasts!\They can't! At this rate, we're going to lose all of the units.\Why can't they?!\Do you realize how much money we've put into them?\Blue 1, Gold 4, Red 5, attack!\Uh, right! response:	D-don't turn and run!
context: Sir!\Retreat is not an option! Don't run! Fight the beasts!\They can't! At this rate, we're going to lose all of the units.\Why can't they?!\Do you realize how much money we've put into them?\Blue 1, Gold 4, Red 5, attack!\Uh, right!\D-don't turn and run! response:	I'm having control issues here!
context: Retreat is not an option! Don't run! Fight the beasts!\They can't! At this rate, we're going to lose all of the units.\Why can't they?!\Do you realize how much money we've put into them?\Blue 1, Gold 4, Red 5, attack!\Uh, right!\D-don't turn and run!\I'm having control issues here! response:	Vice Chief of Staff, please order them to retreat!
context: They can't! At this rate, we're going to lose all of the units.\Why can't they?!\Do you realize how much money we've put into them?\Blue 1, Gold 4, Red 5, attack!\Uh, right!\D-don't turn and run!\I'm having control issues here!\Vice Chief of Staff, please order them to retreat! response:	All units, retreat!
context: Why can't they?!\Do you realize how much money we've put into them?\Blue 1, Gold 4, Red 5, attack!\Uh, right!\D-don't turn and run!\I'm having control issues here!\Vice Chief of Staff, please order them to retreat!\All units, retreat! response:	Force Rose 3 to purge.
context: Do you realize how much money we've put into them?\Blue 1, Gold 4, Red 5, attack!\Uh, right!\D-don't turn and run!\I'm having control issues here!\Vice Chief of Staff, please order them to retreat!\All units, retreat!\Force Rose 3 to purge. response:	Roger.
context: Blue 1, Gold 4, Red 5, attack!\Uh, right!\D-don't turn and run!\I'm having control issues here!\Vice Chief of Staff, please order them to retreat!\All units, retreat!\Force Rose 3 to purge.\Roger. response:	Purple 2, forcibly purge Rose 3. Copy that?
context: Uh, right!\D-don't turn and run!\I'm having control issues here!\Vice Chief of Staff, please order them to retreat!\All units, retreat!\Force Rose 3 to purge.\Roger.\Purple 2, forcibly purge Rose 3. Copy that? response:	Yes, Ma'am!
context: D-don't turn and run!\I'm having control issues here!\Vice Chief of Staff, please order them to retreat!\All units, retreat!\Force Rose 3 to purge.\Roger.\Purple 2, forcibly purge Rose 3. Copy that?\Yes, Ma'am! response:	I'm light!
context: I'm having control issues here!\Vice Chief of Staff, please order them to retreat!\All units, retreat!\Force Rose 3 to purge.\Roger.\Purple 2, forcibly purge Rose 3. Copy that?\Yes, Ma'am!\I'm light! response:	Rose 3, retreat!
context: Vice Chief of Staff, please order them to retreat!\All units, retreat!\Force Rose 3 to purge.\Roger.\Purple 2, forcibly purge Rose 3. Copy that?\Yes, Ma'am!\I'm light!\Rose 3, retreat! response:	Roger!
context: All units, retreat!\Force Rose 3 to purge.\Roger.\Purple 2, forcibly purge Rose 3. Copy that?\Yes, Ma'am!\I'm light!\Rose 3, retreat!\Roger! response:	If we use Rose 3's boosters as missiles...
context: Force Rose 3 to purge.\Roger.\Purple 2, forcibly purge Rose 3. Copy that?\Yes, Ma'am!\I'm light!\Rose 3, retreat!\Roger!\If we use Rose 3's boosters as missiles... response:	They should pack a real wallop!
context: Roger.\Purple 2, forcibly purge Rose 3. Copy that?\Yes, Ma'am!\I'm light!\Rose 3, retreat!\Roger!\If we use Rose 3's boosters as missiles...\They should pack a real wallop! response:	Blue 1, protect Rose 3 as you retreat.
context: Purple 2, forcibly purge Rose 3. Copy that?\Yes, Ma'am!\I'm light!\Rose 3, retreat!\Roger!\If we use Rose 3's boosters as missiles...\They should pack a real wallop!\Blue 1, protect Rose 3 as you retreat. response:	Gold 4, serve as backup while you retreat.
context: Yes, Ma'am!\I'm light!\Rose 3, retreat!\Roger!\If we use Rose 3's boosters as missiles...\They should pack a real wallop!\Blue 1, protect Rose 3 as you retreat.\Gold 4, serve as backup while you retreat. response:	Red 5, slow withdrawal.
context: I'm light!\Rose 3, retreat!\Roger!\If we use Rose 3's boosters as missiles...\They should pack a real wallop!\Blue 1, protect Rose 3 as you retreat.\Gold 4, serve as backup while you retreat.\Red 5, slow withdrawal. response:	How's everyone doing?
context: Rose 3, retreat!\Roger!\If we use Rose 3's boosters as missiles...\They should pack a real wallop!\Blue 1, protect Rose 3 as you retreat.\Gold 4, serve as backup while you retreat.\Red 5, slow withdrawal.\How's everyone doing? response:	They'll reach the ship in just a minute.
context: Roger!\If we use Rose 3's boosters as missiles...\They should pack a real wallop!\Blue 1, protect Rose 3 as you retreat.\Gold 4, serve as backup while you retreat.\Red 5, slow withdrawal.\How's everyone doing?\They'll reach the ship in just a minute. response:	Kei, you should head back as well!
context: If we use Rose 3's boosters as missiles...\They should pack a real wallop!\Blue 1, protect Rose 3 as you retreat.\Gold 4, serve as backup while you retreat.\Red 5, slow withdrawal.\How's everyone doing?\They'll reach the ship in just a minute.\Kei, you should head back as well! response:	Roger!
context: They should pack a real wallop!\Blue 1, protect Rose 3 as you retreat.\Gold 4, serve as backup while you retreat.\Red 5, slow withdrawal.\How's everyone doing?\They'll reach the ship in just a minute.\Kei, you should head back as well!\Roger! response:	Izuru!
context: Blue 1, protect Rose 3 as you retreat.\Gold 4, serve as backup while you retreat.\Red 5, slow withdrawal.\How's everyone doing?\They'll reach the ship in just a minute.\Kei, you should head back as well!\Roger!\Izuru! response:	Izuru, are you all right?
context: Gold 4, serve as backup while you retreat.\Red 5, slow withdrawal.\How's everyone doing?\They'll reach the ship in just a minute.\Kei, you should head back as well!\Roger!\Izuru!\Izuru, are you all right? response:	Probably.
context: Red 5, slow withdrawal.\How's everyone doing?\They'll reach the ship in just a minute.\Kei, you should head back as well!\Roger!\Izuru!\Izuru, are you all right?\Probably. response:	Red 5's transmission has been damaged.
context: How's everyone doing?\They'll reach the ship in just a minute.\Kei, you should head back as well!\Roger!\Izuru!\Izuru, are you all right?\Probably.\Red 5's transmission has been damaged. response:	Primary reactor has ceased functioning. Energy reserves down by 25.
context: They'll reach the ship in just a minute.\Kei, you should head back as well!\Roger!\Izuru!\Izuru, are you all right?\Probably.\Red 5's transmission has been damaged.\Primary reactor has ceased functioning. Energy reserves down by 25. response:	Auxiliary power is dropping fast!
context: Kei, you should head back as well!\Roger!\Izuru!\Izuru, are you all right?\Probably.\Red 5's transmission has been damaged.\Primary reactor has ceased functioning. Energy reserves down by 25.\Auxiliary power is dropping fast! response:	Auxiliary thrusters are totally shot.
context: Roger!\Izuru!\Izuru, are you all right?\Probably.\Red 5's transmission has been damaged.\Primary reactor has ceased functioning. Energy reserves down by 25.\Auxiliary power is dropping fast!\Auxiliary thrusters are totally shot. response:	He can't change its course.
context: Izuru!\Izuru, are you all right?\Probably.\Red 5's transmission has been damaged.\Primary reactor has ceased functioning. Energy reserves down by 25.\Auxiliary power is dropping fast!\Auxiliary thrusters are totally shot.\He can't change its course. response:	The emergency escape unit is out, too!
context: Izuru, are you all right?\Probably.\Red 5's transmission has been damaged.\Primary reactor has ceased functioning. Energy reserves down by 25.\Auxiliary power is dropping fast!\Auxiliary thrusters are totally shot.\He can't change its course.\The emergency escape unit is out, too! response:	We'll have to cut our losses with the one.
context: Probably.\Red 5's transmission has been damaged.\Primary reactor has ceased functioning. Energy reserves down by 25.\Auxiliary power is dropping fast!\Auxiliary thrusters are totally shot.\He can't change its course.\The emergency escape unit is out, too!\We'll have to cut our losses with the one. response:	Wha-?!
context: Red 5's transmission has been damaged.\Primary reactor has ceased functioning. Energy reserves down by 25.\Auxiliary power is dropping fast!\Auxiliary thrusters are totally shot.\He can't change its course.\The emergency escape unit is out, too!\We'll have to cut our losses with the one.\Wha-?! response:	You aren't the least bit okay!
context: Primary reactor has ceased functioning. Energy reserves down by 25.\Auxiliary power is dropping fast!\Auxiliary thrusters are totally shot.\He can't change its course.\The emergency escape unit is out, too!\We'll have to cut our losses with the one.\Wha-?!\You aren't the least bit okay! response:	I'll be fine, so get back, Kei!
context: Auxiliary power is dropping fast!\Auxiliary thrusters are totally shot.\He can't change its course.\The emergency escape unit is out, too!\We'll have to cut our losses with the one.\Wha-?!\You aren't the least bit okay!\I'll be fine, so get back, Kei! response:	Izuru?!
context: Auxiliary thrusters are totally shot.\He can't change its course.\The emergency escape unit is out, too!\We'll have to cut our losses with the one.\Wha-?!\You aren't the least bit okay!\I'll be fine, so get back, Kei!\Izuru?! response:	Get back!
context: He can't change its course.\The emergency escape unit is out, too!\We'll have to cut our losses with the one.\Wha-?!\You aren't the least bit okay!\I'll be fine, so get back, Kei!\Izuru?!\Get back! response:	Purple 2, come back immediately!
context: The emergency escape unit is out, too!\We'll have to cut our losses with the one.\Wha-?!\You aren't the least bit okay!\I'll be fine, so get back, Kei!\Izuru?!\Get back!\Purple 2, come back immediately! response:	But Izuru-!
context: We'll have to cut our losses with the one.\Wha-?!\You aren't the least bit okay!\I'll be fine, so get back, Kei!\Izuru?!\Get back!\Purple 2, come back immediately!\But Izuru-! response:	I'll head on back after you leave.
context: Wha-?!\You aren't the least bit okay!\I'll be fine, so get back, Kei!\Izuru?!\Get back!\Purple 2, come back immediately!\But Izuru-!\I'll head on back after you leave. response:	How could you say that?! You can't even move!
context: You aren't the least bit okay!\I'll be fine, so get back, Kei!\Izuru?!\Get back!\Purple 2, come back immediately!\But Izuru-!\I'll head on back after you leave.\How could you say that?! You can't even move! response:	Purple 2, did you hear me?!
context: I'll be fine, so get back, Kei!\Izuru?!\Get back!\Purple 2, come back immediately!\But Izuru-!\I'll head on back after you leave.\How could you say that?! You can't even move!\Purple 2, did you hear me?! response:	The hero always makes it back in one piece.
context: Izuru?!\Get back!\Purple 2, come back immediately!\But Izuru-!\I'll head on back after you leave.\How could you say that?! You can't even move!\Purple 2, did you hear me?!\The hero always makes it back in one piece. response:	I can't die in a place like this!
context: Get back!\Purple 2, come back immediately!\But Izuru-!\I'll head on back after you leave.\How could you say that?! You can't even move!\Purple 2, did you hear me?!\The hero always makes it back in one piece.\I can't die in a place like this! response:	I still want to draw manga and eat more of your insanely sweet cakes!
context: Purple 2, come back immediately!\But Izuru-!\I'll head on back after you leave.\How could you say that?! You can't even move!\Purple 2, did you hear me?!\The hero always makes it back in one piece.\I can't die in a place like this!\I still want to draw manga and eat more of your insanely sweet cakes! response:	Izuru...
context: But Izuru-!\I'll head on back after you leave.\How could you say that?! You can't even move!\Purple 2, did you hear me?!\The hero always makes it back in one piece.\I can't die in a place like this!\I still want to draw manga and eat more of your insanely sweet cakes!\Izuru... response:	Izuru!
context: I'll head on back after you leave.\How could you say that?! You can't even move!\Purple 2, did you hear me?!\The hero always makes it back in one piece.\I can't die in a place like this!\I still want to draw manga and eat more of your insanely sweet cakes!\Izuru...\Izuru! response:	Purple 2!
context: How could you say that?! You can't even move!\Purple 2, did you hear me?!\The hero always makes it back in one piece.\I can't die in a place like this!\I still want to draw manga and eat more of your insanely sweet cakes!\Izuru...\Izuru!\Purple 2! response:	AHSMB units...? Allies?!
context: Purple 2, did you hear me?!\The hero always makes it back in one piece.\I can't die in a place like this!\I still want to draw manga and eat more of your insanely sweet cakes!\Izuru...\Izuru!\Purple 2!\AHSMB units...? Allies?! response:	That is...Team Doberman!
context: The hero always makes it back in one piece.\I can't die in a place like this!\I still want to draw manga and eat more of your insanely sweet cakes!\Izuru...\Izuru!\Purple 2!\AHSMB units...? Allies?!\That is...Team Doberman! response:	Who gave them orders to sortie?
context: I can't die in a place like this!\I still want to draw manga and eat more of your insanely sweet cakes!\Izuru...\Izuru!\Purple 2!\AHSMB units...? Allies?!\That is...Team Doberman!\Who gave them orders to sortie? response:	Commander!
context: I still want to draw manga and eat more of your insanely sweet cakes!\Izuru...\Izuru!\Purple 2!\AHSMB units...? Allies?!\That is...Team Doberman!\Who gave them orders to sortie?\Commander! response:	Team Doberman will hereby retrieve Red 5 and withdraw.
context: Izuru...\Izuru!\Purple 2!\AHSMB units...? Allies?!\That is...Team Doberman!\Who gave them orders to sortie?\Commander!\Team Doberman will hereby retrieve Red 5 and withdraw. response:	Thank you, Sir!
context: Izuru!\Purple 2!\AHSMB units...? Allies?!\That is...Team Doberman!\Who gave them orders to sortie?\Commander!\Team Doberman will hereby retrieve Red 5 and withdraw.\Thank you, Sir! response:	If there was another able team,
context: Purple 2!\AHSMB units...? Allies?!\That is...Team Doberman!\Who gave them orders to sortie?\Commander!\Team Doberman will hereby retrieve Red 5 and withdraw.\Thank you, Sir!\If there was another able team, response:	we should have included them in the battle to begin with!
context: AHSMB units...? Allies?!\That is...Team Doberman!\Who gave them orders to sortie?\Commander!\Team Doberman will hereby retrieve Red 5 and withdraw.\Thank you, Sir!\If there was another able team,\we should have included them in the battle to begin with! response:	How dare he hold out on me!
context: That is...Team Doberman!\Who gave them orders to sortie?\Commander!\Team Doberman will hereby retrieve Red 5 and withdraw.\Thank you, Sir!\If there was another able team,\we should have included them in the battle to begin with!\How dare he hold out on me! response:	Izuru!
context: Who gave them orders to sortie?\Commander!\Team Doberman will hereby retrieve Red 5 and withdraw.\Thank you, Sir!\If there was another able team,\we should have included them in the battle to begin with!\How dare he hold out on me!\Izuru! response:	Purple 2 has returned.
context: Commander!\Team Doberman will hereby retrieve Red 5 and withdraw.\Thank you, Sir!\If there was another able team,\we should have included them in the battle to begin with!\How dare he hold out on me!\Izuru!\Purple 2 has returned. response:	Is he okay?!
context: Team Doberman will hereby retrieve Red 5 and withdraw.\Thank you, Sir!\If there was another able team,\we should have included them in the battle to begin with!\How dare he hold out on me!\Izuru!\Purple 2 has returned.\Is he okay?! response:	Should I get a stretcher?
context: Thank you, Sir!\If there was another able team,\we should have included them in the battle to begin with!\How dare he hold out on me!\Izuru!\Purple 2 has returned.\Is he okay?!\Should I get a stretcher? response:	Better, just in case!
context: If there was another able team,\we should have included them in the battle to begin with!\How dare he hold out on me!\Izuru!\Purple 2 has returned.\Is he okay?!\Should I get a stretcher?\Better, just in case! response:	Izuru?!
context: we should have included them in the battle to begin with!\How dare he hold out on me!\Izuru!\Purple 2 has returned.\Is he okay?!\Should I get a stretcher?\Better, just in case!\Izuru?! response:	Are you all right, Izuru?
context: How dare he hold out on me!\Izuru!\Purple 2 has returned.\Is he okay?!\Should I get a stretcher?\Better, just in case!\Izuru?!\Are you all right, Izuru? response:	The Wulgaru army has started to pull back.
context: Izuru!\Purple 2 has returned.\Is he okay?!\Should I get a stretcher?\Better, just in case!\Izuru?!\Are you all right, Izuru?\The Wulgaru army has started to pull back. response:	I believe they are headed toward Jupiter.
context: Purple 2 has returned.\Is he okay?!\Should I get a stretcher?\Better, just in case!\Izuru?!\Are you all right, Izuru?\The Wulgaru army has started to pull back.\I believe they are headed toward Jupiter. response:	Izuru!
context: Is he okay?!\Should I get a stretcher?\Better, just in case!\Izuru?!\Are you all right, Izuru?\The Wulgaru army has started to pull back.\I believe they are headed toward Jupiter.\Izuru! response:	Care for a drink?
context: Should I get a stretcher?\Better, just in case!\Izuru?!\Are you all right, Izuru?\The Wulgaru army has started to pull back.\I believe they are headed toward Jupiter.\Izuru!\Care for a drink? response:	Izuru?
context: Better, just in case!\Izuru?!\Are you all right, Izuru?\The Wulgaru army has started to pull back.\I believe they are headed toward Jupiter.\Izuru!\Care for a drink?\Izuru? response:	I made it back...
context: Izuru?!\Are you all right, Izuru?\The Wulgaru army has started to pull back.\I believe they are headed toward Jupiter.\Izuru!\Care for a drink?\Izuru?\I made it back... response:	You should have...
context: Are you all right, Izuru?\The Wulgaru army has started to pull back.\I believe they are headed toward Jupiter.\Izuru!\Care for a drink?\Izuru?\I made it back...\You should have... response:	You should have gotten out of there with the rest of us.
context: The Wulgaru army has started to pull back.\I believe they are headed toward Jupiter.\Izuru!\Care for a drink?\Izuru?\I made it back...\You should have...\You should have gotten out of there with the rest of us. response:	What?!
context: I believe they are headed toward Jupiter.\Izuru!\Care for a drink?\Izuru?\I made it back...\You should have...\You should have gotten out of there with the rest of us.\What?! response:	You don't need to handle everything by yourself.
context: Izuru!\Care for a drink?\Izuru?\I made it back...\You should have...\You should have gotten out of there with the rest of us.\What?!\You don't need to handle everything by yourself. response:	Do you realize what would have happened if help hadn't come?
context: Care for a drink?\Izuru?\I made it back...\You should have...\You should have gotten out of there with the rest of us.\What?!\You don't need to handle everything by yourself.\Do you realize what would have happened if help hadn't come? response:	Seriously!
context: Izuru?\I made it back...\You should have...\You should have gotten out of there with the rest of us.\What?!\You don't need to handle everything by yourself.\Do you realize what would have happened if help hadn't come?\Seriously! response:	Ah, everyone is giving me a piece of their mind.
context: I made it back...\You should have...\You should have gotten out of there with the rest of us.\What?!\You don't need to handle everything by yourself.\Do you realize what would have happened if help hadn't come?\Seriously!\Ah, everyone is giving me a piece of their mind. response:	Excuse me?!
context: You should have...\You should have gotten out of there with the rest of us.\What?!\You don't need to handle everything by yourself.\Do you realize what would have happened if help hadn't come?\Seriously!\Ah, everyone is giving me a piece of their mind.\Excuse me?! response:	That's nothing to be happy about!
context: You should have gotten out of there with the rest of us.\What?!\You don't need to handle everything by yourself.\Do you realize what would have happened if help hadn't come?\Seriously!\Ah, everyone is giving me a piece of their mind.\Excuse me?!\That's nothing to be happy about! response:	Remove everything from Block 3 to Block 5.
context: What?!\You don't need to handle everything by yourself.\Do you realize what would have happened if help hadn't come?\Seriously!\Ah, everyone is giving me a piece of their mind.\Excuse me?!\That's nothing to be happy about!\Remove everything from Block 3 to Block 5. response:	Send Rose 3 and Red 5 to Maintenance D.
context: You don't need to handle everything by yourself.\Do you realize what would have happened if help hadn't come?\Seriously!\Ah, everyone is giving me a piece of their mind.\Excuse me?!\That's nothing to be happy about!\Remove everything from Block 3 to Block 5.\Send Rose 3 and Red 5 to Maintenance D. response:	Well?
context: Do you realize what would have happened if help hadn't come?\Seriously!\Ah, everyone is giving me a piece of their mind.\Excuse me?!\That's nothing to be happy about!\Remove everything from Block 3 to Block 5.\Send Rose 3 and Red 5 to Maintenance D.\Well? response:	Ugh. We're administering emergency repairs,
context: Seriously!\Ah, everyone is giving me a piece of their mind.\Excuse me?!\That's nothing to be happy about!\Remove everything from Block 3 to Block 5.\Send Rose 3 and Red 5 to Maintenance D.\Well?\Ugh. We're administering emergency repairs, response:	but they need a full overhaul in HQ's dock.
context: Ah, everyone is giving me a piece of their mind.\Excuse me?!\That's nothing to be happy about!\Remove everything from Block 3 to Block 5.\Send Rose 3 and Red 5 to Maintenance D.\Well?\Ugh. We're administering emergency repairs,\but they need a full overhaul in HQ's dock. response:	That goes double for Rose 3 and Red 5.
context: Excuse me?!\That's nothing to be happy about!\Remove everything from Block 3 to Block 5.\Send Rose 3 and Red 5 to Maintenance D.\Well?\Ugh. We're administering emergency repairs,\but they need a full overhaul in HQ's dock.\That goes double for Rose 3 and Red 5. response:	Rose 3 currently uses a navigational shield.
context: That's nothing to be happy about!\Remove everything from Block 3 to Block 5.\Send Rose 3 and Red 5 to Maintenance D.\Well?\Ugh. We're administering emergency repairs,\but they need a full overhaul in HQ's dock.\That goes double for Rose 3 and Red 5.\Rose 3 currently uses a navigational shield. response:	We'll need to give it a maximum-power shield
context: Remove everything from Block 3 to Block 5.\Send Rose 3 and Red 5 to Maintenance D.\Well?\Ugh. We're administering emergency repairs,\but they need a full overhaul in HQ's dock.\That goes double for Rose 3 and Red 5.\Rose 3 currently uses a navigational shield.\We'll need to give it a maximum-power shield response:	that can withstand enemy beams,
context: Send Rose 3 and Red 5 to Maintenance D.\Well?\Ugh. We're administering emergency repairs,\but they need a full overhaul in HQ's dock.\That goes double for Rose 3 and Red 5.\Rose 3 currently uses a navigational shield.\We'll need to give it a maximum-power shield\that can withstand enemy beams, response:	just like the ones Blue 1 and Red 5 use.
context: Well?\Ugh. We're administering emergency repairs,\but they need a full overhaul in HQ's dock.\That goes double for Rose 3 and Red 5.\Rose 3 currently uses a navigational shield.\We'll need to give it a maximum-power shield\that can withstand enemy beams,\just like the ones Blue 1 and Red 5 use. response:	Really! This is no time for sweets.
context: Ugh. We're administering emergency repairs,\but they need a full overhaul in HQ's dock.\That goes double for Rose 3 and Red 5.\Rose 3 currently uses a navigational shield.\We'll need to give it a maximum-power shield\that can withstand enemy beams,\just like the ones Blue 1 and Red 5 use.\Really! This is no time for sweets. response:	It's time for super-premium dry sake!
context: but they need a full overhaul in HQ's dock.\That goes double for Rose 3 and Red 5.\Rose 3 currently uses a navigational shield.\We'll need to give it a maximum-power shield\that can withstand enemy beams,\just like the ones Blue 1 and Red 5 use.\Really! This is no time for sweets.\It's time for super-premium dry sake! response:	I figured.
context: That goes double for Rose 3 and Red 5.\Rose 3 currently uses a navigational shield.\We'll need to give it a maximum-power shield\that can withstand enemy beams,\just like the ones Blue 1 and Red 5 use.\Really! This is no time for sweets.\It's time for super-premium dry sake!\I figured. response:	Where is the Vice Chief of Staff?
context: Rose 3 currently uses a navigational shield.\We'll need to give it a maximum-power shield\that can withstand enemy beams,\just like the ones Blue 1 and Red 5 use.\Really! This is no time for sweets.\It's time for super-premium dry sake!\I figured.\Where is the Vice Chief of Staff? response:	Resting in his personal room.
context: We'll need to give it a maximum-power shield\that can withstand enemy beams,\just like the ones Blue 1 and Red 5 use.\Really! This is no time for sweets.\It's time for super-premium dry sake!\I figured.\Where is the Vice Chief of Staff?\Resting in his personal room. response:	I see.
context: that can withstand enemy beams,\just like the ones Blue 1 and Red 5 use.\Really! This is no time for sweets.\It's time for super-premium dry sake!\I figured.\Where is the Vice Chief of Staff?\Resting in his personal room.\I see. response:	Sir, GDF high command has requested
context: just like the ones Blue 1 and Red 5 use.\Really! This is no time for sweets.\It's time for super-premium dry sake!\I figured.\Where is the Vice Chief of Staff?\Resting in his personal room.\I see.\Sir, GDF high command has requested response:	we send them a copy of our battle report in all due haste.
context: Really! This is no time for sweets.\It's time for super-premium dry sake!\I figured.\Where is the Vice Chief of Staff?\Resting in his personal room.\I see.\Sir, GDF high command has requested\we send them a copy of our battle report in all due haste. response:	You write it! I'll check over it once it's ready.
context: It's time for super-premium dry sake!\I figured.\Where is the Vice Chief of Staff?\Resting in his personal room.\I see.\Sir, GDF high command has requested\we send them a copy of our battle report in all due haste.\You write it! I'll check over it once it's ready. response:	I'll send over the battle logs.
context: I figured.\Where is the Vice Chief of Staff?\Resting in his personal room.\I see.\Sir, GDF high command has requested\we send them a copy of our battle report in all due haste.\You write it! I'll check over it once it's ready.\I'll send over the battle logs. response:	Thank you!
context: Where is the Vice Chief of Staff?\Resting in his personal room.\I see.\Sir, GDF high command has requested\we send them a copy of our battle report in all due haste.\You write it! I'll check over it once it's ready.\I'll send over the battle logs.\Thank you! response:	I wonder how long this war is going to drag out...
context: Resting in his personal room.\I see.\Sir, GDF high command has requested\we send them a copy of our battle report in all due haste.\You write it! I'll check over it once it's ready.\I'll send over the battle logs.\Thank you!\I wonder how long this war is going to drag out... response:	Who can say?
context: I see.\Sir, GDF high command has requested\we send them a copy of our battle report in all due haste.\You write it! I'll check over it once it's ready.\I'll send over the battle logs.\Thank you!\I wonder how long this war is going to drag out...\Who can say? response:	We don't even know what
context: Sir, GDF high command has requested\we send them a copy of our battle report in all due haste.\You write it! I'll check over it once it's ready.\I'll send over the battle logs.\Thank you!\I wonder how long this war is going to drag out...\Who can say?\We don't even know what response:	the Wulgaru are after or where they came from.
context: we send them a copy of our battle report in all due haste.\You write it! I'll check over it once it's ready.\I'll send over the battle logs.\Thank you!\I wonder how long this war is going to drag out...\Who can say?\We don't even know what\the Wulgaru are after or where they came from. response:	True enough.
context: You write it! I'll check over it once it's ready.\I'll send over the battle logs.\Thank you!\I wonder how long this war is going to drag out...\Who can say?\We don't even know what\the Wulgaru are after or where they came from.\True enough. response:	I'm sorry to have interrupted your work.
context: I'll send over the battle logs.\Thank you!\I wonder how long this war is going to drag out...\Who can say?\We don't even know what\the Wulgaru are after or where they came from.\True enough.\I'm sorry to have interrupted your work. response:	It's okay. Don't worry about it.
context: Thank you!\I wonder how long this war is going to drag out...\Who can say?\We don't even know what\the Wulgaru are after or where they came from.\True enough.\I'm sorry to have interrupted your work.\It's okay. Don't worry about it. response:	February 4, 86 GC.
context: I wonder how long this war is going to drag out...\Who can say?\We don't even know what\the Wulgaru are after or where they came from.\True enough.\I'm sorry to have interrupted your work.\It's okay. Don't worry about it.\February 4, 86 GC. response:	Our units engaged what we believe to be an
context: Who can say?\We don't even know what\the Wulgaru are after or where they came from.\True enough.\I'm sorry to have interrupted your work.\It's okay. Don't worry about it.\February 4, 86 GC.\Our units engaged what we believe to be an response:	armed Wulgaru recon force near FRB-1011.
context: We don't even know what\the Wulgaru are after or where they came from.\True enough.\I'm sorry to have interrupted your work.\It's okay. Don't worry about it.\February 4, 86 GC.\Our units engaged what we believe to be an\armed Wulgaru recon force near FRB-1011. response:	That's right. We've been left in the dark, ever since then...
context: the Wulgaru are after or where they came from.\True enough.\I'm sorry to have interrupted your work.\It's okay. Don't worry about it.\February 4, 86 GC.\Our units engaged what we believe to be an\armed Wulgaru recon force near FRB-1011.\That's right. We've been left in the dark, ever since then... response:	They came out of nowhere, striking Earth's frontier development base.
context: True enough.\I'm sorry to have interrupted your work.\It's okay. Don't worry about it.\February 4, 86 GC.\Our units engaged what we believe to be an\armed Wulgaru recon force near FRB-1011.\That's right. We've been left in the dark, ever since then...\They came out of nowhere, striking Earth's frontier development base. response:	The armies stationed around the outer planets were dispatched immediately.
context: I'm sorry to have interrupted your work.\It's okay. Don't worry about it.\February 4, 86 GC.\Our units engaged what we believe to be an\armed Wulgaru recon force near FRB-1011.\That's right. We've been left in the dark, ever since then...\They came out of nowhere, striking Earth's frontier development base.\The armies stationed around the outer planets were dispatched immediately. response:	Thus began Earth's first war in outer space.
context: It's okay. Don't worry about it.\February 4, 86 GC.\Our units engaged what we believe to be an\armed Wulgaru recon force near FRB-1011.\That's right. We've been left in the dark, ever since then...\They came out of nowhere, striking Earth's frontier development base.\The armies stationed around the outer planets were dispatched immediately.\Thus began Earth's first war in outer space. response:	We believe the Wulgaru armada is composed of 1 massive mother ship,
