context: Hey! We need more over here. response:	Right away!
context: Okay. Whoa.\Nako. More rice porridge.\Okay.\Wow, this dish is top notch.\You don't usually get this kind of food in a buffet.\Yeah.\The food's top notch and made with seasonal ingredients,\and people still love the food, but... response:	Yes?
context: Nako. More rice porridge.\Okay.\Wow, this dish is top notch.\You don't usually get this kind of food in a buffet.\Yeah.\The food's top notch and made with seasonal ingredients,\and people still love the food, but...\Yes? response:	Say, is breakfast only served as buffet now?
context: Okay.\Wow, this dish is top notch.\You don't usually get this kind of food in a buffet.\Yeah.\The food's top notch and made with seasonal ingredients,\and people still love the food, but...\Yes?\Say, is breakfast only served as buffet now? response:	Yes, that's how it is.
context: Wow, this dish is top notch.\You don't usually get this kind of food in a buffet.\Yeah.\The food's top notch and made with seasonal ingredients,\and people still love the food, but...\Yes?\Say, is breakfast only served as buffet now?\Yes, that's how it is. response:	I see.
context: You don't usually get this kind of food in a buffet.\Yeah.\The food's top notch and made with seasonal ingredients,\and people still love the food, but...\Yes?\Say, is breakfast only served as buffet now?\Yes, that's how it is.\I see. response:	I liked how we could relax at this inn.
context: Yeah.\The food's top notch and made with seasonal ingredients,\and people still love the food, but...\Yes?\Say, is breakfast only served as buffet now?\Yes, that's how it is.\I see.\I liked how we could relax at this inn. response:	Well, this is fun too.
context: The food's top notch and made with seasonal ingredients,\and people still love the food, but...\Yes?\Say, is breakfast only served as buffet now?\Yes, that's how it is.\I see.\I liked how we could relax at this inn.\Well, this is fun too. response:	Actually, can you leave some room in-between?
context: and people still love the food, but...\Yes?\Say, is breakfast only served as buffet now?\Yes, that's how it is.\I see.\I liked how we could relax at this inn.\Well, this is fun too.\Actually, can you leave some room in-between? response:	Okay.
context: Yes?\Say, is breakfast only served as buffet now?\Yes, that's how it is.\I see.\I liked how we could relax at this inn.\Well, this is fun too.\Actually, can you leave some room in-between?\Okay. response:	Maybe a little more to the left.
context: Say, is breakfast only served as buffet now?\Yes, that's how it is.\I see.\I liked how we could relax at this inn.\Well, this is fun too.\Actually, can you leave some room in-between?\Okay.\Maybe a little more to the left. response:	What are these?
context: Yes, that's how it is.\I see.\I liked how we could relax at this inn.\Well, this is fun too.\Actually, can you leave some room in-between?\Okay.\Maybe a little more to the left.\What are these? response:	I'm making an art gallery of some local artists.
context: I see.\I liked how we could relax at this inn.\Well, this is fun too.\Actually, can you leave some room in-between?\Okay.\Maybe a little more to the left.\What are these?\I'm making an art gallery of some local artists. response:	This will get us guests and profit.
context: I liked how we could relax at this inn.\Well, this is fun too.\Actually, can you leave some room in-between?\Okay.\Maybe a little more to the left.\What are these?\I'm making an art gallery of some local artists.\This will get us guests and profit. response:	Just you watch.
context: Well, this is fun too.\Actually, can you leave some room in-between?\Okay.\Maybe a little more to the left.\What are these?\I'm making an art gallery of some local artists.\This will get us guests and profit.\Just you watch. response:	Kissuiso is going to change.
context: Actually, can you leave some room in-between?\Okay.\Maybe a little more to the left.\What are these?\I'm making an art gallery of some local artists.\This will get us guests and profit.\Just you watch.\Kissuiso is going to change. response:	Ohana, you also- Huh?
context: Okay.\Maybe a little more to the left.\What are these?\I'm making an art gallery of some local artists.\This will get us guests and profit.\Just you watch.\Kissuiso is going to change.\Ohana, you also- Huh? response:	Kissuiso is going to change...
context: Maybe a little more to the left.\What are these?\I'm making an art gallery of some local artists.\This will get us guests and profit.\Just you watch.\Kissuiso is going to change.\Ohana, you also- Huh?\Kissuiso is going to change... response:	But I wanted to show Ko
context: What are these?\I'm making an art gallery of some local artists.\This will get us guests and profit.\Just you watch.\Kissuiso is going to change.\Ohana, you also- Huh?\Kissuiso is going to change...\But I wanted to show Ko response:	the Bonbori Festival and the Kissuiso I love...
context: I'm making an art gallery of some local artists.\This will get us guests and profit.\Just you watch.\Kissuiso is going to change.\Ohana, you also- Huh?\Kissuiso is going to change...\But I wanted to show Ko\the Bonbori Festival and the Kissuiso I love... response:	I see... a friend?
context: This will get us guests and profit.\Just you watch.\Kissuiso is going to change.\Ohana, you also- Huh?\Kissuiso is going to change...\But I wanted to show Ko\the Bonbori Festival and the Kissuiso I love...\I see... a friend? response:	I'm sorry.
context: Just you watch.\Kissuiso is going to change.\Ohana, you also- Huh?\Kissuiso is going to change...\But I wanted to show Ko\the Bonbori Festival and the Kissuiso I love...\I see... a friend?\I'm sorry. response:	We can't take any more reservations, right?
context: Kissuiso is going to change.\Ohana, you also- Huh?\Kissuiso is going to change...\But I wanted to show Ko\the Bonbori Festival and the Kissuiso I love...\I see... a friend?\I'm sorry.\We can't take any more reservations, right? response:	If this room will suffice.
context: Ohana, you also- Huh?\Kissuiso is going to change...\But I wanted to show Ko\the Bonbori Festival and the Kissuiso I love...\I see... a friend?\I'm sorry.\We can't take any more reservations, right?\If this room will suffice. response:	This room?
context: Kissuiso is going to change...\But I wanted to show Ko\the Bonbori Festival and the Kissuiso I love...\I see... a friend?\I'm sorry.\We can't take any more reservations, right?\If this room will suffice.\This room? response:	You want to show him the Kissuiso, right?
context: But I wanted to show Ko\the Bonbori Festival and the Kissuiso I love...\I see... a friend?\I'm sorry.\We can't take any more reservations, right?\If this room will suffice.\This room?\You want to show him the Kissuiso, right? response:	Then he can stay here as a friend.
context: the Bonbori Festival and the Kissuiso I love...\I see... a friend?\I'm sorry.\We can't take any more reservations, right?\If this room will suffice.\This room?\You want to show him the Kissuiso, right?\Then he can stay here as a friend. response:	Madam Manager!
context: I see... a friend?\I'm sorry.\We can't take any more reservations, right?\If this room will suffice.\This room?\You want to show him the Kissuiso, right?\Then he can stay here as a friend.\Madam Manager! response:	Is your health okay? Are you okay?
context: I'm sorry.\We can't take any more reservations, right?\If this room will suffice.\This room?\You want to show him the Kissuiso, right?\Then he can stay here as a friend.\Madam Manager!\Is your health okay? Are you okay? response:	What?
context: We can't take any more reservations, right?\If this room will suffice.\This room?\You want to show him the Kissuiso, right?\Then he can stay here as a friend.\Madam Manager!\Is your health okay? Are you okay?\What? response:	Well... I've never seen you so nice.
context: If this room will suffice.\This room?\You want to show him the Kissuiso, right?\Then he can stay here as a friend.\Madam Manager!\Is your health okay? Are you okay?\What?\Well... I've never seen you so nice. response:	He's an important friend, no?
context: This room?\You want to show him the Kissuiso, right?\Then he can stay here as a friend.\Madam Manager!\Is your health okay? Are you okay?\What?\Well... I've never seen you so nice.\He's an important friend, no? response:	Yes.
context: You want to show him the Kissuiso, right?\Then he can stay here as a friend.\Madam Manager!\Is your health okay? Are you okay?\What?\Well... I've never seen you so nice.\He's an important friend, no?\Yes. response:	Thank you very much!
context: Then he can stay here as a friend.\Madam Manager!\Is your health okay? Are you okay?\What?\Well... I've never seen you so nice.\He's an important friend, no?\Yes.\Thank you very much! response:	Tsurugi!
context: Madam Manager!\Is your health okay? Are you okay?\What?\Well... I've never seen you so nice.\He's an important friend, no?\Yes.\Thank you very much!\Tsurugi! response:	Hello, Minko?
context: Is your health okay? Are you okay?\What?\Well... I've never seen you so nice.\He's an important friend, no?\Yes.\Thank you very much!\Tsurugi!\Hello, Minko? response:	I'm sorry, Tohru
context: What?\Well... I've never seen you so nice.\He's an important friend, no?\Yes.\Thank you very much!\Tsurugi!\Hello, Minko?\I'm sorry, Tohru response:	I got a glimpse of the princess sleeping.
context: Well... I've never seen you so nice.\He's an important friend, no?\Yes.\Thank you very much!\Tsurugi!\Hello, Minko?\I'm sorry, Tohru\I got a glimpse of the princess sleeping. response:	Who's Tohru?
context: He's an important friend, no?\Yes.\Thank you very much!\Tsurugi!\Hello, Minko?\I'm sorry, Tohru\I got a glimpse of the princess sleeping.\Who's Tohru? response:	Um...
context: Yes.\Thank you very much!\Tsurugi!\Hello, Minko?\I'm sorry, Tohru\I got a glimpse of the princess sleeping.\Who's Tohru?\Um... response:	Hey, Minchi
context: Thank you very much!\Tsurugi!\Hello, Minko?\I'm sorry, Tohru\I got a glimpse of the princess sleeping.\Who's Tohru?\Um...\Hey, Minchi response:	Don't talk to me.
context: Tsurugi!\Hello, Minko?\I'm sorry, Tohru\I got a glimpse of the princess sleeping.\Who's Tohru?\Um...\Hey, Minchi\Don't talk to me. response:	You know what that is?
context: Hello, Minko?\I'm sorry, Tohru\I got a glimpse of the princess sleeping.\Who's Tohru?\Um...\Hey, Minchi\Don't talk to me.\You know what that is? response:	She's sulking.
context: I'm sorry, Tohru\I got a glimpse of the princess sleeping.\Who's Tohru?\Um...\Hey, Minchi\Don't talk to me.\You know what that is?\She's sulking. response:	Because you're siding with the Madam Manager.
context: I got a glimpse of the princess sleeping.\Who's Tohru?\Um...\Hey, Minchi\Don't talk to me.\You know what that is?\She's sulking.\Because you're siding with the Madam Manager. response:	Tsurugi likes you, Ohana.
context: Who's Tohru?\Um...\Hey, Minchi\Don't talk to me.\You know what that is?\She's sulking.\Because you're siding with the Madam Manager.\Tsurugi likes you, Ohana. response:	That's hard to believe.
context: Um...\Hey, Minchi\Don't talk to me.\You know what that is?\She's sulking.\Because you're siding with the Madam Manager.\Tsurugi likes you, Ohana.\That's hard to believe. response:	How's the soup stock?
context: Hey, Minchi\Don't talk to me.\You know what that is?\She's sulking.\Because you're siding with the Madam Manager.\Tsurugi likes you, Ohana.\That's hard to believe.\How's the soup stock? response:	Checking right now.
context: Don't talk to me.\You know what that is?\She's sulking.\Because you're siding with the Madam Manager.\Tsurugi likes you, Ohana.\That's hard to believe.\How's the soup stock?\Checking right now. response:	Minko, wash the vegetables!
context: You know what that is?\She's sulking.\Because you're siding with the Madam Manager.\Tsurugi likes you, Ohana.\That's hard to believe.\How's the soup stock?\Checking right now.\Minko, wash the vegetables! response:	Okay!
context: She's sulking.\Because you're siding with the Madam Manager.\Tsurugi likes you, Ohana.\That's hard to believe.\How's the soup stock?\Checking right now.\Minko, wash the vegetables!\Okay! response:	When you're done with that, get the duck ready.
context: Because you're siding with the Madam Manager.\Tsurugi likes you, Ohana.\That's hard to believe.\How's the soup stock?\Checking right now.\Minko, wash the vegetables!\Okay!\When you're done with that, get the duck ready. response:	Okay!
context: Tsurugi likes you, Ohana.\That's hard to believe.\How's the soup stock?\Checking right now.\Minko, wash the vegetables!\Okay!\When you're done with that, get the duck ready.\Okay! response:	I can still be a cook whereever I go. Tohru's right about that.
context: That's hard to believe.\How's the soup stock?\Checking right now.\Minko, wash the vegetables!\Okay!\When you're done with that, get the duck ready.\Okay!\I can still be a cook whereever I go. Tohru's right about that. response:	But... I want to stay here
context: How's the soup stock?\Checking right now.\Minko, wash the vegetables!\Okay!\When you're done with that, get the duck ready.\Okay!\I can still be a cook whereever I go. Tohru's right about that.\But... I want to stay here response:	because Tohru's here...
context: Checking right now.\Minko, wash the vegetables!\Okay!\When you're done with that, get the duck ready.\Okay!\I can still be a cook whereever I go. Tohru's right about that.\But... I want to stay here\because Tohru's here... response:	Mr. Ren's here...
context: Minko, wash the vegetables!\Okay!\When you're done with that, get the duck ready.\Okay!\I can still be a cook whereever I go. Tohru's right about that.\But... I want to stay here\because Tohru's here...\Mr. Ren's here... response:	Everyone's... here!
context: Okay!\When you're done with that, get the duck ready.\Okay!\I can still be a cook whereever I go. Tohru's right about that.\But... I want to stay here\because Tohru's here...\Mr. Ren's here...\Everyone's... here! response:	Balut!
context: When you're done with that, get the duck ready.\Okay!\I can still be a cook whereever I go. Tohru's right about that.\But... I want to stay here\because Tohru's here...\Mr. Ren's here...\Everyone's... here!\Balut! response:	There's no way we're serving something that eerie.
context: Okay!\I can still be a cook whereever I go. Tohru's right about that.\But... I want to stay here\because Tohru's here...\Mr. Ren's here...\Everyone's... here!\Balut!\There's no way we're serving something that eerie. response:	I'm sorry
context: I can still be a cook whereever I go. Tohru's right about that.\But... I want to stay here\because Tohru's here...\Mr. Ren's here...\Everyone's... here!\Balut!\There's no way we're serving something that eerie.\I'm sorry response:	Hey, Mr. Ren!
context: But... I want to stay here\because Tohru's here...\Mr. Ren's here...\Everyone's... here!\Balut!\There's no way we're serving something that eerie.\I'm sorry\Hey, Mr. Ren! response:	What's wrong?
context: because Tohru's here...\Mr. Ren's here...\Everyone's... here!\Balut!\There's no way we're serving something that eerie.\I'm sorry\Hey, Mr. Ren!\What's wrong? response:	You tell me!
context: Mr. Ren's here...\Everyone's... here!\Balut!\There's no way we're serving something that eerie.\I'm sorry\Hey, Mr. Ren!\What's wrong?\You tell me! response:	The bowls aren't out, and the guests are complaining.
context: Everyone's... here!\Balut!\There's no way we're serving something that eerie.\I'm sorry\Hey, Mr. Ren!\What's wrong?\You tell me!\The bowls aren't out, and the guests are complaining. response:	It's not like I'm having an easy time having to change the soup.
context: Balut!\There's no way we're serving something that eerie.\I'm sorry\Hey, Mr. Ren!\What's wrong?\You tell me!\The bowls aren't out, and the guests are complaining.\It's not like I'm having an easy time having to change the soup. response:	Are you saying it's my fault?!
context: There's no way we're serving something that eerie.\I'm sorry\Hey, Mr. Ren!\What's wrong?\You tell me!\The bowls aren't out, and the guests are complaining.\It's not like I'm having an easy time having to change the soup.\Are you saying it's my fault?! response:	Hey Mr. Ren...
context: I'm sorry\Hey, Mr. Ren!\What's wrong?\You tell me!\The bowls aren't out, and the guests are complaining.\It's not like I'm having an easy time having to change the soup.\Are you saying it's my fault?!\Hey Mr. Ren... response:	Oh, no! What's going on with you two?
context: Hey, Mr. Ren!\What's wrong?\You tell me!\The bowls aren't out, and the guests are complaining.\It's not like I'm having an easy time having to change the soup.\Are you saying it's my fault?!\Hey Mr. Ren...\Oh, no! What's going on with you two? response:	Why don't you waitresses get the
context: What's wrong?\You tell me!\The bowls aren't out, and the guests are complaining.\It's not like I'm having an easy time having to change the soup.\Are you saying it's my fault?!\Hey Mr. Ren...\Oh, no! What's going on with you two?\Why don't you waitresses get the response:	bowls out or something before you make excuses?
context: You tell me!\The bowls aren't out, and the guests are complaining.\It's not like I'm having an easy time having to change the soup.\Are you saying it's my fault?!\Hey Mr. Ren...\Oh, no! What's going on with you two?\Why don't you waitresses get the\bowls out or something before you make excuses? response:	We don't have time to be arguing!
context: The bowls aren't out, and the guests are complaining.\It's not like I'm having an easy time having to change the soup.\Are you saying it's my fault?!\Hey Mr. Ren...\Oh, no! What's going on with you two?\Why don't you waitresses get the\bowls out or something before you make excuses?\We don't have time to be arguing! response:	Say that again?
context: It's not like I'm having an easy time having to change the soup.\Are you saying it's my fault?!\Hey Mr. Ren...\Oh, no! What's going on with you two?\Why don't you waitresses get the\bowls out or something before you make excuses?\We don't have time to be arguing!\Say that again? response:	This is the kitchen's problem! Not blame us!
context: Are you saying it's my fault?!\Hey Mr. Ren...\Oh, no! What's going on with you two?\Why don't you waitresses get the\bowls out or something before you make excuses?\We don't have time to be arguing!\Say that again?\This is the kitchen's problem! Not blame us! response:	We need to work together.
context: Hey Mr. Ren...\Oh, no! What's going on with you two?\Why don't you waitresses get the\bowls out or something before you make excuses?\We don't have time to be arguing!\Say that again?\This is the kitchen's problem! Not blame us!\We need to work together. response:	Your heart's like tofu!
context: Oh, no! What's going on with you two?\Why don't you waitresses get the\bowls out or something before you make excuses?\We don't have time to be arguing!\Say that again?\This is the kitchen's problem! Not blame us!\We need to work together.\Your heart's like tofu! response:	I'm just sensitive! Okay?
context: Why don't you waitresses get the\bowls out or something before you make excuses?\We don't have time to be arguing!\Say that again?\This is the kitchen's problem! Not blame us!\We need to work together.\Your heart's like tofu!\I'm just sensitive! Okay? response:	With that face?!
context: bowls out or something before you make excuses?\We don't have time to be arguing!\Say that again?\This is the kitchen's problem! Not blame us!\We need to work together.\Your heart's like tofu!\I'm just sensitive! Okay?\With that face?! response:	I'm a pure, innocent, sensitive...
context: We don't have time to be arguing!\Say that again?\This is the kitchen's problem! Not blame us!\We need to work together.\Your heart's like tofu!\I'm just sensitive! Okay?\With that face?!\I'm a pure, innocent, sensitive... response:	Shut up!
context: Say that again?\This is the kitchen's problem! Not blame us!\We need to work together.\Your heart's like tofu!\I'm just sensitive! Okay?\With that face?!\I'm a pure, innocent, sensitive...\Shut up! response:	Don't you want to protect the inn?
context: This is the kitchen's problem! Not blame us!\We need to work together.\Your heart's like tofu!\I'm just sensitive! Okay?\With that face?!\I'm a pure, innocent, sensitive...\Shut up!\Don't you want to protect the inn? response:	It's a crucial time for us right now.
context: We need to work together.\Your heart's like tofu!\I'm just sensitive! Okay?\With that face?!\I'm a pure, innocent, sensitive...\Shut up!\Don't you want to protect the inn?\It's a crucial time for us right now. response:	Please don't fight here!
context: Your heart's like tofu!\I'm just sensitive! Okay?\With that face?!\I'm a pure, innocent, sensitive...\Shut up!\Don't you want to protect the inn?\It's a crucial time for us right now.\Please don't fight here! response:	Please...
context: I'm just sensitive! Okay?\With that face?!\I'm a pure, innocent, sensitive...\Shut up!\Don't you want to protect the inn?\It's a crucial time for us right now.\Please don't fight here!\Please... response:	Have a great trip.
context: With that face?!\I'm a pure, innocent, sensitive...\Shut up!\Don't you want to protect the inn?\It's a crucial time for us right now.\Please don't fight here!\Please...\Have a great trip. response:	Thanks.
context: I'm a pure, innocent, sensitive...\Shut up!\Don't you want to protect the inn?\It's a crucial time for us right now.\Please don't fight here!\Please...\Have a great trip.\Thanks. response:	Dear, say bye.
context: Shut up!\Don't you want to protect the inn?\It's a crucial time for us right now.\Please don't fight here!\Please...\Have a great trip.\Thanks.\Dear, say bye. response:	Bye-bye!
context: Don't you want to protect the inn?\It's a crucial time for us right now.\Please don't fight here!\Please...\Have a great trip.\Thanks.\Dear, say bye.\Bye-bye! response:	Something doesn't feel right.
context: It's a crucial time for us right now.\Please don't fight here!\Please...\Have a great trip.\Thanks.\Dear, say bye.\Bye-bye!\Something doesn't feel right. response:	I like the Kissuiso.
context: Please don't fight here!\Please...\Have a great trip.\Thanks.\Dear, say bye.\Bye-bye!\Something doesn't feel right.\I like the Kissuiso. response:	It makes me happy
context: Please...\Have a great trip.\Thanks.\Dear, say bye.\Bye-bye!\Something doesn't feel right.\I like the Kissuiso.\It makes me happy response:	when everyone's doing their best to make the guests happy.
context: Have a great trip.\Thanks.\Dear, say bye.\Bye-bye!\Something doesn't feel right.\I like the Kissuiso.\It makes me happy\when everyone's doing their best to make the guests happy. response:	But... it's not the same anymore.
context: Thanks.\Dear, say bye.\Bye-bye!\Something doesn't feel right.\I like the Kissuiso.\It makes me happy\when everyone's doing their best to make the guests happy.\But... it's not the same anymore. response:	Everyone's too focused on the Madam Manager.
context: Dear, say bye.\Bye-bye!\Something doesn't feel right.\I like the Kissuiso.\It makes me happy\when everyone's doing their best to make the guests happy.\But... it's not the same anymore.\Everyone's too focused on the Madam Manager. response:	Ohana, you know her real intentions, don't you?
context: Bye-bye!\Something doesn't feel right.\I like the Kissuiso.\It makes me happy\when everyone's doing their best to make the guests happy.\But... it's not the same anymore.\Everyone's too focused on the Madam Manager.\Ohana, you know her real intentions, don't you? response:	Tell me!
context: Something doesn't feel right.\I like the Kissuiso.\It makes me happy\when everyone's doing their best to make the guests happy.\But... it's not the same anymore.\Everyone's too focused on the Madam Manager.\Ohana, you know her real intentions, don't you?\Tell me! response:	I want to know!
context: I like the Kissuiso.\It makes me happy\when everyone's doing their best to make the guests happy.\But... it's not the same anymore.\Everyone's too focused on the Madam Manager.\Ohana, you know her real intentions, don't you?\Tell me!\I want to know! response:	She's the very person who founded the Kissuiso I love!
context: It makes me happy\when everyone's doing their best to make the guests happy.\But... it's not the same anymore.\Everyone's too focused on the Madam Manager.\Ohana, you know her real intentions, don't you?\Tell me!\I want to know!\She's the very person who founded the Kissuiso I love! response:	Nakochi...
context: when everyone's doing their best to make the guests happy.\But... it's not the same anymore.\Everyone's too focused on the Madam Manager.\Ohana, you know her real intentions, don't you?\Tell me!\I want to know!\She's the very person who founded the Kissuiso I love!\Nakochi... response:	Stuck with her dream, huh...
context: But... it's not the same anymore.\Everyone's too focused on the Madam Manager.\Ohana, you know her real intentions, don't you?\Tell me!\I want to know!\She's the very person who founded the Kissuiso I love!\Nakochi...\Stuck with her dream, huh... response:	Yeah.
context: Everyone's too focused on the Madam Manager.\Ohana, you know her real intentions, don't you?\Tell me!\I want to know!\She's the very person who founded the Kissuiso I love!\Nakochi...\Stuck with her dream, huh...\Yeah. response:	She just doesn't know.
context: Ohana, you know her real intentions, don't you?\Tell me!\I want to know!\She's the very person who founded the Kissuiso I love!\Nakochi...\Stuck with her dream, huh...\Yeah.\She just doesn't know. response:	Because she's a runner.
context: Tell me!\I want to know!\She's the very person who founded the Kissuiso I love!\Nakochi...\Stuck with her dream, huh...\Yeah.\She just doesn't know.\Because she's a runner. response:	Some people can't have their own dream,
context: I want to know!\She's the very person who founded the Kissuiso I love!\Nakochi...\Stuck with her dream, huh...\Yeah.\She just doesn't know.\Because she's a runner.\Some people can't have their own dream, response:	but they can follow someone else's dream
context: She's the very person who founded the Kissuiso I love!\Nakochi...\Stuck with her dream, huh...\Yeah.\She just doesn't know.\Because she's a runner.\Some people can't have their own dream,\but they can follow someone else's dream response:	and make it their own.
context: Nakochi...\Stuck with her dream, huh...\Yeah.\She just doesn't know.\Because she's a runner.\Some people can't have their own dream,\but they can follow someone else's dream\and make it their own. response:	Yunosagi Springs
context: Stuck with her dream, huh...\Yeah.\She just doesn't know.\Because she's a runner.\Some people can't have their own dream,\but they can follow someone else's dream\and make it their own.\Yunosagi Springs response:	Tomorrow's the real deal.
context: Yeah.\She just doesn't know.\Because she's a runner.\Some people can't have their own dream,\but they can follow someone else's dream\and make it their own.\Yunosagi Springs\Tomorrow's the real deal. response:	Yeah...
context: She just doesn't know.\Because she's a runner.\Some people can't have their own dream,\but they can follow someone else's dream\and make it their own.\Yunosagi Springs\Tomorrow's the real deal.\Yeah... response:	Did you already come up with a wish?
context: Because she's a runner.\Some people can't have their own dream,\but they can follow someone else's dream\and make it their own.\Yunosagi Springs\Tomorrow's the real deal.\Yeah...\Did you already come up with a wish? response:	Oh, not yet.
context: Some people can't have their own dream,\but they can follow someone else's dream\and make it their own.\Yunosagi Springs\Tomorrow's the real deal.\Yeah...\Did you already come up with a wish?\Oh, not yet. response:	And what happened to the Kissuiso's wishing plaques?
context: but they can follow someone else's dream\and make it their own.\Yunosagi Springs\Tomorrow's the real deal.\Yeah...\Did you already come up with a wish?\Oh, not yet.\And what happened to the Kissuiso's wishing plaques? response:	I gave them to you, right?
context: and make it their own.\Yunosagi Springs\Tomorrow's the real deal.\Yeah...\Did you already come up with a wish?\Oh, not yet.\And what happened to the Kissuiso's wishing plaques?\I gave them to you, right? response:	Well... they seem to be busy.
context: Yunosagi Springs\Tomorrow's the real deal.\Yeah...\Did you already come up with a wish?\Oh, not yet.\And what happened to the Kissuiso's wishing plaques?\I gave them to you, right?\Well... they seem to be busy. response:	What?
context: Tomorrow's the real deal.\Yeah...\Did you already come up with a wish?\Oh, not yet.\And what happened to the Kissuiso's wishing plaques?\I gave them to you, right?\Well... they seem to be busy.\What? response:	Ohana, they're taking advantage of you.
context: Yeah...\Did you already come up with a wish?\Oh, not yet.\And what happened to the Kissuiso's wishing plaques?\I gave them to you, right?\Well... they seem to be busy.\What?\Ohana, they're taking advantage of you. response:	That's not it.
context: Did you already come up with a wish?\Oh, not yet.\And what happened to the Kissuiso's wishing plaques?\I gave them to you, right?\Well... they seem to be busy.\What?\Ohana, they're taking advantage of you.\That's not it. response:	Very well!
context: Oh, not yet.\And what happened to the Kissuiso's wishing plaques?\I gave them to you, right?\Well... they seem to be busy.\What?\Ohana, they're taking advantage of you.\That's not it.\Very well! response:	I will go get them for you!
context: And what happened to the Kissuiso's wishing plaques?\I gave them to you, right?\Well... they seem to be busy.\What?\Ohana, they're taking advantage of you.\That's not it.\Very well!\I will go get them for you! response:	Hey! Wait up, Yuina!
context: I gave them to you, right?\Well... they seem to be busy.\What?\Ohana, they're taking advantage of you.\That's not it.\Very well!\I will go get them for you!\Hey! Wait up, Yuina! response:	I will not!
context: Well... they seem to be busy.\What?\Ohana, they're taking advantage of you.\That's not it.\Very well!\I will go get them for you!\Hey! Wait up, Yuina!\I will not! response:	Good evening!
context: What?\Ohana, they're taking advantage of you.\That's not it.\Very well!\I will go get them for you!\Hey! Wait up, Yuina!\I will not!\Good evening! response:	Hey, Yuina!
context: Ohana, they're taking advantage of you.\That's not it.\Very well!\I will go get them for you!\Hey! Wait up, Yuina!\I will not!\Good evening!\Hey, Yuina! response:	Tomoe?!
context: That's not it.\Very well!\I will go get them for you!\Hey! Wait up, Yuina!\I will not!\Good evening!\Hey, Yuina!\Tomoe?! response:	During the festivals, we get people from all over.
context: Very well!\I will go get them for you!\Hey! Wait up, Yuina!\I will not!\Good evening!\Hey, Yuina!\Tomoe?!\During the festivals, we get people from all over. response:	Are you from Tokyo, Miss?
context: I will go get them for you!\Hey! Wait up, Yuina!\I will not!\Good evening!\Hey, Yuina!\Tomoe?!\During the festivals, we get people from all over.\Are you from Tokyo, Miss? response:	What makes you think so?
context: Hey! Wait up, Yuina!\I will not!\Good evening!\Hey, Yuina!\Tomoe?!\During the festivals, we get people from all over.\Are you from Tokyo, Miss?\What makes you think so? response:	Well, you have that city grace.
context: I will not!\Good evening!\Hey, Yuina!\Tomoe?!\During the festivals, we get people from all over.\Are you from Tokyo, Miss?\What makes you think so?\Well, you have that city grace. response:	Do I really?
context: Good evening!\Hey, Yuina!\Tomoe?!\During the festivals, we get people from all over.\Are you from Tokyo, Miss?\What makes you think so?\Well, you have that city grace.\Do I really? response:	That hurts!
context: Hey, Yuina!\Tomoe?!\During the festivals, we get people from all over.\Are you from Tokyo, Miss?\What makes you think so?\Well, you have that city grace.\Do I really?\That hurts! response:	Stop, Beanman! That really hurts!
context: Tomoe?!\During the festivals, we get people from all over.\Are you from Tokyo, Miss?\What makes you think so?\Well, you have that city grace.\Do I really?\That hurts!\Stop, Beanman! That really hurts! response:	How is it?
context: During the festivals, we get people from all over.\Are you from Tokyo, Miss?\What makes you think so?\Well, you have that city grace.\Do I really?\That hurts!\Stop, Beanman! That really hurts!\How is it? response:	It's sprained.
context: Are you from Tokyo, Miss?\What makes you think so?\Well, you have that city grace.\Do I really?\That hurts!\Stop, Beanman! That really hurts!\How is it?\It's sprained. response:	How will we get by like this?
context: What makes you think so?\Well, you have that city grace.\Do I really?\That hurts!\Stop, Beanman! That really hurts!\How is it?\It's sprained.\How will we get by like this? response:	We'll ask the union for help.
context: Well, you have that city grace.\Do I really?\That hurts!\Stop, Beanman! That really hurts!\How is it?\It's sprained.\How will we get by like this?\We'll ask the union for help. response:	Oh, that's not possible.
context: Do I really?\That hurts!\Stop, Beanman! That really hurts!\How is it?\It's sprained.\How will we get by like this?\We'll ask the union for help.\Oh, that's not possible. response:	We also asked for help,
context: That hurts!\Stop, Beanman! That really hurts!\How is it?\It's sprained.\How will we get by like this?\We'll ask the union for help.\Oh, that's not possible.\We also asked for help, response:	but no one can help since it's before the festival.
context: Stop, Beanman! That really hurts!\How is it?\It's sprained.\How will we get by like this?\We'll ask the union for help.\Oh, that's not possible.\We also asked for help,\but no one can help since it's before the festival. response:	You're kidding...
context: How is it?\It's sprained.\How will we get by like this?\We'll ask the union for help.\Oh, that's not possible.\We also asked for help,\but no one can help since it's before the festival.\You're kidding... response:	The Madam Manager said that
context: It's sprained.\How will we get by like this?\We'll ask the union for help.\Oh, that's not possible.\We also asked for help,\but no one can help since it's before the festival.\You're kidding...\The Madam Manager said that response:	we have to do everything the way we used to
context: How will we get by like this?\We'll ask the union for help.\Oh, that's not possible.\We also asked for help,\but no one can help since it's before the festival.\You're kidding...\The Madam Manager said that\we have to do everything the way we used to response:	for the Bonbori Festival.
context: We'll ask the union for help.\Oh, that's not possible.\We also asked for help,\but no one can help since it's before the festival.\You're kidding...\The Madam Manager said that\we have to do everything the way we used to\for the Bonbori Festival. response:	That was part of the promise.
