context: I'm heading out. response:	It's been a week since Hiromi moved out to live alone in an apartment.
context: I'll do my best!\Ground's shadow left the top of the cliff.\Then, the stalled-in-flight Ground rapidly fell towards the earth.\Raigoumaru watched it all, from beginning to end.\Hiromi?\Yeah. Thanks for today!\Today, Takaoka got a call from Hotarugawa's team saying that they apologize.\I see. response:	There was a big commotion about Number 4 being stolen away by a Mugiha girl!
context: Ground's shadow left the top of the cliff.\Then, the stalled-in-flight Ground rapidly fell towards the earth.\Raigoumaru watched it all, from beginning to end.\Hiromi?\Yeah. Thanks for today!\Today, Takaoka got a call from Hotarugawa's team saying that they apologize.\I see.\There was a big commotion about Number 4 being stolen away by a Mugiha girl! response:	How stupid.
context: Then, the stalled-in-flight Ground rapidly fell towards the earth.\Raigoumaru watched it all, from beginning to end.\Hiromi?\Yeah. Thanks for today!\Today, Takaoka got a call from Hotarugawa's team saying that they apologize.\I see.\There was a big commotion about Number 4 being stolen away by a Mugiha girl!\How stupid. response:	But he was so incredible, that Number 4!
context: Raigoumaru watched it all, from beginning to end.\Hiromi?\Yeah. Thanks for today!\Today, Takaoka got a call from Hotarugawa's team saying that they apologize.\I see.\There was a big commotion about Number 4 being stolen away by a Mugiha girl!\How stupid.\But he was so incredible, that Number 4! response:	To say something like that in front of everyone!
context: Hiromi?\Yeah. Thanks for today!\Today, Takaoka got a call from Hotarugawa's team saying that they apologize.\I see.\There was a big commotion about Number 4 being stolen away by a Mugiha girl!\How stupid.\But he was so incredible, that Number 4!\To say something like that in front of everyone! response:	Looks like he's serious about you, Hiromi, uh...
context: Yeah. Thanks for today!\Today, Takaoka got a call from Hotarugawa's team saying that they apologize.\I see.\There was a big commotion about Number 4 being stolen away by a Mugiha girl!\How stupid.\But he was so incredible, that Number 4!\To say something like that in front of everyone!\Looks like he's serious about you, Hiromi, uh... response:	It's fine. I don't care about that anymore.
context: Today, Takaoka got a call from Hotarugawa's team saying that they apologize.\I see.\There was a big commotion about Number 4 being stolen away by a Mugiha girl!\How stupid.\But he was so incredible, that Number 4!\To say something like that in front of everyone!\Looks like he's serious about you, Hiromi, uh...\It's fine. I don't care about that anymore. response:	So how is it, living by yourself?
context: I see.\There was a big commotion about Number 4 being stolen away by a Mugiha girl!\How stupid.\But he was so incredible, that Number 4!\To say something like that in front of everyone!\Looks like he's serious about you, Hiromi, uh...\It's fine. I don't care about that anymore.\So how is it, living by yourself? response:	I'm eating a popsicle right now.
context: There was a big commotion about Number 4 being stolen away by a Mugiha girl!\How stupid.\But he was so incredible, that Number 4!\To say something like that in front of everyone!\Looks like he's serious about you, Hiromi, uh...\It's fine. I don't care about that anymore.\So how is it, living by yourself?\I'm eating a popsicle right now. response:	Ah, how unfair! It must be really nice, huh?
context: How stupid.\But he was so incredible, that Number 4!\To say something like that in front of everyone!\Looks like he's serious about you, Hiromi, uh...\It's fine. I don't care about that anymore.\So how is it, living by yourself?\I'm eating a popsicle right now.\Ah, how unfair! It must be really nice, huh? response:	Yup, living alone is the best!
context: But he was so incredible, that Number 4!\To say something like that in front of everyone!\Looks like he's serious about you, Hiromi, uh...\It's fine. I don't care about that anymore.\So how is it, living by yourself?\I'm eating a popsicle right now.\Ah, how unfair! It must be really nice, huh?\Yup, living alone is the best! response:	You could bring home all the guys you want!
context: To say something like that in front of everyone!\Looks like he's serious about you, Hiromi, uh...\It's fine. I don't care about that anymore.\So how is it, living by yourself?\I'm eating a popsicle right now.\Ah, how unfair! It must be really nice, huh?\Yup, living alone is the best!\You could bring home all the guys you want! response:	Yup.
context: Looks like he's serious about you, Hiromi, uh...\It's fine. I don't care about that anymore.\So how is it, living by yourself?\I'm eating a popsicle right now.\Ah, how unfair! It must be really nice, huh?\Yup, living alone is the best!\You could bring home all the guys you want!\Yup. response:	Eh?!
context: It's fine. I don't care about that anymore.\So how is it, living by yourself?\I'm eating a popsicle right now.\Ah, how unfair! It must be really nice, huh?\Yup, living alone is the best!\You could bring home all the guys you want!\Yup.\Eh?! response:	Oh, sorry. My mom's calling for me, I'll call you back later.
context: So how is it, living by yourself?\I'm eating a popsicle right now.\Ah, how unfair! It must be really nice, huh?\Yup, living alone is the best!\You could bring home all the guys you want!\Yup.\Eh?!\Oh, sorry. My mom's calling for me, I'll call you back later. response:	Yes?
context: I'm eating a popsicle right now.\Ah, how unfair! It must be really nice, huh?\Yup, living alone is the best!\You could bring home all the guys you want!\Yup.\Eh?!\Oh, sorry. My mom's calling for me, I'll call you back later.\Yes? response:	I'm sorry about today.
context: Ah, how unfair! It must be really nice, huh?\Yup, living alone is the best!\You could bring home all the guys you want!\Yup.\Eh?!\Oh, sorry. My mom's calling for me, I'll call you back later.\Yes?\I'm sorry about today. response:	We...
context: Yup, living alone is the best!\You could bring home all the guys you want!\Yup.\Eh?!\Oh, sorry. My mom's calling for me, I'll call you back later.\Yes?\I'm sorry about today.\We... response:	Huh?
context: You could bring home all the guys you want!\Yup.\Eh?!\Oh, sorry. My mom's calling for me, I'll call you back later.\Yes?\I'm sorry about today.\We...\Huh? response:	I've been causing trouble for a lot of people.
context: Yup.\Eh?!\Oh, sorry. My mom's calling for me, I'll call you back later.\Yes?\I'm sorry about today.\We...\Huh?\I've been causing trouble for a lot of people. response:	I've caused many people to start feeling bad.
context: Eh?!\Oh, sorry. My mom's calling for me, I'll call you back later.\Yes?\I'm sorry about today.\We...\Huh?\I've been causing trouble for a lot of people.\I've caused many people to start feeling bad. response:	It's me who should be apologizing.
context: Oh, sorry. My mom's calling for me, I'll call you back later.\Yes?\I'm sorry about today.\We...\Huh?\I've been causing trouble for a lot of people.\I've caused many people to start feeling bad.\It's me who should be apologizing. response:	No...
context: Yes?\I'm sorry about today.\We...\Huh?\I've been causing trouble for a lot of people.\I've caused many people to start feeling bad.\It's me who should be apologizing.\No... response:	I'm sorry.
context: I'm sorry about today.\We...\Huh?\I've been causing trouble for a lot of people.\I've caused many people to start feeling bad.\It's me who should be apologizing.\No...\I'm sorry. response:	And...
context: We...\Huh?\I've been causing trouble for a lot of people.\I've caused many people to start feeling bad.\It's me who should be apologizing.\No...\I'm sorry.\And... response:	Thank you.
context: Huh?\I've been causing trouble for a lot of people.\I've caused many people to start feeling bad.\It's me who should be apologizing.\No...\I'm sorry.\And...\Thank you. response:	Can't we meet up?
context: I've been causing trouble for a lot of people.\I've caused many people to start feeling bad.\It's me who should be apologizing.\No...\I'm sorry.\And...\Thank you.\Can't we meet up? response:	Let's meet, please.
context: I've caused many people to start feeling bad.\It's me who should be apologizing.\No...\I'm sorry.\And...\Thank you.\Can't we meet up?\Let's meet, please. response:	I prepared Yoshida-san's part as well.
context: It's me who should be apologizing.\No...\I'm sorry.\And...\Thank you.\Can't we meet up?\Let's meet, please.\I prepared Yoshida-san's part as well. response:	I see.
context: No...\I'm sorry.\And...\Thank you.\Can't we meet up?\Let's meet, please.\I prepared Yoshida-san's part as well.\I see. response:	That laundry of Shin-chan's over there...
context: I'm sorry.\And...\Thank you.\Can't we meet up?\Let's meet, please.\I prepared Yoshida-san's part as well.\I see.\That laundry of Shin-chan's over there... response:	Sorry, but could you bring it over to his room?
context: And...\Thank you.\Can't we meet up?\Let's meet, please.\I prepared Yoshida-san's part as well.\I see.\That laundry of Shin-chan's over there...\Sorry, but could you bring it over to his room? response:	Ye- Yes.
context: Thank you.\Can't we meet up?\Let's meet, please.\I prepared Yoshida-san's part as well.\I see.\That laundry of Shin-chan's over there...\Sorry, but could you bring it over to his room?\Ye- Yes. response:	Err...
context: Can't we meet up?\Let's meet, please.\I prepared Yoshida-san's part as well.\I see.\That laundry of Shin-chan's over there...\Sorry, but could you bring it over to his room?\Ye- Yes.\Err... response:	The Tale of Raigoumaru and Ground...
context: Let's meet, please.\I prepared Yoshida-san's part as well.\I see.\That laundry of Shin-chan's over there...\Sorry, but could you bring it over to his room?\Ye- Yes.\Err...\The Tale of Raigoumaru and Ground... response:	Err... Obaa-san told me to bring your laundry.
context: I prepared Yoshida-san's part as well.\I see.\That laundry of Shin-chan's over there...\Sorry, but could you bring it over to his room?\Ye- Yes.\Err...\The Tale of Raigoumaru and Ground...\Err... Obaa-san told me to bring your laundry. response:	I went to see the game yesterday.
context: I see.\That laundry of Shin-chan's over there...\Sorry, but could you bring it over to his room?\Ye- Yes.\Err...\The Tale of Raigoumaru and Ground...\Err... Obaa-san told me to bring your laundry.\I went to see the game yesterday. response:	Shinichirou-kun, work hard at the Mugiha dance.
context: That laundry of Shin-chan's over there...\Sorry, but could you bring it over to his room?\Ye- Yes.\Err...\The Tale of Raigoumaru and Ground...\Err... Obaa-san told me to bring your laundry.\I went to see the game yesterday.\Shinichirou-kun, work hard at the Mugiha dance. response:	Hold on, Hiromi.
context: Sorry, but could you bring it over to his room?\Ye- Yes.\Err...\The Tale of Raigoumaru and Ground...\Err... Obaa-san told me to bring your laundry.\I went to see the game yesterday.\Shinichirou-kun, work hard at the Mugiha dance.\Hold on, Hiromi. response:	That guy's...
context: Ye- Yes.\Err...\The Tale of Raigoumaru and Ground...\Err... Obaa-san told me to bring your laundry.\I went to see the game yesterday.\Shinichirou-kun, work hard at the Mugiha dance.\Hold on, Hiromi.\That guy's... response:	Yup.
context: Err...\The Tale of Raigoumaru and Ground...\Err... Obaa-san told me to bring your laundry.\I went to see the game yesterday.\Shinichirou-kun, work hard at the Mugiha dance.\Hold on, Hiromi.\That guy's...\Yup. response:	At that park.
context: The Tale of Raigoumaru and Ground...\Err... Obaa-san told me to bring your laundry.\I went to see the game yesterday.\Shinichirou-kun, work hard at the Mugiha dance.\Hold on, Hiromi.\That guy's...\Yup.\At that park. response:	Thanks for coming.
context: Err... Obaa-san told me to bring your laundry.\I went to see the game yesterday.\Shinichirou-kun, work hard at the Mugiha dance.\Hold on, Hiromi.\That guy's...\Yup.\At that park.\Thanks for coming. response:	No matter what, I wanted to apologize in person.
context: I went to see the game yesterday.\Shinichirou-kun, work hard at the Mugiha dance.\Hold on, Hiromi.\That guy's...\Yup.\At that park.\Thanks for coming.\No matter what, I wanted to apologize in person. response:	Yeah. I understand, so don't worry about it.
context: Shinichirou-kun, work hard at the Mugiha dance.\Hold on, Hiromi.\That guy's...\Yup.\At that park.\Thanks for coming.\No matter what, I wanted to apologize in person.\Yeah. I understand, so don't worry about it. response:	Besides, I was happy you did that for my sake.
context: Hold on, Hiromi.\That guy's...\Yup.\At that park.\Thanks for coming.\No matter what, I wanted to apologize in person.\Yeah. I understand, so don't worry about it.\Besides, I was happy you did that for my sake. response:	Was that all you wanted to say?
context: That guy's...\Yup.\At that park.\Thanks for coming.\No matter what, I wanted to apologize in person.\Yeah. I understand, so don't worry about it.\Besides, I was happy you did that for my sake.\Was that all you wanted to say? response:	Don't be so cold.
context: Yup.\At that park.\Thanks for coming.\No matter what, I wanted to apologize in person.\Yeah. I understand, so don't worry about it.\Besides, I was happy you did that for my sake.\Was that all you wanted to say?\Don't be so cold. response:	Want to get a cup of tea?
context: At that park.\Thanks for coming.\No matter what, I wanted to apologize in person.\Yeah. I understand, so don't worry about it.\Besides, I was happy you did that for my sake.\Was that all you wanted to say?\Don't be so cold.\Want to get a cup of tea? response:	Then, it's my turn to talk now.
context: Thanks for coming.\No matter what, I wanted to apologize in person.\Yeah. I understand, so don't worry about it.\Besides, I was happy you did that for my sake.\Was that all you wanted to say?\Don't be so cold.\Want to get a cup of tea?\Then, it's my turn to talk now. response:	Let's not meet or call each other anymore.
context: No matter what, I wanted to apologize in person.\Yeah. I understand, so don't worry about it.\Besides, I was happy you did that for my sake.\Was that all you wanted to say?\Don't be so cold.\Want to get a cup of tea?\Then, it's my turn to talk now.\Let's not meet or call each other anymore. response:	At this rate, someone else will get dragged into this.
context: Yeah. I understand, so don't worry about it.\Besides, I was happy you did that for my sake.\Was that all you wanted to say?\Don't be so cold.\Want to get a cup of tea?\Then, it's my turn to talk now.\Let's not meet or call each other anymore.\At this rate, someone else will get dragged into this. response:	I wanted to tell you face-to-face when I met with you.
context: Besides, I was happy you did that for my sake.\Was that all you wanted to say?\Don't be so cold.\Want to get a cup of tea?\Then, it's my turn to talk now.\Let's not meet or call each other anymore.\At this rate, someone else will get dragged into this.\I wanted to tell you face-to-face when I met with you. response:	What, so it is bothering you after all.
context: Was that all you wanted to say?\Don't be so cold.\Want to get a cup of tea?\Then, it's my turn to talk now.\Let's not meet or call each other anymore.\At this rate, someone else will get dragged into this.\I wanted to tell you face-to-face when I met with you.\What, so it is bothering you after all. response:	But, like I said last time.
context: Don't be so cold.\Want to get a cup of tea?\Then, it's my turn to talk now.\Let's not meet or call each other anymore.\At this rate, someone else will get dragged into this.\I wanted to tell you face-to-face when I met with you.\What, so it is bothering you after all.\But, like I said last time. response:	Our agreement is not over yet.
context: Want to get a cup of tea?\Then, it's my turn to talk now.\Let's not meet or call each other anymore.\At this rate, someone else will get dragged into this.\I wanted to tell you face-to-face when I met with you.\What, so it is bothering you after all.\But, like I said last time.\Our agreement is not over yet. response:	It's not me that you love.
context: Then, it's my turn to talk now.\Let's not meet or call each other anymore.\At this rate, someone else will get dragged into this.\I wanted to tell you face-to-face when I met with you.\What, so it is bothering you after all.\But, like I said last time.\Our agreement is not over yet.\It's not me that you love. response:	To you, nothing matters but her.
context: Let's not meet or call each other anymore.\At this rate, someone else will get dragged into this.\I wanted to tell you face-to-face when I met with you.\What, so it is bothering you after all.\But, like I said last time.\Our agreement is not over yet.\It's not me that you love.\To you, nothing matters but her. response:	Why don't you understand?
context: At this rate, someone else will get dragged into this.\I wanted to tell you face-to-face when I met with you.\What, so it is bothering you after all.\But, like I said last time.\Our agreement is not over yet.\It's not me that you love.\To you, nothing matters but her.\Why don't you understand? response:	It was the first flight of a chicken, and the one who held the glory for that failure...
context: I wanted to tell you face-to-face when I met with you.\What, so it is bothering you after all.\But, like I said last time.\Our agreement is not over yet.\It's not me that you love.\To you, nothing matters but her.\Why don't you understand?\It was the first flight of a chicken, and the one who held the glory for that failure... response:	was Ground.
context: What, so it is bothering you after all.\But, like I said last time.\Our agreement is not over yet.\It's not me that you love.\To you, nothing matters but her.\Why don't you understand?\It was the first flight of a chicken, and the one who held the glory for that failure...\was Ground. response:	Raigoumaru was just a regular bird in the crowd of cowardly chickens.
context: But, like I said last time.\Our agreement is not over yet.\It's not me that you love.\To you, nothing matters but her.\Why don't you understand?\It was the first flight of a chicken, and the one who held the glory for that failure...\was Ground.\Raigoumaru was just a regular bird in the crowd of cowardly chickens. response:	The end.
context: Our agreement is not over yet.\It's not me that you love.\To you, nothing matters but her.\Why don't you understand?\It was the first flight of a chicken, and the one who held the glory for that failure...\was Ground.\Raigoumaru was just a regular bird in the crowd of cowardly chickens.\The end. response:	Who would read a bad ending like this one?
context: It's not me that you love.\To you, nothing matters but her.\Why don't you understand?\It was the first flight of a chicken, and the one who held the glory for that failure...\was Ground.\Raigoumaru was just a regular bird in the crowd of cowardly chickens.\The end.\Who would read a bad ending like this one? response:	I wonder what Noe would say if she read it.
context: To you, nothing matters but her.\Why don't you understand?\It was the first flight of a chicken, and the one who held the glory for that failure...\was Ground.\Raigoumaru was just a regular bird in the crowd of cowardly chickens.\The end.\Who would read a bad ending like this one?\I wonder what Noe would say if she read it. response:	That's right...
context: Why don't you understand?\It was the first flight of a chicken, and the one who held the glory for that failure...\was Ground.\Raigoumaru was just a regular bird in the crowd of cowardly chickens.\The end.\Who would read a bad ending like this one?\I wonder what Noe would say if she read it.\That's right... response:	I need to show this to Noe...
context: It was the first flight of a chicken, and the one who held the glory for that failure...\was Ground.\Raigoumaru was just a regular bird in the crowd of cowardly chickens.\The end.\Who would read a bad ending like this one?\I wonder what Noe would say if she read it.\That's right...\I need to show this to Noe... response:	I've got nothing more to tell you...
context: was Ground.\Raigoumaru was just a regular bird in the crowd of cowardly chickens.\The end.\Who would read a bad ending like this one?\I wonder what Noe would say if she read it.\That's right...\I need to show this to Noe...\I've got nothing more to tell you... response:	Noe didn't come home.
context: Raigoumaru was just a regular bird in the crowd of cowardly chickens.\The end.\Who would read a bad ending like this one?\I wonder what Noe would say if she read it.\That's right...\I need to show this to Noe...\I've got nothing more to tell you...\Noe didn't come home. response:	Oh... I see...
context: The end.\Who would read a bad ending like this one?\I wonder what Noe would say if she read it.\That's right...\I need to show this to Noe...\I've got nothing more to tell you...\Noe didn't come home.\Oh... I see... response:	Well, please call him.
context: Who would read a bad ending like this one?\I wonder what Noe would say if she read it.\That's right...\I need to show this to Noe...\I've got nothing more to tell you...\Noe didn't come home.\Oh... I see...\Well, please call him. response:	Sure...
context: I wonder what Noe would say if she read it.\That's right...\I need to show this to Noe...\I've got nothing more to tell you...\Noe didn't come home.\Oh... I see...\Well, please call him.\Sure... response:	I'm sorry... were you asleep?
context: That's right...\I need to show this to Noe...\I've got nothing more to tell you...\Noe didn't come home.\Oh... I see...\Well, please call him.\Sure...\I'm sorry... were you asleep? response:	I'm drawing my picture book.
context: I need to show this to Noe...\I've got nothing more to tell you...\Noe didn't come home.\Oh... I see...\Well, please call him.\Sure...\I'm sorry... were you asleep?\I'm drawing my picture book. response:	Hello? Hiromi?
context: I've got nothing more to tell you...\Noe didn't come home.\Oh... I see...\Well, please call him.\Sure...\I'm sorry... were you asleep?\I'm drawing my picture book.\Hello? Hiromi? response:	The Tale of Raigoumaru and Ground.
context: Noe didn't come home.\Oh... I see...\Well, please call him.\Sure...\I'm sorry... were you asleep?\I'm drawing my picture book.\Hello? Hiromi?\The Tale of Raigoumaru and Ground. response:	Eh?
context: Oh... I see...\Well, please call him.\Sure...\I'm sorry... were you asleep?\I'm drawing my picture book.\Hello? Hiromi?\The Tale of Raigoumaru and Ground.\Eh? response:	No, it's nothing.
context: Well, please call him.\Sure...\I'm sorry... were you asleep?\I'm drawing my picture book.\Hello? Hiromi?\The Tale of Raigoumaru and Ground.\Eh?\No, it's nothing. response:	I see.
context: Sure...\I'm sorry... were you asleep?\I'm drawing my picture book.\Hello? Hiromi?\The Tale of Raigoumaru and Ground.\Eh?\No, it's nothing.\I see. response:	So, what's the matter? Calling this late...
context: I'm sorry... were you asleep?\I'm drawing my picture book.\Hello? Hiromi?\The Tale of Raigoumaru and Ground.\Eh?\No, it's nothing.\I see.\So, what's the matter? Calling this late... response:	Isurugi Noe didn't come home.
context: I'm drawing my picture book.\Hello? Hiromi?\The Tale of Raigoumaru and Ground.\Eh?\No, it's nothing.\I see.\So, what's the matter? Calling this late...\Isurugi Noe didn't come home. response:	Eh?
context: Hello? Hiromi?\The Tale of Raigoumaru and Ground.\Eh?\No, it's nothing.\I see.\So, what's the matter? Calling this late...\Isurugi Noe didn't come home.\Eh? response:	Her brother wondered if Shinichirou-kun would know where she is.
context: The Tale of Raigoumaru and Ground.\Eh?\No, it's nothing.\I see.\So, what's the matter? Calling this late...\Isurugi Noe didn't come home.\Eh?\Her brother wondered if Shinichirou-kun would know where she is. response:	I got it. I'll go look for her right now.
context: Eh?\No, it's nothing.\I see.\So, what's the matter? Calling this late...\Isurugi Noe didn't come home.\Eh?\Her brother wondered if Shinichirou-kun would know where she is.\I got it. I'll go look for her right now. response:	If anything happens over there, call me.
context: No, it's nothing.\I see.\So, what's the matter? Calling this late...\Isurugi Noe didn't come home.\Eh?\Her brother wondered if Shinichirou-kun would know where she is.\I got it. I'll go look for her right now.\If anything happens over there, call me. response:	Shinichirou-kun?
context: I see.\So, what's the matter? Calling this late...\Isurugi Noe didn't come home.\Eh?\Her brother wondered if Shinichirou-kun would know where she is.\I got it. I'll go look for her right now.\If anything happens over there, call me.\Shinichirou-kun? response:	Shinichirou-
context: So, what's the matter? Calling this late...\Isurugi Noe didn't come home.\Eh?\Her brother wondered if Shinichirou-kun would know where she is.\I got it. I'll go look for her right now.\If anything happens over there, call me.\Shinichirou-kun?\Shinichirou- response:	It seems I can't understand how you feel, after all...
context: Isurugi Noe didn't come home.\Eh?\Her brother wondered if Shinichirou-kun would know where she is.\I got it. I'll go look for her right now.\If anything happens over there, call me.\Shinichirou-kun?\Shinichirou-\It seems I can't understand how you feel, after all... response:	In this world, there are many painful and sad things.
context: Eh?\Her brother wondered if Shinichirou-kun would know where she is.\I got it. I'll go look for her right now.\If anything happens over there, call me.\Shinichirou-kun?\Shinichirou-\It seems I can't understand how you feel, after all...\In this world, there are many painful and sad things. response:	I want to fly. To escape from everything, and spread my wings freely.
context: Her brother wondered if Shinichirou-kun would know where she is.\I got it. I'll go look for her right now.\If anything happens over there, call me.\Shinichirou-kun?\Shinichirou-\It seems I can't understand how you feel, after all...\In this world, there are many painful and sad things.\I want to fly. To escape from everything, and spread my wings freely. response:	It would be simpler to wish for that, Ground.
context: I got it. I'll go look for her right now.\If anything happens over there, call me.\Shinichirou-kun?\Shinichirou-\It seems I can't understand how you feel, after all...\In this world, there are many painful and sad things.\I want to fly. To escape from everything, and spread my wings freely.\It would be simpler to wish for that, Ground. response:	Ground, I'll help you fly.
context: If anything happens over there, call me.\Shinichirou-kun?\Shinichirou-\It seems I can't understand how you feel, after all...\In this world, there are many painful and sad things.\I want to fly. To escape from everything, and spread my wings freely.\It would be simpler to wish for that, Ground.\Ground, I'll help you fly. response:	Ground...
context: Shinichirou-kun?\Shinichirou-\It seems I can't understand how you feel, after all...\In this world, there are many painful and sad things.\I want to fly. To escape from everything, and spread my wings freely.\It would be simpler to wish for that, Ground.\Ground, I'll help you fly.\Ground... response:	Noe... did you take him with you?
context: Shinichirou-\It seems I can't understand how you feel, after all...\In this world, there are many painful and sad things.\I want to fly. To escape from everything, and spread my wings freely.\It would be simpler to wish for that, Ground.\Ground, I'll help you fly.\Ground...\Noe... did you take him with you? response:	That's right...
context: It seems I can't understand how you feel, after all...\In this world, there are many painful and sad things.\I want to fly. To escape from everything, and spread my wings freely.\It would be simpler to wish for that, Ground.\Ground, I'll help you fly.\Ground...\Noe... did you take him with you?\That's right... response:	This isn't the place where you take flight.
context: In this world, there are many painful and sad things.\I want to fly. To escape from everything, and spread my wings freely.\It would be simpler to wish for that, Ground.\Ground, I'll help you fly.\Ground...\Noe... did you take him with you?\That's right...\This isn't the place where you take flight. response:	That was... her way of breaking up...
context: I want to fly. To escape from everything, and spread my wings freely.\It would be simpler to wish for that, Ground.\Ground, I'll help you fly.\Ground...\Noe... did you take him with you?\That's right...\This isn't the place where you take flight.\That was... her way of breaking up... response:	Under Shinichirou's shoe, there's a cockroach, too
context: It would be simpler to wish for that, Ground.\Ground, I'll help you fly.\Ground...\Noe... did you take him with you?\That's right...\This isn't the place where you take flight.\That was... her way of breaking up...\Under Shinichirou's shoe, there's a cockroach, too response:	In Shinichirou's hat, there's a cockroach, too
context: Ground, I'll help you fly.\Ground...\Noe... did you take him with you?\That's right...\This isn't the place where you take flight.\That was... her way of breaking up...\Under Shinichirou's shoe, there's a cockroach, too\In Shinichirou's hat, there's a cockroach, too response:	On Shinichirou's
context: Ground...\Noe... did you take him with you?\That's right...\This isn't the place where you take flight.\That was... her way of breaking up...\Under Shinichirou's shoe, there's a cockroach, too\In Shinichirou's hat, there's a cockroach, too\On Shinichirou's response:	Butt there's a cockroach
context: Noe... did you take him with you?\That's right...\This isn't the place where you take flight.\That was... her way of breaking up...\Under Shinichirou's shoe, there's a cockroach, too\In Shinichirou's hat, there's a cockroach, too\On Shinichirou's\Butt there's a cockroach response:	In Shinichirou's...
context: That's right...\This isn't the place where you take flight.\That was... her way of breaking up...\Under Shinichirou's shoe, there's a cockroach, too\In Shinichirou's hat, there's a cockroach, too\On Shinichirou's\Butt there's a cockroach\In Shinichirou's... response:	Inside Shinichirou's heart, there is...
context: This isn't the place where you take flight.\That was... her way of breaking up...\Under Shinichirou's shoe, there's a cockroach, too\In Shinichirou's hat, there's a cockroach, too\On Shinichirou's\Butt there's a cockroach\In Shinichirou's...\Inside Shinichirou's heart, there is... response:	Yuasa Hiromi.
context: That was... her way of breaking up...\Under Shinichirou's shoe, there's a cockroach, too\In Shinichirou's hat, there's a cockroach, too\On Shinichirou's\Butt there's a cockroach\In Shinichirou's...\Inside Shinichirou's heart, there is...\Yuasa Hiromi. response:	They're beautiful.
context: Under Shinichirou's shoe, there's a cockroach, too\In Shinichirou's hat, there's a cockroach, too\On Shinichirou's\Butt there's a cockroach\In Shinichirou's...\Inside Shinichirou's heart, there is...\Yuasa Hiromi.\They're beautiful. response:	Your tears...
context: In Shinichirou's hat, there's a cockroach, too\On Shinichirou's\Butt there's a cockroach\In Shinichirou's...\Inside Shinichirou's heart, there is...\Yuasa Hiromi.\They're beautiful.\Your tears... response:	Really, what was I doing?
context: On Shinichirou's\Butt there's a cockroach\In Shinichirou's...\Inside Shinichirou's heart, there is...\Yuasa Hiromi.\They're beautiful.\Your tears...\Really, what was I doing? response:	May I kiss you?
context: Butt there's a cockroach\In Shinichirou's...\Inside Shinichirou's heart, there is...\Yuasa Hiromi.\They're beautiful.\Your tears...\Really, what was I doing?\May I kiss you? response:	From my eyes that can't see anything...
