context: It's not a dream. response:	It's not a joke.
context: I request your assistance!\No dice.\Why not?!\Look, going to school means you're taking classes, right?\That means you've got tons of time allotted every day just for learning.\If you still can't do it, you're probably just not putting in the work.\Academics aren't like sports. Anyone can pick this stuff up if they try.\She's right. response:	Traitor!
context: No dice.\Why not?!\Look, going to school means you're taking classes, right?\That means you've got tons of time allotted every day just for learning.\If you still can't do it, you're probably just not putting in the work.\Academics aren't like sports. Anyone can pick this stuff up if they try.\She's right.\Traitor! response:	I'm not a traitor.
context: Why not?!\Look, going to school means you're taking classes, right?\That means you've got tons of time allotted every day just for learning.\If you still can't do it, you're probably just not putting in the work.\Academics aren't like sports. Anyone can pick this stuff up if they try.\She's right.\Traitor!\I'm not a traitor. response:	Hinata's right, that's all.
context: Look, going to school means you're taking classes, right?\That means you've got tons of time allotted every day just for learning.\If you still can't do it, you're probably just not putting in the work.\Academics aren't like sports. Anyone can pick this stuff up if they try.\She's right.\Traitor!\I'm not a traitor.\Hinata's right, that's all. response:	Fine, whatever. I'll ask Yuzuki-chan!
context: That means you've got tons of time allotted every day just for learning.\If you still can't do it, you're probably just not putting in the work.\Academics aren't like sports. Anyone can pick this stuff up if they try.\She's right.\Traitor!\I'm not a traitor.\Hinata's right, that's all.\Fine, whatever. I'll ask Yuzuki-chan! response:	She's younger than you.
context: If you still can't do it, you're probably just not putting in the work.\Academics aren't like sports. Anyone can pick this stuff up if they try.\She's right.\Traitor!\I'm not a traitor.\Hinata's right, that's all.\Fine, whatever. I'll ask Yuzuki-chan!\She's younger than you. response:	I'm outside the gate.
context: Academics aren't like sports. Anyone can pick this stuff up if they try.\She's right.\Traitor!\I'm not a traitor.\Hinata's right, that's all.\Fine, whatever. I'll ask Yuzuki-chan!\She's younger than you.\I'm outside the gate. response:	She's here, she says!
context: She's right.\Traitor!\I'm not a traitor.\Hinata's right, that's all.\Fine, whatever. I'll ask Yuzuki-chan!\She's younger than you.\I'm outside the gate.\She's here, she says! response:	Good morning!
context: Traitor!\I'm not a traitor.\Hinata's right, that's all.\Fine, whatever. I'll ask Yuzuki-chan!\She's younger than you.\I'm outside the gate.\She's here, she says!\Good morning! response:	You seem different today...
context: I'm not a traitor.\Hinata's right, that's all.\Fine, whatever. I'll ask Yuzuki-chan!\She's younger than you.\I'm outside the gate.\She's here, she says!\Good morning!\You seem different today... response:	I was at work last time. I had to dress that way.
context: Hinata's right, that's all.\Fine, whatever. I'll ask Yuzuki-chan!\She's younger than you.\I'm outside the gate.\She's here, she says!\Good morning!\You seem different today...\I was at work last time. I had to dress that way. response:	You had to?
context: Fine, whatever. I'll ask Yuzuki-chan!\She's younger than you.\I'm outside the gate.\She's here, she says!\Good morning!\You seem different today...\I was at work last time. I had to dress that way.\You had to? response:	I just look awful in that cutesy stuff, anyway.
context: She's younger than you.\I'm outside the gate.\She's here, she says!\Good morning!\You seem different today...\I was at work last time. I had to dress that way.\You had to?\I just look awful in that cutesy stuff, anyway. response:	It's really not me.
context: I'm outside the gate.\She's here, she says!\Good morning!\You seem different today...\I was at work last time. I had to dress that way.\You had to?\I just look awful in that cutesy stuff, anyway.\It's really not me. response:	Really?
context: She's here, she says!\Good morning!\You seem different today...\I was at work last time. I had to dress that way.\You had to?\I just look awful in that cutesy stuff, anyway.\It's really not me.\Really? response:	I thought you looked cute...
context: Good morning!\You seem different today...\I was at work last time. I had to dress that way.\You had to?\I just look awful in that cutesy stuff, anyway.\It's really not me.\Really?\I thought you looked cute... response:	I can't stand that Look at me, I'm a girly-girl! junk.
context: You seem different today...\I was at work last time. I had to dress that way.\You had to?\I just look awful in that cutesy stuff, anyway.\It's really not me.\Really?\I thought you looked cute...\I can't stand that Look at me, I'm a girly-girl! junk. response:	Why's she in such a bad mood?
context: I was at work last time. I had to dress that way.\You had to?\I just look awful in that cutesy stuff, anyway.\It's really not me.\Really?\I thought you looked cute...\I can't stand that Look at me, I'm a girly-girl! junk.\Why's she in such a bad mood? response:	Well, her job being what it is,
context: You had to?\I just look awful in that cutesy stuff, anyway.\It's really not me.\Really?\I thought you looked cute...\I can't stand that Look at me, I'm a girly-girl! junk.\Why's she in such a bad mood?\Well, her job being what it is, response:	she probably deals with some complicated stuff.
context: I just look awful in that cutesy stuff, anyway.\It's really not me.\Really?\I thought you looked cute...\I can't stand that Look at me, I'm a girly-girl! junk.\Why's she in such a bad mood?\Well, her job being what it is,\she probably deals with some complicated stuff. response:	Is this the place?
context: It's really not me.\Really?\I thought you looked cute...\I can't stand that Look at me, I'm a girly-girl! junk.\Why's she in such a bad mood?\Well, her job being what it is,\she probably deals with some complicated stuff.\Is this the place? response:	Yeah, definitely.
context: Really?\I thought you looked cute...\I can't stand that Look at me, I'm a girly-girl! junk.\Why's she in such a bad mood?\Well, her job being what it is,\she probably deals with some complicated stuff.\Is this the place?\Yeah, definitely. response:	Sorry I'm late!
context: I thought you looked cute...\I can't stand that Look at me, I'm a girly-girl! junk.\Why's she in such a bad mood?\Well, her job being what it is,\she probably deals with some complicated stuff.\Is this the place?\Yeah, definitely.\Sorry I'm late! response:	Sorry that it wasn't the easiest place to find.
context: I can't stand that Look at me, I'm a girly-girl! junk.\Why's she in such a bad mood?\Well, her job being what it is,\she probably deals with some complicated stuff.\Is this the place?\Yeah, definitely.\Sorry I'm late!\Sorry that it wasn't the easiest place to find. response:	Go on, get in.
context: Why's she in such a bad mood?\Well, her job being what it is,\she probably deals with some complicated stuff.\Is this the place?\Yeah, definitely.\Sorry I'm late!\Sorry that it wasn't the easiest place to find.\Go on, get in. response:	Oh, don't worry, I'll tidy it up!
context: Well, her job being what it is,\she probably deals with some complicated stuff.\Is this the place?\Yeah, definitely.\Sorry I'm late!\Sorry that it wasn't the easiest place to find.\Go on, get in.\Oh, don't worry, I'll tidy it up! response:	Sorry, sorry!
context: she probably deals with some complicated stuff.\Is this the place?\Yeah, definitely.\Sorry I'm late!\Sorry that it wasn't the easiest place to find.\Go on, get in.\Oh, don't worry, I'll tidy it up!\Sorry, sorry! response:	This isn't quite what I was expecting...
context: Is this the place?\Yeah, definitely.\Sorry I'm late!\Sorry that it wasn't the easiest place to find.\Go on, get in.\Oh, don't worry, I'll tidy it up!\Sorry, sorry!\This isn't quite what I was expecting... response:	Not quite what you were expecting, huh?
context: Yeah, definitely.\Sorry I'm late!\Sorry that it wasn't the easiest place to find.\Go on, get in.\Oh, don't worry, I'll tidy it up!\Sorry, sorry!\This isn't quite what I was expecting...\Not quite what you were expecting, huh? response:	Yeah, I guess it wouldn't be.
context: Sorry I'm late!\Sorry that it wasn't the easiest place to find.\Go on, get in.\Oh, don't worry, I'll tidy it up!\Sorry, sorry!\This isn't quite what I was expecting...\Not quite what you were expecting, huh?\Yeah, I guess it wouldn't be. response:	An Antarctic expedition is a very big project.
context: Sorry that it wasn't the easiest place to find.\Go on, get in.\Oh, don't worry, I'll tidy it up!\Sorry, sorry!\This isn't quite what I was expecting...\Not quite what you were expecting, huh?\Yeah, I guess it wouldn't be.\An Antarctic expedition is a very big project. response:	Even if we are civilians, you wouldn't expect a junky old minivan.
context: Go on, get in.\Oh, don't worry, I'll tidy it up!\Sorry, sorry!\This isn't quite what I was expecting...\Not quite what you were expecting, huh?\Yeah, I guess it wouldn't be.\An Antarctic expedition is a very big project.\Even if we are civilians, you wouldn't expect a junky old minivan. response:	How are we supposed to respond to that?
context: Oh, don't worry, I'll tidy it up!\Sorry, sorry!\This isn't quite what I was expecting...\Not quite what you were expecting, huh?\Yeah, I guess it wouldn't be.\An Antarctic expedition is a very big project.\Even if we are civilians, you wouldn't expect a junky old minivan.\How are we supposed to respond to that? response:	Like I'd know!
context: Sorry, sorry!\This isn't quite what I was expecting...\Not quite what you were expecting, huh?\Yeah, I guess it wouldn't be.\An Antarctic expedition is a very big project.\Even if we are civilians, you wouldn't expect a junky old minivan.\How are we supposed to respond to that?\Like I'd know! response:	But I never thought you'd manage to end up coming with us.
context: This isn't quite what I was expecting...\Not quite what you were expecting, huh?\Yeah, I guess it wouldn't be.\An Antarctic expedition is a very big project.\Even if we are civilians, you wouldn't expect a junky old minivan.\How are we supposed to respond to that?\Like I'd know!\But I never thought you'd manage to end up coming with us. response:	What happened to your million yen?
context: Not quite what you were expecting, huh?\Yeah, I guess it wouldn't be.\An Antarctic expedition is a very big project.\Even if we are civilians, you wouldn't expect a junky old minivan.\How are we supposed to respond to that?\Like I'd know!\But I never thought you'd manage to end up coming with us.\What happened to your million yen? response:	I still have it.
context: Yeah, I guess it wouldn't be.\An Antarctic expedition is a very big project.\Even if we are civilians, you wouldn't expect a junky old minivan.\How are we supposed to respond to that?\Like I'd know!\But I never thought you'd manage to end up coming with us.\What happened to your million yen?\I still have it. response:	You don't need it, do you?
context: An Antarctic expedition is a very big project.\Even if we are civilians, you wouldn't expect a junky old minivan.\How are we supposed to respond to that?\Like I'd know!\But I never thought you'd manage to end up coming with us.\What happened to your million yen?\I still have it.\You don't need it, do you? response:	As I'm sure you've read, we don't have any money.
context: Even if we are civilians, you wouldn't expect a junky old minivan.\How are we supposed to respond to that?\Like I'd know!\But I never thought you'd manage to end up coming with us.\What happened to your million yen?\I still have it.\You don't need it, do you?\As I'm sure you've read, we don't have any money. response:	Do not insert tape! DANGER!
context: How are we supposed to respond to that?\Like I'd know!\But I never thought you'd manage to end up coming with us.\What happened to your million yen?\I still have it.\You don't need it, do you?\As I'm sure you've read, we don't have any money.\Do not insert tape! DANGER! response:	So we're doing a whole lot to raise the funds to get to Antarctica.
context: Like I'd know!\But I never thought you'd manage to end up coming with us.\What happened to your million yen?\I still have it.\You don't need it, do you?\As I'm sure you've read, we don't have any money.\Do not insert tape! DANGER!\So we're doing a whole lot to raise the funds to get to Antarctica. response:	That also means we're trimming every bit of fat that we can.
context: But I never thought you'd manage to end up coming with us.\What happened to your million yen?\I still have it.\You don't need it, do you?\As I'm sure you've read, we don't have any money.\Do not insert tape! DANGER!\So we're doing a whole lot to raise the funds to get to Antarctica.\That also means we're trimming every bit of fat that we can. response:	We won't let it be canceled. Don't worry.
context: What happened to your million yen?\I still have it.\You don't need it, do you?\As I'm sure you've read, we don't have any money.\Do not insert tape! DANGER!\So we're doing a whole lot to raise the funds to get to Antarctica.\That also means we're trimming every bit of fat that we can.\We won't let it be canceled. Don't worry. response:	Civilian Japanese Antarctic Expedition Challenge for Antarctic (2nd) Sponsor Recruitment
context: I still have it.\You don't need it, do you?\As I'm sure you've read, we don't have any money.\Do not insert tape! DANGER!\So we're doing a whole lot to raise the funds to get to Antarctica.\That also means we're trimming every bit of fat that we can.\We won't let it be canceled. Don't worry.\Civilian Japanese Antarctic Expedition Challenge for Antarctic (2nd) Sponsor Recruitment response:	You girls might not know this,
context: You don't need it, do you?\As I'm sure you've read, we don't have any money.\Do not insert tape! DANGER!\So we're doing a whole lot to raise the funds to get to Antarctica.\That also means we're trimming every bit of fat that we can.\We won't let it be canceled. Don't worry.\Civilian Japanese Antarctic Expedition Challenge for Antarctic (2nd) Sponsor Recruitment\You girls might not know this, response:	but we've been hearing the same thing over and over since the project started.
context: As I'm sure you've read, we don't have any money.\Do not insert tape! DANGER!\So we're doing a whole lot to raise the funds to get to Antarctica.\That also means we're trimming every bit of fat that we can.\We won't let it be canceled. Don't worry.\Civilian Japanese Antarctic Expedition Challenge for Antarctic (2nd) Sponsor Recruitment\You girls might not know this,\but we've been hearing the same thing over and over since the project started. response:	Icebreaker Shirase Recruiting naming rights partners!!
context: Do not insert tape! DANGER!\So we're doing a whole lot to raise the funds to get to Antarctica.\That also means we're trimming every bit of fat that we can.\We won't let it be canceled. Don't worry.\Civilian Japanese Antarctic Expedition Challenge for Antarctic (2nd) Sponsor Recruitment\You girls might not know this,\but we've been hearing the same thing over and over since the project started.\Icebreaker Shirase Recruiting naming rights partners!! response:	Your name here!
context: So we're doing a whole lot to raise the funds to get to Antarctica.\That also means we're trimming every bit of fat that we can.\We won't let it be canceled. Don't worry.\Civilian Japanese Antarctic Expedition Challenge for Antarctic (2nd) Sponsor Recruitment\You girls might not know this,\but we've been hearing the same thing over and over since the project started.\Icebreaker Shirase Recruiting naming rights partners!!\Your name here! response:	Pins
context: That also means we're trimming every bit of fat that we can.\We won't let it be canceled. Don't worry.\Civilian Japanese Antarctic Expedition Challenge for Antarctic (2nd) Sponsor Recruitment\You girls might not know this,\but we've been hearing the same thing over and over since the project started.\Icebreaker Shirase Recruiting naming rights partners!!\Your name here!\Pins response:	You don't have the money. Won't it be dangerous?
context: We won't let it be canceled. Don't worry.\Civilian Japanese Antarctic Expedition Challenge for Antarctic (2nd) Sponsor Recruitment\You girls might not know this,\but we've been hearing the same thing over and over since the project started.\Icebreaker Shirase Recruiting naming rights partners!!\Your name here!\Pins\You don't have the money. Won't it be dangerous? response:	We're used to it.
context: Civilian Japanese Antarctic Expedition Challenge for Antarctic (2nd) Sponsor Recruitment\You girls might not know this,\but we've been hearing the same thing over and over since the project started.\Icebreaker Shirase Recruiting naming rights partners!!\Your name here!\Pins\You don't have the money. Won't it be dangerous?\We're used to it. response:	You are?
context: You girls might not know this,\but we've been hearing the same thing over and over since the project started.\Icebreaker Shirase Recruiting naming rights partners!!\Your name here!\Pins\You don't have the money. Won't it be dangerous?\We're used to it.\You are? response:	Any time one of those reports comes out,
context: but we've been hearing the same thing over and over since the project started.\Icebreaker Shirase Recruiting naming rights partners!!\Your name here!\Pins\You don't have the money. Won't it be dangerous?\We're used to it.\You are?\Any time one of those reports comes out, response:	the rest of the team and I all shout together...
context: Icebreaker Shirase Recruiting naming rights partners!!\Your name here!\Pins\You don't have the money. Won't it be dangerous?\We're used to it.\You are?\Any time one of those reports comes out,\the rest of the team and I all shout together... response:	Shut up, idiots!
context: Your name here!\Pins\You don't have the money. Won't it be dangerous?\We're used to it.\You are?\Any time one of those reports comes out,\the rest of the team and I all shout together...\Shut up, idiots! response:	You know?
context: Pins\You don't have the money. Won't it be dangerous?\We're used to it.\You are?\Any time one of those reports comes out,\the rest of the team and I all shout together...\Shut up, idiots!\You know? response:	We do that, too!
context: You don't have the money. Won't it be dangerous?\We're used to it.\You are?\Any time one of those reports comes out,\the rest of the team and I all shout together...\Shut up, idiots!\You know?\We do that, too! response:	Really?
context: We're used to it.\You are?\Any time one of those reports comes out,\the rest of the team and I all shout together...\Shut up, idiots!\You know?\We do that, too!\Really? response:	Yes!
context: You are?\Any time one of those reports comes out,\the rest of the team and I all shout together...\Shut up, idiots!\You know?\We do that, too!\Really?\Yes! response:	The mountains, huh?
context: Any time one of those reports comes out,\the rest of the team and I all shout together...\Shut up, idiots!\You know?\We do that, too!\Really?\Yes!\The mountains, huh? response:	Feels nice out here!
context: the rest of the team and I all shout together...\Shut up, idiots!\You know?\We do that, too!\Really?\Yes!\The mountains, huh?\Feels nice out here! response:	Though we won't be going out there until two days from now.
context: Shut up, idiots!\You know?\We do that, too!\Really?\Yes!\The mountains, huh?\Feels nice out here!\Though we won't be going out there until two days from now. response:	Hundred Mountains Lodge Altitude
context: You know?\We do that, too!\Really?\Yes!\The mountains, huh?\Feels nice out here!\Though we won't be going out there until two days from now.\Hundred Mountains Lodge Altitude response:	Today and tomorrow, it's all lectures.
context: We do that, too!\Really?\Yes!\The mountains, huh?\Feels nice out here!\Though we won't be going out there until two days from now.\Hundred Mountains Lodge Altitude\Today and tomorrow, it's all lectures. response:	Go on, get in.
context: Really?\Yes!\The mountains, huh?\Feels nice out here!\Though we won't be going out there until two days from now.\Hundred Mountains Lodge Altitude\Today and tomorrow, it's all lectures.\Go on, get in. response:	Check these documents!
context: Yes!\The mountains, huh?\Feels nice out here!\Though we won't be going out there until two days from now.\Hundred Mountains Lodge Altitude\Today and tomorrow, it's all lectures.\Go on, get in.\Check these documents! response:	Wow! A station handbook?
context: The mountains, huh?\Feels nice out here!\Though we won't be going out there until two days from now.\Hundred Mountains Lodge Altitude\Today and tomorrow, it's all lectures.\Go on, get in.\Check these documents!\Wow! A station handbook? response:	Internal Documents Handle with care
context: Feels nice out here!\Though we won't be going out there until two days from now.\Hundred Mountains Lodge Altitude\Today and tomorrow, it's all lectures.\Go on, get in.\Check these documents!\Wow! A station handbook?\Internal Documents Handle with care response:	Station Handbook
context: Though we won't be going out there until two days from now.\Hundred Mountains Lodge Altitude\Today and tomorrow, it's all lectures.\Go on, get in.\Check these documents!\Wow! A station handbook?\Internal Documents Handle with care\Station Handbook response:	Internal documents... handle with care.
context: Hundred Mountains Lodge Altitude\Today and tomorrow, it's all lectures.\Go on, get in.\Check these documents!\Wow! A station handbook?\Internal Documents Handle with care\Station Handbook\Internal documents... handle with care. response:	Syowa Station
context: Today and tomorrow, it's all lectures.\Go on, get in.\Check these documents!\Wow! A station handbook?\Internal Documents Handle with care\Station Handbook\Internal documents... handle with care.\Syowa Station response:	Construction of new station
context: Go on, get in.\Check these documents!\Wow! A station handbook?\Internal Documents Handle with care\Station Handbook\Internal documents... handle with care.\Syowa Station\Construction of new station response:	Wow, a snowcat!
context: Check these documents!\Wow! A station handbook?\Internal Documents Handle with care\Station Handbook\Internal documents... handle with care.\Syowa Station\Construction of new station\Wow, a snowcat! response:	This is so exciting!
context: Wow! A station handbook?\Internal Documents Handle with care\Station Handbook\Internal documents... handle with care.\Syowa Station\Construction of new station\Wow, a snowcat!\This is so exciting! response:	Discovery of large numbers of meteorites
context: Internal Documents Handle with care\Station Handbook\Internal documents... handle with care.\Syowa Station\Construction of new station\Wow, a snowcat!\This is so exciting!\Discovery of large numbers of meteorites response:	The collection of meteorites across the world...
context: Station Handbook\Internal documents... handle with care.\Syowa Station\Construction of new station\Wow, a snowcat!\This is so exciting!\Discovery of large numbers of meteorites\The collection of meteorites across the world... response:	17,100 discovered. The world's largest collection of meteorites. Among them, we've located nine Mars meteorites and nine Moon meteorites. (Reference) America: 17,301 China: 9,826 Korea: 21 Other (including Europe): 869
context: Internal documents... handle with care.\Syowa Station\Construction of new station\Wow, a snowcat!\This is so exciting!\Discovery of large numbers of meteorites\The collection of meteorites across the world...\17,100 discovered. The world's largest collection of meteorites. Among them, we've located nine Mars meteorites and nine Moon meteorites. (Reference) America: 17,301 China: 9,826 Korea: 21 Other (including Europe): 869 response:	Mars Meteorite
context: Syowa Station\Construction of new station\Wow, a snowcat!\This is so exciting!\Discovery of large numbers of meteorites\The collection of meteorites across the world...\17,100 discovered. The world's largest collection of meteorites. Among them, we've located nine Mars meteorites and nine Moon meteorites. (Reference) America: 17,301 China: 9,826 Korea: 21 Other (including Europe): 869\Mars Meteorite response:	How meteors accumulate in Antarctica
context: Construction of new station\Wow, a snowcat!\This is so exciting!\Discovery of large numbers of meteorites\The collection of meteorites across the world...\17,100 discovered. The world's largest collection of meteorites. Among them, we've located nine Mars meteorites and nine Moon meteorites. (Reference) America: 17,301 China: 9,826 Korea: 21 Other (including Europe): 869\Mars Meteorite\How meteors accumulate in Antarctica response:	Based on that documentation, I'll be giving you a condensed version
context: Wow, a snowcat!\This is so exciting!\Discovery of large numbers of meteorites\The collection of meteorites across the world...\17,100 discovered. The world's largest collection of meteorites. Among them, we've located nine Mars meteorites and nine Moon meteorites. (Reference) America: 17,301 China: 9,826 Korea: 21 Other (including Europe): 869\Mars Meteorite\How meteors accumulate in Antarctica\Based on that documentation, I'll be giving you a condensed version response:	of the summer and winter training the others get.
context: This is so exciting!\Discovery of large numbers of meteorites\The collection of meteorites across the world...\17,100 discovered. The world's largest collection of meteorites. Among them, we've located nine Mars meteorites and nine Moon meteorites. (Reference) America: 17,301 China: 9,826 Korea: 21 Other (including Europe): 869\Mars Meteorite\How meteors accumulate in Antarctica\Based on that documentation, I'll be giving you a condensed version\of the summer and winter training the others get. response:	Antarctica is the only continent in the world with no permanent inhabitants.
context: Discovery of large numbers of meteorites\The collection of meteorites across the world...\17,100 discovered. The world's largest collection of meteorites. Among them, we've located nine Mars meteorites and nine Moon meteorites. (Reference) America: 17,301 China: 9,826 Korea: 21 Other (including Europe): 869\Mars Meteorite\How meteors accumulate in Antarctica\Based on that documentation, I'll be giving you a condensed version\of the summer and winter training the others get.\Antarctica is the only continent in the world with no permanent inhabitants. response:	Unlike Japan,
context: The collection of meteorites across the world...\17,100 discovered. The world's largest collection of meteorites. Among them, we've located nine Mars meteorites and nine Moon meteorites. (Reference) America: 17,301 China: 9,826 Korea: 21 Other (including Europe): 869\Mars Meteorite\How meteors accumulate in Antarctica\Based on that documentation, I'll be giving you a condensed version\of the summer and winter training the others get.\Antarctica is the only continent in the world with no permanent inhabitants.\Unlike Japan, response:	Joint International Expeditions Under the Antarctic Treaty System
context: 17,100 discovered. The world's largest collection of meteorites. Among them, we've located nine Mars meteorites and nine Moon meteorites. (Reference) America: 17,301 China: 9,826 Korea: 21 Other (including Europe): 869\Mars Meteorite\How meteors accumulate in Antarctica\Based on that documentation, I'll be giving you a condensed version\of the summer and winter training the others get.\Antarctica is the only continent in the world with no permanent inhabitants.\Unlike Japan,\Joint International Expeditions Under the Antarctic Treaty System response:	Primary Base Distribution
context: Mars Meteorite\How meteors accumulate in Antarctica\Based on that documentation, I'll be giving you a condensed version\of the summer and winter training the others get.\Antarctica is the only continent in the world with no permanent inhabitants.\Unlike Japan,\Joint International Expeditions Under the Antarctic Treaty System\Primary Base Distribution response:	Countries participating in Antarctic expeditions: 29 Wintering stations: 20
context: How meteors accumulate in Antarctica\Based on that documentation, I'll be giving you a condensed version\of the summer and winter training the others get.\Antarctica is the only continent in the world with no permanent inhabitants.\Unlike Japan,\Joint International Expeditions Under the Antarctic Treaty System\Primary Base Distribution\Countries participating in Antarctic expeditions: 29 Wintering stations: 20 response:	Ross Sea
context: Based on that documentation, I'll be giving you a condensed version\of the summer and winter training the others get.\Antarctica is the only continent in the world with no permanent inhabitants.\Unlike Japan,\Joint International Expeditions Under the Antarctic Treaty System\Primary Base Distribution\Countries participating in Antarctic expeditions: 29 Wintering stations: 20\Ross Sea response:	Dome Fuji
context: of the summer and winter training the others get.\Antarctica is the only continent in the world with no permanent inhabitants.\Unlike Japan,\Joint International Expeditions Under the Antarctic Treaty System\Primary Base Distribution\Countries participating in Antarctic expeditions: 29 Wintering stations: 20\Ross Sea\Dome Fuji response:	Mizuho Asuka
context: Antarctica is the only continent in the world with no permanent inhabitants.\Unlike Japan,\Joint International Expeditions Under the Antarctic Treaty System\Primary Base Distribution\Countries participating in Antarctic expeditions: 29 Wintering stations: 20\Ross Sea\Dome Fuji\Mizuho Asuka response:	Queen Maud Land Antarctic Treaty System
context: Unlike Japan,\Joint International Expeditions Under the Antarctic Treaty System\Primary Base Distribution\Countries participating in Antarctic expeditions: 29 Wintering stations: 20\Ross Sea\Dome Fuji\Mizuho Asuka\Queen Maud Land Antarctic Treaty System response:	Antarctic Peninsula
context: Joint International Expeditions Under the Antarctic Treaty System\Primary Base Distribution\Countries participating in Antarctic expeditions: 29 Wintering stations: 20\Ross Sea\Dome Fuji\Mizuho Asuka\Queen Maud Land Antarctic Treaty System\Antarctic Peninsula response:	Prydz Bay
context: Primary Base Distribution\Countries participating in Antarctic expeditions: 29 Wintering stations: 20\Ross Sea\Dome Fuji\Mizuho Asuka\Queen Maud Land Antarctic Treaty System\Antarctic Peninsula\Prydz Bay response:	it has many rules surrounding its use.
context: Countries participating in Antarctic expeditions: 29 Wintering stations: 20\Ross Sea\Dome Fuji\Mizuho Asuka\Queen Maud Land Antarctic Treaty System\Antarctic Peninsula\Prydz Bay\it has many rules surrounding its use. response:	I want you to be sure to memorize them all.
context: Ross Sea\Dome Fuji\Mizuho Asuka\Queen Maud Land Antarctic Treaty System\Antarctic Peninsula\Prydz Bay\it has many rules surrounding its use.\I want you to be sure to memorize them all. response:	Got it!
context: Dome Fuji\Mizuho Asuka\Queen Maud Land Antarctic Treaty System\Antarctic Peninsula\Prydz Bay\it has many rules surrounding its use.\I want you to be sure to memorize them all.\Got it! response:	You're not like this in school...
context: Mizuho Asuka\Queen Maud Land Antarctic Treaty System\Antarctic Peninsula\Prydz Bay\it has many rules surrounding its use.\I want you to be sure to memorize them all.\Got it!\You're not like this in school... response:	You aren't in my class!
context: Queen Maud Land Antarctic Treaty System\Antarctic Peninsula\Prydz Bay\it has many rules surrounding its use.\I want you to be sure to memorize them all.\Got it!\You're not like this in school...\You aren't in my class! response:	Well, let's meet the team captain!
context: Antarctic Peninsula\Prydz Bay\it has many rules surrounding its use.\I want you to be sure to memorize them all.\Got it!\You're not like this in school...\You aren't in my class!\Well, let's meet the team captain! response:	I am this Antarctic expedition's captain, Todo Gin.
context: Prydz Bay\it has many rules surrounding its use.\I want you to be sure to memorize them all.\Got it!\You're not like this in school...\You aren't in my class!\Well, let's meet the team captain!\I am this Antarctic expedition's captain, Todo Gin. response:	Captain...
context: it has many rules surrounding its use.\I want you to be sure to memorize them all.\Got it!\You're not like this in school...\You aren't in my class!\Well, let's meet the team captain!\I am this Antarctic expedition's captain, Todo Gin.\Captain... response:	It's a woman?
context: I want you to be sure to memorize them all.\Got it!\You're not like this in school...\You aren't in my class!\Well, let's meet the team captain!\I am this Antarctic expedition's captain, Todo Gin.\Captain...\It's a woman? response:	Whether the members of my team are researchers or just accompanying us,
context: Got it!\You're not like this in school...\You aren't in my class!\Well, let's meet the team captain!\I am this Antarctic expedition's captain, Todo Gin.\Captain...\It's a woman?\Whether the members of my team are researchers or just accompanying us, response:	I will treat you all the same.
context: You're not like this in school...\You aren't in my class!\Well, let's meet the team captain!\I am this Antarctic expedition's captain, Todo Gin.\Captain...\It's a woman?\Whether the members of my team are researchers or just accompanying us,\I will treat you all the same. response:	We have many things to accomplish.
context: You aren't in my class!\Well, let's meet the team captain!\I am this Antarctic expedition's captain, Todo Gin.\Captain...\It's a woman?\Whether the members of my team are researchers or just accompanying us,\I will treat you all the same.\We have many things to accomplish. response:	Just because you're in high school doesn't mean I won't ask you to do everything,
context: Well, let's meet the team captain!\I am this Antarctic expedition's captain, Todo Gin.\Captain...\It's a woman?\Whether the members of my team are researchers or just accompanying us,\I will treat you all the same.\We have many things to accomplish.\Just because you're in high school doesn't mean I won't ask you to do everything, response:	from laundry to hard labor, as necessary.
context: I am this Antarctic expedition's captain, Todo Gin.\Captain...\It's a woman?\Whether the members of my team are researchers or just accompanying us,\I will treat you all the same.\We have many things to accomplish.\Just because you're in high school doesn't mean I won't ask you to do everything,\from laundry to hard labor, as necessary. response:	Keep that in mind.
context: Captain...\It's a woman?\Whether the members of my team are researchers or just accompanying us,\I will treat you all the same.\We have many things to accomplish.\Just because you're in high school doesn't mean I won't ask you to do everything,\from laundry to hard labor, as necessary.\Keep that in mind. response:	Yes ma'am!
context: It's a woman?\Whether the members of my team are researchers or just accompanying us,\I will treat you all the same.\We have many things to accomplish.\Just because you're in high school doesn't mean I won't ask you to do everything,\from laundry to hard labor, as necessary.\Keep that in mind.\Yes ma'am! response:	The ABCs of Antarctic Expedition
context: Whether the members of my team are researchers or just accompanying us,\I will treat you all the same.\We have many things to accomplish.\Just because you're in high school doesn't mean I won't ask you to do everything,\from laundry to hard labor, as necessary.\Keep that in mind.\Yes ma'am!\The ABCs of Antarctic Expedition response:	A: Always follow procedure B: Be alert at all times C: Common sense!
context: I will treat you all the same.\We have many things to accomplish.\Just because you're in high school doesn't mean I won't ask you to do everything,\from laundry to hard labor, as necessary.\Keep that in mind.\Yes ma'am!\The ABCs of Antarctic Expedition\A: Always follow procedure B: Be alert at all times C: Common sense! response:	These are the ABCs of an antarctic expedition.
context: We have many things to accomplish.\Just because you're in high school doesn't mean I won't ask you to do everything,\from laundry to hard labor, as necessary.\Keep that in mind.\Yes ma'am!\The ABCs of Antarctic Expedition\A: Always follow procedure B: Be alert at all times C: Common sense!\These are the ABCs of an antarctic expedition. response:	A: Always follow procedure.
