context: This is Burnett, ARUS Golden News. response:	Did you all witness that shocking video
context: To meet this unprecedented danger, we have made a decision.\The decision to set aside long-standing grudges\and come together as a single human race!\Today, we announce the formation of the ARUS/Dorssia Allied Forces!\Our countries will immediately assemble all our forces on the Moon's surface!\As a joint force, we will launch a concerted attack against Module 77,\the threat against humanity!\This is a battle which we must not lose! response:	For the future of all humanity!
context: The decision to set aside long-standing grudges\and come together as a single human race!\Today, we announce the formation of the ARUS/Dorssia Allied Forces!\Our countries will immediately assemble all our forces on the Moon's surface!\As a joint force, we will launch a concerted attack against Module 77,\the threat against humanity!\This is a battle which we must not lose!\For the future of all humanity! response:	Valvrave pilots, can you hear me?
context: and come together as a single human race!\Today, we announce the formation of the ARUS/Dorssia Allied Forces!\Our countries will immediately assemble all our forces on the Moon's surface!\As a joint force, we will launch a concerted attack against Module 77,\the threat against humanity!\This is a battle which we must not lose!\For the future of all humanity!\Valvrave pilots, can you hear me? response:	Allied Forces are going to swarm all over us soon.
context: Today, we announce the formation of the ARUS/Dorssia Allied Forces!\Our countries will immediately assemble all our forces on the Moon's surface!\As a joint force, we will launch a concerted attack against Module 77,\the threat against humanity!\This is a battle which we must not lose!\For the future of all humanity!\Valvrave pilots, can you hear me?\Allied Forces are going to swarm all over us soon. response:	This Module is a lost cause.
context: Our countries will immediately assemble all our forces on the Moon's surface!\As a joint force, we will launch a concerted attack against Module 77,\the threat against humanity!\This is a battle which we must not lose!\For the future of all humanity!\Valvrave pilots, can you hear me?\Allied Forces are going to swarm all over us soon.\This Module is a lost cause. response:	I want you to rescue as many students as possible and
context: As a joint force, we will launch a concerted attack against Module 77,\the threat against humanity!\This is a battle which we must not lose!\For the future of all humanity!\Valvrave pilots, can you hear me?\Allied Forces are going to swarm all over us soon.\This Module is a lost cause.\I want you to rescue as many students as possible and response:	guide them to the hangar.
context: the threat against humanity!\This is a battle which we must not lose!\For the future of all humanity!\Valvrave pilots, can you hear me?\Allied Forces are going to swarm all over us soon.\This Module is a lost cause.\I want you to rescue as many students as possible and\guide them to the hangar. response:	We'll escape in shuttles.
context: This is a battle which we must not lose!\For the future of all humanity!\Valvrave pilots, can you hear me?\Allied Forces are going to swarm all over us soon.\This Module is a lost cause.\I want you to rescue as many students as possible and\guide them to the hangar.\We'll escape in shuttles. response:	Otamaya! Take your buddies and get to the hangar!
context: For the future of all humanity!\Valvrave pilots, can you hear me?\Allied Forces are going to swarm all over us soon.\This Module is a lost cause.\I want you to rescue as many students as possible and\guide them to the hangar.\We'll escape in shuttles.\Otamaya! Take your buddies and get to the hangar! response:	What about Units 1 and 5?
context: Valvrave pilots, can you hear me?\Allied Forces are going to swarm all over us soon.\This Module is a lost cause.\I want you to rescue as many students as possible and\guide them to the hangar.\We'll escape in shuttles.\Otamaya! Take your buddies and get to the hangar!\What about Units 1 and 5? response:	I'll keep'em safe! Just go!
context: Allied Forces are going to swarm all over us soon.\This Module is a lost cause.\I want you to rescue as many students as possible and\guide them to the hangar.\We'll escape in shuttles.\Otamaya! Take your buddies and get to the hangar!\What about Units 1 and 5?\I'll keep'em safe! Just go! response:	Don't forget to bring the weapons!
context: This Module is a lost cause.\I want you to rescue as many students as possible and\guide them to the hangar.\We'll escape in shuttles.\Otamaya! Take your buddies and get to the hangar!\What about Units 1 and 5?\I'll keep'em safe! Just go!\Don't forget to bring the weapons! response:	I won't!
context: I want you to rescue as many students as possible and\guide them to the hangar.\We'll escape in shuttles.\Otamaya! Take your buddies and get to the hangar!\What about Units 1 and 5?\I'll keep'em safe! Just go!\Don't forget to bring the weapons!\I won't! response:	Hurry! Keep moving!
context: guide them to the hangar.\We'll escape in shuttles.\Otamaya! Take your buddies and get to the hangar!\What about Units 1 and 5?\I'll keep'em safe! Just go!\Don't forget to bring the weapons!\I won't!\Hurry! Keep moving! response:	We have three shuttles! Split up and get aboard!
context: We'll escape in shuttles.\Otamaya! Take your buddies and get to the hangar!\What about Units 1 and 5?\I'll keep'em safe! Just go!\Don't forget to bring the weapons!\I won't!\Hurry! Keep moving!\We have three shuttles! Split up and get aboard! response:	You idiot, she's already dead!
context: Otamaya! Take your buddies and get to the hangar!\What about Units 1 and 5?\I'll keep'em safe! Just go!\Don't forget to bring the weapons!\I won't!\Hurry! Keep moving!\We have three shuttles! Split up and get aboard!\You idiot, she's already dead! response:	No, she's coming with us!
context: What about Units 1 and 5?\I'll keep'em safe! Just go!\Don't forget to bring the weapons!\I won't!\Hurry! Keep moving!\We have three shuttles! Split up and get aboard!\You idiot, she's already dead!\No, she's coming with us! response:	Do you think she's gonna come back to life?!
context: I'll keep'em safe! Just go!\Don't forget to bring the weapons!\I won't!\Hurry! Keep moving!\We have three shuttles! Split up and get aboard!\You idiot, she's already dead!\No, she's coming with us!\Do you think she's gonna come back to life?! response:	What are you talking about? Because she's my friend!
context: Don't forget to bring the weapons!\I won't!\Hurry! Keep moving!\We have three shuttles! Split up and get aboard!\You idiot, she's already dead!\No, she's coming with us!\Do you think she's gonna come back to life?!\What are you talking about? Because she's my friend! response:	I'm sorry, but we can't bring her.
context: I won't!\Hurry! Keep moving!\We have three shuttles! Split up and get aboard!\You idiot, she's already dead!\No, she's coming with us!\Do you think she's gonna come back to life?!\What are you talking about? Because she's my friend!\I'm sorry, but we can't bring her. response:	In a situation like this, we can't save everything.
context: Hurry! Keep moving!\We have three shuttles! Split up and get aboard!\You idiot, she's already dead!\No, she's coming with us!\Do you think she's gonna come back to life?!\What are you talking about? Because she's my friend!\I'm sorry, but we can't bring her.\In a situation like this, we can't save everything. response:	But we've been friends since middle school!
context: We have three shuttles! Split up and get aboard!\You idiot, she's already dead!\No, she's coming with us!\Do you think she's gonna come back to life?!\What are you talking about? Because she's my friend!\I'm sorry, but we can't bring her.\In a situation like this, we can't save everything.\But we've been friends since middle school! response:	I'm sorry!
context: You idiot, she's already dead!\No, she's coming with us!\Do you think she's gonna come back to life?!\What are you talking about? Because she's my friend!\I'm sorry, but we can't bring her.\In a situation like this, we can't save everything.\But we've been friends since middle school!\I'm sorry! response:	Let's move!
context: No, she's coming with us!\Do you think she's gonna come back to life?!\What are you talking about? Because she's my friend!\I'm sorry, but we can't bring her.\In a situation like this, we can't save everything.\But we've been friends since middle school!\I'm sorry!\Let's move! response:	Stay calm, everyone!
context: Do you think she's gonna come back to life?!\What are you talking about? Because she's my friend!\I'm sorry, but we can't bring her.\In a situation like this, we can't save everything.\But we've been friends since middle school!\I'm sorry!\Let's move!\Stay calm, everyone! response:	Look at everything we've survived so far!
context: What are you talking about? Because she's my friend!\I'm sorry, but we can't bring her.\In a situation like this, we can't save everything.\But we've been friends since middle school!\I'm sorry!\Let's move!\Stay calm, everyone!\Look at everything we've survived so far! response:	So we're going to be fine this time, too!
context: I'm sorry, but we can't bring her.\In a situation like this, we can't save everything.\But we've been friends since middle school!\I'm sorry!\Let's move!\Stay calm, everyone!\Look at everything we've survived so far!\So we're going to be fine this time, too! response:	Have faith in the classmates around you and let's make it through this!
context: In a situation like this, we can't save everything.\But we've been friends since middle school!\I'm sorry!\Let's move!\Stay calm, everyone!\Look at everything we've survived so far!\So we're going to be fine this time, too!\Have faith in the classmates around you and let's make it through this! response:	I believe in you, too.
context: But we've been friends since middle school!\I'm sorry!\Let's move!\Stay calm, everyone!\Look at everything we've survived so far!\So we're going to be fine this time, too!\Have faith in the classmates around you and let's make it through this!\I believe in you, too. response:	You had a reason for this, right, Haruto?
context: I'm sorry!\Let's move!\Stay calm, everyone!\Look at everything we've survived so far!\So we're going to be fine this time, too!\Have faith in the classmates around you and let's make it through this!\I believe in you, too.\You had a reason for this, right, Haruto? response:	This can't... This can't be happening!
context: Let's move!\Stay calm, everyone!\Look at everything we've survived so far!\So we're going to be fine this time, too!\Have faith in the classmates around you and let's make it through this!\I believe in you, too.\You had a reason for this, right, Haruto?\This can't... This can't be happening! response:	Save the regrets for later.
context: Stay calm, everyone!\Look at everything we've survived so far!\So we're going to be fine this time, too!\Have faith in the classmates around you and let's make it through this!\I believe in you, too.\You had a reason for this, right, Haruto?\This can't... This can't be happening!\Save the regrets for later. response:	I won't let anyone else die.
context: Look at everything we've survived so far!\So we're going to be fine this time, too!\Have faith in the classmates around you and let's make it through this!\I believe in you, too.\You had a reason for this, right, Haruto?\This can't... This can't be happening!\Save the regrets for later.\I won't let anyone else die. response:	Let's get moving!
context: So we're going to be fine this time, too!\Have faith in the classmates around you and let's make it through this!\I believe in you, too.\You had a reason for this, right, Haruto?\This can't... This can't be happening!\Save the regrets for later.\I won't let anyone else die.\Let's get moving! response:	The space shuttles are already launching!
context: Have faith in the classmates around you and let's make it through this!\I believe in you, too.\You had a reason for this, right, Haruto?\This can't... This can't be happening!\Save the regrets for later.\I won't let anyone else die.\Let's get moving!\The space shuttles are already launching! response:	We're all right now. We are, aren't we?
context: I believe in you, too.\You had a reason for this, right, Haruto?\This can't... This can't be happening!\Save the regrets for later.\I won't let anyone else die.\Let's get moving!\The space shuttles are already launching!\We're all right now. We are, aren't we? response:	I hope so.
context: You had a reason for this, right, Haruto?\This can't... This can't be happening!\Save the regrets for later.\I won't let anyone else die.\Let's get moving!\The space shuttles are already launching!\We're all right now. We are, aren't we?\I hope so. response:	What is it?
context: This can't... This can't be happening!\Save the regrets for later.\I won't let anyone else die.\Let's get moving!\The space shuttles are already launching!\We're all right now. We are, aren't we?\I hope so.\What is it? response:	I'm picking up ships!
context: Save the regrets for later.\I won't let anyone else die.\Let's get moving!\The space shuttles are already launching!\We're all right now. We are, aren't we?\I hope so.\What is it?\I'm picking up ships! response:	This number can't be right...
context: I won't let anyone else die.\Let's get moving!\The space shuttles are already launching!\We're all right now. We are, aren't we?\I hope so.\What is it?\I'm picking up ships!\This number can't be right... response:	Put it on the monitor!
context: Let's get moving!\The space shuttles are already launching!\We're all right now. We are, aren't we?\I hope so.\What is it?\I'm picking up ships!\This number can't be right...\Put it on the monitor! response:	That's...
context: The space shuttles are already launching!\We're all right now. We are, aren't we?\I hope so.\What is it?\I'm picking up ships!\This number can't be right...\Put it on the monitor!\That's... response:	Answer my question.
context: We're all right now. We are, aren't we?\I hope so.\What is it?\I'm picking up ships!\This number can't be right...\Put it on the monitor!\That's...\Answer my question. response:	You had possessed K-zwolf's body, correct?
context: I hope so.\What is it?\I'm picking up ships!\This number can't be right...\Put it on the monitor!\That's...\Answer my question.\You had possessed K-zwolf's body, correct? response:	In which case, you had ample opportunity to kill me.
context: What is it?\I'm picking up ships!\This number can't be right...\Put it on the monitor!\That's...\Answer my question.\You had possessed K-zwolf's body, correct?\In which case, you had ample opportunity to kill me. response:	Why didn't you?
context: I'm picking up ships!\This number can't be right...\Put it on the monitor!\That's...\Answer my question.\You had possessed K-zwolf's body, correct?\In which case, you had ample opportunity to kill me.\Why didn't you? response:	You don't intend to answer me, I see.
context: This number can't be right...\Put it on the monitor!\That's...\Answer my question.\You had possessed K-zwolf's body, correct?\In which case, you had ample opportunity to kill me.\Why didn't you?\You don't intend to answer me, I see. response:	In that case, let's return to the more pressing topic.
context: Put it on the monitor!\That's...\Answer my question.\You had possessed K-zwolf's body, correct?\In which case, you had ample opportunity to kill me.\Why didn't you?\You don't intend to answer me, I see.\In that case, let's return to the more pressing topic. response:	The matter of L-elf.
context: That's...\Answer my question.\You had possessed K-zwolf's body, correct?\In which case, you had ample opportunity to kill me.\Why didn't you?\You don't intend to answer me, I see.\In that case, let's return to the more pressing topic.\The matter of L-elf. response:	Our only option is a high-velocity launch using the
context: Answer my question.\You had possessed K-zwolf's body, correct?\In which case, you had ample opportunity to kill me.\Why didn't you?\You don't intend to answer me, I see.\In that case, let's return to the more pressing topic.\The matter of L-elf.\Our only option is a high-velocity launch using the response:	mass driver to blast through the combat zone.
context: You had possessed K-zwolf's body, correct?\In which case, you had ample opportunity to kill me.\Why didn't you?\You don't intend to answer me, I see.\In that case, let's return to the more pressing topic.\The matter of L-elf.\Our only option is a high-velocity launch using the\mass driver to blast through the combat zone. response:	All Valvraves, protect the mass driver and ships until
context: In which case, you had ample opportunity to kill me.\Why didn't you?\You don't intend to answer me, I see.\In that case, let's return to the more pressing topic.\The matter of L-elf.\Our only option is a high-velocity launch using the\mass driver to blast through the combat zone.\All Valvraves, protect the mass driver and ships until response:	all three shuttles successfully launch.
context: Why didn't you?\You don't intend to answer me, I see.\In that case, let's return to the more pressing topic.\The matter of L-elf.\Our only option is a high-velocity launch using the\mass driver to blast through the combat zone.\All Valvraves, protect the mass driver and ships until\all three shuttles successfully launch. response:	We're going on ahead!
context: You don't intend to answer me, I see.\In that case, let's return to the more pressing topic.\The matter of L-elf.\Our only option is a high-velocity launch using the\mass driver to blast through the combat zone.\All Valvraves, protect the mass driver and ships until\all three shuttles successfully launch.\We're going on ahead! response:	Make sure you rendezvous with the last shuttle, Akira!
context: In that case, let's return to the more pressing topic.\The matter of L-elf.\Our only option is a high-velocity launch using the\mass driver to blast through the combat zone.\All Valvraves, protect the mass driver and ships until\all three shuttles successfully launch.\We're going on ahead!\Make sure you rendezvous with the last shuttle, Akira! response:	I know.
context: The matter of L-elf.\Our only option is a high-velocity launch using the\mass driver to blast through the combat zone.\All Valvraves, protect the mass driver and ships until\all three shuttles successfully launch.\We're going on ahead!\Make sure you rendezvous with the last shuttle, Akira!\I know. response:	As soon as they're ready, meet up with them right away!
context: Our only option is a high-velocity launch using the\mass driver to blast through the combat zone.\All Valvraves, protect the mass driver and ships until\all three shuttles successfully launch.\We're going on ahead!\Make sure you rendezvous with the last shuttle, Akira!\I know.\As soon as they're ready, meet up with them right away! response:	If you get left behind, it's all over!
context: mass driver to blast through the combat zone.\All Valvraves, protect the mass driver and ships until\all three shuttles successfully launch.\We're going on ahead!\Make sure you rendezvous with the last shuttle, Akira!\I know.\As soon as they're ready, meet up with them right away!\If you get left behind, it's all over! response:	I know!
context: All Valvraves, protect the mass driver and ships until\all three shuttles successfully launch.\We're going on ahead!\Make sure you rendezvous with the last shuttle, Akira!\I know.\As soon as they're ready, meet up with them right away!\If you get left behind, it's all over!\I know! response:	One shuttle left!
context: all three shuttles successfully launch.\We're going on ahead!\Make sure you rendezvous with the last shuttle, Akira!\I know.\As soon as they're ready, meet up with them right away!\If you get left behind, it's all over!\I know!\One shuttle left! response:	Oh, no!
context: We're going on ahead!\Make sure you rendezvous with the last shuttle, Akira!\I know.\As soon as they're ready, meet up with them right away!\If you get left behind, it's all over!\I know!\One shuttle left!\Oh, no! response:	Mass driver damaged! Energy supply system down 40!
context: Make sure you rendezvous with the last shuttle, Akira!\I know.\As soon as they're ready, meet up with them right away!\If you get left behind, it's all over!\I know!\One shuttle left!\Oh, no!\Mass driver damaged! Energy supply system down 40! response:	Necessary charging time for launching now 720 seconds!
context: I know.\As soon as they're ready, meet up with them right away!\If you get left behind, it's all over!\I know!\One shuttle left!\Oh, no!\Mass driver damaged! Energy supply system down 40!\Necessary charging time for launching now 720 seconds! response:	That long?!
context: As soon as they're ready, meet up with them right away!\If you get left behind, it's all over!\I know!\One shuttle left!\Oh, no!\Mass driver damaged! Energy supply system down 40!\Necessary charging time for launching now 720 seconds!\That long?! response:	It's impossible! We can't possibly hold out that long!
context: If you get left behind, it's all over!\I know!\One shuttle left!\Oh, no!\Mass driver damaged! Energy supply system down 40!\Necessary charging time for launching now 720 seconds!\That long?!\It's impossible! We can't possibly hold out that long! response:	Haruto...
context: I know!\One shuttle left!\Oh, no!\Mass driver damaged! Energy supply system down 40!\Necessary charging time for launching now 720 seconds!\That long?!\It's impossible! We can't possibly hold out that long!\Haruto... response:	Receiving external transmission!
context: One shuttle left!\Oh, no!\Mass driver damaged! Energy supply system down 40!\Necessary charging time for launching now 720 seconds!\That long?!\It's impossible! We can't possibly hold out that long!\Haruto...\Receiving external transmission! response:	It's... The president of ARUS!
context: Oh, no!\Mass driver damaged! Energy supply system down 40!\Necessary charging time for launching now 720 seconds!\That long?!\It's impossible! We can't possibly hold out that long!\Haruto...\Receiving external transmission!\It's... The president of ARUS! response:	ARUS?
context: Mass driver damaged! Energy supply system down 40!\Necessary charging time for launching now 720 seconds!\That long?!\It's impossible! We can't possibly hold out that long!\Haruto...\Receiving external transmission!\It's... The president of ARUS!\ARUS? response:	My memories are disappearing?
context: Necessary charging time for launching now 720 seconds!\That long?!\It's impossible! We can't possibly hold out that long!\Haruto...\Receiving external transmission!\It's... The president of ARUS!\ARUS?\My memories are disappearing? response:	That's what's happening?
context: That long?!\It's impossible! We can't possibly hold out that long!\Haruto...\Receiving external transmission!\It's... The president of ARUS!\ARUS?\My memories are disappearing?\That's what's happening? response:	We have a problem!
context: It's impossible! We can't possibly hold out that long!\Haruto...\Receiving external transmission!\It's... The president of ARUS!\ARUS?\My memories are disappearing?\That's what's happening?\We have a problem! response:	There are Dorssian soldiers aboard the shuttle!
context: Haruto...\Receiving external transmission!\It's... The president of ARUS!\ARUS?\My memories are disappearing?\That's what's happening?\We have a problem!\There are Dorssian soldiers aboard the shuttle! response:	There's what?!
context: Receiving external transmission!\It's... The president of ARUS!\ARUS?\My memories are disappearing?\That's what's happening?\We have a problem!\There are Dorssian soldiers aboard the shuttle!\There's what?! response:	It looks like they snuck aboard during the escape,
context: It's... The president of ARUS!\ARUS?\My memories are disappearing?\That's what's happening?\We have a problem!\There are Dorssian soldiers aboard the shuttle!\There's what?!\It looks like they snuck aboard during the escape, response:	and they're holding everyone hostage!
context: ARUS?\My memories are disappearing?\That's what's happening?\We have a problem!\There are Dorssian soldiers aboard the shuttle!\There's what?!\It looks like they snuck aboard during the escape,\and they're holding everyone hostage! response:	Understood! I'll be right there!
context: My memories are disappearing?\That's what's happening?\We have a problem!\There are Dorssian soldiers aboard the shuttle!\There's what?!\It looks like they snuck aboard during the escape,\and they're holding everyone hostage!\Understood! I'll be right there! response:	Is everyone okay? Where's the Dorssian soldier?
context: That's what's happening?\We have a problem!\There are Dorssian soldiers aboard the shuttle!\There's what?!\It looks like they snuck aboard during the escape,\and they're holding everyone hostage!\Understood! I'll be right there!\Is everyone okay? Where's the Dorssian soldier? response:	Haruto, don't! Run!
context: We have a problem!\There are Dorssian soldiers aboard the shuttle!\There's what?!\It looks like they snuck aboard during the escape,\and they're holding everyone hostage!\Understood! I'll be right there!\Is everyone okay? Where's the Dorssian soldier?\Haruto, don't! Run! response:	Run from what?
context: There are Dorssian soldiers aboard the shuttle!\There's what?!\It looks like they snuck aboard during the escape,\and they're holding everyone hostage!\Understood! I'll be right there!\Is everyone okay? Where's the Dorssian soldier?\Haruto, don't! Run!\Run from what? response:	What's going on?
context: There's what?!\It looks like they snuck aboard during the escape,\and they're holding everyone hostage!\Understood! I'll be right there!\Is everyone okay? Where's the Dorssian soldier?\Haruto, don't! Run!\Run from what?\What's going on? response:	Haruto!
context: It looks like they snuck aboard during the escape,\and they're holding everyone hostage!\Understood! I'll be right there!\Is everyone okay? Where's the Dorssian soldier?\Haruto, don't! Run!\Run from what?\What's going on?\Haruto! response:	Iori, what are you doing?
context: and they're holding everyone hostage!\Understood! I'll be right there!\Is everyone okay? Where's the Dorssian soldier?\Haruto, don't! Run!\Run from what?\What's going on?\Haruto!\Iori, what are you doing? response:	The president of ARUS gave us his word.
context: Understood! I'll be right there!\Is everyone okay? Where's the Dorssian soldier?\Haruto, don't! Run!\Run from what?\What's going on?\Haruto!\Iori, what are you doing?\The president of ARUS gave us his word. response:	If we handed over the Valvrave pilots,
context: Is everyone okay? Where's the Dorssian soldier?\Haruto, don't! Run!\Run from what?\What's going on?\Haruto!\Iori, what are you doing?\The president of ARUS gave us his word.\If we handed over the Valvrave pilots, response:	he would spare the rest of us.
context: Haruto, don't! Run!\Run from what?\What's going on?\Haruto!\Iori, what are you doing?\The president of ARUS gave us his word.\If we handed over the Valvrave pilots,\he would spare the rest of us. response:	He what?!
context: Run from what?\What's going on?\Haruto!\Iori, what are you doing?\The president of ARUS gave us his word.\If we handed over the Valvrave pilots,\he would spare the rest of us.\He what?! response:	Can you blame us?
context: What's going on?\Haruto!\Iori, what are you doing?\The president of ARUS gave us his word.\If we handed over the Valvrave pilots,\he would spare the rest of us.\He what?!\Can you blame us? response:	After all, the rest of us are human beings!
context: Haruto!\Iori, what are you doing?\The president of ARUS gave us his word.\If we handed over the Valvrave pilots,\he would spare the rest of us.\He what?!\Can you blame us?\After all, the rest of us are human beings! response:	The only ones who eat humans are you and the other monsters!
context: Iori, what are you doing?\The president of ARUS gave us his word.\If we handed over the Valvrave pilots,\he would spare the rest of us.\He what?!\Can you blame us?\After all, the rest of us are human beings!\The only ones who eat humans are you and the other monsters! response:	Iori! Don't!
context: The president of ARUS gave us his word.\If we handed over the Valvrave pilots,\he would spare the rest of us.\He what?!\Can you blame us?\After all, the rest of us are human beings!\The only ones who eat humans are you and the other monsters!\Iori! Don't! response:	Haruto! Haruto!
context: If we handed over the Valvrave pilots,\he would spare the rest of us.\He what?!\Can you blame us?\After all, the rest of us are human beings!\The only ones who eat humans are you and the other monsters!\Iori! Don't!\Haruto! Haruto! response:	Haruto?!
context: he would spare the rest of us.\He what?!\Can you blame us?\After all, the rest of us are human beings!\The only ones who eat humans are you and the other monsters!\Iori! Don't!\Haruto! Haruto!\Haruto?! response:	Come on! Come on! You can't be dead!
context: He what?!\Can you blame us?\After all, the rest of us are human beings!\The only ones who eat humans are you and the other monsters!\Iori! Don't!\Haruto! Haruto!\Haruto?!\Come on! Come on! You can't be dead! response:	No! No!
context: Can you blame us?\After all, the rest of us are human beings!\The only ones who eat humans are you and the other monsters!\Iori! Don't!\Haruto! Haruto!\Haruto?!\Come on! Come on! You can't be dead!\No! No! response:	Why did you shoot him?!
context: After all, the rest of us are human beings!\The only ones who eat humans are you and the other monsters!\Iori! Don't!\Haruto! Haruto!\Haruto?!\Come on! Come on! You can't be dead!\No! No!\Why did you shoot him?! response:	Haruto's... He's...
context: The only ones who eat humans are you and the other monsters!\Iori! Don't!\Haruto! Haruto!\Haruto?!\Come on! Come on! You can't be dead!\No! No!\Why did you shoot him?!\Haruto's... He's... response:	H-He killed my father!
context: Iori! Don't!\Haruto! Haruto!\Haruto?!\Come on! Come on! You can't be dead!\No! No!\Why did you shoot him?!\Haruto's... He's...\H-He killed my father! response:	They killed him! Haruto killed him and the others!
context: Haruto! Haruto!\Haruto?!\Come on! Come on! You can't be dead!\No! No!\Why did you shoot him?!\Haruto's... He's...\H-He killed my father!\They killed him! Haruto killed him and the others! response:	Haruto...
context: Haruto?!\Come on! Come on! You can't be dead!\No! No!\Why did you shoot him?!\Haruto's... He's...\H-He killed my father!\They killed him! Haruto killed him and the others!\Haruto... response:	He was shot. Right through the heart...
context: Come on! Come on! You can't be dead!\No! No!\Why did you shoot him?!\Haruto's... He's...\H-He killed my father!\They killed him! Haruto killed him and the others!\Haruto...\He was shot. Right through the heart... response:	He's alive. He really is one!
context: No! No!\Why did you shoot him?!\Haruto's... He's...\H-He killed my father!\They killed him! Haruto killed him and the others!\Haruto...\He was shot. Right through the heart...\He's alive. He really is one! response:	What did I tell you? He's a monster!
context: Why did you shoot him?!\Haruto's... He's...\H-He killed my father!\They killed him! Haruto killed him and the others!\Haruto...\He was shot. Right through the heart...\He's alive. He really is one!\What did I tell you? He's a monster! response:	W-What happened?
context: Haruto's... He's...\H-He killed my father!\They killed him! Haruto killed him and the others!\Haruto...\He was shot. Right through the heart...\He's alive. He really is one!\What did I tell you? He's a monster!\W-What happened? response:	Haruto...
context: H-He killed my father!\They killed him! Haruto killed him and the others!\Haruto...\He was shot. Right through the heart...\He's alive. He really is one!\What did I tell you? He's a monster!\W-What happened?\Haruto... response:	You're one too, Haruto?
context: They killed him! Haruto killed him and the others!\Haruto...\He was shot. Right through the heart...\He's alive. He really is one!\What did I tell you? He's a monster!\W-What happened?\Haruto...\You're one too, Haruto? response:	Shoko, hear me out...
context: Haruto...\He was shot. Right through the heart...\He's alive. He really is one!\What did I tell you? He's a monster!\W-What happened?\Haruto...\You're one too, Haruto?\Shoko, hear me out... response:	You knew everything?
context: He was shot. Right through the heart...\He's alive. He really is one!\What did I tell you? He's a monster!\W-What happened?\Haruto...\You're one too, Haruto?\Shoko, hear me out...\You knew everything? response:	About Miss Rukino?
context: He's alive. He really is one!\What did I tell you? He's a monster!\W-What happened?\Haruto...\You're one too, Haruto?\Shoko, hear me out...\You knew everything?\About Miss Rukino? response:	About that ship?
context: What did I tell you? He's a monster!\W-What happened?\Haruto...\You're one too, Haruto?\Shoko, hear me out...\You knew everything?\About Miss Rukino?\About that ship? response:	Why didn't you tell me about your body?
context: W-What happened?\Haruto...\You're one too, Haruto?\Shoko, hear me out...\You knew everything?\About Miss Rukino?\About that ship?\Why didn't you tell me about your body? response:	I believed in you!
context: Haruto...\You're one too, Haruto?\Shoko, hear me out...\You knew everything?\About Miss Rukino?\About that ship?\Why didn't you tell me about your body?\I believed in you! response:	It was because you were there that I was able to hang on.
context: You're one too, Haruto?\Shoko, hear me out...\You knew everything?\About Miss Rukino?\About that ship?\Why didn't you tell me about your body?\I believed in you!\It was because you were there that I was able to hang on. response:	No matter how bad a scrape I was in,
context: Shoko, hear me out...\You knew everything?\About Miss Rukino?\About that ship?\Why didn't you tell me about your body?\I believed in you!\It was because you were there that I was able to hang on.\No matter how bad a scrape I was in, response:	I always had faith that you were the one person
context: You knew everything?\About Miss Rukino?\About that ship?\Why didn't you tell me about your body?\I believed in you!\It was because you were there that I was able to hang on.\No matter how bad a scrape I was in,\I always had faith that you were the one person response:	who would always be by my side.
context: About Miss Rukino?\About that ship?\Why didn't you tell me about your body?\I believed in you!\It was because you were there that I was able to hang on.\No matter how bad a scrape I was in,\I always had faith that you were the one person\who would always be by my side. response:	Just like in the cave when we ran away from home.
context: About that ship?\Why didn't you tell me about your body?\I believed in you!\It was because you were there that I was able to hang on.\No matter how bad a scrape I was in,\I always had faith that you were the one person\who would always be by my side.\Just like in the cave when we ran away from home. response:	Ran way? The cave?
context: Why didn't you tell me about your body?\I believed in you!\It was because you were there that I was able to hang on.\No matter how bad a scrape I was in,\I always had faith that you were the one person\who would always be by my side.\Just like in the cave when we ran away from home.\Ran way? The cave? response:	Haruto?
context: I believed in you!\It was because you were there that I was able to hang on.\No matter how bad a scrape I was in,\I always had faith that you were the one person\who would always be by my side.\Just like in the cave when we ran away from home.\Ran way? The cave?\Haruto? response:	What? We ran away? When was that?
context: It was because you were there that I was able to hang on.\No matter how bad a scrape I was in,\I always had faith that you were the one person\who would always be by my side.\Just like in the cave when we ran away from home.\Ran way? The cave?\Haruto?\What? We ran away? When was that? response:	My head hurts...
context: No matter how bad a scrape I was in,\I always had faith that you were the one person\who would always be by my side.\Just like in the cave when we ran away from home.\Ran way? The cave?\Haruto?\What? We ran away? When was that?\My head hurts... response:	I'm sure there was something more here...
context: I always had faith that you were the one person\who would always be by my side.\Just like in the cave when we ran away from home.\Ran way? The cave?\Haruto?\What? We ran away? When was that?\My head hurts...\I'm sure there was something more here... response:	You don't remember?
context: who would always be by my side.\Just like in the cave when we ran away from home.\Ran way? The cave?\Haruto?\What? We ran away? When was that?\My head hurts...\I'm sure there was something more here...\You don't remember? response:	I'm positive that there was something. But now...
context: Just like in the cave when we ran away from home.\Ran way? The cave?\Haruto?\What? We ran away? When was that?\My head hurts...\I'm sure there was something more here...\You don't remember?\I'm positive that there was something. But now... response:	there's nothing.
context: Ran way? The cave?\Haruto?\What? We ran away? When was that?\My head hurts...\I'm sure there was something more here...\You don't remember?\I'm positive that there was something. But now...\there's nothing. response:	What did I lose?!
context: Haruto?\What? We ran away? When was that?\My head hurts...\I'm sure there was something more here...\You don't remember?\I'm positive that there was something. But now...\there's nothing.\What did I lose?! response:	The Haruto that I knew is gone.
