context: Is that... response:	It looks like a princess or something to me.
context: One of the basic illusion spells.\It can also serve as clothing.\Which means she's got enough of her power back to use magic.\Can you use this Va... Vau...\Vau e Deie. And yes, I can.\Let me see it.\No. You can't use it when you're wearing clothes.\And it disappears immediately if you lose concentration. response:	I see.
context: It can also serve as clothing.\Which means she's got enough of her power back to use magic.\Can you use this Va... Vau...\Vau e Deie. And yes, I can.\Let me see it.\No. You can't use it when you're wearing clothes.\And it disappears immediately if you lose concentration.\I see. response:	Don't imagine it.
context: Which means she's got enough of her power back to use magic.\Can you use this Va... Vau...\Vau e Deie. And yes, I can.\Let me see it.\No. You can't use it when you're wearing clothes.\And it disappears immediately if you lose concentration.\I see.\Don't imagine it. response:	I am not.
context: Can you use this Va... Vau...\Vau e Deie. And yes, I can.\Let me see it.\No. You can't use it when you're wearing clothes.\And it disappears immediately if you lose concentration.\I see.\Don't imagine it.\I am not. response:	No, I could tell you were by your face!
context: Vau e Deie. And yes, I can.\Let me see it.\No. You can't use it when you're wearing clothes.\And it disappears immediately if you lose concentration.\I see.\Don't imagine it.\I am not.\No, I could tell you were by your face! response:	I know you're doing it!
context: Let me see it.\No. You can't use it when you're wearing clothes.\And it disappears immediately if you lose concentration.\I see.\Don't imagine it.\I am not.\No, I could tell you were by your face!\I know you're doing it! response:	What gives a person of lowly birth like you
context: No. You can't use it when you're wearing clothes.\And it disappears immediately if you lose concentration.\I see.\Don't imagine it.\I am not.\No, I could tell you were by your face!\I know you're doing it!\What gives a person of lowly birth like you response:	-the right to look at me naked?
context: And it disappears immediately if you lose concentration.\I see.\Don't imagine it.\I am not.\No, I could tell you were by your face!\I know you're doing it!\What gives a person of lowly birth like you\-the right to look at me naked? response:	-Shut up. -the right to look at me naked?
context: I see.\Don't imagine it.\I am not.\No, I could tell you were by your face!\I know you're doing it!\What gives a person of lowly birth like you\-the right to look at me naked?\-Shut up. -the right to look at me naked? response:	We need to deal with the vampire. Where'd she go?
context: Don't imagine it.\I am not.\No, I could tell you were by your face!\I know you're doing it!\What gives a person of lowly birth like you\-the right to look at me naked?\-Shut up. -the right to look at me naked?\We need to deal with the vampire. Where'd she go? response:	Oh, yeah. Let me see...
context: I am not.\No, I could tell you were by your face!\I know you're doing it!\What gives a person of lowly birth like you\-the right to look at me naked?\-Shut up. -the right to look at me naked?\We need to deal with the vampire. Where'd she go?\Oh, yeah. Let me see... response:	That building.
context: No, I could tell you were by your face!\I know you're doing it!\What gives a person of lowly birth like you\-the right to look at me naked?\-Shut up. -the right to look at me naked?\We need to deal with the vampire. Where'd she go?\Oh, yeah. Let me see...\That building. response:	The shopping mall.
context: I know you're doing it!\What gives a person of lowly birth like you\-the right to look at me naked?\-Shut up. -the right to look at me naked?\We need to deal with the vampire. Where'd she go?\Oh, yeah. Let me see...\That building.\The shopping mall. response:	I think she's in there.
context: What gives a person of lowly birth like you\-the right to look at me naked?\-Shut up. -the right to look at me naked?\We need to deal with the vampire. Where'd she go?\Oh, yeah. Let me see...\That building.\The shopping mall.\I think she's in there. response:	That's the opposite of the way the witnesses said she went.
context: -the right to look at me naked?\-Shut up. -the right to look at me naked?\We need to deal with the vampire. Where'd she go?\Oh, yeah. Let me see...\That building.\The shopping mall.\I think she's in there.\That's the opposite of the way the witnesses said she went. response:	And the police dogs, too.
context: -Shut up. -the right to look at me naked?\We need to deal with the vampire. Where'd she go?\Oh, yeah. Let me see...\That building.\The shopping mall.\I think she's in there.\That's the opposite of the way the witnesses said she went.\And the police dogs, too. response:	But from that building, you can overlook this area.
context: We need to deal with the vampire. Where'd she go?\Oh, yeah. Let me see...\That building.\The shopping mall.\I think she's in there.\That's the opposite of the way the witnesses said she went.\And the police dogs, too.\But from that building, you can overlook this area. response:	So she left the body for us to find in order to see how the cops would react.
context: Oh, yeah. Let me see...\That building.\The shopping mall.\I think she's in there.\That's the opposite of the way the witnesses said she went.\And the police dogs, too.\But from that building, you can overlook this area.\So she left the body for us to find in order to see how the cops would react. response:	Yes. Now that she's filled her belly,
context: That building.\The shopping mall.\I think she's in there.\That's the opposite of the way the witnesses said she went.\And the police dogs, too.\But from that building, you can overlook this area.\So she left the body for us to find in order to see how the cops would react.\Yes. Now that she's filled her belly, response:	what she wants most of all is information about this city.
context: The shopping mall.\I think she's in there.\That's the opposite of the way the witnesses said she went.\And the police dogs, too.\But from that building, you can overlook this area.\So she left the body for us to find in order to see how the cops would react.\Yes. Now that she's filled her belly,\what she wants most of all is information about this city. response:	She probably thinks she can escape from most people who'd try to surround her...
context: I think she's in there.\That's the opposite of the way the witnesses said she went.\And the police dogs, too.\But from that building, you can overlook this area.\So she left the body for us to find in order to see how the cops would react.\Yes. Now that she's filled her belly,\what she wants most of all is information about this city.\She probably thinks she can escape from most people who'd try to surround her... response:	I see. You're smart.
context: That's the opposite of the way the witnesses said she went.\And the police dogs, too.\But from that building, you can overlook this area.\So she left the body for us to find in order to see how the cops would react.\Yes. Now that she's filled her belly,\what she wants most of all is information about this city.\She probably thinks she can escape from most people who'd try to surround her...\I see. You're smart. response:	Was that sarcasm?
context: And the police dogs, too.\But from that building, you can overlook this area.\So she left the body for us to find in order to see how the cops would react.\Yes. Now that she's filled her belly,\what she wants most of all is information about this city.\She probably thinks she can escape from most people who'd try to surround her...\I see. You're smart.\Was that sarcasm? response:	Nope. I'm impressed.
context: But from that building, you can overlook this area.\So she left the body for us to find in order to see how the cops would react.\Yes. Now that she's filled her belly,\what she wants most of all is information about this city.\She probably thinks she can escape from most people who'd try to surround her...\I see. You're smart.\Was that sarcasm?\Nope. I'm impressed. response:	No, you were insulting me. I could tell from your voice.
context: So she left the body for us to find in order to see how the cops would react.\Yes. Now that she's filled her belly,\what she wants most of all is information about this city.\She probably thinks she can escape from most people who'd try to surround her...\I see. You're smart.\Was that sarcasm?\Nope. I'm impressed.\No, you were insulting me. I could tell from your voice. response:	You're a nasty guy.
context: Yes. Now that she's filled her belly,\what she wants most of all is information about this city.\She probably thinks she can escape from most people who'd try to surround her...\I see. You're smart.\Was that sarcasm?\Nope. I'm impressed.\No, you were insulting me. I could tell from your voice.\You're a nasty guy. response:	It's true! I...
context: what she wants most of all is information about this city.\She probably thinks she can escape from most people who'd try to surround her...\I see. You're smart.\Was that sarcasm?\Nope. I'm impressed.\No, you were insulting me. I could tell from your voice.\You're a nasty guy.\It's true! I... response:	Forget it. Anyway, we're off to the mall.
context: She probably thinks she can escape from most people who'd try to surround her...\I see. You're smart.\Was that sarcasm?\Nope. I'm impressed.\No, you were insulting me. I could tell from your voice.\You're a nasty guy.\It's true! I...\Forget it. Anyway, we're off to the mall. response:	That's right. I want as many men down here as you can give me.
context: I see. You're smart.\Was that sarcasm?\Nope. I'm impressed.\No, you were insulting me. I could tell from your voice.\You're a nasty guy.\It's true! I...\Forget it. Anyway, we're off to the mall.\That's right. I want as many men down here as you can give me. response:	But make sure nobody's alone for an instant.
context: Was that sarcasm?\Nope. I'm impressed.\No, you were insulting me. I could tell from your voice.\You're a nasty guy.\It's true! I...\Forget it. Anyway, we're off to the mall.\That's right. I want as many men down here as you can give me.\But make sure nobody's alone for an instant. response:	And if you find her, don't try to catch her.
context: Nope. I'm impressed.\No, you were insulting me. I could tell from your voice.\You're a nasty guy.\It's true! I...\Forget it. Anyway, we're off to the mall.\That's right. I want as many men down here as you can give me.\But make sure nobody's alone for an instant.\And if you find her, don't try to catch her. response:	Kei.
context: No, you were insulting me. I could tell from your voice.\You're a nasty guy.\It's true! I...\Forget it. Anyway, we're off to the mall.\That's right. I want as many men down here as you can give me.\But make sure nobody's alone for an instant.\And if you find her, don't try to catch her.\Kei. response:	Give me a second.
context: You're a nasty guy.\It's true! I...\Forget it. Anyway, we're off to the mall.\That's right. I want as many men down here as you can give me.\But make sure nobody's alone for an instant.\And if you find her, don't try to catch her.\Kei.\Give me a second. response:	I can smell the vampire's latena.
context: It's true! I...\Forget it. Anyway, we're off to the mall.\That's right. I want as many men down here as you can give me.\But make sure nobody's alone for an instant.\And if you find her, don't try to catch her.\Kei.\Give me a second.\I can smell the vampire's latena. response:	She went inside from here.
context: Forget it. Anyway, we're off to the mall.\That's right. I want as many men down here as you can give me.\But make sure nobody's alone for an instant.\And if you find her, don't try to catch her.\Kei.\Give me a second.\I can smell the vampire's latena.\She went inside from here. response:	Got it.
context: That's right. I want as many men down here as you can give me.\But make sure nobody's alone for an instant.\And if you find her, don't try to catch her.\Kei.\Give me a second.\I can smell the vampire's latena.\She went inside from here.\Got it. response:	Nothing on the security system, it looks like.
context: But make sure nobody's alone for an instant.\And if you find her, don't try to catch her.\Kei.\Give me a second.\I can smell the vampire's latena.\She went inside from here.\Got it.\Nothing on the security system, it looks like. response:	She didn't trip the lasers.
context: And if you find her, don't try to catch her.\Kei.\Give me a second.\I can smell the vampire's latena.\She went inside from here.\Got it.\Nothing on the security system, it looks like.\She didn't trip the lasers. response:	You sure?
context: Kei.\Give me a second.\I can smell the vampire's latena.\She went inside from here.\Got it.\Nothing on the security system, it looks like.\She didn't trip the lasers.\You sure? response:	Can she see lasers, you think?
context: Give me a second.\I can smell the vampire's latena.\She went inside from here.\Got it.\Nothing on the security system, it looks like.\She didn't trip the lasers.\You sure?\Can she see lasers, you think? response:	We'll go after her.
context: I can smell the vampire's latena.\She went inside from here.\Got it.\Nothing on the security system, it looks like.\She didn't trip the lasers.\You sure?\Can she see lasers, you think?\We'll go after her. response:	If you find something, call me.
context: She went inside from here.\Got it.\Nothing on the security system, it looks like.\She didn't trip the lasers.\You sure?\Can she see lasers, you think?\We'll go after her.\If you find something, call me. response:	Well?
context: Got it.\Nothing on the security system, it looks like.\She didn't trip the lasers.\You sure?\Can she see lasers, you think?\We'll go after her.\If you find something, call me.\Well? response:	She's close. I can't tell what direction, though.
context: Nothing on the security system, it looks like.\She didn't trip the lasers.\You sure?\Can she see lasers, you think?\We'll go after her.\If you find something, call me.\Well?\She's close. I can't tell what direction, though. response:	Ambush?
context: She didn't trip the lasers.\You sure?\Can she see lasers, you think?\We'll go after her.\If you find something, call me.\Well?\She's close. I can't tell what direction, though.\Ambush? response:	Possibly. Stay sharp.
context: You sure?\Can she see lasers, you think?\We'll go after her.\If you find something, call me.\Well?\She's close. I can't tell what direction, though.\Ambush?\Possibly. Stay sharp. response:	You're in the way.
context: Can she see lasers, you think?\We'll go after her.\If you find something, call me.\Well?\She's close. I can't tell what direction, though.\Ambush?\Possibly. Stay sharp.\You're in the way. response:	No, you're in the way!
context: We'll go after her.\If you find something, call me.\Well?\She's close. I can't tell what direction, though.\Ambush?\Possibly. Stay sharp.\You're in the way.\No, you're in the way! response:	It's stronger.
context: If you find something, call me.\Well?\She's close. I can't tell what direction, though.\Ambush?\Possibly. Stay sharp.\You're in the way.\No, you're in the way!\It's stronger. response:	What is?
context: Well?\She's close. I can't tell what direction, though.\Ambush?\Possibly. Stay sharp.\You're in the way.\No, you're in the way!\It's stronger.\What is? response:	Her presence. Be careful.
context: She's close. I can't tell what direction, though.\Ambush?\Possibly. Stay sharp.\You're in the way.\No, you're in the way!\It's stronger.\What is?\Her presence. Be careful. response:	Careful of what?
context: Ambush?\Possibly. Stay sharp.\You're in the way.\No, you're in the way!\It's stronger.\What is?\Her presence. Be careful.\Careful of what? response:	Kei!
context: Possibly. Stay sharp.\You're in the way.\No, you're in the way!\It's stronger.\What is?\Her presence. Be careful.\Careful of what?\Kei! response:	Kei!
context: You're in the way.\No, you're in the way!\It's stronger.\What is?\Her presence. Be careful.\Careful of what?\Kei!\Kei! response:	Damn you!
context: No, you're in the way!\It's stronger.\What is?\Her presence. Be careful.\Careful of what?\Kei!\Kei!\Damn you! response:	Kei! Kei!
context: It's stronger.\What is?\Her presence. Be careful.\Careful of what?\Kei!\Kei!\Damn you!\Kei! Kei! response:	Wake up, Kei!
context: What is?\Her presence. Be careful.\Careful of what?\Kei!\Kei!\Damn you!\Kei! Kei!\Wake up, Kei! response:	Why don't you give him a kiss, Tony?
context: Her presence. Be careful.\Careful of what?\Kei!\Kei!\Damn you!\Kei! Kei!\Wake up, Kei!\Why don't you give him a kiss, Tony? response:	It might wake him up.
context: Careful of what?\Kei!\Kei!\Damn you!\Kei! Kei!\Wake up, Kei!\Why don't you give him a kiss, Tony?\It might wake him up. response:	Alex, that's sexual harassment.
context: Kei!\Kei!\Damn you!\Kei! Kei!\Wake up, Kei!\Why don't you give him a kiss, Tony?\It might wake him up.\Alex, that's sexual harassment. response:	For you or him?
context: Kei!\Damn you!\Kei! Kei!\Wake up, Kei!\Why don't you give him a kiss, Tony?\It might wake him up.\Alex, that's sexual harassment.\For you or him? response:	He woke up!
context: Damn you!\Kei! Kei!\Wake up, Kei!\Why don't you give him a kiss, Tony?\It might wake him up.\Alex, that's sexual harassment.\For you or him?\He woke up! response:	Tony... Godnov... What are you doing here?
context: Kei! Kei!\Wake up, Kei!\Why don't you give him a kiss, Tony?\It might wake him up.\Alex, that's sexual harassment.\For you or him?\He woke up!\Tony... Godnov... What are you doing here? response:	We lost touch with you, so we came to save you!
context: Wake up, Kei!\Why don't you give him a kiss, Tony?\It might wake him up.\Alex, that's sexual harassment.\For you or him?\He woke up!\Tony... Godnov... What are you doing here?\We lost touch with you, so we came to save you! response:	And we saw you floating in the fountain...
context: Why don't you give him a kiss, Tony?\It might wake him up.\Alex, that's sexual harassment.\For you or him?\He woke up!\Tony... Godnov... What are you doing here?\We lost touch with you, so we came to save you!\And we saw you floating in the fountain... response:	Where's Tilarna?
context: It might wake him up.\Alex, that's sexual harassment.\For you or him?\He woke up!\Tony... Godnov... What are you doing here?\We lost touch with you, so we came to save you!\And we saw you floating in the fountain...\Where's Tilarna? response:	Not here. What happened?
context: Alex, that's sexual harassment.\For you or him?\He woke up!\Tony... Godnov... What are you doing here?\We lost touch with you, so we came to save you!\And we saw you floating in the fountain...\Where's Tilarna?\Not here. What happened? response:	She was taken...
context: For you or him?\He woke up!\Tony... Godnov... What are you doing here?\We lost touch with you, so we came to save you!\And we saw you floating in the fountain...\Where's Tilarna?\Not here. What happened?\She was taken... response:	That goddamn vampire...
context: He woke up!\Tony... Godnov... What are you doing here?\We lost touch with you, so we came to save you!\And we saw you floating in the fountain...\Where's Tilarna?\Not here. What happened?\She was taken...\That goddamn vampire... response:	I'll get her for this.
context: Tony... Godnov... What are you doing here?\We lost touch with you, so we came to save you!\And we saw you floating in the fountain...\Where's Tilarna?\Not here. What happened?\She was taken...\That goddamn vampire...\I'll get her for this. response:	You fell from up there?
context: We lost touch with you, so we came to save you!\And we saw you floating in the fountain...\Where's Tilarna?\Not here. What happened?\She was taken...\That goddamn vampire...\I'll get her for this.\You fell from up there? response:	I'm amazed you're still alive.
context: And we saw you floating in the fountain...\Where's Tilarna?\Not here. What happened?\She was taken...\That goddamn vampire...\I'll get her for this.\You fell from up there?\I'm amazed you're still alive. response:	Got a smoke?
context: Where's Tilarna?\Not here. What happened?\She was taken...\That goddamn vampire...\I'll get her for this.\You fell from up there?\I'm amazed you're still alive.\Got a smoke? response:	Nope. I don't smoke.
context: Not here. What happened?\She was taken...\That goddamn vampire...\I'll get her for this.\You fell from up there?\I'm amazed you're still alive.\Got a smoke?\Nope. I don't smoke. response:	I'm amazed you're still alive.
context: She was taken...\That goddamn vampire...\I'll get her for this.\You fell from up there?\I'm amazed you're still alive.\Got a smoke?\Nope. I don't smoke.\I'm amazed you're still alive. response:	You're awake, young swordswoman?
context: That goddamn vampire...\I'll get her for this.\You fell from up there?\I'm amazed you're still alive.\Got a smoke?\Nope. I don't smoke.\I'm amazed you're still alive.\You're awake, young swordswoman? response:	Vampire.
context: I'll get her for this.\You fell from up there?\I'm amazed you're still alive.\Got a smoke?\Nope. I don't smoke.\I'm amazed you're still alive.\You're awake, young swordswoman?\Vampire. response:	Why have you not killed me?
context: You fell from up there?\I'm amazed you're still alive.\Got a smoke?\Nope. I don't smoke.\I'm amazed you're still alive.\You're awake, young swordswoman?\Vampire.\Why have you not killed me? response:	I have questions for you.
context: I'm amazed you're still alive.\Got a smoke?\Nope. I don't smoke.\I'm amazed you're still alive.\You're awake, young swordswoman?\Vampire.\Why have you not killed me?\I have questions for you. response:	What is this place?
context: Got a smoke?\Nope. I don't smoke.\I'm amazed you're still alive.\You're awake, young swordswoman?\Vampire.\Why have you not killed me?\I have questions for you.\What is this place? response:	Such strange letters.
context: Nope. I don't smoke.\I'm amazed you're still alive.\You're awake, young swordswoman?\Vampire.\Why have you not killed me?\I have questions for you.\What is this place?\Such strange letters. response:	How do you read them?
context: I'm amazed you're still alive.\You're awake, young swordswoman?\Vampire.\Why have you not killed me?\I have questions for you.\What is this place?\Such strange letters.\How do you read them? response:	San-Tirysei? No, San-Teresa.
context: You're awake, young swordswoman?\Vampire.\Why have you not killed me?\I have questions for you.\What is this place?\Such strange letters.\How do you read them?\San-Tirysei? No, San-Teresa. response:	I see. So this is another world, isn't it?
context: Vampire.\Why have you not killed me?\I have questions for you.\What is this place?\Such strange letters.\How do you read them?\San-Tirysei? No, San-Teresa.\I see. So this is another world, isn't it? response:	They call it Earth.
context: Why have you not killed me?\I have questions for you.\What is this place?\Such strange letters.\How do you read them?\San-Tirysei? No, San-Teresa.\I see. So this is another world, isn't it?\They call it Earth. response:	So the greater gate spoken of in the Book of Niba manifested?
context: I have questions for you.\What is this place?\Such strange letters.\How do you read them?\San-Tirysei? No, San-Teresa.\I see. So this is another world, isn't it?\They call it Earth.\So the greater gate spoken of in the Book of Niba manifested? response:	The Book of Niba?
context: What is this place?\Such strange letters.\How do you read them?\San-Tirysei? No, San-Teresa.\I see. So this is another world, isn't it?\They call it Earth.\So the greater gate spoken of in the Book of Niba manifested?\The Book of Niba? response:	An old legend.
context: Such strange letters.\How do you read them?\San-Tirysei? No, San-Teresa.\I see. So this is another world, isn't it?\They call it Earth.\So the greater gate spoken of in the Book of Niba manifested?\The Book of Niba?\An old legend. response:	Now then...
context: How do you read them?\San-Tirysei? No, San-Teresa.\I see. So this is another world, isn't it?\They call it Earth.\So the greater gate spoken of in the Book of Niba manifested?\The Book of Niba?\An old legend.\Now then... response:	Such a noble scent. Your blood must taste delicious.
context: San-Tirysei? No, San-Teresa.\I see. So this is another world, isn't it?\They call it Earth.\So the greater gate spoken of in the Book of Niba manifested?\The Book of Niba?\An old legend.\Now then...\Such a noble scent. Your blood must taste delicious. response:	Monster!
context: I see. So this is another world, isn't it?\They call it Earth.\So the greater gate spoken of in the Book of Niba manifested?\The Book of Niba?\An old legend.\Now then...\Such a noble scent. Your blood must taste delicious.\Monster! response:	Oh?
context: They call it Earth.\So the greater gate spoken of in the Book of Niba manifested?\The Book of Niba?\An old legend.\Now then...\Such a noble scent. Your blood must taste delicious.\Monster!\Oh? response:	You killed innocent people! That's what a beast does!
context: So the greater gate spoken of in the Book of Niba manifested?\The Book of Niba?\An old legend.\Now then...\Such a noble scent. Your blood must taste delicious.\Monster!\Oh?\You killed innocent people! That's what a beast does! response:	You don't seem to understand what hunger is.
context: The Book of Niba?\An old legend.\Now then...\Such a noble scent. Your blood must taste delicious.\Monster!\Oh?\You killed innocent people! That's what a beast does!\You don't seem to understand what hunger is. response:	If only we had time...
context: An old legend.\Now then...\Such a noble scent. Your blood must taste delicious.\Monster!\Oh?\You killed innocent people! That's what a beast does!\You don't seem to understand what hunger is.\If only we had time... response:	Tch. It seems we've been interrupted.
context: Now then...\Such a noble scent. Your blood must taste delicious.\Monster!\Oh?\You killed innocent people! That's what a beast does!\You don't seem to understand what hunger is.\If only we had time...\Tch. It seems we've been interrupted. response:	Tilarna!
context: Such a noble scent. Your blood must taste delicious.\Monster!\Oh?\You killed innocent people! That's what a beast does!\You don't seem to understand what hunger is.\If only we had time...\Tch. It seems we've been interrupted.\Tilarna! response:	Kei!
context: Monster!\Oh?\You killed innocent people! That's what a beast does!\You don't seem to understand what hunger is.\If only we had time...\Tch. It seems we've been interrupted.\Tilarna!\Kei! response:	Don't resist!
context: Oh?\You killed innocent people! That's what a beast does!\You don't seem to understand what hunger is.\If only we had time...\Tch. It seems we've been interrupted.\Tilarna!\Kei!\Don't resist! response:	Hands up!
context: You killed innocent people! That's what a beast does!\You don't seem to understand what hunger is.\If only we had time...\Tch. It seems we've been interrupted.\Tilarna!\Kei!\Don't resist!\Hands up! response:	No! She's invincible right now!
context: You don't seem to understand what hunger is.\If only we had time...\Tch. It seems we've been interrupted.\Tilarna!\Kei!\Don't resist!\Hands up!\No! She's invincible right now! response:	Fascinating. How many of you should I eat?
context: If only we had time...\Tch. It seems we've been interrupted.\Tilarna!\Kei!\Don't resist!\Hands up!\No! She's invincible right now!\Fascinating. How many of you should I eat? response:	I can't see her!
context: Tch. It seems we've been interrupted.\Tilarna!\Kei!\Don't resist!\Hands up!\No! She's invincible right now!\Fascinating. How many of you should I eat?\I can't see her! response:	Get them out of here! She'll kill them all!
context: Tilarna!\Kei!\Don't resist!\Hands up!\No! She's invincible right now!\Fascinating. How many of you should I eat?\I can't see her!\Get them out of here! She'll kill them all! response:	What?
context: Kei!\Don't resist!\Hands up!\No! She's invincible right now!\Fascinating. How many of you should I eat?\I can't see her!\Get them out of here! She'll kill them all!\What? response:	We can see her. This'll work.
context: Don't resist!\Hands up!\No! She's invincible right now!\Fascinating. How many of you should I eat?\I can't see her!\Get them out of here! She'll kill them all!\What?\We can see her. This'll work. response:	Keep shooting! She's just like a bear!
context: Hands up!\No! She's invincible right now!\Fascinating. How many of you should I eat?\I can't see her!\Get them out of here! She'll kill them all!\What?\We can see her. This'll work.\Keep shooting! She's just like a bear! response:	Extremely tough...
context: No! She's invincible right now!\Fascinating. How many of you should I eat?\I can't see her!\Get them out of here! She'll kill them all!\What?\We can see her. This'll work.\Keep shooting! She's just like a bear!\Extremely tough... response:	Shit. She got away again.
context: Fascinating. How many of you should I eat?\I can't see her!\Get them out of here! She'll kill them all!\What?\We can see her. This'll work.\Keep shooting! She's just like a bear!\Extremely tough...\Shit. She got away again. response:	Tilarna, you okay?
context: I can't see her!\Get them out of here! She'll kill them all!\What?\We can see her. This'll work.\Keep shooting! She's just like a bear!\Extremely tough...\Shit. She got away again.\Tilarna, you okay? response:	I'm fine.
context: Get them out of here! She'll kill them all!\What?\We can see her. This'll work.\Keep shooting! She's just like a bear!\Extremely tough...\Shit. She got away again.\Tilarna, you okay?\I'm fine. response:	Then let's follow her. Come with me.
context: What?\We can see her. This'll work.\Keep shooting! She's just like a bear!\Extremely tough...\Shit. She got away again.\Tilarna, you okay?\I'm fine.\Then let's follow her. Come with me. response:	What are you doing? Hurry!
context: We can see her. This'll work.\Keep shooting! She's just like a bear!\Extremely tough...\Shit. She got away again.\Tilarna, you okay?\I'm fine.\Then let's follow her. Come with me.\What are you doing? Hurry! response:	I know that! Don't yell at me!
context: Keep shooting! She's just like a bear!\Extremely tough...\Shit. She got away again.\Tilarna, you okay?\I'm fine.\Then let's follow her. Come with me.\What are you doing? Hurry!\I know that! Don't yell at me! response:	Dummy.
context: Extremely tough...\Shit. She got away again.\Tilarna, you okay?\I'm fine.\Then let's follow her. Come with me.\What are you doing? Hurry!\I know that! Don't yell at me!\Dummy. response:	Such terrifying weapons...
context: Shit. She got away again.\Tilarna, you okay?\I'm fine.\Then let's follow her. Come with me.\What are you doing? Hurry!\I know that! Don't yell at me!\Dummy.\Such terrifying weapons... response:	Who are they?
context: Tilarna, you okay?\I'm fine.\Then let's follow her. Come with me.\What are you doing? Hurry!\I know that! Don't yell at me!\Dummy.\Such terrifying weapons...\Who are they? response:	This isn't just some other world.
context: I'm fine.\Then let's follow her. Come with me.\What are you doing? Hurry!\I know that! Don't yell at me!\Dummy.\Such terrifying weapons...\Who are they?\This isn't just some other world. response:	Am I in hell?
context: Then let's follow her. Come with me.\What are you doing? Hurry!\I know that! Don't yell at me!\Dummy.\Such terrifying weapons...\Who are they?\This isn't just some other world.\Am I in hell? response:	You'll find a grate up ahead.
context: What are you doing? Hurry!\I know that! Don't yell at me!\Dummy.\Such terrifying weapons...\Who are they?\This isn't just some other world.\Am I in hell?\You'll find a grate up ahead. response:	Use it to escape underground.
context: I know that! Don't yell at me!\Dummy.\Such terrifying weapons...\Who are they?\This isn't just some other world.\Am I in hell?\You'll find a grate up ahead.\Use it to escape underground. response:	A spell?
context: Dummy.\Such terrifying weapons...\Who are they?\This isn't just some other world.\Am I in hell?\You'll find a grate up ahead.\Use it to escape underground.\A spell? response:	Hurry.
context: Such terrifying weapons...\Who are they?\This isn't just some other world.\Am I in hell?\You'll find a grate up ahead.\Use it to escape underground.\A spell?\Hurry. response:	Why the hell can't we find her?
context: Who are they?\This isn't just some other world.\Am I in hell?\You'll find a grate up ahead.\Use it to escape underground.\A spell?\Hurry.\Why the hell can't we find her? response:	We've searched every inch of this damn mall!
context: This isn't just some other world.\Am I in hell?\You'll find a grate up ahead.\Use it to escape underground.\A spell?\Hurry.\Why the hell can't we find her?\We've searched every inch of this damn mall! response:	So maybe she's not in the mall.
context: Am I in hell?\You'll find a grate up ahead.\Use it to escape underground.\A spell?\Hurry.\Why the hell can't we find her?\We've searched every inch of this damn mall!\So maybe she's not in the mall. response:	There's a subway 500 meters to the south.
context: You'll find a grate up ahead.\Use it to escape underground.\A spell?\Hurry.\Why the hell can't we find her?\We've searched every inch of this damn mall!\So maybe she's not in the mall.\There's a subway 500 meters to the south. response:	And it's connected to the mall's ventilation system.
context: Use it to escape underground.\A spell?\Hurry.\Why the hell can't we find her?\We've searched every inch of this damn mall!\So maybe she's not in the mall.\There's a subway 500 meters to the south.\And it's connected to the mall's ventilation system. response:	An air duct, huh?
context: A spell?\Hurry.\Why the hell can't we find her?\We've searched every inch of this damn mall!\So maybe she's not in the mall.\There's a subway 500 meters to the south.\And it's connected to the mall's ventilation system.\An air duct, huh? response:	It's faster to go around to the East Plaza Station
context: Hurry.\Why the hell can't we find her?\We've searched every inch of this damn mall!\So maybe she's not in the mall.\There's a subway 500 meters to the south.\And it's connected to the mall's ventilation system.\An air duct, huh?\It's faster to go around to the East Plaza Station response:	and ambush her than try to go after her.
context: Why the hell can't we find her?\We've searched every inch of this damn mall!\So maybe she's not in the mall.\There's a subway 500 meters to the south.\And it's connected to the mall's ventilation system.\An air duct, huh?\It's faster to go around to the East Plaza Station\and ambush her than try to go after her. response:	I'll send you the location.
context: We've searched every inch of this damn mall!\So maybe she's not in the mall.\There's a subway 500 meters to the south.\And it's connected to the mall's ventilation system.\An air duct, huh?\It's faster to go around to the East Plaza Station\and ambush her than try to go after her.\I'll send you the location. response:	Let's go.
context: So maybe she's not in the mall.\There's a subway 500 meters to the south.\And it's connected to the mall's ventilation system.\An air duct, huh?\It's faster to go around to the East Plaza Station\and ambush her than try to go after her.\I'll send you the location.\Let's go. response:	Damn it, I've been running all the time lately!
context: There's a subway 500 meters to the south.\And it's connected to the mall's ventilation system.\An air duct, huh?\It's faster to go around to the East Plaza Station\and ambush her than try to go after her.\I'll send you the location.\Let's go.\Damn it, I've been running all the time lately! response:	It's gonna make me a healthy man.
context: And it's connected to the mall's ventilation system.\An air duct, huh?\It's faster to go around to the East Plaza Station\and ambush her than try to go after her.\I'll send you the location.\Let's go.\Damn it, I've been running all the time lately!\It's gonna make me a healthy man. response:	Sounds great to me.
context: An air duct, huh?\It's faster to go around to the East Plaza Station\and ambush her than try to go after her.\I'll send you the location.\Let's go.\Damn it, I've been running all the time lately!\It's gonna make me a healthy man.\Sounds great to me. response:	You won't have to ride in those awful cars.
context: It's faster to go around to the East Plaza Station\and ambush her than try to go after her.\I'll send you the location.\Let's go.\Damn it, I've been running all the time lately!\It's gonna make me a healthy man.\Sounds great to me.\You won't have to ride in those awful cars. response:	I can smell her.
