context: Hakone Ekiden Memories response:	Spun along with the runner's sash
context: Our only goal is the peak of Hakone.\The actual race involves running back down, though.\We're still on the way there.\We can become even stronger.\The mountains of Hakone are?\The steepest in the world!\Hey, cut that out!\Be careful! response:	It's falling!
context: The actual race involves running back down, though.\We're still on the way there.\We can become even stronger.\The mountains of Hakone are?\The steepest in the world!\Hey, cut that out!\Be careful!\It's falling! response:	Here we go!
context: We're still on the way there.\We can become even stronger.\The mountains of Hakone are?\The steepest in the world!\Hey, cut that out!\Be careful!\It's falling!\Here we go! response:	Damn.
context: We can become even stronger.\The mountains of Hakone are?\The steepest in the world!\Hey, cut that out!\Be careful!\It's falling!\Here we go!\Damn. response:	Huh?
context: The mountains of Hakone are?\The steepest in the world!\Hey, cut that out!\Be careful!\It's falling!\Here we go!\Damn.\Huh? response:	Look at how hard they're working.
context: The steepest in the world!\Hey, cut that out!\Be careful!\It's falling!\Here we go!\Damn.\Huh?\Look at how hard they're working. response:	Don't you want them to make it, no matter what?
context: Hey, cut that out!\Be careful!\It's falling!\Here we go!\Damn.\Huh?\Look at how hard they're working.\Don't you want them to make it, no matter what? response:	Yeah.
context: Be careful!\It's falling!\Here we go!\Damn.\Huh?\Look at how hard they're working.\Don't you want them to make it, no matter what?\Yeah. response:	But there are plenty of other guys out there
context: It's falling!\Here we go!\Damn.\Huh?\Look at how hard they're working.\Don't you want them to make it, no matter what?\Yeah.\But there are plenty of other guys out there response:	who are working just as hard.
context: Here we go!\Damn.\Huh?\Look at how hard they're working.\Don't you want them to make it, no matter what?\Yeah.\But there are plenty of other guys out there\who are working just as hard. response:	Probably.
context: Damn.\Huh?\Look at how hard they're working.\Don't you want them to make it, no matter what?\Yeah.\But there are plenty of other guys out there\who are working just as hard.\Probably. response:	It's just running, though. It's insane.
context: Huh?\Look at how hard they're working.\Don't you want them to make it, no matter what?\Yeah.\But there are plenty of other guys out there\who are working just as hard.\Probably.\It's just running, though. It's insane. response:	It's kind of frustrating that all we can do is watch.
context: Look at how hard they're working.\Don't you want them to make it, no matter what?\Yeah.\But there are plenty of other guys out there\who are working just as hard.\Probably.\It's just running, though. It's insane.\It's kind of frustrating that all we can do is watch. response:	Yeah. That's why I said damn.”
context: Don't you want them to make it, no matter what?\Yeah.\But there are plenty of other guys out there\who are working just as hard.\Probably.\It's just running, though. It's insane.\It's kind of frustrating that all we can do is watch.\Yeah. That's why I said damn.” response:	Dad, I want to go to Kansei University.
context: Yeah.\But there are plenty of other guys out there\who are working just as hard.\Probably.\It's just running, though. It's insane.\It's kind of frustrating that all we can do is watch.\Yeah. That's why I said damn.”\Dad, I want to go to Kansei University. response:	Say something.
context: But there are plenty of other guys out there\who are working just as hard.\Probably.\It's just running, though. It's insane.\It's kind of frustrating that all we can do is watch.\Yeah. That's why I said damn.”\Dad, I want to go to Kansei University.\Say something. response:	Like what? Damn it?
context: who are working just as hard.\Probably.\It's just running, though. It's insane.\It's kind of frustrating that all we can do is watch.\Yeah. That's why I said damn.”\Dad, I want to go to Kansei University.\Say something.\Like what? Damn it? response:	You're Not Alone
context: Probably.\It's just running, though. It's insane.\It's kind of frustrating that all we can do is watch.\Yeah. That's why I said damn.”\Dad, I want to go to Kansei University.\Say something.\Like what? Damn it?\You're Not Alone response:	Want to head up to the summit before we return to Tokyo?
context: It's just running, though. It's insane.\It's kind of frustrating that all we can do is watch.\Yeah. That's why I said damn.”\Dad, I want to go to Kansei University.\Say something.\Like what? Damn it?\You're Not Alone\Want to head up to the summit before we return to Tokyo? response:	What?
context: It's kind of frustrating that all we can do is watch.\Yeah. That's why I said damn.”\Dad, I want to go to Kansei University.\Say something.\Like what? Damn it?\You're Not Alone\Want to head up to the summit before we return to Tokyo?\What? response:	You want to do more training?
context: Yeah. That's why I said damn.”\Dad, I want to go to Kansei University.\Say something.\Like what? Damn it?\You're Not Alone\Want to head up to the summit before we return to Tokyo?\What?\You want to do more training? response:	No.
context: Dad, I want to go to Kansei University.\Say something.\Like what? Damn it?\You're Not Alone\Want to head up to the summit before we return to Tokyo?\What?\You want to do more training?\No. response:	Let's see the view together to cap off this training camp.
context: Say something.\Like what? Damn it?\You're Not Alone\Want to head up to the summit before we return to Tokyo?\What?\You want to do more training?\No.\Let's see the view together to cap off this training camp. response:	I thought views were something I'd enjoy once I was old.
context: Like what? Damn it?\You're Not Alone\Want to head up to the summit before we return to Tokyo?\What?\You want to do more training?\No.\Let's see the view together to cap off this training camp.\I thought views were something I'd enjoy once I was old. response:	I know what you mean.
context: You're Not Alone\Want to head up to the summit before we return to Tokyo?\What?\You want to do more training?\No.\Let's see the view together to cap off this training camp.\I thought views were something I'd enjoy once I was old.\I know what you mean. response:	But it's kind of nice.
context: Want to head up to the summit before we return to Tokyo?\What?\You want to do more training?\No.\Let's see the view together to cap off this training camp.\I thought views were something I'd enjoy once I was old.\I know what you mean.\But it's kind of nice. response:	Yeah.
context: What?\You want to do more training?\No.\Let's see the view together to cap off this training camp.\I thought views were something I'd enjoy once I was old.\I know what you mean.\But it's kind of nice.\Yeah. response:	Have we gotten used to the outdoors?
context: You want to do more training?\No.\Let's see the view together to cap off this training camp.\I thought views were something I'd enjoy once I was old.\I know what you mean.\But it's kind of nice.\Yeah.\Have we gotten used to the outdoors? response:	Is that why?
context: No.\Let's see the view together to cap off this training camp.\I thought views were something I'd enjoy once I was old.\I know what you mean.\But it's kind of nice.\Yeah.\Have we gotten used to the outdoors?\Is that why? response:	It's because we're viewing it together.
context: Let's see the view together to cap off this training camp.\I thought views were something I'd enjoy once I was old.\I know what you mean.\But it's kind of nice.\Yeah.\Have we gotten used to the outdoors?\Is that why?\It's because we're viewing it together. response:	I doubt we'd feel this way if we viewed it alone.
context: I thought views were something I'd enjoy once I was old.\I know what you mean.\But it's kind of nice.\Yeah.\Have we gotten used to the outdoors?\Is that why?\It's because we're viewing it together.\I doubt we'd feel this way if we viewed it alone. response:	I agree.
context: I know what you mean.\But it's kind of nice.\Yeah.\Have we gotten used to the outdoors?\Is that why?\It's because we're viewing it together.\I doubt we'd feel this way if we viewed it alone.\I agree. response:	What feeling are you talking about?
context: But it's kind of nice.\Yeah.\Have we gotten used to the outdoors?\Is that why?\It's because we're viewing it together.\I doubt we'd feel this way if we viewed it alone.\I agree.\What feeling are you talking about? response:	You're starting to say some pretty witty things.
context: Yeah.\Have we gotten used to the outdoors?\Is that why?\It's because we're viewing it together.\I doubt we'd feel this way if we viewed it alone.\I agree.\What feeling are you talking about?\You're starting to say some pretty witty things. response:	Hey, that's right.
context: Have we gotten used to the outdoors?\Is that why?\It's because we're viewing it together.\I doubt we'd feel this way if we viewed it alone.\I agree.\What feeling are you talking about?\You're starting to say some pretty witty things.\Hey, that's right. response:	Didn't he say he wanted to become a better speaker
context: Is that why?\It's because we're viewing it together.\I doubt we'd feel this way if we viewed it alone.\I agree.\What feeling are you talking about?\You're starting to say some pretty witty things.\Hey, that's right.\Didn't he say he wanted to become a better speaker response:	when we were drinking the other day?
context: It's because we're viewing it together.\I doubt we'd feel this way if we viewed it alone.\I agree.\What feeling are you talking about?\You're starting to say some pretty witty things.\Hey, that's right.\Didn't he say he wanted to become a better speaker\when we were drinking the other day? response:	Yeah, he did.
context: I doubt we'd feel this way if we viewed it alone.\I agree.\What feeling are you talking about?\You're starting to say some pretty witty things.\Hey, that's right.\Didn't he say he wanted to become a better speaker\when we were drinking the other day?\Yeah, he did. response:	I guess people do grow.
context: I agree.\What feeling are you talking about?\You're starting to say some pretty witty things.\Hey, that's right.\Didn't he say he wanted to become a better speaker\when we were drinking the other day?\Yeah, he did.\I guess people do grow. response:	What's wrong with you guys?
context: What feeling are you talking about?\You're starting to say some pretty witty things.\Hey, that's right.\Didn't he say he wanted to become a better speaker\when we were drinking the other day?\Yeah, he did.\I guess people do grow.\What's wrong with you guys? response:	We're friends running the same path together.
context: You're starting to say some pretty witty things.\Hey, that's right.\Didn't he say he wanted to become a better speaker\when we were drinking the other day?\Yeah, he did.\I guess people do grow.\What's wrong with you guys?\We're friends running the same path together. response:	No one's alone anymore.
context: Hey, that's right.\Didn't he say he wanted to become a better speaker\when we were drinking the other day?\Yeah, he did.\I guess people do grow.\What's wrong with you guys?\We're friends running the same path together.\No one's alone anymore. response:	Yeah.
context: Didn't he say he wanted to become a better speaker\when we were drinking the other day?\Yeah, he did.\I guess people do grow.\What's wrong with you guys?\We're friends running the same path together.\No one's alone anymore.\Yeah. response:	Let's head back. The real battle starts now.
context: when we were drinking the other day?\Yeah, he did.\I guess people do grow.\What's wrong with you guys?\We're friends running the same path together.\No one's alone anymore.\Yeah.\Let's head back. The real battle starts now. response:	Dochido University Track Meet
context: Yeah, he did.\I guess people do grow.\What's wrong with you guys?\We're friends running the same path together.\No one's alone anymore.\Yeah.\Let's head back. The real battle starts now.\Dochido University Track Meet response:	See you at the finish line.
context: I guess people do grow.\What's wrong with you guys?\We're friends running the same path together.\No one's alone anymore.\Yeah.\Let's head back. The real battle starts now.\Dochido University Track Meet\See you at the finish line. response:	Huh?
context: What's wrong with you guys?\We're friends running the same path together.\No one's alone anymore.\Yeah.\Let's head back. The real battle starts now.\Dochido University Track Meet\See you at the finish line.\Huh? response:	I'm not alone.
context: We're friends running the same path together.\No one's alone anymore.\Yeah.\Let's head back. The real battle starts now.\Dochido University Track Meet\See you at the finish line.\Huh?\I'm not alone. response:	Nico-chan Senpai!
context: No one's alone anymore.\Yeah.\Let's head back. The real battle starts now.\Dochido University Track Meet\See you at the finish line.\Huh?\I'm not alone.\Nico-chan Senpai! response:	Go!
context: Yeah.\Let's head back. The real battle starts now.\Dochido University Track Meet\See you at the finish line.\Huh?\I'm not alone.\Nico-chan Senpai!\Go! response:	King!
context: Let's head back. The real battle starts now.\Dochido University Track Meet\See you at the finish line.\Huh?\I'm not alone.\Nico-chan Senpai!\Go!\King! response:	You can do it!
context: Dochido University Track Meet\See you at the finish line.\Huh?\I'm not alone.\Nico-chan Senpai!\Go!\King!\You can do it! response:	Go, go, go, go!
context: See you at the finish line.\Huh?\I'm not alone.\Nico-chan Senpai!\Go!\King!\You can do it!\Go, go, go, go! response:	Yes!
context: Huh?\I'm not alone.\Nico-chan Senpai!\Go!\King!\You can do it!\Go, go, go, go!\Yes! response:	Boso University Track
context: I'm not alone.\Nico-chan Senpai!\Go!\King!\You can do it!\Go, go, go, go!\Yes!\Boso University Track response:	All runners participating in the 5000-meter race, please gather at the starting line.
context: Nico-chan Senpai!\Go!\King!\You can do it!\Go, go, go, go!\Yes!\Boso University Track\All runners participating in the 5000-meter race, please gather at the starting line. response:	All runners participating in the 5000-meter race, please gather at the starting line.
context: Go!\King!\You can do it!\Go, go, go, go!\Yes!\Boso University Track\All runners participating in the 5000-meter race, please gather at the starting line.\All runners participating in the 5000-meter race, please gather at the starting line. response:	See you later.
context: King!\You can do it!\Go, go, go, go!\Yes!\Boso University Track\All runners participating in the 5000-meter race, please gather at the starting line.\All runners participating in the 5000-meter race, please gather at the starting line.\See you later. response:	We'll block the wind for you.
context: You can do it!\Go, go, go, go!\Yes!\Boso University Track\All runners participating in the 5000-meter race, please gather at the starting line.\All runners participating in the 5000-meter race, please gather at the starting line.\See you later.\We'll block the wind for you. response:	If I can keep up.
context: Go, go, go, go!\Yes!\Boso University Track\All runners participating in the 5000-meter race, please gather at the starting line.\All runners participating in the 5000-meter race, please gather at the starting line.\See you later.\We'll block the wind for you.\If I can keep up. response:	You will.
context: Yes!\Boso University Track\All runners participating in the 5000-meter race, please gather at the starting line.\All runners participating in the 5000-meter race, please gather at the starting line.\See you later.\We'll block the wind for you.\If I can keep up.\You will. response:	The temperature's cool today.
context: Boso University Track\All runners participating in the 5000-meter race, please gather at the starting line.\All runners participating in the 5000-meter race, please gather at the starting line.\See you later.\We'll block the wind for you.\If I can keep up.\You will.\The temperature's cool today. response:	Your times are good overall.
context: All runners participating in the 5000-meter race, please gather at the starting line.\All runners participating in the 5000-meter race, please gather at the starting line.\See you later.\We'll block the wind for you.\If I can keep up.\You will.\The temperature's cool today.\Your times are good overall. response:	It's not about the order in which you finish.
context: All runners participating in the 5000-meter race, please gather at the starting line.\See you later.\We'll block the wind for you.\If I can keep up.\You will.\The temperature's cool today.\Your times are good overall.\It's not about the order in which you finish. response:	It's a race against time. Against yourself.
context: See you later.\We'll block the wind for you.\If I can keep up.\You will.\The temperature's cool today.\Your times are good overall.\It's not about the order in which you finish.\It's a race against time. Against yourself. response:	What's this? Have you always been a runner?
context: We'll block the wind for you.\If I can keep up.\You will.\The temperature's cool today.\Your times are good overall.\It's not about the order in which you finish.\It's a race against time. Against yourself.\What's this? Have you always been a runner? response:	Shut up!
context: If I can keep up.\You will.\The temperature's cool today.\Your times are good overall.\It's not about the order in which you finish.\It's a race against time. Against yourself.\What's this? Have you always been a runner?\Shut up! response:	Next time, next time!
context: You will.\The temperature's cool today.\Your times are good overall.\It's not about the order in which you finish.\It's a race against time. Against yourself.\What's this? Have you always been a runner?\Shut up!\Next time, next time! response:	You've got plenty more chances!
context: The temperature's cool today.\Your times are good overall.\It's not about the order in which you finish.\It's a race against time. Against yourself.\What's this? Have you always been a runner?\Shut up!\Next time, next time!\You've got plenty more chances! response:	Yamato University Field
context: Your times are good overall.\It's not about the order in which you finish.\It's a race against time. Against yourself.\What's this? Have you always been a runner?\Shut up!\Next time, next time!\You've got plenty more chances!\Yamato University Field response:	Yamato University Student Center
context: It's not about the order in which you finish.\It's a race against time. Against yourself.\What's this? Have you always been a runner?\Shut up!\Next time, next time!\You've got plenty more chances!\Yamato University Field\Yamato University Student Center response:	His times are definitely improving, though.
context: It's a race against time. Against yourself.\What's this? Have you always been a runner?\Shut up!\Next time, next time!\You've got plenty more chances!\Yamato University Field\Yamato University Student Center\His times are definitely improving, though. response:	Yamato Uni
context: What's this? Have you always been a runner?\Shut up!\Next time, next time!\You've got plenty more chances!\Yamato University Field\Yamato University Student Center\His times are definitely improving, though.\Yamato Uni response:	September
context: Shut up!\Next time, next time!\You've got plenty more chances!\Yamato University Field\Yamato University Student Center\His times are definitely improving, though.\Yamato Uni\September response:	Boso Uni
context: Next time, next time!\You've got plenty more chances!\Yamato University Field\Yamato University Student Center\His times are definitely improving, though.\Yamato Uni\September\Boso Uni response:	Yamato Uni
context: You've got plenty more chances!\Yamato University Field\Yamato University Student Center\His times are definitely improving, though.\Yamato Uni\September\Boso Uni\Yamato Uni response:	Tokyo Sport Uni
context: Yamato University Field\Yamato University Student Center\His times are definitely improving, though.\Yamato Uni\September\Boso Uni\Yamato Uni\Tokyo Sport Uni response:	October
context: Yamato University Student Center\His times are definitely improving, though.\Yamato Uni\September\Boso Uni\Yamato Uni\Tokyo Sport Uni\October response:	Entry Deadline
context: His times are definitely improving, though.\Yamato Uni\September\Boso Uni\Yamato Uni\Tokyo Sport Uni\October\Entry Deadline response:	Qualifier
context: Yamato Uni\September\Boso Uni\Yamato Uni\Tokyo Sport Uni\October\Entry Deadline\Qualifier response:	Qualifier
context: September\Boso Uni\Yamato Uni\Tokyo Sport Uni\October\Entry Deadline\Qualifier\Qualifier response:	Entry Deadline
context: Boso Uni\Yamato Uni\Tokyo Sport Uni\October\Entry Deadline\Qualifier\Qualifier\Entry Deadline response:	Tokyo Sport Uni
context: Yamato Uni\Tokyo Sport Uni\October\Entry Deadline\Qualifier\Qualifier\Entry Deadline\Tokyo Sport Uni response:	I'm just going for a short run.
context: Tokyo Sport Uni\October\Entry Deadline\Qualifier\Qualifier\Entry Deadline\Tokyo Sport Uni\I'm just going for a short run. response:	I'll go with you.
context: October\Entry Deadline\Qualifier\Qualifier\Entry Deadline\Tokyo Sport Uni\I'm just going for a short run.\I'll go with you. response:	You don't have to. Aren't you taking a bath?
context: Entry Deadline\Qualifier\Qualifier\Entry Deadline\Tokyo Sport Uni\I'm just going for a short run.\I'll go with you.\You don't have to. Aren't you taking a bath? response:	I want to run, too.
context: Qualifier\Qualifier\Entry Deadline\Tokyo Sport Uni\I'm just going for a short run.\I'll go with you.\You don't have to. Aren't you taking a bath?\I want to run, too. response:	I'll go with you.
context: Qualifier\Entry Deadline\Tokyo Sport Uni\I'm just going for a short run.\I'll go with you.\You don't have to. Aren't you taking a bath?\I want to run, too.\I'll go with you. response:	You're a freak, aren't you?
context: Entry Deadline\Tokyo Sport Uni\I'm just going for a short run.\I'll go with you.\You don't have to. Aren't you taking a bath?\I want to run, too.\I'll go with you.\You're a freak, aren't you? response:	What?
context: Tokyo Sport Uni\I'm just going for a short run.\I'll go with you.\You don't have to. Aren't you taking a bath?\I want to run, too.\I'll go with you.\You're a freak, aren't you?\What? response:	Hngh
context: I'm just going for a short run.\I'll go with you.\You don't have to. Aren't you taking a bath?\I want to run, too.\I'll go with you.\You're a freak, aren't you?\What?\Hngh response:	Don't worry. Go on.
context: I'll go with you.\You don't have to. Aren't you taking a bath?\I want to run, too.\I'll go with you.\You're a freak, aren't you?\What?\Hngh\Don't worry. Go on. response:	It's just a short jog.
context: You don't have to. Aren't you taking a bath?\I want to run, too.\I'll go with you.\You're a freak, aren't you?\What?\Hngh\Don't worry. Go on.\It's just a short jog. response:	It's something I do occasionally.
context: I want to run, too.\I'll go with you.\You're a freak, aren't you?\What?\Hngh\Don't worry. Go on.\It's just a short jog.\It's something I do occasionally. response:	Doesn't sitting in the water in the dark make you feel incredibly uneasy?
context: I'll go with you.\You're a freak, aren't you?\What?\Hngh\Don't worry. Go on.\It's just a short jog.\It's something I do occasionally.\Doesn't sitting in the water in the dark make you feel incredibly uneasy? response:	Doing it deliberately makes me feel like I can reexamine myself.
context: You're a freak, aren't you?\What?\Hngh\Don't worry. Go on.\It's just a short jog.\It's something I do occasionally.\Doesn't sitting in the water in the dark make you feel incredibly uneasy?\Doing it deliberately makes me feel like I can reexamine myself. response:	It's like meditating.
context: What?\Hngh\Don't worry. Go on.\It's just a short jog.\It's something I do occasionally.\Doesn't sitting in the water in the dark make you feel incredibly uneasy?\Doing it deliberately makes me feel like I can reexamine myself.\It's like meditating. response:	Ah.
context: Hngh\Don't worry. Go on.\It's just a short jog.\It's something I do occasionally.\Doesn't sitting in the water in the dark make you feel incredibly uneasy?\Doing it deliberately makes me feel like I can reexamine myself.\It's like meditating.\Ah. response:	I see. Prince went running alone?
context: Don't worry. Go on.\It's just a short jog.\It's something I do occasionally.\Doesn't sitting in the water in the dark make you feel incredibly uneasy?\Doing it deliberately makes me feel like I can reexamine myself.\It's like meditating.\Ah.\I see. Prince went running alone? response:	Should I have gone with him?
context: It's just a short jog.\It's something I do occasionally.\Doesn't sitting in the water in the dark make you feel incredibly uneasy?\Doing it deliberately makes me feel like I can reexamine myself.\It's like meditating.\Ah.\I see. Prince went running alone?\Should I have gone with him? response:	Leaving a person alone can be kindness as well.
context: It's something I do occasionally.\Doesn't sitting in the water in the dark make you feel incredibly uneasy?\Doing it deliberately makes me feel like I can reexamine myself.\It's like meditating.\Ah.\I see. Prince went running alone?\Should I have gone with him?\Leaving a person alone can be kindness as well. response:	It's okay. Even if he runs alone, he's not alone.
context: Doesn't sitting in the water in the dark make you feel incredibly uneasy?\Doing it deliberately makes me feel like I can reexamine myself.\It's like meditating.\Ah.\I see. Prince went running alone?\Should I have gone with him?\Leaving a person alone can be kindness as well.\It's okay. Even if he runs alone, he's not alone. response:	Haiji said the same thing.
context: Doing it deliberately makes me feel like I can reexamine myself.\It's like meditating.\Ah.\I see. Prince went running alone?\Should I have gone with him?\Leaving a person alone can be kindness as well.\It's okay. Even if he runs alone, he's not alone.\Haiji said the same thing. response:	What?
context: It's like meditating.\Ah.\I see. Prince went running alone?\Should I have gone with him?\Leaving a person alone can be kindness as well.\It's okay. Even if he runs alone, he's not alone.\Haiji said the same thing.\What? response:	He told me that a while ago.
context: Ah.\I see. Prince went running alone?\Should I have gone with him?\Leaving a person alone can be kindness as well.\It's okay. Even if he runs alone, he's not alone.\Haiji said the same thing.\What?\He told me that a while ago. response:	That no matter how much you run alone, you're not actually alone.
context: I see. Prince went running alone?\Should I have gone with him?\Leaving a person alone can be kindness as well.\It's okay. Even if he runs alone, he's not alone.\Haiji said the same thing.\What?\He told me that a while ago.\That no matter how much you run alone, you're not actually alone. response:	Running is fun, isn't it?
context: Should I have gone with him?\Leaving a person alone can be kindness as well.\It's okay. Even if he runs alone, he's not alone.\Haiji said the same thing.\What?\He told me that a while ago.\That no matter how much you run alone, you're not actually alone.\Running is fun, isn't it? response:	It's just running, but I've learned all kinds of things.
context: Leaving a person alone can be kindness as well.\It's okay. Even if he runs alone, he's not alone.\Haiji said the same thing.\What?\He told me that a while ago.\That no matter how much you run alone, you're not actually alone.\Running is fun, isn't it?\It's just running, but I've learned all kinds of things. response:	Yeah.
context: It's okay. Even if he runs alone, he's not alone.\Haiji said the same thing.\What?\He told me that a while ago.\That no matter how much you run alone, you're not actually alone.\Running is fun, isn't it?\It's just running, but I've learned all kinds of things.\Yeah. response:	Oh, right.
context: Haiji said the same thing.\What?\He told me that a while ago.\That no matter how much you run alone, you're not actually alone.\Running is fun, isn't it?\It's just running, but I've learned all kinds of things.\Yeah.\Oh, right. response:	Huh?
context: What?\He told me that a while ago.\That no matter how much you run alone, you're not actually alone.\Running is fun, isn't it?\It's just running, but I've learned all kinds of things.\Yeah.\Oh, right.\Huh? response:	Since you're always in the front, you probably haven't noticed,
context: He told me that a while ago.\That no matter how much you run alone, you're not actually alone.\Running is fun, isn't it?\It's just running, but I've learned all kinds of things.\Yeah.\Oh, right.\Huh?\Since you're always in the front, you probably haven't noticed, response:	but recently I made a wonderful discovery.
context: That no matter how much you run alone, you're not actually alone.\Running is fun, isn't it?\It's just running, but I've learned all kinds of things.\Yeah.\Oh, right.\Huh?\Since you're always in the front, you probably haven't noticed,\but recently I made a wonderful discovery. response:	A discovery? What is it?
context: Running is fun, isn't it?\It's just running, but I've learned all kinds of things.\Yeah.\Oh, right.\Huh?\Since you're always in the front, you probably haven't noticed,\but recently I made a wonderful discovery.\A discovery? What is it? response:	What should I do?
context: It's just running, but I've learned all kinds of things.\Yeah.\Oh, right.\Huh?\Since you're always in the front, you probably haven't noticed,\but recently I made a wonderful discovery.\A discovery? What is it?\What should I do? response:	Oh, how wonderful it is to be young.
context: Yeah.\Oh, right.\Huh?\Since you're always in the front, you probably haven't noticed,\but recently I made a wonderful discovery.\A discovery? What is it?\What should I do?\Oh, how wonderful it is to be young. response:	What is it? It's dark, and we're naked.
context: Oh, right.\Huh?\Since you're always in the front, you probably haven't noticed,\but recently I made a wonderful discovery.\A discovery? What is it?\What should I do?\Oh, how wonderful it is to be young.\What is it? It's dark, and we're naked. response:	Hey, look.
context: Huh?\Since you're always in the front, you probably haven't noticed,\but recently I made a wonderful discovery.\A discovery? What is it?\What should I do?\Oh, how wonderful it is to be young.\What is it? It's dark, and we're naked.\Hey, look. response:	I thought it was a streetlight, but it's the moon.
context: Since you're always in the front, you probably haven't noticed,\but recently I made a wonderful discovery.\A discovery? What is it?\What should I do?\Oh, how wonderful it is to be young.\What is it? It's dark, and we're naked.\Hey, look.\I thought it was a streetlight, but it's the moon. response:	I caught it in my hands.
context: but recently I made a wonderful discovery.\A discovery? What is it?\What should I do?\Oh, how wonderful it is to be young.\What is it? It's dark, and we're naked.\Hey, look.\I thought it was a streetlight, but it's the moon.\I caught it in my hands. response:	What's going on with you?
context: A discovery? What is it?\What should I do?\Oh, how wonderful it is to be young.\What is it? It's dark, and we're naked.\Hey, look.\I thought it was a streetlight, but it's the moon.\I caught it in my hands.\What's going on with you? response:	Tokyo Sport University
context: What should I do?\Oh, how wonderful it is to be young.\What is it? It's dark, and we're naked.\Hey, look.\I thought it was a streetlight, but it's the moon.\I caught it in my hands.\What's going on with you?\Tokyo Sport University response:	Um, do you have a moment?
context: Oh, how wonderful it is to be young.\What is it? It's dark, and we're naked.\Hey, look.\I thought it was a streetlight, but it's the moon.\I caught it in my hands.\What's going on with you?\Tokyo Sport University\Um, do you have a moment? response:	You really are interested in them.
context: What is it? It's dark, and we're naked.\Hey, look.\I thought it was a streetlight, but it's the moon.\I caught it in my hands.\What's going on with you?\Tokyo Sport University\Um, do you have a moment?\You really are interested in them. response:	They might not even make it to the qualifier, though.
context: Hey, look.\I thought it was a streetlight, but it's the moon.\I caught it in my hands.\What's going on with you?\Tokyo Sport University\Um, do you have a moment?\You really are interested in them.\They might not even make it to the qualifier, though. response:	Excuse me.
context: I thought it was a streetlight, but it's the moon.\I caught it in my hands.\What's going on with you?\Tokyo Sport University\Um, do you have a moment?\You really are interested in them.\They might not even make it to the qualifier, though.\Excuse me. response:	You're not going to stand with him?
context: I caught it in my hands.\What's going on with you?\Tokyo Sport University\Um, do you have a moment?\You really are interested in them.\They might not even make it to the qualifier, though.\Excuse me.\You're not going to stand with him? response:	You don't want to pressure him?
context: What's going on with you?\Tokyo Sport University\Um, do you have a moment?\You really are interested in them.\They might not even make it to the qualifier, though.\Excuse me.\You're not going to stand with him?\You don't want to pressure him? response:	He'll feel it no matter where I am.
context: Tokyo Sport University\Um, do you have a moment?\You really are interested in them.\They might not even make it to the qualifier, though.\Excuse me.\You're not going to stand with him?\You don't want to pressure him?\He'll feel it no matter where I am. response:	How much time do you think we've spent together?
context: Um, do you have a moment?\You really are interested in them.\They might not even make it to the qualifier, though.\Excuse me.\You're not going to stand with him?\You don't want to pressure him?\He'll feel it no matter where I am.\How much time do you think we've spent together? response:	I'm jealous of them that they have you to say that.
context: You really are interested in them.\They might not even make it to the qualifier, though.\Excuse me.\You're not going to stand with him?\You don't want to pressure him?\He'll feel it no matter where I am.\How much time do you think we've spent together?\I'm jealous of them that they have you to say that. response:	Prince! Go, go!
context: They might not even make it to the qualifier, though.\Excuse me.\You're not going to stand with him?\You don't want to pressure him?\He'll feel it no matter where I am.\How much time do you think we've spent together?\I'm jealous of them that they have you to say that.\Prince! Go, go! response:	Prince! Prince!
context: Excuse me.\You're not going to stand with him?\You don't want to pressure him?\He'll feel it no matter where I am.\How much time do you think we've spent together?\I'm jealous of them that they have you to say that.\Prince! Go, go!\Prince! Prince! response:	Um, do you have a moment?
context: You're not going to stand with him?\You don't want to pressure him?\He'll feel it no matter where I am.\How much time do you think we've spent together?\I'm jealous of them that they have you to say that.\Prince! Go, go!\Prince! Prince!\Um, do you have a moment? response:	If there's something you want to say,
context: You don't want to pressure him?\He'll feel it no matter where I am.\How much time do you think we've spent together?\I'm jealous of them that they have you to say that.\Prince! Go, go!\Prince! Prince!\Um, do you have a moment?\If there's something you want to say, response:	you can write it here.
context: He'll feel it no matter where I am.\How much time do you think we've spent together?\I'm jealous of them that they have you to say that.\Prince! Go, go!\Prince! Prince!\Um, do you have a moment?\If there's something you want to say,\you can write it here. response:	Unbelievable. When they look at me like that...
context: How much time do you think we've spent together?\I'm jealous of them that they have you to say that.\Prince! Go, go!\Prince! Prince!\Um, do you have a moment?\If there's something you want to say,\you can write it here.\Unbelievable. When they look at me like that... response:	Forward!!
context: I'm jealous of them that they have you to say that.\Prince! Go, go!\Prince! Prince!\Um, do you have a moment?\If there's something you want to say,\you can write it here.\Unbelievable. When they look at me like that...\Forward!! response:	Forward!!
context: Prince! Go, go!\Prince! Prince!\Um, do you have a moment?\If there's something you want to say,\you can write it here.\Unbelievable. When they look at me like that...\Forward!!\Forward!! response:	Forward!
context: Prince! Prince!\Um, do you have a moment?\If there's something you want to say,\you can write it here.\Unbelievable. When they look at me like that...\Forward!!\Forward!!\Forward! response:	Forward!
context: Um, do you have a moment?\If there's something you want to say,\you can write it here.\Unbelievable. When they look at me like that...\Forward!!\Forward!!\Forward!\Forward! response:	Forward!
context: If there's something you want to say,\you can write it here.\Unbelievable. When they look at me like that...\Forward!!\Forward!!\Forward!\Forward!\Forward! response:	Forward!
