context: You're such a slowpoke, Rita. response:	Alright, everyone, stay where you are and listen.
context: This is why I told you to take a break!\The machinery here is junk!\If we don't give it a rest every so often, people get hurt.\We get paid by the day.\If we get hurt, we can't earn any money.\We may not like it, but we do what we can to get on.\Is the foreman in?\Pwah. response:	You rabble. I don't care who, but one of you get the foreman.
context: The machinery here is junk!\If we don't give it a rest every so often, people get hurt.\We get paid by the day.\If we get hurt, we can't earn any money.\We may not like it, but we do what we can to get on.\Is the foreman in?\Pwah.\You rabble. I don't care who, but one of you get the foreman. response:	Tell him Franky is here. He'll understand.
context: If we don't give it a rest every so often, people get hurt.\We get paid by the day.\If we get hurt, we can't earn any money.\We may not like it, but we do what we can to get on.\Is the foreman in?\Pwah.\You rabble. I don't care who, but one of you get the foreman.\Tell him Franky is here. He'll understand. response:	Surely you are aware, Foreman,
context: We get paid by the day.\If we get hurt, we can't earn any money.\We may not like it, but we do what we can to get on.\Is the foreman in?\Pwah.\You rabble. I don't care who, but one of you get the foreman.\Tell him Franky is here. He'll understand.\Surely you are aware, Foreman, response:	that your payment is due.
context: If we get hurt, we can't earn any money.\We may not like it, but we do what we can to get on.\Is the foreman in?\Pwah.\You rabble. I don't care who, but one of you get the foreman.\Tell him Franky is here. He'll understand.\Surely you are aware, Foreman,\that your payment is due. response:	Y-yes, of course.
context: We may not like it, but we do what we can to get on.\Is the foreman in?\Pwah.\You rabble. I don't care who, but one of you get the foreman.\Tell him Franky is here. He'll understand.\Surely you are aware, Foreman,\that your payment is due.\Y-yes, of course. response:	So what will it be?
context: Is the foreman in?\Pwah.\You rabble. I don't care who, but one of you get the foreman.\Tell him Franky is here. He'll understand.\Surely you are aware, Foreman,\that your payment is due.\Y-yes, of course.\So what will it be? response:	If you can't pay, then I'll run your sorry little mill into the ground.
context: Pwah.\You rabble. I don't care who, but one of you get the foreman.\Tell him Franky is here. He'll understand.\Surely you are aware, Foreman,\that your payment is due.\Y-yes, of course.\So what will it be?\If you can't pay, then I'll run your sorry little mill into the ground. response:	Are you ready for that?
context: You rabble. I don't care who, but one of you get the foreman.\Tell him Franky is here. He'll understand.\Surely you are aware, Foreman,\that your payment is due.\Y-yes, of course.\So what will it be?\If you can't pay, then I'll run your sorry little mill into the ground.\Are you ready for that? response:	No, I need a little...
context: Tell him Franky is here. He'll understand.\Surely you are aware, Foreman,\that your payment is due.\Y-yes, of course.\So what will it be?\If you can't pay, then I'll run your sorry little mill into the ground.\Are you ready for that?\No, I need a little... response:	Is he going to close the mill?
context: Surely you are aware, Foreman,\that your payment is due.\Y-yes, of course.\So what will it be?\If you can't pay, then I'll run your sorry little mill into the ground.\Are you ready for that?\No, I need a little...\Is he going to close the mill? response:	He can't!
context: that your payment is due.\Y-yes, of course.\So what will it be?\If you can't pay, then I'll run your sorry little mill into the ground.\Are you ready for that?\No, I need a little...\Is he going to close the mill?\He can't! response:	Are we bankrupt?
context: Y-yes, of course.\So what will it be?\If you can't pay, then I'll run your sorry little mill into the ground.\Are you ready for that?\No, I need a little...\Is he going to close the mill?\He can't!\Are we bankrupt? response:	I always said that foreman was useless as a manager!
context: So what will it be?\If you can't pay, then I'll run your sorry little mill into the ground.\Are you ready for that?\No, I need a little...\Is he going to close the mill?\He can't!\Are we bankrupt?\I always said that foreman was useless as a manager! response:	What do we do?
context: If you can't pay, then I'll run your sorry little mill into the ground.\Are you ready for that?\No, I need a little...\Is he going to close the mill?\He can't!\Are we bankrupt?\I always said that foreman was useless as a manager!\What do we do? response:	I don't know.
context: Are you ready for that?\No, I need a little...\Is he going to close the mill?\He can't!\Are we bankrupt?\I always said that foreman was useless as a manager!\What do we do?\I don't know. response:	That's going to put a damper on our plans.
context: No, I need a little...\Is he going to close the mill?\He can't!\Are we bankrupt?\I always said that foreman was useless as a manager!\What do we do?\I don't know.\That's going to put a damper on our plans. response:	Are we even going to be paid this month?
context: Is he going to close the mill?\He can't!\Are we bankrupt?\I always said that foreman was useless as a manager!\What do we do?\I don't know.\That's going to put a damper on our plans.\Are we even going to be paid this month? response:	I didn't know this place was in debt. Are we even going to be paid this month?
context: He can't!\Are we bankrupt?\I always said that foreman was useless as a manager!\What do we do?\I don't know.\That's going to put a damper on our plans.\Are we even going to be paid this month?\I didn't know this place was in debt. Are we even going to be paid this month? response:	What do we do?
context: Are we bankrupt?\I always said that foreman was useless as a manager!\What do we do?\I don't know.\That's going to put a damper on our plans.\Are we even going to be paid this month?\I didn't know this place was in debt. Are we even going to be paid this month?\What do we do? response:	Mother's surgery is at the end of the month.
context: I always said that foreman was useless as a manager!\What do we do?\I don't know.\That's going to put a damper on our plans.\Are we even going to be paid this month?\I didn't know this place was in debt. Are we even going to be paid this month?\What do we do?\Mother's surgery is at the end of the month. response:	Chise, don't.
context: What do we do?\I don't know.\That's going to put a damper on our plans.\Are we even going to be paid this month?\I didn't know this place was in debt. Are we even going to be paid this month?\What do we do?\Mother's surgery is at the end of the month.\Chise, don't. response:	Why not?
context: I don't know.\That's going to put a damper on our plans.\Are we even going to be paid this month?\I didn't know this place was in debt. Are we even going to be paid this month?\What do we do?\Mother's surgery is at the end of the month.\Chise, don't.\Why not? response:	If you can't pay now, when can you?
context: That's going to put a damper on our plans.\Are we even going to be paid this month?\I didn't know this place was in debt. Are we even going to be paid this month?\What do we do?\Mother's surgery is at the end of the month.\Chise, don't.\Why not?\If you can't pay now, when can you? response:	H-hey!
context: Are we even going to be paid this month?\I didn't know this place was in debt. Are we even going to be paid this month?\What do we do?\Mother's surgery is at the end of the month.\Chise, don't.\Why not?\If you can't pay now, when can you?\H-hey! response:	Pardon me.
context: I didn't know this place was in debt. Are we even going to be paid this month?\What do we do?\Mother's surgery is at the end of the month.\Chise, don't.\Why not?\If you can't pay now, when can you?\H-hey!\Pardon me. response:	What do you want?
context: What do we do?\Mother's surgery is at the end of the month.\Chise, don't.\Why not?\If you can't pay now, when can you?\H-hey!\Pardon me.\What do you want? response:	How do you do, everyone?
context: Mother's surgery is at the end of the month.\Chise, don't.\Why not?\If you can't pay now, when can you?\H-hey!\Pardon me.\What do you want?\How do you do, everyone? response:	What? Who are you?
context: Chise, don't.\Why not?\If you can't pay now, when can you?\H-hey!\Pardon me.\What do you want?\How do you do, everyone?\What? Who are you? response:	We're in the middle of an important discussion!
context: Why not?\If you can't pay now, when can you?\H-hey!\Pardon me.\What do you want?\How do you do, everyone?\What? Who are you?\We're in the middle of an important discussion! response:	I know. And I've come with an important proposal.
context: If you can't pay now, when can you?\H-hey!\Pardon me.\What do you want?\How do you do, everyone?\What? Who are you?\We're in the middle of an important discussion!\I know. And I've come with an important proposal. response:	I'm going to buy this laundry mill.
context: H-hey!\Pardon me.\What do you want?\How do you do, everyone?\What? Who are you?\We're in the middle of an important discussion!\I know. And I've come with an important proposal.\I'm going to buy this laundry mill. response:	Huh?
context: Pardon me.\What do you want?\How do you do, everyone?\What? Who are you?\We're in the middle of an important discussion!\I know. And I've come with an important proposal.\I'm going to buy this laundry mill.\Huh? response:	What...
context: What do you want?\How do you do, everyone?\What? Who are you?\We're in the middle of an important discussion!\I know. And I've come with an important proposal.\I'm going to buy this laundry mill.\Huh?\What... response:	And I will pay off the debt.
context: How do you do, everyone?\What? Who are you?\We're in the middle of an important discussion!\I know. And I've come with an important proposal.\I'm going to buy this laundry mill.\Huh?\What...\And I will pay off the debt. response:	That should resolve all the problems, shouldn't it?
context: What? Who are you?\We're in the middle of an important discussion!\I know. And I've come with an important proposal.\I'm going to buy this laundry mill.\Huh?\What...\And I will pay off the debt.\That should resolve all the problems, shouldn't it? response:	Stay out of this, little girl!
context: We're in the middle of an important discussion!\I know. And I've come with an important proposal.\I'm going to buy this laundry mill.\Huh?\What...\And I will pay off the debt.\That should resolve all the problems, shouldn't it?\Stay out of this, little girl! response:	We're not playing a game here!
context: I know. And I've come with an important proposal.\I'm going to buy this laundry mill.\Huh?\What...\And I will pay off the debt.\That should resolve all the problems, shouldn't it?\Stay out of this, little girl!\We're not playing a game here! response:	Y-you would really buy the mill, debt and all?
context: I'm going to buy this laundry mill.\Huh?\What...\And I will pay off the debt.\That should resolve all the problems, shouldn't it?\Stay out of this, little girl!\We're not playing a game here!\Y-you would really buy the mill, debt and all? response:	Yes. I would.
context: Huh?\What...\And I will pay off the debt.\That should resolve all the problems, shouldn't it?\Stay out of this, little girl!\We're not playing a game here!\Y-you would really buy the mill, debt and all?\Yes. I would. response:	Stop making up stories! A woman, buying the mill!
context: What...\And I will pay off the debt.\That should resolve all the problems, shouldn't it?\Stay out of this, little girl!\We're not playing a game here!\Y-you would really buy the mill, debt and all?\Yes. I would.\Stop making up stories! A woman, buying the mill! response:	Who do you think you-
context: And I will pay off the debt.\That should resolve all the problems, shouldn't it?\Stay out of this, little girl!\We're not playing a game here!\Y-you would really buy the mill, debt and all?\Yes. I would.\Stop making up stories! A woman, buying the mill!\Who do you think you- response:	Ow! Oww!
context: That should resolve all the problems, shouldn't it?\Stay out of this, little girl!\We're not playing a game here!\Y-you would really buy the mill, debt and all?\Yes. I would.\Stop making up stories! A woman, buying the mill!\Who do you think you-\Ow! Oww! response:	That hurts!
context: Stay out of this, little girl!\We're not playing a game here!\Y-you would really buy the mill, debt and all?\Yes. I would.\Stop making up stories! A woman, buying the mill!\Who do you think you-\Ow! Oww!\That hurts! response:	Don't you dare raise your hand against a lady, you piece of garbage!
context: We're not playing a game here!\Y-you would really buy the mill, debt and all?\Yes. I would.\Stop making up stories! A woman, buying the mill!\Who do you think you-\Ow! Oww!\That hurts!\Don't you dare raise your hand against a lady, you piece of garbage! response:	Boss!
context: Y-you would really buy the mill, debt and all?\Yes. I would.\Stop making up stories! A woman, buying the mill!\Who do you think you-\Ow! Oww!\That hurts!\Don't you dare raise your hand against a lady, you piece of garbage!\Boss! response:	Don't be such a pigheaded jackass!
context: Yes. I would.\Stop making up stories! A woman, buying the mill!\Who do you think you-\Ow! Oww!\That hurts!\Don't you dare raise your hand against a lady, you piece of garbage!\Boss!\Don't be such a pigheaded jackass! response:	No, stop!
context: Stop making up stories! A woman, buying the mill!\Who do you think you-\Ow! Oww!\That hurts!\Don't you dare raise your hand against a lady, you piece of garbage!\Boss!\Don't be such a pigheaded jackass!\No, stop! response:	She says she's gonna buy the mill,
context: Who do you think you-\Ow! Oww!\That hurts!\Don't you dare raise your hand against a lady, you piece of garbage!\Boss!\Don't be such a pigheaded jackass!\No, stop!\She says she's gonna buy the mill, response:	so shut up and sell it to her, dammit!
context: Ow! Oww!\That hurts!\Don't you dare raise your hand against a lady, you piece of garbage!\Boss!\Don't be such a pigheaded jackass!\No, stop!\She says she's gonna buy the mill,\so shut up and sell it to her, dammit! response:	Come on, what are you even doing?
context: That hurts!\Don't you dare raise your hand against a lady, you piece of garbage!\Boss!\Don't be such a pigheaded jackass!\No, stop!\She says she's gonna buy the mill,\so shut up and sell it to her, dammit!\Come on, what are you even doing? response:	What were you thinking, buying a mill that's losing money?
context: Don't you dare raise your hand against a lady, you piece of garbage!\Boss!\Don't be such a pigheaded jackass!\No, stop!\She says she's gonna buy the mill,\so shut up and sell it to her, dammit!\Come on, what are you even doing?\What were you thinking, buying a mill that's losing money? response:	If the laundry mill were to close, that would be the end of our mission, wouldn't it?
context: Boss!\Don't be such a pigheaded jackass!\No, stop!\She says she's gonna buy the mill,\so shut up and sell it to her, dammit!\Come on, what are you even doing?\What were you thinking, buying a mill that's losing money?\If the laundry mill were to close, that would be the end of our mission, wouldn't it? response:	We just need two more weeks to check all of the soldiers' uniforms.
context: Don't be such a pigheaded jackass!\No, stop!\She says she's gonna buy the mill,\so shut up and sell it to her, dammit!\Come on, what are you even doing?\What were you thinking, buying a mill that's losing money?\If the laundry mill were to close, that would be the end of our mission, wouldn't it?\We just need two more weeks to check all of the soldiers' uniforms. response:	And we need to keep the mill in business until then, is that it?
context: No, stop!\She says she's gonna buy the mill,\so shut up and sell it to her, dammit!\Come on, what are you even doing?\What were you thinking, buying a mill that's losing money?\If the laundry mill were to close, that would be the end of our mission, wouldn't it?\We just need two more weeks to check all of the soldiers' uniforms.\And we need to keep the mill in business until then, is that it? response:	But Princess...
context: She says she's gonna buy the mill,\so shut up and sell it to her, dammit!\Come on, what are you even doing?\What were you thinking, buying a mill that's losing money?\If the laundry mill were to close, that would be the end of our mission, wouldn't it?\We just need two more weeks to check all of the soldiers' uniforms.\And we need to keep the mill in business until then, is that it?\But Princess... response:	You don't have that much money at your disposal, do you?
context: so shut up and sell it to her, dammit!\Come on, what are you even doing?\What were you thinking, buying a mill that's losing money?\If the laundry mill were to close, that would be the end of our mission, wouldn't it?\We just need two more weeks to check all of the soldiers' uniforms.\And we need to keep the mill in business until then, is that it?\But Princess...\You don't have that much money at your disposal, do you? response:	I'm surprised you knew that.
context: Come on, what are you even doing?\What were you thinking, buying a mill that's losing money?\If the laundry mill were to close, that would be the end of our mission, wouldn't it?\We just need two more weeks to check all of the soldiers' uniforms.\And we need to keep the mill in business until then, is that it?\But Princess...\You don't have that much money at your disposal, do you?\I'm surprised you knew that. response:	But I don't intend to let the laundry mill be a poor investment.
context: What were you thinking, buying a mill that's losing money?\If the laundry mill were to close, that would be the end of our mission, wouldn't it?\We just need two more weeks to check all of the soldiers' uniforms.\And we need to keep the mill in business until then, is that it?\But Princess...\You don't have that much money at your disposal, do you?\I'm surprised you knew that.\But I don't intend to let the laundry mill be a poor investment. response:	You intend to make a profit from it?
context: If the laundry mill were to close, that would be the end of our mission, wouldn't it?\We just need two more weeks to check all of the soldiers' uniforms.\And we need to keep the mill in business until then, is that it?\But Princess...\You don't have that much money at your disposal, do you?\I'm surprised you knew that.\But I don't intend to let the laundry mill be a poor investment.\You intend to make a profit from it? response:	Yes!
context: We just need two more weeks to check all of the soldiers' uniforms.\And we need to keep the mill in business until then, is that it?\But Princess...\You don't have that much money at your disposal, do you?\I'm surprised you knew that.\But I don't intend to let the laundry mill be a poor investment.\You intend to make a profit from it?\Yes! response:	Impossible! Not from that place!
context: And we need to keep the mill in business until then, is that it?\But Princess...\You don't have that much money at your disposal, do you?\I'm surprised you knew that.\But I don't intend to let the laundry mill be a poor investment.\You intend to make a profit from it?\Yes!\Impossible! Not from that place! response:	That isn't like you, Miss Chise.
context: But Princess...\You don't have that much money at your disposal, do you?\I'm surprised you knew that.\But I don't intend to let the laundry mill be a poor investment.\You intend to make a profit from it?\Yes!\Impossible! Not from that place!\That isn't like you, Miss Chise. response:	I thought we could do anything with hard work and practice, right?
context: You don't have that much money at your disposal, do you?\I'm surprised you knew that.\But I don't intend to let the laundry mill be a poor investment.\You intend to make a profit from it?\Yes!\Impossible! Not from that place!\That isn't like you, Miss Chise.\I thought we could do anything with hard work and practice, right? response:	But...
context: I'm surprised you knew that.\But I don't intend to let the laundry mill be a poor investment.\You intend to make a profit from it?\Yes!\Impossible! Not from that place!\That isn't like you, Miss Chise.\I thought we could do anything with hard work and practice, right?\But... response:	What about you, Ange? Do you think it's impossible?
context: But I don't intend to let the laundry mill be a poor investment.\You intend to make a profit from it?\Yes!\Impossible! Not from that place!\That isn't like you, Miss Chise.\I thought we could do anything with hard work and practice, right?\But...\What about you, Ange? Do you think it's impossible? response:	Nothing is impossible for a spy.
context: You intend to make a profit from it?\Yes!\Impossible! Not from that place!\That isn't like you, Miss Chise.\I thought we could do anything with hard work and practice, right?\But...\What about you, Ange? Do you think it's impossible?\Nothing is impossible for a spy. response:	Don't you lie to us.
context: Yes!\Impossible! Not from that place!\That isn't like you, Miss Chise.\I thought we could do anything with hard work and practice, right?\But...\What about you, Ange? Do you think it's impossible?\Nothing is impossible for a spy.\Don't you lie to us. response:	The machines here have always made such terrible noises.
context: Impossible! Not from that place!\That isn't like you, Miss Chise.\I thought we could do anything with hard work and practice, right?\But...\What about you, Ange? Do you think it's impossible?\Nothing is impossible for a spy.\Don't you lie to us.\The machines here have always made such terrible noises. response:	I don't think they've ever seen proper maintenance.
context: That isn't like you, Miss Chise.\I thought we could do anything with hard work and practice, right?\But...\What about you, Ange? Do you think it's impossible?\Nothing is impossible for a spy.\Don't you lie to us.\The machines here have always made such terrible noises.\I don't think they've ever seen proper maintenance. response:	I'd believe that from that stingy foreman.
context: I thought we could do anything with hard work and practice, right?\But...\What about you, Ange? Do you think it's impossible?\Nothing is impossible for a spy.\Don't you lie to us.\The machines here have always made such terrible noises.\I don't think they've ever seen proper maintenance.\I'd believe that from that stingy foreman. response:	I think if we just fix them up right, they'll be able to work that much harder for us.
context: But...\What about you, Ange? Do you think it's impossible?\Nothing is impossible for a spy.\Don't you lie to us.\The machines here have always made such terrible noises.\I don't think they've ever seen proper maintenance.\I'd believe that from that stingy foreman.\I think if we just fix them up right, they'll be able to work that much harder for us. response:	And the accidents will cease?
context: What about you, Ange? Do you think it's impossible?\Nothing is impossible for a spy.\Don't you lie to us.\The machines here have always made such terrible noises.\I don't think they've ever seen proper maintenance.\I'd believe that from that stingy foreman.\I think if we just fix them up right, they'll be able to work that much harder for us.\And the accidents will cease? response:	Yes!
context: Nothing is impossible for a spy.\Don't you lie to us.\The machines here have always made such terrible noises.\I don't think they've ever seen proper maintenance.\I'd believe that from that stingy foreman.\I think if we just fix them up right, they'll be able to work that much harder for us.\And the accidents will cease?\Yes! response:	All we have to do is replace the old parts, and it will be fine!
context: Don't you lie to us.\The machines here have always made such terrible noises.\I don't think they've ever seen proper maintenance.\I'd believe that from that stingy foreman.\I think if we just fix them up right, they'll be able to work that much harder for us.\And the accidents will cease?\Yes!\All we have to do is replace the old parts, and it will be fine! response:	We should rearrange them, too.
context: The machines here have always made such terrible noises.\I don't think they've ever seen proper maintenance.\I'd believe that from that stingy foreman.\I think if we just fix them up right, they'll be able to work that much harder for us.\And the accidents will cease?\Yes!\All we have to do is replace the old parts, and it will be fine!\We should rearrange them, too. response:	The workpath is too convoluted.
context: I don't think they've ever seen proper maintenance.\I'd believe that from that stingy foreman.\I think if we just fix them up right, they'll be able to work that much harder for us.\And the accidents will cease?\Yes!\All we have to do is replace the old parts, and it will be fine!\We should rearrange them, too.\The workpath is too convoluted. response:	If we line the machines up according to work sequence,
context: I'd believe that from that stingy foreman.\I think if we just fix them up right, they'll be able to work that much harder for us.\And the accidents will cease?\Yes!\All we have to do is replace the old parts, and it will be fine!\We should rearrange them, too.\The workpath is too convoluted.\If we line the machines up according to work sequence, response:	we can save ourselves a lot of running around.
context: I think if we just fix them up right, they'll be able to work that much harder for us.\And the accidents will cease?\Yes!\All we have to do is replace the old parts, and it will be fine!\We should rearrange them, too.\The workpath is too convoluted.\If we line the machines up according to work sequence,\we can save ourselves a lot of running around. response:	I imagine they placed them in order of when they were purchased.
context: And the accidents will cease?\Yes!\All we have to do is replace the old parts, and it will be fine!\We should rearrange them, too.\The workpath is too convoluted.\If we line the machines up according to work sequence,\we can save ourselves a lot of running around.\I imagine they placed them in order of when they were purchased. response:	They do look heavy.
context: Yes!\All we have to do is replace the old parts, and it will be fine!\We should rearrange them, too.\The workpath is too convoluted.\If we line the machines up according to work sequence,\we can save ourselves a lot of running around.\I imagine they placed them in order of when they were purchased.\They do look heavy. response:	I can change that weight to zero.
context: All we have to do is replace the old parts, and it will be fine!\We should rearrange them, too.\The workpath is too convoluted.\If we line the machines up according to work sequence,\we can save ourselves a lot of running around.\I imagine they placed them in order of when they were purchased.\They do look heavy.\I can change that weight to zero. response:	Then I order you as foreman.
context: We should rearrange them, too.\The workpath is too convoluted.\If we line the machines up according to work sequence,\we can save ourselves a lot of running around.\I imagine they placed them in order of when they were purchased.\They do look heavy.\I can change that weight to zero.\Then I order you as foreman. response:	Rearrange the machinery to create the optimal work path.
context: The workpath is too convoluted.\If we line the machines up according to work sequence,\we can save ourselves a lot of running around.\I imagine they placed them in order of when they were purchased.\They do look heavy.\I can change that weight to zero.\Then I order you as foreman.\Rearrange the machinery to create the optimal work path. response:	Right, and we'll get all the tools organized while we're at it.
context: If we line the machines up according to work sequence,\we can save ourselves a lot of running around.\I imagine they placed them in order of when they were purchased.\They do look heavy.\I can change that weight to zero.\Then I order you as foreman.\Rearrange the machinery to create the optimal work path.\Right, and we'll get all the tools organized while we're at it. response:	Some of the girls can't read, so let's have pictures on the signs.
context: we can save ourselves a lot of running around.\I imagine they placed them in order of when they were purchased.\They do look heavy.\I can change that weight to zero.\Then I order you as foreman.\Rearrange the machinery to create the optimal work path.\Right, and we'll get all the tools organized while we're at it.\Some of the girls can't read, so let's have pictures on the signs. response:	Let's repair these pipes, too.
context: I imagine they placed them in order of when they were purchased.\They do look heavy.\I can change that weight to zero.\Then I order you as foreman.\Rearrange the machinery to create the optimal work path.\Right, and we'll get all the tools organized while we're at it.\Some of the girls can't read, so let's have pictures on the signs.\Let's repair these pipes, too. response:	Princess, may we try the method used in my country?
context: They do look heavy.\I can change that weight to zero.\Then I order you as foreman.\Rearrange the machinery to create the optimal work path.\Right, and we'll get all the tools organized while we're at it.\Some of the girls can't read, so let's have pictures on the signs.\Let's repair these pipes, too.\Princess, may we try the method used in my country? response:	Sounds fascinating! Tell me about it!
context: I can change that weight to zero.\Then I order you as foreman.\Rearrange the machinery to create the optimal work path.\Right, and we'll get all the tools organized while we're at it.\Some of the girls can't read, so let's have pictures on the signs.\Let's repair these pipes, too.\Princess, may we try the method used in my country?\Sounds fascinating! Tell me about it! response:	What happened here?
context: Then I order you as foreman.\Rearrange the machinery to create the optimal work path.\Right, and we'll get all the tools organized while we're at it.\Some of the girls can't read, so let's have pictures on the signs.\Let's repair these pipes, too.\Princess, may we try the method used in my country?\Sounds fascinating! Tell me about it!\What happened here? response:	It's so organized.
context: Rearrange the machinery to create the optimal work path.\Right, and we'll get all the tools organized while we're at it.\Some of the girls can't read, so let's have pictures on the signs.\Let's repair these pipes, too.\Princess, may we try the method used in my country?\Sounds fascinating! Tell me about it!\What happened here?\It's so organized. response:	The belts have stopped squeaking.
context: Right, and we'll get all the tools organized while we're at it.\Some of the girls can't read, so let's have pictures on the signs.\Let's repair these pipes, too.\Princess, may we try the method used in my country?\Sounds fascinating! Tell me about it!\What happened here?\It's so organized.\The belts have stopped squeaking. response:	It's like a new machine!
context: Some of the girls can't read, so let's have pictures on the signs.\Let's repair these pipes, too.\Princess, may we try the method used in my country?\Sounds fascinating! Tell me about it!\What happened here?\It's so organized.\The belts have stopped squeaking.\It's like a new machine! response:	We serviced them!
context: Let's repair these pipes, too.\Princess, may we try the method used in my country?\Sounds fascinating! Tell me about it!\What happened here?\It's so organized.\The belts have stopped squeaking.\It's like a new machine!\We serviced them! response:	Some dust got mixed in with the old grease, and clogged it up.
context: Princess, may we try the method used in my country?\Sounds fascinating! Tell me about it!\What happened here?\It's so organized.\The belts have stopped squeaking.\It's like a new machine!\We serviced them!\Some dust got mixed in with the old grease, and clogged it up. response:	We cleaned it, so it won't stop anymore.
context: Sounds fascinating! Tell me about it!\What happened here?\It's so organized.\The belts have stopped squeaking.\It's like a new machine!\We serviced them!\Some dust got mixed in with the old grease, and clogged it up.\We cleaned it, so it won't stop anymore. response:	Wait, YOU girls did all this?
context: What happened here?\It's so organized.\The belts have stopped squeaking.\It's like a new machine!\We serviced them!\Some dust got mixed in with the old grease, and clogged it up.\We cleaned it, so it won't stop anymore.\Wait, YOU girls did all this? response:	Yes.
context: It's so organized.\The belts have stopped squeaking.\It's like a new machine!\We serviced them!\Some dust got mixed in with the old grease, and clogged it up.\We cleaned it, so it won't stop anymore.\Wait, YOU girls did all this?\Yes. response:	In one night?
context: The belts have stopped squeaking.\It's like a new machine!\We serviced them!\Some dust got mixed in with the old grease, and clogged it up.\We cleaned it, so it won't stop anymore.\Wait, YOU girls did all this?\Yes.\In one night? response:	Yes, in one night.
context: It's like a new machine!\We serviced them!\Some dust got mixed in with the old grease, and clogged it up.\We cleaned it, so it won't stop anymore.\Wait, YOU girls did all this?\Yes.\In one night?\Yes, in one night. response:	And so, everyone.
context: We serviced them!\Some dust got mixed in with the old grease, and clogged it up.\We cleaned it, so it won't stop anymore.\Wait, YOU girls did all this?\Yes.\In one night?\Yes, in one night.\And so, everyone. response:	Today we'll have a fresh start, and work our hardest!
context: Some dust got mixed in with the old grease, and clogged it up.\We cleaned it, so it won't stop anymore.\Wait, YOU girls did all this?\Yes.\In one night?\Yes, in one night.\And so, everyone.\Today we'll have a fresh start, and work our hardest! response:	This is easy!
context: We cleaned it, so it won't stop anymore.\Wait, YOU girls did all this?\Yes.\In one night?\Yes, in one night.\And so, everyone.\Today we'll have a fresh start, and work our hardest!\This is easy! response:	So fast!
context: Wait, YOU girls did all this?\Yes.\In one night?\Yes, in one night.\And so, everyone.\Today we'll have a fresh start, and work our hardest!\This is easy!\So fast! response:	Ugh!
context: Yes.\In one night?\Yes, in one night.\And so, everyone.\Today we'll have a fresh start, and work our hardest!\This is easy!\So fast!\Ugh! response:	May I have a word?
context: In one night?\Yes, in one night.\And so, everyone.\Today we'll have a fresh start, and work our hardest!\This is easy!\So fast!\Ugh!\May I have a word? response:	We know an excellent way to do laundry.
context: Yes, in one night.\And so, everyone.\Today we'll have a fresh start, and work our hardest!\This is easy!\So fast!\Ugh!\May I have a word?\We know an excellent way to do laundry. response:	Miss Chieko.
context: And so, everyone.\Today we'll have a fresh start, and work our hardest!\This is easy!\So fast!\Ugh!\May I have a word?\We know an excellent way to do laundry.\Miss Chieko. response:	When we're sad, we'll all laugh
context: Today we'll have a fresh start, and work our hardest!\This is easy!\So fast!\Ugh!\May I have a word?\We know an excellent way to do laundry.\Miss Chieko.\When we're sad, we'll all laugh response:	We want to go see our mothers and fathers
context: This is easy!\So fast!\Ugh!\May I have a word?\We know an excellent way to do laundry.\Miss Chieko.\When we're sad, we'll all laugh\We want to go see our mothers and fathers response:	What's that song? We want to go see our mothers and fathers
context: So fast!\Ugh!\May I have a word?\We know an excellent way to do laundry.\Miss Chieko.\When we're sad, we'll all laugh\We want to go see our mothers and fathers\What's that song? We want to go see our mothers and fathers response:	It's coming from the laundry mill. We want to go see our mothers and fathers
context: Ugh!\May I have a word?\We know an excellent way to do laundry.\Miss Chieko.\When we're sad, we'll all laugh\We want to go see our mothers and fathers\What's that song? We want to go see our mothers and fathers\It's coming from the laundry mill. We want to go see our mothers and fathers response:	It's coming from the laundry mill. When we want to cry, we'll all laugh
context: May I have a word?\We know an excellent way to do laundry.\Miss Chieko.\When we're sad, we'll all laugh\We want to go see our mothers and fathers\What's that song? We want to go see our mothers and fathers\It's coming from the laundry mill. We want to go see our mothers and fathers\It's coming from the laundry mill. When we want to cry, we'll all laugh response:	When we want to cry, we'll all laugh
context: We know an excellent way to do laundry.\Miss Chieko.\When we're sad, we'll all laugh\We want to go see our mothers and fathers\What's that song? We want to go see our mothers and fathers\It's coming from the laundry mill. We want to go see our mothers and fathers\It's coming from the laundry mill. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh response:	It's an odd song. When we want to cry, we'll all laugh
context: Miss Chieko.\When we're sad, we'll all laugh\We want to go see our mothers and fathers\What's that song? We want to go see our mothers and fathers\It's coming from the laundry mill. We want to go see our mothers and fathers\It's coming from the laundry mill. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\It's an odd song. When we want to cry, we'll all laugh response:	When we want to cry, we'll all laugh
context: When we're sad, we'll all laugh\We want to go see our mothers and fathers\What's that song? We want to go see our mothers and fathers\It's coming from the laundry mill. We want to go see our mothers and fathers\It's coming from the laundry mill. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\It's an odd song. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh response:	So we can cry tears of joy
