context: That was loud. response:	Haru, are you okay?
context: That's your reason?!\You really think those reasons are enough?\My reason is very good!\Next, Ryugazaki.\That's right, Mako-chan.\Okay.\Go with your gut on these things.\Hey, it looks like he's about to jump. response:	Bar height: 4.20 meters.
context: You really think those reasons are enough?\My reason is very good!\Next, Ryugazaki.\That's right, Mako-chan.\Okay.\Go with your gut on these things.\Hey, it looks like he's about to jump.\Bar height: 4.20 meters. response:	Set takeoff speed to v.
context: My reason is very good!\Next, Ryugazaki.\That's right, Mako-chan.\Okay.\Go with your gut on these things.\Hey, it looks like he's about to jump.\Bar height: 4.20 meters.\Set takeoff speed to v. response:	Set acceleration to a.
context: Next, Ryugazaki.\That's right, Mako-chan.\Okay.\Go with your gut on these things.\Hey, it looks like he's about to jump.\Bar height: 4.20 meters.\Set takeoff speed to v.\Set acceleration to a. response:	Gravity is g.
context: That's right, Mako-chan.\Okay.\Go with your gut on these things.\Hey, it looks like he's about to jump.\Bar height: 4.20 meters.\Set takeoff speed to v.\Set acceleration to a.\Gravity is g. response:	If the center of gravity after taking into account pole length is h,
context: Okay.\Go with your gut on these things.\Hey, it looks like he's about to jump.\Bar height: 4.20 meters.\Set takeoff speed to v.\Set acceleration to a.\Gravity is g.\If the center of gravity after taking into account pole length is h, response:	then the angle of approach...
context: Go with your gut on these things.\Hey, it looks like he's about to jump.\Bar height: 4.20 meters.\Set takeoff speed to v.\Set acceleration to a.\Gravity is g.\If the center of gravity after taking into account pole length is h,\then the angle of approach... response:	His form was beautiful.
context: Hey, it looks like he's about to jump.\Bar height: 4.20 meters.\Set takeoff speed to v.\Set acceleration to a.\Gravity is g.\If the center of gravity after taking into account pole length is h,\then the angle of approach...\His form was beautiful. response:	He's probably a great diver.
context: Bar height: 4.20 meters.\Set takeoff speed to v.\Set acceleration to a.\Gravity is g.\If the center of gravity after taking into account pole length is h,\then the angle of approach...\His form was beautiful.\He's probably a great diver. response:	Absolutely!
context: Set takeoff speed to v.\Set acceleration to a.\Gravity is g.\If the center of gravity after taking into account pole length is h,\then the angle of approach...\His form was beautiful.\He's probably a great diver.\Absolutely! response:	And his biceps are also beautiful!
context: Set acceleration to a.\Gravity is g.\If the center of gravity after taking into account pole length is h,\then the angle of approach...\His form was beautiful.\He's probably a great diver.\Absolutely!\And his biceps are also beautiful! response:	Is that all you care about?!
context: Gravity is g.\If the center of gravity after taking into account pole length is h,\then the angle of approach...\His form was beautiful.\He's probably a great diver.\Absolutely!\And his biceps are also beautiful!\Is that all you care about?! response:	I miscalculated the angle of approach.
context: If the center of gravity after taking into account pole length is h,\then the angle of approach...\His form was beautiful.\He's probably a great diver.\Absolutely!\And his biceps are also beautiful!\Is that all you care about?!\I miscalculated the angle of approach. response:	Hey, Rei-chan!
context: then the angle of approach...\His form was beautiful.\He's probably a great diver.\Absolutely!\And his biceps are also beautiful!\Is that all you care about?!\I miscalculated the angle of approach.\Hey, Rei-chan! response:	Rei-chan?!
context: His form was beautiful.\He's probably a great diver.\Absolutely!\And his biceps are also beautiful!\Is that all you care about?!\I miscalculated the angle of approach.\Hey, Rei-chan!\Rei-chan?! response:	Oh, you can call me Nagisa.
context: He's probably a great diver.\Absolutely!\And his biceps are also beautiful!\Is that all you care about?!\I miscalculated the angle of approach.\Hey, Rei-chan!\Rei-chan?!\Oh, you can call me Nagisa. response:	I won't.
context: Absolutely!\And his biceps are also beautiful!\Is that all you care about?!\I miscalculated the angle of approach.\Hey, Rei-chan!\Rei-chan?!\Oh, you can call me Nagisa.\I won't. response:	We aren't that close.
context: And his biceps are also beautiful!\Is that all you care about?!\I miscalculated the angle of approach.\Hey, Rei-chan!\Rei-chan?!\Oh, you can call me Nagisa.\I won't.\We aren't that close. response:	We can get closer once you join the swim club.
context: Is that all you care about?!\I miscalculated the angle of approach.\Hey, Rei-chan!\Rei-chan?!\Oh, you can call me Nagisa.\I won't.\We aren't that close.\We can get closer once you join the swim club. response:	I'm not going to join.
context: I miscalculated the angle of approach.\Hey, Rei-chan!\Rei-chan?!\Oh, you can call me Nagisa.\I won't.\We aren't that close.\We can get closer once you join the swim club.\I'm not going to join. response:	I'm only interested in sports that are beautiful.
context: Hey, Rei-chan!\Rei-chan?!\Oh, you can call me Nagisa.\I won't.\We aren't that close.\We can get closer once you join the swim club.\I'm not going to join.\I'm only interested in sports that are beautiful. response:	Like track?
context: Rei-chan?!\Oh, you can call me Nagisa.\I won't.\We aren't that close.\We can get closer once you join the swim club.\I'm not going to join.\I'm only interested in sports that are beautiful.\Like track? response:	Yes.
context: Oh, you can call me Nagisa.\I won't.\We aren't that close.\We can get closer once you join the swim club.\I'm not going to join.\I'm only interested in sports that are beautiful.\Like track?\Yes. response:	It's a sport known for beautiful events such as pole vaulting.
context: I won't.\We aren't that close.\We can get closer once you join the swim club.\I'm not going to join.\I'm only interested in sports that are beautiful.\Like track?\Yes.\It's a sport known for beautiful events such as pole vaulting. response:	You can attain the perfect form through theory and calculation!
context: We aren't that close.\We can get closer once you join the swim club.\I'm not going to join.\I'm only interested in sports that are beautiful.\Like track?\Yes.\It's a sport known for beautiful events such as pole vaulting.\You can attain the perfect form through theory and calculation! response:	That sounds too hard for me to understand,
context: We can get closer once you join the swim club.\I'm not going to join.\I'm only interested in sports that are beautiful.\Like track?\Yes.\It's a sport known for beautiful events such as pole vaulting.\You can attain the perfect form through theory and calculation!\That sounds too hard for me to understand, response:	but you can be in both clubs at the same time.
context: I'm not going to join.\I'm only interested in sports that are beautiful.\Like track?\Yes.\It's a sport known for beautiful events such as pole vaulting.\You can attain the perfect form through theory and calculation!\That sounds too hard for me to understand,\but you can be in both clubs at the same time. response:	You use your arm muscles for pole vaulting, right?
context: I'm only interested in sports that are beautiful.\Like track?\Yes.\It's a sport known for beautiful events such as pole vaulting.\You can attain the perfect form through theory and calculation!\That sounds too hard for me to understand,\but you can be in both clubs at the same time.\You use your arm muscles for pole vaulting, right? response:	So doesn't swimming sound perfect?
context: Like track?\Yes.\It's a sport known for beautiful events such as pole vaulting.\You can attain the perfect form through theory and calculation!\That sounds too hard for me to understand,\but you can be in both clubs at the same time.\You use your arm muscles for pole vaulting, right?\So doesn't swimming sound perfect? response:	I'm not going to join both.
context: Yes.\It's a sport known for beautiful events such as pole vaulting.\You can attain the perfect form through theory and calculation!\That sounds too hard for me to understand,\but you can be in both clubs at the same time.\You use your arm muscles for pole vaulting, right?\So doesn't swimming sound perfect?\I'm not going to join both. response:	After all, humans evolved to live on land.
context: It's a sport known for beautiful events such as pole vaulting.\You can attain the perfect form through theory and calculation!\That sounds too hard for me to understand,\but you can be in both clubs at the same time.\You use your arm muscles for pole vaulting, right?\So doesn't swimming sound perfect?\I'm not going to join both.\After all, humans evolved to live on land. response:	Why would you go backwards and play sports in water?
context: You can attain the perfect form through theory and calculation!\That sounds too hard for me to understand,\but you can be in both clubs at the same time.\You use your arm muscles for pole vaulting, right?\So doesn't swimming sound perfect?\I'm not going to join both.\After all, humans evolved to live on land.\Why would you go backwards and play sports in water? response:	It defies reason!
context: That sounds too hard for me to understand,\but you can be in both clubs at the same time.\You use your arm muscles for pole vaulting, right?\So doesn't swimming sound perfect?\I'm not going to join both.\After all, humans evolved to live on land.\Why would you go backwards and play sports in water?\It defies reason! response:	Don't forget that water has 12 to 13 times the viscosity of air!
context: but you can be in both clubs at the same time.\You use your arm muscles for pole vaulting, right?\So doesn't swimming sound perfect?\I'm not going to join both.\After all, humans evolved to live on land.\Why would you go backwards and play sports in water?\It defies reason!\Don't forget that water has 12 to 13 times the viscosity of air! response:	No luck.
context: You use your arm muscles for pole vaulting, right?\So doesn't swimming sound perfect?\I'm not going to join both.\After all, humans evolved to live on land.\Why would you go backwards and play sports in water?\It defies reason!\Don't forget that water has 12 to 13 times the viscosity of air!\No luck. response:	He wouldn't say yes.
context: So doesn't swimming sound perfect?\I'm not going to join both.\After all, humans evolved to live on land.\Why would you go backwards and play sports in water?\It defies reason!\Don't forget that water has 12 to 13 times the viscosity of air!\No luck.\He wouldn't say yes. response:	I don't think Rei-chan likes water.
context: I'm not going to join both.\After all, humans evolved to live on land.\Why would you go backwards and play sports in water?\It defies reason!\Don't forget that water has 12 to 13 times the viscosity of air!\No luck.\He wouldn't say yes.\I don't think Rei-chan likes water. response:	We don't need anyone like that.
context: After all, humans evolved to live on land.\Why would you go backwards and play sports in water?\It defies reason!\Don't forget that water has 12 to 13 times the viscosity of air!\No luck.\He wouldn't say yes.\I don't think Rei-chan likes water.\We don't need anyone like that. response:	Don't let him in the water.
context: Why would you go backwards and play sports in water?\It defies reason!\Don't forget that water has 12 to 13 times the viscosity of air!\No luck.\He wouldn't say yes.\I don't think Rei-chan likes water.\We don't need anyone like that.\Don't let him in the water. response:	If you say that,
context: It defies reason!\Don't forget that water has 12 to 13 times the viscosity of air!\No luck.\He wouldn't say yes.\I don't think Rei-chan likes water.\We don't need anyone like that.\Don't let him in the water.\If you say that, response:	nobody will join!
context: Don't forget that water has 12 to 13 times the viscosity of air!\No luck.\He wouldn't say yes.\I don't think Rei-chan likes water.\We don't need anyone like that.\Don't let him in the water.\If you say that,\nobody will join! response:	We'll have to spend all winter lifting weights and jogging!
context: No luck.\He wouldn't say yes.\I don't think Rei-chan likes water.\We don't need anyone like that.\Don't let him in the water.\If you say that,\nobody will join!\We'll have to spend all winter lifting weights and jogging! response:	Are you okay with that, Haru-chan?
context: He wouldn't say yes.\I don't think Rei-chan likes water.\We don't need anyone like that.\Don't let him in the water.\If you say that,\nobody will join!\We'll have to spend all winter lifting weights and jogging!\Are you okay with that, Haru-chan? response:	Are you really okay with that?!
context: I don't think Rei-chan likes water.\We don't need anyone like that.\Don't let him in the water.\If you say that,\nobody will join!\We'll have to spend all winter lifting weights and jogging!\Are you okay with that, Haru-chan?\Are you really okay with that?! response:	No.
context: We don't need anyone like that.\Don't let him in the water.\If you say that,\nobody will join!\We'll have to spend all winter lifting weights and jogging!\Are you okay with that, Haru-chan?\Are you really okay with that?!\No. response:	I think we need to ask Ama-chan to strip down for us.
context: Don't let him in the water.\If you say that,\nobody will join!\We'll have to spend all winter lifting weights and jogging!\Are you okay with that, Haru-chan?\Are you really okay with that?!\No.\I think we need to ask Ama-chan to strip down for us. response:	That won't happen.
context: If you say that,\nobody will join!\We'll have to spend all winter lifting weights and jogging!\Are you okay with that, Haru-chan?\Are you really okay with that?!\No.\I think we need to ask Ama-chan to strip down for us.\That won't happen. response:	She said that she won't wear a swimsuit.
context: nobody will join!\We'll have to spend all winter lifting weights and jogging!\Are you okay with that, Haru-chan?\Are you really okay with that?!\No.\I think we need to ask Ama-chan to strip down for us.\That won't happen.\She said that she won't wear a swimsuit. response:	Then we should reverse it!
context: We'll have to spend all winter lifting weights and jogging!\Are you okay with that, Haru-chan?\Are you really okay with that?!\No.\I think we need to ask Ama-chan to strip down for us.\That won't happen.\She said that she won't wear a swimsuit.\Then we should reverse it! response:	Reverse it?
context: Are you okay with that, Haru-chan?\Are you really okay with that?!\No.\I think we need to ask Ama-chan to strip down for us.\That won't happen.\She said that she won't wear a swimsuit.\Then we should reverse it!\Reverse it? response:	If you join, you get to show off your swimsuit to Ama-chan!
context: Are you really okay with that?!\No.\I think we need to ask Ama-chan to strip down for us.\That won't happen.\She said that she won't wear a swimsuit.\Then we should reverse it!\Reverse it?\If you join, you get to show off your swimsuit to Ama-chan! response:	Does anybody want that?
context: No.\I think we need to ask Ama-chan to strip down for us.\That won't happen.\She said that she won't wear a swimsuit.\Then we should reverse it!\Reverse it?\If you join, you get to show off your swimsuit to Ama-chan!\Does anybody want that? response:	Wait, don't write that down.
context: I think we need to ask Ama-chan to strip down for us.\That won't happen.\She said that she won't wear a swimsuit.\Then we should reverse it!\Reverse it?\If you join, you get to show off your swimsuit to Ama-chan!\Does anybody want that?\Wait, don't write that down. response:	Excuse me, boys.
context: That won't happen.\She said that she won't wear a swimsuit.\Then we should reverse it!\Reverse it?\If you join, you get to show off your swimsuit to Ama-chan!\Does anybody want that?\Wait, don't write that down.\Excuse me, boys. response:	We're sorry!
context: She said that she won't wear a swimsuit.\Then we should reverse it!\Reverse it?\If you join, you get to show off your swimsuit to Ama-chan!\Does anybody want that?\Wait, don't write that down.\Excuse me, boys.\We're sorry! response:	Hey, Haru.
context: Then we should reverse it!\Reverse it?\If you join, you get to show off your swimsuit to Ama-chan!\Does anybody want that?\Wait, don't write that down.\Excuse me, boys.\We're sorry!\Hey, Haru. response:	It sounds like we'll be entering tournaments.
context: Reverse it?\If you join, you get to show off your swimsuit to Ama-chan!\Does anybody want that?\Wait, don't write that down.\Excuse me, boys.\We're sorry!\Hey, Haru.\It sounds like we'll be entering tournaments. response:	Are you really okay with that?
context: If you join, you get to show off your swimsuit to Ama-chan!\Does anybody want that?\Wait, don't write that down.\Excuse me, boys.\We're sorry!\Hey, Haru.\It sounds like we'll be entering tournaments.\Are you really okay with that? response:	Even if you end up racing Rin again
context: Does anybody want that?\Wait, don't write that down.\Excuse me, boys.\We're sorry!\Hey, Haru.\It sounds like we'll be entering tournaments.\Are you really okay with that?\Even if you end up racing Rin again response:	and beating him?
context: Wait, don't write that down.\Excuse me, boys.\We're sorry!\Hey, Haru.\It sounds like we'll be entering tournaments.\Are you really okay with that?\Even if you end up racing Rin again\and beating him? response:	Who told you?
context: Excuse me, boys.\We're sorry!\Hey, Haru.\It sounds like we'll be entering tournaments.\Are you really okay with that?\Even if you end up racing Rin again\and beating him?\Who told you? response:	I happened to run into Coach Sasabe the other day.
context: We're sorry!\Hey, Haru.\It sounds like we'll be entering tournaments.\Are you really okay with that?\Even if you end up racing Rin again\and beating him?\Who told you?\I happened to run into Coach Sasabe the other day. response:	It's in the past.
context: Hey, Haru.\It sounds like we'll be entering tournaments.\Are you really okay with that?\Even if you end up racing Rin again\and beating him?\Who told you?\I happened to run into Coach Sasabe the other day.\It's in the past. response:	Besides...
context: It sounds like we'll be entering tournaments.\Are you really okay with that?\Even if you end up racing Rin again\and beating him?\Who told you?\I happened to run into Coach Sasabe the other day.\It's in the past.\Besides... response:	He's swimming again.
context: Are you really okay with that?\Even if you end up racing Rin again\and beating him?\Who told you?\I happened to run into Coach Sasabe the other day.\It's in the past.\Besides...\He's swimming again. response:	That's enough.
context: Even if you end up racing Rin again\and beating him?\Who told you?\I happened to run into Coach Sasabe the other day.\It's in the past.\Besides...\He's swimming again.\That's enough. response:	Bar height: 4.30 meters.
context: and beating him?\Who told you?\I happened to run into Coach Sasabe the other day.\It's in the past.\Besides...\He's swimming again.\That's enough.\Bar height: 4.30 meters. response:	Set takeoff speed to v.
context: Who told you?\I happened to run into Coach Sasabe the other day.\It's in the past.\Besides...\He's swimming again.\That's enough.\Bar height: 4.30 meters.\Set takeoff speed to v. response:	Leave a, acceleration, unchanged.
context: I happened to run into Coach Sasabe the other day.\It's in the past.\Besides...\He's swimming again.\That's enough.\Bar height: 4.30 meters.\Set takeoff speed to v.\Leave a, acceleration, unchanged. response:	But factor in the potential energy
context: It's in the past.\Besides...\He's swimming again.\That's enough.\Bar height: 4.30 meters.\Set takeoff speed to v.\Leave a, acceleration, unchanged.\But factor in the potential energy response:	from any shifts in the pole's center of gravity.
context: Besides...\He's swimming again.\That's enough.\Bar height: 4.30 meters.\Set takeoff speed to v.\Leave a, acceleration, unchanged.\But factor in the potential energy\from any shifts in the pole's center of gravity. response:	Ryugazaki.
context: He's swimming again.\That's enough.\Bar height: 4.30 meters.\Set takeoff speed to v.\Leave a, acceleration, unchanged.\But factor in the potential energy\from any shifts in the pole's center of gravity.\Ryugazaki. response:	Are you running calculations in your head before jumping?
context: That's enough.\Bar height: 4.30 meters.\Set takeoff speed to v.\Leave a, acceleration, unchanged.\But factor in the potential energy\from any shifts in the pole's center of gravity.\Ryugazaki.\Are you running calculations in your head before jumping? response:	Your form is perfect,
context: Bar height: 4.30 meters.\Set takeoff speed to v.\Leave a, acceleration, unchanged.\But factor in the potential energy\from any shifts in the pole's center of gravity.\Ryugazaki.\Are you running calculations in your head before jumping?\Your form is perfect, response:	but that's all you have.
context: Set takeoff speed to v.\Leave a, acceleration, unchanged.\But factor in the potential energy\from any shifts in the pole's center of gravity.\Ryugazaki.\Are you running calculations in your head before jumping?\Your form is perfect,\but that's all you have. response:	You're too focused on the technical side.
context: Leave a, acceleration, unchanged.\But factor in the potential energy\from any shifts in the pole's center of gravity.\Ryugazaki.\Are you running calculations in your head before jumping?\Your form is perfect,\but that's all you have.\You're too focused on the technical side. response:	But I...
context: But factor in the potential energy\from any shifts in the pole's center of gravity.\Ryugazaki.\Are you running calculations in your head before jumping?\Your form is perfect,\but that's all you have.\You're too focused on the technical side.\But I... response:	I understand that's your style,
context: from any shifts in the pole's center of gravity.\Ryugazaki.\Are you running calculations in your head before jumping?\Your form is perfect,\but that's all you have.\You're too focused on the technical side.\But I...\I understand that's your style, response:	but you're not going to improve at this rate.
context: Ryugazaki.\Are you running calculations in your head before jumping?\Your form is perfect,\but that's all you have.\You're too focused on the technical side.\But I...\I understand that's your style,\but you're not going to improve at this rate. response:	I have good news for everyone today.
context: Are you running calculations in your head before jumping?\Your form is perfect,\but that's all you have.\You're too focused on the technical side.\But I...\I understand that's your style,\but you're not going to improve at this rate.\I have good news for everyone today. response:	Amazingly enough, I was able to schedule
context: Your form is perfect,\but that's all you have.\You're too focused on the technical side.\But I...\I understand that's your style,\but you're not going to improve at this rate.\I have good news for everyone today.\Amazingly enough, I was able to schedule response:	a joint practice with Samezuka!
context: but that's all you have.\You're too focused on the technical side.\But I...\I understand that's your style,\but you're not going to improve at this rate.\I have good news for everyone today.\Amazingly enough, I was able to schedule\a joint practice with Samezuka! response:	What? Really?!
context: You're too focused on the technical side.\But I...\I understand that's your style,\but you're not going to improve at this rate.\I have good news for everyone today.\Amazingly enough, I was able to schedule\a joint practice with Samezuka!\What? Really?! response:	Did you ask Rin?
context: But I...\I understand that's your style,\but you're not going to improve at this rate.\I have good news for everyone today.\Amazingly enough, I was able to schedule\a joint practice with Samezuka!\What? Really?!\Did you ask Rin? response:	My brother won't listen to me,
context: I understand that's your style,\but you're not going to improve at this rate.\I have good news for everyone today.\Amazingly enough, I was able to schedule\a joint practice with Samezuka!\What? Really?!\Did you ask Rin?\My brother won't listen to me, response:	so I went straight to their captain.
context: but you're not going to improve at this rate.\I have good news for everyone today.\Amazingly enough, I was able to schedule\a joint practice with Samezuka!\What? Really?!\Did you ask Rin?\My brother won't listen to me,\so I went straight to their captain. response:	Joint practice?
context: I have good news for everyone today.\Amazingly enough, I was able to schedule\a joint practice with Samezuka!\What? Really?!\Did you ask Rin?\My brother won't listen to me,\so I went straight to their captain.\Joint practice? response:	Yes.
context: Amazingly enough, I was able to schedule\a joint practice with Samezuka!\What? Really?!\Did you ask Rin?\My brother won't listen to me,\so I went straight to their captain.\Joint practice?\Yes. response:	That sounds great! Let's do it!
context: a joint practice with Samezuka!\What? Really?!\Did you ask Rin?\My brother won't listen to me,\so I went straight to their captain.\Joint practice?\Yes.\That sounds great! Let's do it! response:	That's our super manager, Gou-cha
context: What? Really?!\Did you ask Rin?\My brother won't listen to me,\so I went straight to their captain.\Joint practice?\Yes.\That sounds great! Let's do it!\That's our super manager, Gou-cha response:	It's Kou.
context: Did you ask Rin?\My brother won't listen to me,\so I went straight to their captain.\Joint practice?\Yes.\That sounds great! Let's do it!\That's our super manager, Gou-cha\It's Kou. response:	That means we have permission to swim
context: My brother won't listen to me,\so I went straight to their captain.\Joint practice?\Yes.\That sounds great! Let's do it!\That's our super manager, Gou-cha\It's Kou.\That means we have permission to swim response:	in Samezuka's indoor pool now.
context: so I went straight to their captain.\Joint practice?\Yes.\That sounds great! Let's do it!\That's our super manager, Gou-cha\It's Kou.\That means we have permission to swim\in Samezuka's indoor pool now. response:	But...
context: Joint practice?\Yes.\That sounds great! Let's do it!\That's our super manager, Gou-cha\It's Kou.\That means we have permission to swim\in Samezuka's indoor pool now.\But... response:	Since it's a joint practice,
context: Yes.\That sounds great! Let's do it!\That's our super manager, Gou-cha\It's Kou.\That means we have permission to swim\in Samezuka's indoor pool now.\But...\Since it's a joint practice, response:	we need to bring four members at a minimum.
context: That sounds great! Let's do it!\That's our super manager, Gou-cha\It's Kou.\That means we have permission to swim\in Samezuka's indoor pool now.\But...\Since it's a joint practice,\we need to bring four members at a minimum. response:	That means we have to recruit a new member before the practice.
context: That's our super manager, Gou-cha\It's Kou.\That means we have permission to swim\in Samezuka's indoor pool now.\But...\Since it's a joint practice,\we need to bring four members at a minimum.\That means we have to recruit a new member before the practice. response:	Especially since Gou-chan used her sex appeal to get us this chance.
context: It's Kou.\That means we have permission to swim\in Samezuka's indoor pool now.\But...\Since it's a joint practice,\we need to bring four members at a minimum.\That means we have to recruit a new member before the practice.\Especially since Gou-chan used her sex appeal to get us this chance. response:	I didn't use sex appeal!
context: That means we have permission to swim\in Samezuka's indoor pool now.\But...\Since it's a joint practice,\we need to bring four members at a minimum.\That means we have to recruit a new member before the practice.\Especially since Gou-chan used her sex appeal to get us this chance.\I didn't use sex appeal! response:	Huh? You didn't?
context: in Samezuka's indoor pool now.\But...\Since it's a joint practice,\we need to bring four members at a minimum.\That means we have to recruit a new member before the practice.\Especially since Gou-chan used her sex appeal to get us this chance.\I didn't use sex appeal!\Huh? You didn't? response:	Of course not!
context: But...\Since it's a joint practice,\we need to bring four members at a minimum.\That means we have to recruit a new member before the practice.\Especially since Gou-chan used her sex appeal to get us this chance.\I didn't use sex appeal!\Huh? You didn't?\Of course not! response:	Nobody told me there would be a joint practice.
context: Since it's a joint practice,\we need to bring four members at a minimum.\That means we have to recruit a new member before the practice.\Especially since Gou-chan used her sex appeal to get us this chance.\I didn't use sex appeal!\Huh? You didn't?\Of course not!\Nobody told me there would be a joint practice. response:	The captain made the call.
context: we need to bring four members at a minimum.\That means we have to recruit a new member before the practice.\Especially since Gou-chan used her sex appeal to get us this chance.\I didn't use sex appeal!\Huh? You didn't?\Of course not!\Nobody told me there would be a joint practice.\The captain made the call. response:	Your little sister is a member of the Iwatobi swim club, right?
context: That means we have to recruit a new member before the practice.\Especially since Gou-chan used her sex appeal to get us this chance.\I didn't use sex appeal!\Huh? You didn't?\Of course not!\Nobody told me there would be a joint practice.\The captain made the call.\Your little sister is a member of the Iwatobi swim club, right? response:	Their members are Nanase Haruka,
context: Especially since Gou-chan used her sex appeal to get us this chance.\I didn't use sex appeal!\Huh? You didn't?\Of course not!\Nobody told me there would be a joint practice.\The captain made the call.\Your little sister is a member of the Iwatobi swim club, right?\Their members are Nanase Haruka, response:	Tachibana Makoto, and Hazuki Nagisa.
context: I didn't use sex appeal!\Huh? You didn't?\Of course not!\Nobody told me there would be a joint practice.\The captain made the call.\Your little sister is a member of the Iwatobi swim club, right?\Their members are Nanase Haruka,\Tachibana Makoto, and Hazuki Nagisa. response:	They all have girly names
context: Huh? You didn't?\Of course not!\Nobody told me there would be a joint practice.\The captain made the call.\Your little sister is a member of the Iwatobi swim club, right?\Their members are Nanase Haruka,\Tachibana Makoto, and Hazuki Nagisa.\They all have girly names response:	Sorry.
context: Of course not!\Nobody told me there would be a joint practice.\The captain made the call.\Your little sister is a member of the Iwatobi swim club, right?\Their members are Nanase Haruka,\Tachibana Makoto, and Hazuki Nagisa.\They all have girly names\Sorry. response:	How do you know?
context: Nobody told me there would be a joint practice.\The captain made the call.\Your little sister is a member of the Iwatobi swim club, right?\Their members are Nanase Haruka,\Tachibana Makoto, and Hazuki Nagisa.\They all have girly names\Sorry.\How do you know? response:	I participated in that tournament.
context: The captain made the call.\Your little sister is a member of the Iwatobi swim club, right?\Their members are Nanase Haruka,\Tachibana Makoto, and Hazuki Nagisa.\They all have girly names\Sorry.\How do you know?\I participated in that tournament. response:	I believe that was your
context: Your little sister is a member of the Iwatobi swim club, right?\Their members are Nanase Haruka,\Tachibana Makoto, and Hazuki Nagisa.\They all have girly names\Sorry.\How do you know?\I participated in that tournament.\I believe that was your response:	last tournament as a grade-schooler, Matsuoka-senpai.
context: Their members are Nanase Haruka,\Tachibana Makoto, and Hazuki Nagisa.\They all have girly names\Sorry.\How do you know?\I participated in that tournament.\I believe that was your\last tournament as a grade-schooler, Matsuoka-senpai. response:	My team lost in the prelims.
context: Tachibana Makoto, and Hazuki Nagisa.\They all have girly names\Sorry.\How do you know?\I participated in that tournament.\I believe that was your\last tournament as a grade-schooler, Matsuoka-senpai.\My team lost in the prelims. response:	That race was amazing to watch.
context: They all have girly names\Sorry.\How do you know?\I participated in that tournament.\I believe that was your\last tournament as a grade-schooler, Matsuoka-senpai.\My team lost in the prelims.\That race was amazing to watch. response:	Somebody's talking about me.
context: Sorry.\How do you know?\I participated in that tournament.\I believe that was your\last tournament as a grade-schooler, Matsuoka-senpai.\My team lost in the prelims.\That race was amazing to watch.\Somebody's talking about me. response:	Wait, Rei-chan!
context: How do you know?\I participated in that tournament.\I believe that was your\last tournament as a grade-schooler, Matsuoka-senpai.\My team lost in the prelims.\That race was amazing to watch.\Somebody's talking about me.\Wait, Rei-chan! response:	What do you want?
context: I participated in that tournament.\I believe that was your\last tournament as a grade-schooler, Matsuoka-senpai.\My team lost in the prelims.\That race was amazing to watch.\Somebody's talking about me.\Wait, Rei-chan!\What do you want? response:	Can I run with you?
context: I believe that was your\last tournament as a grade-schooler, Matsuoka-senpai.\My team lost in the prelims.\That race was amazing to watch.\Somebody's talking about me.\Wait, Rei-chan!\What do you want?\Can I run with you? response:	If you can keep up.
context: last tournament as a grade-schooler, Matsuoka-senpai.\My team lost in the prelims.\That race was amazing to watch.\Somebody's talking about me.\Wait, Rei-chan!\What do you want?\Can I run with you?\If you can keep up. response:	Okay!
context: My team lost in the prelims.\That race was amazing to watch.\Somebody's talking about me.\Wait, Rei-chan!\What do you want?\Can I run with you?\If you can keep up.\Okay! response:	This brings back memories.
context: That race was amazing to watch.\Somebody's talking about me.\Wait, Rei-chan!\What do you want?\Can I run with you?\If you can keep up.\Okay!\This brings back memories. response:	I used to run with Haru-chan to the swimming club like this in grade school.
context: Somebody's talking about me.\Wait, Rei-chan!\What do you want?\Can I run with you?\If you can keep up.\Okay!\This brings back memories.\I used to run with Haru-chan to the swimming club like this in grade school. response:	Haru-chan always played it cool and said,
context: Wait, Rei-chan!\What do you want?\Can I run with you?\If you can keep up.\Okay!\This brings back memories.\I used to run with Haru-chan to the swimming club like this in grade school.\Haru-chan always played it cool and said, response:	If you can keep up.
context: What do you want?\Can I run with you?\If you can keep up.\Okay!\This brings back memories.\I used to run with Haru-chan to the swimming club like this in grade school.\Haru-chan always played it cool and said,\If you can keep up. response:	Who's this Haru-chan?
context: Can I run with you?\If you can keep up.\Okay!\This brings back memories.\I used to run with Haru-chan to the swimming club like this in grade school.\Haru-chan always played it cool and said,\If you can keep up.\Who's this Haru-chan? response:	Oh, you go this way?
context: If you can keep up.\Okay!\This brings back memories.\I used to run with Haru-chan to the swimming club like this in grade school.\Haru-chan always played it cool and said,\If you can keep up.\Who's this Haru-chan?\Oh, you go this way? response:	What do you want?
context: Okay!\This brings back memories.\I used to run with Haru-chan to the swimming club like this in grade school.\Haru-chan always played it cool and said,\If you can keep up.\Who's this Haru-chan?\Oh, you go this way?\What do you want? response:	What do I want?
context: This brings back memories.\I used to run with Haru-chan to the swimming club like this in grade school.\Haru-chan always played it cool and said,\If you can keep up.\Who's this Haru-chan?\Oh, you go this way?\What do you want?\What do I want? response:	I want you to join the swim club.
context: I used to run with Haru-chan to the swimming club like this in grade school.\Haru-chan always played it cool and said,\If you can keep up.\Who's this Haru-chan?\Oh, you go this way?\What do you want?\What do I want?\I want you to join the swim club. response:	We really need another member before our joint practice.
