context: It's turned into a slum. response:	But it looks like there are still people in the apartments.
context: Maybe I was the projectionist here after all, like in Cinema Paradiso.\Wow, what a huge screen!\Is this the place?\Where is he?\Ah, over there.\Here by yourself, Detective?\Then you're not here to arrest me.\You noticed me. response:	You could say that.
context: Wow, what a huge screen!\Is this the place?\Where is he?\Ah, over there.\Here by yourself, Detective?\Then you're not here to arrest me.\You noticed me.\You could say that. response:	So you came for a personal visit?
context: Is this the place?\Where is he?\Ah, over there.\Here by yourself, Detective?\Then you're not here to arrest me.\You noticed me.\You could say that.\So you came for a personal visit? response:	I was wondering, but... This thing sure saved me.
context: Where is he?\Ah, over there.\Here by yourself, Detective?\Then you're not here to arrest me.\You noticed me.\You could say that.\So you came for a personal visit?\I was wondering, but... This thing sure saved me. response:	I see, so you checked into my log?
context: Ah, over there.\Here by yourself, Detective?\Then you're not here to arrest me.\You noticed me.\You could say that.\So you came for a personal visit?\I was wondering, but... This thing sure saved me.\I see, so you checked into my log? response:	By log, do you mean this?
context: Here by yourself, Detective?\Then you're not here to arrest me.\You noticed me.\You could say that.\So you came for a personal visit?\I was wondering, but... This thing sure saved me.\I see, so you checked into my log?\By log, do you mean this? response:	Also, what's Selecao? See, the thing is, I have amnesia,
context: Then you're not here to arrest me.\You noticed me.\You could say that.\So you came for a personal visit?\I was wondering, but... This thing sure saved me.\I see, so you checked into my log?\By log, do you mean this?\Also, what's Selecao? See, the thing is, I have amnesia, response:	and I don't remember anything about myself.
context: You noticed me.\You could say that.\So you came for a personal visit?\I was wondering, but... This thing sure saved me.\I see, so you checked into my log?\By log, do you mean this?\Also, what's Selecao? See, the thing is, I have amnesia,\and I don't remember anything about myself. response:	So there's a lot of things I'd like to ask you.
context: You could say that.\So you came for a personal visit?\I was wondering, but... This thing sure saved me.\I see, so you checked into my log?\By log, do you mean this?\Also, what's Selecao? See, the thing is, I have amnesia,\and I don't remember anything about myself.\So there's a lot of things I'd like to ask you. response:	Did you really erase your memories?
context: So you came for a personal visit?\I was wondering, but... This thing sure saved me.\I see, so you checked into my log?\By log, do you mean this?\Also, what's Selecao? See, the thing is, I have amnesia,\and I don't remember anything about myself.\So there's a lot of things I'd like to ask you.\Did you really erase your memories? response:	I wonder what happened to Takizawa?
context: I was wondering, but... This thing sure saved me.\I see, so you checked into my log?\By log, do you mean this?\Also, what's Selecao? See, the thing is, I have amnesia,\and I don't remember anything about myself.\So there's a lot of things I'd like to ask you.\Did you really erase your memories?\I wonder what happened to Takizawa? response:	I see. So Harima Neuroscience Institute's brainwashing program
context: I see, so you checked into my log?\By log, do you mean this?\Also, what's Selecao? See, the thing is, I have amnesia,\and I don't remember anything about myself.\So there's a lot of things I'd like to ask you.\Did you really erase your memories?\I wonder what happened to Takizawa?\I see. So Harima Neuroscience Institute's brainwashing program response:	really can erase memories.
context: By log, do you mean this?\Also, what's Selecao? See, the thing is, I have amnesia,\and I don't remember anything about myself.\So there's a lot of things I'd like to ask you.\Did you really erase your memories?\I wonder what happened to Takizawa?\I see. So Harima Neuroscience Institute's brainwashing program\really can erase memories. response:	I'll use it myself sometime.
context: Also, what's Selecao? See, the thing is, I have amnesia,\and I don't remember anything about myself.\So there's a lot of things I'd like to ask you.\Did you really erase your memories?\I wonder what happened to Takizawa?\I see. So Harima Neuroscience Institute's brainwashing program\really can erase memories.\I'll use it myself sometime. response:	But first, I need to get that phone from you.
context: and I don't remember anything about myself.\So there's a lot of things I'd like to ask you.\Did you really erase your memories?\I wonder what happened to Takizawa?\I see. So Harima Neuroscience Institute's brainwashing program\really can erase memories.\I'll use it myself sometime.\But first, I need to get that phone from you. response:	You were careless, kid.
context: So there's a lot of things I'd like to ask you.\Did you really erase your memories?\I wonder what happened to Takizawa?\I see. So Harima Neuroscience Institute's brainwashing program\really can erase memories.\I'll use it myself sometime.\But first, I need to get that phone from you.\You were careless, kid. response:	What is that phone? How much was on yours?
context: Did you really erase your memories?\I wonder what happened to Takizawa?\I see. So Harima Neuroscience Institute's brainwashing program\really can erase memories.\I'll use it myself sometime.\But first, I need to get that phone from you.\You were careless, kid.\What is that phone? How much was on yours? response:	Hmm? You're sure persistent.
context: I wonder what happened to Takizawa?\I see. So Harima Neuroscience Institute's brainwashing program\really can erase memories.\I'll use it myself sometime.\But first, I need to get that phone from you.\You were careless, kid.\What is that phone? How much was on yours?\Hmm? You're sure persistent. response:	I'm taking the money left on this thing.
context: I see. So Harima Neuroscience Institute's brainwashing program\really can erase memories.\I'll use it myself sometime.\But first, I need to get that phone from you.\You were careless, kid.\What is that phone? How much was on yours?\Hmm? You're sure persistent.\I'm taking the money left on this thing. response:	I'd guess you started out with ten billion, like me.
context: really can erase memories.\I'll use it myself sometime.\But first, I need to get that phone from you.\You were careless, kid.\What is that phone? How much was on yours?\Hmm? You're sure persistent.\I'm taking the money left on this thing.\I'd guess you started out with ten billion, like me. response:	But there's no way anyone could save this rotten-to-the-core country
context: I'll use it myself sometime.\But first, I need to get that phone from you.\You were careless, kid.\What is that phone? How much was on yours?\Hmm? You're sure persistent.\I'm taking the money left on this thing.\I'd guess you started out with ten billion, like me.\But there's no way anyone could save this rotten-to-the-core country response:	with a measly ten billion!
context: But first, I need to get that phone from you.\You were careless, kid.\What is that phone? How much was on yours?\Hmm? You're sure persistent.\I'm taking the money left on this thing.\I'd guess you started out with ten billion, like me.\But there's no way anyone could save this rotten-to-the-core country\with a measly ten billion! response:	How dare they pull me into this stupid obligation?!
context: You were careless, kid.\What is that phone? How much was on yours?\Hmm? You're sure persistent.\I'm taking the money left on this thing.\I'd guess you started out with ten billion, like me.\But there's no way anyone could save this rotten-to-the-core country\with a measly ten billion!\How dare they pull me into this stupid obligation?! response:	Detectives sure are strong...
context: What is that phone? How much was on yours?\Hmm? You're sure persistent.\I'm taking the money left on this thing.\I'd guess you started out with ten billion, like me.\But there's no way anyone could save this rotten-to-the-core country\with a measly ten billion!\How dare they pull me into this stupid obligation?!\Detectives sure are strong... response:	Mister... that girl has nothing... to do with this...
context: Hmm? You're sure persistent.\I'm taking the money left on this thing.\I'd guess you started out with ten billion, like me.\But there's no way anyone could save this rotten-to-the-core country\with a measly ten billion!\How dare they pull me into this stupid obligation?!\Detectives sure are strong...\Mister... that girl has nothing... to do with this... response:	Killing people costs money. I'm not going to do anything wasteful.
context: I'm taking the money left on this thing.\I'd guess you started out with ten billion, like me.\But there's no way anyone could save this rotten-to-the-core country\with a measly ten billion!\How dare they pull me into this stupid obligation?!\Detectives sure are strong...\Mister... that girl has nothing... to do with this...\Killing people costs money. I'm not going to do anything wasteful. response:	Oh, right. I'll tell you one thing.
context: I'd guess you started out with ten billion, like me.\But there's no way anyone could save this rotten-to-the-core country\with a measly ten billion!\How dare they pull me into this stupid obligation?!\Detectives sure are strong...\Mister... that girl has nothing... to do with this...\Killing people costs money. I'm not going to do anything wasteful.\Oh, right. I'll tell you one thing. response:	When the money on a Noblesse phone runs out,
context: But there's no way anyone could save this rotten-to-the-core country\with a measly ten billion!\How dare they pull me into this stupid obligation?!\Detectives sure are strong...\Mister... that girl has nothing... to do with this...\Killing people costs money. I'm not going to do anything wasteful.\Oh, right. I'll tell you one thing.\When the money on a Noblesse phone runs out, response:	someone called the Supporter apparently comes to kill its owner.
context: with a measly ten billion!\How dare they pull me into this stupid obligation?!\Detectives sure are strong...\Mister... that girl has nothing... to do with this...\Killing people costs money. I'm not going to do anything wasteful.\Oh, right. I'll tell you one thing.\When the money on a Noblesse phone runs out,\someone called the Supporter apparently comes to kill its owner. response:	That's the rule.
context: How dare they pull me into this stupid obligation?!\Detectives sure are strong...\Mister... that girl has nothing... to do with this...\Killing people costs money. I'm not going to do anything wasteful.\Oh, right. I'll tell you one thing.\When the money on a Noblesse phone runs out,\someone called the Supporter apparently comes to kill its owner.\That's the rule. response:	Too bad, kid. That girl may live, but you're going to die.
context: Detectives sure are strong...\Mister... that girl has nothing... to do with this...\Killing people costs money. I'm not going to do anything wasteful.\Oh, right. I'll tell you one thing.\When the money on a Noblesse phone runs out,\someone called the Supporter apparently comes to kill its owner.\That's the rule.\Too bad, kid. That girl may live, but you're going to die. response:	This makes us even, Mister.
context: Mister... that girl has nothing... to do with this...\Killing people costs money. I'm not going to do anything wasteful.\Oh, right. I'll tell you one thing.\When the money on a Noblesse phone runs out,\someone called the Supporter apparently comes to kill its owner.\That's the rule.\Too bad, kid. That girl may live, but you're going to die.\This makes us even, Mister. response:	What's a Supporter? Yet another mystery...
context: Killing people costs money. I'm not going to do anything wasteful.\Oh, right. I'll tell you one thing.\When the money on a Noblesse phone runs out,\someone called the Supporter apparently comes to kill its owner.\That's the rule.\Too bad, kid. That girl may live, but you're going to die.\This makes us even, Mister.\What's a Supporter? Yet another mystery... response:	Sorry... It doesn't look like I'm going to make the late show...
context: Oh, right. I'll tell you one thing.\When the money on a Noblesse phone runs out,\someone called the Supporter apparently comes to kill its owner.\That's the rule.\Too bad, kid. That girl may live, but you're going to die.\This makes us even, Mister.\What's a Supporter? Yet another mystery...\Sorry... It doesn't look like I'm going to make the late show... response:	You...
context: When the money on a Noblesse phone runs out,\someone called the Supporter apparently comes to kill its owner.\That's the rule.\Too bad, kid. That girl may live, but you're going to die.\This makes us even, Mister.\What's a Supporter? Yet another mystery...\Sorry... It doesn't look like I'm going to make the late show...\You... response:	Do you know where Takizawa went?
context: someone called the Supporter apparently comes to kill its owner.\That's the rule.\Too bad, kid. That girl may live, but you're going to die.\This makes us even, Mister.\What's a Supporter? Yet another mystery...\Sorry... It doesn't look like I'm going to make the late show...\You...\Do you know where Takizawa went? response:	If he didn't want to be with me, he could've just said so.
context: That's the rule.\Too bad, kid. That girl may live, but you're going to die.\This makes us even, Mister.\What's a Supporter? Yet another mystery...\Sorry... It doesn't look like I'm going to make the late show...\You...\Do you know where Takizawa went?\If he didn't want to be with me, he could've just said so. response:	Ow...
context: Too bad, kid. That girl may live, but you're going to die.\This makes us even, Mister.\What's a Supporter? Yet another mystery...\Sorry... It doesn't look like I'm going to make the late show...\You...\Do you know where Takizawa went?\If he didn't want to be with me, he could've just said so.\Ow... response:	Nice message.
context: This makes us even, Mister.\What's a Supporter? Yet another mystery...\Sorry... It doesn't look like I'm going to make the late show...\You...\Do you know where Takizawa went?\If he didn't want to be with me, he could've just said so.\Ow...\Nice message. response:	You Jerk!
context: What's a Supporter? Yet another mystery...\Sorry... It doesn't look like I'm going to make the late show...\You...\Do you know where Takizawa went?\If he didn't want to be with me, he could've just said so.\Ow...\Nice message.\You Jerk! response:	Okay, shall we go return this?
context: Sorry... It doesn't look like I'm going to make the late show...\You...\Do you know where Takizawa went?\If he didn't want to be with me, he could've just said so.\Ow...\Nice message.\You Jerk!\Okay, shall we go return this? response:	I got money for us to fool around for life on.
context: You...\Do you know where Takizawa went?\If he didn't want to be with me, he could've just said so.\Ow...\Nice message.\You Jerk!\Okay, shall we go return this?\I got money for us to fool around for life on. response:	I called for a car, so meet me in Kabukicho.
context: Do you know where Takizawa went?\If he didn't want to be with me, he could've just said so.\Ow...\Nice message.\You Jerk!\Okay, shall we go return this?\I got money for us to fool around for life on.\I called for a car, so meet me in Kabukicho. response:	Selecao Activity History
context: If he didn't want to be with me, he could've just said so.\Ow...\Nice message.\You Jerk!\Okay, shall we go return this?\I got money for us to fool around for life on.\I called for a car, so meet me in Kabukicho.\Selecao Activity History response:	I've used it all up.
context: Ow...\Nice message.\You Jerk!\Okay, shall we go return this?\I got money for us to fool around for life on.\I called for a car, so meet me in Kabukicho.\Selecao Activity History\I've used it all up. response:	It's the same model, so it should work the same way!
context: Nice message.\You Jerk!\Okay, shall we go return this?\I got money for us to fool around for life on.\I called for a car, so meet me in Kabukicho.\Selecao Activity History\I've used it all up.\It's the same model, so it should work the same way! response:	Dammit. Guess I'll ask Juiz.
context: You Jerk!\Okay, shall we go return this?\I got money for us to fool around for life on.\I called for a car, so meet me in Kabukicho.\Selecao Activity History\I've used it all up.\It's the same model, so it should work the same way!\Dammit. Guess I'll ask Juiz. response:	Hello, this is Juiz.
context: Okay, shall we go return this?\I got money for us to fool around for life on.\I called for a car, so meet me in Kabukicho.\Selecao Activity History\I've used it all up.\It's the same model, so it should work the same way!\Dammit. Guess I'll ask Juiz.\Hello, this is Juiz. response:	There's something I want to ask you.
context: I got money for us to fool around for life on.\I called for a car, so meet me in Kabukicho.\Selecao Activity History\I've used it all up.\It's the same model, so it should work the same way!\Dammit. Guess I'll ask Juiz.\Hello, this is Juiz.\There's something I want to ask you. response:	What would happen if someone else got their hands on this?
context: I called for a car, so meet me in Kabukicho.\Selecao Activity History\I've used it all up.\It's the same model, so it should work the same way!\Dammit. Guess I'll ask Juiz.\Hello, this is Juiz.\There's something I want to ask you.\What would happen if someone else got their hands on this? response:	Could anyone use it?
context: Selecao Activity History\I've used it all up.\It's the same model, so it should work the same way!\Dammit. Guess I'll ask Juiz.\Hello, this is Juiz.\There's something I want to ask you.\What would happen if someone else got their hands on this?\Could anyone use it? response:	It employs fingerprint recognition, so no one else would be able to use it.
context: I've used it all up.\It's the same model, so it should work the same way!\Dammit. Guess I'll ask Juiz.\Hello, this is Juiz.\There's something I want to ask you.\What would happen if someone else got their hands on this?\Could anyone use it?\It employs fingerprint recognition, so no one else would be able to use it. response:	Is there a problem?
context: It's the same model, so it should work the same way!\Dammit. Guess I'll ask Juiz.\Hello, this is Juiz.\There's something I want to ask you.\What would happen if someone else got their hands on this?\Could anyone use it?\It employs fingerprint recognition, so no one else would be able to use it.\Is there a problem? response:	No, that makes things safe. I see. Talk to you later.
context: Dammit. Guess I'll ask Juiz.\Hello, this is Juiz.\There's something I want to ask you.\What would happen if someone else got their hands on this?\Could anyone use it?\It employs fingerprint recognition, so no one else would be able to use it.\Is there a problem?\No, that makes things safe. I see. Talk to you later. response:	The end...
context: Hello, this is Juiz.\There's something I want to ask you.\What would happen if someone else got their hands on this?\Could anyone use it?\It employs fingerprint recognition, so no one else would be able to use it.\Is there a problem?\No, that makes things safe. I see. Talk to you later.\The end... response:	Dammit, why do I always screw things up like this?!
context: There's something I want to ask you.\What would happen if someone else got their hands on this?\Could anyone use it?\It employs fingerprint recognition, so no one else would be able to use it.\Is there a problem?\No, that makes things safe. I see. Talk to you later.\The end...\Dammit, why do I always screw things up like this?! response:	Public Phone
context: What would happen if someone else got their hands on this?\Could anyone use it?\It employs fingerprint recognition, so no one else would be able to use it.\Is there a problem?\No, that makes things safe. I see. Talk to you later.\The end...\Dammit, why do I always screw things up like this?!\Public Phone response:	Saki
context: Could anyone use it?\It employs fingerprint recognition, so no one else would be able to use it.\Is there a problem?\No, that makes things safe. I see. Talk to you later.\The end...\Dammit, why do I always screw things up like this?!\Public Phone\Saki response:	Me
context: It employs fingerprint recognition, so no one else would be able to use it.\Is there a problem?\No, that makes things safe. I see. Talk to you later.\The end...\Dammit, why do I always screw things up like this?!\Public Phone\Saki\Me response:	It's thanks to you.
context: Is there a problem?\No, that makes things safe. I see. Talk to you later.\The end...\Dammit, why do I always screw things up like this?!\Public Phone\Saki\Me\It's thanks to you. response:	Hurry up and answer, man.
context: No, that makes things safe. I see. Talk to you later.\The end...\Dammit, why do I always screw things up like this?!\Public Phone\Saki\Me\It's thanks to you.\Hurry up and answer, man. response:	You're there, aren't you, Mister?
context: The end...\Dammit, why do I always screw things up like this?!\Public Phone\Saki\Me\It's thanks to you.\Hurry up and answer, man.\You're there, aren't you, Mister? response:	Come on, Detective Kondou.
context: Dammit, why do I always screw things up like this?!\Public Phone\Saki\Me\It's thanks to you.\Hurry up and answer, man.\You're there, aren't you, Mister?\Come on, Detective Kondou. response:	And here I am trying to return your precious ID to you!
context: Public Phone\Saki\Me\It's thanks to you.\Hurry up and answer, man.\You're there, aren't you, Mister?\Come on, Detective Kondou.\And here I am trying to return your precious ID to you! response:	At least answer the phone.
context: Saki\Me\It's thanks to you.\Hurry up and answer, man.\You're there, aren't you, Mister?\Come on, Detective Kondou.\And here I am trying to return your precious ID to you!\At least answer the phone. response:	How did you...?
context: Me\It's thanks to you.\Hurry up and answer, man.\You're there, aren't you, Mister?\Come on, Detective Kondou.\And here I am trying to return your precious ID to you!\At least answer the phone.\How did you...? response:	Finally.
context: It's thanks to you.\Hurry up and answer, man.\You're there, aren't you, Mister?\Come on, Detective Kondou.\And here I am trying to return your precious ID to you!\At least answer the phone.\How did you...?\Finally. response:	Where are you, Mister?
context: Hurry up and answer, man.\You're there, aren't you, Mister?\Come on, Detective Kondou.\And here I am trying to return your precious ID to you!\At least answer the phone.\How did you...?\Finally.\Where are you, Mister? response:	In the middle of Kabukicho. Get your ass over here right now!
context: You're there, aren't you, Mister?\Come on, Detective Kondou.\And here I am trying to return your precious ID to you!\At least answer the phone.\How did you...?\Finally.\Where are you, Mister?\In the middle of Kabukicho. Get your ass over here right now! response:	Kabukicho... So, how do I get there, again?
context: Come on, Detective Kondou.\And here I am trying to return your precious ID to you!\At least answer the phone.\How did you...?\Finally.\Where are you, Mister?\In the middle of Kabukicho. Get your ass over here right now!\Kabukicho... So, how do I get there, again? response:	Are you yanking my chain?!
context: And here I am trying to return your precious ID to you!\At least answer the phone.\How did you...?\Finally.\Where are you, Mister?\In the middle of Kabukicho. Get your ass over here right now!\Kabukicho... So, how do I get there, again?\Are you yanking my chain?! response:	I told you, I have no memories...
context: At least answer the phone.\How did you...?\Finally.\Where are you, Mister?\In the middle of Kabukicho. Get your ass over here right now!\Kabukicho... So, how do I get there, again?\Are you yanking my chain?!\I told you, I have no memories... response:	Okay, go toward Kiba and take the Metropolitan Expressway, right?
context: How did you...?\Finally.\Where are you, Mister?\In the middle of Kabukicho. Get your ass over here right now!\Kabukicho... So, how do I get there, again?\Are you yanking my chain?!\I told you, I have no memories...\Okay, go toward Kiba and take the Metropolitan Expressway, right? response:	Kabukicho First Street
context: Finally.\Where are you, Mister?\In the middle of Kabukicho. Get your ass over here right now!\Kabukicho... So, how do I get there, again?\Are you yanking my chain?!\I told you, I have no memories...\Okay, go toward Kiba and take the Metropolitan Expressway, right?\Kabukicho First Street response:	Misae...
context: Where are you, Mister?\In the middle of Kabukicho. Get your ass over here right now!\Kabukicho... So, how do I get there, again?\Are you yanking my chain?!\I told you, I have no memories...\Okay, go toward Kiba and take the Metropolitan Expressway, right?\Kabukicho First Street\Misae... response:	What are you doing here...?
context: In the middle of Kabukicho. Get your ass over here right now!\Kabukicho... So, how do I get there, again?\Are you yanking my chain?!\I told you, I have no memories...\Okay, go toward Kiba and take the Metropolitan Expressway, right?\Kabukicho First Street\Misae...\What are you doing here...? response:	What's this money for us to fool around for life on?
context: Kabukicho... So, how do I get there, again?\Are you yanking my chain?!\I told you, I have no memories...\Okay, go toward Kiba and take the Metropolitan Expressway, right?\Kabukicho First Street\Misae...\What are you doing here...?\What's this money for us to fool around for life on? response:	How do you know about that?
context: Are you yanking my chain?!\I told you, I have no memories...\Okay, go toward Kiba and take the Metropolitan Expressway, right?\Kabukicho First Street\Misae...\What are you doing here...?\What's this money for us to fool around for life on?\How do you know about that? response:	I can't believe you wrote a text to your lover and then sent it to your wife.
context: I told you, I have no memories...\Okay, go toward Kiba and take the Metropolitan Expressway, right?\Kabukicho First Street\Misae...\What are you doing here...?\What's this money for us to fool around for life on?\How do you know about that?\I can't believe you wrote a text to your lover and then sent it to your wife. response:	This ends it.
context: Okay, go toward Kiba and take the Metropolitan Expressway, right?\Kabukicho First Street\Misae...\What are you doing here...?\What's this money for us to fool around for life on?\How do you know about that?\I can't believe you wrote a text to your lover and then sent it to your wife.\This ends it. response:	What's wrong, Mister?
context: Kabukicho First Street\Misae...\What are you doing here...?\What's this money for us to fool around for life on?\How do you know about that?\I can't believe you wrote a text to your lover and then sent it to your wife.\This ends it.\What's wrong, Mister? response:	Shut up, kid.
context: Misae...\What are you doing here...?\What's this money for us to fool around for life on?\How do you know about that?\I can't believe you wrote a text to your lover and then sent it to your wife.\This ends it.\What's wrong, Mister?\Shut up, kid. response:	I'll call you an ambulance.
context: What are you doing here...?\What's this money for us to fool around for life on?\How do you know about that?\I can't believe you wrote a text to your lover and then sent it to your wife.\This ends it.\What's wrong, Mister?\Shut up, kid.\I'll call you an ambulance. response:	Don't poke your nose in. It looks like this is the end for me.
context: What's this money for us to fool around for life on?\How do you know about that?\I can't believe you wrote a text to your lover and then sent it to your wife.\This ends it.\What's wrong, Mister?\Shut up, kid.\I'll call you an ambulance.\Don't poke your nose in. It looks like this is the end for me. response:	Don't just up and die! I still have things I want to ask-
context: How do you know about that?\I can't believe you wrote a text to your lover and then sent it to your wife.\This ends it.\What's wrong, Mister?\Shut up, kid.\I'll call you an ambulance.\Don't poke your nose in. It looks like this is the end for me.\Don't just up and die! I still have things I want to ask- response:	Who cares?
context: I can't believe you wrote a text to your lover and then sent it to your wife.\This ends it.\What's wrong, Mister?\Shut up, kid.\I'll call you an ambulance.\Don't poke your nose in. It looks like this is the end for me.\Don't just up and die! I still have things I want to ask-\Who cares? response:	There should be ten other Selecao besides us with the same phones.
context: This ends it.\What's wrong, Mister?\Shut up, kid.\I'll call you an ambulance.\Don't poke your nose in. It looks like this is the end for me.\Don't just up and die! I still have things I want to ask-\Who cares?\There should be ten other Selecao besides us with the same phones. response:	The Selecao are players forced to participate in this damn game.
context: What's wrong, Mister?\Shut up, kid.\I'll call you an ambulance.\Don't poke your nose in. It looks like this is the end for me.\Don't just up and die! I still have things I want to ask-\Who cares?\There should be ten other Selecao besides us with the same phones.\The Selecao are players forced to participate in this damn game. response:	Purchase logs go to your phone, too, don't they?
context: Shut up, kid.\I'll call you an ambulance.\Don't poke your nose in. It looks like this is the end for me.\Don't just up and die! I still have things I want to ask-\Who cares?\There should be ten other Selecao besides us with the same phones.\The Selecao are players forced to participate in this damn game.\Purchase logs go to your phone, too, don't they? response:	Use those to find other Selecao and ask them about the rest of it.
context: I'll call you an ambulance.\Don't poke your nose in. It looks like this is the end for me.\Don't just up and die! I still have things I want to ask-\Who cares?\There should be ten other Selecao besides us with the same phones.\The Selecao are players forced to participate in this damn game.\Purchase logs go to your phone, too, don't they?\Use those to find other Selecao and ask them about the rest of it. response:	Ask them, Who am I?
context: Don't poke your nose in. It looks like this is the end for me.\Don't just up and die! I still have things I want to ask-\Who cares?\There should be ten other Selecao besides us with the same phones.\The Selecao are players forced to participate in this damn game.\Purchase logs go to your phone, too, don't they?\Use those to find other Selecao and ask them about the rest of it.\Ask them, Who am I? response:	That is, assuming there's anyone willing to meet
context: Don't just up and die! I still have things I want to ask-\Who cares?\There should be ten other Selecao besides us with the same phones.\The Selecao are players forced to participate in this damn game.\Purchase logs go to your phone, too, don't they?\Use those to find other Selecao and ask them about the rest of it.\Ask them, Who am I?\That is, assuming there's anyone willing to meet response:	a dangerous Selecao like you.
context: Who cares?\There should be ten other Selecao besides us with the same phones.\The Selecao are players forced to participate in this damn game.\Purchase logs go to your phone, too, don't they?\Use those to find other Selecao and ask them about the rest of it.\Ask them, Who am I?\That is, assuming there's anyone willing to meet\a dangerous Selecao like you. response:	A dangerous Selecao?
context: There should be ten other Selecao besides us with the same phones.\The Selecao are players forced to participate in this damn game.\Purchase logs go to your phone, too, don't they?\Use those to find other Selecao and ask them about the rest of it.\Ask them, Who am I?\That is, assuming there's anyone willing to meet\a dangerous Selecao like you.\A dangerous Selecao? response:	You gathered 20,000 NEETs at ground zero and tried to kill them, right?
context: The Selecao are players forced to participate in this damn game.\Purchase logs go to your phone, too, don't they?\Use those to find other Selecao and ask them about the rest of it.\Ask them, Who am I?\That is, assuming there's anyone willing to meet\a dangerous Selecao like you.\A dangerous Selecao?\You gathered 20,000 NEETs at ground zero and tried to kill them, right? response:	Wait, or are you the Supporter?
context: Purchase logs go to your phone, too, don't they?\Use those to find other Selecao and ask them about the rest of it.\Ask them, Who am I?\That is, assuming there's anyone willing to meet\a dangerous Selecao like you.\A dangerous Selecao?\You gathered 20,000 NEETs at ground zero and tried to kill them, right?\Wait, or are you the Supporter? response:	So that's it. That's why Misae...
context: Use those to find other Selecao and ask them about the rest of it.\Ask them, Who am I?\That is, assuming there's anyone willing to meet\a dangerous Selecao like you.\A dangerous Selecao?\You gathered 20,000 NEETs at ground zero and tried to kill them, right?\Wait, or are you the Supporter?\So that's it. That's why Misae... response:	I have no clue what you're talking about!
context: Ask them, Who am I?\That is, assuming there's anyone willing to meet\a dangerous Selecao like you.\A dangerous Selecao?\You gathered 20,000 NEETs at ground zero and tried to kill them, right?\Wait, or are you the Supporter?\So that's it. That's why Misae...\I have no clue what you're talking about! response:	You got me. Take this and get lost.
context: That is, assuming there's anyone willing to meet\a dangerous Selecao like you.\A dangerous Selecao?\You gathered 20,000 NEETs at ground zero and tried to kill them, right?\Wait, or are you the Supporter?\So that's it. That's why Misae...\I have no clue what you're talking about!\You got me. Take this and get lost. response:	Hurry up and get lost!
context: a dangerous Selecao like you.\A dangerous Selecao?\You gathered 20,000 NEETs at ground zero and tried to kill them, right?\Wait, or are you the Supporter?\So that's it. That's why Misae...\I have no clue what you're talking about!\You got me. Take this and get lost.\Hurry up and get lost! response:	I lose.
context: A dangerous Selecao?\You gathered 20,000 NEETs at ground zero and tried to kill them, right?\Wait, or are you the Supporter?\So that's it. That's why Misae...\I have no clue what you're talking about!\You got me. Take this and get lost.\Hurry up and get lost!\I lose. response:	In the beginning, I was trying to carry out justice, too...
context: You gathered 20,000 NEETs at ground zero and tried to kill them, right?\Wait, or are you the Supporter?\So that's it. That's why Misae...\I have no clue what you're talking about!\You got me. Take this and get lost.\Hurry up and get lost!\I lose.\In the beginning, I was trying to carry out justice, too... response:	The night is a seal
context: Wait, or are you the Supporter?\So that's it. That's why Misae...\I have no clue what you're talking about!\You got me. Take this and get lost.\Hurry up and get lost!\I lose.\In the beginning, I was trying to carry out justice, too...\The night is a seal response:	If we mix in some bewilderment, it will end
context: So that's it. That's why Misae...\I have no clue what you're talking about!\You got me. Take this and get lost.\Hurry up and get lost!\I lose.\In the beginning, I was trying to carry out justice, too...\The night is a seal\If we mix in some bewilderment, it will end response:	If we're in danger of wavering, let's just abandon our reasons
context: I have no clue what you're talking about!\You got me. Take this and get lost.\Hurry up and get lost!\I lose.\In the beginning, I was trying to carry out justice, too...\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons response:	We drown in dreams again
context: You got me. Take this and get lost.\Hurry up and get lost!\I lose.\In the beginning, I was trying to carry out justice, too...\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again response:	The future stretches on uncertainly
context: Hurry up and get lost!\I lose.\In the beginning, I was trying to carry out justice, too...\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly response:	I can still forgive you, I can still know the meaning
context: I lose.\In the beginning, I was trying to carry out justice, too...\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning response:	The night exists to be listened to closely
context: In the beginning, I was trying to carry out justice, too...\The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning\The night exists to be listened to closely response:	I can copy that reason, and change
context: The night is a seal\If we mix in some bewilderment, it will end\If we're in danger of wavering, let's just abandon our reasons\We drown in dreams again\The future stretches on uncertainly\I can still forgive you, I can still know the meaning\The night exists to be listened to closely\I can copy that reason, and change response:	I wouldn't mind cutting off the future to know your breath
