context: You're the one who gives me my future response:	Even on a road without signs, I'll be fine, if we're together
context: Well... How should I put it...\What am I doing?\Maybe you were thirsty?\No, that's not what I meant.\Excuse me for a moment.\Jessica! And Uncle Scarron, too?\Siesta, is someone there?\N-No, there isn't. response:	What are you two doing here?
context: What am I doing?\Maybe you were thirsty?\No, that's not what I meant.\Excuse me for a moment.\Jessica! And Uncle Scarron, too?\Siesta, is someone there?\N-No, there isn't.\What are you two doing here? response:	We came since we're worried about you.
context: Maybe you were thirsty?\No, that's not what I meant.\Excuse me for a moment.\Jessica! And Uncle Scarron, too?\Siesta, is someone there?\N-No, there isn't.\What are you two doing here?\We came since we're worried about you. response:	So did you use it already?
context: No, that's not what I meant.\Excuse me for a moment.\Jessica! And Uncle Scarron, too?\Siesta, is someone there?\N-No, there isn't.\What are you two doing here?\We came since we're worried about you.\So did you use it already? response:	Please, stop it!
context: Excuse me for a moment.\Jessica! And Uncle Scarron, too?\Siesta, is someone there?\N-No, there isn't.\What are you two doing here?\We came since we're worried about you.\So did you use it already?\Please, stop it! response:	I'm sorry for the commotion.
context: Jessica! And Uncle Scarron, too?\Siesta, is someone there?\N-No, there isn't.\What are you two doing here?\We came since we're worried about you.\So did you use it already?\Please, stop it!\I'm sorry for the commotion. response:	So, about what I was saying before...
context: Siesta, is someone there?\N-No, there isn't.\What are you two doing here?\We came since we're worried about you.\So did you use it already?\Please, stop it!\I'm sorry for the commotion.\So, about what I was saying before... response:	Yes.
context: N-No, there isn't.\What are you two doing here?\We came since we're worried about you.\So did you use it already?\Please, stop it!\I'm sorry for the commotion.\So, about what I was saying before...\Yes. response:	I'm the bride, and you're the husband.
context: What are you two doing here?\We came since we're worried about you.\So did you use it already?\Please, stop it!\I'm sorry for the commotion.\So, about what I was saying before...\Yes.\I'm the bride, and you're the husband. response:	So it's basically like playing house?
context: We came since we're worried about you.\So did you use it already?\Please, stop it!\I'm sorry for the commotion.\So, about what I was saying before...\Yes.\I'm the bride, and you're the husband.\So it's basically like playing house? response:	M-More or less.
context: So did you use it already?\Please, stop it!\I'm sorry for the commotion.\So, about what I was saying before...\Yes.\I'm the bride, and you're the husband.\So it's basically like playing house?\M-More or less. response:	So to start out...
context: Please, stop it!\I'm sorry for the commotion.\So, about what I was saying before...\Yes.\I'm the bride, and you're the husband.\So it's basically like playing house?\M-More or less.\So to start out... response:	I'm... home...
context: I'm sorry for the commotion.\So, about what I was saying before...\Yes.\I'm the bride, and you're the husband.\So it's basically like playing house?\M-More or less.\So to start out...\I'm... home... response:	What's wrong?
context: So, about what I was saying before...\Yes.\I'm the bride, and you're the husband.\So it's basically like playing house?\M-More or less.\So to start out...\I'm... home...\What's wrong? response:	I wasn't breathing for a moment there.
context: Yes.\I'm the bride, and you're the husband.\So it's basically like playing house?\M-More or less.\So to start out...\I'm... home...\What's wrong?\I wasn't breathing for a moment there. response:	S-She's so cute...
context: I'm the bride, and you're the husband.\So it's basically like playing house?\M-More or less.\So to start out...\I'm... home...\What's wrong?\I wasn't breathing for a moment there.\S-She's so cute... response:	U-Um...
context: So it's basically like playing house?\M-More or less.\So to start out...\I'm... home...\What's wrong?\I wasn't breathing for a moment there.\S-She's so cute...\U-Um... response:	Would you like dinner?
context: M-More or less.\So to start out...\I'm... home...\What's wrong?\I wasn't breathing for a moment there.\S-She's so cute...\U-Um...\Would you like dinner? response:	Or maybe a bath?
context: So to start out...\I'm... home...\What's wrong?\I wasn't breathing for a moment there.\S-She's so cute...\U-Um...\Would you like dinner?\Or maybe a bath? response:	Or...
context: I'm... home...\What's wrong?\I wasn't breathing for a moment there.\S-She's so cute...\U-Um...\Would you like dinner?\Or maybe a bath?\Or... response:	Wait! No! Hold!
context: What's wrong?\I wasn't breathing for a moment there.\S-She's so cute...\U-Um...\Would you like dinner?\Or maybe a bath?\Or...\Wait! No! Hold! response:	Food! I'll have dinner!
context: I wasn't breathing for a moment there.\S-She's so cute...\U-Um...\Would you like dinner?\Or maybe a bath?\Or...\Wait! No! Hold!\Food! I'll have dinner! response:	Why did I say that?
context: S-She's so cute...\U-Um...\Would you like dinner?\Or maybe a bath?\Or...\Wait! No! Hold!\Food! I'll have dinner!\Why did I say that? response:	Where did that stupid maid and water flea disappear to?
context: U-Um...\Would you like dinner?\Or maybe a bath?\Or...\Wait! No! Hold!\Food! I'll have dinner!\Why did I say that?\Where did that stupid maid and water flea disappear to? response:	We're finally alone, Siesta.
context: Would you like dinner?\Or maybe a bath?\Or...\Wait! No! Hold!\Food! I'll have dinner!\Why did I say that?\Where did that stupid maid and water flea disappear to?\We're finally alone, Siesta. response:	I'm happy, Saito-san.
context: Or maybe a bath?\Or...\Wait! No! Hold!\Food! I'll have dinner!\Why did I say that?\Where did that stupid maid and water flea disappear to?\We're finally alone, Siesta.\I'm happy, Saito-san. response:	Geez!
context: Or...\Wait! No! Hold!\Food! I'll have dinner!\Why did I say that?\Where did that stupid maid and water flea disappear to?\We're finally alone, Siesta.\I'm happy, Saito-san.\Geez! response:	After this, we're going to the front gate.
context: Wait! No! Hold!\Food! I'll have dinner!\Why did I say that?\Where did that stupid maid and water flea disappear to?\We're finally alone, Siesta.\I'm happy, Saito-san.\Geez!\After this, we're going to the front gate. response:	Tiffania, keep an eye on them.
context: Food! I'll have dinner!\Why did I say that?\Where did that stupid maid and water flea disappear to?\We're finally alone, Siesta.\I'm happy, Saito-san.\Geez!\After this, we're going to the front gate.\Tiffania, keep an eye on them. response:	Beatrice and I go check the premises.
context: Why did I say that?\Where did that stupid maid and water flea disappear to?\We're finally alone, Siesta.\I'm happy, Saito-san.\Geez!\After this, we're going to the front gate.\Tiffania, keep an eye on them.\Beatrice and I go check the premises. response:	Okay.
context: Where did that stupid maid and water flea disappear to?\We're finally alone, Siesta.\I'm happy, Saito-san.\Geez!\After this, we're going to the front gate.\Tiffania, keep an eye on them.\Beatrice and I go check the premises.\Okay. response:	Now, get working.
context: We're finally alone, Siesta.\I'm happy, Saito-san.\Geez!\After this, we're going to the front gate.\Tiffania, keep an eye on them.\Beatrice and I go check the premises.\Okay.\Now, get working. response:	Don't try to dodge your task just because I'm not around.
context: I'm happy, Saito-san.\Geez!\After this, we're going to the front gate.\Tiffania, keep an eye on them.\Beatrice and I go check the premises.\Okay.\Now, get working.\Don't try to dodge your task just because I'm not around. response:	We won't.
context: Geez!\After this, we're going to the front gate.\Tiffania, keep an eye on them.\Beatrice and I go check the premises.\Okay.\Now, get working.\Don't try to dodge your task just because I'm not around.\We won't. response:	Wow, Jessica, you're so aggressive.
context: After this, we're going to the front gate.\Tiffania, keep an eye on them.\Beatrice and I go check the premises.\Okay.\Now, get working.\Don't try to dodge your task just because I'm not around.\We won't.\Wow, Jessica, you're so aggressive. response:	I can't do that.
context: Tiffania, keep an eye on them.\Beatrice and I go check the premises.\Okay.\Now, get working.\Don't try to dodge your task just because I'm not around.\We won't.\Wow, Jessica, you're so aggressive.\I can't do that. response:	But aren't you two newlyweds?
context: Beatrice and I go check the premises.\Okay.\Now, get working.\Don't try to dodge your task just because I'm not around.\We won't.\Wow, Jessica, you're so aggressive.\I can't do that.\But aren't you two newlyweds? response:	Then this is the most basic of basics.
context: Okay.\Now, get working.\Don't try to dodge your task just because I'm not around.\We won't.\Wow, Jessica, you're so aggressive.\I can't do that.\But aren't you two newlyweds?\Then this is the most basic of basics. response:	But it's pushing it too much.
context: Now, get working.\Don't try to dodge your task just because I'm not around.\We won't.\Wow, Jessica, you're so aggressive.\I can't do that.\But aren't you two newlyweds?\Then this is the most basic of basics.\But it's pushing it too much. response:	Tres bien! Maybe I'll put it into practice at our store!
context: Don't try to dodge your task just because I'm not around.\We won't.\Wow, Jessica, you're so aggressive.\I can't do that.\But aren't you two newlyweds?\Then this is the most basic of basics.\But it's pushing it too much.\Tres bien! Maybe I'll put it into practice at our store! response:	You'll scare the customers away.
context: We won't.\Wow, Jessica, you're so aggressive.\I can't do that.\But aren't you two newlyweds?\Then this is the most basic of basics.\But it's pushing it too much.\Tres bien! Maybe I'll put it into practice at our store!\You'll scare the customers away. response:	Then I guess I can't!
context: Wow, Jessica, you're so aggressive.\I can't do that.\But aren't you two newlyweds?\Then this is the most basic of basics.\But it's pushing it too much.\Tres bien! Maybe I'll put it into practice at our store!\You'll scare the customers away.\Then I guess I can't! response:	It's too much!
context: I can't do that.\But aren't you two newlyweds?\Then this is the most basic of basics.\But it's pushing it too much.\Tres bien! Maybe I'll put it into practice at our store!\You'll scare the customers away.\Then I guess I can't!\It's too much! response:	You don't have the time, right?!
context: But aren't you two newlyweds?\Then this is the most basic of basics.\But it's pushing it too much.\Tres bien! Maybe I'll put it into practice at our store!\You'll scare the customers away.\Then I guess I can't!\It's too much!\You don't have the time, right?! response:	Come on now. Your precious time is ticking away.
context: Then this is the most basic of basics.\But it's pushing it too much.\Tres bien! Maybe I'll put it into practice at our store!\You'll scare the customers away.\Then I guess I can't!\It's too much!\You don't have the time, right?!\Come on now. Your precious time is ticking away. response:	Are you doing it or are you not?
context: But it's pushing it too much.\Tres bien! Maybe I'll put it into practice at our store!\You'll scare the customers away.\Then I guess I can't!\It's too much!\You don't have the time, right?!\Come on now. Your precious time is ticking away.\Are you doing it or are you not? response:	Fine, okay.
context: Tres bien! Maybe I'll put it into practice at our store!\You'll scare the customers away.\Then I guess I can't!\It's too much!\You don't have the time, right?!\Come on now. Your precious time is ticking away.\Are you doing it or are you not?\Fine, okay. response:	You made your point!
context: You'll scare the customers away.\Then I guess I can't!\It's too much!\You don't have the time, right?!\Come on now. Your precious time is ticking away.\Are you doing it or are you not?\Fine, okay.\You made your point! response:	That's right, looking good.
context: Then I guess I can't!\It's too much!\You don't have the time, right?!\Come on now. Your precious time is ticking away.\Are you doing it or are you not?\Fine, okay.\You made your point!\That's right, looking good. response:	Don't stare at me like that!
context: It's too much!\You don't have the time, right?!\Come on now. Your precious time is ticking away.\Are you doing it or are you not?\Fine, okay.\You made your point!\That's right, looking good.\Don't stare at me like that! response:	I'm starving...
context: You don't have the time, right?!\Come on now. Your precious time is ticking away.\Are you doing it or are you not?\Fine, okay.\You made your point!\That's right, looking good.\Don't stare at me like that!\I'm starving... response:	S-Siesta?!
context: Come on now. Your precious time is ticking away.\Are you doing it or are you not?\Fine, okay.\You made your point!\That's right, looking good.\Don't stare at me like that!\I'm starving...\S-Siesta?! response:	What in the world are you doing?
context: Are you doing it or are you not?\Fine, okay.\You made your point!\That's right, looking good.\Don't stare at me like that!\I'm starving...\S-Siesta?!\What in the world are you doing? response:	I never imagined I'd get to see the legendary naked apron with my own eyes!
context: Fine, okay.\You made your point!\That's right, looking good.\Don't stare at me like that!\I'm starving...\S-Siesta?!\What in the world are you doing?\I never imagined I'd get to see the legendary naked apron with my own eyes! response:	I don't care if I die from divine retribution right now!
context: You made your point!\That's right, looking good.\Don't stare at me like that!\I'm starving...\S-Siesta?!\What in the world are you doing?\I never imagined I'd get to see the legendary naked apron with my own eyes!\I don't care if I die from divine retribution right now! response:	Are you all right, Saito-san?
context: That's right, looking good.\Don't stare at me like that!\I'm starving...\S-Siesta?!\What in the world are you doing?\I never imagined I'd get to see the legendary naked apron with my own eyes!\I don't care if I die from divine retribution right now!\Are you all right, Saito-san? response:	Please enjoy.
context: Don't stare at me like that!\I'm starving...\S-Siesta?!\What in the world are you doing?\I never imagined I'd get to see the legendary naked apron with my own eyes!\I don't care if I die from divine retribution right now!\Are you all right, Saito-san?\Please enjoy. response:	Enjoy what?
context: I'm starving...\S-Siesta?!\What in the world are you doing?\I never imagined I'd get to see the legendary naked apron with my own eyes!\I don't care if I die from divine retribution right now!\Are you all right, Saito-san?\Please enjoy.\Enjoy what? response:	The food, of course.
context: S-Siesta?!\What in the world are you doing?\I never imagined I'd get to see the legendary naked apron with my own eyes!\I don't care if I die from divine retribution right now!\Are you all right, Saito-san?\Please enjoy.\Enjoy what?\The food, of course. response:	Before that...
context: What in the world are you doing?\I never imagined I'd get to see the legendary naked apron with my own eyes!\I don't care if I die from divine retribution right now!\Are you all right, Saito-san?\Please enjoy.\Enjoy what?\The food, of course.\Before that... response:	Get any closer...
context: I never imagined I'd get to see the legendary naked apron with my own eyes!\I don't care if I die from divine retribution right now!\Are you all right, Saito-san?\Please enjoy.\Enjoy what?\The food, of course.\Before that...\Get any closer... response:	What's the matter?
context: I don't care if I die from divine retribution right now!\Are you all right, Saito-san?\Please enjoy.\Enjoy what?\The food, of course.\Before that...\Get any closer...\What's the matter? response:	Oh, nothing.
context: Are you all right, Saito-san?\Please enjoy.\Enjoy what?\The food, of course.\Before that...\Get any closer...\What's the matter?\Oh, nothing. response:	Is this torture?
context: Please enjoy.\Enjoy what?\The food, of course.\Before that...\Get any closer...\What's the matter?\Oh, nothing.\Is this torture? response:	Or a trial?
context: Enjoy what?\The food, of course.\Before that...\Get any closer...\What's the matter?\Oh, nothing.\Is this torture?\Or a trial? response:	Oh no, what am I doing?
context: The food, of course.\Before that...\Get any closer...\What's the matter?\Oh, nothing.\Is this torture?\Or a trial?\Oh no, what am I doing? response:	Sorry, going to toilet.
context: Before that...\Get any closer...\What's the matter?\Oh, nothing.\Is this torture?\Or a trial?\Oh no, what am I doing?\Sorry, going to toilet. response:	Maybe the stimulation was too intense?
context: Get any closer...\What's the matter?\Oh, nothing.\Is this torture?\Or a trial?\Oh no, what am I doing?\Sorry, going to toilet.\Maybe the stimulation was too intense? response:	She should just use the love potion.
context: What's the matter?\Oh, nothing.\Is this torture?\Or a trial?\Oh no, what am I doing?\Sorry, going to toilet.\Maybe the stimulation was too intense?\She should just use the love potion. response:	This is impossible.
context: Oh, nothing.\Is this torture?\Or a trial?\Oh no, what am I doing?\Sorry, going to toilet.\Maybe the stimulation was too intense?\She should just use the love potion.\This is impossible. response:	I feel bad for Siesta, but I have to apologise to her and return to my room.
context: Is this torture?\Or a trial?\Oh no, what am I doing?\Sorry, going to toilet.\Maybe the stimulation was too intense?\She should just use the love potion.\This is impossible.\I feel bad for Siesta, but I have to apologise to her and return to my room. response:	Should I really return?
context: Or a trial?\Oh no, what am I doing?\Sorry, going to toilet.\Maybe the stimulation was too intense?\She should just use the love potion.\This is impossible.\I feel bad for Siesta, but I have to apologise to her and return to my room.\Should I really return? response:	I might never get this kind of chance ever again.
context: Oh no, what am I doing?\Sorry, going to toilet.\Maybe the stimulation was too intense?\She should just use the love potion.\This is impossible.\I feel bad for Siesta, but I have to apologise to her and return to my room.\Should I really return?\I might never get this kind of chance ever again. response:	What's holding you back, Siesta?
context: Sorry, going to toilet.\Maybe the stimulation was too intense?\She should just use the love potion.\This is impossible.\I feel bad for Siesta, but I have to apologise to her and return to my room.\Should I really return?\I might never get this kind of chance ever again.\What's holding you back, Siesta? response:	Hurry and put this in.
context: Maybe the stimulation was too intense?\She should just use the love potion.\This is impossible.\I feel bad for Siesta, but I have to apologise to her and return to my room.\Should I really return?\I might never get this kind of chance ever again.\What's holding you back, Siesta?\Hurry and put this in. response:	Then Saito-san will...
context: She should just use the love potion.\This is impossible.\I feel bad for Siesta, but I have to apologise to her and return to my room.\Should I really return?\I might never get this kind of chance ever again.\What's holding you back, Siesta?\Hurry and put this in.\Then Saito-san will... response:	I love you, Siesta!
context: This is impossible.\I feel bad for Siesta, but I have to apologise to her and return to my room.\Should I really return?\I might never get this kind of chance ever again.\What's holding you back, Siesta?\Hurry and put this in.\Then Saito-san will...\I love you, Siesta! response:	I can't control myself anymore!
context: I feel bad for Siesta, but I have to apologise to her and return to my room.\Should I really return?\I might never get this kind of chance ever again.\What's holding you back, Siesta?\Hurry and put this in.\Then Saito-san will...\I love you, Siesta!\I can't control myself anymore! response:	We mustn't, Master.
context: Should I really return?\I might never get this kind of chance ever again.\What's holding you back, Siesta?\Hurry and put this in.\Then Saito-san will...\I love you, Siesta!\I can't control myself anymore!\We mustn't, Master. response:	Oh, so that's what your good care is?
context: I might never get this kind of chance ever again.\What's holding you back, Siesta?\Hurry and put this in.\Then Saito-san will...\I love you, Siesta!\I can't control myself anymore!\We mustn't, Master.\Oh, so that's what your good care is? response:	Yes, so what?!
context: What's holding you back, Siesta?\Hurry and put this in.\Then Saito-san will...\I love you, Siesta!\I can't control myself anymore!\We mustn't, Master.\Oh, so that's what your good care is?\Yes, so what?! response:	Things like this are first come, first served!
context: Hurry and put this in.\Then Saito-san will...\I love you, Siesta!\I can't control myself anymore!\We mustn't, Master.\Oh, so that's what your good care is?\Yes, so what?!\Things like this are first come, first served! response:	Whoever takes the step wins!
context: Then Saito-san will...\I love you, Siesta!\I can't control myself anymore!\We mustn't, Master.\Oh, so that's what your good care is?\Yes, so what?!\Things like this are first come, first served!\Whoever takes the step wins! response:	I win in bust size, too!
context: I love you, Siesta!\I can't control myself anymore!\We mustn't, Master.\Oh, so that's what your good care is?\Yes, so what?!\Things like this are first come, first served!\Whoever takes the step wins!\I win in bust size, too! response:	What is it about busts, anyway?
context: I can't control myself anymore!\We mustn't, Master.\Oh, so that's what your good care is?\Yes, so what?!\Things like this are first come, first served!\Whoever takes the step wins!\I win in bust size, too!\What is it about busts, anyway? response:	I'm sorry!
context: We mustn't, Master.\Oh, so that's what your good care is?\Yes, so what?!\Things like this are first come, first served!\Whoever takes the step wins!\I win in bust size, too!\What is it about busts, anyway?\I'm sorry! response:	Gosh...
context: Oh, so that's what your good care is?\Yes, so what?!\Things like this are first come, first served!\Whoever takes the step wins!\I win in bust size, too!\What is it about busts, anyway?\I'm sorry!\Gosh... response:	Ow.
context: Yes, so what?!\Things like this are first come, first served!\Whoever takes the step wins!\I win in bust size, too!\What is it about busts, anyway?\I'm sorry!\Gosh...\Ow. response:	What is this?
context: Things like this are first come, first served!\Whoever takes the step wins!\I win in bust size, too!\What is it about busts, anyway?\I'm sorry!\Gosh...\Ow.\What is this? response:	A love potion?!
context: Whoever takes the step wins!\I win in bust size, too!\What is it about busts, anyway?\I'm sorry!\Gosh...\Ow.\What is this?\A love potion?! response:	Who did that?!
context: I win in bust size, too!\What is it about busts, anyway?\I'm sorry!\Gosh...\Ow.\What is this?\A love potion?!\Who did that?! response:	Sorry, Montmorency. Are you all right?
context: What is it about busts, anyway?\I'm sorry!\Gosh...\Ow.\What is this?\A love potion?!\Who did that?!\Sorry, Montmorency. Are you all right? response:	Thanks to you, I breathed in the potion.
context: I'm sorry!\Gosh...\Ow.\What is this?\A love potion?!\Who did that?!\Sorry, Montmorency. Are you all right?\Thanks to you, I breathed in the potion. response:	Crap.
context: Gosh...\Ow.\What is this?\A love potion?!\Who did that?!\Sorry, Montmorency. Are you all right?\Thanks to you, I breathed in the potion.\Crap. response:	G-Go away.
context: Ow.\What is this?\A love potion?!\Who did that?!\Sorry, Montmorency. Are you all right?\Thanks to you, I breathed in the potion.\Crap.\G-Go away. response:	Why?
context: What is this?\A love potion?!\Who did that?!\Sorry, Montmorency. Are you all right?\Thanks to you, I breathed in the potion.\Crap.\G-Go away.\Why? response:	Louise...
context: A love potion?!\Who did that?!\Sorry, Montmorency. Are you all right?\Thanks to you, I breathed in the potion.\Crap.\G-Go away.\Why?\Louise... response:	What? You're creeping me out.
context: Who did that?!\Sorry, Montmorency. Are you all right?\Thanks to you, I breathed in the potion.\Crap.\G-Go away.\Why?\Louise...\What? You're creeping me out. response:	Louise, you're amazingly cute.
context: Sorry, Montmorency. Are you all right?\Thanks to you, I breathed in the potion.\Crap.\G-Go away.\Why?\Louise...\What? You're creeping me out.\Louise, you're amazingly cute. response:	You're making my heart throb.
context: Thanks to you, I breathed in the potion.\Crap.\G-Go away.\Why?\Louise...\What? You're creeping me out.\Louise, you're amazingly cute.\You're making my heart throb. response:	Let go of me! I said you're creeping me out.
context: Crap.\G-Go away.\Why?\Louise...\What? You're creeping me out.\Louise, you're amazingly cute.\You're making my heart throb.\Let go of me! I said you're creeping me out. response:	Your heartless words are so great.
context: G-Go away.\Why?\Louise...\What? You're creeping me out.\Louise, you're amazingly cute.\You're making my heart throb.\Let go of me! I said you're creeping me out.\Your heartless words are so great. response:	Listen, you're a girl and so am I!
context: Why?\Louise...\What? You're creeping me out.\Louise, you're amazingly cute.\You're making my heart throb.\Let go of me! I said you're creeping me out.\Your heartless words are so great.\Listen, you're a girl and so am I! response:	I don't care about that.
context: Louise...\What? You're creeping me out.\Louise, you're amazingly cute.\You're making my heart throb.\Let go of me! I said you're creeping me out.\Your heartless words are so great.\Listen, you're a girl and so am I!\I don't care about that. response:	If you don't stay still, I'll rip your clothes off.
context: What? You're creeping me out.\Louise, you're amazingly cute.\You're making my heart throb.\Let go of me! I said you're creeping me out.\Your heartless words are so great.\Listen, you're a girl and so am I!\I don't care about that.\If you don't stay still, I'll rip your clothes off. response:	Tabitha! Help me! Please!
context: Louise, you're amazingly cute.\You're making my heart throb.\Let go of me! I said you're creeping me out.\Your heartless words are so great.\Listen, you're a girl and so am I!\I don't care about that.\If you don't stay still, I'll rip your clothes off.\Tabitha! Help me! Please! response:	I'll help with scouting.
context: You're making my heart throb.\Let go of me! I said you're creeping me out.\Your heartless words are so great.\Listen, you're a girl and so am I!\I don't care about that.\If you don't stay still, I'll rip your clothes off.\Tabitha! Help me! Please!\I'll help with scouting. response:	Other matters are not my concern.
context: Let go of me! I said you're creeping me out.\Your heartless words are so great.\Listen, you're a girl and so am I!\I don't care about that.\If you don't stay still, I'll rip your clothes off.\Tabitha! Help me! Please!\I'll help with scouting.\Other matters are not my concern. response:	Don't say that, help me!
context: Your heartless words are so great.\Listen, you're a girl and so am I!\I don't care about that.\If you don't stay still, I'll rip your clothes off.\Tabitha! Help me! Please!\I'll help with scouting.\Other matters are not my concern.\Don't say that, help me! response:	No, don't touch there!
context: Listen, you're a girl and so am I!\I don't care about that.\If you don't stay still, I'll rip your clothes off.\Tabitha! Help me! Please!\I'll help with scouting.\Other matters are not my concern.\Don't say that, help me!\No, don't touch there! response:	Seriously! You really can't touch there!
context: I don't care about that.\If you don't stay still, I'll rip your clothes off.\Tabitha! Help me! Please!\I'll help with scouting.\Other matters are not my concern.\Don't say that, help me!\No, don't touch there!\Seriously! You really can't touch there! response:	N-No...
context: If you don't stay still, I'll rip your clothes off.\Tabitha! Help me! Please!\I'll help with scouting.\Other matters are not my concern.\Don't say that, help me!\No, don't touch there!\Seriously! You really can't touch there!\N-No... response:	Where did it go?
context: Tabitha! Help me! Please!\I'll help with scouting.\Other matters are not my concern.\Don't say that, help me!\No, don't touch there!\Seriously! You really can't touch there!\N-No...\Where did it go? response:	Jessica...
context: I'll help with scouting.\Other matters are not my concern.\Don't say that, help me!\No, don't touch there!\Seriously! You really can't touch there!\N-No...\Where did it go?\Jessica... response:	Isn't it Jessica?
context: Other matters are not my concern.\Don't say that, help me!\No, don't touch there!\Seriously! You really can't touch there!\N-No...\Where did it go?\Jessica...\Isn't it Jessica? response:	It's been a while.
context: Don't say that, help me!\No, don't touch there!\Seriously! You really can't touch there!\N-No...\Where did it go?\Jessica...\Isn't it Jessica?\It's been a while. response:	You remember me, right?
context: No, don't touch there!\Seriously! You really can't touch there!\N-No...\Where did it go?\Jessica...\Isn't it Jessica?\It's been a while.\You remember me, right? response:	Look at how much you've grown since we last met.
context: Seriously! You really can't touch there!\N-No...\Where did it go?\Jessica...\Isn't it Jessica?\It's been a while.\You remember me, right?\Look at how much you've grown since we last met. response:	Unforgivable! Absolutely unforgivable!
context: N-No...\Where did it go?\Jessica...\Isn't it Jessica?\It's been a while.\You remember me, right?\Look at how much you've grown since we last met.\Unforgivable! Absolutely unforgivable! response:	Don't tell me you...
context: Where did it go?\Jessica...\Isn't it Jessica?\It's been a while.\You remember me, right?\Look at how much you've grown since we last met.\Unforgivable! Absolutely unforgivable!\Don't tell me you... response:	Tell you what?
context: Jessica...\Isn't it Jessica?\It's been a while.\You remember me, right?\Look at how much you've grown since we last met.\Unforgivable! Absolutely unforgivable!\Don't tell me you...\Tell you what? response:	That love potion is starting a big mess.
context: Isn't it Jessica?\It's been a while.\You remember me, right?\Look at how much you've grown since we last met.\Unforgivable! Absolutely unforgivable!\Don't tell me you...\Tell you what?\That love potion is starting a big mess. response:	This is... about that, right?
context: It's been a while.\You remember me, right?\Look at how much you've grown since we last met.\Unforgivable! Absolutely unforgivable!\Don't tell me you...\Tell you what?\That love potion is starting a big mess.\This is... about that, right? response:	The thing I gave to Siesta, right?
context: You remember me, right?\Look at how much you've grown since we last met.\Unforgivable! Absolutely unforgivable!\Don't tell me you...\Tell you what?\That love potion is starting a big mess.\This is... about that, right?\The thing I gave to Siesta, right? response:	I've got to do something before this gets any worse.
context: Look at how much you've grown since we last met.\Unforgivable! Absolutely unforgivable!\Don't tell me you...\Tell you what?\That love potion is starting a big mess.\This is... about that, right?\The thing I gave to Siesta, right?\I've got to do something before this gets any worse. response:	Hey you, maid!
context: Unforgivable! Absolutely unforgivable!\Don't tell me you...\Tell you what?\That love potion is starting a big mess.\This is... about that, right?\The thing I gave to Siesta, right?\I've got to do something before this gets any worse.\Hey you, maid! response:	Wow, you're cute.
context: Don't tell me you...\Tell you what?\That love potion is starting a big mess.\This is... about that, right?\The thing I gave to Siesta, right?\I've got to do something before this gets any worse.\Hey you, maid!\Wow, you're cute. response:	Are you new here?
context: Tell you what?\That love potion is starting a big mess.\This is... about that, right?\The thing I gave to Siesta, right?\I've got to do something before this gets any worse.\Hey you, maid!\Wow, you're cute.\Are you new here? response:	Let me touch your fine bosom.
context: That love potion is starting a big mess.\This is... about that, right?\The thing I gave to Siesta, right?\I've got to do something before this gets any worse.\Hey you, maid!\Wow, you're cute.\Are you new here?\Let me touch your fine bosom. response:	I do it first!
context: This is... about that, right?\The thing I gave to Siesta, right?\I've got to do something before this gets any worse.\Hey you, maid!\Wow, you're cute.\Are you new here?\Let me touch your fine bosom.\I do it first! response:	No, me!
context: The thing I gave to Siesta, right?\I've got to do something before this gets any worse.\Hey you, maid!\Wow, you're cute.\Are you new here?\Let me touch your fine bosom.\I do it first!\No, me! response:	Hey, wait! Let go of me!
context: I've got to do something before this gets any worse.\Hey you, maid!\Wow, you're cute.\Are you new here?\Let me touch your fine bosom.\I do it first!\No, me!\Hey, wait! Let go of me! response:	If we're done, I'm leaving.
context: Hey you, maid!\Wow, you're cute.\Are you new here?\Let me touch your fine bosom.\I do it first!\No, me!\Hey, wait! Let go of me!\If we're done, I'm leaving. response:	Tabitha... When I take a good look at you, your small and thin body's really cute.
context: Wow, you're cute.\Are you new here?\Let me touch your fine bosom.\I do it first!\No, me!\Hey, wait! Let go of me!\If we're done, I'm leaving.\Tabitha... When I take a good look at you, your small and thin body's really cute. response:	Let me see how small yours are.
context: Are you new here?\Let me touch your fine bosom.\I do it first!\No, me!\Hey, wait! Let go of me!\If we're done, I'm leaving.\Tabitha... When I take a good look at you, your small and thin body's really cute.\Let me see how small yours are. response:	I won't let you say no.
context: Let me touch your fine bosom.\I do it first!\No, me!\Hey, wait! Let go of me!\If we're done, I'm leaving.\Tabitha... When I take a good look at you, your small and thin body's really cute.\Let me see how small yours are.\I won't let you say no. response:	Air Hammer.
context: I do it first!\No, me!\Hey, wait! Let go of me!\If we're done, I'm leaving.\Tabitha... When I take a good look at you, your small and thin body's really cute.\Let me see how small yours are.\I won't let you say no.\Air Hammer. response:	Does it taste good, Dear?
context: No, me!\Hey, wait! Let go of me!\If we're done, I'm leaving.\Tabitha... When I take a good look at you, your small and thin body's really cute.\Let me see how small yours are.\I won't let you say no.\Air Hammer.\Does it taste good, Dear? response:	Y-Yeah...
context: Hey, wait! Let go of me!\If we're done, I'm leaving.\Tabitha... When I take a good look at you, your small and thin body's really cute.\Let me see how small yours are.\I won't let you say no.\Air Hammer.\Does it taste good, Dear?\Y-Yeah... response:	It's kind of noisy outside.
