context: -Goddamned corpse! -Stay down, damn it! response:	Why are you getting in my way?
context: She's my ex.\What's an ex?\Shut up.\The problem is when the attack occurred.\Either they were watching Alvarez or there was a leak.\No way to tell.\There's any number of possibilities.\Oh, but you don't have to worry about our brave knight here. response:	She doesn't even know how to make a phone call.
context: What's an ex?\Shut up.\The problem is when the attack occurred.\Either they were watching Alvarez or there was a leak.\No way to tell.\There's any number of possibilities.\Oh, but you don't have to worry about our brave knight here.\She doesn't even know how to make a phone call. response:	Really? Wow, you're so smart!
context: Shut up.\The problem is when the attack occurred.\Either they were watching Alvarez or there was a leak.\No way to tell.\There's any number of possibilities.\Oh, but you don't have to worry about our brave knight here.\She doesn't even know how to make a phone call.\Really? Wow, you're so smart! response:	Sorry.
context: The problem is when the attack occurred.\Either they were watching Alvarez or there was a leak.\No way to tell.\There's any number of possibilities.\Oh, but you don't have to worry about our brave knight here.\She doesn't even know how to make a phone call.\Really? Wow, you're so smart!\Sorry. response:	Anyway, so yeah. I'll be keeping my reports to a minimum.
context: Either they were watching Alvarez or there was a leak.\No way to tell.\There's any number of possibilities.\Oh, but you don't have to worry about our brave knight here.\She doesn't even know how to make a phone call.\Really? Wow, you're so smart!\Sorry.\Anyway, so yeah. I'll be keeping my reports to a minimum. response:	Sounds good. Be careful.
context: No way to tell.\There's any number of possibilities.\Oh, but you don't have to worry about our brave knight here.\She doesn't even know how to make a phone call.\Really? Wow, you're so smart!\Sorry.\Anyway, so yeah. I'll be keeping my reports to a minimum.\Sounds good. Be careful. response:	Roger.
context: There's any number of possibilities.\Oh, but you don't have to worry about our brave knight here.\She doesn't even know how to make a phone call.\Really? Wow, you're so smart!\Sorry.\Anyway, so yeah. I'll be keeping my reports to a minimum.\Sounds good. Be careful.\Roger. response:	What do we do now?
context: Oh, but you don't have to worry about our brave knight here.\She doesn't even know how to make a phone call.\Really? Wow, you're so smart!\Sorry.\Anyway, so yeah. I'll be keeping my reports to a minimum.\Sounds good. Be careful.\Roger.\What do we do now? response:	We do this the boring way. But well, it's late. We'll start tomorrow.
context: She doesn't even know how to make a phone call.\Really? Wow, you're so smart!\Sorry.\Anyway, so yeah. I'll be keeping my reports to a minimum.\Sounds good. Be careful.\Roger.\What do we do now?\We do this the boring way. But well, it's late. We'll start tomorrow. response:	I see.
context: Really? Wow, you're so smart!\Sorry.\Anyway, so yeah. I'll be keeping my reports to a minimum.\Sounds good. Be careful.\Roger.\What do we do now?\We do this the boring way. But well, it's late. We'll start tomorrow.\I see. response:	Where are you staying? I'll take you there.
context: Sorry.\Anyway, so yeah. I'll be keeping my reports to a minimum.\Sounds good. Be careful.\Roger.\What do we do now?\We do this the boring way. But well, it's late. We'll start tomorrow.\I see.\Where are you staying? I'll take you there. response:	This is my phone number.
context: Anyway, so yeah. I'll be keeping my reports to a minimum.\Sounds good. Be careful.\Roger.\What do we do now?\We do this the boring way. But well, it's late. We'll start tomorrow.\I see.\Where are you staying? I'll take you there.\This is my phone number. response:	I don't want any trouble, so just go straight to your room and go to sleep.
context: Sounds good. Be careful.\Roger.\What do we do now?\We do this the boring way. But well, it's late. We'll start tomorrow.\I see.\Where are you staying? I'll take you there.\This is my phone number.\I don't want any trouble, so just go straight to your room and go to sleep. response:	Don't worry. I'm not a child.
context: Roger.\What do we do now?\We do this the boring way. But well, it's late. We'll start tomorrow.\I see.\Where are you staying? I'll take you there.\This is my phone number.\I don't want any trouble, so just go straight to your room and go to sleep.\Don't worry. I'm not a child. response:	You look like one. That's why I'm worried.
context: What do we do now?\We do this the boring way. But well, it's late. We'll start tomorrow.\I see.\Where are you staying? I'll take you there.\This is my phone number.\I don't want any trouble, so just go straight to your room and go to sleep.\Don't worry. I'm not a child.\You look like one. That's why I'm worried. response:	I'm 26, you know!
context: We do this the boring way. But well, it's late. We'll start tomorrow.\I see.\Where are you staying? I'll take you there.\This is my phone number.\I don't want any trouble, so just go straight to your room and go to sleep.\Don't worry. I'm not a child.\You look like one. That's why I'm worried.\I'm 26, you know! response:	That's 18 in Earth years. Bye.
context: I see.\Where are you staying? I'll take you there.\This is my phone number.\I don't want any trouble, so just go straight to your room and go to sleep.\Don't worry. I'm not a child.\You look like one. That's why I'm worried.\I'm 26, you know!\That's 18 in Earth years. Bye. response:	Wait!
context: Where are you staying? I'll take you there.\This is my phone number.\I don't want any trouble, so just go straight to your room and go to sleep.\Don't worry. I'm not a child.\You look like one. That's why I'm worried.\I'm 26, you know!\That's 18 in Earth years. Bye.\Wait! response:	It's so damn cold tonight...
context: This is my phone number.\I don't want any trouble, so just go straight to your room and go to sleep.\Don't worry. I'm not a child.\You look like one. That's why I'm worried.\I'm 26, you know!\That's 18 in Earth years. Bye.\Wait!\It's so damn cold tonight... response:	Hello?
context: I don't want any trouble, so just go straight to your room and go to sleep.\Don't worry. I'm not a child.\You look like one. That's why I'm worried.\I'm 26, you know!\That's 18 in Earth years. Bye.\Wait!\It's so damn cold tonight...\Hello? response:	I got kicked out of the hotel.
context: Don't worry. I'm not a child.\You look like one. That's why I'm worried.\I'm 26, you know!\That's 18 in Earth years. Bye.\Wait!\It's so damn cold tonight...\Hello?\I got kicked out of the hotel. response:	They say you can't bring weapons into the hotel.
context: You look like one. That's why I'm worried.\I'm 26, you know!\That's 18 in Earth years. Bye.\Wait!\It's so damn cold tonight...\Hello?\I got kicked out of the hotel.\They say you can't bring weapons into the hotel. response:	They demanded to hold on to my sword.
context: I'm 26, you know!\That's 18 in Earth years. Bye.\Wait!\It's so damn cold tonight...\Hello?\I got kicked out of the hotel.\They say you can't bring weapons into the hotel.\They demanded to hold on to my sword. response:	Then let them hold on to it.
context: That's 18 in Earth years. Bye.\Wait!\It's so damn cold tonight...\Hello?\I got kicked out of the hotel.\They say you can't bring weapons into the hotel.\They demanded to hold on to my sword.\Then let them hold on to it. response:	I can't do that!
context: Wait!\It's so damn cold tonight...\Hello?\I got kicked out of the hotel.\They say you can't bring weapons into the hotel.\They demanded to hold on to my sword.\Then let them hold on to it.\I can't do that! response:	To a knight, a sword is every bit as valuable as their life!
context: It's so damn cold tonight...\Hello?\I got kicked out of the hotel.\They say you can't bring weapons into the hotel.\They demanded to hold on to my sword.\Then let them hold on to it.\I can't do that!\To a knight, a sword is every bit as valuable as their life! response:	Then sleep on the ground somewhere. Not my problem.
context: Hello?\I got kicked out of the hotel.\They say you can't bring weapons into the hotel.\They demanded to hold on to my sword.\Then let them hold on to it.\I can't do that!\To a knight, a sword is every bit as valuable as their life!\Then sleep on the ground somewhere. Not my problem. response:	Wai-
context: I got kicked out of the hotel.\They say you can't bring weapons into the hotel.\They demanded to hold on to my sword.\Then let them hold on to it.\I can't do that!\To a knight, a sword is every bit as valuable as their life!\Then sleep on the ground somewhere. Not my problem.\Wai- response:	Damn it all!
context: They say you can't bring weapons into the hotel.\They demanded to hold on to my sword.\Then let them hold on to it.\I can't do that!\To a knight, a sword is every bit as valuable as their life!\Then sleep on the ground somewhere. Not my problem.\Wai-\Damn it all! response:	The sleeping quarters at the police station are always full.
context: They demanded to hold on to my sword.\Then let them hold on to it.\I can't do that!\To a knight, a sword is every bit as valuable as their life!\Then sleep on the ground somewhere. Not my problem.\Wai-\Damn it all!\The sleeping quarters at the police station are always full. response:	And a lot of people there don't like Semanians.
context: Then let them hold on to it.\I can't do that!\To a knight, a sword is every bit as valuable as their life!\Then sleep on the ground somewhere. Not my problem.\Wai-\Damn it all!\The sleeping quarters at the police station are always full.\And a lot of people there don't like Semanians. response:	Sleep at my place.
context: I can't do that!\To a knight, a sword is every bit as valuable as their life!\Then sleep on the ground somewhere. Not my problem.\Wai-\Damn it all!\The sleeping quarters at the police station are always full.\And a lot of people there don't like Semanians.\Sleep at my place. response:	At your place?
context: To a knight, a sword is every bit as valuable as their life!\Then sleep on the ground somewhere. Not my problem.\Wai-\Damn it all!\The sleeping quarters at the police station are always full.\And a lot of people there don't like Semanians.\Sleep at my place.\At your place? response:	Don't worry. I'm not going to do anything.
context: Then sleep on the ground somewhere. Not my problem.\Wai-\Damn it all!\The sleeping quarters at the police station are always full.\And a lot of people there don't like Semanians.\Sleep at my place.\At your place?\Don't worry. I'm not going to do anything. response:	Of course not.
context: Wai-\Damn it all!\The sleeping quarters at the police station are always full.\And a lot of people there don't like Semanians.\Sleep at my place.\At your place?\Don't worry. I'm not going to do anything.\Of course not. response:	But I don't want any rumors or scandal or things that could hurt my honor...
context: Damn it all!\The sleeping quarters at the police station are always full.\And a lot of people there don't like Semanians.\Sleep at my place.\At your place?\Don't worry. I'm not going to do anything.\Of course not.\But I don't want any rumors or scandal or things that could hurt my honor... response:	Then just don't tell anybody! Shut up, already.
context: The sleeping quarters at the police station are always full.\And a lot of people there don't like Semanians.\Sleep at my place.\At your place?\Don't worry. I'm not going to do anything.\Of course not.\But I don't want any rumors or scandal or things that could hurt my honor...\Then just don't tell anybody! Shut up, already. response:	Come in. You can get your stuff later.
context: And a lot of people there don't like Semanians.\Sleep at my place.\At your place?\Don't worry. I'm not going to do anything.\Of course not.\But I don't want any rumors or scandal or things that could hurt my honor...\Then just don't tell anybody! Shut up, already.\Come in. You can get your stuff later. response:	Why are you putting that on?
context: Sleep at my place.\At your place?\Don't worry. I'm not going to do anything.\Of course not.\But I don't want any rumors or scandal or things that could hurt my honor...\Then just don't tell anybody! Shut up, already.\Come in. You can get your stuff later.\Why are you putting that on? response:	I have a cat allergy.
context: At your place?\Don't worry. I'm not going to do anything.\Of course not.\But I don't want any rumors or scandal or things that could hurt my honor...\Then just don't tell anybody! Shut up, already.\Come in. You can get your stuff later.\Why are you putting that on?\I have a cat allergy. response:	Kae!
context: Don't worry. I'm not going to do anything.\Of course not.\But I don't want any rumors or scandal or things that could hurt my honor...\Then just don't tell anybody! Shut up, already.\Come in. You can get your stuff later.\Why are you putting that on?\I have a cat allergy.\Kae! response:	Kei?
context: Of course not.\But I don't want any rumors or scandal or things that could hurt my honor...\Then just don't tell anybody! Shut up, already.\Come in. You can get your stuff later.\Why are you putting that on?\I have a cat allergy.\Kae!\Kei? response:	Oh, I meant the cat.
context: But I don't want any rumors or scandal or things that could hurt my honor...\Then just don't tell anybody! Shut up, already.\Come in. You can get your stuff later.\Why are you putting that on?\I have a cat allergy.\Kae!\Kei?\Oh, I meant the cat. response:	It's the word for it in my language.
context: Then just don't tell anybody! Shut up, already.\Come in. You can get your stuff later.\Why are you putting that on?\I have a cat allergy.\Kae!\Kei?\Oh, I meant the cat.\It's the word for it in my language. response:	I thought you were talking about me.
context: Come in. You can get your stuff later.\Why are you putting that on?\I have a cat allergy.\Kae!\Kei?\Oh, I meant the cat.\It's the word for it in my language.\I thought you were talking about me. response:	What's the name of that kae-no, cat?
context: Why are you putting that on?\I have a cat allergy.\Kae!\Kei?\Oh, I meant the cat.\It's the word for it in my language.\I thought you were talking about me.\What's the name of that kae-no, cat? response:	Kuroi.
context: I have a cat allergy.\Kae!\Kei?\Oh, I meant the cat.\It's the word for it in my language.\I thought you were talking about me.\What's the name of that kae-no, cat?\Kuroi. response:	What's an allergy?
context: Kae!\Kei?\Oh, I meant the cat.\It's the word for it in my language.\I thought you were talking about me.\What's the name of that kae-no, cat?\Kuroi.\What's an allergy? response:	I have trouble breathing when I'm around him.
context: Kei?\Oh, I meant the cat.\It's the word for it in my language.\I thought you were talking about me.\What's the name of that kae-no, cat?\Kuroi.\What's an allergy?\I have trouble breathing when I'm around him. response:	It's a genetic thing.
context: Oh, I meant the cat.\It's the word for it in my language.\I thought you were talking about me.\What's the name of that kae-no, cat?\Kuroi.\What's an allergy?\I have trouble breathing when I'm around him.\It's a genetic thing. response:	Then why are you keeping a cat?
context: It's the word for it in my language.\I thought you were talking about me.\What's the name of that kae-no, cat?\Kuroi.\What's an allergy?\I have trouble breathing when I'm around him.\It's a genetic thing.\Then why are you keeping a cat? response:	You're full of questions, aren't you? Give me a break.
context: I thought you were talking about me.\What's the name of that kae-no, cat?\Kuroi.\What's an allergy?\I have trouble breathing when I'm around him.\It's a genetic thing.\Then why are you keeping a cat?\You're full of questions, aren't you? Give me a break. response:	About three months ago, I think it was,
context: What's the name of that kae-no, cat?\Kuroi.\What's an allergy?\I have trouble breathing when I'm around him.\It's a genetic thing.\Then why are you keeping a cat?\You're full of questions, aren't you? Give me a break.\About three months ago, I think it was, response:	a drug dealer that I was chasing hit her when she was a stray.
context: Kuroi.\What's an allergy?\I have trouble breathing when I'm around him.\It's a genetic thing.\Then why are you keeping a cat?\You're full of questions, aren't you? Give me a break.\About three months ago, I think it was,\a drug dealer that I was chasing hit her when she was a stray. response:	And?
context: What's an allergy?\I have trouble breathing when I'm around him.\It's a genetic thing.\Then why are you keeping a cat?\You're full of questions, aren't you? Give me a break.\About three months ago, I think it was,\a drug dealer that I was chasing hit her when she was a stray.\And? response:	I caught the guy, and she survived.
context: I have trouble breathing when I'm around him.\It's a genetic thing.\Then why are you keeping a cat?\You're full of questions, aren't you? Give me a break.\About three months ago, I think it was,\a drug dealer that I was chasing hit her when she was a stray.\And?\I caught the guy, and she survived. response:	But nobody else in the department wanted her.
context: It's a genetic thing.\Then why are you keeping a cat?\You're full of questions, aren't you? Give me a break.\About three months ago, I think it was,\a drug dealer that I was chasing hit her when she was a stray.\And?\I caught the guy, and she survived.\But nobody else in the department wanted her. response:	So I'm keeping her temporarily.
context: Then why are you keeping a cat?\You're full of questions, aren't you? Give me a break.\About three months ago, I think it was,\a drug dealer that I was chasing hit her when she was a stray.\And?\I caught the guy, and she survived.\But nobody else in the department wanted her.\So I'm keeping her temporarily. response:	Even though you've got a cat allergy?
context: You're full of questions, aren't you? Give me a break.\About three months ago, I think it was,\a drug dealer that I was chasing hit her when she was a stray.\And?\I caught the guy, and she survived.\But nobody else in the department wanted her.\So I'm keeping her temporarily.\Even though you've got a cat allergy? response:	What else can I do? It was partially my fault.
context: About three months ago, I think it was,\a drug dealer that I was chasing hit her when she was a stray.\And?\I caught the guy, and she survived.\But nobody else in the department wanted her.\So I'm keeping her temporarily.\Even though you've got a cat allergy?\What else can I do? It was partially my fault. response:	I'm looking for someone to take her, but with no luck.
context: a drug dealer that I was chasing hit her when she was a stray.\And?\I caught the guy, and she survived.\But nobody else in the department wanted her.\So I'm keeping her temporarily.\Even though you've got a cat allergy?\What else can I do? It was partially my fault.\I'm looking for someone to take her, but with no luck. response:	What?
context: And?\I caught the guy, and she survived.\But nobody else in the department wanted her.\So I'm keeping her temporarily.\Even though you've got a cat allergy?\What else can I do? It was partially my fault.\I'm looking for someone to take her, but with no luck.\What? response:	No...
context: I caught the guy, and she survived.\But nobody else in the department wanted her.\So I'm keeping her temporarily.\Even though you've got a cat allergy?\What else can I do? It was partially my fault.\I'm looking for someone to take her, but with no luck.\What?\No... response:	Is it that funny?
context: But nobody else in the department wanted her.\So I'm keeping her temporarily.\Even though you've got a cat allergy?\What else can I do? It was partially my fault.\I'm looking for someone to take her, but with no luck.\What?\No...\Is it that funny? response:	I'm sorry, Kei, but this is...
context: So I'm keeping her temporarily.\Even though you've got a cat allergy?\What else can I do? It was partially my fault.\I'm looking for someone to take her, but with no luck.\What?\No...\Is it that funny?\I'm sorry, Kei, but this is... response:	You're a good kitty, Kuroi.
context: Even though you've got a cat allergy?\What else can I do? It was partially my fault.\I'm looking for someone to take her, but with no luck.\What?\No...\Is it that funny?\I'm sorry, Kei, but this is...\You're a good kitty, Kuroi. response:	Kae Imatoeba, you're more of a softie than you look.
context: What else can I do? It was partially my fault.\I'm looking for someone to take her, but with no luck.\What?\No...\Is it that funny?\I'm sorry, Kei, but this is...\You're a good kitty, Kuroi.\Kae Imatoeba, you're more of a softie than you look. response:	That's not it.
context: I'm looking for someone to take her, but with no luck.\What?\No...\Is it that funny?\I'm sorry, Kei, but this is...\You're a good kitty, Kuroi.\Kae Imatoeba, you're more of a softie than you look.\That's not it. response:	If I threw an injured cat out in the cold, I'd have trouble sleeping at night.
context: What?\No...\Is it that funny?\I'm sorry, Kei, but this is...\You're a good kitty, Kuroi.\Kae Imatoeba, you're more of a softie than you look.\That's not it.\If I threw an injured cat out in the cold, I'd have trouble sleeping at night. response:	I'm just doing it for myself in the end.
context: No...\Is it that funny?\I'm sorry, Kei, but this is...\You're a good kitty, Kuroi.\Kae Imatoeba, you're more of a softie than you look.\That's not it.\If I threw an injured cat out in the cold, I'd have trouble sleeping at night.\I'm just doing it for myself in the end. response:	So I'm the same as the cat, huh?
context: Is it that funny?\I'm sorry, Kei, but this is...\You're a good kitty, Kuroi.\Kae Imatoeba, you're more of a softie than you look.\That's not it.\If I threw an injured cat out in the cold, I'd have trouble sleeping at night.\I'm just doing it for myself in the end.\So I'm the same as the cat, huh? response:	If you don't like it, back to the park with you.
context: I'm sorry, Kei, but this is...\You're a good kitty, Kuroi.\Kae Imatoeba, you're more of a softie than you look.\That's not it.\If I threw an injured cat out in the cold, I'd have trouble sleeping at night.\I'm just doing it for myself in the end.\So I'm the same as the cat, huh?\If you don't like it, back to the park with you. response:	No, I'll stay here. I like it.
context: You're a good kitty, Kuroi.\Kae Imatoeba, you're more of a softie than you look.\That's not it.\If I threw an injured cat out in the cold, I'd have trouble sleeping at night.\I'm just doing it for myself in the end.\So I'm the same as the cat, huh?\If you don't like it, back to the park with you.\No, I'll stay here. I like it. response:	My place?
context: Kae Imatoeba, you're more of a softie than you look.\That's not it.\If I threw an injured cat out in the cold, I'd have trouble sleeping at night.\I'm just doing it for myself in the end.\So I'm the same as the cat, huh?\If you don't like it, back to the park with you.\No, I'll stay here. I like it.\My place? response:	No, this kae.
context: That's not it.\If I threw an injured cat out in the cold, I'd have trouble sleeping at night.\I'm just doing it for myself in the end.\So I'm the same as the cat, huh?\If you don't like it, back to the park with you.\No, I'll stay here. I like it.\My place?\No, this kae. response:	Not you, I mean.
context: If I threw an injured cat out in the cold, I'd have trouble sleeping at night.\I'm just doing it for myself in the end.\So I'm the same as the cat, huh?\If you don't like it, back to the park with you.\No, I'll stay here. I like it.\My place?\No, this kae.\Not you, I mean. response:	Okay, find a place to sleep.
context: I'm just doing it for myself in the end.\So I'm the same as the cat, huh?\If you don't like it, back to the park with you.\No, I'll stay here. I like it.\My place?\No, this kae.\Not you, I mean.\Okay, find a place to sleep. response:	Don't let Kuroi in the bedroom.
context: So I'm the same as the cat, huh?\If you don't like it, back to the park with you.\No, I'll stay here. I like it.\My place?\No, this kae.\Not you, I mean.\Okay, find a place to sleep.\Don't let Kuroi in the bedroom. response:	Kei Matoba.
context: If you don't like it, back to the park with you.\No, I'll stay here. I like it.\My place?\No, this kae.\Not you, I mean.\Okay, find a place to sleep.\Don't let Kuroi in the bedroom.\Kei Matoba. response:	I actually was feeling a bit lonely.
context: No, I'll stay here. I like it.\My place?\No, this kae.\Not you, I mean.\Okay, find a place to sleep.\Don't let Kuroi in the bedroom.\Kei Matoba.\I actually was feeling a bit lonely. response:	Thank you.
context: My place?\No, this kae.\Not you, I mean.\Okay, find a place to sleep.\Don't let Kuroi in the bedroom.\Kei Matoba.\I actually was feeling a bit lonely.\Thank you. response:	Um, Good night is...
context: No, this kae.\Not you, I mean.\Okay, find a place to sleep.\Don't let Kuroi in the bedroom.\Kei Matoba.\I actually was feeling a bit lonely.\Thank you.\Um, Good night is... response:	Good night.
context: Not you, I mean.\Okay, find a place to sleep.\Don't let Kuroi in the bedroom.\Kei Matoba.\I actually was feeling a bit lonely.\Thank you.\Um, Good night is...\Good night. response:	That's right.
context: Okay, find a place to sleep.\Don't let Kuroi in the bedroom.\Kei Matoba.\I actually was feeling a bit lonely.\Thank you.\Um, Good night is...\Good night.\That's right. response:	Good night.
context: Don't let Kuroi in the bedroom.\Kei Matoba.\I actually was feeling a bit lonely.\Thank you.\Um, Good night is...\Good night.\That's right.\Good night. response:	She was making fun of my name
context: Kei Matoba.\I actually was feeling a bit lonely.\Thank you.\Um, Good night is...\Good night.\That's right.\Good night.\She was making fun of my name response:	the whole time?
context: I actually was feeling a bit lonely.\Thank you.\Um, Good night is...\Good night.\That's right.\Good night.\She was making fun of my name\the whole time? response:	Did I keep you waiting, Mr. Kareem?
context: Thank you.\Um, Good night is...\Good night.\That's right.\Good night.\She was making fun of my name\the whole time?\Did I keep you waiting, Mr. Kareem? response:	Let's not waste time, Mr. Elbaji.
context: Um, Good night is...\Good night.\That's right.\Good night.\She was making fun of my name\the whole time?\Did I keep you waiting, Mr. Kareem?\Let's not waste time, Mr. Elbaji. response:	Let's do the deal.
context: Good night.\That's right.\Good night.\She was making fun of my name\the whole time?\Did I keep you waiting, Mr. Kareem?\Let's not waste time, Mr. Elbaji.\Let's do the deal. response:	Okay, Mr. Terrorist.
context: That's right.\Good night.\She was making fun of my name\the whole time?\Did I keep you waiting, Mr. Kareem?\Let's not waste time, Mr. Elbaji.\Let's do the deal.\Okay, Mr. Terrorist. response:	Cash payment is great, huh?
context: Good night.\She was making fun of my name\the whole time?\Did I keep you waiting, Mr. Kareem?\Let's not waste time, Mr. Elbaji.\Let's do the deal.\Okay, Mr. Terrorist.\Cash payment is great, huh? response:	Pay us the rest when you get the goods.
context: She was making fun of my name\the whole time?\Did I keep you waiting, Mr. Kareem?\Let's not waste time, Mr. Elbaji.\Let's do the deal.\Okay, Mr. Terrorist.\Cash payment is great, huh?\Pay us the rest when you get the goods. response:	You seem to be doing well.
context: the whole time?\Did I keep you waiting, Mr. Kareem?\Let's not waste time, Mr. Elbaji.\Let's do the deal.\Okay, Mr. Terrorist.\Cash payment is great, huh?\Pay us the rest when you get the goods.\You seem to be doing well. response:	Yeah, I guess.
context: Did I keep you waiting, Mr. Kareem?\Let's not waste time, Mr. Elbaji.\Let's do the deal.\Okay, Mr. Terrorist.\Cash payment is great, huh?\Pay us the rest when you get the goods.\You seem to be doing well.\Yeah, I guess. response:	Thanks to those poor fairies, we can all live the good life.
context: Let's not waste time, Mr. Elbaji.\Let's do the deal.\Okay, Mr. Terrorist.\Cash payment is great, huh?\Pay us the rest when you get the goods.\You seem to be doing well.\Yeah, I guess.\Thanks to those poor fairies, we can all live the good life. response:	That car, for instance. It's 300,000 dollars.
context: Let's do the deal.\Okay, Mr. Terrorist.\Cash payment is great, huh?\Pay us the rest when you get the goods.\You seem to be doing well.\Yeah, I guess.\Thanks to those poor fairies, we can all live the good life.\That car, for instance. It's 300,000 dollars. response:	These sneakers are 3,000 dollars.
context: Okay, Mr. Terrorist.\Cash payment is great, huh?\Pay us the rest when you get the goods.\You seem to be doing well.\Yeah, I guess.\Thanks to those poor fairies, we can all live the good life.\That car, for instance. It's 300,000 dollars.\These sneakers are 3,000 dollars. response:	But I can have a good time with a girl for three dollars.
context: Cash payment is great, huh?\Pay us the rest when you get the goods.\You seem to be doing well.\Yeah, I guess.\Thanks to those poor fairies, we can all live the good life.\That car, for instance. It's 300,000 dollars.\These sneakers are 3,000 dollars.\But I can have a good time with a girl for three dollars. response:	You know why that is?
context: Pay us the rest when you get the goods.\You seem to be doing well.\Yeah, I guess.\Thanks to those poor fairies, we can all live the good life.\That car, for instance. It's 300,000 dollars.\These sneakers are 3,000 dollars.\But I can have a good time with a girl for three dollars.\You know why that is? response:	No.
context: You seem to be doing well.\Yeah, I guess.\Thanks to those poor fairies, we can all live the good life.\That car, for instance. It's 300,000 dollars.\These sneakers are 3,000 dollars.\But I can have a good time with a girl for three dollars.\You know why that is?\No. response:	Because I'm hot!
context: Yeah, I guess.\Thanks to those poor fairies, we can all live the good life.\That car, for instance. It's 300,000 dollars.\These sneakers are 3,000 dollars.\But I can have a good time with a girl for three dollars.\You know why that is?\No.\Because I'm hot! response:	Earth girls are all about looks.
context: Thanks to those poor fairies, we can all live the good life.\That car, for instance. It's 300,000 dollars.\These sneakers are 3,000 dollars.\But I can have a good time with a girl for three dollars.\You know why that is?\No.\Because I'm hot!\Earth girls are all about looks. response:	They're easy.
context: That car, for instance. It's 300,000 dollars.\These sneakers are 3,000 dollars.\But I can have a good time with a girl for three dollars.\You know why that is?\No.\Because I'm hot!\Earth girls are all about looks.\They're easy. response:	I'm only interested in the product.
context: These sneakers are 3,000 dollars.\But I can have a good time with a girl for three dollars.\You know why that is?\No.\Because I'm hot!\Earth girls are all about looks.\They're easy.\I'm only interested in the product. response:	Oh, sorry. Sorry.
context: But I can have a good time with a girl for three dollars.\You know why that is?\No.\Because I'm hot!\Earth girls are all about looks.\They're easy.\I'm only interested in the product.\Oh, sorry. Sorry. response:	Hey, Zelada!
context: You know why that is?\No.\Because I'm hot!\Earth girls are all about looks.\They're easy.\I'm only interested in the product.\Oh, sorry. Sorry.\Hey, Zelada! response:	You called, my lord?
context: No.\Because I'm hot!\Earth girls are all about looks.\They're easy.\I'm only interested in the product.\Oh, sorry. Sorry.\Hey, Zelada!\You called, my lord? response:	Mr. Kareem, allow me to introduce you to Zelada the Sage.
context: Because I'm hot!\Earth girls are all about looks.\They're easy.\I'm only interested in the product.\Oh, sorry. Sorry.\Hey, Zelada!\You called, my lord?\Mr. Kareem, allow me to introduce you to Zelada the Sage. response:	He's this wizard you were telling me about?
context: Earth girls are all about looks.\They're easy.\I'm only interested in the product.\Oh, sorry. Sorry.\Hey, Zelada!\You called, my lord?\Mr. Kareem, allow me to introduce you to Zelada the Sage.\He's this wizard you were telling me about? response:	That's right. The greatest in the world when it comes to controlling the dead.
context: They're easy.\I'm only interested in the product.\Oh, sorry. Sorry.\Hey, Zelada!\You called, my lord?\Mr. Kareem, allow me to introduce you to Zelada the Sage.\He's this wizard you were telling me about?\That's right. The greatest in the world when it comes to controlling the dead. response:	Your words honor me, sir.
context: I'm only interested in the product.\Oh, sorry. Sorry.\Hey, Zelada!\You called, my lord?\Mr. Kareem, allow me to introduce you to Zelada the Sage.\He's this wizard you were telling me about?\That's right. The greatest in the world when it comes to controlling the dead.\Your words honor me, sir. response:	I simply do what I can for the sake of my master.
context: Oh, sorry. Sorry.\Hey, Zelada!\You called, my lord?\Mr. Kareem, allow me to introduce you to Zelada the Sage.\He's this wizard you were telling me about?\That's right. The greatest in the world when it comes to controlling the dead.\Your words honor me, sir.\I simply do what I can for the sake of my master. response:	He said the dead. Does he mean users of fairy dust?
context: Hey, Zelada!\You called, my lord?\Mr. Kareem, allow me to introduce you to Zelada the Sage.\He's this wizard you were telling me about?\That's right. The greatest in the world when it comes to controlling the dead.\Your words honor me, sir.\I simply do what I can for the sake of my master.\He said the dead. Does he mean users of fairy dust? response:	Indeed.
context: You called, my lord?\Mr. Kareem, allow me to introduce you to Zelada the Sage.\He's this wizard you were telling me about?\That's right. The greatest in the world when it comes to controlling the dead.\Your words honor me, sir.\I simply do what I can for the sake of my master.\He said the dead. Does he mean users of fairy dust?\Indeed. response:	My magics have not the slightest effect on those who are pure of soul.
context: Mr. Kareem, allow me to introduce you to Zelada the Sage.\He's this wizard you were telling me about?\That's right. The greatest in the world when it comes to controlling the dead.\Your words honor me, sir.\I simply do what I can for the sake of my master.\He said the dead. Does he mean users of fairy dust?\Indeed.\My magics have not the slightest effect on those who are pure of soul. response:	And that's where this comes in!
context: He's this wizard you were telling me about?\That's right. The greatest in the world when it comes to controlling the dead.\Your words honor me, sir.\I simply do what I can for the sake of my master.\He said the dead. Does he mean users of fairy dust?\Indeed.\My magics have not the slightest effect on those who are pure of soul.\And that's where this comes in! response:	That's the fairy bomb?
context: That's right. The greatest in the world when it comes to controlling the dead.\Your words honor me, sir.\I simply do what I can for the sake of my master.\He said the dead. Does he mean users of fairy dust?\Indeed.\My magics have not the slightest effect on those who are pure of soul.\And that's where this comes in!\That's the fairy bomb? response:	A prototype, but yeah.
context: Your words honor me, sir.\I simply do what I can for the sake of my master.\He said the dead. Does he mean users of fairy dust?\Indeed.\My magics have not the slightest effect on those who are pure of soul.\And that's where this comes in!\That's the fairy bomb?\A prototype, but yeah. response:	I'm about to test it right now.
