context: Zankoku na tenshi no youni Like an angel without a sense of mercy... response:	Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.
context: That's the code number for cannot be analyzed.\You mean, you don't know what this is?\Correct. We do know the Angel is composed of a type of matter\characterized by both particulate and wave properties, like light.\But you've at least found its power source, haven't you?\Something like that anyway.\But we haven't been able to figure out any of its operating principles.\We've found something completely outside our experience. response:	The world is filled with mysteries.
context: You mean, you don't know what this is?\Correct. We do know the Angel is composed of a type of matter\characterized by both particulate and wave properties, like light.\But you've at least found its power source, haven't you?\Something like that anyway.\But we haven't been able to figure out any of its operating principles.\We've found something completely outside our experience.\The world is filled with mysteries. response:	For example, take a look at this.
context: Correct. We do know the Angel is composed of a type of matter\characterized by both particulate and wave properties, like light.\But you've at least found its power source, haven't you?\Something like that anyway.\But we haven't been able to figure out any of its operating principles.\We've found something completely outside our experience.\The world is filled with mysteries.\For example, take a look at this. response:	This is the Angel's inherent wave pattern.
context: characterized by both particulate and wave properties, like light.\But you've at least found its power source, haven't you?\Something like that anyway.\But we haven't been able to figure out any of its operating principles.\We've found something completely outside our experience.\The world is filled with mysteries.\For example, take a look at this.\This is the Angel's inherent wave pattern. response:	What? Let me see.
context: But you've at least found its power source, haven't you?\Something like that anyway.\But we haven't been able to figure out any of its operating principles.\We've found something completely outside our experience.\The world is filled with mysteries.\For example, take a look at this.\This is the Angel's inherent wave pattern.\What? Let me see. response:	Could this be...
context: Something like that anyway.\But we haven't been able to figure out any of its operating principles.\We've found something completely outside our experience.\The world is filled with mysteries.\For example, take a look at this.\This is the Angel's inherent wave pattern.\What? Let me see.\Could this be... response:	Yes. Although they are composed of a different form of matter,
context: But we haven't been able to figure out any of its operating principles.\We've found something completely outside our experience.\The world is filled with mysteries.\For example, take a look at this.\This is the Angel's inherent wave pattern.\What? Let me see.\Could this be...\Yes. Although they are composed of a different form of matter, response:	their actual composition, in terms of the arrangement
context: We've found something completely outside our experience.\The world is filled with mysteries.\For example, take a look at this.\This is the Angel's inherent wave pattern.\What? Let me see.\Could this be...\Yes. Although they are composed of a different form of matter,\their actual composition, in terms of the arrangement response:	and spacing of the pattern, falls within a 99.89 match of humans.
context: The world is filled with mysteries.\For example, take a look at this.\This is the Angel's inherent wave pattern.\What? Let me see.\Could this be...\Yes. Although they are composed of a different form of matter,\their actual composition, in terms of the arrangement\and spacing of the pattern, falls within a 99.89 match of humans. response:	Unbelievable, 99.89.
context: For example, take a look at this.\This is the Angel's inherent wave pattern.\What? Let me see.\Could this be...\Yes. Although they are composed of a different form of matter,\their actual composition, in terms of the arrangement\and spacing of the pattern, falls within a 99.89 match of humans.\Unbelievable, 99.89. response:	We must acknowledge our limited level of understanding once again.
context: This is the Angel's inherent wave pattern.\What? Let me see.\Could this be...\Yes. Although they are composed of a different form of matter,\their actual composition, in terms of the arrangement\and spacing of the pattern, falls within a 99.89 match of humans.\Unbelievable, 99.89.\We must acknowledge our limited level of understanding once again. response:	Bring it down... slowly... We must acknowledge our limited level of understanding once again.
context: What? Let me see.\Could this be...\Yes. Although they are composed of a different form of matter,\their actual composition, in terms of the arrangement\and spacing of the pattern, falls within a 99.89 match of humans.\Unbelievable, 99.89.\We must acknowledge our limited level of understanding once again.\Bring it down... slowly... We must acknowledge our limited level of understanding once again. response:	Okay! We must acknowledge our limited level of understanding once again.
context: Could this be...\Yes. Although they are composed of a different form of matter,\their actual composition, in terms of the arrangement\and spacing of the pattern, falls within a 99.89 match of humans.\Unbelievable, 99.89.\We must acknowledge our limited level of understanding once again.\Bring it down... slowly... We must acknowledge our limited level of understanding once again.\Okay! We must acknowledge our limited level of understanding once again. response:	Okay!
context: Yes. Although they are composed of a different form of matter,\their actual composition, in terms of the arrangement\and spacing of the pattern, falls within a 99.89 match of humans.\Unbelievable, 99.89.\We must acknowledge our limited level of understanding once again.\Bring it down... slowly... We must acknowledge our limited level of understanding once again.\Okay! We must acknowledge our limited level of understanding once again.\Okay! response:	Keep going. Stop.
context: their actual composition, in terms of the arrangement\and spacing of the pattern, falls within a 99.89 match of humans.\Unbelievable, 99.89.\We must acknowledge our limited level of understanding once again.\Bring it down... slowly... We must acknowledge our limited level of understanding once again.\Okay! We must acknowledge our limited level of understanding once again.\Okay!\Keep going. Stop. response:	This is the core?
context: and spacing of the pattern, falls within a 99.89 match of humans.\Unbelievable, 99.89.\We must acknowledge our limited level of understanding once again.\Bring it down... slowly... We must acknowledge our limited level of understanding once again.\Okay! We must acknowledge our limited level of understanding once again.\Okay!\Keep going. Stop.\This is the core? response:	How's the rest of it?
context: Unbelievable, 99.89.\We must acknowledge our limited level of understanding once again.\Bring it down... slowly... We must acknowledge our limited level of understanding once again.\Okay! We must acknowledge our limited level of understanding once again.\Okay!\Keep going. Stop.\This is the core?\How's the rest of it? response:	It's pretty deteriorated. We can't expect to use it as a reference.
context: We must acknowledge our limited level of understanding once again.\Bring it down... slowly... We must acknowledge our limited level of understanding once again.\Okay! We must acknowledge our limited level of understanding once again.\Okay!\Keep going. Stop.\This is the core?\How's the rest of it?\It's pretty deteriorated. We can't expect to use it as a reference. response:	That's not a problem. Dispose ofthe remnants.
context: Bring it down... slowly... We must acknowledge our limited level of understanding once again.\Okay! We must acknowledge our limited level of understanding once again.\Okay!\Keep going. Stop.\This is the core?\How's the rest of it?\It's pretty deteriorated. We can't expect to use it as a reference.\That's not a problem. Dispose ofthe remnants. response:	Yes, Sir.
context: Okay! We must acknowledge our limited level of understanding once again.\Okay!\Keep going. Stop.\This is the core?\How's the rest of it?\It's pretty deteriorated. We can't expect to use it as a reference.\That's not a problem. Dispose ofthe remnants.\Yes, Sir. response:	What's wrong?
context: Okay!\Keep going. Stop.\This is the core?\How's the rest of it?\It's pretty deteriorated. We can't expect to use it as a reference.\That's not a problem. Dispose ofthe remnants.\Yes, Sir.\What's wrong? response:	Well, nothing's wrong.
context: Keep going. Stop.\This is the core?\How's the rest of it?\It's pretty deteriorated. We can't expect to use it as a reference.\That's not a problem. Dispose ofthe remnants.\Yes, Sir.\What's wrong?\Well, nothing's wrong. response:	Are you aware that when you say nothing that way,
context: This is the core?\How's the rest of it?\It's pretty deteriorated. We can't expect to use it as a reference.\That's not a problem. Dispose ofthe remnants.\Yes, Sir.\What's wrong?\Well, nothing's wrong.\Are you aware that when you say nothing that way, response:	it's the same as asking others to pay attention to you?
context: How's the rest of it?\It's pretty deteriorated. We can't expect to use it as a reference.\That's not a problem. Dispose ofthe remnants.\Yes, Sir.\What's wrong?\Well, nothing's wrong.\Are you aware that when you say nothing that way,\it's the same as asking others to pay attention to you? response:	Well, it's just that my father seems to have burned his hands.
context: It's pretty deteriorated. We can't expect to use it as a reference.\That's not a problem. Dispose ofthe remnants.\Yes, Sir.\What's wrong?\Well, nothing's wrong.\Are you aware that when you say nothing that way,\it's the same as asking others to pay attention to you?\Well, it's just that my father seems to have burned his hands. response:	Burned?
context: That's not a problem. Dispose ofthe remnants.\Yes, Sir.\What's wrong?\Well, nothing's wrong.\Are you aware that when you say nothing that way,\it's the same as asking others to pay attention to you?\Well, it's just that my father seems to have burned his hands.\Burned? response:	I was just wondering how it happened.
context: Yes, Sir.\What's wrong?\Well, nothing's wrong.\Are you aware that when you say nothing that way,\it's the same as asking others to pay attention to you?\Well, it's just that my father seems to have burned his hands.\Burned?\I was just wondering how it happened. response:	Burns? Do you know anything about those burns?
context: What's wrong?\Well, nothing's wrong.\Are you aware that when you say nothing that way,\it's the same as asking others to pay attention to you?\Well, it's just that my father seems to have burned his hands.\Burned?\I was just wondering how it happened.\Burns? Do you know anything about those burns? response:	It was before you arrived at NERV.
context: Well, nothing's wrong.\Are you aware that when you say nothing that way,\it's the same as asking others to pay attention to you?\Well, it's just that my father seems to have burned his hands.\Burned?\I was just wondering how it happened.\Burns? Do you know anything about those burns?\It was before you arrived at NERV. response:	Unit 00 went berserk during the activation experiments.
context: Are you aware that when you say nothing that way,\it's the same as asking others to pay attention to you?\Well, it's just that my father seems to have burned his hands.\Burned?\I was just wondering how it happened.\Burns? Do you know anything about those burns?\It was before you arrived at NERV.\Unit 00 went berserk during the activation experiments. response:	You've heard about that, right?
context: it's the same as asking others to pay attention to you?\Well, it's just that my father seems to have burned his hands.\Burned?\I was just wondering how it happened.\Burns? Do you know anything about those burns?\It was before you arrived at NERV.\Unit 00 went berserk during the activation experiments.\You've heard about that, right? response:	Yes.
context: Well, it's just that my father seems to have burned his hands.\Burned?\I was just wondering how it happened.\Burns? Do you know anything about those burns?\It was before you arrived at NERV.\Unit 00 went berserk during the activation experiments.\You've heard about that, right?\Yes. response:	The pilot was trapped inside.
context: Burned?\I was just wondering how it happened.\Burns? Do you know anything about those burns?\It was before you arrived at NERV.\Unit 00 went berserk during the activation experiments.\You've heard about that, right?\Yes.\The pilot was trapped inside. response:	Ayanami was the pilot, wasn't she?
context: I was just wondering how it happened.\Burns? Do you know anything about those burns?\It was before you arrived at NERV.\Unit 00 went berserk during the activation experiments.\You've heard about that, right?\Yes.\The pilot was trapped inside.\Ayanami was the pilot, wasn't she? response:	It was Commander Ikari who rescued her.
context: Burns? Do you know anything about those burns?\It was before you arrived at NERV.\Unit 00 went berserk during the activation experiments.\You've heard about that, right?\Yes.\The pilot was trapped inside.\Ayanami was the pilot, wasn't she?\It was Commander Ikari who rescued her. response:	He opened the super-heated hatch with his bare hands.
context: It was before you arrived at NERV.\Unit 00 went berserk during the activation experiments.\You've heard about that, right?\Yes.\The pilot was trapped inside.\Ayanami was the pilot, wasn't she?\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands. response:	My father did that?
context: Unit 00 went berserk during the activation experiments.\You've heard about that, right?\Yes.\The pilot was trapped inside.\Ayanami was the pilot, wasn't she?\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\My father did that? response:	That's how he burned his hands.
context: You've heard about that, right?\Yes.\The pilot was trapped inside.\Ayanami was the pilot, wasn't she?\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\My father did that?\That's how he burned his hands. response:	Go, Hideko!
context: Yes.\The pilot was trapped inside.\Ayanami was the pilot, wasn't she?\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\My father did that?\That's how he burned his hands.\Go, Hideko! response:	You lose!
context: The pilot was trapped inside.\Ayanami was the pilot, wasn't she?\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\My father did that?\That's how he burned his hands.\Go, Hideko!\You lose! response:	You've got to treat us to pizza if you lose!
context: Ayanami was the pilot, wasn't she?\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\My father did that?\That's how he burned his hands.\Go, Hideko!\You lose!\You've got to treat us to pizza if you lose! response:	There, go for it!
context: It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\My father did that?\That's how he burned his hands.\Go, Hideko!\You lose!\You've got to treat us to pizza if you lose!\There, go for it! response:	You won't make it!
context: He opened the super-heated hatch with his bare hands.\My father did that?\That's how he burned his hands.\Go, Hideko!\You lose!\You've got to treat us to pizza if you lose!\There, go for it!\You won't make it! response:	Now, let's sink a shot!
context: My father did that?\That's how he burned his hands.\Go, Hideko!\You lose!\You've got to treat us to pizza if you lose!\There, go for it!\You won't make it!\Now, let's sink a shot! response:	Oh my gosh! Those guys are looking at us!
context: That's how he burned his hands.\Go, Hideko!\You lose!\You've got to treat us to pizza if you lose!\There, go for it!\You won't make it!\Now, let's sink a shot!\Oh my gosh! Those guys are looking at us! response:	Perverts! Oh my gosh! Those guys are looking at us!
context: Go, Hideko!\You lose!\You've got to treat us to pizza if you lose!\There, go for it!\You won't make it!\Now, let's sink a shot!\Oh my gosh! Those guys are looking at us!\Perverts! Oh my gosh! Those guys are looking at us! response:	Man, they've all got such incredible breasts.
context: You lose!\You've got to treat us to pizza if you lose!\There, go for it!\You won't make it!\Now, let's sink a shot!\Oh my gosh! Those guys are looking at us!\Perverts! Oh my gosh! Those guys are looking at us!\Man, they've all got such incredible breasts. response:	Suzuhara's ogling us! Gross!
context: You've got to treat us to pizza if you lose!\There, go for it!\You won't make it!\Now, let's sink a shot!\Oh my gosh! Those guys are looking at us!\Perverts! Oh my gosh! Those guys are looking at us!\Man, they've all got such incredible breasts.\Suzuhara's ogling us! Gross! response:	Hi, Shinji! Suzuhara's ogling us! Gross!
context: There, go for it!\You won't make it!\Now, let's sink a shot!\Oh my gosh! Those guys are looking at us!\Perverts! Oh my gosh! Those guys are looking at us!\Man, they've all got such incredible breasts.\Suzuhara's ogling us! Gross!\Hi, Shinji! Suzuhara's ogling us! Gross! response:	Hi, Shinji!
context: You won't make it!\Now, let's sink a shot!\Oh my gosh! Those guys are looking at us!\Perverts! Oh my gosh! Those guys are looking at us!\Man, they've all got such incredible breasts.\Suzuhara's ogling us! Gross!\Hi, Shinji! Suzuhara's ogling us! Gross!\Hi, Shinji! response:	Hey, Big Shot!
context: Now, let's sink a shot!\Oh my gosh! Those guys are looking at us!\Perverts! Oh my gosh! Those guys are looking at us!\Man, they've all got such incredible breasts.\Suzuhara's ogling us! Gross!\Hi, Shinji! Suzuhara's ogling us! Gross!\Hi, Shinji!\Hey, Big Shot! response:	What're you looking at so intently?
context: Oh my gosh! Those guys are looking at us!\Perverts! Oh my gosh! Those guys are looking at us!\Man, they've all got such incredible breasts.\Suzuhara's ogling us! Gross!\Hi, Shinji! Suzuhara's ogling us! Gross!\Hi, Shinji!\Hey, Big Shot!\What're you looking at so intently? response:	Nothing!
context: Perverts! Oh my gosh! Those guys are looking at us!\Man, they've all got such incredible breasts.\Suzuhara's ogling us! Gross!\Hi, Shinji! Suzuhara's ogling us! Gross!\Hi, Shinji!\Hey, Big Shot!\What're you looking at so intently?\Nothing! response:	I think you're looking at Ayanami! Right?
context: Man, they've all got such incredible breasts.\Suzuhara's ogling us! Gross!\Hi, Shinji! Suzuhara's ogling us! Gross!\Hi, Shinji!\Hey, Big Shot!\What're you looking at so intently?\Nothing!\I think you're looking at Ayanami! Right? response:	No!
context: Suzuhara's ogling us! Gross!\Hi, Shinji! Suzuhara's ogling us! Gross!\Hi, Shinji!\Hey, Big Shot!\What're you looking at so intently?\Nothing!\I think you're looking at Ayanami! Right?\No! response:	Oh, come on, dude. Am I stupid?
context: Hi, Shinji! Suzuhara's ogling us! Gross!\Hi, Shinji!\Hey, Big Shot!\What're you looking at so intently?\Nothing!\I think you're looking at Ayanami! Right?\No!\Oh, come on, dude. Am I stupid? response:	Ayanami's boobs...
context: Hi, Shinji!\Hey, Big Shot!\What're you looking at so intently?\Nothing!\I think you're looking at Ayanami! Right?\No!\Oh, come on, dude. Am I stupid?\Ayanami's boobs... response:	Ayanami's thighs...
context: Hey, Big Shot!\What're you looking at so intently?\Nothing!\I think you're looking at Ayanami! Right?\No!\Oh, come on, dude. Am I stupid?\Ayanami's boobs...\Ayanami's thighs... response:	Ayanami's...
context: What're you looking at so intently?\Nothing!\I think you're looking at Ayanami! Right?\No!\Oh, come on, dude. Am I stupid?\Ayanami's boobs...\Ayanami's thighs...\Ayanami's... response:	I told you, it's nothing like that.
context: Nothing!\I think you're looking at Ayanami! Right?\No!\Oh, come on, dude. Am I stupid?\Ayanami's boobs...\Ayanami's thighs...\Ayanami's...\I told you, it's nothing like that. response:	Then, what were you looking at?
context: I think you're looking at Ayanami! Right?\No!\Oh, come on, dude. Am I stupid?\Ayanami's boobs...\Ayanami's thighs...\Ayanami's...\I told you, it's nothing like that.\Then, what were you looking at? response:	You can't fool me.
context: No!\Oh, come on, dude. Am I stupid?\Ayanami's boobs...\Ayanami's thighs...\Ayanami's...\I told you, it's nothing like that.\Then, what were you looking at?\You can't fool me. response:	I was just wondering why she's always alone.
context: Oh, come on, dude. Am I stupid?\Ayanami's boobs...\Ayanami's thighs...\Ayanami's...\I told you, it's nothing like that.\Then, what were you looking at?\You can't fool me.\I was just wondering why she's always alone. response:	Come to think of it,
context: Ayanami's boobs...\Ayanami's thighs...\Ayanami's...\I told you, it's nothing like that.\Then, what were you looking at?\You can't fool me.\I was just wondering why she's always alone.\Come to think of it, response:	she hasn't had any friends since she started here in the 7th grade.
context: Ayanami's thighs...\Ayanami's...\I told you, it's nothing like that.\Then, what were you looking at?\You can't fool me.\I was just wondering why she's always alone.\Come to think of it,\she hasn't had any friends since she started here in the 7th grade. response:	There's just something about her that makes her hard to talk to.
context: Ayanami's...\I told you, it's nothing like that.\Then, what were you looking at?\You can't fool me.\I was just wondering why she's always alone.\Come to think of it,\she hasn't had any friends since she started here in the 7th grade.\There's just something about her that makes her hard to talk to. response:	She's probably just got a lousy personality.
context: I told you, it's nothing like that.\Then, what were you looking at?\You can't fool me.\I was just wondering why she's always alone.\Come to think of it,\she hasn't had any friends since she started here in the 7th grade.\There's just something about her that makes her hard to talk to.\She's probably just got a lousy personality. response:	You're both Eva pilots, right? You should know her better than us.
context: Then, what were you looking at?\You can't fool me.\I was just wondering why she's always alone.\Come to think of it,\she hasn't had any friends since she started here in the 7th grade.\There's just something about her that makes her hard to talk to.\She's probably just got a lousy personality.\You're both Eva pilots, right? You should know her better than us. response:	He's right.
context: You can't fool me.\I was just wondering why she's always alone.\Come to think of it,\she hasn't had any friends since she started here in the 7th grade.\There's just something about her that makes her hard to talk to.\She's probably just got a lousy personality.\You're both Eva pilots, right? You should know her better than us.\He's right. response:	Well, I've hardly spoken to her.
context: I was just wondering why she's always alone.\Come to think of it,\she hasn't had any friends since she started here in the 7th grade.\There's just something about her that makes her hard to talk to.\She's probably just got a lousy personality.\You're both Eva pilots, right? You should know her better than us.\He's right.\Well, I've hardly spoken to her. response:	Eva Unit 01 is now entering the third stage cooling process.
context: Come to think of it,\she hasn't had any friends since she started here in the 7th grade.\There's just something about her that makes her hard to talk to.\She's probably just got a lousy personality.\You're both Eva pilots, right? You should know her better than us.\He's right.\Well, I've hardly spoken to her.\Eva Unit 01 is now entering the third stage cooling process. response:	Lower all systems to Phase 3 in Cage 6.
context: she hasn't had any friends since she started here in the 7th grade.\There's just something about her that makes her hard to talk to.\She's probably just got a lousy personality.\You're both Eva pilots, right? You should know her better than us.\He's right.\Well, I've hardly spoken to her.\Eva Unit 01 is now entering the third stage cooling process.\Lower all systems to Phase 3 in Cage 6. response:	The earlier harmonics and synchronization tests were good.
context: There's just something about her that makes her hard to talk to.\She's probably just got a lousy personality.\You're both Eva pilots, right? You should know her better than us.\He's right.\Well, I've hardly spoken to her.\Eva Unit 01 is now entering the third stage cooling process.\Lower all systems to Phase 3 in Cage 6.\The earlier harmonics and synchronization tests were good. response:	All numerical conditions have been satisfied.
context: She's probably just got a lousy personality.\You're both Eva pilots, right? You should know her better than us.\He's right.\Well, I've hardly spoken to her.\Eva Unit 01 is now entering the third stage cooling process.\Lower all systems to Phase 3 in Cage 6.\The earlier harmonics and synchronization tests were good.\All numerical conditions have been satisfied. response:	Roger. Transmit the results to Balthazar.
context: You're both Eva pilots, right? You should know her better than us.\He's right.\Well, I've hardly spoken to her.\Eva Unit 01 is now entering the third stage cooling process.\Lower all systems to Phase 3 in Cage 6.\The earlier harmonics and synchronization tests were good.\All numerical conditions have been satisfied.\Roger. Transmit the results to Balthazar. response:	Roger.
context: He's right.\Well, I've hardly spoken to her.\Eva Unit 01 is now entering the third stage cooling process.\Lower all systems to Phase 3 in Cage 6.\The earlier harmonics and synchronization tests were good.\All numerical conditions have been satisfied.\Roger. Transmit the results to Balthazar.\Roger. response:	Transmit the full range of the entry plug's personal data to Melchior.
context: Well, I've hardly spoken to her.\Eva Unit 01 is now entering the third stage cooling process.\Lower all systems to Phase 3 in Cage 6.\The earlier harmonics and synchronization tests were good.\All numerical conditions have been satisfied.\Roger. Transmit the results to Balthazar.\Roger.\Transmit the full range of the entry plug's personal data to Melchior. response:	Data transmitting.
context: Eva Unit 01 is now entering the third stage cooling process.\Lower all systems to Phase 3 in Cage 6.\The earlier harmonics and synchronization tests were good.\All numerical conditions have been satisfied.\Roger. Transmit the results to Balthazar.\Roger.\Transmit the full range of the entry plug's personal data to Melchior.\Data transmitting. response:	This is Melchior, roger. Circuits connected.
context: Lower all systems to Phase 3 in Cage 6.\The earlier harmonics and synchronization tests were good.\All numerical conditions have been satisfied.\Roger. Transmit the results to Balthazar.\Roger.\Transmit the full range of the entry plug's personal data to Melchior.\Data transmitting.\This is Melchior, roger. Circuits connected. response:	Initiating third stage cooling process.
context: The earlier harmonics and synchronization tests were good.\All numerical conditions have been satisfied.\Roger. Transmit the results to Balthazar.\Roger.\Transmit the full range of the entry plug's personal data to Melchior.\Data transmitting.\This is Melchior, roger. Circuits connected.\Initiating third stage cooling process. response:	CBL circulation has begun.
context: All numerical conditions have been satisfied.\Roger. Transmit the results to Balthazar.\Roger.\Transmit the full range of the entry plug's personal data to Melchior.\Data transmitting.\This is Melchior, roger. Circuits connected.\Initiating third stage cooling process.\CBL circulation has begun. response:	Vent liquid wastes to the second purification system.
context: Roger. Transmit the results to Balthazar.\Roger.\Transmit the full range of the entry plug's personal data to Melchior.\Data transmitting.\This is Melchior, roger. Circuits connected.\Initiating third stage cooling process.\CBL circulation has begun.\Vent liquid wastes to the second purification system. response:	The protein walls are in good condition. No problems detected.
context: Roger.\Transmit the full range of the entry plug's personal data to Melchior.\Data transmitting.\This is Melchior, roger. Circuits connected.\Initiating third stage cooling process.\CBL circulation has begun.\Vent liquid wastes to the second purification system.\The protein walls are in good condition. No problems detected. response:	T-Minus 1,050 minutes until the Unit 00 re-activation experiment.
context: Transmit the full range of the entry plug's personal data to Melchior.\Data transmitting.\This is Melchior, roger. Circuits connected.\Initiating third stage cooling process.\CBL circulation has begun.\Vent liquid wastes to the second purification system.\The protein walls are in good condition. No problems detected.\T-Minus 1,050 minutes until the Unit 00 re-activation experiment. response:	What is this?!
context: Data transmitting.\This is Melchior, roger. Circuits connected.\Initiating third stage cooling process.\CBL circulation has begun.\Vent liquid wastes to the second purification system.\The protein walls are in good condition. No problems detected.\T-Minus 1,050 minutes until the Unit 00 re-activation experiment.\What is this?! response:	It's curry.
context: This is Melchior, roger. Circuits connected.\Initiating third stage cooling process.\CBL circulation has begun.\Vent liquid wastes to the second purification system.\The protein walls are in good condition. No problems detected.\T-Minus 1,050 minutes until the Unit 00 re-activation experiment.\What is this?!\It's curry. response:	So you're still eating this instant stuff.
context: Initiating third stage cooling process.\CBL circulation has begun.\Vent liquid wastes to the second purification system.\The protein walls are in good condition. No problems detected.\T-Minus 1,050 minutes until the Unit 00 re-activation experiment.\What is this?!\It's curry.\So you're still eating this instant stuff. response:	Look, you're a guest, so you've got no right to complain.
context: CBL circulation has begun.\Vent liquid wastes to the second purification system.\The protein walls are in good condition. No problems detected.\T-Minus 1,050 minutes until the Unit 00 re-activation experiment.\What is this?!\It's curry.\So you're still eating this instant stuff.\Look, you're a guest, so you've got no right to complain. response:	Here, Misato...
context: Vent liquid wastes to the second purification system.\The protein walls are in good condition. No problems detected.\T-Minus 1,050 minutes until the Unit 00 re-activation experiment.\What is this?!\It's curry.\So you're still eating this instant stuff.\Look, you're a guest, so you've got no right to complain.\Here, Misato... response:	Oh, here.
context: The protein walls are in good condition. No problems detected.\T-Minus 1,050 minutes until the Unit 00 re-activation experiment.\What is this?!\It's curry.\So you're still eating this instant stuff.\Look, you're a guest, so you've got no right to complain.\Here, Misato...\Oh, here. response:	Here, put all of that into this!
context: T-Minus 1,050 minutes until the Unit 00 re-activation experiment.\What is this?!\It's curry.\So you're still eating this instant stuff.\Look, you're a guest, so you've got no right to complain.\Here, Misato...\Oh, here.\Here, put all of that into this! response:	Are you serious?
context: What is this?!\It's curry.\So you're still eating this instant stuff.\Look, you're a guest, so you've got no right to complain.\Here, Misato...\Oh, here.\Here, put all of that into this!\Are you serious? response:	Oh, don't you know how good this is?
context: It's curry.\So you're still eating this instant stuff.\Look, you're a guest, so you've got no right to complain.\Here, Misato...\Oh, here.\Here, put all of that into this!\Are you serious?\Oh, don't you know how good this is? response:	Okay...
context: So you're still eating this instant stuff.\Look, you're a guest, so you've got no right to complain.\Here, Misato...\Oh, here.\Here, put all of that into this!\Are you serious?\Oh, don't you know how good this is?\Okay... response:	Ordinary curry flavored instant ramen can't compare to this!
context: Look, you're a guest, so you've got no right to complain.\Here, Misato...\Oh, here.\Here, put all of that into this!\Are you serious?\Oh, don't you know how good this is?\Okay...\Ordinary curry flavored instant ramen can't compare to this! response:	Let's eat!
context: Here, Misato...\Oh, here.\Here, put all of that into this!\Are you serious?\Oh, don't you know how good this is?\Okay...\Ordinary curry flavored instant ramen can't compare to this!\Let's eat! response:	The trick is to put less hot water in the soup.
context: Oh, here.\Here, put all of that into this!\Are you serious?\Oh, don't you know how good this is?\Okay...\Ordinary curry flavored instant ramen can't compare to this!\Let's eat!\The trick is to put less hot water in the soup. response:	Misato cooked this, didn't she?
context: Here, put all of that into this!\Are you serious?\Oh, don't you know how good this is?\Okay...\Ordinary curry flavored instant ramen can't compare to this!\Let's eat!\The trick is to put less hot water in the soup.\Misato cooked this, didn't she? response:	Yes. Misato cooked this, didn't she?
context: Are you serious?\Oh, don't you know how good this is?\Okay...\Ordinary curry flavored instant ramen can't compare to this!\Let's eat!\The trick is to put less hot water in the soup.\Misato cooked this, didn't she?\Yes. Misato cooked this, didn't she? response:	Yes. Oh, can you tell?
context: Oh, don't you know how good this is?\Okay...\Ordinary curry flavored instant ramen can't compare to this!\Let's eat!\The trick is to put less hot water in the soup.\Misato cooked this, didn't she?\Yes. Misato cooked this, didn't she?\Yes. Oh, can you tell? response:	Oh, can you tell?
context: Okay...\Ordinary curry flavored instant ramen can't compare to this!\Let's eat!\The trick is to put less hot water in the soup.\Misato cooked this, didn't she?\Yes. Misato cooked this, didn't she?\Yes. Oh, can you tell?\Oh, can you tell? response:	Yes, by its taste.
context: Ordinary curry flavored instant ramen can't compare to this!\Let's eat!\The trick is to put less hot water in the soup.\Misato cooked this, didn't she?\Yes. Misato cooked this, didn't she?\Yes. Oh, can you tell?\Oh, can you tell?\Yes, by its taste. response:	How can she make something ready-to-eat taste so awful?
context: Let's eat!\The trick is to put less hot water in the soup.\Misato cooked this, didn't she?\Yes. Misato cooked this, didn't she?\Yes. Oh, can you tell?\Oh, can you tell?\Yes, by its taste.\How can she make something ready-to-eat taste so awful? response:	Next time, invite me when it's Shinji's turn to cook.
context: The trick is to put less hot water in the soup.\Misato cooked this, didn't she?\Yes. Misato cooked this, didn't she?\Yes. Oh, can you tell?\Oh, can you tell?\Yes, by its taste.\How can she make something ready-to-eat taste so awful?\Next time, invite me when it's Shinji's turn to cook. response:	Shinji, you really ought to move.
context: Misato cooked this, didn't she?\Yes. Misato cooked this, didn't she?\Yes. Oh, can you tell?\Oh, can you tell?\Yes, by its taste.\How can she make something ready-to-eat taste so awful?\Next time, invite me when it's Shinji's turn to cook.\Shinji, you really ought to move. response:	You shouldn't let one bad roommate ruin your life.
context: Yes. Misato cooked this, didn't she?\Yes. Oh, can you tell?\Oh, can you tell?\Yes, by its taste.\How can she make something ready-to-eat taste so awful?\Next time, invite me when it's Shinji's turn to cook.\Shinji, you really ought to move.\You shouldn't let one bad roommate ruin your life. response:	I'm used to it now.
context: Yes. Oh, can you tell?\Oh, can you tell?\Yes, by its taste.\How can she make something ready-to-eat taste so awful?\Next time, invite me when it's Shinji's turn to cook.\Shinji, you really ought to move.\You shouldn't let one bad roommate ruin your life.\I'm used to it now. response:	He's right, Ritsuko.
context: Oh, can you tell?\Yes, by its taste.\How can she make something ready-to-eat taste so awful?\Next time, invite me when it's Shinji's turn to cook.\Shinji, you really ought to move.\You shouldn't let one bad roommate ruin your life.\I'm used to it now.\He's right, Ritsuko. response:	Never underestimate the ability of the human animal
