context: = LOGO START = response:	= LOGO END =
context: If the pyrite returns to its original value as a rock,\the 500 silver certificate becomes as worthless as garbage.\The person with the certificate at the end loses.\Right.\That's the poison of buying on credit.\Horo?\Horo?\Hurry, Lanto. response:	Another purchase!
context: the 500 silver certificate becomes as worthless as garbage.\The person with the certificate at the end loses.\Right.\That's the poison of buying on credit.\Horo?\Horo?\Hurry, Lanto.\Another purchase! response:	An ore purchase!
context: The person with the certificate at the end loses.\Right.\That's the poison of buying on credit.\Horo?\Horo?\Hurry, Lanto.\Another purchase!\An ore purchase! response:	It's too high.
context: Right.\That's the poison of buying on credit.\Horo?\Horo?\Hurry, Lanto.\Another purchase!\An ore purchase!\It's too high. response:	And there are fewer waiting to buy.
context: That's the poison of buying on credit.\Horo?\Horo?\Hurry, Lanto.\Another purchase!\An ore purchase!\It's too high.\And there are fewer waiting to buy. response:	If I sold all I have now...
context: Horo?\Horo?\Hurry, Lanto.\Another purchase!\An ore purchase!\It's too high.\And there are fewer waiting to buy.\If I sold all I have now... response:	I'm selling!
context: Horo?\Hurry, Lanto.\Another purchase!\An ore purchase!\It's too high.\And there are fewer waiting to buy.\If I sold all I have now...\I'm selling! response:	If I had that 400 silver worth of pyrite from Deanna...
context: Hurry, Lanto.\Another purchase!\An ore purchase!\It's too high.\And there are fewer waiting to buy.\If I sold all I have now...\I'm selling!\If I had that 400 silver worth of pyrite from Deanna... response:	the winds would definitely blow my way.
context: Another purchase!\An ore purchase!\It's too high.\And there are fewer waiting to buy.\If I sold all I have now...\I'm selling!\If I had that 400 silver worth of pyrite from Deanna...\the winds would definitely blow my way. response:	If she came now...
context: An ore purchase!\It's too high.\And there are fewer waiting to buy.\If I sold all I have now...\I'm selling!\If I had that 400 silver worth of pyrite from Deanna...\the winds would definitely blow my way.\If she came now... response:	Mr. Lawrence!
context: It's too high.\And there are fewer waiting to buy.\If I sold all I have now...\I'm selling!\If I had that 400 silver worth of pyrite from Deanna...\the winds would definitely blow my way.\If she came now...\Mr. Lawrence! response:	Sorry for taking so long.
context: And there are fewer waiting to buy.\If I sold all I have now...\I'm selling!\If I had that 400 silver worth of pyrite from Deanna...\the winds would definitely blow my way.\If she came now...\Mr. Lawrence!\Sorry for taking so long. response:	250 silver of it.
context: If I sold all I have now...\I'm selling!\If I had that 400 silver worth of pyrite from Deanna...\the winds would definitely blow my way.\If she came now...\Mr. Lawrence!\Sorry for taking so long.\250 silver of it. response:	Is something wrong?
context: I'm selling!\If I had that 400 silver worth of pyrite from Deanna...\the winds would definitely blow my way.\If she came now...\Mr. Lawrence!\Sorry for taking so long.\250 silver of it.\Is something wrong? response:	Ah, no.
context: If I had that 400 silver worth of pyrite from Deanna...\the winds would definitely blow my way.\If she came now...\Mr. Lawrence!\Sorry for taking so long.\250 silver of it.\Is something wrong?\Ah, no. response:	To be perfectly safe,
context: the winds would definitely blow my way.\If she came now...\Mr. Lawrence!\Sorry for taking so long.\250 silver of it.\Is something wrong?\Ah, no.\To be perfectly safe, response:	I should wait for Deanna's assistant...
context: If she came now...\Mr. Lawrence!\Sorry for taking so long.\250 silver of it.\Is something wrong?\Ah, no.\To be perfectly safe,\I should wait for Deanna's assistant... response:	But...
context: Mr. Lawrence!\Sorry for taking so long.\250 silver of it.\Is something wrong?\Ah, no.\To be perfectly safe,\I should wait for Deanna's assistant...\But... response:	will she come?
context: Sorry for taking so long.\250 silver of it.\Is something wrong?\Ah, no.\To be perfectly safe,\I should wait for Deanna's assistant...\But...\will she come? response:	That assistant.
context: 250 silver of it.\Is something wrong?\Ah, no.\To be perfectly safe,\I should wait for Deanna's assistant...\But...\will she come?\That assistant. response:	That's right.
context: Is something wrong?\Ah, no.\To be perfectly safe,\I should wait for Deanna's assistant...\But...\will she come?\That assistant.\That's right. response:	I'd only just given up on that chance.
context: Ah, no.\To be perfectly safe,\I should wait for Deanna's assistant...\But...\will she come?\That assistant.\That's right.\I'd only just given up on that chance. response:	If I'm going to take this gamble...
context: To be perfectly safe,\I should wait for Deanna's assistant...\But...\will she come?\That assistant.\That's right.\I'd only just given up on that chance.\If I'm going to take this gamble... response:	Now's my only chance!
context: I should wait for Deanna's assistant...\But...\will she come?\That assistant.\That's right.\I'd only just given up on that chance.\If I'm going to take this gamble...\Now's my only chance! response:	What happened?
context: But...\will she come?\That assistant.\That's right.\I'd only just given up on that chance.\If I'm going to take this gamble...\Now's my only chance!\What happened? response:	Someone placed an order.
context: will she come?\That assistant.\That's right.\I'd only just given up on that chance.\If I'm going to take this gamble...\Now's my only chance!\What happened?\Someone placed an order. response:	The winds have changed.
context: That assistant.\That's right.\I'd only just given up on that chance.\If I'm going to take this gamble...\Now's my only chance!\What happened?\Someone placed an order.\The winds have changed. response:	I have no choice but to wait for Deanna's assistant now.
context: That's right.\I'd only just given up on that chance.\If I'm going to take this gamble...\Now's my only chance!\What happened?\Someone placed an order.\The winds have changed.\I have no choice but to wait for Deanna's assistant now. response:	It's Amarty!
context: I'd only just given up on that chance.\If I'm going to take this gamble...\Now's my only chance!\What happened?\Someone placed an order.\The winds have changed.\I have no choice but to wait for Deanna's assistant now.\It's Amarty! response:	Did he discover the poison behind the credit?
context: If I'm going to take this gamble...\Now's my only chance!\What happened?\Someone placed an order.\The winds have changed.\I have no choice but to wait for Deanna's assistant now.\It's Amarty!\Did he discover the poison behind the credit? response:	She'll come.
context: Now's my only chance!\What happened?\Someone placed an order.\The winds have changed.\I have no choice but to wait for Deanna's assistant now.\It's Amarty!\Did he discover the poison behind the credit?\She'll come. response:	I'm sure she'll come.
context: What happened?\Someone placed an order.\The winds have changed.\I have no choice but to wait for Deanna's assistant now.\It's Amarty!\Did he discover the poison behind the credit?\She'll come.\I'm sure she'll come. response:	There's no time, regardless.
context: Someone placed an order.\The winds have changed.\I have no choice but to wait for Deanna's assistant now.\It's Amarty!\Did he discover the poison behind the credit?\She'll come.\I'm sure she'll come.\There's no time, regardless. response:	Please.
context: The winds have changed.\I have no choice but to wait for Deanna's assistant now.\It's Amarty!\Did he discover the poison behind the credit?\She'll come.\I'm sure she'll come.\There's no time, regardless.\Please. response:	Quickly.
context: I have no choice but to wait for Deanna's assistant now.\It's Amarty!\Did he discover the poison behind the credit?\She'll come.\I'm sure she'll come.\There's no time, regardless.\Please.\Quickly. response:	Please.
context: It's Amarty!\Did he discover the poison behind the credit?\She'll come.\I'm sure she'll come.\There's no time, regardless.\Please.\Quickly.\Please. response:	Are you Lawrence?
context: Did he discover the poison behind the credit?\She'll come.\I'm sure she'll come.\There's no time, regardless.\Please.\Quickly.\Please.\Are you Lawrence? response:	You are Lawrence, correct?
context: She'll come.\I'm sure she'll come.\There's no time, regardless.\Please.\Quickly.\Please.\Are you Lawrence?\You are Lawrence, correct? response:	Ah, yes.
context: I'm sure she'll come.\There's no time, regardless.\Please.\Quickly.\Please.\Are you Lawrence?\You are Lawrence, correct?\Ah, yes. response:	I bring a message from Deanna.
context: There's no time, regardless.\Please.\Quickly.\Please.\Are you Lawrence?\You are Lawrence, correct?\Ah, yes.\I bring a message from Deanna. response:	Let's hear it.
context: Please.\Quickly.\Please.\Are you Lawrence?\You are Lawrence, correct?\Ah, yes.\I bring a message from Deanna.\Let's hear it. response:	Negotiations have failed.
context: Quickly.\Please.\Are you Lawrence?\You are Lawrence, correct?\Ah, yes.\I bring a message from Deanna.\Let's hear it.\Negotiations have failed. response:	They weren't willing to sell after all.
context: Please.\Are you Lawrence?\You are Lawrence, correct?\Ah, yes.\I bring a message from Deanna.\Let's hear it.\Negotiations have failed.\They weren't willing to sell after all. response:	That is Deanna's message.
context: Are you Lawrence?\You are Lawrence, correct?\Ah, yes.\I bring a message from Deanna.\Let's hear it.\Negotiations have failed.\They weren't willing to sell after all.\That is Deanna's message. response:	She apologizes for not meeting your expectations.
context: You are Lawrence, correct?\Ah, yes.\I bring a message from Deanna.\Let's hear it.\Negotiations have failed.\They weren't willing to sell after all.\That is Deanna's message.\She apologizes for not meeting your expectations. response:	Excuse me.
context: Ah, yes.\I bring a message from Deanna.\Let's hear it.\Negotiations have failed.\They weren't willing to sell after all.\That is Deanna's message.\She apologizes for not meeting your expectations.\Excuse me. response:	I've been looking for you, Horo.
context: I bring a message from Deanna.\Let's hear it.\Negotiations have failed.\They weren't willing to sell after all.\That is Deanna's message.\She apologizes for not meeting your expectations.\Excuse me.\I've been looking for you, Horo. response:	Lawrence.
context: Let's hear it.\Negotiations have failed.\They weren't willing to sell after all.\That is Deanna's message.\She apologizes for not meeting your expectations.\Excuse me.\I've been looking for you, Horo.\Lawrence. response:	Lawrence!
context: Negotiations have failed.\They weren't willing to sell after all.\That is Deanna's message.\She apologizes for not meeting your expectations.\Excuse me.\I've been looking for you, Horo.\Lawrence.\Lawrence! response:	Lawrence!!
context: They weren't willing to sell after all.\That is Deanna's message.\She apologizes for not meeting your expectations.\Excuse me.\I've been looking for you, Horo.\Lawrence.\Lawrence!\Lawrence!! response:	Oh, sorry.
context: That is Deanna's message.\She apologizes for not meeting your expectations.\Excuse me.\I've been looking for you, Horo.\Lawrence.\Lawrence!\Lawrence!!\Oh, sorry. response:	Sorry about today.
context: She apologizes for not meeting your expectations.\Excuse me.\I've been looking for you, Horo.\Lawrence.\Lawrence!\Lawrence!!\Oh, sorry.\Sorry about today. response:	I put you through a lot of hassle.
context: Excuse me.\I've been looking for you, Horo.\Lawrence.\Lawrence!\Lawrence!!\Oh, sorry.\Sorry about today.\I put you through a lot of hassle. response:	Could you pass this onto Mark?
context: I've been looking for you, Horo.\Lawrence.\Lawrence!\Lawrence!!\Oh, sorry.\Sorry about today.\I put you through a lot of hassle.\Could you pass this onto Mark? response:	Tell him the plan failed.
context: Lawrence.\Lawrence!\Lawrence!!\Oh, sorry.\Sorry about today.\I put you through a lot of hassle.\Could you pass this onto Mark?\Tell him the plan failed. response:	But, well...
context: Lawrence!\Lawrence!!\Oh, sorry.\Sorry about today.\I put you through a lot of hassle.\Could you pass this onto Mark?\Tell him the plan failed.\But, well... response:	I do get 1000 silver coins from Amarty.
context: Lawrence!!\Oh, sorry.\Sorry about today.\I put you through a lot of hassle.\Could you pass this onto Mark?\Tell him the plan failed.\But, well...\I do get 1000 silver coins from Amarty. response:	As a merchant I should be delighted.
context: Oh, sorry.\Sorry about today.\I put you through a lot of hassle.\Could you pass this onto Mark?\Tell him the plan failed.\But, well...\I do get 1000 silver coins from Amarty.\As a merchant I should be delighted. response:	Now here's your share.
context: Sorry about today.\I put you through a lot of hassle.\Could you pass this onto Mark?\Tell him the plan failed.\But, well...\I do get 1000 silver coins from Amarty.\As a merchant I should be delighted.\Now here's your share. response:	Lawrence!!!
context: I put you through a lot of hassle.\Could you pass this onto Mark?\Tell him the plan failed.\But, well...\I do get 1000 silver coins from Amarty.\As a merchant I should be delighted.\Now here's your share.\Lawrence!!! response:	Are you giving up?!
context: Could you pass this onto Mark?\Tell him the plan failed.\But, well...\I do get 1000 silver coins from Amarty.\As a merchant I should be delighted.\Now here's your share.\Lawrence!!!\Are you giving up?! response:	The master always tells me that merchants should never give up easily!
context: Tell him the plan failed.\But, well...\I do get 1000 silver coins from Amarty.\As a merchant I should be delighted.\Now here's your share.\Lawrence!!!\Are you giving up?!\The master always tells me that merchants should never give up easily! response:	The god of wealth doesn't come to those who pray,
context: But, well...\I do get 1000 silver coins from Amarty.\As a merchant I should be delighted.\Now here's your share.\Lawrence!!!\Are you giving up?!\The master always tells me that merchants should never give up easily!\The god of wealth doesn't come to those who pray, response:	but to those who don't know when to give up!
context: I do get 1000 silver coins from Amarty.\As a merchant I should be delighted.\Now here's your share.\Lawrence!!!\Are you giving up?!\The master always tells me that merchants should never give up easily!\The god of wealth doesn't come to those who pray,\but to those who don't know when to give up! response:	I was told if I said this to you,
context: As a merchant I should be delighted.\Now here's your share.\Lawrence!!!\Are you giving up?!\The master always tells me that merchants should never give up easily!\The god of wealth doesn't come to those who pray,\but to those who don't know when to give up!\I was told if I said this to you, response:	I'd be beaten to the ground.
context: Now here's your share.\Lawrence!!!\Are you giving up?!\The master always tells me that merchants should never give up easily!\The god of wealth doesn't come to those who pray,\but to those who don't know when to give up!\I was told if I said this to you,\I'd be beaten to the ground. response:	But I'll say it!
context: Lawrence!!!\Are you giving up?!\The master always tells me that merchants should never give up easily!\The god of wealth doesn't come to those who pray,\but to those who don't know when to give up!\I was told if I said this to you,\I'd be beaten to the ground.\But I'll say it! response:	I've felt it since I first saw her!
context: Are you giving up?!\The master always tells me that merchants should never give up easily!\The god of wealth doesn't come to those who pray,\but to those who don't know when to give up!\I was told if I said this to you,\I'd be beaten to the ground.\But I'll say it!\I've felt it since I first saw her! response:	I LOVE HORO!
context: The master always tells me that merchants should never give up easily!\The god of wealth doesn't come to those who pray,\but to those who don't know when to give up!\I was told if I said this to you,\I'd be beaten to the ground.\But I'll say it!\I've felt it since I first saw her!\I LOVE HORO! response:	So...
context: The god of wealth doesn't come to those who pray,\but to those who don't know when to give up!\I was told if I said this to you,\I'd be beaten to the ground.\But I'll say it!\I've felt it since I first saw her!\I LOVE HORO!\So... response:	You're right, I do want lay down a beating.
context: but to those who don't know when to give up!\I was told if I said this to you,\I'd be beaten to the ground.\But I'll say it!\I've felt it since I first saw her!\I LOVE HORO!\So...\You're right, I do want lay down a beating. response:	I really want to beat...
context: I was told if I said this to you,\I'd be beaten to the ground.\But I'll say it!\I've felt it since I first saw her!\I LOVE HORO!\So...\You're right, I do want lay down a beating.\I really want to beat... response:	myself.
context: I'd be beaten to the ground.\But I'll say it!\I've felt it since I first saw her!\I LOVE HORO!\So...\You're right, I do want lay down a beating.\I really want to beat...\myself. response:	I'd forgotten.
context: But I'll say it!\I've felt it since I first saw her!\I LOVE HORO!\So...\You're right, I do want lay down a beating.\I really want to beat...\myself.\I'd forgotten. response:	People who don't give up are the kind who realize things that nobody else believes.
context: I've felt it since I first saw her!\I LOVE HORO!\So...\You're right, I do want lay down a beating.\I really want to beat...\myself.\I'd forgotten.\People who don't give up are the kind who realize things that nobody else believes. response:	And I'm one of them.
context: I LOVE HORO!\So...\You're right, I do want lay down a beating.\I really want to beat...\myself.\I'd forgotten.\People who don't give up are the kind who realize things that nobody else believes.\And I'm one of them. response:	Merchants make a plan, theorize an outcome, and compare it with reality when doing trade.
context: So...\You're right, I do want lay down a beating.\I really want to beat...\myself.\I'd forgotten.\People who don't give up are the kind who realize things that nobody else believes.\And I'm one of them.\Merchants make a plan, theorize an outcome, and compare it with reality when doing trade. response:	If I buy this, the outcome will be like this.
context: You're right, I do want lay down a beating.\I really want to beat...\myself.\I'd forgotten.\People who don't give up are the kind who realize things that nobody else believes.\And I'm one of them.\Merchants make a plan, theorize an outcome, and compare it with reality when doing trade.\If I buy this, the outcome will be like this. response:	If I sell this, the outcome will be like that.
context: I really want to beat...\myself.\I'd forgotten.\People who don't give up are the kind who realize things that nobody else believes.\And I'm one of them.\Merchants make a plan, theorize an outcome, and compare it with reality when doing trade.\If I buy this, the outcome will be like this.\If I sell this, the outcome will be like that. response:	That kind of theory is important.
context: myself.\I'd forgotten.\People who don't give up are the kind who realize things that nobody else believes.\And I'm one of them.\Merchants make a plan, theorize an outcome, and compare it with reality when doing trade.\If I buy this, the outcome will be like this.\If I sell this, the outcome will be like that.\That kind of theory is important. response:	Frankly, there are any number of theories you could come up with.
context: I'd forgotten.\People who don't give up are the kind who realize things that nobody else believes.\And I'm one of them.\Merchants make a plan, theorize an outcome, and compare it with reality when doing trade.\If I buy this, the outcome will be like this.\If I sell this, the outcome will be like that.\That kind of theory is important.\Frankly, there are any number of theories you could come up with. response:	That's why if you speculate too much, you'll soon become lost.
context: People who don't give up are the kind who realize things that nobody else believes.\And I'm one of them.\Merchants make a plan, theorize an outcome, and compare it with reality when doing trade.\If I buy this, the outcome will be like this.\If I sell this, the outcome will be like that.\That kind of theory is important.\Frankly, there are any number of theories you could come up with.\That's why if you speculate too much, you'll soon become lost. response:	All types of trade will start to seem very risky.
context: And I'm one of them.\Merchants make a plan, theorize an outcome, and compare it with reality when doing trade.\If I buy this, the outcome will be like this.\If I sell this, the outcome will be like that.\That kind of theory is important.\Frankly, there are any number of theories you could come up with.\That's why if you speculate too much, you'll soon become lost.\All types of trade will start to seem very risky. response:	So in order not to become lost, we keep a guidepost.
context: Merchants make a plan, theorize an outcome, and compare it with reality when doing trade.\If I buy this, the outcome will be like this.\If I sell this, the outcome will be like that.\That kind of theory is important.\Frankly, there are any number of theories you could come up with.\That's why if you speculate too much, you'll soon become lost.\All types of trade will start to seem very risky.\So in order not to become lost, we keep a guidepost. response:	That is the one thing a merchant requires.
context: If I buy this, the outcome will be like this.\If I sell this, the outcome will be like that.\That kind of theory is important.\Frankly, there are any number of theories you could come up with.\That's why if you speculate too much, you'll soon become lost.\All types of trade will start to seem very risky.\So in order not to become lost, we keep a guidepost.\That is the one thing a merchant requires. response:	If that guidepost is trustworthy, we should take even the craziest ideas,
context: If I sell this, the outcome will be like that.\That kind of theory is important.\Frankly, there are any number of theories you could come up with.\That's why if you speculate too much, you'll soon become lost.\All types of trade will start to seem very risky.\So in order not to become lost, we keep a guidepost.\That is the one thing a merchant requires.\If that guidepost is trustworthy, we should take even the craziest ideas, response:	and maybe just believe in them.
context: That kind of theory is important.\Frankly, there are any number of theories you could come up with.\That's why if you speculate too much, you'll soon become lost.\All types of trade will start to seem very risky.\So in order not to become lost, we keep a guidepost.\That is the one thing a merchant requires.\If that guidepost is trustworthy, we should take even the craziest ideas,\and maybe just believe in them. response:	Once I sell the stones, spread that rumor I asked you to please.
context: Frankly, there are any number of theories you could come up with.\That's why if you speculate too much, you'll soon become lost.\All types of trade will start to seem very risky.\So in order not to become lost, we keep a guidepost.\That is the one thing a merchant requires.\If that guidepost is trustworthy, we should take even the craziest ideas,\and maybe just believe in them.\Once I sell the stones, spread that rumor I asked you to please. response:	Y-Yes!
context: That's why if you speculate too much, you'll soon become lost.\All types of trade will start to seem very risky.\So in order not to become lost, we keep a guidepost.\That is the one thing a merchant requires.\If that guidepost is trustworthy, we should take even the craziest ideas,\and maybe just believe in them.\Once I sell the stones, spread that rumor I asked you to please.\Y-Yes! response:	Do you believe in God?
context: All types of trade will start to seem very risky.\So in order not to become lost, we keep a guidepost.\That is the one thing a merchant requires.\If that guidepost is trustworthy, we should take even the craziest ideas,\and maybe just believe in them.\Once I sell the stones, spread that rumor I asked you to please.\Y-Yes!\Do you believe in God? response:	You came again, eh?
context: So in order not to become lost, we keep a guidepost.\That is the one thing a merchant requires.\If that guidepost is trustworthy, we should take even the craziest ideas,\and maybe just believe in them.\Once I sell the stones, spread that rumor I asked you to please.\Y-Yes!\Do you believe in God?\You came again, eh? response:	I'm selling.
context: That is the one thing a merchant requires.\If that guidepost is trustworthy, we should take even the craziest ideas,\and maybe just believe in them.\Once I sell the stones, spread that rumor I asked you to please.\Y-Yes!\Do you believe in God?\You came again, eh?\I'm selling. response:	I'm selling too.
context: If that guidepost is trustworthy, we should take even the craziest ideas,\and maybe just believe in them.\Once I sell the stones, spread that rumor I asked you to please.\Y-Yes!\Do you believe in God?\You came again, eh?\I'm selling.\I'm selling too. response:	Fool.
context: and maybe just believe in them.\Once I sell the stones, spread that rumor I asked you to please.\Y-Yes!\Do you believe in God?\You came again, eh?\I'm selling.\I'm selling too.\Fool. response:	Sorry.
context: Once I sell the stones, spread that rumor I asked you to please.\Y-Yes!\Do you believe in God?\You came again, eh?\I'm selling.\I'm selling too.\Fool.\Sorry. response:	Unlike someone I know, that woman was quite a mature beauty, wasn't she?
context: Y-Yes!\Do you believe in God?\You came again, eh?\I'm selling.\I'm selling too.\Fool.\Sorry.\Unlike someone I know, that woman was quite a mature beauty, wasn't she? response:	In the end, Amarty didn't make that much of a loss.
context: Do you believe in God?\You came again, eh?\I'm selling.\I'm selling too.\Fool.\Sorry.\Unlike someone I know, that woman was quite a mature beauty, wasn't she?\In the end, Amarty didn't make that much of a loss. response:	The mental blow was far greater.
context: You came again, eh?\I'm selling.\I'm selling too.\Fool.\Sorry.\Unlike someone I know, that woman was quite a mature beauty, wasn't she?\In the end, Amarty didn't make that much of a loss.\The mental blow was far greater. response:	This is your punishment for trying to steal someone else's woman.
context: I'm selling.\I'm selling too.\Fool.\Sorry.\Unlike someone I know, that woman was quite a mature beauty, wasn't she?\In the end, Amarty didn't make that much of a loss.\The mental blow was far greater.\This is your punishment for trying to steal someone else's woman. response:	That's what happened after.
context: I'm selling too.\Fool.\Sorry.\Unlike someone I know, that woman was quite a mature beauty, wasn't she?\In the end, Amarty didn't make that much of a loss.\The mental blow was far greater.\This is your punishment for trying to steal someone else's woman.\That's what happened after. response:	I wanted to leave him in a poorer state than that.
context: Fool.\Sorry.\Unlike someone I know, that woman was quite a mature beauty, wasn't she?\In the end, Amarty didn't make that much of a loss.\The mental blow was far greater.\This is your punishment for trying to steal someone else's woman.\That's what happened after.\I wanted to leave him in a poorer state than that. response:	I'll never forgive that guy for what he said.
context: Sorry.\Unlike someone I know, that woman was quite a mature beauty, wasn't she?\In the end, Amarty didn't make that much of a loss.\The mental blow was far greater.\This is your punishment for trying to steal someone else's woman.\That's what happened after.\I wanted to leave him in a poorer state than that.\I'll never forgive that guy for what he said. response:	Don't ask what it was.
context: Unlike someone I know, that woman was quite a mature beauty, wasn't she?\In the end, Amarty didn't make that much of a loss.\The mental blow was far greater.\This is your punishment for trying to steal someone else's woman.\That's what happened after.\I wanted to leave him in a poorer state than that.\I'll never forgive that guy for what he said.\Don't ask what it was. response:	That's fine by me.
context: In the end, Amarty didn't make that much of a loss.\The mental blow was far greater.\This is your punishment for trying to steal someone else's woman.\That's what happened after.\I wanted to leave him in a poorer state than that.\I'll never forgive that guy for what he said.\Don't ask what it was.\That's fine by me. response:	So?
context: The mental blow was far greater.\This is your punishment for trying to steal someone else's woman.\That's what happened after.\I wanted to leave him in a poorer state than that.\I'll never forgive that guy for what he said.\Don't ask what it was.\That's fine by me.\So? response:	I hope you don't think that settles all of this, do you?
context: This is your punishment for trying to steal someone else's woman.\That's what happened after.\I wanted to leave him in a poorer state than that.\I'll never forgive that guy for what he said.\Don't ask what it was.\That's fine by me.\So?\I hope you don't think that settles all of this, do you? response:	I'm sorry.
context: That's what happened after.\I wanted to leave him in a poorer state than that.\I'll never forgive that guy for what he said.\Don't ask what it was.\That's fine by me.\So?\I hope you don't think that settles all of this, do you?\I'm sorry. response:	Do you really understand where you went wrong?
context: I wanted to leave him in a poorer state than that.\I'll never forgive that guy for what he said.\Don't ask what it was.\That's fine by me.\So?\I hope you don't think that settles all of this, do you?\I'm sorry.\Do you really understand where you went wrong? response:	Yes.
context: I'll never forgive that guy for what he said.\Don't ask what it was.\That's fine by me.\So?\I hope you don't think that settles all of this, do you?\I'm sorry.\Do you really understand where you went wrong?\Yes. response:	I do.
context: Don't ask what it was.\That's fine by me.\So?\I hope you don't think that settles all of this, do you?\I'm sorry.\Do you really understand where you went wrong?\Yes.\I do. response:	Taking matters into my own hands after Amarty made that contract with you was completely arrogant of me.
context: That's fine by me.\So?\I hope you don't think that settles all of this, do you?\I'm sorry.\Do you really understand where you went wrong?\Yes.\I do.\Taking matters into my own hands after Amarty made that contract with you was completely arrogant of me. response:	Wasn't it?
context: So?\I hope you don't think that settles all of this, do you?\I'm sorry.\Do you really understand where you went wrong?\Yes.\I do.\Taking matters into my own hands after Amarty made that contract with you was completely arrogant of me.\Wasn't it? response:	My biggest mistake was not trusting you.
context: I hope you don't think that settles all of this, do you?\I'm sorry.\Do you really understand where you went wrong?\Yes.\I do.\Taking matters into my own hands after Amarty made that contract with you was completely arrogant of me.\Wasn't it?\My biggest mistake was not trusting you. response:	Those white feathers were supposed to be a sign that you were the one who'd bought the pyrite from Deanna.
context: I'm sorry.\Do you really understand where you went wrong?\Yes.\I do.\Taking matters into my own hands after Amarty made that contract with you was completely arrogant of me.\Wasn't it?\My biggest mistake was not trusting you.\Those white feathers were supposed to be a sign that you were the one who'd bought the pyrite from Deanna. response:	But in my panic, when I saw Amarty go talk to the vendor, I thought it was a trap you had laid for me.
context: Do you really understand where you went wrong?\Yes.\I do.\Taking matters into my own hands after Amarty made that contract with you was completely arrogant of me.\Wasn't it?\My biggest mistake was not trusting you.\Those white feathers were supposed to be a sign that you were the one who'd bought the pyrite from Deanna.\But in my panic, when I saw Amarty go talk to the vendor, I thought it was a trap you had laid for me. response:	What do you mean by that?
context: Yes.\I do.\Taking matters into my own hands after Amarty made that contract with you was completely arrogant of me.\Wasn't it?\My biggest mistake was not trusting you.\Those white feathers were supposed to be a sign that you were the one who'd bought the pyrite from Deanna.\But in my panic, when I saw Amarty go talk to the vendor, I thought it was a trap you had laid for me.\What do you mean by that? response:	Well...
context: I do.\Taking matters into my own hands after Amarty made that contract with you was completely arrogant of me.\Wasn't it?\My biggest mistake was not trusting you.\Those white feathers were supposed to be a sign that you were the one who'd bought the pyrite from Deanna.\But in my panic, when I saw Amarty go talk to the vendor, I thought it was a trap you had laid for me.\What do you mean by that?\Well... response:	I thought you were maybe trying to get me to sell prematurely.
context: Taking matters into my own hands after Amarty made that contract with you was completely arrogant of me.\Wasn't it?\My biggest mistake was not trusting you.\Those white feathers were supposed to be a sign that you were the one who'd bought the pyrite from Deanna.\But in my panic, when I saw Amarty go talk to the vendor, I thought it was a trap you had laid for me.\What do you mean by that?\Well...\I thought you were maybe trying to get me to sell prematurely. response:	I really thought you had completely gone over to his side.
context: Wasn't it?\My biggest mistake was not trusting you.\Those white feathers were supposed to be a sign that you were the one who'd bought the pyrite from Deanna.\But in my panic, when I saw Amarty go talk to the vendor, I thought it was a trap you had laid for me.\What do you mean by that?\Well...\I thought you were maybe trying to get me to sell prematurely.\I really thought you had completely gone over to his side. response:	But... I guess I was wrong.
context: My biggest mistake was not trusting you.\Those white feathers were supposed to be a sign that you were the one who'd bought the pyrite from Deanna.\But in my panic, when I saw Amarty go talk to the vendor, I thought it was a trap you had laid for me.\What do you mean by that?\Well...\I thought you were maybe trying to get me to sell prematurely.\I really thought you had completely gone over to his side.\But... I guess I was wrong. response:	You were trying to tell me that Amarty already had enough, so I should sell quickly.
context: Those white feathers were supposed to be a sign that you were the one who'd bought the pyrite from Deanna.\But in my panic, when I saw Amarty go talk to the vendor, I thought it was a trap you had laid for me.\What do you mean by that?\Well...\I thought you were maybe trying to get me to sell prematurely.\I really thought you had completely gone over to his side.\But... I guess I was wrong.\You were trying to tell me that Amarty already had enough, so I should sell quickly. response:	But I was confused and overthinking everything.
context: But in my panic, when I saw Amarty go talk to the vendor, I thought it was a trap you had laid for me.\What do you mean by that?\Well...\I thought you were maybe trying to get me to sell prematurely.\I really thought you had completely gone over to his side.\But... I guess I was wrong.\You were trying to tell me that Amarty already had enough, so I should sell quickly.\But I was confused and overthinking everything. response:	And before that, with the marriage certificate...
context: What do you mean by that?\Well...\I thought you were maybe trying to get me to sell prematurely.\I really thought you had completely gone over to his side.\But... I guess I was wrong.\You were trying to tell me that Amarty already had enough, so I should sell quickly.\But I was confused and overthinking everything.\And before that, with the marriage certificate... response:	You signed your name on it,
context: Well...\I thought you were maybe trying to get me to sell prematurely.\I really thought you had completely gone over to his side.\But... I guess I was wrong.\You were trying to tell me that Amarty already had enough, so I should sell quickly.\But I was confused and overthinking everything.\And before that, with the marriage certificate...\You signed your name on it, response:	but that was just to get me angry enough to confront you.
context: I thought you were maybe trying to get me to sell prematurely.\I really thought you had completely gone over to his side.\But... I guess I was wrong.\You were trying to tell me that Amarty already had enough, so I should sell quickly.\But I was confused and overthinking everything.\And before that, with the marriage certificate...\You signed your name on it,\but that was just to get me angry enough to confront you. response:	Right?
