context: This baby came very strangely. response:	In just a few days, it's ready for birth.
context: Then you wouldn't be able to save Fifth Sister\and would cause yourself harm.\I can't worry about that now.\Zhen Zhen, please have Zhe Yan leave.\- Mother! - Hurry!\Why are you always like this? Always so anxious.\Let me finish.\What? response:	I'm stopping you because we still need one more thing.
context: and would cause yourself harm.\I can't worry about that now.\Zhen Zhen, please have Zhe Yan leave.\- Mother! - Hurry!\Why are you always like this? Always so anxious.\Let me finish.\What?\I'm stopping you because we still need one more thing. response:	What thing?
context: I can't worry about that now.\Zhen Zhen, please have Zhe Yan leave.\- Mother! - Hurry!\Why are you always like this? Always so anxious.\Let me finish.\What?\I'm stopping you because we still need one more thing.\What thing? response:	Divine fungal grass.
context: Zhen Zhen, please have Zhe Yan leave.\- Mother! - Hurry!\Why are you always like this? Always so anxious.\Let me finish.\What?\I'm stopping you because we still need one more thing.\What thing?\Divine fungal grass. response:	With that, you can purify your magic breath, which would protect both of you.
context: - Mother! - Hurry!\Why are you always like this? Always so anxious.\Let me finish.\What?\I'm stopping you because we still need one more thing.\What thing?\Divine fungal grass.\With that, you can purify your magic breath, which would protect both of you. response:	Where is that grass?
context: Why are you always like this? Always so anxious.\Let me finish.\What?\I'm stopping you because we still need one more thing.\What thing?\Divine fungal grass.\With that, you can purify your magic breath, which would protect both of you.\Where is that grass? response:	Yingzhou of the Eastern Sea.
context: Let me finish.\What?\I'm stopping you because we still need one more thing.\What thing?\Divine fungal grass.\With that, you can purify your magic breath, which would protect both of you.\Where is that grass?\Yingzhou of the Eastern Sea. response:	But Heavenly Father thought that this thing went against heavenly law
context: What?\I'm stopping you because we still need one more thing.\What thing?\Divine fungal grass.\With that, you can purify your magic breath, which would protect both of you.\Where is that grass?\Yingzhou of the Eastern Sea.\But Heavenly Father thought that this thing went against heavenly law response:	so he had four beasts guard it.
context: I'm stopping you because we still need one more thing.\What thing?\Divine fungal grass.\With that, you can purify your magic breath, which would protect both of you.\Where is that grass?\Yingzhou of the Eastern Sea.\But Heavenly Father thought that this thing went against heavenly law\so he had four beasts guard it. response:	Those four beasts?
context: What thing?\Divine fungal grass.\With that, you can purify your magic breath, which would protect both of you.\Where is that grass?\Yingzhou of the Eastern Sea.\But Heavenly Father thought that this thing went against heavenly law\so he had four beasts guard it.\Those four beasts? response:	That's right, those four beasts.
context: Divine fungal grass.\With that, you can purify your magic breath, which would protect both of you.\Where is that grass?\Yingzhou of the Eastern Sea.\But Heavenly Father thought that this thing went against heavenly law\so he had four beasts guard it.\Those four beasts?\That's right, those four beasts. response:	Heavenly Father also gave them more than half of his essence.
context: With that, you can purify your magic breath, which would protect both of you.\Where is that grass?\Yingzhou of the Eastern Sea.\But Heavenly Father thought that this thing went against heavenly law\so he had four beasts guard it.\Those four beasts?\That's right, those four beasts.\Heavenly Father also gave them more than half of his essence. response:	Even if Mo Yuan was alive
context: Where is that grass?\Yingzhou of the Eastern Sea.\But Heavenly Father thought that this thing went against heavenly law\so he had four beasts guard it.\Those four beasts?\That's right, those four beasts.\Heavenly Father also gave them more than half of his essence.\Even if Mo Yuan was alive response:	I'm afraid we wouldn't be able to get anything from them either.
context: Yingzhou of the Eastern Sea.\But Heavenly Father thought that this thing went against heavenly law\so he had four beasts guard it.\Those four beasts?\That's right, those four beasts.\Heavenly Father also gave them more than half of his essence.\Even if Mo Yuan was alive\I'm afraid we wouldn't be able to get anything from them either. response:	I'll go.
context: But Heavenly Father thought that this thing went against heavenly law\so he had four beasts guard it.\Those four beasts?\That's right, those four beasts.\Heavenly Father also gave them more than half of his essence.\Even if Mo Yuan was alive\I'm afraid we wouldn't be able to get anything from them either.\I'll go. response:	I'll go with you.
context: so he had four beasts guard it.\Those four beasts?\That's right, those four beasts.\Heavenly Father also gave them more than half of his essence.\Even if Mo Yuan was alive\I'm afraid we wouldn't be able to get anything from them either.\I'll go.\I'll go with you. response:	Mother, let me go.
context: Those four beasts?\That's right, those four beasts.\Heavenly Father also gave them more than half of his essence.\Even if Mo Yuan was alive\I'm afraid we wouldn't be able to get anything from them either.\I'll go.\I'll go with you.\Mother, let me go. response:	All right. Don't fight over this.
context: That's right, those four beasts.\Heavenly Father also gave them more than half of his essence.\Even if Mo Yuan was alive\I'm afraid we wouldn't be able to get anything from them either.\I'll go.\I'll go with you.\Mother, let me go.\All right. Don't fight over this. response:	You guys stay here.
context: Heavenly Father also gave them more than half of his essence.\Even if Mo Yuan was alive\I'm afraid we wouldn't be able to get anything from them either.\I'll go.\I'll go with you.\Mother, let me go.\All right. Don't fight over this.\You guys stay here. response:	Even if I can't fight them off
context: Even if Mo Yuan was alive\I'm afraid we wouldn't be able to get anything from them either.\I'll go.\I'll go with you.\Mother, let me go.\All right. Don't fight over this.\You guys stay here.\Even if I can't fight them off response:	you will still be able to lead Qing Qiu.
context: I'm afraid we wouldn't be able to get anything from them either.\I'll go.\I'll go with you.\Mother, let me go.\All right. Don't fight over this.\You guys stay here.\Even if I can't fight them off\you will still be able to lead Qing Qiu. response:	Don't worry. Leave them with me.
context: I'll go.\I'll go with you.\Mother, let me go.\All right. Don't fight over this.\You guys stay here.\Even if I can't fight them off\you will still be able to lead Qing Qiu.\Don't worry. Leave them with me. response:	But you only have twenty-some hours. Go quickly and return quickly.
context: I'll go with you.\Mother, let me go.\All right. Don't fight over this.\You guys stay here.\Even if I can't fight them off\you will still be able to lead Qing Qiu.\Don't worry. Leave them with me.\But you only have twenty-some hours. Go quickly and return quickly. response:	Wait for me to come back.
context: Mother, let me go.\All right. Don't fight over this.\You guys stay here.\Even if I can't fight them off\you will still be able to lead Qing Qiu.\Don't worry. Leave them with me.\But you only have twenty-some hours. Go quickly and return quickly.\Wait for me to come back. response:	Li Jing, even though the Celestial Tribe and Ghost Tribe are allies
context: All right. Don't fight over this.\You guys stay here.\Even if I can't fight them off\you will still be able to lead Qing Qiu.\Don't worry. Leave them with me.\But you only have twenty-some hours. Go quickly and return quickly.\Wait for me to come back.\Li Jing, even though the Celestial Tribe and Ghost Tribe are allies response:	Kunlun Mountain and Grand Ziming Palace have a score that can never be settled.
context: You guys stay here.\Even if I can't fight them off\you will still be able to lead Qing Qiu.\Don't worry. Leave them with me.\But you only have twenty-some hours. Go quickly and return quickly.\Wait for me to come back.\Li Jing, even though the Celestial Tribe and Ghost Tribe are allies\Kunlun Mountain and Grand Ziming Palace have a score that can never be settled. response:	Ninth and Master died because of your father.
context: Even if I can't fight them off\you will still be able to lead Qing Qiu.\Don't worry. Leave them with me.\But you only have twenty-some hours. Go quickly and return quickly.\Wait for me to come back.\Li Jing, even though the Celestial Tribe and Ghost Tribe are allies\Kunlun Mountain and Grand Ziming Palace have a score that can never be settled.\Ninth and Master died because of your father. response:	How dare you come to Kunlun Mountain?
context: you will still be able to lead Qing Qiu.\Don't worry. Leave them with me.\But you only have twenty-some hours. Go quickly and return quickly.\Wait for me to come back.\Li Jing, even though the Celestial Tribe and Ghost Tribe are allies\Kunlun Mountain and Grand Ziming Palace have a score that can never be settled.\Ninth and Master died because of your father.\How dare you come to Kunlun Mountain? response:	I have inadvertently offended you all.
context: Don't worry. Leave them with me.\But you only have twenty-some hours. Go quickly and return quickly.\Wait for me to come back.\Li Jing, even though the Celestial Tribe and Ghost Tribe are allies\Kunlun Mountain and Grand Ziming Palace have a score that can never be settled.\Ninth and Master died because of your father.\How dare you come to Kunlun Mountain?\I have inadvertently offended you all. response:	I came to see Si Yin.
context: But you only have twenty-some hours. Go quickly and return quickly.\Wait for me to come back.\Li Jing, even though the Celestial Tribe and Ghost Tribe are allies\Kunlun Mountain and Grand Ziming Palace have a score that can never be settled.\Ninth and Master died because of your father.\How dare you come to Kunlun Mountain?\I have inadvertently offended you all.\I came to see Si Yin. response:	Si Yin? You dare to come see her?
context: Wait for me to come back.\Li Jing, even though the Celestial Tribe and Ghost Tribe are allies\Kunlun Mountain and Grand Ziming Palace have a score that can never be settled.\Ninth and Master died because of your father.\How dare you come to Kunlun Mountain?\I have inadvertently offended you all.\I came to see Si Yin.\Si Yin? You dare to come see her? response:	Who was the one who came up the mountain every day to see Seventeenth?
context: Li Jing, even though the Celestial Tribe and Ghost Tribe are allies\Kunlun Mountain and Grand Ziming Palace have a score that can never be settled.\Ninth and Master died because of your father.\How dare you come to Kunlun Mountain?\I have inadvertently offended you all.\I came to see Si Yin.\Si Yin? You dare to come see her?\Who was the one who came up the mountain every day to see Seventeenth? response:	Who was the one who joined hands with Xuan Nu
context: Kunlun Mountain and Grand Ziming Palace have a score that can never be settled.\Ninth and Master died because of your father.\How dare you come to Kunlun Mountain?\I have inadvertently offended you all.\I came to see Si Yin.\Si Yin? You dare to come see her?\Who was the one who came up the mountain every day to see Seventeenth?\Who was the one who joined hands with Xuan Nu response:	to kill my master and fellow disciple?
context: Ninth and Master died because of your father.\How dare you come to Kunlun Mountain?\I have inadvertently offended you all.\I came to see Si Yin.\Si Yin? You dare to come see her?\Who was the one who came up the mountain every day to see Seventeenth?\Who was the one who joined hands with Xuan Nu\to kill my master and fellow disciple? response:	You dare to come here to see Si Yin?
context: How dare you come to Kunlun Mountain?\I have inadvertently offended you all.\I came to see Si Yin.\Si Yin? You dare to come see her?\Who was the one who came up the mountain every day to see Seventeenth?\Who was the one who joined hands with Xuan Nu\to kill my master and fellow disciple?\You dare to come here to see Si Yin? response:	Please let Si Yin know that I'm here to see her.
context: I have inadvertently offended you all.\I came to see Si Yin.\Si Yin? You dare to come see her?\Who was the one who came up the mountain every day to see Seventeenth?\Who was the one who joined hands with Xuan Nu\to kill my master and fellow disciple?\You dare to come here to see Si Yin?\Please let Si Yin know that I'm here to see her. response:	Please leave.
context: I came to see Si Yin.\Si Yin? You dare to come see her?\Who was the one who came up the mountain every day to see Seventeenth?\Who was the one who joined hands with Xuan Nu\to kill my master and fellow disciple?\You dare to come here to see Si Yin?\Please let Si Yin know that I'm here to see her.\Please leave. response:	Please let Si Yin know that I'm here to see her.
context: Si Yin? You dare to come see her?\Who was the one who came up the mountain every day to see Seventeenth?\Who was the one who joined hands with Xuan Nu\to kill my master and fellow disciple?\You dare to come here to see Si Yin?\Please let Si Yin know that I'm here to see her.\Please leave.\Please let Si Yin know that I'm here to see her. response:	I've brought the item that she wanted with me.
context: Who was the one who came up the mountain every day to see Seventeenth?\Who was the one who joined hands with Xuan Nu\to kill my master and fellow disciple?\You dare to come here to see Si Yin?\Please let Si Yin know that I'm here to see her.\Please leave.\Please let Si Yin know that I'm here to see her.\I've brought the item that she wanted with me. response:	Si Yin has left Kunlun Mountain and is roaming around on a cloud.
context: Who was the one who joined hands with Xuan Nu\to kill my master and fellow disciple?\You dare to come here to see Si Yin?\Please let Si Yin know that I'm here to see her.\Please leave.\Please let Si Yin know that I'm here to see her.\I've brought the item that she wanted with me.\Si Yin has left Kunlun Mountain and is roaming around on a cloud. response:	So no matter what you've brought with you, she doesn't want it.
context: to kill my master and fellow disciple?\You dare to come here to see Si Yin?\Please let Si Yin know that I'm here to see her.\Please leave.\Please let Si Yin know that I'm here to see her.\I've brought the item that she wanted with me.\Si Yin has left Kunlun Mountain and is roaming around on a cloud.\So no matter what you've brought with you, she doesn't want it. response:	A-Yin left?
context: You dare to come here to see Si Yin?\Please let Si Yin know that I'm here to see her.\Please leave.\Please let Si Yin know that I'm here to see her.\I've brought the item that she wanted with me.\Si Yin has left Kunlun Mountain and is roaming around on a cloud.\So no matter what you've brought with you, she doesn't want it.\A-Yin left? response:	Please leave.
context: Please let Si Yin know that I'm here to see her.\Please leave.\Please let Si Yin know that I'm here to see her.\I've brought the item that she wanted with me.\Si Yin has left Kunlun Mountain and is roaming around on a cloud.\So no matter what you've brought with you, she doesn't want it.\A-Yin left?\Please leave. response:	Master.
context: Please leave.\Please let Si Yin know that I'm here to see her.\I've brought the item that she wanted with me.\Si Yin has left Kunlun Mountain and is roaming around on a cloud.\So no matter what you've brought with you, she doesn't want it.\A-Yin left?\Please leave.\Master. response:	I haven't taken good care of Seventeenth as Kunlun's senior.
context: Please let Si Yin know that I'm here to see her.\I've brought the item that she wanted with me.\Si Yin has left Kunlun Mountain and is roaming around on a cloud.\So no matter what you've brought with you, she doesn't want it.\A-Yin left?\Please leave.\Master.\I haven't taken good care of Seventeenth as Kunlun's senior. response:	Don't worry.
context: I've brought the item that she wanted with me.\Si Yin has left Kunlun Mountain and is roaming around on a cloud.\So no matter what you've brought with you, she doesn't want it.\A-Yin left?\Please leave.\Master.\I haven't taken good care of Seventeenth as Kunlun's senior.\Don't worry. response:	No matter where Seventeenth took you
context: Si Yin has left Kunlun Mountain and is roaming around on a cloud.\So no matter what you've brought with you, she doesn't want it.\A-Yin left?\Please leave.\Master.\I haven't taken good care of Seventeenth as Kunlun's senior.\Don't worry.\No matter where Seventeenth took you response:	I will find you both.
context: So no matter what you've brought with you, she doesn't want it.\A-Yin left?\Please leave.\Master.\I haven't taken good care of Seventeenth as Kunlun's senior.\Don't worry.\No matter where Seventeenth took you\I will find you both. response:	Today, I will go down the mountain.
context: A-Yin left?\Please leave.\Master.\I haven't taken good care of Seventeenth as Kunlun's senior.\Don't worry.\No matter where Seventeenth took you\I will find you both.\Today, I will go down the mountain. response:	No matter how far I have to go and how long I have to search
context: Please leave.\Master.\I haven't taken good care of Seventeenth as Kunlun's senior.\Don't worry.\No matter where Seventeenth took you\I will find you both.\Today, I will go down the mountain.\No matter how far I have to go and how long I have to search response:	I will find Master's body and Seventeenth.
context: Master.\I haven't taken good care of Seventeenth as Kunlun's senior.\Don't worry.\No matter where Seventeenth took you\I will find you both.\Today, I will go down the mountain.\No matter how far I have to go and how long I have to search\I will find Master's body and Seventeenth. response:	You all have your parents.
context: I haven't taken good care of Seventeenth as Kunlun's senior.\Don't worry.\No matter where Seventeenth took you\I will find you both.\Today, I will go down the mountain.\No matter how far I have to go and how long I have to search\I will find Master's body and Seventeenth.\You all have your parents. response:	Since Master isn't here
context: Don't worry.\No matter where Seventeenth took you\I will find you both.\Today, I will go down the mountain.\No matter how far I have to go and how long I have to search\I will find Master's body and Seventeenth.\You all have your parents.\Since Master isn't here response:	don't waste your time here on Kunlun Mountain.
context: No matter where Seventeenth took you\I will find you both.\Today, I will go down the mountain.\No matter how far I have to go and how long I have to search\I will find Master's body and Seventeenth.\You all have your parents.\Since Master isn't here\don't waste your time here on Kunlun Mountain. response:	Leave the mountain.
context: I will find you both.\Today, I will go down the mountain.\No matter how far I have to go and how long I have to search\I will find Master's body and Seventeenth.\You all have your parents.\Since Master isn't here\don't waste your time here on Kunlun Mountain.\Leave the mountain. response:	- Senior! - Senior!
context: Today, I will go down the mountain.\No matter how far I have to go and how long I have to search\I will find Master's body and Seventeenth.\You all have your parents.\Since Master isn't here\don't waste your time here on Kunlun Mountain.\Leave the mountain.\- Senior! - Senior! response:	Remember my words.
context: No matter how far I have to go and how long I have to search\I will find Master's body and Seventeenth.\You all have your parents.\Since Master isn't here\don't waste your time here on Kunlun Mountain.\Leave the mountain.\- Senior! - Senior!\Remember my words. response:	Master sacrificed his soul to destroy
context: I will find Master's body and Seventeenth.\You all have your parents.\Since Master isn't here\don't waste your time here on Kunlun Mountain.\Leave the mountain.\- Senior! - Senior!\Remember my words.\Master sacrificed his soul to destroy response:	the Bell of the East Emperor for all the realms.
context: You all have your parents.\Since Master isn't here\don't waste your time here on Kunlun Mountain.\Leave the mountain.\- Senior! - Senior!\Remember my words.\Master sacrificed his soul to destroy\the Bell of the East Emperor for all the realms. response:	It wasn't because of a personal grudge.
context: Since Master isn't here\don't waste your time here on Kunlun Mountain.\Leave the mountain.\- Senior! - Senior!\Remember my words.\Master sacrificed his soul to destroy\the Bell of the East Emperor for all the realms.\It wasn't because of a personal grudge. response:	Since the Celestial Tribe and Ghost Tribe have formed an alliance
context: don't waste your time here on Kunlun Mountain.\Leave the mountain.\- Senior! - Senior!\Remember my words.\Master sacrificed his soul to destroy\the Bell of the East Emperor for all the realms.\It wasn't because of a personal grudge.\Since the Celestial Tribe and Ghost Tribe have formed an alliance response:	and there is peace
context: Leave the mountain.\- Senior! - Senior!\Remember my words.\Master sacrificed his soul to destroy\the Bell of the East Emperor for all the realms.\It wasn't because of a personal grudge.\Since the Celestial Tribe and Ghost Tribe have formed an alliance\and there is peace response:	you must not go to the Ghost Realm to seek revenge.
context: - Senior! - Senior!\Remember my words.\Master sacrificed his soul to destroy\the Bell of the East Emperor for all the realms.\It wasn't because of a personal grudge.\Since the Celestial Tribe and Ghost Tribe have formed an alliance\and there is peace\you must not go to the Ghost Realm to seek revenge. response:	There is no more war in all the realms.
context: Remember my words.\Master sacrificed his soul to destroy\the Bell of the East Emperor for all the realms.\It wasn't because of a personal grudge.\Since the Celestial Tribe and Ghost Tribe have formed an alliance\and there is peace\you must not go to the Ghost Realm to seek revenge.\There is no more war in all the realms. response:	There aren't any refugees.
context: Master sacrificed his soul to destroy\the Bell of the East Emperor for all the realms.\It wasn't because of a personal grudge.\Since the Celestial Tribe and Ghost Tribe have formed an alliance\and there is peace\you must not go to the Ghost Realm to seek revenge.\There is no more war in all the realms.\There aren't any refugees. response:	This is what Master wanted.
context: the Bell of the East Emperor for all the realms.\It wasn't because of a personal grudge.\Since the Celestial Tribe and Ghost Tribe have formed an alliance\and there is peace\you must not go to the Ghost Realm to seek revenge.\There is no more war in all the realms.\There aren't any refugees.\This is what Master wanted. response:	Si Yin is a troublemaker.
context: It wasn't because of a personal grudge.\Since the Celestial Tribe and Ghost Tribe have formed an alliance\and there is peace\you must not go to the Ghost Realm to seek revenge.\There is no more war in all the realms.\There aren't any refugees.\This is what Master wanted.\Si Yin is a troublemaker. response:	It's already enough that he wouldn't let us bury him
context: Since the Celestial Tribe and Ghost Tribe have formed an alliance\and there is peace\you must not go to the Ghost Realm to seek revenge.\There is no more war in all the realms.\There aren't any refugees.\This is what Master wanted.\Si Yin is a troublemaker.\It's already enough that he wouldn't let us bury him response:	but now he's taken away Mo Yuan's corpse?
context: and there is peace\you must not go to the Ghost Realm to seek revenge.\There is no more war in all the realms.\There aren't any refugees.\This is what Master wanted.\Si Yin is a troublemaker.\It's already enough that he wouldn't let us bury him\but now he's taken away Mo Yuan's corpse? response:	How can I explain this to the immortals of the Celestial Tribe?
context: you must not go to the Ghost Realm to seek revenge.\There is no more war in all the realms.\There aren't any refugees.\This is what Master wanted.\Si Yin is a troublemaker.\It's already enough that he wouldn't let us bury him\but now he's taken away Mo Yuan's corpse?\How can I explain this to the immortals of the Celestial Tribe? response:	Don't you have many officials who record history?
context: There is no more war in all the realms.\There aren't any refugees.\This is what Master wanted.\Si Yin is a troublemaker.\It's already enough that he wouldn't let us bury him\but now he's taken away Mo Yuan's corpse?\How can I explain this to the immortals of the Celestial Tribe?\Don't you have many officials who record history? response:	Just give them something to write about.
context: There aren't any refugees.\This is what Master wanted.\Si Yin is a troublemaker.\It's already enough that he wouldn't let us bury him\but now he's taken away Mo Yuan's corpse?\How can I explain this to the immortals of the Celestial Tribe?\Don't you have many officials who record history?\Just give them something to write about. response:	What do you mean?
context: This is what Master wanted.\Si Yin is a troublemaker.\It's already enough that he wouldn't let us bury him\but now he's taken away Mo Yuan's corpse?\How can I explain this to the immortals of the Celestial Tribe?\Don't you have many officials who record history?\Just give them something to write about.\What do you mean? response:	Find a dignified reason
context: Si Yin is a troublemaker.\It's already enough that he wouldn't let us bury him\but now he's taken away Mo Yuan's corpse?\How can I explain this to the immortals of the Celestial Tribe?\Don't you have many officials who record history?\Just give them something to write about.\What do you mean?\Find a dignified reason response:	and just let the later generations know where the God of War has gone.
context: It's already enough that he wouldn't let us bury him\but now he's taken away Mo Yuan's corpse?\How can I explain this to the immortals of the Celestial Tribe?\Don't you have many officials who record history?\Just give them something to write about.\What do you mean?\Find a dignified reason\and just let the later generations know where the God of War has gone. response:	What reason would be convincing for everyone?
context: but now he's taken away Mo Yuan's corpse?\How can I explain this to the immortals of the Celestial Tribe?\Don't you have many officials who record history?\Just give them something to write about.\What do you mean?\Find a dignified reason\and just let the later generations know where the God of War has gone.\What reason would be convincing for everyone? response:	In the 63,082 autumn of Hao De's rule
context: How can I explain this to the immortals of the Celestial Tribe?\Don't you have many officials who record history?\Just give them something to write about.\What do you mean?\Find a dignified reason\and just let the later generations know where the God of War has gone.\What reason would be convincing for everyone?\In the 63,082 autumn of Hao De's rule response:	after the war with Ghost Tribe
context: Don't you have many officials who record history?\Just give them something to write about.\What do you mean?\Find a dignified reason\and just let the later generations know where the God of War has gone.\What reason would be convincing for everyone?\In the 63,082 autumn of Hao De's rule\after the war with Ghost Tribe response:	Heavenly Father's son Mo Yuan
context: Just give them something to write about.\What do you mean?\Find a dignified reason\and just let the later generations know where the God of War has gone.\What reason would be convincing for everyone?\In the 63,082 autumn of Hao De's rule\after the war with Ghost Tribe\Heavenly Father's son Mo Yuan response:	and his seventeenth disciple Si Yin
context: What do you mean?\Find a dignified reason\and just let the later generations know where the God of War has gone.\What reason would be convincing for everyone?\In the 63,082 autumn of Hao De's rule\after the war with Ghost Tribe\Heavenly Father's son Mo Yuan\and his seventeenth disciple Si Yin response:	have gone to live in seclusion.
context: Find a dignified reason\and just let the later generations know where the God of War has gone.\What reason would be convincing for everyone?\In the 63,082 autumn of Hao De's rule\after the war with Ghost Tribe\Heavenly Father's son Mo Yuan\and his seventeenth disciple Si Yin\have gone to live in seclusion. response:	They quietly disappeared and are untraceable.
context: and just let the later generations know where the God of War has gone.\What reason would be convincing for everyone?\In the 63,082 autumn of Hao De's rule\after the war with Ghost Tribe\Heavenly Father's son Mo Yuan\and his seventeenth disciple Si Yin\have gone to live in seclusion.\They quietly disappeared and are untraceable. response:	How about that?
context: What reason would be convincing for everyone?\In the 63,082 autumn of Hao De's rule\after the war with Ghost Tribe\Heavenly Father's son Mo Yuan\and his seventeenth disciple Si Yin\have gone to live in seclusion.\They quietly disappeared and are untraceable.\How about that? response:	They've gone to live in seclusion together?
context: In the 63,082 autumn of Hao De's rule\after the war with Ghost Tribe\Heavenly Father's son Mo Yuan\and his seventeenth disciple Si Yin\have gone to live in seclusion.\They quietly disappeared and are untraceable.\How about that?\They've gone to live in seclusion together? response:	That's right.
context: after the war with Ghost Tribe\Heavenly Father's son Mo Yuan\and his seventeenth disciple Si Yin\have gone to live in seclusion.\They quietly disappeared and are untraceable.\How about that?\They've gone to live in seclusion together?\That's right. response:	They've gone to live in seclusion together.
context: Heavenly Father's son Mo Yuan\and his seventeenth disciple Si Yin\have gone to live in seclusion.\They quietly disappeared and are untraceable.\How about that?\They've gone to live in seclusion together?\That's right.\They've gone to live in seclusion together. response:	Dijun, you favor Kunlun Mountain's disciples.
context: and his seventeenth disciple Si Yin\have gone to live in seclusion.\They quietly disappeared and are untraceable.\How about that?\They've gone to live in seclusion together?\That's right.\They've gone to live in seclusion together.\Dijun, you favor Kunlun Mountain's disciples. response:	Judging from Heavenly Lord's complexion
context: have gone to live in seclusion.\They quietly disappeared and are untraceable.\How about that?\They've gone to live in seclusion together?\That's right.\They've gone to live in seclusion together.\Dijun, you favor Kunlun Mountain's disciples.\Judging from Heavenly Lord's complexion response:	it looked like he wanted to send a hundred thousand soldiers
context: They quietly disappeared and are untraceable.\How about that?\They've gone to live in seclusion together?\That's right.\They've gone to live in seclusion together.\Dijun, you favor Kunlun Mountain's disciples.\Judging from Heavenly Lord's complexion\it looked like he wanted to send a hundred thousand soldiers response:	to arrest Si Yin.
context: How about that?\They've gone to live in seclusion together?\That's right.\They've gone to live in seclusion together.\Dijun, you favor Kunlun Mountain's disciples.\Judging from Heavenly Lord's complexion\it looked like he wanted to send a hundred thousand soldiers\to arrest Si Yin. response:	You were able to soothe his anger.
context: They've gone to live in seclusion together?\That's right.\They've gone to live in seclusion together.\Dijun, you favor Kunlun Mountain's disciples.\Judging from Heavenly Lord's complexion\it looked like he wanted to send a hundred thousand soldiers\to arrest Si Yin.\You were able to soothe his anger. response:	What's the point in arresting him?
context: That's right.\They've gone to live in seclusion together.\Dijun, you favor Kunlun Mountain's disciples.\Judging from Heavenly Lord's complexion\it looked like he wanted to send a hundred thousand soldiers\to arrest Si Yin.\You were able to soothe his anger.\What's the point in arresting him? response:	Si Yin was Mo Yuan's favorite.
context: They've gone to live in seclusion together.\Dijun, you favor Kunlun Mountain's disciples.\Judging from Heavenly Lord's complexion\it looked like he wanted to send a hundred thousand soldiers\to arrest Si Yin.\You were able to soothe his anger.\What's the point in arresting him?\Si Yin was Mo Yuan's favorite. response:	It's probably his wish... to be with this disciple after death.
context: Dijun, you favor Kunlun Mountain's disciples.\Judging from Heavenly Lord's complexion\it looked like he wanted to send a hundred thousand soldiers\to arrest Si Yin.\You were able to soothe his anger.\What's the point in arresting him?\Si Yin was Mo Yuan's favorite.\It's probably his wish... to be with this disciple after death. response:	Father! Father!
context: Judging from Heavenly Lord's complexion\it looked like he wanted to send a hundred thousand soldiers\to arrest Si Yin.\You were able to soothe his anger.\What's the point in arresting him?\Si Yin was Mo Yuan's favorite.\It's probably his wish... to be with this disciple after death.\Father! Father! response:	Hurry. Go.
context: it looked like he wanted to send a hundred thousand soldiers\to arrest Si Yin.\You were able to soothe his anger.\What's the point in arresting him?\Si Yin was Mo Yuan's favorite.\It's probably his wish... to be with this disciple after death.\Father! Father!\Hurry. Go. response:	Give this to Zhe Yan.
context: to arrest Si Yin.\You were able to soothe his anger.\What's the point in arresting him?\Si Yin was Mo Yuan's favorite.\It's probably his wish... to be with this disciple after death.\Father! Father!\Hurry. Go.\Give this to Zhe Yan. response:	Okay.
context: You were able to soothe his anger.\What's the point in arresting him?\Si Yin was Mo Yuan's favorite.\It's probably his wish... to be with this disciple after death.\Father! Father!\Hurry. Go.\Give this to Zhe Yan.\Okay. response:	Time is of the essence.
context: What's the point in arresting him?\Si Yin was Mo Yuan's favorite.\It's probably his wish... to be with this disciple after death.\Father! Father!\Hurry. Go.\Give this to Zhe Yan.\Okay.\Time is of the essence. response:	There's not enough time to turn your essence into a pill.
context: Si Yin was Mo Yuan's favorite.\It's probably his wish... to be with this disciple after death.\Father! Father!\Hurry. Go.\Give this to Zhe Yan.\Okay.\Time is of the essence.\There's not enough time to turn your essence into a pill. response:	When you cross repair your essence with Fifth Sister
context: It's probably his wish... to be with this disciple after death.\Father! Father!\Hurry. Go.\Give this to Zhe Yan.\Okay.\Time is of the essence.\There's not enough time to turn your essence into a pill.\When you cross repair your essence with Fifth Sister response:	if you're interrupted by the sound of the devil
context: Father! Father!\Hurry. Go.\Give this to Zhe Yan.\Okay.\Time is of the essence.\There's not enough time to turn your essence into a pill.\When you cross repair your essence with Fifth Sister\if you're interrupted by the sound of the devil response:	you must not let it stop you.
context: Hurry. Go.\Give this to Zhe Yan.\Okay.\Time is of the essence.\There's not enough time to turn your essence into a pill.\When you cross repair your essence with Fifth Sister\if you're interrupted by the sound of the devil\you must not let it stop you. response:	Continue with the cross repair.
context: Give this to Zhe Yan.\Okay.\Time is of the essence.\There's not enough time to turn your essence into a pill.\When you cross repair your essence with Fifth Sister\if you're interrupted by the sound of the devil\you must not let it stop you.\Continue with the cross repair. response:	Leave the rest to me.
context: Okay.\Time is of the essence.\There's not enough time to turn your essence into a pill.\When you cross repair your essence with Fifth Sister\if you're interrupted by the sound of the devil\you must not let it stop you.\Continue with the cross repair.\Leave the rest to me. response:	Okay.
context: Time is of the essence.\There's not enough time to turn your essence into a pill.\When you cross repair your essence with Fifth Sister\if you're interrupted by the sound of the devil\you must not let it stop you.\Continue with the cross repair.\Leave the rest to me.\Okay. response:	You're awake.
context: There's not enough time to turn your essence into a pill.\When you cross repair your essence with Fifth Sister\if you're interrupted by the sound of the devil\you must not let it stop you.\Continue with the cross repair.\Leave the rest to me.\Okay.\You're awake. response:	Mother.
