context: Yes, I'm on my way. response:	Yes, it'll be fine.
context: What did you say, brat?!\If he gets into trouble, help him out. I'd like to see what hes capable of.\Dammit!\He's just one man! Surround him!\You'll pay for this!\Well?\No one would accuse him of having good sword skills.\But, I wouldn't say that he doesn't have potential. response:	That so?
context: If he gets into trouble, help him out. I'd like to see what hes capable of.\Dammit!\He's just one man! Surround him!\You'll pay for this!\Well?\No one would accuse him of having good sword skills.\But, I wouldn't say that he doesn't have potential.\That so? response:	What do you have in mind, Lady Siluca?
context: Dammit!\He's just one man! Surround him!\You'll pay for this!\Well?\No one would accuse him of having good sword skills.\But, I wouldn't say that he doesn't have potential.\That so?\What do you have in mind, Lady Siluca? response:	Exactly what you're thinking yourself.
context: He's just one man! Surround him!\You'll pay for this!\Well?\No one would accuse him of having good sword skills.\But, I wouldn't say that he doesn't have potential.\That so?\What do you have in mind, Lady Siluca?\Exactly what you're thinking yourself. response:	I'll ask you to refrain, but just as a formality.
context: You'll pay for this!\Well?\No one would accuse him of having good sword skills.\But, I wouldn't say that he doesn't have potential.\That so?\What do you have in mind, Lady Siluca?\Exactly what you're thinking yourself.\I'll ask you to refrain, but just as a formality. response:	But I've already made up my mind.
context: Well?\No one would accuse him of having good sword skills.\But, I wouldn't say that he doesn't have potential.\That so?\What do you have in mind, Lady Siluca?\Exactly what you're thinking yourself.\I'll ask you to refrain, but just as a formality.\But I've already made up my mind. response:	Are you all right?
context: No one would accuse him of having good sword skills.\But, I wouldn't say that he doesn't have potential.\That so?\What do you have in mind, Lady Siluca?\Exactly what you're thinking yourself.\I'll ask you to refrain, but just as a formality.\But I've already made up my mind.\Are you all right? response:	Yeah, it's no concern.
context: But, I wouldn't say that he doesn't have potential.\That so?\What do you have in mind, Lady Siluca?\Exactly what you're thinking yourself.\I'll ask you to refrain, but just as a formality.\But I've already made up my mind.\Are you all right?\Yeah, it's no concern. response:	Never mind that. Dont you have something to say to me?
context: That so?\What do you have in mind, Lady Siluca?\Exactly what you're thinking yourself.\I'll ask you to refrain, but just as a formality.\But I've already made up my mind.\Are you all right?\Yeah, it's no concern.\Never mind that. Dont you have something to say to me? response:	Thank you for saving me from such peril! Something like that?
context: What do you have in mind, Lady Siluca?\Exactly what you're thinking yourself.\I'll ask you to refrain, but just as a formality.\But I've already made up my mind.\Are you all right?\Yeah, it's no concern.\Never mind that. Dont you have something to say to me?\Thank you for saving me from such peril! Something like that? response:	I have no intention of thanking you, since I wasn't in any danger.
context: Exactly what you're thinking yourself.\I'll ask you to refrain, but just as a formality.\But I've already made up my mind.\Are you all right?\Yeah, it's no concern.\Never mind that. Dont you have something to say to me?\Thank you for saving me from such peril! Something like that?\I have no intention of thanking you, since I wasn't in any danger. response:	There was no need to rescue me.
context: I'll ask you to refrain, but just as a formality.\But I've already made up my mind.\Are you all right?\Yeah, it's no concern.\Never mind that. Dont you have something to say to me?\Thank you for saving me from such peril! Something like that?\I have no intention of thanking you, since I wasn't in any danger.\There was no need to rescue me. response:	Is that your way of saying I butted in?
context: But I've already made up my mind.\Are you all right?\Yeah, it's no concern.\Never mind that. Dont you have something to say to me?\Thank you for saving me from such peril! Something like that?\I have no intention of thanking you, since I wasn't in any danger.\There was no need to rescue me.\Is that your way of saying I butted in? response:	That's right.
context: Are you all right?\Yeah, it's no concern.\Never mind that. Dont you have something to say to me?\Thank you for saving me from such peril! Something like that?\I have no intention of thanking you, since I wasn't in any danger.\There was no need to rescue me.\Is that your way of saying I butted in?\That's right. response:	I'm Siluca Meletes, a mage.
context: Yeah, it's no concern.\Never mind that. Dont you have something to say to me?\Thank you for saving me from such peril! Something like that?\I have no intention of thanking you, since I wasn't in any danger.\There was no need to rescue me.\Is that your way of saying I butted in?\That's right.\I'm Siluca Meletes, a mage. response:	That man is Irvin, a demon seal holder.
context: Never mind that. Dont you have something to say to me?\Thank you for saving me from such peril! Something like that?\I have no intention of thanking you, since I wasn't in any danger.\There was no need to rescue me.\Is that your way of saying I butted in?\That's right.\I'm Siluca Meletes, a mage.\That man is Irvin, a demon seal holder. response:	Who did you receive your Crest from?
context: Thank you for saving me from such peril! Something like that?\I have no intention of thanking you, since I wasn't in any danger.\There was no need to rescue me.\Is that your way of saying I butted in?\That's right.\I'm Siluca Meletes, a mage.\That man is Irvin, a demon seal holder.\Who did you receive your Crest from? response:	Receive?
context: I have no intention of thanking you, since I wasn't in any danger.\There was no need to rescue me.\Is that your way of saying I butted in?\That's right.\I'm Siluca Meletes, a mage.\That man is Irvin, a demon seal holder.\Who did you receive your Crest from?\Receive? response:	No, this is something I made to exterminate demons.
context: There was no need to rescue me.\Is that your way of saying I butted in?\That's right.\I'm Siluca Meletes, a mage.\That man is Irvin, a demon seal holder.\Who did you receive your Crest from?\Receive?\No, this is something I made to exterminate demons. response:	You made a Crest from the Chaos Core?
context: Is that your way of saying I butted in?\That's right.\I'm Siluca Meletes, a mage.\That man is Irvin, a demon seal holder.\Who did you receive your Crest from?\Receive?\No, this is something I made to exterminate demons.\You made a Crest from the Chaos Core? response:	And what kind of world do you wish to create with that Crest?
context: That's right.\I'm Siluca Meletes, a mage.\That man is Irvin, a demon seal holder.\Who did you receive your Crest from?\Receive?\No, this is something I made to exterminate demons.\You made a Crest from the Chaos Core?\And what kind of world do you wish to create with that Crest? response:	World?
context: I'm Siluca Meletes, a mage.\That man is Irvin, a demon seal holder.\Who did you receive your Crest from?\Receive?\No, this is something I made to exterminate demons.\You made a Crest from the Chaos Core?\And what kind of world do you wish to create with that Crest?\World? response:	Systina, where I was born, has a high concentration of Chaos.
context: That man is Irvin, a demon seal holder.\Who did you receive your Crest from?\Receive?\No, this is something I made to exterminate demons.\You made a Crest from the Chaos Core?\And what kind of world do you wish to create with that Crest?\World?\Systina, where I was born, has a high concentration of Chaos. response:	Demons run rampant there. And there are frequent natural disasters.
context: Who did you receive your Crest from?\Receive?\No, this is something I made to exterminate demons.\You made a Crest from the Chaos Core?\And what kind of world do you wish to create with that Crest?\World?\Systina, where I was born, has a high concentration of Chaos.\Demons run rampant there. And there are frequent natural disasters. response:	Plus, scores of my people suffer under the tyranny of the Alliance's Viscount Rossini.
context: Receive?\No, this is something I made to exterminate demons.\You made a Crest from the Chaos Core?\And what kind of world do you wish to create with that Crest?\World?\Systina, where I was born, has a high concentration of Chaos.\Demons run rampant there. And there are frequent natural disasters.\Plus, scores of my people suffer under the tyranny of the Alliance's Viscount Rossini. response:	When I receive my title, I'm going to head home and become a Lord.
context: No, this is something I made to exterminate demons.\You made a Crest from the Chaos Core?\And what kind of world do you wish to create with that Crest?\World?\Systina, where I was born, has a high concentration of Chaos.\Demons run rampant there. And there are frequent natural disasters.\Plus, scores of my people suffer under the tyranny of the Alliance's Viscount Rossini.\When I receive my title, I'm going to head home and become a Lord. response:	I want to suppress the Chaos with my Crest, repulse the demons and prevent disasters.
context: You made a Crest from the Chaos Core?\And what kind of world do you wish to create with that Crest?\World?\Systina, where I was born, has a high concentration of Chaos.\Demons run rampant there. And there are frequent natural disasters.\Plus, scores of my people suffer under the tyranny of the Alliance's Viscount Rossini.\When I receive my title, I'm going to head home and become a Lord.\I want to suppress the Chaos with my Crest, repulse the demons and prevent disasters. response:	Those are fine intentions you have.
context: And what kind of world do you wish to create with that Crest?\World?\Systina, where I was born, has a high concentration of Chaos.\Demons run rampant there. And there are frequent natural disasters.\Plus, scores of my people suffer under the tyranny of the Alliance's Viscount Rossini.\When I receive my title, I'm going to head home and become a Lord.\I want to suppress the Chaos with my Crest, repulse the demons and prevent disasters.\Those are fine intentions you have. response:	But at your rank, you couldn't rule over a single town, let alone Systina.
context: World?\Systina, where I was born, has a high concentration of Chaos.\Demons run rampant there. And there are frequent natural disasters.\Plus, scores of my people suffer under the tyranny of the Alliance's Viscount Rossini.\When I receive my title, I'm going to head home and become a Lord.\I want to suppress the Chaos with my Crest, repulse the demons and prevent disasters.\Those are fine intentions you have.\But at your rank, you couldn't rule over a single town, let alone Systina. response:	I'm aware!
context: Systina, where I was born, has a high concentration of Chaos.\Demons run rampant there. And there are frequent natural disasters.\Plus, scores of my people suffer under the tyranny of the Alliance's Viscount Rossini.\When I receive my title, I'm going to head home and become a Lord.\I want to suppress the Chaos with my Crest, repulse the demons and prevent disasters.\Those are fine intentions you have.\But at your rank, you couldn't rule over a single town, let alone Systina.\I'm aware! response:	You could always pledge fealty to Rossini, and have him make you a Lord.
context: Demons run rampant there. And there are frequent natural disasters.\Plus, scores of my people suffer under the tyranny of the Alliance's Viscount Rossini.\When I receive my title, I'm going to head home and become a Lord.\I want to suppress the Chaos with my Crest, repulse the demons and prevent disasters.\Those are fine intentions you have.\But at your rank, you couldn't rule over a single town, let alone Systina.\I'm aware!\You could always pledge fealty to Rossini, and have him make you a Lord. response:	I don't wish to serve a man like that!
context: Plus, scores of my people suffer under the tyranny of the Alliance's Viscount Rossini.\When I receive my title, I'm going to head home and become a Lord.\I want to suppress the Chaos with my Crest, repulse the demons and prevent disasters.\Those are fine intentions you have.\But at your rank, you couldn't rule over a single town, let alone Systina.\I'm aware!\You could always pledge fealty to Rossini, and have him make you a Lord.\I don't wish to serve a man like that! response:	So you're giving up your dream?
context: When I receive my title, I'm going to head home and become a Lord.\I want to suppress the Chaos with my Crest, repulse the demons and prevent disasters.\Those are fine intentions you have.\But at your rank, you couldn't rule over a single town, let alone Systina.\I'm aware!\You could always pledge fealty to Rossini, and have him make you a Lord.\I don't wish to serve a man like that!\So you're giving up your dream? response:	I can't do that!
context: I want to suppress the Chaos with my Crest, repulse the demons and prevent disasters.\Those are fine intentions you have.\But at your rank, you couldn't rule over a single town, let alone Systina.\I'm aware!\You could always pledge fealty to Rossini, and have him make you a Lord.\I don't wish to serve a man like that!\So you're giving up your dream?\I can't do that! response:	I'm going to raise my rank by enhancing my own powers!
context: Those are fine intentions you have.\But at your rank, you couldn't rule over a single town, let alone Systina.\I'm aware!\You could always pledge fealty to Rossini, and have him make you a Lord.\I don't wish to serve a man like that!\So you're giving up your dream?\I can't do that!\I'm going to raise my rank by enhancing my own powers! response:	No matter how many years it takes!
context: But at your rank, you couldn't rule over a single town, let alone Systina.\I'm aware!\You could always pledge fealty to Rossini, and have him make you a Lord.\I don't wish to serve a man like that!\So you're giving up your dream?\I can't do that!\I'm going to raise my rank by enhancing my own powers!\No matter how many years it takes! response:	That so?
context: I'm aware!\You could always pledge fealty to Rossini, and have him make you a Lord.\I don't wish to serve a man like that!\So you're giving up your dream?\I can't do that!\I'm going to raise my rank by enhancing my own powers!\No matter how many years it takes!\That so? response:	In that case, I'll give you a hand.
context: You could always pledge fealty to Rossini, and have him make you a Lord.\I don't wish to serve a man like that!\So you're giving up your dream?\I can't do that!\I'm going to raise my rank by enhancing my own powers!\No matter how many years it takes!\That so?\In that case, I'll give you a hand. response:	This world is rife with Chaos.
context: I don't wish to serve a man like that!\So you're giving up your dream?\I can't do that!\I'm going to raise my rank by enhancing my own powers!\No matter how many years it takes!\That so?\In that case, I'll give you a hand.\This world is rife with Chaos. response:	Order has been lost, and the laws of nature have been disrupted.
context: So you're giving up your dream?\I can't do that!\I'm going to raise my rank by enhancing my own powers!\No matter how many years it takes!\That so?\In that case, I'll give you a hand.\This world is rife with Chaos.\Order has been lost, and the laws of nature have been disrupted. response:	Hence why we see impossible phenomena.
context: I can't do that!\I'm going to raise my rank by enhancing my own powers!\No matter how many years it takes!\That so?\In that case, I'll give you a hand.\This world is rife with Chaos.\Order has been lost, and the laws of nature have been disrupted.\Hence why we see impossible phenomena. response:	One of them being the emergence of demons from another world.
context: I'm going to raise my rank by enhancing my own powers!\No matter how many years it takes!\That so?\In that case, I'll give you a hand.\This world is rife with Chaos.\Order has been lost, and the laws of nature have been disrupted.\Hence why we see impossible phenomena.\One of them being the emergence of demons from another world. response:	Which cast a shadow... Over this world.
context: No matter how many years it takes!\That so?\In that case, I'll give you a hand.\This world is rife with Chaos.\Order has been lost, and the laws of nature have been disrupted.\Hence why we see impossible phenomena.\One of them being the emergence of demons from another world.\Which cast a shadow... Over this world. response:	Converge! From Tartarus into Orthros!
context: That so?\In that case, I'll give you a hand.\This world is rife with Chaos.\Order has been lost, and the laws of nature have been disrupted.\Hence why we see impossible phenomena.\One of them being the emergence of demons from another world.\Which cast a shadow... Over this world.\Converge! From Tartarus into Orthros! response:	What are you doing?
context: In that case, I'll give you a hand.\This world is rife with Chaos.\Order has been lost, and the laws of nature have been disrupted.\Hence why we see impossible phenomena.\One of them being the emergence of demons from another world.\Which cast a shadow... Over this world.\Converge! From Tartarus into Orthros!\What are you doing? response:	A Crest's potency is determined by the amount of Chaos it contains.
context: This world is rife with Chaos.\Order has been lost, and the laws of nature have been disrupted.\Hence why we see impossible phenomena.\One of them being the emergence of demons from another world.\Which cast a shadow... Over this world.\Converge! From Tartarus into Orthros!\What are you doing?\A Crest's potency is determined by the amount of Chaos it contains. response:	If you defeat this and absorb its Chaos Core, you can attain the rank of Knight!
context: Order has been lost, and the laws of nature have been disrupted.\Hence why we see impossible phenomena.\One of them being the emergence of demons from another world.\Which cast a shadow... Over this world.\Converge! From Tartarus into Orthros!\What are you doing?\A Crest's potency is determined by the amount of Chaos it contains.\If you defeat this and absorb its Chaos Core, you can attain the rank of Knight! response:	If I die, I'm going to haunt you!
context: Hence why we see impossible phenomena.\One of them being the emergence of demons from another world.\Which cast a shadow... Over this world.\Converge! From Tartarus into Orthros!\What are you doing?\A Crest's potency is determined by the amount of Chaos it contains.\If you defeat this and absorb its Chaos Core, you can attain the rank of Knight!\If I die, I'm going to haunt you! response:	I wouldn't have it any other way!
context: One of them being the emergence of demons from another world.\Which cast a shadow... Over this world.\Converge! From Tartarus into Orthros!\What are you doing?\A Crest's potency is determined by the amount of Chaos it contains.\If you defeat this and absorb its Chaos Core, you can attain the rank of Knight!\If I die, I'm going to haunt you!\I wouldn't have it any other way! response:	Impressive!
context: Which cast a shadow... Over this world.\Converge! From Tartarus into Orthros!\What are you doing?\A Crest's potency is determined by the amount of Chaos it contains.\If you defeat this and absorb its Chaos Core, you can attain the rank of Knight!\If I die, I'm going to haunt you!\I wouldn't have it any other way!\Impressive! response:	I-I was sure my number was up...
context: Converge! From Tartarus into Orthros!\What are you doing?\A Crest's potency is determined by the amount of Chaos it contains.\If you defeat this and absorb its Chaos Core, you can attain the rank of Knight!\If I die, I'm going to haunt you!\I wouldn't have it any other way!\Impressive!\I-I was sure my number was up... response:	You better hurry, or the Chaos Core will disperse.
context: What are you doing?\A Crest's potency is determined by the amount of Chaos it contains.\If you defeat this and absorb its Chaos Core, you can attain the rank of Knight!\If I die, I'm going to haunt you!\I wouldn't have it any other way!\Impressive!\I-I was sure my number was up...\You better hurry, or the Chaos Core will disperse. response:	Seriously...
context: A Crest's potency is determined by the amount of Chaos it contains.\If you defeat this and absorb its Chaos Core, you can attain the rank of Knight!\If I die, I'm going to haunt you!\I wouldn't have it any other way!\Impressive!\I-I was sure my number was up...\You better hurry, or the Chaos Core will disperse.\Seriously... response:	Congratulations!
context: If you defeat this and absorb its Chaos Core, you can attain the rank of Knight!\If I die, I'm going to haunt you!\I wouldn't have it any other way!\Impressive!\I-I was sure my number was up...\You better hurry, or the Chaos Core will disperse.\Seriously...\Congratulations! response:	Your Crest has reached the rank of Knight! You can enter into a contract with one mage.
context: If I die, I'm going to haunt you!\I wouldn't have it any other way!\Impressive!\I-I was sure my number was up...\You better hurry, or the Chaos Core will disperse.\Seriously...\Congratulations!\Your Crest has reached the rank of Knight! You can enter into a contract with one mage. response:	Can I do that with someone other than you?
context: I wouldn't have it any other way!\Impressive!\I-I was sure my number was up...\You better hurry, or the Chaos Core will disperse.\Seriously...\Congratulations!\Your Crest has reached the rank of Knight! You can enter into a contract with one mage.\Can I do that with someone other than you? response:	I am already committed to a contract.
context: Impressive!\I-I was sure my number was up...\You better hurry, or the Chaos Core will disperse.\Seriously...\Congratulations!\Your Crest has reached the rank of Knight! You can enter into a contract with one mage.\Can I do that with someone other than you?\I am already committed to a contract. response:	To think that you still want me...
context: I-I was sure my number was up...\You better hurry, or the Chaos Core will disperse.\Seriously...\Congratulations!\Your Crest has reached the rank of Knight! You can enter into a contract with one mage.\Can I do that with someone other than you?\I am already committed to a contract.\To think that you still want me... response:	No, I never said that, did I?
context: You better hurry, or the Chaos Core will disperse.\Seriously...\Congratulations!\Your Crest has reached the rank of Knight! You can enter into a contract with one mage.\Can I do that with someone other than you?\I am already committed to a contract.\To think that you still want me...\No, I never said that, did I? response:	I, Siluca Meletes...
context: Seriously...\Congratulations!\Your Crest has reached the rank of Knight! You can enter into a contract with one mage.\Can I do that with someone other than you?\I am already committed to a contract.\To think that you still want me...\No, I never said that, did I?\I, Siluca Meletes... response:	You're the one forcing yourself on me, right?
context: Congratulations!\Your Crest has reached the rank of Knight! You can enter into a contract with one mage.\Can I do that with someone other than you?\I am already committed to a contract.\To think that you still want me...\No, I never said that, did I?\I, Siluca Meletes...\You're the one forcing yourself on me, right? response:	Just give yourself to fate!
context: Your Crest has reached the rank of Knight! You can enter into a contract with one mage.\Can I do that with someone other than you?\I am already committed to a contract.\To think that you still want me...\No, I never said that, did I?\I, Siluca Meletes...\You're the one forcing yourself on me, right?\Just give yourself to fate! response:	Well, I guess I don't mind.
context: Can I do that with someone other than you?\I am already committed to a contract.\To think that you still want me...\No, I never said that, did I?\I, Siluca Meletes...\You're the one forcing yourself on me, right?\Just give yourself to fate!\Well, I guess I don't mind. response:	Now then, shall we set off?
context: I am already committed to a contract.\To think that you still want me...\No, I never said that, did I?\I, Siluca Meletes...\You're the one forcing yourself on me, right?\Just give yourself to fate!\Well, I guess I don't mind.\Now then, shall we set off? response:	Where?
context: To think that you still want me...\No, I never said that, did I?\I, Siluca Meletes...\You're the one forcing yourself on me, right?\Just give yourself to fate!\Well, I guess I don't mind.\Now then, shall we set off?\Where? response:	To war!
context: No, I never said that, did I?\I, Siluca Meletes...\You're the one forcing yourself on me, right?\Just give yourself to fate!\Well, I guess I don't mind.\Now then, shall we set off?\Where?\To war! response:	Lord Mesto, just what were you thinking?
context: I, Siluca Meletes...\You're the one forcing yourself on me, right?\Just give yourself to fate!\Well, I guess I don't mind.\Now then, shall we set off?\Where?\To war!\Lord Mesto, just what were you thinking? response:	Attacking a mage before her contract goes into effect is a major violation of our treaty.
context: You're the one forcing yourself on me, right?\Just give yourself to fate!\Well, I guess I don't mind.\Now then, shall we set off?\Where?\To war!\Lord Mesto, just what were you thinking?\Attacking a mage before her contract goes into effect is a major violation of our treaty. response:	If you're charged, they could strip you of your rank.
context: Just give yourself to fate!\Well, I guess I don't mind.\Now then, shall we set off?\Where?\To war!\Lord Mesto, just what were you thinking?\Attacking a mage before her contract goes into effect is a major violation of our treaty.\If you're charged, they could strip you of your rank. response:	Why should Lords like us be stifled by the damn Mages' Association's rules?
context: Well, I guess I don't mind.\Now then, shall we set off?\Where?\To war!\Lord Mesto, just what were you thinking?\Attacking a mage before her contract goes into effect is a major violation of our treaty.\If you're charged, they could strip you of your rank.\Why should Lords like us be stifled by the damn Mages' Association's rules? response:	At any rate, you need to consult Viscount Shakes, the leader of Clovis
context: Now then, shall we set off?\Where?\To war!\Lord Mesto, just what were you thinking?\Attacking a mage before her contract goes into effect is a major violation of our treaty.\If you're charged, they could strip you of your rank.\Why should Lords like us be stifled by the damn Mages' Association's rules?\At any rate, you need to consult Viscount Shakes, the leader of Clovis response:	All you need to do is follow my orders.
context: Where?\To war!\Lord Mesto, just what were you thinking?\Attacking a mage before her contract goes into effect is a major violation of our treaty.\If you're charged, they could strip you of your rank.\Why should Lords like us be stifled by the damn Mages' Association's rules?\At any rate, you need to consult Viscount Shakes, the leader of Clovis\All you need to do is follow my orders. response:	As you wish.
context: To war!\Lord Mesto, just what were you thinking?\Attacking a mage before her contract goes into effect is a major violation of our treaty.\If you're charged, they could strip you of your rank.\Why should Lords like us be stifled by the damn Mages' Association's rules?\At any rate, you need to consult Viscount Shakes, the leader of Clovis\All you need to do is follow my orders.\As you wish. response:	B-Bad news!
context: Lord Mesto, just what were you thinking?\Attacking a mage before her contract goes into effect is a major violation of our treaty.\If you're charged, they could strip you of your rank.\Why should Lords like us be stifled by the damn Mages' Association's rules?\At any rate, you need to consult Viscount Shakes, the leader of Clovis\All you need to do is follow my orders.\As you wish.\B-Bad news! response:	What's wrong?
context: Attacking a mage before her contract goes into effect is a major violation of our treaty.\If you're charged, they could strip you of your rank.\Why should Lords like us be stifled by the damn Mages' Association's rules?\At any rate, you need to consult Viscount Shakes, the leader of Clovis\All you need to do is follow my orders.\As you wish.\B-Bad news!\What's wrong? response:	A Lord named Theo is demanding that you hand over your Crest and castle!
context: If you're charged, they could strip you of your rank.\Why should Lords like us be stifled by the damn Mages' Association's rules?\At any rate, you need to consult Viscount Shakes, the leader of Clovis\All you need to do is follow my orders.\As you wish.\B-Bad news!\What's wrong?\A Lord named Theo is demanding that you hand over your Crest and castle! response:	Where the hell is this Lord from? How many men are we up against?
context: Why should Lords like us be stifled by the damn Mages' Association's rules?\At any rate, you need to consult Viscount Shakes, the leader of Clovis\All you need to do is follow my orders.\As you wish.\B-Bad news!\What's wrong?\A Lord named Theo is demanding that you hand over your Crest and castle!\Where the hell is this Lord from? How many men are we up against? response:	Three, sir!
context: At any rate, you need to consult Viscount Shakes, the leader of Clovis\All you need to do is follow my orders.\As you wish.\B-Bad news!\What's wrong?\A Lord named Theo is demanding that you hand over your Crest and castle!\Where the hell is this Lord from? How many men are we up against?\Three, sir! response:	Only three?
context: All you need to do is follow my orders.\As you wish.\B-Bad news!\What's wrong?\A Lord named Theo is demanding that you hand over your Crest and castle!\Where the hell is this Lord from? How many men are we up against?\Three, sir!\Only three? response:	Who does he think he's dealing with?
context: As you wish.\B-Bad news!\What's wrong?\A Lord named Theo is demanding that you hand over your Crest and castle!\Where the hell is this Lord from? How many men are we up against?\Three, sir!\Only three?\Who does he think he's dealing with? response:	Does he really think he can seize this castle with just three people?
context: B-Bad news!\What's wrong?\A Lord named Theo is demanding that you hand over your Crest and castle!\Where the hell is this Lord from? How many men are we up against?\Three, sir!\Only three?\Who does he think he's dealing with?\Does he really think he can seize this castle with just three people? response:	Oh, thats enough.
context: What's wrong?\A Lord named Theo is demanding that you hand over your Crest and castle!\Where the hell is this Lord from? How many men are we up against?\Three, sir!\Only three?\Who does he think he's dealing with?\Does he really think he can seize this castle with just three people?\Oh, thats enough. response:	Who are you?
context: A Lord named Theo is demanding that you hand over your Crest and castle!\Where the hell is this Lord from? How many men are we up against?\Three, sir!\Only three?\Who does he think he's dealing with?\Does he really think he can seize this castle with just three people?\Oh, thats enough.\Who are you? response:	My name is Siluca Meletes.
context: Where the hell is this Lord from? How many men are we up against?\Three, sir!\Only three?\Who does he think he's dealing with?\Does he really think he can seize this castle with just three people?\Oh, thats enough.\Who are you?\My name is Siluca Meletes. response:	Siluca?
context: Three, sir!\Only three?\Who does he think he's dealing with?\Does he really think he can seize this castle with just three people?\Oh, thats enough.\Who are you?\My name is Siluca Meletes.\Siluca? response:	I've heard of you.
context: Only three?\Who does he think he's dealing with?\Does he really think he can seize this castle with just three people?\Oh, thats enough.\Who are you?\My name is Siluca Meletes.\Siluca?\I've heard of you. response:	That you were sure to master every subject, and become a Rainbow Mage.
context: Who does he think he's dealing with?\Does he really think he can seize this castle with just three people?\Oh, thats enough.\Who are you?\My name is Siluca Meletes.\Siluca?\I've heard of you.\That you were sure to master every subject, and become a Rainbow Mage. response:	Sorry to disappoint you. I graduated with six colors.
context: Does he really think he can seize this castle with just three people?\Oh, thats enough.\Who are you?\My name is Siluca Meletes.\Siluca?\I've heard of you.\That you were sure to master every subject, and become a Rainbow Mage.\Sorry to disappoint you. I graduated with six colors. response:	So you're the mage entering into a contract with the Count of Artuk?
context: Oh, thats enough.\Who are you?\My name is Siluca Meletes.\Siluca?\I've heard of you.\That you were sure to master every subject, and become a Rainbow Mage.\Sorry to disappoint you. I graduated with six colors.\So you're the mage entering into a contract with the Count of Artuk? response:	Yes.
context: Who are you?\My name is Siluca Meletes.\Siluca?\I've heard of you.\That you were sure to master every subject, and become a Rainbow Mage.\Sorry to disappoint you. I graduated with six colors.\So you're the mage entering into a contract with the Count of Artuk?\Yes. response:	However, I'm now under contract to Sir Theo here.
context: My name is Siluca Meletes.\Siluca?\I've heard of you.\That you were sure to master every subject, and become a Rainbow Mage.\Sorry to disappoint you. I graduated with six colors.\So you're the mage entering into a contract with the Count of Artuk?\Yes.\However, I'm now under contract to Sir Theo here. response:	Are you certain? A mage who unilaterally voids a contract
context: Siluca?\I've heard of you.\That you were sure to master every subject, and become a Rainbow Mage.\Sorry to disappoint you. I graduated with six colors.\So you're the mage entering into a contract with the Count of Artuk?\Yes.\However, I'm now under contract to Sir Theo here.\Are you certain? A mage who unilaterally voids a contract response:	will be penalized accordingly.
context: I've heard of you.\That you were sure to master every subject, and become a Rainbow Mage.\Sorry to disappoint you. I graduated with six colors.\So you're the mage entering into a contract with the Count of Artuk?\Yes.\However, I'm now under contract to Sir Theo here.\Are you certain? A mage who unilaterally voids a contract\will be penalized accordingly. response:	I believe this is destiny.
context: That you were sure to master every subject, and become a Rainbow Mage.\Sorry to disappoint you. I graduated with six colors.\So you're the mage entering into a contract with the Count of Artuk?\Yes.\However, I'm now under contract to Sir Theo here.\Are you certain? A mage who unilaterally voids a contract\will be penalized accordingly.\I believe this is destiny. response:	Hey, what are you doing, Sartorus?
context: Sorry to disappoint you. I graduated with six colors.\So you're the mage entering into a contract with the Count of Artuk?\Yes.\However, I'm now under contract to Sir Theo here.\Are you certain? A mage who unilaterally voids a contract\will be penalized accordingly.\I believe this is destiny.\Hey, what are you doing, Sartorus? response:	I order you in the name of my Crest.
context: So you're the mage entering into a contract with the Count of Artuk?\Yes.\However, I'm now under contract to Sir Theo here.\Are you certain? A mage who unilaterally voids a contract\will be penalized accordingly.\I believe this is destiny.\Hey, what are you doing, Sartorus?\I order you in the name of my Crest. response:	- Hurry and deal with these - Silence!
context: Yes.\However, I'm now under contract to Sir Theo here.\Are you certain? A mage who unilaterally voids a contract\will be penalized accordingly.\I believe this is destiny.\Hey, what are you doing, Sartorus?\I order you in the name of my Crest.\- Hurry and deal with these - Silence! response:	You've violated the treaty.
context: However, I'm now under contract to Sir Theo here.\Are you certain? A mage who unilaterally voids a contract\will be penalized accordingly.\I believe this is destiny.\Hey, what are you doing, Sartorus?\I order you in the name of my Crest.\- Hurry and deal with these - Silence!\You've violated the treaty. response:	Meaning you'll be stripped of your rank and everything else.
context: Are you certain? A mage who unilaterally voids a contract\will be penalized accordingly.\I believe this is destiny.\Hey, what are you doing, Sartorus?\I order you in the name of my Crest.\- Hurry and deal with these - Silence!\You've violated the treaty.\Meaning you'll be stripped of your rank and everything else. response:	And your contract with me is now void. I have no reason to follow your orders!
context: will be penalized accordingly.\I believe this is destiny.\Hey, what are you doing, Sartorus?\I order you in the name of my Crest.\- Hurry and deal with these - Silence!\You've violated the treaty.\Meaning you'll be stripped of your rank and everything else.\And your contract with me is now void. I have no reason to follow your orders! response:	W-What did you say?
context: I believe this is destiny.\Hey, what are you doing, Sartorus?\I order you in the name of my Crest.\- Hurry and deal with these - Silence!\You've violated the treaty.\Meaning you'll be stripped of your rank and everything else.\And your contract with me is now void. I have no reason to follow your orders!\W-What did you say? response:	Now that it's come to this, it's time to surrender your Crest,
context: Hey, what are you doing, Sartorus?\I order you in the name of my Crest.\- Hurry and deal with these - Silence!\You've violated the treaty.\Meaning you'll be stripped of your rank and everything else.\And your contract with me is now void. I have no reason to follow your orders!\W-What did you say?\Now that it's come to this, it's time to surrender your Crest, response:	and leave this land without further delay.
