context: This is... Earth?! response:	It's hovering!
context: Hey! Pinion!\Who's gonna fix my boat?!\Don't ask me, dumbass!\See you!\Yeah! Thanks!\Amy!\What's the merman like?!\Merman? response:	A boy took you hostage, right?
context: Who's gonna fix my boat?!\Don't ask me, dumbass!\See you!\Yeah! Thanks!\Amy!\What's the merman like?!\Merman?\A boy took you hostage, right? response:	How old is he? Is he handsome?
context: Don't ask me, dumbass!\See you!\Yeah! Thanks!\Amy!\What's the merman like?!\Merman?\A boy took you hostage, right?\How old is he? Is he handsome? response:	People keep bugging me to ask you about it!
context: See you!\Yeah! Thanks!\Amy!\What's the merman like?!\Merman?\A boy took you hostage, right?\How old is he? Is he handsome?\People keep bugging me to ask you about it! response:	Gimme a break! I'm trying to work here!
context: Yeah! Thanks!\Amy!\What's the merman like?!\Merman?\A boy took you hostage, right?\How old is he? Is he handsome?\People keep bugging me to ask you about it!\Gimme a break! I'm trying to work here! response:	Hey! Amy!
context: Amy!\What's the merman like?!\Merman?\A boy took you hostage, right?\How old is he? Is he handsome?\People keep bugging me to ask you about it!\Gimme a break! I'm trying to work here!\Hey! Amy! response:	Don't jump until the wings are spread!
context: What's the merman like?!\Merman?\A boy took you hostage, right?\How old is he? Is he handsome?\People keep bugging me to ask you about it!\Gimme a break! I'm trying to work here!\Hey! Amy!\Don't jump until the wings are spread! response:	You need to be more careful!
context: Merman?\A boy took you hostage, right?\How old is he? Is he handsome?\People keep bugging me to ask you about it!\Gimme a break! I'm trying to work here!\Hey! Amy!\Don't jump until the wings are spread!\You need to be more careful! response:	I'm supposed to keep my mouth shut after Ridget and them snatched my treasure?!
context: A boy took you hostage, right?\How old is he? Is he handsome?\People keep bugging me to ask you about it!\Gimme a break! I'm trying to work here!\Hey! Amy!\Don't jump until the wings are spread!\You need to be more careful!\I'm supposed to keep my mouth shut after Ridget and them snatched my treasure?! response:	I'll thoroughly search the exact same spot!
context: How old is he? Is he handsome?\People keep bugging me to ask you about it!\Gimme a break! I'm trying to work here!\Hey! Amy!\Don't jump until the wings are spread!\You need to be more careful!\I'm supposed to keep my mouth shut after Ridget and them snatched my treasure?!\I'll thoroughly search the exact same spot! response:	Bebel, I'm back!
context: People keep bugging me to ask you about it!\Gimme a break! I'm trying to work here!\Hey! Amy!\Don't jump until the wings are spread!\You need to be more careful!\I'm supposed to keep my mouth shut after Ridget and them snatched my treasure?!\I'll thoroughly search the exact same spot!\Bebel, I'm back! response:	Hi, Sis.
context: Gimme a break! I'm trying to work here!\Hey! Amy!\Don't jump until the wings are spread!\You need to be more careful!\I'm supposed to keep my mouth shut after Ridget and them snatched my treasure?!\I'll thoroughly search the exact same spot!\Bebel, I'm back!\Hi, Sis. response:	Sorry I took so long.
context: Hey! Amy!\Don't jump until the wings are spread!\You need to be more careful!\I'm supposed to keep my mouth shut after Ridget and them snatched my treasure?!\I'll thoroughly search the exact same spot!\Bebel, I'm back!\Hi, Sis.\Sorry I took so long. response:	Sis, are you okay?
context: Don't jump until the wings are spread!\You need to be more careful!\I'm supposed to keep my mouth shut after Ridget and them snatched my treasure?!\I'll thoroughly search the exact same spot!\Bebel, I'm back!\Hi, Sis.\Sorry I took so long.\Sis, are you okay? response:	I heard you were taken hostage?
context: You need to be more careful!\I'm supposed to keep my mouth shut after Ridget and them snatched my treasure?!\I'll thoroughly search the exact same spot!\Bebel, I'm back!\Hi, Sis.\Sorry I took so long.\Sis, are you okay?\I heard you were taken hostage? response:	Yeah. But I'm fine.
context: I'm supposed to keep my mouth shut after Ridget and them snatched my treasure?!\I'll thoroughly search the exact same spot!\Bebel, I'm back!\Hi, Sis.\Sorry I took so long.\Sis, are you okay?\I heard you were taken hostage?\Yeah. But I'm fine. response:	I'm lucky he wasn't a dangerous person.
context: I'll thoroughly search the exact same spot!\Bebel, I'm back!\Hi, Sis.\Sorry I took so long.\Sis, are you okay?\I heard you were taken hostage?\Yeah. But I'm fine.\I'm lucky he wasn't a dangerous person. response:	Apparently, his name is Ledo.
context: Bebel, I'm back!\Hi, Sis.\Sorry I took so long.\Sis, are you okay?\I heard you were taken hostage?\Yeah. But I'm fine.\I'm lucky he wasn't a dangerous person.\Apparently, his name is Ledo. response:	Ledo... What's he like?
context: Hi, Sis.\Sorry I took so long.\Sis, are you okay?\I heard you were taken hostage?\Yeah. But I'm fine.\I'm lucky he wasn't a dangerous person.\Apparently, his name is Ledo.\Ledo... What's he like? response:	I'd guess he's about my age.
context: Sorry I took so long.\Sis, are you okay?\I heard you were taken hostage?\Yeah. But I'm fine.\I'm lucky he wasn't a dangerous person.\Apparently, his name is Ledo.\Ledo... What's he like?\I'd guess he's about my age. response:	With his slim arms, he doesn't seem really masculine.
context: Sis, are you okay?\I heard you were taken hostage?\Yeah. But I'm fine.\I'm lucky he wasn't a dangerous person.\Apparently, his name is Ledo.\Ledo... What's he like?\I'd guess he's about my age.\With his slim arms, he doesn't seem really masculine. response:	Huh...
context: I heard you were taken hostage?\Yeah. But I'm fine.\I'm lucky he wasn't a dangerous person.\Apparently, his name is Ledo.\Ledo... What's he like?\I'd guess he's about my age.\With his slim arms, he doesn't seem really masculine.\Huh... response:	And there's one more, still inside a Yunboro.
context: Yeah. But I'm fine.\I'm lucky he wasn't a dangerous person.\Apparently, his name is Ledo.\Ledo... What's he like?\I'd guess he's about my age.\With his slim arms, he doesn't seem really masculine.\Huh...\And there's one more, still inside a Yunboro. response:	That one can speak a little bit of our language, enough to understand him anyway.
context: I'm lucky he wasn't a dangerous person.\Apparently, his name is Ledo.\Ledo... What's he like?\I'd guess he's about my age.\With his slim arms, he doesn't seem really masculine.\Huh...\And there's one more, still inside a Yunboro.\That one can speak a little bit of our language, enough to understand him anyway. response:	Then they should talk things over with them and become friends, right?
context: Apparently, his name is Ledo.\Ledo... What's he like?\I'd guess he's about my age.\With his slim arms, he doesn't seem really masculine.\Huh...\And there's one more, still inside a Yunboro.\That one can speak a little bit of our language, enough to understand him anyway.\Then they should talk things over with them and become friends, right? response:	Exactly! That's what I think too, but...
context: Ledo... What's he like?\I'd guess he's about my age.\With his slim arms, he doesn't seem really masculine.\Huh...\And there's one more, still inside a Yunboro.\That one can speak a little bit of our language, enough to understand him anyway.\Then they should talk things over with them and become friends, right?\Exactly! That's what I think too, but... response:	Here. I brought you a present.
context: I'd guess he's about my age.\With his slim arms, he doesn't seem really masculine.\Huh...\And there's one more, still inside a Yunboro.\That one can speak a little bit of our language, enough to understand him anyway.\Then they should talk things over with them and become friends, right?\Exactly! That's what I think too, but...\Here. I brought you a present. response:	Thank you!
context: With his slim arms, he doesn't seem really masculine.\Huh...\And there's one more, still inside a Yunboro.\That one can speak a little bit of our language, enough to understand him anyway.\Then they should talk things over with them and become friends, right?\Exactly! That's what I think too, but...\Here. I brought you a present.\Thank you! response:	Do you think you can use it?
context: Huh...\And there's one more, still inside a Yunboro.\That one can speak a little bit of our language, enough to understand him anyway.\Then they should talk things over with them and become friends, right?\Exactly! That's what I think too, but...\Here. I brought you a present.\Thank you!\Do you think you can use it? response:	Yeah!
context: And there's one more, still inside a Yunboro.\That one can speak a little bit of our language, enough to understand him anyway.\Then they should talk things over with them and become friends, right?\Exactly! That's what I think too, but...\Here. I brought you a present.\Thank you!\Do you think you can use it?\Yeah! response:	A perfect fit!
context: That one can speak a little bit of our language, enough to understand him anyway.\Then they should talk things over with them and become friends, right?\Exactly! That's what I think too, but...\Here. I brought you a present.\Thank you!\Do you think you can use it?\Yeah!\A perfect fit! response:	Thank you, Sis!
context: Then they should talk things over with them and become friends, right?\Exactly! That's what I think too, but...\Here. I brought you a present.\Thank you!\Do you think you can use it?\Yeah!\A perfect fit!\Thank you, Sis! response:	I'm glad.
context: Exactly! That's what I think too, but...\Here. I brought you a present.\Thank you!\Do you think you can use it?\Yeah!\A perfect fit!\Thank you, Sis!\I'm glad. response:	I wish I could talk to Ledo, too...
context: Here. I brought you a present.\Thank you!\Do you think you can use it?\Yeah!\A perfect fit!\Thank you, Sis!\I'm glad.\I wish I could talk to Ledo, too... response:	After all, he may have come from the heavens...
context: Thank you!\Do you think you can use it?\Yeah!\A perfect fit!\Thank you, Sis!\I'm glad.\I wish I could talk to Ledo, too...\After all, he may have come from the heavens... response:	From the heavens? Ledo?
context: Do you think you can use it?\Yeah!\A perfect fit!\Thank you, Sis!\I'm glad.\I wish I could talk to Ledo, too...\After all, he may have come from the heavens...\From the heavens? Ledo? response:	Yeah! You know the legend.
context: Yeah!\A perfect fit!\Thank you, Sis!\I'm glad.\I wish I could talk to Ledo, too...\After all, he may have come from the heavens...\From the heavens? Ledo?\Yeah! You know the legend. response:	About the people who escaped to the stars when the Earth froze that time...
context: A perfect fit!\Thank you, Sis!\I'm glad.\I wish I could talk to Ledo, too...\After all, he may have come from the heavens...\From the heavens? Ledo?\Yeah! You know the legend.\About the people who escaped to the stars when the Earth froze that time... response:	But that's just a fairy tale!
context: Thank you, Sis!\I'm glad.\I wish I could talk to Ledo, too...\After all, he may have come from the heavens...\From the heavens? Ledo?\Yeah! You know the legend.\About the people who escaped to the stars when the Earth froze that time...\But that's just a fairy tale! response:	Besides, that Yunboro was brought up from the sea.
context: I'm glad.\I wish I could talk to Ledo, too...\After all, he may have come from the heavens...\From the heavens? Ledo?\Yeah! You know the legend.\About the people who escaped to the stars when the Earth froze that time...\But that's just a fairy tale!\Besides, that Yunboro was brought up from the sea. response:	Uh-uh. I bet they came from space.
context: I wish I could talk to Ledo, too...\After all, he may have come from the heavens...\From the heavens? Ledo?\Yeah! You know the legend.\About the people who escaped to the stars when the Earth froze that time...\But that's just a fairy tale!\Besides, that Yunboro was brought up from the sea.\Uh-uh. I bet they came from space. response:	The people that escaped into space long, long ago have come home!
context: After all, he may have come from the heavens...\From the heavens? Ledo?\Yeah! You know the legend.\About the people who escaped to the stars when the Earth froze that time...\But that's just a fairy tale!\Besides, that Yunboro was brought up from the sea.\Uh-uh. I bet they came from space.\The people that escaped into space long, long ago have come home! response:	Space, huh? I don't know if they'd bother coming all this way...
context: From the heavens? Ledo?\Yeah! You know the legend.\About the people who escaped to the stars when the Earth froze that time...\But that's just a fairy tale!\Besides, that Yunboro was brought up from the sea.\Uh-uh. I bet they came from space.\The people that escaped into space long, long ago have come home!\Space, huh? I don't know if they'd bother coming all this way... response:	Dr. Oldham said that if a ship kept going all the way up,
context: Yeah! You know the legend.\About the people who escaped to the stars when the Earth froze that time...\But that's just a fairy tale!\Besides, that Yunboro was brought up from the sea.\Uh-uh. I bet they came from space.\The people that escaped into space long, long ago have come home!\Space, huh? I don't know if they'd bother coming all this way...\Dr. Oldham said that if a ship kept going all the way up, response:	it would take just half a day for it to reach space!
context: About the people who escaped to the stars when the Earth froze that time...\But that's just a fairy tale!\Besides, that Yunboro was brought up from the sea.\Uh-uh. I bet they came from space.\The people that escaped into space long, long ago have come home!\Space, huh? I don't know if they'd bother coming all this way...\Dr. Oldham said that if a ship kept going all the way up,\it would take just half a day for it to reach space! response:	Someone is approaching.
context: But that's just a fairy tale!\Besides, that Yunboro was brought up from the sea.\Uh-uh. I bet they came from space.\The people that escaped into space long, long ago have come home!\Space, huh? I don't know if they'd bother coming all this way...\Dr. Oldham said that if a ship kept going all the way up,\it would take just half a day for it to reach space!\Someone is approaching. response:	I don't know about this...
context: Besides, that Yunboro was brought up from the sea.\Uh-uh. I bet they came from space.\The people that escaped into space long, long ago have come home!\Space, huh? I don't know if they'd bother coming all this way...\Dr. Oldham said that if a ship kept going all the way up,\it would take just half a day for it to reach space!\Someone is approaching.\I don't know about this... response:	The Fleet Commander said we mustn't provoke him, which is understandable...
context: Uh-uh. I bet they came from space.\The people that escaped into space long, long ago have come home!\Space, huh? I don't know if they'd bother coming all this way...\Dr. Oldham said that if a ship kept going all the way up,\it would take just half a day for it to reach space!\Someone is approaching.\I don't know about this...\The Fleet Commander said we mustn't provoke him, which is understandable... response:	And so you chose her?
context: The people that escaped into space long, long ago have come home!\Space, huh? I don't know if they'd bother coming all this way...\Dr. Oldham said that if a ship kept going all the way up,\it would take just half a day for it to reach space!\Someone is approaching.\I don't know about this...\The Fleet Commander said we mustn't provoke him, which is understandable...\And so you chose her? response:	If we had any other volunteers... Do you want to take her place?
context: Space, huh? I don't know if they'd bother coming all this way...\Dr. Oldham said that if a ship kept going all the way up,\it would take just half a day for it to reach space!\Someone is approaching.\I don't know about this...\The Fleet Commander said we mustn't provoke him, which is understandable...\And so you chose her?\If we had any other volunteers... Do you want to take her place? response:	Yeah, right.
context: Dr. Oldham said that if a ship kept going all the way up,\it would take just half a day for it to reach space!\Someone is approaching.\I don't know about this...\The Fleet Commander said we mustn't provoke him, which is understandable...\And so you chose her?\If we had any other volunteers... Do you want to take her place?\Yeah, right. response:	Conjecture: The threat level is minimal.
context: it would take just half a day for it to reach space!\Someone is approaching.\I don't know about this...\The Fleet Commander said we mustn't provoke him, which is understandable...\And so you chose her?\If we had any other volunteers... Do you want to take her place?\Yeah, right.\Conjecture: The threat level is minimal. response:	It's possible that she's been sent as an envoy to negotiate.
context: Someone is approaching.\I don't know about this...\The Fleet Commander said we mustn't provoke him, which is understandable...\And so you chose her?\If we had any other volunteers... Do you want to take her place?\Yeah, right.\Conjecture: The threat level is minimal.\It's possible that she's been sent as an envoy to negotiate. response:	Envoy? She's a kid!
context: I don't know about this...\The Fleet Commander said we mustn't provoke him, which is understandable...\And so you chose her?\If we had any other volunteers... Do you want to take her place?\Yeah, right.\Conjecture: The threat level is minimal.\It's possible that she's been sent as an envoy to negotiate.\Envoy? She's a kid! response:	Shall I intercept her?
context: The Fleet Commander said we mustn't provoke him, which is understandable...\And so you chose her?\If we had any other volunteers... Do you want to take her place?\Yeah, right.\Conjecture: The threat level is minimal.\It's possible that she's been sent as an envoy to negotiate.\Envoy? She's a kid!\Shall I intercept her? response:	No, that's not necessary.
context: And so you chose her?\If we had any other volunteers... Do you want to take her place?\Yeah, right.\Conjecture: The threat level is minimal.\It's possible that she's been sent as an envoy to negotiate.\Envoy? She's a kid!\Shall I intercept her?\No, that's not necessary. response:	Roger.
context: If we had any other volunteers... Do you want to take her place?\Yeah, right.\Conjecture: The threat level is minimal.\It's possible that she's been sent as an envoy to negotiate.\Envoy? She's a kid!\Shall I intercept her?\No, that's not necessary.\Roger. response:	It's the corpse of an aquatic animal.
context: Yeah, right.\Conjecture: The threat level is minimal.\It's possible that she's been sent as an envoy to negotiate.\Envoy? She's a kid!\Shall I intercept her?\No, that's not necessary.\Roger.\It's the corpse of an aquatic animal. response:	Corpse?!
context: Conjecture: The threat level is minimal.\It's possible that she's been sent as an envoy to negotiate.\Envoy? She's a kid!\Shall I intercept her?\No, that's not necessary.\Roger.\It's the corpse of an aquatic animal.\Corpse?! response:	What does she want me to do?!
context: It's possible that she's been sent as an envoy to negotiate.\Envoy? She's a kid!\Shall I intercept her?\No, that's not necessary.\Roger.\It's the corpse of an aquatic animal.\Corpse?!\What does she want me to do?! response:	Conjecture: It is harmless food.
context: Envoy? She's a kid!\Shall I intercept her?\No, that's not necessary.\Roger.\It's the corpse of an aquatic animal.\Corpse?!\What does she want me to do?!\Conjecture: It is harmless food. response:	Don't tell me she wants me to eat it?!
context: Shall I intercept her?\No, that's not necessary.\Roger.\It's the corpse of an aquatic animal.\Corpse?!\What does she want me to do?!\Conjecture: It is harmless food.\Don't tell me she wants me to eat it?! response:	Conjecture: It is a friendship ritual.
context: No, that's not necessary.\Roger.\It's the corpse of an aquatic animal.\Corpse?!\What does she want me to do?!\Conjecture: It is harmless food.\Don't tell me she wants me to eat it?!\Conjecture: It is a friendship ritual. response:	It's a corpse!
context: Roger.\It's the corpse of an aquatic animal.\Corpse?!\What does she want me to do?!\Conjecture: It is harmless food.\Don't tell me she wants me to eat it?!\Conjecture: It is a friendship ritual.\It's a corpse! response:	I leave the choice to you.
context: It's the corpse of an aquatic animal.\Corpse?!\What does she want me to do?!\Conjecture: It is harmless food.\Don't tell me she wants me to eat it?!\Conjecture: It is a friendship ritual.\It's a corpse!\I leave the choice to you. response:	Chamber, ask her what her objective is.
context: Corpse?!\What does she want me to do?!\Conjecture: It is harmless food.\Don't tell me she wants me to eat it?!\Conjecture: It is a friendship ritual.\It's a corpse!\I leave the choice to you.\Chamber, ask her what her objective is. response:	She seeks conversation.
context: What does she want me to do?!\Conjecture: It is harmless food.\Don't tell me she wants me to eat it?!\Conjecture: It is a friendship ritual.\It's a corpse!\I leave the choice to you.\Chamber, ask her what her objective is.\She seeks conversation. response:	Alright.
context: Conjecture: It is harmless food.\Don't tell me she wants me to eat it?!\Conjecture: It is a friendship ritual.\It's a corpse!\I leave the choice to you.\Chamber, ask her what her objective is.\She seeks conversation.\Alright. response:	He ate it!
context: Don't tell me she wants me to eat it?!\Conjecture: It is a friendship ritual.\It's a corpse!\I leave the choice to you.\Chamber, ask her what her objective is.\She seeks conversation.\Alright.\He ate it! response:	She says her name is Amy.
context: Conjecture: It is a friendship ritual.\It's a corpse!\I leave the choice to you.\Chamber, ask her what her objective is.\She seeks conversation.\Alright.\He ate it!\She says her name is Amy. response:	She asks where you came from.
context: It's a corpse!\I leave the choice to you.\Chamber, ask her what her objective is.\She seeks conversation.\Alright.\He ate it!\She says her name is Amy.\She asks where you came from. response:	The heavens?
context: I leave the choice to you.\Chamber, ask her what her objective is.\She seeks conversation.\Alright.\He ate it!\She says her name is Amy.\She asks where you came from.\The heavens? response:	So you two are soldiers fighting against those Hideauze?
context: Chamber, ask her what her objective is.\She seeks conversation.\Alright.\He ate it!\She says her name is Amy.\She asks where you came from.\The heavens?\So you two are soldiers fighting against those Hideauze? response:	That is correct.
context: She seeks conversation.\Alright.\He ate it!\She says her name is Amy.\She asks where you came from.\The heavens?\So you two are soldiers fighting against those Hideauze?\That is correct. response:	Then are you stronger than them?
context: Alright.\He ate it!\She says her name is Amy.\She asks where you came from.\The heavens?\So you two are soldiers fighting against those Hideauze?\That is correct.\Then are you stronger than them? response:	Super... strong.
context: He ate it!\She says her name is Amy.\She asks where you came from.\The heavens?\So you two are soldiers fighting against those Hideauze?\That is correct.\Then are you stronger than them?\Super... strong. response:	From space, seriously? Then Bebel was right...
context: She says her name is Amy.\She asks where you came from.\The heavens?\So you two are soldiers fighting against those Hideauze?\That is correct.\Then are you stronger than them?\Super... strong.\From space, seriously? Then Bebel was right... response:	Earth is different than it appears in our records.
context: She asks where you came from.\The heavens?\So you two are soldiers fighting against those Hideauze?\That is correct.\Then are you stronger than them?\Super... strong.\From space, seriously? Then Bebel was right...\Earth is different than it appears in our records. response:	I seek explanation.
context: The heavens?\So you two are soldiers fighting against those Hideauze?\That is correct.\Then are you stronger than them?\Super... strong.\From space, seriously? Then Bebel was right...\Earth is different than it appears in our records.\I seek explanation. response:	You're getting better and better at speaking our language.
context: So you two are soldiers fighting against those Hideauze?\That is correct.\Then are you stronger than them?\Super... strong.\From space, seriously? Then Bebel was right...\Earth is different than it appears in our records.\I seek explanation.\You're getting better and better at speaking our language. response:	Interpreting must be tough. Won't you at least show me your face?
context: That is correct.\Then are you stronger than them?\Super... strong.\From space, seriously? Then Bebel was right...\Earth is different than it appears in our records.\I seek explanation.\You're getting better and better at speaking our language.\Interpreting must be tough. Won't you at least show me your face? response:	What do you mean, show my face?
context: Then are you stronger than them?\Super... strong.\From space, seriously? Then Bebel was right...\Earth is different than it appears in our records.\I seek explanation.\You're getting better and better at speaking our language.\Interpreting must be tough. Won't you at least show me your face?\What do you mean, show my face? response:	I mean, you're inside of there, right?
context: Super... strong.\From space, seriously? Then Bebel was right...\Earth is different than it appears in our records.\I seek explanation.\You're getting better and better at speaking our language.\Interpreting must be tough. Won't you at least show me your face?\What do you mean, show my face?\I mean, you're inside of there, right? response:	There is no one inside.
context: From space, seriously? Then Bebel was right...\Earth is different than it appears in our records.\I seek explanation.\You're getting better and better at speaking our language.\Interpreting must be tough. Won't you at least show me your face?\What do you mean, show my face?\I mean, you're inside of there, right?\There is no one inside. response:	It really is empty...
context: Earth is different than it appears in our records.\I seek explanation.\You're getting better and better at speaking our language.\Interpreting must be tough. Won't you at least show me your face?\What do you mean, show my face?\I mean, you're inside of there, right?\There is no one inside.\It really is empty... response:	I am a Pilot Support Enlightenment Interface System.
context: I seek explanation.\You're getting better and better at speaking our language.\Interpreting must be tough. Won't you at least show me your face?\What do you mean, show my face?\I mean, you're inside of there, right?\There is no one inside.\It really is empty...\I am a Pilot Support Enlightenment Interface System. response:	System? Then that machine is talking?
context: You're getting better and better at speaking our language.\Interpreting must be tough. Won't you at least show me your face?\What do you mean, show my face?\I mean, you're inside of there, right?\There is no one inside.\It really is empty...\I am a Pilot Support Enlightenment Interface System.\System? Then that machine is talking? response:	Chamber is an artificial intelligence that aids in battle and maintaining life support.
context: Interpreting must be tough. Won't you at least show me your face?\What do you mean, show my face?\I mean, you're inside of there, right?\There is no one inside.\It really is empty...\I am a Pilot Support Enlightenment Interface System.\System? Then that machine is talking?\Chamber is an artificial intelligence that aids in battle and maintaining life support. response:	Wow...
context: What do you mean, show my face?\I mean, you're inside of there, right?\There is no one inside.\It really is empty...\I am a Pilot Support Enlightenment Interface System.\System? Then that machine is talking?\Chamber is an artificial intelligence that aids in battle and maintaining life support.\Wow... response:	Wow!
context: I mean, you're inside of there, right?\There is no one inside.\It really is empty...\I am a Pilot Support Enlightenment Interface System.\System? Then that machine is talking?\Chamber is an artificial intelligence that aids in battle and maintaining life support.\Wow...\Wow! response:	Wow! Wow! Wow!
context: There is no one inside.\It really is empty...\I am a Pilot Support Enlightenment Interface System.\System? Then that machine is talking?\Chamber is an artificial intelligence that aids in battle and maintaining life support.\Wow...\Wow!\Wow! Wow! Wow! response:	There really is no one in here! You're a machine!
context: It really is empty...\I am a Pilot Support Enlightenment Interface System.\System? Then that machine is talking?\Chamber is an artificial intelligence that aids in battle and maintaining life support.\Wow...\Wow!\Wow! Wow! Wow!\There really is no one in here! You're a machine! response:	I repeat the question. About the Earth...
context: I am a Pilot Support Enlightenment Interface System.\System? Then that machine is talking?\Chamber is an artificial intelligence that aids in battle and maintaining life support.\Wow...\Wow!\Wow! Wow! Wow!\There really is no one in here! You're a machine!\I repeat the question. About the Earth... response:	Wow! Wow! Wow!
context: System? Then that machine is talking?\Chamber is an artificial intelligence that aids in battle and maintaining life support.\Wow...\Wow!\Wow! Wow! Wow!\There really is no one in here! You're a machine!\I repeat the question. About the Earth...\Wow! Wow! Wow! response:	We're told that it was a giant lump of ice.
context: Chamber is an artificial intelligence that aids in battle and maintaining life support.\Wow...\Wow!\Wow! Wow! Wow!\There really is no one in here! You're a machine!\I repeat the question. About the Earth...\Wow! Wow! Wow!\We're told that it was a giant lump of ice. response:	But it melted and became a water planet.
context: Wow...\Wow!\Wow! Wow! Wow!\There really is no one in here! You're a machine!\I repeat the question. About the Earth...\Wow! Wow! Wow!\We're told that it was a giant lump of ice.\But it melted and became a water planet. response:	Long ago, there were supposedly these places called land, but I don't know about that.
context: Wow!\Wow! Wow! Wow!\There really is no one in here! You're a machine!\I repeat the question. About the Earth...\Wow! Wow! Wow!\We're told that it was a giant lump of ice.\But it melted and became a water planet.\Long ago, there were supposedly these places called land, but I don't know about that. response:	Anyway, everyone lives on ships that are grouped together like this.
context: Wow! Wow! Wow!\There really is no one in here! You're a machine!\I repeat the question. About the Earth...\Wow! Wow! Wow!\We're told that it was a giant lump of ice.\But it melted and became a water planet.\Long ago, there were supposedly these places called land, but I don't know about that.\Anyway, everyone lives on ships that are grouped together like this. response:	Ancient ships and materials are all sunk at the bottom, so we hoist them out of the sea.
context: There really is no one in here! You're a machine!\I repeat the question. About the Earth...\Wow! Wow! Wow!\We're told that it was a giant lump of ice.\But it melted and became a water planet.\Long ago, there were supposedly these places called land, but I don't know about that.\Anyway, everyone lives on ships that are grouped together like this.\Ancient ships and materials are all sunk at the bottom, so we hoist them out of the sea. response:	Gargantia, too... That's the name of this fleet...
context: I repeat the question. About the Earth...\Wow! Wow! Wow!\We're told that it was a giant lump of ice.\But it melted and became a water planet.\Long ago, there were supposedly these places called land, but I don't know about that.\Anyway, everyone lives on ships that are grouped together like this.\Ancient ships and materials are all sunk at the bottom, so we hoist them out of the sea.\Gargantia, too... That's the name of this fleet... response:	It was one of them.
context: Wow! Wow! Wow!\We're told that it was a giant lump of ice.\But it melted and became a water planet.\Long ago, there were supposedly these places called land, but I don't know about that.\Anyway, everyone lives on ships that are grouped together like this.\Ancient ships and materials are all sunk at the bottom, so we hoist them out of the sea.\Gargantia, too... That's the name of this fleet...\It was one of them. response:	Gargantia?
context: We're told that it was a giant lump of ice.\But it melted and became a water planet.\Long ago, there were supposedly these places called land, but I don't know about that.\Anyway, everyone lives on ships that are grouped together like this.\Ancient ships and materials are all sunk at the bottom, so we hoist them out of the sea.\Gargantia, too... That's the name of this fleet...\It was one of them.\Gargantia? response:	Uh-huh. Gargantia.
context: But it melted and became a water planet.\Long ago, there were supposedly these places called land, but I don't know about that.\Anyway, everyone lives on ships that are grouped together like this.\Ancient ships and materials are all sunk at the bottom, so we hoist them out of the sea.\Gargantia, too... That's the name of this fleet...\It was one of them.\Gargantia?\Uh-huh. Gargantia. response:	More exist?
context: Long ago, there were supposedly these places called land, but I don't know about that.\Anyway, everyone lives on ships that are grouped together like this.\Ancient ships and materials are all sunk at the bottom, so we hoist them out of the sea.\Gargantia, too... That's the name of this fleet...\It was one of them.\Gargantia?\Uh-huh. Gargantia.\More exist? response:	Oh, there are other fleets.
context: Anyway, everyone lives on ships that are grouped together like this.\Ancient ships and materials are all sunk at the bottom, so we hoist them out of the sea.\Gargantia, too... That's the name of this fleet...\It was one of them.\Gargantia?\Uh-huh. Gargantia.\More exist?\Oh, there are other fleets. response:	Small ones, big ones...
context: Ancient ships and materials are all sunk at the bottom, so we hoist them out of the sea.\Gargantia, too... That's the name of this fleet...\It was one of them.\Gargantia?\Uh-huh. Gargantia.\More exist?\Oh, there are other fleets.\Small ones, big ones... response:	When ships join up, it doesn't take long to form a fleet.
context: Gargantia, too... That's the name of this fleet...\It was one of them.\Gargantia?\Uh-huh. Gargantia.\More exist?\Oh, there are other fleets.\Small ones, big ones...\When ships join up, it doesn't take long to form a fleet. response:	And there are pains in the neck, too, like pirates...
context: It was one of them.\Gargantia?\Uh-huh. Gargantia.\More exist?\Oh, there are other fleets.\Small ones, big ones...\When ships join up, it doesn't take long to form a fleet.\And there are pains in the neck, too, like pirates... response:	Pirates are enemies?
context: Gargantia?\Uh-huh. Gargantia.\More exist?\Oh, there are other fleets.\Small ones, big ones...\When ships join up, it doesn't take long to form a fleet.\And there are pains in the neck, too, like pirates...\Pirates are enemies? response:	Yeah, I guess you could say that.
context: Uh-huh. Gargantia.\More exist?\Oh, there are other fleets.\Small ones, big ones...\When ships join up, it doesn't take long to form a fleet.\And there are pains in the neck, too, like pirates...\Pirates are enemies?\Yeah, I guess you could say that. response:	No worries.
context: More exist?\Oh, there are other fleets.\Small ones, big ones...\When ships join up, it doesn't take long to form a fleet.\And there are pains in the neck, too, like pirates...\Pirates are enemies?\Yeah, I guess you could say that.\No worries. response:	A Milky Way. Sometimes it's called a Sea Galaxy.
context: Oh, there are other fleets.\Small ones, big ones...\When ships join up, it doesn't take long to form a fleet.\And there are pains in the neck, too, like pirates...\Pirates are enemies?\Yeah, I guess you could say that.\No worries.\A Milky Way. Sometimes it's called a Sea Galaxy. response:	You have to see it. It's so beautiful.
context: Small ones, big ones...\When ships join up, it doesn't take long to form a fleet.\And there are pains in the neck, too, like pirates...\Pirates are enemies?\Yeah, I guess you could say that.\No worries.\A Milky Way. Sometimes it's called a Sea Galaxy.\You have to see it. It's so beautiful. response:	Thank goodness.
