context: Did you wake up after finding something tasty to eat? response:	I was dreaming of Yoitsu.
context: Ah... no...\Is Horo-san...\She's a nun on a pilgrimage,\basically.\Well, I suppose problems in life are God's way of testing us,\as arranging for two rooms will be difficult.\You mean...\If I ask my business acquaintances to help out, they should be able to spare a room. response:	Are you sure that's okay?
context: Is Horo-san...\She's a nun on a pilgrimage,\basically.\Well, I suppose problems in life are God's way of testing us,\as arranging for two rooms will be difficult.\You mean...\If I ask my business acquaintances to help out, they should be able to spare a room.\Are you sure that's okay? response:	Of course.
context: She's a nun on a pilgrimage,\basically.\Well, I suppose problems in life are God's way of testing us,\as arranging for two rooms will be difficult.\You mean...\If I ask my business acquaintances to help out, they should be able to spare a room.\Are you sure that's okay?\Of course. response:	I'd like you to enjoy plenty of good fish at trading partner's inn.
context: basically.\Well, I suppose problems in life are God's way of testing us,\as arranging for two rooms will be difficult.\You mean...\If I ask my business acquaintances to help out, they should be able to spare a room.\Are you sure that's okay?\Of course.\I'd like you to enjoy plenty of good fish at trading partner's inn. response:	You look young but you have good business sense.
context: Well, I suppose problems in life are God's way of testing us,\as arranging for two rooms will be difficult.\You mean...\If I ask my business acquaintances to help out, they should be able to spare a room.\Are you sure that's okay?\Of course.\I'd like you to enjoy plenty of good fish at trading partner's inn.\You look young but you have good business sense. response:	We'll leave it in your hands.
context: as arranging for two rooms will be difficult.\You mean...\If I ask my business acquaintances to help out, they should be able to spare a room.\Are you sure that's okay?\Of course.\I'd like you to enjoy plenty of good fish at trading partner's inn.\You look young but you have good business sense.\We'll leave it in your hands. response:	I'll arrange it.
context: You mean...\If I ask my business acquaintances to help out, they should be able to spare a room.\Are you sure that's okay?\Of course.\I'd like you to enjoy plenty of good fish at trading partner's inn.\You look young but you have good business sense.\We'll leave it in your hands.\I'll arrange it. response:	Sorry for making you wait.
context: If I ask my business acquaintances to help out, they should be able to spare a room.\Are you sure that's okay?\Of course.\I'd like you to enjoy plenty of good fish at trading partner's inn.\You look young but you have good business sense.\We'll leave it in your hands.\I'll arrange it.\Sorry for making you wait. response:	It's a nice spacious room.
context: Are you sure that's okay?\Of course.\I'd like you to enjoy plenty of good fish at trading partner's inn.\You look young but you have good business sense.\We'll leave it in your hands.\I'll arrange it.\Sorry for making you wait.\It's a nice spacious room. response:	I appreciate you introducing us to this place.
context: Of course.\I'd like you to enjoy plenty of good fish at trading partner's inn.\You look young but you have good business sense.\We'll leave it in your hands.\I'll arrange it.\Sorry for making you wait.\It's a nice spacious room.\I appreciate you introducing us to this place. response:	Do you like it?
context: I'd like you to enjoy plenty of good fish at trading partner's inn.\You look young but you have good business sense.\We'll leave it in your hands.\I'll arrange it.\Sorry for making you wait.\It's a nice spacious room.\I appreciate you introducing us to this place.\Do you like it? response:	But of course.
context: You look young but you have good business sense.\We'll leave it in your hands.\I'll arrange it.\Sorry for making you wait.\It's a nice spacious room.\I appreciate you introducing us to this place.\Do you like it?\But of course. response:	I'm so glad we met you.
context: We'll leave it in your hands.\I'll arrange it.\Sorry for making you wait.\It's a nice spacious room.\I appreciate you introducing us to this place.\Do you like it?\But of course.\I'm so glad we met you. response:	Ah... uh...
context: I'll arrange it.\Sorry for making you wait.\It's a nice spacious room.\I appreciate you introducing us to this place.\Do you like it?\But of course.\I'm so glad we met you.\Ah... uh... response:	Um...
context: Sorry for making you wait.\It's a nice spacious room.\I appreciate you introducing us to this place.\Do you like it?\But of course.\I'm so glad we met you.\Ah... uh...\Um... response:	You're a really pretty and wonderful person.
context: It's a nice spacious room.\I appreciate you introducing us to this place.\Do you like it?\But of course.\I'm so glad we met you.\Ah... uh...\Um...\You're a really pretty and wonderful person. response:	You're too different from how you were earlier.
context: I appreciate you introducing us to this place.\Do you like it?\But of course.\I'm so glad we met you.\Ah... uh...\Um...\You're a really pretty and wonderful person.\You're too different from how you were earlier. response:	I just know how to act in different situations.
context: Do you like it?\But of course.\I'm so glad we met you.\Ah... uh...\Um...\You're a really pretty and wonderful person.\You're too different from how you were earlier.\I just know how to act in different situations. response:	The wine and fish here are truly delicious.
context: But of course.\I'm so glad we met you.\Ah... uh...\Um...\You're a really pretty and wonderful person.\You're too different from how you were earlier.\I just know how to act in different situations.\The wine and fish here are truly delicious. response:	That kid has quite good senses.
context: I'm so glad we met you.\Ah... uh...\Um...\You're a really pretty and wonderful person.\You're too different from how you were earlier.\I just know how to act in different situations.\The wine and fish here are truly delicious.\That kid has quite good senses. response:	While being so young, too.
context: Ah... uh...\Um...\You're a really pretty and wonderful person.\You're too different from how you were earlier.\I just know how to act in different situations.\The wine and fish here are truly delicious.\That kid has quite good senses.\While being so young, too. response:	The amount he was dealing in was above average too.
context: Um...\You're a really pretty and wonderful person.\You're too different from how you were earlier.\I just know how to act in different situations.\The wine and fish here are truly delicious.\That kid has quite good senses.\While being so young, too.\The amount he was dealing in was above average too. response:	Compared to that, the stuff you were selling...
context: You're a really pretty and wonderful person.\You're too different from how you were earlier.\I just know how to act in different situations.\The wine and fish here are truly delicious.\That kid has quite good senses.\While being so young, too.\The amount he was dealing in was above average too.\Compared to that, the stuff you were selling... response:	What was that?
context: You're too different from how you were earlier.\I just know how to act in different situations.\The wine and fish here are truly delicious.\That kid has quite good senses.\While being so young, too.\The amount he was dealing in was above average too.\Compared to that, the stuff you were selling...\What was that? response:	Nails.
context: I just know how to act in different situations.\The wine and fish here are truly delicious.\That kid has quite good senses.\While being so young, too.\The amount he was dealing in was above average too.\Compared to that, the stuff you were selling...\What was that?\Nails. response:	I know they were nails!
context: The wine and fish here are truly delicious.\That kid has quite good senses.\While being so young, too.\The amount he was dealing in was above average too.\Compared to that, the stuff you were selling...\What was that?\Nails.\I know they were nails! response:	I mean you should deal in more interesting goods.
context: That kid has quite good senses.\While being so young, too.\The amount he was dealing in was above average too.\Compared to that, the stuff you were selling...\What was that?\Nails.\I know they were nails!\I mean you should deal in more interesting goods. response:	Were you hit that bad from failing in Rubinhaigen?
context: While being so young, too.\The amount he was dealing in was above average too.\Compared to that, the stuff you were selling...\What was that?\Nails.\I know they were nails!\I mean you should deal in more interesting goods.\Were you hit that bad from failing in Rubinhaigen? response:	Well it is plain, but it should yield relatively good profit.
context: The amount he was dealing in was above average too.\Compared to that, the stuff you were selling...\What was that?\Nails.\I know they were nails!\I mean you should deal in more interesting goods.\Were you hit that bad from failing in Rubinhaigen?\Well it is plain, but it should yield relatively good profit. response:	And I'm not just carrying boring things.
context: Compared to that, the stuff you were selling...\What was that?\Nails.\I know they were nails!\I mean you should deal in more interesting goods.\Were you hit that bad from failing in Rubinhaigen?\Well it is plain, but it should yield relatively good profit.\And I'm not just carrying boring things. response:	You're on the wagon too, right?
context: What was that?\Nails.\I know they were nails!\I mean you should deal in more interesting goods.\Were you hit that bad from failing in Rubinhaigen?\Well it is plain, but it should yield relatively good profit.\And I'm not just carrying boring things.\You're on the wagon too, right? response:	Huh?
context: Nails.\I know they were nails!\I mean you should deal in more interesting goods.\Were you hit that bad from failing in Rubinhaigen?\Well it is plain, but it should yield relatively good profit.\And I'm not just carrying boring things.\You're on the wagon too, right?\Huh? response:	You ordered another just a minute ago.
context: I know they were nails!\I mean you should deal in more interesting goods.\Were you hit that bad from failing in Rubinhaigen?\Well it is plain, but it should yield relatively good profit.\And I'm not just carrying boring things.\You're on the wagon too, right?\Huh?\You ordered another just a minute ago. response:	Well I guess that's about all you can handle.
context: I mean you should deal in more interesting goods.\Were you hit that bad from failing in Rubinhaigen?\Well it is plain, but it should yield relatively good profit.\And I'm not just carrying boring things.\You're on the wagon too, right?\Huh?\You ordered another just a minute ago.\Well I guess that's about all you can handle. response:	It wouldn't hurt to be a little nicer to me, would it?
context: Were you hit that bad from failing in Rubinhaigen?\Well it is plain, but it should yield relatively good profit.\And I'm not just carrying boring things.\You're on the wagon too, right?\Huh?\You ordered another just a minute ago.\Well I guess that's about all you can handle.\It wouldn't hurt to be a little nicer to me, would it? response:	If you're nice to men, they get carried away.
context: Well it is plain, but it should yield relatively good profit.\And I'm not just carrying boring things.\You're on the wagon too, right?\Huh?\You ordered another just a minute ago.\Well I guess that's about all you can handle.\It wouldn't hurt to be a little nicer to me, would it?\If you're nice to men, they get carried away. response:	I can't stand you expecting me to fall for the same flattery each time.
context: And I'm not just carrying boring things.\You're on the wagon too, right?\Huh?\You ordered another just a minute ago.\Well I guess that's about all you can handle.\It wouldn't hurt to be a little nicer to me, would it?\If you're nice to men, they get carried away.\I can't stand you expecting me to fall for the same flattery each time. response:	Understood, from now on I'll...
context: You're on the wagon too, right?\Huh?\You ordered another just a minute ago.\Well I guess that's about all you can handle.\It wouldn't hurt to be a little nicer to me, would it?\If you're nice to men, they get carried away.\I can't stand you expecting me to fall for the same flattery each time.\Understood, from now on I'll... response:	Fool!
context: Huh?\You ordered another just a minute ago.\Well I guess that's about all you can handle.\It wouldn't hurt to be a little nicer to me, would it?\If you're nice to men, they get carried away.\I can't stand you expecting me to fall for the same flattery each time.\Understood, from now on I'll...\Fool! response:	Men should be kind.
context: You ordered another just a minute ago.\Well I guess that's about all you can handle.\It wouldn't hurt to be a little nicer to me, would it?\If you're nice to men, they get carried away.\I can't stand you expecting me to fall for the same flattery each time.\Understood, from now on I'll...\Fool!\Men should be kind. response:	And if I act upset,
context: Well I guess that's about all you can handle.\It wouldn't hurt to be a little nicer to me, would it?\If you're nice to men, they get carried away.\I can't stand you expecting me to fall for the same flattery each time.\Understood, from now on I'll...\Fool!\Men should be kind.\And if I act upset, response:	you'll want to be kind to me, right?
context: It wouldn't hurt to be a little nicer to me, would it?\If you're nice to men, they get carried away.\I can't stand you expecting me to fall for the same flattery each time.\Understood, from now on I'll...\Fool!\Men should be kind.\And if I act upset,\you'll want to be kind to me, right? response:	This is quite a pale wine.
context: If you're nice to men, they get carried away.\I can't stand you expecting me to fall for the same flattery each time.\Understood, from now on I'll...\Fool!\Men should be kind.\And if I act upset,\you'll want to be kind to me, right?\This is quite a pale wine. response:	It called'burning wine'.
context: I can't stand you expecting me to fall for the same flattery each time.\Understood, from now on I'll...\Fool!\Men should be kind.\And if I act upset,\you'll want to be kind to me, right?\This is quite a pale wine.\It called'burning wine'. response:	Hey, if you drink that much at once!
context: Understood, from now on I'll...\Fool!\Men should be kind.\And if I act upset,\you'll want to be kind to me, right?\This is quite a pale wine.\It called'burning wine'.\Hey, if you drink that much at once! response:	See, what did I say?
context: Fool!\Men should be kind.\And if I act upset,\you'll want to be kind to me, right?\This is quite a pale wine.\It called'burning wine'.\Hey, if you drink that much at once!\See, what did I say? response:	What a nostalgic flavor.
context: Men should be kind.\And if I act upset,\you'll want to be kind to me, right?\This is quite a pale wine.\It called'burning wine'.\Hey, if you drink that much at once!\See, what did I say?\What a nostalgic flavor. response:	It's like the wine in Yoitsu.
context: And if I act upset,\you'll want to be kind to me, right?\This is quite a pale wine.\It called'burning wine'.\Hey, if you drink that much at once!\See, what did I say?\What a nostalgic flavor.\It's like the wine in Yoitsu. response:	I used to drink it a lot.
context: you'll want to be kind to me, right?\This is quite a pale wine.\It called'burning wine'.\Hey, if you drink that much at once!\See, what did I say?\What a nostalgic flavor.\It's like the wine in Yoitsu.\I used to drink it a lot. response:	How nostalgic.
context: This is quite a pale wine.\It called'burning wine'.\Hey, if you drink that much at once!\See, what did I say?\What a nostalgic flavor.\It's like the wine in Yoitsu.\I used to drink it a lot.\How nostalgic. response:	I wonder how everyone's doing.
context: It called'burning wine'.\Hey, if you drink that much at once!\See, what did I say?\What a nostalgic flavor.\It's like the wine in Yoitsu.\I used to drink it a lot.\How nostalgic.\I wonder how everyone's doing. response:	I look forward to arriving at Yoitsu.
context: Hey, if you drink that much at once!\See, what did I say?\What a nostalgic flavor.\It's like the wine in Yoitsu.\I used to drink it a lot.\How nostalgic.\I wonder how everyone's doing.\I look forward to arriving at Yoitsu. response:	I can handle more!
context: See, what did I say?\What a nostalgic flavor.\It's like the wine in Yoitsu.\I used to drink it a lot.\How nostalgic.\I wonder how everyone's doing.\I look forward to arriving at Yoitsu.\I can handle more! response:	Seriously...
context: What a nostalgic flavor.\It's like the wine in Yoitsu.\I used to drink it a lot.\How nostalgic.\I wonder how everyone's doing.\I look forward to arriving at Yoitsu.\I can handle more!\Seriously... response:	Yoitsu's wine is the best after all.
context: It's like the wine in Yoitsu.\I used to drink it a lot.\How nostalgic.\I wonder how everyone's doing.\I look forward to arriving at Yoitsu.\I can handle more!\Seriously...\Yoitsu's wine is the best after all. response:	So,
context: I used to drink it a lot.\How nostalgic.\I wonder how everyone's doing.\I look forward to arriving at Yoitsu.\I can handle more!\Seriously...\Yoitsu's wine is the best after all.\So, response:	what happened to that Yoitsu village?
context: How nostalgic.\I wonder how everyone's doing.\I look forward to arriving at Yoitsu.\I can handle more!\Seriously...\Yoitsu's wine is the best after all.\So,\what happened to that Yoitsu village? response:	I see this face a lot.
context: I wonder how everyone's doing.\I look forward to arriving at Yoitsu.\I can handle more!\Seriously...\Yoitsu's wine is the best after all.\So,\what happened to that Yoitsu village?\I see this face a lot. response:	I bought you some water and a bucket, just in case.
context: I look forward to arriving at Yoitsu.\I can handle more!\Seriously...\Yoitsu's wine is the best after all.\So,\what happened to that Yoitsu village?\I see this face a lot.\I bought you some water and a bucket, just in case. response:	And about Radona festival.
context: I can handle more!\Seriously...\Yoitsu's wine is the best after all.\So,\what happened to that Yoitsu village?\I see this face a lot.\I bought you some water and a bucket, just in case.\And about Radona festival. response:	The real events start tomorrow, so there's no need to be anxious.
context: Seriously...\Yoitsu's wine is the best after all.\So,\what happened to that Yoitsu village?\I see this face a lot.\I bought you some water and a bucket, just in case.\And about Radona festival.\The real events start tomorrow, so there's no need to be anxious. response:	Well, sleep there quietly for a while.
context: Yoitsu's wine is the best after all.\So,\what happened to that Yoitsu village?\I see this face a lot.\I bought you some water and a bucket, just in case.\And about Radona festival.\The real events start tomorrow, so there's no need to be anxious.\Well, sleep there quietly for a while. response:	I'm off to see a business associate.
context: So,\what happened to that Yoitsu village?\I see this face a lot.\I bought you some water and a bucket, just in case.\And about Radona festival.\The real events start tomorrow, so there's no need to be anxious.\Well, sleep there quietly for a while.\I'm off to see a business associate. response:	Mark!
context: what happened to that Yoitsu village?\I see this face a lot.\I bought you some water and a bucket, just in case.\And about Radona festival.\The real events start tomorrow, so there's no need to be anxious.\Well, sleep there quietly for a while.\I'm off to see a business associate.\Mark! response:	Re su pan dia milto.
context: I see this face a lot.\I bought you some water and a bucket, just in case.\And about Radona festival.\The real events start tomorrow, so there's no need to be anxious.\Well, sleep there quietly for a while.\I'm off to see a business associate.\Mark!\Re su pan dia milto. response:	Vant derji.
context: I bought you some water and a bucket, just in case.\And about Radona festival.\The real events start tomorrow, so there's no need to be anxious.\Well, sleep there quietly for a while.\I'm off to see a business associate.\Mark!\Re su pan dia milto.\Vant derji. response:	Pireji.
context: And about Radona festival.\The real events start tomorrow, so there's no need to be anxious.\Well, sleep there quietly for a while.\I'm off to see a business associate.\Mark!\Re su pan dia milto.\Vant derji.\Pireji. response:	Bao.
context: The real events start tomorrow, so there's no need to be anxious.\Well, sleep there quietly for a while.\I'm off to see a business associate.\Mark!\Re su pan dia milto.\Vant derji.\Pireji.\Bao. response:	Bao.
context: Well, sleep there quietly for a while.\I'm off to see a business associate.\Mark!\Re su pan dia milto.\Vant derji.\Pireji.\Bao.\Bao. response:	Bao.
context: I'm off to see a business associate.\Mark!\Re su pan dia milto.\Vant derji.\Pireji.\Bao.\Bao.\Bao. response:	Was I interrupting some business?
context: Mark!\Re su pan dia milto.\Vant derji.\Pireji.\Bao.\Bao.\Bao.\Was I interrupting some business? response:	No,
context: Re su pan dia milto.\Vant derji.\Pireji.\Bao.\Bao.\Bao.\Was I interrupting some business?\No, response:	he was just regaling me with tales of the god of Pitora mountain.
context: Vant derji.\Pireji.\Bao.\Bao.\Bao.\Was I interrupting some business?\No,\he was just regaling me with tales of the god of Pitora mountain. response:	You saved me.
context: Pireji.\Bao.\Bao.\Bao.\Was I interrupting some business?\No,\he was just regaling me with tales of the god of Pitora mountain.\You saved me. response:	There's merit in being able to communicate using foreign languages.
context: Bao.\Bao.\Bao.\Was I interrupting some business?\No,\he was just regaling me with tales of the god of Pitora mountain.\You saved me.\There's merit in being able to communicate using foreign languages. response:	Well, if I didn't go around talking everyone into deals, Adelle would scold me.
context: Bao.\Bao.\Was I interrupting some business?\No,\he was just regaling me with tales of the god of Pitora mountain.\You saved me.\There's merit in being able to communicate using foreign languages.\Well, if I didn't go around talking everyone into deals, Adelle would scold me. response:	So?
context: Bao.\Was I interrupting some business?\No,\he was just regaling me with tales of the god of Pitora mountain.\You saved me.\There's merit in being able to communicate using foreign languages.\Well, if I didn't go around talking everyone into deals, Adelle would scold me.\So? response:	You came here to talk business, didn't you?
context: Was I interrupting some business?\No,\he was just regaling me with tales of the god of Pitora mountain.\You saved me.\There's merit in being able to communicate using foreign languages.\Well, if I didn't go around talking everyone into deals, Adelle would scold me.\So?\You came here to talk business, didn't you? response:	Of course.
context: No,\he was just regaling me with tales of the god of Pitora mountain.\You saved me.\There's merit in being able to communicate using foreign languages.\Well, if I didn't go around talking everyone into deals, Adelle would scold me.\So?\You came here to talk business, didn't you?\Of course. response:	I've brought nails from Rubinhaigen.
context: he was just regaling me with tales of the god of Pitora mountain.\You saved me.\There's merit in being able to communicate using foreign languages.\Well, if I didn't go around talking everyone into deals, Adelle would scold me.\So?\You came here to talk business, didn't you?\Of course.\I've brought nails from Rubinhaigen. response:	Nails?
context: You saved me.\There's merit in being able to communicate using foreign languages.\Well, if I didn't go around talking everyone into deals, Adelle would scold me.\So?\You came here to talk business, didn't you?\Of course.\I've brought nails from Rubinhaigen.\Nails? response:	Hey, this is a wheat store you know.
context: There's merit in being able to communicate using foreign languages.\Well, if I didn't go around talking everyone into deals, Adelle would scold me.\So?\You came here to talk business, didn't you?\Of course.\I've brought nails from Rubinhaigen.\Nails?\Hey, this is a wheat store you know. response:	But you get a lot of customers from the north right?
context: Well, if I didn't go around talking everyone into deals, Adelle would scold me.\So?\You came here to talk business, didn't you?\Of course.\I've brought nails from Rubinhaigen.\Nails?\Hey, this is a wheat store you know.\But you get a lot of customers from the north right? response:	Nails are required goods to last through the long winter.
context: So?\You came here to talk business, didn't you?\Of course.\I've brought nails from Rubinhaigen.\Nails?\Hey, this is a wheat store you know.\But you get a lot of customers from the north right?\Nails are required goods to last through the long winter. response:	I guess there is a demand for them...
context: You came here to talk business, didn't you?\Of course.\I've brought nails from Rubinhaigen.\Nails?\Hey, this is a wheat store you know.\But you get a lot of customers from the north right?\Nails are required goods to last through the long winter.\I guess there is a demand for them... response:	How many?
context: Of course.\I've brought nails from Rubinhaigen.\Nails?\Hey, this is a wheat store you know.\But you get a lot of customers from the north right?\Nails are required goods to last through the long winter.\I guess there is a demand for them...\How many? response:	120 three-pattes,
context: I've brought nails from Rubinhaigen.\Nails?\Hey, this is a wheat store you know.\But you get a lot of customers from the north right?\Nails are required goods to last through the long winter.\I guess there is a demand for them...\How many?\120 three-pattes, response:	Note: pattes are some form of measurement
context: Nails?\Hey, this is a wheat store you know.\But you get a lot of customers from the north right?\Nails are required goods to last through the long winter.\I guess there is a demand for them...\How many?\120 three-pattes,\Note: pattes are some form of measurement response:	200 four-pattes, 200 five-pattes.
context: Hey, this is a wheat store you know.\But you get a lot of customers from the north right?\Nails are required goods to last through the long winter.\I guess there is a demand for them...\How many?\120 three-pattes,\Note: pattes are some form of measurement\200 four-pattes, 200 five-pattes. response:	I've got a letter of gauranteed quality from the Rubinhaigen Blacksmith's guild.
context: But you get a lot of customers from the north right?\Nails are required goods to last through the long winter.\I guess there is a demand for them...\How many?\120 three-pattes,\Note: pattes are some form of measurement\200 four-pattes, 200 five-pattes.\I've got a letter of gauranteed quality from the Rubinhaigen Blacksmith's guild. response:	I'll take them for 10 rumiones.
context: Nails are required goods to last through the long winter.\I guess there is a demand for them...\How many?\120 three-pattes,\Note: pattes are some form of measurement\200 four-pattes, 200 five-pattes.\I've got a letter of gauranteed quality from the Rubinhaigen Blacksmith's guild.\I'll take them for 10 rumiones. response:	That's too cheap.
context: I guess there is a demand for them...\How many?\120 three-pattes,\Note: pattes are some form of measurement\200 four-pattes, 200 five-pattes.\I've got a letter of gauranteed quality from the Rubinhaigen Blacksmith's guild.\I'll take them for 10 rumiones.\That's too cheap. response:	Haven't you heard about the crash in battle equipment?
context: How many?\120 three-pattes,\Note: pattes are some form of measurement\200 four-pattes, 200 five-pattes.\I've got a letter of gauranteed quality from the Rubinhaigen Blacksmith's guild.\I'll take them for 10 rumiones.\That's too cheap.\Haven't you heard about the crash in battle equipment? response:	The Northern military expedition was canceled this year,
context: 120 three-pattes,\Note: pattes are some form of measurement\200 four-pattes, 200 five-pattes.\I've got a letter of gauranteed quality from the Rubinhaigen Blacksmith's guild.\I'll take them for 10 rumiones.\That's too cheap.\Haven't you heard about the crash in battle equipment?\The Northern military expedition was canceled this year, response:	so swords and armor are being sold dirt cheap.
context: Note: pattes are some form of measurement\200 four-pattes, 200 five-pattes.\I've got a letter of gauranteed quality from the Rubinhaigen Blacksmith's guild.\I'll take them for 10 rumiones.\That's too cheap.\Haven't you heard about the crash in battle equipment?\The Northern military expedition was canceled this year,\so swords and armor are being sold dirt cheap. response:	Because of that the market for nails has fallen too.
context: 200 four-pattes, 200 five-pattes.\I've got a letter of gauranteed quality from the Rubinhaigen Blacksmith's guild.\I'll take them for 10 rumiones.\That's too cheap.\Haven't you heard about the crash in battle equipment?\The Northern military expedition was canceled this year,\so swords and armor are being sold dirt cheap.\Because of that the market for nails has fallen too. response:	Even 10 rumiones might be too expensive.
context: I've got a letter of gauranteed quality from the Rubinhaigen Blacksmith's guild.\I'll take them for 10 rumiones.\That's too cheap.\Haven't you heard about the crash in battle equipment?\The Northern military expedition was canceled this year,\so swords and armor are being sold dirt cheap.\Because of that the market for nails has fallen too.\Even 10 rumiones might be too expensive. response:	That's only true for the southern regions, isn't it?
context: I'll take them for 10 rumiones.\That's too cheap.\Haven't you heard about the crash in battle equipment?\The Northern military expedition was canceled this year,\so swords and armor are being sold dirt cheap.\Because of that the market for nails has fallen too.\Even 10 rumiones might be too expensive.\That's only true for the southern regions, isn't it? response:	It's true that raw materials availability has increased,
context: That's too cheap.\Haven't you heard about the crash in battle equipment?\The Northern military expedition was canceled this year,\so swords and armor are being sold dirt cheap.\Because of that the market for nails has fallen too.\Even 10 rumiones might be too expensive.\That's only true for the southern regions, isn't it?\It's true that raw materials availability has increased, response:	but melting metal into nails during the winter season would drive up the prices of firewood.
context: Haven't you heard about the crash in battle equipment?\The Northern military expedition was canceled this year,\so swords and armor are being sold dirt cheap.\Because of that the market for nails has fallen too.\Even 10 rumiones might be too expensive.\That's only true for the southern regions, isn't it?\It's true that raw materials availability has increased,\but melting metal into nails during the winter season would drive up the prices of firewood. response:	No one would be willing to incur the wrath of the townsfolk in doing that,
context: The Northern military expedition was canceled this year,\so swords and armor are being sold dirt cheap.\Because of that the market for nails has fallen too.\Even 10 rumiones might be too expensive.\That's only true for the southern regions, isn't it?\It's true that raw materials availability has increased,\but melting metal into nails during the winter season would drive up the prices of firewood.\No one would be willing to incur the wrath of the townsfolk in doing that, response:	so the price of nails shouldn't be affected.
context: so swords and armor are being sold dirt cheap.\Because of that the market for nails has fallen too.\Even 10 rumiones might be too expensive.\That's only true for the southern regions, isn't it?\It's true that raw materials availability has increased,\but melting metal into nails during the winter season would drive up the prices of firewood.\No one would be willing to incur the wrath of the townsfolk in doing that,\so the price of nails shouldn't be affected. response:	Good grief.
context: Because of that the market for nails has fallen too.\Even 10 rumiones might be too expensive.\That's only true for the southern regions, isn't it?\It's true that raw materials availability has increased,\but melting metal into nails during the winter season would drive up the prices of firewood.\No one would be willing to incur the wrath of the townsfolk in doing that,\so the price of nails shouldn't be affected.\Good grief. response:	Could you not have gone elsewhere to sell nails?
context: Even 10 rumiones might be too expensive.\That's only true for the southern regions, isn't it?\It's true that raw materials availability has increased,\but melting metal into nails during the winter season would drive up the prices of firewood.\No one would be willing to incur the wrath of the townsfolk in doing that,\so the price of nails shouldn't be affected.\Good grief.\Could you not have gone elsewhere to sell nails? response:	If it were wheat, I could find ways to bargain,
context: That's only true for the southern regions, isn't it?\It's true that raw materials availability has increased,\but melting metal into nails during the winter season would drive up the prices of firewood.\No one would be willing to incur the wrath of the townsfolk in doing that,\so the price of nails shouldn't be affected.\Good grief.\Could you not have gone elsewhere to sell nails?\If it were wheat, I could find ways to bargain, response:	but nails are outside my field.
context: It's true that raw materials availability has increased,\but melting metal into nails during the winter season would drive up the prices of firewood.\No one would be willing to incur the wrath of the townsfolk in doing that,\so the price of nails shouldn't be affected.\Good grief.\Could you not have gone elsewhere to sell nails?\If it were wheat, I could find ways to bargain,\but nails are outside my field. response:	Then how about 16 rumiones?
context: but melting metal into nails during the winter season would drive up the prices of firewood.\No one would be willing to incur the wrath of the townsfolk in doing that,\so the price of nails shouldn't be affected.\Good grief.\Could you not have gone elsewhere to sell nails?\If it were wheat, I could find ways to bargain,\but nails are outside my field.\Then how about 16 rumiones? response:	Too expensive.
context: No one would be willing to incur the wrath of the townsfolk in doing that,\so the price of nails shouldn't be affected.\Good grief.\Could you not have gone elsewhere to sell nails?\If it were wheat, I could find ways to bargain,\but nails are outside my field.\Then how about 16 rumiones?\Too expensive. response:	13 rumiones.
context: so the price of nails shouldn't be affected.\Good grief.\Could you not have gone elsewhere to sell nails?\If it were wheat, I could find ways to bargain,\but nails are outside my field.\Then how about 16 rumiones?\Too expensive.\13 rumiones. response:	15.
context: Good grief.\Could you not have gone elsewhere to sell nails?\If it were wheat, I could find ways to bargain,\but nails are outside my field.\Then how about 16 rumiones?\Too expensive.\13 rumiones.\15. response:	14 and two thirds.
context: Could you not have gone elsewhere to sell nails?\If it were wheat, I could find ways to bargain,\but nails are outside my field.\Then how about 16 rumiones?\Too expensive.\13 rumiones.\15.\14 and two thirds. response:	Okay.
context: If it were wheat, I could find ways to bargain,\but nails are outside my field.\Then how about 16 rumiones?\Too expensive.\13 rumiones.\15.\14 and two thirds.\Okay. response:	We'll go with that.
context: but nails are outside my field.\Then how about 16 rumiones?\Too expensive.\13 rumiones.\15.\14 and two thirds.\Okay.\We'll go with that. response:	That's my buddy.
context: Then how about 16 rumiones?\Too expensive.\13 rumiones.\15.\14 and two thirds.\Okay.\We'll go with that.\That's my buddy. response:	So, payment in cash?
context: Too expensive.\13 rumiones.\15.\14 and two thirds.\Okay.\We'll go with that.\That's my buddy.\So, payment in cash? response:	Or do you want credit?
context: 13 rumiones.\15.\14 and two thirds.\Okay.\We'll go with that.\That's my buddy.\So, payment in cash?\Or do you want credit? response:	Credit please.
context: 15.\14 and two thirds.\Okay.\We'll go with that.\That's my buddy.\So, payment in cash?\Or do you want credit?\Credit please. response:	Appeciated.
context: 14 and two thirds.\Okay.\We'll go with that.\That's my buddy.\So, payment in cash?\Or do you want credit?\Credit please.\Appeciated. response:	Everyone's charging cash this time of year.
context: Okay.\We'll go with that.\That's my buddy.\So, payment in cash?\Or do you want credit?\Credit please.\Appeciated.\Everyone's charging cash this time of year. response:	The scarcity of cash makes it difficult.
context: We'll go with that.\That's my buddy.\So, payment in cash?\Or do you want credit?\Credit please.\Appeciated.\Everyone's charging cash this time of year.\The scarcity of cash makes it difficult. response:	Lanto!
context: That's my buddy.\So, payment in cash?\Or do you want credit?\Credit please.\Appeciated.\Everyone's charging cash this time of year.\The scarcity of cash makes it difficult.\Lanto! response:	Yes, master!
context: So, payment in cash?\Or do you want credit?\Credit please.\Appeciated.\Everyone's charging cash this time of year.\The scarcity of cash makes it difficult.\Lanto!\Yes, master! response:	You have an apprentice?
