context: Onii-chan's grinning a lot lately. response:	It's probably a girl.
context: Sorry to tell you like this, but I like you.\A text message blunder made things really awkward.\Advice\Kanda.\Y-Yuki-chan!\Did you do the English assignment?\Huh?\There was an assignment? response:	This is definitely bad.
context: A text message blunder made things really awkward.\Advice\Kanda.\Y-Yuki-chan!\Did you do the English assignment?\Huh?\There was an assignment?\This is definitely bad. response:	I wonder if she read the message I sent after.
context: Advice\Kanda.\Y-Yuki-chan!\Did you do the English assignment?\Huh?\There was an assignment?\This is definitely bad.\I wonder if she read the message I sent after. response:	Maybe I should send it again.
context: Kanda.\Y-Yuki-chan!\Did you do the English assignment?\Huh?\There was an assignment?\This is definitely bad.\I wonder if she read the message I sent after.\Maybe I should send it again. response:	No, I should tell her in person, not by text.
context: Y-Yuki-chan!\Did you do the English assignment?\Huh?\There was an assignment?\This is definitely bad.\I wonder if she read the message I sent after.\Maybe I should send it again.\No, I should tell her in person, not by text. response:	She won't talk to me, though.
context: Did you do the English assignment?\Huh?\There was an assignment?\This is definitely bad.\I wonder if she read the message I sent after.\Maybe I should send it again.\No, I should tell her in person, not by text.\She won't talk to me, though. response:	What should I do?
context: Huh?\There was an assignment?\This is definitely bad.\I wonder if she read the message I sent after.\Maybe I should send it again.\No, I should tell her in person, not by text.\She won't talk to me, though.\What should I do? response:	Stare...
context: There was an assignment?\This is definitely bad.\I wonder if she read the message I sent after.\Maybe I should send it again.\No, I should tell her in person, not by text.\She won't talk to me, though.\What should I do?\Stare... response:	Huh? What?
context: This is definitely bad.\I wonder if she read the message I sent after.\Maybe I should send it again.\No, I should tell her in person, not by text.\She won't talk to me, though.\What should I do?\Stare...\Huh? What? response:	Sorry, I got curious.
context: I wonder if she read the message I sent after.\Maybe I should send it again.\No, I should tell her in person, not by text.\She won't talk to me, though.\What should I do?\Stare...\Huh? What?\Sorry, I got curious. response:	Curious?
context: Maybe I should send it again.\No, I should tell her in person, not by text.\She won't talk to me, though.\What should I do?\Stare...\Huh? What?\Sorry, I got curious.\Curious? response:	About what?
context: No, I should tell her in person, not by text.\She won't talk to me, though.\What should I do?\Stare...\Huh? What?\Sorry, I got curious.\Curious?\About what? response:	I don't have the brains to explain.
context: She won't talk to me, though.\What should I do?\Stare...\Huh? What?\Sorry, I got curious.\Curious?\About what?\I don't have the brains to explain. response:	But you looked just like I did before.
context: What should I do?\Stare...\Huh? What?\Sorry, I got curious.\Curious?\About what?\I don't have the brains to explain.\But you looked just like I did before. response:	What's with this guy?
context: Stare...\Huh? What?\Sorry, I got curious.\Curious?\About what?\I don't have the brains to explain.\But you looked just like I did before.\What's with this guy? response:	Have I met him somewhere?
context: Huh? What?\Sorry, I got curious.\Curious?\About what?\I don't have the brains to explain.\But you looked just like I did before.\What's with this guy?\Have I met him somewhere? response:	Uh...
context: Sorry, I got curious.\Curious?\About what?\I don't have the brains to explain.\But you looked just like I did before.\What's with this guy?\Have I met him somewhere?\Uh... response:	It's not your problem,
context: Curious?\About what?\I don't have the brains to explain.\But you looked just like I did before.\What's with this guy?\Have I met him somewhere?\Uh...\It's not your problem, response:	so if you'll excuse me...
context: About what?\I don't have the brains to explain.\But you looked just like I did before.\What's with this guy?\Have I met him somewhere?\Uh...\It's not your problem,\so if you'll excuse me... response:	It's a woman, isn't it?
context: I don't have the brains to explain.\But you looked just like I did before.\What's with this guy?\Have I met him somewhere?\Uh...\It's not your problem,\so if you'll excuse me...\It's a woman, isn't it? response:	I can tell just by looking at you.
context: But you looked just like I did before.\What's with this guy?\Have I met him somewhere?\Uh...\It's not your problem,\so if you'll excuse me...\It's a woman, isn't it?\I can tell just by looking at you. response:	Huh? How?
context: What's with this guy?\Have I met him somewhere?\Uh...\It's not your problem,\so if you'll excuse me...\It's a woman, isn't it?\I can tell just by looking at you.\Huh? How? response:	I told you, you're a lot like me.
context: Have I met him somewhere?\Uh...\It's not your problem,\so if you'll excuse me...\It's a woman, isn't it?\I can tell just by looking at you.\Huh? How?\I told you, you're a lot like me. response:	I, too, have made many a woman cry.
context: Uh...\It's not your problem,\so if you'll excuse me...\It's a woman, isn't it?\I can tell just by looking at you.\Huh? How?\I told you, you're a lot like me.\I, too, have made many a woman cry. response:	No, I haven't made that many cry.
context: It's not your problem,\so if you'll excuse me...\It's a woman, isn't it?\I can tell just by looking at you.\Huh? How?\I told you, you're a lot like me.\I, too, have made many a woman cry.\No, I haven't made that many cry. response:	But you did make her cry, didn't you?
context: so if you'll excuse me...\It's a woman, isn't it?\I can tell just by looking at you.\Huh? How?\I told you, you're a lot like me.\I, too, have made many a woman cry.\No, I haven't made that many cry.\But you did make her cry, didn't you? response:	The one you absolutely shouldn't have.
context: It's a woman, isn't it?\I can tell just by looking at you.\Huh? How?\I told you, you're a lot like me.\I, too, have made many a woman cry.\No, I haven't made that many cry.\But you did make her cry, didn't you?\The one you absolutely shouldn't have. response:	Whoa!
context: I can tell just by looking at you.\Huh? How?\I told you, you're a lot like me.\I, too, have made many a woman cry.\No, I haven't made that many cry.\But you did make her cry, didn't you?\The one you absolutely shouldn't have.\Whoa! response:	I think I should ask him for advice!
context: Huh? How?\I told you, you're a lot like me.\I, too, have made many a woman cry.\No, I haven't made that many cry.\But you did make her cry, didn't you?\The one you absolutely shouldn't have.\Whoa!\I think I should ask him for advice! response:	You don't think I'm a dating master, do you?
context: I told you, you're a lot like me.\I, too, have made many a woman cry.\No, I haven't made that many cry.\But you did make her cry, didn't you?\The one you absolutely shouldn't have.\Whoa!\I think I should ask him for advice!\You don't think I'm a dating master, do you? response:	Huh?
context: I, too, have made many a woman cry.\No, I haven't made that many cry.\But you did make her cry, didn't you?\The one you absolutely shouldn't have.\Whoa!\I think I should ask him for advice!\You don't think I'm a dating master, do you?\Huh? response:	Bingo!
context: No, I haven't made that many cry.\But you did make her cry, didn't you?\The one you absolutely shouldn't have.\Whoa!\I think I should ask him for advice!\You don't think I'm a dating master, do you?\Huh?\Bingo! response:	Dating... what?
context: But you did make her cry, didn't you?\The one you absolutely shouldn't have.\Whoa!\I think I should ask him for advice!\You don't think I'm a dating master, do you?\Huh?\Bingo!\Dating... what? response:	Seeing you takes me back to the days
context: The one you absolutely shouldn't have.\Whoa!\I think I should ask him for advice!\You don't think I'm a dating master, do you?\Huh?\Bingo!\Dating... what?\Seeing you takes me back to the days response:	when I would be trembling in the rain.
context: Whoa!\I think I should ask him for advice!\You don't think I'm a dating master, do you?\Huh?\Bingo!\Dating... what?\Seeing you takes me back to the days\when I would be trembling in the rain. response:	Then what am I supposed to do?
context: I think I should ask him for advice!\You don't think I'm a dating master, do you?\Huh?\Bingo!\Dating... what?\Seeing you takes me back to the days\when I would be trembling in the rain.\Then what am I supposed to do? response:	She won't even talk to me.
context: You don't think I'm a dating master, do you?\Huh?\Bingo!\Dating... what?\Seeing you takes me back to the days\when I would be trembling in the rain.\Then what am I supposed to do?\She won't even talk to me. response:	I don't know.
context: Huh?\Bingo!\Dating... what?\Seeing you takes me back to the days\when I would be trembling in the rain.\Then what am I supposed to do?\She won't even talk to me.\I don't know. response:	I'm stupid. I have no idea.
context: Bingo!\Dating... what?\Seeing you takes me back to the days\when I would be trembling in the rain.\Then what am I supposed to do?\She won't even talk to me.\I don't know.\I'm stupid. I have no idea. response:	All I can think to do is to go to her and hold her tight.
context: Dating... what?\Seeing you takes me back to the days\when I would be trembling in the rain.\Then what am I supposed to do?\She won't even talk to me.\I don't know.\I'm stupid. I have no idea.\All I can think to do is to go to her and hold her tight. response:	Whoa!
context: Seeing you takes me back to the days\when I would be trembling in the rain.\Then what am I supposed to do?\She won't even talk to me.\I don't know.\I'm stupid. I have no idea.\All I can think to do is to go to her and hold her tight.\Whoa! response:	I feel like you might be right, when you say it.
context: when I would be trembling in the rain.\Then what am I supposed to do?\She won't even talk to me.\I don't know.\I'm stupid. I have no idea.\All I can think to do is to go to her and hold her tight.\Whoa!\I feel like you might be right, when you say it. response:	All right. Then isn't there somewhere you need to be now?
context: Then what am I supposed to do?\She won't even talk to me.\I don't know.\I'm stupid. I have no idea.\All I can think to do is to go to her and hold her tight.\Whoa!\I feel like you might be right, when you say it.\All right. Then isn't there somewhere you need to be now? response:	Um...
context: She won't even talk to me.\I don't know.\I'm stupid. I have no idea.\All I can think to do is to go to her and hold her tight.\Whoa!\I feel like you might be right, when you say it.\All right. Then isn't there somewhere you need to be now?\Um... response:	Thank you for all the advice.
context: I don't know.\I'm stupid. I have no idea.\All I can think to do is to go to her and hold her tight.\Whoa!\I feel like you might be right, when you say it.\All right. Then isn't there somewhere you need to be now?\Um...\Thank you for all the advice. response:	Advice?
context: I'm stupid. I have no idea.\All I can think to do is to go to her and hold her tight.\Whoa!\I feel like you might be right, when you say it.\All right. Then isn't there somewhere you need to be now?\Um...\Thank you for all the advice.\Advice? response:	What advice?
context: All I can think to do is to go to her and hold her tight.\Whoa!\I feel like you might be right, when you say it.\All right. Then isn't there somewhere you need to be now?\Um...\Thank you for all the advice.\Advice?\What advice? response:	I just talked about myself.
context: Whoa!\I feel like you might be right, when you say it.\All right. Then isn't there somewhere you need to be now?\Um...\Thank you for all the advice.\Advice?\What advice?\I just talked about myself. response:	About an idiot who gets called the dating master.
context: I feel like you might be right, when you say it.\All right. Then isn't there somewhere you need to be now?\Um...\Thank you for all the advice.\Advice?\What advice?\I just talked about myself.\About an idiot who gets called the dating master. response:	Senpai...
context: All right. Then isn't there somewhere you need to be now?\Um...\Thank you for all the advice.\Advice?\What advice?\I just talked about myself.\About an idiot who gets called the dating master.\Senpai... response:	Now, go to her.
context: Um...\Thank you for all the advice.\Advice?\What advice?\I just talked about myself.\About an idiot who gets called the dating master.\Senpai...\Now, go to her. response:	Before she leaves.
context: Thank you for all the advice.\Advice?\What advice?\I just talked about myself.\About an idiot who gets called the dating master.\Senpai...\Now, go to her.\Before she leaves. response:	R-Right!
context: Advice?\What advice?\I just talked about myself.\About an idiot who gets called the dating master.\Senpai...\Now, go to her.\Before she leaves.\R-Right! response:	Oh, before I go, what's your name
context: What advice?\I just talked about myself.\About an idiot who gets called the dating master.\Senpai...\Now, go to her.\Before she leaves.\R-Right!\Oh, before I go, what's your name response:	S-Senpai!
context: I just talked about myself.\About an idiot who gets called the dating master.\Senpai...\Now, go to her.\Before she leaves.\R-Right!\Oh, before I go, what's your name\S-Senpai! response:	See you!
context: About an idiot who gets called the dating master.\Senpai...\Now, go to her.\Before she leaves.\R-Right!\Oh, before I go, what's your name\S-Senpai!\See you! response:	I feel listless lately.
context: Senpai...\Now, go to her.\Before she leaves.\R-Right!\Oh, before I go, what's your name\S-Senpai!\See you!\I feel listless lately. response:	I catch myself staring at random things in class.
context: Now, go to her.\Before she leaves.\R-Right!\Oh, before I go, what's your name\S-Senpai!\See you!\I feel listless lately.\I catch myself staring at random things in class. response:	And my chest hurts a little, too.
context: Before she leaves.\R-Right!\Oh, before I go, what's your name\S-Senpai!\See you!\I feel listless lately.\I catch myself staring at random things in class.\And my chest hurts a little, too. response:	It's All the Fever's Fault
context: R-Right!\Oh, before I go, what's your name\S-Senpai!\See you!\I feel listless lately.\I catch myself staring at random things in class.\And my chest hurts a little, too.\It's All the Fever's Fault response:	Chi-chan, are you all right?
context: Oh, before I go, what's your name\S-Senpai!\See you!\I feel listless lately.\I catch myself staring at random things in class.\And my chest hurts a little, too.\It's All the Fever's Fault\Chi-chan, are you all right? response:	Huh? Oh, sorry.
context: S-Senpai!\See you!\I feel listless lately.\I catch myself staring at random things in class.\And my chest hurts a little, too.\It's All the Fever's Fault\Chi-chan, are you all right?\Huh? Oh, sorry. response:	You're acting weird lately.
context: See you!\I feel listless lately.\I catch myself staring at random things in class.\And my chest hurts a little, too.\It's All the Fever's Fault\Chi-chan, are you all right?\Huh? Oh, sorry.\You're acting weird lately. response:	Are you sick or something?
context: I feel listless lately.\I catch myself staring at random things in class.\And my chest hurts a little, too.\It's All the Fever's Fault\Chi-chan, are you all right?\Huh? Oh, sorry.\You're acting weird lately.\Are you sick or something? response:	Yeah, I think I have a cold.
context: I catch myself staring at random things in class.\And my chest hurts a little, too.\It's All the Fever's Fault\Chi-chan, are you all right?\Huh? Oh, sorry.\You're acting weird lately.\Are you sick or something?\Yeah, I think I have a cold. response:	I don't know why, but I keep thinking about Sugawara-kun.
context: And my chest hurts a little, too.\It's All the Fever's Fault\Chi-chan, are you all right?\Huh? Oh, sorry.\You're acting weird lately.\Are you sick or something?\Yeah, I think I have a cold.\I don't know why, but I keep thinking about Sugawara-kun. response:	This has never happened to me before.
context: It's All the Fever's Fault\Chi-chan, are you all right?\Huh? Oh, sorry.\You're acting weird lately.\Are you sick or something?\Yeah, I think I have a cold.\I don't know why, but I keep thinking about Sugawara-kun.\This has never happened to me before. response:	I wonder if it really is a cold.
context: Chi-chan, are you all right?\Huh? Oh, sorry.\You're acting weird lately.\Are you sick or something?\Yeah, I think I have a cold.\I don't know why, but I keep thinking about Sugawara-kun.\This has never happened to me before.\I wonder if it really is a cold. response:	Pardon me.
context: Huh? Oh, sorry.\You're acting weird lately.\Are you sick or something?\Yeah, I think I have a cold.\I don't know why, but I keep thinking about Sugawara-kun.\This has never happened to me before.\I wonder if it really is a cold.\Pardon me. response:	My heart's pounding.
context: You're acting weird lately.\Are you sick or something?\Yeah, I think I have a cold.\I don't know why, but I keep thinking about Sugawara-kun.\This has never happened to me before.\I wonder if it really is a cold.\Pardon me.\My heart's pounding. response:	It's definitely a cold.
context: Are you sick or something?\Yeah, I think I have a cold.\I don't know why, but I keep thinking about Sugawara-kun.\This has never happened to me before.\I wonder if it really is a cold.\Pardon me.\My heart's pounding.\It's definitely a cold. response:	T-Takano?
context: Yeah, I think I have a cold.\I don't know why, but I keep thinking about Sugawara-kun.\This has never happened to me before.\I wonder if it really is a cold.\Pardon me.\My heart's pounding.\It's definitely a cold.\T-Takano? response:	What's wrong?
context: I don't know why, but I keep thinking about Sugawara-kun.\This has never happened to me before.\I wonder if it really is a cold.\Pardon me.\My heart's pounding.\It's definitely a cold.\T-Takano?\What's wrong? response:	I feel feverish.
context: This has never happened to me before.\I wonder if it really is a cold.\Pardon me.\My heart's pounding.\It's definitely a cold.\T-Takano?\What's wrong?\I feel feverish. response:	Are you hurt?
context: I wonder if it really is a cold.\Pardon me.\My heart's pounding.\It's definitely a cold.\T-Takano?\What's wrong?\I feel feverish.\Are you hurt? response:	Y-Yeah, I kinda hurt myself in club.
context: Pardon me.\My heart's pounding.\It's definitely a cold.\T-Takano?\What's wrong?\I feel feverish.\Are you hurt?\Y-Yeah, I kinda hurt myself in club. response:	Where's the nurse?
context: My heart's pounding.\It's definitely a cold.\T-Takano?\What's wrong?\I feel feverish.\Are you hurt?\Y-Yeah, I kinda hurt myself in club.\Where's the nurse? response:	She left a minute ago.
context: It's definitely a cold.\T-Takano?\What's wrong?\I feel feverish.\Are you hurt?\Y-Yeah, I kinda hurt myself in club.\Where's the nurse?\She left a minute ago. response:	Oh, really?
context: T-Takano?\What's wrong?\I feel feverish.\Are you hurt?\Y-Yeah, I kinda hurt myself in club.\Where's the nurse?\She left a minute ago.\Oh, really? response:	Yeah.
context: What's wrong?\I feel feverish.\Are you hurt?\Y-Yeah, I kinda hurt myself in club.\Where's the nurse?\She left a minute ago.\Oh, really?\Yeah. response:	H-Hey, is the soccer club okay?
context: I feel feverish.\Are you hurt?\Y-Yeah, I kinda hurt myself in club.\Where's the nurse?\She left a minute ago.\Oh, really?\Yeah.\H-Hey, is the soccer club okay? response:	Yeah, I guess.
context: Are you hurt?\Y-Yeah, I kinda hurt myself in club.\Where's the nurse?\She left a minute ago.\Oh, really?\Yeah.\H-Hey, is the soccer club okay?\Yeah, I guess. response:	What am I saying?
context: Y-Yeah, I kinda hurt myself in club.\Where's the nurse?\She left a minute ago.\Oh, really?\Yeah.\H-Hey, is the soccer club okay?\Yeah, I guess.\What am I saying? response:	I can't hold a conversation like this.
context: Where's the nurse?\She left a minute ago.\Oh, really?\Yeah.\H-Hey, is the soccer club okay?\Yeah, I guess.\What am I saying?\I can't hold a conversation like this. response:	My head's hazy.
context: She left a minute ago.\Oh, really?\Yeah.\H-Hey, is the soccer club okay?\Yeah, I guess.\What am I saying?\I can't hold a conversation like this.\My head's hazy. response:	I should think of things to talk about.
context: Oh, really?\Yeah.\H-Hey, is the soccer club okay?\Yeah, I guess.\What am I saying?\I can't hold a conversation like this.\My head's hazy.\I should think of things to talk about. response:	Hey, Takano,
context: Yeah.\H-Hey, is the soccer club okay?\Yeah, I guess.\What am I saying?\I can't hold a conversation like this.\My head's hazy.\I should think of things to talk about.\Hey, Takano, response:	weren't you here to have your temperature taken or something?
context: H-Hey, is the soccer club okay?\Yeah, I guess.\What am I saying?\I can't hold a conversation like this.\My head's hazy.\I should think of things to talk about.\Hey, Takano,\weren't you here to have your temperature taken or something? response:	R-Right.
context: Yeah, I guess.\What am I saying?\I can't hold a conversation like this.\My head's hazy.\I should think of things to talk about.\Hey, Takano,\weren't you here to have your temperature taken or something?\R-Right. response:	I think I do have a fever.
context: What am I saying?\I can't hold a conversation like this.\My head's hazy.\I should think of things to talk about.\Hey, Takano,\weren't you here to have your temperature taken or something?\R-Right.\I think I do have a fever. response:	A-Are you okay?
context: I can't hold a conversation like this.\My head's hazy.\I should think of things to talk about.\Hey, Takano,\weren't you here to have your temperature taken or something?\R-Right.\I think I do have a fever.\A-Are you okay? response:	All right, I need to get back to club.
context: My head's hazy.\I should think of things to talk about.\Hey, Takano,\weren't you here to have your temperature taken or something?\R-Right.\I think I do have a fever.\A-Are you okay?\All right, I need to get back to club. response:	Ah, wait.
context: I should think of things to talk about.\Hey, Takano,\weren't you here to have your temperature taken or something?\R-Right.\I think I do have a fever.\A-Are you okay?\All right, I need to get back to club.\Ah, wait. response:	What?
context: Hey, Takano,\weren't you here to have your temperature taken or something?\R-Right.\I think I do have a fever.\A-Are you okay?\All right, I need to get back to club.\Ah, wait.\What? response:	I don't know.
context: weren't you here to have your temperature taken or something?\R-Right.\I think I do have a fever.\A-Are you okay?\All right, I need to get back to club.\Ah, wait.\What?\I don't know. response:	Huh?
context: R-Right.\I think I do have a fever.\A-Are you okay?\All right, I need to get back to club.\Ah, wait.\What?\I don't know.\Huh? response:	No, I mean, I don't know where the thermometer is.
context: I think I do have a fever.\A-Are you okay?\All right, I need to get back to club.\Ah, wait.\What?\I don't know.\Huh?\No, I mean, I don't know where the thermometer is. response:	Oh, okay.
context: A-Are you okay?\All right, I need to get back to club.\Ah, wait.\What?\I don't know.\Huh?\No, I mean, I don't know where the thermometer is.\Oh, okay. response:	You scared me.
context: All right, I need to get back to club.\Ah, wait.\What?\I don't know.\Huh?\No, I mean, I don't know where the thermometer is.\Oh, okay.\You scared me. response:	S-Sorry.
context: Ah, wait.\What?\I don't know.\Huh?\No, I mean, I don't know where the thermometer is.\Oh, okay.\You scared me.\S-Sorry. response:	You scared me for a second, saying that with a red face.
context: What?\I don't know.\Huh?\No, I mean, I don't know where the thermometer is.\Oh, okay.\You scared me.\S-Sorry.\You scared me for a second, saying that with a red face. response:	Really? Was my face that red?
context: I don't know.\Huh?\No, I mean, I don't know where the thermometer is.\Oh, okay.\You scared me.\S-Sorry.\You scared me for a second, saying that with a red face.\Really? Was my face that red? response:	Compared to usual, yeah.
context: Huh?\No, I mean, I don't know where the thermometer is.\Oh, okay.\You scared me.\S-Sorry.\You scared me for a second, saying that with a red face.\Really? Was my face that red?\Compared to usual, yeah. response:	But it's not what I meant.
context: No, I mean, I don't know where the thermometer is.\Oh, okay.\You scared me.\S-Sorry.\You scared me for a second, saying that with a red face.\Really? Was my face that red?\Compared to usual, yeah.\But it's not what I meant. response:	I know.
context: Oh, okay.\You scared me.\S-Sorry.\You scared me for a second, saying that with a red face.\Really? Was my face that red?\Compared to usual, yeah.\But it's not what I meant.\I know. response:	You're not the kind to fall in love.
context: You scared me.\S-Sorry.\You scared me for a second, saying that with a red face.\Really? Was my face that red?\Compared to usual, yeah.\But it's not what I meant.\I know.\You're not the kind to fall in love. response:	Apparently, it's state-of-the-art.
context: S-Sorry.\You scared me for a second, saying that with a red face.\Really? Was my face that red?\Compared to usual, yeah.\But it's not what I meant.\I know.\You're not the kind to fall in love.\Apparently, it's state-of-the-art. response:	It works in five seconds.
context: You scared me for a second, saying that with a red face.\Really? Was my face that red?\Compared to usual, yeah.\But it's not what I meant.\I know.\You're not the kind to fall in love.\Apparently, it's state-of-the-art.\It works in five seconds. response:	Huh.
context: Really? Was my face that red?\Compared to usual, yeah.\But it's not what I meant.\I know.\You're not the kind to fall in love.\Apparently, it's state-of-the-art.\It works in five seconds.\Huh. response:	I hope you don't have a fever.
context: Compared to usual, yeah.\But it's not what I meant.\I know.\You're not the kind to fall in love.\Apparently, it's state-of-the-art.\It works in five seconds.\Huh.\I hope you don't have a fever. response:	Yeah.
context: But it's not what I meant.\I know.\You're not the kind to fall in love.\Apparently, it's state-of-the-art.\It works in five seconds.\Huh.\I hope you don't have a fever.\Yeah. response:	But what if I don't have a fever?
context: I know.\You're not the kind to fall in love.\Apparently, it's state-of-the-art.\It works in five seconds.\Huh.\I hope you don't have a fever.\Yeah.\But what if I don't have a fever? response:	If it isn't a fever...
context: You're not the kind to fall in love.\Apparently, it's state-of-the-art.\It works in five seconds.\Huh.\I hope you don't have a fever.\Yeah.\But what if I don't have a fever?\If it isn't a fever... response:	What is it?
context: Apparently, it's state-of-the-art.\It works in five seconds.\Huh.\I hope you don't have a fever.\Yeah.\But what if I don't have a fever?\If it isn't a fever...\What is it? response:	Normal temperature.
context: It works in five seconds.\Huh.\I hope you don't have a fever.\Yeah.\But what if I don't have a fever?\If it isn't a fever...\What is it?\Normal temperature. response:	I guess I have a slight fever.
context: Huh.\I hope you don't have a fever.\Yeah.\But what if I don't have a fever?\If it isn't a fever...\What is it?\Normal temperature.\I guess I have a slight fever. response:	Seriously?
context: I hope you don't have a fever.\Yeah.\But what if I don't have a fever?\If it isn't a fever...\What is it?\Normal temperature.\I guess I have a slight fever.\Seriously? response:	You should go home.
context: Yeah.\But what if I don't have a fever?\If it isn't a fever...\What is it?\Normal temperature.\I guess I have a slight fever.\Seriously?\You should go home. response:	We're starting practice!
context: But what if I don't have a fever?\If it isn't a fever...\What is it?\Normal temperature.\I guess I have a slight fever.\Seriously?\You should go home.\We're starting practice! response:	I gotta get to club.
context: If it isn't a fever...\What is it?\Normal temperature.\I guess I have a slight fever.\Seriously?\You should go home.\We're starting practice!\I gotta get to club. response:	O-Okay.
context: What is it?\Normal temperature.\I guess I have a slight fever.\Seriously?\You should go home.\We're starting practice!\I gotta get to club.\O-Okay. response:	Take care.
context: Normal temperature.\I guess I have a slight fever.\Seriously?\You should go home.\We're starting practice!\I gotta get to club.\O-Okay.\Take care. response:	Thanks.
context: I guess I have a slight fever.\Seriously?\You should go home.\We're starting practice!\I gotta get to club.\O-Okay.\Take care.\Thanks. response:	If it isn't a fever, what is it?
context: Seriously?\You should go home.\We're starting practice!\I gotta get to club.\O-Okay.\Take care.\Thanks.\If it isn't a fever, what is it? response:	Next episode: Bruised-Up Angel.
context: You should go home.\We're starting practice!\I gotta get to club.\O-Okay.\Take care.\Thanks.\If it isn't a fever, what is it?\Next episode: Bruised-Up Angel. response:	Bruised-Up Angel
