context: This can't be happening. response:	Takumi... why?
context: That's why we perform the inspections!\You can't find the Corpses with your inspections!\As proof of that, they are amongst you here and now.\Take a good look!\If you find one, kill it before it kills you!\Or else...\Bastard, how dare you aim your gun at me!\Look! response:	It is the sign of the Corpse!
context: You can't find the Corpses with your inspections!\As proof of that, they are amongst you here and now.\Take a good look!\If you find one, kill it before it kills you!\Or else...\Bastard, how dare you aim your gun at me!\Look!\It is the sign of the Corpse! response:	Warlord!
context: As proof of that, they are amongst you here and now.\Take a good look!\If you find one, kill it before it kills you!\Or else...\Bastard, how dare you aim your gun at me!\Look!\It is the sign of the Corpse!\Warlord! response:	Warlord!
context: Take a good look!\If you find one, kill it before it kills you!\Or else...\Bastard, how dare you aim your gun at me!\Look!\It is the sign of the Corpse!\Warlord!\Warlord! response:	Keep shooting!
context: If you find one, kill it before it kills you!\Or else...\Bastard, how dare you aim your gun at me!\Look!\It is the sign of the Corpse!\Warlord!\Warlord!\Keep shooting! response:	One shot is not enough to pierce a Corpse's heart!
context: Or else...\Bastard, how dare you aim your gun at me!\Look!\It is the sign of the Corpse!\Warlord!\Warlord!\Keep shooting!\One shot is not enough to pierce a Corpse's heart! response:	Biba!
context: Bastard, how dare you aim your gun at me!\Look!\It is the sign of the Corpse!\Warlord!\Warlord!\Keep shooting!\One shot is not enough to pierce a Corpse's heart!\Biba! response:	It was not me who killed you.
context: Look!\It is the sign of the Corpse!\Warlord!\Warlord!\Keep shooting!\One shot is not enough to pierce a Corpse's heart!\Biba!\It was not me who killed you. response:	It was fear.
context: It is the sign of the Corpse!\Warlord!\Warlord!\Keep shooting!\One shot is not enough to pierce a Corpse's heart!\Biba!\It was not me who killed you.\It was fear. response:	The Warlord has...
context: Warlord!\Warlord!\Keep shooting!\One shot is not enough to pierce a Corpse's heart!\Biba!\It was not me who killed you.\It was fear.\The Warlord has... response:	It is not over yet!
context: Warlord!\Keep shooting!\One shot is not enough to pierce a Corpse's heart!\Biba!\It was not me who killed you.\It was fear.\The Warlord has...\It is not over yet! response:	The Warlord himself was a Corpse.
context: Keep shooting!\One shot is not enough to pierce a Corpse's heart!\Biba!\It was not me who killed you.\It was fear.\The Warlord has...\It is not over yet!\The Warlord himself was a Corpse. response:	There are bound to be many more hidden among you!
context: One shot is not enough to pierce a Corpse's heart!\Biba!\It was not me who killed you.\It was fear.\The Warlord has...\It is not over yet!\The Warlord himself was a Corpse.\There are bound to be many more hidden among you! response:	Give it to me!
context: Biba!\It was not me who killed you.\It was fear.\The Warlord has...\It is not over yet!\The Warlord himself was a Corpse.\There are bound to be many more hidden among you!\Give it to me! response:	Let go!
context: It was not me who killed you.\It was fear.\The Warlord has...\It is not over yet!\The Warlord himself was a Corpse.\There are bound to be many more hidden among you!\Give it to me!\Let go! response:	You bastard!
context: It was fear.\The Warlord has...\It is not over yet!\The Warlord himself was a Corpse.\There are bound to be many more hidden among you!\Give it to me!\Let go!\You bastard! response:	He's a Corpse too!
context: The Warlord has...\It is not over yet!\The Warlord himself was a Corpse.\There are bound to be many more hidden among you!\Give it to me!\Let go!\You bastard!\He's a Corpse too! response:	Stop!
context: It is not over yet!\The Warlord himself was a Corpse.\There are bound to be many more hidden among you!\Give it to me!\Let go!\You bastard!\He's a Corpse too!\Stop! response:	Everyone lower your weapons!
context: The Warlord himself was a Corpse.\There are bound to be many more hidden among you!\Give it to me!\Let go!\You bastard!\He's a Corpse too!\Stop!\Everyone lower your weapons! response:	Ayame-dono, over here!
context: There are bound to be many more hidden among you!\Give it to me!\Let go!\You bastard!\He's a Corpse too!\Stop!\Everyone lower your weapons!\Ayame-dono, over here! response:	Are you a Corpse too?!
context: Give it to me!\Let go!\You bastard!\He's a Corpse too!\Stop!\Everyone lower your weapons!\Ayame-dono, over here!\Are you a Corpse too?! response:	Are you?!
context: Let go!\You bastard!\He's a Corpse too!\Stop!\Everyone lower your weapons!\Ayame-dono, over here!\Are you a Corpse too?!\Are you?! response:	Watch out, or you might get bitten from behind!
context: You bastard!\He's a Corpse too!\Stop!\Everyone lower your weapons!\Ayame-dono, over here!\Are you a Corpse too?!\Are you?!\Watch out, or you might get bitten from behind! response:	The Warlord was a Corpse?!
context: He's a Corpse too!\Stop!\Everyone lower your weapons!\Ayame-dono, over here!\Are you a Corpse too?!\Are you?!\Watch out, or you might get bitten from behind!\The Warlord was a Corpse?! response:	Which means... we have been infiltrated by the Corpses!
context: Stop!\Everyone lower your weapons!\Ayame-dono, over here!\Are you a Corpse too?!\Are you?!\Watch out, or you might get bitten from behind!\The Warlord was a Corpse?!\Which means... we have been infiltrated by the Corpses! response:	By the Corpses?!
context: Everyone lower your weapons!\Ayame-dono, over here!\Are you a Corpse too?!\Are you?!\Watch out, or you might get bitten from behind!\The Warlord was a Corpse?!\Which means... we have been infiltrated by the Corpses!\By the Corpses?! response:	Is Ayame-sama safe?!
context: Ayame-dono, over here!\Are you a Corpse too?!\Are you?!\Watch out, or you might get bitten from behind!\The Warlord was a Corpse?!\Which means... we have been infiltrated by the Corpses!\By the Corpses?!\Is Ayame-sama safe?! response:	Calm down!
context: Are you a Corpse too?!\Are you?!\Watch out, or you might get bitten from behind!\The Warlord was a Corpse?!\Which means... we have been infiltrated by the Corpses!\By the Corpses?!\Is Ayame-sama safe?!\Calm down! response:	There is no way there are any Corpses here!
context: Are you?!\Watch out, or you might get bitten from behind!\The Warlord was a Corpse?!\Which means... we have been infiltrated by the Corpses!\By the Corpses?!\Is Ayame-sama safe?!\Calm down!\There is no way there are any Corpses here! response:	We have carefully performed inspections.
context: Watch out, or you might get bitten from behind!\The Warlord was a Corpse?!\Which means... we have been infiltrated by the Corpses!\By the Corpses?!\Is Ayame-sama safe?!\Calm down!\There is no way there are any Corpses here!\We have carefully performed inspections. response:	You have nothing to fear!
context: The Warlord was a Corpse?!\Which means... we have been infiltrated by the Corpses!\By the Corpses?!\Is Ayame-sama safe?!\Calm down!\There is no way there are any Corpses here!\We have carefully performed inspections.\You have nothing to fear! response:	Well said.
context: Which means... we have been infiltrated by the Corpses!\By the Corpses?!\Is Ayame-sama safe?!\Calm down!\There is no way there are any Corpses here!\We have carefully performed inspections.\You have nothing to fear!\Well said. response:	But the Corpses aren't your only enemy.
context: By the Corpses?!\Is Ayame-sama safe?!\Calm down!\There is no way there are any Corpses here!\We have carefully performed inspections.\You have nothing to fear!\Well said.\But the Corpses aren't your only enemy. response:	Their nightmare is about to become reality.
context: Is Ayame-sama safe?!\Calm down!\There is no way there are any Corpses here!\We have carefully performed inspections.\You have nothing to fear!\Well said.\But the Corpses aren't your only enemy.\Their nightmare is about to become reality. response:	Fight...
context: Calm down!\There is no way there are any Corpses here!\We have carefully performed inspections.\You have nothing to fear!\Well said.\But the Corpses aren't your only enemy.\Their nightmare is about to become reality.\Fight... response:	The Corpses!
context: There is no way there are any Corpses here!\We have carefully performed inspections.\You have nothing to fear!\Well said.\But the Corpses aren't your only enemy.\Their nightmare is about to become reality.\Fight...\The Corpses! response:	They're already here!
context: We have carefully performed inspections.\You have nothing to fear!\Well said.\But the Corpses aren't your only enemy.\Their nightmare is about to become reality.\Fight...\The Corpses!\They're already here! response:	Biba!
context: You have nothing to fear!\Well said.\But the Corpses aren't your only enemy.\Their nightmare is about to become reality.\Fight...\The Corpses!\They're already here!\Biba! response:	This was all your doing, wasn't it?!
context: Well said.\But the Corpses aren't your only enemy.\Their nightmare is about to become reality.\Fight...\The Corpses!\They're already here!\Biba!\This was all your doing, wasn't it?! response:	You turned the Warlord into a Corpse with this!
context: But the Corpses aren't your only enemy.\Their nightmare is about to become reality.\Fight...\The Corpses!\They're already here!\Biba!\This was all your doing, wasn't it?!\You turned the Warlord into a Corpse with this! response:	Congratulations.
context: Their nightmare is about to become reality.\Fight...\The Corpses!\They're already here!\Biba!\This was all your doing, wasn't it?!\You turned the Warlord into a Corpse with this!\Congratulations. response:	Here is your reward for figuring it out.
context: Fight...\The Corpses!\They're already here!\Biba!\This was all your doing, wasn't it?!\You turned the Warlord into a Corpse with this!\Congratulations.\Here is your reward for figuring it out. response:	You bastard!
context: The Corpses!\They're already here!\Biba!\This was all your doing, wasn't it?!\You turned the Warlord into a Corpse with this!\Congratulations.\Here is your reward for figuring it out.\You bastard! response:	This is all your fault!
context: They're already here!\Biba!\This was all your doing, wasn't it?!\You turned the Warlord into a Corpse with this!\Congratulations.\Here is your reward for figuring it out.\You bastard!\This is all your fault! response:	Hurry up, kid!
context: Biba!\This was all your doing, wasn't it?!\You turned the Warlord into a Corpse with this!\Congratulations.\Here is your reward for figuring it out.\You bastard!\This is all your fault!\Hurry up, kid! response:	We need to get to Diamond Citadel right away,
context: This was all your doing, wasn't it?!\You turned the Warlord into a Corpse with this!\Congratulations.\Here is your reward for figuring it out.\You bastard!\This is all your fault!\Hurry up, kid!\We need to get to Diamond Citadel right away, response:	or I'll miss Nameless's Chimera transformation!
context: You turned the Warlord into a Corpse with this!\Congratulations.\Here is your reward for figuring it out.\You bastard!\This is all your fault!\Hurry up, kid!\We need to get to Diamond Citadel right away,\or I'll miss Nameless's Chimera transformation! response:	Nameless's what?
context: Congratulations.\Here is your reward for figuring it out.\You bastard!\This is all your fault!\Hurry up, kid!\We need to get to Diamond Citadel right away,\or I'll miss Nameless's Chimera transformation!\Nameless's what? response:	I told you to hurry!
context: Here is your reward for figuring it out.\You bastard!\This is all your fault!\Hurry up, kid!\We need to get to Diamond Citadel right away,\or I'll miss Nameless's Chimera transformation!\Nameless's what?\I told you to hurry! response:	He's already given up on life!
context: You bastard!\This is all your fault!\Hurry up, kid!\We need to get to Diamond Citadel right away,\or I'll miss Nameless's Chimera transformation!\Nameless's what?\I told you to hurry!\He's already given up on life! response:	He's no different from the Corpse!
context: This is all your fault!\Hurry up, kid!\We need to get to Diamond Citadel right away,\or I'll miss Nameless's Chimera transformation!\Nameless's what?\I told you to hurry!\He's already given up on life!\He's no different from the Corpse! response:	He's no use to us now!
context: Hurry up, kid!\We need to get to Diamond Citadel right away,\or I'll miss Nameless's Chimera transformation!\Nameless's what?\I told you to hurry!\He's already given up on life!\He's no different from the Corpse!\He's no use to us now! response:	I will be the one who decides that.
context: We need to get to Diamond Citadel right away,\or I'll miss Nameless's Chimera transformation!\Nameless's what?\I told you to hurry!\He's already given up on life!\He's no different from the Corpse!\He's no use to us now!\I will be the one who decides that. response:	Let me tell you one thing before we go.
context: or I'll miss Nameless's Chimera transformation!\Nameless's what?\I told you to hurry!\He's already given up on life!\He's no different from the Corpse!\He's no use to us now!\I will be the one who decides that.\Let me tell you one thing before we go. response:	Why do you think you are alive now?
context: Nameless's what?\I told you to hurry!\He's already given up on life!\He's no different from the Corpse!\He's no use to us now!\I will be the one who decides that.\Let me tell you one thing before we go.\Why do you think you are alive now? response:	The stab wound Nameless gave you...
context: I told you to hurry!\He's already given up on life!\He's no different from the Corpse!\He's no use to us now!\I will be the one who decides that.\Let me tell you one thing before we go.\Why do you think you are alive now?\The stab wound Nameless gave you... response:	One slight deviation and it would have been fatal.
context: He's already given up on life!\He's no different from the Corpse!\He's no use to us now!\I will be the one who decides that.\Let me tell you one thing before we go.\Why do you think you are alive now?\The stab wound Nameless gave you...\One slight deviation and it would have been fatal. response:	What are you saying?
context: He's no different from the Corpse!\He's no use to us now!\I will be the one who decides that.\Let me tell you one thing before we go.\Why do you think you are alive now?\The stab wound Nameless gave you...\One slight deviation and it would have been fatal.\What are you saying? response:	Judging from the location, angle and force...
context: He's no use to us now!\I will be the one who decides that.\Let me tell you one thing before we go.\Why do you think you are alive now?\The stab wound Nameless gave you...\One slight deviation and it would have been fatal.\What are you saying?\Judging from the location, angle and force... response:	Are you saying Nameless saved me?
context: I will be the one who decides that.\Let me tell you one thing before we go.\Why do you think you are alive now?\The stab wound Nameless gave you...\One slight deviation and it would have been fatal.\What are you saying?\Judging from the location, angle and force...\Are you saying Nameless saved me? response:	She's still somewhere in there?
context: Let me tell you one thing before we go.\Why do you think you are alive now?\The stab wound Nameless gave you...\One slight deviation and it would have been fatal.\What are you saying?\Judging from the location, angle and force...\Are you saying Nameless saved me?\She's still somewhere in there? response:	But that's over now.
context: Why do you think you are alive now?\The stab wound Nameless gave you...\One slight deviation and it would have been fatal.\What are you saying?\Judging from the location, angle and force...\Are you saying Nameless saved me?\She's still somewhere in there?\But that's over now. response:	That's because they should be turning Nameless into black smoke right now.
context: The stab wound Nameless gave you...\One slight deviation and it would have been fatal.\What are you saying?\Judging from the location, angle and force...\Are you saying Nameless saved me?\She's still somewhere in there?\But that's over now.\That's because they should be turning Nameless into black smoke right now. response:	Wait!
context: One slight deviation and it would have been fatal.\What are you saying?\Judging from the location, angle and force...\Are you saying Nameless saved me?\She's still somewhere in there?\But that's over now.\That's because they should be turning Nameless into black smoke right now.\Wait! response:	I need you...
context: What are you saying?\Judging from the location, angle and force...\Are you saying Nameless saved me?\She's still somewhere in there?\But that's over now.\That's because they should be turning Nameless into black smoke right now.\Wait!\I need you... response:	The butterflies?
context: Judging from the location, angle and force...\Are you saying Nameless saved me?\She's still somewhere in there?\But that's over now.\That's because they should be turning Nameless into black smoke right now.\Wait!\I need you...\The butterflies? response:	That's right.
context: Are you saying Nameless saved me?\She's still somewhere in there?\But that's over now.\That's because they should be turning Nameless into black smoke right now.\Wait!\I need you...\The butterflies?\That's right. response:	When someone dies, they come to take their souls away.
context: She's still somewhere in there?\But that's over now.\That's because they should be turning Nameless into black smoke right now.\Wait!\I need you...\The butterflies?\That's right.\When someone dies, they come to take their souls away. response:	The butterflies beckoned him too.
context: But that's over now.\That's because they should be turning Nameless into black smoke right now.\Wait!\I need you...\The butterflies?\That's right.\When someone dies, they come to take their souls away.\The butterflies beckoned him too. response:	Everyone...
context: That's because they should be turning Nameless into black smoke right now.\Wait!\I need you...\The butterflies?\That's right.\When someone dies, they come to take their souls away.\The butterflies beckoned him too.\Everyone... response:	I'm sorry.
context: Wait!\I need you...\The butterflies?\That's right.\When someone dies, they come to take their souls away.\The butterflies beckoned him too.\Everyone...\I'm sorry. response:	I can't turn back now.
context: I need you...\The butterflies?\That's right.\When someone dies, they come to take their souls away.\The butterflies beckoned him too.\Everyone...\I'm sorry.\I can't turn back now. response:	I was...
context: The butterflies?\That's right.\When someone dies, they come to take their souls away.\The butterflies beckoned him too.\Everyone...\I'm sorry.\I can't turn back now.\I was... response:	Mother...
context: That's right.\When someone dies, they come to take their souls away.\The butterflies beckoned him too.\Everyone...\I'm sorry.\I can't turn back now.\I was...\Mother... response:	What do you mean it's over ?!
context: When someone dies, they come to take their souls away.\The butterflies beckoned him too.\Everyone...\I'm sorry.\I can't turn back now.\I was...\Mother...\What do you mean it's over ?! response:	The Corpseless who becomes the Chimera's heart,
context: The butterflies beckoned him too.\Everyone...\I'm sorry.\I can't turn back now.\I was...\Mother...\What do you mean it's over ?!\The Corpseless who becomes the Chimera's heart, response:	loses their soul and their life.
context: Everyone...\I'm sorry.\I can't turn back now.\I was...\Mother...\What do you mean it's over ?!\The Corpseless who becomes the Chimera's heart,\loses their soul and their life. response:	Is there any way to save her?!
context: I'm sorry.\I can't turn back now.\I was...\Mother...\What do you mean it's over ?!\The Corpseless who becomes the Chimera's heart,\loses their soul and their life.\Is there any way to save her?! response:	If you inject her heart with white plasma...
context: I can't turn back now.\I was...\Mother...\What do you mean it's over ?!\The Corpseless who becomes the Chimera's heart,\loses their soul and their life.\Is there any way to save her?!\If you inject her heart with white plasma... response:	It should be possible to pull Nameless out from the Chimera then.
context: I was...\Mother...\What do you mean it's over ?!\The Corpseless who becomes the Chimera's heart,\loses their soul and their life.\Is there any way to save her?!\If you inject her heart with white plasma...\It should be possible to pull Nameless out from the Chimera then. response:	Give me that thing.
context: Mother...\What do you mean it's over ?!\The Corpseless who becomes the Chimera's heart,\loses their soul and their life.\Is there any way to save her?!\If you inject her heart with white plasma...\It should be possible to pull Nameless out from the Chimera then.\Give me that thing. response:	That thing ?
context: What do you mean it's over ?!\The Corpseless who becomes the Chimera's heart,\loses their soul and their life.\Is there any way to save her?!\If you inject her heart with white plasma...\It should be possible to pull Nameless out from the Chimera then.\Give me that thing.\That thing ? response:	Not that one.
context: The Corpseless who becomes the Chimera's heart,\loses their soul and their life.\Is there any way to save her?!\If you inject her heart with white plasma...\It should be possible to pull Nameless out from the Chimera then.\Give me that thing.\That thing ?\Not that one. response:	I already told you.
context: loses their soul and their life.\Is there any way to save her?!\If you inject her heart with white plasma...\It should be possible to pull Nameless out from the Chimera then.\Give me that thing.\That thing ?\Not that one.\I already told you. response:	The black blood is an accelerant.
context: Is there any way to save her?!\If you inject her heart with white plasma...\It should be possible to pull Nameless out from the Chimera then.\Give me that thing.\That thing ?\Not that one.\I already told you.\The black blood is an accelerant. response:	It will stimulate the virus and amplify it.
context: If you inject her heart with white plasma...\It should be possible to pull Nameless out from the Chimera then.\Give me that thing.\That thing ?\Not that one.\I already told you.\The black blood is an accelerant.\It will stimulate the virus and amplify it. response:	Just like the other Corpseless.
context: It should be possible to pull Nameless out from the Chimera then.\Give me that thing.\That thing ?\Not that one.\I already told you.\The black blood is an accelerant.\It will stimulate the virus and amplify it.\Just like the other Corpseless. response:	Do you mean, Fireless?
context: Give me that thing.\That thing ?\Not that one.\I already told you.\The black blood is an accelerant.\It will stimulate the virus and amplify it.\Just like the other Corpseless.\Do you mean, Fireless? response:	That's right.
context: That thing ?\Not that one.\I already told you.\The black blood is an accelerant.\It will stimulate the virus and amplify it.\Just like the other Corpseless.\Do you mean, Fireless?\That's right. response:	But you won't become a Chimera because you're a man.
context: Not that one.\I already told you.\The black blood is an accelerant.\It will stimulate the virus and amplify it.\Just like the other Corpseless.\Do you mean, Fireless?\That's right.\But you won't become a Chimera because you're a man. response:	You'll just become a Corpse burning through his life force.
context: I already told you.\The black blood is an accelerant.\It will stimulate the virus and amplify it.\Just like the other Corpseless.\Do you mean, Fireless?\That's right.\But you won't become a Chimera because you're a man.\You'll just become a Corpse burning through his life force. response:	I need that power.
context: The black blood is an accelerant.\It will stimulate the virus and amplify it.\Just like the other Corpseless.\Do you mean, Fireless?\That's right.\But you won't become a Chimera because you're a man.\You'll just become a Corpse burning through his life force.\I need that power. response:	It will be brief, like the last light of a dying candle.
context: It will stimulate the virus and amplify it.\Just like the other Corpseless.\Do you mean, Fireless?\That's right.\But you won't become a Chimera because you're a man.\You'll just become a Corpse burning through his life force.\I need that power.\It will be brief, like the last light of a dying candle. response:	I don't care.
context: Just like the other Corpseless.\Do you mean, Fireless?\That's right.\But you won't become a Chimera because you're a man.\You'll just become a Corpse burning through his life force.\I need that power.\It will be brief, like the last light of a dying candle.\I don't care. response:	I'm going to kill Biba and save Nameless.
context: Do you mean, Fireless?\That's right.\But you won't become a Chimera because you're a man.\You'll just become a Corpse burning through his life force.\I need that power.\It will be brief, like the last light of a dying candle.\I don't care.\I'm going to kill Biba and save Nameless. response:	That's all I have to live for!
context: That's right.\But you won't become a Chimera because you're a man.\You'll just become a Corpse burning through his life force.\I need that power.\It will be brief, like the last light of a dying candle.\I don't care.\I'm going to kill Biba and save Nameless.\That's all I have to live for! response:	Ikoma, you...!
context: But you won't become a Chimera because you're a man.\You'll just become a Corpse burning through his life force.\I need that power.\It will be brief, like the last light of a dying candle.\I don't care.\I'm going to kill Biba and save Nameless.\That's all I have to live for!\Ikoma, you...! response:	Remove your restraint, Corpseless.
context: You'll just become a Corpse burning through his life force.\I need that power.\It will be brief, like the last light of a dying candle.\I don't care.\I'm going to kill Biba and save Nameless.\That's all I have to live for!\Ikoma, you...!\Remove your restraint, Corpseless. response:	Or you won't be able to realize your true power.
context: I need that power.\It will be brief, like the last light of a dying candle.\I don't care.\I'm going to kill Biba and save Nameless.\That's all I have to live for!\Ikoma, you...!\Remove your restraint, Corpseless.\Or you won't be able to realize your true power. response:	Ikoma...
context: It will be brief, like the last light of a dying candle.\I don't care.\I'm going to kill Biba and save Nameless.\That's all I have to live for!\Ikoma, you...!\Remove your restraint, Corpseless.\Or you won't be able to realize your true power.\Ikoma... response:	This is the moment...
context: I don't care.\I'm going to kill Biba and save Nameless.\That's all I have to live for!\Ikoma, you...!\Remove your restraint, Corpseless.\Or you won't be able to realize your true power.\Ikoma...\This is the moment... response:	I...
context: I'm going to kill Biba and save Nameless.\That's all I have to live for!\Ikoma, you...!\Remove your restraint, Corpseless.\Or you won't be able to realize your true power.\Ikoma...\This is the moment...\I... response:	That's right, Nameless.
context: That's all I have to live for!\Ikoma, you...!\Remove your restraint, Corpseless.\Or you won't be able to realize your true power.\Ikoma...\This is the moment...\I...\That's right, Nameless. response:	Destroy it all.
context: Ikoma, you...!\Remove your restraint, Corpseless.\Or you won't be able to realize your true power.\Ikoma...\This is the moment...\I...\That's right, Nameless.\Destroy it all. response:	Fear, sadness...
context: Remove your restraint, Corpseless.\Or you won't be able to realize your true power.\Ikoma...\This is the moment...\I...\That's right, Nameless.\Destroy it all.\Fear, sadness... response:	Are you human or a Corpse?!
context: Or you won't be able to realize your true power.\Ikoma...\This is the moment...\I...\That's right, Nameless.\Destroy it all.\Fear, sadness...\Are you human or a Corpse?! response:	I'm neither!
context: Ikoma...\This is the moment...\I...\That's right, Nameless.\Destroy it all.\Fear, sadness...\Are you human or a Corpse?!\I'm neither! response:	I'm a Corpseless!
context: This is the moment...\I...\That's right, Nameless.\Destroy it all.\Fear, sadness...\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless! response:	I will remember that day
context: I...\That's right, Nameless.\Destroy it all.\Fear, sadness...\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\I will remember that day response:	Losing myself
context: That's right, Nameless.\Destroy it all.\Fear, sadness...\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\I will remember that day\Losing myself response:	In steam
context: Destroy it all.\Fear, sadness...\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\I will remember that day\Losing myself\In steam response:	Countless mistakes are made
context: Fear, sadness...\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\I will remember that day\Losing myself\In steam\Countless mistakes are made response:	When I can't see anything ahead
context: Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead response:	You said
context: I'm neither!\I'm a Corpseless!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said response:	Ask your own burning blood
context: I'm a Corpseless!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood response:	Answer my beat
context: I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat response:	Corpseless of the Iron Fortress
context: Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress response:	Stand up
context: In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up response:	And slam everything onto the ground
context: Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground response:	My soul is devoted to my friend
context: When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend response:	Burn your life
context: You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life response:	Change the world
context: Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world response:	Chapter Eleven
context: Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Chapter Eleven response:	Burning Life
context: Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Chapter Eleven\Burning Life response:	Diamond Citadel
