context: Mizusawa High School from Tokyo! response:	Congratulations.
context: Karuta?\Wow, you're good\Got it\If you mean this, it should be okay.\It's a little more intense.\She should refrain from any intense activity.\The bone has been weakened.\And it'll be painful if you hit it. response:	I would recommend that you give up.
context: Wow, you're good\Got it\If you mean this, it should be okay.\It's a little more intense.\She should refrain from any intense activity.\The bone has been weakened.\And it'll be painful if you hit it.\I would recommend that you give up. response:	Oh, Chihaya-chan.
context: Got it\If you mean this, it should be okay.\It's a little more intense.\She should refrain from any intense activity.\The bone has been weakened.\And it'll be painful if you hit it.\I would recommend that you give up.\Oh, Chihaya-chan. response:	How did it go?
context: If you mean this, it should be okay.\It's a little more intense.\She should refrain from any intense activity.\The bone has been weakened.\And it'll be painful if you hit it.\I would recommend that you give up.\Oh, Chihaya-chan.\How did it go? response:	Oh...
context: It's a little more intense.\She should refrain from any intense activity.\The bone has been weakened.\And it'll be painful if you hit it.\I would recommend that you give up.\Oh, Chihaya-chan.\How did it go?\Oh... response:	Um, are you about to take a bath?
context: She should refrain from any intense activity.\The bone has been weakened.\And it'll be painful if you hit it.\I would recommend that you give up.\Oh, Chihaya-chan.\How did it go?\Oh...\Um, are you about to take a bath? response:	Yes.
context: The bone has been weakened.\And it'll be painful if you hit it.\I would recommend that you give up.\Oh, Chihaya-chan.\How did it go?\Oh...\Um, are you about to take a bath?\Yes. response:	Go on, then.
context: And it'll be painful if you hit it.\I would recommend that you give up.\Oh, Chihaya-chan.\How did it go?\Oh...\Um, are you about to take a bath?\Yes.\Go on, then. response:	We can talk about Ayase-san later.
context: I would recommend that you give up.\Oh, Chihaya-chan.\How did it go?\Oh...\Um, are you about to take a bath?\Yes.\Go on, then.\We can talk about Ayase-san later. response:	Oh, Ms. Miyauchi.
context: Oh, Chihaya-chan.\How did it go?\Oh...\Um, are you about to take a bath?\Yes.\Go on, then.\We can talk about Ayase-san later.\Oh, Ms. Miyauchi. response:	If you talk to the inn staff, they'll serve dinner.
context: How did it go?\Oh...\Um, are you about to take a bath?\Yes.\Go on, then.\We can talk about Ayase-san later.\Oh, Ms. Miyauchi.\If you talk to the inn staff, they'll serve dinner. response:	Okay, I'll go ask them.
context: Oh...\Um, are you about to take a bath?\Yes.\Go on, then.\We can talk about Ayase-san later.\Oh, Ms. Miyauchi.\If you talk to the inn staff, they'll serve dinner.\Okay, I'll go ask them. response:	Thank you.
context: Um, are you about to take a bath?\Yes.\Go on, then.\We can talk about Ayase-san later.\Oh, Ms. Miyauchi.\If you talk to the inn staff, they'll serve dinner.\Okay, I'll go ask them.\Thank you. response:	Go take your bath, now.
context: Yes.\Go on, then.\We can talk about Ayase-san later.\Oh, Ms. Miyauchi.\If you talk to the inn staff, they'll serve dinner.\Okay, I'll go ask them.\Thank you.\Go take your bath, now. response:	Let's go, Senpai.
context: Go on, then.\We can talk about Ayase-san later.\Oh, Ms. Miyauchi.\If you talk to the inn staff, they'll serve dinner.\Okay, I'll go ask them.\Thank you.\Go take your bath, now.\Let's go, Senpai. response:	Oops! Boys' room!
context: We can talk about Ayase-san later.\Oh, Ms. Miyauchi.\If you talk to the inn staff, they'll serve dinner.\Okay, I'll go ask them.\Thank you.\Go take your bath, now.\Let's go, Senpai.\Oops! Boys' room! response:	We'll win every match
context: Oh, Ms. Miyauchi.\If you talk to the inn staff, they'll serve dinner.\Okay, I'll go ask them.\Thank you.\Go take your bath, now.\Let's go, Senpai.\Oops! Boys' room!\We'll win every match response:	and become number one in Japan!
context: If you talk to the inn staff, they'll serve dinner.\Okay, I'll go ask them.\Thank you.\Go take your bath, now.\Let's go, Senpai.\Oops! Boys' room!\We'll win every match\and become number one in Japan! response:	Though I prayed...
context: Okay, I'll go ask them.\Thank you.\Go take your bath, now.\Let's go, Senpai.\Oops! Boys' room!\We'll win every match\and become number one in Japan!\Though I prayed... response:	Note that though...
context: Thank you.\Go take your bath, now.\Let's go, Senpai.\Oops! Boys' room!\We'll win every match\and become number one in Japan!\Though I prayed...\Note that though... response:	She moved the instant the reader spoke.
context: Go take your bath, now.\Let's go, Senpai.\Oops! Boys' room!\We'll win every match\and become number one in Japan!\Though I prayed...\Note that though...\She moved the instant the reader spoke. response:	She moved faster than sound.
context: Let's go, Senpai.\Oops! Boys' room!\We'll win every match\and become number one in Japan!\Though I prayed...\Note that though...\She moved the instant the reader spoke.\She moved faster than sound. response:	The sound of birds...
context: Oops! Boys' room!\We'll win every match\and become number one in Japan!\Though I prayed...\Note that though...\She moved the instant the reader spoke.\She moved faster than sound.\The sound of birds... response:	Okay.
context: We'll win every match\and become number one in Japan!\Though I prayed...\Note that though...\She moved the instant the reader spoke.\She moved faster than sound.\The sound of birds...\Okay. response:	One card at a time.
context: and become number one in Japan!\Though I prayed...\Note that though...\She moved the instant the reader spoke.\She moved faster than sound.\The sound of birds...\Okay.\One card at a time. response:	Okay, I won!
context: Though I prayed...\Note that though...\She moved the instant the reader spoke.\She moved faster than sound.\The sound of birds...\Okay.\One card at a time.\Okay, I won! response:	One win for First Akashi Girls'!
context: Note that though...\She moved the instant the reader spoke.\She moved faster than sound.\The sound of birds...\Okay.\One card at a time.\Okay, I won!\One win for First Akashi Girls'! response:	One win for Pizusawa!
context: She moved the instant the reader spoke.\She moved faster than sound.\The sound of birds...\Okay.\One card at a time.\Okay, I won!\One win for First Akashi Girls'!\One win for Pizusawa! response:	Oe-senpai held on to win! Amazing!
context: She moved faster than sound.\The sound of birds...\Okay.\One card at a time.\Okay, I won!\One win for First Akashi Girls'!\One win for Pizusawa!\Oe-senpai held on to win! Amazing! response:	Two wins for Mizusawa!
context: The sound of birds...\Okay.\One card at a time.\Okay, I won!\One win for First Akashi Girls'!\One win for Pizusawa!\Oe-senpai held on to win! Amazing!\Two wins for Mizusawa! response:	Thank you very much.
context: Okay.\One card at a time.\Okay, I won!\One win for First Akashi Girls'!\One win for Pizusawa!\Oe-senpai held on to win! Amazing!\Two wins for Mizusawa!\Thank you very much. response:	His opponent has The sight of Mount,
context: One card at a time.\Okay, I won!\One win for First Akashi Girls'!\One win for Pizusawa!\Oe-senpai held on to win! Amazing!\Two wins for Mizusawa!\Thank you very much.\His opponent has The sight of Mount, response:	while Komano has May my lonely in a luck of the draw.
context: Okay, I won!\One win for First Akashi Girls'!\One win for Pizusawa!\Oe-senpai held on to win! Amazing!\Two wins for Mizusawa!\Thank you very much.\His opponent has The sight of Mount,\while Komano has May my lonely in a luck of the draw. response:	There are four more dead cards...
context: One win for First Akashi Girls'!\One win for Pizusawa!\Oe-senpai held on to win! Amazing!\Two wins for Mizusawa!\Thank you very much.\His opponent has The sight of Mount,\while Komano has May my lonely in a luck of the draw.\There are four more dead cards... response:	I'll always have...
context: One win for Pizusawa!\Oe-senpai held on to win! Amazing!\Two wins for Mizusawa!\Thank you very much.\His opponent has The sight of Mount,\while Komano has May my lonely in a luck of the draw.\There are four more dead cards...\I'll always have... response:	The sight of Mount Arima...
context: Oe-senpai held on to win! Amazing!\Two wins for Mizusawa!\Thank you very much.\His opponent has The sight of Mount,\while Komano has May my lonely in a luck of the draw.\There are four more dead cards...\I'll always have...\The sight of Mount Arima... response:	Good thing it wasn't Chihaya-chan jamming her finger.
context: Two wins for Mizusawa!\Thank you very much.\His opponent has The sight of Mount,\while Komano has May my lonely in a luck of the draw.\There are four more dead cards...\I'll always have...\The sight of Mount Arima...\Good thing it wasn't Chihaya-chan jamming her finger. response:	What are you talking about, Kana-chan?!
context: Thank you very much.\His opponent has The sight of Mount,\while Komano has May my lonely in a luck of the draw.\There are four more dead cards...\I'll always have...\The sight of Mount Arima...\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?! response:	We should consider ourselves lucky!
context: His opponent has The sight of Mount,\while Komano has May my lonely in a luck of the draw.\There are four more dead cards...\I'll always have...\The sight of Mount Arima...\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky! response:	It wasn't our ace who got hurt.
context: while Komano has May my lonely in a luck of the draw.\There are four more dead cards...\I'll always have...\The sight of Mount Arima...\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt. response:	We have first-years to sub in!
context: There are four more dead cards...\I'll always have...\The sight of Mount Arima...\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in! response:	Luck is on our side.
context: I'll always have...\The sight of Mount Arima...\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side. response:	Mizusawa is set up to win.
context: The sight of Mount Arima...\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win. response:	While
context: Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win.\While response:	I sigh and lament how the one I love does not feel the same,
context: What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win.\While\I sigh and lament how the one I love does not feel the same, response:	Wh-What is this?
context: We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win.\While\I sigh and lament how the one I love does not feel the same,\Wh-What is this? response:	She's different.
context: It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win.\While\I sigh and lament how the one I love does not feel the same,\Wh-What is this?\She's different. response:	Completely different.
context: We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win.\While\I sigh and lament how the one I love does not feel the same,\Wh-What is this?\She's different.\Completely different. response:	Her reflexes...
context: Luck is on our side.\Mizusawa is set up to win.\While\I sigh and lament how the one I love does not feel the same,\Wh-What is this?\She's different.\Completely different.\Her reflexes... response:	Her sense...
context: Mizusawa is set up to win.\While\I sigh and lament how the one I love does not feel the same,\Wh-What is this?\She's different.\Completely different.\Her reflexes...\Her sense... response:	My only thought as
context: While\I sigh and lament how the one I love does not feel the same,\Wh-What is this?\She's different.\Completely different.\Her reflexes...\Her sense...\My only thought as response:	I don't think so!
context: I sigh and lament how the one I love does not feel the same,\Wh-What is this?\She's different.\Completely different.\Her reflexes...\Her sense...\My only thought as\I don't think so! response:	Chihaya?!
context: Wh-What is this?\She's different.\Completely different.\Her reflexes...\Her sense...\My only thought as\I don't think so!\Chihaya?! response:	Is she hurt?
context: She's different.\Completely different.\Her reflexes...\Her sense...\My only thought as\I don't think so!\Chihaya?!\Is she hurt? response:	Are you okay?
context: Completely different.\Her reflexes...\Her sense...\My only thought as\I don't think so!\Chihaya?!\Is she hurt?\Are you okay? response:	Yes, I'm okay.
context: Her reflexes...\Her sense...\My only thought as\I don't think so!\Chihaya?!\Is she hurt?\Are you okay?\Yes, I'm okay. response:	Ayase, you can't hide it from me.
context: Her sense...\My only thought as\I don't think so!\Chihaya?!\Is she hurt?\Are you okay?\Yes, I'm okay.\Ayase, you can't hide it from me. response:	I'm right next to you.
context: My only thought as\I don't think so!\Chihaya?!\Is she hurt?\Are you okay?\Yes, I'm okay.\Ayase, you can't hide it from me.\I'm right next to you. response:	Excuse me.
context: I don't think so!\Chihaya?!\Is she hurt?\Are you okay?\Yes, I'm okay.\Ayase, you can't hide it from me.\I'm right next to you.\Excuse me. response:	Win, Rion!
context: Chihaya?!\Is she hurt?\Are you okay?\Yes, I'm okay.\Ayase, you can't hide it from me.\I'm right next to you.\Excuse me.\Win, Rion! response:	Thank you very much.
context: Is she hurt?\Are you okay?\Yes, I'm okay.\Ayase, you can't hide it from me.\I'm right next to you.\Excuse me.\Win, Rion!\Thank you very much. response:	Tsukuba-kun...
context: Are you okay?\Yes, I'm okay.\Ayase, you can't hide it from me.\I'm right next to you.\Excuse me.\Win, Rion!\Thank you very much.\Tsukuba-kun... response:	Thank you very much.
context: Yes, I'm okay.\Ayase, you can't hide it from me.\I'm right next to you.\Excuse me.\Win, Rion!\Thank you very much.\Tsukuba-kun...\Thank you very much. response:	Thank you very much...
context: Ayase, you can't hide it from me.\I'm right next to you.\Excuse me.\Win, Rion!\Thank you very much.\Tsukuba-kun...\Thank you very much.\Thank you very much... response:	Two wins for Fujisaki!
context: I'm right next to you.\Excuse me.\Win, Rion!\Thank you very much.\Tsukuba-kun...\Thank you very much.\Thank you very much...\Two wins for Fujisaki! response:	Mizusawa's down 0 to 2.
context: Excuse me.\Win, Rion!\Thank you very much.\Tsukuba-kun...\Thank you very much.\Thank you very much...\Two wins for Fujisaki!\Mizusawa's down 0 to 2. response:	Fujisaki's got this in the bag.
context: Win, Rion!\Thank you very much.\Tsukuba-kun...\Thank you very much.\Thank you very much...\Two wins for Fujisaki!\Mizusawa's down 0 to 2.\Fujisaki's got this in the bag. response:	They're strong.
context: Thank you very much.\Tsukuba-kun...\Thank you very much.\Thank you very much...\Two wins for Fujisaki!\Mizusawa's down 0 to 2.\Fujisaki's got this in the bag.\They're strong. response:	That makes it a five-peat for Fujisaki.
context: Tsukuba-kun...\Thank you very much.\Thank you very much...\Two wins for Fujisaki!\Mizusawa's down 0 to 2.\Fujisaki's got this in the bag.\They're strong.\That makes it a five-peat for Fujisaki. response:	Three wins.
context: Thank you very much.\Thank you very much...\Two wins for Fujisaki!\Mizusawa's down 0 to 2.\Fujisaki's got this in the bag.\They're strong.\That makes it a five-peat for Fujisaki.\Three wins. response:	We're getting three wins, guys.
context: Thank you very much...\Two wins for Fujisaki!\Mizusawa's down 0 to 2.\Fujisaki's got this in the bag.\They're strong.\That makes it a five-peat for Fujisaki.\Three wins.\We're getting three wins, guys. response:	Thank you very much.
context: Two wins for Fujisaki!\Mizusawa's down 0 to 2.\Fujisaki's got this in the bag.\They're strong.\That makes it a five-peat for Fujisaki.\Three wins.\We're getting three wins, guys.\Thank you very much. response:	It's down to luck-of-the-draw.
context: Mizusawa's down 0 to 2.\Fujisaki's got this in the bag.\They're strong.\That makes it a five-peat for Fujisaki.\Three wins.\We're getting three wins, guys.\Thank you very much.\It's down to luck-of-the-draw. response:	In both games...
context: Fujisaki's got this in the bag.\They're strong.\That makes it a five-peat for Fujisaki.\Three wins.\We're getting three wins, guys.\Thank you very much.\It's down to luck-of-the-draw.\In both games... response:	I beg you...
context: They're strong.\That makes it a five-peat for Fujisaki.\Three wins.\We're getting three wins, guys.\Thank you very much.\It's down to luck-of-the-draw.\In both games...\I beg you... response:	I don't care if my card is never read in a luck-of-the-draw again.
context: That makes it a five-peat for Fujisaki.\Three wins.\We're getting three wins, guys.\Thank you very much.\It's down to luck-of-the-draw.\In both games...\I beg you...\I don't care if my card is never read in a luck-of-the-draw again. response:	So please...
context: Three wins.\We're getting three wins, guys.\Thank you very much.\It's down to luck-of-the-draw.\In both games...\I beg you...\I don't care if my card is never read in a luck-of-the-draw again.\So please... response:	Just today...
context: We're getting three wins, guys.\Thank you very much.\It's down to luck-of-the-draw.\In both games...\I beg you...\I don't care if my card is never read in a luck-of-the-draw again.\So please...\Just today... response:	Just this once...
context: Thank you very much.\It's down to luck-of-the-draw.\In both games...\I beg you...\I don't care if my card is never read in a luck-of-the-draw again.\So please...\Just today...\Just this once... response:	This one time...
context: It's down to luck-of-the-draw.\In both games...\I beg you...\I don't care if my card is never read in a luck-of-the-draw again.\So please...\Just today...\Just this once...\This one time... response:	Like a boatsman adrift...
context: In both games...\I beg you...\I don't care if my card is never read in a luck-of-the-draw again.\So please...\Just today...\Just this once...\This one time...\Like a boatsman adrift... response:	Hey.
context: I beg you...\I don't care if my card is never read in a luck-of-the-draw again.\So please...\Just today...\Just this once...\This one time...\Like a boatsman adrift...\Hey. response:	You've got tatami marks.
context: I don't care if my card is never read in a luck-of-the-draw again.\So please...\Just today...\Just this once...\This one time...\Like a boatsman adrift...\Hey.\You've got tatami marks. response:	Thank you.
context: So please...\Just today...\Just this once...\This one time...\Like a boatsman adrift...\Hey.\You've got tatami marks.\Thank you. response:	Thank you!
context: Just today...\Just this once...\This one time...\Like a boatsman adrift...\Hey.\You've got tatami marks.\Thank you.\Thank you! response:	The doctor wasn't sure what's wrong, but told you not to play?!
context: Just this once...\This one time...\Like a boatsman adrift...\Hey.\You've got tatami marks.\Thank you.\Thank you!\The doctor wasn't sure what's wrong, but told you not to play?! response:	Metal guard underneath
context: This one time...\Like a boatsman adrift...\Hey.\You've got tatami marks.\Thank you.\Thank you!\The doctor wasn't sure what's wrong, but told you not to play?!\Metal guard underneath response:	It was more than a jammed finger?!
context: Like a boatsman adrift...\Hey.\You've got tatami marks.\Thank you.\Thank you!\The doctor wasn't sure what's wrong, but told you not to play?!\Metal guard underneath\It was more than a jammed finger?! response:	Why didn't you say something yesterday?
context: Hey.\You've got tatami marks.\Thank you.\Thank you!\The doctor wasn't sure what's wrong, but told you not to play?!\Metal guard underneath\It was more than a jammed finger?!\Why didn't you say something yesterday? response:	I was hoping it might be healed when I woke up.
context: You've got tatami marks.\Thank you.\Thank you!\The doctor wasn't sure what's wrong, but told you not to play?!\Metal guard underneath\It was more than a jammed finger?!\Why didn't you say something yesterday?\I was hoping it might be healed when I woke up. response:	You can't play like that.
context: Thank you.\Thank you!\The doctor wasn't sure what's wrong, but told you not to play?!\Metal guard underneath\It was more than a jammed finger?!\Why didn't you say something yesterday?\I was hoping it might be healed when I woke up.\You can't play like that. response:	That's right.
context: Thank you!\The doctor wasn't sure what's wrong, but told you not to play?!\Metal guard underneath\It was more than a jammed finger?!\Why didn't you say something yesterday?\I was hoping it might be healed when I woke up.\You can't play like that.\That's right. response:	You should forfeit, Ayase-senpai.
context: The doctor wasn't sure what's wrong, but told you not to play?!\Metal guard underneath\It was more than a jammed finger?!\Why didn't you say something yesterday?\I was hoping it might be healed when I woke up.\You can't play like that.\That's right.\You should forfeit, Ayase-senpai. response:	It'll hurt even more if you hit it again.
context: Metal guard underneath\It was more than a jammed finger?!\Why didn't you say something yesterday?\I was hoping it might be healed when I woke up.\You can't play like that.\That's right.\You should forfeit, Ayase-senpai.\It'll hurt even more if you hit it again. response:	Ayase-san,
context: It was more than a jammed finger?!\Why didn't you say something yesterday?\I was hoping it might be healed when I woke up.\You can't play like that.\That's right.\You should forfeit, Ayase-senpai.\It'll hurt even more if you hit it again.\Ayase-san, response:	I understand how you feel.
context: Why didn't you say something yesterday?\I was hoping it might be healed when I woke up.\You can't play like that.\That's right.\You should forfeit, Ayase-senpai.\It'll hurt even more if you hit it again.\Ayase-san,\I understand how you feel. response:	But...
context: I was hoping it might be healed when I woke up.\You can't play like that.\That's right.\You should forfeit, Ayase-senpai.\It'll hurt even more if you hit it again.\Ayase-san,\I understand how you feel.\But... response:	You won the team tournament.
context: You can't play like that.\That's right.\You should forfeit, Ayase-senpai.\It'll hurt even more if you hit it again.\Ayase-san,\I understand how you feel.\But...\You won the team tournament. response:	You've done very well.
context: That's right.\You should forfeit, Ayase-senpai.\It'll hurt even more if you hit it again.\Ayase-san,\I understand how you feel.\But...\You won the team tournament.\You've done very well. response:	Get some rest.
context: You should forfeit, Ayase-senpai.\It'll hurt even more if you hit it again.\Ayase-san,\I understand how you feel.\But...\You won the team tournament.\You've done very well.\Get some rest. response:	Huh? Sis?
context: It'll hurt even more if you hit it again.\Ayase-san,\I understand how you feel.\But...\You won the team tournament.\You've done very well.\Get some rest.\Huh? Sis? response:	Man, what's with her?
context: Ayase-san,\I understand how you feel.\But...\You won the team tournament.\You've done very well.\Get some rest.\Huh? Sis?\Man, what's with her? response:	Congratulations Winners
context: I understand how you feel.\But...\You won the team tournament.\You've done very well.\Get some rest.\Huh? Sis?\Man, what's with her?\Congratulations Winners response:	I wanna play.
context: But...\You won the team tournament.\You've done very well.\Get some rest.\Huh? Sis?\Man, what's with her?\Congratulations Winners\I wanna play. response:	I wanna wear this and play.
context: You won the team tournament.\You've done very well.\Get some rest.\Huh? Sis?\Man, what's with her?\Congratulations Winners\I wanna play.\I wanna wear this and play. response:	Hilarious.
context: You've done very well.\Get some rest.\Huh? Sis?\Man, what's with her?\Congratulations Winners\I wanna play.\I wanna wear this and play.\Hilarious. response:	You got hurt yesterday?
context: Get some rest.\Huh? Sis?\Man, what's with her?\Congratulations Winners\I wanna play.\I wanna wear this and play.\Hilarious.\You got hurt yesterday? response:	Wild animals are slower when they're injured.
context: Huh? Sis?\Man, what's with her?\Congratulations Winners\I wanna play.\I wanna wear this and play.\Hilarious.\You got hurt yesterday?\Wild animals are slower when they're injured. response:	However, if you force the issue and play poorly,
context: Man, what's with her?\Congratulations Winners\I wanna play.\I wanna wear this and play.\Hilarious.\You got hurt yesterday?\Wild animals are slower when they're injured.\However, if you force the issue and play poorly, response:	The S in Sudo stands for sadistic!
context: Congratulations Winners\I wanna play.\I wanna wear this and play.\Hilarious.\You got hurt yesterday?\Wild animals are slower when they're injured.\However, if you force the issue and play poorly,\The S in Sudo stands for sadistic! response:	they'll say that the team champions are weak individually.
context: I wanna play.\I wanna wear this and play.\Hilarious.\You got hurt yesterday?\Wild animals are slower when they're injured.\However, if you force the issue and play poorly,\The S in Sudo stands for sadistic!\they'll say that the team champions are weak individually. response:	I haven't forgotten.
context: I wanna wear this and play.\Hilarious.\You got hurt yesterday?\Wild animals are slower when they're injured.\However, if you force the issue and play poorly,\The S in Sudo stands for sadistic!\they'll say that the team champions are weak individually.\I haven't forgotten. response:	My goal is
context: Hilarious.\You got hurt yesterday?\Wild animals are slower when they're injured.\However, if you force the issue and play poorly,\The S in Sudo stands for sadistic!\they'll say that the team champions are weak individually.\I haven't forgotten.\My goal is response:	to win the individual High School Championships in each class.
context: You got hurt yesterday?\Wild animals are slower when they're injured.\However, if you force the issue and play poorly,\The S in Sudo stands for sadistic!\they'll say that the team champions are weak individually.\I haven't forgotten.\My goal is\to win the individual High School Championships in each class. response:	gulp
context: Wild animals are slower when they're injured.\However, if you force the issue and play poorly,\The S in Sudo stands for sadistic!\they'll say that the team champions are weak individually.\I haven't forgotten.\My goal is\to win the individual High School Championships in each class.\gulp response:	As the team high school champions,
context: However, if you force the issue and play poorly,\The S in Sudo stands for sadistic!\they'll say that the team champions are weak individually.\I haven't forgotten.\My goal is\to win the individual High School Championships in each class.\gulp\As the team high school champions, response:	we'll do all we can to make it happen.
context: The S in Sudo stands for sadistic!\they'll say that the team champions are weak individually.\I haven't forgotten.\My goal is\to win the individual High School Championships in each class.\gulp\As the team high school champions,\we'll do all we can to make it happen. response:	Class A
context: they'll say that the team champions are weak individually.\I haven't forgotten.\My goal is\to win the individual High School Championships in each class.\gulp\As the team high school champions,\we'll do all we can to make it happen.\Class A response:	Our goal is
context: I haven't forgotten.\My goal is\to win the individual High School Championships in each class.\gulp\As the team high school champions,\we'll do all we can to make it happen.\Class A\Our goal is response:	Class C
context: My goal is\to win the individual High School Championships in each class.\gulp\As the team high school champions,\we'll do all we can to make it happen.\Class A\Our goal is\Class C response:	to win the individual tournament in each class.
context: to win the individual High School Championships in each class.\gulp\As the team high school champions,\we'll do all we can to make it happen.\Class A\Our goal is\Class C\to win the individual tournament in each class. response:	Class D
context: gulp\As the team high school champions,\we'll do all we can to make it happen.\Class A\Our goal is\Class C\to win the individual tournament in each class.\Class D response:	What? We count?
context: As the team high school champions,\we'll do all we can to make it happen.\Class A\Our goal is\Class C\to win the individual tournament in each class.\Class D\What? We count? response:	Class B
context: we'll do all we can to make it happen.\Class A\Our goal is\Class C\to win the individual tournament in each class.\Class D\What? We count?\Class B response:	Win.
context: Class A\Our goal is\Class C\to win the individual tournament in each class.\Class D\What? We count?\Class B\Win. response:	Class A
context: Our goal is\Class C\to win the individual tournament in each class.\Class D\What? We count?\Class B\Win.\Class A response:	Today is the day we show Fujisaki's true power.
context: Class C\to win the individual tournament in each class.\Class D\What? We count?\Class B\Win.\Class A\Today is the day we show Fujisaki's true power. response:	We will dominate the rankings.
context: to win the individual tournament in each class.\Class D\What? We count?\Class B\Win.\Class A\Today is the day we show Fujisaki's true power.\We will dominate the rankings. response:	Yes!
context: Class D\What? We count?\Class B\Win.\Class A\Today is the day we show Fujisaki's true power.\We will dominate the rankings.\Yes! response:	Yes!
context: What? We count?\Class B\Win.\Class A\Today is the day we show Fujisaki's true power.\We will dominate the rankings.\Yes!\Yes! response:	Class B
context: Class B\Win.\Class A\Today is the day we show Fujisaki's true power.\We will dominate the rankings.\Yes!\Yes!\Class B response:	If you lose, I'll throw you in Lake Biwa!
context: Win.\Class A\Today is the day we show Fujisaki's true power.\We will dominate the rankings.\Yes!\Yes!\Class B\If you lose, I'll throw you in Lake Biwa! response:	Class B Class B Class B Class A Class A
context: Class A\Today is the day we show Fujisaki's true power.\We will dominate the rankings.\Yes!\Yes!\Class B\If you lose, I'll throw you in Lake Biwa!\Class B Class B Class B Class A Class A response:	If you don't want that to happen, win!
context: Today is the day we show Fujisaki's true power.\We will dominate the rankings.\Yes!\Yes!\Class B\If you lose, I'll throw you in Lake Biwa!\Class B Class B Class B Class A Class A\If you don't want that to happen, win! response:	Yeah!
context: We will dominate the rankings.\Yes!\Yes!\Class B\If you lose, I'll throw you in Lake Biwa!\Class B Class B Class B Class A Class A\If you don't want that to happen, win!\Yeah! response:	Class B Class A Class B Class B Class A
context: Yes!\Yes!\Class B\If you lose, I'll throw you in Lake Biwa!\Class B Class B Class B Class A Class A\If you don't want that to happen, win!\Yeah!\Class B Class A Class B Class B Class A response:	We have to avenge our loss, girls!
context: Yes!\Class B\If you lose, I'll throw you in Lake Biwa!\Class B Class B Class B Class A Class A\If you don't want that to happen, win!\Yeah!\Class B Class A Class B Class B Class A\We have to avenge our loss, girls! response:	Yes!
context: Class B\If you lose, I'll throw you in Lake Biwa!\Class B Class B Class B Class A Class A\If you don't want that to happen, win!\Yeah!\Class B Class A Class B Class B Class A\We have to avenge our loss, girls!\Yes! response:	Well, the team tournament
context: If you lose, I'll throw you in Lake Biwa!\Class B Class B Class B Class A Class A\If you don't want that to happen, win!\Yeah!\Class B Class A Class B Class B Class A\We have to avenge our loss, girls!\Yes!\Well, the team tournament response:	was exciting as a new school emerged triumphant.
context: Class B Class B Class B Class A Class A\If you don't want that to happen, win!\Yeah!\Class B Class A Class B Class B Class A\We have to avenge our loss, girls!\Yes!\Well, the team tournament\was exciting as a new school emerged triumphant. response:	I expect this to give the karuta world a jolt, Chairman.
context: If you don't want that to happen, win!\Yeah!\Class B Class A Class B Class B Class A\We have to avenge our loss, girls!\Yes!\Well, the team tournament\was exciting as a new school emerged triumphant.\I expect this to give the karuta world a jolt, Chairman. response:	No, in the team tournament, players rely on strength to take cards.
context: Yeah!\Class B Class A Class B Class B Class A\We have to avenge our loss, girls!\Yes!\Well, the team tournament\was exciting as a new school emerged triumphant.\I expect this to give the karuta world a jolt, Chairman.\No, in the team tournament, players rely on strength to take cards. response:	All Japan Karuta Association Chairman Mashita Yoshiaki, grade 10
context: Class B Class A Class B Class B Class A\We have to avenge our loss, girls!\Yes!\Well, the team tournament\was exciting as a new school emerged triumphant.\I expect this to give the karuta world a jolt, Chairman.\No, in the team tournament, players rely on strength to take cards.\All Japan Karuta Association Chairman Mashita Yoshiaki, grade 10 response:	The matches are very messy to watch.
context: We have to avenge our loss, girls!\Yes!\Well, the team tournament\was exciting as a new school emerged triumphant.\I expect this to give the karuta world a jolt, Chairman.\No, in the team tournament, players rely on strength to take cards.\All Japan Karuta Association Chairman Mashita Yoshiaki, grade 10\The matches are very messy to watch. response:	However, in the individual tournament,
