context: You were late today, Ebata. response:	I apologize.
context: Wh-What?\No!\I knew it!\This is Ichika's mouth.\No doubt.\I'm pretty sure it's this one.\You guys are playing!\We changed the rules, though. response:	Yotsuba, what about this?
context: No!\I knew it!\This is Ichika's mouth.\No doubt.\I'm pretty sure it's this one.\You guys are playing!\We changed the rules, though.\Yotsuba, what about this? response:	Let's see...
context: I knew it!\This is Ichika's mouth.\No doubt.\I'm pretty sure it's this one.\You guys are playing!\We changed the rules, though.\Yotsuba, what about this?\Let's see... response:	Uesugi-san, you have cream on your face.
context: This is Ichika's mouth.\No doubt.\I'm pretty sure it's this one.\You guys are playing!\We changed the rules, though.\Yotsuba, what about this?\Let's see...\Uesugi-san, you have cream on your face. response:	O-Onii-chan! Yotsuba-san!
context: No doubt.\I'm pretty sure it's this one.\You guys are playing!\We changed the rules, though.\Yotsuba, what about this?\Let's see...\Uesugi-san, you have cream on your face.\O-Onii-chan! Yotsuba-san! response:	Let's just call that peck on the cheek a payment for your tutoring.
context: I'm pretty sure it's this one.\You guys are playing!\We changed the rules, though.\Yotsuba, what about this?\Let's see...\Uesugi-san, you have cream on your face.\O-Onii-chan! Yotsuba-san!\Let's just call that peck on the cheek a payment for your tutoring. response:	I didn't expect that from Yotsuba.
context: You guys are playing!\We changed the rules, though.\Yotsuba, what about this?\Let's see...\Uesugi-san, you have cream on your face.\O-Onii-chan! Yotsuba-san!\Let's just call that peck on the cheek a payment for your tutoring.\I didn't expect that from Yotsuba. response:	She caught me off-guard.
context: We changed the rules, though.\Yotsuba, what about this?\Let's see...\Uesugi-san, you have cream on your face.\O-Onii-chan! Yotsuba-san!\Let's just call that peck on the cheek a payment for your tutoring.\I didn't expect that from Yotsuba.\She caught me off-guard. response:	I'm dead!
context: Yotsuba, what about this?\Let's see...\Uesugi-san, you have cream on your face.\O-Onii-chan! Yotsuba-san!\Let's just call that peck on the cheek a payment for your tutoring.\I didn't expect that from Yotsuba.\She caught me off-guard.\I'm dead! response:	Payment?
context: Let's see...\Uesugi-san, you have cream on your face.\O-Onii-chan! Yotsuba-san!\Let's just call that peck on the cheek a payment for your tutoring.\I didn't expect that from Yotsuba.\She caught me off-guard.\I'm dead!\Payment? response:	About that...
context: Uesugi-san, you have cream on your face.\O-Onii-chan! Yotsuba-san!\Let's just call that peck on the cheek a payment for your tutoring.\I didn't expect that from Yotsuba.\She caught me off-guard.\I'm dead!\Payment?\About that... response:	We aren't in any position to compensate you fairly right now.
context: O-Onii-chan! Yotsuba-san!\Let's just call that peck on the cheek a payment for your tutoring.\I didn't expect that from Yotsuba.\She caught me off-guard.\I'm dead!\Payment?\About that...\We aren't in any position to compensate you fairly right now. response:	Oh, you could have said so.
context: Let's just call that peck on the cheek a payment for your tutoring.\I didn't expect that from Yotsuba.\She caught me off-guard.\I'm dead!\Payment?\About that...\We aren't in any position to compensate you fairly right now.\Oh, you could have said so. response:	I'm just doing it because I want to.
context: I didn't expect that from Yotsuba.\She caught me off-guard.\I'm dead!\Payment?\About that...\We aren't in any position to compensate you fairly right now.\Oh, you could have said so.\I'm just doing it because I want to. response:	Don't worry about paying me.
context: She caught me off-guard.\I'm dead!\Payment?\About that...\We aren't in any position to compensate you fairly right now.\Oh, you could have said so.\I'm just doing it because I want to.\Don't worry about paying me. response:	Uesugi-kun.
context: I'm dead!\Payment?\About that...\We aren't in any position to compensate you fairly right now.\Oh, you could have said so.\I'm just doing it because I want to.\Don't worry about paying me.\Uesugi-kun. response:	You can just give me a cut when you make it big.
context: Payment?\About that...\We aren't in any position to compensate you fairly right now.\Oh, you could have said so.\I'm just doing it because I want to.\Don't worry about paying me.\Uesugi-kun.\You can just give me a cut when you make it big. response:	But I want it in writing! Five thousand yen per person per day of tutoring!
context: About that...\We aren't in any position to compensate you fairly right now.\Oh, you could have said so.\I'm just doing it because I want to.\Don't worry about paying me.\Uesugi-kun.\You can just give me a cut when you make it big.\But I want it in writing! Five thousand yen per person per day of tutoring! response:	And I will collect, right down to the last yen!
context: We aren't in any position to compensate you fairly right now.\Oh, you could have said so.\I'm just doing it because I want to.\Don't worry about paying me.\Uesugi-kun.\You can just give me a cut when you make it big.\But I want it in writing! Five thousand yen per person per day of tutoring!\And I will collect, right down to the last yen! response:	Right, that's how he is.
context: Oh, you could have said so.\I'm just doing it because I want to.\Don't worry about paying me.\Uesugi-kun.\You can just give me a cut when you make it big.\But I want it in writing! Five thousand yen per person per day of tutoring!\And I will collect, right down to the last yen!\Right, that's how he is. response:	And all five of you are here right now.
context: I'm just doing it because I want to.\Don't worry about paying me.\Uesugi-kun.\You can just give me a cut when you make it big.\But I want it in writing! Five thousand yen per person per day of tutoring!\And I will collect, right down to the last yen!\Right, that's how he is.\And all five of you are here right now. response:	Let's get cracking on the winter homework!
context: Don't worry about paying me.\Uesugi-kun.\You can just give me a cut when you make it big.\But I want it in writing! Five thousand yen per person per day of tutoring!\And I will collect, right down to the last yen!\Right, that's how he is.\And all five of you are here right now.\Let's get cracking on the winter homework! response:	Winter homework, huh?
context: Uesugi-kun.\You can just give me a cut when you make it big.\But I want it in writing! Five thousand yen per person per day of tutoring!\And I will collect, right down to the last yen!\Right, that's how he is.\And all five of you are here right now.\Let's get cracking on the winter homework!\Winter homework, huh? response:	Futaro.
context: You can just give me a cut when you make it big.\But I want it in writing! Five thousand yen per person per day of tutoring!\And I will collect, right down to the last yen!\Right, that's how he is.\And all five of you are here right now.\Let's get cracking on the winter homework!\Winter homework, huh?\Futaro. response:	You underestimate us.
context: But I want it in writing! Five thousand yen per person per day of tutoring!\And I will collect, right down to the last yen!\Right, that's how he is.\And all five of you are here right now.\Let's get cracking on the winter homework!\Winter homework, huh?\Futaro.\You underestimate us. response:	We've all done our homework already.
context: And I will collect, right down to the last yen!\Right, that's how he is.\And all five of you are here right now.\Let's get cracking on the winter homework!\Winter homework, huh?\Futaro.\You underestimate us.\We've all done our homework already. response:	Oh.
context: Right, that's how he is.\And all five of you are here right now.\Let's get cracking on the winter homework!\Winter homework, huh?\Futaro.\You underestimate us.\We've all done our homework already.\Oh. response:	Well, let's just make it a regular study session, then.
context: And all five of you are here right now.\Let's get cracking on the winter homework!\Winter homework, huh?\Futaro.\You underestimate us.\We've all done our homework already.\Oh.\Well, let's just make it a regular study session, then. response:	Onii-chan.
context: Let's get cracking on the winter homework!\Winter homework, huh?\Futaro.\You underestimate us.\We've all done our homework already.\Oh.\Well, let's just make it a regular study session, then.\Onii-chan. response:	I'm going to go home so I don't get in the way.
context: Winter homework, huh?\Futaro.\You underestimate us.\We've all done our homework already.\Oh.\Well, let's just make it a regular study session, then.\Onii-chan.\I'm going to go home so I don't get in the way. response:	O-Okay.
context: Futaro.\You underestimate us.\We've all done our homework already.\Oh.\Well, let's just make it a regular study session, then.\Onii-chan.\I'm going to go home so I don't get in the way.\O-Okay. response:	Stay safe.
context: You underestimate us.\We've all done our homework already.\Oh.\Well, let's just make it a regular study session, then.\Onii-chan.\I'm going to go home so I don't get in the way.\O-Okay.\Stay safe. response:	Futaro.
context: We've all done our homework already.\Oh.\Well, let's just make it a regular study session, then.\Onii-chan.\I'm going to go home so I don't get in the way.\O-Okay.\Stay safe.\Futaro. response:	Can you help me with this bit?
context: Oh.\Well, let's just make it a regular study session, then.\Onii-chan.\I'm going to go home so I don't get in the way.\O-Okay.\Stay safe.\Futaro.\Can you help me with this bit? response:	Let's see.
context: Well, let's just make it a regular study session, then.\Onii-chan.\I'm going to go home so I don't get in the way.\O-Okay.\Stay safe.\Futaro.\Can you help me with this bit?\Let's see. response:	Provide examples of words ending with -ish?
context: Onii-chan.\I'm going to go home so I don't get in the way.\O-Okay.\Stay safe.\Futaro.\Can you help me with this bit?\Let's see.\Provide examples of words ending with -ish? response:	-ish is a suffix that means approximately, or kind of. So you have pinkish...
context: I'm going to go home so I don't get in the way.\O-Okay.\Stay safe.\Futaro.\Can you help me with this bit?\Let's see.\Provide examples of words ending with -ish?\-ish is a suffix that means approximately, or kind of. So you have pinkish... response:	Bookish, thickish... There's also peckish, but that's...
context: O-Okay.\Stay safe.\Futaro.\Can you help me with this bit?\Let's see.\Provide examples of words ending with -ish?\-ish is a suffix that means approximately, or kind of. So you have pinkish...\Bookish, thickish... There's also peckish, but that's... response:	What?
context: Stay safe.\Futaro.\Can you help me with this bit?\Let's see.\Provide examples of words ending with -ish?\-ish is a suffix that means approximately, or kind of. So you have pinkish...\Bookish, thickish... There's also peckish, but that's...\What? response:	Nothing.
context: Futaro.\Can you help me with this bit?\Let's see.\Provide examples of words ending with -ish?\-ish is a suffix that means approximately, or kind of. So you have pinkish...\Bookish, thickish... There's also peckish, but that's...\What?\Nothing. response:	It's nothing.
context: Can you help me with this bit?\Let's see.\Provide examples of words ending with -ish?\-ish is a suffix that means approximately, or kind of. So you have pinkish...\Bookish, thickish... There's also peckish, but that's...\What?\Nothing.\It's nothing. response:	Hey, Ichika, wake up.
context: Let's see.\Provide examples of words ending with -ish?\-ish is a suffix that means approximately, or kind of. So you have pinkish...\Bookish, thickish... There's also peckish, but that's...\What?\Nothing.\It's nothing.\Hey, Ichika, wake up. response:	Sorry.
context: Provide examples of words ending with -ish?\-ish is a suffix that means approximately, or kind of. So you have pinkish...\Bookish, thickish... There's also peckish, but that's...\What?\Nothing.\It's nothing.\Hey, Ichika, wake up.\Sorry. response:	I'm not... sleeping.
context: -ish is a suffix that means approximately, or kind of. So you have pinkish...\Bookish, thickish... There's also peckish, but that's...\What?\Nothing.\It's nothing.\Hey, Ichika, wake up.\Sorry.\I'm not... sleeping. response:	Yeah, you are!
context: Bookish, thickish... There's also peckish, but that's...\What?\Nothing.\It's nothing.\Hey, Ichika, wake up.\Sorry.\I'm not... sleeping.\Yeah, you are! response:	Hey.
context: What?\Nothing.\It's nothing.\Hey, Ichika, wake up.\Sorry.\I'm not... sleeping.\Yeah, you are!\Hey. response:	Let her sleep for a while.
context: Nothing.\It's nothing.\Hey, Ichika, wake up.\Sorry.\I'm not... sleeping.\Yeah, you are!\Hey.\Let her sleep for a while. response:	Ichika's been working even more than before.
context: It's nothing.\Hey, Ichika, wake up.\Sorry.\I'm not... sleeping.\Yeah, you are!\Hey.\Let her sleep for a while.\Ichika's been working even more than before. response:	She is paying our bills and expenses.
context: Hey, Ichika, wake up.\Sorry.\I'm not... sleeping.\Yeah, you are!\Hey.\Let her sleep for a while.\Ichika's been working even more than before.\She is paying our bills and expenses. response:	It's all thanks to Ichika that we get to have you here to teach us.
context: Sorry.\I'm not... sleeping.\Yeah, you are!\Hey.\Let her sleep for a while.\Ichika's been working even more than before.\She is paying our bills and expenses.\It's all thanks to Ichika that we get to have you here to teach us. response:	But what's the point if she can't focus on studying?
context: I'm not... sleeping.\Yeah, you are!\Hey.\Let her sleep for a while.\Ichika's been working even more than before.\She is paying our bills and expenses.\It's all thanks to Ichika that we get to have you here to teach us.\But what's the point if she can't focus on studying? response:	Hey, wake...
context: Yeah, you are!\Hey.\Let her sleep for a while.\Ichika's been working even more than before.\She is paying our bills and expenses.\It's all thanks to Ichika that we get to have you here to teach us.\But what's the point if she can't focus on studying?\Hey, wake... response:	Guys...
context: Hey.\Let her sleep for a while.\Ichika's been working even more than before.\She is paying our bills and expenses.\It's all thanks to Ichika that we get to have you here to teach us.\But what's the point if she can't focus on studying?\Hey, wake...\Guys... response:	Why don't we work, too?
context: Let her sleep for a while.\Ichika's been working even more than before.\She is paying our bills and expenses.\It's all thanks to Ichika that we get to have you here to teach us.\But what's the point if she can't focus on studying?\Hey, wake...\Guys...\Why don't we work, too? response:	Do you have any work experience?
context: Ichika's been working even more than before.\She is paying our bills and expenses.\It's all thanks to Ichika that we get to have you here to teach us.\But what's the point if she can't focus on studying?\Hey, wake...\Guys...\Why don't we work, too?\Do you have any work experience? response:	I-I do not.
context: She is paying our bills and expenses.\It's all thanks to Ichika that we get to have you here to teach us.\But what's the point if she can't focus on studying?\Hey, wake...\Guys...\Why don't we work, too?\Do you have any work experience?\I-I do not. response:	Will you have time to both study and work?
context: It's all thanks to Ichika that we get to have you here to teach us.\But what's the point if she can't focus on studying?\Hey, wake...\Guys...\Why don't we work, too?\Do you have any work experience?\I-I do not.\Will you have time to both study and work? response:	All of you are struggling to even pass.
context: But what's the point if she can't focus on studying?\Hey, wake...\Guys...\Why don't we work, too?\Do you have any work experience?\I-I do not.\Will you have time to both study and work?\All of you are struggling to even pass. response:	I'll work as a tutor, like you do.
context: Hey, wake...\Guys...\Why don't we work, too?\Do you have any work experience?\I-I do not.\Will you have time to both study and work?\All of you are struggling to even pass.\I'll work as a tutor, like you do. response:	I'll teach as I study.
context: Guys...\Why don't we work, too?\Do you have any work experience?\I-I do not.\Will you have time to both study and work?\All of you are struggling to even pass.\I'll work as a tutor, like you do.\I'll teach as I study. response:	That way, I can improve my academics, too.
context: Why don't we work, too?\Do you have any work experience?\I-I do not.\Will you have time to both study and work?\All of you are struggling to even pass.\I'll work as a tutor, like you do.\I'll teach as I study.\That way, I can improve my academics, too. response:	It's two birds with one stone.
context: Do you have any work experience?\I-I do not.\Will you have time to both study and work?\All of you are struggling to even pass.\I'll work as a tutor, like you do.\I'll teach as I study.\That way, I can improve my academics, too.\It's two birds with one stone. response:	Please don't.
context: I-I do not.\Will you have time to both study and work?\All of you are struggling to even pass.\I'll work as a tutor, like you do.\I'll teach as I study.\That way, I can improve my academics, too.\It's two birds with one stone.\Please don't. response:	I'd feel sorry for your students.
context: Will you have time to both study and work?\All of you are struggling to even pass.\I'll work as a tutor, like you do.\I'll teach as I study.\That way, I can improve my academics, too.\It's two birds with one stone.\Please don't.\I'd feel sorry for your students. response:	How about working at a supermarket, then?
context: All of you are struggling to even pass.\I'll work as a tutor, like you do.\I'll teach as I study.\That way, I can improve my academics, too.\It's two birds with one stone.\Please don't.\I'd feel sorry for your students.\How about working at a supermarket, then? response:	You'd be fired instantly.
context: I'll work as a tutor, like you do.\I'll teach as I study.\That way, I can improve my academics, too.\It's two birds with one stone.\Please don't.\I'd feel sorry for your students.\How about working at a supermarket, then?\You'd be fired instantly. response:	I want to try working at a maid cafe.
context: I'll teach as I study.\That way, I can improve my academics, too.\It's two birds with one stone.\Please don't.\I'd feel sorry for your students.\How about working at a supermarket, then?\You'd be fired instantly.\I want to try working at a maid cafe. response:	You might be surprisingly popular.
context: That way, I can improve my academics, too.\It's two birds with one stone.\Please don't.\I'd feel sorry for your students.\How about working at a supermarket, then?\You'd be fired instantly.\I want to try working at a maid cafe.\You might be surprisingly popular. response:	Permission denied!
context: It's two birds with one stone.\Please don't.\I'd feel sorry for your students.\How about working at a supermarket, then?\You'd be fired instantly.\I want to try working at a maid cafe.\You might be surprisingly popular.\Permission denied! response:	You'd probably be a dominatrix, right, Nino?
context: Please don't.\I'd feel sorry for your students.\How about working at a supermarket, then?\You'd be fired instantly.\I want to try working at a maid cafe.\You might be surprisingly popular.\Permission denied!\You'd probably be a dominatrix, right, Nino? response:	What's that supposed to mean?
context: I'd feel sorry for your students.\How about working at a supermarket, then?\You'd be fired instantly.\I want to try working at a maid cafe.\You might be surprisingly popular.\Permission denied!\You'd probably be a dominatrix, right, Nino?\What's that supposed to mean? response:	Nino would work in food service, right?
context: How about working at a supermarket, then?\You'd be fired instantly.\I want to try working at a maid cafe.\You might be surprisingly popular.\Permission denied!\You'd probably be a dominatrix, right, Nino?\What's that supposed to mean?\Nino would work in food service, right? response:	If I had to choose, sure.
context: You'd be fired instantly.\I want to try working at a maid cafe.\You might be surprisingly popular.\Permission denied!\You'd probably be a dominatrix, right, Nino?\What's that supposed to mean?\Nino would work in food service, right?\If I had to choose, sure. response:	It's always been your dream to open your own shop.
context: I want to try working at a maid cafe.\You might be surprisingly popular.\Permission denied!\You'd probably be a dominatrix, right, Nino?\What's that supposed to mean?\Nino would work in food service, right?\If I had to choose, sure.\It's always been your dream to open your own shop. response:	First I've heard of it.
context: You might be surprisingly popular.\Permission denied!\You'd probably be a dominatrix, right, Nino?\What's that supposed to mean?\Nino would work in food service, right?\If I had to choose, sure.\It's always been your dream to open your own shop.\First I've heard of it. response:	It's just a silly idea I had as a kid.
context: Permission denied!\You'd probably be a dominatrix, right, Nino?\What's that supposed to mean?\Nino would work in food service, right?\If I had to choose, sure.\It's always been your dream to open your own shop.\First I've heard of it.\It's just a silly idea I had as a kid. response:	Don't take it too seriously.
context: You'd probably be a dominatrix, right, Nino?\What's that supposed to mean?\Nino would work in food service, right?\If I had to choose, sure.\It's always been your dream to open your own shop.\First I've heard of it.\It's just a silly idea I had as a kid.\Don't take it too seriously. response:	I know a good cake shop.
context: What's that supposed to mean?\Nino would work in food service, right?\If I had to choose, sure.\It's always been your dream to open your own shop.\First I've heard of it.\It's just a silly idea I had as a kid.\Don't take it too seriously.\I know a good cake shop. response:	Mille-feuille.
context: Nino would work in food service, right?\If I had to choose, sure.\It's always been your dream to open your own shop.\First I've heard of it.\It's just a silly idea I had as a kid.\Don't take it too seriously.\I know a good cake shop.\Mille-feuille. response:	Eclairs.
context: If I had to choose, sure.\It's always been your dream to open your own shop.\First I've heard of it.\It's just a silly idea I had as a kid.\Don't take it too seriously.\I know a good cake shop.\Mille-feuille.\Eclairs. response:	Mont Blanc.
context: It's always been your dream to open your own shop.\First I've heard of it.\It's just a silly idea I had as a kid.\Don't take it too seriously.\I know a good cake shop.\Mille-feuille.\Eclairs.\Mont Blanc. response:	Merci beaucoup.
context: First I've heard of it.\It's just a silly idea I had as a kid.\Don't take it too seriously.\I know a good cake shop.\Mille-feuille.\Eclairs.\Mont Blanc.\Merci beaucoup. response:	No!
context: It's just a silly idea I had as a kid.\Don't take it too seriously.\I know a good cake shop.\Mille-feuille.\Eclairs.\Mont Blanc.\Merci beaucoup.\No! response:	I've worked several jobs so far,
context: Don't take it too seriously.\I know a good cake shop.\Mille-feuille.\Eclairs.\Mont Blanc.\Merci beaucoup.\No!\I've worked several jobs so far, response:	but they all took some commitment.
context: I know a good cake shop.\Mille-feuille.\Eclairs.\Mont Blanc.\Merci beaucoup.\No!\I've worked several jobs so far,\but they all took some commitment. response:	Don't underestimate work!
context: Mille-feuille.\Eclairs.\Mont Blanc.\Merci beaucoup.\No!\I've worked several jobs so far,\but they all took some commitment.\Don't underestimate work! response:	Now's the time to study!
context: Eclairs.\Mont Blanc.\Merci beaucoup.\No!\I've worked several jobs so far,\but they all took some commitment.\Don't underestimate work!\Now's the time to study! response:	Futaro!
context: Mont Blanc.\Merci beaucoup.\No!\I've worked several jobs so far,\but they all took some commitment.\Don't underestimate work!\Now's the time to study!\Futaro! response:	Ichika! Please stop taking your clothes off in your sleep!
context: Merci beaucoup.\No!\I've worked several jobs so far,\but they all took some commitment.\Don't underestimate work!\Now's the time to study!\Futaro!\Ichika! Please stop taking your clothes off in your sleep! response:	Look away! Pervert!
context: No!\I've worked several jobs so far,\but they all took some commitment.\Don't underestimate work!\Now's the time to study!\Futaro!\Ichika! Please stop taking your clothes off in your sleep!\Look away! Pervert! response:	Me?!
context: I've worked several jobs so far,\but they all took some commitment.\Don't underestimate work!\Now's the time to study!\Futaro!\Ichika! Please stop taking your clothes off in your sleep!\Look away! Pervert!\Me?! response:	I underestimated this job.
context: but they all took some commitment.\Don't underestimate work!\Now's the time to study!\Futaro!\Ichika! Please stop taking your clothes off in your sleep!\Look away! Pervert!\Me?!\I underestimated this job. response:	Minimum one shift per week! Teach in any subject you're comfortable
context: Don't underestimate work!\Now's the time to study!\Futaro!\Ichika! Please stop taking your clothes off in your sleep!\Look away! Pervert!\Me?!\I underestimated this job.\Minimum one shift per week! Teach in any subject you're comfortable response:	Fun home tutoring (Minimum two days per week, one shift each!) No experience needed!
context: Now's the time to study!\Futaro!\Ichika! Please stop taking your clothes off in your sleep!\Look away! Pervert!\Me?!\I underestimated this job.\Minimum one shift per week! Teach in any subject you're comfortable\Fun home tutoring (Minimum two days per week, one shift each!) No experience needed! response:	Father
context: Futaro!\Ichika! Please stop taking your clothes off in your sleep!\Look away! Pervert!\Me?!\I underestimated this job.\Minimum one shift per week! Teach in any subject you're comfortable\Fun home tutoring (Minimum two days per week, one shift each!) No experience needed!\Father response:	Hello?
context: Ichika! Please stop taking your clothes off in your sleep!\Look away! Pervert!\Me?!\I underestimated this job.\Minimum one shift per week! Teach in any subject you're comfortable\Fun home tutoring (Minimum two days per week, one shift each!) No experience needed!\Father\Hello? response:	It's been a while, Itsuki-kun.
context: Look away! Pervert!\Me?!\I underestimated this job.\Minimum one shift per week! Teach in any subject you're comfortable\Fun home tutoring (Minimum two days per week, one shift each!) No experience needed!\Father\Hello?\It's been a while, Itsuki-kun. response:	Father.
context: Me?!\I underestimated this job.\Minimum one shift per week! Teach in any subject you're comfortable\Fun home tutoring (Minimum two days per week, one shift each!) No experience needed!\Father\Hello?\It's been a while, Itsuki-kun.\Father. response:	Well? What do you think of my pie?
context: I underestimated this job.\Minimum one shift per week! Teach in any subject you're comfortable\Fun home tutoring (Minimum two days per week, one shift each!) No experience needed!\Father\Hello?\It's been a while, Itsuki-kun.\Father.\Well? What do you think of my pie? response:	It's just like yours, boss!
context: Minimum one shift per week! Teach in any subject you're comfortable\Fun home tutoring (Minimum two days per week, one shift each!) No experience needed!\Father\Hello?\It's been a while, Itsuki-kun.\Father.\Well? What do you think of my pie?\It's just like yours, boss! response:	Give me a raise, please!
context: Fun home tutoring (Minimum two days per week, one shift each!) No experience needed!\Father\Hello?\It's been a while, Itsuki-kun.\Father.\Well? What do you think of my pie?\It's just like yours, boss!\Give me a raise, please! response:	Give it a taste.
context: Father\Hello?\It's been a while, Itsuki-kun.\Father.\Well? What do you think of my pie?\It's just like yours, boss!\Give me a raise, please!\Give it a taste. response:	It's underdone.
context: Hello?\It's been a while, Itsuki-kun.\Father.\Well? What do you think of my pie?\It's just like yours, boss!\Give me a raise, please!\Give it a taste.\It's underdone. response:	I shouldn't be talking trash about Miku.
context: It's been a while, Itsuki-kun.\Father.\Well? What do you think of my pie?\It's just like yours, boss!\Give me a raise, please!\Give it a taste.\It's underdone.\I shouldn't be talking trash about Miku. response:	Looks like it'll be a while before I can let you in the kitchen.
context: Father.\Well? What do you think of my pie?\It's just like yours, boss!\Give me a raise, please!\Give it a taste.\It's underdone.\I shouldn't be talking trash about Miku.\Looks like it'll be a while before I can let you in the kitchen. response:	Oh, that reminds me...
context: Well? What do you think of my pie?\It's just like yours, boss!\Give me a raise, please!\Give it a taste.\It's underdone.\I shouldn't be talking trash about Miku.\Looks like it'll be a while before I can let you in the kitchen.\Oh, that reminds me... response:	Uesugi-kun, you can leave now.
context: It's just like yours, boss!\Give me a raise, please!\Give it a taste.\It's underdone.\I shouldn't be talking trash about Miku.\Looks like it'll be a while before I can let you in the kitchen.\Oh, that reminds me...\Uesugi-kun, you can leave now. response:	No...
context: Give me a raise, please!\Give it a taste.\It's underdone.\I shouldn't be talking trash about Miku.\Looks like it'll be a while before I can let you in the kitchen.\Oh, that reminds me...\Uesugi-kun, you can leave now.\No... response:	Are you firing me?
context: Give it a taste.\It's underdone.\I shouldn't be talking trash about Miku.\Looks like it'll be a while before I can let you in the kitchen.\Oh, that reminds me...\Uesugi-kun, you can leave now.\No...\Are you firing me? response:	We're closing at noon today.
context: It's underdone.\I shouldn't be talking trash about Miku.\Looks like it'll be a while before I can let you in the kitchen.\Oh, that reminds me...\Uesugi-kun, you can leave now.\No...\Are you firing me?\We're closing at noon today. response:	We're renting the shop out for a movie shoot.
context: I shouldn't be talking trash about Miku.\Looks like it'll be a while before I can let you in the kitchen.\Oh, that reminds me...\Uesugi-kun, you can leave now.\No...\Are you firing me?\We're closing at noon today.\We're renting the shop out for a movie shoot. response:	You could have told me sooner.
context: Looks like it'll be a while before I can let you in the kitchen.\Oh, that reminds me...\Uesugi-kun, you can leave now.\No...\Are you firing me?\We're closing at noon today.\We're renting the shop out for a movie shoot.\You could have told me sooner. response:	Hello!
context: Oh, that reminds me...\Uesugi-kun, you can leave now.\No...\Are you firing me?\We're closing at noon today.\We're renting the shop out for a movie shoot.\You could have told me sooner.\Hello! response:	Looking forward to working with you today.
context: Uesugi-kun, you can leave now.\No...\Are you firing me?\We're closing at noon today.\We're renting the shop out for a movie shoot.\You could have told me sooner.\Hello!\Looking forward to working with you today. response:	If the movie takes off,
context: No...\Are you firing me?\We're closing at noon today.\We're renting the shop out for a movie shoot.\You could have told me sooner.\Hello!\Looking forward to working with you today.\If the movie takes off, response:	the fans will be coming in droves to visit the site.
context: Are you firing me?\We're closing at noon today.\We're renting the shop out for a movie shoot.\You could have told me sooner.\Hello!\Looking forward to working with you today.\If the movie takes off,\the fans will be coming in droves to visit the site. response:	We'll have a pick with our business name in the cakes that will be on the screen.
context: We're closing at noon today.\We're renting the shop out for a movie shoot.\You could have told me sooner.\Hello!\Looking forward to working with you today.\If the movie takes off,\the fans will be coming in droves to visit the site.\We'll have a pick with our business name in the cakes that will be on the screen. response:	I wish I had his insatiable hunger.
context: We're renting the shop out for a movie shoot.\You could have told me sooner.\Hello!\Looking forward to working with you today.\If the movie takes off,\the fans will be coming in droves to visit the site.\We'll have a pick with our business name in the cakes that will be on the screen.\I wish I had his insatiable hunger. response:	That looks so good.
context: You could have told me sooner.\Hello!\Looking forward to working with you today.\If the movie takes off,\the fans will be coming in droves to visit the site.\We'll have a pick with our business name in the cakes that will be on the screen.\I wish I had his insatiable hunger.\That looks so good. response:	I look forward to working with you.
context: Hello!\Looking forward to working with you today.\If the movie takes off,\the fans will be coming in droves to visit the site.\We'll have a pick with our business name in the cakes that will be on the screen.\I wish I had his insatiable hunger.\That looks so good.\I look forward to working with you. response:	H-Hi.
context: Looking forward to working with you today.\If the movie takes off,\the fans will be coming in droves to visit the site.\We'll have a pick with our business name in the cakes that will be on the screen.\I wish I had his insatiable hunger.\That looks so good.\I look forward to working with you.\H-Hi. response:	I should go home.
context: If the movie takes off,\the fans will be coming in droves to visit the site.\We'll have a pick with our business name in the cakes that will be on the screen.\I wish I had his insatiable hunger.\That looks so good.\I look forward to working with you.\H-Hi.\I should go home. response:	Thank you for having us.
context: the fans will be coming in droves to visit the site.\We'll have a pick with our business name in the cakes that will be on the screen.\I wish I had his insatiable hunger.\That looks so good.\I look forward to working with you.\H-Hi.\I should go home.\Thank you for having us. response:	Scene 37-4.
context: We'll have a pick with our business name in the cakes that will be on the screen.\I wish I had his insatiable hunger.\That looks so good.\I look forward to working with you.\H-Hi.\I should go home.\Thank you for having us.\Scene 37-4. response:	Action!
context: I wish I had his insatiable hunger.\That looks so good.\I look forward to working with you.\H-Hi.\I should go home.\Thank you for having us.\Scene 37-4.\Action! response:	I've always wanted to try this cake shop.
context: That looks so good.\I look forward to working with you.\H-Hi.\I should go home.\Thank you for having us.\Scene 37-4.\Action!\I've always wanted to try this cake shop. response:	Now's not the time, Tamako!
context: I look forward to working with you.\H-Hi.\I should go home.\Thank you for having us.\Scene 37-4.\Action!\I've always wanted to try this cake shop.\Now's not the time, Tamako! response:	Huh? What do you mean?
context: H-Hi.\I should go home.\Thank you for having us.\Scene 37-4.\Action!\I've always wanted to try this cake shop.\Now's not the time, Tamako!\Huh? What do you mean? response:	That's the cursed reply.
context: I should go home.\Thank you for having us.\Scene 37-4.\Action!\I've always wanted to try this cake shop.\Now's not the time, Tamako!\Huh? What do you mean?\That's the cursed reply. response:	They say if you get one, you die.
context: Thank you for having us.\Scene 37-4.\Action!\I've always wanted to try this cake shop.\Now's not the time, Tamako!\Huh? What do you mean?\That's the cursed reply.\They say if you get one, you die. response:	I'm too dumb to know what you're talking about.
context: Scene 37-4.\Action!\I've always wanted to try this cake shop.\Now's not the time, Tamako!\Huh? What do you mean?\That's the cursed reply.\They say if you get one, you die.\I'm too dumb to know what you're talking about. response:	Let's just have some cake!
