context: Rations, four. response:	Medical supplies, one.
context: Angelise-sama is Angelise-sama.\She's just like Ange when she first came here.\The cringeworthy princess and her cringeworthy maid.\It's perfect.\Good for you. You won't have to spend your nights alone anymore.\As crass as always.\We're Norma, after all.\I won't allow any more disrespect. response:	Um
context: She's just like Ange when she first came here.\The cringeworthy princess and her cringeworthy maid.\It's perfect.\Good for you. You won't have to spend your nights alone anymore.\As crass as always.\We're Norma, after all.\I won't allow any more disrespect.\Um response:	That's yours.
context: The cringeworthy princess and her cringeworthy maid.\It's perfect.\Good for you. You won't have to spend your nights alone anymore.\As crass as always.\We're Norma, after all.\I won't allow any more disrespect.\Um\That's yours. response:	Thank you.
context: It's perfect.\Good for you. You won't have to spend your nights alone anymore.\As crass as always.\We're Norma, after all.\I won't allow any more disrespect.\Um\That's yours.\Thank you. response:	I wasn't aware you hadn't eaten in three days.
context: Good for you. You won't have to spend your nights alone anymore.\As crass as always.\We're Norma, after all.\I won't allow any more disrespect.\Um\That's yours.\Thank you.\I wasn't aware you hadn't eaten in three days. response:	I'm sorry.
context: As crass as always.\We're Norma, after all.\I won't allow any more disrespect.\Um\That's yours.\Thank you.\I wasn't aware you hadn't eaten in three days.\I'm sorry. response:	I was busy with the thought of seeing you.
context: We're Norma, after all.\I won't allow any more disrespect.\Um\That's yours.\Thank you.\I wasn't aware you hadn't eaten in three days.\I'm sorry.\I was busy with the thought of seeing you. response:	Take care of yourself with that.
context: I won't allow any more disrespect.\Um\That's yours.\Thank you.\I wasn't aware you hadn't eaten in three days.\I'm sorry.\I was busy with the thought of seeing you.\Take care of yourself with that. response:	So this is what they call money.
context: Um\That's yours.\Thank you.\I wasn't aware you hadn't eaten in three days.\I'm sorry.\I was busy with the thought of seeing you.\Take care of yourself with that.\So this is what they call money. response:	Thank you.
context: That's yours.\Thank you.\I wasn't aware you hadn't eaten in three days.\I'm sorry.\I was busy with the thought of seeing you.\Take care of yourself with that.\So this is what they call money.\Thank you. response:	I always thought a monetized economy was an imperfect system.
context: Thank you.\I wasn't aware you hadn't eaten in three days.\I'm sorry.\I was busy with the thought of seeing you.\Take care of yourself with that.\So this is what they call money.\Thank you.\I always thought a monetized economy was an imperfect system. response:	But this is kind of fun, too.
context: I wasn't aware you hadn't eaten in three days.\I'm sorry.\I was busy with the thought of seeing you.\Take care of yourself with that.\So this is what they call money.\Thank you.\I always thought a monetized economy was an imperfect system.\But this is kind of fun, too. response:	Yeah?
context: I'm sorry.\I was busy with the thought of seeing you.\Take care of yourself with that.\So this is what they call money.\Thank you.\I always thought a monetized economy was an imperfect system.\But this is kind of fun, too.\Yeah? response:	Stop squirming.
context: I was busy with the thought of seeing you.\Take care of yourself with that.\So this is what they call money.\Thank you.\I always thought a monetized economy was an imperfect system.\But this is kind of fun, too.\Yeah?\Stop squirming. response:	Don't blame me if I can't reattach your arm.
context: Take care of yourself with that.\So this is what they call money.\Thank you.\I always thought a monetized economy was an imperfect system.\But this is kind of fun, too.\Yeah?\Stop squirming.\Don't blame me if I can't reattach your arm. response:	Huh, where's her arm?
context: So this is what they call money.\Thank you.\I always thought a monetized economy was an imperfect system.\But this is kind of fun, too.\Yeah?\Stop squirming.\Don't blame me if I can't reattach your arm.\Huh, where's her arm? response:	Over here.
context: Thank you.\I always thought a monetized economy was an imperfect system.\But this is kind of fun, too.\Yeah?\Stop squirming.\Don't blame me if I can't reattach your arm.\Huh, where's her arm?\Over here. response:	Maybe we can attach it this way.
context: I always thought a monetized economy was an imperfect system.\But this is kind of fun, too.\Yeah?\Stop squirming.\Don't blame me if I can't reattach your arm.\Huh, where's her arm?\Over here.\Maybe we can attach it this way. response:	What was that?
context: But this is kind of fun, too.\Yeah?\Stop squirming.\Don't blame me if I can't reattach your arm.\Huh, where's her arm?\Over here.\Maybe we can attach it this way.\What was that? response:	What is this place for?
context: Yeah?\Stop squirming.\Don't blame me if I can't reattach your arm.\Huh, where's her arm?\Over here.\Maybe we can attach it this way.\What was that?\What is this place for? response:	Hunting.
context: Stop squirming.\Don't blame me if I can't reattach your arm.\Huh, where's her arm?\Over here.\Maybe we can attach it this way.\What was that?\What is this place for?\Hunting. response:	Who knows when I'll end up like that, too?
context: Don't blame me if I can't reattach your arm.\Huh, where's her arm?\Over here.\Maybe we can attach it this way.\What was that?\What is this place for?\Hunting.\Who knows when I'll end up like that, too? response:	Angelise-sama.
context: Huh, where's her arm?\Over here.\Maybe we can attach it this way.\What was that?\What is this place for?\Hunting.\Who knows when I'll end up like that, too?\Angelise-sama. response:	What has happened to you?
context: Over here.\Maybe we can attach it this way.\What was that?\What is this place for?\Hunting.\Who knows when I'll end up like that, too?\Angelise-sama.\What has happened to you? response:	That... That isn't Angelise-sama.
context: Maybe we can attach it this way.\What was that?\What is this place for?\Hunting.\Who knows when I'll end up like that, too?\Angelise-sama.\What has happened to you?\That... That isn't Angelise-sama. response:	You must be hurt.
context: What was that?\What is this place for?\Hunting.\Who knows when I'll end up like that, too?\Angelise-sama.\What has happened to you?\That... That isn't Angelise-sama.\You must be hurt. response:	How pitiful.
context: What is this place for?\Hunting.\Who knows when I'll end up like that, too?\Angelise-sama.\What has happened to you?\That... That isn't Angelise-sama.\You must be hurt.\How pitiful. response:	Angelise-sama.
context: Hunting.\Who knows when I'll end up like that, too?\Angelise-sama.\What has happened to you?\That... That isn't Angelise-sama.\You must be hurt.\How pitiful.\Angelise-sama. response:	I must save her.
context: Who knows when I'll end up like that, too?\Angelise-sama.\What has happened to you?\That... That isn't Angelise-sama.\You must be hurt.\How pitiful.\Angelise-sama.\I must save her. response:	I must save Angelise-sama.
context: Angelise-sama.\What has happened to you?\That... That isn't Angelise-sama.\You must be hurt.\How pitiful.\Angelise-sama.\I must save her.\I must save Angelise-sama. response:	Mission clear.
context: What has happened to you?\That... That isn't Angelise-sama.\You must be hurt.\How pitiful.\Angelise-sama.\I must save her.\I must save Angelise-sama.\Mission clear. response:	Training complete.
context: That... That isn't Angelise-sama.\You must be hurt.\How pitiful.\Angelise-sama.\I must save her.\I must save Angelise-sama.\Mission clear.\Training complete. response:	What is this?
context: You must be hurt.\How pitiful.\Angelise-sama.\I must save her.\I must save Angelise-sama.\Mission clear.\Training complete.\What is this? response:	You were the fashion leader of the Empire of Misurugi.
context: How pitiful.\Angelise-sama.\I must save her.\I must save Angelise-sama.\Mission clear.\Training complete.\What is this?\You were the fashion leader of the Empire of Misurugi. response:	I wanted you to remember how you used to be.
context: Angelise-sama.\I must save her.\I must save Angelise-sama.\Mission clear.\Training complete.\What is this?\You were the fashion leader of the Empire of Misurugi.\I wanted you to remember how you used to be. response:	I assorted all the things you used to love.
context: I must save her.\I must save Angelise-sama.\Mission clear.\Training complete.\What is this?\You were the fashion leader of the Empire of Misurugi.\I wanted you to remember how you used to be.\I assorted all the things you used to love. response:	Return it.
context: I must save Angelise-sama.\Mission clear.\Training complete.\What is this?\You were the fashion leader of the Empire of Misurugi.\I wanted you to remember how you used to be.\I assorted all the things you used to love.\Return it. response:	Yes, ma'am.
context: Mission clear.\Training complete.\What is this?\You were the fashion leader of the Empire of Misurugi.\I wanted you to remember how you used to be.\I assorted all the things you used to love.\Return it.\Yes, ma'am. response:	What?
context: Training complete.\What is this?\You were the fashion leader of the Empire of Misurugi.\I wanted you to remember how you used to be.\I assorted all the things you used to love.\Return it.\Yes, ma'am.\What? response:	Return it to the way it was.
context: What is this?\You were the fashion leader of the Empire of Misurugi.\I wanted you to remember how you used to be.\I assorted all the things you used to love.\Return it.\Yes, ma'am.\What?\Return it to the way it was. response:	Now.
context: You were the fashion leader of the Empire of Misurugi.\I wanted you to remember how you used to be.\I assorted all the things you used to love.\Return it.\Yes, ma'am.\What?\Return it to the way it was.\Now. response:	Angelise-sama.
context: I wanted you to remember how you used to be.\I assorted all the things you used to love.\Return it.\Yes, ma'am.\What?\Return it to the way it was.\Now.\Angelise-sama. response:	No, I'm just getting started.
context: I assorted all the things you used to love.\Return it.\Yes, ma'am.\What?\Return it to the way it was.\Now.\Angelise-sama.\No, I'm just getting started. response:	My locker.
context: Return it.\Yes, ma'am.\What?\Return it to the way it was.\Now.\Angelise-sama.\No, I'm just getting started.\My locker. response:	I redecorated the place the way you used to like it.
context: Yes, ma'am.\What?\Return it to the way it was.\Now.\Angelise-sama.\No, I'm just getting started.\My locker.\I redecorated the place the way you used to like it. response:	Now you can
context: What?\Return it to the way it was.\Now.\Angelise-sama.\No, I'm just getting started.\My locker.\I redecorated the place the way you used to like it.\Now you can response:	Return it.
context: Return it to the way it was.\Now.\Angelise-sama.\No, I'm just getting started.\My locker.\I redecorated the place the way you used to like it.\Now you can\Return it. response:	Return it to the way it was.
context: Now.\Angelise-sama.\No, I'm just getting started.\My locker.\I redecorated the place the way you used to like it.\Now you can\Return it.\Return it to the way it was. response:	Now.
context: Angelise-sama.\No, I'm just getting started.\My locker.\I redecorated the place the way you used to like it.\Now you can\Return it.\Return it to the way it was.\Now. response:	Today, I've prepared your favorite grilled quail and salad with sauce.
context: No, I'm just getting started.\My locker.\I redecorated the place the way you used to like it.\Now you can\Return it.\Return it to the way it was.\Now.\Today, I've prepared your favorite grilled quail and salad with sauce. response:	You'll be a hundred times better with this.
context: My locker.\I redecorated the place the way you used to like it.\Now you can\Return it.\Return it to the way it was.\Now.\Today, I've prepared your favorite grilled quail and salad with sauce.\You'll be a hundred times better with this. response:	Enough, already.
context: I redecorated the place the way you used to like it.\Now you can\Return it.\Return it to the way it was.\Now.\Today, I've prepared your favorite grilled quail and salad with sauce.\You'll be a hundred times better with this.\Enough, already. response:	What a waste.
context: Now you can\Return it.\Return it to the way it was.\Now.\Today, I've prepared your favorite grilled quail and salad with sauce.\You'll be a hundred times better with this.\Enough, already.\What a waste. response:	A-Angelise-sama
context: Return it.\Return it to the way it was.\Now.\Today, I've prepared your favorite grilled quail and salad with sauce.\You'll be a hundred times better with this.\Enough, already.\What a waste.\A-Angelise-sama response:	My name isn't Angelise.
context: Return it to the way it was.\Now.\Today, I've prepared your favorite grilled quail and salad with sauce.\You'll be a hundred times better with this.\Enough, already.\What a waste.\A-Angelise-sama\My name isn't Angelise. response:	How many times do I have to tell you?
context: Now.\Today, I've prepared your favorite grilled quail and salad with sauce.\You'll be a hundred times better with this.\Enough, already.\What a waste.\A-Angelise-sama\My name isn't Angelise.\How many times do I have to tell you? response:	Stop bothering me.
context: Today, I've prepared your favorite grilled quail and salad with sauce.\You'll be a hundred times better with this.\Enough, already.\What a waste.\A-Angelise-sama\My name isn't Angelise.\How many times do I have to tell you?\Stop bothering me. response:	Aw.
context: You'll be a hundred times better with this.\Enough, already.\What a waste.\A-Angelise-sama\My name isn't Angelise.\How many times do I have to tell you?\Stop bothering me.\Aw. response:	Bullseye.
context: Enough, already.\What a waste.\A-Angelise-sama\My name isn't Angelise.\How many times do I have to tell you?\Stop bothering me.\Aw.\Bullseye. response:	Impressive.
context: What a waste.\A-Angelise-sama\My name isn't Angelise.\How many times do I have to tell you?\Stop bothering me.\Aw.\Bullseye.\Impressive. response:	I can never shoot as well as you, Salia-chan.
context: A-Angelise-sama\My name isn't Angelise.\How many times do I have to tell you?\Stop bothering me.\Aw.\Bullseye.\Impressive.\I can never shoot as well as you, Salia-chan. response:	What am I doing wrong?
context: My name isn't Angelise.\How many times do I have to tell you?\Stop bothering me.\Aw.\Bullseye.\Impressive.\I can never shoot as well as you, Salia-chan.\What am I doing wrong? response:	It's your four-dimensional boobs.
context: How many times do I have to tell you?\Stop bothering me.\Aw.\Bullseye.\Impressive.\I can never shoot as well as you, Salia-chan.\What am I doing wrong?\It's your four-dimensional boobs. response:	Seriously?
context: Stop bothering me.\Aw.\Bullseye.\Impressive.\I can never shoot as well as you, Salia-chan.\What am I doing wrong?\It's your four-dimensional boobs.\Seriously? response:	You're loud.
context: Aw.\Bullseye.\Impressive.\I can never shoot as well as you, Salia-chan.\What am I doing wrong?\It's your four-dimensional boobs.\Seriously?\You're loud. response:	Really? That maid's going to get killed?
context: Bullseye.\Impressive.\I can never shoot as well as you, Salia-chan.\What am I doing wrong?\It's your four-dimensional boobs.\Seriously?\You're loud.\Really? That maid's going to get killed? response:	Wh-What's going on?
context: Impressive.\I can never shoot as well as you, Salia-chan.\What am I doing wrong?\It's your four-dimensional boobs.\Seriously?\You're loud.\Really? That maid's going to get killed?\Wh-What's going on? response:	Did you know that Arzenal and DRAGON
context: I can never shoot as well as you, Salia-chan.\What am I doing wrong?\It's your four-dimensional boobs.\Seriously?\You're loud.\Really? That maid's going to get killed?\Wh-What's going on?\Did you know that Arzenal and DRAGON response:	are classified secrets that only a handful of humans know about?
context: What am I doing wrong?\It's your four-dimensional boobs.\Seriously?\You're loud.\Really? That maid's going to get killed?\Wh-What's going on?\Did you know that Arzenal and DRAGON\are classified secrets that only a handful of humans know about? response:	Really?
context: It's your four-dimensional boobs.\Seriously?\You're loud.\Really? That maid's going to get killed?\Wh-What's going on?\Did you know that Arzenal and DRAGON\are classified secrets that only a handful of humans know about?\Really? response:	I've heard about that.
context: Seriously?\You're loud.\Really? That maid's going to get killed?\Wh-What's going on?\Did you know that Arzenal and DRAGON\are classified secrets that only a handful of humans know about?\Really?\I've heard about that. response:	A human wandered into here and learned the truth.
context: You're loud.\Really? That maid's going to get killed?\Wh-What's going on?\Did you know that Arzenal and DRAGON\are classified secrets that only a handful of humans know about?\Really?\I've heard about that.\A human wandered into here and learned the truth. response:	They wouldn't just let her go back.
context: Really? That maid's going to get killed?\Wh-What's going on?\Did you know that Arzenal and DRAGON\are classified secrets that only a handful of humans know about?\Really?\I've heard about that.\A human wandered into here and learned the truth.\They wouldn't just let her go back. response:	Exactly.
context: Wh-What's going on?\Did you know that Arzenal and DRAGON\are classified secrets that only a handful of humans know about?\Really?\I've heard about that.\A human wandered into here and learned the truth.\They wouldn't just let her go back.\Exactly. response:	I get it.
context: Did you know that Arzenal and DRAGON\are classified secrets that only a handful of humans know about?\Really?\I've heard about that.\A human wandered into here and learned the truth.\They wouldn't just let her go back.\Exactly.\I get it. response:	Poor her.
context: are classified secrets that only a handful of humans know about?\Really?\I've heard about that.\A human wandered into here and learned the truth.\They wouldn't just let her go back.\Exactly.\I get it.\Poor her. response:	She came here in search of such a cold-blooded bitch.
context: Really?\I've heard about that.\A human wandered into here and learned the truth.\They wouldn't just let her go back.\Exactly.\I get it.\Poor her.\She came here in search of such a cold-blooded bitch. response:	No kidding.
context: I've heard about that.\A human wandered into here and learned the truth.\They wouldn't just let her go back.\Exactly.\I get it.\Poor her.\She came here in search of such a cold-blooded bitch.\No kidding. response:	Everyone that gets involved with her dies.
context: A human wandered into here and learned the truth.\They wouldn't just let her go back.\Exactly.\I get it.\Poor her.\She came here in search of such a cold-blooded bitch.\No kidding.\Everyone that gets involved with her dies. response:	Coco, Miranda, and now her.
context: They wouldn't just let her go back.\Exactly.\I get it.\Poor her.\She came here in search of such a cold-blooded bitch.\No kidding.\Everyone that gets involved with her dies.\Coco, Miranda, and now her. response:	She sends anyone who shows her affection to Hell.
context: Exactly.\I get it.\Poor her.\She came here in search of such a cold-blooded bitch.\No kidding.\Everyone that gets involved with her dies.\Coco, Miranda, and now her.\She sends anyone who shows her affection to Hell. response:	She's a wretch, really.
context: I get it.\Poor her.\She came here in search of such a cold-blooded bitch.\No kidding.\Everyone that gets involved with her dies.\Coco, Miranda, and now her.\She sends anyone who shows her affection to Hell.\She's a wretch, really. response:	Here we go.
context: Poor her.\She came here in search of such a cold-blooded bitch.\No kidding.\Everyone that gets involved with her dies.\Coco, Miranda, and now her.\She sends anyone who shows her affection to Hell.\She's a wretch, really.\Here we go. response:	What is that?
context: She came here in search of such a cold-blooded bitch.\No kidding.\Everyone that gets involved with her dies.\Coco, Miranda, and now her.\She sends anyone who shows her affection to Hell.\She's a wretch, really.\Here we go.\What is that? response:	Well...
context: No kidding.\Everyone that gets involved with her dies.\Coco, Miranda, and now her.\She sends anyone who shows her affection to Hell.\She's a wretch, really.\Here we go.\What is that?\Well... response:	I think this is going to be my last meal here.
context: Everyone that gets involved with her dies.\Coco, Miranda, and now her.\She sends anyone who shows her affection to Hell.\She's a wretch, really.\Here we go.\What is that?\Well...\I think this is going to be my last meal here. response:	So I thought I'd have a proper meal.
context: Coco, Miranda, and now her.\She sends anyone who shows her affection to Hell.\She's a wretch, really.\Here we go.\What is that?\Well...\I think this is going to be my last meal here.\So I thought I'd have a proper meal. response:	I paid for it, of course.
context: She sends anyone who shows her affection to Hell.\She's a wretch, really.\Here we go.\What is that?\Well...\I think this is going to be my last meal here.\So I thought I'd have a proper meal.\I paid for it, of course. response:	Time to eat.
context: She's a wretch, really.\Here we go.\What is that?\Well...\I think this is going to be my last meal here.\So I thought I'd have a proper meal.\I paid for it, of course.\Time to eat. response:	Th-This is
context: Here we go.\What is that?\Well...\I think this is going to be my last meal here.\So I thought I'd have a proper meal.\I paid for it, of course.\Time to eat.\Th-This is response:	She sends anyone who shows her affection to Hell.
context: What is that?\Well...\I think this is going to be my last meal here.\So I thought I'd have a proper meal.\I paid for it, of course.\Time to eat.\Th-This is\She sends anyone who shows her affection to Hell. response:	Pretty... good.
context: Well...\I think this is going to be my last meal here.\So I thought I'd have a proper meal.\I paid for it, of course.\Time to eat.\Th-This is\She sends anyone who shows her affection to Hell.\Pretty... good. response:	Angelise-sama.
context: I think this is going to be my last meal here.\So I thought I'd have a proper meal.\I paid for it, of course.\Time to eat.\Th-This is\She sends anyone who shows her affection to Hell.\Pretty... good.\Angelise-sama. response:	Bath.
context: So I thought I'd have a proper meal.\I paid for it, of course.\Time to eat.\Th-This is\She sends anyone who shows her affection to Hell.\Pretty... good.\Angelise-sama.\Bath. response:	I will wash your back.
context: I paid for it, of course.\Time to eat.\Th-This is\She sends anyone who shows her affection to Hell.\Pretty... good.\Angelise-sama.\Bath.\I will wash your back. response:	Do as you wish.
context: Time to eat.\Th-This is\She sends anyone who shows her affection to Hell.\Pretty... good.\Angelise-sama.\Bath.\I will wash your back.\Do as you wish. response:	Yes.
context: Th-This is\She sends anyone who shows her affection to Hell.\Pretty... good.\Angelise-sama.\Bath.\I will wash your back.\Do as you wish.\Yes. response:	How long has it been
context: She sends anyone who shows her affection to Hell.\Pretty... good.\Angelise-sama.\Bath.\I will wash your back.\Do as you wish.\Yes.\How long has it been response:	since you've allowed me to wash your back?
context: Pretty... good.\Angelise-sama.\Bath.\I will wash your back.\Do as you wish.\Yes.\How long has it been\since you've allowed me to wash your back? response:	That cut.
context: Angelise-sama.\Bath.\I will wash your back.\Do as you wish.\Yes.\How long has it been\since you've allowed me to wash your back?\That cut. response:	This?
context: Bath.\I will wash your back.\Do as you wish.\Yes.\How long has it been\since you've allowed me to wash your back?\That cut.\This? response:	I was told it could be fixed with Mana,
context: I will wash your back.\Do as you wish.\Yes.\How long has it been\since you've allowed me to wash your back?\That cut.\This?\I was told it could be fixed with Mana, response:	but it has sentimental value.
context: Do as you wish.\Yes.\How long has it been\since you've allowed me to wash your back?\That cut.\This?\I was told it could be fixed with Mana,\but it has sentimental value. response:	What's going on?
context: Yes.\How long has it been\since you've allowed me to wash your back?\That cut.\This?\I was told it could be fixed with Mana,\but it has sentimental value.\What's going on? response:	I'm sorry, Angelise-sama.
context: How long has it been\since you've allowed me to wash your back?\That cut.\This?\I was told it could be fixed with Mana,\but it has sentimental value.\What's going on?\I'm sorry, Angelise-sama. response:	I broke your doll.
context: since you've allowed me to wash your back?\That cut.\This?\I was told it could be fixed with Mana,\but it has sentimental value.\What's going on?\I'm sorry, Angelise-sama.\I broke your doll. response:	You're hurt.
context: That cut.\This?\I was told it could be fixed with Mana,\but it has sentimental value.\What's going on?\I'm sorry, Angelise-sama.\I broke your doll.\You're hurt. response:	It's nothing.
context: This?\I was told it could be fixed with Mana,\but it has sentimental value.\What's going on?\I'm sorry, Angelise-sama.\I broke your doll.\You're hurt.\It's nothing. response:	It's not nothing.
context: I was told it could be fixed with Mana,\but it has sentimental value.\What's going on?\I'm sorry, Angelise-sama.\I broke your doll.\You're hurt.\It's nothing.\It's not nothing. response:	Angelise-sama, your dress.
context: but it has sentimental value.\What's going on?\I'm sorry, Angelise-sama.\I broke your doll.\You're hurt.\It's nothing.\It's not nothing.\Angelise-sama, your dress. response:	Idiot!
context: What's going on?\I'm sorry, Angelise-sama.\I broke your doll.\You're hurt.\It's nothing.\It's not nothing.\Angelise-sama, your dress.\Idiot! response:	We can make another dress and get another doll.
context: I'm sorry, Angelise-sama.\I broke your doll.\You're hurt.\It's nothing.\It's not nothing.\Angelise-sama, your dress.\Idiot!\We can make another dress and get another doll. response:	But you're the only you.
context: I broke your doll.\You're hurt.\It's nothing.\It's not nothing.\Angelise-sama, your dress.\Idiot!\We can make another dress and get another doll.\But you're the only you. response:	Angelise-sama.
context: You're hurt.\It's nothing.\It's not nothing.\Angelise-sama, your dress.\Idiot!\We can make another dress and get another doll.\But you're the only you.\Angelise-sama. response:	All better.
context: It's nothing.\It's not nothing.\Angelise-sama, your dress.\Idiot!\We can make another dress and get another doll.\But you're the only you.\Angelise-sama.\All better. response:	You can bury the broken doll under the tree in the back yard.
context: It's not nothing.\Angelise-sama, your dress.\Idiot!\We can make another dress and get another doll.\But you're the only you.\Angelise-sama.\All better.\You can bury the broken doll under the tree in the back yard. response:	It's our secret.
context: Angelise-sama, your dress.\Idiot!\We can make another dress and get another doll.\But you're the only you.\Angelise-sama.\All better.\You can bury the broken doll under the tree in the back yard.\It's our secret. response:	Yes!
context: Idiot!\We can make another dress and get another doll.\But you're the only you.\Angelise-sama.\All better.\You can bury the broken doll under the tree in the back yard.\It's our secret.\Yes! response:	Angelise-sama...
context: We can make another dress and get another doll.\But you're the only you.\Angelise-sama.\All better.\You can bury the broken doll under the tree in the back yard.\It's our secret.\Yes!\Angelise-sama... response:	It's been too long.
context: But you're the only you.\Angelise-sama.\All better.\You can bury the broken doll under the tree in the back yard.\It's our secret.\Yes!\Angelise-sama...\It's been too long. response:	I would never forget.
context: Angelise-sama.\All better.\You can bury the broken doll under the tree in the back yard.\It's our secret.\Yes!\Angelise-sama...\It's been too long.\I would never forget. response:	I'm as I am now because of you.
context: All better.\You can bury the broken doll under the tree in the back yard.\It's our secret.\Yes!\Angelise-sama...\It's been too long.\I would never forget.\I'm as I am now because of you. response:	I will forever and ever...
context: You can bury the broken doll under the tree in the back yard.\It's our secret.\Yes!\Angelise-sama...\It's been too long.\I would never forget.\I'm as I am now because of you.\I will forever and ever... response:	Angelise-sama.
context: It's our secret.\Yes!\Angelise-sama...\It's been too long.\I would never forget.\I'm as I am now because of you.\I will forever and ever...\Angelise-sama. response:	Leave.
context: Yes!\Angelise-sama...\It's been too long.\I would never forget.\I'm as I am now because of you.\I will forever and ever...\Angelise-sama.\Leave. response:	Leave.
context: Angelise-sama...\It's been too long.\I would never forget.\I'm as I am now because of you.\I will forever and ever...\Angelise-sama.\Leave.\Leave. response:	Now.
context: It's been too long.\I would never forget.\I'm as I am now because of you.\I will forever and ever...\Angelise-sama.\Leave.\Leave.\Now. response:	Yes, tomorrow morning.
context: I would never forget.\I'm as I am now because of you.\I will forever and ever...\Angelise-sama.\Leave.\Leave.\Now.\Yes, tomorrow morning. response:	So right now
context: I'm as I am now because of you.\I will forever and ever...\Angelise-sama.\Leave.\Leave.\Now.\Yes, tomorrow morning.\So right now response:	No, right now.
context: I will forever and ever...\Angelise-sama.\Leave.\Leave.\Now.\Yes, tomorrow morning.\So right now\No, right now. response:	You can go underwater or go across the sea using Mana, can't you?
context: Angelise-sama.\Leave.\Leave.\Now.\Yes, tomorrow morning.\So right now\No, right now.\You can go underwater or go across the sea using Mana, can't you? response:	Run, Momoka.
context: Leave.\Leave.\Now.\Yes, tomorrow morning.\So right now\No, right now.\You can go underwater or go across the sea using Mana, can't you?\Run, Momoka. response:	You finally called me...
context: Leave.\Now.\Yes, tomorrow morning.\So right now\No, right now.\You can go underwater or go across the sea using Mana, can't you?\Run, Momoka.\You finally called me... response:	Momoka.
context: Now.\Yes, tomorrow morning.\So right now\No, right now.\You can go underwater or go across the sea using Mana, can't you?\Run, Momoka.\You finally called me...\Momoka. response:	But please let me be by you for as long as I can.
context: Yes, tomorrow morning.\So right now\No, right now.\You can go underwater or go across the sea using Mana, can't you?\Run, Momoka.\You finally called me...\Momoka.\But please let me be by you for as long as I can. response:	Why?
context: So right now\No, right now.\You can go underwater or go across the sea using Mana, can't you?\Run, Momoka.\You finally called me...\Momoka.\But please let me be by you for as long as I can.\Why? response:	Momoka Oginome is your top maid.
context: No, right now.\You can go underwater or go across the sea using Mana, can't you?\Run, Momoka.\You finally called me...\Momoka.\But please let me be by you for as long as I can.\Why?\Momoka Oginome is your top maid. response:	Idiot.
context: You can go underwater or go across the sea using Mana, can't you?\Run, Momoka.\You finally called me...\Momoka.\But please let me be by you for as long as I can.\Why?\Momoka Oginome is your top maid.\Idiot. response:	Type 1 contact warning.
context: Run, Momoka.\You finally called me...\Momoka.\But please let me be by you for as long as I can.\Why?\Momoka Oginome is your top maid.\Idiot.\Type 1 contact warning. response:	Angelise-sama.
context: You finally called me...\Momoka.\But please let me be by you for as long as I can.\Why?\Momoka Oginome is your top maid.\Idiot.\Type 1 contact warning.\Angelise-sama. response:	Please be safe.
context: Momoka.\But please let me be by you for as long as I can.\Why?\Momoka Oginome is your top maid.\Idiot.\Type 1 contact warning.\Angelise-sama.\Please be safe. response:	Type 1 contact warning.
context: But please let me be by you for as long as I can.\Why?\Momoka Oginome is your top maid.\Idiot.\Type 1 contact warning.\Angelise-sama.\Please be safe.\Type 1 contact warning. response:	You better work hard, so you can afford that girl's tombstone.
context: Why?\Momoka Oginome is your top maid.\Idiot.\Type 1 contact warning.\Angelise-sama.\Please be safe.\Type 1 contact warning.\You better work hard, so you can afford that girl's tombstone. response:	That's morbid.
context: Momoka Oginome is your top maid.\Idiot.\Type 1 contact warning.\Angelise-sama.\Please be safe.\Type 1 contact warning.\You better work hard, so you can afford that girl's tombstone.\That's morbid. response:	Soldiers, to your machines.
context: Idiot.\Type 1 contact warning.\Angelise-sama.\Please be safe.\Type 1 contact warning.\You better work hard, so you can afford that girl's tombstone.\That's morbid.\Soldiers, to your machines. response:	Ange,
context: Type 1 contact warning.\Angelise-sama.\Please be safe.\Type 1 contact warning.\You better work hard, so you can afford that girl's tombstone.\That's morbid.\Soldiers, to your machines.\Ange, response:	a transport will arrive at dawn.
context: Angelise-sama.\Please be safe.\Type 1 contact warning.\You better work hard, so you can afford that girl's tombstone.\That's morbid.\Soldiers, to your machines.\Ange,\a transport will arrive at dawn. response:	Your order to care for your former maid is hereby complete.
context: Please be safe.\Type 1 contact warning.\You better work hard, so you can afford that girl's tombstone.\That's morbid.\Soldiers, to your machines.\Ange,\a transport will arrive at dawn.\Your order to care for your former maid is hereby complete. response:	Good work.
context: Type 1 contact warning.\You better work hard, so you can afford that girl's tombstone.\That's morbid.\Soldiers, to your machines.\Ange,\a transport will arrive at dawn.\Your order to care for your former maid is hereby complete.\Good work. response:	Runway clear. Ready for lift-off.
context: You better work hard, so you can afford that girl's tombstone.\That's morbid.\Soldiers, to your machines.\Ange,\a transport will arrive at dawn.\Your order to care for your former maid is hereby complete.\Good work.\Runway clear. Ready for lift-off. response:	Top maid my ass.
context: That's morbid.\Soldiers, to your machines.\Ange,\a transport will arrive at dawn.\Your order to care for your former maid is hereby complete.\Good work.\Runway clear. Ready for lift-off.\Top maid my ass. response:	She's been lying to me this whole time.
context: Soldiers, to your machines.\Ange,\a transport will arrive at dawn.\Your order to care for your former maid is hereby complete.\Good work.\Runway clear. Ready for lift-off.\Top maid my ass.\She's been lying to me this whole time. response:	I still adore you, Angelise-sama.
