context: Ridget... response:	Yes, Fleet Commander...
context: With Melty?\Of course I'll miss you, but better that than seeing you like this.\By the look on your face, I'd think it was the end of the world.\Although maybe that's what it is to you...\Nothing's even started yet...\Then...\I can't! I have to stay here.\Are you sure? response:	I can't leave Bebel and he needs Dr. Oldham.
context: Of course I'll miss you, but better that than seeing you like this.\By the look on your face, I'd think it was the end of the world.\Although maybe that's what it is to you...\Nothing's even started yet...\Then...\I can't! I have to stay here.\Are you sure?\I can't leave Bebel and he needs Dr. Oldham. response:	And besides, I couldn't live without Bebel.
context: By the look on your face, I'd think it was the end of the world.\Although maybe that's what it is to you...\Nothing's even started yet...\Then...\I can't! I have to stay here.\Are you sure?\I can't leave Bebel and he needs Dr. Oldham.\And besides, I couldn't live without Bebel. response:	I see...
context: Although maybe that's what it is to you...\Nothing's even started yet...\Then...\I can't! I have to stay here.\Are you sure?\I can't leave Bebel and he needs Dr. Oldham.\And besides, I couldn't live without Bebel.\I see... response:	Yeah...
context: Nothing's even started yet...\Then...\I can't! I have to stay here.\Are you sure?\I can't leave Bebel and he needs Dr. Oldham.\And besides, I couldn't live without Bebel.\I see...\Yeah... response:	That's a relief.
context: Then...\I can't! I have to stay here.\Are you sure?\I can't leave Bebel and he needs Dr. Oldham.\And besides, I couldn't live without Bebel.\I see...\Yeah...\That's a relief. response:	After all, I'd be lonely without you, Amy.
context: I can't! I have to stay here.\Are you sure?\I can't leave Bebel and he needs Dr. Oldham.\And besides, I couldn't live without Bebel.\I see...\Yeah...\That's a relief.\After all, I'd be lonely without you, Amy. response:	Thanks!
context: Are you sure?\I can't leave Bebel and he needs Dr. Oldham.\And besides, I couldn't live without Bebel.\I see...\Yeah...\That's a relief.\After all, I'd be lonely without you, Amy.\Thanks! response:	Looks like you've got your hands full.
context: I can't leave Bebel and he needs Dr. Oldham.\And besides, I couldn't live without Bebel.\I see...\Yeah...\That's a relief.\After all, I'd be lonely without you, Amy.\Thanks!\Looks like you've got your hands full. response:	I can handle it.
context: And besides, I couldn't live without Bebel.\I see...\Yeah...\That's a relief.\After all, I'd be lonely without you, Amy.\Thanks!\Looks like you've got your hands full.\I can handle it. response:	Yeah, well, why don't you take a break?
context: I see...\Yeah...\That's a relief.\After all, I'd be lonely without you, Amy.\Thanks!\Looks like you've got your hands full.\I can handle it.\Yeah, well, why don't you take a break? response:	It would set a bad example to everyone if I took a break now!
context: Yeah...\That's a relief.\After all, I'd be lonely without you, Amy.\Thanks!\Looks like you've got your hands full.\I can handle it.\Yeah, well, why don't you take a break?\It would set a bad example to everyone if I took a break now! response:	I'm sorry.
context: That's a relief.\After all, I'd be lonely without you, Amy.\Thanks!\Looks like you've got your hands full.\I can handle it.\Yeah, well, why don't you take a break?\It would set a bad example to everyone if I took a break now!\I'm sorry. response:	I don't mind.
context: After all, I'd be lonely without you, Amy.\Thanks!\Looks like you've got your hands full.\I can handle it.\Yeah, well, why don't you take a break?\It would set a bad example to everyone if I took a break now!\I'm sorry.\I don't mind. response:	Without the Fleet Commander here, I've got to keep it together.
context: Thanks!\Looks like you've got your hands full.\I can handle it.\Yeah, well, why don't you take a break?\It would set a bad example to everyone if I took a break now!\I'm sorry.\I don't mind.\Without the Fleet Commander here, I've got to keep it together. response:	I know how hard you're working.
context: Looks like you've got your hands full.\I can handle it.\Yeah, well, why don't you take a break?\It would set a bad example to everyone if I took a break now!\I'm sorry.\I don't mind.\Without the Fleet Commander here, I've got to keep it together.\I know how hard you're working. response:	You're doing fine.
context: I can handle it.\Yeah, well, why don't you take a break?\It would set a bad example to everyone if I took a break now!\I'm sorry.\I don't mind.\Without the Fleet Commander here, I've got to keep it together.\I know how hard you're working.\You're doing fine. response:	If things were going fine, this wouldn't be happening.
context: Yeah, well, why don't you take a break?\It would set a bad example to everyone if I took a break now!\I'm sorry.\I don't mind.\Without the Fleet Commander here, I've got to keep it together.\I know how hard you're working.\You're doing fine.\If things were going fine, this wouldn't be happening. response:	Fine and perfect are different.
context: It would set a bad example to everyone if I took a break now!\I'm sorry.\I don't mind.\Without the Fleet Commander here, I've got to keep it together.\I know how hard you're working.\You're doing fine.\If things were going fine, this wouldn't be happening.\Fine and perfect are different. response:	I went through a period like this, you know.
context: I'm sorry.\I don't mind.\Without the Fleet Commander here, I've got to keep it together.\I know how hard you're working.\You're doing fine.\If things were going fine, this wouldn't be happening.\Fine and perfect are different.\I went through a period like this, you know. response:	Back when my dad left me the business.
context: I don't mind.\Without the Fleet Commander here, I've got to keep it together.\I know how hard you're working.\You're doing fine.\If things were going fine, this wouldn't be happening.\Fine and perfect are different.\I went through a period like this, you know.\Back when my dad left me the business. response:	I was eager to go it alone, so I took everything on myself.
context: Without the Fleet Commander here, I've got to keep it together.\I know how hard you're working.\You're doing fine.\If things were going fine, this wouldn't be happening.\Fine and perfect are different.\I went through a period like this, you know.\Back when my dad left me the business.\I was eager to go it alone, so I took everything on myself. response:	One day, I found something huge and was determined to show off my skill,
context: I know how hard you're working.\You're doing fine.\If things were going fine, this wouldn't be happening.\Fine and perfect are different.\I went through a period like this, you know.\Back when my dad left me the business.\I was eager to go it alone, so I took everything on myself.\One day, I found something huge and was determined to show off my skill, response:	but the Yunboro and I got swept up by a current
context: You're doing fine.\If things were going fine, this wouldn't be happening.\Fine and perfect are different.\I went through a period like this, you know.\Back when my dad left me the business.\I was eager to go it alone, so I took everything on myself.\One day, I found something huge and was determined to show off my skill,\but the Yunboro and I got swept up by a current response:	and I ended up being pinned under by my prize.
context: If things were going fine, this wouldn't be happening.\Fine and perfect are different.\I went through a period like this, you know.\Back when my dad left me the business.\I was eager to go it alone, so I took everything on myself.\One day, I found something huge and was determined to show off my skill,\but the Yunboro and I got swept up by a current\and I ended up being pinned under by my prize. response:	I thought I was gonna die.
context: Fine and perfect are different.\I went through a period like this, you know.\Back when my dad left me the business.\I was eager to go it alone, so I took everything on myself.\One day, I found something huge and was determined to show off my skill,\but the Yunboro and I got swept up by a current\and I ended up being pinned under by my prize.\I thought I was gonna die. response:	Afterwards, Pinion laughed his ass off. He said I couldn't see around me.
context: I went through a period like this, you know.\Back when my dad left me the business.\I was eager to go it alone, so I took everything on myself.\One day, I found something huge and was determined to show off my skill,\but the Yunboro and I got swept up by a current\and I ended up being pinned under by my prize.\I thought I was gonna die.\Afterwards, Pinion laughed his ass off. He said I couldn't see around me. response:	That what I did was the same as not trusting my colleagues.
context: Back when my dad left me the business.\I was eager to go it alone, so I took everything on myself.\One day, I found something huge and was determined to show off my skill,\but the Yunboro and I got swept up by a current\and I ended up being pinned under by my prize.\I thought I was gonna die.\Afterwards, Pinion laughed his ass off. He said I couldn't see around me.\That what I did was the same as not trusting my colleagues. response:	Trying to do something like this by yourself isn't the way to go about it. So...
context: I was eager to go it alone, so I took everything on myself.\One day, I found something huge and was determined to show off my skill,\but the Yunboro and I got swept up by a current\and I ended up being pinned under by my prize.\I thought I was gonna die.\Afterwards, Pinion laughed his ass off. He said I couldn't see around me.\That what I did was the same as not trusting my colleagues.\Trying to do something like this by yourself isn't the way to go about it. So... response:	But Fleet Commander Fairlock did it!
context: One day, I found something huge and was determined to show off my skill,\but the Yunboro and I got swept up by a current\and I ended up being pinned under by my prize.\I thought I was gonna die.\Afterwards, Pinion laughed his ass off. He said I couldn't see around me.\That what I did was the same as not trusting my colleagues.\Trying to do something like this by yourself isn't the way to go about it. So...\But Fleet Commander Fairlock did it! response:	That old man relied on you!
context: but the Yunboro and I got swept up by a current\and I ended up being pinned under by my prize.\I thought I was gonna die.\Afterwards, Pinion laughed his ass off. He said I couldn't see around me.\That what I did was the same as not trusting my colleagues.\Trying to do something like this by yourself isn't the way to go about it. So...\But Fleet Commander Fairlock did it!\That old man relied on you! response:	What you have to do is think about who to rely on, and for what,
context: and I ended up being pinned under by my prize.\I thought I was gonna die.\Afterwards, Pinion laughed his ass off. He said I couldn't see around me.\That what I did was the same as not trusting my colleagues.\Trying to do something like this by yourself isn't the way to go about it. So...\But Fleet Commander Fairlock did it!\That old man relied on you!\What you have to do is think about who to rely on, and for what, response:	to make things run smoothly.
context: I thought I was gonna die.\Afterwards, Pinion laughed his ass off. He said I couldn't see around me.\That what I did was the same as not trusting my colleagues.\Trying to do something like this by yourself isn't the way to go about it. So...\But Fleet Commander Fairlock did it!\That old man relied on you!\What you have to do is think about who to rely on, and for what,\to make things run smoothly. response:	Rely on?
context: Afterwards, Pinion laughed his ass off. He said I couldn't see around me.\That what I did was the same as not trusting my colleagues.\Trying to do something like this by yourself isn't the way to go about it. So...\But Fleet Commander Fairlock did it!\That old man relied on you!\What you have to do is think about who to rely on, and for what,\to make things run smoothly.\Rely on? response:	You make sure that the items I salvage from the ocean floor benefit the fleet.
context: That what I did was the same as not trusting my colleagues.\Trying to do something like this by yourself isn't the way to go about it. So...\But Fleet Commander Fairlock did it!\That old man relied on you!\What you have to do is think about who to rely on, and for what,\to make things run smoothly.\Rely on?\You make sure that the items I salvage from the ocean floor benefit the fleet. response:	That's the kind of person I want to be in charge of the ship.
context: Trying to do something like this by yourself isn't the way to go about it. So...\But Fleet Commander Fairlock did it!\That old man relied on you!\What you have to do is think about who to rely on, and for what,\to make things run smoothly.\Rely on?\You make sure that the items I salvage from the ocean floor benefit the fleet.\That's the kind of person I want to be in charge of the ship. response:	I'm back!
context: But Fleet Commander Fairlock did it!\That old man relied on you!\What you have to do is think about who to rely on, and for what,\to make things run smoothly.\Rely on?\You make sure that the items I salvage from the ocean floor benefit the fleet.\That's the kind of person I want to be in charge of the ship.\I'm back! response:	Sorry I'm late! I'll get dinner going right away.
context: That old man relied on you!\What you have to do is think about who to rely on, and for what,\to make things run smoothly.\Rely on?\You make sure that the items I salvage from the ocean floor benefit the fleet.\That's the kind of person I want to be in charge of the ship.\I'm back!\Sorry I'm late! I'll get dinner going right away. response:	Hey, is it true that Ledo's leaving?
context: What you have to do is think about who to rely on, and for what,\to make things run smoothly.\Rely on?\You make sure that the items I salvage from the ocean floor benefit the fleet.\That's the kind of person I want to be in charge of the ship.\I'm back!\Sorry I'm late! I'll get dinner going right away.\Hey, is it true that Ledo's leaving? response:	How did you know, Bebel?
context: to make things run smoothly.\Rely on?\You make sure that the items I salvage from the ocean floor benefit the fleet.\That's the kind of person I want to be in charge of the ship.\I'm back!\Sorry I'm late! I'll get dinner going right away.\Hey, is it true that Ledo's leaving?\How did you know, Bebel? response:	The people in the neighborhood were saying they heard it from Pinion.
context: Rely on?\You make sure that the items I salvage from the ocean floor benefit the fleet.\That's the kind of person I want to be in charge of the ship.\I'm back!\Sorry I'm late! I'll get dinner going right away.\Hey, is it true that Ledo's leaving?\How did you know, Bebel?\The people in the neighborhood were saying they heard it from Pinion. response:	Yes. It's too bad, huh?
context: You make sure that the items I salvage from the ocean floor benefit the fleet.\That's the kind of person I want to be in charge of the ship.\I'm back!\Sorry I'm late! I'll get dinner going right away.\Hey, is it true that Ledo's leaving?\How did you know, Bebel?\The people in the neighborhood were saying they heard it from Pinion.\Yes. It's too bad, huh? response:	And I thought we'd become friends...
context: That's the kind of person I want to be in charge of the ship.\I'm back!\Sorry I'm late! I'll get dinner going right away.\Hey, is it true that Ledo's leaving?\How did you know, Bebel?\The people in the neighborhood were saying they heard it from Pinion.\Yes. It's too bad, huh?\And I thought we'd become friends... response:	I wonder why he's going out of his way to do something dangerous.
context: I'm back!\Sorry I'm late! I'll get dinner going right away.\Hey, is it true that Ledo's leaving?\How did you know, Bebel?\The people in the neighborhood were saying they heard it from Pinion.\Yes. It's too bad, huh?\And I thought we'd become friends...\I wonder why he's going out of his way to do something dangerous. response:	That's a good question.
context: Sorry I'm late! I'll get dinner going right away.\Hey, is it true that Ledo's leaving?\How did you know, Bebel?\The people in the neighborhood were saying they heard it from Pinion.\Yes. It's too bad, huh?\And I thought we'd become friends...\I wonder why he's going out of his way to do something dangerous.\That's a good question. response:	That idiot!
context: Hey, is it true that Ledo's leaving?\How did you know, Bebel?\The people in the neighborhood were saying they heard it from Pinion.\Yes. It's too bad, huh?\And I thought we'd become friends...\I wonder why he's going out of his way to do something dangerous.\That's a good question.\That idiot! response:	Sis...
context: How did you know, Bebel?\The people in the neighborhood were saying they heard it from Pinion.\Yes. It's too bad, huh?\And I thought we'd become friends...\I wonder why he's going out of his way to do something dangerous.\That's a good question.\That idiot!\Sis... response:	Why doesn't he care about himself?
context: The people in the neighborhood were saying they heard it from Pinion.\Yes. It's too bad, huh?\And I thought we'd become friends...\I wonder why he's going out of his way to do something dangerous.\That's a good question.\That idiot!\Sis...\Why doesn't he care about himself? response:	At the festival, Ledo looked like he was having a good time. He was laughing!
context: Yes. It's too bad, huh?\And I thought we'd become friends...\I wonder why he's going out of his way to do something dangerous.\That's a good question.\That idiot!\Sis...\Why doesn't he care about himself?\At the festival, Ledo looked like he was having a good time. He was laughing! response:	But now, it seems like he's more tormented than the first time we met!
context: And I thought we'd become friends...\I wonder why he's going out of his way to do something dangerous.\That's a good question.\That idiot!\Sis...\Why doesn't he care about himself?\At the festival, Ledo looked like he was having a good time. He was laughing!\But now, it seems like he's more tormented than the first time we met! response:	Even though I'm sure the way he was at the festival is the true Ledo!
context: I wonder why he's going out of his way to do something dangerous.\That's a good question.\That idiot!\Sis...\Why doesn't he care about himself?\At the festival, Ledo looked like he was having a good time. He was laughing!\But now, it seems like he's more tormented than the first time we met!\Even though I'm sure the way he was at the festival is the true Ledo! response:	There are people who decided to stay here, too.
context: That's a good question.\That idiot!\Sis...\Why doesn't he care about himself?\At the festival, Ledo looked like he was having a good time. He was laughing!\But now, it seems like he's more tormented than the first time we met!\Even though I'm sure the way he was at the festival is the true Ledo!\There are people who decided to stay here, too. response:	How do you intend to deal with the boy?
context: That idiot!\Sis...\Why doesn't he care about himself?\At the festival, Ledo looked like he was having a good time. He was laughing!\But now, it seems like he's more tormented than the first time we met!\Even though I'm sure the way he was at the festival is the true Ledo!\There are people who decided to stay here, too.\How do you intend to deal with the boy? response:	I'm going to let you decide.
context: Sis...\Why doesn't he care about himself?\At the festival, Ledo looked like he was having a good time. He was laughing!\But now, it seems like he's more tormented than the first time we met!\Even though I'm sure the way he was at the festival is the true Ledo!\There are people who decided to stay here, too.\How do you intend to deal with the boy?\I'm going to let you decide. response:	Let me decide...
context: Why doesn't he care about himself?\At the festival, Ledo looked like he was having a good time. He was laughing!\But now, it seems like he's more tormented than the first time we met!\Even though I'm sure the way he was at the festival is the true Ledo!\There are people who decided to stay here, too.\How do you intend to deal with the boy?\I'm going to let you decide.\Let me decide... response:	Bebel...
context: At the festival, Ledo looked like he was having a good time. He was laughing!\But now, it seems like he's more tormented than the first time we met!\Even though I'm sure the way he was at the festival is the true Ledo!\There are people who decided to stay here, too.\How do you intend to deal with the boy?\I'm going to let you decide.\Let me decide...\Bebel... response:	You're going, huh?
context: But now, it seems like he's more tormented than the first time we met!\Even though I'm sure the way he was at the festival is the true Ledo!\There are people who decided to stay here, too.\How do you intend to deal with the boy?\I'm going to let you decide.\Let me decide...\Bebel...\You're going, huh? response:	Yes. I'm going.
context: Even though I'm sure the way he was at the festival is the true Ledo!\There are people who decided to stay here, too.\How do you intend to deal with the boy?\I'm going to let you decide.\Let me decide...\Bebel...\You're going, huh?\Yes. I'm going. response:	Do you have to go?
context: There are people who decided to stay here, too.\How do you intend to deal with the boy?\I'm going to let you decide.\Let me decide...\Bebel...\You're going, huh?\Yes. I'm going.\Do you have to go? response:	Yes.
context: How do you intend to deal with the boy?\I'm going to let you decide.\Let me decide...\Bebel...\You're going, huh?\Yes. I'm going.\Do you have to go?\Yes. response:	Is that what you really want to do, Ledo?
context: I'm going to let you decide.\Let me decide...\Bebel...\You're going, huh?\Yes. I'm going.\Do you have to go?\Yes.\Is that what you really want to do, Ledo? response:	It's to protect the human race. To protect Amy, too.
context: Let me decide...\Bebel...\You're going, huh?\Yes. I'm going.\Do you have to go?\Yes.\Is that what you really want to do, Ledo?\It's to protect the human race. To protect Amy, too. response:	My sister doesn't want that!
context: Bebel...\You're going, huh?\Yes. I'm going.\Do you have to go?\Yes.\Is that what you really want to do, Ledo?\It's to protect the human race. To protect Amy, too.\My sister doesn't want that! response:	I want you to have this.
context: You're going, huh?\Yes. I'm going.\Do you have to go?\Yes.\Is that what you really want to do, Ledo?\It's to protect the human race. To protect Amy, too.\My sister doesn't want that!\I want you to have this. response:	But...
context: Yes. I'm going.\Do you have to go?\Yes.\Is that what you really want to do, Ledo?\It's to protect the human race. To protect Amy, too.\My sister doesn't want that!\I want you to have this.\But... response:	It's important to you, isn't it?
context: Do you have to go?\Yes.\Is that what you really want to do, Ledo?\It's to protect the human race. To protect Amy, too.\My sister doesn't want that!\I want you to have this.\But...\It's important to you, isn't it? response:	A child who looked like me made it.
context: Yes.\Is that what you really want to do, Ledo?\It's to protect the human race. To protect Amy, too.\My sister doesn't want that!\I want you to have this.\But...\It's important to you, isn't it?\A child who looked like me made it. response:	A child who looked like you?
context: Is that what you really want to do, Ledo?\It's to protect the human race. To protect Amy, too.\My sister doesn't want that!\I want you to have this.\But...\It's important to you, isn't it?\A child who looked like me made it.\A child who looked like you? response:	Now that I think of it, it may have been my younger brother.
context: It's to protect the human race. To protect Amy, too.\My sister doesn't want that!\I want you to have this.\But...\It's important to you, isn't it?\A child who looked like me made it.\A child who looked like you?\Now that I think of it, it may have been my younger brother. response:	In that case...
context: My sister doesn't want that!\I want you to have this.\But...\It's important to you, isn't it?\A child who looked like me made it.\A child who looked like you?\Now that I think of it, it may have been my younger brother.\In that case... response:	In the Galactic Alliance, a child who cannot fight cannot survive.
context: I want you to have this.\But...\It's important to you, isn't it?\A child who looked like me made it.\A child who looked like you?\Now that I think of it, it may have been my younger brother.\In that case...\In the Galactic Alliance, a child who cannot fight cannot survive. response:	It is the fault of the Hideauze, who oppress the domain of the human race.
context: But...\It's important to you, isn't it?\A child who looked like me made it.\A child who looked like you?\Now that I think of it, it may have been my younger brother.\In that case...\In the Galactic Alliance, a child who cannot fight cannot survive.\It is the fault of the Hideauze, who oppress the domain of the human race. response:	But...
context: It's important to you, isn't it?\A child who looked like me made it.\A child who looked like you?\Now that I think of it, it may have been my younger brother.\In that case...\In the Galactic Alliance, a child who cannot fight cannot survive.\It is the fault of the Hideauze, who oppress the domain of the human race.\But... response:	Earth Hideauze, too...
context: A child who looked like me made it.\A child who looked like you?\Now that I think of it, it may have been my younger brother.\In that case...\In the Galactic Alliance, a child who cannot fight cannot survive.\It is the fault of the Hideauze, who oppress the domain of the human race.\But...\Earth Hideauze, too... response:	If their domain expands, I am certain they will make war on humans.
context: A child who looked like you?\Now that I think of it, it may have been my younger brother.\In that case...\In the Galactic Alliance, a child who cannot fight cannot survive.\It is the fault of the Hideauze, who oppress the domain of the human race.\But...\Earth Hideauze, too...\If their domain expands, I am certain they will make war on humans. response:	But the whalesquid...
context: Now that I think of it, it may have been my younger brother.\In that case...\In the Galactic Alliance, a child who cannot fight cannot survive.\It is the fault of the Hideauze, who oppress the domain of the human race.\But...\Earth Hideauze, too...\If their domain expands, I am certain they will make war on humans.\But the whalesquid... response:	They are Hideauze.
context: In that case...\In the Galactic Alliance, a child who cannot fight cannot survive.\It is the fault of the Hideauze, who oppress the domain of the human race.\But...\Earth Hideauze, too...\If their domain expands, I am certain they will make war on humans.\But the whalesquid...\They are Hideauze. response:	If things here become like the Galactic Alliance, you will not survive, Bebel.
context: In the Galactic Alliance, a child who cannot fight cannot survive.\It is the fault of the Hideauze, who oppress the domain of the human race.\But...\Earth Hideauze, too...\If their domain expands, I am certain they will make war on humans.\But the whalesquid...\They are Hideauze.\If things here become like the Galactic Alliance, you will not survive, Bebel. response:	I do not want Amy to experience that loss.
context: It is the fault of the Hideauze, who oppress the domain of the human race.\But...\Earth Hideauze, too...\If their domain expands, I am certain they will make war on humans.\But the whalesquid...\They are Hideauze.\If things here become like the Galactic Alliance, you will not survive, Bebel.\I do not want Amy to experience that loss. response:	But you're wrong! You're wrong, Ledo! That won't happen!
context: But...\Earth Hideauze, too...\If their domain expands, I am certain they will make war on humans.\But the whalesquid...\They are Hideauze.\If things here become like the Galactic Alliance, you will not survive, Bebel.\I do not want Amy to experience that loss.\But you're wrong! You're wrong, Ledo! That won't happen! response:	I do not want to make Amy sad.
context: Earth Hideauze, too...\If their domain expands, I am certain they will make war on humans.\But the whalesquid...\They are Hideauze.\If things here become like the Galactic Alliance, you will not survive, Bebel.\I do not want Amy to experience that loss.\But you're wrong! You're wrong, Ledo! That won't happen!\I do not want to make Amy sad. response:	That is why I will bring down the Hideauze.
context: If their domain expands, I am certain they will make war on humans.\But the whalesquid...\They are Hideauze.\If things here become like the Galactic Alliance, you will not survive, Bebel.\I do not want Amy to experience that loss.\But you're wrong! You're wrong, Ledo! That won't happen!\I do not want to make Amy sad.\That is why I will bring down the Hideauze. response:	Please, wait!
context: But the whalesquid...\They are Hideauze.\If things here become like the Galactic Alliance, you will not survive, Bebel.\I do not want Amy to experience that loss.\But you're wrong! You're wrong, Ledo! That won't happen!\I do not want to make Amy sad.\That is why I will bring down the Hideauze.\Please, wait! response:	I apologize for being late.
context: They are Hideauze.\If things here become like the Galactic Alliance, you will not survive, Bebel.\I do not want Amy to experience that loss.\But you're wrong! You're wrong, Ledo! That won't happen!\I do not want to make Amy sad.\That is why I will bring down the Hideauze.\Please, wait!\I apologize for being late. response:	Thank you so much.
context: If things here become like the Galactic Alliance, you will not survive, Bebel.\I do not want Amy to experience that loss.\But you're wrong! You're wrong, Ledo! That won't happen!\I do not want to make Amy sad.\That is why I will bring down the Hideauze.\Please, wait!\I apologize for being late.\Thank you so much. response:	There's something I want to tell everyone.
context: I do not want Amy to experience that loss.\But you're wrong! You're wrong, Ledo! That won't happen!\I do not want to make Amy sad.\That is why I will bring down the Hideauze.\Please, wait!\I apologize for being late.\Thank you so much.\There's something I want to tell everyone. response:	Fairlock entrusted me with Gargantia.
context: But you're wrong! You're wrong, Ledo! That won't happen!\I do not want to make Amy sad.\That is why I will bring down the Hideauze.\Please, wait!\I apologize for being late.\Thank you so much.\There's something I want to tell everyone.\Fairlock entrusted me with Gargantia. response:	The previous commander thought about the future of this fleet to the end.
context: I do not want to make Amy sad.\That is why I will bring down the Hideauze.\Please, wait!\I apologize for being late.\Thank you so much.\There's something I want to tell everyone.\Fairlock entrusted me with Gargantia.\The previous commander thought about the future of this fleet to the end. response:	I want to meet his expectations.
context: That is why I will bring down the Hideauze.\Please, wait!\I apologize for being late.\Thank you so much.\There's something I want to tell everyone.\Fairlock entrusted me with Gargantia.\The previous commander thought about the future of this fleet to the end.\I want to meet his expectations. response:	I want to protect this Gargantia that the former Fleet Commander loved.
context: Please, wait!\I apologize for being late.\Thank you so much.\There's something I want to tell everyone.\Fairlock entrusted me with Gargantia.\The previous commander thought about the future of this fleet to the end.\I want to meet his expectations.\I want to protect this Gargantia that the former Fleet Commander loved. response:	I want to protect this fleet that all of you live on.
context: I apologize for being late.\Thank you so much.\There's something I want to tell everyone.\Fairlock entrusted me with Gargantia.\The previous commander thought about the future of this fleet to the end.\I want to meet his expectations.\I want to protect this Gargantia that the former Fleet Commander loved.\I want to protect this fleet that all of you live on. response:	But my strength wasn't even enough to stop the people who wanted to leave.
context: Thank you so much.\There's something I want to tell everyone.\Fairlock entrusted me with Gargantia.\The previous commander thought about the future of this fleet to the end.\I want to meet his expectations.\I want to protect this Gargantia that the former Fleet Commander loved.\I want to protect this fleet that all of you live on.\But my strength wasn't even enough to stop the people who wanted to leave. response:	I am powerless.
context: There's something I want to tell everyone.\Fairlock entrusted me with Gargantia.\The previous commander thought about the future of this fleet to the end.\I want to meet his expectations.\I want to protect this Gargantia that the former Fleet Commander loved.\I want to protect this fleet that all of you live on.\But my strength wasn't even enough to stop the people who wanted to leave.\I am powerless. response:	But that's exactly why I want all of you to lend me your strength!
context: Fairlock entrusted me with Gargantia.\The previous commander thought about the future of this fleet to the end.\I want to meet his expectations.\I want to protect this Gargantia that the former Fleet Commander loved.\I want to protect this fleet that all of you live on.\But my strength wasn't even enough to stop the people who wanted to leave.\I am powerless.\But that's exactly why I want all of you to lend me your strength! response:	If you want to protect this fleet...
context: The previous commander thought about the future of this fleet to the end.\I want to meet his expectations.\I want to protect this Gargantia that the former Fleet Commander loved.\I want to protect this fleet that all of you live on.\But my strength wasn't even enough to stop the people who wanted to leave.\I am powerless.\But that's exactly why I want all of you to lend me your strength!\If you want to protect this fleet... response:	If you want to protect Gargantia, this fortress that we live on...
context: I want to meet his expectations.\I want to protect this Gargantia that the former Fleet Commander loved.\I want to protect this fleet that all of you live on.\But my strength wasn't even enough to stop the people who wanted to leave.\I am powerless.\But that's exactly why I want all of you to lend me your strength!\If you want to protect this fleet...\If you want to protect Gargantia, this fortress that we live on... response:	Don't sell us short. We're veterans.
context: I want to protect this Gargantia that the former Fleet Commander loved.\I want to protect this fleet that all of you live on.\But my strength wasn't even enough to stop the people who wanted to leave.\I am powerless.\But that's exactly why I want all of you to lend me your strength!\If you want to protect this fleet...\If you want to protect Gargantia, this fortress that we live on...\Don't sell us short. We're veterans. response:	That's right! When you need somebody to count on, you better count on'em!
context: I want to protect this fleet that all of you live on.\But my strength wasn't even enough to stop the people who wanted to leave.\I am powerless.\But that's exactly why I want all of you to lend me your strength!\If you want to protect this fleet...\If you want to protect Gargantia, this fortress that we live on...\Don't sell us short. We're veterans.\That's right! When you need somebody to count on, you better count on'em! response:	There's no point in cryin' over the jerks who left!
context: But my strength wasn't even enough to stop the people who wanted to leave.\I am powerless.\But that's exactly why I want all of you to lend me your strength!\If you want to protect this fleet...\If you want to protect Gargantia, this fortress that we live on...\Don't sell us short. We're veterans.\That's right! When you need somebody to count on, you better count on'em!\There's no point in cryin' over the jerks who left! response:	You stand in the middle and we can build a new fleet!
context: I am powerless.\But that's exactly why I want all of you to lend me your strength!\If you want to protect this fleet...\If you want to protect Gargantia, this fortress that we live on...\Don't sell us short. We're veterans.\That's right! When you need somebody to count on, you better count on'em!\There's no point in cryin' over the jerks who left!\You stand in the middle and we can build a new fleet! response:	Ridget...
context: But that's exactly why I want all of you to lend me your strength!\If you want to protect this fleet...\If you want to protect Gargantia, this fortress that we live on...\Don't sell us short. We're veterans.\That's right! When you need somebody to count on, you better count on'em!\There's no point in cryin' over the jerks who left!\You stand in the middle and we can build a new fleet!\Ridget... response:	That'll do.
context: If you want to protect this fleet...\If you want to protect Gargantia, this fortress that we live on...\Don't sell us short. We're veterans.\That's right! When you need somebody to count on, you better count on'em!\There's no point in cryin' over the jerks who left!\You stand in the middle and we can build a new fleet!\Ridget...\That'll do. response:	Everyone...
context: If you want to protect Gargantia, this fortress that we live on...\Don't sell us short. We're veterans.\That's right! When you need somebody to count on, you better count on'em!\There's no point in cryin' over the jerks who left!\You stand in the middle and we can build a new fleet!\Ridget...\That'll do.\Everyone... response:	Thank you.
context: Don't sell us short. We're veterans.\That's right! When you need somebody to count on, you better count on'em!\There's no point in cryin' over the jerks who left!\You stand in the middle and we can build a new fleet!\Ridget...\That'll do.\Everyone...\Thank you. response:	Ledo...
context: That's right! When you need somebody to count on, you better count on'em!\There's no point in cryin' over the jerks who left!\You stand in the middle and we can build a new fleet!\Ridget...\That'll do.\Everyone...\Thank you.\Ledo... response:	What are you doing there?
context: There's no point in cryin' over the jerks who left!\You stand in the middle and we can build a new fleet!\Ridget...\That'll do.\Everyone...\Thank you.\Ledo...\What are you doing there? response:	I'm going soon.
context: You stand in the middle and we can build a new fleet!\Ridget...\That'll do.\Everyone...\Thank you.\Ledo...\What are you doing there?\I'm going soon. response:	I see...
context: Ridget...\That'll do.\Everyone...\Thank you.\Ledo...\What are you doing there?\I'm going soon.\I see... response:	Ledo, you're really leaving, huh?
