context: So, Sir Trillram. response:	My Landing Castle is about to take its meal,
context: Infrared, acoustic detection, lasers, they're all useless.\There was no echo return.\It doesn't just absorb kinetic energy, but also radio waves and lasers.\I think that's the special characteristic of that wall.\Wall?\The energy field that covers its surface.\Call it a barrier, I guess.\A barrier... response:	Matter, light, sound, radio waves, everything.
context: There was no echo return.\It doesn't just absorb kinetic energy, but also radio waves and lasers.\I think that's the special characteristic of that wall.\Wall?\The energy field that covers its surface.\Call it a barrier, I guess.\A barrier...\Matter, light, sound, radio waves, everything. response:	But if that's the case, how can he see what's on our side of the barrier?
context: It doesn't just absorb kinetic energy, but also radio waves and lasers.\I think that's the special characteristic of that wall.\Wall?\The energy field that covers its surface.\Call it a barrier, I guess.\A barrier...\Matter, light, sound, radio waves, everything.\But if that's the case, how can he see what's on our side of the barrier? response:	Huh...
context: I think that's the special characteristic of that wall.\Wall?\The energy field that covers its surface.\Call it a barrier, I guess.\A barrier...\Matter, light, sound, radio waves, everything.\But if that's the case, how can he see what's on our side of the barrier?\Huh... response:	All information from the outside is blocked by the barrier.
context: Wall?\The energy field that covers its surface.\Call it a barrier, I guess.\A barrier...\Matter, light, sound, radio waves, everything.\But if that's the case, how can he see what's on our side of the barrier?\Huh...\All information from the outside is blocked by the barrier. response:	It's possible that he can't see or hear anything on this side through the barrier.
context: The energy field that covers its surface.\Call it a barrier, I guess.\A barrier...\Matter, light, sound, radio waves, everything.\But if that's the case, how can he see what's on our side of the barrier?\Huh...\All information from the outside is blocked by the barrier.\It's possible that he can't see or hear anything on this side through the barrier. response:	Barrier Absorb
context: Call it a barrier, I guess.\A barrier...\Matter, light, sound, radio waves, everything.\But if that's the case, how can he see what's on our side of the barrier?\Huh...\All information from the outside is blocked by the barrier.\It's possible that he can't see or hear anything on this side through the barrier.\Barrier Absorb response:	In my opinion, the inside surface of that barrier appears completely black.
context: A barrier...\Matter, light, sound, radio waves, everything.\But if that's the case, how can he see what's on our side of the barrier?\Huh...\All information from the outside is blocked by the barrier.\It's possible that he can't see or hear anything on this side through the barrier.\Barrier Absorb\In my opinion, the inside surface of that barrier appears completely black. response:	Light
context: Matter, light, sound, radio waves, everything.\But if that's the case, how can he see what's on our side of the barrier?\Huh...\All information from the outside is blocked by the barrier.\It's possible that he can't see or hear anything on this side through the barrier.\Barrier Absorb\In my opinion, the inside surface of that barrier appears completely black.\Light response:	Light Sound
context: But if that's the case, how can he see what's on our side of the barrier?\Huh...\All information from the outside is blocked by the barrier.\It's possible that he can't see or hear anything on this side through the barrier.\Barrier Absorb\In my opinion, the inside surface of that barrier appears completely black.\Light\Light Sound response:	Light Sound Radio Waves
context: Huh...\All information from the outside is blocked by the barrier.\It's possible that he can't see or hear anything on this side through the barrier.\Barrier Absorb\In my opinion, the inside surface of that barrier appears completely black.\Light\Light Sound\Light Sound Radio Waves response:	But if that's true, why do his attacks hit?
context: All information from the outside is blocked by the barrier.\It's possible that he can't see or hear anything on this side through the barrier.\Barrier Absorb\In my opinion, the inside surface of that barrier appears completely black.\Light\Light Sound\Light Sound Radio Waves\But if that's true, why do his attacks hit? response:	You're right. How can he hit anything if he's not looking?
context: It's possible that he can't see or hear anything on this side through the barrier.\Barrier Absorb\In my opinion, the inside surface of that barrier appears completely black.\Light\Light Sound\Light Sound Radio Waves\But if that's true, why do his attacks hit?\You're right. How can he hit anything if he's not looking? response:	He precisely targeted us from the other side of a building when we were running from him.
context: Barrier Absorb\In my opinion, the inside surface of that barrier appears completely black.\Light\Light Sound\Light Sound Radio Waves\But if that's true, why do his attacks hit?\You're right. How can he hit anything if he's not looking?\He precisely targeted us from the other side of a building when we were running from him. response:	But then, even though he'd been chasing us so relentlessly,
context: In my opinion, the inside surface of that barrier appears completely black.\Light\Light Sound\Light Sound Radio Waves\But if that's true, why do his attacks hit?\You're right. How can he hit anything if he's not looking?\He precisely targeted us from the other side of a building when we were running from him.\But then, even though he'd been chasing us so relentlessly, response:	he gave up the chase the instant we ran into the tunnel.
context: Light\Light Sound\Light Sound Radio Waves\But if that's true, why do his attacks hit?\You're right. How can he hit anything if he's not looking?\He precisely targeted us from the other side of a building when we were running from him.\But then, even though he'd been chasing us so relentlessly,\he gave up the chase the instant we ran into the tunnel. response:	I bet that he wasn't the one who was looking at what was outside the barrier.
context: Light Sound\Light Sound Radio Waves\But if that's true, why do his attacks hit?\You're right. How can he hit anything if he's not looking?\He precisely targeted us from the other side of a building when we were running from him.\But then, even though he'd been chasing us so relentlessly,\he gave up the chase the instant we ran into the tunnel.\I bet that he wasn't the one who was looking at what was outside the barrier. response:	I think that he's using some separate cameras to allow him to see, probably in the sky.
context: Light Sound Radio Waves\But if that's true, why do his attacks hit?\You're right. How can he hit anything if he's not looking?\He precisely targeted us from the other side of a building when we were running from him.\But then, even though he'd been chasing us so relentlessly,\he gave up the chase the instant we ran into the tunnel.\I bet that he wasn't the one who was looking at what was outside the barrier.\I think that he's using some separate cameras to allow him to see, probably in the sky. response:	Something like this.
context: But if that's true, why do his attacks hit?\You're right. How can he hit anything if he's not looking?\He precisely targeted us from the other side of a building when we were running from him.\But then, even though he'd been chasing us so relentlessly,\he gave up the chase the instant we ran into the tunnel.\I bet that he wasn't the one who was looking at what was outside the barrier.\I think that he's using some separate cameras to allow him to see, probably in the sky.\Something like this. response:	That's how he kept managing to track us no matter how far we ran,
context: You're right. How can he hit anything if he's not looking?\He precisely targeted us from the other side of a building when we were running from him.\But then, even though he'd been chasing us so relentlessly,\he gave up the chase the instant we ran into the tunnel.\I bet that he wasn't the one who was looking at what was outside the barrier.\I think that he's using some separate cameras to allow him to see, probably in the sky.\Something like this.\That's how he kept managing to track us no matter how far we ran, response:	and why he didn't want to go into the tunnel.
context: He precisely targeted us from the other side of a building when we were running from him.\But then, even though he'd been chasing us so relentlessly,\he gave up the chase the instant we ran into the tunnel.\I bet that he wasn't the one who was looking at what was outside the barrier.\I think that he's using some separate cameras to allow him to see, probably in the sky.\Something like this.\That's how he kept managing to track us no matter how far we ran,\and why he didn't want to go into the tunnel. response:	It's because he can't see what's in front of him when that barrier is up.
context: But then, even though he'd been chasing us so relentlessly,\he gave up the chase the instant we ran into the tunnel.\I bet that he wasn't the one who was looking at what was outside the barrier.\I think that he's using some separate cameras to allow him to see, probably in the sky.\Something like this.\That's how he kept managing to track us no matter how far we ran,\and why he didn't want to go into the tunnel.\It's because he can't see what's in front of him when that barrier is up. response:	He's probably searching for us from overhead right now.
context: he gave up the chase the instant we ran into the tunnel.\I bet that he wasn't the one who was looking at what was outside the barrier.\I think that he's using some separate cameras to allow him to see, probably in the sky.\Something like this.\That's how he kept managing to track us no matter how far we ran,\and why he didn't want to go into the tunnel.\It's because he can't see what's in front of him when that barrier is up.\He's probably searching for us from overhead right now. response:	That makes sense.
context: I bet that he wasn't the one who was looking at what was outside the barrier.\I think that he's using some separate cameras to allow him to see, probably in the sky.\Something like this.\That's how he kept managing to track us no matter how far we ran,\and why he didn't want to go into the tunnel.\It's because he can't see what's in front of him when that barrier is up.\He's probably searching for us from overhead right now.\That makes sense. response:	And conversely, it means we're safe as long as we stay under cover like we are now.
context: I think that he's using some separate cameras to allow him to see, probably in the sky.\Something like this.\That's how he kept managing to track us no matter how far we ran,\and why he didn't want to go into the tunnel.\It's because he can't see what's in front of him when that barrier is up.\He's probably searching for us from overhead right now.\That makes sense.\And conversely, it means we're safe as long as we stay under cover like we are now. response:	But the instant we go out, he'll spot us.
context: Something like this.\That's how he kept managing to track us no matter how far we ran,\and why he didn't want to go into the tunnel.\It's because he can't see what's in front of him when that barrier is up.\He's probably searching for us from overhead right now.\That makes sense.\And conversely, it means we're safe as long as we stay under cover like we are now.\But the instant we go out, he'll spot us. response:	We'll probably only get one chance at this.
context: That's how he kept managing to track us no matter how far we ran,\and why he didn't want to go into the tunnel.\It's because he can't see what's in front of him when that barrier is up.\He's probably searching for us from overhead right now.\That makes sense.\And conversely, it means we're safe as long as we stay under cover like we are now.\But the instant we go out, he'll spot us.\We'll probably only get one chance at this. response:	Oh come on, we're out of backup batteries...
context: and why he didn't want to go into the tunnel.\It's because he can't see what's in front of him when that barrier is up.\He's probably searching for us from overhead right now.\That makes sense.\And conversely, it means we're safe as long as we stay under cover like we are now.\But the instant we go out, he'll spot us.\We'll probably only get one chance at this.\Oh come on, we're out of backup batteries... response:	And whose turn was it to check them this week?!
context: It's because he can't see what's in front of him when that barrier is up.\He's probably searching for us from overhead right now.\That makes sense.\And conversely, it means we're safe as long as we stay under cover like we are now.\But the instant we go out, he'll spot us.\We'll probably only get one chance at this.\Oh come on, we're out of backup batteries...\And whose turn was it to check them this week?! response:	Frigging Marito...
context: He's probably searching for us from overhead right now.\That makes sense.\And conversely, it means we're safe as long as we stay under cover like we are now.\But the instant we go out, he'll spot us.\We'll probably only get one chance at this.\Oh come on, we're out of backup batteries...\And whose turn was it to check them this week?!\Frigging Marito... response:	Say, Inaho..
context: That makes sense.\And conversely, it means we're safe as long as we stay under cover like we are now.\But the instant we go out, he'll spot us.\We'll probably only get one chance at this.\Oh come on, we're out of backup batteries...\And whose turn was it to check them this week?!\Frigging Marito...\Say, Inaho.. response:	It'll be us three heading out in the Kats.
context: And conversely, it means we're safe as long as we stay under cover like we are now.\But the instant we go out, he'll spot us.\We'll probably only get one chance at this.\Oh come on, we're out of backup batteries...\And whose turn was it to check them this week?!\Frigging Marito...\Say, Inaho..\It'll be us three heading out in the Kats. response:	So we need two more people for the decoy truck, right?
context: But the instant we go out, he'll spot us.\We'll probably only get one chance at this.\Oh come on, we're out of backup batteries...\And whose turn was it to check them this week?!\Frigging Marito...\Say, Inaho..\It'll be us three heading out in the Kats.\So we need two more people for the decoy truck, right? response:	Who do we ask?
context: We'll probably only get one chance at this.\Oh come on, we're out of backup batteries...\And whose turn was it to check them this week?!\Frigging Marito...\Say, Inaho..\It'll be us three heading out in the Kats.\So we need two more people for the decoy truck, right?\Who do we ask? response:	Please, allow me to help.
context: Oh come on, we're out of backup batteries...\And whose turn was it to check them this week?!\Frigging Marito...\Say, Inaho..\It'll be us three heading out in the Kats.\So we need two more people for the decoy truck, right?\Who do we ask?\Please, allow me to help. response:	Princ-
context: And whose turn was it to check them this week?!\Frigging Marito...\Say, Inaho..\It'll be us three heading out in the Kats.\So we need two more people for the decoy truck, right?\Who do we ask?\Please, allow me to help.\Princ- response:	A Scandanavian babe...
context: Frigging Marito...\Say, Inaho..\It'll be us three heading out in the Kats.\So we need two more people for the decoy truck, right?\Who do we ask?\Please, allow me to help.\Princ-\A Scandanavian babe... response:	I feel that it is my duty to go through this time of crisis, this trial.
context: Say, Inaho..\It'll be us three heading out in the Kats.\So we need two more people for the decoy truck, right?\Who do we ask?\Please, allow me to help.\Princ-\A Scandanavian babe...\I feel that it is my duty to go through this time of crisis, this trial. response:	Middle schooler syndrome?
context: It'll be us three heading out in the Kats.\So we need two more people for the decoy truck, right?\Who do we ask?\Please, allow me to help.\Princ-\A Scandanavian babe...\I feel that it is my duty to go through this time of crisis, this trial.\Middle schooler syndrome? response:	Please.
context: So we need two more people for the decoy truck, right?\Who do we ask?\Please, allow me to help.\Princ-\A Scandanavian babe...\I feel that it is my duty to go through this time of crisis, this trial.\Middle schooler syndrome?\Please. response:	He killed my father. Let me take part.
context: Who do we ask?\Please, allow me to help.\Princ-\A Scandanavian babe...\I feel that it is my duty to go through this time of crisis, this trial.\Middle schooler syndrome?\Please.\He killed my father. Let me take part. response:	Our own lives will be on the line.
context: Please, allow me to help.\Princ-\A Scandanavian babe...\I feel that it is my duty to go through this time of crisis, this trial.\Middle schooler syndrome?\Please.\He killed my father. Let me take part.\Our own lives will be on the line. response:	I understand that. You can count on me.
context: Princ-\A Scandanavian babe...\I feel that it is my duty to go through this time of crisis, this trial.\Middle schooler syndrome?\Please.\He killed my father. Let me take part.\Our own lives will be on the line.\I understand that. You can count on me. response:	We carry out the plan tomorrow morning. We leave at first light.
context: A Scandanavian babe...\I feel that it is my duty to go through this time of crisis, this trial.\Middle schooler syndrome?\Please.\He killed my father. Let me take part.\Our own lives will be on the line.\I understand that. You can count on me.\We carry out the plan tomorrow morning. We leave at first light. response:	We're going to drive off that Martian Kataphrakt.
context: I feel that it is my duty to go through this time of crisis, this trial.\Middle schooler syndrome?\Please.\He killed my father. Let me take part.\Our own lives will be on the line.\I understand that. You can count on me.\We carry out the plan tomorrow morning. We leave at first light.\We're going to drive off that Martian Kataphrakt. response:	Still working?
context: Middle schooler syndrome?\Please.\He killed my father. Let me take part.\Our own lives will be on the line.\I understand that. You can count on me.\We carry out the plan tomorrow morning. We leave at first light.\We're going to drive off that Martian Kataphrakt.\Still working? response:	What about you, Inko? Can't sleep?
context: Please.\He killed my father. Let me take part.\Our own lives will be on the line.\I understand that. You can count on me.\We carry out the plan tomorrow morning. We leave at first light.\We're going to drive off that Martian Kataphrakt.\Still working?\What about you, Inko? Can't sleep? response:	The student council office is pretty cold.
context: He killed my father. Let me take part.\Our own lives will be on the line.\I understand that. You can count on me.\We carry out the plan tomorrow morning. We leave at first light.\We're going to drive off that Martian Kataphrakt.\Still working?\What about you, Inko? Can't sleep?\The student council office is pretty cold. response:	Yeah, the heat is turned off. We want to minimize any signs of human habitation.
context: Our own lives will be on the line.\I understand that. You can count on me.\We carry out the plan tomorrow morning. We leave at first light.\We're going to drive off that Martian Kataphrakt.\Still working?\What about you, Inko? Can't sleep?\The student council office is pretty cold.\Yeah, the heat is turned off. We want to minimize any signs of human habitation. response:	Calm is sleeping like a baby, though.
context: I understand that. You can count on me.\We carry out the plan tomorrow morning. We leave at first light.\We're going to drive off that Martian Kataphrakt.\Still working?\What about you, Inko? Can't sleep?\The student council office is pretty cold.\Yeah, the heat is turned off. We want to minimize any signs of human habitation.\Calm is sleeping like a baby, though. response:	I hope he doesn't catch a cold.
context: We carry out the plan tomorrow morning. We leave at first light.\We're going to drive off that Martian Kataphrakt.\Still working?\What about you, Inko? Can't sleep?\The student council office is pretty cold.\Yeah, the heat is turned off. We want to minimize any signs of human habitation.\Calm is sleeping like a baby, though.\I hope he doesn't catch a cold. response:	What?
context: We're going to drive off that Martian Kataphrakt.\Still working?\What about you, Inko? Can't sleep?\The student council office is pretty cold.\Yeah, the heat is turned off. We want to minimize any signs of human habitation.\Calm is sleeping like a baby, though.\I hope he doesn't catch a cold.\What? response:	I mean, you're worried about a cold
context: Still working?\What about you, Inko? Can't sleep?\The student council office is pretty cold.\Yeah, the heat is turned off. We want to minimize any signs of human habitation.\Calm is sleeping like a baby, though.\I hope he doesn't catch a cold.\What?\I mean, you're worried about a cold response:	when you guys might die tomorrow.
context: What about you, Inko? Can't sleep?\The student council office is pretty cold.\Yeah, the heat is turned off. We want to minimize any signs of human habitation.\Calm is sleeping like a baby, though.\I hope he doesn't catch a cold.\What?\I mean, you're worried about a cold\when you guys might die tomorrow. response:	Sorry.
context: The student council office is pretty cold.\Yeah, the heat is turned off. We want to minimize any signs of human habitation.\Calm is sleeping like a baby, though.\I hope he doesn't catch a cold.\What?\I mean, you're worried about a cold\when you guys might die tomorrow.\Sorry. response:	It's okay.
context: Yeah, the heat is turned off. We want to minimize any signs of human habitation.\Calm is sleeping like a baby, though.\I hope he doesn't catch a cold.\What?\I mean, you're worried about a cold\when you guys might die tomorrow.\Sorry.\It's okay. response:	It's not like I'm fearless or anything.
context: Calm is sleeping like a baby, though.\I hope he doesn't catch a cold.\What?\I mean, you're worried about a cold\when you guys might die tomorrow.\Sorry.\It's okay.\It's not like I'm fearless or anything. response:	I thought we were going to be rescued.
context: I hope he doesn't catch a cold.\What?\I mean, you're worried about a cold\when you guys might die tomorrow.\Sorry.\It's okay.\It's not like I'm fearless or anything.\I thought we were going to be rescued. response:	But then they were all... Like they were nothing.
context: What?\I mean, you're worried about a cold\when you guys might die tomorrow.\Sorry.\It's okay.\It's not like I'm fearless or anything.\I thought we were going to be rescued.\But then they were all... Like they were nothing. response:	If that happens to us, we probably won't even know what hit us.
context: I mean, you're worried about a cold\when you guys might die tomorrow.\Sorry.\It's okay.\It's not like I'm fearless or anything.\I thought we were going to be rescued.\But then they were all... Like they were nothing.\If that happens to us, we probably won't even know what hit us. response:	What kind of regrets will I have in that moment?
context: when you guys might die tomorrow.\Sorry.\It's okay.\It's not like I'm fearless or anything.\I thought we were going to be rescued.\But then they were all... Like they were nothing.\If that happens to us, we probably won't even know what hit us.\What kind of regrets will I have in that moment? response:	I can't bear to just sit around doing nothing as I think about that.
context: Sorry.\It's okay.\It's not like I'm fearless or anything.\I thought we were going to be rescued.\But then they were all... Like they were nothing.\If that happens to us, we probably won't even know what hit us.\What kind of regrets will I have in that moment?\I can't bear to just sit around doing nothing as I think about that. response:	That's how I feel. Calm probably does, too.
context: It's okay.\It's not like I'm fearless or anything.\I thought we were going to be rescued.\But then they were all... Like they were nothing.\If that happens to us, we probably won't even know what hit us.\What kind of regrets will I have in that moment?\I can't bear to just sit around doing nothing as I think about that.\That's how I feel. Calm probably does, too. response:	If you're not up for it, Inko...
context: It's not like I'm fearless or anything.\I thought we were going to be rescued.\But then they were all... Like they were nothing.\If that happens to us, we probably won't even know what hit us.\What kind of regrets will I have in that moment?\I can't bear to just sit around doing nothing as I think about that.\That's how I feel. Calm probably does, too.\If you're not up for it, Inko... response:	No, I'm fine. I'll go rest up for tomorrow.
context: I thought we were going to be rescued.\But then they were all... Like they were nothing.\If that happens to us, we probably won't even know what hit us.\What kind of regrets will I have in that moment?\I can't bear to just sit around doing nothing as I think about that.\That's how I feel. Calm probably does, too.\If you're not up for it, Inko...\No, I'm fine. I'll go rest up for tomorrow. response:	Inaho. Don't catch a cold, okay?
context: But then they were all... Like they were nothing.\If that happens to us, we probably won't even know what hit us.\What kind of regrets will I have in that moment?\I can't bear to just sit around doing nothing as I think about that.\That's how I feel. Calm probably does, too.\If you're not up for it, Inko...\No, I'm fine. I'll go rest up for tomorrow.\Inaho. Don't catch a cold, okay? response:	Same to you, Inko.
context: If that happens to us, we probably won't even know what hit us.\What kind of regrets will I have in that moment?\I can't bear to just sit around doing nothing as I think about that.\That's how I feel. Calm probably does, too.\If you're not up for it, Inko...\No, I'm fine. I'll go rest up for tomorrow.\Inaho. Don't catch a cold, okay?\Same to you, Inko. response:	Allow me to thank you again.
context: What kind of regrets will I have in that moment?\I can't bear to just sit around doing nothing as I think about that.\That's how I feel. Calm probably does, too.\If you're not up for it, Inko...\No, I'm fine. I'll go rest up for tomorrow.\Inaho. Don't catch a cold, okay?\Same to you, Inko.\Allow me to thank you again. response:	We five will now carry out the mission
context: I can't bear to just sit around doing nothing as I think about that.\That's how I feel. Calm probably does, too.\If you're not up for it, Inko...\No, I'm fine. I'll go rest up for tomorrow.\Inaho. Don't catch a cold, okay?\Same to you, Inko.\Allow me to thank you again.\We five will now carry out the mission response:	to rescue friendly forces and civilians still remaining in Shinawara's northern district.
context: That's how I feel. Calm probably does, too.\If you're not up for it, Inko...\No, I'm fine. I'll go rest up for tomorrow.\Inaho. Don't catch a cold, okay?\Same to you, Inko.\Allow me to thank you again.\We five will now carry out the mission\to rescue friendly forces and civilians still remaining in Shinawara's northern district. response:	Make that we six.
context: If you're not up for it, Inko...\No, I'm fine. I'll go rest up for tomorrow.\Inaho. Don't catch a cold, okay?\Same to you, Inko.\Allow me to thank you again.\We five will now carry out the mission\to rescue friendly forces and civilians still remaining in Shinawara's northern district.\Make that we six. response:	Captain Magbaredge?
context: No, I'm fine. I'll go rest up for tomorrow.\Inaho. Don't catch a cold, okay?\Same to you, Inko.\Allow me to thank you again.\We five will now carry out the mission\to rescue friendly forces and civilians still remaining in Shinawara's northern district.\Make that we six.\Captain Magbaredge? response:	I've delegated our ferry escort duties to XO Mizusaki.
context: Inaho. Don't catch a cold, okay?\Same to you, Inko.\Allow me to thank you again.\We five will now carry out the mission\to rescue friendly forces and civilians still remaining in Shinawara's northern district.\Make that we six.\Captain Magbaredge?\I've delegated our ferry escort duties to XO Mizusaki. response:	They're to rendezvous with us after the op is complete.
context: Same to you, Inko.\Allow me to thank you again.\We five will now carry out the mission\to rescue friendly forces and civilians still remaining in Shinawara's northern district.\Make that we six.\Captain Magbaredge?\I've delegated our ferry escort duties to XO Mizusaki.\They're to rendezvous with us after the op is complete. response:	Let's get a move on.
context: Allow me to thank you again.\We five will now carry out the mission\to rescue friendly forces and civilians still remaining in Shinawara's northern district.\Make that we six.\Captain Magbaredge?\I've delegated our ferry escort duties to XO Mizusaki.\They're to rendezvous with us after the op is complete.\Let's get a move on. response:	I've taken an interest in you, Lt. Koichiro Marito.
context: We five will now carry out the mission\to rescue friendly forces and civilians still remaining in Shinawara's northern district.\Make that we six.\Captain Magbaredge?\I've delegated our ferry escort duties to XO Mizusaki.\They're to rendezvous with us after the op is complete.\Let's get a move on.\I've taken an interest in you, Lt. Koichiro Marito. response:	Look at that!
context: to rescue friendly forces and civilians still remaining in Shinawara's northern district.\Make that we six.\Captain Magbaredge?\I've delegated our ferry escort duties to XO Mizusaki.\They're to rendezvous with us after the op is complete.\Let's get a move on.\I've taken an interest in you, Lt. Koichiro Marito.\Look at that! response:	A signal round... Three reds.
context: Make that we six.\Captain Magbaredge?\I've delegated our ferry escort duties to XO Mizusaki.\They're to rendezvous with us after the op is complete.\Let's get a move on.\I've taken an interest in you, Lt. Koichiro Marito.\Look at that!\A signal round... Three reds. response:	That's in the direction of the school!
context: Captain Magbaredge?\I've delegated our ferry escort duties to XO Mizusaki.\They're to rendezvous with us after the op is complete.\Let's get a move on.\I've taken an interest in you, Lt. Koichiro Marito.\Look at that!\A signal round... Three reds.\That's in the direction of the school! response:	Commencing attack?!
context: I've delegated our ferry escort duties to XO Mizusaki.\They're to rendezvous with us after the op is complete.\Let's get a move on.\I've taken an interest in you, Lt. Koichiro Marito.\Look at that!\A signal round... Three reds.\That's in the direction of the school!\Commencing attack?! response:	All right, rat... Time to finish you off!
context: They're to rendezvous with us after the op is complete.\Let's get a move on.\I've taken an interest in you, Lt. Koichiro Marito.\Look at that!\A signal round... Three reds.\That's in the direction of the school!\Commencing attack?!\All right, rat... Time to finish you off! response:	We're moving out! Follow me!
context: Let's get a move on.\I've taken an interest in you, Lt. Koichiro Marito.\Look at that!\A signal round... Three reds.\That's in the direction of the school!\Commencing attack?!\All right, rat... Time to finish you off!\We're moving out! Follow me! response:	Damn it! This road's so narrow!
context: I've taken an interest in you, Lt. Koichiro Marito.\Look at that!\A signal round... Three reds.\That's in the direction of the school!\Commencing attack?!\All right, rat... Time to finish you off!\We're moving out! Follow me!\Damn it! This road's so narrow! response:	Don't worry about it! You won't have points deducted today!
context: Look at that!\A signal round... Three reds.\That's in the direction of the school!\Commencing attack?!\All right, rat... Time to finish you off!\We're moving out! Follow me!\Damn it! This road's so narrow!\Don't worry about it! You won't have points deducted today! response:	I see it! 10 o'clock!
context: A signal round... Three reds.\That's in the direction of the school!\Commencing attack?!\All right, rat... Time to finish you off!\We're moving out! Follow me!\Damn it! This road's so narrow!\Don't worry about it! You won't have points deducted today!\I see it! 10 o'clock! response:	There you are, pillbug!
context: That's in the direction of the school!\Commencing attack?!\All right, rat... Time to finish you off!\We're moving out! Follow me!\Damn it! This road's so narrow!\Don't worry about it! You won't have points deducted today!\I see it! 10 o'clock!\There you are, pillbug! response:	Commence operation.
context: Commencing attack?!\All right, rat... Time to finish you off!\We're moving out! Follow me!\Damn it! This road's so narrow!\Don't worry about it! You won't have points deducted today!\I see it! 10 o'clock!\There you are, pillbug!\Commence operation. response:	Why you little... It can't be!
context: All right, rat... Time to finish you off!\We're moving out! Follow me!\Damn it! This road's so narrow!\Don't worry about it! You won't have points deducted today!\I see it! 10 o'clock!\There you are, pillbug!\Commence operation.\Why you little... It can't be! response:	It's stopped moving!
context: We're moving out! Follow me!\Damn it! This road's so narrow!\Don't worry about it! You won't have points deducted today!\I see it! 10 o'clock!\There you are, pillbug!\Commence operation.\Why you little... It can't be!\It's stopped moving! response:	Just like Inaho said!
context: Damn it! This road's so narrow!\Don't worry about it! You won't have points deducted today!\I see it! 10 o'clock!\There you are, pillbug!\Commence operation.\Why you little... It can't be!\It's stopped moving!\Just like Inaho said! response:	Look. Release the safety. Raise it. Fire.
context: Don't worry about it! You won't have points deducted today!\I see it! 10 o'clock!\There you are, pillbug!\Commence operation.\Why you little... It can't be!\It's stopped moving!\Just like Inaho said!\Look. Release the safety. Raise it. Fire. response:	Simple, huh?
context: I see it! 10 o'clock!\There you are, pillbug!\Commence operation.\Why you little... It can't be!\It's stopped moving!\Just like Inaho said!\Look. Release the safety. Raise it. Fire.\Simple, huh? response:	You stinking rats!
context: There you are, pillbug!\Commence operation.\Why you little... It can't be!\It's stopped moving!\Just like Inaho said!\Look. Release the safety. Raise it. Fire.\Simple, huh?\You stinking rats! response:	You okay, Kaizuka?!
context: Commence operation.\Why you little... It can't be!\It's stopped moving!\Just like Inaho said!\Look. Release the safety. Raise it. Fire.\Simple, huh?\You stinking rats!\You okay, Kaizuka?! response:	Lt. Marito!
context: Why you little... It can't be!\It's stopped moving!\Just like Inaho said!\Look. Release the safety. Raise it. Fire.\Simple, huh?\You stinking rats!\You okay, Kaizuka?!\Lt. Marito! response:	Sir Trillram!
context: It's stopped moving!\Just like Inaho said!\Look. Release the safety. Raise it. Fire.\Simple, huh?\You stinking rats!\You okay, Kaizuka?!\Lt. Marito!\Sir Trillram! response:	What in the world is that?
context: Just like Inaho said!\Look. Release the safety. Raise it. Fire.\Simple, huh?\You stinking rats!\You okay, Kaizuka?!\Lt. Marito!\Sir Trillram!\What in the world is that? response:	Hey, this wasn't part of the plan!
context: Look. Release the safety. Raise it. Fire.\Simple, huh?\You stinking rats!\You okay, Kaizuka?!\Lt. Marito!\Sir Trillram!\What in the world is that?\Hey, this wasn't part of the plan! response:	The trailer!
context: Simple, huh?\You stinking rats!\You okay, Kaizuka?!\Lt. Marito!\Sir Trillram!\What in the world is that?\Hey, this wasn't part of the plan!\The trailer! response:	Milord?
context: You stinking rats!\You okay, Kaizuka?!\Lt. Marito!\Sir Trillram!\What in the world is that?\Hey, this wasn't part of the plan!\The trailer!\Milord? response:	Give me its position! Where is it?!
context: You okay, Kaizuka?!\Lt. Marito!\Sir Trillram!\What in the world is that?\Hey, this wasn't part of the plan!\The trailer!\Milord?\Give me its position! Where is it?! response:	T-To your southwest, heading towards the city center.
context: Lt. Marito!\Sir Trillram!\What in the world is that?\Hey, this wasn't part of the plan!\The trailer!\Milord?\Give me its position! Where is it?!\T-To your southwest, heading towards the city center. response:	That guy is crazy...!
context: Sir Trillram!\What in the world is that?\Hey, this wasn't part of the plan!\The trailer!\Milord?\Give me its position! Where is it?!\T-To your southwest, heading towards the city center.\That guy is crazy...! response:	Cover me! That bat's wake is dispersing the smoke!
context: What in the world is that?\Hey, this wasn't part of the plan!\The trailer!\Milord?\Give me its position! Where is it?!\T-To your southwest, heading towards the city center.\That guy is crazy...!\Cover me! That bat's wake is dispersing the smoke! response:	We have to shoot it down!
context: Hey, this wasn't part of the plan!\The trailer!\Milord?\Give me its position! Where is it?!\T-To your southwest, heading towards the city center.\That guy is crazy...!\Cover me! That bat's wake is dispersing the smoke!\We have to shoot it down! response:	Wait, Calm!
context: The trailer!\Milord?\Give me its position! Where is it?!\T-To your southwest, heading towards the city center.\That guy is crazy...!\Cover me! That bat's wake is dispersing the smoke!\We have to shoot it down!\Wait, Calm! response:	Terran Kataphrakts...!
context: Milord?\Give me its position! Where is it?!\T-To your southwest, heading towards the city center.\That guy is crazy...!\Cover me! That bat's wake is dispersing the smoke!\We have to shoot it down!\Wait, Calm!\Terran Kataphrakts...! response:	Forgive me!
