context: *Episode 2 seating change response:	*Take me
context: Abandoned dog?\I got my clothes wet playing with it.\B-By the riverbed?\Over here!\So this was your umbrella.\That's why you were drenched.\I'm so embarrassed.\Oh yeah. It has your name on it. response:	I've been using it since grade school.
context: I got my clothes wet playing with it.\B-By the riverbed?\Over here!\So this was your umbrella.\That's why you were drenched.\I'm so embarrassed.\Oh yeah. It has your name on it.\I've been using it since grade school. response:	Can I keep him?
context: B-By the riverbed?\Over here!\So this was your umbrella.\That's why you were drenched.\I'm so embarrassed.\Oh yeah. It has your name on it.\I've been using it since grade school.\Can I keep him? response:	Really?
context: Over here!\So this was your umbrella.\That's why you were drenched.\I'm so embarrassed.\Oh yeah. It has your name on it.\I've been using it since grade school.\Can I keep him?\Really? response:	Hey.
context: So this was your umbrella.\That's why you were drenched.\I'm so embarrassed.\Oh yeah. It has your name on it.\I've been using it since grade school.\Can I keep him?\Really?\Hey. response:	It's fine, I've built up immunity.
context: That's why you were drenched.\I'm so embarrassed.\Oh yeah. It has your name on it.\I've been using it since grade school.\Can I keep him?\Really?\Hey.\It's fine, I've built up immunity. response:	Immunity?
context: I'm so embarrassed.\Oh yeah. It has your name on it.\I've been using it since grade school.\Can I keep him?\Really?\Hey.\It's fine, I've built up immunity.\Immunity? response:	Animals have always been afraid of me.
context: Oh yeah. It has your name on it.\I've been using it since grade school.\Can I keep him?\Really?\Hey.\It's fine, I've built up immunity.\Immunity?\Animals have always been afraid of me. response:	Kids too.
context: I've been using it since grade school.\Can I keep him?\Really?\Hey.\It's fine, I've built up immunity.\Immunity?\Animals have always been afraid of me.\Kids too. response:	But I like dogs the most.
context: Can I keep him?\Really?\Hey.\It's fine, I've built up immunity.\Immunity?\Animals have always been afraid of me.\Kids too.\But I like dogs the most. response:	Oh yeah, don't they say dogs get attached to their owner when they're friendly with each other?
context: Really?\Hey.\It's fine, I've built up immunity.\Immunity?\Animals have always been afraid of me.\Kids too.\But I like dogs the most.\Oh yeah, don't they say dogs get attached to their owner when they're friendly with each other? response:	See, we're friendly.
context: Hey.\It's fine, I've built up immunity.\Immunity?\Animals have always been afraid of me.\Kids too.\But I like dogs the most.\Oh yeah, don't they say dogs get attached to their owner when they're friendly with each other?\See, we're friendly. response:	Friendly?
context: It's fine, I've built up immunity.\Immunity?\Animals have always been afraid of me.\Kids too.\But I like dogs the most.\Oh yeah, don't they say dogs get attached to their owner when they're friendly with each other?\See, we're friendly.\Friendly? response:	See.
context: Immunity?\Animals have always been afraid of me.\Kids too.\But I like dogs the most.\Oh yeah, don't they say dogs get attached to their owner when they're friendly with each other?\See, we're friendly.\Friendly?\See. response:	It's fine.
context: Animals have always been afraid of me.\Kids too.\But I like dogs the most.\Oh yeah, don't they say dogs get attached to their owner when they're friendly with each other?\See, we're friendly.\Friendly?\See.\It's fine. response:	It's strange, whenever he says it, I feel like it's really true.
context: Kids too.\But I like dogs the most.\Oh yeah, don't they say dogs get attached to their owner when they're friendly with each other?\See, we're friendly.\Friendly?\See.\It's fine.\It's strange, whenever he says it, I feel like it's really true. response:	This is what he's like all the time.
context: But I like dogs the most.\Oh yeah, don't they say dogs get attached to their owner when they're friendly with each other?\See, we're friendly.\Friendly?\See.\It's fine.\It's strange, whenever he says it, I feel like it's really true.\This is what he's like all the time. response:	He has no prejudice against anyone.
context: Oh yeah, don't they say dogs get attached to their owner when they're friendly with each other?\See, we're friendly.\Friendly?\See.\It's fine.\It's strange, whenever he says it, I feel like it's really true.\This is what he's like all the time.\He has no prejudice against anyone. response:	That's why everyone likes him.
context: See, we're friendly.\Friendly?\See.\It's fine.\It's strange, whenever he says it, I feel like it's really true.\This is what he's like all the time.\He has no prejudice against anyone.\That's why everyone likes him. response:	I wonder if dogs are the same.
context: Friendly?\See.\It's fine.\It's strange, whenever he says it, I feel like it's really true.\This is what he's like all the time.\He has no prejudice against anyone.\That's why everyone likes him.\I wonder if dogs are the same. response:	I want to break down this thick wall that I have between me and everyone else.
context: See.\It's fine.\It's strange, whenever he says it, I feel like it's really true.\This is what he's like all the time.\He has no prejudice against anyone.\That's why everyone likes him.\I wonder if dogs are the same.\I want to break down this thick wall that I have between me and everyone else. response:	Even if just a little at a time.
context: It's fine.\It's strange, whenever he says it, I feel like it's really true.\This is what he's like all the time.\He has no prejudice against anyone.\That's why everyone likes him.\I wonder if dogs are the same.\I want to break down this thick wall that I have between me and everyone else.\Even if just a little at a time. response:	I want to be friends with everyone.
context: It's strange, whenever he says it, I feel like it's really true.\This is what he's like all the time.\He has no prejudice against anyone.\That's why everyone likes him.\I wonder if dogs are the same.\I want to break down this thick wall that I have between me and everyone else.\Even if just a little at a time.\I want to be friends with everyone. response:	I have to do it.
context: This is what he's like all the time.\He has no prejudice against anyone.\That's why everyone likes him.\I wonder if dogs are the same.\I want to break down this thick wall that I have between me and everyone else.\Even if just a little at a time.\I want to be friends with everyone.\I have to do it. response:	Yeah, go for it.
context: He has no prejudice against anyone.\That's why everyone likes him.\I wonder if dogs are the same.\I want to break down this thick wall that I have between me and everyone else.\Even if just a little at a time.\I want to be friends with everyone.\I have to do it.\Yeah, go for it. response:	It'll be fine.
context: That's why everyone likes him.\I wonder if dogs are the same.\I want to break down this thick wall that I have between me and everyone else.\Even if just a little at a time.\I want to be friends with everyone.\I have to do it.\Yeah, go for it.\It'll be fine. response:	See you.
context: I wonder if dogs are the same.\I want to break down this thick wall that I have between me and everyone else.\Even if just a little at a time.\I want to be friends with everyone.\I have to do it.\Yeah, go for it.\It'll be fine.\See you. response:	H-Hey, if you don't mind...
context: I want to break down this thick wall that I have between me and everyone else.\Even if just a little at a time.\I want to be friends with everyone.\I have to do it.\Yeah, go for it.\It'll be fine.\See you.\H-Hey, if you don't mind... response:	Can I see it again?
context: Even if just a little at a time.\I want to be friends with everyone.\I have to do it.\Yeah, go for it.\It'll be fine.\See you.\H-Hey, if you don't mind...\Can I see it again? response:	What, just the dog?
context: I want to be friends with everyone.\I have to do it.\Yeah, go for it.\It'll be fine.\See you.\H-Hey, if you don't mind...\Can I see it again?\What, just the dog? response:	What about me?
context: I have to do it.\Yeah, go for it.\It'll be fine.\See you.\H-Hey, if you don't mind...\Can I see it again?\What, just the dog?\What about me? response:	You too, of course.
context: Yeah, go for it.\It'll be fine.\See you.\H-Hey, if you don't mind...\Can I see it again?\What, just the dog?\What about me?\You too, of course. response:	Of course.
context: It'll be fine.\See you.\H-Hey, if you don't mind...\Can I see it again?\What, just the dog?\What about me?\You too, of course.\Of course. response:	Sure, then.
context: See you.\H-Hey, if you don't mind...\Can I see it again?\What, just the dog?\What about me?\You too, of course.\Of course.\Sure, then. response:	It's weird, Kazehaya-kun.
context: H-Hey, if you don't mind...\Can I see it again?\What, just the dog?\What about me?\You too, of course.\Of course.\Sure, then.\It's weird, Kazehaya-kun. response:	Why is it?
context: Can I see it again?\What, just the dog?\What about me?\You too, of course.\Of course.\Sure, then.\It's weird, Kazehaya-kun.\Why is it? response:	I don't feel a wall between us.
context: What, just the dog?\What about me?\You too, of course.\Of course.\Sure, then.\It's weird, Kazehaya-kun.\Why is it?\I don't feel a wall between us. response:	This is a first for me.
context: What about me?\You too, of course.\Of course.\Sure, then.\It's weird, Kazehaya-kun.\Why is it?\I don't feel a wall between us.\This is a first for me. response:	Maybe I should wait until after school to give this to him.
context: You too, of course.\Of course.\Sure, then.\It's weird, Kazehaya-kun.\Why is it?\I don't feel a wall between us.\This is a first for me.\Maybe I should wait until after school to give this to him. response:	When there's no one around.
context: Of course.\Sure, then.\It's weird, Kazehaya-kun.\Why is it?\I don't feel a wall between us.\This is a first for me.\Maybe I should wait until after school to give this to him.\When there's no one around. response:	But I wonder if he'll eat them.
context: Sure, then.\It's weird, Kazehaya-kun.\Why is it?\I don't feel a wall between us.\This is a first for me.\Maybe I should wait until after school to give this to him.\When there's no one around.\But I wonder if he'll eat them. response:	They're hand-made too.
context: It's weird, Kazehaya-kun.\Why is it?\I don't feel a wall between us.\This is a first for me.\Maybe I should wait until after school to give this to him.\When there's no one around.\But I wonder if he'll eat them.\They're hand-made too. response:	Maybe I overdid it.
context: Why is it?\I don't feel a wall between us.\This is a first for me.\Maybe I should wait until after school to give this to him.\When there's no one around.\But I wonder if he'll eat them.\They're hand-made too.\Maybe I overdid it. response:	I'm breaking out in a cold sweat.
context: I don't feel a wall between us.\This is a first for me.\Maybe I should wait until after school to give this to him.\When there's no one around.\But I wonder if he'll eat them.\They're hand-made too.\Maybe I overdid it.\I'm breaking out in a cold sweat. response:	I thought I was used to having this sort of thing rejected.
context: This is a first for me.\Maybe I should wait until after school to give this to him.\When there's no one around.\But I wonder if he'll eat them.\They're hand-made too.\Maybe I overdid it.\I'm breaking out in a cold sweat.\I thought I was used to having this sort of thing rejected. response:	Morning.
context: Maybe I should wait until after school to give this to him.\When there's no one around.\But I wonder if he'll eat them.\They're hand-made too.\Maybe I overdid it.\I'm breaking out in a cold sweat.\I thought I was used to having this sort of thing rejected.\Morning. response:	Morning.
context: When there's no one around.\But I wonder if he'll eat them.\They're hand-made too.\Maybe I overdid it.\I'm breaking out in a cold sweat.\I thought I was used to having this sort of thing rejected.\Morning.\Morning. response:	You have math in the first hour, huh?
context: But I wonder if he'll eat them.\They're hand-made too.\Maybe I overdid it.\I'm breaking out in a cold sweat.\I thought I was used to having this sort of thing rejected.\Morning.\Morning.\You have math in the first hour, huh? response:	We're in separate classes, right?
context: They're hand-made too.\Maybe I overdid it.\I'm breaking out in a cold sweat.\I thought I was used to having this sort of thing rejected.\Morning.\Morning.\You have math in the first hour, huh?\We're in separate classes, right? response:	Y-Yeah...
context: Maybe I overdid it.\I'm breaking out in a cold sweat.\I thought I was used to having this sort of thing rejected.\Morning.\Morning.\You have math in the first hour, huh?\We're in separate classes, right?\Y-Yeah... response:	That dog...
context: I'm breaking out in a cold sweat.\I thought I was used to having this sort of thing rejected.\Morning.\Morning.\You have math in the first hour, huh?\We're in separate classes, right?\Y-Yeah...\That dog... response:	He's doing well.
context: I thought I was used to having this sort of thing rejected.\Morning.\Morning.\You have math in the first hour, huh?\We're in separate classes, right?\Y-Yeah...\That dog...\He's doing well. response:	I still haven't chosen a name though.
context: Morning.\Morning.\You have math in the first hour, huh?\We're in separate classes, right?\Y-Yeah...\That dog...\He's doing well.\I still haven't chosen a name though. response:	It'll be fine.
context: Morning.\You have math in the first hour, huh?\We're in separate classes, right?\Y-Yeah...\That dog...\He's doing well.\I still haven't chosen a name though.\It'll be fine. response:	Kazehaya.
context: You have math in the first hour, huh?\We're in separate classes, right?\Y-Yeah...\That dog...\He's doing well.\I still haven't chosen a name though.\It'll be fine.\Kazehaya. response:	See you.
context: We're in separate classes, right?\Y-Yeah...\That dog...\He's doing well.\I still haven't chosen a name though.\It'll be fine.\Kazehaya.\See you. response:	I hope he likes the cookies.
context: Y-Yeah...\That dog...\He's doing well.\I still haven't chosen a name though.\It'll be fine.\Kazehaya.\See you.\I hope he likes the cookies. response:	Hey, that seat's open.
context: That dog...\He's doing well.\I still haven't chosen a name though.\It'll be fine.\Kazehaya.\See you.\I hope he likes the cookies.\Hey, that seat's open. response:	In the front?
context: He's doing well.\I still haven't chosen a name though.\It'll be fine.\Kazehaya.\See you.\I hope he likes the cookies.\Hey, that seat's open.\In the front? response:	Seriously?
context: I still haven't chosen a name though.\It'll be fine.\Kazehaya.\See you.\I hope he likes the cookies.\Hey, that seat's open.\In the front?\Seriously? response:	Why not? The seat next to it is empty too.
context: It'll be fine.\Kazehaya.\See you.\I hope he likes the cookies.\Hey, that seat's open.\In the front?\Seriously?\Why not? The seat next to it is empty too. response:	Who's usually here, again?
context: Kazehaya.\See you.\I hope he likes the cookies.\Hey, that seat's open.\In the front?\Seriously?\Why not? The seat next to it is empty too.\Who's usually here, again? response:	Sadako.
context: See you.\I hope he likes the cookies.\Hey, that seat's open.\In the front?\Seriously?\Why not? The seat next to it is empty too.\Who's usually here, again?\Sadako. response:	Sadako?
context: I hope he likes the cookies.\Hey, that seat's open.\In the front?\Seriously?\Why not? The seat next to it is empty too.\Who's usually here, again?\Sadako.\Sadako? response:	Yuka sat in Sadako's seat and stayed home sick for a week.
context: Hey, that seat's open.\In the front?\Seriously?\Why not? The seat next to it is empty too.\Who's usually here, again?\Sadako.\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week. response:	Go for it.
context: In the front?\Seriously?\Why not? The seat next to it is empty too.\Who's usually here, again?\Sadako.\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it. response:	Um...
context: Seriously?\Why not? The seat next to it is empty too.\Who's usually here, again?\Sadako.\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um... response:	It's fine.
context: Why not? The seat next to it is empty too.\Who's usually here, again?\Sadako.\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um...\It's fine. response:	It's not dirty.
context: Who's usually here, again?\Sadako.\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um...\It's fine.\It's not dirty. response:	Nothing will happen if you sit there.
context: Sadako.\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um...\It's fine.\It's not dirty.\Nothing will happen if you sit there. response:	I don't have the ability to make you sick.
context: Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um...\It's fine.\It's not dirty.\Nothing will happen if you sit there.\I don't have the ability to make you sick. response:	Besides, I don't have any psychic aura or anything either.
context: Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um...\It's fine.\It's not dirty.\Nothing will happen if you sit there.\I don't have the ability to make you sick.\Besides, I don't have any psychic aura or anything either. response:	I said it.
context: Go for it.\Um...\It's fine.\It's not dirty.\Nothing will happen if you sit there.\I don't have the ability to make you sick.\Besides, I don't have any psychic aura or anything either.\I said it. response:	I said it!
context: Um...\It's fine.\It's not dirty.\Nothing will happen if you sit there.\I don't have the ability to make you sick.\Besides, I don't have any psychic aura or anything either.\I said it.\I said it! response:	Next time...
context: It's fine.\It's not dirty.\Nothing will happen if you sit there.\I don't have the ability to make you sick.\Besides, I don't have any psychic aura or anything either.\I said it.\I said it!\Next time... response:	There's always next time.
context: It's not dirty.\Nothing will happen if you sit there.\I don't have the ability to make you sick.\Besides, I don't have any psychic aura or anything either.\I said it.\I said it!\Next time...\There's always next time. response:	It won't happen right away.
context: Nothing will happen if you sit there.\I don't have the ability to make you sick.\Besides, I don't have any psychic aura or anything either.\I said it.\I said it!\Next time...\There's always next time.\It won't happen right away. response:	We'll rearrange seating during homeroom. Figure it out amongst yourselves.
context: I don't have the ability to make you sick.\Besides, I don't have any psychic aura or anything either.\I said it.\I said it!\Next time...\There's always next time.\It won't happen right away.\We'll rearrange seating during homeroom. Figure it out amongst yourselves. response:	Don't make a racket.
context: Besides, I don't have any psychic aura or anything either.\I said it.\I said it!\Next time...\There's always next time.\It won't happen right away.\We'll rearrange seating during homeroom. Figure it out amongst yourselves.\Don't make a racket. response:	Seating change!
context: I said it.\I said it!\Next time...\There's always next time.\It won't happen right away.\We'll rearrange seating during homeroom. Figure it out amongst yourselves.\Don't make a racket.\Seating change! response:	Sensei looked pale.
context: I said it!\Next time...\There's always next time.\It won't happen right away.\We'll rearrange seating during homeroom. Figure it out amongst yourselves.\Don't make a racket.\Seating change!\Sensei looked pale. response:	I think he's been sick since summer break.
context: Next time...\There's always next time.\It won't happen right away.\We'll rearrange seating during homeroom. Figure it out amongst yourselves.\Don't make a racket.\Seating change!\Sensei looked pale.\I think he's been sick since summer break. response:	Summer brea
context: There's always next time.\It won't happen right away.\We'll rearrange seating during homeroom. Figure it out amongst yourselves.\Don't make a racket.\Seating change!\Sensei looked pale.\I think he's been sick since summer break.\Summer brea response:	Is it because he made Sadako run more errands?
context: It won't happen right away.\We'll rearrange seating during homeroom. Figure it out amongst yourselves.\Don't make a racket.\Seating change!\Sensei looked pale.\I think he's been sick since summer break.\Summer brea\Is it because he made Sadako run more errands? response:	Didn't Ueda's grades drop? He was beside Sadako.
context: We'll rearrange seating during homeroom. Figure it out amongst yourselves.\Don't make a racket.\Seating change!\Sensei looked pale.\I think he's been sick since summer break.\Summer brea\Is it because he made Sadako run more errands?\Didn't Ueda's grades drop? He was beside Sadako. response:	Nakanishi broke a leg.
context: Don't make a racket.\Seating change!\Sensei looked pale.\I think he's been sick since summer break.\Summer brea\Is it because he made Sadako run more errands?\Didn't Ueda's grades drop? He was beside Sadako.\Nakanishi broke a leg. response:	Remember he said some nasty things to Sadako at the test of courage?
context: Seating change!\Sensei looked pale.\I think he's been sick since summer break.\Summer brea\Is it because he made Sadako run more errands?\Didn't Ueda's grades drop? He was beside Sadako.\Nakanishi broke a leg.\Remember he said some nasty things to Sadako at the test of courage? response:	Let's just do the seating change.
context: Sensei looked pale.\I think he's been sick since summer break.\Summer brea\Is it because he made Sadako run more errands?\Didn't Ueda's grades drop? He was beside Sadako.\Nakanishi broke a leg.\Remember he said some nasty things to Sadako at the test of courage?\Let's just do the seating change. response:	Yeah...
context: I think he's been sick since summer break.\Summer brea\Is it because he made Sadako run more errands?\Didn't Ueda's grades drop? He was beside Sadako.\Nakanishi broke a leg.\Remember he said some nasty things to Sadako at the test of courage?\Let's just do the seating change.\Yeah... response:	Seating change huh?
context: Summer brea\Is it because he made Sadako run more errands?\Didn't Ueda's grades drop? He was beside Sadako.\Nakanishi broke a leg.\Remember he said some nasty things to Sadako at the test of courage?\Let's just do the seating change.\Yeah...\Seating change huh? response:	I hope I can become good friends with whoever's next to me.
context: Is it because he made Sadako run more errands?\Didn't Ueda's grades drop? He was beside Sadako.\Nakanishi broke a leg.\Remember he said some nasty things to Sadako at the test of courage?\Let's just do the seating change.\Yeah...\Seating change huh?\I hope I can become good friends with whoever's next to me. response:	Is it just me or is everyone watching me?
context: Didn't Ueda's grades drop? He was beside Sadako.\Nakanishi broke a leg.\Remember he said some nasty things to Sadako at the test of courage?\Let's just do the seating change.\Yeah...\Seating change huh?\I hope I can become good friends with whoever's next to me.\Is it just me or is everyone watching me? response:	Please don't let me be beside, behind, in front or diagonal to Sadako.
context: Nakanishi broke a leg.\Remember he said some nasty things to Sadako at the test of courage?\Let's just do the seating change.\Yeah...\Seating change huh?\I hope I can become good friends with whoever's next to me.\Is it just me or is everyone watching me?\Please don't let me be beside, behind, in front or diagonal to Sadako. response:	Kazehaya, what number?
context: Remember he said some nasty things to Sadako at the test of courage?\Let's just do the seating change.\Yeah...\Seating change huh?\I hope I can become good friends with whoever's next to me.\Is it just me or is everyone watching me?\Please don't let me be beside, behind, in front or diagonal to Sadako.\Kazehaya, what number? response:	32.
context: Let's just do the seating change.\Yeah...\Seating change huh?\I hope I can become good friends with whoever's next to me.\Is it just me or is everyone watching me?\Please don't let me be beside, behind, in front or diagonal to Sadako.\Kazehaya, what number?\32. response:	You're next to me.
context: Yeah...\Seating change huh?\I hope I can become good friends with whoever's next to me.\Is it just me or is everyone watching me?\Please don't let me be beside, behind, in front or diagonal to Sadako.\Kazehaya, what number?\32.\You're next to me. response:	Seriously?
context: Seating change huh?\I hope I can become good friends with whoever's next to me.\Is it just me or is everyone watching me?\Please don't let me be beside, behind, in front or diagonal to Sadako.\Kazehaya, what number?\32.\You're next to me.\Seriously? response:	Trade, please?
context: I hope I can become good friends with whoever's next to me.\Is it just me or is everyone watching me?\Please don't let me be beside, behind, in front or diagonal to Sadako.\Kazehaya, what number?\32.\You're next to me.\Seriously?\Trade, please? response:	Please? Pretty please?
context: Is it just me or is everyone watching me?\Please don't let me be beside, behind, in front or diagonal to Sadako.\Kazehaya, what number?\32.\You're next to me.\Seriously?\Trade, please?\Please? Pretty please? response:	He's in there.
context: Please don't let me be beside, behind, in front or diagonal to Sadako.\Kazehaya, what number?\32.\You're next to me.\Seriously?\Trade, please?\Please? Pretty please?\He's in there. response:	It sort of sucks that I have no one to share my joy and sadness with at times like this.
context: Kazehaya, what number?\32.\You're next to me.\Seriously?\Trade, please?\Please? Pretty please?\He's in there.\It sort of sucks that I have no one to share my joy and sadness with at times like this. response:	Come on, I'm at the front.
context: 32.\You're next to me.\Seriously?\Trade, please?\Please? Pretty please?\He's in there.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Come on, I'm at the front. response:	Poor you.
context: You're next to me.\Seriously?\Trade, please?\Please? Pretty please?\He's in there.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Come on, I'm at the front.\Poor you. response:	Um...
context: Seriously?\Trade, please?\Please? Pretty please?\He's in there.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Come on, I'm at the front.\Poor you.\Um... response:	I'm at the back.
context: Trade, please?\Please? Pretty please?\He's in there.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Come on, I'm at the front.\Poor you.\Um...\I'm at the back. response:	Do you want this?
context: Please? Pretty please?\He's in there.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Come on, I'm at the front.\Poor you.\Um...\I'm at the back.\Do you want this? response:	It's fine, I'm sorry.
context: He's in there.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Come on, I'm at the front.\Poor you.\Um...\I'm at the back.\Do you want this?\It's fine, I'm sorry. response:	Sorry!
context: It sort of sucks that I have no one to share my joy and sadness with at times like this.\Come on, I'm at the front.\Poor you.\Um...\I'm at the back.\Do you want this?\It's fine, I'm sorry.\Sorry! response:	Sadako's number 3!
context: Come on, I'm at the front.\Poor you.\Um...\I'm at the back.\Do you want this?\It's fine, I'm sorry.\Sorry!\Sadako's number 3! response:	Who's next to her?
context: Poor you.\Um...\I'm at the back.\Do you want this?\It's fine, I'm sorry.\Sorry!\Sadako's number 3!\Who's next to her? response:	12, 19, 25.
context: Um...\I'm at the back.\Do you want this?\It's fine, I'm sorry.\Sorry!\Sadako's number 3!\Who's next to her?\12, 19, 25. response:	Thank god, I'm not next to her.
context: I'm at the back.\Do you want this?\It's fine, I'm sorry.\Sorry!\Sadako's number 3!\Who's next to her?\12, 19, 25.\Thank god, I'm not next to her. response:	Number 19 better watch out.
context: Do you want this?\It's fine, I'm sorry.\Sorry!\Sadako's number 3!\Who's next to her?\12, 19, 25.\Thank god, I'm not next to her.\Number 19 better watch out. response:	That's right next to her.
context: It's fine, I'm sorry.\Sorry!\Sadako's number 3!\Who's next to her?\12, 19, 25.\Thank god, I'm not next to her.\Number 19 better watch out.\That's right next to her. response:	That hurts! I heard all of it!
context: Sorry!\Sadako's number 3!\Who's next to her?\12, 19, 25.\Thank god, I'm not next to her.\Number 19 better watch out.\That's right next to her.\That hurts! I heard all of it! response:	But oh well.
context: Sadako's number 3!\Who's next to her?\12, 19, 25.\Thank god, I'm not next to her.\Number 19 better watch out.\That's right next to her.\That hurts! I heard all of it!\But oh well. response:	I wish I could tell someone that I'm glad I'm here.
context: Who's next to her?\12, 19, 25.\Thank god, I'm not next to her.\Number 19 better watch out.\That's right next to her.\That hurts! I heard all of it!\But oh well.\I wish I could tell someone that I'm glad I'm here. response:	Number 19, switch with me, please?
context: 12, 19, 25.\Thank god, I'm not next to her.\Number 19 better watch out.\That's right next to her.\That hurts! I heard all of it!\But oh well.\I wish I could tell someone that I'm glad I'm here.\Number 19, switch with me, please? response:	Yay, I'm next to you.
context: Thank god, I'm not next to her.\Number 19 better watch out.\That's right next to her.\That hurts! I heard all of it!\But oh well.\I wish I could tell someone that I'm glad I'm here.\Number 19, switch with me, please?\Yay, I'm next to you. response:	You can have this back.
context: Number 19 better watch out.\That's right next to her.\That hurts! I heard all of it!\But oh well.\I wish I could tell someone that I'm glad I'm here.\Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back. response:	Yoshida, your draw
context: That's right next to her.\That hurts! I heard all of it!\But oh well.\I wish I could tell someone that I'm glad I'm here.\Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back.\Yoshida, your draw response:	No thanks, don't need one.
context: That hurts! I heard all of it!\But oh well.\I wish I could tell someone that I'm glad I'm here.\Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back.\Yoshida, your draw\No thanks, don't need one. response:	Got a problem?
context: But oh well.\I wish I could tell someone that I'm glad I'm here.\Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back.\Yoshida, your draw\No thanks, don't need one.\Got a problem? response:	Ryuu, move!
context: I wish I could tell someone that I'm glad I'm here.\Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back.\Yoshida, your draw\No thanks, don't need one.\Got a problem?\Ryuu, move! response:	Make me.
context: Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back.\Yoshida, your draw\No thanks, don't need one.\Got a problem?\Ryuu, move!\Make me. response:	You don't need to be here.
context: Yay, I'm next to you.\You can have this back.\Yoshida, your draw\No thanks, don't need one.\Got a problem?\Ryuu, move!\Make me.\You don't need to be here. response:	This is my seat.
context: You can have this back.\Yoshida, your draw\No thanks, don't need one.\Got a problem?\Ryuu, move!\Make me.\You don't need to be here.\This is my seat. response:	By the window, at the back.
context: Yoshida, your draw\No thanks, don't need one.\Got a problem?\Ryuu, move!\Make me.\You don't need to be here.\This is my seat.\By the window, at the back. response:	Hey,
context: No thanks, don't need one.\Got a problem?\Ryuu, move!\Make me.\You don't need to be here.\This is my seat.\By the window, at the back.\Hey, response:	I made cookies to thank you for yesterday.
context: Got a problem?\Ryuu, move!\Make me.\You don't need to be here.\This is my seat.\By the window, at the back.\Hey,\I made cookies to thank you for yesterday. response:	Want some?
context: Ryuu, move!\Make me.\You don't need to be here.\This is my seat.\By the window, at the back.\Hey,\I made cookies to thank you for yesterday.\Want some? response:	For me too?
context: Make me.\You don't need to be here.\This is my seat.\By the window, at the back.\Hey,\I made cookies to thank you for yesterday.\Want some?\For me too? response:	Yeah...
context: You don't need to be here.\This is my seat.\By the window, at the back.\Hey,\I made cookies to thank you for yesterday.\Want some?\For me too?\Yeah... response:	And the jersey you lent me.
context: This is my seat.\By the window, at the back.\Hey,\I made cookies to thank you for yesterday.\Want some?\For me too?\Yeah...\And the jersey you lent me. response:	It's really good.
context: By the window, at the back.\Hey,\I made cookies to thank you for yesterday.\Want some?\For me too?\Yeah...\And the jersey you lent me.\It's really good. response:	Thanks.
context: Hey,\I made cookies to thank you for yesterday.\Want some?\For me too?\Yeah...\And the jersey you lent me.\It's really good.\Thanks. response:	You baked those?
context: I made cookies to thank you for yesterday.\Want some?\For me too?\Yeah...\And the jersey you lent me.\It's really good.\Thanks.\You baked those? response:	Yeah.
context: Want some?\For me too?\Yeah...\And the jersey you lent me.\It's really good.\Thanks.\You baked those?\Yeah. response:	Thank you, that's so thoughtful!
context: For me too?\Yeah...\And the jersey you lent me.\It's really good.\Thanks.\You baked those?\Yeah.\Thank you, that's so thoughtful! response:	You're right, they're good.
context: Yeah...\And the jersey you lent me.\It's really good.\Thanks.\You baked those?\Yeah.\Thank you, that's so thoughtful!\You're right, they're good. response:	I'm hungry.
context: And the jersey you lent me.\It's really good.\Thanks.\You baked those?\Yeah.\Thank you, that's so thoughtful!\You're right, they're good.\I'm hungry. response:	You just had lunch.
context: It's really good.\Thanks.\You baked those?\Yeah.\Thank you, that's so thoughtful!\You're right, they're good.\I'm hungry.\You just had lunch. response:	I'm hun
context: Thanks.\You baked those?\Yeah.\Thank you, that's so thoughtful!\You're right, they're good.\I'm hungry.\You just had lunch.\I'm hun response:	I'm...
context: You baked those?\Yeah.\Thank you, that's so thoughtful!\You're right, they're good.\I'm hungry.\You just had lunch.\I'm hun\I'm... response:	so glad...
context: Yeah.\Thank you, that's so thoughtful!\You're right, they're good.\I'm hungry.\You just had lunch.\I'm hun\I'm...\so glad... response:	I got this seat.
context: Thank you, that's so thoughtful!\You're right, they're good.\I'm hungry.\You just had lunch.\I'm hun\I'm...\so glad...\I got this seat. response:	I'm so happy,
