context: Pre! Preparation! response:	I'm not strong
context: Kanou, the current president, will be leaving next week to study abroad.\It's probably because of the president that Kitamura is...\That dumbass!\Takasu?\I'm sorry I didn't tell you guys about it.\You hold back too much, Kitamura.\I didn't tell anyone because I thought it was pretty lame.\I mean, I'm in love with the president. response:	I heard that Kanou-senpai is leaving for America next week.
context: It's probably because of the president that Kitamura is...\That dumbass!\Takasu?\I'm sorry I didn't tell you guys about it.\You hold back too much, Kitamura.\I didn't tell anyone because I thought it was pretty lame.\I mean, I'm in love with the president.\I heard that Kanou-senpai is leaving for America next week. response:	Yeah, she wants to be an astronaut.
context: That dumbass!\Takasu?\I'm sorry I didn't tell you guys about it.\You hold back too much, Kitamura.\I didn't tell anyone because I thought it was pretty lame.\I mean, I'm in love with the president.\I heard that Kanou-senpai is leaving for America next week.\Yeah, she wants to be an astronaut. response:	A professor at an astronautics academy there personally accepted her.
context: Takasu?\I'm sorry I didn't tell you guys about it.\You hold back too much, Kitamura.\I didn't tell anyone because I thought it was pretty lame.\I mean, I'm in love with the president.\I heard that Kanou-senpai is leaving for America next week.\Yeah, she wants to be an astronaut.\A professor at an astronautics academy there personally accepted her. response:	That's incredible.
context: I'm sorry I didn't tell you guys about it.\You hold back too much, Kitamura.\I didn't tell anyone because I thought it was pretty lame.\I mean, I'm in love with the president.\I heard that Kanou-senpai is leaving for America next week.\Yeah, she wants to be an astronaut.\A professor at an astronautics academy there personally accepted her.\That's incredible. response:	I hadn't heard anything about this before.
context: You hold back too much, Kitamura.\I didn't tell anyone because I thought it was pretty lame.\I mean, I'm in love with the president.\I heard that Kanou-senpai is leaving for America next week.\Yeah, she wants to be an astronaut.\A professor at an astronautics academy there personally accepted her.\That's incredible.\I hadn't heard anything about this before. response:	Actually, I was planning to confess once I became student council president.
context: I didn't tell anyone because I thought it was pretty lame.\I mean, I'm in love with the president.\I heard that Kanou-senpai is leaving for America next week.\Yeah, she wants to be an astronaut.\A professor at an astronautics academy there personally accepted her.\That's incredible.\I hadn't heard anything about this before.\Actually, I was planning to confess once I became student council president. response:	I figured she'd respect me by then.
context: I mean, I'm in love with the president.\I heard that Kanou-senpai is leaving for America next week.\Yeah, she wants to be an astronaut.\A professor at an astronautics academy there personally accepted her.\That's incredible.\I hadn't heard anything about this before.\Actually, I was planning to confess once I became student council president.\I figured she'd respect me by then. response:	However, by the time I become student council president, she'll be gone.
context: I heard that Kanou-senpai is leaving for America next week.\Yeah, she wants to be an astronaut.\A professor at an astronautics academy there personally accepted her.\That's incredible.\I hadn't heard anything about this before.\Actually, I was planning to confess once I became student council president.\I figured she'd respect me by then.\However, by the time I become student council president, she'll be gone. response:	I asked myself if there were any other reasons to get elected,
context: Yeah, she wants to be an astronaut.\A professor at an astronautics academy there personally accepted her.\That's incredible.\I hadn't heard anything about this before.\Actually, I was planning to confess once I became student council president.\I figured she'd respect me by then.\However, by the time I become student council president, she'll be gone.\I asked myself if there were any other reasons to get elected, response:	and after thinking about it, I got scared and decided to give up.
context: A professor at an astronautics academy there personally accepted her.\That's incredible.\I hadn't heard anything about this before.\Actually, I was planning to confess once I became student council president.\I figured she'd respect me by then.\However, by the time I become student council president, she'll be gone.\I asked myself if there were any other reasons to get elected,\and after thinking about it, I got scared and decided to give up. response:	So that's why you dyed your hair.
context: That's incredible.\I hadn't heard anything about this before.\Actually, I was planning to confess once I became student council president.\I figured she'd respect me by then.\However, by the time I become student council president, she'll be gone.\I asked myself if there were any other reasons to get elected,\and after thinking about it, I got scared and decided to give up.\So that's why you dyed your hair. response:	My dad finally exploded today.
context: I hadn't heard anything about this before.\Actually, I was planning to confess once I became student council president.\I figured she'd respect me by then.\However, by the time I become student council president, she'll be gone.\I asked myself if there were any other reasons to get elected,\and after thinking about it, I got scared and decided to give up.\So that's why you dyed your hair.\My dad finally exploded today. response:	As you can see, he punished me.
context: Actually, I was planning to confess once I became student council president.\I figured she'd respect me by then.\However, by the time I become student council president, she'll be gone.\I asked myself if there were any other reasons to get elected,\and after thinking about it, I got scared and decided to give up.\So that's why you dyed your hair.\My dad finally exploded today.\As you can see, he punished me. response:	I'm such a fool.
context: I figured she'd respect me by then.\However, by the time I become student council president, she'll be gone.\I asked myself if there were any other reasons to get elected,\and after thinking about it, I got scared and decided to give up.\So that's why you dyed your hair.\My dad finally exploded today.\As you can see, he punished me.\I'm such a fool. response:	Even if I could win her over,
context: However, by the time I become student council president, she'll be gone.\I asked myself if there were any other reasons to get elected,\and after thinking about it, I got scared and decided to give up.\So that's why you dyed your hair.\My dad finally exploded today.\As you can see, he punished me.\I'm such a fool.\Even if I could win her over, response:	it's not like she'd give up her chance to study overseas.
context: I asked myself if there were any other reasons to get elected,\and after thinking about it, I got scared and decided to give up.\So that's why you dyed your hair.\My dad finally exploded today.\As you can see, he punished me.\I'm such a fool.\Even if I could win her over,\it's not like she'd give up her chance to study overseas. response:	Wishes don't always come true.
context: and after thinking about it, I got scared and decided to give up.\So that's why you dyed your hair.\My dad finally exploded today.\As you can see, he punished me.\I'm such a fool.\Even if I could win her over,\it's not like she'd give up her chance to study overseas.\Wishes don't always come true. response:	What makes you say that?
context: So that's why you dyed your hair.\My dad finally exploded today.\As you can see, he punished me.\I'm such a fool.\Even if I could win her over,\it's not like she'd give up her chance to study overseas.\Wishes don't always come true.\What makes you say that? response:	Nothing really.
context: My dad finally exploded today.\As you can see, he punished me.\I'm such a fool.\Even if I could win her over,\it's not like she'd give up her chance to study overseas.\Wishes don't always come true.\What makes you say that?\Nothing really. response:	I just thought of a similar conversation I had with Taiga.
context: As you can see, he punished me.\I'm such a fool.\Even if I could win her over,\it's not like she'd give up her chance to study overseas.\Wishes don't always come true.\What makes you say that?\Nothing really.\I just thought of a similar conversation I had with Taiga. response:	Someone told her that things aren't progressing well for her.
context: I'm such a fool.\Even if I could win her over,\it's not like she'd give up her chance to study overseas.\Wishes don't always come true.\What makes you say that?\Nothing really.\I just thought of a similar conversation I had with Taiga.\Someone told her that things aren't progressing well for her. response:	In the end, Taiga got mad and beat the person up.
context: Even if I could win her over,\it's not like she'd give up her chance to study overseas.\Wishes don't always come true.\What makes you say that?\Nothing really.\I just thought of a similar conversation I had with Taiga.\Someone told her that things aren't progressing well for her.\In the end, Taiga got mad and beat the person up. response:	Oh, as expected of Aisaka.
context: it's not like she'd give up her chance to study overseas.\Wishes don't always come true.\What makes you say that?\Nothing really.\I just thought of a similar conversation I had with Taiga.\Someone told her that things aren't progressing well for her.\In the end, Taiga got mad and beat the person up.\Oh, as expected of Aisaka. response:	She's on a completely different level.
context: Wishes don't always come true.\What makes you say that?\Nothing really.\I just thought of a similar conversation I had with Taiga.\Someone told her that things aren't progressing well for her.\In the end, Taiga got mad and beat the person up.\Oh, as expected of Aisaka.\She's on a completely different level. response:	Perhaps I'd feel better if Aisaka beat me up.
context: What makes you say that?\Nothing really.\I just thought of a similar conversation I had with Taiga.\Someone told her that things aren't progressing well for her.\In the end, Taiga got mad and beat the person up.\Oh, as expected of Aisaka.\She's on a completely different level.\Perhaps I'd feel better if Aisaka beat me up. response:	What?
context: Nothing really.\I just thought of a similar conversation I had with Taiga.\Someone told her that things aren't progressing well for her.\In the end, Taiga got mad and beat the person up.\Oh, as expected of Aisaka.\She's on a completely different level.\Perhaps I'd feel better if Aisaka beat me up.\What? response:	Ryuuji!
context: I just thought of a similar conversation I had with Taiga.\Someone told her that things aren't progressing well for her.\In the end, Taiga got mad and beat the person up.\Oh, as expected of Aisaka.\She's on a completely different level.\Perhaps I'd feel better if Aisaka beat me up.\What?\Ryuuji! response:	Hey, you stupid dog!
context: Someone told her that things aren't progressing well for her.\In the end, Taiga got mad and beat the person up.\Oh, as expected of Aisaka.\She's on a completely different level.\Perhaps I'd feel better if Aisaka beat me up.\What?\Ryuuji!\Hey, you stupid dog! response:	Taiga.
context: In the end, Taiga got mad and beat the person up.\Oh, as expected of Aisaka.\She's on a completely different level.\Perhaps I'd feel better if Aisaka beat me up.\What?\Ryuuji!\Hey, you stupid dog!\Taiga. response:	I know what's going on.
context: Oh, as expected of Aisaka.\She's on a completely different level.\Perhaps I'd feel better if Aisaka beat me up.\What?\Ryuuji!\Hey, you stupid dog!\Taiga.\I know what's going on. response:	I know Aisaka became a candidate for my sake.
context: She's on a completely different level.\Perhaps I'd feel better if Aisaka beat me up.\What?\Ryuuji!\Hey, you stupid dog!\Taiga.\I know what's going on.\I know Aisaka became a candidate for my sake. response:	I know everyone's worrying about me.
context: Perhaps I'd feel better if Aisaka beat me up.\What?\Ryuuji!\Hey, you stupid dog!\Taiga.\I know what's going on.\I know Aisaka became a candidate for my sake.\I know everyone's worrying about me. response:	I know I can't stay like this forever.
context: What?\Ryuuji!\Hey, you stupid dog!\Taiga.\I know what's going on.\I know Aisaka became a candidate for my sake.\I know everyone's worrying about me.\I know I can't stay like this forever. response:	I'm going home.
context: Ryuuji!\Hey, you stupid dog!\Taiga.\I know what's going on.\I know Aisaka became a candidate for my sake.\I know everyone's worrying about me.\I know I can't stay like this forever.\I'm going home. response:	Thanks for listening to me.
context: Hey, you stupid dog!\Taiga.\I know what's going on.\I know Aisaka became a candidate for my sake.\I know everyone's worrying about me.\I know I can't stay like this forever.\I'm going home.\Thanks for listening to me. response:	Kitamura!
context: Taiga.\I know what's going on.\I know Aisaka became a candidate for my sake.\I know everyone's worrying about me.\I know I can't stay like this forever.\I'm going home.\Thanks for listening to me.\Kitamura! response:	Don't worry.
context: I know what's going on.\I know Aisaka became a candidate for my sake.\I know everyone's worrying about me.\I know I can't stay like this forever.\I'm going home.\Thanks for listening to me.\Kitamura!\Don't worry. response:	I've made the decision myself.
context: I know Aisaka became a candidate for my sake.\I know everyone's worrying about me.\I know I can't stay like this forever.\I'm going home.\Thanks for listening to me.\Kitamura!\Don't worry.\I've made the decision myself. response:	I'll see you at school tomorrow.
context: I know everyone's worrying about me.\I know I can't stay like this forever.\I'm going home.\Thanks for listening to me.\Kitamura!\Don't worry.\I've made the decision myself.\I'll see you at school tomorrow. response:	I finally found you, Ryuuji!
context: I know I can't stay like this forever.\I'm going home.\Thanks for listening to me.\Kitamura!\Don't worry.\I've made the decision myself.\I'll see you at school tomorrow.\I finally found you, Ryuuji! response:	What were you doing here?
context: I'm going home.\Thanks for listening to me.\Kitamura!\Don't worry.\I've made the decision myself.\I'll see you at school tomorrow.\I finally found you, Ryuuji!\What were you doing here? response:	Don't tell me you really...
context: Thanks for listening to me.\Kitamura!\Don't worry.\I've made the decision myself.\I'll see you at school tomorrow.\I finally found you, Ryuuji!\What were you doing here?\Don't tell me you really... response:	I didn't.
context: Kitamura!\Don't worry.\I've made the decision myself.\I'll see you at school tomorrow.\I finally found you, Ryuuji!\What were you doing here?\Don't tell me you really...\I didn't. response:	Then, what was that call about?
context: Don't worry.\I've made the decision myself.\I'll see you at school tomorrow.\I finally found you, Ryuuji!\What were you doing here?\Don't tell me you really...\I didn't.\Then, what was that call about? response:	I don't want to tell you.
context: I've made the decision myself.\I'll see you at school tomorrow.\I finally found you, Ryuuji!\What were you doing here?\Don't tell me you really...\I didn't.\Then, what was that call about?\I don't want to tell you. response:	Come on, guys!
context: I'll see you at school tomorrow.\I finally found you, Ryuuji!\What were you doing here?\Don't tell me you really...\I didn't.\Then, what was that call about?\I don't want to tell you.\Come on, guys! response:	Tomorrow is election day!
context: I finally found you, Ryuuji!\What were you doing here?\Don't tell me you really...\I didn't.\Then, what was that call about?\I don't want to tell you.\Come on, guys!\Tomorrow is election day! response:	I'll chase everyone who doesn't vote for me into the depths of hell!
context: What were you doing here?\Don't tell me you really...\I didn't.\Then, what was that call about?\I don't want to tell you.\Come on, guys!\Tomorrow is election day!\I'll chase everyone who doesn't vote for me into the depths of hell! response:	Listen, this school will be...
context: Don't tell me you really...\I didn't.\Then, what was that call about?\I don't want to tell you.\Come on, guys!\Tomorrow is election day!\I'll chase everyone who doesn't vote for me into the depths of hell!\Listen, this school will be... response:	T-Taiga.
context: I didn't.\Then, what was that call about?\I don't want to tell you.\Come on, guys!\Tomorrow is election day!\I'll chase everyone who doesn't vote for me into the depths of hell!\Listen, this school will be...\T-Taiga. response:	Kitamura.
context: Then, what was that call about?\I don't want to tell you.\Come on, guys!\Tomorrow is election day!\I'll chase everyone who doesn't vote for me into the depths of hell!\Listen, this school will be...\T-Taiga.\Kitamura. response:	Kitamura-kun.
context: I don't want to tell you.\Come on, guys!\Tomorrow is election day!\I'll chase everyone who doesn't vote for me into the depths of hell!\Listen, this school will be...\T-Taiga.\Kitamura.\Kitamura-kun. response:	I'm sorry for before, guys.
context: Come on, guys!\Tomorrow is election day!\I'll chase everyone who doesn't vote for me into the depths of hell!\Listen, this school will be...\T-Taiga.\Kitamura.\Kitamura-kun.\I'm sorry for before, guys. response:	I'm okay now.
context: Tomorrow is election day!\I'll chase everyone who doesn't vote for me into the depths of hell!\Listen, this school will be...\T-Taiga.\Kitamura.\Kitamura-kun.\I'm sorry for before, guys.\I'm okay now. response:	No! I will never allow something like this to happen!
context: I'll chase everyone who doesn't vote for me into the depths of hell!\Listen, this school will be...\T-Taiga.\Kitamura.\Kitamura-kun.\I'm sorry for before, guys.\I'm okay now.\No! I will never allow something like this to happen! response:	I, Kitamura Yuusaku, will definitely steer this school onto the correct path!
context: Listen, this school will be...\T-Taiga.\Kitamura.\Kitamura-kun.\I'm sorry for before, guys.\I'm okay now.\No! I will never allow something like this to happen!\I, Kitamura Yuusaku, will definitely steer this school onto the correct path! response:	Kitamura-kun.
context: T-Taiga.\Kitamura.\Kitamura-kun.\I'm sorry for before, guys.\I'm okay now.\No! I will never allow something like this to happen!\I, Kitamura Yuusaku, will definitely steer this school onto the correct path!\Kitamura-kun. response:	So you've made your decision,
context: Kitamura.\Kitamura-kun.\I'm sorry for before, guys.\I'm okay now.\No! I will never allow something like this to happen!\I, Kitamura Yuusaku, will definitely steer this school onto the correct path!\Kitamura-kun.\So you've made your decision, response:	Kitamura.
context: Kitamura-kun.\I'm sorry for before, guys.\I'm okay now.\No! I will never allow something like this to happen!\I, Kitamura Yuusaku, will definitely steer this school onto the correct path!\Kitamura-kun.\So you've made your decision,\Kitamura. response:	Huh?
context: I'm sorry for before, guys.\I'm okay now.\No! I will never allow something like this to happen!\I, Kitamura Yuusaku, will definitely steer this school onto the correct path!\Kitamura-kun.\So you've made your decision,\Kitamura.\Huh? response:	Are you sure there hasn't been a mistake?
context: I'm okay now.\No! I will never allow something like this to happen!\I, Kitamura Yuusaku, will definitely steer this school onto the correct path!\Kitamura-kun.\So you've made your decision,\Kitamura.\Huh?\Are you sure there hasn't been a mistake? response:	It's true.
context: No! I will never allow something like this to happen!\I, Kitamura Yuusaku, will definitely steer this school onto the correct path!\Kitamura-kun.\So you've made your decision,\Kitamura.\Huh?\Are you sure there hasn't been a mistake?\It's true. response:	Kitamura-kun still hasn't turned in his candidate form.
context: I, Kitamura Yuusaku, will definitely steer this school onto the correct path!\Kitamura-kun.\So you've made your decision,\Kitamura.\Huh?\Are you sure there hasn't been a mistake?\It's true.\Kitamura-kun still hasn't turned in his candidate form. response:	According to the rules, he can't run if it's not turned in by four.
context: Kitamura-kun.\So you've made your decision,\Kitamura.\Huh?\Are you sure there hasn't been a mistake?\It's true.\Kitamura-kun still hasn't turned in his candidate form.\According to the rules, he can't run if it's not turned in by four. response:	Sorry, but I have to go!
context: So you've made your decision,\Kitamura.\Huh?\Are you sure there hasn't been a mistake?\It's true.\Kitamura-kun still hasn't turned in his candidate form.\According to the rules, he can't run if it's not turned in by four.\Sorry, but I have to go! response:	Wait, Takasu-kun!
context: Kitamura.\Huh?\Are you sure there hasn't been a mistake?\It's true.\Kitamura-kun still hasn't turned in his candidate form.\According to the rules, he can't run if it's not turned in by four.\Sorry, but I have to go!\Wait, Takasu-kun! response:	What's up, Takasu?
context: Huh?\Are you sure there hasn't been a mistake?\It's true.\Kitamura-kun still hasn't turned in his candidate form.\According to the rules, he can't run if it's not turned in by four.\Sorry, but I have to go!\Wait, Takasu-kun!\What's up, Takasu? response:	Aisaka and the others are already gone.
context: Are you sure there hasn't been a mistake?\It's true.\Kitamura-kun still hasn't turned in his candidate form.\According to the rules, he can't run if it's not turned in by four.\Sorry, but I have to go!\Wait, Takasu-kun!\What's up, Takasu?\Aisaka and the others are already gone. response:	I think they're going to that new cafe in front of the station.
context: It's true.\Kitamura-kun still hasn't turned in his candidate form.\According to the rules, he can't run if it's not turned in by four.\Sorry, but I have to go!\Wait, Takasu-kun!\What's up, Takasu?\Aisaka and the others are already gone.\I think they're going to that new cafe in front of the station. response:	Four o'clock is the deadline for turning in your application.
context: Kitamura-kun still hasn't turned in his candidate form.\According to the rules, he can't run if it's not turned in by four.\Sorry, but I have to go!\Wait, Takasu-kun!\What's up, Takasu?\Aisaka and the others are already gone.\I think they're going to that new cafe in front of the station.\Four o'clock is the deadline for turning in your application. response:	What are you going to do?
context: According to the rules, he can't run if it's not turned in by four.\Sorry, but I have to go!\Wait, Takasu-kun!\What's up, Takasu?\Aisaka and the others are already gone.\I think they're going to that new cafe in front of the station.\Four o'clock is the deadline for turning in your application.\What are you going to do? response:	At this rate, you'll...
context: Sorry, but I have to go!\Wait, Takasu-kun!\What's up, Takasu?\Aisaka and the others are already gone.\I think they're going to that new cafe in front of the station.\Four o'clock is the deadline for turning in your application.\What are you going to do?\At this rate, you'll... response:	Let's go home, Takasu.
context: Wait, Takasu-kun!\What's up, Takasu?\Aisaka and the others are already gone.\I think they're going to that new cafe in front of the station.\Four o'clock is the deadline for turning in your application.\What are you going to do?\At this rate, you'll...\Let's go home, Takasu. response:	Are you serious?
context: What's up, Takasu?\Aisaka and the others are already gone.\I think they're going to that new cafe in front of the station.\Four o'clock is the deadline for turning in your application.\What are you going to do?\At this rate, you'll...\Let's go home, Takasu.\Are you serious? response:	There's no more time to think -
context: Aisaka and the others are already gone.\I think they're going to that new cafe in front of the station.\Four o'clock is the deadline for turning in your application.\What are you going to do?\At this rate, you'll...\Let's go home, Takasu.\Are you serious?\There's no more time to think - response:	I've already thought about it.
context: I think they're going to that new cafe in front of the station.\Four o'clock is the deadline for turning in your application.\What are you going to do?\At this rate, you'll...\Let's go home, Takasu.\Are you serious?\There's no more time to think -\I've already thought about it. response:	I think I'll give up after all.
context: Four o'clock is the deadline for turning in your application.\What are you going to do?\At this rate, you'll...\Let's go home, Takasu.\Are you serious?\There's no more time to think -\I've already thought about it.\I think I'll give up after all. response:	It's all right, really.
context: What are you going to do?\At this rate, you'll...\Let's go home, Takasu.\Are you serious?\There's no more time to think -\I've already thought about it.\I think I'll give up after all.\It's all right, really. response:	Kitamura.
context: At this rate, you'll...\Let's go home, Takasu.\Are you serious?\There's no more time to think -\I've already thought about it.\I think I'll give up after all.\It's all right, really.\Kitamura. response:	We haven't walked home together in quite a while.
context: Let's go home, Takasu.\Are you serious?\There's no more time to think -\I've already thought about it.\I think I'll give up after all.\It's all right, really.\Kitamura.\We haven't walked home together in quite a while. response:	I think the last time was when we were freshmen.
context: Are you serious?\There's no more time to think -\I've already thought about it.\I think I'll give up after all.\It's all right, really.\Kitamura.\We haven't walked home together in quite a while.\I think the last time was when we were freshmen. response:	It's because you're so busy with the student council.
context: There's no more time to think -\I've already thought about it.\I think I'll give up after all.\It's all right, really.\Kitamura.\We haven't walked home together in quite a while.\I think the last time was when we were freshmen.\It's because you're so busy with the student council. response:	Oh right, I don't think I told you why I joined the student council.
context: I've already thought about it.\I think I'll give up after all.\It's all right, really.\Kitamura.\We haven't walked home together in quite a while.\I think the last time was when we were freshmen.\It's because you're so busy with the student council.\Oh right, I don't think I told you why I joined the student council. response:	Huh? Yeah.
context: I think I'll give up after all.\It's all right, really.\Kitamura.\We haven't walked home together in quite a while.\I think the last time was when we were freshmen.\It's because you're so busy with the student council.\Oh right, I don't think I told you why I joined the student council.\Huh? Yeah. response:	I was really enthusiastic when I started at this school.
context: It's all right, really.\Kitamura.\We haven't walked home together in quite a while.\I think the last time was when we were freshmen.\It's because you're so busy with the student council.\Oh right, I don't think I told you why I joined the student council.\Huh? Yeah.\I was really enthusiastic when I started at this school. response:	I think it's what they call a high school debut.
context: Kitamura.\We haven't walked home together in quite a while.\I think the last time was when we were freshmen.\It's because you're so busy with the student council.\Oh right, I don't think I told you why I joined the student council.\Huh? Yeah.\I was really enthusiastic when I started at this school.\I think it's what they call a high school debut. response:	The first step towards a fun high school life is finding a girlfriend,
context: We haven't walked home together in quite a while.\I think the last time was when we were freshmen.\It's because you're so busy with the student council.\Oh right, I don't think I told you why I joined the student council.\Huh? Yeah.\I was really enthusiastic when I started at this school.\I think it's what they call a high school debut.\The first step towards a fun high school life is finding a girlfriend, response:	don't you think?
context: I think the last time was when we were freshmen.\It's because you're so busy with the student council.\Oh right, I don't think I told you why I joined the student council.\Huh? Yeah.\I was really enthusiastic when I started at this school.\I think it's what they call a high school debut.\The first step towards a fun high school life is finding a girlfriend,\don't you think? response:	I heard that there was this really beautiful girl in another class.
context: It's because you're so busy with the student council.\Oh right, I don't think I told you why I joined the student council.\Huh? Yeah.\I was really enthusiastic when I started at this school.\I think it's what they call a high school debut.\The first step towards a fun high school life is finding a girlfriend,\don't you think?\I heard that there was this really beautiful girl in another class. response:	So I decided to confess to her.
context: Oh right, I don't think I told you why I joined the student council.\Huh? Yeah.\I was really enthusiastic when I started at this school.\I think it's what they call a high school debut.\The first step towards a fun high school life is finding a girlfriend,\don't you think?\I heard that there was this really beautiful girl in another class.\So I decided to confess to her. response:	Oh, you already know this part.
context: Huh? Yeah.\I was really enthusiastic when I started at this school.\I think it's what they call a high school debut.\The first step towards a fun high school life is finding a girlfriend,\don't you think?\I heard that there was this really beautiful girl in another class.\So I decided to confess to her.\Oh, you already know this part. response:	When I was feeling really down after Aisaka rejected me,
context: I was really enthusiastic when I started at this school.\I think it's what they call a high school debut.\The first step towards a fun high school life is finding a girlfriend,\don't you think?\I heard that there was this really beautiful girl in another class.\So I decided to confess to her.\Oh, you already know this part.\When I was feeling really down after Aisaka rejected me, response:	I met that person...
context: I think it's what they call a high school debut.\The first step towards a fun high school life is finding a girlfriend,\don't you think?\I heard that there was this really beautiful girl in another class.\So I decided to confess to her.\Oh, you already know this part.\When I was feeling really down after Aisaka rejected me,\I met that person... response:	I saw everything, freshman.
context: The first step towards a fun high school life is finding a girlfriend,\don't you think?\I heard that there was this really beautiful girl in another class.\So I decided to confess to her.\Oh, you already know this part.\When I was feeling really down after Aisaka rejected me,\I met that person...\I saw everything, freshman. response:	Don't worry.
context: don't you think?\I heard that there was this really beautiful girl in another class.\So I decided to confess to her.\Oh, you already know this part.\When I was feeling really down after Aisaka rejected me,\I met that person...\I saw everything, freshman.\Don't worry. response:	Your high school life has only just begun!
context: I heard that there was this really beautiful girl in another class.\So I decided to confess to her.\Oh, you already know this part.\When I was feeling really down after Aisaka rejected me,\I met that person...\I saw everything, freshman.\Don't worry.\Your high school life has only just begun! response:	Come join the student council!
context: So I decided to confess to her.\Oh, you already know this part.\When I was feeling really down after Aisaka rejected me,\I met that person...\I saw everything, freshman.\Don't worry.\Your high school life has only just begun!\Come join the student council! response:	She said I'd feel better after doing some hard work there.
context: Oh, you already know this part.\When I was feeling really down after Aisaka rejected me,\I met that person...\I saw everything, freshman.\Don't worry.\Your high school life has only just begun!\Come join the student council!\She said I'd feel better after doing some hard work there. response:	Just like that, I was brought to the student council room.
context: When I was feeling really down after Aisaka rejected me,\I met that person...\I saw everything, freshman.\Don't worry.\Your high school life has only just begun!\Come join the student council!\She said I'd feel better after doing some hard work there.\Just like that, I was brought to the student council room. response:	Since then, every day has been fun,
context: I met that person...\I saw everything, freshman.\Don't worry.\Your high school life has only just begun!\Come join the student council!\She said I'd feel better after doing some hard work there.\Just like that, I was brought to the student council room.\Since then, every day has been fun, response:	and I even became good friends with Aisaka.
context: I saw everything, freshman.\Don't worry.\Your high school life has only just begun!\Come join the student council!\She said I'd feel better after doing some hard work there.\Just like that, I was brought to the student council room.\Since then, every day has been fun,\and I even became good friends with Aisaka. response:	My wish to have a fun high school life came true.
context: Don't worry.\Your high school life has only just begun!\Come join the student council!\She said I'd feel better after doing some hard work there.\Just like that, I was brought to the student council room.\Since then, every day has been fun,\and I even became good friends with Aisaka.\My wish to have a fun high school life came true. response:	That uncertain first step I took after hearing her words led me here.
context: Your high school life has only just begun!\Come join the student council!\She said I'd feel better after doing some hard work there.\Just like that, I was brought to the student council room.\Since then, every day has been fun,\and I even became good friends with Aisaka.\My wish to have a fun high school life came true.\That uncertain first step I took after hearing her words led me here. response:	And yet,
context: Come join the student council!\She said I'd feel better after doing some hard work there.\Just like that, I was brought to the student council room.\Since then, every day has been fun,\and I even became good friends with Aisaka.\My wish to have a fun high school life came true.\That uncertain first step I took after hearing her words led me here.\And yet, response:	I can't take the next step.
context: She said I'd feel better after doing some hard work there.\Just like that, I was brought to the student council room.\Since then, every day has been fun,\and I even became good friends with Aisaka.\My wish to have a fun high school life came true.\That uncertain first step I took after hearing her words led me here.\And yet,\I can't take the next step. response:	So you're going to run away?
context: Just like that, I was brought to the student council room.\Since then, every day has been fun,\and I even became good friends with Aisaka.\My wish to have a fun high school life came true.\That uncertain first step I took after hearing her words led me here.\And yet,\I can't take the next step.\So you're going to run away? response:	What about the underclassmen who want you to become student council president?
context: Since then, every day has been fun,\and I even became good friends with Aisaka.\My wish to have a fun high school life came true.\That uncertain first step I took after hearing her words led me here.\And yet,\I can't take the next step.\So you're going to run away?\What about the underclassmen who want you to become student council president? response:	Are you going to abandon them?
context: and I even became good friends with Aisaka.\My wish to have a fun high school life came true.\That uncertain first step I took after hearing her words led me here.\And yet,\I can't take the next step.\So you're going to run away?\What about the underclassmen who want you to become student council president?\Are you going to abandon them? response:	Don't tell me you're a man who would do that!
context: My wish to have a fun high school life came true.\That uncertain first step I took after hearing her words led me here.\And yet,\I can't take the next step.\So you're going to run away?\What about the underclassmen who want you to become student council president?\Are you going to abandon them?\Don't tell me you're a man who would do that! response:	You've lifted your foot already, right?
context: That uncertain first step I took after hearing her words led me here.\And yet,\I can't take the next step.\So you're going to run away?\What about the underclassmen who want you to become student council president?\Are you going to abandon them?\Don't tell me you're a man who would do that!\You've lifted your foot already, right? response:	You lifted it because you wanted to move forward, right?
context: And yet,\I can't take the next step.\So you're going to run away?\What about the underclassmen who want you to become student council president?\Are you going to abandon them?\Don't tell me you're a man who would do that!\You've lifted your foot already, right?\You lifted it because you wanted to move forward, right? response:	So what other choice do you have,
context: I can't take the next step.\So you're going to run away?\What about the underclassmen who want you to become student council president?\Are you going to abandon them?\Don't tell me you're a man who would do that!\You've lifted your foot already, right?\You lifted it because you wanted to move forward, right?\So what other choice do you have, response:	but to take a step forward?!
context: So you're going to run away?\What about the underclassmen who want you to become student council president?\Are you going to abandon them?\Don't tell me you're a man who would do that!\You've lifted your foot already, right?\You lifted it because you wanted to move forward, right?\So what other choice do you have,\but to take a step forward?! response:	Don't slack off.
context: What about the underclassmen who want you to become student council president?\Are you going to abandon them?\Don't tell me you're a man who would do that!\You've lifted your foot already, right?\You lifted it because you wanted to move forward, right?\So what other choice do you have,\but to take a step forward?!\Don't slack off. response:	I'll be watching what sort of student council president you become.
context: Are you going to abandon them?\Don't tell me you're a man who would do that!\You've lifted your foot already, right?\You lifted it because you wanted to move forward, right?\So what other choice do you have,\but to take a step forward?!\Don't slack off.\I'll be watching what sort of student council president you become. response:	What was that?
context: Don't tell me you're a man who would do that!\You've lifted your foot already, right?\You lifted it because you wanted to move forward, right?\So what other choice do you have,\but to take a step forward?!\Don't slack off.\I'll be watching what sort of student council president you become.\What was that? response:	Takasu, what time is it now?
