context: Okay, for today's homeroom period, response:	Let's talk about
context: Which play?\Sle' Sleeping Beauty.\Both of you are going to be in it, right?\What roles do you play?\Whatever roles you play,\I'll make sure I won't miss it.\Umm'\You coming' response:	Yeah. As usual of course!
context: Sle' Sleeping Beauty.\Both of you are going to be in it, right?\What roles do you play?\Whatever roles you play,\I'll make sure I won't miss it.\Umm'\You coming'\Yeah. As usual of course! response:	Good luck!
context: Both of you are going to be in it, right?\What roles do you play?\Whatever roles you play,\I'll make sure I won't miss it.\Umm'\You coming'\Yeah. As usual of course!\Good luck! response:	Yes!
context: What roles do you play?\Whatever roles you play,\I'll make sure I won't miss it.\Umm'\You coming'\Yeah. As usual of course!\Good luck!\Yes! response:	Yukito-san is coming to watch.
context: Whatever roles you play,\I'll make sure I won't miss it.\Umm'\You coming'\Yeah. As usual of course!\Good luck!\Yes!\Yukito-san is coming to watch. response:	I gotta practice harder.
context: I'll make sure I won't miss it.\Umm'\You coming'\Yeah. As usual of course!\Good luck!\Yes!\Yukito-san is coming to watch.\I gotta practice harder. response:	Li-kun.
context: Umm'\You coming'\Yeah. As usual of course!\Good luck!\Yes!\Yukito-san is coming to watch.\I gotta practice harder.\Li-kun. response:	Do you want to practice together?
context: You coming'\Yeah. As usual of course!\Good luck!\Yes!\Yukito-san is coming to watch.\I gotta practice harder.\Li-kun.\Do you want to practice together? response:	There're many scenes I get to play against you'
context: Yeah. As usual of course!\Good luck!\Yes!\Yukito-san is coming to watch.\I gotta practice harder.\Li-kun.\Do you want to practice together?\There're many scenes I get to play against you' response:	I thought practicing together
context: Good luck!\Yes!\Yukito-san is coming to watch.\I gotta practice harder.\Li-kun.\Do you want to practice together?\There're many scenes I get to play against you'\I thought practicing together response:	might be a good idea.
context: Yes!\Yukito-san is coming to watch.\I gotta practice harder.\Li-kun.\Do you want to practice together?\There're many scenes I get to play against you'\I thought practicing together\might be a good idea. response:	But you don't have time, do you?
context: Yukito-san is coming to watch.\I gotta practice harder.\Li-kun.\Do you want to practice together?\There're many scenes I get to play against you'\I thought practicing together\might be a good idea.\But you don't have time, do you? response:	When?
context: I gotta practice harder.\Li-kun.\Do you want to practice together?\There're many scenes I get to play against you'\I thought practicing together\might be a good idea.\But you don't have time, do you?\When? response:	To practice'
context: Li-kun.\Do you want to practice together?\There're many scenes I get to play against you'\I thought practicing together\might be a good idea.\But you don't have time, do you?\When?\To practice' response:	Are you sure?
context: Do you want to practice together?\There're many scenes I get to play against you'\I thought practicing together\might be a good idea.\But you don't have time, do you?\When?\To practice'\Are you sure? response:	I don't want to do bad either.
context: There're many scenes I get to play against you'\I thought practicing together\might be a good idea.\But you don't have time, do you?\When?\To practice'\Are you sure?\I don't want to do bad either. response:	Thanks!
context: I thought practicing together\might be a good idea.\But you don't have time, do you?\When?\To practice'\Are you sure?\I don't want to do bad either.\Thanks! response:	How about tomorrow morning before school starts?
context: might be a good idea.\But you don't have time, do you?\When?\To practice'\Are you sure?\I don't want to do bad either.\Thanks!\How about tomorrow morning before school starts? response:	What's going on?
context: But you don't have time, do you?\When?\To practice'\Are you sure?\I don't want to do bad either.\Thanks!\How about tomorrow morning before school starts?\What's going on? response:	Why are there so many alarm clocks?
context: When?\To practice'\Are you sure?\I don't want to do bad either.\Thanks!\How about tomorrow morning before school starts?\What's going on?\Why are there so many alarm clocks? response:	They're Father's and Touya's.
context: To practice'\Are you sure?\I don't want to do bad either.\Thanks!\How about tomorrow morning before school starts?\What's going on?\Why are there so many alarm clocks?\They're Father's and Touya's. response:	I'm practicing for the play with Li-kun
context: Are you sure?\I don't want to do bad either.\Thanks!\How about tomorrow morning before school starts?\What's going on?\Why are there so many alarm clocks?\They're Father's and Touya's.\I'm practicing for the play with Li-kun response:	from today on'
context: I don't want to do bad either.\Thanks!\How about tomorrow morning before school starts?\What's going on?\Why are there so many alarm clocks?\They're Father's and Touya's.\I'm practicing for the play with Li-kun\from today on' response:	I can't be late.
context: Thanks!\How about tomorrow morning before school starts?\What's going on?\Why are there so many alarm clocks?\They're Father's and Touya's.\I'm practicing for the play with Li-kun\from today on'\I can't be late. response:	It's rare you are practicing on your own'
context: How about tomorrow morning before school starts?\What's going on?\Why are there so many alarm clocks?\They're Father's and Touya's.\I'm practicing for the play with Li-kun\from today on'\I can't be late.\It's rare you are practicing on your own' response:	I respect you.
context: What's going on?\Why are there so many alarm clocks?\They're Father's and Touya's.\I'm practicing for the play with Li-kun\from today on'\I can't be late.\It's rare you are practicing on your own'\I respect you. response:	Because' Yukito-san's coming to watch!
context: Why are there so many alarm clocks?\They're Father's and Touya's.\I'm practicing for the play with Li-kun\from today on'\I can't be late.\It's rare you are practicing on your own'\I respect you.\Because' Yukito-san's coming to watch! response:	Since I'm not bringing lunch today,
context: They're Father's and Touya's.\I'm practicing for the play with Li-kun\from today on'\I can't be late.\It's rare you are practicing on your own'\I respect you.\Because' Yukito-san's coming to watch!\Since I'm not bringing lunch today, response:	I wonder what to eat for breakfast!
context: I'm practicing for the play with Li-kun\from today on'\I can't be late.\It's rare you are practicing on your own'\I respect you.\Because' Yukito-san's coming to watch!\Since I'm not bringing lunch today,\I wonder what to eat for breakfast! response:	Onii-chan?
context: from today on'\I can't be late.\It's rare you are practicing on your own'\I respect you.\Because' Yukito-san's coming to watch!\Since I'm not bringing lunch today,\I wonder what to eat for breakfast!\Onii-chan? response:	You don't have morning practice today, right?
context: I can't be late.\It's rare you are practicing on your own'\I respect you.\Because' Yukito-san's coming to watch!\Since I'm not bringing lunch today,\I wonder what to eat for breakfast!\Onii-chan?\You don't have morning practice today, right? response:	Why are you up so early?
context: It's rare you are practicing on your own'\I respect you.\Because' Yukito-san's coming to watch!\Since I'm not bringing lunch today,\I wonder what to eat for breakfast!\Onii-chan?\You don't have morning practice today, right?\Why are you up so early? response:	I happened to have woken up.
context: I respect you.\Because' Yukito-san's coming to watch!\Since I'm not bringing lunch today,\I wonder what to eat for breakfast!\Onii-chan?\You don't have morning practice today, right?\Why are you up so early?\I happened to have woken up. response:	Is this mine?
context: Because' Yukito-san's coming to watch!\Since I'm not bringing lunch today,\I wonder what to eat for breakfast!\Onii-chan?\You don't have morning practice today, right?\Why are you up so early?\I happened to have woken up.\Is this mine? response:	Don't eat it if you don't want to.
context: Since I'm not bringing lunch today,\I wonder what to eat for breakfast!\Onii-chan?\You don't have morning practice today, right?\Why are you up so early?\I happened to have woken up.\Is this mine?\Don't eat it if you don't want to. response:	I'll eat it!
context: I wonder what to eat for breakfast!\Onii-chan?\You don't have morning practice today, right?\Why are you up so early?\I happened to have woken up.\Is this mine?\Don't eat it if you don't want to.\I'll eat it! response:	I wonder if he's up early
context: Onii-chan?\You don't have morning practice today, right?\Why are you up so early?\I happened to have woken up.\Is this mine?\Don't eat it if you don't want to.\I'll eat it!\I wonder if he's up early response:	in order to make breakfast for me'
context: You don't have morning practice today, right?\Why are you up so early?\I happened to have woken up.\Is this mine?\Don't eat it if you don't want to.\I'll eat it!\I wonder if he's up early\in order to make breakfast for me' response:	Sakura' When you caught a cold that one time'
context: Why are you up so early?\I happened to have woken up.\Is this mine?\Don't eat it if you don't want to.\I'll eat it!\I wonder if he's up early\in order to make breakfast for me'\Sakura' When you caught a cold that one time' response:	Mirror!
context: I happened to have woken up.\Is this mine?\Don't eat it if you don't want to.\I'll eat it!\I wonder if he's up early\in order to make breakfast for me'\Sakura' When you caught a cold that one time'\Mirror! response:	This way I'll be okay'
context: Is this mine?\Don't eat it if you don't want to.\I'll eat it!\I wonder if he's up early\in order to make breakfast for me'\Sakura' When you caught a cold that one time'\Mirror!\This way I'll be okay' response:	Wh' What about it?
context: Don't eat it if you don't want to.\I'll eat it!\I wonder if he's up early\in order to make breakfast for me'\Sakura' When you caught a cold that one time'\Mirror!\This way I'll be okay'\Wh' What about it? response:	You're done?
context: I'll eat it!\I wonder if he's up early\in order to make breakfast for me'\Sakura' When you caught a cold that one time'\Mirror!\This way I'll be okay'\Wh' What about it?\You're done? response:	Save some so that I can have more later.
context: I wonder if he's up early\in order to make breakfast for me'\Sakura' When you caught a cold that one time'\Mirror!\This way I'll be okay'\Wh' What about it?\You're done?\Save some so that I can have more later. response:	I'll just make more later.
context: in order to make breakfast for me'\Sakura' When you caught a cold that one time'\Mirror!\This way I'll be okay'\Wh' What about it?\You're done?\Save some so that I can have more later.\I'll just make more later. response:	What about the medicine?
context: Sakura' When you caught a cold that one time'\Mirror!\This way I'll be okay'\Wh' What about it?\You're done?\Save some so that I can have more later.\I'll just make more later.\What about the medicine? response:	You don't need to take it
context: Mirror!\This way I'll be okay'\Wh' What about it?\You're done?\Save some so that I can have more later.\I'll just make more later.\What about the medicine?\You don't need to take it response:	unless you're sick.
context: This way I'll be okay'\Wh' What about it?\You're done?\Save some so that I can have more later.\I'll just make more later.\What about the medicine?\You don't need to take it\unless you're sick. response:	You aren't Sakura, right?
context: Wh' What about it?\You're done?\Save some so that I can have more later.\I'll just make more later.\What about the medicine?\You don't need to take it\unless you're sick.\You aren't Sakura, right? response:	Don't do crazy things like that again.
context: You're done?\Save some so that I can have more later.\I'll just make more later.\What about the medicine?\You don't need to take it\unless you're sick.\You aren't Sakura, right?\Don't do crazy things like that again. response:	What was he trying to say?
context: Save some so that I can have more later.\I'll just make more later.\What about the medicine?\You don't need to take it\unless you're sick.\You aren't Sakura, right?\Don't do crazy things like that again.\What was he trying to say? response:	Could it be that
context: I'll just make more later.\What about the medicine?\You don't need to take it\unless you're sick.\You aren't Sakura, right?\Don't do crazy things like that again.\What was he trying to say?\Could it be that response:	he knows I'm gathering the Clow Cards'?
context: What about the medicine?\You don't need to take it\unless you're sick.\You aren't Sakura, right?\Don't do crazy things like that again.\What was he trying to say?\Could it be that\he knows I'm gathering the Clow Cards'? response:	It can't be. If he knows,
context: You don't need to take it\unless you're sick.\You aren't Sakura, right?\Don't do crazy things like that again.\What was he trying to say?\Could it be that\he knows I'm gathering the Clow Cards'?\It can't be. If he knows, response:	he'd be scolding me already.
context: unless you're sick.\You aren't Sakura, right?\Don't do crazy things like that again.\What was he trying to say?\Could it be that\he knows I'm gathering the Clow Cards'?\It can't be. If he knows,\he'd be scolding me already. response:	Mizuki-sensei'
context: You aren't Sakura, right?\Don't do crazy things like that again.\What was he trying to say?\Could it be that\he knows I'm gathering the Clow Cards'?\It can't be. If he knows,\he'd be scolding me already.\Mizuki-sensei' response:	I gotta hurry up to school!
context: Don't do crazy things like that again.\What was he trying to say?\Could it be that\he knows I'm gathering the Clow Cards'?\It can't be. If he knows,\he'd be scolding me already.\Mizuki-sensei'\I gotta hurry up to school! response:	Good morning!
context: What was he trying to say?\Could it be that\he knows I'm gathering the Clow Cards'?\It can't be. If he knows,\he'd be scolding me already.\Mizuki-sensei'\I gotta hurry up to school!\Good morning! response:	Good morning!
context: Could it be that\he knows I'm gathering the Clow Cards'?\It can't be. If he knows,\he'd be scolding me already.\Mizuki-sensei'\I gotta hurry up to school!\Good morning!\Good morning! response:	You got here even before I did!
context: he knows I'm gathering the Clow Cards'?\It can't be. If he knows,\he'd be scolding me already.\Mizuki-sensei'\I gotta hurry up to school!\Good morning!\Good morning!\You got here even before I did! response:	You're so early!
context: It can't be. If he knows,\he'd be scolding me already.\Mizuki-sensei'\I gotta hurry up to school!\Good morning!\Good morning!\You got here even before I did!\You're so early! response:	Hey, since the weather's so nice,
context: he'd be scolding me already.\Mizuki-sensei'\I gotta hurry up to school!\Good morning!\Good morning!\You got here even before I did!\You're so early!\Hey, since the weather's so nice, response:	how about practicing outside?
context: Mizuki-sensei'\I gotta hurry up to school!\Good morning!\Good morning!\You got here even before I did!\You're so early!\Hey, since the weather's so nice,\how about practicing outside? response:	I wonder what this is'
context: I gotta hurry up to school!\Good morning!\Good morning!\You got here even before I did!\You're so early!\Hey, since the weather's so nice,\how about practicing outside?\I wonder what this is' response:	And like that, the Princess walked towards the spindle'
context: Good morning!\Good morning!\You got here even before I did!\You're so early!\Hey, since the weather's so nice,\how about practicing outside?\I wonder what this is'\And like that, the Princess walked towards the spindle' response:	'and tried to touch it with her finger.
context: Good morning!\You got here even before I did!\You're so early!\Hey, since the weather's so nice,\how about practicing outside?\I wonder what this is'\And like that, the Princess walked towards the spindle'\'and tried to touch it with her finger. response:	Awesome!
context: You got here even before I did!\You're so early!\Hey, since the weather's so nice,\how about practicing outside?\I wonder what this is'\And like that, the Princess walked towards the spindle'\'and tried to touch it with her finger.\Awesome! response:	You remembered almost all the lines!
context: You're so early!\Hey, since the weather's so nice,\how about practicing outside?\I wonder what this is'\And like that, the Princess walked towards the spindle'\'and tried to touch it with her finger.\Awesome!\You remembered almost all the lines! response:	The Princess doesn't have many lines, that's all.
context: Hey, since the weather's so nice,\how about practicing outside?\I wonder what this is'\And like that, the Princess walked towards the spindle'\'and tried to touch it with her finger.\Awesome!\You remembered almost all the lines!\The Princess doesn't have many lines, that's all. response:	Okay, let's skip
context: how about practicing outside?\I wonder what this is'\And like that, the Princess walked towards the spindle'\'and tried to touch it with her finger.\Awesome!\You remembered almost all the lines!\The Princess doesn't have many lines, that's all.\Okay, let's skip response:	the scenes with the fairies.
context: I wonder what this is'\And like that, the Princess walked towards the spindle'\'and tried to touch it with her finger.\Awesome!\You remembered almost all the lines!\The Princess doesn't have many lines, that's all.\Okay, let's skip\the scenes with the fairies. response:	Oh! What a beautiful Princess!
context: And like that, the Princess walked towards the spindle'\'and tried to touch it with her finger.\Awesome!\You remembered almost all the lines!\The Princess doesn't have many lines, that's all.\Okay, let's skip\the scenes with the fairies.\Oh! What a beautiful Princess! response:	If I can wake the Princess
context: 'and tried to touch it with her finger.\Awesome!\You remembered almost all the lines!\The Princess doesn't have many lines, that's all.\Okay, let's skip\the scenes with the fairies.\Oh! What a beautiful Princess!\If I can wake the Princess response:	with my kiss'
context: Awesome!\You remembered almost all the lines!\The Princess doesn't have many lines, that's all.\Okay, let's skip\the scenes with the fairies.\Oh! What a beautiful Princess!\If I can wake the Princess\with my kiss' response:	I swear by this sword!
context: You remembered almost all the lines!\The Princess doesn't have many lines, that's all.\Okay, let's skip\the scenes with the fairies.\Oh! What a beautiful Princess!\If I can wake the Princess\with my kiss'\I swear by this sword! response:	I will love this beautiful princess
context: The Princess doesn't have many lines, that's all.\Okay, let's skip\the scenes with the fairies.\Oh! What a beautiful Princess!\If I can wake the Princess\with my kiss'\I swear by this sword!\I will love this beautiful princess response:	of the forest of thorns with all my heart.
context: Okay, let's skip\the scenes with the fairies.\Oh! What a beautiful Princess!\If I can wake the Princess\with my kiss'\I swear by this sword!\I will love this beautiful princess\of the forest of thorns with all my heart. response:	And with this kiss'
context: the scenes with the fairies.\Oh! What a beautiful Princess!\If I can wake the Princess\with my kiss'\I swear by this sword!\I will love this beautiful princess\of the forest of thorns with all my heart.\And with this kiss' response:	L' Li-kun!
context: Oh! What a beautiful Princess!\If I can wake the Princess\with my kiss'\I swear by this sword!\I will love this beautiful princess\of the forest of thorns with all my heart.\And with this kiss'\L' Li-kun! response:	What?!
context: If I can wake the Princess\with my kiss'\I swear by this sword!\I will love this beautiful princess\of the forest of thorns with all my heart.\And with this kiss'\L' Li-kun!\What?! response:	Wind Descend!
context: with my kiss'\I swear by this sword!\I will love this beautiful princess\of the forest of thorns with all my heart.\And with this kiss'\L' Li-kun!\What?!\Wind Descend! response:	Key which hides the forces of darkness,
context: I swear by this sword!\I will love this beautiful princess\of the forest of thorns with all my heart.\And with this kiss'\L' Li-kun!\What?!\Wind Descend!\Key which hides the forces of darkness, response:	Reveal thy true form before me.
context: I will love this beautiful princess\of the forest of thorns with all my heart.\And with this kiss'\L' Li-kun!\What?!\Wind Descend!\Key which hides the forces of darkness,\Reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: of the forest of thorns with all my heart.\And with this kiss'\L' Li-kun!\What?!\Wind Descend!\Key which hides the forces of darkness,\Reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: And with this kiss'\L' Li-kun!\What?!\Wind Descend!\Key which hides the forces of darkness,\Reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	Fly!
context: L' Li-kun!\What?!\Wind Descend!\Key which hides the forces of darkness,\Reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Fly! response:	What's going on?!
context: What?!\Wind Descend!\Key which hides the forces of darkness,\Reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Fly!\What's going on?! response:	It's the act of a Clow Card!
context: Wind Descend!\Key which hides the forces of darkness,\Reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Fly!\What's going on?!\It's the act of a Clow Card! response:	But I didn't sense it at all!
context: Key which hides the forces of darkness,\Reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Fly!\What's going on?!\It's the act of a Clow Card!\But I didn't sense it at all! response:	What card is this?!
context: Reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Fly!\What's going on?!\It's the act of a Clow Card!\But I didn't sense it at all!\What card is this?! response:	I'm afraid, it's Sand,
context: I, Sakura, command thee under contract.\Release!\Fly!\What's going on?!\It's the act of a Clow Card!\But I didn't sense it at all!\What card is this?!\I'm afraid, it's Sand, response:	the card of the sand.
context: Release!\Fly!\What's going on?!\It's the act of a Clow Card!\But I didn't sense it at all!\What card is this?!\I'm afraid, it's Sand,\the card of the sand. response:	How do I turn it back?
context: Fly!\What's going on?!\It's the act of a Clow Card!\But I didn't sense it at all!\What card is this?!\I'm afraid, it's Sand,\the card of the sand.\How do I turn it back? response:	First, we need to stop it from moving!
context: What's going on?!\It's the act of a Clow Card!\But I didn't sense it at all!\What card is this?!\I'm afraid, it's Sand,\the card of the sand.\How do I turn it back?\First, we need to stop it from moving! response:	Li-kun!
context: It's the act of a Clow Card!\But I didn't sense it at all!\What card is this?!\I'm afraid, it's Sand,\the card of the sand.\How do I turn it back?\First, we need to stop it from moving!\Li-kun! response:	Li-kun!
context: But I didn't sense it at all!\What card is this?!\I'm afraid, it's Sand,\the card of the sand.\How do I turn it back?\First, we need to stop it from moving!\Li-kun!\Li-kun! response:	Don't come!
context: What card is this?!\I'm afraid, it's Sand,\the card of the sand.\How do I turn it back?\First, we need to stop it from moving!\Li-kun!\Li-kun!\Don't come! response:	But!
context: I'm afraid, it's Sand,\the card of the sand.\How do I turn it back?\First, we need to stop it from moving!\Li-kun!\Li-kun!\Don't come!\But! response:	Do what I say!
context: the card of the sand.\How do I turn it back?\First, we need to stop it from moving!\Li-kun!\Li-kun!\Don't come!\But!\Do what I say! response:	Yes.
context: How do I turn it back?\First, we need to stop it from moving!\Li-kun!\Li-kun!\Don't come!\But!\Do what I say!\Yes. response:	Use Watery and envelop this area!
context: First, we need to stop it from moving!\Li-kun!\Li-kun!\Don't come!\But!\Do what I say!\Yes.\Use Watery and envelop this area! response:	But it'll fill this place up, and besides,
context: Li-kun!\Li-kun!\Don't come!\But!\Do what I say!\Yes.\Use Watery and envelop this area!\But it'll fill this place up, and besides, response:	that won't stop it from moving!
context: Li-kun!\Don't come!\But!\Do what I say!\Yes.\Use Watery and envelop this area!\But it'll fill this place up, and besides,\that won't stop it from moving! response:	Just do it!
context: Don't come!\But!\Do what I say!\Yes.\Use Watery and envelop this area!\But it'll fill this place up, and besides,\that won't stop it from moving!\Just do it! response:	Water, pour over the sand!
context: But!\Do what I say!\Yes.\Use Watery and envelop this area!\But it'll fill this place up, and besides,\that won't stop it from moving!\Just do it!\Water, pour over the sand! response:	Watery!
context: Do what I say!\Yes.\Use Watery and envelop this area!\But it'll fill this place up, and besides,\that won't stop it from moving!\Just do it!\Water, pour over the sand!\Watery! response:	Freeze!
context: Yes.\Use Watery and envelop this area!\But it'll fill this place up, and besides,\that won't stop it from moving!\Just do it!\Water, pour over the sand!\Watery!\Freeze! response:	Freeze!
context: Use Watery and envelop this area!\But it'll fill this place up, and besides,\that won't stop it from moving!\Just do it!\Water, pour over the sand!\Watery!\Freeze!\Freeze! response:	Now!
context: But it'll fill this place up, and besides,\that won't stop it from moving!\Just do it!\Water, pour over the sand!\Watery!\Freeze!\Freeze!\Now! response:	Return to thy form which thou should be!
context: that won't stop it from moving!\Just do it!\Water, pour over the sand!\Watery!\Freeze!\Freeze!\Now!\Return to thy form which thou should be! response:	Clow Card!
context: Just do it!\Water, pour over the sand!\Watery!\Freeze!\Freeze!\Now!\Return to thy form which thou should be!\Clow Card! response:	Li-kun!
context: Water, pour over the sand!\Watery!\Freeze!\Freeze!\Now!\Return to thy form which thou should be!\Clow Card!\Li-kun! response:	Are you okay?
context: Watery!\Freeze!\Freeze!\Now!\Return to thy form which thou should be!\Clow Card!\Li-kun!\Are you okay? response:	Yeah. Kinda'
context: Freeze!\Freeze!\Now!\Return to thy form which thou should be!\Clow Card!\Li-kun!\Are you okay?\Yeah. Kinda' response:	Here.
context: Freeze!\Now!\Return to thy form which thou should be!\Clow Card!\Li-kun!\Are you okay?\Yeah. Kinda'\Here. response:	It's yours.
context: Now!\Return to thy form which thou should be!\Clow Card!\Li-kun!\Are you okay?\Yeah. Kinda'\Here.\It's yours. response:	Why?
context: Return to thy form which thou should be!\Clow Card!\Li-kun!\Are you okay?\Yeah. Kinda'\Here.\It's yours.\Why? response:	You were the one who thought of how to capture it,
context: Clow Card!\Li-kun!\Are you okay?\Yeah. Kinda'\Here.\It's yours.\Why?\You were the one who thought of how to capture it, response:	And earlier
context: Li-kun!\Are you okay?\Yeah. Kinda'\Here.\It's yours.\Why?\You were the one who thought of how to capture it,\And earlier response:	you let me have the card, Cloud.
context: Are you okay?\Yeah. Kinda'\Here.\It's yours.\Why?\You were the one who thought of how to capture it,\And earlier\you let me have the card, Cloud. response:	But you do understand
context: Yeah. Kinda'\Here.\It's yours.\Why?\You were the one who thought of how to capture it,\And earlier\you let me have the card, Cloud.\But you do understand response:	I'm fighting you
context: Here.\It's yours.\Why?\You were the one who thought of how to capture it,\And earlier\you let me have the card, Cloud.\But you do understand\I'm fighting you response:	over the Clow Cards.
context: It's yours.\Why?\You were the one who thought of how to capture it,\And earlier\you let me have the card, Cloud.\But you do understand\I'm fighting you\over the Clow Cards. response:	But this card is yours.
context: Why?\You were the one who thought of how to capture it,\And earlier\you let me have the card, Cloud.\But you do understand\I'm fighting you\over the Clow Cards.\But this card is yours. response:	Here.
context: You were the one who thought of how to capture it,\And earlier\you let me have the card, Cloud.\But you do understand\I'm fighting you\over the Clow Cards.\But this card is yours.\Here. response:	I'm not gonna give it back
context: And earlier\you let me have the card, Cloud.\But you do understand\I'm fighting you\over the Clow Cards.\But this card is yours.\Here.\I'm not gonna give it back response:	if you regret later.
context: you let me have the card, Cloud.\But you do understand\I'm fighting you\over the Clow Cards.\But this card is yours.\Here.\I'm not gonna give it back\if you regret later. response:	It's almost time the others come in.
context: But you do understand\I'm fighting you\over the Clow Cards.\But this card is yours.\Here.\I'm not gonna give it back\if you regret later.\It's almost time the others come in. response:	Thank goodness, the card was active
context: I'm fighting you\over the Clow Cards.\But this card is yours.\Here.\I'm not gonna give it back\if you regret later.\It's almost time the others come in.\Thank goodness, the card was active response:	before school starts'
context: over the Clow Cards.\But this card is yours.\Here.\I'm not gonna give it back\if you regret later.\It's almost time the others come in.\Thank goodness, the card was active\before school starts' response:	I wonder if it's a coincidence'
context: But this card is yours.\Here.\I'm not gonna give it back\if you regret later.\It's almost time the others come in.\Thank goodness, the card was active\before school starts'\I wonder if it's a coincidence' response:	Maybe it knows
context: Here.\I'm not gonna give it back\if you regret later.\It's almost time the others come in.\Thank goodness, the card was active\before school starts'\I wonder if it's a coincidence'\Maybe it knows response:	only the two of us are here at this hour'
context: I'm not gonna give it back\if you regret later.\It's almost time the others come in.\Thank goodness, the card was active\before school starts'\I wonder if it's a coincidence'\Maybe it knows\only the two of us are here at this hour' response:	Why?
context: if you regret later.\It's almost time the others come in.\Thank goodness, the card was active\before school starts'\I wonder if it's a coincidence'\Maybe it knows\only the two of us are here at this hour'\Why? response:	Nothing. I hope I'm just thinking too much.
context: It's almost time the others come in.\Thank goodness, the card was active\before school starts'\I wonder if it's a coincidence'\Maybe it knows\only the two of us are here at this hour'\Why?\Nothing. I hope I'm just thinking too much. response:	It will be very soon.
