context: Don't try to remember. response:	He doesn't
context: I never would have thought you'd do the best, Ichika.\I got lucky. That's all.\I'm beating you next time.\Yeah.\I'm going to take a short break.\You can handle it from here.\Oh, boss, is it all right if I set aside some pudding?\Sure, but did you ever like pudding? response:	No, it's in return for a Valentine's Day gift.
context: I got lucky. That's all.\I'm beating you next time.\Yeah.\I'm going to take a short break.\You can handle it from here.\Oh, boss, is it all right if I set aside some pudding?\Sure, but did you ever like pudding?\No, it's in return for a Valentine's Day gift. response:	I thought you were one of us!
context: I'm beating you next time.\Yeah.\I'm going to take a short break.\You can handle it from here.\Oh, boss, is it all right if I set aside some pudding?\Sure, but did you ever like pudding?\No, it's in return for a Valentine's Day gift.\I thought you were one of us! response:	Traitor!
context: Yeah.\I'm going to take a short break.\You can handle it from here.\Oh, boss, is it all right if I set aside some pudding?\Sure, but did you ever like pudding?\No, it's in return for a Valentine's Day gift.\I thought you were one of us!\Traitor! response:	Uh, it was from my sister.
context: I'm going to take a short break.\You can handle it from here.\Oh, boss, is it all right if I set aside some pudding?\Sure, but did you ever like pudding?\No, it's in return for a Valentine's Day gift.\I thought you were one of us!\Traitor!\Uh, it was from my sister. response:	Here you go!
context: You can handle it from here.\Oh, boss, is it all right if I set aside some pudding?\Sure, but did you ever like pudding?\No, it's in return for a Valentine's Day gift.\I thought you were one of us!\Traitor!\Uh, it was from my sister.\Here you go! response:	Oh, that's what it was.
context: Oh, boss, is it all right if I set aside some pudding?\Sure, but did you ever like pudding?\No, it's in return for a Valentine's Day gift.\I thought you were one of us!\Traitor!\Uh, it was from my sister.\Here you go!\Oh, that's what it was. response:	I thought it was from one of the five girls.
context: Sure, but did you ever like pudding?\No, it's in return for a Valentine's Day gift.\I thought you were one of us!\Traitor!\Uh, it was from my sister.\Here you go!\Oh, that's what it was.\I thought it was from one of the five girls. response:	That would never happen.
context: No, it's in return for a Valentine's Day gift.\I thought you were one of us!\Traitor!\Uh, it was from my sister.\Here you go!\Oh, that's what it was.\I thought it was from one of the five girls.\That would never happen. response:	Actually, I've been getting some all the time since January.
context: I thought you were one of us!\Traitor!\Uh, it was from my sister.\Here you go!\Oh, that's what it was.\I thought it was from one of the five girls.\That would never happen.\Actually, I've been getting some all the time since January. response:	Nah, no way.
context: Traitor!\Uh, it was from my sister.\Here you go!\Oh, that's what it was.\I thought it was from one of the five girls.\That would never happen.\Actually, I've been getting some all the time since January.\Nah, no way. response:	Working hard, huh?
context: Uh, it was from my sister.\Here you go!\Oh, that's what it was.\I thought it was from one of the five girls.\That would never happen.\Actually, I've been getting some all the time since January.\Nah, no way.\Working hard, huh? response:	Wh-Where's the boss?
context: Here you go!\Oh, that's what it was.\I thought it was from one of the five girls.\That would never happen.\Actually, I've been getting some all the time since January.\Nah, no way.\Working hard, huh?\Wh-Where's the boss? response:	He just went into the back.
context: Oh, that's what it was.\I thought it was from one of the five girls.\That would never happen.\Actually, I've been getting some all the time since January.\Nah, no way.\Working hard, huh?\Wh-Where's the boss?\He just went into the back. response:	Oh, okay.
context: I thought it was from one of the five girls.\That would never happen.\Actually, I've been getting some all the time since January.\Nah, no way.\Working hard, huh?\Wh-Where's the boss?\He just went into the back.\Oh, okay. response:	I was going to thank him.
context: That would never happen.\Actually, I've been getting some all the time since January.\Nah, no way.\Working hard, huh?\Wh-Where's the boss?\He just went into the back.\Oh, okay.\I was going to thank him. response:	I guess I'll wait for a bit.
context: Actually, I've been getting some all the time since January.\Nah, no way.\Working hard, huh?\Wh-Where's the boss?\He just went into the back.\Oh, okay.\I was going to thank him.\I guess I'll wait for a bit. response:	I hope I hid it well.
context: Nah, no way.\Working hard, huh?\Wh-Where's the boss?\He just went into the back.\Oh, okay.\I was going to thank him.\I guess I'll wait for a bit.\I hope I hid it well. response:	It's true that I was rooting for Miku... I think.
context: Working hard, huh?\Wh-Where's the boss?\He just went into the back.\Oh, okay.\I was going to thank him.\I guess I'll wait for a bit.\I hope I hid it well.\It's true that I was rooting for Miku... I think. response:	Nakano Ichika Japanese Math Science Socials English Total hhhhh38 63 52 40 47 240
context: Wh-Where's the boss?\He just went into the back.\Oh, okay.\I was going to thank him.\I guess I'll wait for a bit.\I hope I hid it well.\It's true that I was rooting for Miku... I think.\Nakano Ichika Japanese Math Science Socials English Total hhhhh38 63 52 40 47 240 response:	But just for a moment...
context: He just went into the back.\Oh, okay.\I was going to thank him.\I guess I'll wait for a bit.\I hope I hid it well.\It's true that I was rooting for Miku... I think.\Nakano Ichika Japanese Math Science Socials English Total hhhhh38 63 52 40 47 240\But just for a moment... response:	Miku said she'd confess if she came in first.
context: Oh, okay.\I was going to thank him.\I guess I'll wait for a bit.\I hope I hid it well.\It's true that I was rooting for Miku... I think.\Nakano Ichika Japanese Math Science Socials English Total hhhhh38 63 52 40 47 240\But just for a moment...\Miku said she'd confess if she came in first. response:	But I had the highest grade this time.
context: I was going to thank him.\I guess I'll wait for a bit.\I hope I hid it well.\It's true that I was rooting for Miku... I think.\Nakano Ichika Japanese Math Science Socials English Total hhhhh38 63 52 40 47 240\But just for a moment...\Miku said she'd confess if she came in first.\But I had the highest grade this time. response:	Does that mean I can?
context: I guess I'll wait for a bit.\I hope I hid it well.\It's true that I was rooting for Miku... I think.\Nakano Ichika Japanese Math Science Socials English Total hhhhh38 63 52 40 47 240\But just for a moment...\Miku said she'd confess if she came in first.\But I had the highest grade this time.\Does that mean I can? response:	Thanks for helping with the dishes.
context: I hope I hid it well.\It's true that I was rooting for Miku... I think.\Nakano Ichika Japanese Math Science Socials English Total hhhhh38 63 52 40 47 240\But just for a moment...\Miku said she'd confess if she came in first.\But I had the highest grade this time.\Does that mean I can?\Thanks for helping with the dishes. response:	It's in return for the treat.
context: It's true that I was rooting for Miku... I think.\Nakano Ichika Japanese Math Science Socials English Total hhhhh38 63 52 40 47 240\But just for a moment...\Miku said she'd confess if she came in first.\But I had the highest grade this time.\Does that mean I can?\Thanks for helping with the dishes.\It's in return for the treat. response:	You can go now.
context: Nakano Ichika Japanese Math Science Socials English Total hhhhh38 63 52 40 47 240\But just for a moment...\Miku said she'd confess if she came in first.\But I had the highest grade this time.\Does that mean I can?\Thanks for helping with the dishes.\It's in return for the treat.\You can go now. response:	I'll let the boss know.
context: But just for a moment...\Miku said she'd confess if she came in first.\But I had the highest grade this time.\Does that mean I can?\Thanks for helping with the dishes.\It's in return for the treat.\You can go now.\I'll let the boss know. response:	Go have a seat.
context: Miku said she'd confess if she came in first.\But I had the highest grade this time.\Does that mean I can?\Thanks for helping with the dishes.\It's in return for the treat.\You can go now.\I'll let the boss know.\Go have a seat. response:	R-Right.
context: But I had the highest grade this time.\Does that mean I can?\Thanks for helping with the dishes.\It's in return for the treat.\You can go now.\I'll let the boss know.\Go have a seat.\R-Right. response:	I'll do that.
context: Does that mean I can?\Thanks for helping with the dishes.\It's in return for the treat.\You can go now.\I'll let the boss know.\Go have a seat.\R-Right.\I'll do that. response:	What's wrong?
context: Thanks for helping with the dishes.\It's in return for the treat.\You can go now.\I'll let the boss know.\Go have a seat.\R-Right.\I'll do that.\What's wrong? response:	Forget what I said on the bike.
context: It's in return for the treat.\You can go now.\I'll let the boss know.\Go have a seat.\R-Right.\I'll do that.\What's wrong?\Forget what I said on the bike. response:	I'm sure I troubled you with what I said.
context: You can go now.\I'll let the boss know.\Go have a seat.\R-Right.\I'll do that.\What's wrong?\Forget what I said on the bike.\I'm sure I troubled you with what I said. response:	It was so sudden.
context: I'll let the boss know.\Go have a seat.\R-Right.\I'll do that.\What's wrong?\Forget what I said on the bike.\I'm sure I troubled you with what I said.\It was so sudden. response:	I think I went too fast.
context: Go have a seat.\R-Right.\I'll do that.\What's wrong?\Forget what I said on the bike.\I'm sure I troubled you with what I said.\It was so sudden.\I think I went too fast. response:	What am I doing?
context: R-Right.\I'll do that.\What's wrong?\Forget what I said on the bike.\I'm sure I troubled you with what I said.\It was so sudden.\I think I went too fast.\What am I doing? response:	Nino...
context: I'll do that.\What's wrong?\Forget what I said on the bike.\I'm sure I troubled you with what I said.\It was so sudden.\I think I went too fast.\What am I doing?\Nino... response:	What are you talking about?
context: What's wrong?\Forget what I said on the bike.\I'm sure I troubled you with what I said.\It was so sudden.\I think I went too fast.\What am I doing?\Nino...\What are you talking about? response:	I have no idea what you're talking about.
context: Forget what I said on the bike.\I'm sure I troubled you with what I said.\It was so sudden.\I think I went too fast.\What am I doing?\Nino...\What are you talking about?\I have no idea what you're talking about. response:	It was so windy. I might have missed it.
context: I'm sure I troubled you with what I said.\It was so sudden.\I think I went too fast.\What am I doing?\Nino...\What are you talking about?\I have no idea what you're talking about.\It was so windy. I might have missed it. response:	What the hell?!
context: It was so sudden.\I think I went too fast.\What am I doing?\Nino...\What are you talking about?\I have no idea what you're talking about.\It was so windy. I might have missed it.\What the hell?! response:	No, I mean, what?
context: I think I went too fast.\What am I doing?\Nino...\What are you talking about?\I have no idea what you're talking about.\It was so windy. I might have missed it.\What the hell?!\No, I mean, what? response:	Never mind!
context: What am I doing?\Nino...\What are you talking about?\I have no idea what you're talking about.\It was so windy. I might have missed it.\What the hell?!\No, I mean, what?\Never mind! response:	I guess he never heard me.
context: Nino...\What are you talking about?\I have no idea what you're talking about.\It was so windy. I might have missed it.\What the hell?!\No, I mean, what?\Never mind!\I guess he never heard me. response:	We aren't girlfriend material to him anyway.
context: What are you talking about?\I have no idea what you're talking about.\It was so windy. I might have missed it.\What the hell?!\No, I mean, what?\Never mind!\I guess he never heard me.\We aren't girlfriend material to him anyway. response:	He never even noticed when Miku gave him Valentine's Day chocolates.
context: I have no idea what you're talking about.\It was so windy. I might have missed it.\What the hell?!\No, I mean, what?\Never mind!\I guess he never heard me.\We aren't girlfriend material to him anyway.\He never even noticed when Miku gave him Valentine's Day chocolates. response:	I'm actually glad he didn't hear me.
context: It was so windy. I might have missed it.\What the hell?!\No, I mean, what?\Never mind!\I guess he never heard me.\We aren't girlfriend material to him anyway.\He never even noticed when Miku gave him Valentine's Day chocolates.\I'm actually glad he didn't hear me. response:	What was that about?
context: What the hell?!\No, I mean, what?\Never mind!\I guess he never heard me.\We aren't girlfriend material to him anyway.\He never even noticed when Miku gave him Valentine's Day chocolates.\I'm actually glad he didn't hear me.\What was that about? response:	Boss, I'm done cleaning up.
context: No, I mean, what?\Never mind!\I guess he never heard me.\We aren't girlfriend material to him anyway.\He never even noticed when Miku gave him Valentine's Day chocolates.\I'm actually glad he didn't hear me.\What was that about?\Boss, I'm done cleaning up. response:	I said I love you.
context: Never mind!\I guess he never heard me.\We aren't girlfriend material to him anyway.\He never even noticed when Miku gave him Valentine's Day chocolates.\I'm actually glad he didn't hear me.\What was that about?\Boss, I'm done cleaning up.\I said I love you. response:	Huh? What?
context: I guess he never heard me.\We aren't girlfriend material to him anyway.\He never even noticed when Miku gave him Valentine's Day chocolates.\I'm actually glad he didn't hear me.\What was that about?\Boss, I'm done cleaning up.\I said I love you.\Huh? What? response:	I'm not asking for a response.
context: We aren't girlfriend material to him anyway.\He never even noticed when Miku gave him Valentine's Day chocolates.\I'm actually glad he didn't hear me.\What was that about?\Boss, I'm done cleaning up.\I said I love you.\Huh? What?\I'm not asking for a response. response:	You're so frustrating.
context: He never even noticed when Miku gave him Valentine's Day chocolates.\I'm actually glad he didn't hear me.\What was that about?\Boss, I'm done cleaning up.\I said I love you.\Huh? What?\I'm not asking for a response.\You're so frustrating. response:	If you don't see me as girlfriend material, I'll force you to see me that way.
context: I'm actually glad he didn't hear me.\What was that about?\Boss, I'm done cleaning up.\I said I love you.\Huh? What?\I'm not asking for a response.\You're so frustrating.\If you don't see me as girlfriend material, I'll force you to see me that way. response:	Remember how I said there's gotta be
context: What was that about?\Boss, I'm done cleaning up.\I said I love you.\Huh? What?\I'm not asking for a response.\You're so frustrating.\If you don't see me as girlfriend material, I'll force you to see me that way.\Remember how I said there's gotta be response:	at least one girl on this planet who'd fall for a guy like you?
context: Boss, I'm done cleaning up.\I said I love you.\Huh? What?\I'm not asking for a response.\You're so frustrating.\If you don't see me as girlfriend material, I'll force you to see me that way.\Remember how I said there's gotta be\at least one girl on this planet who'd fall for a guy like you? response:	That girl is me.
context: I said I love you.\Huh? What?\I'm not asking for a response.\You're so frustrating.\If you don't see me as girlfriend material, I'll force you to see me that way.\Remember how I said there's gotta be\at least one girl on this planet who'd fall for a guy like you?\That girl is me. response:	Too bad for you!
context: Huh? What?\I'm not asking for a response.\You're so frustrating.\If you don't see me as girlfriend material, I'll force you to see me that way.\Remember how I said there's gotta be\at least one girl on this planet who'd fall for a guy like you?\That girl is me.\Too bad for you! response:	Yamasoto
context: I'm not asking for a response.\You're so frustrating.\If you don't see me as girlfriend material, I'll force you to see me that way.\Remember how I said there's gotta be\at least one girl on this planet who'd fall for a guy like you?\That girl is me.\Too bad for you!\Yamasoto response:	Open until 11 PM
context: You're so frustrating.\If you don't see me as girlfriend material, I'll force you to see me that way.\Remember how I said there's gotta be\at least one girl on this planet who'd fall for a guy like you?\That girl is me.\Too bad for you!\Yamasoto\Open until 11 PM response:	F-Futaro.
context: If you don't see me as girlfriend material, I'll force you to see me that way.\Remember how I said there's gotta be\at least one girl on this planet who'd fall for a guy like you?\That girl is me.\Too bad for you!\Yamasoto\Open until 11 PM\F-Futaro. response:	Hey.
context: Remember how I said there's gotta be\at least one girl on this planet who'd fall for a guy like you?\That girl is me.\Too bad for you!\Yamasoto\Open until 11 PM\F-Futaro.\Hey. response:	What a coincidence.
context: at least one girl on this planet who'd fall for a guy like you?\That girl is me.\Too bad for you!\Yamasoto\Open until 11 PM\F-Futaro.\Hey.\What a coincidence. response:	Are you shopping, too?
context: That girl is me.\Too bad for you!\Yamasoto\Open until 11 PM\F-Futaro.\Hey.\What a coincidence.\Are you shopping, too? response:	Yeah. It's my turn today.
context: Too bad for you!\Yamasoto\Open until 11 PM\F-Futaro.\Hey.\What a coincidence.\Are you shopping, too?\Yeah. It's my turn today. response:	Weren't there some shops closer to your place? Why...
context: Yamasoto\Open until 11 PM\F-Futaro.\Hey.\What a coincidence.\Are you shopping, too?\Yeah. It's my turn today.\Weren't there some shops closer to your place? Why... response:	It's not like I took a detour to come to this shop in order to have a chance
context: Open until 11 PM\F-Futaro.\Hey.\What a coincidence.\Are you shopping, too?\Yeah. It's my turn today.\Weren't there some shops closer to your place? Why...\It's not like I took a detour to come to this shop in order to have a chance response:	to run into you based on what I remembered.
context: F-Futaro.\Hey.\What a coincidence.\Are you shopping, too?\Yeah. It's my turn today.\Weren't there some shops closer to your place? Why...\It's not like I took a detour to come to this shop in order to have a chance\to run into you based on what I remembered. response:	I was just walking when I naturally found myself at this shop.
context: Hey.\What a coincidence.\Are you shopping, too?\Yeah. It's my turn today.\Weren't there some shops closer to your place? Why...\It's not like I took a detour to come to this shop in order to have a chance\to run into you based on what I remembered.\I was just walking when I naturally found myself at this shop. response:	The longest tale in Miku history.
context: What a coincidence.\Are you shopping, too?\Yeah. It's my turn today.\Weren't there some shops closer to your place? Why...\It's not like I took a detour to come to this shop in order to have a chance\to run into you based on what I remembered.\I was just walking when I naturally found myself at this shop.\The longest tale in Miku history. response:	Um...
context: Are you shopping, too?\Yeah. It's my turn today.\Weren't there some shops closer to your place? Why...\It's not like I took a detour to come to this shop in order to have a chance\to run into you based on what I remembered.\I was just walking when I naturally found myself at this shop.\The longest tale in Miku history.\Um... response:	Oh.
context: Yeah. It's my turn today.\Weren't there some shops closer to your place? Why...\It's not like I took a detour to come to this shop in order to have a chance\to run into you based on what I remembered.\I was just walking when I naturally found myself at this shop.\The longest tale in Miku history.\Um...\Oh. response:	This.
context: Weren't there some shops closer to your place? Why...\It's not like I took a detour to come to this shop in order to have a chance\to run into you based on what I remembered.\I was just walking when I naturally found myself at this shop.\The longest tale in Miku history.\Um...\Oh.\This. response:	I came for this.
context: It's not like I took a detour to come to this shop in order to have a chance\to run into you based on what I remembered.\I was just walking when I naturally found myself at this shop.\The longest tale in Miku history.\Um...\Oh.\This.\I came for this. response:	Submit a receipt for over 3,000 yen in purchases
context: to run into you based on what I remembered.\I was just walking when I naturally found myself at this shop.\The longest tale in Miku history.\Um...\Oh.\This.\I came for this.\Submit a receipt for over 3,000 yen in purchases response:	Chance to win a big prize! 300 winners in all!
context: I was just walking when I naturally found myself at this shop.\The longest tale in Miku history.\Um...\Oh.\This.\I came for this.\Submit a receipt for over 3,000 yen in purchases\Chance to win a big prize! 300 winners in all! response:	Huh?
context: The longest tale in Miku history.\Um...\Oh.\This.\I came for this.\Submit a receipt for over 3,000 yen in purchases\Chance to win a big prize! 300 winners in all!\Huh? response:	I never knew about this.
context: Um...\Oh.\This.\I came for this.\Submit a receipt for over 3,000 yen in purchases\Chance to win a big prize! 300 winners in all!\Huh?\I never knew about this. response:	Prize A
context: Oh.\This.\I came for this.\Submit a receipt for over 3,000 yen in purchases\Chance to win a big prize! 300 winners in all!\Huh?\I never knew about this.\Prize A response:	Hot spring vouchers for two 5 winners
context: This.\I came for this.\Submit a receipt for over 3,000 yen in purchases\Chance to win a big prize! 300 winners in all!\Huh?\I never knew about this.\Prize A\Hot spring vouchers for two 5 winners response:	Prize B
context: I came for this.\Submit a receipt for over 3,000 yen in purchases\Chance to win a big prize! 300 winners in all!\Huh?\I never knew about this.\Prize A\Hot spring vouchers for two 5 winners\Prize B response:	Pair rings 5 winners
context: Submit a receipt for over 3,000 yen in purchases\Chance to win a big prize! 300 winners in all!\Huh?\I never knew about this.\Prize A\Hot spring vouchers for two 5 winners\Prize B\Pair rings 5 winners response:	Prize C
context: Chance to win a big prize! 300 winners in all!\Huh?\I never knew about this.\Prize A\Hot spring vouchers for two 5 winners\Prize B\Pair rings 5 winners\Prize C response:	Gift catalog worth 10,000 yen
context: Huh?\I never knew about this.\Prize A\Hot spring vouchers for two 5 winners\Prize B\Pair rings 5 winners\Prize C\Gift catalog worth 10,000 yen response:	10 winners
context: I never knew about this.\Prize A\Hot spring vouchers for two 5 winners\Prize B\Pair rings 5 winners\Prize C\Gift catalog worth 10,000 yen\10 winners response:	Prize D
context: Prize A\Hot spring vouchers for two 5 winners\Prize B\Pair rings 5 winners\Prize C\Gift catalog worth 10,000 yen\10 winners\Prize D response:	5 kg rice
context: Hot spring vouchers for two 5 winners\Prize B\Pair rings 5 winners\Prize C\Gift catalog worth 10,000 yen\10 winners\Prize D\5 kg rice response:	30 winners
context: Prize B\Pair rings 5 winners\Prize C\Gift catalog worth 10,000 yen\10 winners\Prize D\5 kg rice\30 winners response:	Prize E
context: Pair rings 5 winners\Prize C\Gift catalog worth 10,000 yen\10 winners\Prize D\5 kg rice\30 winners\Prize E response:	Gift coupons worth 3,000 yen
context: Prize C\Gift catalog worth 10,000 yen\10 winners\Prize D\5 kg rice\30 winners\Prize E\Gift coupons worth 3,000 yen response:	50 winners
context: Gift catalog worth 10,000 yen\10 winners\Prize D\5 kg rice\30 winners\Prize E\Gift coupons worth 3,000 yen\50 winners response:	Prize F
context: 10 winners\Prize D\5 kg rice\30 winners\Prize E\Gift coupons worth 3,000 yen\50 winners\Prize F response:	Pocket tissues
context: Prize D\5 kg rice\30 winners\Prize E\Gift coupons worth 3,000 yen\50 winners\Prize F\Pocket tissues response:	200 winners
context: 5 kg rice\30 winners\Prize E\Gift coupons worth 3,000 yen\50 winners\Prize F\Pocket tissues\200 winners response:	Y-Yeah.
context: 30 winners\Prize E\Gift coupons worth 3,000 yen\50 winners\Prize F\Pocket tissues\200 winners\Y-Yeah. response:	This is the only place that does it.
context: Prize E\Gift coupons worth 3,000 yen\50 winners\Prize F\Pocket tissues\200 winners\Y-Yeah.\This is the only place that does it. response:	Toraiwa Hot Springs
context: Gift coupons worth 3,000 yen\50 winners\Prize F\Pocket tissues\200 winners\Y-Yeah.\This is the only place that does it.\Toraiwa Hot Springs response:	This hot spring is near where our Grandpa lives.
context: 50 winners\Prize F\Pocket tissues\200 winners\Y-Yeah.\This is the only place that does it.\Toraiwa Hot Springs\This hot spring is near where our Grandpa lives. response:	You can't even trade hot spring vouchers for money.
context: Prize F\Pocket tissues\200 winners\Y-Yeah.\This is the only place that does it.\Toraiwa Hot Springs\This hot spring is near where our Grandpa lives.\You can't even trade hot spring vouchers for money. response:	The best prize is obviously Prize E, the gift coupons.
context: Pocket tissues\200 winners\Y-Yeah.\This is the only place that does it.\Toraiwa Hot Springs\This hot spring is near where our Grandpa lives.\You can't even trade hot spring vouchers for money.\The best prize is obviously Prize E, the gift coupons. response:	Wait...
context: 200 winners\Y-Yeah.\This is the only place that does it.\Toraiwa Hot Springs\This hot spring is near where our Grandpa lives.\You can't even trade hot spring vouchers for money.\The best prize is obviously Prize E, the gift coupons.\Wait... response:	How much would Prize B fetch if you sold it?
context: Y-Yeah.\This is the only place that does it.\Toraiwa Hot Springs\This hot spring is near where our Grandpa lives.\You can't even trade hot spring vouchers for money.\The best prize is obviously Prize E, the gift coupons.\Wait...\How much would Prize B fetch if you sold it? response:	I have a feeling you would never win it, Futaro.
context: This is the only place that does it.\Toraiwa Hot Springs\This hot spring is near where our Grandpa lives.\You can't even trade hot spring vouchers for money.\The best prize is obviously Prize E, the gift coupons.\Wait...\How much would Prize B fetch if you sold it?\I have a feeling you would never win it, Futaro. response:	We won't know until we try!
context: Toraiwa Hot Springs\This hot spring is near where our Grandpa lives.\You can't even trade hot spring vouchers for money.\The best prize is obviously Prize E, the gift coupons.\Wait...\How much would Prize B fetch if you sold it?\I have a feeling you would never win it, Futaro.\We won't know until we try! response:	Let's go pay.
context: This hot spring is near where our Grandpa lives.\You can't even trade hot spring vouchers for money.\The best prize is obviously Prize E, the gift coupons.\Wait...\How much would Prize B fetch if you sold it?\I have a feeling you would never win it, Futaro.\We won't know until we try!\Let's go pay. response:	Wait.
context: You can't even trade hot spring vouchers for money.\The best prize is obviously Prize E, the gift coupons.\Wait...\How much would Prize B fetch if you sold it?\I have a feeling you would never win it, Futaro.\We won't know until we try!\Let's go pay.\Wait. response:	There's something Nino wanted me to buy her.
context: The best prize is obviously Prize E, the gift coupons.\Wait...\How much would Prize B fetch if you sold it?\I have a feeling you would never win it, Futaro.\We won't know until we try!\Let's go pay.\Wait.\There's something Nino wanted me to buy her. response:	I-I see.
context: Wait...\How much would Prize B fetch if you sold it?\I have a feeling you would never win it, Futaro.\We won't know until we try!\Let's go pay.\Wait.\There's something Nino wanted me to buy her.\I-I see. response:	Has Nino said anything?
context: How much would Prize B fetch if you sold it?\I have a feeling you would never win it, Futaro.\We won't know until we try!\Let's go pay.\Wait.\There's something Nino wanted me to buy her.\I-I see.\Has Nino said anything? response:	Like what?
context: I have a feeling you would never win it, Futaro.\We won't know until we try!\Let's go pay.\Wait.\There's something Nino wanted me to buy her.\I-I see.\Has Nino said anything?\Like what? response:	No, right?
context: We won't know until we try!\Let's go pay.\Wait.\There's something Nino wanted me to buy her.\I-I see.\Has Nino said anything?\Like what?\No, right? response:	Never mind.
context: Let's go pay.\Wait.\There's something Nino wanted me to buy her.\I-I see.\Has Nino said anything?\Like what?\No, right?\Never mind. response:	Hey, Miku...
context: Wait.\There's something Nino wanted me to buy her.\I-I see.\Has Nino said anything?\Like what?\No, right?\Never mind.\Hey, Miku... response:	Is there anyone you have a crush on or anything?
context: There's something Nino wanted me to buy her.\I-I see.\Has Nino said anything?\Like what?\No, right?\Never mind.\Hey, Miku...\Is there anyone you have a crush on or anything? response:	There isn't.
context: I-I see.\Has Nino said anything?\Like what?\No, right?\Never mind.\Hey, Miku...\Is there anyone you have a crush on or anything?\There isn't. response:	I already told you that.
context: Has Nino said anything?\Like what?\No, right?\Never mind.\Hey, Miku...\Is there anyone you have a crush on or anything?\There isn't.\I already told you that. response:	There isn't anyone in class that you've since developed feelings for?
context: Like what?\No, right?\Never mind.\Hey, Miku...\Is there anyone you have a crush on or anything?\There isn't.\I already told you that.\There isn't anyone in class that you've since developed feelings for? response:	Let's talk about dating! Dating!
context: No, right?\Never mind.\Hey, Miku...\Is there anyone you have a crush on or anything?\There isn't.\I already told you that.\There isn't anyone in class that you've since developed feelings for?\Let's talk about dating! Dating! response:	What's gotten into you, Futaro?
context: Never mind.\Hey, Miku...\Is there anyone you have a crush on or anything?\There isn't.\I already told you that.\There isn't anyone in class that you've since developed feelings for?\Let's talk about dating! Dating!\What's gotten into you, Futaro? response:	Um...
context: Hey, Miku...\Is there anyone you have a crush on or anything?\There isn't.\I already told you that.\There isn't anyone in class that you've since developed feelings for?\Let's talk about dating! Dating!\What's gotten into you, Futaro?\Um... response:	An acquaintance of mine apparently got confessed to by a classmate.
context: Is there anyone you have a crush on or anything?\There isn't.\I already told you that.\There isn't anyone in class that you've since developed feelings for?\Let's talk about dating! Dating!\What's gotten into you, Futaro?\Um...\An acquaintance of mine apparently got confessed to by a classmate. response:	Yeah?
context: There isn't.\I already told you that.\There isn't anyone in class that you've since developed feelings for?\Let's talk about dating! Dating!\What's gotten into you, Futaro?\Um...\An acquaintance of mine apparently got confessed to by a classmate.\Yeah? response:	They said they don't need a response, but, uh...
context: I already told you that.\There isn't anyone in class that you've since developed feelings for?\Let's talk about dating! Dating!\What's gotten into you, Futaro?\Um...\An acquaintance of mine apparently got confessed to by a classmate.\Yeah?\They said they don't need a response, but, uh... response:	Honestly, it's troubling.
context: There isn't anyone in class that you've since developed feelings for?\Let's talk about dating! Dating!\What's gotten into you, Futaro?\Um...\An acquaintance of mine apparently got confessed to by a classmate.\Yeah?\They said they don't need a response, but, uh...\Honestly, it's troubling. response:	What?
context: Let's talk about dating! Dating!\What's gotten into you, Futaro?\Um...\An acquaintance of mine apparently got confessed to by a classmate.\Yeah?\They said they don't need a response, but, uh...\Honestly, it's troubling.\What? response:	I didn't think you'd be one to think about that kind of thing.
context: What's gotten into you, Futaro?\Um...\An acquaintance of mine apparently got confessed to by a classmate.\Yeah?\They said they don't need a response, but, uh...\Honestly, it's troubling.\What?\I didn't think you'd be one to think about that kind of thing. response:	You're like a normal guy.
context: Um...\An acquaintance of mine apparently got confessed to by a classmate.\Yeah?\They said they don't need a response, but, uh...\Honestly, it's troubling.\What?\I didn't think you'd be one to think about that kind of thing.\You're like a normal guy. response:	I'm just asking for someone I know.
context: An acquaintance of mine apparently got confessed to by a classmate.\Yeah?\They said they don't need a response, but, uh...\Honestly, it's troubling.\What?\I didn't think you'd be one to think about that kind of thing.\You're like a normal guy.\I'm just asking for someone I know. response:	I thought you'd be the type to dismiss that kind of thing.
context: Yeah?\They said they don't need a response, but, uh...\Honestly, it's troubling.\What?\I didn't think you'd be one to think about that kind of thing.\You're like a normal guy.\I'm just asking for someone I know.\I thought you'd be the type to dismiss that kind of thing. response:	I'm glad.
context: They said they don't need a response, but, uh...\Honestly, it's troubling.\What?\I didn't think you'd be one to think about that kind of thing.\You're like a normal guy.\I'm just asking for someone I know.\I thought you'd be the type to dismiss that kind of thing.\I'm glad. response:	What happened to my acquaintance was...
context: Honestly, it's troubling.\What?\I didn't think you'd be one to think about that kind of thing.\You're like a normal guy.\I'm just asking for someone I know.\I thought you'd be the type to dismiss that kind of thing.\I'm glad.\What happened to my acquaintance was... response:	She tried to confess, but she didn't have the guts to, apparently.
context: What?\I didn't think you'd be one to think about that kind of thing.\You're like a normal guy.\I'm just asking for someone I know.\I thought you'd be the type to dismiss that kind of thing.\I'm glad.\What happened to my acquaintance was...\She tried to confess, but she didn't have the guts to, apparently. response:	Once you do, you can't go back to how things were before.
context: I didn't think you'd be one to think about that kind of thing.\You're like a normal guy.\I'm just asking for someone I know.\I thought you'd be the type to dismiss that kind of thing.\I'm glad.\What happened to my acquaintance was...\She tried to confess, but she didn't have the guts to, apparently.\Once you do, you can't go back to how things were before. response:	So it takes a lot of courage.
