context: Thanks for the meal, I'm leaving now! response:	Hey.
context: Oh, thanks for coming!\Come on, over here.\Hey, Shinichirou.\It's fine if I eat with guys once in a while, right?\Oh, you can't eat that one.\You will only lie more if you eat food that rips people off.\Lie?\Sausages aren't actually red. response:	But you made this...
context: Come on, over here.\Hey, Shinichirou.\It's fine if I eat with guys once in a while, right?\Oh, you can't eat that one.\You will only lie more if you eat food that rips people off.\Lie?\Sausages aren't actually red.\But you made this... response:	I nearly misunderstood Shinichirou...
context: Hey, Shinichirou.\It's fine if I eat with guys once in a while, right?\Oh, you can't eat that one.\You will only lie more if you eat food that rips people off.\Lie?\Sausages aren't actually red.\But you made this...\I nearly misunderstood Shinichirou... response:	But, I got it wrong. I can eat with Shinichirou!
context: It's fine if I eat with guys once in a while, right?\Oh, you can't eat that one.\You will only lie more if you eat food that rips people off.\Lie?\Sausages aren't actually red.\But you made this...\I nearly misunderstood Shinichirou...\But, I got it wrong. I can eat with Shinichirou! response:	Shinichirou's a person who can shed precious tears.
context: Oh, you can't eat that one.\You will only lie more if you eat food that rips people off.\Lie?\Sausages aren't actually red.\But you made this...\I nearly misunderstood Shinichirou...\But, I got it wrong. I can eat with Shinichirou!\Shinichirou's a person who can shed precious tears. response:	Tears, huh?
context: You will only lie more if you eat food that rips people off.\Lie?\Sausages aren't actually red.\But you made this...\I nearly misunderstood Shinichirou...\But, I got it wrong. I can eat with Shinichirou!\Shinichirou's a person who can shed precious tears.\Tears, huh? response:	But, how are you going to turn my tears into yours?
context: Lie?\Sausages aren't actually red.\But you made this...\I nearly misunderstood Shinichirou...\But, I got it wrong. I can eat with Shinichirou!\Shinichirou's a person who can shed precious tears.\Tears, huh?\But, how are you going to turn my tears into yours? response:	There's still quite a lot to do.
context: Sausages aren't actually red.\But you made this...\I nearly misunderstood Shinichirou...\But, I got it wrong. I can eat with Shinichirou!\Shinichirou's a person who can shed precious tears.\Tears, huh?\But, how are you going to turn my tears into yours?\There's still quite a lot to do. response:	But, granny did it on me this way.
context: But you made this...\I nearly misunderstood Shinichirou...\But, I got it wrong. I can eat with Shinichirou!\Shinichirou's a person who can shed precious tears.\Tears, huh?\But, how are you going to turn my tears into yours?\There's still quite a lot to do.\But, granny did it on me this way. response:	Following the windy night,
context: I nearly misunderstood Shinichirou...\But, I got it wrong. I can eat with Shinichirou!\Shinichirou's a person who can shed precious tears.\Tears, huh?\But, how are you going to turn my tears into yours?\There's still quite a lot to do.\But, granny did it on me this way.\Following the windy night, response:	Is the moment when Raigou-maru wants to fly to the sky.
context: But, I got it wrong. I can eat with Shinichirou!\Shinichirou's a person who can shed precious tears.\Tears, huh?\But, how are you going to turn my tears into yours?\There's still quite a lot to do.\But, granny did it on me this way.\Following the windy night,\Is the moment when Raigou-maru wants to fly to the sky. response:	It's a breezy afternoon with a clear sky,
context: Shinichirou's a person who can shed precious tears.\Tears, huh?\But, how are you going to turn my tears into yours?\There's still quite a lot to do.\But, granny did it on me this way.\Following the windy night,\Is the moment when Raigou-maru wants to fly to the sky.\It's a breezy afternoon with a clear sky, response:	Because of the wind the day before, broken straws and grass are everywhere, scattered across the ground.
context: Tears, huh?\But, how are you going to turn my tears into yours?\There's still quite a lot to do.\But, granny did it on me this way.\Following the windy night,\Is the moment when Raigou-maru wants to fly to the sky.\It's a breezy afternoon with a clear sky,\Because of the wind the day before, broken straws and grass are everywhere, scattered across the ground. response:	Even those worms, delicious and usually hard-to-find,
context: But, how are you going to turn my tears into yours?\There's still quite a lot to do.\But, granny did it on me this way.\Following the windy night,\Is the moment when Raigou-maru wants to fly to the sky.\It's a breezy afternoon with a clear sky,\Because of the wind the day before, broken straws and grass are everywhere, scattered across the ground.\Even those worms, delicious and usually hard-to-find, response:	could be easily found.
context: There's still quite a lot to do.\But, granny did it on me this way.\Following the windy night,\Is the moment when Raigou-maru wants to fly to the sky.\It's a breezy afternoon with a clear sky,\Because of the wind the day before, broken straws and grass are everywhere, scattered across the ground.\Even those worms, delicious and usually hard-to-find,\could be easily found. response:	Perhaps I can fly, too!
context: But, granny did it on me this way.\Following the windy night,\Is the moment when Raigou-maru wants to fly to the sky.\It's a breezy afternoon with a clear sky,\Because of the wind the day before, broken straws and grass are everywhere, scattered across the ground.\Even those worms, delicious and usually hard-to-find,\could be easily found.\Perhaps I can fly, too! response:	Isn't this exactly how she imagines it?
context: Following the windy night,\Is the moment when Raigou-maru wants to fly to the sky.\It's a breezy afternoon with a clear sky,\Because of the wind the day before, broken straws and grass are everywhere, scattered across the ground.\Even those worms, delicious and usually hard-to-find,\could be easily found.\Perhaps I can fly, too!\Isn't this exactly how she imagines it? response:	Yo.
context: Is the moment when Raigou-maru wants to fly to the sky.\It's a breezy afternoon with a clear sky,\Because of the wind the day before, broken straws and grass are everywhere, scattered across the ground.\Even those worms, delicious and usually hard-to-find,\could be easily found.\Perhaps I can fly, too!\Isn't this exactly how she imagines it?\Yo. response:	So you really did come.
context: It's a breezy afternoon with a clear sky,\Because of the wind the day before, broken straws and grass are everywhere, scattered across the ground.\Even those worms, delicious and usually hard-to-find,\could be easily found.\Perhaps I can fly, too!\Isn't this exactly how she imagines it?\Yo.\So you really did come. response:	I told you, didn't I.
context: Because of the wind the day before, broken straws and grass are everywhere, scattered across the ground.\Even those worms, delicious and usually hard-to-find,\could be easily found.\Perhaps I can fly, too!\Isn't this exactly how she imagines it?\Yo.\So you really did come.\I told you, didn't I. response:	So, have you decided yet?
context: Even those worms, delicious and usually hard-to-find,\could be easily found.\Perhaps I can fly, too!\Isn't this exactly how she imagines it?\Yo.\So you really did come.\I told you, didn't I.\So, have you decided yet? response:	Now look here... don't go around trying to control how others feel.
context: could be easily found.\Perhaps I can fly, too!\Isn't this exactly how she imagines it?\Yo.\So you really did come.\I told you, didn't I.\So, have you decided yet?\Now look here... don't go around trying to control how others feel. response:	It's not that big of a deal.
context: Perhaps I can fly, too!\Isn't this exactly how she imagines it?\Yo.\So you really did come.\I told you, didn't I.\So, have you decided yet?\Now look here... don't go around trying to control how others feel.\It's not that big of a deal. response:	Then, in return for me dating Isurugi Noe,
context: Isn't this exactly how she imagines it?\Yo.\So you really did come.\I told you, didn't I.\So, have you decided yet?\Now look here... don't go around trying to control how others feel.\It's not that big of a deal.\Then, in return for me dating Isurugi Noe, response:	You'd also need to go out with Hiromi, how about that?
context: Yo.\So you really did come.\I told you, didn't I.\So, have you decided yet?\Now look here... don't go around trying to control how others feel.\It's not that big of a deal.\Then, in return for me dating Isurugi Noe,\You'd also need to go out with Hiromi, how about that? response:	Eh?
context: So you really did come.\I told you, didn't I.\So, have you decided yet?\Now look here... don't go around trying to control how others feel.\It's not that big of a deal.\Then, in return for me dating Isurugi Noe,\You'd also need to go out with Hiromi, how about that?\Eh? response:	See, you need to think about it as well.
context: I told you, didn't I.\So, have you decided yet?\Now look here... don't go around trying to control how others feel.\It's not that big of a deal.\Then, in return for me dating Isurugi Noe,\You'd also need to go out with Hiromi, how about that?\Eh?\See, you need to think about it as well. response:	That's not what I meant,
context: So, have you decided yet?\Now look here... don't go around trying to control how others feel.\It's not that big of a deal.\Then, in return for me dating Isurugi Noe,\You'd also need to go out with Hiromi, how about that?\Eh?\See, you need to think about it as well.\That's not what I meant, response:	Who's Hiromi?
context: Now look here... don't go around trying to control how others feel.\It's not that big of a deal.\Then, in return for me dating Isurugi Noe,\You'd also need to go out with Hiromi, how about that?\Eh?\See, you need to think about it as well.\That's not what I meant,\Who's Hiromi? response:	It's Yuasa Hiromi! Don't tell me you don't know!
context: It's not that big of a deal.\Then, in return for me dating Isurugi Noe,\You'd also need to go out with Hiromi, how about that?\Eh?\See, you need to think about it as well.\That's not what I meant,\Who's Hiromi?\It's Yuasa Hiromi! Don't tell me you don't know! response:	Oh, you mean No. 6 on your team?
context: Then, in return for me dating Isurugi Noe,\You'd also need to go out with Hiromi, how about that?\Eh?\See, you need to think about it as well.\That's not what I meant,\Who's Hiromi?\It's Yuasa Hiromi! Don't tell me you don't know!\Oh, you mean No. 6 on your team? response:	That girl is quite cute.
context: You'd also need to go out with Hiromi, how about that?\Eh?\See, you need to think about it as well.\That's not what I meant,\Who's Hiromi?\It's Yuasa Hiromi! Don't tell me you don't know!\Oh, you mean No. 6 on your team?\That girl is quite cute. response:	Alright, then.
context: Eh?\See, you need to think about it as well.\That's not what I meant,\Who's Hiromi?\It's Yuasa Hiromi! Don't tell me you don't know!\Oh, you mean No. 6 on your team?\That girl is quite cute.\Alright, then. response:	Hey, hold on!
context: See, you need to think about it as well.\That's not what I meant,\Who's Hiromi?\It's Yuasa Hiromi! Don't tell me you don't know!\Oh, you mean No. 6 on your team?\That girl is quite cute.\Alright, then.\Hey, hold on! response:	Dammit, just what's with that guy?
context: That's not what I meant,\Who's Hiromi?\It's Yuasa Hiromi! Don't tell me you don't know!\Oh, you mean No. 6 on your team?\That girl is quite cute.\Alright, then.\Hey, hold on!\Dammit, just what's with that guy? response:	Is he retarded or something?
context: Who's Hiromi?\It's Yuasa Hiromi! Don't tell me you don't know!\Oh, you mean No. 6 on your team?\That girl is quite cute.\Alright, then.\Hey, hold on!\Dammit, just what's with that guy?\Is he retarded or something? response:	He couldn't possibly be serious, right?
context: It's Yuasa Hiromi! Don't tell me you don't know!\Oh, you mean No. 6 on your team?\That girl is quite cute.\Alright, then.\Hey, hold on!\Dammit, just what's with that guy?\Is he retarded or something?\He couldn't possibly be serious, right? response:	Same for Hiromi, I don't see any good in that guy.
context: Oh, you mean No. 6 on your team?\That girl is quite cute.\Alright, then.\Hey, hold on!\Dammit, just what's with that guy?\Is he retarded or something?\He couldn't possibly be serious, right?\Same for Hiromi, I don't see any good in that guy. response:	I don't get it at all!
context: That girl is quite cute.\Alright, then.\Hey, hold on!\Dammit, just what's with that guy?\Is he retarded or something?\He couldn't possibly be serious, right?\Same for Hiromi, I don't see any good in that guy.\I don't get it at all! response:	Just what the hell does he think other's feelings are?
context: Alright, then.\Hey, hold on!\Dammit, just what's with that guy?\Is he retarded or something?\He couldn't possibly be serious, right?\Same for Hiromi, I don't see any good in that guy.\I don't get it at all!\Just what the hell does he think other's feelings are? response:	How could he possibly propose to date with someone else as a return of favor?
context: Hey, hold on!\Dammit, just what's with that guy?\Is he retarded or something?\He couldn't possibly be serious, right?\Same for Hiromi, I don't see any good in that guy.\I don't get it at all!\Just what the hell does he think other's feelings are?\How could he possibly propose to date with someone else as a return of favor? response:	But it was me who proposed that as a return favor.
context: Dammit, just what's with that guy?\Is he retarded or something?\He couldn't possibly be serious, right?\Same for Hiromi, I don't see any good in that guy.\I don't get it at all!\Just what the hell does he think other's feelings are?\How could he possibly propose to date with someone else as a return of favor?\But it was me who proposed that as a return favor. response:	If that guy's serious,
context: Is he retarded or something?\He couldn't possibly be serious, right?\Same for Hiromi, I don't see any good in that guy.\I don't get it at all!\Just what the hell does he think other's feelings are?\How could he possibly propose to date with someone else as a return of favor?\But it was me who proposed that as a return favor.\If that guy's serious, response:	then wouldn't it be perfect for Hiromi?
context: He couldn't possibly be serious, right?\Same for Hiromi, I don't see any good in that guy.\I don't get it at all!\Just what the hell does he think other's feelings are?\How could he possibly propose to date with someone else as a return of favor?\But it was me who proposed that as a return favor.\If that guy's serious,\then wouldn't it be perfect for Hiromi? response:	So this is how you truly imagine?
context: Same for Hiromi, I don't see any good in that guy.\I don't get it at all!\Just what the hell does he think other's feelings are?\How could he possibly propose to date with someone else as a return of favor?\But it was me who proposed that as a return favor.\If that guy's serious,\then wouldn't it be perfect for Hiromi?\So this is how you truly imagine? response:	Err...
context: I don't get it at all!\Just what the hell does he think other's feelings are?\How could he possibly propose to date with someone else as a return of favor?\But it was me who proposed that as a return favor.\If that guy's serious,\then wouldn't it be perfect for Hiromi?\So this is how you truly imagine?\Err... response:	I have something to tell you.
context: Just what the hell does he think other's feelings are?\How could he possibly propose to date with someone else as a return of favor?\But it was me who proposed that as a return favor.\If that guy's serious,\then wouldn't it be perfect for Hiromi?\So this is how you truly imagine?\Err...\I have something to tell you. response:	Well... there's no rush... we could talk about it at school tomorrow.
context: How could he possibly propose to date with someone else as a return of favor?\But it was me who proposed that as a return favor.\If that guy's serious,\then wouldn't it be perfect for Hiromi?\So this is how you truly imagine?\Err...\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow. response:	Come in.
context: But it was me who proposed that as a return favor.\If that guy's serious,\then wouldn't it be perfect for Hiromi?\So this is how you truly imagine?\Err...\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in. response:	It's the first time I've entered this room.
context: If that guy's serious,\then wouldn't it be perfect for Hiromi?\So this is how you truly imagine?\Err...\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in.\It's the first time I've entered this room. response:	Isn't this the first time?
context: then wouldn't it be perfect for Hiromi?\So this is how you truly imagine?\Err...\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in.\It's the first time I've entered this room.\Isn't this the first time? response:	It's the first time that you've entered my room, ever since I moved here, right?
context: So this is how you truly imagine?\Err...\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in.\It's the first time I've entered this room.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right? response:	Eh? Is- Is that so?
context: Err...\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in.\It's the first time I've entered this room.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so? response:	Maybe you're right.
context: I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in.\It's the first time I've entered this room.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right. response:	Yup.
context: Well... there's no rush... we could talk about it at school tomorrow.\Come in.\It's the first time I've entered this room.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right.\Yup. response:	Yeah, it's my first.
context: Come in.\It's the first time I've entered this room.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right.\Yup.\Yeah, it's my first. response:	Hey, what's with this conversation?
context: It's the first time I've entered this room.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right.\Yup.\Yeah, it's my first.\Hey, what's with this conversation? response:	So, what is it?
context: Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right.\Yup.\Yeah, it's my first.\Hey, what's with this conversation?\So, what is it? response:	I just met No. 4 from Hotarugawa High.
context: It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right.\Yup.\Yeah, it's my first.\Hey, what's with this conversation?\So, what is it?\I just met No. 4 from Hotarugawa High. response:	He told me that he thinks you're cute.
context: Eh? Is- Is that so?\Maybe you're right.\Yup.\Yeah, it's my first.\Hey, what's with this conversation?\So, what is it?\I just met No. 4 from Hotarugawa High.\He told me that he thinks you're cute. response:	Hmm...
context: Maybe you're right.\Yup.\Yeah, it's my first.\Hey, what's with this conversation?\So, what is it?\I just met No. 4 from Hotarugawa High.\He told me that he thinks you're cute.\Hmm... response:	Don't hmm me. Aren't you happy?
context: Yup.\Yeah, it's my first.\Hey, what's with this conversation?\So, what is it?\I just met No. 4 from Hotarugawa High.\He told me that he thinks you're cute.\Hmm...\Don't hmm me. Aren't you happy? response:	I don't like nosy boys like you.
context: Yeah, it's my first.\Hey, what's with this conversation?\So, what is it?\I just met No. 4 from Hotarugawa High.\He told me that he thinks you're cute.\Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you. response:	You know, I didn't imagine you'd reply th-
context: Hey, what's with this conversation?\So, what is it?\I just met No. 4 from Hotarugawa High.\He told me that he thinks you're cute.\Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\You know, I didn't imagine you'd reply th- response:	What's that?
context: So, what is it?\I just met No. 4 from Hotarugawa High.\He told me that he thinks you're cute.\Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\You know, I didn't imagine you'd reply th-\What's that? response:	Well...
context: I just met No. 4 from Hotarugawa High.\He told me that he thinks you're cute.\Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\You know, I didn't imagine you'd reply th-\What's that?\Well... response:	Is that the only reason you entered my room?
context: He told me that he thinks you're cute.\Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\You know, I didn't imagine you'd reply th-\What's that?\Well...\Is that the only reason you entered my room? response:	But didn't you let me in?
context: Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\You know, I didn't imagine you'd reply th-\What's that?\Well...\Is that the only reason you entered my room?\But didn't you let me in? response:	I told you, it's fine if we talk about it tomorrow.
context: Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\You know, I didn't imagine you'd reply th-\What's that?\Well...\Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow. response:	We'll be in trouble if your mother finds out.
context: I don't like nosy boys like you.\You know, I didn't imagine you'd reply th-\What's that?\Well...\Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\We'll be in trouble if your mother finds out. response:	I have something to tell you.
context: You know, I didn't imagine you'd reply th-\What's that?\Well...\Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\We'll be in trouble if your mother finds out.\I have something to tell you. response:	Well... there's no rush... we could talk about it at school tomorrow.
context: What's that?\Well...\Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\We'll be in trouble if your mother finds out.\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow. response:	Come in.
context: Well...\Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\We'll be in trouble if your mother finds out.\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in. response:	Isn't this the first time?
context: Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\We'll be in trouble if your mother finds out.\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in.\Isn't this the first time? response:	It's the first time that you've entered my room, ever since I moved here, right?
context: But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\We'll be in trouble if your mother finds out.\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right? response:	Eh? Is- Is that so?
context: I told you, it's fine if we talk about it tomorrow.\We'll be in trouble if your mother finds out.\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so? response:	Maybe you're right.
context: We'll be in trouble if your mother finds out.\I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right. response:	Yup.
context: I have something to tell you.\Well... there's no rush... we could talk about it at school tomorrow.\Come in.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right.\Yup. response:	Yeah, it's my first.
context: Well... there's no rush... we could talk about it at school tomorrow.\Come in.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right.\Yup.\Yeah, it's my first. response:	What am I talking about?
context: Come in.\Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right.\Yup.\Yeah, it's my first.\What am I talking about? response:	So, what about it?
context: Isn't this the first time?\It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right.\Yup.\Yeah, it's my first.\What am I talking about?\So, what about it? response:	About today...
context: It's the first time that you've entered my room, ever since I moved here, right?\Eh? Is- Is that so?\Maybe you're right.\Yup.\Yeah, it's my first.\What am I talking about?\So, what about it?\About today... response:	I just met No. 4 from Hotarugawa High.
context: Eh? Is- Is that so?\Maybe you're right.\Yup.\Yeah, it's my first.\What am I talking about?\So, what about it?\About today...\I just met No. 4 from Hotarugawa High. response:	No way...
context: Maybe you're right.\Yup.\Yeah, it's my first.\What am I talking about?\So, what about it?\About today...\I just met No. 4 from Hotarugawa High.\No way... response:	He told me that you are cute.
context: Yup.\Yeah, it's my first.\What am I talking about?\So, what about it?\About today...\I just met No. 4 from Hotarugawa High.\No way...\He told me that you are cute. response:	Hmm...
context: Yeah, it's my first.\What am I talking about?\So, what about it?\About today...\I just met No. 4 from Hotarugawa High.\No way...\He told me that you are cute.\Hmm... response:	Don't hmm me. Aren't you happy?
context: What am I talking about?\So, what about it?\About today...\I just met No. 4 from Hotarugawa High.\No way...\He told me that you are cute.\Hmm...\Don't hmm me. Aren't you happy? response:	I don't like nosy boys like you.
context: So, what about it?\About today...\I just met No. 4 from Hotarugawa High.\No way...\He told me that you are cute.\Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you. response:	I don't like nosy boys like you. You know, I didn't imagine you'd reply th-
context: About today...\I just met No. 4 from Hotarugawa High.\No way...\He told me that you are cute.\Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\I don't like nosy boys like you. You know, I didn't imagine you'd reply th- response:	What's that?
context: I just met No. 4 from Hotarugawa High.\No way...\He told me that you are cute.\Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\I don't like nosy boys like you. You know, I didn't imagine you'd reply th-\What's that? response:	Well...
context: No way...\He told me that you are cute.\Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\I don't like nosy boys like you. You know, I didn't imagine you'd reply th-\What's that?\Well... response:	Is that the only reason you entered my room?
context: He told me that you are cute.\Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\I don't like nosy boys like you. You know, I didn't imagine you'd reply th-\What's that?\Well...\Is that the only reason you entered my room? response:	But didn't you let me in?
context: Hmm...\Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\I don't like nosy boys like you. You know, I didn't imagine you'd reply th-\What's that?\Well...\Is that the only reason you entered my room?\But didn't you let me in? response:	I told you, it's fine if we talk about it tomorrow.
context: Don't hmm me. Aren't you happy?\I don't like nosy boys like you.\I don't like nosy boys like you. You know, I didn't imagine you'd reply th-\What's that?\Well...\Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow. response:	Are you only in here to talk about that?!
context: I don't like nosy boys like you.\I don't like nosy boys like you. You know, I didn't imagine you'd reply th-\What's that?\Well...\Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\Are you only in here to talk about that?! response:	We'll be in trouble if your mother finds out.
context: I don't like nosy boys like you. You know, I didn't imagine you'd reply th-\What's that?\Well...\Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\Are you only in here to talk about that?!\We'll be in trouble if your mother finds out. response:	He entered my room to say something like that...
context: What's that?\Well...\Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\Are you only in here to talk about that?!\We'll be in trouble if your mother finds out.\He entered my room to say something like that... response:	Bocchan, it took me a long time to pack this up.
context: Well...\Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\Are you only in here to talk about that?!\We'll be in trouble if your mother finds out.\He entered my room to say something like that...\Bocchan, it took me a long time to pack this up. response:	Old picture books from back when I was young truly are nostalgic.
context: Is that the only reason you entered my room?\But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\Are you only in here to talk about that?!\We'll be in trouble if your mother finds out.\He entered my room to say something like that...\Bocchan, it took me a long time to pack this up.\Old picture books from back when I was young truly are nostalgic. response:	I will help you out the next time you clean up the storage.
context: But didn't you let me in?\I told you, it's fine if we talk about it tomorrow.\Are you only in here to talk about that?!\We'll be in trouble if your mother finds out.\He entered my room to say something like that...\Bocchan, it took me a long time to pack this up.\Old picture books from back when I was young truly are nostalgic.\I will help you out the next time you clean up the storage. response:	Wha-!
context: I told you, it's fine if we talk about it tomorrow.\Are you only in here to talk about that?!\We'll be in trouble if your mother finds out.\He entered my room to say something like that...\Bocchan, it took me a long time to pack this up.\Old picture books from back when I was young truly are nostalgic.\I will help you out the next time you clean up the storage.\Wha-! response:	Isn't that an old photo album?
context: Are you only in here to talk about that?!\We'll be in trouble if your mother finds out.\He entered my room to say something like that...\Bocchan, it took me a long time to pack this up.\Old picture books from back when I was young truly are nostalgic.\I will help you out the next time you clean up the storage.\Wha-!\Isn't that an old photo album? response:	The photos are all laminated.
context: We'll be in trouble if your mother finds out.\He entered my room to say something like that...\Bocchan, it took me a long time to pack this up.\Old picture books from back when I was young truly are nostalgic.\I will help you out the next time you clean up the storage.\Wha-!\Isn't that an old photo album?\The photos are all laminated. response:	Oh! Dad was really young!
context: He entered my room to say something like that...\Bocchan, it took me a long time to pack this up.\Old picture books from back when I was young truly are nostalgic.\I will help you out the next time you clean up the storage.\Wha-!\Isn't that an old photo album?\The photos are all laminated.\Oh! Dad was really young! response:	He looks just like bocchan.
context: Bocchan, it took me a long time to pack this up.\Old picture books from back when I was young truly are nostalgic.\I will help you out the next time you clean up the storage.\Wha-!\Isn't that an old photo album?\The photos are all laminated.\Oh! Dad was really young!\He looks just like bocchan. response:	You think?
context: Old picture books from back when I was young truly are nostalgic.\I will help you out the next time you clean up the storage.\Wha-!\Isn't that an old photo album?\The photos are all laminated.\Oh! Dad was really young!\He looks just like bocchan.\You think? response:	Huh? Why is the face of the woman in this photo cut off?
context: I will help you out the next time you clean up the storage.\Wha-!\Isn't that an old photo album?\The photos are all laminated.\Oh! Dad was really young!\He looks just like bocchan.\You think?\Huh? Why is the face of the woman in this photo cut off? response:	Over here as well.
context: Wha-!\Isn't that an old photo album?\The photos are all laminated.\Oh! Dad was really young!\He looks just like bocchan.\You think?\Huh? Why is the face of the woman in this photo cut off?\Over here as well. response:	Hey!
context: Isn't that an old photo album?\The photos are all laminated.\Oh! Dad was really young!\He looks just like bocchan.\You think?\Huh? Why is the face of the woman in this photo cut off?\Over here as well.\Hey! response:	Hey, let's meet up at Ai-chan's later.
context: The photos are all laminated.\Oh! Dad was really young!\He looks just like bocchan.\You think?\Huh? Why is the face of the woman in this photo cut off?\Over here as well.\Hey!\Hey, let's meet up at Ai-chan's later. response:	I need to go home and finish up my stuff first.
context: Oh! Dad was really young!\He looks just like bocchan.\You think?\Huh? Why is the face of the woman in this photo cut off?\Over here as well.\Hey!\Hey, let's meet up at Ai-chan's later.\I need to go home and finish up my stuff first. response:	I'll go on ahead.
context: He looks just like bocchan.\You think?\Huh? Why is the face of the woman in this photo cut off?\Over here as well.\Hey!\Hey, let's meet up at Ai-chan's later.\I need to go home and finish up my stuff first.\I'll go on ahead. response:	Right!
context: You think?\Huh? Why is the face of the woman in this photo cut off?\Over here as well.\Hey!\Hey, let's meet up at Ai-chan's later.\I need to go home and finish up my stuff first.\I'll go on ahead.\Right! response:	Today, I'm late for the opening time.
context: Huh? Why is the face of the woman in this photo cut off?\Over here as well.\Hey!\Hey, let's meet up at Ai-chan's later.\I need to go home and finish up my stuff first.\I'll go on ahead.\Right!\Today, I'm late for the opening time. response:	Take a seat there.
context: Over here as well.\Hey!\Hey, let's meet up at Ai-chan's later.\I need to go home and finish up my stuff first.\I'll go on ahead.\Right!\Today, I'm late for the opening time.\Take a seat there. response:	Is Cola fine with you?
context: Hey!\Hey, let's meet up at Ai-chan's later.\I need to go home and finish up my stuff first.\I'll go on ahead.\Right!\Today, I'm late for the opening time.\Take a seat there.\Is Cola fine with you? response:	Sure.
