context: Nao? response:	Good morning, Yuki.
context: I'm not seeing anything in particular that concerns me.\That's what I've been saying. I wish you'd cut me loose already.\Incidentally, what is happening with the war?\I would have thought that they would be coming at us relentlessly.\After all, the odds of reconciliation are effectively nil now.\Mars isn't monolithic.\Sure, some of them attacked purely out of hatred of Earth,\but some of them would rather seize it for our natural resources. response:	Ah, you mean that they're restraining themselves.
context: That's what I've been saying. I wish you'd cut me loose already.\Incidentally, what is happening with the war?\I would have thought that they would be coming at us relentlessly.\After all, the odds of reconciliation are effectively nil now.\Mars isn't monolithic.\Sure, some of them attacked purely out of hatred of Earth,\but some of them would rather seize it for our natural resources.\Ah, you mean that they're restraining themselves. response:	But...
context: Incidentally, what is happening with the war?\I would have thought that they would be coming at us relentlessly.\After all, the odds of reconciliation are effectively nil now.\Mars isn't monolithic.\Sure, some of them attacked purely out of hatred of Earth,\but some of them would rather seize it for our natural resources.\Ah, you mean that they're restraining themselves.\But... response:	Hang on, you don't suppose it's because they never imagined that their
context: I would have thought that they would be coming at us relentlessly.\After all, the odds of reconciliation are effectively nil now.\Mars isn't monolithic.\Sure, some of them attacked purely out of hatred of Earth,\but some of them would rather seize it for our natural resources.\Ah, you mean that they're restraining themselves.\But...\Hang on, you don't suppose it's because they never imagined that their response:	main Kataphrakts would be taken out one after another, do you?
context: After all, the odds of reconciliation are effectively nil now.\Mars isn't monolithic.\Sure, some of them attacked purely out of hatred of Earth,\but some of them would rather seize it for our natural resources.\Ah, you mean that they're restraining themselves.\But...\Hang on, you don't suppose it's because they never imagined that their\main Kataphrakts would be taken out one after another, do you? response:	Things haven't gone to plan and they feel threatened and have gone into defensive mode.
context: Mars isn't monolithic.\Sure, some of them attacked purely out of hatred of Earth,\but some of them would rather seize it for our natural resources.\Ah, you mean that they're restraining themselves.\But...\Hang on, you don't suppose it's because they never imagined that their\main Kataphrakts would be taken out one after another, do you?\Things haven't gone to plan and they feel threatened and have gone into defensive mode. response:	Maybe you're right.
context: Sure, some of them attacked purely out of hatred of Earth,\but some of them would rather seize it for our natural resources.\Ah, you mean that they're restraining themselves.\But...\Hang on, you don't suppose it's because they never imagined that their\main Kataphrakts would be taken out one after another, do you?\Things haven't gone to plan and they feel threatened and have gone into defensive mode.\Maybe you're right. response:	But it was a single boy who gave us this chance.
context: but some of them would rather seize it for our natural resources.\Ah, you mean that they're restraining themselves.\But...\Hang on, you don't suppose it's because they never imagined that their\main Kataphrakts would be taken out one after another, do you?\Things haven't gone to plan and they feel threatened and have gone into defensive mode.\Maybe you're right.\But it was a single boy who gave us this chance. response:	You mean Inaho.
context: Ah, you mean that they're restraining themselves.\But...\Hang on, you don't suppose it's because they never imagined that their\main Kataphrakts would be taken out one after another, do you?\Things haven't gone to plan and they feel threatened and have gone into defensive mode.\Maybe you're right.\But it was a single boy who gave us this chance.\You mean Inaho. response:	Yuki must be worried sick about him.
context: But...\Hang on, you don't suppose it's because they never imagined that their\main Kataphrakts would be taken out one after another, do you?\Things haven't gone to plan and they feel threatened and have gone into defensive mode.\Maybe you're right.\But it was a single boy who gave us this chance.\You mean Inaho.\Yuki must be worried sick about him. response:	Yeah, she wanted him out of the military, so she kept asking the top brass.
context: Hang on, you don't suppose it's because they never imagined that their\main Kataphrakts would be taken out one after another, do you?\Things haven't gone to plan and they feel threatened and have gone into defensive mode.\Maybe you're right.\But it was a single boy who gave us this chance.\You mean Inaho.\Yuki must be worried sick about him.\Yeah, she wanted him out of the military, so she kept asking the top brass. response:	Isn't that just a rumor?
context: main Kataphrakts would be taken out one after another, do you?\Things haven't gone to plan and they feel threatened and have gone into defensive mode.\Maybe you're right.\But it was a single boy who gave us this chance.\You mean Inaho.\Yuki must be worried sick about him.\Yeah, she wanted him out of the military, so she kept asking the top brass.\Isn't that just a rumor? response:	That her pestering alienated them and that's why she got stationed here.
context: Things haven't gone to plan and they feel threatened and have gone into defensive mode.\Maybe you're right.\But it was a single boy who gave us this chance.\You mean Inaho.\Yuki must be worried sick about him.\Yeah, she wanted him out of the military, so she kept asking the top brass.\Isn't that just a rumor?\That her pestering alienated them and that's why she got stationed here. response:	Possible enemy Sky Carriers detected east and west of Yemen,
context: Maybe you're right.\But it was a single boy who gave us this chance.\You mean Inaho.\Yuki must be worried sick about him.\Yeah, she wanted him out of the military, so she kept asking the top brass.\Isn't that just a rumor?\That her pestering alienated them and that's why she got stationed here.\Possible enemy Sky Carriers detected east and west of Yemen, response:	as well as in the desert region roughly 14km northeast of Aden.
context: But it was a single boy who gave us this chance.\You mean Inaho.\Yuki must be worried sick about him.\Yeah, she wanted him out of the military, so she kept asking the top brass.\Isn't that just a rumor?\That her pestering alienated them and that's why she got stationed here.\Possible enemy Sky Carriers detected east and west of Yemen,\as well as in the desert region roughly 14km northeast of Aden. response:	We'll hold it off here to keep it from reaching the urban area 6km east of here.
context: You mean Inaho.\Yuki must be worried sick about him.\Yeah, she wanted him out of the military, so she kept asking the top brass.\Isn't that just a rumor?\That her pestering alienated them and that's why she got stationed here.\Possible enemy Sky Carriers detected east and west of Yemen,\as well as in the desert region roughly 14km northeast of Aden.\We'll hold it off here to keep it from reaching the urban area 6km east of here. response:	All units, wait for it to enter firing range. When I give the order, commence attack.
context: Yuki must be worried sick about him.\Yeah, she wanted him out of the military, so she kept asking the top brass.\Isn't that just a rumor?\That her pestering alienated them and that's why she got stationed here.\Possible enemy Sky Carriers detected east and west of Yemen,\as well as in the desert region roughly 14km northeast of Aden.\We'll hold it off here to keep it from reaching the urban area 6km east of here.\All units, wait for it to enter firing range. When I give the order, commence attack. response:	Roger that.
context: Yeah, she wanted him out of the military, so she kept asking the top brass.\Isn't that just a rumor?\That her pestering alienated them and that's why she got stationed here.\Possible enemy Sky Carriers detected east and west of Yemen,\as well as in the desert region roughly 14km northeast of Aden.\We'll hold it off here to keep it from reaching the urban area 6km east of here.\All units, wait for it to enter firing range. When I give the order, commence attack.\Roger that. response:	Roger.
context: Isn't that just a rumor?\That her pestering alienated them and that's why she got stationed here.\Possible enemy Sky Carriers detected east and west of Yemen,\as well as in the desert region roughly 14km northeast of Aden.\We'll hold it off here to keep it from reaching the urban area 6km east of here.\All units, wait for it to enter firing range. When I give the order, commence attack.\Roger that.\Roger. response:	Attack!
context: That her pestering alienated them and that's why she got stationed here.\Possible enemy Sky Carriers detected east and west of Yemen,\as well as in the desert region roughly 14km northeast of Aden.\We'll hold it off here to keep it from reaching the urban area 6km east of here.\All units, wait for it to enter firing range. When I give the order, commence attack.\Roger that.\Roger.\Attack! response:	Enemy Kataphrakt advancing!
context: Possible enemy Sky Carriers detected east and west of Yemen,\as well as in the desert region roughly 14km northeast of Aden.\We'll hold it off here to keep it from reaching the urban area 6km east of here.\All units, wait for it to enter firing range. When I give the order, commence attack.\Roger that.\Roger.\Attack!\Enemy Kataphrakt advancing! response:	Our rounds are landing!
context: as well as in the desert region roughly 14km northeast of Aden.\We'll hold it off here to keep it from reaching the urban area 6km east of here.\All units, wait for it to enter firing range. When I give the order, commence attack.\Roger that.\Roger.\Attack!\Enemy Kataphrakt advancing!\Our rounds are landing! response:	Keep it up!
context: We'll hold it off here to keep it from reaching the urban area 6km east of here.\All units, wait for it to enter firing range. When I give the order, commence attack.\Roger that.\Roger.\Attack!\Enemy Kataphrakt advancing!\Our rounds are landing!\Keep it up! response:	What the hell are those?
context: All units, wait for it to enter firing range. When I give the order, commence attack.\Roger that.\Roger.\Attack!\Enemy Kataphrakt advancing!\Our rounds are landing!\Keep it up!\What the hell are those? response:	Our rounds, they're
context: Roger that.\Roger.\Attack!\Enemy Kataphrakt advancing!\Our rounds are landing!\Keep it up!\What the hell are those?\Our rounds, they're response:	A tornado?!
context: Roger.\Attack!\Enemy Kataphrakt advancing!\Our rounds are landing!\Keep it up!\What the hell are those?\Our rounds, they're\A tornado?! response:	No, windspeed, air volume, and atmospheric pressure aren't showing any major
context: Attack!\Enemy Kataphrakt advancing!\Our rounds are landing!\Keep it up!\What the hell are those?\Our rounds, they're\A tornado?!\No, windspeed, air volume, and atmospheric pressure aren't showing any major response:	My head... feels like it's being squeezed in a vise!
context: Enemy Kataphrakt advancing!\Our rounds are landing!\Keep it up!\What the hell are those?\Our rounds, they're\A tornado?!\No, windspeed, air volume, and atmospheric pressure aren't showing any major\My head... feels like it's being squeezed in a vise! response:	Count Barouhcruz, pay attention.
context: Our rounds are landing!\Keep it up!\What the hell are those?\Our rounds, they're\A tornado?!\No, windspeed, air volume, and atmospheric pressure aren't showing any major\My head... feels like it's being squeezed in a vise!\Count Barouhcruz, pay attention. response:	The way I fight is worthy of the Orbital Knights and my noble title.
context: Keep it up!\What the hell are those?\Our rounds, they're\A tornado?!\No, windspeed, air volume, and atmospheric pressure aren't showing any major\My head... feels like it's being squeezed in a vise!\Count Barouhcruz, pay attention.\The way I fight is worthy of the Orbital Knights and my noble title. response:	W-Wait, Clydesdale 22!
context: What the hell are those?\Our rounds, they're\A tornado?!\No, windspeed, air volume, and atmospheric pressure aren't showing any major\My head... feels like it's being squeezed in a vise!\Count Barouhcruz, pay attention.\The way I fight is worthy of the Orbital Knights and my noble title.\W-Wait, Clydesdale 22! response:	A-Are you okay?
context: Our rounds, they're\A tornado?!\No, windspeed, air volume, and atmospheric pressure aren't showing any major\My head... feels like it's being squeezed in a vise!\Count Barouhcruz, pay attention.\The way I fight is worthy of the Orbital Knights and my noble title.\W-Wait, Clydesdale 22!\A-Are you okay? response:	I barely got away...
context: A tornado?!\No, windspeed, air volume, and atmospheric pressure aren't showing any major\My head... feels like it's being squeezed in a vise!\Count Barouhcruz, pay attention.\The way I fight is worthy of the Orbital Knights and my noble title.\W-Wait, Clydesdale 22!\A-Are you okay?\I barely got away... response:	Fall back! What the hell is going on?
context: No, windspeed, air volume, and atmospheric pressure aren't showing any major\My head... feels like it's being squeezed in a vise!\Count Barouhcruz, pay attention.\The way I fight is worthy of the Orbital Knights and my noble title.\W-Wait, Clydesdale 22!\A-Are you okay?\I barely got away...\Fall back! What the hell is going on? response:	Lieutenant... the gauges!
context: My head... feels like it's being squeezed in a vise!\Count Barouhcruz, pay attention.\The way I fight is worthy of the Orbital Knights and my noble title.\W-Wait, Clydesdale 22!\A-Are you okay?\I barely got away...\Fall back! What the hell is going on?\Lieutenant... the gauges! response:	Look at... the accelerometer!
context: Count Barouhcruz, pay attention.\The way I fight is worthy of the Orbital Knights and my noble title.\W-Wait, Clydesdale 22!\A-Are you okay?\I barely got away...\Fall back! What the hell is going on?\Lieutenant... the gauges!\Look at... the accelerometer! response:	Gravity...
context: The way I fight is worthy of the Orbital Knights and my noble title.\W-Wait, Clydesdale 22!\A-Are you okay?\I barely got away...\Fall back! What the hell is going on?\Lieutenant... the gauges!\Look at... the accelerometer!\Gravity... response:	Are you telling me... that this thing... is manipulating gravity?
context: W-Wait, Clydesdale 22!\A-Are you okay?\I barely got away...\Fall back! What the hell is going on?\Lieutenant... the gauges!\Look at... the accelerometer!\Gravity...\Are you telling me... that this thing... is manipulating gravity? response:	My accelerometer...
context: A-Are you okay?\I barely got away...\Fall back! What the hell is going on?\Lieutenant... the gauges!\Look at... the accelerometer!\Gravity...\Are you telling me... that this thing... is manipulating gravity?\My accelerometer... response:	is showing wild oscillations.
context: I barely got away...\Fall back! What the hell is going on?\Lieutenant... the gauges!\Look at... the accelerometer!\Gravity...\Are you telling me... that this thing... is manipulating gravity?\My accelerometer...\is showing wild oscillations. response:	They're acting as gravitational-tidal pairs
context: Fall back! What the hell is going on?\Lieutenant... the gauges!\Look at... the accelerometer!\Gravity...\Are you telling me... that this thing... is manipulating gravity?\My accelerometer...\is showing wild oscillations.\They're acting as gravitational-tidal pairs response:	and revolving at high speed around the Kataphrakt...
context: Lieutenant... the gauges!\Look at... the accelerometer!\Gravity...\Are you telling me... that this thing... is manipulating gravity?\My accelerometer...\is showing wild oscillations.\They're acting as gravitational-tidal pairs\and revolving at high speed around the Kataphrakt... response:	It uses that to...
context: Look at... the accelerometer!\Gravity...\Are you telling me... that this thing... is manipulating gravity?\My accelerometer...\is showing wild oscillations.\They're acting as gravitational-tidal pairs\and revolving at high speed around the Kataphrakt...\It uses that to... response:	To create gravity waves?
context: Gravity...\Are you telling me... that this thing... is manipulating gravity?\My accelerometer...\is showing wild oscillations.\They're acting as gravitational-tidal pairs\and revolving at high speed around the Kataphrakt...\It uses that to...\To create gravity waves? response:	Yes...
context: Are you telling me... that this thing... is manipulating gravity?\My accelerometer...\is showing wild oscillations.\They're acting as gravitational-tidal pairs\and revolving at high speed around the Kataphrakt...\It uses that to...\To create gravity waves?\Yes... response:	So any object that gets too close will be torn apart by the tidal forces,
context: My accelerometer...\is showing wild oscillations.\They're acting as gravitational-tidal pairs\and revolving at high speed around the Kataphrakt...\It uses that to...\To create gravity waves?\Yes...\So any object that gets too close will be torn apart by the tidal forces, response:	and any attack will also be deflected, huh?
context: is showing wild oscillations.\They're acting as gravitational-tidal pairs\and revolving at high speed around the Kataphrakt...\It uses that to...\To create gravity waves?\Yes...\So any object that gets too close will be torn apart by the tidal forces,\and any attack will also be deflected, huh? response:	Is it also causing this sound in our heads...?
context: They're acting as gravitational-tidal pairs\and revolving at high speed around the Kataphrakt...\It uses that to...\To create gravity waves?\Yes...\So any object that gets too close will be torn apart by the tidal forces,\and any attack will also be deflected, huh?\Is it also causing this sound in our heads...? response:	Probably...
context: and revolving at high speed around the Kataphrakt...\It uses that to...\To create gravity waves?\Yes...\So any object that gets too close will be torn apart by the tidal forces,\and any attack will also be deflected, huh?\Is it also causing this sound in our heads...?\Probably... response:	I bear this world's people no ill will, but this must be done for the future of Vers!
context: It uses that to...\To create gravity waves?\Yes...\So any object that gets too close will be torn apart by the tidal forces,\and any attack will also be deflected, huh?\Is it also causing this sound in our heads...?\Probably...\I bear this world's people no ill will, but this must be done for the future of Vers! response:	Here it comes!
context: To create gravity waves?\Yes...\So any object that gets too close will be torn apart by the tidal forces,\and any attack will also be deflected, huh?\Is it also causing this sound in our heads...?\Probably...\I bear this world's people no ill will, but this must be done for the future of Vers!\Here it comes! response:	We can't just sit here and let it reach the city!
context: Yes...\So any object that gets too close will be torn apart by the tidal forces,\and any attack will also be deflected, huh?\Is it also causing this sound in our heads...?\Probably...\I bear this world's people no ill will, but this must be done for the future of Vers!\Here it comes!\We can't just sit here and let it reach the city! response:	We'll keep its attention and draw it away!
context: So any object that gets too close will be torn apart by the tidal forces,\and any attack will also be deflected, huh?\Is it also causing this sound in our heads...?\Probably...\I bear this world's people no ill will, but this must be done for the future of Vers!\Here it comes!\We can't just sit here and let it reach the city!\We'll keep its attention and draw it away! response:	But sir! How?!
context: and any attack will also be deflected, huh?\Is it also causing this sound in our heads...?\Probably...\I bear this world's people no ill will, but this must be done for the future of Vers!\Here it comes!\We can't just sit here and let it reach the city!\We'll keep its attention and draw it away!\But sir! How?! response:	Kaizuka.
context: Is it also causing this sound in our heads...?\Probably...\I bear this world's people no ill will, but this must be done for the future of Vers!\Here it comes!\We can't just sit here and let it reach the city!\We'll keep its attention and draw it away!\But sir! How?!\Kaizuka. response:	Sir?
context: Probably...\I bear this world's people no ill will, but this must be done for the future of Vers!\Here it comes!\We can't just sit here and let it reach the city!\We'll keep its attention and draw it away!\But sir! How?!\Kaizuka.\Sir? response:	Call it in to the carrier.
context: I bear this world's people no ill will, but this must be done for the future of Vers!\Here it comes!\We can't just sit here and let it reach the city!\We'll keep its attention and draw it away!\But sir! How?!\Kaizuka.\Sir?\Call it in to the carrier. response:	Ask if there's any satellite bases overhead with equipment
context: Here it comes!\We can't just sit here and let it reach the city!\We'll keep its attention and draw it away!\But sir! How?!\Kaizuka.\Sir?\Call it in to the carrier.\Ask if there's any satellite bases overhead with equipment response:	that can detect gravity waves!
context: We can't just sit here and let it reach the city!\We'll keep its attention and draw it away!\But sir! How?!\Kaizuka.\Sir?\Call it in to the carrier.\Ask if there's any satellite bases overhead with equipment\that can detect gravity waves! response:	Do you not see that your efforts are futile?
context: We'll keep its attention and draw it away!\But sir! How?!\Kaizuka.\Sir?\Call it in to the carrier.\Ask if there's any satellite bases overhead with equipment\that can detect gravity waves!\Do you not see that your efforts are futile? response:	It's no use! They're disintegrating before they can connect!
context: But sir! How?!\Kaizuka.\Sir?\Call it in to the carrier.\Ask if there's any satellite bases overhead with equipment\that can detect gravity waves!\Do you not see that your efforts are futile?\It's no use! They're disintegrating before they can connect! response:	Even if they don't damage him, they're having the effect of keeping his attention on us.
context: Kaizuka.\Sir?\Call it in to the carrier.\Ask if there's any satellite bases overhead with equipment\that can detect gravity waves!\Do you not see that your efforts are futile?\It's no use! They're disintegrating before they can connect!\Even if they don't damage him, they're having the effect of keeping his attention on us. response:	We're another 10km away from the urban center.
context: Sir?\Call it in to the carrier.\Ask if there's any satellite bases overhead with equipment\that can detect gravity waves!\Do you not see that your efforts are futile?\It's no use! They're disintegrating before they can connect!\Even if they don't damage him, they're having the effect of keeping his attention on us.\We're another 10km away from the urban center. response:	We're definitely managing to draw him away.
context: Call it in to the carrier.\Ask if there's any satellite bases overhead with equipment\that can detect gravity waves!\Do you not see that your efforts are futile?\It's no use! They're disintegrating before they can connect!\Even if they don't damage him, they're having the effect of keeping his attention on us.\We're another 10km away from the urban center.\We're definitely managing to draw him away. response:	Another 2km south. Just another 2km. That's how much further we have to draw him away.
context: Ask if there's any satellite bases overhead with equipment\that can detect gravity waves!\Do you not see that your efforts are futile?\It's no use! They're disintegrating before they can connect!\Even if they don't damage him, they're having the effect of keeping his attention on us.\We're another 10km away from the urban center.\We're definitely managing to draw him away.\Another 2km south. Just another 2km. That's how much further we have to draw him away. response:	What's wrong?! Don't stop moving!
context: that can detect gravity waves!\Do you not see that your efforts are futile?\It's no use! They're disintegrating before they can connect!\Even if they don't damage him, they're having the effect of keeping his attention on us.\We're another 10km away from the urban center.\We're definitely managing to draw him away.\Another 2km south. Just another 2km. That's how much further we have to draw him away.\What's wrong?! Don't stop moving! response:	Clydesdale 22! Clydesdale 33!
context: Do you not see that your efforts are futile?\It's no use! They're disintegrating before they can connect!\Even if they don't damage him, they're having the effect of keeping his attention on us.\We're another 10km away from the urban center.\We're definitely managing to draw him away.\Another 2km south. Just another 2km. That's how much further we have to draw him away.\What's wrong?! Don't stop moving!\Clydesdale 22! Clydesdale 33! response:	Crap...
context: It's no use! They're disintegrating before they can connect!\Even if they don't damage him, they're having the effect of keeping his attention on us.\We're another 10km away from the urban center.\We're definitely managing to draw him away.\Another 2km south. Just another 2km. That's how much further we have to draw him away.\What's wrong?! Don't stop moving!\Clydesdale 22! Clydesdale 33!\Crap... response:	Kaizuka!
context: Even if they don't damage him, they're having the effect of keeping his attention on us.\We're another 10km away from the urban center.\We're definitely managing to draw him away.\Another 2km south. Just another 2km. That's how much further we have to draw him away.\What's wrong?! Don't stop moving!\Clydesdale 22! Clydesdale 33!\Crap...\Kaizuka! response:	I'll get his attention! You go retrieve those two!
context: We're another 10km away from the urban center.\We're definitely managing to draw him away.\Another 2km south. Just another 2km. That's how much further we have to draw him away.\What's wrong?! Don't stop moving!\Clydesdale 22! Clydesdale 33!\Crap...\Kaizuka!\I'll get his attention! You go retrieve those two! response:	Lieutenant?
context: We're definitely managing to draw him away.\Another 2km south. Just another 2km. That's how much further we have to draw him away.\What's wrong?! Don't stop moving!\Clydesdale 22! Clydesdale 33!\Crap...\Kaizuka!\I'll get his attention! You go retrieve those two!\Lieutenant? response:	Come get me, you twister son of a bitch!
context: Another 2km south. Just another 2km. That's how much further we have to draw him away.\What's wrong?! Don't stop moving!\Clydesdale 22! Clydesdale 33!\Crap...\Kaizuka!\I'll get his attention! You go retrieve those two!\Lieutenant?\Come get me, you twister son of a bitch! response:	It is pointless.
context: What's wrong?! Don't stop moving!\Clydesdale 22! Clydesdale 33!\Crap...\Kaizuka!\I'll get his attention! You go retrieve those two!\Lieutenant?\Come get me, you twister son of a bitch!\It is pointless. response:	Why are you doing this?
context: Clydesdale 22! Clydesdale 33!\Crap...\Kaizuka!\I'll get his attention! You go retrieve those two!\Lieutenant?\Come get me, you twister son of a bitch!\It is pointless.\Why are you doing this? response:	What value is there?
context: Crap...\Kaizuka!\I'll get his attention! You go retrieve those two!\Lieutenant?\Come get me, you twister son of a bitch!\It is pointless.\Why are you doing this?\What value is there? response:	Lieutenant...
context: Kaizuka!\I'll get his attention! You go retrieve those two!\Lieutenant?\Come get me, you twister son of a bitch!\It is pointless.\Why are you doing this?\What value is there?\Lieutenant... response:	This is bad, I'm too close...
context: I'll get his attention! You go retrieve those two!\Lieutenant?\Come get me, you twister son of a bitch!\It is pointless.\Why are you doing this?\What value is there?\Lieutenant...\This is bad, I'm too close... response:	I need to get some distance.
context: Lieutenant?\Come get me, you twister son of a bitch!\It is pointless.\Why are you doing this?\What value is there?\Lieutenant...\This is bad, I'm too close...\I need to get some distance. response:	Just a little farther...
context: Come get me, you twister son of a bitch!\It is pointless.\Why are you doing this?\What value is there?\Lieutenant...\This is bad, I'm too close...\I need to get some distance.\Just a little farther... response:	Come on!
context: It is pointless.\Why are you doing this?\What value is there?\Lieutenant...\This is bad, I'm too close...\I need to get some distance.\Just a little farther...\Come on! response:	I'm coming!
context: Why are you doing this?\What value is there?\Lieutenant...\This is bad, I'm too close...\I need to get some distance.\Just a little farther...\Come on!\I'm coming! response:	Crap!
context: What value is there?\Lieutenant...\This is bad, I'm too close...\I need to get some distance.\Just a little farther...\Come on!\I'm coming!\Crap! response:	Am I never gonna be free of these memories no matter how hard I try?!
context: Lieutenant...\This is bad, I'm too close...\I need to get some distance.\Just a little farther...\Come on!\I'm coming!\Crap!\Am I never gonna be free of these memories no matter how hard I try?! response:	Thank you for luring it into position, Lt. Marito.
context: This is bad, I'm too close...\I need to get some distance.\Just a little farther...\Come on!\I'm coming!\Crap!\Am I never gonna be free of these memories no matter how hard I try?!\Thank you for luring it into position, Lt. Marito. response:	A laser transmission?
context: I need to get some distance.\Just a little farther...\Come on!\I'm coming!\Crap!\Am I never gonna be free of these memories no matter how hard I try?!\Thank you for luring it into position, Lt. Marito.\A laser transmission? response:	Wait a second, Yuki.
context: Just a little farther...\Come on!\I'm coming!\Crap!\Am I never gonna be free of these memories no matter how hard I try?!\Thank you for luring it into position, Lt. Marito.\A laser transmission?\Wait a second, Yuki. response:	Nao?
context: Come on!\I'm coming!\Crap!\Am I never gonna be free of these memories no matter how hard I try?!\Thank you for luring it into position, Lt. Marito.\A laser transmission?\Wait a second, Yuki.\Nao? response:	Its gravity waves are ripples that propagate outward horizontally.
context: I'm coming!\Crap!\Am I never gonna be free of these memories no matter how hard I try?!\Thank you for luring it into position, Lt. Marito.\A laser transmission?\Wait a second, Yuki.\Nao?\Its gravity waves are ripples that propagate outward horizontally. response:	The gravity waves that propagate vertically are integrated and lose their effect.
context: Crap!\Am I never gonna be free of these memories no matter how hard I try?!\Thank you for luring it into position, Lt. Marito.\A laser transmission?\Wait a second, Yuki.\Nao?\Its gravity waves are ripples that propagate outward horizontally.\The gravity waves that propagate vertically are integrated and lose their effect. response:	Correcting for errors...
context: Am I never gonna be free of these memories no matter how hard I try?!\Thank you for luring it into position, Lt. Marito.\A laser transmission?\Wait a second, Yuki.\Nao?\Its gravity waves are ripples that propagate outward horizontally.\The gravity waves that propagate vertically are integrated and lose their effect.\Correcting for errors... response:	Locked on.
context: Thank you for luring it into position, Lt. Marito.\A laser transmission?\Wait a second, Yuki.\Nao?\Its gravity waves are ripples that propagate outward horizontally.\The gravity waves that propagate vertically are integrated and lose their effect.\Correcting for errors...\Locked on. response:	Fire!
context: A laser transmission?\Wait a second, Yuki.\Nao?\Its gravity waves are ripples that propagate outward horizontally.\The gravity waves that propagate vertically are integrated and lose their effect.\Correcting for errors...\Locked on.\Fire! response:	It was a lucky break that we got through to the Deucalion.
context: Wait a second, Yuki.\Nao?\Its gravity waves are ripples that propagate outward horizontally.\The gravity waves that propagate vertically are integrated and lose their effect.\Correcting for errors...\Locked on.\Fire!\It was a lucky break that we got through to the Deucalion. response:	No, or maybe we were lucky that he was there.
context: Nao?\Its gravity waves are ripples that propagate outward horizontally.\The gravity waves that propagate vertically are integrated and lose their effect.\Correcting for errors...\Locked on.\Fire!\It was a lucky break that we got through to the Deucalion.\No, or maybe we were lucky that he was there. response:	We begin reentry in 10 minutes! Hurry up and get Mustang 00 inside!
context: Its gravity waves are ripples that propagate outward horizontally.\The gravity waves that propagate vertically are integrated and lose their effect.\Correcting for errors...\Locked on.\Fire!\It was a lucky break that we got through to the Deucalion.\No, or maybe we were lucky that he was there.\We begin reentry in 10 minutes! Hurry up and get Mustang 00 inside! response:	We're no longer in an area with a line of fire.
context: The gravity waves that propagate vertically are integrated and lose their effect.\Correcting for errors...\Locked on.\Fire!\It was a lucky break that we got through to the Deucalion.\No, or maybe we were lucky that he was there.\We begin reentry in 10 minutes! Hurry up and get Mustang 00 inside!\We're no longer in an area with a line of fire. response:	It looks like this is all the help we can give you.
context: Correcting for errors...\Locked on.\Fire!\It was a lucky break that we got through to the Deucalion.\No, or maybe we were lucky that he was there.\We begin reentry in 10 minutes! Hurry up and get Mustang 00 inside!\We're no longer in an area with a line of fire.\It looks like this is all the help we can give you. response:	No, that was plenty, Kaizuka's brother.
context: Locked on.\Fire!\It was a lucky break that we got through to the Deucalion.\No, or maybe we were lucky that he was there.\We begin reentry in 10 minutes! Hurry up and get Mustang 00 inside!\We're no longer in an area with a line of fire.\It looks like this is all the help we can give you.\No, that was plenty, Kaizuka's brother. response:	TK-67, 68 are on designated trajectory. Opening gate.
context: Fire!\It was a lucky break that we got through to the Deucalion.\No, or maybe we were lucky that he was there.\We begin reentry in 10 minutes! Hurry up and get Mustang 00 inside!\We're no longer in an area with a line of fire.\It looks like this is all the help we can give you.\No, that was plenty, Kaizuka's brother.\TK-67, 68 are on designated trajectory. Opening gate. response:	Trash cleanup is taking forever...
context: It was a lucky break that we got through to the Deucalion.\No, or maybe we were lucky that he was there.\We begin reentry in 10 minutes! Hurry up and get Mustang 00 inside!\We're no longer in an area with a line of fire.\It looks like this is all the help we can give you.\No, that was plenty, Kaizuka's brother.\TK-67, 68 are on designated trajectory. Opening gate.\Trash cleanup is taking forever... response:	Well, that was a huge battle. A ton of debris got scattered around.
context: No, or maybe we were lucky that he was there.\We begin reentry in 10 minutes! Hurry up and get Mustang 00 inside!\We're no longer in an area with a line of fire.\It looks like this is all the help we can give you.\No, that was plenty, Kaizuka's brother.\TK-67, 68 are on designated trajectory. Opening gate.\Trash cleanup is taking forever...\Well, that was a huge battle. A ton of debris got scattered around. response:	It's a pain, is what it is. It makes it a lot harder for shuttles to come and go.
context: We begin reentry in 10 minutes! Hurry up and get Mustang 00 inside!\We're no longer in an area with a line of fire.\It looks like this is all the help we can give you.\No, that was plenty, Kaizuka's brother.\TK-67, 68 are on designated trajectory. Opening gate.\Trash cleanup is taking forever...\Well, that was a huge battle. A ton of debris got scattered around.\It's a pain, is what it is. It makes it a lot harder for shuttles to come and go. response:	Radar return detected!
context: We're no longer in an area with a line of fire.\It looks like this is all the help we can give you.\No, that was plenty, Kaizuka's brother.\TK-67, 68 are on designated trajectory. Opening gate.\Trash cleanup is taking forever...\Well, that was a huge battle. A ton of debris got scattered around.\It's a pain, is what it is. It makes it a lot harder for shuttles to come and go.\Radar return detected! response:	No IFF signal detected...
context: It looks like this is all the help we can give you.\No, that was plenty, Kaizuka's brother.\TK-67, 68 are on designated trajectory. Opening gate.\Trash cleanup is taking forever...\Well, that was a huge battle. A ton of debris got scattered around.\It's a pain, is what it is. It makes it a lot harder for shuttles to come and go.\Radar return detected!\No IFF signal detected... response:	Sorry, sir. We didn't pick it up right away because it was mixed in with all the debris.
