context: And finally, I'll sprinkle on some herbs... response:	Yes, come in!
context: Yeah!\I wanna eat it!\Hey Mom, I want to eat an apple now! Let's go eat one!\O-Okay...\Yay! Apple, apple...!\Wow, it's so busy!\It's because people from different countries come and go here.\All the different cultures are mixed together. response:	Oh? Prince Zen!
context: I wanna eat it!\Hey Mom, I want to eat an apple now! Let's go eat one!\O-Okay...\Yay! Apple, apple...!\Wow, it's so busy!\It's because people from different countries come and go here.\All the different cultures are mixed together.\Oh? Prince Zen! response:	Hm?
context: Hey Mom, I want to eat an apple now! Let's go eat one!\O-Okay...\Yay! Apple, apple...!\Wow, it's so busy!\It's because people from different countries come and go here.\All the different cultures are mixed together.\Oh? Prince Zen!\Hm? response:	I just got some good wine. How about it?
context: O-Okay...\Yay! Apple, apple...!\Wow, it's so busy!\It's because people from different countries come and go here.\All the different cultures are mixed together.\Oh? Prince Zen!\Hm?\I just got some good wine. How about it? response:	Not today. I'll come back.
context: Yay! Apple, apple...!\Wow, it's so busy!\It's because people from different countries come and go here.\All the different cultures are mixed together.\Oh? Prince Zen!\Hm?\I just got some good wine. How about it?\Not today. I'll come back. response:	Yes, sir.
context: Wow, it's so busy!\It's because people from different countries come and go here.\All the different cultures are mixed together.\Oh? Prince Zen!\Hm?\I just got some good wine. How about it?\Not today. I'll come back.\Yes, sir. response:	Do you know him?
context: It's because people from different countries come and go here.\All the different cultures are mixed together.\Oh? Prince Zen!\Hm?\I just got some good wine. How about it?\Not today. I'll come back.\Yes, sir.\Do you know him? response:	He's a wine seller I met before in town.
context: All the different cultures are mixed together.\Oh? Prince Zen!\Hm?\I just got some good wine. How about it?\Not today. I'll come back.\Yes, sir.\Do you know him?\He's a wine seller I met before in town. response:	I've bought souvenirs for my soldiers from him ever since.
context: Oh? Prince Zen!\Hm?\I just got some good wine. How about it?\Not today. I'll come back.\Yes, sir.\Do you know him?\He's a wine seller I met before in town.\I've bought souvenirs for my soldiers from him ever since. response:	Really?
context: Hm?\I just got some good wine. How about it?\Not today. I'll come back.\Yes, sir.\Do you know him?\He's a wine seller I met before in town.\I've bought souvenirs for my soldiers from him ever since.\Really? response:	Zen, why do you keep escaping from the castle?
context: I just got some good wine. How about it?\Not today. I'll come back.\Yes, sir.\Do you know him?\He's a wine seller I met before in town.\I've bought souvenirs for my soldiers from him ever since.\Really?\Zen, why do you keep escaping from the castle? response:	Huh?
context: Not today. I'll come back.\Yes, sir.\Do you know him?\He's a wine seller I met before in town.\I've bought souvenirs for my soldiers from him ever since.\Really?\Zen, why do you keep escaping from the castle?\Huh? response:	Prince Raj of Tanbarun always orders his servants
context: Yes, sir.\Do you know him?\He's a wine seller I met before in town.\I've bought souvenirs for my soldiers from him ever since.\Really?\Zen, why do you keep escaping from the castle?\Huh?\Prince Raj of Tanbarun always orders his servants response:	to bring the things he wants to the castle.
context: Do you know him?\He's a wine seller I met before in town.\I've bought souvenirs for my soldiers from him ever since.\Really?\Zen, why do you keep escaping from the castle?\Huh?\Prince Raj of Tanbarun always orders his servants\to bring the things he wants to the castle. response:	I heard he gets upset when they don't bring him what he wants,
context: He's a wine seller I met before in town.\I've bought souvenirs for my soldiers from him ever since.\Really?\Zen, why do you keep escaping from the castle?\Huh?\Prince Raj of Tanbarun always orders his servants\to bring the things he wants to the castle.\I heard he gets upset when they don't bring him what he wants, response:	and everyone's sick of it.
context: I've bought souvenirs for my soldiers from him ever since.\Really?\Zen, why do you keep escaping from the castle?\Huh?\Prince Raj of Tanbarun always orders his servants\to bring the things he wants to the castle.\I heard he gets upset when they don't bring him what he wants,\and everyone's sick of it. response:	That's easy to imagine.
context: Really?\Zen, why do you keep escaping from the castle?\Huh?\Prince Raj of Tanbarun always orders his servants\to bring the things he wants to the castle.\I heard he gets upset when they don't bring him what he wants,\and everyone's sick of it.\That's easy to imagine. response:	You said earlier, didn't you? That this country was charming.
context: Zen, why do you keep escaping from the castle?\Huh?\Prince Raj of Tanbarun always orders his servants\to bring the things he wants to the castle.\I heard he gets upset when they don't bring him what he wants,\and everyone's sick of it.\That's easy to imagine.\You said earlier, didn't you? That this country was charming. response:	Yeah.
context: Huh?\Prince Raj of Tanbarun always orders his servants\to bring the things he wants to the castle.\I heard he gets upset when they don't bring him what he wants,\and everyone's sick of it.\That's easy to imagine.\You said earlier, didn't you? That this country was charming.\Yeah. response:	I think so, too.
context: Prince Raj of Tanbarun always orders his servants\to bring the things he wants to the castle.\I heard he gets upset when they don't bring him what he wants,\and everyone's sick of it.\That's easy to imagine.\You said earlier, didn't you? That this country was charming.\Yeah.\I think so, too. response:	I feel like there are still mountains of charm that I haven't discovered yet.
context: to bring the things he wants to the castle.\I heard he gets upset when they don't bring him what he wants,\and everyone's sick of it.\That's easy to imagine.\You said earlier, didn't you? That this country was charming.\Yeah.\I think so, too.\I feel like there are still mountains of charm that I haven't discovered yet. response:	That's why I want to see more, to learn more.
context: I heard he gets upset when they don't bring him what he wants,\and everyone's sick of it.\That's easy to imagine.\You said earlier, didn't you? That this country was charming.\Yeah.\I think so, too.\I feel like there are still mountains of charm that I haven't discovered yet.\That's why I want to see more, to learn more. response:	Good herbs are needed for good medicines.
context: and everyone's sick of it.\That's easy to imagine.\You said earlier, didn't you? That this country was charming.\Yeah.\I think so, too.\I feel like there are still mountains of charm that I haven't discovered yet.\That's why I want to see more, to learn more.\Good herbs are needed for good medicines. response:	Hm?
context: That's easy to imagine.\You said earlier, didn't you? That this country was charming.\Yeah.\I think so, too.\I feel like there are still mountains of charm that I haven't discovered yet.\That's why I want to see more, to learn more.\Good herbs are needed for good medicines.\Hm? response:	Good land is needed for good herbs.
context: You said earlier, didn't you? That this country was charming.\Yeah.\I think so, too.\I feel like there are still mountains of charm that I haven't discovered yet.\That's why I want to see more, to learn more.\Good herbs are needed for good medicines.\Hm?\Good land is needed for good herbs. response:	I want to learn more about this land and the herbs that grow here.
context: Yeah.\I think so, too.\I feel like there are still mountains of charm that I haven't discovered yet.\That's why I want to see more, to learn more.\Good herbs are needed for good medicines.\Hm?\Good land is needed for good herbs.\I want to learn more about this land and the herbs that grow here. response:	We're kind of similar, aren't we?
context: I think so, too.\I feel like there are still mountains of charm that I haven't discovered yet.\That's why I want to see more, to learn more.\Good herbs are needed for good medicines.\Hm?\Good land is needed for good herbs.\I want to learn more about this land and the herbs that grow here.\We're kind of similar, aren't we? response:	The ship's leaving!
context: I feel like there are still mountains of charm that I haven't discovered yet.\That's why I want to see more, to learn more.\Good herbs are needed for good medicines.\Hm?\Good land is needed for good herbs.\I want to learn more about this land and the herbs that grow here.\We're kind of similar, aren't we?\The ship's leaving! response:	Oh, I need to get on!
context: That's why I want to see more, to learn more.\Good herbs are needed for good medicines.\Hm?\Good land is needed for good herbs.\I want to learn more about this land and the herbs that grow here.\We're kind of similar, aren't we?\The ship's leaving!\Oh, I need to get on! response:	The ship's leaving!
context: Good herbs are needed for good medicines.\Hm?\Good land is needed for good herbs.\I want to learn more about this land and the herbs that grow here.\We're kind of similar, aren't we?\The ship's leaving!\Oh, I need to get on!\The ship's leaving! response:	I hope you find some good herbs!
context: Hm?\Good land is needed for good herbs.\I want to learn more about this land and the herbs that grow here.\We're kind of similar, aren't we?\The ship's leaving!\Oh, I need to get on!\The ship's leaving!\I hope you find some good herbs! response:	Thanks. I'll be back before dark!
context: Good land is needed for good herbs.\I want to learn more about this land and the herbs that grow here.\We're kind of similar, aren't we?\The ship's leaving!\Oh, I need to get on!\The ship's leaving!\I hope you find some good herbs!\Thanks. I'll be back before dark! response:	Did you see that red hair?
context: I want to learn more about this land and the herbs that grow here.\We're kind of similar, aren't we?\The ship's leaving!\Oh, I need to get on!\The ship's leaving!\I hope you find some good herbs!\Thanks. I'll be back before dark!\Did you see that red hair? response:	Yeah, that's unusual...
context: We're kind of similar, aren't we?\The ship's leaving!\Oh, I need to get on!\The ship's leaving!\I hope you find some good herbs!\Thanks. I'll be back before dark!\Did you see that red hair?\Yeah, that's unusual... response:	I'm sure we'd get a good price for it!
context: The ship's leaving!\Oh, I need to get on!\The ship's leaving!\I hope you find some good herbs!\Thanks. I'll be back before dark!\Did you see that red hair?\Yeah, that's unusual...\I'm sure we'd get a good price for it! response:	I can make some good medicines with this...
context: Oh, I need to get on!\The ship's leaving!\I hope you find some good herbs!\Thanks. I'll be back before dark!\Did you see that red hair?\Yeah, that's unusual...\I'm sure we'd get a good price for it!\I can make some good medicines with this... response:	Nice to meet you.
context: The ship's leaving!\I hope you find some good herbs!\Thanks. I'll be back before dark!\Did you see that red hair?\Yeah, that's unusual...\I'm sure we'd get a good price for it!\I can make some good medicines with this...\Nice to meet you. response:	You seem to be in high spirits.
context: I hope you find some good herbs!\Thanks. I'll be back before dark!\Did you see that red hair?\Yeah, that's unusual...\I'm sure we'd get a good price for it!\I can make some good medicines with this...\Nice to meet you.\You seem to be in high spirits. response:	Because the escape today was worthwhile.
context: Thanks. I'll be back before dark!\Did you see that red hair?\Yeah, that's unusual...\I'm sure we'd get a good price for it!\I can make some good medicines with this...\Nice to meet you.\You seem to be in high spirits.\Because the escape today was worthwhile. response:	Glad to hear it.
context: Did you see that red hair?\Yeah, that's unusual...\I'm sure we'd get a good price for it!\I can make some good medicines with this...\Nice to meet you.\You seem to be in high spirits.\Because the escape today was worthwhile.\Glad to hear it. response:	Then, you can do the rest of the deskwork in high spirits, too, right?
context: Yeah, that's unusual...\I'm sure we'd get a good price for it!\I can make some good medicines with this...\Nice to meet you.\You seem to be in high spirits.\Because the escape today was worthwhile.\Glad to hear it.\Then, you can do the rest of the deskwork in high spirits, too, right? response:	Shirayuki's working hard, too...
context: I'm sure we'd get a good price for it!\I can make some good medicines with this...\Nice to meet you.\You seem to be in high spirits.\Because the escape today was worthwhile.\Glad to hear it.\Then, you can do the rest of the deskwork in high spirits, too, right?\Shirayuki's working hard, too... response:	All right!
context: I can make some good medicines with this...\Nice to meet you.\You seem to be in high spirits.\Because the escape today was worthwhile.\Glad to hear it.\Then, you can do the rest of the deskwork in high spirits, too, right?\Shirayuki's working hard, too...\All right! response:	The Shirayuki Effect is amazing.
context: Nice to meet you.\You seem to be in high spirits.\Because the escape today was worthwhile.\Glad to hear it.\Then, you can do the rest of the deskwork in high spirits, too, right?\Shirayuki's working hard, too...\All right!\The Shirayuki Effect is amazing. response:	You're awake?
context: You seem to be in high spirits.\Because the escape today was worthwhile.\Glad to hear it.\Then, you can do the rest of the deskwork in high spirits, too, right?\Shirayuki's working hard, too...\All right!\The Shirayuki Effect is amazing.\You're awake? response:	I'm Mihaya.
context: Because the escape today was worthwhile.\Glad to hear it.\Then, you can do the rest of the deskwork in high spirits, too, right?\Shirayuki's working hard, too...\All right!\The Shirayuki Effect is amazing.\You're awake?\I'm Mihaya. response:	Do you remember me greeting you at the bottom of the mountain?
context: Glad to hear it.\Then, you can do the rest of the deskwork in high spirits, too, right?\Shirayuki's working hard, too...\All right!\The Shirayuki Effect is amazing.\You're awake?\I'm Mihaya.\Do you remember me greeting you at the bottom of the mountain? response:	Was it such an innocent thing as a greeting?
context: Then, you can do the rest of the deskwork in high spirits, too, right?\Shirayuki's working hard, too...\All right!\The Shirayuki Effect is amazing.\You're awake?\I'm Mihaya.\Do you remember me greeting you at the bottom of the mountain?\Was it such an innocent thing as a greeting? response:	Do you have business with me?
context: Shirayuki's working hard, too...\All right!\The Shirayuki Effect is amazing.\You're awake?\I'm Mihaya.\Do you remember me greeting you at the bottom of the mountain?\Was it such an innocent thing as a greeting?\Do you have business with me? response:	If not, I wouldn't be talking to you.
context: All right!\The Shirayuki Effect is amazing.\You're awake?\I'm Mihaya.\Do you remember me greeting you at the bottom of the mountain?\Was it such an innocent thing as a greeting?\Do you have business with me?\If not, I wouldn't be talking to you. response:	What do you think about something a prince couldn't even get his hands on?
context: The Shirayuki Effect is amazing.\You're awake?\I'm Mihaya.\Do you remember me greeting you at the bottom of the mountain?\Was it such an innocent thing as a greeting?\Do you have business with me?\If not, I wouldn't be talking to you.\What do you think about something a prince couldn't even get his hands on? response:	No matter who it's presented to, it should bring in a huge reward, don't you think?
context: You're awake?\I'm Mihaya.\Do you remember me greeting you at the bottom of the mountain?\Was it such an innocent thing as a greeting?\Do you have business with me?\If not, I wouldn't be talking to you.\What do you think about something a prince couldn't even get his hands on?\No matter who it's presented to, it should bring in a huge reward, don't you think? response:	What...?
context: I'm Mihaya.\Do you remember me greeting you at the bottom of the mountain?\Was it such an innocent thing as a greeting?\Do you have business with me?\If not, I wouldn't be talking to you.\What do you think about something a prince couldn't even get his hands on?\No matter who it's presented to, it should bring in a huge reward, don't you think?\What...? response:	For example, a red-haired girl born decorated with natural jewels... or something.
context: Do you remember me greeting you at the bottom of the mountain?\Was it such an innocent thing as a greeting?\Do you have business with me?\If not, I wouldn't be talking to you.\What do you think about something a prince couldn't even get his hands on?\No matter who it's presented to, it should bring in a huge reward, don't you think?\What...?\For example, a red-haired girl born decorated with natural jewels... or something. response:	Are you saying you're going to sell me?
context: Was it such an innocent thing as a greeting?\Do you have business with me?\If not, I wouldn't be talking to you.\What do you think about something a prince couldn't even get his hands on?\No matter who it's presented to, it should bring in a huge reward, don't you think?\What...?\For example, a red-haired girl born decorated with natural jewels... or something.\Are you saying you're going to sell me? response:	How vulgar! I said, presented.
context: Do you have business with me?\If not, I wouldn't be talking to you.\What do you think about something a prince couldn't even get his hands on?\No matter who it's presented to, it should bring in a huge reward, don't you think?\What...?\For example, a red-haired girl born decorated with natural jewels... or something.\Are you saying you're going to sell me?\How vulgar! I said, presented. response:	There are tons of rich people with strange tastes.
context: If not, I wouldn't be talking to you.\What do you think about something a prince couldn't even get his hands on?\No matter who it's presented to, it should bring in a huge reward, don't you think?\What...?\For example, a red-haired girl born decorated with natural jewels... or something.\Are you saying you're going to sell me?\How vulgar! I said, presented.\There are tons of rich people with strange tastes. response:	Why would you even think of something like that?
context: What do you think about something a prince couldn't even get his hands on?\No matter who it's presented to, it should bring in a huge reward, don't you think?\What...?\For example, a red-haired girl born decorated with natural jewels... or something.\Are you saying you're going to sell me?\How vulgar! I said, presented.\There are tons of rich people with strange tastes.\Why would you even think of something like that? response:	Well, I could also wait until it grew out.
context: No matter who it's presented to, it should bring in a huge reward, don't you think?\What...?\For example, a red-haired girl born decorated with natural jewels... or something.\Are you saying you're going to sell me?\How vulgar! I said, presented.\There are tons of rich people with strange tastes.\Why would you even think of something like that?\Well, I could also wait until it grew out. response:	It wouldn't be too bad to keep you by my side until then...
context: What...?\For example, a red-haired girl born decorated with natural jewels... or something.\Are you saying you're going to sell me?\How vulgar! I said, presented.\There are tons of rich people with strange tastes.\Why would you even think of something like that?\Well, I could also wait until it grew out.\It wouldn't be too bad to keep you by my side until then... response:	What do you think, Red?
context: For example, a red-haired girl born decorated with natural jewels... or something.\Are you saying you're going to sell me?\How vulgar! I said, presented.\There are tons of rich people with strange tastes.\Why would you even think of something like that?\Well, I could also wait until it grew out.\It wouldn't be too bad to keep you by my side until then...\What do you think, Red? response:	What? Shirayuki's not here?
context: Are you saying you're going to sell me?\How vulgar! I said, presented.\There are tons of rich people with strange tastes.\Why would you even think of something like that?\Well, I could also wait until it grew out.\It wouldn't be too bad to keep you by my side until then...\What do you think, Red?\What? Shirayuki's not here? response:	No, I brought bread to her room this morning, but she wasn't here...
context: How vulgar! I said, presented.\There are tons of rich people with strange tastes.\Why would you even think of something like that?\Well, I could also wait until it grew out.\It wouldn't be too bad to keep you by my side until then...\What do you think, Red?\What? Shirayuki's not here?\No, I brought bread to her room this morning, but she wasn't here... response:	There was no light in her room last night, either.
context: There are tons of rich people with strange tastes.\Why would you even think of something like that?\Well, I could also wait until it grew out.\It wouldn't be too bad to keep you by my side until then...\What do you think, Red?\What? Shirayuki's not here?\No, I brought bread to her room this morning, but she wasn't here...\There was no light in her room last night, either. response:	I wonder what in the world happened to her...
context: Why would you even think of something like that?\Well, I could also wait until it grew out.\It wouldn't be too bad to keep you by my side until then...\What do you think, Red?\What? Shirayuki's not here?\No, I brought bread to her room this morning, but she wasn't here...\There was no light in her room last night, either.\I wonder what in the world happened to her... response:	Huh?
context: Well, I could also wait until it grew out.\It wouldn't be too bad to keep you by my side until then...\What do you think, Red?\What? Shirayuki's not here?\No, I brought bread to her room this morning, but she wasn't here...\There was no light in her room last night, either.\I wonder what in the world happened to her...\Huh? response:	Here's some food. You wanna eat, don't you?
context: It wouldn't be too bad to keep you by my side until then...\What do you think, Red?\What? Shirayuki's not here?\No, I brought bread to her room this morning, but she wasn't here...\There was no light in her room last night, either.\I wonder what in the world happened to her...\Huh?\Here's some food. You wanna eat, don't you? response:	Damn it!
context: What do you think, Red?\What? Shirayuki's not here?\No, I brought bread to her room this morning, but she wasn't here...\There was no light in her room last night, either.\I wonder what in the world happened to her...\Huh?\Here's some food. You wanna eat, don't you?\Damn it! response:	You little-
context: What? Shirayuki's not here?\No, I brought bread to her room this morning, but she wasn't here...\There was no light in her room last night, either.\I wonder what in the world happened to her...\Huh?\Here's some food. You wanna eat, don't you?\Damn it!\You little- response:	Did she saw away at the rope all day?
context: No, I brought bread to her room this morning, but she wasn't here...\There was no light in her room last night, either.\I wonder what in the world happened to her...\Huh?\Here's some food. You wanna eat, don't you?\Damn it!\You little-\Did she saw away at the rope all day? response:	What's up with her?
context: There was no light in her room last night, either.\I wonder what in the world happened to her...\Huh?\Here's some food. You wanna eat, don't you?\Damn it!\You little-\Did she saw away at the rope all day?\What's up with her? response:	It's no good.
context: I wonder what in the world happened to her...\Huh?\Here's some food. You wanna eat, don't you?\Damn it!\You little-\Did she saw away at the rope all day?\What's up with her?\It's no good. response:	Oh, found you.
context: Huh?\Here's some food. You wanna eat, don't you?\Damn it!\You little-\Did she saw away at the rope all day?\What's up with her?\It's no good.\Oh, found you. response:	I have the keys...
context: Here's some food. You wanna eat, don't you?\Damn it!\You little-\Did she saw away at the rope all day?\What's up with her?\It's no good.\Oh, found you.\I have the keys... response:	There was no way out, was there?
context: Damn it!\You little-\Did she saw away at the rope all day?\What's up with her?\It's no good.\Oh, found you.\I have the keys...\There was no way out, was there? response:	Why is he on the second floor?
context: You little-\Did she saw away at the rope all day?\What's up with her?\It's no good.\Oh, found you.\I have the keys...\There was no way out, was there?\Why is he on the second floor? response:	Just so you know, you're in the middle of a mountain, Red.
context: Did she saw away at the rope all day?\What's up with her?\It's no good.\Oh, found you.\I have the keys...\There was no way out, was there?\Why is he on the second floor?\Just so you know, you're in the middle of a mountain, Red. response:	Even if you could get out, do you think you could escape by yourself?
context: What's up with her?\It's no good.\Oh, found you.\I have the keys...\There was no way out, was there?\Why is he on the second floor?\Just so you know, you're in the middle of a mountain, Red.\Even if you could get out, do you think you could escape by yourself? response:	I can't stop here.
context: It's no good.\Oh, found you.\I have the keys...\There was no way out, was there?\Why is he on the second floor?\Just so you know, you're in the middle of a mountain, Red.\Even if you could get out, do you think you could escape by yourself?\I can't stop here. response:	That's why you should try someone else!
context: Oh, found you.\I have the keys...\There was no way out, was there?\Why is he on the second floor?\Just so you know, you're in the middle of a mountain, Red.\Even if you could get out, do you think you could escape by yourself?\I can't stop here.\That's why you should try someone else! response:	Did you decide to stop running, Red?
context: I have the keys...\There was no way out, was there?\Why is he on the second floor?\Just so you know, you're in the middle of a mountain, Red.\Even if you could get out, do you think you could escape by yourself?\I can't stop here.\That's why you should try someone else!\Did you decide to stop running, Red? response:	Not really...
context: There was no way out, was there?\Why is he on the second floor?\Just so you know, you're in the middle of a mountain, Red.\Even if you could get out, do you think you could escape by yourself?\I can't stop here.\That's why you should try someone else!\Did you decide to stop running, Red?\Not really... response:	Then you won't complain if I catch you, right?
context: Why is he on the second floor?\Just so you know, you're in the middle of a mountain, Red.\Even if you could get out, do you think you could escape by yourself?\I can't stop here.\That's why you should try someone else!\Did you decide to stop running, Red?\Not really...\Then you won't complain if I catch you, right? response:	Please, work!
context: Just so you know, you're in the middle of a mountain, Red.\Even if you could get out, do you think you could escape by yourself?\I can't stop here.\That's why you should try someone else!\Did you decide to stop running, Red?\Not really...\Then you won't complain if I catch you, right?\Please, work! response:	Damn it!
context: Even if you could get out, do you think you could escape by yourself?\I can't stop here.\That's why you should try someone else!\Did you decide to stop running, Red?\Not really...\Then you won't complain if I catch you, right?\Please, work!\Damn it! response:	Wh-What the...?
context: I can't stop here.\That's why you should try someone else!\Did you decide to stop running, Red?\Not really...\Then you won't complain if I catch you, right?\Please, work!\Damn it!\Wh-What the...? response:	I burned herbs with paralyzing effects,
context: That's why you should try someone else!\Did you decide to stop running, Red?\Not really...\Then you won't complain if I catch you, right?\Please, work!\Damn it!\Wh-What the...?\I burned herbs with paralyzing effects, response:	so the feeling in your body should be numbed for a while.
context: Did you decide to stop running, Red?\Not really...\Then you won't complain if I catch you, right?\Please, work!\Damn it!\Wh-What the...?\I burned herbs with paralyzing effects,\so the feeling in your body should be numbed for a while. response:	Please rest well!
context: Not really...\Then you won't complain if I catch you, right?\Please, work!\Damn it!\Wh-What the...?\I burned herbs with paralyzing effects,\so the feeling in your body should be numbed for a while.\Please rest well! response:	If he was on the second floor earlier because he didn't want me going up there...
context: Then you won't complain if I catch you, right?\Please, work!\Damn it!\Wh-What the...?\I burned herbs with paralyzing effects,\so the feeling in your body should be numbed for a while.\Please rest well!\If he was on the second floor earlier because he didn't want me going up there... response:	Then there's a way out!
context: Please, work!\Damn it!\Wh-What the...?\I burned herbs with paralyzing effects,\so the feeling in your body should be numbed for a while.\Please rest well!\If he was on the second floor earlier because he didn't want me going up there...\Then there's a way out! response:	There are no bars!
context: Damn it!\Wh-What the...?\I burned herbs with paralyzing effects,\so the feeling in your body should be numbed for a while.\Please rest well!\If he was on the second floor earlier because he didn't want me going up there...\Then there's a way out!\There are no bars! response:	Sorry to make you wait.
context: Wh-What the...?\I burned herbs with paralyzing effects,\so the feeling in your body should be numbed for a while.\Please rest well!\If he was on the second floor earlier because he didn't want me going up there...\Then there's a way out!\There are no bars!\Sorry to make you wait. response:	Unfortunately, this is it for you.
context: I burned herbs with paralyzing effects,\so the feeling in your body should be numbed for a while.\Please rest well!\If he was on the second floor earlier because he didn't want me going up there...\Then there's a way out!\There are no bars!\Sorry to make you wait.\Unfortunately, this is it for you. response:	Those herbs earlier didn't really have that much of an effect, either.
context: so the feeling in your body should be numbed for a while.\Please rest well!\If he was on the second floor earlier because he didn't want me going up there...\Then there's a way out!\There are no bars!\Sorry to make you wait.\Unfortunately, this is it for you.\Those herbs earlier didn't really have that much of an effect, either. response:	You can't escape from me on this mountain.
context: Please rest well!\If he was on the second floor earlier because he didn't want me going up there...\Then there's a way out!\There are no bars!\Sorry to make you wait.\Unfortunately, this is it for you.\Those herbs earlier didn't really have that much of an effect, either.\You can't escape from me on this mountain. response:	You know what? If you run away now, someone else'll probably just come after you.
context: If he was on the second floor earlier because he didn't want me going up there...\Then there's a way out!\There are no bars!\Sorry to make you wait.\Unfortunately, this is it for you.\Those herbs earlier didn't really have that much of an effect, either.\You can't escape from me on this mountain.\You know what? If you run away now, someone else'll probably just come after you. response:	It'd be safer if you just gave yourself to some noble or royalty.
context: Then there's a way out!\There are no bars!\Sorry to make you wait.\Unfortunately, this is it for you.\Those herbs earlier didn't really have that much of an effect, either.\You can't escape from me on this mountain.\You know what? If you run away now, someone else'll probably just come after you.\It'd be safer if you just gave yourself to some noble or royalty. response:	You'd be protected and live in luxury.
context: There are no bars!\Sorry to make you wait.\Unfortunately, this is it for you.\Those herbs earlier didn't really have that much of an effect, either.\You can't escape from me on this mountain.\You know what? If you run away now, someone else'll probably just come after you.\It'd be safer if you just gave yourself to some noble or royalty.\You'd be protected and live in luxury. response:	Don't you think that'd be a good way to go?
context: Sorry to make you wait.\Unfortunately, this is it for you.\Those herbs earlier didn't really have that much of an effect, either.\You can't escape from me on this mountain.\You know what? If you run away now, someone else'll probably just come after you.\It'd be safer if you just gave yourself to some noble or royalty.\You'd be protected and live in luxury.\Don't you think that'd be a good way to go? response:	Don't you, Red?
context: Unfortunately, this is it for you.\Those herbs earlier didn't really have that much of an effect, either.\You can't escape from me on this mountain.\You know what? If you run away now, someone else'll probably just come after you.\It'd be safer if you just gave yourself to some noble or royalty.\You'd be protected and live in luxury.\Don't you think that'd be a good way to go?\Don't you, Red? response:	I'm not interested in that path!
context: Those herbs earlier didn't really have that much of an effect, either.\You can't escape from me on this mountain.\You know what? If you run away now, someone else'll probably just come after you.\It'd be safer if you just gave yourself to some noble or royalty.\You'd be protected and live in luxury.\Don't you think that'd be a good way to go?\Don't you, Red?\I'm not interested in that path! response:	That's why I'll bring you with me!
context: You can't escape from me on this mountain.\You know what? If you run away now, someone else'll probably just come after you.\It'd be safer if you just gave yourself to some noble or royalty.\You'd be protected and live in luxury.\Don't you think that'd be a good way to go?\Don't you, Red?\I'm not interested in that path!\That's why I'll bring you with me! response:	Who's there, bastard?
context: You know what? If you run away now, someone else'll probably just come after you.\It'd be safer if you just gave yourself to some noble or royalty.\You'd be protected and live in luxury.\Don't you think that'd be a good way to go?\Don't you, Red?\I'm not interested in that path!\That's why I'll bring you with me!\Who's there, bastard? response:	Hey, Shirayuki.
context: It'd be safer if you just gave yourself to some noble or royalty.\You'd be protected and live in luxury.\Don't you think that'd be a good way to go?\Don't you, Red?\I'm not interested in that path!\That's why I'll bring you with me!\Who's there, bastard?\Hey, Shirayuki. response:	Wasn't this supposed to be a day trip?
context: You'd be protected and live in luxury.\Don't you think that'd be a good way to go?\Don't you, Red?\I'm not interested in that path!\That's why I'll bring you with me!\Who's there, bastard?\Hey, Shirayuki.\Wasn't this supposed to be a day trip? response:	Zen...
context: Don't you think that'd be a good way to go?\Don't you, Red?\I'm not interested in that path!\That's why I'll bring you with me!\Who's there, bastard?\Hey, Shirayuki.\Wasn't this supposed to be a day trip?\Zen... response:	Are you hurt?
context: Don't you, Red?\I'm not interested in that path!\That's why I'll bring you with me!\Who's there, bastard?\Hey, Shirayuki.\Wasn't this supposed to be a day trip?\Zen...\Are you hurt? response:	Oh, no. I'm fine.
context: I'm not interested in that path!\That's why I'll bring you with me!\Who's there, bastard?\Hey, Shirayuki.\Wasn't this supposed to be a day trip?\Zen...\Are you hurt?\Oh, no. I'm fine. response:	I see...
context: That's why I'll bring you with me!\Who's there, bastard?\Hey, Shirayuki.\Wasn't this supposed to be a day trip?\Zen...\Are you hurt?\Oh, no. I'm fine.\I see... response:	You had a guard, huh...?
context: Who's there, bastard?\Hey, Shirayuki.\Wasn't this supposed to be a day trip?\Zen...\Are you hurt?\Oh, no. I'm fine.\I see...\You had a guard, huh...? response:	What the heck? I was planning to take that job for myself wherever I presented her
context: Hey, Shirayuki.\Wasn't this supposed to be a day trip?\Zen...\Are you hurt?\Oh, no. I'm fine.\I see...\You had a guard, huh...?\What the heck? I was planning to take that job for myself wherever I presented her response:	and make some money while I was at it.
context: Wasn't this supposed to be a day trip?\Zen...\Are you hurt?\Oh, no. I'm fine.\I see...\You had a guard, huh...?\What the heck? I was planning to take that job for myself wherever I presented her\and make some money while I was at it. response:	You thought about that, too?
context: Zen...\Are you hurt?\Oh, no. I'm fine.\I see...\You had a guard, huh...?\What the heck? I was planning to take that job for myself wherever I presented her\and make some money while I was at it.\You thought about that, too? response:	Yeah. This mansion used to be my house.
context: Are you hurt?\Oh, no. I'm fine.\I see...\You had a guard, huh...?\What the heck? I was planning to take that job for myself wherever I presented her\and make some money while I was at it.\You thought about that, too?\Yeah. This mansion used to be my house. response:	Our vacation home from when we were still nobility.
context: Oh, no. I'm fine.\I see...\You had a guard, huh...?\What the heck? I was planning to take that job for myself wherever I presented her\and make some money while I was at it.\You thought about that, too?\Yeah. This mansion used to be my house.\Our vacation home from when we were still nobility. response:	No wonder you knew it so well.
