context: Was it last year? response:	When we were having a competition with Hotarugawa,
context: Puke tears!\Puke? You...!\I'll help you purify your tears!\Eh?\Okay, let's do this quickly.\Just like when you learned how to swim at the pool.\Did you even consider that there might be viruses or germs in there?!\There are more germs in Shinichirou. response:	We are killing off those germs with this.
context: Puke? You...!\I'll help you purify your tears!\Eh?\Okay, let's do this quickly.\Just like when you learned how to swim at the pool.\Did you even consider that there might be viruses or germs in there?!\There are more germs in Shinichirou.\We are killing off those germs with this. response:	Here!
context: I'll help you purify your tears!\Eh?\Okay, let's do this quickly.\Just like when you learned how to swim at the pool.\Did you even consider that there might be viruses or germs in there?!\There are more germs in Shinichirou.\We are killing off those germs with this.\Here! response:	Here.
context: Eh?\Okay, let's do this quickly.\Just like when you learned how to swim at the pool.\Did you even consider that there might be viruses or germs in there?!\There are more germs in Shinichirou.\We are killing off those germs with this.\Here!\Here. response:	Good work.
context: Okay, let's do this quickly.\Just like when you learned how to swim at the pool.\Did you even consider that there might be viruses or germs in there?!\There are more germs in Shinichirou.\We are killing off those germs with this.\Here!\Here.\Good work. response:	Is it warm?
context: Just like when you learned how to swim at the pool.\Did you even consider that there might be viruses or germs in there?!\There are more germs in Shinichirou.\We are killing off those germs with this.\Here!\Here.\Good work.\Is it warm? response:	Isn't it usually... the guy who does something like this?
context: Did you even consider that there might be viruses or germs in there?!\There are more germs in Shinichirou.\We are killing off those germs with this.\Here!\Here.\Good work.\Is it warm?\Isn't it usually... the guy who does something like this? response:	Shinichirou is the one who's cold, right?
context: There are more germs in Shinichirou.\We are killing off those germs with this.\Here!\Here.\Good work.\Is it warm?\Isn't it usually... the guy who does something like this?\Shinichirou is the one who's cold, right? response:	I guess so...
context: We are killing off those germs with this.\Here!\Here.\Good work.\Is it warm?\Isn't it usually... the guy who does something like this?\Shinichirou is the one who's cold, right?\I guess so... response:	But, this...
context: Here!\Here.\Good work.\Is it warm?\Isn't it usually... the guy who does something like this?\Shinichirou is the one who's cold, right?\I guess so...\But, this... response:	Isn't it a bit too big for you?
context: Here.\Good work.\Is it warm?\Isn't it usually... the guy who does something like this?\Shinichirou is the one who's cold, right?\I guess so...\But, this...\Isn't it a bit too big for you? response:	It was my granny's.
context: Good work.\Is it warm?\Isn't it usually... the guy who does something like this?\Shinichirou is the one who's cold, right?\I guess so...\But, this...\Isn't it a bit too big for you?\It was my granny's. response:	Your grandmother?
context: Is it warm?\Isn't it usually... the guy who does something like this?\Shinichirou is the one who's cold, right?\I guess so...\But, this...\Isn't it a bit too big for you?\It was my granny's.\Your grandmother? response:	Yeah. My beloved... my beloved granny!
context: Isn't it usually... the guy who does something like this?\Shinichirou is the one who's cold, right?\I guess so...\But, this...\Isn't it a bit too big for you?\It was my granny's.\Your grandmother?\Yeah. My beloved... my beloved granny! response:	My grandmother, who took my tears with her to the skies.
context: Shinichirou is the one who's cold, right?\I guess so...\But, this...\Isn't it a bit too big for you?\It was my granny's.\Your grandmother?\Yeah. My beloved... my beloved granny!\My grandmother, who took my tears with her to the skies. response:	Your tears...
context: I guess so...\But, this...\Isn't it a bit too big for you?\It was my granny's.\Your grandmother?\Yeah. My beloved... my beloved granny!\My grandmother, who took my tears with her to the skies.\Your tears... response:	To the skies?
context: But, this...\Isn't it a bit too big for you?\It was my granny's.\Your grandmother?\Yeah. My beloved... my beloved granny!\My grandmother, who took my tears with her to the skies.\Your tears...\To the skies? response:	No way! No way! I want granny to come home with us!
context: Isn't it a bit too big for you?\It was my granny's.\Your grandmother?\Yeah. My beloved... my beloved granny!\My grandmother, who took my tears with her to the skies.\Your tears...\To the skies?\No way! No way! I want granny to come home with us! response:	Don't be so selfish, Noe!
context: It was my granny's.\Your grandmother?\Yeah. My beloved... my beloved granny!\My grandmother, who took my tears with her to the skies.\Your tears...\To the skies?\No way! No way! I want granny to come home with us!\Don't be so selfish, Noe! response:	No way!
context: Your grandmother?\Yeah. My beloved... my beloved granny!\My grandmother, who took my tears with her to the skies.\Your tears...\To the skies?\No way! No way! I want granny to come home with us!\Don't be so selfish, Noe!\No way! response:	Oh my, Noe is such a crybaby...
context: Yeah. My beloved... my beloved granny!\My grandmother, who took my tears with her to the skies.\Your tears...\To the skies?\No way! No way! I want granny to come home with us!\Don't be so selfish, Noe!\No way!\Oh my, Noe is such a crybaby... response:	Granny will soon be going on a journey to the skies.
context: My grandmother, who took my tears with her to the skies.\Your tears...\To the skies?\No way! No way! I want granny to come home with us!\Don't be so selfish, Noe!\No way!\Oh my, Noe is such a crybaby...\Granny will soon be going on a journey to the skies. response:	To the skies?
context: Your tears...\To the skies?\No way! No way! I want granny to come home with us!\Don't be so selfish, Noe!\No way!\Oh my, Noe is such a crybaby...\Granny will soon be going on a journey to the skies.\To the skies? response:	That's right! When that time comes, I'll bring Noe's tears along with me!
context: To the skies?\No way! No way! I want granny to come home with us!\Don't be so selfish, Noe!\No way!\Oh my, Noe is such a crybaby...\Granny will soon be going on a journey to the skies.\To the skies?\That's right! When that time comes, I'll bring Noe's tears along with me! response:	Noe's tears?
context: No way! No way! I want granny to come home with us!\Don't be so selfish, Noe!\No way!\Oh my, Noe is such a crybaby...\Granny will soon be going on a journey to the skies.\To the skies?\That's right! When that time comes, I'll bring Noe's tears along with me!\Noe's tears? response:	That's right. And then the crybaby Noe won't cry anymore.
context: Don't be so selfish, Noe!\No way!\Oh my, Noe is such a crybaby...\Granny will soon be going on a journey to the skies.\To the skies?\That's right! When that time comes, I'll bring Noe's tears along with me!\Noe's tears?\That's right. And then the crybaby Noe won't cry anymore. response:	That's a lie! You can't give or take tears from someone!
context: No way!\Oh my, Noe is such a crybaby...\Granny will soon be going on a journey to the skies.\To the skies?\That's right! When that time comes, I'll bring Noe's tears along with me!\Noe's tears?\That's right. And then the crybaby Noe won't cry anymore.\That's a lie! You can't give or take tears from someone! response:	You can't take just anyone's...
context: Oh my, Noe is such a crybaby...\Granny will soon be going on a journey to the skies.\To the skies?\That's right! When that time comes, I'll bring Noe's tears along with me!\Noe's tears?\That's right. And then the crybaby Noe won't cry anymore.\That's a lie! You can't give or take tears from someone!\You can't take just anyone's... response:	A very...
context: Granny will soon be going on a journey to the skies.\To the skies?\That's right! When that time comes, I'll bring Noe's tears along with me!\Noe's tears?\That's right. And then the crybaby Noe won't cry anymore.\That's a lie! You can't give or take tears from someone!\You can't take just anyone's...\A very... response:	A very important person's tears are the only ones you can take.
context: To the skies?\That's right! When that time comes, I'll bring Noe's tears along with me!\Noe's tears?\That's right. And then the crybaby Noe won't cry anymore.\That's a lie! You can't give or take tears from someone!\You can't take just anyone's...\A very...\A very important person's tears are the only ones you can take. response:	A very...
context: That's right! When that time comes, I'll bring Noe's tears along with me!\Noe's tears?\That's right. And then the crybaby Noe won't cry anymore.\That's a lie! You can't give or take tears from someone!\You can't take just anyone's...\A very...\A very important person's tears are the only ones you can take.\A very... response:	A very important...
context: Noe's tears?\That's right. And then the crybaby Noe won't cry anymore.\That's a lie! You can't give or take tears from someone!\You can't take just anyone's...\A very...\A very important person's tears are the only ones you can take.\A very...\A very important... response:	Since then, I've been unable to cry.
context: That's right. And then the crybaby Noe won't cry anymore.\That's a lie! You can't give or take tears from someone!\You can't take just anyone's...\A very...\A very important person's tears are the only ones you can take.\A very...\A very important...\Since then, I've been unable to cry. response:	It's because... granny took my tears with her.
context: That's a lie! You can't give or take tears from someone!\You can't take just anyone's...\A very...\A very important person's tears are the only ones you can take.\A very...\A very important...\Since then, I've been unable to cry.\It's because... granny took my tears with her. response:	Did her childhood memories really make her think that?
context: You can't take just anyone's...\A very...\A very important person's tears are the only ones you can take.\A very...\A very important...\Since then, I've been unable to cry.\It's because... granny took my tears with her.\Did her childhood memories really make her think that? response:	Eventually, I want to be able to cry.
context: A very...\A very important person's tears are the only ones you can take.\A very...\A very important...\Since then, I've been unable to cry.\It's because... granny took my tears with her.\Did her childhood memories really make her think that?\Eventually, I want to be able to cry. response:	But to do that, I have to first collect tears from someone.
context: A very important person's tears are the only ones you can take.\A very...\A very important...\Since then, I've been unable to cry.\It's because... granny took my tears with her.\Did her childhood memories really make her think that?\Eventually, I want to be able to cry.\But to do that, I have to first collect tears from someone. response:	But...
context: A very...\A very important...\Since then, I've been unable to cry.\It's because... granny took my tears with her.\Did her childhood memories really make her think that?\Eventually, I want to be able to cry.\But to do that, I have to first collect tears from someone.\But... response:	You couldn't take them from just anyone.
context: A very important...\Since then, I've been unable to cry.\It's because... granny took my tears with her.\Did her childhood memories really make her think that?\Eventually, I want to be able to cry.\But to do that, I have to first collect tears from someone.\But...\You couldn't take them from just anyone. response:	Yup.
context: Since then, I've been unable to cry.\It's because... granny took my tears with her.\Did her childhood memories really make her think that?\Eventually, I want to be able to cry.\But to do that, I have to first collect tears from someone.\But...\You couldn't take them from just anyone.\Yup. response:	It has to be the selected tears of someone that I care about.
context: It's because... granny took my tears with her.\Did her childhood memories really make her think that?\Eventually, I want to be able to cry.\But to do that, I have to first collect tears from someone.\But...\You couldn't take them from just anyone.\Yup.\It has to be the selected tears of someone that I care about. response:	It has to be the tears of someone elegant who's always looking up, towards where my granny is.
context: Did her childhood memories really make her think that?\Eventually, I want to be able to cry.\But to do that, I have to first collect tears from someone.\But...\You couldn't take them from just anyone.\Yup.\It has to be the selected tears of someone that I care about.\It has to be the tears of someone elegant who's always looking up, towards where my granny is. response:	And that's me... and the one before me was Raigou-maru...
context: Eventually, I want to be able to cry.\But to do that, I have to first collect tears from someone.\But...\You couldn't take them from just anyone.\Yup.\It has to be the selected tears of someone that I care about.\It has to be the tears of someone elegant who's always looking up, towards where my granny is.\And that's me... and the one before me was Raigou-maru... response:	The tears of a chicken...
context: But to do that, I have to first collect tears from someone.\But...\You couldn't take them from just anyone.\Yup.\It has to be the selected tears of someone that I care about.\It has to be the tears of someone elegant who's always looking up, towards where my granny is.\And that's me... and the one before me was Raigou-maru...\The tears of a chicken... response:	Do you get it?
context: But...\You couldn't take them from just anyone.\Yup.\It has to be the selected tears of someone that I care about.\It has to be the tears of someone elegant who's always looking up, towards where my granny is.\And that's me... and the one before me was Raigou-maru...\The tears of a chicken...\Do you get it? response:	That kind of gutter tears won't do.
context: You couldn't take them from just anyone.\Yup.\It has to be the selected tears of someone that I care about.\It has to be the tears of someone elegant who's always looking up, towards where my granny is.\And that's me... and the one before me was Raigou-maru...\The tears of a chicken...\Do you get it?\That kind of gutter tears won't do. response:	I get it.
context: Yup.\It has to be the selected tears of someone that I care about.\It has to be the tears of someone elegant who's always looking up, towards where my granny is.\And that's me... and the one before me was Raigou-maru...\The tears of a chicken...\Do you get it?\That kind of gutter tears won't do.\I get it. response:	What do you want to do? Is it karaoke, after all?
context: It has to be the selected tears of someone that I care about.\It has to be the tears of someone elegant who's always looking up, towards where my granny is.\And that's me... and the one before me was Raigou-maru...\The tears of a chicken...\Do you get it?\That kind of gutter tears won't do.\I get it.\What do you want to do? Is it karaoke, after all? response:	Hmm... I don't really feel like it.
context: It has to be the tears of someone elegant who's always looking up, towards where my granny is.\And that's me... and the one before me was Raigou-maru...\The tears of a chicken...\Do you get it?\That kind of gutter tears won't do.\I get it.\What do you want to do? Is it karaoke, after all?\Hmm... I don't really feel like it. response:	Then, let's go shopping!
context: And that's me... and the one before me was Raigou-maru...\The tears of a chicken...\Do you get it?\That kind of gutter tears won't do.\I get it.\What do you want to do? Is it karaoke, after all?\Hmm... I don't really feel like it.\Then, let's go shopping! response:	I'm broke, though...
context: The tears of a chicken...\Do you get it?\That kind of gutter tears won't do.\I get it.\What do you want to do? Is it karaoke, after all?\Hmm... I don't really feel like it.\Then, let's go shopping!\I'm broke, though... response:	Don't worry! I helped out with cutting the crops,
context: Do you get it?\That kind of gutter tears won't do.\I get it.\What do you want to do? Is it karaoke, after all?\Hmm... I don't really feel like it.\Then, let's go shopping!\I'm broke, though...\Don't worry! I helped out with cutting the crops, response:	so I have quite a lot to spend!
context: That kind of gutter tears won't do.\I get it.\What do you want to do? Is it karaoke, after all?\Hmm... I don't really feel like it.\Then, let's go shopping!\I'm broke, though...\Don't worry! I helped out with cutting the crops,\so I have quite a lot to spend! response:	No thanks, that wouldn't feel right.
context: I get it.\What do you want to do? Is it karaoke, after all?\Hmm... I don't really feel like it.\Then, let's go shopping!\I'm broke, though...\Don't worry! I helped out with cutting the crops,\so I have quite a lot to spend!\No thanks, that wouldn't feel right. response:	Oh, that's the rumored Isurugi Noe.
context: What do you want to do? Is it karaoke, after all?\Hmm... I don't really feel like it.\Then, let's go shopping!\I'm broke, though...\Don't worry! I helped out with cutting the crops,\so I have quite a lot to spend!\No thanks, that wouldn't feel right.\Oh, that's the rumored Isurugi Noe. response:	She's cute...
context: Hmm... I don't really feel like it.\Then, let's go shopping!\I'm broke, though...\Don't worry! I helped out with cutting the crops,\so I have quite a lot to spend!\No thanks, that wouldn't feel right.\Oh, that's the rumored Isurugi Noe.\She's cute... response:	What's with that? Ai-chan is cute!
context: Then, let's go shopping!\I'm broke, though...\Don't worry! I helped out with cutting the crops,\so I have quite a lot to spend!\No thanks, that wouldn't feel right.\Oh, that's the rumored Isurugi Noe.\She's cute...\What's with that? Ai-chan is cute! response:	Thank you.
context: I'm broke, though...\Don't worry! I helped out with cutting the crops,\so I have quite a lot to spend!\No thanks, that wouldn't feel right.\Oh, that's the rumored Isurugi Noe.\She's cute...\What's with that? Ai-chan is cute!\Thank you. response:	I'm sorry!
context: Don't worry! I helped out with cutting the crops,\so I have quite a lot to spend!\No thanks, that wouldn't feel right.\Oh, that's the rumored Isurugi Noe.\She's cute...\What's with that? Ai-chan is cute!\Thank you.\I'm sorry! response:	It's not that...
context: so I have quite a lot to spend!\No thanks, that wouldn't feel right.\Oh, that's the rumored Isurugi Noe.\She's cute...\What's with that? Ai-chan is cute!\Thank you.\I'm sorry!\It's not that... response:	You surprised me.
context: No thanks, that wouldn't feel right.\Oh, that's the rumored Isurugi Noe.\She's cute...\What's with that? Ai-chan is cute!\Thank you.\I'm sorry!\It's not that...\You surprised me. response:	I'm sorry, too.
context: Oh, that's the rumored Isurugi Noe.\She's cute...\What's with that? Ai-chan is cute!\Thank you.\I'm sorry!\It's not that...\You surprised me.\I'm sorry, too. response:	Let's go.
context: She's cute...\What's with that? Ai-chan is cute!\Thank you.\I'm sorry!\It's not that...\You surprised me.\I'm sorry, too.\Let's go. response:	You know...
context: What's with that? Ai-chan is cute!\Thank you.\I'm sorry!\It's not that...\You surprised me.\I'm sorry, too.\Let's go.\You know... response:	It's fine if you want me to get along with her.
context: Thank you.\I'm sorry!\It's not that...\You surprised me.\I'm sorry, too.\Let's go.\You know...\It's fine if you want me to get along with her. response:	Yuasa Hiromi.
context: I'm sorry!\It's not that...\You surprised me.\I'm sorry, too.\Let's go.\You know...\It's fine if you want me to get along with her.\Yuasa Hiromi. response:	Since the cause of your worthless tears...
context: It's not that...\You surprised me.\I'm sorry, too.\Let's go.\You know...\It's fine if you want me to get along with her.\Yuasa Hiromi.\Since the cause of your worthless tears... response:	is probably her, right?
context: You surprised me.\I'm sorry, too.\Let's go.\You know...\It's fine if you want me to get along with her.\Yuasa Hiromi.\Since the cause of your worthless tears...\is probably her, right? response:	Is that your female intuition?
context: I'm sorry, too.\Let's go.\You know...\It's fine if you want me to get along with her.\Yuasa Hiromi.\Since the cause of your worthless tears...\is probably her, right?\Is that your female intuition? response:	That's not it. It's just what I really think.
context: Let's go.\You know...\It's fine if you want me to get along with her.\Yuasa Hiromi.\Since the cause of your worthless tears...\is probably her, right?\Is that your female intuition?\That's not it. It's just what I really think. response:	So that's it.
context: You know...\It's fine if you want me to get along with her.\Yuasa Hiromi.\Since the cause of your worthless tears...\is probably her, right?\Is that your female intuition?\That's not it. It's just what I really think.\So that's it. response:	Why is she in pain,
context: It's fine if you want me to get along with her.\Yuasa Hiromi.\Since the cause of your worthless tears...\is probably her, right?\Is that your female intuition?\That's not it. It's just what I really think.\So that's it.\Why is she in pain, response:	what can you do to help her... you need to think about this sincerely.
context: Yuasa Hiromi.\Since the cause of your worthless tears...\is probably her, right?\Is that your female intuition?\That's not it. It's just what I really think.\So that's it.\Why is she in pain,\what can you do to help her... you need to think about this sincerely. response:	Think about it... sincerely...
context: Since the cause of your worthless tears...\is probably her, right?\Is that your female intuition?\That's not it. It's just what I really think.\So that's it.\Why is she in pain,\what can you do to help her... you need to think about this sincerely.\Think about it... sincerely... response:	To me...
context: is probably her, right?\Is that your female intuition?\That's not it. It's just what I really think.\So that's it.\Why is she in pain,\what can you do to help her... you need to think about this sincerely.\Think about it... sincerely...\To me... response:	She...
context: Is that your female intuition?\That's not it. It's just what I really think.\So that's it.\Why is she in pain,\what can you do to help her... you need to think about this sincerely.\Think about it... sincerely...\To me...\She... response:	I thought she always had such a pale and tormented face...
context: That's not it. It's just what I really think.\So that's it.\Why is she in pain,\what can you do to help her... you need to think about this sincerely.\Think about it... sincerely...\To me...\She...\I thought she always had such a pale and tormented face... response:	What if I could help her?
context: So that's it.\Why is she in pain,\what can you do to help her... you need to think about this sincerely.\Think about it... sincerely...\To me...\She...\I thought she always had such a pale and tormented face...\What if I could help her? response:	And yet...
context: Why is she in pain,\what can you do to help her... you need to think about this sincerely.\Think about it... sincerely...\To me...\She...\I thought she always had such a pale and tormented face...\What if I could help her?\And yet... response:	After I found out she likes another guy...
context: what can you do to help her... you need to think about this sincerely.\Think about it... sincerely...\To me...\She...\I thought she always had such a pale and tormented face...\What if I could help her?\And yet...\After I found out she likes another guy... response:	It's fine with me to get along with her...
context: Think about it... sincerely...\To me...\She...\I thought she always had such a pale and tormented face...\What if I could help her?\And yet...\After I found out she likes another guy...\It's fine with me to get along with her... response:	As long as Shinichirou cheers up.
context: To me...\She...\I thought she always had such a pale and tormented face...\What if I could help her?\And yet...\After I found out she likes another guy...\It's fine with me to get along with her...\As long as Shinichirou cheers up. response:	I used to think she was a girl that I couldn't begin to understand...
context: She...\I thought she always had such a pale and tormented face...\What if I could help her?\And yet...\After I found out she likes another guy...\It's fine with me to get along with her...\As long as Shinichirou cheers up.\I used to think she was a girl that I couldn't begin to understand... response:	But...
context: I thought she always had such a pale and tormented face...\What if I could help her?\And yet...\After I found out she likes another guy...\It's fine with me to get along with her...\As long as Shinichirou cheers up.\I used to think she was a girl that I couldn't begin to understand...\But... response:	Then, could you also think sincerely about the food from the skies?
context: What if I could help her?\And yet...\After I found out she likes another guy...\It's fine with me to get along with her...\As long as Shinichirou cheers up.\I used to think she was a girl that I couldn't begin to understand...\But...\Then, could you also think sincerely about the food from the skies? response:	Eh?
context: And yet...\After I found out she likes another guy...\It's fine with me to get along with her...\As long as Shinichirou cheers up.\I used to think she was a girl that I couldn't begin to understand...\But...\Then, could you also think sincerely about the food from the skies?\Eh? response:	You can't eat those!
context: After I found out she likes another guy...\It's fine with me to get along with her...\As long as Shinichirou cheers up.\I used to think she was a girl that I couldn't begin to understand...\But...\Then, could you also think sincerely about the food from the skies?\Eh?\You can't eat those! response:	Why?
context: It's fine with me to get along with her...\As long as Shinichirou cheers up.\I used to think she was a girl that I couldn't begin to understand...\But...\Then, could you also think sincerely about the food from the skies?\Eh?\You can't eat those!\Why? response:	Then, you try them!
context: As long as Shinichirou cheers up.\I used to think she was a girl that I couldn't begin to understand...\But...\Then, could you also think sincerely about the food from the skies?\Eh?\You can't eat those!\Why?\Then, you try them! response:	Okay.
context: I used to think she was a girl that I couldn't begin to understand...\But...\Then, could you also think sincerely about the food from the skies?\Eh?\You can't eat those!\Why?\Then, you try them!\Okay. response:	Why are you laughing?!
context: But...\Then, could you also think sincerely about the food from the skies?\Eh?\You can't eat those!\Why?\Then, you try them!\Okay.\Why are you laughing?! response:	Because your face looked so funny!
context: Then, could you also think sincerely about the food from the skies?\Eh?\You can't eat those!\Why?\Then, you try them!\Okay.\Why are you laughing?!\Because your face looked so funny! response:	You're terrible!
context: Eh?\You can't eat those!\Why?\Then, you try them!\Okay.\Why are you laughing?!\Because your face looked so funny!\You're terrible! response:	Hiromi...
context: You can't eat those!\Why?\Then, you try them!\Okay.\Why are you laughing?!\Because your face looked so funny!\You're terrible!\Hiromi... response:	Can I give up on her?
context: Why?\Then, you try them!\Okay.\Why are you laughing?!\Because your face looked so funny!\You're terrible!\Hiromi...\Can I give up on her? response:	Right now I'm not sure.
context: Then, you try them!\Okay.\Why are you laughing?!\Because your face looked so funny!\You're terrible!\Hiromi...\Can I give up on her?\Right now I'm not sure. response:	But...
context: Okay.\Why are you laughing?!\Because your face looked so funny!\You're terrible!\Hiromi...\Can I give up on her?\Right now I'm not sure.\But... response:	What are you doing?!
context: Why are you laughing?!\Because your face looked so funny!\You're terrible!\Hiromi...\Can I give up on her?\Right now I'm not sure.\But...\What are you doing?! response:	What are you guys doing?!
context: Because your face looked so funny!\You're terrible!\Hiromi...\Can I give up on her?\Right now I'm not sure.\But...\What are you doing?!\What are you guys doing?! response:	What am I doing!?
context: You're terrible!\Hiromi...\Can I give up on her?\Right now I'm not sure.\But...\What are you doing?!\What are you guys doing?!\What am I doing!? response:	How's it going?
context: Hiromi...\Can I give up on her?\Right now I'm not sure.\But...\What are you doing?!\What are you guys doing?!\What am I doing!?\How's it going? response:	Eh?
context: Can I give up on her?\Right now I'm not sure.\But...\What are you doing?!\What are you guys doing?!\What am I doing!?\How's it going?\Eh? response:	The picture book.
context: Right now I'm not sure.\But...\What are you doing?!\What are you guys doing?!\What am I doing!?\How's it going?\Eh?\The picture book. response:	Why don't you show it to me sometime?
context: But...\What are you doing?!\What are you guys doing?!\What am I doing!?\How's it going?\Eh?\The picture book.\Why don't you show it to me sometime? response:	What's troubling you?
context: What are you doing?!\What are you guys doing?!\What am I doing!?\How's it going?\Eh?\The picture book.\Why don't you show it to me sometime?\What's troubling you? response:	Pumpkin or corn...
context: What are you guys doing?!\What am I doing!?\How's it going?\Eh?\The picture book.\Why don't you show it to me sometime?\What's troubling you?\Pumpkin or corn... response:	I wonder which one will grow closest to the sky...
context: What am I doing!?\How's it going?\Eh?\The picture book.\Why don't you show it to me sometime?\What's troubling you?\Pumpkin or corn...\I wonder which one will grow closest to the sky... response:	Are you planning to cook?
context: How's it going?\Eh?\The picture book.\Why don't you show it to me sometime?\What's troubling you?\Pumpkin or corn...\I wonder which one will grow closest to the sky...\Are you planning to cook? response:	Yes.
context: Eh?\The picture book.\Why don't you show it to me sometime?\What's troubling you?\Pumpkin or corn...\I wonder which one will grow closest to the sky...\Are you planning to cook?\Yes. response:	How rare, that you would do that.
context: The picture book.\Why don't you show it to me sometime?\What's troubling you?\Pumpkin or corn...\I wonder which one will grow closest to the sky...\Are you planning to cook?\Yes.\How rare, that you would do that. response:	This'll be the next food from the sky.
context: Why don't you show it to me sometime?\What's troubling you?\Pumpkin or corn...\I wonder which one will grow closest to the sky...\Are you planning to cook?\Yes.\How rare, that you would do that.\This'll be the next food from the sky. response:	Is it for that back-carrying guy you told me about?
context: What's troubling you?\Pumpkin or corn...\I wonder which one will grow closest to the sky...\Are you planning to cook?\Yes.\How rare, that you would do that.\This'll be the next food from the sky.\Is it for that back-carrying guy you told me about? response:	Back-carrying guy?
context: Pumpkin or corn...\I wonder which one will grow closest to the sky...\Are you planning to cook?\Yes.\How rare, that you would do that.\This'll be the next food from the sky.\Is it for that back-carrying guy you told me about?\Back-carrying guy? response:	Sounds like a monster!
context: I wonder which one will grow closest to the sky...\Are you planning to cook?\Yes.\How rare, that you would do that.\This'll be the next food from the sky.\Is it for that back-carrying guy you told me about?\Back-carrying guy?\Sounds like a monster! response:	Take this one.
context: Are you planning to cook?\Yes.\How rare, that you would do that.\This'll be the next food from the sky.\Is it for that back-carrying guy you told me about?\Back-carrying guy?\Sounds like a monster!\Take this one. response:	Sweet potato?
context: Yes.\How rare, that you would do that.\This'll be the next food from the sky.\Is it for that back-carrying guy you told me about?\Back-carrying guy?\Sounds like a monster!\Take this one.\Sweet potato? response:	Yeah. It's close to the sky!
context: How rare, that you would do that.\This'll be the next food from the sky.\Is it for that back-carrying guy you told me about?\Back-carrying guy?\Sounds like a monster!\Take this one.\Sweet potato?\Yeah. It's close to the sky! response:	A lot of them grow at the top of the big tree.
context: This'll be the next food from the sky.\Is it for that back-carrying guy you told me about?\Back-carrying guy?\Sounds like a monster!\Take this one.\Sweet potato?\Yeah. It's close to the sky!\A lot of them grow at the top of the big tree. response:	Don't make fun of me!
context: Is it for that back-carrying guy you told me about?\Back-carrying guy?\Sounds like a monster!\Take this one.\Sweet potato?\Yeah. It's close to the sky!\A lot of them grow at the top of the big tree.\Don't make fun of me! response:	And then, Shinichirou said my face looked funny!
context: Back-carrying guy?\Sounds like a monster!\Take this one.\Sweet potato?\Yeah. It's close to the sky!\A lot of them grow at the top of the big tree.\Don't make fun of me!\And then, Shinichirou said my face looked funny! response:	Lift your head.
context: Sounds like a monster!\Take this one.\Sweet potato?\Yeah. It's close to the sky!\A lot of them grow at the top of the big tree.\Don't make fun of me!\And then, Shinichirou said my face looked funny!\Lift your head. response:	It was the first time someone told me that.
context: Take this one.\Sweet potato?\Yeah. It's close to the sky!\A lot of them grow at the top of the big tree.\Don't make fun of me!\And then, Shinichirou said my face looked funny!\Lift your head.\It was the first time someone told me that. response:	Granny always said how cute I am, but you know...
context: Sweet potato?\Yeah. It's close to the sky!\A lot of them grow at the top of the big tree.\Don't make fun of me!\And then, Shinichirou said my face looked funny!\Lift your head.\It was the first time someone told me that.\Granny always said how cute I am, but you know... response:	It's not like I'm angry.
context: Yeah. It's close to the sky!\A lot of them grow at the top of the big tree.\Don't make fun of me!\And then, Shinichirou said my face looked funny!\Lift your head.\It was the first time someone told me that.\Granny always said how cute I am, but you know...\It's not like I'm angry. response:	Since everyone has different opinions.
context: A lot of them grow at the top of the big tree.\Don't make fun of me!\And then, Shinichirou said my face looked funny!\Lift your head.\It was the first time someone told me that.\Granny always said how cute I am, but you know...\It's not like I'm angry.\Since everyone has different opinions. response:	Shinichirou's also unique in some ways...
context: Don't make fun of me!\And then, Shinichirou said my face looked funny!\Lift your head.\It was the first time someone told me that.\Granny always said how cute I am, but you know...\It's not like I'm angry.\Since everyone has different opinions.\Shinichirou's also unique in some ways... response:	There, let's go.
context: And then, Shinichirou said my face looked funny!\Lift your head.\It was the first time someone told me that.\Granny always said how cute I am, but you know...\It's not like I'm angry.\Since everyone has different opinions.\Shinichirou's also unique in some ways...\There, let's go. response:	The red snow that the angel released...
context: Lift your head.\It was the first time someone told me that.\Granny always said how cute I am, but you know...\It's not like I'm angry.\Since everyone has different opinions.\Shinichirou's also unique in some ways...\There, let's go.\The red snow that the angel released... response:	Turned white, and piled up.
context: It was the first time someone told me that.\Granny always said how cute I am, but you know...\It's not like I'm angry.\Since everyone has different opinions.\Shinichirou's also unique in some ways...\There, let's go.\The red snow that the angel released...\Turned white, and piled up. response:	On the cracked ground...
context: Granny always said how cute I am, but you know...\It's not like I'm angry.\Since everyone has different opinions.\Shinichirou's also unique in some ways...\There, let's go.\The red snow that the angel released...\Turned white, and piled up.\On the cracked ground... response:	On the muddy water...
context: It's not like I'm angry.\Since everyone has different opinions.\Shinichirou's also unique in some ways...\There, let's go.\The red snow that the angel released...\Turned white, and piled up.\On the cracked ground...\On the muddy water... response:	It piled, and piled...
context: Since everyone has different opinions.\Shinichirou's also unique in some ways...\There, let's go.\The red snow that the angel released...\Turned white, and piled up.\On the cracked ground...\On the muddy water...\It piled, and piled... response:	Until it became a snow-white field.
context: Shinichirou's also unique in some ways...\There, let's go.\The red snow that the angel released...\Turned white, and piled up.\On the cracked ground...\On the muddy water...\It piled, and piled...\Until it became a snow-white field. response:	Everywhere...
context: There, let's go.\The red snow that the angel released...\Turned white, and piled up.\On the cracked ground...\On the muddy water...\It piled, and piled...\Until it became a snow-white field.\Everywhere... response:	White everywhere.
