context: Ladies and gentlemen, good evening. response:	Death is nothing but a release, my friend once muttered to me.
context: Rage... Terror...\Despair... And then, hope once again.\For thousands of years, I have waited inside this body for the arrival of a man like you.\I am with you.\And you are with me.\To you, I give my knowledge and power.\And to me, you give your body and your spirit!\Albert... I am the Wheel of Fortune. response:	Indeed, it is now only my unyielding, merciless resolve which keeps me moving.
context: Despair... And then, hope once again.\For thousands of years, I have waited inside this body for the arrival of a man like you.\I am with you.\And you are with me.\To you, I give my knowledge and power.\And to me, you give your body and your spirit!\Albert... I am the Wheel of Fortune.\Indeed, it is now only my unyielding, merciless resolve which keeps me moving. response:	Count! Even after everything that's happened, I don't want to let you leave!
context: For thousands of years, I have waited inside this body for the arrival of a man like you.\I am with you.\And you are with me.\To you, I give my knowledge and power.\And to me, you give your body and your spirit!\Albert... I am the Wheel of Fortune.\Indeed, it is now only my unyielding, merciless resolve which keeps me moving.\Count! Even after everything that's happened, I don't want to let you leave! response:	I want you to give up on your revenge, Count!
context: I am with you.\And you are with me.\To you, I give my knowledge and power.\And to me, you give your body and your spirit!\Albert... I am the Wheel of Fortune.\Indeed, it is now only my unyielding, merciless resolve which keeps me moving.\Count! Even after everything that's happened, I don't want to let you leave!\I want you to give up on your revenge, Count! response:	Only one man may give an order to the Count of Monte Cristo,
context: And you are with me.\To you, I give my knowledge and power.\And to me, you give your body and your spirit!\Albert... I am the Wheel of Fortune.\Indeed, it is now only my unyielding, merciless resolve which keeps me moving.\Count! Even after everything that's happened, I don't want to let you leave!\I want you to give up on your revenge, Count!\Only one man may give an order to the Count of Monte Cristo, response:	Count, are you saying that there is no one left in your heart?
context: To you, I give my knowledge and power.\And to me, you give your body and your spirit!\Albert... I am the Wheel of Fortune.\Indeed, it is now only my unyielding, merciless resolve which keeps me moving.\Count! Even after everything that's happened, I don't want to let you leave!\I want you to give up on your revenge, Count!\Only one man may give an order to the Count of Monte Cristo,\Count, are you saying that there is no one left in your heart? response:	Are you saying that the Count of Monte Cristo that I knew no longer exists?
context: And to me, you give your body and your spirit!\Albert... I am the Wheel of Fortune.\Indeed, it is now only my unyielding, merciless resolve which keeps me moving.\Count! Even after everything that's happened, I don't want to let you leave!\I want you to give up on your revenge, Count!\Only one man may give an order to the Count of Monte Cristo,\Count, are you saying that there is no one left in your heart?\Are you saying that the Count of Monte Cristo that I knew no longer exists? response:	Count!
context: Albert... I am the Wheel of Fortune.\Indeed, it is now only my unyielding, merciless resolve which keeps me moving.\Count! Even after everything that's happened, I don't want to let you leave!\I want you to give up on your revenge, Count!\Only one man may give an order to the Count of Monte Cristo,\Count, are you saying that there is no one left in your heart?\Are you saying that the Count of Monte Cristo that I knew no longer exists?\Count! response:	Father...
context: Indeed, it is now only my unyielding, merciless resolve which keeps me moving.\Count! Even after everything that's happened, I don't want to let you leave!\I want you to give up on your revenge, Count!\Only one man may give an order to the Count of Monte Cristo,\Count, are you saying that there is no one left in your heart?\Are you saying that the Count of Monte Cristo that I knew no longer exists?\Count!\Father... response:	Please, stop this... Father!
context: Count! Even after everything that's happened, I don't want to let you leave!\I want you to give up on your revenge, Count!\Only one man may give an order to the Count of Monte Cristo,\Count, are you saying that there is no one left in your heart?\Are you saying that the Count of Monte Cristo that I knew no longer exists?\Count!\Father...\Please, stop this... Father! response:	The Cabinet and National Assembly have ceded full governing authority to the Space Forces.
context: I want you to give up on your revenge, Count!\Only one man may give an order to the Count of Monte Cristo,\Count, are you saying that there is no one left in your heart?\Are you saying that the Count of Monte Cristo that I knew no longer exists?\Count!\Father...\Please, stop this... Father!\The Cabinet and National Assembly have ceded full governing authority to the Space Forces. response:	Martial law has been declared!
context: Only one man may give an order to the Count of Monte Cristo,\Count, are you saying that there is no one left in your heart?\Are you saying that the Count of Monte Cristo that I knew no longer exists?\Count!\Father...\Please, stop this... Father!\The Cabinet and National Assembly have ceded full governing authority to the Space Forces.\Martial law has been declared! response:	Citizens are asked to surrender all weapons and refrain from venturing outdoors!
context: Count, are you saying that there is no one left in your heart?\Are you saying that the Count of Monte Cristo that I knew no longer exists?\Count!\Father...\Please, stop this... Father!\The Cabinet and National Assembly have ceded full governing authority to the Space Forces.\Martial law has been declared!\Citizens are asked to surrender all weapons and refrain from venturing outdoors! response:	I repeat, the Cabinet and National Assembly have ceded...
context: Are you saying that the Count of Monte Cristo that I knew no longer exists?\Count!\Father...\Please, stop this... Father!\The Cabinet and National Assembly have ceded full governing authority to the Space Forces.\Martial law has been declared!\Citizens are asked to surrender all weapons and refrain from venturing outdoors!\I repeat, the Cabinet and National Assembly have ceded... response:	Martial law has been declared!
context: Count!\Father...\Please, stop this... Father!\The Cabinet and National Assembly have ceded full governing authority to the Space Forces.\Martial law has been declared!\Citizens are asked to surrender all weapons and refrain from venturing outdoors!\I repeat, the Cabinet and National Assembly have ceded...\Martial law has been declared! response:	My money! My money!
context: Father...\Please, stop this... Father!\The Cabinet and National Assembly have ceded full governing authority to the Space Forces.\Martial law has been declared!\Citizens are asked to surrender all weapons and refrain from venturing outdoors!\I repeat, the Cabinet and National Assembly have ceded...\Martial law has been declared!\My money! My money! response:	Citizens are asked to surrender all... My money! My money!
context: Please, stop this... Father!\The Cabinet and National Assembly have ceded full governing authority to the Space Forces.\Martial law has been declared!\Citizens are asked to surrender all weapons and refrain from venturing outdoors!\I repeat, the Cabinet and National Assembly have ceded...\Martial law has been declared!\My money! My money!\Citizens are asked to surrender all... My money! My money! response:	Well, well, what have we here?
context: The Cabinet and National Assembly have ceded full governing authority to the Space Forces.\Martial law has been declared!\Citizens are asked to surrender all weapons and refrain from venturing outdoors!\I repeat, the Cabinet and National Assembly have ceded...\Martial law has been declared!\My money! My money!\Citizens are asked to surrender all... My money! My money!\Well, well, what have we here? response:	So, that's what it's come to?
context: Martial law has been declared!\Citizens are asked to surrender all weapons and refrain from venturing outdoors!\I repeat, the Cabinet and National Assembly have ceded...\Martial law has been declared!\My money! My money!\Citizens are asked to surrender all... My money! My money!\Well, well, what have we here?\So, that's what it's come to? response:	Is this how the world works?
context: Citizens are asked to surrender all weapons and refrain from venturing outdoors!\I repeat, the Cabinet and National Assembly have ceded...\Martial law has been declared!\My money! My money!\Citizens are asked to surrender all... My money! My money!\Well, well, what have we here?\So, that's what it's come to?\Is this how the world works? response:	Off with your head! And yours!
context: I repeat, the Cabinet and National Assembly have ceded...\Martial law has been declared!\My money! My money!\Citizens are asked to surrender all... My money! My money!\Well, well, what have we here?\So, that's what it's come to?\Is this how the world works?\Off with your head! And yours! response:	Off with your head! I sentence you to death!
context: Martial law has been declared!\My money! My money!\Citizens are asked to surrender all... My money! My money!\Well, well, what have we here?\So, that's what it's come to?\Is this how the world works?\Off with your head! And yours!\Off with your head! I sentence you to death! response:	Baptistin!
context: My money! My money!\Citizens are asked to surrender all... My money! My money!\Well, well, what have we here?\So, that's what it's come to?\Is this how the world works?\Off with your head! And yours!\Off with your head! I sentence you to death!\Baptistin! response:	Stand aside! I won't let you stop me!
context: Citizens are asked to surrender all... My money! My money!\Well, well, what have we here?\So, that's what it's come to?\Is this how the world works?\Off with your head! And yours!\Off with your head! I sentence you to death!\Baptistin!\Stand aside! I won't let you stop me! response:	Take this with you.
context: Well, well, what have we here?\So, that's what it's come to?\Is this how the world works?\Off with your head! And yours!\Off with your head! I sentence you to death!\Baptistin!\Stand aside! I won't let you stop me!\Take this with you. response:	What's this?
context: So, that's what it's come to?\Is this how the world works?\Off with your head! And yours!\Off with your head! I sentence you to death!\Baptistin!\Stand aside! I won't let you stop me!\Take this with you.\What's this? response:	If anything happens, give us a shout. Just don't turn it off.
context: Is this how the world works?\Off with your head! And yours!\Off with your head! I sentence you to death!\Baptistin!\Stand aside! I won't let you stop me!\Take this with you.\What's this?\If anything happens, give us a shout. Just don't turn it off. response:	Don't tell the Count about this, okay?
context: Off with your head! And yours!\Off with your head! I sentence you to death!\Baptistin!\Stand aside! I won't let you stop me!\Take this with you.\What's this?\If anything happens, give us a shout. Just don't turn it off.\Don't tell the Count about this, okay? response:	Underground fortresses! Weapons depots!
context: Off with your head! I sentence you to death!\Baptistin!\Stand aside! I won't let you stop me!\Take this with you.\What's this?\If anything happens, give us a shout. Just don't turn it off.\Don't tell the Count about this, okay?\Underground fortresses! Weapons depots! response:	There isn't a single one that I don't know about.
context: Baptistin!\Stand aside! I won't let you stop me!\Take this with you.\What's this?\If anything happens, give us a shout. Just don't turn it off.\Don't tell the Count about this, okay?\Underground fortresses! Weapons depots!\There isn't a single one that I don't know about. response:	I'm going to give them a taste of my power!
context: Stand aside! I won't let you stop me!\Take this with you.\What's this?\If anything happens, give us a shout. Just don't turn it off.\Don't tell the Count about this, okay?\Underground fortresses! Weapons depots!\There isn't a single one that I don't know about.\I'm going to give them a taste of my power! response:	Let's get to it!
context: Take this with you.\What's this?\If anything happens, give us a shout. Just don't turn it off.\Don't tell the Count about this, okay?\Underground fortresses! Weapons depots!\There isn't a single one that I don't know about.\I'm going to give them a taste of my power!\Let's get to it! response:	Your next target is the Arc de Triomphe!
context: What's this?\If anything happens, give us a shout. Just don't turn it off.\Don't tell the Count about this, okay?\Underground fortresses! Weapons depots!\There isn't a single one that I don't know about.\I'm going to give them a taste of my power!\Let's get to it!\Your next target is the Arc de Triomphe! response:	Spineless cowards.
context: If anything happens, give us a shout. Just don't turn it off.\Don't tell the Count about this, okay?\Underground fortresses! Weapons depots!\There isn't a single one that I don't know about.\I'm going to give them a taste of my power!\Let's get to it!\Your next target is the Arc de Triomphe!\Spineless cowards. response:	Mercedes! I've been waiting for you!
context: Don't tell the Count about this, okay?\Underground fortresses! Weapons depots!\There isn't a single one that I don't know about.\I'm going to give them a taste of my power!\Let's get to it!\Your next target is the Arc de Triomphe!\Spineless cowards.\Mercedes! I've been waiting for you! response:	Look! Paris is finally kneeling before me!
context: Underground fortresses! Weapons depots!\There isn't a single one that I don't know about.\I'm going to give them a taste of my power!\Let's get to it!\Your next target is the Arc de Triomphe!\Spineless cowards.\Mercedes! I've been waiting for you!\Look! Paris is finally kneeling before me! response:	This can't be what you wanted, Fernand.
context: There isn't a single one that I don't know about.\I'm going to give them a taste of my power!\Let's get to it!\Your next target is the Arc de Triomphe!\Spineless cowards.\Mercedes! I've been waiting for you!\Look! Paris is finally kneeling before me!\This can't be what you wanted, Fernand. response:	The dreams that you told me about were full of hope.
context: I'm going to give them a taste of my power!\Let's get to it!\Your next target is the Arc de Triomphe!\Spineless cowards.\Mercedes! I've been waiting for you!\Look! Paris is finally kneeling before me!\This can't be what you wanted, Fernand.\The dreams that you told me about were full of hope. response:	But there IS hope! Listen, this pain is necessary for the good of the country!
context: Let's get to it!\Your next target is the Arc de Triomphe!\Spineless cowards.\Mercedes! I've been waiting for you!\Look! Paris is finally kneeling before me!\This can't be what you wanted, Fernand.\The dreams that you told me about were full of hope.\But there IS hope! Listen, this pain is necessary for the good of the country! response:	Fernand...
context: Your next target is the Arc de Triomphe!\Spineless cowards.\Mercedes! I've been waiting for you!\Look! Paris is finally kneeling before me!\This can't be what you wanted, Fernand.\The dreams that you told me about were full of hope.\But there IS hope! Listen, this pain is necessary for the good of the country!\Fernand... response:	You're the First Lady now, Mercedes!
context: Spineless cowards.\Mercedes! I've been waiting for you!\Look! Paris is finally kneeling before me!\This can't be what you wanted, Fernand.\The dreams that you told me about were full of hope.\But there IS hope! Listen, this pain is necessary for the good of the country!\Fernand...\You're the First Lady now, Mercedes! response:	There's nothing to be afraid of now!
context: Mercedes! I've been waiting for you!\Look! Paris is finally kneeling before me!\This can't be what you wanted, Fernand.\The dreams that you told me about were full of hope.\But there IS hope! Listen, this pain is necessary for the good of the country!\Fernand...\You're the First Lady now, Mercedes!\There's nothing to be afraid of now! response:	Edmond is alive, and he's been right under our noses.
context: Look! Paris is finally kneeling before me!\This can't be what you wanted, Fernand.\The dreams that you told me about were full of hope.\But there IS hope! Listen, this pain is necessary for the good of the country!\Fernand...\You're the First Lady now, Mercedes!\There's nothing to be afraid of now!\Edmond is alive, and he's been right under our noses. response:	He's what?!
context: This can't be what you wanted, Fernand.\The dreams that you told me about were full of hope.\But there IS hope! Listen, this pain is necessary for the good of the country!\Fernand...\You're the First Lady now, Mercedes!\There's nothing to be afraid of now!\Edmond is alive, and he's been right under our noses.\He's what?! response:	The man who was once your best friend... The man who was once my fiancee...
context: The dreams that you told me about were full of hope.\But there IS hope! Listen, this pain is necessary for the good of the country!\Fernand...\You're the First Lady now, Mercedes!\There's nothing to be afraid of now!\Edmond is alive, and he's been right under our noses.\He's what?!\The man who was once your best friend... The man who was once my fiancee... response:	He survived... But why now?
context: But there IS hope! Listen, this pain is necessary for the good of the country!\Fernand...\You're the First Lady now, Mercedes!\There's nothing to be afraid of now!\Edmond is alive, and he's been right under our noses.\He's what?!\The man who was once your best friend... The man who was once my fiancee...\He survived... But why now? response:	That letter we received... So that's what it was all about...
context: Fernand...\You're the First Lady now, Mercedes!\There's nothing to be afraid of now!\Edmond is alive, and he's been right under our noses.\He's what?!\The man who was once your best friend... The man who was once my fiancee...\He survived... But why now?\That letter we received... So that's what it was all about... response:	He's come back?
context: You're the First Lady now, Mercedes!\There's nothing to be afraid of now!\Edmond is alive, and he's been right under our noses.\He's what?!\The man who was once your best friend... The man who was once my fiancee...\He survived... But why now?\That letter we received... So that's what it was all about...\He's come back? response:	He's come back to get his revenge on us?
context: There's nothing to be afraid of now!\Edmond is alive, and he's been right under our noses.\He's what?!\The man who was once your best friend... The man who was once my fiancee...\He survived... But why now?\That letter we received... So that's what it was all about...\He's come back?\He's come back to get his revenge on us? response:	Revenge? What are you talking about?
context: Edmond is alive, and he's been right under our noses.\He's what?!\The man who was once your best friend... The man who was once my fiancee...\He survived... But why now?\That letter we received... So that's what it was all about...\He's come back?\He's come back to get his revenge on us?\Revenge? What are you talking about? response:	You and Edmond were best friends. What do you mean, revenge?
context: He's what?!\The man who was once your best friend... The man who was once my fiancee...\He survived... But why now?\That letter we received... So that's what it was all about...\He's come back?\He's come back to get his revenge on us?\Revenge? What are you talking about?\You and Edmond were best friends. What do you mean, revenge? response:	Why would Edmond want to get revenge against you?
context: The man who was once your best friend... The man who was once my fiancee...\He survived... But why now?\That letter we received... So that's what it was all about...\He's come back?\He's come back to get his revenge on us?\Revenge? What are you talking about?\You and Edmond were best friends. What do you mean, revenge?\Why would Edmond want to get revenge against you? response:	He and I... were best friends?
context: He survived... But why now?\That letter we received... So that's what it was all about...\He's come back?\He's come back to get his revenge on us?\Revenge? What are you talking about?\You and Edmond were best friends. What do you mean, revenge?\Why would Edmond want to get revenge against you?\He and I... were best friends? response:	I never once thought of that bastard as my friend!
context: That letter we received... So that's what it was all about...\He's come back?\He's come back to get his revenge on us?\Revenge? What are you talking about?\You and Edmond were best friends. What do you mean, revenge?\Why would Edmond want to get revenge against you?\He and I... were best friends?\I never once thought of that bastard as my friend! response:	You must have known that!
context: He's come back?\He's come back to get his revenge on us?\Revenge? What are you talking about?\You and Edmond were best friends. What do you mean, revenge?\Why would Edmond want to get revenge against you?\He and I... were best friends?\I never once thought of that bastard as my friend!\You must have known that! response:	You're always like this!
context: He's come back to get his revenge on us?\Revenge? What are you talking about?\You and Edmond were best friends. What do you mean, revenge?\Why would Edmond want to get revenge against you?\He and I... were best friends?\I never once thought of that bastard as my friend!\You must have known that!\You're always like this! response:	Do you have any idea how much that naivete of yours hurts people?!
context: Revenge? What are you talking about?\You and Edmond were best friends. What do you mean, revenge?\Why would Edmond want to get revenge against you?\He and I... were best friends?\I never once thought of that bastard as my friend!\You must have known that!\You're always like this!\Do you have any idea how much that naivete of yours hurts people?! response:	That's right. The man who sent that letter that got him arrested was ME!
context: You and Edmond were best friends. What do you mean, revenge?\Why would Edmond want to get revenge against you?\He and I... were best friends?\I never once thought of that bastard as my friend!\You must have known that!\You're always like this!\Do you have any idea how much that naivete of yours hurts people?!\That's right. The man who sent that letter that got him arrested was ME! response:	If I hadn't, he'd have been made the captain of a ship on the interplanetary shipping lanes,
context: Why would Edmond want to get revenge against you?\He and I... were best friends?\I never once thought of that bastard as my friend!\You must have known that!\You're always like this!\Do you have any idea how much that naivete of yours hurts people?!\That's right. The man who sent that letter that got him arrested was ME!\If I hadn't, he'd have been made the captain of a ship on the interplanetary shipping lanes, response:	Do you understand?! It was you!
context: He and I... were best friends?\I never once thought of that bastard as my friend!\You must have known that!\You're always like this!\Do you have any idea how much that naivete of yours hurts people?!\That's right. The man who sent that letter that got him arrested was ME!\If I hadn't, he'd have been made the captain of a ship on the interplanetary shipping lanes,\Do you understand?! It was you! response:	Your naivete cast Edmond into the depths of misery!
context: I never once thought of that bastard as my friend!\You must have known that!\You're always like this!\Do you have any idea how much that naivete of yours hurts people?!\That's right. The man who sent that letter that got him arrested was ME!\If I hadn't, he'd have been made the captain of a ship on the interplanetary shipping lanes,\Do you understand?! It was you!\Your naivete cast Edmond into the depths of misery! response:	I'm sorry... Forgive me!
context: You must have known that!\You're always like this!\Do you have any idea how much that naivete of yours hurts people?!\That's right. The man who sent that letter that got him arrested was ME!\If I hadn't, he'd have been made the captain of a ship on the interplanetary shipping lanes,\Do you understand?! It was you!\Your naivete cast Edmond into the depths of misery!\I'm sorry... Forgive me! response:	Mercedes, I love you...
context: You're always like this!\Do you have any idea how much that naivete of yours hurts people?!\That's right. The man who sent that letter that got him arrested was ME!\If I hadn't, he'd have been made the captain of a ship on the interplanetary shipping lanes,\Do you understand?! It was you!\Your naivete cast Edmond into the depths of misery!\I'm sorry... Forgive me!\Mercedes, I love you... response:	Come with me.
context: Do you have any idea how much that naivete of yours hurts people?!\That's right. The man who sent that letter that got him arrested was ME!\If I hadn't, he'd have been made the captain of a ship on the interplanetary shipping lanes,\Do you understand?! It was you!\Your naivete cast Edmond into the depths of misery!\I'm sorry... Forgive me!\Mercedes, I love you...\Come with me. response:	Let's leave Paris together.
context: That's right. The man who sent that letter that got him arrested was ME!\If I hadn't, he'd have been made the captain of a ship on the interplanetary shipping lanes,\Do you understand?! It was you!\Your naivete cast Edmond into the depths of misery!\I'm sorry... Forgive me!\Mercedes, I love you...\Come with me.\Let's leave Paris together. response:	I've had it up to here with always being the underdog!
context: If I hadn't, he'd have been made the captain of a ship on the interplanetary shipping lanes,\Do you understand?! It was you!\Your naivete cast Edmond into the depths of misery!\I'm sorry... Forgive me!\Mercedes, I love you...\Come with me.\Let's leave Paris together.\I've had it up to here with always being the underdog! response:	I'm sick of living in that bastard's shadow!
context: Do you understand?! It was you!\Your naivete cast Edmond into the depths of misery!\I'm sorry... Forgive me!\Mercedes, I love you...\Come with me.\Let's leave Paris together.\I've had it up to here with always being the underdog!\I'm sick of living in that bastard's shadow! response:	You're staying here!
context: Your naivete cast Edmond into the depths of misery!\I'm sorry... Forgive me!\Mercedes, I love you...\Come with me.\Let's leave Paris together.\I've had it up to here with always being the underdog!\I'm sick of living in that bastard's shadow!\You're staying here! response:	You're going to stay here by my side!
context: I'm sorry... Forgive me!\Mercedes, I love you...\Come with me.\Let's leave Paris together.\I've had it up to here with always being the underdog!\I'm sick of living in that bastard's shadow!\You're staying here!\You're going to stay here by my side! response:	I'll never forget the time we've spent together.
context: Mercedes, I love you...\Come with me.\Let's leave Paris together.\I've had it up to here with always being the underdog!\I'm sick of living in that bastard's shadow!\You're staying here!\You're going to stay here by my side!\I'll never forget the time we've spent together. response:	Thank you.
context: Come with me.\Let's leave Paris together.\I've had it up to here with always being the underdog!\I'm sick of living in that bastard's shadow!\You're staying here!\You're going to stay here by my side!\I'll never forget the time we've spent together.\Thank you. response:	Goodbye, Fernand.
context: Let's leave Paris together.\I've had it up to here with always being the underdog!\I'm sick of living in that bastard's shadow!\You're staying here!\You're going to stay here by my side!\I'll never forget the time we've spent together.\Thank you.\Goodbye, Fernand. response:	Mercedes...
context: I've had it up to here with always being the underdog!\I'm sick of living in that bastard's shadow!\You're staying here!\You're going to stay here by my side!\I'll never forget the time we've spent together.\Thank you.\Goodbye, Fernand.\Mercedes... response:	Mercedes!
context: I'm sick of living in that bastard's shadow!\You're staying here!\You're going to stay here by my side!\I'll never forget the time we've spent together.\Thank you.\Goodbye, Fernand.\Mercedes...\Mercedes! response:	MERCEDES!
context: You're staying here!\You're going to stay here by my side!\I'll never forget the time we've spent together.\Thank you.\Goodbye, Fernand.\Mercedes...\Mercedes!\MERCEDES! response:	Mother!
context: You're going to stay here by my side!\I'll never forget the time we've spent together.\Thank you.\Goodbye, Fernand.\Mercedes...\Mercedes!\MERCEDES!\Mother! response:	Mother! Are you all right?! Mother!
context: I'll never forget the time we've spent together.\Thank you.\Goodbye, Fernand.\Mercedes...\Mercedes!\MERCEDES!\Mother!\Mother! Are you all right?! Mother! response:	Mother!
context: Thank you.\Goodbye, Fernand.\Mercedes...\Mercedes!\MERCEDES!\Mother!\Mother! Are you all right?! Mother!\Mother! response:	Why? Why did this have to happen?!
context: Goodbye, Fernand.\Mercedes...\Mercedes!\MERCEDES!\Mother!\Mother! Are you all right?! Mother!\Mother!\Why? Why did this have to happen?! response:	I loved her.
context: Mercedes...\Mercedes!\MERCEDES!\Mother!\Mother! Are you all right?! Mother!\Mother!\Why? Why did this have to happen?!\I loved her. response:	And I loved you more than anything.
context: Mercedes!\MERCEDES!\Mother!\Mother! Are you all right?! Mother!\Mother!\Why? Why did this have to happen?!\I loved her.\And I loved you more than anything. response:	Father...
context: MERCEDES!\Mother!\Mother! Are you all right?! Mother!\Mother!\Why? Why did this have to happen?!\I loved her.\And I loved you more than anything.\Father... response:	Not yet... I still have him to deal with.
context: Mother!\Mother! Are you all right?! Mother!\Mother!\Why? Why did this have to happen?!\I loved her.\And I loved you more than anything.\Father...\Not yet... I still have him to deal with. response:	Albert!
context: Mother! Are you all right?! Mother!\Mother!\Why? Why did this have to happen?!\I loved her.\And I loved you more than anything.\Father...\Not yet... I still have him to deal with.\Albert! response:	Albert?
context: Mother!\Why? Why did this have to happen?!\I loved her.\And I loved you more than anything.\Father...\Not yet... I still have him to deal with.\Albert!\Albert? response:	Albert!
context: Why? Why did this have to happen?!\I loved her.\And I loved you more than anything.\Father...\Not yet... I still have him to deal with.\Albert!\Albert?\Albert! response:	This isn't over yet!
context: I loved her.\And I loved you more than anything.\Father...\Not yet... I still have him to deal with.\Albert!\Albert?\Albert!\This isn't over yet! response:	Eat this!
context: And I loved you more than anything.\Father...\Not yet... I still have him to deal with.\Albert!\Albert?\Albert!\This isn't over yet!\Eat this! response:	Albert!
context: Father...\Not yet... I still have him to deal with.\Albert!\Albert?\Albert!\This isn't over yet!\Eat this!\Albert! response:	You crazy kid...
context: Not yet... I still have him to deal with.\Albert!\Albert?\Albert!\This isn't over yet!\Eat this!\Albert!\You crazy kid... response:	Where's Mondego?
context: Albert!\Albert?\Albert!\This isn't over yet!\Eat this!\Albert!\You crazy kid...\Where's Mondego? response:	This ain't good...
context: Albert?\Albert!\This isn't over yet!\Eat this!\Albert!\You crazy kid...\Where's Mondego?\This ain't good... response:	Father...
context: Albert!\This isn't over yet!\Eat this!\Albert!\You crazy kid...\Where's Mondego?\This ain't good...\Father... response:	As long as he's still alive, I can't die, either!
context: This isn't over yet!\Eat this!\Albert!\You crazy kid...\Where's Mondego?\This ain't good...\Father...\As long as he's still alive, I can't die, either! response:	Monte Cristo! No, Edmond Dantes!
context: Eat this!\Albert!\You crazy kid...\Where's Mondego?\This ain't good...\Father...\As long as he's still alive, I can't die, either!\Monte Cristo! No, Edmond Dantes! response:	I'm going to take everything away from you, just as you did to me!
context: Albert!\You crazy kid...\Where's Mondego?\This ain't good...\Father...\As long as he's still alive, I can't die, either!\Monte Cristo! No, Edmond Dantes!\I'm going to take everything away from you, just as you did to me! response:	I continue to plead, as if praying.
context: You crazy kid...\Where's Mondego?\This ain't good...\Father...\As long as he's still alive, I can't die, either!\Monte Cristo! No, Edmond Dantes!\I'm going to take everything away from you, just as you did to me!\I continue to plead, as if praying. response:	To my father. To my mother. And most of all, to your name.
context: Where's Mondego?\This ain't good...\Father...\As long as he's still alive, I can't die, either!\Monte Cristo! No, Edmond Dantes!\I'm going to take everything away from you, just as you did to me!\I continue to plead, as if praying.\To my father. To my mother. And most of all, to your name. response:	Next time on Gankutsuou, act 23...
context: This ain't good...\Father...\As long as he's still alive, I can't die, either!\Monte Cristo! No, Edmond Dantes!\I'm going to take everything away from you, just as you did to me!\I continue to plead, as if praying.\To my father. To my mother. And most of all, to your name.\Next time on Gankutsuou, act 23... response:	Act 23 Edmond Dantes
context: Father...\As long as he's still alive, I can't die, either!\Monte Cristo! No, Edmond Dantes!\I'm going to take everything away from you, just as you did to me!\I continue to plead, as if praying.\To my father. To my mother. And most of all, to your name.\Next time on Gankutsuou, act 23...\Act 23 Edmond Dantes response:	Bide your time, and hold out hope!
