context: She should have gone this way. response:	Let's look over there.
context: What a prophet.\I call him the purple flag guy.\I never was able to thank him,\but I wonder if he's out there somewhere,\having heard my songs.\I guess I just told you\my secret origin story. Whoops.\Don't tell anyone, response:	'Kay?'Kay?
context: I call him the purple flag guy.\I never was able to thank him,\but I wonder if he's out there somewhere,\having heard my songs.\I guess I just told you\my secret origin story. Whoops.\Don't tell anyone,\'Kay?'Kay? response:	R-Right.
context: I never was able to thank him,\but I wonder if he's out there somewhere,\having heard my songs.\I guess I just told you\my secret origin story. Whoops.\Don't tell anyone,\'Kay?'Kay?\R-Right. response:	Anyway, I'll be going.
context: but I wonder if he's out there somewhere,\having heard my songs.\I guess I just told you\my secret origin story. Whoops.\Don't tell anyone,\'Kay?'Kay?\R-Right.\Anyway, I'll be going. response:	You're leaving, Serikyan?
context: having heard my songs.\I guess I just told you\my secret origin story. Whoops.\Don't tell anyone,\'Kay?'Kay?\R-Right.\Anyway, I'll be going.\You're leaving, Serikyan? response:	Serikyan leaves, you know?!
context: I guess I just told you\my secret origin story. Whoops.\Don't tell anyone,\'Kay?'Kay?\R-Right.\Anyway, I'll be going.\You're leaving, Serikyan?\Serikyan leaves, you know?! response:	What are you saying...
context: my secret origin story. Whoops.\Don't tell anyone,\'Kay?'Kay?\R-Right.\Anyway, I'll be going.\You're leaving, Serikyan?\Serikyan leaves, you know?!\What are you saying... response:	I'm glad I ran into you Nanami-chin!
context: Don't tell anyone,\'Kay?'Kay?\R-Right.\Anyway, I'll be going.\You're leaving, Serikyan?\Serikyan leaves, you know?!\What are you saying...\I'm glad I ran into you Nanami-chin! response:	Come to my concert!
context: 'Kay?'Kay?\R-Right.\Anyway, I'll be going.\You're leaving, Serikyan?\Serikyan leaves, you know?!\What are you saying...\I'm glad I ran into you Nanami-chin!\Come to my concert! response:	I guess you can come, too, Hatate.
context: R-Right.\Anyway, I'll be going.\You're leaving, Serikyan?\Serikyan leaves, you know?!\What are you saying...\I'm glad I ran into you Nanami-chin!\Come to my concert!\I guess you can come, too, Hatate. response:	Anyway, bye.
context: Anyway, I'll be going.\You're leaving, Serikyan?\Serikyan leaves, you know?!\What are you saying...\I'm glad I ran into you Nanami-chin!\Come to my concert!\I guess you can come, too, Hatate.\Anyway, bye. response:	Hey, Hatate Souta-kun.
context: You're leaving, Serikyan?\Serikyan leaves, you know?!\What are you saying...\I'm glad I ran into you Nanami-chin!\Come to my concert!\I guess you can come, too, Hatate.\Anyway, bye.\Hey, Hatate Souta-kun. response:	What is it, Nanami-san?
context: Serikyan leaves, you know?!\What are you saying...\I'm glad I ran into you Nanami-chin!\Come to my concert!\I guess you can come, too, Hatate.\Anyway, bye.\Hey, Hatate Souta-kun.\What is it, Nanami-san? response:	It could just be me,
context: What are you saying...\I'm glad I ran into you Nanami-chin!\Come to my concert!\I guess you can come, too, Hatate.\Anyway, bye.\Hey, Hatate Souta-kun.\What is it, Nanami-san?\It could just be me, response:	but I think I have an idea who this purple flag guy is.
context: I'm glad I ran into you Nanami-chin!\Come to my concert!\I guess you can come, too, Hatate.\Anyway, bye.\Hey, Hatate Souta-kun.\What is it, Nanami-san?\It could just be me,\but I think I have an idea who this purple flag guy is. response:	It's probably just you.
context: Come to my concert!\I guess you can come, too, Hatate.\Anyway, bye.\Hey, Hatate Souta-kun.\What is it, Nanami-san?\It could just be me,\but I think I have an idea who this purple flag guy is.\It's probably just you. response:	Yeah, I guess it is.
context: I guess you can come, too, Hatate.\Anyway, bye.\Hey, Hatate Souta-kun.\What is it, Nanami-san?\It could just be me,\but I think I have an idea who this purple flag guy is.\It's probably just you.\Yeah, I guess it is. response:	Silly me.
context: Anyway, bye.\Hey, Hatate Souta-kun.\What is it, Nanami-san?\It could just be me,\but I think I have an idea who this purple flag guy is.\It's probably just you.\Yeah, I guess it is.\Silly me. response:	Silly Nanami.
context: Hey, Hatate Souta-kun.\What is it, Nanami-san?\It could just be me,\but I think I have an idea who this purple flag guy is.\It's probably just you.\Yeah, I guess it is.\Silly me.\Silly Nanami. response:	Is there anyone else who'd go off
context: What is it, Nanami-san?\It could just be me,\but I think I have an idea who this purple flag guy is.\It's probably just you.\Yeah, I guess it is.\Silly me.\Silly Nanami.\Is there anyone else who'd go off response:	about flags when no one wanted them to?!
context: It could just be me,\but I think I have an idea who this purple flag guy is.\It's probably just you.\Yeah, I guess it is.\Silly me.\Silly Nanami.\Is there anyone else who'd go off\about flags when no one wanted them to?! response:	I had a lot of stuff
context: but I think I have an idea who this purple flag guy is.\It's probably just you.\Yeah, I guess it is.\Silly me.\Silly Nanami.\Is there anyone else who'd go off\about flags when no one wanted them to?!\I had a lot of stuff response:	going on back then, so...
context: It's probably just you.\Yeah, I guess it is.\Silly me.\Silly Nanami.\Is there anyone else who'd go off\about flags when no one wanted them to?!\I had a lot of stuff\going on back then, so... response:	When I saw her
context: Yeah, I guess it is.\Silly me.\Silly Nanami.\Is there anyone else who'd go off\about flags when no one wanted them to?!\I had a lot of stuff\going on back then, so...\When I saw her response:	I was planning on taking
context: Silly me.\Silly Nanami.\Is there anyone else who'd go off\about flags when no one wanted them to?!\I had a lot of stuff\going on back then, so...\When I saw her\I was planning on taking response:	my own life.
context: Silly Nanami.\Is there anyone else who'd go off\about flags when no one wanted them to?!\I had a lot of stuff\going on back then, so...\When I saw her\I was planning on taking\my own life. response:	I guess
context: Is there anyone else who'd go off\about flags when no one wanted them to?!\I had a lot of stuff\going on back then, so...\When I saw her\I was planning on taking\my own life.\I guess response:	I wanted to do one good thing before I died.
context: about flags when no one wanted them to?!\I had a lot of stuff\going on back then, so...\When I saw her\I was planning on taking\my own life.\I guess\I wanted to do one good thing before I died. response:	Ultimately, I couldn't end it all, though.
context: I had a lot of stuff\going on back then, so...\When I saw her\I was planning on taking\my own life.\I guess\I wanted to do one good thing before I died.\Ultimately, I couldn't end it all, though. response:	I guess it was pretty tough for you.
context: going on back then, so...\When I saw her\I was planning on taking\my own life.\I guess\I wanted to do one good thing before I died.\Ultimately, I couldn't end it all, though.\I guess it was pretty tough for you. response:	So I wasn't really thinking about her specifically, per se.
context: When I saw her\I was planning on taking\my own life.\I guess\I wanted to do one good thing before I died.\Ultimately, I couldn't end it all, though.\I guess it was pretty tough for you.\So I wasn't really thinking about her specifically, per se. response:	I was just trying to make myself feel better.
context: I was planning on taking\my own life.\I guess\I wanted to do one good thing before I died.\Ultimately, I couldn't end it all, though.\I guess it was pretty tough for you.\So I wasn't really thinking about her specifically, per se.\I was just trying to make myself feel better. response:	Yeah, but you still helped her.
context: my own life.\I guess\I wanted to do one good thing before I died.\Ultimately, I couldn't end it all, though.\I guess it was pretty tough for you.\So I wasn't really thinking about her specifically, per se.\I was just trying to make myself feel better.\Yeah, but you still helped her. response:	You saved her, right?
context: I guess\I wanted to do one good thing before I died.\Ultimately, I couldn't end it all, though.\I guess it was pretty tough for you.\So I wasn't really thinking about her specifically, per se.\I was just trying to make myself feel better.\Yeah, but you still helped her.\You saved her, right? response:	Huh?
context: I wanted to do one good thing before I died.\Ultimately, I couldn't end it all, though.\I guess it was pretty tough for you.\So I wasn't really thinking about her specifically, per se.\I was just trying to make myself feel better.\Yeah, but you still helped her.\You saved her, right?\Huh? response:	Serikyan recovered,
context: Ultimately, I couldn't end it all, though.\I guess it was pretty tough for you.\So I wasn't really thinking about her specifically, per se.\I was just trying to make myself feel better.\Yeah, but you still helped her.\You saved her, right?\Huh?\Serikyan recovered, response:	I got to know you...
context: I guess it was pretty tough for you.\So I wasn't really thinking about her specifically, per se.\I was just trying to make myself feel better.\Yeah, but you still helped her.\You saved her, right?\Huh?\Serikyan recovered,\I got to know you... response:	Everyone was happy in the end.
context: So I wasn't really thinking about her specifically, per se.\I was just trying to make myself feel better.\Yeah, but you still helped her.\You saved her, right?\Huh?\Serikyan recovered,\I got to know you...\Everyone was happy in the end. response:	You know, if you'd used your power like this from the start,
context: I was just trying to make myself feel better.\Yeah, but you still helped her.\You saved her, right?\Huh?\Serikyan recovered,\I got to know you...\Everyone was happy in the end.\You know, if you'd used your power like this from the start, response:	you wouldn't have had such a hard time.
context: Yeah, but you still helped her.\You saved her, right?\Huh?\Serikyan recovered,\I got to know you...\Everyone was happy in the end.\You know, if you'd used your power like this from the start,\you wouldn't have had such a hard time. response:	Nanami...
context: You saved her, right?\Huh?\Serikyan recovered,\I got to know you...\Everyone was happy in the end.\You know, if you'd used your power like this from the start,\you wouldn't have had such a hard time.\Nanami... response:	Anyway, putting that aside...
context: Huh?\Serikyan recovered,\I got to know you...\Everyone was happy in the end.\You know, if you'd used your power like this from the start,\you wouldn't have had such a hard time.\Nanami...\Anyway, putting that aside... response:	Huh?
context: Serikyan recovered,\I got to know you...\Everyone was happy in the end.\You know, if you'd used your power like this from the start,\you wouldn't have had such a hard time.\Nanami...\Anyway, putting that aside...\Huh? response:	It pisses me off that Serikyan
context: I got to know you...\Everyone was happy in the end.\You know, if you'd used your power like this from the start,\you wouldn't have had such a hard time.\Nanami...\Anyway, putting that aside...\Huh?\It pisses me off that Serikyan response:	owes you so much!
context: Everyone was happy in the end.\You know, if you'd used your power like this from the start,\you wouldn't have had such a hard time.\Nanami...\Anyway, putting that aside...\Huh?\It pisses me off that Serikyan\owes you so much! response:	Wai
context: You know, if you'd used your power like this from the start,\you wouldn't have had such a hard time.\Nanami...\Anyway, putting that aside...\Huh?\It pisses me off that Serikyan\owes you so much!\Wai response:	Making your way into Serikyan's heart like that!
context: you wouldn't have had such a hard time.\Nanami...\Anyway, putting that aside...\Huh?\It pisses me off that Serikyan\owes you so much!\Wai\Making your way into Serikyan's heart like that! response:	You're acting crazy.
context: Nanami...\Anyway, putting that aside...\Huh?\It pisses me off that Serikyan\owes you so much!\Wai\Making your way into Serikyan's heart like that!\You're acting crazy. response:	They're fighting.
context: Anyway, putting that aside...\Huh?\It pisses me off that Serikyan\owes you so much!\Wai\Making your way into Serikyan's heart like that!\You're acting crazy.\They're fighting. response:	First time I've seen something like this.
context: Huh?\It pisses me off that Serikyan\owes you so much!\Wai\Making your way into Serikyan's heart like that!\You're acting crazy.\They're fighting.\First time I've seen something like this. response:	Everyone, it's time!
context: It pisses me off that Serikyan\owes you so much!\Wai\Making your way into Serikyan's heart like that!\You're acting crazy.\They're fighting.\First time I've seen something like this.\Everyone, it's time! response:	It's finally the last day of the fair.
context: owes you so much!\Wai\Making your way into Serikyan's heart like that!\You're acting crazy.\They're fighting.\First time I've seen something like this.\Everyone, it's time!\It's finally the last day of the fair. response:	It's time for the grand finale!
context: Wai\Making your way into Serikyan's heart like that!\You're acting crazy.\They're fighting.\First time I've seen something like this.\Everyone, it's time!\It's finally the last day of the fair.\It's time for the grand finale! response:	Yes, the time has come!
context: Making your way into Serikyan's heart like that!\You're acting crazy.\They're fighting.\First time I've seen something like this.\Everyone, it's time!\It's finally the last day of the fair.\It's time for the grand finale!\Yes, the time has come! response:	Akane's got new clothes and totally is ready to go.
context: You're acting crazy.\They're fighting.\First time I've seen something like this.\Everyone, it's time!\It's finally the last day of the fair.\It's time for the grand finale!\Yes, the time has come!\Akane's got new clothes and totally is ready to go. response:	Way to go, Akane, but I've
context: They're fighting.\First time I've seen something like this.\Everyone, it's time!\It's finally the last day of the fair.\It's time for the grand finale!\Yes, the time has come!\Akane's got new clothes and totally is ready to go.\Way to go, Akane, but I've response:	mastered a new dance!
context: First time I've seen something like this.\Everyone, it's time!\It's finally the last day of the fair.\It's time for the grand finale!\Yes, the time has come!\Akane's got new clothes and totally is ready to go.\Way to go, Akane, but I've\mastered a new dance! response:	Sounds like you're excited, too!
context: Everyone, it's time!\It's finally the last day of the fair.\It's time for the grand finale!\Yes, the time has come!\Akane's got new clothes and totally is ready to go.\Way to go, Akane, but I've\mastered a new dance!\Sounds like you're excited, too! response:	The night dance party!
context: It's finally the last day of the fair.\It's time for the grand finale!\Yes, the time has come!\Akane's got new clothes and totally is ready to go.\Way to go, Akane, but I've\mastered a new dance!\Sounds like you're excited, too!\The night dance party! response:	Serikyan's concert!
context: It's time for the grand finale!\Yes, the time has come!\Akane's got new clothes and totally is ready to go.\Way to go, Akane, but I've\mastered a new dance!\Sounds like you're excited, too!\The night dance party!\Serikyan's concert! response:	Huh?
context: Yes, the time has come!\Akane's got new clothes and totally is ready to go.\Way to go, Akane, but I've\mastered a new dance!\Sounds like you're excited, too!\The night dance party!\Serikyan's concert!\Huh? response:	Ta-da!
context: Akane's got new clothes and totally is ready to go.\Way to go, Akane, but I've\mastered a new dance!\Sounds like you're excited, too!\The night dance party!\Serikyan's concert!\Huh?\Ta-da! response:	Sob. Sob.
context: Way to go, Akane, but I've\mastered a new dance!\Sounds like you're excited, too!\The night dance party!\Serikyan's concert!\Huh?\Ta-da!\Sob. Sob. response:	H-How are we, Souta?
context: mastered a new dance!\Sounds like you're excited, too!\The night dance party!\Serikyan's concert!\Huh?\Ta-da!\Sob. Sob.\H-How are we, Souta? response:	Don't just stand there. Say something.
context: Sounds like you're excited, too!\The night dance party!\Serikyan's concert!\Huh?\Ta-da!\Sob. Sob.\H-How are we, Souta?\Don't just stand there. Say something. response:	Huh? Y-Yeah...
context: The night dance party!\Serikyan's concert!\Huh?\Ta-da!\Sob. Sob.\H-How are we, Souta?\Don't just stand there. Say something.\Huh? Y-Yeah... response:	You all look great.
context: Serikyan's concert!\Huh?\Ta-da!\Sob. Sob.\H-How are we, Souta?\Don't just stand there. Say something.\Huh? Y-Yeah...\You all look great. response:	Yeah, we all tried hard for you.
context: Huh?\Ta-da!\Sob. Sob.\H-How are we, Souta?\Don't just stand there. Say something.\Huh? Y-Yeah...\You all look great.\Yeah, we all tried hard for you. response:	Yes, we can't embarrass ourselves
context: Ta-da!\Sob. Sob.\H-How are we, Souta?\Don't just stand there. Say something.\Huh? Y-Yeah...\You all look great.\Yeah, we all tried hard for you.\Yes, we can't embarrass ourselves response:	when we dance with you.
context: Sob. Sob.\H-How are we, Souta?\Don't just stand there. Say something.\Huh? Y-Yeah...\You all look great.\Yeah, we all tried hard for you.\Yes, we can't embarrass ourselves\when we dance with you. response:	Huh? With me?
context: H-How are we, Souta?\Don't just stand there. Say something.\Huh? Y-Yeah...\You all look great.\Yeah, we all tried hard for you.\Yes, we can't embarrass ourselves\when we dance with you.\Huh? With me? response:	Everyone wants to dance with you.
context: Don't just stand there. Say something.\Huh? Y-Yeah...\You all look great.\Yeah, we all tried hard for you.\Yes, we can't embarrass ourselves\when we dance with you.\Huh? With me?\Everyone wants to dance with you. response:	There's a legend regarding this dance party.
context: Huh? Y-Yeah...\You all look great.\Yeah, we all tried hard for you.\Yes, we can't embarrass ourselves\when we dance with you.\Huh? With me?\Everyone wants to dance with you.\There's a legend regarding this dance party. response:	Legend?
context: You all look great.\Yeah, we all tried hard for you.\Yes, we can't embarrass ourselves\when we dance with you.\Huh? With me?\Everyone wants to dance with you.\There's a legend regarding this dance party.\Legend? response:	It'd be nice if the couples that
context: Yeah, we all tried hard for you.\Yes, we can't embarrass ourselves\when we dance with you.\Huh? With me?\Everyone wants to dance with you.\There's a legend regarding this dance party.\Legend?\It'd be nice if the couples that response:	dance get married in the future.
context: Yes, we can't embarrass ourselves\when we dance with you.\Huh? With me?\Everyone wants to dance with you.\There's a legend regarding this dance party.\Legend?\It'd be nice if the couples that\dance get married in the future. response:	Nice? That's all?
context: when we dance with you.\Huh? With me?\Everyone wants to dance with you.\There's a legend regarding this dance party.\Legend?\It'd be nice if the couples that\dance get married in the future.\Nice? That's all? response:	Must be nice to be a guy.
context: Huh? With me?\Everyone wants to dance with you.\There's a legend regarding this dance party.\Legend?\It'd be nice if the couples that\dance get married in the future.\Nice? That's all?\Must be nice to be a guy. response:	As your little sister, I don't mind how many step-sisters I get.
context: Everyone wants to dance with you.\There's a legend regarding this dance party.\Legend?\It'd be nice if the couples that\dance get married in the future.\Nice? That's all?\Must be nice to be a guy.\As your little sister, I don't mind how many step-sisters I get. response:	You can't say that.
context: There's a legend regarding this dance party.\Legend?\It'd be nice if the couples that\dance get married in the future.\Nice? That's all?\Must be nice to be a guy.\As your little sister, I don't mind how many step-sisters I get.\You can't say that. response:	My little brother should only have one older sister!
context: Legend?\It'd be nice if the couples that\dance get married in the future.\Nice? That's all?\Must be nice to be a guy.\As your little sister, I don't mind how many step-sisters I get.\You can't say that.\My little brother should only have one older sister! response:	That doesn't even make any sense.
context: It'd be nice if the couples that\dance get married in the future.\Nice? That's all?\Must be nice to be a guy.\As your little sister, I don't mind how many step-sisters I get.\You can't say that.\My little brother should only have one older sister!\That doesn't even make any sense. response:	It's nice being this old.
context: dance get married in the future.\Nice? That's all?\Must be nice to be a guy.\As your little sister, I don't mind how many step-sisters I get.\You can't say that.\My little brother should only have one older sister!\That doesn't even make any sense.\It's nice being this old. response:	I get to feel like I'm dancing with my grandson.
context: Nice? That's all?\Must be nice to be a guy.\As your little sister, I don't mind how many step-sisters I get.\You can't say that.\My little brother should only have one older sister!\That doesn't even make any sense.\It's nice being this old.\I get to feel like I'm dancing with my grandson. response:	H-Hatate-kun,
context: Must be nice to be a guy.\As your little sister, I don't mind how many step-sisters I get.\You can't say that.\My little brother should only have one older sister!\That doesn't even make any sense.\It's nice being this old.\I get to feel like I'm dancing with my grandson.\H-Hatate-kun, response:	could you dance with me, too?
context: As your little sister, I don't mind how many step-sisters I get.\You can't say that.\My little brother should only have one older sister!\That doesn't even make any sense.\It's nice being this old.\I get to feel like I'm dancing with my grandson.\H-Hatate-kun,\could you dance with me, too? response:	I can't dance.
context: You can't say that.\My little brother should only have one older sister!\That doesn't even make any sense.\It's nice being this old.\I get to feel like I'm dancing with my grandson.\H-Hatate-kun,\could you dance with me, too?\I can't dance. response:	I'll lead for you, I will.
context: My little brother should only have one older sister!\That doesn't even make any sense.\It's nice being this old.\I get to feel like I'm dancing with my grandson.\H-Hatate-kun,\could you dance with me, too?\I can't dance.\I'll lead for you, I will. response:	Everyone wants to dance with you.
context: That doesn't even make any sense.\It's nice being this old.\I get to feel like I'm dancing with my grandson.\H-Hatate-kun,\could you dance with me, too?\I can't dance.\I'll lead for you, I will.\Everyone wants to dance with you. response:	Everyone really wants to.
context: It's nice being this old.\I get to feel like I'm dancing with my grandson.\H-Hatate-kun,\could you dance with me, too?\I can't dance.\I'll lead for you, I will.\Everyone wants to dance with you.\Everyone really wants to. response:	Will you dance with us?!
context: I get to feel like I'm dancing with my grandson.\H-Hatate-kun,\could you dance with me, too?\I can't dance.\I'll lead for you, I will.\Everyone wants to dance with you.\Everyone really wants to.\Will you dance with us?! response:	Dance partner flags...
context: H-Hatate-kun,\could you dance with me, too?\I can't dance.\I'll lead for you, I will.\Everyone wants to dance with you.\Everyone really wants to.\Will you dance with us?!\Dance partner flags... response:	Got it.
context: could you dance with me, too?\I can't dance.\I'll lead for you, I will.\Everyone wants to dance with you.\Everyone really wants to.\Will you dance with us?!\Dance partner flags...\Got it. response:	I'm not confident at all,
context: I can't dance.\I'll lead for you, I will.\Everyone wants to dance with you.\Everyone really wants to.\Will you dance with us?!\Dance partner flags...\Got it.\I'm not confident at all, response:	but let's dance.
context: I'll lead for you, I will.\Everyone wants to dance with you.\Everyone really wants to.\Will you dance with us?!\Dance partner flags...\Got it.\I'm not confident at all,\but let's dance. response:	Yay!
context: Everyone wants to dance with you.\Everyone really wants to.\Will you dance with us?!\Dance partner flags...\Got it.\I'm not confident at all,\but let's dance.\Yay! response:	In that case it's a promise!
context: Everyone really wants to.\Will you dance with us?!\Dance partner flags...\Got it.\I'm not confident at all,\but let's dance.\Yay!\In that case it's a promise! response:	Yeah, promise.
context: Will you dance with us?!\Dance partner flags...\Got it.\I'm not confident at all,\but let's dance.\Yay!\In that case it's a promise!\Yeah, promise. response:	I-I'm fine with seeing Serikyan's concert alone, but...
context: Dance partner flags...\Got it.\I'm not confident at all,\but let's dance.\Yay!\In that case it's a promise!\Yeah, promise.\I-I'm fine with seeing Serikyan's concert alone, but... response:	But...
context: Got it.\I'm not confident at all,\but let's dance.\Yay!\In that case it's a promise!\Yeah, promise.\I-I'm fine with seeing Serikyan's concert alone, but...\But... response:	If you're the only one not dancing it'll feel like you're left out,
context: I'm not confident at all,\but let's dance.\Yay!\In that case it's a promise!\Yeah, promise.\I-I'm fine with seeing Serikyan's concert alone, but...\But...\If you're the only one not dancing it'll feel like you're left out, response:	right?
context: but let's dance.\Yay!\In that case it's a promise!\Yeah, promise.\I-I'm fine with seeing Serikyan's concert alone, but...\But...\If you're the only one not dancing it'll feel like you're left out,\right? response:	D-Don't say it before I do!
context: Yay!\In that case it's a promise!\Yeah, promise.\I-I'm fine with seeing Serikyan's concert alone, but...\But...\If you're the only one not dancing it'll feel like you're left out,\right?\D-Don't say it before I do! response:	Serikyan!
context: In that case it's a promise!\Yeah, promise.\I-I'm fine with seeing Serikyan's concert alone, but...\But...\If you're the only one not dancing it'll feel like you're left out,\right?\D-Don't say it before I do!\Serikyan! response:	Thank you all for coming to
context: Yeah, promise.\I-I'm fine with seeing Serikyan's concert alone, but...\But...\If you're the only one not dancing it'll feel like you're left out,\right?\D-Don't say it before I do!\Serikyan!\Thank you all for coming to response:	Serikyan's school concert!
context: I-I'm fine with seeing Serikyan's concert alone, but...\But...\If you're the only one not dancing it'll feel like you're left out,\right?\D-Don't say it before I do!\Serikyan!\Thank you all for coming to\Serikyan's school concert! response:	Are you having fun at the fair?
context: But...\If you're the only one not dancing it'll feel like you're left out,\right?\D-Don't say it before I do!\Serikyan!\Thank you all for coming to\Serikyan's school concert!\Are you having fun at the fair? response:	I actually secretly went around
context: If you're the only one not dancing it'll feel like you're left out,\right?\D-Don't say it before I do!\Serikyan!\Thank you all for coming to\Serikyan's school concert!\Are you having fun at the fair?\I actually secretly went around response:	the fair with some friends.
context: right?\D-Don't say it before I do!\Serikyan!\Thank you all for coming to\Serikyan's school concert!\Are you having fun at the fair?\I actually secretly went around\the fair with some friends. response:	It was a lot of fun!
context: D-Don't say it before I do!\Serikyan!\Thank you all for coming to\Serikyan's school concert!\Are you having fun at the fair?\I actually secretly went around\the fair with some friends.\It was a lot of fun! response:	I totally love this school now!
context: Serikyan!\Thank you all for coming to\Serikyan's school concert!\Are you having fun at the fair?\I actually secretly went around\the fair with some friends.\It was a lot of fun!\I totally love this school now! response:	Serikyan!
context: Thank you all for coming to\Serikyan's school concert!\Are you having fun at the fair?\I actually secretly went around\the fair with some friends.\It was a lot of fun!\I totally love this school now!\Serikyan! response:	Today's concert will be broadcast
context: Serikyan's school concert!\Are you having fun at the fair?\I actually secretly went around\the fair with some friends.\It was a lot of fun!\I totally love this school now!\Serikyan!\Today's concert will be broadcast response:	to fans all around the world!
context: Are you having fun at the fair?\I actually secretly went around\the fair with some friends.\It was a lot of fun!\I totally love this school now!\Serikyan!\Today's concert will be broadcast\to fans all around the world! response:	So cheer appropriately.
context: I actually secretly went around\the fair with some friends.\It was a lot of fun!\I totally love this school now!\Serikyan!\Today's concert will be broadcast\to fans all around the world!\So cheer appropriately. response:	Nanami-chan broke.
context: the fair with some friends.\It was a lot of fun!\I totally love this school now!\Serikyan!\Today's concert will be broadcast\to fans all around the world!\So cheer appropriately.\Nanami-chan broke. response:	But I'm kind of having fun.
context: It was a lot of fun!\I totally love this school now!\Serikyan!\Today's concert will be broadcast\to fans all around the world!\So cheer appropriately.\Nanami-chan broke.\But I'm kind of having fun. response:	I want to shout with everyone.
context: I totally love this school now!\Serikyan!\Today's concert will be broadcast\to fans all around the world!\So cheer appropriately.\Nanami-chan broke.\But I'm kind of having fun.\I want to shout with everyone. response:	Broadcast all around the world. huh?
context: Serikyan!\Today's concert will be broadcast\to fans all around the world!\So cheer appropriately.\Nanami-chan broke.\But I'm kind of having fun.\I want to shout with everyone.\Broadcast all around the world. huh? response:	Pretty amazing.
context: Today's concert will be broadcast\to fans all around the world!\So cheer appropriately.\Nanami-chan broke.\But I'm kind of having fun.\I want to shout with everyone.\Broadcast all around the world. huh?\Pretty amazing. response:	She really made it.
context: to fans all around the world!\So cheer appropriately.\Nanami-chan broke.\But I'm kind of having fun.\I want to shout with everyone.\Broadcast all around the world. huh?\Pretty amazing.\She really made it. response:	She turned into a girl who inspires people,
context: So cheer appropriately.\Nanami-chan broke.\But I'm kind of having fun.\I want to shout with everyone.\Broadcast all around the world. huh?\Pretty amazing.\She really made it.\She turned into a girl who inspires people, response:	who represents their dreams.
context: Nanami-chan broke.\But I'm kind of having fun.\I want to shout with everyone.\Broadcast all around the world. huh?\Pretty amazing.\She really made it.\She turned into a girl who inspires people,\who represents their dreams. response:	I found Nanami-chin.
context: But I'm kind of having fun.\I want to shout with everyone.\Broadcast all around the world. huh?\Pretty amazing.\She really made it.\She turned into a girl who inspires people,\who represents their dreams.\I found Nanami-chin. response:	I see that Hatate came, too.
context: I want to shout with everyone.\Broadcast all around the world. huh?\Pretty amazing.\She really made it.\She turned into a girl who inspires people,\who represents their dreams.\I found Nanami-chin.\I see that Hatate came, too. response:	Huh?
context: Broadcast all around the world. huh?\Pretty amazing.\She really made it.\She turned into a girl who inspires people,\who represents their dreams.\I found Nanami-chin.\I see that Hatate came, too.\Huh? response:	Listen to my song!
context: Pretty amazing.\She really made it.\She turned into a girl who inspires people,\who represents their dreams.\I found Nanami-chin.\I see that Hatate came, too.\Huh?\Listen to my song! response:	I saw you yesterday, but will I see you again today?
context: She really made it.\She turned into a girl who inspires people,\who represents their dreams.\I found Nanami-chin.\I see that Hatate came, too.\Huh?\Listen to my song!\I saw you yesterday, but will I see you again today? response:	My biorhythm is focused on you.
context: She turned into a girl who inspires people,\who represents their dreams.\I found Nanami-chin.\I see that Hatate came, too.\Huh?\Listen to my song!\I saw you yesterday, but will I see you again today?\My biorhythm is focused on you. response:	We only could talk for a bit, but I still got red.
context: who represents their dreams.\I found Nanami-chin.\I see that Hatate came, too.\Huh?\Listen to my song!\I saw you yesterday, but will I see you again today?\My biorhythm is focused on you.\We only could talk for a bit, but I still got red. response:	I'm such a girl.
context: I found Nanami-chin.\I see that Hatate came, too.\Huh?\Listen to my song!\I saw you yesterday, but will I see you again today?\My biorhythm is focused on you.\We only could talk for a bit, but I still got red.\I'm such a girl. response:	As the gelato melts,
context: I see that Hatate came, too.\Huh?\Listen to my song!\I saw you yesterday, but will I see you again today?\My biorhythm is focused on you.\We only could talk for a bit, but I still got red.\I'm such a girl.\As the gelato melts, response:	as the candy melts...
context: Huh?\Listen to my song!\I saw you yesterday, but will I see you again today?\My biorhythm is focused on you.\We only could talk for a bit, but I still got red.\I'm such a girl.\As the gelato melts,\as the candy melts... response:	What's that?
context: Listen to my song!\I saw you yesterday, but will I see you again today?\My biorhythm is focused on you.\We only could talk for a bit, but I still got red.\I'm such a girl.\As the gelato melts,\as the candy melts...\What's that? response:	A flag of light?
context: I saw you yesterday, but will I see you again today?\My biorhythm is focused on you.\We only could talk for a bit, but I still got red.\I'm such a girl.\As the gelato melts,\as the candy melts...\What's that?\A flag of light? response:	Could this be...
context: My biorhythm is focused on you.\We only could talk for a bit, but I still got red.\I'm such a girl.\As the gelato melts,\as the candy melts...\What's that?\A flag of light?\Could this be... response:	Did my power get stronger when I met
context: We only could talk for a bit, but I still got red.\I'm such a girl.\As the gelato melts,\as the candy melts...\What's that?\A flag of light?\Could this be...\Did my power get stronger when I met response:	Serika, the bard?
context: I'm such a girl.\As the gelato melts,\as the candy melts...\What's that?\A flag of light?\Could this be...\Did my power get stronger when I met\Serika, the bard? response:	No, this light is...
context: As the gelato melts,\as the candy melts...\What's that?\A flag of light?\Could this be...\Did my power get stronger when I met\Serika, the bard?\No, this light is... response:	They're connected.
context: as the candy melts...\What's that?\A flag of light?\Could this be...\Did my power get stronger when I met\Serika, the bard?\No, this light is...\They're connected. response:	The world is being drawn to her flag and song.
