context: Wait! Wait! response:	Hey, now! You're going to fall if you keep running like that!
context: What's up?\If I placed in the top ten of next year's marathon,\I was planning on asking Tsubomi-chan out...\S-Say what?\What? Takane-san?!\I messed up during the student council president election,\but I wanted to show her how cool I could be at next year's marathon.\Shigeo... response:	How were you able to change so much without my noticing?
context: If I placed in the top ten of next year's marathon,\I was planning on asking Tsubomi-chan out...\S-Say what?\What? Takane-san?!\I messed up during the student council president election,\but I wanted to show her how cool I could be at next year's marathon.\Shigeo...\How were you able to change so much without my noticing? response:	If next year doesn't work, it'll have to be this year.
context: I was planning on asking Tsubomi-chan out...\S-Say what?\What? Takane-san?!\I messed up during the student council president election,\but I wanted to show her how cool I could be at next year's marathon.\Shigeo...\How were you able to change so much without my noticing?\If next year doesn't work, it'll have to be this year. response:	I'll just have to place in the top ten in the marathon next week!
context: S-Say what?\What? Takane-san?!\I messed up during the student council president election,\but I wanted to show her how cool I could be at next year's marathon.\Shigeo...\How were you able to change so much without my noticing?\If next year doesn't work, it'll have to be this year.\I'll just have to place in the top ten in the marathon next week! response:	Telepathy Club
context: What? Takane-san?!\I messed up during the student council president election,\but I wanted to show her how cool I could be at next year's marathon.\Shigeo...\How were you able to change so much without my noticing?\If next year doesn't work, it'll have to be this year.\I'll just have to place in the top ten in the marathon next week!\Telepathy Club response:	Body Improvement Club
context: I messed up during the student council president election,\but I wanted to show her how cool I could be at next year's marathon.\Shigeo...\How were you able to change so much without my noticing?\If next year doesn't work, it'll have to be this year.\I'll just have to place in the top ten in the marathon next week!\Telepathy Club\Body Improvement Club response:	No way! That's the last thing I thought I'd hear you say.
context: but I wanted to show her how cool I could be at next year's marathon.\Shigeo...\How were you able to change so much without my noticing?\If next year doesn't work, it'll have to be this year.\I'll just have to place in the top ten in the marathon next week!\Telepathy Club\Body Improvement Club\No way! That's the last thing I thought I'd hear you say. response:	Do you even remember where you finished last year?
context: Shigeo...\How were you able to change so much without my noticing?\If next year doesn't work, it'll have to be this year.\I'll just have to place in the top ten in the marathon next week!\Telepathy Club\Body Improvement Club\No way! That's the last thing I thought I'd hear you say.\Do you even remember where you finished last year? response:	291st...
context: How were you able to change so much without my noticing?\If next year doesn't work, it'll have to be this year.\I'll just have to place in the top ten in the marathon next week!\Telepathy Club\Body Improvement Club\No way! That's the last thing I thought I'd hear you say.\Do you even remember where you finished last year?\291st... response:	You're way too slow!
context: If next year doesn't work, it'll have to be this year.\I'll just have to place in the top ten in the marathon next week!\Telepathy Club\Body Improvement Club\No way! That's the last thing I thought I'd hear you say.\Do you even remember where you finished last year?\291st...\You're way too slow! response:	Strengthening month!!
context: I'll just have to place in the top ten in the marathon next week!\Telepathy Club\Body Improvement Club\No way! That's the last thing I thought I'd hear you say.\Do you even remember where you finished last year?\291st...\You're way too slow!\Strengthening month!! response:	You finished in the bottom ten.
context: Telepathy Club\Body Improvement Club\No way! That's the last thing I thought I'd hear you say.\Do you even remember where you finished last year?\291st...\You're way too slow!\Strengthening month!!\You finished in the bottom ten. response:	How are you going to remedy that in just ten days?
context: Body Improvement Club\No way! That's the last thing I thought I'd hear you say.\Do you even remember where you finished last year?\291st...\You're way too slow!\Strengthening month!!\You finished in the bottom ten.\How are you going to remedy that in just ten days? response:	Monthly Muscle
context: No way! That's the last thing I thought I'd hear you say.\Do you even remember where you finished last year?\291st...\You're way too slow!\Strengthening month!!\You finished in the bottom ten.\How are you going to remedy that in just ten days?\Monthly Muscle response:	Five kilometers is a pretty rough distance, too.
context: Do you even remember where you finished last year?\291st...\You're way too slow!\Strengthening month!!\You finished in the bottom ten.\How are you going to remedy that in just ten days?\Monthly Muscle\Five kilometers is a pretty rough distance, too. response:	My older brother does track in high school.
context: 291st...\You're way too slow!\Strengthening month!!\You finished in the bottom ten.\How are you going to remedy that in just ten days?\Monthly Muscle\Five kilometers is a pretty rough distance, too.\My older brother does track in high school. response:	Should I ask him for some tips?
context: You're way too slow!\Strengthening month!!\You finished in the bottom ten.\How are you going to remedy that in just ten days?\Monthly Muscle\Five kilometers is a pretty rough distance, too.\My older brother does track in high school.\Should I ask him for some tips? response:	Last-minute advice isn't going to turn him into a speedster!
context: Strengthening month!!\You finished in the bottom ten.\How are you going to remedy that in just ten days?\Monthly Muscle\Five kilometers is a pretty rough distance, too.\My older brother does track in high school.\Should I ask him for some tips?\Last-minute advice isn't going to turn him into a speedster! response:	Maybe watch what you eat and tone your body a bit...
context: You finished in the bottom ten.\How are you going to remedy that in just ten days?\Monthly Muscle\Five kilometers is a pretty rough distance, too.\My older brother does track in high school.\Should I ask him for some tips?\Last-minute advice isn't going to turn him into a speedster!\Maybe watch what you eat and tone your body a bit... response:	We're not talking about a diet here!
context: How are you going to remedy that in just ten days?\Monthly Muscle\Five kilometers is a pretty rough distance, too.\My older brother does track in high school.\Should I ask him for some tips?\Last-minute advice isn't going to turn him into a speedster!\Maybe watch what you eat and tone your body a bit...\We're not talking about a diet here! response:	Oh, I know. Why not buy some fancy running shoes?
context: Monthly Muscle\Five kilometers is a pretty rough distance, too.\My older brother does track in high school.\Should I ask him for some tips?\Last-minute advice isn't going to turn him into a speedster!\Maybe watch what you eat and tone your body a bit...\We're not talking about a diet here!\Oh, I know. Why not buy some fancy running shoes? response:	You think he has that kind of money?
context: Five kilometers is a pretty rough distance, too.\My older brother does track in high school.\Should I ask him for some tips?\Last-minute advice isn't going to turn him into a speedster!\Maybe watch what you eat and tone your body a bit...\We're not talking about a diet here!\Oh, I know. Why not buy some fancy running shoes?\You think he has that kind of money? response:	I'll have to give it my all...
context: My older brother does track in high school.\Should I ask him for some tips?\Last-minute advice isn't going to turn him into a speedster!\Maybe watch what you eat and tone your body a bit...\We're not talking about a diet here!\Oh, I know. Why not buy some fancy running shoes?\You think he has that kind of money?\I'll have to give it my all... response:	That's exactly right, Kageyama!
context: Should I ask him for some tips?\Last-minute advice isn't going to turn him into a speedster!\Maybe watch what you eat and tone your body a bit...\We're not talking about a diet here!\Oh, I know. Why not buy some fancy running shoes?\You think he has that kind of money?\I'll have to give it my all...\That's exactly right, Kageyama! response:	That's why you're our shadow leader!
context: Last-minute advice isn't going to turn him into a speedster!\Maybe watch what you eat and tone your body a bit...\We're not talking about a diet here!\Oh, I know. Why not buy some fancy running shoes?\You think he has that kind of money?\I'll have to give it my all...\That's exactly right, Kageyama!\That's why you're our shadow leader! response:	The methods and their efficiency don't matter!
context: Maybe watch what you eat and tone your body a bit...\We're not talking about a diet here!\Oh, I know. Why not buy some fancy running shoes?\You think he has that kind of money?\I'll have to give it my all...\That's exactly right, Kageyama!\That's why you're our shadow leader!\The methods and their efficiency don't matter! response:	What matters is whether you wanna do this or not!
context: We're not talking about a diet here!\Oh, I know. Why not buy some fancy running shoes?\You think he has that kind of money?\I'll have to give it my all...\That's exactly right, Kageyama!\That's why you're our shadow leader!\The methods and their efficiency don't matter!\What matters is whether you wanna do this or not! response:	Monthly Muscle
context: Oh, I know. Why not buy some fancy running shoes?\You think he has that kind of money?\I'll have to give it my all...\That's exactly right, Kageyama!\That's why you're our shadow leader!\The methods and their efficiency don't matter!\What matters is whether you wanna do this or not!\Monthly Muscle response:	You understand that!
context: You think he has that kind of money?\I'll have to give it my all...\That's exactly right, Kageyama!\That's why you're our shadow leader!\The methods and their efficiency don't matter!\What matters is whether you wanna do this or not!\Monthly Muscle\You understand that! response:	Put on muscle
context: I'll have to give it my all...\That's exactly right, Kageyama!\That's why you're our shadow leader!\The methods and their efficiency don't matter!\What matters is whether you wanna do this or not!\Monthly Muscle\You understand that!\Put on muscle response:	Put on muscle
context: That's exactly right, Kageyama!\That's why you're our shadow leader!\The methods and their efficiency don't matter!\What matters is whether you wanna do this or not!\Monthly Muscle\You understand that!\Put on muscle\Put on muscle response:	However, Kageyama...
context: That's why you're our shadow leader!\The methods and their efficiency don't matter!\What matters is whether you wanna do this or not!\Monthly Muscle\You understand that!\Put on muscle\Put on muscle\However, Kageyama... response:	Put on muscle
context: The methods and their efficiency don't matter!\What matters is whether you wanna do this or not!\Monthly Muscle\You understand that!\Put on muscle\Put on muscle\However, Kageyama...\Put on muscle response:	Put on muscle
context: What matters is whether you wanna do this or not!\Monthly Muscle\You understand that!\Put on muscle\Put on muscle\However, Kageyama...\Put on muscle\Put on muscle response:	Put on muscle
context: Monthly Muscle\You understand that!\Put on muscle\Put on muscle\However, Kageyama...\Put on muscle\Put on muscle\Put on muscle response:	Giving something your all ain't easy.
context: You understand that!\Put on muscle\Put on muscle\However, Kageyama...\Put on muscle\Put on muscle\Put on muscle\Giving something your all ain't easy. response:	Put on muscle
context: Put on muscle\Put on muscle\However, Kageyama...\Put on muscle\Put on muscle\Put on muscle\Giving something your all ain't easy.\Put on muscle response:	Put on muscle
context: Put on muscle\However, Kageyama...\Put on muscle\Put on muscle\Put on muscle\Giving something your all ain't easy.\Put on muscle\Put on muscle response:	Do you have what it takes to really put everything on the line?
context: However, Kageyama...\Put on muscle\Put on muscle\Put on muscle\Giving something your all ain't easy.\Put on muscle\Put on muscle\Do you have what it takes to really put everything on the line? response:	Then you can have my running shoes.
context: Put on muscle\Put on muscle\Put on muscle\Giving something your all ain't easy.\Put on muscle\Put on muscle\Do you have what it takes to really put everything on the line?\Then you can have my running shoes. response:	What? But they're brand new!
context: Put on muscle\Put on muscle\Giving something your all ain't easy.\Put on muscle\Put on muscle\Do you have what it takes to really put everything on the line?\Then you can have my running shoes.\What? But they're brand new! response:	You're just going to give them to Mob?
context: Put on muscle\Giving something your all ain't easy.\Put on muscle\Put on muscle\Do you have what it takes to really put everything on the line?\Then you can have my running shoes.\What? But they're brand new!\You're just going to give them to Mob? response:	But why, Onigawara-senpai?
context: Giving something your all ain't easy.\Put on muscle\Put on muscle\Do you have what it takes to really put everything on the line?\Then you can have my running shoes.\What? But they're brand new!\You're just going to give them to Mob?\But why, Onigawara-senpai? response:	You better do this thing.
context: Put on muscle\Put on muscle\Do you have what it takes to really put everything on the line?\Then you can have my running shoes.\What? But they're brand new!\You're just going to give them to Mob?\But why, Onigawara-senpai?\You better do this thing. response:	He's so cool...
context: Put on muscle\Do you have what it takes to really put everything on the line?\Then you can have my running shoes.\What? But they're brand new!\You're just going to give them to Mob?\But why, Onigawara-senpai?\You better do this thing.\He's so cool... response:	Oh, those!
context: Do you have what it takes to really put everything on the line?\Then you can have my running shoes.\What? But they're brand new!\You're just going to give them to Mob?\But why, Onigawara-senpai?\You better do this thing.\He's so cool...\Oh, those! response:	So you ended up with them, Kageyama!
context: Then you can have my running shoes.\What? But they're brand new!\You're just going to give them to Mob?\But why, Onigawara-senpai?\You better do this thing.\He's so cool...\Oh, those!\So you ended up with them, Kageyama! response:	The shoes Onigawara bought in the wrong size!
context: What? But they're brand new!\You're just going to give them to Mob?\But why, Onigawara-senpai?\You better do this thing.\He's so cool...\Oh, those!\So you ended up with them, Kageyama!\The shoes Onigawara bought in the wrong size! response:	Did you have to open your big mouth?
context: You're just going to give them to Mob?\But why, Onigawara-senpai?\You better do this thing.\He's so cool...\Oh, those!\So you ended up with them, Kageyama!\The shoes Onigawara bought in the wrong size!\Did you have to open your big mouth? response:	Spirits and Such Consultation Office
context: But why, Onigawara-senpai?\You better do this thing.\He's so cool...\Oh, those!\So you ended up with them, Kageyama!\The shoes Onigawara bought in the wrong size!\Did you have to open your big mouth?\Spirits and Such Consultation Office response:	Why are you so fidgety, Mob?
context: You better do this thing.\He's so cool...\Oh, those!\So you ended up with them, Kageyama!\The shoes Onigawara bought in the wrong size!\Did you have to open your big mouth?\Spirits and Such Consultation Office\Why are you so fidgety, Mob? response:	Reception
context: He's so cool...\Oh, those!\So you ended up with them, Kageyama!\The shoes Onigawara bought in the wrong size!\Did you have to open your big mouth?\Spirits and Such Consultation Office\Why are you so fidgety, Mob?\Reception response:	Oh, I'm just trying to exercise any chance I get.
context: Oh, those!\So you ended up with them, Kageyama!\The shoes Onigawara bought in the wrong size!\Did you have to open your big mouth?\Spirits and Such Consultation Office\Why are you so fidgety, Mob?\Reception\Oh, I'm just trying to exercise any chance I get. response:	Oh, so you're not fidgeting.
context: So you ended up with them, Kageyama!\The shoes Onigawara bought in the wrong size!\Did you have to open your big mouth?\Spirits and Such Consultation Office\Why are you so fidgety, Mob?\Reception\Oh, I'm just trying to exercise any chance I get.\Oh, so you're not fidgeting. response:	He's got a marathon coming up.
context: The shoes Onigawara bought in the wrong size!\Did you have to open your big mouth?\Spirits and Such Consultation Office\Why are you so fidgety, Mob?\Reception\Oh, I'm just trying to exercise any chance I get.\Oh, so you're not fidgeting.\He's got a marathon coming up. response:	A marathon, huh?
context: Did you have to open your big mouth?\Spirits and Such Consultation Office\Why are you so fidgety, Mob?\Reception\Oh, I'm just trying to exercise any chance I get.\Oh, so you're not fidgeting.\He's got a marathon coming up.\A marathon, huh? response:	I always acted like I was sick.
context: Spirits and Such Consultation Office\Why are you so fidgety, Mob?\Reception\Oh, I'm just trying to exercise any chance I get.\Oh, so you're not fidgeting.\He's got a marathon coming up.\A marathon, huh?\I always acted like I was sick. response:	He's gonna try to place in the top ten
context: Why are you so fidgety, Mob?\Reception\Oh, I'm just trying to exercise any chance I get.\Oh, so you're not fidgeting.\He's got a marathon coming up.\A marathon, huh?\I always acted like I was sick.\He's gonna try to place in the top ten response:	and tell his beloved Tsubomi-chan how he feels.
context: Reception\Oh, I'm just trying to exercise any chance I get.\Oh, so you're not fidgeting.\He's got a marathon coming up.\A marathon, huh?\I always acted like I was sick.\He's gonna try to place in the top ten\and tell his beloved Tsubomi-chan how he feels. response:	You're going to ask her out? Seriously?
context: Oh, I'm just trying to exercise any chance I get.\Oh, so you're not fidgeting.\He's got a marathon coming up.\A marathon, huh?\I always acted like I was sick.\He's gonna try to place in the top ten\and tell his beloved Tsubomi-chan how he feels.\You're going to ask her out? Seriously? response:	If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!!
context: Oh, so you're not fidgeting.\He's got a marathon coming up.\A marathon, huh?\I always acted like I was sick.\He's gonna try to place in the top ten\and tell his beloved Tsubomi-chan how he feels.\You're going to ask her out? Seriously?\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!! response:	You don't have to come to work for a while.
context: He's got a marathon coming up.\A marathon, huh?\I always acted like I was sick.\He's gonna try to place in the top ten\and tell his beloved Tsubomi-chan how he feels.\You're going to ask her out? Seriously?\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\You don't have to come to work for a while. response:	Huh? But why?
context: A marathon, huh?\I always acted like I was sick.\He's gonna try to place in the top ten\and tell his beloved Tsubomi-chan how he feels.\You're going to ask her out? Seriously?\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\You don't have to come to work for a while.\Huh? But why? response:	I'm probably not getting any customers for a while anyway.
context: I always acted like I was sick.\He's gonna try to place in the top ten\and tell his beloved Tsubomi-chan how he feels.\You're going to ask her out? Seriously?\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\You don't have to come to work for a while.\Huh? But why?\I'm probably not getting any customers for a while anyway. response:	More importantly, you should be jogging to better prepare your body.
context: He's gonna try to place in the top ten\and tell his beloved Tsubomi-chan how he feels.\You're going to ask her out? Seriously?\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\You don't have to come to work for a while.\Huh? But why?\I'm probably not getting any customers for a while anyway.\More importantly, you should be jogging to better prepare your body. response:	All right, get changed.
context: and tell his beloved Tsubomi-chan how he feels.\You're going to ask her out? Seriously?\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\You don't have to come to work for a while.\Huh? But why?\I'm probably not getting any customers for a while anyway.\More importantly, you should be jogging to better prepare your body.\All right, get changed. response:	Huh?
context: You're going to ask her out? Seriously?\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\You don't have to come to work for a while.\Huh? But why?\I'm probably not getting any customers for a while anyway.\More importantly, you should be jogging to better prepare your body.\All right, get changed.\Huh? response:	We're going to get your legs accustomed to the actual course you'll be running.
context: If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\You don't have to come to work for a while.\Huh? But why?\I'm probably not getting any customers for a while anyway.\More importantly, you should be jogging to better prepare your body.\All right, get changed.\Huh?\We're going to get your legs accustomed to the actual course you'll be running. response:	Come on, lift those feet, Reigen!
context: You don't have to come to work for a while.\Huh? But why?\I'm probably not getting any customers for a while anyway.\More importantly, you should be jogging to better prepare your body.\All right, get changed.\Huh?\We're going to get your legs accustomed to the actual course you'll be running.\Come on, lift those feet, Reigen! response:	Shut up!
context: Huh? But why?\I'm probably not getting any customers for a while anyway.\More importantly, you should be jogging to better prepare your body.\All right, get changed.\Huh?\We're going to get your legs accustomed to the actual course you'll be running.\Come on, lift those feet, Reigen!\Shut up! response:	I haven't... been exercising... that much lately... myself!
context: I'm probably not getting any customers for a while anyway.\More importantly, you should be jogging to better prepare your body.\All right, get changed.\Huh?\We're going to get your legs accustomed to the actual course you'll be running.\Come on, lift those feet, Reigen!\Shut up!\I haven't... been exercising... that much lately... myself! response:	I can't hear you!
context: More importantly, you should be jogging to better prepare your body.\All right, get changed.\Huh?\We're going to get your legs accustomed to the actual course you'll be running.\Come on, lift those feet, Reigen!\Shut up!\I haven't... been exercising... that much lately... myself!\I can't hear you! response:	Hey, want to stop for some tea?
context: All right, get changed.\Huh?\We're going to get your legs accustomed to the actual course you'll be running.\Come on, lift those feet, Reigen!\Shut up!\I haven't... been exercising... that much lately... myself!\I can't hear you!\Hey, want to stop for some tea? response:	But we've only run about a kilometer so far, Master.
context: Huh?\We're going to get your legs accustomed to the actual course you'll be running.\Come on, lift those feet, Reigen!\Shut up!\I haven't... been exercising... that much lately... myself!\I can't hear you!\Hey, want to stop for some tea?\But we've only run about a kilometer so far, Master. response:	Huh? Nii-san?
context: We're going to get your legs accustomed to the actual course you'll be running.\Come on, lift those feet, Reigen!\Shut up!\I haven't... been exercising... that much lately... myself!\I can't hear you!\Hey, want to stop for some tea?\But we've only run about a kilometer so far, Master.\Huh? Nii-san? response:	Hey, Ritsu.
context: Come on, lift those feet, Reigen!\Shut up!\I haven't... been exercising... that much lately... myself!\I can't hear you!\Hey, want to stop for some tea?\But we've only run about a kilometer so far, Master.\Huh? Nii-san?\Hey, Ritsu. response:	Dimple? Is he training for the marathon?
context: Shut up!\I haven't... been exercising... that much lately... myself!\I can't hear you!\Hey, want to stop for some tea?\But we've only run about a kilometer so far, Master.\Huh? Nii-san?\Hey, Ritsu.\Dimple? Is he training for the marathon? response:	Yeah.
context: I haven't... been exercising... that much lately... myself!\I can't hear you!\Hey, want to stop for some tea?\But we've only run about a kilometer so far, Master.\Huh? Nii-san?\Hey, Ritsu.\Dimple? Is he training for the marathon?\Yeah. response:	Apparently, he's going to place in the top ten and ask Tsubomi-chan out.
context: I can't hear you!\Hey, want to stop for some tea?\But we've only run about a kilometer so far, Master.\Huh? Nii-san?\Hey, Ritsu.\Dimple? Is he training for the marathon?\Yeah.\Apparently, he's going to place in the top ten and ask Tsubomi-chan out. response:	What?!
context: Hey, want to stop for some tea?\But we've only run about a kilometer so far, Master.\Huh? Nii-san?\Hey, Ritsu.\Dimple? Is he training for the marathon?\Yeah.\Apparently, he's going to place in the top ten and ask Tsubomi-chan out.\What?! response:	Takane Tsubomi-san?
context: But we've only run about a kilometer so far, Master.\Huh? Nii-san?\Hey, Ritsu.\Dimple? Is he training for the marathon?\Yeah.\Apparently, he's going to place in the top ten and ask Tsubomi-chan out.\What?!\Takane Tsubomi-san? response:	I remember playing with her when we were younger,
context: Huh? Nii-san?\Hey, Ritsu.\Dimple? Is he training for the marathon?\Yeah.\Apparently, he's going to place in the top ten and ask Tsubomi-chan out.\What?!\Takane Tsubomi-san?\I remember playing with her when we were younger, response:	but honestly, I found her kind of hard to deal with.
context: Hey, Ritsu.\Dimple? Is he training for the marathon?\Yeah.\Apparently, he's going to place in the top ten and ask Tsubomi-chan out.\What?!\Takane Tsubomi-san?\I remember playing with her when we were younger,\but honestly, I found her kind of hard to deal with. response:	I'm pretty sure I remember her going home in the middle of hide-and-seek...
context: Dimple? Is he training for the marathon?\Yeah.\Apparently, he's going to place in the top ten and ask Tsubomi-chan out.\What?!\Takane Tsubomi-san?\I remember playing with her when we were younger,\but honestly, I found her kind of hard to deal with.\I'm pretty sure I remember her going home in the middle of hide-and-seek... response:	This makes me uneasy.
context: Yeah.\Apparently, he's going to place in the top ten and ask Tsubomi-chan out.\What?!\Takane Tsubomi-san?\I remember playing with her when we were younger,\but honestly, I found her kind of hard to deal with.\I'm pretty sure I remember her going home in the middle of hide-and-seek...\This makes me uneasy. response:	I wonder if Nii-san will be okay...
context: Apparently, he's going to place in the top ten and ask Tsubomi-chan out.\What?!\Takane Tsubomi-san?\I remember playing with her when we were younger,\but honestly, I found her kind of hard to deal with.\I'm pretty sure I remember her going home in the middle of hide-and-seek...\This makes me uneasy.\I wonder if Nii-san will be okay... response:	Shige! Wash your own dishes, will you?
context: What?!\Takane Tsubomi-san?\I remember playing with her when we were younger,\but honestly, I found her kind of hard to deal with.\I'm pretty sure I remember her going home in the middle of hide-and-seek...\This makes me uneasy.\I wonder if Nii-san will be okay...\Shige! Wash your own dishes, will you? response:	Shige!
context: Takane Tsubomi-san?\I remember playing with her when we were younger,\but honestly, I found her kind of hard to deal with.\I'm pretty sure I remember her going home in the middle of hide-and-seek...\This makes me uneasy.\I wonder if Nii-san will be okay...\Shige! Wash your own dishes, will you?\Shige! response:	It's okay, Mom.
context: I remember playing with her when we were younger,\but honestly, I found her kind of hard to deal with.\I'm pretty sure I remember her going home in the middle of hide-and-seek...\This makes me uneasy.\I wonder if Nii-san will be okay...\Shige! Wash your own dishes, will you?\Shige!\It's okay, Mom. response:	I'll do it.
context: but honestly, I found her kind of hard to deal with.\I'm pretty sure I remember her going home in the middle of hide-and-seek...\This makes me uneasy.\I wonder if Nii-san will be okay...\Shige! Wash your own dishes, will you?\Shige!\It's okay, Mom.\I'll do it. response:	You don't have to, Ritsu. You shouldn't spoil your older brother like that.
context: I'm pretty sure I remember her going home in the middle of hide-and-seek...\This makes me uneasy.\I wonder if Nii-san will be okay...\Shige! Wash your own dishes, will you?\Shige!\It's okay, Mom.\I'll do it.\You don't have to, Ritsu. You shouldn't spoil your older brother like that. response:	Is something up?
context: This makes me uneasy.\I wonder if Nii-san will be okay...\Shige! Wash your own dishes, will you?\Shige!\It's okay, Mom.\I'll do it.\You don't have to, Ritsu. You shouldn't spoil your older brother like that.\Is something up? response:	Nii-san's working really hard lately,
context: I wonder if Nii-san will be okay...\Shige! Wash your own dishes, will you?\Shige!\It's okay, Mom.\I'll do it.\You don't have to, Ritsu. You shouldn't spoil your older brother like that.\Is something up?\Nii-san's working really hard lately, response:	so I don't mind helping him just a bit.
context: Shige! Wash your own dishes, will you?\Shige!\It's okay, Mom.\I'll do it.\You don't have to, Ritsu. You shouldn't spoil your older brother like that.\Is something up?\Nii-san's working really hard lately,\so I don't mind helping him just a bit. response:	Remember to take 2 breaths at once Breathe in deeply, breathe out deeply 6-beat breathing style Vertical
context: Shige!\It's okay, Mom.\I'll do it.\You don't have to, Ritsu. You shouldn't spoil your older brother like that.\Is something up?\Nii-san's working really hard lately,\so I don't mind helping him just a bit.\Remember to take 2 breaths at once Breathe in deeply, breathe out deeply 6-beat breathing style Vertical response:	Stride Longer strides More damage Faster speed, stamina...
context: It's okay, Mom.\I'll do it.\You don't have to, Ritsu. You shouldn't spoil your older brother like that.\Is something up?\Nii-san's working really hard lately,\so I don't mind helping him just a bit.\Remember to take 2 breaths at once Breathe in deeply, breathe out deeply 6-beat breathing style Vertical\Stride Longer strides More damage Faster speed, stamina... response:	Cadence More rotations Less damage Uses more stamina
context: I'll do it.\You don't have to, Ritsu. You shouldn't spoil your older brother like that.\Is something up?\Nii-san's working really hard lately,\so I don't mind helping him just a bit.\Remember to take 2 breaths at once Breathe in deeply, breathe out deeply 6-beat breathing style Vertical\Stride Longer strides More damage Faster speed, stamina...\Cadence More rotations Less damage Uses more stamina response:	Oh, hey, you two. Thanks for coming by today.
context: You don't have to, Ritsu. You shouldn't spoil your older brother like that.\Is something up?\Nii-san's working really hard lately,\so I don't mind helping him just a bit.\Remember to take 2 breaths at once Breathe in deeply, breathe out deeply 6-beat breathing style Vertical\Stride Longer strides More damage Faster speed, stamina...\Cadence More rotations Less damage Uses more stamina\Oh, hey, you two. Thanks for coming by today. response:	I look forward to working with you guys.
context: Is something up?\Nii-san's working really hard lately,\so I don't mind helping him just a bit.\Remember to take 2 breaths at once Breathe in deeply, breathe out deeply 6-beat breathing style Vertical\Stride Longer strides More damage Faster speed, stamina...\Cadence More rotations Less damage Uses more stamina\Oh, hey, you two. Thanks for coming by today.\I look forward to working with you guys. response:	I'm just doing this for my brother.
context: Nii-san's working really hard lately,\so I don't mind helping him just a bit.\Remember to take 2 breaths at once Breathe in deeply, breathe out deeply 6-beat breathing style Vertical\Stride Longer strides More damage Faster speed, stamina...\Cadence More rotations Less damage Uses more stamina\Oh, hey, you two. Thanks for coming by today.\I look forward to working with you guys.\I'm just doing this for my brother. response:	I want him to be able to concentrate on training.
context: so I don't mind helping him just a bit.\Remember to take 2 breaths at once Breathe in deeply, breathe out deeply 6-beat breathing style Vertical\Stride Longer strides More damage Faster speed, stamina...\Cadence More rotations Less damage Uses more stamina\Oh, hey, you two. Thanks for coming by today.\I look forward to working with you guys.\I'm just doing this for my brother.\I want him to be able to concentrate on training. response:	That said, we are subbing in for Kageyama-kun.
context: Remember to take 2 breaths at once Breathe in deeply, breathe out deeply 6-beat breathing style Vertical\Stride Longer strides More damage Faster speed, stamina...\Cadence More rotations Less damage Uses more stamina\Oh, hey, you two. Thanks for coming by today.\I look forward to working with you guys.\I'm just doing this for my brother.\I want him to be able to concentrate on training.\That said, we are subbing in for Kageyama-kun. response:	I'll make sure I put my time in.
context: Stride Longer strides More damage Faster speed, stamina...\Cadence More rotations Less damage Uses more stamina\Oh, hey, you two. Thanks for coming by today.\I look forward to working with you guys.\I'm just doing this for my brother.\I want him to be able to concentrate on training.\That said, we are subbing in for Kageyama-kun.\I'll make sure I put my time in. response:	Then, first, could you sort those files?
context: Cadence More rotations Less damage Uses more stamina\Oh, hey, you two. Thanks for coming by today.\I look forward to working with you guys.\I'm just doing this for my brother.\I want him to be able to concentrate on training.\That said, we are subbing in for Kageyama-kun.\I'll make sure I put my time in.\Then, first, could you sort those files? response:	Also, take a look at any exorcism request emails.
context: Oh, hey, you two. Thanks for coming by today.\I look forward to working with you guys.\I'm just doing this for my brother.\I want him to be able to concentrate on training.\That said, we are subbing in for Kageyama-kun.\I'll make sure I put my time in.\Then, first, could you sort those files?\Also, take a look at any exorcism request emails. response:	Hello? Are you open?
context: I look forward to working with you guys.\I'm just doing this for my brother.\I want him to be able to concentrate on training.\That said, we are subbing in for Kageyama-kun.\I'll make sure I put my time in.\Then, first, could you sort those files?\Also, take a look at any exorcism request emails.\Hello? Are you open? response:	I didn't make a reservation or anything.
context: I'm just doing this for my brother.\I want him to be able to concentrate on training.\That said, we are subbing in for Kageyama-kun.\I'll make sure I put my time in.\Then, first, could you sort those files?\Also, take a look at any exorcism request emails.\Hello? Are you open?\I didn't make a reservation or anything. response:	Oh, I can see you immediately.
context: I want him to be able to concentrate on training.\That said, we are subbing in for Kageyama-kun.\I'll make sure I put my time in.\Then, first, could you sort those files?\Also, take a look at any exorcism request emails.\Hello? Are you open?\I didn't make a reservation or anything.\Oh, I can see you immediately. response:	Please, have a seat.
context: That said, we are subbing in for Kageyama-kun.\I'll make sure I put my time in.\Then, first, could you sort those files?\Also, take a look at any exorcism request emails.\Hello? Are you open?\I didn't make a reservation or anything.\Oh, I can see you immediately.\Please, have a seat. response:	All right, go get some tea ready
